context: Captain Earth response:	I'll install myself into every sentient life form in the galaxy,
context: We'll go with you.\The Kiltgangs!\An Ego Block explosion?\No way!\Akari, are you all right?\Thanks to your barrier, there are no major problems.\What happened to him?\Did we kill him? response:	Signal at one o'clock!
context: The Kiltgangs!\An Ego Block explosion?\No way!\Akari, are you all right?\Thanks to your barrier, there are no major problems.\What happened to him?\Did we kill him?\Signal at one o'clock! response:	Fools...
context: An Ego Block explosion?\No way!\Akari, are you all right?\Thanks to your barrier, there are no major problems.\What happened to him?\Did we kill him?\Signal at one o'clock!\Fools... response:	In the end, the Planetary Gears could not escape being human?
context: No way!\Akari, are you all right?\Thanks to your barrier, there are no major problems.\What happened to him?\Did we kill him?\Signal at one o'clock!\Fools...\In the end, the Planetary Gears could not escape being human? response:	But that took a lot of my strength...
context: Akari, are you all right?\Thanks to your barrier, there are no major problems.\What happened to him?\Did we kill him?\Signal at one o'clock!\Fools...\In the end, the Planetary Gears could not escape being human?\But that took a lot of my strength... response:	I need energy.
context: Thanks to your barrier, there are no major problems.\What happened to him?\Did we kill him?\Signal at one o'clock!\Fools...\In the end, the Planetary Gears could not escape being human?\But that took a lot of my strength...\I need energy. response:	Oh, no!
context: What happened to him?\Did we kill him?\Signal at one o'clock!\Fools...\In the end, the Planetary Gears could not escape being human?\But that took a lot of my strength...\I need energy.\Oh, no! response:	It's going to jump to Earth!
context: Did we kill him?\Signal at one o'clock!\Fools...\In the end, the Planetary Gears could not escape being human?\But that took a lot of my strength...\I need energy.\Oh, no!\It's going to jump to Earth! response:	You can jump, right, Captain?
context: Signal at one o'clock!\Fools...\In the end, the Planetary Gears could not escape being human?\But that took a lot of my strength...\I need energy.\Oh, no!\It's going to jump to Earth!\You can jump, right, Captain? response:	Destroy that monster and get Hana back!
context: Fools...\In the end, the Planetary Gears could not escape being human?\But that took a lot of my strength...\I need energy.\Oh, no!\It's going to jump to Earth!\You can jump, right, Captain?\Destroy that monster and get Hana back! response:	Roger!
context: In the end, the Planetary Gears could not escape being human?\But that took a lot of my strength...\I need energy.\Oh, no!\It's going to jump to Earth!\You can jump, right, Captain?\Destroy that monster and get Hana back!\Roger! response:	Let's go, Livlaster.
context: But that took a lot of my strength...\I need energy.\Oh, no!\It's going to jump to Earth!\You can jump, right, Captain?\Destroy that monster and get Hana back!\Roger!\Let's go, Livlaster. response:	Who are you, Daichi Manatsu?
context: I need energy.\Oh, no!\It's going to jump to Earth!\You can jump, right, Captain?\Destroy that monster and get Hana back!\Roger!\Let's go, Livlaster.\Who are you, Daichi Manatsu? response:	You will never be able to see this woman again.
context: Oh, no!\It's going to jump to Earth!\You can jump, right, Captain?\Destroy that monster and get Hana back!\Roger!\Let's go, Livlaster.\Who are you, Daichi Manatsu?\You will never be able to see this woman again. response:	I will get Hana back.
context: It's going to jump to Earth!\You can jump, right, Captain?\Destroy that monster and get Hana back!\Roger!\Let's go, Livlaster.\Who are you, Daichi Manatsu?\You will never be able to see this woman again.\I will get Hana back. response:	The key to the door that brought you inside this ship is already mine.
context: You can jump, right, Captain?\Destroy that monster and get Hana back!\Roger!\Let's go, Livlaster.\Who are you, Daichi Manatsu?\You will never be able to see this woman again.\I will get Hana back.\The key to the door that brought you inside this ship is already mine. response:	Then I'll destroy the door and go in.
context: Destroy that monster and get Hana back!\Roger!\Let's go, Livlaster.\Who are you, Daichi Manatsu?\You will never be able to see this woman again.\I will get Hana back.\The key to the door that brought you inside this ship is already mine.\Then I'll destroy the door and go in. response:	You cannot stop me.
context: Roger!\Let's go, Livlaster.\Who are you, Daichi Manatsu?\You will never be able to see this woman again.\I will get Hana back.\The key to the door that brought you inside this ship is already mine.\Then I'll destroy the door and go in.\You cannot stop me. response:	I'll stop you, no matter what it takes.
context: Let's go, Livlaster.\Who are you, Daichi Manatsu?\You will never be able to see this woman again.\I will get Hana back.\The key to the door that brought you inside this ship is already mine.\Then I'll destroy the door and go in.\You cannot stop me.\I'll stop you, no matter what it takes. response:	AEO signal confirmed.
context: Who are you, Daichi Manatsu?\You will never be able to see this woman again.\I will get Hana back.\The key to the door that brought you inside this ship is already mine.\Then I'll destroy the door and go in.\You cannot stop me.\I'll stop you, no matter what it takes.\AEO signal confirmed. response:	The Kiltgangs?
context: You will never be able to see this woman again.\I will get Hana back.\The key to the door that brought you inside this ship is already mine.\Then I'll destroy the door and go in.\You cannot stop me.\I'll stop you, no matter what it takes.\AEO signal confirmed.\The Kiltgangs? response:	Video incoming.
context: I will get Hana back.\The key to the door that brought you inside this ship is already mine.\Then I'll destroy the door and go in.\You cannot stop me.\I'll stop you, no matter what it takes.\AEO signal confirmed.\The Kiltgangs?\Video incoming. response:	What is this?
context: The key to the door that brought you inside this ship is already mine.\Then I'll destroy the door and go in.\You cannot stop me.\I'll stop you, no matter what it takes.\AEO signal confirmed.\The Kiltgangs?\Video incoming.\What is this? response:	The Blume?
context: Then I'll destroy the door and go in.\You cannot stop me.\I'll stop you, no matter what it takes.\AEO signal confirmed.\The Kiltgangs?\Video incoming.\What is this?\The Blume? response:	Hana...
context: You cannot stop me.\I'll stop you, no matter what it takes.\AEO signal confirmed.\The Kiltgangs?\Video incoming.\What is this?\The Blume?\Hana... response:	The Blume transformed?
context: I'll stop you, no matter what it takes.\AEO signal confirmed.\The Kiltgangs?\Video incoming.\What is this?\The Blume?\Hana...\The Blume transformed? response:	Another Entangle Link is emerging behind the Blume.
context: AEO signal confirmed.\The Kiltgangs?\Video incoming.\What is this?\The Blume?\Hana...\The Blume transformed?\Another Entangle Link is emerging behind the Blume. response:	What is it?
context: The Kiltgangs?\Video incoming.\What is this?\The Blume?\Hana...\The Blume transformed?\Another Entangle Link is emerging behind the Blume.\What is it? response:	What's going on?
context: Video incoming.\What is this?\The Blume?\Hana...\The Blume transformed?\Another Entangle Link is emerging behind the Blume.\What is it?\What's going on? response:	You cannot protect anything.
context: What is this?\The Blume?\Hana...\The Blume transformed?\Another Entangle Link is emerging behind the Blume.\What is it?\What's going on?\You cannot protect anything. response:	Not this girl,
context: The Blume?\Hana...\The Blume transformed?\Another Entangle Link is emerging behind the Blume.\What is it?\What's going on?\You cannot protect anything.\Not this girl, response:	or that blue planet!
context: Hana...\The Blume transformed?\Another Entangle Link is emerging behind the Blume.\What is it?\What's going on?\You cannot protect anything.\Not this girl,\or that blue planet! response:	I will protect them!
context: The Blume transformed?\Another Entangle Link is emerging behind the Blume.\What is it?\What's going on?\You cannot protect anything.\Not this girl,\or that blue planet!\I will protect them! response:	I'm Captain Earth!
context: Another Entangle Link is emerging behind the Blume.\What is it?\What's going on?\You cannot protect anything.\Not this girl,\or that blue planet!\I will protect them!\I'm Captain Earth! response:	Roar, Stigmagnum!
context: What is it?\What's going on?\You cannot protect anything.\Not this girl,\or that blue planet!\I will protect them!\I'm Captain Earth!\Roar, Stigmagnum! response:	Go!
context: What's going on?\You cannot protect anything.\Not this girl,\or that blue planet!\I will protect them!\I'm Captain Earth!\Roar, Stigmagnum!\Go! response:	I'm sorry, Unit 2.
context: You cannot protect anything.\Not this girl,\or that blue planet!\I will protect them!\I'm Captain Earth!\Roar, Stigmagnum!\Go!\I'm sorry, Unit 2. response:	I see it!
context: Not this girl,\or that blue planet!\I will protect them!\I'm Captain Earth!\Roar, Stigmagnum!\Go!\I'm sorry, Unit 2.\I see it! response:	That was mean.
context: or that blue planet!\I will protect them!\I'm Captain Earth!\Roar, Stigmagnum!\Go!\I'm sorry, Unit 2.\I see it!\That was mean. response:	I told you that if you destroyed this ship, I would die, as well.
context: I will protect them!\I'm Captain Earth!\Roar, Stigmagnum!\Go!\I'm sorry, Unit 2.\I see it!\That was mean.\I told you that if you destroyed this ship, I would die, as well. response:	Can you even shoot me?
context: I'm Captain Earth!\Roar, Stigmagnum!\Go!\I'm sorry, Unit 2.\I see it!\That was mean.\I told you that if you destroyed this ship, I would die, as well.\Can you even shoot me? response:	You're in love with this bio-part, aren't you?
context: Roar, Stigmagnum!\Go!\I'm sorry, Unit 2.\I see it!\That was mean.\I told you that if you destroyed this ship, I would die, as well.\Can you even shoot me?\You're in love with this bio-part, aren't you? response:	Then obey me, and be my tool.
context: Go!\I'm sorry, Unit 2.\I see it!\That was mean.\I told you that if you destroyed this ship, I would die, as well.\Can you even shoot me?\You're in love with this bio-part, aren't you?\Then obey me, and be my tool. response:	If you use your Livlaster for my benefit,
context: I'm sorry, Unit 2.\I see it!\That was mean.\I told you that if you destroyed this ship, I would die, as well.\Can you even shoot me?\You're in love with this bio-part, aren't you?\Then obey me, and be my tool.\If you use your Livlaster for my benefit, response:	I'll prepare a way for you to live with her.
context: I see it!\That was mean.\I told you that if you destroyed this ship, I would die, as well.\Can you even shoot me?\You're in love with this bio-part, aren't you?\Then obey me, and be my tool.\If you use your Livlaster for my benefit,\I'll prepare a way for you to live with her. response:	That's right. That's right.
context: That was mean.\I told you that if you destroyed this ship, I would die, as well.\Can you even shoot me?\You're in love with this bio-part, aren't you?\Then obey me, and be my tool.\If you use your Livlaster for my benefit,\I'll prepare a way for you to live with her.\That's right. That's right. response:	You can't shoot Hana Mutou
context: I told you that if you destroyed this ship, I would die, as well.\Can you even shoot me?\You're in love with this bio-part, aren't you?\Then obey me, and be my tool.\If you use your Livlaster for my benefit,\I'll prepare a way for you to live with her.\That's right. That's right.\You can't shoot Hana Mutou response:	A telepathic kiss?
context: Can you even shoot me?\You're in love with this bio-part, aren't you?\Then obey me, and be my tool.\If you use your Livlaster for my benefit,\I'll prepare a way for you to live with her.\That's right. That's right.\You can't shoot Hana Mutou\A telepathic kiss? response:	Is it you?
context: You're in love with this bio-part, aren't you?\Then obey me, and be my tool.\If you use your Livlaster for my benefit,\I'll prepare a way for you to live with her.\That's right. That's right.\You can't shoot Hana Mutou\A telepathic kiss?\Is it you? response:	Wake up, Hana.
context: Then obey me, and be my tool.\If you use your Livlaster for my benefit,\I'll prepare a way for you to live with her.\That's right. That's right.\You can't shoot Hana Mutou\A telepathic kiss?\Is it you?\Wake up, Hana. response:	I knew you'd come.
context: If you use your Livlaster for my benefit,\I'll prepare a way for you to live with her.\That's right. That's right.\You can't shoot Hana Mutou\A telepathic kiss?\Is it you?\Wake up, Hana.\I knew you'd come. response:	I'm sorry I'm a little late.
context: I'll prepare a way for you to live with her.\That's right. That's right.\You can't shoot Hana Mutou\A telepathic kiss?\Is it you?\Wake up, Hana.\I knew you'd come.\I'm sorry I'm a little late. response:	You think taking back one bio-part means you've won?
context: That's right. That's right.\You can't shoot Hana Mutou\A telepathic kiss?\Is it you?\Wake up, Hana.\I knew you'd come.\I'm sorry I'm a little late.\You think taking back one bio-part means you've won? response:	The bio-part called Hana Mutou cannot control this ship any longer.
context: You can't shoot Hana Mutou\A telepathic kiss?\Is it you?\Wake up, Hana.\I knew you'd come.\I'm sorry I'm a little late.\You think taking back one bio-part means you've won?\The bio-part called Hana Mutou cannot control this ship any longer. response:	If you destroy my Ego Block,
context: A telepathic kiss?\Is it you?\Wake up, Hana.\I knew you'd come.\I'm sorry I'm a little late.\You think taking back one bio-part means you've won?\The bio-part called Hana Mutou cannot control this ship any longer.\If you destroy my Ego Block, response:	this ship, with its huge mass, will fall to Earth at this speed.
context: Is it you?\Wake up, Hana.\I knew you'd come.\I'm sorry I'm a little late.\You think taking back one bio-part means you've won?\The bio-part called Hana Mutou cannot control this ship any longer.\If you destroy my Ego Block,\this ship, with its huge mass, will fall to Earth at this speed. response:	Is that all right with you?
context: Wake up, Hana.\I knew you'd come.\I'm sorry I'm a little late.\You think taking back one bio-part means you've won?\The bio-part called Hana Mutou cannot control this ship any longer.\If you destroy my Ego Block,\this ship, with its huge mass, will fall to Earth at this speed.\Is that all right with you? response:	The whole planet's climate will change.
context: I knew you'd come.\I'm sorry I'm a little late.\You think taking back one bio-part means you've won?\The bio-part called Hana Mutou cannot control this ship any longer.\If you destroy my Ego Block,\this ship, with its huge mass, will fall to Earth at this speed.\Is that all right with you?\The whole planet's climate will change. response:	Earth will become a dead planet.
context: I'm sorry I'm a little late.\You think taking back one bio-part means you've won?\The bio-part called Hana Mutou cannot control this ship any longer.\If you destroy my Ego Block,\this ship, with its huge mass, will fall to Earth at this speed.\Is that all right with you?\The whole planet's climate will change.\Earth will become a dead planet. response:	And if this body is destroyed, that bio-part will die.
context: You think taking back one bio-part means you've won?\The bio-part called Hana Mutou cannot control this ship any longer.\If you destroy my Ego Block,\this ship, with its huge mass, will fall to Earth at this speed.\Is that all right with you?\The whole planet's climate will change.\Earth will become a dead planet.\And if this body is destroyed, that bio-part will die. response:	Put down your Livlaster, Daichi Manatsu.
context: The bio-part called Hana Mutou cannot control this ship any longer.\If you destroy my Ego Block,\this ship, with its huge mass, will fall to Earth at this speed.\Is that all right with you?\The whole planet's climate will change.\Earth will become a dead planet.\And if this body is destroyed, that bio-part will die.\Put down your Livlaster, Daichi Manatsu. response:	You must obey me, and I'll save you both.
context: If you destroy my Ego Block,\this ship, with its huge mass, will fall to Earth at this speed.\Is that all right with you?\The whole planet's climate will change.\Earth will become a dead planet.\And if this body is destroyed, that bio-part will die.\Put down your Livlaster, Daichi Manatsu.\You must obey me, and I'll save you both. response:	Puck does not lie
context: this ship, with its huge mass, will fall to Earth at this speed.\Is that all right with you?\The whole planet's climate will change.\Earth will become a dead planet.\And if this body is destroyed, that bio-part will die.\Put down your Livlaster, Daichi Manatsu.\You must obey me, and I'll save you both.\Puck does not lie response:	Hana!
context: Is that all right with you?\The whole planet's climate will change.\Earth will become a dead planet.\And if this body is destroyed, that bio-part will die.\Put down your Livlaster, Daichi Manatsu.\You must obey me, and I'll save you both.\Puck does not lie\Hana! response:	You do lie.
context: The whole planet's climate will change.\Earth will become a dead planet.\And if this body is destroyed, that bio-part will die.\Put down your Livlaster, Daichi Manatsu.\You must obey me, and I'll save you both.\Puck does not lie\Hana!\You do lie. response:	The real reason you wanted this body is because if you remain an Ego Block
context: Earth will become a dead planet.\And if this body is destroyed, that bio-part will die.\Put down your Livlaster, Daichi Manatsu.\You must obey me, and I'll save you both.\Puck does not lie\Hana!\You do lie.\The real reason you wanted this body is because if you remain an Ego Block response:	while you enter the Earth's atmosphere, you'll cause a libido burst!
context: And if this body is destroyed, that bio-part will die.\Put down your Livlaster, Daichi Manatsu.\You must obey me, and I'll save you both.\Puck does not lie\Hana!\You do lie.\The real reason you wanted this body is because if you remain an Ego Block\while you enter the Earth's atmosphere, you'll cause a libido burst! response:	You little...
context: Put down your Livlaster, Daichi Manatsu.\You must obey me, and I'll save you both.\Puck does not lie\Hana!\You do lie.\The real reason you wanted this body is because if you remain an Ego Block\while you enter the Earth's atmosphere, you'll cause a libido burst!\You little... response:	So I'll destroy this body before you can make it there!
context: You must obey me, and I'll save you both.\Puck does not lie\Hana!\You do lie.\The real reason you wanted this body is because if you remain an Ego Block\while you enter the Earth's atmosphere, you'll cause a libido burst!\You little...\So I'll destroy this body before you can make it there! response:	Please, Daichi... Help me.
context: Puck does not lie\Hana!\You do lie.\The real reason you wanted this body is because if you remain an Ego Block\while you enter the Earth's atmosphere, you'll cause a libido burst!\You little...\So I'll destroy this body before you can make it there!\Please, Daichi... Help me. response:	I want to protect that planet where the people I love live.
context: Hana!\You do lie.\The real reason you wanted this body is because if you remain an Ego Block\while you enter the Earth's atmosphere, you'll cause a libido burst!\You little...\So I'll destroy this body before you can make it there!\Please, Daichi... Help me.\I want to protect that planet where the people I love live. response:	I want to protect the planet where I met you.
context: You do lie.\The real reason you wanted this body is because if you remain an Ego Block\while you enter the Earth's atmosphere, you'll cause a libido burst!\You little...\So I'll destroy this body before you can make it there!\Please, Daichi... Help me.\I want to protect that planet where the people I love live.\I want to protect the planet where I met you. response:	I want to live on that planet in a way that, no matter when I die, I won't regret it!
context: The real reason you wanted this body is because if you remain an Ego Block\while you enter the Earth's atmosphere, you'll cause a libido burst!\You little...\So I'll destroy this body before you can make it there!\Please, Daichi... Help me.\I want to protect that planet where the people I love live.\I want to protect the planet where I met you.\I want to live on that planet in a way that, no matter when I die, I won't regret it! response:	So that's it, huh?
context: while you enter the Earth's atmosphere, you'll cause a libido burst!\You little...\So I'll destroy this body before you can make it there!\Please, Daichi... Help me.\I want to protect that planet where the people I love live.\I want to protect the planet where I met you.\I want to live on that planet in a way that, no matter when I die, I won't regret it!\So that's it, huh? response:	Dad...
context: You little...\So I'll destroy this body before you can make it there!\Please, Daichi... Help me.\I want to protect that planet where the people I love live.\I want to protect the planet where I met you.\I want to live on that planet in a way that, no matter when I die, I won't regret it!\So that's it, huh?\Dad... response:	Without the Boosted, you are powerless to hurt me!
context: So I'll destroy this body before you can make it there!\Please, Daichi... Help me.\I want to protect that planet where the people I love live.\I want to protect the planet where I met you.\I want to live on that planet in a way that, no matter when I die, I won't regret it!\So that's it, huh?\Dad...\Without the Boosted, you are powerless to hurt me! response:	Power doesn't come first.
context: Please, Daichi... Help me.\I want to protect that planet where the people I love live.\I want to protect the planet where I met you.\I want to live on that planet in a way that, no matter when I die, I won't regret it!\So that's it, huh?\Dad...\Without the Boosted, you are powerless to hurt me!\Power doesn't come first. response:	What?
context: I want to protect that planet where the people I love live.\I want to protect the planet where I met you.\I want to live on that planet in a way that, no matter when I die, I won't regret it!\So that's it, huh?\Dad...\Without the Boosted, you are powerless to hurt me!\Power doesn't come first.\What? response:	Your feelings come first!
context: I want to protect the planet where I met you.\I want to live on that planet in a way that, no matter when I die, I won't regret it!\So that's it, huh?\Dad...\Without the Boosted, you are powerless to hurt me!\Power doesn't come first.\What?\Your feelings come first! response:	That's right.
context: I want to live on that planet in a way that, no matter when I die, I won't regret it!\So that's it, huh?\Dad...\Without the Boosted, you are powerless to hurt me!\Power doesn't come first.\What?\Your feelings come first!\That's right. response:	And we've always turned the strength of our feelings into power!
context: So that's it, huh?\Dad...\Without the Boosted, you are powerless to hurt me!\Power doesn't come first.\What?\Your feelings come first!\That's right.\And we've always turned the strength of our feelings into power! response:	What?!
context: Dad...\Without the Boosted, you are powerless to hurt me!\Power doesn't come first.\What?\Your feelings come first!\That's right.\And we've always turned the strength of our feelings into power!\What?! response:	Stop! What are you doing?
context: Without the Boosted, you are powerless to hurt me!\Power doesn't come first.\What?\Your feelings come first!\That's right.\And we've always turned the strength of our feelings into power!\What?!\Stop! What are you doing? response:	Now you've done it, Hana Mutou... Daichi Manatsu!
context: Power doesn't come first.\What?\Your feelings come first!\That's right.\And we've always turned the strength of our feelings into power!\What?!\Stop! What are you doing?\Now you've done it, Hana Mutou... Daichi Manatsu! response:	Hana!
context: What?\Your feelings come first!\That's right.\And we've always turned the strength of our feelings into power!\What?!\Stop! What are you doing?\Now you've done it, Hana Mutou... Daichi Manatsu!\Hana! response:	I want to leave here and live with you!
context: Your feelings come first!\That's right.\And we've always turned the strength of our feelings into power!\What?!\Stop! What are you doing?\Now you've done it, Hana Mutou... Daichi Manatsu!\Hana!\I want to leave here and live with you! response:	Let's survive! Together!
context: That's right.\And we've always turned the strength of our feelings into power!\What?!\Stop! What are you doing?\Now you've done it, Hana Mutou... Daichi Manatsu!\Hana!\I want to leave here and live with you!\Let's survive! Together! response:	If I'm going to die, I'll take you with me!
context: And we've always turned the strength of our feelings into power!\What?!\Stop! What are you doing?\Now you've done it, Hana Mutou... Daichi Manatsu!\Hana!\I want to leave here and live with you!\Let's survive! Together!\If I'm going to die, I'll take you with me! response:	Hana!
context: What?!\Stop! What are you doing?\Now you've done it, Hana Mutou... Daichi Manatsu!\Hana!\I want to leave here and live with you!\Let's survive! Together!\If I'm going to die, I'll take you with me!\Hana! response:	Where are the captain and Hana?
context: Stop! What are you doing?\Now you've done it, Hana Mutou... Daichi Manatsu!\Hana!\I want to leave here and live with you!\Let's survive! Together!\If I'm going to die, I'll take you with me!\Hana!\Where are the captain and Hana? response:	Hana!
context: Now you've done it, Hana Mutou... Daichi Manatsu!\Hana!\I want to leave here and live with you!\Let's survive! Together!\If I'm going to die, I'll take you with me!\Hana!\Where are the captain and Hana?\Hana! response:	Daichi...
context: Hana!\I want to leave here and live with you!\Let's survive! Together!\If I'm going to die, I'll take you with me!\Hana!\Where are the captain and Hana?\Hana!\Daichi... response:	Where's Amara?
context: I want to leave here and live with you!\Let's survive! Together!\If I'm going to die, I'll take you with me!\Hana!\Where are the captain and Hana?\Hana!\Daichi...\Where's Amara? response:	He left.
context: Let's survive! Together!\If I'm going to die, I'll take you with me!\Hana!\Where are the captain and Hana?\Hana!\Daichi...\Where's Amara?\He left. response:	Oh...
context: If I'm going to die, I'll take you with me!\Hana!\Where are the captain and Hana?\Hana!\Daichi...\Where's Amara?\He left.\Oh... response:	I'm back, Lappa.
context: Hana!\Where are the captain and Hana?\Hana!\Daichi...\Where's Amara?\He left.\Oh...\I'm back, Lappa. response:	It's such a pretty galaxy...
context: Where are the captain and Hana?\Hana!\Daichi...\Where's Amara?\He left.\Oh...\I'm back, Lappa.\It's such a pretty galaxy... response:	I love the view of space from this planet most of all.
context: Hana!\Daichi...\Where's Amara?\He left.\Oh...\I'm back, Lappa.\It's such a pretty galaxy...\I love the view of space from this planet most of all. response:	Me, too.
context: Daichi...\Where's Amara?\He left.\Oh...\I'm back, Lappa.\It's such a pretty galaxy...\I love the view of space from this planet most of all.\Me, too. response:	Thank you!!
