context: I'm sorry. response:	This is the best I could do right now.
context: You're the who says crazy things about not going by the book.\You were a bookworm then, and you're a bookworm now.\You probably just took too long to get ready.\You instantly forget things when it's in your best interest to do so.\Fine, fine.\We came this close to dying.\I guess we had the devil's own luck, too.\You're wrong. What saved us was Captain Cain. response:	The words he said to us that day still echo deep inside me.
context: You were a bookworm then, and you're a bookworm now.\You probably just took too long to get ready.\You instantly forget things when it's in your best interest to do so.\Fine, fine.\We came this close to dying.\I guess we had the devil's own luck, too.\You're wrong. What saved us was Captain Cain.\The words he said to us that day still echo deep inside me. response:	He's such an amazing man.
context: You probably just took too long to get ready.\You instantly forget things when it's in your best interest to do so.\Fine, fine.\We came this close to dying.\I guess we had the devil's own luck, too.\You're wrong. What saved us was Captain Cain.\The words he said to us that day still echo deep inside me.\He's such an amazing man. response:	Oh, right...
context: You instantly forget things when it's in your best interest to do so.\Fine, fine.\We came this close to dying.\I guess we had the devil's own luck, too.\You're wrong. What saved us was Captain Cain.\The words he said to us that day still echo deep inside me.\He's such an amazing man.\Oh, right... response:	I'm not going to make the afternoon meeting.
context: Fine, fine.\We came this close to dying.\I guess we had the devil's own luck, too.\You're wrong. What saved us was Captain Cain.\The words he said to us that day still echo deep inside me.\He's such an amazing man.\Oh, right...\I'm not going to make the afternoon meeting. response:	Write up a report for me.
context: We came this close to dying.\I guess we had the devil's own luck, too.\You're wrong. What saved us was Captain Cain.\The words he said to us that day still echo deep inside me.\He's such an amazing man.\Oh, right...\I'm not going to make the afternoon meeting.\Write up a report for me. response:	You have something more important to do?
context: I guess we had the devil's own luck, too.\You're wrong. What saved us was Captain Cain.\The words he said to us that day still echo deep inside me.\He's such an amazing man.\Oh, right...\I'm not going to make the afternoon meeting.\Write up a report for me.\You have something more important to do? response:	Yes, the Captain wants to see me.
context: You're wrong. What saved us was Captain Cain.\The words he said to us that day still echo deep inside me.\He's such an amazing man.\Oh, right...\I'm not going to make the afternoon meeting.\Write up a report for me.\You have something more important to do?\Yes, the Captain wants to see me. response:	I'm being sent to a manor in the Grunau district.
context: The words he said to us that day still echo deep inside me.\He's such an amazing man.\Oh, right...\I'm not going to make the afternoon meeting.\Write up a report for me.\You have something more important to do?\Yes, the Captain wants to see me.\I'm being sent to a manor in the Grunau district. response:	Grunau!
context: He's such an amazing man.\Oh, right...\I'm not going to make the afternoon meeting.\Write up a report for me.\You have something more important to do?\Yes, the Captain wants to see me.\I'm being sent to a manor in the Grunau district.\Grunau! response:	What is it?
context: Oh, right...\I'm not going to make the afternoon meeting.\Write up a report for me.\You have something more important to do?\Yes, the Captain wants to see me.\I'm being sent to a manor in the Grunau district.\Grunau!\What is it? response:	Forget it, it's nothing. Watch your back.
context: I'm not going to make the afternoon meeting.\Write up a report for me.\You have something more important to do?\Yes, the Captain wants to see me.\I'm being sent to a manor in the Grunau district.\Grunau!\What is it?\Forget it, it's nothing. Watch your back. response:	What am I, a kid?
context: Write up a report for me.\You have something more important to do?\Yes, the Captain wants to see me.\I'm being sent to a manor in the Grunau district.\Grunau!\What is it?\Forget it, it's nothing. Watch your back.\What am I, a kid? response:	Grunau...
context: You have something more important to do?\Yes, the Captain wants to see me.\I'm being sent to a manor in the Grunau district.\Grunau!\What is it?\Forget it, it's nothing. Watch your back.\What am I, a kid?\Grunau... response:	I have to fight.
context: Yes, the Captain wants to see me.\I'm being sent to a manor in the Grunau district.\Grunau!\What is it?\Forget it, it's nothing. Watch your back.\What am I, a kid?\Grunau...\I have to fight. response:	Shoko, no, everyone, is counting on me.
context: I'm being sent to a manor in the Grunau district.\Grunau!\What is it?\Forget it, it's nothing. Watch your back.\What am I, a kid?\Grunau...\I have to fight.\Shoko, no, everyone, is counting on me. response:	I have to find Miss Rukino, too, but I...
context: Grunau!\What is it?\Forget it, it's nothing. Watch your back.\What am I, a kid?\Grunau...\I have to fight.\Shoko, no, everyone, is counting on me.\I have to find Miss Rukino, too, but I... response:	Not good. You're the same. Like her.
context: What is it?\Forget it, it's nothing. Watch your back.\What am I, a kid?\Grunau...\I have to fight.\Shoko, no, everyone, is counting on me.\I have to find Miss Rukino, too, but I...\Not good. You're the same. Like her. response:	The same how?
context: Forget it, it's nothing. Watch your back.\What am I, a kid?\Grunau...\I have to fight.\Shoko, no, everyone, is counting on me.\I have to find Miss Rukino, too, but I...\Not good. You're the same. Like her.\The same how? response:	Runes decreasing. Are you body-jacking?
context: What am I, a kid?\Grunau...\I have to fight.\Shoko, no, everyone, is counting on me.\I have to find Miss Rukino, too, but I...\Not good. You're the same. Like her.\The same how?\Runes decreasing. Are you body-jacking? response:	Because you are eating them.
context: Grunau...\I have to fight.\Shoko, no, everyone, is counting on me.\I have to find Miss Rukino, too, but I...\Not good. You're the same. Like her.\The same how?\Runes decreasing. Are you body-jacking?\Because you are eating them. response:	Will eventually lose memories. Lose life.
context: I have to fight.\Shoko, no, everyone, is counting on me.\I have to find Miss Rukino, too, but I...\Not good. You're the same. Like her.\The same how?\Runes decreasing. Are you body-jacking?\Because you are eating them.\Will eventually lose memories. Lose life. response:	That doesn't matter.
context: Shoko, no, everyone, is counting on me.\I have to find Miss Rukino, too, but I...\Not good. You're the same. Like her.\The same how?\Runes decreasing. Are you body-jacking?\Because you are eating them.\Will eventually lose memories. Lose life.\That doesn't matter. response:	What's important is that you answer my question.
context: I have to find Miss Rukino, too, but I...\Not good. You're the same. Like her.\The same how?\Runes decreasing. Are you body-jacking?\Because you are eating them.\Will eventually lose memories. Lose life.\That doesn't matter.\What's important is that you answer my question. response:	Are modified JIORans the only ones who can pilot the Valvraves?
context: Not good. You're the same. Like her.\The same how?\Runes decreasing. Are you body-jacking?\Because you are eating them.\Will eventually lose memories. Lose life.\That doesn't matter.\What's important is that you answer my question.\Are modified JIORans the only ones who can pilot the Valvraves? response:	Modified?
context: The same how?\Runes decreasing. Are you body-jacking?\Because you are eating them.\Will eventually lose memories. Lose life.\That doesn't matter.\What's important is that you answer my question.\Are modified JIORans the only ones who can pilot the Valvraves?\Modified? response:	I mean Sakimori Academy students.
context: Runes decreasing. Are you body-jacking?\Because you are eating them.\Will eventually lose memories. Lose life.\That doesn't matter.\What's important is that you answer my question.\Are modified JIORans the only ones who can pilot the Valvraves?\Modified?\I mean Sakimori Academy students. response:	Oh. Maybe.
context: Because you are eating them.\Will eventually lose memories. Lose life.\That doesn't matter.\What's important is that you answer my question.\Are modified JIORans the only ones who can pilot the Valvraves?\Modified?\I mean Sakimori Academy students.\Oh. Maybe. response:	All the others. All of them were no good.
context: Will eventually lose memories. Lose life.\That doesn't matter.\What's important is that you answer my question.\Are modified JIORans the only ones who can pilot the Valvraves?\Modified?\I mean Sakimori Academy students.\Oh. Maybe.\All the others. All of them were no good. response:	Made me feel sick.
context: That doesn't matter.\What's important is that you answer my question.\Are modified JIORans the only ones who can pilot the Valvraves?\Modified?\I mean Sakimori Academy students.\Oh. Maybe.\All the others. All of them were no good.\Made me feel sick. response:	You won't work, either. You don't look very tasty.
context: What's important is that you answer my question.\Are modified JIORans the only ones who can pilot the Valvraves?\Modified?\I mean Sakimori Academy students.\Oh. Maybe.\All the others. All of them were no good.\Made me feel sick.\You won't work, either. You don't look very tasty. response:	People call it the Castle of No Return.
context: Are modified JIORans the only ones who can pilot the Valvraves?\Modified?\I mean Sakimori Academy students.\Oh. Maybe.\All the others. All of them were no good.\Made me feel sick.\You won't work, either. You don't look very tasty.\People call it the Castle of No Return. response:	It's a manor that Cain visits regularly when he's off duty.
context: Modified?\I mean Sakimori Academy students.\Oh. Maybe.\All the others. All of them were no good.\Made me feel sick.\You won't work, either. You don't look very tasty.\People call it the Castle of No Return.\It's a manor that Cain visits regularly when he's off duty. response:	As I recall, it's located in the Grunau district...
context: I mean Sakimori Academy students.\Oh. Maybe.\All the others. All of them were no good.\Made me feel sick.\You won't work, either. You don't look very tasty.\People call it the Castle of No Return.\It's a manor that Cain visits regularly when he's off duty.\As I recall, it's located in the Grunau district... response:	Just as I thought. I'm glad I heard you out.
context: Oh. Maybe.\All the others. All of them were no good.\Made me feel sick.\You won't work, either. You don't look very tasty.\People call it the Castle of No Return.\It's a manor that Cain visits regularly when he's off duty.\As I recall, it's located in the Grunau district...\Just as I thought. I'm glad I heard you out. response:	There's a constant stream of bizarre rumors about the place.
context: All the others. All of them were no good.\Made me feel sick.\You won't work, either. You don't look very tasty.\People call it the Castle of No Return.\It's a manor that Cain visits regularly when he's off duty.\As I recall, it's located in the Grunau district...\Just as I thought. I'm glad I heard you out.\There's a constant stream of bizarre rumors about the place. response:	Even its name comes from the fact that
context: Made me feel sick.\You won't work, either. You don't look very tasty.\People call it the Castle of No Return.\It's a manor that Cain visits regularly when he's off duty.\As I recall, it's located in the Grunau district...\Just as I thought. I'm glad I heard you out.\There's a constant stream of bizarre rumors about the place.\Even its name comes from the fact that response:	people who are brought there are never seen again.
context: You won't work, either. You don't look very tasty.\People call it the Castle of No Return.\It's a manor that Cain visits regularly when he's off duty.\As I recall, it's located in the Grunau district...\Just as I thought. I'm glad I heard you out.\There's a constant stream of bizarre rumors about the place.\Even its name comes from the fact that\people who are brought there are never seen again. response:	It's that dangerous, huh?
context: People call it the Castle of No Return.\It's a manor that Cain visits regularly when he's off duty.\As I recall, it's located in the Grunau district...\Just as I thought. I'm glad I heard you out.\There's a constant stream of bizarre rumors about the place.\Even its name comes from the fact that\people who are brought there are never seen again.\It's that dangerous, huh? response:	I'd love to look into it, but I have more pressing matters at the moment.
context: It's a manor that Cain visits regularly when he's off duty.\As I recall, it's located in the Grunau district...\Just as I thought. I'm glad I heard you out.\There's a constant stream of bizarre rumors about the place.\Even its name comes from the fact that\people who are brought there are never seen again.\It's that dangerous, huh?\I'd love to look into it, but I have more pressing matters at the moment. response:	Look, could you give me the exact location?
context: As I recall, it's located in the Grunau district...\Just as I thought. I'm glad I heard you out.\There's a constant stream of bizarre rumors about the place.\Even its name comes from the fact that\people who are brought there are never seen again.\It's that dangerous, huh?\I'd love to look into it, but I have more pressing matters at the moment.\Look, could you give me the exact location? response:	We have plans in motion. Don't do anything stupid.
context: Just as I thought. I'm glad I heard you out.\There's a constant stream of bizarre rumors about the place.\Even its name comes from the fact that\people who are brought there are never seen again.\It's that dangerous, huh?\I'd love to look into it, but I have more pressing matters at the moment.\Look, could you give me the exact location?\We have plans in motion. Don't do anything stupid. response:	Relax, it's not like that.
context: There's a constant stream of bizarre rumors about the place.\Even its name comes from the fact that\people who are brought there are never seen again.\It's that dangerous, huh?\I'd love to look into it, but I have more pressing matters at the moment.\Look, could you give me the exact location?\We have plans in motion. Don't do anything stupid.\Relax, it's not like that. response:	I'm about to get my hands on some juicy intel,
context: Even its name comes from the fact that\people who are brought there are never seen again.\It's that dangerous, huh?\I'd love to look into it, but I have more pressing matters at the moment.\Look, could you give me the exact location?\We have plans in motion. Don't do anything stupid.\Relax, it's not like that.\I'm about to get my hands on some juicy intel, response:	so I want to memorize potentially important keywords.
context: people who are brought there are never seen again.\It's that dangerous, huh?\I'd love to look into it, but I have more pressing matters at the moment.\Look, could you give me the exact location?\We have plans in motion. Don't do anything stupid.\Relax, it's not like that.\I'm about to get my hands on some juicy intel,\so I want to memorize potentially important keywords. response:	Are you sure it's a good idea to bench two of us pilots?
context: It's that dangerous, huh?\I'd love to look into it, but I have more pressing matters at the moment.\Look, could you give me the exact location?\We have plans in motion. Don't do anything stupid.\Relax, it's not like that.\I'm about to get my hands on some juicy intel,\so I want to memorize potentially important keywords.\Are you sure it's a good idea to bench two of us pilots? response:	Perhaps not, but you are the best choice to search for Saki Rukino.
context: I'd love to look into it, but I have more pressing matters at the moment.\Look, could you give me the exact location?\We have plans in motion. Don't do anything stupid.\Relax, it's not like that.\I'm about to get my hands on some juicy intel,\so I want to memorize potentially important keywords.\Are you sure it's a good idea to bench two of us pilots?\Perhaps not, but you are the best choice to search for Saki Rukino. response:	Your hand-to-hand combat abilities are second only to my own.
context: Look, could you give me the exact location?\We have plans in motion. Don't do anything stupid.\Relax, it's not like that.\I'm about to get my hands on some juicy intel,\so I want to memorize potentially important keywords.\Are you sure it's a good idea to bench two of us pilots?\Perhaps not, but you are the best choice to search for Saki Rukino.\Your hand-to-hand combat abilities are second only to my own. response:	And hacking will prove useful in the search.
context: We have plans in motion. Don't do anything stupid.\Relax, it's not like that.\I'm about to get my hands on some juicy intel,\so I want to memorize potentially important keywords.\Are you sure it's a good idea to bench two of us pilots?\Perhaps not, but you are the best choice to search for Saki Rukino.\Your hand-to-hand combat abilities are second only to my own.\And hacking will prove useful in the search. response:	You win.
context: Relax, it's not like that.\I'm about to get my hands on some juicy intel,\so I want to memorize potentially important keywords.\Are you sure it's a good idea to bench two of us pilots?\Perhaps not, but you are the best choice to search for Saki Rukino.\Your hand-to-hand combat abilities are second only to my own.\And hacking will prove useful in the search.\You win. response:	Plus, you're the only one other than me who can recognize
context: I'm about to get my hands on some juicy intel,\so I want to memorize potentially important keywords.\Are you sure it's a good idea to bench two of us pilots?\Perhaps not, but you are the best choice to search for Saki Rukino.\Your hand-to-hand combat abilities are second only to my own.\And hacking will prove useful in the search.\You win.\Plus, you're the only one other than me who can recognize response:	Rukino in her jacked body.
context: so I want to memorize potentially important keywords.\Are you sure it's a good idea to bench two of us pilots?\Perhaps not, but you are the best choice to search for Saki Rukino.\Your hand-to-hand combat abilities are second only to my own.\And hacking will prove useful in the search.\You win.\Plus, you're the only one other than me who can recognize\Rukino in her jacked body. response:	Akira!
context: Are you sure it's a good idea to bench two of us pilots?\Perhaps not, but you are the best choice to search for Saki Rukino.\Your hand-to-hand combat abilities are second only to my own.\And hacking will prove useful in the search.\You win.\Plus, you're the only one other than me who can recognize\Rukino in her jacked body.\Akira! response:	Listen, don't drink any unboiled water. And do you have your cell phone?
context: Perhaps not, but you are the best choice to search for Saki Rukino.\Your hand-to-hand combat abilities are second only to my own.\And hacking will prove useful in the search.\You win.\Plus, you're the only one other than me who can recognize\Rukino in her jacked body.\Akira!\Listen, don't drink any unboiled water. And do you have your cell phone? response:	I have it.
context: Your hand-to-hand combat abilities are second only to my own.\And hacking will prove useful in the search.\You win.\Plus, you're the only one other than me who can recognize\Rukino in her jacked body.\Akira!\Listen, don't drink any unboiled water. And do you have your cell phone?\I have it. response:	Are you sure you don't want me to stay behind?
context: And hacking will prove useful in the search.\You win.\Plus, you're the only one other than me who can recognize\Rukino in her jacked body.\Akira!\Listen, don't drink any unboiled water. And do you have your cell phone?\I have it.\Are you sure you don't want me to stay behind? response:	You will be working with me independently. On an operation.
context: You win.\Plus, you're the only one other than me who can recognize\Rukino in her jacked body.\Akira!\Listen, don't drink any unboiled water. And do you have your cell phone?\I have it.\Are you sure you don't want me to stay behind?\You will be working with me independently. On an operation. response:	Otamaya! Prep all the Valvraves so that they can be
context: Plus, you're the only one other than me who can recognize\Rukino in her jacked body.\Akira!\Listen, don't drink any unboiled water. And do you have your cell phone?\I have it.\Are you sure you don't want me to stay behind?\You will be working with me independently. On an operation.\Otamaya! Prep all the Valvraves so that they can be response:	powered up at a moment's notice.
context: Rukino in her jacked body.\Akira!\Listen, don't drink any unboiled water. And do you have your cell phone?\I have it.\Are you sure you don't want me to stay behind?\You will be working with me independently. On an operation.\Otamaya! Prep all the Valvraves so that they can be\powered up at a moment's notice. response:	The Phantom, a ship that doesn't exist in Dorssian records,
context: Akira!\Listen, don't drink any unboiled water. And do you have your cell phone?\I have it.\Are you sure you don't want me to stay behind?\You will be working with me independently. On an operation.\Otamaya! Prep all the Valvraves so that they can be\powered up at a moment's notice.\The Phantom, a ship that doesn't exist in Dorssian records, response:	and whose intended use is unknown.
context: Listen, don't drink any unboiled water. And do you have your cell phone?\I have it.\Are you sure you don't want me to stay behind?\You will be working with me independently. On an operation.\Otamaya! Prep all the Valvraves so that they can be\powered up at a moment's notice.\The Phantom, a ship that doesn't exist in Dorssian records,\and whose intended use is unknown. response:	The Royalists lack the equipment to track anything in the water.
context: I have it.\Are you sure you don't want me to stay behind?\You will be working with me independently. On an operation.\Otamaya! Prep all the Valvraves so that they can be\powered up at a moment's notice.\The Phantom, a ship that doesn't exist in Dorssian records,\and whose intended use is unknown.\The Royalists lack the equipment to track anything in the water. response:	And that's why they needed our help, huh?
context: Are you sure you don't want me to stay behind?\You will be working with me independently. On an operation.\Otamaya! Prep all the Valvraves so that they can be\powered up at a moment's notice.\The Phantom, a ship that doesn't exist in Dorssian records,\and whose intended use is unknown.\The Royalists lack the equipment to track anything in the water.\And that's why they needed our help, huh? response:	If we can find out which waterway it is using, tracking it will be simple.
context: You will be working with me independently. On an operation.\Otamaya! Prep all the Valvraves so that they can be\powered up at a moment's notice.\The Phantom, a ship that doesn't exist in Dorssian records,\and whose intended use is unknown.\The Royalists lack the equipment to track anything in the water.\And that's why they needed our help, huh?\If we can find out which waterway it is using, tracking it will be simple. response:	The people behind the scenes have let their guard down.
context: Otamaya! Prep all the Valvraves so that they can be\powered up at a moment's notice.\The Phantom, a ship that doesn't exist in Dorssian records,\and whose intended use is unknown.\The Royalists lack the equipment to track anything in the water.\And that's why they needed our help, huh?\If we can find out which waterway it is using, tracking it will be simple.\The people behind the scenes have let their guard down. response:	What's that the emblem of?
context: powered up at a moment's notice.\The Phantom, a ship that doesn't exist in Dorssian records,\and whose intended use is unknown.\The Royalists lack the equipment to track anything in the water.\And that's why they needed our help, huh?\If we can find out which waterway it is using, tracking it will be simple.\The people behind the scenes have let their guard down.\What's that the emblem of? response:	I've never seen it, either.
context: The Phantom, a ship that doesn't exist in Dorssian records,\and whose intended use is unknown.\The Royalists lack the equipment to track anything in the water.\And that's why they needed our help, huh?\If we can find out which waterway it is using, tracking it will be simple.\The people behind the scenes have let their guard down.\What's that the emblem of?\I've never seen it, either. response:	It's a crest that doesn't belong to the military or the royal family.
context: and whose intended use is unknown.\The Royalists lack the equipment to track anything in the water.\And that's why they needed our help, huh?\If we can find out which waterway it is using, tracking it will be simple.\The people behind the scenes have let their guard down.\What's that the emblem of?\I've never seen it, either.\It's a crest that doesn't belong to the military or the royal family. response:	I'm going to expose you for what you really are...
context: The Royalists lack the equipment to track anything in the water.\And that's why they needed our help, huh?\If we can find out which waterway it is using, tracking it will be simple.\The people behind the scenes have let their guard down.\What's that the emblem of?\I've never seen it, either.\It's a crest that doesn't belong to the military or the royal family.\I'm going to expose you for what you really are... response:	Stolen transport located.
context: And that's why they needed our help, huh?\If we can find out which waterway it is using, tracking it will be simple.\The people behind the scenes have let their guard down.\What's that the emblem of?\I've never seen it, either.\It's a crest that doesn't belong to the military or the royal family.\I'm going to expose you for what you really are...\Stolen transport located. response:	All soldiers on guard duty, assemble at once.
context: If we can find out which waterway it is using, tracking it will be simple.\The people behind the scenes have let their guard down.\What's that the emblem of?\I've never seen it, either.\It's a crest that doesn't belong to the military or the royal family.\I'm going to expose you for what you really are...\Stolen transport located.\All soldiers on guard duty, assemble at once. response:	I repeat, stolen transport has been located.
context: The people behind the scenes have let their guard down.\What's that the emblem of?\I've never seen it, either.\It's a crest that doesn't belong to the military or the royal family.\I'm going to expose you for what you really are...\Stolen transport located.\All soldiers on guard duty, assemble at once.\I repeat, stolen transport has been located. response:	All soldiers on guard duty, assemble at once.
context: What's that the emblem of?\I've never seen it, either.\It's a crest that doesn't belong to the military or the royal family.\I'm going to expose you for what you really are...\Stolen transport located.\All soldiers on guard duty, assemble at once.\I repeat, stolen transport has been located.\All soldiers on guard duty, assemble at once. response:	That's convenient.
context: I've never seen it, either.\It's a crest that doesn't belong to the military or the royal family.\I'm going to expose you for what you really are...\Stolen transport located.\All soldiers on guard duty, assemble at once.\I repeat, stolen transport has been located.\All soldiers on guard duty, assemble at once.\That's convenient. response:	That will thin out the castle's security.
context: It's a crest that doesn't belong to the military or the royal family.\I'm going to expose you for what you really are...\Stolen transport located.\All soldiers on guard duty, assemble at once.\I repeat, stolen transport has been located.\All soldiers on guard duty, assemble at once.\That's convenient.\That will thin out the castle's security. response:	I'll be using you to my advantage, my good students...
context: I'm going to expose you for what you really are...\Stolen transport located.\All soldiers on guard duty, assemble at once.\I repeat, stolen transport has been located.\All soldiers on guard duty, assemble at once.\That's convenient.\That will thin out the castle's security.\I'll be using you to my advantage, my good students... response:	We will need another impact booster up ahead, eh?
context: Stolen transport located.\All soldiers on guard duty, assemble at once.\I repeat, stolen transport has been located.\All soldiers on guard duty, assemble at once.\That's convenient.\That will thin out the castle's security.\I'll be using you to my advantage, my good students...\We will need another impact booster up ahead, eh? response:	Another crest here...
context: All soldiers on guard duty, assemble at once.\I repeat, stolen transport has been located.\All soldiers on guard duty, assemble at once.\That's convenient.\That will thin out the castle's security.\I'll be using you to my advantage, my good students...\We will need another impact booster up ahead, eh?\Another crest here... response:	X, I know that you worship the ground that Captain Cain walks on.
context: I repeat, stolen transport has been located.\All soldiers on guard duty, assemble at once.\That's convenient.\That will thin out the castle's security.\I'll be using you to my advantage, my good students...\We will need another impact booster up ahead, eh?\Another crest here...\X, I know that you worship the ground that Captain Cain walks on. response:	I know that you have no intention of listening to me.
context: All soldiers on guard duty, assemble at once.\That's convenient.\That will thin out the castle's security.\I'll be using you to my advantage, my good students...\We will need another impact booster up ahead, eh?\Another crest here...\X, I know that you worship the ground that Captain Cain walks on.\I know that you have no intention of listening to me. response:	But even so, I want to tell you this.
context: That's convenient.\That will thin out the castle's security.\I'll be using you to my advantage, my good students...\We will need another impact booster up ahead, eh?\Another crest here...\X, I know that you worship the ground that Captain Cain walks on.\I know that you have no intention of listening to me.\But even so, I want to tell you this. response:	I saw something.
context: That will thin out the castle's security.\I'll be using you to my advantage, my good students...\We will need another impact booster up ahead, eh?\Another crest here...\X, I know that you worship the ground that Captain Cain walks on.\I know that you have no intention of listening to me.\But even so, I want to tell you this.\I saw something. response:	I saw him do something that no ordinary person could do.
context: I'll be using you to my advantage, my good students...\We will need another impact booster up ahead, eh?\Another crest here...\X, I know that you worship the ground that Captain Cain walks on.\I know that you have no intention of listening to me.\But even so, I want to tell you this.\I saw something.\I saw him do something that no ordinary person could do. response:	That's when I was certain that the Captain isn't human.
context: We will need another impact booster up ahead, eh?\Another crest here...\X, I know that you worship the ground that Captain Cain walks on.\I know that you have no intention of listening to me.\But even so, I want to tell you this.\I saw something.\I saw him do something that no ordinary person could do.\That's when I was certain that the Captain isn't human. response:	H-neun.
context: Another crest here...\X, I know that you worship the ground that Captain Cain walks on.\I know that you have no intention of listening to me.\But even so, I want to tell you this.\I saw something.\I saw him do something that no ordinary person could do.\That's when I was certain that the Captain isn't human.\H-neun. response:	As I thought, you really do have a keen sense of smell.
context: X, I know that you worship the ground that Captain Cain walks on.\I know that you have no intention of listening to me.\But even so, I want to tell you this.\I saw something.\I saw him do something that no ordinary person could do.\That's when I was certain that the Captain isn't human.\H-neun.\As I thought, you really do have a keen sense of smell. response:	But if this mission was so important,
context: I know that you have no intention of listening to me.\But even so, I want to tell you this.\I saw something.\I saw him do something that no ordinary person could do.\That's when I was certain that the Captain isn't human.\H-neun.\As I thought, you really do have a keen sense of smell.\But if this mission was so important, response:	you shouldn't have tried to carry it out alone.
context: But even so, I want to tell you this.\I saw something.\I saw him do something that no ordinary person could do.\That's when I was certain that the Captain isn't human.\H-neun.\As I thought, you really do have a keen sense of smell.\But if this mission was so important,\you shouldn't have tried to carry it out alone. response:	Um, I was invited to come here, but I arrived early.
context: I saw something.\I saw him do something that no ordinary person could do.\That's when I was certain that the Captain isn't human.\H-neun.\As I thought, you really do have a keen sense of smell.\But if this mission was so important,\you shouldn't have tried to carry it out alone.\Um, I was invited to come here, but I arrived early. response:	Did you now?
context: I saw him do something that no ordinary person could do.\That's when I was certain that the Captain isn't human.\H-neun.\As I thought, you really do have a keen sense of smell.\But if this mission was so important,\you shouldn't have tried to carry it out alone.\Um, I was invited to come here, but I arrived early.\Did you now? response:	That's unusual, for someone as constantly tardy as you.
context: That's when I was certain that the Captain isn't human.\H-neun.\As I thought, you really do have a keen sense of smell.\But if this mission was so important,\you shouldn't have tried to carry it out alone.\Um, I was invited to come here, but I arrived early.\Did you now?\That's unusual, for someone as constantly tardy as you. response:	Did you come alone?
context: H-neun.\As I thought, you really do have a keen sense of smell.\But if this mission was so important,\you shouldn't have tried to carry it out alone.\Um, I was invited to come here, but I arrived early.\Did you now?\That's unusual, for someone as constantly tardy as you.\Did you come alone? response:	It's crucial to have
context: As I thought, you really do have a keen sense of smell.\But if this mission was so important,\you shouldn't have tried to carry it out alone.\Um, I was invited to come here, but I arrived early.\Did you now?\That's unusual, for someone as constantly tardy as you.\Did you come alone?\It's crucial to have response:	someone you can trust watching your back at all times, H-neun.
context: But if this mission was so important,\you shouldn't have tried to carry it out alone.\Um, I was invited to come here, but I arrived early.\Did you now?\That's unusual, for someone as constantly tardy as you.\Did you come alone?\It's crucial to have\someone you can trust watching your back at all times, H-neun. response:	Huh? That's an out of character thing for you to say.
context: you shouldn't have tried to carry it out alone.\Um, I was invited to come here, but I arrived early.\Did you now?\That's unusual, for someone as constantly tardy as you.\Did you come alone?\It's crucial to have\someone you can trust watching your back at all times, H-neun.\Huh? That's an out of character thing for you to say. response:	That day you saved us 12 years ago, you said something to us.
context: Um, I was invited to come here, but I arrived early.\Did you now?\That's unusual, for someone as constantly tardy as you.\Did you come alone?\It's crucial to have\someone you can trust watching your back at all times, H-neun.\Huh? That's an out of character thing for you to say.\That day you saved us 12 years ago, you said something to us. response:	Are you all right?
context: Did you now?\That's unusual, for someone as constantly tardy as you.\Did you come alone?\It's crucial to have\someone you can trust watching your back at all times, H-neun.\Huh? That's an out of character thing for you to say.\That day you saved us 12 years ago, you said something to us.\Are you all right? response:	Y-Yes, sir.
context: That's unusual, for someone as constantly tardy as you.\Did you come alone?\It's crucial to have\someone you can trust watching your back at all times, H-neun.\Huh? That's an out of character thing for you to say.\That day you saved us 12 years ago, you said something to us.\Are you all right?\Y-Yes, sir. response:	Never ask a friend to watch your back.
context: Did you come alone?\It's crucial to have\someone you can trust watching your back at all times, H-neun.\Huh? That's an out of character thing for you to say.\That day you saved us 12 years ago, you said something to us.\Are you all right?\Y-Yes, sir.\Never ask a friend to watch your back. response:	Have the strength to defend both your own back and your friends.
context: It's crucial to have\someone you can trust watching your back at all times, H-neun.\Huh? That's an out of character thing for you to say.\That day you saved us 12 years ago, you said something to us.\Are you all right?\Y-Yes, sir.\Never ask a friend to watch your back.\Have the strength to defend both your own back and your friends. response:	Yes, Captain!
context: someone you can trust watching your back at all times, H-neun.\Huh? That's an out of character thing for you to say.\That day you saved us 12 years ago, you said something to us.\Are you all right?\Y-Yes, sir.\Never ask a friend to watch your back.\Have the strength to defend both your own back and your friends.\Yes, Captain! response:	Yet here you are, saying the exact opposite.
context: Huh? That's an out of character thing for you to say.\That day you saved us 12 years ago, you said something to us.\Are you all right?\Y-Yes, sir.\Never ask a friend to watch your back.\Have the strength to defend both your own back and your friends.\Yes, Captain!\Yet here you are, saying the exact opposite. response:	X-eins would cry if he heard that.
context: That day you saved us 12 years ago, you said something to us.\Are you all right?\Y-Yes, sir.\Never ask a friend to watch your back.\Have the strength to defend both your own back and your friends.\Yes, Captain!\Yet here you are, saying the exact opposite.\X-eins would cry if he heard that. response:	I see, so this man said something like that?
context: Are you all right?\Y-Yes, sir.\Never ask a friend to watch your back.\Have the strength to defend both your own back and your friends.\Yes, Captain!\Yet here you are, saying the exact opposite.\X-eins would cry if he heard that.\I see, so this man said something like that? response:	This man?
context: Y-Yes, sir.\Never ask a friend to watch your back.\Have the strength to defend both your own back and your friends.\Yes, Captain!\Yet here you are, saying the exact opposite.\X-eins would cry if he heard that.\I see, so this man said something like that?\This man? response:	I've gone and damaged my collection.
