context: Miyazawa? response:	Thanks for the notes.
context: Hell yes!\Words of praise are the source of life energy!\And to make matters worse,\they say he's nice, and good at sports...\He makes me so mad!\I'll never let him be number one again!\I'll obstruct him again and again and again...\I'll show that little mister rich-boy just how tough life can be! response:	Sis, petty jealousy is pathetic.
context: Words of praise are the source of life energy!\And to make matters worse,\they say he's nice, and good at sports...\He makes me so mad!\I'll never let him be number one again!\I'll obstruct him again and again and again...\I'll show that little mister rich-boy just how tough life can be!\Sis, petty jealousy is pathetic. response:	Let's's not blame others for your own personal problems.
context: And to make matters worse,\they say he's nice, and good at sports...\He makes me so mad!\I'll never let him be number one again!\I'll obstruct him again and again and again...\I'll show that little mister rich-boy just how tough life can be!\Sis, petty jealousy is pathetic.\Let's's not blame others for your own personal problems. response:	Shouldn't you be thanking him for showing you that you're a big fish in a small pond...
context: they say he's nice, and good at sports...\He makes me so mad!\I'll never let him be number one again!\I'll obstruct him again and again and again...\I'll show that little mister rich-boy just how tough life can be!\Sis, petty jealousy is pathetic.\Let's's not blame others for your own personal problems.\Shouldn't you be thanking him for showing you that you're a big fish in a small pond... response:	Kano, just shut up,
context: He makes me so mad!\I'll never let him be number one again!\I'll obstruct him again and again and again...\I'll show that little mister rich-boy just how tough life can be!\Sis, petty jealousy is pathetic.\Let's's not blame others for your own personal problems.\Shouldn't you be thanking him for showing you that you're a big fish in a small pond...\Kano, just shut up, response:	you little smart-aleck!
context: I'll never let him be number one again!\I'll obstruct him again and again and again...\I'll show that little mister rich-boy just how tough life can be!\Sis, petty jealousy is pathetic.\Let's's not blame others for your own personal problems.\Shouldn't you be thanking him for showing you that you're a big fish in a small pond...\Kano, just shut up,\you little smart-aleck! response:	I'm scared.
context: I'll obstruct him again and again and again...\I'll show that little mister rich-boy just how tough life can be!\Sis, petty jealousy is pathetic.\Let's's not blame others for your own personal problems.\Shouldn't you be thanking him for showing you that you're a big fish in a small pond...\Kano, just shut up,\you little smart-aleck!\I'm scared. response:	Who would've thought that my sister could hate someone this much because of vanity.
context: I'll show that little mister rich-boy just how tough life can be!\Sis, petty jealousy is pathetic.\Let's's not blame others for your own personal problems.\Shouldn't you be thanking him for showing you that you're a big fish in a small pond...\Kano, just shut up,\you little smart-aleck!\I'm scared.\Who would've thought that my sister could hate someone this much because of vanity. response:	one, two, one, two, one, two...
context: Sis, petty jealousy is pathetic.\Let's's not blame others for your own personal problems.\Shouldn't you be thanking him for showing you that you're a big fish in a small pond...\Kano, just shut up,\you little smart-aleck!\I'm scared.\Who would've thought that my sister could hate someone this much because of vanity.\one, two, one, two, one, two... response:	one, two, one, two, one, two...
context: Let's's not blame others for your own personal problems.\Shouldn't you be thanking him for showing you that you're a big fish in a small pond...\Kano, just shut up,\you little smart-aleck!\I'm scared.\Who would've thought that my sister could hate someone this much because of vanity.\one, two, one, two, one, two...\one, two, one, two, one, two... response:	Good morning, Miyazawa.
context: Shouldn't you be thanking him for showing you that you're a big fish in a small pond...\Kano, just shut up,\you little smart-aleck!\I'm scared.\Who would've thought that my sister could hate someone this much because of vanity.\one, two, one, two, one, two...\one, two, one, two, one, two...\Good morning, Miyazawa. response:	Oh, good morning, Arima.
context: Kano, just shut up,\you little smart-aleck!\I'm scared.\Who would've thought that my sister could hate someone this much because of vanity.\one, two, one, two, one, two...\one, two, one, two, one, two...\Good morning, Miyazawa.\Oh, good morning, Arima. response:	Gack, Arima!
context: you little smart-aleck!\I'm scared.\Who would've thought that my sister could hate someone this much because of vanity.\one, two, one, two, one, two...\one, two, one, two, one, two...\Good morning, Miyazawa.\Oh, good morning, Arima.\Gack, Arima! response:	You arrive pretty early every morning.
context: I'm scared.\Who would've thought that my sister could hate someone this much because of vanity.\one, two, one, two, one, two...\one, two, one, two, one, two...\Good morning, Miyazawa.\Oh, good morning, Arima.\Gack, Arima!\You arrive pretty early every morning. response:	Oh, not really. So do you.
context: Who would've thought that my sister could hate someone this much because of vanity.\one, two, one, two, one, two...\one, two, one, two, one, two...\Good morning, Miyazawa.\Oh, good morning, Arima.\Gack, Arima!\You arrive pretty early every morning.\Oh, not really. So do you. response:	Great, I manage to run into the LAST guy I want to see first thing in the morning.
context: one, two, one, two, one, two...\one, two, one, two, one, two...\Good morning, Miyazawa.\Oh, good morning, Arima.\Gack, Arima!\You arrive pretty early every morning.\Oh, not really. So do you.\Great, I manage to run into the LAST guy I want to see first thing in the morning. response:	But it's gonna take more than that to crack my impregnable mask.
context: one, two, one, two, one, two...\Good morning, Miyazawa.\Oh, good morning, Arima.\Gack, Arima!\You arrive pretty early every morning.\Oh, not really. So do you.\Great, I manage to run into the LAST guy I want to see first thing in the morning.\But it's gonna take more than that to crack my impregnable mask. response:	I have sports practice, so...
context: Good morning, Miyazawa.\Oh, good morning, Arima.\Gack, Arima!\You arrive pretty early every morning.\Oh, not really. So do you.\Great, I manage to run into the LAST guy I want to see first thing in the morning.\But it's gonna take more than that to crack my impregnable mask.\I have sports practice, so... response:	You're in the Kendo Club right? Practice must be tough.
context: Oh, good morning, Arima.\Gack, Arima!\You arrive pretty early every morning.\Oh, not really. So do you.\Great, I manage to run into the LAST guy I want to see first thing in the morning.\But it's gonna take more than that to crack my impregnable mask.\I have sports practice, so...\You're in the Kendo Club right? Practice must be tough. response:	Yeah, every day from 6 in the morning
context: Gack, Arima!\You arrive pretty early every morning.\Oh, not really. So do you.\Great, I manage to run into the LAST guy I want to see first thing in the morning.\But it's gonna take more than that to crack my impregnable mask.\I have sports practice, so...\You're in the Kendo Club right? Practice must be tough.\Yeah, every day from 6 in the morning response:	to 8 at night.
context: You arrive pretty early every morning.\Oh, not really. So do you.\Great, I manage to run into the LAST guy I want to see first thing in the morning.\But it's gonna take more than that to crack my impregnable mask.\I have sports practice, so...\You're in the Kendo Club right? Practice must be tough.\Yeah, every day from 6 in the morning\to 8 at night. response:	That much?
context: Oh, not really. So do you.\Great, I manage to run into the LAST guy I want to see first thing in the morning.\But it's gonna take more than that to crack my impregnable mask.\I have sports practice, so...\You're in the Kendo Club right? Practice must be tough.\Yeah, every day from 6 in the morning\to 8 at night.\That much? response:	It's great that you can keep up with both practice and studying like that.
context: Great, I manage to run into the LAST guy I want to see first thing in the morning.\But it's gonna take more than that to crack my impregnable mask.\I have sports practice, so...\You're in the Kendo Club right? Practice must be tough.\Yeah, every day from 6 in the morning\to 8 at night.\That much?\It's great that you can keep up with both practice and studying like that. response:	I'm impressed.
context: But it's gonna take more than that to crack my impregnable mask.\I have sports practice, so...\You're in the Kendo Club right? Practice must be tough.\Yeah, every day from 6 in the morning\to 8 at night.\That much?\It's great that you can keep up with both practice and studying like that.\I'm impressed. response:	What's he blushing about?
context: I have sports practice, so...\You're in the Kendo Club right? Practice must be tough.\Yeah, every day from 6 in the morning\to 8 at night.\That much?\It's great that you can keep up with both practice and studying like that.\I'm impressed.\What's he blushing about? response:	But you're so responsible, and smart too.
context: You're in the Kendo Club right? Practice must be tough.\Yeah, every day from 6 in the morning\to 8 at night.\That much?\It's great that you can keep up with both practice and studying like that.\I'm impressed.\What's he blushing about?\But you're so responsible, and smart too. response:	You're so efficient at your Academic Assembly duties...
context: Yeah, every day from 6 in the morning\to 8 at night.\That much?\It's great that you can keep up with both practice and studying like that.\I'm impressed.\What's he blushing about?\But you're so responsible, and smart too.\You're so efficient at your Academic Assembly duties... response:	I guess there are people like that when you get up to high school.
context: to 8 at night.\That much?\It's great that you can keep up with both practice and studying like that.\I'm impressed.\What's he blushing about?\But you're so responsible, and smart too.\You're so efficient at your Academic Assembly duties...\I guess there are people like that when you get up to high school. response:	I've realized all over again how big the world is...
context: That much?\It's great that you can keep up with both practice and studying like that.\I'm impressed.\What's he blushing about?\But you're so responsible, and smart too.\You're so efficient at your Academic Assembly duties...\I guess there are people like that when you get up to high school.\I've realized all over again how big the world is... response:	Oh, but I'm nothing...
context: It's great that you can keep up with both practice and studying like that.\I'm impressed.\What's he blushing about?\But you're so responsible, and smart too.\You're so efficient at your Academic Assembly duties...\I guess there are people like that when you get up to high school.\I've realized all over again how big the world is...\Oh, but I'm nothing... response:	Foolish Arima...
context: I'm impressed.\What's he blushing about?\But you're so responsible, and smart too.\You're so efficient at your Academic Assembly duties...\I guess there are people like that when you get up to high school.\I've realized all over again how big the world is...\Oh, but I'm nothing...\Foolish Arima... response:	The nice partner you see before you is the woman who will ultimately send you to Hell!
context: What's he blushing about?\But you're so responsible, and smart too.\You're so efficient at your Academic Assembly duties...\I guess there are people like that when you get up to high school.\I've realized all over again how big the world is...\Oh, but I'm nothing...\Foolish Arima...\The nice partner you see before you is the woman who will ultimately send you to Hell! response:	Finally solved it.
context: But you're so responsible, and smart too.\You're so efficient at your Academic Assembly duties...\I guess there are people like that when you get up to high school.\I've realized all over again how big the world is...\Oh, but I'm nothing...\Foolish Arima...\The nice partner you see before you is the woman who will ultimately send you to Hell!\Finally solved it. response:	What? I don't get this at all!
context: You're so efficient at your Academic Assembly duties...\I guess there are people like that when you get up to high school.\I've realized all over again how big the world is...\Oh, but I'm nothing...\Foolish Arima...\The nice partner you see before you is the woman who will ultimately send you to Hell!\Finally solved it.\What? I don't get this at all! response:	Hey, Arima, could you help me with this?
context: I guess there are people like that when you get up to high school.\I've realized all over again how big the world is...\Oh, but I'm nothing...\Foolish Arima...\The nice partner you see before you is the woman who will ultimately send you to Hell!\Finally solved it.\What? I don't get this at all!\Hey, Arima, could you help me with this? response:	Oh, sure.
context: I've realized all over again how big the world is...\Oh, but I'm nothing...\Foolish Arima...\The nice partner you see before you is the woman who will ultimately send you to Hell!\Finally solved it.\What? I don't get this at all!\Hey, Arima, could you help me with this?\Oh, sure. response:	Oh, for this, you have to use the answers
context: Oh, but I'm nothing...\Foolish Arima...\The nice partner you see before you is the woman who will ultimately send you to Hell!\Finally solved it.\What? I don't get this at all!\Hey, Arima, could you help me with this?\Oh, sure.\Oh, for this, you have to use the answers response:	for the discriminant and the coefficient.
context: Foolish Arima...\The nice partner you see before you is the woman who will ultimately send you to Hell!\Finally solved it.\What? I don't get this at all!\Hey, Arima, could you help me with this?\Oh, sure.\Oh, for this, you have to use the answers\for the discriminant and the coefficient. response:	So you do this...
context: The nice partner you see before you is the woman who will ultimately send you to Hell!\Finally solved it.\What? I don't get this at all!\Hey, Arima, could you help me with this?\Oh, sure.\Oh, for this, you have to use the answers\for the discriminant and the coefficient.\So you do this... response:	Oh, I see!
context: Finally solved it.\What? I don't get this at all!\Hey, Arima, could you help me with this?\Oh, sure.\Oh, for this, you have to use the answers\for the discriminant and the coefficient.\So you do this...\Oh, I see! response:	Arima, show me too, would ya?
context: What? I don't get this at all!\Hey, Arima, could you help me with this?\Oh, sure.\Oh, for this, you have to use the answers\for the discriminant and the coefficient.\So you do this...\Oh, I see!\Arima, show me too, would ya? response:	Why don't we form a group?
context: Hey, Arima, could you help me with this?\Oh, sure.\Oh, for this, you have to use the answers\for the discriminant and the coefficient.\So you do this...\Oh, I see!\Arima, show me too, would ya?\Why don't we form a group? response:	Good idea! Pull your desks around, guys!
context: Oh, sure.\Oh, for this, you have to use the answers\for the discriminant and the coefficient.\So you do this...\Oh, I see!\Arima, show me too, would ya?\Why don't we form a group?\Good idea! Pull your desks around, guys! response:	See? If you throw it with your hand it'll go off course...
context: Oh, for this, you have to use the answers\for the discriminant and the coefficient.\So you do this...\Oh, I see!\Arima, show me too, would ya?\Why don't we form a group?\Good idea! Pull your desks around, guys!\See? If you throw it with your hand it'll go off course... response:	Hey! Arima's in the game!
context: for the discriminant and the coefficient.\So you do this...\Oh, I see!\Arima, show me too, would ya?\Why don't we form a group?\Good idea! Pull your desks around, guys!\See? If you throw it with your hand it'll go off course...\Hey! Arima's in the game! response:	What?! Let's watch!
context: So you do this...\Oh, I see!\Arima, show me too, would ya?\Why don't we form a group?\Good idea! Pull your desks around, guys!\See? If you throw it with your hand it'll go off course...\Hey! Arima's in the game!\What?! Let's watch! response:	He just got off a shot.
context: Oh, I see!\Arima, show me too, would ya?\Why don't we form a group?\Good idea! Pull your desks around, guys!\See? If you throw it with your hand it'll go off course...\Hey! Arima's in the game!\What?! Let's watch!\He just got off a shot. response:	It was totally cool.
context: Arima, show me too, would ya?\Why don't we form a group?\Good idea! Pull your desks around, guys!\See? If you throw it with your hand it'll go off course...\Hey! Arima's in the game!\What?! Let's watch!\He just got off a shot.\It was totally cool. response:	I hear he's almost as good as the seniors in the Kendo Club.
context: Why don't we form a group?\Good idea! Pull your desks around, guys!\See? If you throw it with your hand it'll go off course...\Hey! Arima's in the game!\What?! Let's watch!\He just got off a shot.\It was totally cool.\I hear he's almost as good as the seniors in the Kendo Club. response:	Really? Our school's one of the strongest in the prefecture, right?
context: Good idea! Pull your desks around, guys!\See? If you throw it with your hand it'll go off course...\Hey! Arima's in the game!\What?! Let's watch!\He just got off a shot.\It was totally cool.\I hear he's almost as good as the seniors in the Kendo Club.\Really? Our school's one of the strongest in the prefecture, right? response:	Yeah.
context: See? If you throw it with your hand it'll go off course...\Hey! Arima's in the game!\What?! Let's watch!\He just got off a shot.\It was totally cool.\I hear he's almost as good as the seniors in the Kendo Club.\Really? Our school's one of the strongest in the prefecture, right?\Yeah. response:	He sure looks good in his uniform, doesn't he?
context: Hey! Arima's in the game!\What?! Let's watch!\He just got off a shot.\It was totally cool.\I hear he's almost as good as the seniors in the Kendo Club.\Really? Our school's one of the strongest in the prefecture, right?\Yeah.\He sure looks good in his uniform, doesn't he? response:	He's so cool!
context: What?! Let's watch!\He just got off a shot.\It was totally cool.\I hear he's almost as good as the seniors in the Kendo Club.\Really? Our school's one of the strongest in the prefecture, right?\Yeah.\He sure looks good in his uniform, doesn't he?\He's so cool! response:	HE'S SO COOL! ARIMA!
context: He just got off a shot.\It was totally cool.\I hear he's almost as good as the seniors in the Kendo Club.\Really? Our school's one of the strongest in the prefecture, right?\Yeah.\He sure looks good in his uniform, doesn't he?\He's so cool!\HE'S SO COOL! ARIMA! response:	Then, as for the usage of tamae..., Arima.
context: It was totally cool.\I hear he's almost as good as the seniors in the Kendo Club.\Really? Our school's one of the strongest in the prefecture, right?\Yeah.\He sure looks good in his uniform, doesn't he?\He's so cool!\HE'S SO COOL! ARIMA!\Then, as for the usage of tamae..., Arima. response:	Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms.
context: I hear he's almost as good as the seniors in the Kendo Club.\Really? Our school's one of the strongest in the prefecture, right?\Yeah.\He sure looks good in his uniform, doesn't he?\He's so cool!\HE'S SO COOL! ARIMA!\Then, as for the usage of tamae..., Arima.\Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms. response:	What about mashika?
context: Really? Our school's one of the strongest in the prefecture, right?\Yeah.\He sure looks good in his uniform, doesn't he?\He's so cool!\HE'S SO COOL! ARIMA!\Then, as for the usage of tamae..., Arima.\Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms.\What about mashika? response:	A hypothetical auxiliary
context: Yeah.\He sure looks good in his uniform, doesn't he?\He's so cool!\HE'S SO COOL! ARIMA!\Then, as for the usage of tamae..., Arima.\Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms.\What about mashika?\A hypothetical auxiliary response:	subjunctive verb.
context: He sure looks good in his uniform, doesn't he?\He's so cool!\HE'S SO COOL! ARIMA!\Then, as for the usage of tamae..., Arima.\Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms.\What about mashika?\A hypothetical auxiliary\subjunctive verb. response:	Yes, that's good.
context: He's so cool!\HE'S SO COOL! ARIMA!\Then, as for the usage of tamae..., Arima.\Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms.\What about mashika?\A hypothetical auxiliary\subjunctive verb.\Yes, that's good. response:	OOOhhh...
context: HE'S SO COOL! ARIMA!\Then, as for the usage of tamae..., Arima.\Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms.\What about mashika?\A hypothetical auxiliary\subjunctive verb.\Yes, that's good.\OOOhhh... response:	Dammit
context: Then, as for the usage of tamae..., Arima.\Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms.\What about mashika?\A hypothetical auxiliary\subjunctive verb.\Yes, that's good.\OOOhhh...\Dammit response:	Until now, being the center of attention...
context: Yes. I believe it's a future tense helping verb denoting humility, in the u and e forms.\What about mashika?\A hypothetical auxiliary\subjunctive verb.\Yes, that's good.\OOOhhh...\Dammit\Until now, being the center of attention... response:	Without him, I'd be the one getting all the attention!
context: What about mashika?\A hypothetical auxiliary\subjunctive verb.\Yes, that's good.\OOOhhh...\Dammit\Until now, being the center of attention...\Without him, I'd be the one getting all the attention! response:	It's cold!
context: A hypothetical auxiliary\subjunctive verb.\Yes, that's good.\OOOhhh...\Dammit\Until now, being the center of attention...\Without him, I'd be the one getting all the attention!\It's cold! response:	It's cold, being buried among the ranks of the average citizens.
context: subjunctive verb.\Yes, that's good.\OOOhhh...\Dammit\Until now, being the center of attention...\Without him, I'd be the one getting all the attention!\It's cold!\It's cold, being buried among the ranks of the average citizens. response:	I want to be praised!
context: Yes, that's good.\OOOhhh...\Dammit\Until now, being the center of attention...\Without him, I'd be the one getting all the attention!\It's cold!\It's cold, being buried among the ranks of the average citizens.\I want to be praised! response:	I want to be recognized! I want attention!
context: OOOhhh...\Dammit\Until now, being the center of attention...\Without him, I'd be the one getting all the attention!\It's cold!\It's cold, being buried among the ranks of the average citizens.\I want to be praised!\I want to be recognized! I want attention! response:	Shit! Arima, you're a pain in the ass!
context: Dammit\Until now, being the center of attention...\Without him, I'd be the one getting all the attention!\It's cold!\It's cold, being buried among the ranks of the average citizens.\I want to be praised!\I want to be recognized! I want attention!\Shit! Arima, you're a pain in the ass! response:	Just watch! I'll be the one who's gonna
context: Until now, being the center of attention...\Without him, I'd be the one getting all the attention!\It's cold!\It's cold, being buried among the ranks of the average citizens.\I want to be praised!\I want to be recognized! I want attention!\Shit! Arima, you're a pain in the ass!\Just watch! I'll be the one who's gonna response:	send you straight to hell!
context: Without him, I'd be the one getting all the attention!\It's cold!\It's cold, being buried among the ranks of the average citizens.\I want to be praised!\I want to be recognized! I want attention!\Shit! Arima, you're a pain in the ass!\Just watch! I'll be the one who's gonna\send you straight to hell! response:	I'm so sleepy...
context: It's cold!\It's cold, being buried among the ranks of the average citizens.\I want to be praised!\I want to be recognized! I want attention!\Shit! Arima, you're a pain in the ass!\Just watch! I'll be the one who's gonna\send you straight to hell!\I'm so sleepy... response:	I've been pulling non-stop all nighters lately, studying to beat him down.
context: It's cold, being buried among the ranks of the average citizens.\I want to be praised!\I want to be recognized! I want attention!\Shit! Arima, you're a pain in the ass!\Just watch! I'll be the one who's gonna\send you straight to hell!\I'm so sleepy...\I've been pulling non-stop all nighters lately, studying to beat him down. response:	No, no!
context: I want to be praised!\I want to be recognized! I want attention!\Shit! Arima, you're a pain in the ass!\Just watch! I'll be the one who's gonna\send you straight to hell!\I'm so sleepy...\I've been pulling non-stop all nighters lately, studying to beat him down.\No, no! response:	If I fall asleep here, I'll play right into his hands.
context: I want to be recognized! I want attention!\Shit! Arima, you're a pain in the ass!\Just watch! I'll be the one who's gonna\send you straight to hell!\I'm so sleepy...\I've been pulling non-stop all nighters lately, studying to beat him down.\No, no!\If I fall asleep here, I'll play right into his hands. response:	Gack! That was close!
context: Shit! Arima, you're a pain in the ass!\Just watch! I'll be the one who's gonna\send you straight to hell!\I'm so sleepy...\I've been pulling non-stop all nighters lately, studying to beat him down.\No, no!\If I fall asleep here, I'll play right into his hands.\Gack! That was close! response:	I almost killed myseIf in a really lame way.
context: Just watch! I'll be the one who's gonna\send you straight to hell!\I'm so sleepy...\I've been pulling non-stop all nighters lately, studying to beat him down.\No, no!\If I fall asleep here, I'll play right into his hands.\Gack! That was close!\I almost killed myseIf in a really lame way. response:	This is bad. No one saw that, did they?
context: send you straight to hell!\I'm so sleepy...\I've been pulling non-stop all nighters lately, studying to beat him down.\No, no!\If I fall asleep here, I'll play right into his hands.\Gack! That was close!\I almost killed myseIf in a really lame way.\This is bad. No one saw that, did they? response:	My i-m-a-g-e...
context: I'm so sleepy...\I've been pulling non-stop all nighters lately, studying to beat him down.\No, no!\If I fall asleep here, I'll play right into his hands.\Gack! That was close!\I almost killed myseIf in a really lame way.\This is bad. No one saw that, did they?\My i-m-a-g-e... response:	Miyazawa?
context: I've been pulling non-stop all nighters lately, studying to beat him down.\No, no!\If I fall asleep here, I'll play right into his hands.\Gack! That was close!\I almost killed myseIf in a really lame way.\This is bad. No one saw that, did they?\My i-m-a-g-e...\Miyazawa? response:	That was dangerous, so you shouldn't do it.
context: No, no!\If I fall asleep here, I'll play right into his hands.\Gack! That was close!\I almost killed myseIf in a really lame way.\This is bad. No one saw that, did they?\My i-m-a-g-e...\Miyazawa?\That was dangerous, so you shouldn't do it. response:	That damn Arima!
context: If I fall asleep here, I'll play right into his hands.\Gack! That was close!\I almost killed myseIf in a really lame way.\This is bad. No one saw that, did they?\My i-m-a-g-e...\Miyazawa?\That was dangerous, so you shouldn't do it.\That damn Arima! response:	God damn it, god damn it, god damn it, GOD DAMN IT!
context: Gack! That was close!\I almost killed myseIf in a really lame way.\This is bad. No one saw that, did they?\My i-m-a-g-e...\Miyazawa?\That was dangerous, so you shouldn't do it.\That damn Arima!\God damn it, god damn it, god damn it, GOD DAMN IT! response:	I will...I WILL beat him!
context: I almost killed myseIf in a really lame way.\This is bad. No one saw that, did they?\My i-m-a-g-e...\Miyazawa?\That was dangerous, so you shouldn't do it.\That damn Arima!\God damn it, god damn it, god damn it, GOD DAMN IT!\I will...I WILL beat him! response:	So, that concludes this week's general meeting. Dismissed!
context: This is bad. No one saw that, did they?\My i-m-a-g-e...\Miyazawa?\That was dangerous, so you shouldn't do it.\That damn Arima!\God damn it, god damn it, god damn it, GOD DAMN IT!\I will...I WILL beat him!\So, that concludes this week's general meeting. Dismissed! response:	This school sure has a lot of Academic Assembly meetings.
context: My i-m-a-g-e...\Miyazawa?\That was dangerous, so you shouldn't do it.\That damn Arima!\God damn it, god damn it, god damn it, GOD DAMN IT!\I will...I WILL beat him!\So, that concludes this week's general meeting. Dismissed!\This school sure has a lot of Academic Assembly meetings. response:	I didn't think it would be this tough. (They have one every week)
context: Miyazawa?\That was dangerous, so you shouldn't do it.\That damn Arima!\God damn it, god damn it, god damn it, GOD DAMN IT!\I will...I WILL beat him!\So, that concludes this week's general meeting. Dismissed!\This school sure has a lot of Academic Assembly meetings.\I didn't think it would be this tough. (They have one every week) response:	But it means the students are being entrusted with governing themselves.
context: That was dangerous, so you shouldn't do it.\That damn Arima!\God damn it, god damn it, god damn it, GOD DAMN IT!\I will...I WILL beat him!\So, that concludes this week's general meeting. Dismissed!\This school sure has a lot of Academic Assembly meetings.\I didn't think it would be this tough. (They have one every week)\But it means the students are being entrusted with governing themselves. response:	You're really mature, Miyazawa.
context: That damn Arima!\God damn it, god damn it, god damn it, GOD DAMN IT!\I will...I WILL beat him!\So, that concludes this week's general meeting. Dismissed!\This school sure has a lot of Academic Assembly meetings.\I didn't think it would be this tough. (They have one every week)\But it means the students are being entrusted with governing themselves.\You're really mature, Miyazawa. response:	Shut the hell up!
context: God damn it, god damn it, god damn it, GOD DAMN IT!\I will...I WILL beat him!\So, that concludes this week's general meeting. Dismissed!\This school sure has a lot of Academic Assembly meetings.\I didn't think it would be this tough. (They have one every week)\But it means the students are being entrusted with governing themselves.\You're really mature, Miyazawa.\Shut the hell up! response:	Oh, Miyazawa?
context: I will...I WILL beat him!\So, that concludes this week's general meeting. Dismissed!\This school sure has a lot of Academic Assembly meetings.\I didn't think it would be this tough. (They have one every week)\But it means the students are being entrusted with governing themselves.\You're really mature, Miyazawa.\Shut the hell up!\Oh, Miyazawa? response:	Yes?
context: So, that concludes this week's general meeting. Dismissed!\This school sure has a lot of Academic Assembly meetings.\I didn't think it would be this tough. (They have one every week)\But it means the students are being entrusted with governing themselves.\You're really mature, Miyazawa.\Shut the hell up!\Oh, Miyazawa?\Yes? response:	What kind of music do you listen to?
context: This school sure has a lot of Academic Assembly meetings.\I didn't think it would be this tough. (They have one every week)\But it means the students are being entrusted with governing themselves.\You're really mature, Miyazawa.\Shut the hell up!\Oh, Miyazawa?\Yes?\What kind of music do you listen to? response:	Music?
context: I didn't think it would be this tough. (They have one every week)\But it means the students are being entrusted with governing themselves.\You're really mature, Miyazawa.\Shut the hell up!\Oh, Miyazawa?\Yes?\What kind of music do you listen to?\Music? response:	I guess I like Brahms.
context: But it means the students are being entrusted with governing themselves.\You're really mature, Miyazawa.\Shut the hell up!\Oh, Miyazawa?\Yes?\What kind of music do you listen to?\Music?\I guess I like Brahms. response:	That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). *
context: You're really mature, Miyazawa.\Shut the hell up!\Oh, Miyazawa?\Yes?\What kind of music do you listen to?\Music?\I guess I like Brahms.\That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). * response:	I especially love his 2nd Piano Concerto.
context: Shut the hell up!\Oh, Miyazawa?\Yes?\What kind of music do you listen to?\Music?\I guess I like Brahms.\That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). *\I especially love his 2nd Piano Concerto. response:	I want to hear the version conducted by Karl Bohm, but I can't seem to find it anywhere. * I especially love Boomerang. It's so awesome! *
context: Oh, Miyazawa?\Yes?\What kind of music do you listen to?\Music?\I guess I like Brahms.\That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). *\I especially love his 2nd Piano Concerto.\I want to hear the version conducted by Karl Bohm, but I can't seem to find it anywhere. * I especially love Boomerang. It's so awesome! * response:	I've got that CD at home.
context: Yes?\What kind of music do you listen to?\Music?\I guess I like Brahms.\That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). *\I especially love his 2nd Piano Concerto.\I want to hear the version conducted by Karl Bohm, but I can't seem to find it anywhere. * I especially love Boomerang. It's so awesome! *\I've got that CD at home. response:	If you want, I'll loan it to you sometime.
context: What kind of music do you listen to?\Music?\I guess I like Brahms.\That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). *\I especially love his 2nd Piano Concerto.\I want to hear the version conducted by Karl Bohm, but I can't seem to find it anywhere. * I especially love Boomerang. It's so awesome! *\I've got that CD at home.\If you want, I'll loan it to you sometime. response:	It's almost midterms, right?
context: Music?\I guess I like Brahms.\That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). *\I especially love his 2nd Piano Concerto.\I want to hear the version conducted by Karl Bohm, but I can't seem to find it anywhere. * I especially love Boomerang. It's so awesome! *\I've got that CD at home.\If you want, I'll loan it to you sometime.\It's almost midterms, right? response:	So when they're over...
context: I guess I like Brahms.\That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). *\I especially love his 2nd Piano Concerto.\I want to hear the version conducted by Karl Bohm, but I can't seem to find it anywhere. * I especially love Boomerang. It's so awesome! *\I've got that CD at home.\If you want, I'll loan it to you sometime.\It's almost midterms, right?\So when they're over... response:	Really? Thanks.
context: That profound, magnificent music appeals to the soul. * I actually love HIDEKI (jpop). *\I especially love his 2nd Piano Concerto.\I want to hear the version conducted by Karl Bohm, but I can't seem to find it anywhere. * I especially love Boomerang. It's so awesome! *\I've got that CD at home.\If you want, I'll loan it to you sometime.\It's almost midterms, right?\So when they're over...\Really? Thanks. response:	Man, is this guy spoiled or what!
context: I especially love his 2nd Piano Concerto.\I want to hear the version conducted by Karl Bohm, but I can't seem to find it anywhere. * I especially love Boomerang. It's so awesome! *\I've got that CD at home.\If you want, I'll loan it to you sometime.\It's almost midterms, right?\So when they're over...\Really? Thanks.\Man, is this guy spoiled or what! response:	Miyazawa! Heading home?
