context: Huh?! What's this? response:	It's a powerful miasma.
context: Nothing scary about it.\In any case, let's seal it with a sutra charm.\Kagome, you don't have any luck with men.\R-Really?\Unless you leave your current fellow,\you won't find peace or happiness.\What about you, Sango?\Hmmm... Let's see... Hmm... You're no better with men! response:	You'd better forget about him. He's too much of a womanizer.
context: In any case, let's seal it with a sutra charm.\Kagome, you don't have any luck with men.\R-Really?\Unless you leave your current fellow,\you won't find peace or happiness.\What about you, Sango?\Hmmm... Let's see... Hmm... You're no better with men!\You'd better forget about him. He's too much of a womanizer. response:	Your palm-reading is right on the mark.
context: Kagome, you don't have any luck with men.\R-Really?\Unless you leave your current fellow,\you won't find peace or happiness.\What about you, Sango?\Hmmm... Let's see... Hmm... You're no better with men!\You'd better forget about him. He's too much of a womanizer.\Your palm-reading is right on the mark. response:	T-Think so?
context: R-Really?\Unless you leave your current fellow,\you won't find peace or happiness.\What about you, Sango?\Hmmm... Let's see... Hmm... You're no better with men!\You'd better forget about him. He's too much of a womanizer.\Your palm-reading is right on the mark.\T-Think so? response:	What? Are you done with sealing the demon?
context: Unless you leave your current fellow,\you won't find peace or happiness.\What about you, Sango?\Hmmm... Let's see... Hmm... You're no better with men!\You'd better forget about him. He's too much of a womanizer.\Your palm-reading is right on the mark.\T-Think so?\What? Are you done with sealing the demon? response:	It's not over!
context: you won't find peace or happiness.\What about you, Sango?\Hmmm... Let's see... Hmm... You're no better with men!\You'd better forget about him. He's too much of a womanizer.\Your palm-reading is right on the mark.\T-Think so?\What? Are you done with sealing the demon?\It's not over! response:	Stop slacking, Miroku!
context: What about you, Sango?\Hmmm... Let's see... Hmm... You're no better with men!\You'd better forget about him. He's too much of a womanizer.\Your palm-reading is right on the mark.\T-Think so?\What? Are you done with sealing the demon?\It's not over!\Stop slacking, Miroku! response:	Why you! Unforgivable!
context: Hmmm... Let's see... Hmm... You're no better with men!\You'd better forget about him. He's too much of a womanizer.\Your palm-reading is right on the mark.\T-Think so?\What? Are you done with sealing the demon?\It's not over!\Stop slacking, Miroku!\Why you! Unforgivable! response:	What?!
context: You'd better forget about him. He's too much of a womanizer.\Your palm-reading is right on the mark.\T-Think so?\What? Are you done with sealing the demon?\It's not over!\Stop slacking, Miroku!\Why you! Unforgivable!\What?! response:	What're you doing?! Is this payback for earlier?
context: Your palm-reading is right on the mark.\T-Think so?\What? Are you done with sealing the demon?\It's not over!\Stop slacking, Miroku!\Why you! Unforgivable!\What?!\What're you doing?! Is this payback for earlier? response:	So you've shown your true self!
context: T-Think so?\What? Are you done with sealing the demon?\It's not over!\Stop slacking, Miroku!\Why you! Unforgivable!\What?!\What're you doing?! Is this payback for earlier?\So you've shown your true self! response:	You lecher monk!
context: What? Are you done with sealing the demon?\It's not over!\Stop slacking, Miroku!\Why you! Unforgivable!\What?!\What're you doing?! Is this payback for earlier?\So you've shown your true self!\You lecher monk! response:	I didn't think you were such a man!
context: It's not over!\Stop slacking, Miroku!\Why you! Unforgivable!\What?!\What're you doing?! Is this payback for earlier?\So you've shown your true self!\You lecher monk!\I didn't think you were such a man! response:	I misjudged you!
context: Stop slacking, Miroku!\Why you! Unforgivable!\What?!\What're you doing?! Is this payback for earlier?\So you've shown your true self!\You lecher monk!\I didn't think you were such a man!\I misjudged you! response:	I always knew!
context: Why you! Unforgivable!\What?!\What're you doing?! Is this payback for earlier?\So you've shown your true self!\You lecher monk!\I didn't think you were such a man!\I misjudged you!\I always knew! response:	That's not it!
context: What?!\What're you doing?! Is this payback for earlier?\So you've shown your true self!\You lecher monk!\I didn't think you were such a man!\I misjudged you!\I always knew!\That's not it! response:	This time, the spirit of the centipede has possessed Miroku!
context: What're you doing?! Is this payback for earlier?\So you've shown your true self!\You lecher monk!\I didn't think you were such a man!\I misjudged you!\I always knew!\That's not it!\This time, the spirit of the centipede has possessed Miroku! response:	No way!
context: So you've shown your true self!\You lecher monk!\I didn't think you were such a man!\I misjudged you!\I always knew!\That's not it!\This time, the spirit of the centipede has possessed Miroku!\No way! response:	Miroku shows no signs of being possessed
context: You lecher monk!\I didn't think you were such a man!\I misjudged you!\I always knew!\That's not it!\This time, the spirit of the centipede has possessed Miroku!\No way!\Miroku shows no signs of being possessed response:	by such a strong power!
context: I didn't think you were such a man!\I misjudged you!\I always knew!\That's not it!\This time, the spirit of the centipede has possessed Miroku!\No way!\Miroku shows no signs of being possessed\by such a strong power! response:	Shippo, run from here!
context: I misjudged you!\I always knew!\That's not it!\This time, the spirit of the centipede has possessed Miroku!\No way!\Miroku shows no signs of being possessed\by such a strong power!\Shippo, run from here! response:	I don't need to be told that! Kirara!
context: I always knew!\That's not it!\This time, the spirit of the centipede has possessed Miroku!\No way!\Miroku shows no signs of being possessed\by such a strong power!\Shippo, run from here!\I don't need to be told that! Kirara! response:	You won't get away! Halt!
context: That's not it!\This time, the spirit of the centipede has possessed Miroku!\No way!\Miroku shows no signs of being possessed\by such a strong power!\Shippo, run from here!\I don't need to be told that! Kirara!\You won't get away! Halt! response:	What?! What's going on?!
context: This time, the spirit of the centipede has possessed Miroku!\No way!\Miroku shows no signs of being possessed\by such a strong power!\Shippo, run from here!\I don't need to be told that! Kirara!\You won't get away! Halt!\What?! What's going on?! response:	If I can't catch up to that little kid,
context: No way!\Miroku shows no signs of being possessed\by such a strong power!\Shippo, run from here!\I don't need to be told that! Kirara!\You won't get away! Halt!\What?! What's going on?!\If I can't catch up to that little kid, response:	this body is useless!
context: Miroku shows no signs of being possessed\by such a strong power!\Shippo, run from here!\I don't need to be told that! Kirara!\You won't get away! Halt!\What?! What's going on?!\If I can't catch up to that little kid,\this body is useless! response:	What's with that accent, Miroku?!
context: by such a strong power!\Shippo, run from here!\I don't need to be told that! Kirara!\You won't get away! Halt!\What?! What's going on?!\If I can't catch up to that little kid,\this body is useless!\What's with that accent, Miroku?! response:	That's why I said he's possessed!
context: Shippo, run from here!\I don't need to be told that! Kirara!\You won't get away! Halt!\What?! What's going on?!\If I can't catch up to that little kid,\this body is useless!\What's with that accent, Miroku?!\That's why I said he's possessed! response:	Darn!
context: I don't need to be told that! Kirara!\You won't get away! Halt!\What?! What's going on?!\If I can't catch up to that little kid,\this body is useless!\What's with that accent, Miroku?!\That's why I said he's possessed!\Darn! response:	What was I doing?
context: You won't get away! Halt!\What?! What's going on?!\If I can't catch up to that little kid,\this body is useless!\What's with that accent, Miroku?!\That's why I said he's possessed!\Darn!\What was I doing? response:	Miroku! Are you the real Miroku now?
context: What?! What's going on?!\If I can't catch up to that little kid,\this body is useless!\What's with that accent, Miroku?!\That's why I said he's possessed!\Darn!\What was I doing?\Miroku! Are you the real Miroku now? response:	What? What are you talking about?
context: If I can't catch up to that little kid,\this body is useless!\What's with that accent, Miroku?!\That's why I said he's possessed!\Darn!\What was I doing?\Miroku! Are you the real Miroku now?\What? What are you talking about? response:	He has definitely returned to his old self, Inuyasha.
context: this body is useless!\What's with that accent, Miroku?!\That's why I said he's possessed!\Darn!\What was I doing?\Miroku! Are you the real Miroku now?\What? What are you talking about?\He has definitely returned to his old self, Inuyasha. response:	That's for sure.
context: What's with that accent, Miroku?!\That's why I said he's possessed!\Darn!\What was I doing?\Miroku! Are you the real Miroku now?\What? What are you talking about?\He has definitely returned to his old self, Inuyasha.\That's for sure. response:	Wait!
context: That's why I said he's possessed!\Darn!\What was I doing?\Miroku! Are you the real Miroku now?\What? What are you talking about?\He has definitely returned to his old self, Inuyasha.\That's for sure.\Wait! response:	I feel something suspicious approaching.
context: Darn!\What was I doing?\Miroku! Are you the real Miroku now?\What? What are you talking about?\He has definitely returned to his old self, Inuyasha.\That's for sure.\Wait!\I feel something suspicious approaching. response:	Huh?
context: What was I doing?\Miroku! Are you the real Miroku now?\What? What are you talking about?\He has definitely returned to his old self, Inuyasha.\That's for sure.\Wait!\I feel something suspicious approaching.\Huh? response:	What's that?!
context: Miroku! Are you the real Miroku now?\What? What are you talking about?\He has definitely returned to his old self, Inuyasha.\That's for sure.\Wait!\I feel something suspicious approaching.\Huh?\What's that?! response:	Could it be the mate of last night's centipede?
context: What? What are you talking about?\He has definitely returned to his old self, Inuyasha.\That's for sure.\Wait!\I feel something suspicious approaching.\Huh?\What's that?!\Could it be the mate of last night's centipede? response:	Is this the one who possessed us?
context: He has definitely returned to his old self, Inuyasha.\That's for sure.\Wait!\I feel something suspicious approaching.\Huh?\What's that?!\Could it be the mate of last night's centipede?\Is this the one who possessed us? response:	Kagome!
context: That's for sure.\Wait!\I feel something suspicious approaching.\Huh?\What's that?!\Could it be the mate of last night's centipede?\Is this the one who possessed us?\Kagome! response:	Be careful!
context: Wait!\I feel something suspicious approaching.\Huh?\What's that?!\Could it be the mate of last night's centipede?\Is this the one who possessed us?\Kagome!\Be careful! response:	It's demon fluid!
context: I feel something suspicious approaching.\Huh?\What's that?!\Could it be the mate of last night's centipede?\Is this the one who possessed us?\Kagome!\Be careful!\It's demon fluid! response:	Stay here!
context: Huh?\What's that?!\Could it be the mate of last night's centipede?\Is this the one who possessed us?\Kagome!\Be careful!\It's demon fluid!\Stay here! response:	Take this!
context: What's that?!\Could it be the mate of last night's centipede?\Is this the one who possessed us?\Kagome!\Be careful!\It's demon fluid!\Stay here!\Take this! response:	Wind Scar!
context: Could it be the mate of last night's centipede?\Is this the one who possessed us?\Kagome!\Be careful!\It's demon fluid!\Stay here!\Take this!\Wind Scar! response:	What a pesky centipede!
context: Is this the one who possessed us?\Kagome!\Be careful!\It's demon fluid!\Stay here!\Take this!\Wind Scar!\What a pesky centipede! response:	Let's put a sutra charm on it.
context: Kagome!\Be careful!\It's demon fluid!\Stay here!\Take this!\Wind Scar!\What a pesky centipede!\Let's put a sutra charm on it. response:	Now, everything is settled.
context: Be careful!\It's demon fluid!\Stay here!\Take this!\Wind Scar!\What a pesky centipede!\Let's put a sutra charm on it.\Now, everything is settled. response:	Inuyasha?
context: It's demon fluid!\Stay here!\Take this!\Wind Scar!\What a pesky centipede!\Let's put a sutra charm on it.\Now, everything is settled.\Inuyasha? response:	Inuyasha?!
context: Stay here!\Take this!\Wind Scar!\What a pesky centipede!\Let's put a sutra charm on it.\Now, everything is settled.\Inuyasha?\Inuyasha?! response:	Hold it! You won't get away!
context: Take this!\Wind Scar!\What a pesky centipede!\Let's put a sutra charm on it.\Now, everything is settled.\Inuyasha?\Inuyasha?!\Hold it! You won't get away! response:	Could Inuyasha be?!
context: Wind Scar!\What a pesky centipede!\Let's put a sutra charm on it.\Now, everything is settled.\Inuyasha?\Inuyasha?!\Hold it! You won't get away!\Could Inuyasha be?! response:	The way he's running... he looks like a flea.
context: What a pesky centipede!\Let's put a sutra charm on it.\Now, everything is settled.\Inuyasha?\Inuyasha?!\Hold it! You won't get away!\Could Inuyasha be?!\The way he's running... he looks like a flea. response:	Flea?!
context: Let's put a sutra charm on it.\Now, everything is settled.\Inuyasha?\Inuyasha?!\Hold it! You won't get away!\Could Inuyasha be?!\The way he's running... he looks like a flea.\Flea?! response:	Wait, I say!
context: Now, everything is settled.\Inuyasha?\Inuyasha?!\Hold it! You won't get away!\Could Inuyasha be?!\The way he's running... he looks like a flea.\Flea?!\Wait, I say! response:	This time, it's Inuyasha?! What's happening?!
context: Inuyasha?\Inuyasha?!\Hold it! You won't get away!\Could Inuyasha be?!\The way he's running... he looks like a flea.\Flea?!\Wait, I say!\This time, it's Inuyasha?! What's happening?! response:	Wait, Myoga!
context: Inuyasha?!\Hold it! You won't get away!\Could Inuyasha be?!\The way he's running... he looks like a flea.\Flea?!\Wait, I say!\This time, it's Inuyasha?! What's happening?!\Wait, Myoga! response:	Inuyasha is calling you!
context: Hold it! You won't get away!\Could Inuyasha be?!\The way he's running... he looks like a flea.\Flea?!\Wait, I say!\This time, it's Inuyasha?! What's happening?!\Wait, Myoga!\Inuyasha is calling you! response:	That is not Master Inuyasha.
context: Could Inuyasha be?!\The way he's running... he looks like a flea.\Flea?!\Wait, I say!\This time, it's Inuyasha?! What's happening?!\Wait, Myoga!\Inuyasha is calling you!\That is not Master Inuyasha. response:	What?
context: The way he's running... he looks like a flea.\Flea?!\Wait, I say!\This time, it's Inuyasha?! What's happening?!\Wait, Myoga!\Inuyasha is calling you!\That is not Master Inuyasha.\What? response:	Stop, I said!
context: Flea?!\Wait, I say!\This time, it's Inuyasha?! What's happening?!\Wait, Myoga!\Inuyasha is calling you!\That is not Master Inuyasha.\What?\Stop, I said! response:	l-Inuyasha!
context: Wait, I say!\This time, it's Inuyasha?! What's happening?!\Wait, Myoga!\Inuyasha is calling you!\That is not Master Inuyasha.\What?\Stop, I said!\l-Inuyasha! response:	Don't think you can escape from me.
context: This time, it's Inuyasha?! What's happening?!\Wait, Myoga!\Inuyasha is calling you!\That is not Master Inuyasha.\What?\Stop, I said!\l-Inuyasha!\Don't think you can escape from me. response:	My body is all yours.
context: Wait, Myoga!\Inuyasha is calling you!\That is not Master Inuyasha.\What?\Stop, I said!\l-Inuyasha!\Don't think you can escape from me.\My body is all yours. response:	l-Inuyasha! Snap out of it!
context: Inuyasha is calling you!\That is not Master Inuyasha.\What?\Stop, I said!\l-Inuyasha!\Don't think you can escape from me.\My body is all yours.\l-Inuyasha! Snap out of it! response:	You and I will get married.
context: That is not Master Inuyasha.\What?\Stop, I said!\l-Inuyasha!\Don't think you can escape from me.\My body is all yours.\l-Inuyasha! Snap out of it!\You and I will get married. response:	I still have my own dreams!
context: What?\Stop, I said!\l-Inuyasha!\Don't think you can escape from me.\My body is all yours.\l-Inuyasha! Snap out of it!\You and I will get married.\I still have my own dreams! response:	I want to fall in love... and I want to declare my love!
context: Stop, I said!\l-Inuyasha!\Don't think you can escape from me.\My body is all yours.\l-Inuyasha! Snap out of it!\You and I will get married.\I still have my own dreams!\I want to fall in love... and I want to declare my love! response:	Inuyasha! Sit!
context: l-Inuyasha!\Don't think you can escape from me.\My body is all yours.\l-Inuyasha! Snap out of it!\You and I will get married.\I still have my own dreams!\I want to fall in love... and I want to declare my love!\Inuyasha! Sit! response:	What're you doing?! Kagome!
context: Don't think you can escape from me.\My body is all yours.\l-Inuyasha! Snap out of it!\You and I will get married.\I still have my own dreams!\I want to fall in love... and I want to declare my love!\Inuyasha! Sit!\What're you doing?! Kagome! response:	Inuyasha! You're back to normal!
context: My body is all yours.\l-Inuyasha! Snap out of it!\You and I will get married.\I still have my own dreams!\I want to fall in love... and I want to declare my love!\Inuyasha! Sit!\What're you doing?! Kagome!\Inuyasha! You're back to normal! response:	Huh?
context: l-Inuyasha! Snap out of it!\You and I will get married.\I still have my own dreams!\I want to fall in love... and I want to declare my love!\Inuyasha! Sit!\What're you doing?! Kagome!\Inuyasha! You're back to normal!\Huh? response:	What did I do?
context: You and I will get married.\I still have my own dreams!\I want to fall in love... and I want to declare my love!\Inuyasha! Sit!\What're you doing?! Kagome!\Inuyasha! You're back to normal!\Huh?\What did I do? response:	You stupid dog!
context: I still have my own dreams!\I want to fall in love... and I want to declare my love!\Inuyasha! Sit!\What're you doing?! Kagome!\Inuyasha! You're back to normal!\Huh?\What did I do?\You stupid dog! response:	Inuyasha!
context: I want to fall in love... and I want to declare my love!\Inuyasha! Sit!\What're you doing?! Kagome!\Inuyasha! You're back to normal!\Huh?\What did I do?\You stupid dog!\Inuyasha! response:	What are you holding?
context: Inuyasha! Sit!\What're you doing?! Kagome!\Inuyasha! You're back to normal!\Huh?\What did I do?\You stupid dog!\Inuyasha!\What are you holding? response:	Please let me go!
context: What're you doing?! Kagome!\Inuyasha! You're back to normal!\Huh?\What did I do?\You stupid dog!\Inuyasha!\What are you holding?\Please let me go! response:	Myoga!
context: Inuyasha! You're back to normal!\Huh?\What did I do?\You stupid dog!\Inuyasha!\What are you holding?\Please let me go!\Myoga! response:	Please let me go, Inuyasha!
context: Huh?\What did I do?\You stupid dog!\Inuyasha!\What are you holding?\Please let me go!\Myoga!\Please let me go, Inuyasha! response:	Kagome, it's a flea! An unfamiliar flea!
context: What did I do?\You stupid dog!\Inuyasha!\What are you holding?\Please let me go!\Myoga!\Please let me go, Inuyasha!\Kagome, it's a flea! An unfamiliar flea! response:	You're right.
context: You stupid dog!\Inuyasha!\What are you holding?\Please let me go!\Myoga!\Please let me go, Inuyasha!\Kagome, it's a flea! An unfamiliar flea!\You're right. response:	It came out from Inuyasha's body.
context: Inuyasha!\What are you holding?\Please let me go!\Myoga!\Please let me go, Inuyasha!\Kagome, it's a flea! An unfamiliar flea!\You're right.\It came out from Inuyasha's body. response:	This is my one wish of a lifetime!
context: What are you holding?\Please let me go!\Myoga!\Please let me go, Inuyasha!\Kagome, it's a flea! An unfamiliar flea!\You're right.\It came out from Inuyasha's body.\This is my one wish of a lifetime! response:	Please let me go!
context: Please let me go!\Myoga!\Please let me go, Inuyasha!\Kagome, it's a flea! An unfamiliar flea!\You're right.\It came out from Inuyasha's body.\This is my one wish of a lifetime!\Please let me go! response:	Myoga! It's the end of the line for you.
context: Myoga!\Please let me go, Inuyasha!\Kagome, it's a flea! An unfamiliar flea!\You're right.\It came out from Inuyasha's body.\This is my one wish of a lifetime!\Please let me go!\Myoga! It's the end of the line for you. response:	You cannot get away!
context: Please let me go, Inuyasha!\Kagome, it's a flea! An unfamiliar flea!\You're right.\It came out from Inuyasha's body.\This is my one wish of a lifetime!\Please let me go!\Myoga! It's the end of the line for you.\You cannot get away! response:	Who are you?
context: Kagome, it's a flea! An unfamiliar flea!\You're right.\It came out from Inuyasha's body.\This is my one wish of a lifetime!\Please let me go!\Myoga! It's the end of the line for you.\You cannot get away!\Who are you? response:	Oh dear... This is so embarrassing.
context: You're right.\It came out from Inuyasha's body.\This is my one wish of a lifetime!\Please let me go!\Myoga! It's the end of the line for you.\You cannot get away!\Who are you?\Oh dear... This is so embarrassing. response:	I'm called Shoga.
context: It came out from Inuyasha's body.\This is my one wish of a lifetime!\Please let me go!\Myoga! It's the end of the line for you.\You cannot get away!\Who are you?\Oh dear... This is so embarrassing.\I'm called Shoga. response:	I'm betrothed to Myoga. Our parents arranged it.
context: This is my one wish of a lifetime!\Please let me go!\Myoga! It's the end of the line for you.\You cannot get away!\Who are you?\Oh dear... This is so embarrassing.\I'm called Shoga.\I'm betrothed to Myoga. Our parents arranged it. response:	N-No, she's wrong!
context: Please let me go!\Myoga! It's the end of the line for you.\You cannot get away!\Who are you?\Oh dear... This is so embarrassing.\I'm called Shoga.\I'm betrothed to Myoga. Our parents arranged it.\N-No, she's wrong! response:	You be quiet!
context: Myoga! It's the end of the line for you.\You cannot get away!\Who are you?\Oh dear... This is so embarrassing.\I'm called Shoga.\I'm betrothed to Myoga. Our parents arranged it.\N-No, she's wrong!\You be quiet! response:	Old Shoga, huh?
context: You cannot get away!\Who are you?\Oh dear... This is so embarrassing.\I'm called Shoga.\I'm betrothed to Myoga. Our parents arranged it.\N-No, she's wrong!\You be quiet!\Old Shoga, huh? response:	Don't call her old!
context: Who are you?\Oh dear... This is so embarrassing.\I'm called Shoga.\I'm betrothed to Myoga. Our parents arranged it.\N-No, she's wrong!\You be quiet!\Old Shoga, huh?\Don't call her old! response:	Oh, no... When a flea reaches my age,
context: Oh dear... This is so embarrassing.\I'm called Shoga.\I'm betrothed to Myoga. Our parents arranged it.\N-No, she's wrong!\You be quiet!\Old Shoga, huh?\Don't call her old!\Oh, no... When a flea reaches my age, response:	she wants to settle down and have a family.
context: I'm called Shoga.\I'm betrothed to Myoga. Our parents arranged it.\N-No, she's wrong!\You be quiet!\Old Shoga, huh?\Don't call her old!\Oh, no... When a flea reaches my age,\she wants to settle down and have a family. response:	But this one...
context: I'm betrothed to Myoga. Our parents arranged it.\N-No, she's wrong!\You be quiet!\Old Shoga, huh?\Don't call her old!\Oh, no... When a flea reaches my age,\she wants to settle down and have a family.\But this one... response:	From long ago, he's been such a womanizer!
context: N-No, she's wrong!\You be quiet!\Old Shoga, huh?\Don't call her old!\Oh, no... When a flea reaches my age,\she wants to settle down and have a family.\But this one...\From long ago, he's been such a womanizer! response:	Whenever there's a pretty woman...
context: You be quiet!\Old Shoga, huh?\Don't call her old!\Oh, no... When a flea reaches my age,\she wants to settle down and have a family.\But this one...\From long ago, he's been such a womanizer!\Whenever there's a pretty woman... response:	He goes to check on her without a word...
context: Old Shoga, huh?\Don't call her old!\Oh, no... When a flea reaches my age,\she wants to settle down and have a family.\But this one...\From long ago, he's been such a womanizer!\Whenever there's a pretty woman...\He goes to check on her without a word... response:	And he leaves without a trace.
context: Don't call her old!\Oh, no... When a flea reaches my age,\she wants to settle down and have a family.\But this one...\From long ago, he's been such a womanizer!\Whenever there's a pretty woman...\He goes to check on her without a word...\And he leaves without a trace. response:	So I came after him this time,
context: Oh, no... When a flea reaches my age,\she wants to settle down and have a family.\But this one...\From long ago, he's been such a womanizer!\Whenever there's a pretty woman...\He goes to check on her without a word...\And he leaves without a trace.\So I came after him this time, response:	sworn to take him back even if I must carry him on my back!
context: she wants to settle down and have a family.\But this one...\From long ago, he's been such a womanizer!\Whenever there's a pretty woman...\He goes to check on her without a word...\And he leaves without a trace.\So I came after him this time,\sworn to take him back even if I must carry him on my back! response:	Scary!
context: But this one...\From long ago, he's been such a womanizer!\Whenever there's a pretty woman...\He goes to check on her without a word...\And he leaves without a trace.\So I came after him this time,\sworn to take him back even if I must carry him on my back!\Scary! response:	Myoga, are you prepared?!
context: From long ago, he's been such a womanizer!\Whenever there's a pretty woman...\He goes to check on her without a word...\And he leaves without a trace.\So I came after him this time,\sworn to take him back even if I must carry him on my back!\Scary!\Myoga, are you prepared?! response:	No! Please let me!
context: Whenever there's a pretty woman...\He goes to check on her without a word...\And he leaves without a trace.\So I came after him this time,\sworn to take him back even if I must carry him on my back!\Scary!\Myoga, are you prepared?!\No! Please let me! response:	Please release me, Inuyasha!
context: He goes to check on her without a word...\And he leaves without a trace.\So I came after him this time,\sworn to take him back even if I must carry him on my back!\Scary!\Myoga, are you prepared?!\No! Please let me!\Please release me, Inuyasha! response:	No way!
context: And he leaves without a trace.\So I came after him this time,\sworn to take him back even if I must carry him on my back!\Scary!\Myoga, are you prepared?!\No! Please let me!\Please release me, Inuyasha!\No way! response:	Why?
context: So I came after him this time,\sworn to take him back even if I must carry him on my back!\Scary!\Myoga, are you prepared?!\No! Please let me!\Please release me, Inuyasha!\No way!\Why? response:	You knew that this Old Shoga was the one who bewitched us!
context: sworn to take him back even if I must carry him on my back!\Scary!\Myoga, are you prepared?!\No! Please let me!\Please release me, Inuyasha!\No way!\Why?\You knew that this Old Shoga was the one who bewitched us! response:	Inuyasha, do you intend to steal my days of youth?!
context: Scary!\Myoga, are you prepared?!\No! Please let me!\Please release me, Inuyasha!\No way!\Why?\You knew that this Old Shoga was the one who bewitched us!\Inuyasha, do you intend to steal my days of youth?! response:	What days of youth?!
context: Myoga, are you prepared?!\No! Please let me!\Please release me, Inuyasha!\No way!\Why?\You knew that this Old Shoga was the one who bewitched us!\Inuyasha, do you intend to steal my days of youth?!\What days of youth?! response:	I think I'd better tie you to my back!
context: No! Please let me!\Please release me, Inuyasha!\No way!\Why?\You knew that this Old Shoga was the one who bewitched us!\Inuyasha, do you intend to steal my days of youth?!\What days of youth?!\I think I'd better tie you to my back! response:	Good idea!
context: Please release me, Inuyasha!\No way!\Why?\You knew that this Old Shoga was the one who bewitched us!\Inuyasha, do you intend to steal my days of youth?!\What days of youth?!\I think I'd better tie you to my back!\Good idea! response:	Now, now... Old Shoga.
context: No way!\Why?\You knew that this Old Shoga was the one who bewitched us!\Inuyasha, do you intend to steal my days of youth?!\What days of youth?!\I think I'd better tie you to my back!\Good idea!\Now, now... Old Shoga. response:	Forgive him.
context: Why?\You knew that this Old Shoga was the one who bewitched us!\Inuyasha, do you intend to steal my days of youth?!\What days of youth?!\I think I'd better tie you to my back!\Good idea!\Now, now... Old Shoga.\Forgive him. response:	Yes. If you're going to take Old Myoga's freedom,
context: You knew that this Old Shoga was the one who bewitched us!\Inuyasha, do you intend to steal my days of youth?!\What days of youth?!\I think I'd better tie you to my back!\Good idea!\Now, now... Old Shoga.\Forgive him.\Yes. If you're going to take Old Myoga's freedom, response:	you should stay here and get married.
context: Inuyasha, do you intend to steal my days of youth?!\What days of youth?!\I think I'd better tie you to my back!\Good idea!\Now, now... Old Shoga.\Forgive him.\Yes. If you're going to take Old Myoga's freedom,\you should stay here and get married. response:	Marry?!
context: What days of youth?!\I think I'd better tie you to my back!\Good idea!\Now, now... Old Shoga.\Forgive him.\Yes. If you're going to take Old Myoga's freedom,\you should stay here and get married.\Marry?! response:	Then you can start a life together!
context: I think I'd better tie you to my back!\Good idea!\Now, now... Old Shoga.\Forgive him.\Yes. If you're going to take Old Myoga's freedom,\you should stay here and get married.\Marry?!\Then you can start a life together! response:	Oh dear...
context: Good idea!\Now, now... Old Shoga.\Forgive him.\Yes. If you're going to take Old Myoga's freedom,\you should stay here and get married.\Marry?!\Then you can start a life together!\Oh dear... response:	She's embarrassed!
context: Now, now... Old Shoga.\Forgive him.\Yes. If you're going to take Old Myoga's freedom,\you should stay here and get married.\Marry?!\Then you can start a life together!\Oh dear...\She's embarrassed! response:	She may be a flea, but she's still a female.
context: Forgive him.\Yes. If you're going to take Old Myoga's freedom,\you should stay here and get married.\Marry?!\Then you can start a life together!\Oh dear...\She's embarrassed!\She may be a flea, but she's still a female. response:	We'll ask the headman to be the go-between.
context: Yes. If you're going to take Old Myoga's freedom,\you should stay here and get married.\Marry?!\Then you can start a life together!\Oh dear...\She's embarrassed!\She may be a flea, but she's still a female.\We'll ask the headman to be the go-between. response:	There's no need for the headman!
context: you should stay here and get married.\Marry?!\Then you can start a life together!\Oh dear...\She's embarrassed!\She may be a flea, but she's still a female.\We'll ask the headman to be the go-between.\There's no need for the headman! response:	No! No!
context: Marry?!\Then you can start a life together!\Oh dear...\She's embarrassed!\She may be a flea, but she's still a female.\We'll ask the headman to be the go-between.\There's no need for the headman!\No! No! response:	Myoga doesn't seem pleased about it.
context: Then you can start a life together!\Oh dear...\She's embarrassed!\She may be a flea, but she's still a female.\We'll ask the headman to be the go-between.\There's no need for the headman!\No! No!\Myoga doesn't seem pleased about it. response:	You have to resign yourself.
context: Oh dear...\She's embarrassed!\She may be a flea, but she's still a female.\We'll ask the headman to be the go-between.\There's no need for the headman!\No! No!\Myoga doesn't seem pleased about it.\You have to resign yourself. response:	Become a fine flea husband and wife.
context: She's embarrassed!\She may be a flea, but she's still a female.\We'll ask the headman to be the go-between.\There's no need for the headman!\No! No!\Myoga doesn't seem pleased about it.\You have to resign yourself.\Become a fine flea husband and wife. response:	No!
context: She may be a flea, but she's still a female.\We'll ask the headman to be the go-between.\There's no need for the headman!\No! No!\Myoga doesn't seem pleased about it.\You have to resign yourself.\Become a fine flea husband and wife.\No! response:	Myoga... Now we are married at last!
context: We'll ask the headman to be the go-between.\There's no need for the headman!\No! No!\Myoga doesn't seem pleased about it.\You have to resign yourself.\Become a fine flea husband and wife.\No!\Myoga... Now we are married at last! response:	He's so embarrassed!
context: There's no need for the headman!\No! No!\Myoga doesn't seem pleased about it.\You have to resign yourself.\Become a fine flea husband and wife.\No!\Myoga... Now we are married at last!\He's so embarrassed! response:	You can at least say you love me.
context: No! No!\Myoga doesn't seem pleased about it.\You have to resign yourself.\Become a fine flea husband and wife.\No!\Myoga... Now we are married at last!\He's so embarrassed!\You can at least say you love me. response:	Myoga?!
context: Myoga doesn't seem pleased about it.\You have to resign yourself.\Become a fine flea husband and wife.\No!\Myoga... Now we are married at last!\He's so embarrassed!\You can at least say you love me.\Myoga?! response:	What's wrong?
context: You have to resign yourself.\Become a fine flea husband and wife.\No!\Myoga... Now we are married at last!\He's so embarrassed!\You can at least say you love me.\Myoga?!\What's wrong? response:	What happened?!
