context: Yes, and they're the wild hunters. response:	They're all specially trained to catch all of the ghosts within twelve days.
context: watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Your first steps forward can be small to start
context: kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Keep it up, and we can create a brand-new future
context: kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	I'll always believe no matter what
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what response:	donna toki mo shinjiteiru yo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo response:	I'll always believe no matter what
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what response:	donna toki mo shinjiteiru yo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo response:	In this world and in my dreams
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams response:	kono sekai wo, jibun no yume wo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo response:	In this world and in my dreams
context: kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams response:	kono sekai wo, jibun no yume wo
context: I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo response:	This uncontrollable urge is compelling me to begin
context: donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin response:	osaekirenai shoudou wa hajimari no aizu datte sa
context: I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa response:	This uncontrollable urge is compelling me to begin
context: donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin response:	osaekirenai shoudou wa hajimari no aizu datte sa
context: In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa response:	Telling me to go out and find the me I haven't become yet
context: kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet response:	mada watashi ga shiranai watashi ni deau tame
context: In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame response:	Telling me to go out and find the me I haven't become yet
context: kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet response:	mada watashi ga shiranai watashi ni deau tame
context: This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame response:	So off I go!
context: osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go! response:	kimeta yo
context: This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo response:	So off I go!
context: osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go! response:	kimeta yo
context: Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo response:	Don't be afraid to try again
context: mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again response:	osorenaide try again
context: Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again response:	Don't be afraid to try again
context: mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again response:	osorenaide try again
context: So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again response:	Keep getting up and fly away
context: kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away response:	nando datte fly away
context: So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away response:	Keep getting up and fly away
context: kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away response:	nando datte fly away
context: Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away response:	It's showtime!
context: osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime! response:	It's showtime!
context: Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime! response:	Oh I don't want to miss a thing
context: osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing response:	Oh I don't want to miss a thing
context: Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing response:	Starting from here
context: nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here response:	kono basho kara
context: Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara response:	Starting from here
context: nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here response:	kono basho kara
context: It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara response:	Little Witch Academia
context: It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia response:	Little Witch Academia
context: Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia response:	Is Constanze here?
context: Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\Is Constanze here? response:	Oh, Akko. Cons is out right now.
context: Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\Is Constanze here?\Oh, Akko. Cons is out right now. response:	Oh...
context: kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\Is Constanze here?\Oh, Akko. Cons is out right now.\Oh... response:	You need her for something?
context: Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\Is Constanze here?\Oh, Akko. Cons is out right now.\Oh...\You need her for something? response:	Actually...
context: kono basho kara\Little Witch Academia\Little Witch Academia\Is Constanze here?\Oh, Akko. Cons is out right now.\Oh...\You need her for something?\Actually... response:	I broke her Stanbot.
context: Little Witch Academia\Little Witch Academia\Is Constanze here?\Oh, Akko. Cons is out right now.\Oh...\You need her for something?\Actually...\I broke her Stanbot. response:	She's gonna be pissed.
context: Little Witch Academia\Is Constanze here?\Oh, Akko. Cons is out right now.\Oh...\You need her for something?\Actually...\I broke her Stanbot.\She's gonna be pissed. response:	Thing is, she dragged us into helping her build a weapon for the Wild Hunt.
context: Is Constanze here?\Oh, Akko. Cons is out right now.\Oh...\You need her for something?\Actually...\I broke her Stanbot.\She's gonna be pissed.\Thing is, she dragged us into helping her build a weapon for the Wild Hunt. response:	Why's she working on that?
context: Oh, Akko. Cons is out right now.\Oh...\You need her for something?\Actually...\I broke her Stanbot.\She's gonna be pissed.\Thing is, she dragged us into helping her build a weapon for the Wild Hunt.\Why's she working on that? response:	Cause she's gonna be in the Wild Hunt.
context: Oh...\You need her for something?\Actually...\I broke her Stanbot.\She's gonna be pissed.\Thing is, she dragged us into helping her build a weapon for the Wild Hunt.\Why's she working on that?\Cause she's gonna be in the Wild Hunt. response:	Seriously?! For real?
context: You need her for something?\Actually...\I broke her Stanbot.\She's gonna be pissed.\Thing is, she dragged us into helping her build a weapon for the Wild Hunt.\Why's she working on that?\Cause she's gonna be in the Wild Hunt.\Seriously?! For real? response:	Professor Croix gave her special permission to enter.
context: Actually...\I broke her Stanbot.\She's gonna be pissed.\Thing is, she dragged us into helping her build a weapon for the Wild Hunt.\Why's she working on that?\Cause she's gonna be in the Wild Hunt.\Seriously?! For real?\Professor Croix gave her special permission to enter. response:	Wow, that's awesome.
context: I broke her Stanbot.\She's gonna be pissed.\Thing is, she dragged us into helping her build a weapon for the Wild Hunt.\Why's she working on that?\Cause she's gonna be in the Wild Hunt.\Seriously?! For real?\Professor Croix gave her special permission to enter.\Wow, that's awesome. response:	Ah, that...
context: She's gonna be pissed.\Thing is, she dragged us into helping her build a weapon for the Wild Hunt.\Why's she working on that?\Cause she's gonna be in the Wild Hunt.\Seriously?! For real?\Professor Croix gave her special permission to enter.\Wow, that's awesome.\Ah, that... response:	Ow...
context: Thing is, she dragged us into helping her build a weapon for the Wild Hunt.\Why's she working on that?\Cause she's gonna be in the Wild Hunt.\Seriously?! For real?\Professor Croix gave her special permission to enter.\Wow, that's awesome.\Ah, that...\Ow... response:	Whoa, what is all this?
context: Why's she working on that?\Cause she's gonna be in the Wild Hunt.\Seriously?! For real?\Professor Croix gave her special permission to enter.\Wow, that's awesome.\Ah, that...\Ow...\Whoa, what is all this? response:	Constanze!
context: Cause she's gonna be in the Wild Hunt.\Seriously?! For real?\Professor Croix gave her special permission to enter.\Wow, that's awesome.\Ah, that...\Ow...\Whoa, what is all this?\Constanze! response:	U-Um...
context: Seriously?! For real?\Professor Croix gave her special permission to enter.\Wow, that's awesome.\Ah, that...\Ow...\Whoa, what is all this?\Constanze!\U-Um... response:	Sorry!
context: Professor Croix gave her special permission to enter.\Wow, that's awesome.\Ah, that...\Ow...\Whoa, what is all this?\Constanze!\U-Um...\Sorry! response:	I broke your Stanbot!
context: Wow, that's awesome.\Ah, that...\Ow...\Whoa, what is all this?\Constanze!\U-Um...\Sorry!\I broke your Stanbot! response:	I'm really sorry! But it was an accident!
context: Ah, that...\Ow...\Whoa, what is all this?\Constanze!\U-Um...\Sorry!\I broke your Stanbot!\I'm really sorry! But it was an accident! response:	Forgive me, okay? Please!
context: Ow...\Whoa, what is all this?\Constanze!\U-Um...\Sorry!\I broke your Stanbot!\I'm really sorry! But it was an accident!\Forgive me, okay? Please! response:	I'll help you out with anything you want in exchange!
context: Whoa, what is all this?\Constanze!\U-Um...\Sorry!\I broke your Stanbot!\I'm really sorry! But it was an accident!\Forgive me, okay? Please!\I'll help you out with anything you want in exchange! response:	Wait, wait! Just calm down!
context: Constanze!\U-Um...\Sorry!\I broke your Stanbot!\I'm really sorry! But it was an accident!\Forgive me, okay? Please!\I'll help you out with anything you want in exchange!\Wait, wait! Just calm down! response:	We can talk this out!
context: U-Um...\Sorry!\I broke your Stanbot!\I'm really sorry! But it was an accident!\Forgive me, okay? Please!\I'll help you out with anything you want in exchange!\Wait, wait! Just calm down!\We can talk this out! response:	Are you okay?
context: Sorry!\I broke your Stanbot!\I'm really sorry! But it was an accident!\Forgive me, okay? Please!\I'll help you out with anything you want in exchange!\Wait, wait! Just calm down!\We can talk this out!\Are you okay? response:	That does sound rough.
context: I broke your Stanbot!\I'm really sorry! But it was an accident!\Forgive me, okay? Please!\I'll help you out with anything you want in exchange!\Wait, wait! Just calm down!\We can talk this out!\Are you okay?\That does sound rough. response:	But we all know that Akko's help is anything but.
context: I'm really sorry! But it was an accident!\Forgive me, okay? Please!\I'll help you out with anything you want in exchange!\Wait, wait! Just calm down!\We can talk this out!\Are you okay?\That does sound rough.\But we all know that Akko's help is anything but. response:	What's that supposed to mean?!
context: Forgive me, okay? Please!\I'll help you out with anything you want in exchange!\Wait, wait! Just calm down!\We can talk this out!\Are you okay?\That does sound rough.\But we all know that Akko's help is anything but.\What's that supposed to mean?! response:	Yo.
context: I'll help you out with anything you want in exchange!\Wait, wait! Just calm down!\We can talk this out!\Are you okay?\That does sound rough.\But we all know that Akko's help is anything but.\What's that supposed to mean?!\Yo. response:	What're you doing?
context: Wait, wait! Just calm down!\We can talk this out!\Are you okay?\That does sound rough.\But we all know that Akko's help is anything but.\What's that supposed to mean?!\Yo.\What're you doing? response:	Running some errands in Stanbot's place.
context: We can talk this out!\Are you okay?\That does sound rough.\But we all know that Akko's help is anything but.\What's that supposed to mean?!\Yo.\What're you doing?\Running some errands in Stanbot's place. response:	Though it's really just taking stuff to our room.
context: Are you okay?\That does sound rough.\But we all know that Akko's help is anything but.\What's that supposed to mean?!\Yo.\What're you doing?\Running some errands in Stanbot's place.\Though it's really just taking stuff to our room. response:	Gimme that! I'll do it.
context: That does sound rough.\But we all know that Akko's help is anything but.\What's that supposed to mean?!\Yo.\What're you doing?\Running some errands in Stanbot's place.\Though it's really just taking stuff to our room.\Gimme that! I'll do it. response:	She leaves me no choice but to force my help down her throat!
context: But we all know that Akko's help is anything but.\What's that supposed to mean?!\Yo.\What're you doing?\Running some errands in Stanbot's place.\Though it's really just taking stuff to our room.\Gimme that! I'll do it.\She leaves me no choice but to force my help down her throat! response:	Constanze!
context: What's that supposed to mean?!\Yo.\What're you doing?\Running some errands in Stanbot's place.\Though it's really just taking stuff to our room.\Gimme that! I'll do it.\She leaves me no choice but to force my help down her throat!\Constanze! response:	I brought it!
context: Yo.\What're you doing?\Running some errands in Stanbot's place.\Though it's really just taking stuff to our room.\Gimme that! I'll do it.\She leaves me no choice but to force my help down her throat!\Constanze!\I brought it! response:	Wow, that looks amazing!
context: What're you doing?\Running some errands in Stanbot's place.\Though it's really just taking stuff to our room.\Gimme that! I'll do it.\She leaves me no choice but to force my help down her throat!\Constanze!\I brought it!\Wow, that looks amazing! response:	Sorry!
context: Running some errands in Stanbot's place.\Though it's really just taking stuff to our room.\Gimme that! I'll do it.\She leaves me no choice but to force my help down her throat!\Constanze!\I brought it!\Wow, that looks amazing!\Sorry! response:	Here you go!
context: Though it's really just taking stuff to our room.\Gimme that! I'll do it.\She leaves me no choice but to force my help down her throat!\Constanze!\I brought it!\Wow, that looks amazing!\Sorry!\Here you go! response:	I cooked for you!
context: Gimme that! I'll do it.\She leaves me no choice but to force my help down her throat!\Constanze!\I brought it!\Wow, that looks amazing!\Sorry!\Here you go!\I cooked for you! response:	Constanze!
context: She leaves me no choice but to force my help down her throat!\Constanze!\I brought it!\Wow, that looks amazing!\Sorry!\Here you go!\I cooked for you!\Constanze! response:	Constanze!
context: Constanze!\I brought it!\Wow, that looks amazing!\Sorry!\Here you go!\I cooked for you!\Constanze!\Constanze! response:	Constanze!
context: I brought it!\Wow, that looks amazing!\Sorry!\Here you go!\I cooked for you!\Constanze!\Constanze!\Constanze! response:	Constanze!
context: Wow, that looks amazing!\Sorry!\Here you go!\I cooked for you!\Constanze!\Constanze!\Constanze!\Constanze! response:	Constanze!
context: Sorry!\Here you go!\I cooked for you!\Constanze!\Constanze!\Constanze!\Constanze!\Constanze! response:	Constanze!
context: Here you go!\I cooked for you!\Constanze!\Constanze!\Constanze!\Constanze!\Constanze!\Constanze! response:	Let me out! I can't help you like this!
context: I cooked for you!\Constanze!\Constanze!\Constanze!\Constanze!\Constanze!\Constanze!\Let me out! I can't help you like this! response:	What do you mean? You want to do it all yourself?
context: Constanze!\Constanze!\Constanze!\Constanze!\Constanze!\Constanze!\Let me out! I can't help you like this!\What do you mean? You want to do it all yourself? response:	Fine! Try and hold me back, cage!
context: Constanze!\Constanze!\Constanze!\Constanze!\Constanze!\Let me out! I can't help you like this!\What do you mean? You want to do it all yourself?\Fine! Try and hold me back, cage! response:	Metamorphie Faciesse!
context: Constanze!\Constanze!\Constanze!\Constanze!\Let me out! I can't help you like this!\What do you mean? You want to do it all yourself?\Fine! Try and hold me back, cage!\Metamorphie Faciesse! response:	Whoa!
context: Constanze!\Constanze!\Constanze!\Let me out! I can't help you like this!\What do you mean? You want to do it all yourself?\Fine! Try and hold me back, cage!\Metamorphie Faciesse!\Whoa! response:	This is what she's using for the Wild Hunt?
context: Constanze!\Constanze!\Let me out! I can't help you like this!\What do you mean? You want to do it all yourself?\Fine! Try and hold me back, cage!\Metamorphie Faciesse!\Whoa!\This is what she's using for the Wild Hunt? response:	Hey, I was just thinking...
context: Constanze!\Let me out! I can't help you like this!\What do you mean? You want to do it all yourself?\Fine! Try and hold me back, cage!\Metamorphie Faciesse!\Whoa!\This is what she's using for the Wild Hunt?\Hey, I was just thinking... response:	Aren't we kind of similar?
context: Let me out! I can't help you like this!\What do you mean? You want to do it all yourself?\Fine! Try and hold me back, cage!\Metamorphie Faciesse!\Whoa!\This is what she's using for the Wild Hunt?\Hey, I was just thinking...\Aren't we kind of similar? response:	Ever since we were little, we were obsessed with just one thing!
context: What do you mean? You want to do it all yourself?\Fine! Try and hold me back, cage!\Metamorphie Faciesse!\Whoa!\This is what she's using for the Wild Hunt?\Hey, I was just thinking...\Aren't we kind of similar?\Ever since we were little, we were obsessed with just one thing! response:	It didn't matter what anyone else said about it!
context: Fine! Try and hold me back, cage!\Metamorphie Faciesse!\Whoa!\This is what she's using for the Wild Hunt?\Hey, I was just thinking...\Aren't we kind of similar?\Ever since we were little, we were obsessed with just one thing!\It didn't matter what anyone else said about it! response:	We just go straight down the path we've chosen!
context: Metamorphie Faciesse!\Whoa!\This is what she's using for the Wild Hunt?\Hey, I was just thinking...\Aren't we kind of similar?\Ever since we were little, we were obsessed with just one thing!\It didn't matter what anyone else said about it!\We just go straight down the path we've chosen! response:	Don't you agree?
context: Whoa!\This is what she's using for the Wild Hunt?\Hey, I was just thinking...\Aren't we kind of similar?\Ever since we were little, we were obsessed with just one thing!\It didn't matter what anyone else said about it!\We just go straight down the path we've chosen!\Don't you agree? response:	Come on, there are some things you can't do alone...
