context: When you're gazing out at the sea, surrounded by the sound of waves... response:	It just goes to show that it's better to be busy.
context: Oh? What's this, Ahito? You're blushing.\I'm not blushing!\My, my. Are you flustered?\Shut up, hag!\Whaaat?!\Stop it!\My, my.\Such beautiful lace work. response:	It's wonderful!
context: I'm not blushing!\My, my. Are you flustered?\Shut up, hag!\Whaaat?!\Stop it!\My, my.\Such beautiful lace work.\It's wonderful! response:	Grandma made it.
context: My, my. Are you flustered?\Shut up, hag!\Whaaat?!\Stop it!\My, my.\Such beautiful lace work.\It's wonderful!\Grandma made it. response:	Huh? Your grandmother?
context: Shut up, hag!\Whaaat?!\Stop it!\My, my.\Such beautiful lace work.\It's wonderful!\Grandma made it.\Huh? Your grandmother? response:	Yeah. My grandma is a famous lace maker on this island.
context: Whaaat?!\Stop it!\My, my.\Such beautiful lace work.\It's wonderful!\Grandma made it.\Huh? Your grandmother?\Yeah. My grandma is a famous lace maker on this island. response:	Mom's getting lessons from her right now.
context: Stop it!\My, my.\Such beautiful lace work.\It's wonderful!\Grandma made it.\Huh? Your grandmother?\Yeah. My grandma is a famous lace maker on this island.\Mom's getting lessons from her right now. response:	She's still bad at it, though.
context: My, my.\Such beautiful lace work.\It's wonderful!\Grandma made it.\Huh? Your grandmother?\Yeah. My grandma is a famous lace maker on this island.\Mom's getting lessons from her right now.\She's still bad at it, though. response:	Hey!
context: Such beautiful lace work.\It's wonderful!\Grandma made it.\Huh? Your grandmother?\Yeah. My grandma is a famous lace maker on this island.\Mom's getting lessons from her right now.\She's still bad at it, though.\Hey! response:	That was given to me as a wedding gift.
context: It's wonderful!\Grandma made it.\Huh? Your grandmother?\Yeah. My grandma is a famous lace maker on this island.\Mom's getting lessons from her right now.\She's still bad at it, though.\Hey!\That was given to me as a wedding gift. response:	Everything else is either my own work, or was given to me by someone else.
context: Grandma made it.\Huh? Your grandmother?\Yeah. My grandma is a famous lace maker on this island.\Mom's getting lessons from her right now.\She's still bad at it, though.\Hey!\That was given to me as a wedding gift.\Everything else is either my own work, or was given to me by someone else. response:	Back when Anna was working at the Aria Company...
context: Huh? Your grandmother?\Yeah. My grandma is a famous lace maker on this island.\Mom's getting lessons from her right now.\She's still bad at it, though.\Hey!\That was given to me as a wedding gift.\Everything else is either my own work, or was given to me by someone else.\Back when Anna was working at the Aria Company... response:	She soon fell in love with that kind fisherman who cared so much about his mother.
context: Yeah. My grandma is a famous lace maker on this island.\Mom's getting lessons from her right now.\She's still bad at it, though.\Hey!\That was given to me as a wedding gift.\Everything else is either my own work, or was given to me by someone else.\Back when Anna was working at the Aria Company...\She soon fell in love with that kind fisherman who cared so much about his mother. response:	Thank you so much for forgiving my selfishness.
context: Mom's getting lessons from her right now.\She's still bad at it, though.\Hey!\That was given to me as a wedding gift.\Everything else is either my own work, or was given to me by someone else.\Back when Anna was working at the Aria Company...\She soon fell in love with that kind fisherman who cared so much about his mother.\Thank you so much for forgiving my selfishness. response:	Not at all, Anna. Congratulations.
context: She's still bad at it, though.\Hey!\That was given to me as a wedding gift.\Everything else is either my own work, or was given to me by someone else.\Back when Anna was working at the Aria Company...\She soon fell in love with that kind fisherman who cared so much about his mother.\Thank you so much for forgiving my selfishness.\Not at all, Anna. Congratulations. response:	This is a wonderful reason.
context: Hey!\That was given to me as a wedding gift.\Everything else is either my own work, or was given to me by someone else.\Back when Anna was working at the Aria Company...\She soon fell in love with that kind fisherman who cared so much about his mother.\Thank you so much for forgiving my selfishness.\Not at all, Anna. Congratulations.\This is a wonderful reason. response:	To see you follow your own path without any hesitation makes me very happy.
context: That was given to me as a wedding gift.\Everything else is either my own work, or was given to me by someone else.\Back when Anna was working at the Aria Company...\She soon fell in love with that kind fisherman who cared so much about his mother.\Thank you so much for forgiving my selfishness.\Not at all, Anna. Congratulations.\This is a wonderful reason.\To see you follow your own path without any hesitation makes me very happy. response:	Thank you very much, Grandma.
context: Everything else is either my own work, or was given to me by someone else.\Back when Anna was working at the Aria Company...\She soon fell in love with that kind fisherman who cared so much about his mother.\Thank you so much for forgiving my selfishness.\Not at all, Anna. Congratulations.\This is a wonderful reason.\To see you follow your own path without any hesitation makes me very happy.\Thank you very much, Grandma. response:	Please take care.
context: Back when Anna was working at the Aria Company...\She soon fell in love with that kind fisherman who cared so much about his mother.\Thank you so much for forgiving my selfishness.\Not at all, Anna. Congratulations.\This is a wonderful reason.\To see you follow your own path without any hesitation makes me very happy.\Thank you very much, Grandma.\Please take care. response:	Thank you, Alicia.
context: She soon fell in love with that kind fisherman who cared so much about his mother.\Thank you so much for forgiving my selfishness.\Not at all, Anna. Congratulations.\This is a wonderful reason.\To see you follow your own path without any hesitation makes me very happy.\Thank you very much, Grandma.\Please take care.\Thank you, Alicia. response:	Take care of yourself.
context: Thank you so much for forgiving my selfishness.\Not at all, Anna. Congratulations.\This is a wonderful reason.\To see you follow your own path without any hesitation makes me very happy.\Thank you very much, Grandma.\Please take care.\Thank you, Alicia.\Take care of yourself. response:	I will.
context: Not at all, Anna. Congratulations.\This is a wonderful reason.\To see you follow your own path without any hesitation makes me very happy.\Thank you very much, Grandma.\Please take care.\Thank you, Alicia.\Take care of yourself.\I will. response:	The Aria Company was the high point of my youth.
context: This is a wonderful reason.\To see you follow your own path without any hesitation makes me very happy.\Thank you very much, Grandma.\Please take care.\Thank you, Alicia.\Take care of yourself.\I will.\The Aria Company was the high point of my youth. response:	It's pudgy-wudgy!
context: To see you follow your own path without any hesitation makes me very happy.\Thank you very much, Grandma.\Please take care.\Thank you, Alicia.\Take care of yourself.\I will.\The Aria Company was the high point of my youth.\It's pudgy-wudgy! response:	It was a happy marriage, wasn't it?
context: Thank you very much, Grandma.\Please take care.\Thank you, Alicia.\Take care of yourself.\I will.\The Aria Company was the high point of my youth.\It's pudgy-wudgy!\It was a happy marriage, wasn't it? response:	Not exactly.
context: Please take care.\Thank you, Alicia.\Take care of yourself.\I will.\The Aria Company was the high point of my youth.\It's pudgy-wudgy!\It was a happy marriage, wasn't it?\Not exactly. response:	I'm joking.
context: Thank you, Alicia.\Take care of yourself.\I will.\The Aria Company was the high point of my youth.\It's pudgy-wudgy!\It was a happy marriage, wasn't it?\Not exactly.\I'm joking. response:	But there were hardships.
context: Take care of yourself.\I will.\The Aria Company was the high point of my youth.\It's pudgy-wudgy!\It was a happy marriage, wasn't it?\Not exactly.\I'm joking.\But there were hardships. response:	Getting married and moving was fine, but life here was completely different from my life as an Undine.
context: I will.\The Aria Company was the high point of my youth.\It's pudgy-wudgy!\It was a happy marriage, wasn't it?\Not exactly.\I'm joking.\But there were hardships.\Getting married and moving was fine, but life here was completely different from my life as an Undine. response:	I didn't know anyone. My husband was always out fishing.
context: The Aria Company was the high point of my youth.\It's pudgy-wudgy!\It was a happy marriage, wasn't it?\Not exactly.\I'm joking.\But there were hardships.\Getting married and moving was fine, but life here was completely different from my life as an Undine.\I didn't know anyone. My husband was always out fishing. response:	I became alienated from the islanders, so I had a hard time getting to know them.
context: It's pudgy-wudgy!\It was a happy marriage, wasn't it?\Not exactly.\I'm joking.\But there were hardships.\Getting married and moving was fine, but life here was completely different from my life as an Undine.\I didn't know anyone. My husband was always out fishing.\I became alienated from the islanders, so I had a hard time getting to know them. response:	It was really lonely.
context: It was a happy marriage, wasn't it?\Not exactly.\I'm joking.\But there were hardships.\Getting married and moving was fine, but life here was completely different from my life as an Undine.\I didn't know anyone. My husband was always out fishing.\I became alienated from the islanders, so I had a hard time getting to know them.\It was really lonely. response:	But after I started learning how to make lace, I gradually got to know the islanders.
context: Not exactly.\I'm joking.\But there were hardships.\Getting married and moving was fine, but life here was completely different from my life as an Undine.\I didn't know anyone. My husband was always out fishing.\I became alienated from the islanders, so I had a hard time getting to know them.\It was really lonely.\But after I started learning how to make lace, I gradually got to know the islanders. response:	In some cases, we had up to five people working on a single lace project.
context: I'm joking.\But there were hardships.\Getting married and moving was fine, but life here was completely different from my life as an Undine.\I didn't know anyone. My husband was always out fishing.\I became alienated from the islanders, so I had a hard time getting to know them.\It was really lonely.\But after I started learning how to make lace, I gradually got to know the islanders.\In some cases, we had up to five people working on a single lace project. response:	Five people?
context: But there were hardships.\Getting married and moving was fine, but life here was completely different from my life as an Undine.\I didn't know anyone. My husband was always out fishing.\I became alienated from the islanders, so I had a hard time getting to know them.\It was really lonely.\But after I started learning how to make lace, I gradually got to know the islanders.\In some cases, we had up to five people working on a single lace project.\Five people? response:	Each of these lace embroideries was done by a different person,
context: Getting married and moving was fine, but life here was completely different from my life as an Undine.\I didn't know anyone. My husband was always out fishing.\I became alienated from the islanders, so I had a hard time getting to know them.\It was really lonely.\But after I started learning how to make lace, I gradually got to know the islanders.\In some cases, we had up to five people working on a single lace project.\Five people?\Each of these lace embroideries was done by a different person, response:	and they entrusted me with making the bridge embroideries that connect each section.
context: I didn't know anyone. My husband was always out fishing.\I became alienated from the islanders, so I had a hard time getting to know them.\It was really lonely.\But after I started learning how to make lace, I gradually got to know the islanders.\In some cases, we had up to five people working on a single lace project.\Five people?\Each of these lace embroideries was done by a different person,\and they entrusted me with making the bridge embroideries that connect each section. response:	I was so happy.
context: I became alienated from the islanders, so I had a hard time getting to know them.\It was really lonely.\But after I started learning how to make lace, I gradually got to know the islanders.\In some cases, we had up to five people working on a single lace project.\Five people?\Each of these lace embroideries was done by a different person,\and they entrusted me with making the bridge embroideries that connect each section.\I was so happy. response:	That embroidery became the real bridge that connected you and the islanders, didn't it?
context: It was really lonely.\But after I started learning how to make lace, I gradually got to know the islanders.\In some cases, we had up to five people working on a single lace project.\Five people?\Each of these lace embroideries was done by a different person,\and they entrusted me with making the bridge embroideries that connect each section.\I was so happy.\That embroidery became the real bridge that connected you and the islanders, didn't it? response:	Yeah.
context: But after I started learning how to make lace, I gradually got to know the islanders.\In some cases, we had up to five people working on a single lace project.\Five people?\Each of these lace embroideries was done by a different person,\and they entrusted me with making the bridge embroideries that connect each section.\I was so happy.\That embroidery became the real bridge that connected you and the islanders, didn't it?\Yeah. response:	Whoa, great way to put it, Akari!
context: In some cases, we had up to five people working on a single lace project.\Five people?\Each of these lace embroideries was done by a different person,\and they entrusted me with making the bridge embroideries that connect each section.\I was so happy.\That embroidery became the real bridge that connected you and the islanders, didn't it?\Yeah.\Whoa, great way to put it, Akari! response:	Ah! I'm sorry.
context: Five people?\Each of these lace embroideries was done by a different person,\and they entrusted me with making the bridge embroideries that connect each section.\I was so happy.\That embroidery became the real bridge that connected you and the islanders, didn't it?\Yeah.\Whoa, great way to put it, Akari!\Ah! I'm sorry. response:	My, my.
context: Each of these lace embroideries was done by a different person,\and they entrusted me with making the bridge embroideries that connect each section.\I was so happy.\That embroidery became the real bridge that connected you and the islanders, didn't it?\Yeah.\Whoa, great way to put it, Akari!\Ah! I'm sorry.\My, my. response:	I wonder if Grandma is doing well.
context: and they entrusted me with making the bridge embroideries that connect each section.\I was so happy.\That embroidery became the real bridge that connected you and the islanders, didn't it?\Yeah.\Whoa, great way to put it, Akari!\Ah! I'm sorry.\My, my.\I wonder if Grandma is doing well. response:	Ah, sounds like Alberto's back from fishing.
context: I was so happy.\That embroidery became the real bridge that connected you and the islanders, didn't it?\Yeah.\Whoa, great way to put it, Akari!\Ah! I'm sorry.\My, my.\I wonder if Grandma is doing well.\Ah, sounds like Alberto's back from fishing. response:	Grandma! What are you doing here?
context: That embroidery became the real bridge that connected you and the islanders, didn't it?\Yeah.\Whoa, great way to put it, Akari!\Ah! I'm sorry.\My, my.\I wonder if Grandma is doing well.\Ah, sounds like Alberto's back from fishing.\Grandma! What are you doing here? response:	Alicia invited me.
context: Yeah.\Whoa, great way to put it, Akari!\Ah! I'm sorry.\My, my.\I wonder if Grandma is doing well.\Ah, sounds like Alberto's back from fishing.\Grandma! What are you doing here?\Alicia invited me. response:	Long time no see, Anna. I'm glad to see you're doing well.
context: Whoa, great way to put it, Akari!\Ah! I'm sorry.\My, my.\I wonder if Grandma is doing well.\Ah, sounds like Alberto's back from fishing.\Grandma! What are you doing here?\Alicia invited me.\Long time no see, Anna. I'm glad to see you're doing well. response:	We just happened to bump into each other.
context: Ah! I'm sorry.\My, my.\I wonder if Grandma is doing well.\Ah, sounds like Alberto's back from fishing.\Grandma! What are you doing here?\Alicia invited me.\Long time no see, Anna. I'm glad to see you're doing well.\We just happened to bump into each other. response:	I'm so happy to see you, Grandma!
context: My, my.\I wonder if Grandma is doing well.\Ah, sounds like Alberto's back from fishing.\Grandma! What are you doing here?\Alicia invited me.\Long time no see, Anna. I'm glad to see you're doing well.\We just happened to bump into each other.\I'm so happy to see you, Grandma! response:	My, my, President Aria.
context: I wonder if Grandma is doing well.\Ah, sounds like Alberto's back from fishing.\Grandma! What are you doing here?\Alicia invited me.\Long time no see, Anna. I'm glad to see you're doing well.\We just happened to bump into each other.\I'm so happy to see you, Grandma!\My, my, President Aria. response:	Hello, Ahito.
context: Ah, sounds like Alberto's back from fishing.\Grandma! What are you doing here?\Alicia invited me.\Long time no see, Anna. I'm glad to see you're doing well.\We just happened to bump into each other.\I'm so happy to see you, Grandma!\My, my, President Aria.\Hello, Ahito. response:	Hello.
context: Grandma! What are you doing here?\Alicia invited me.\Long time no see, Anna. I'm glad to see you're doing well.\We just happened to bump into each other.\I'm so happy to see you, Grandma!\My, my, President Aria.\Hello, Ahito.\Hello. response:	Nice to meet you. I'm Alberto.
context: Alicia invited me.\Long time no see, Anna. I'm glad to see you're doing well.\We just happened to bump into each other.\I'm so happy to see you, Grandma!\My, my, President Aria.\Hello, Ahito.\Hello.\Nice to meet you. I'm Alberto. response:	I'm Akari Mizunashi.
context: Long time no see, Anna. I'm glad to see you're doing well.\We just happened to bump into each other.\I'm so happy to see you, Grandma!\My, my, President Aria.\Hello, Ahito.\Hello.\Nice to meet you. I'm Alberto.\I'm Akari Mizunashi. response:	How was it?
context: We just happened to bump into each other.\I'm so happy to see you, Grandma!\My, my, President Aria.\Hello, Ahito.\Hello.\Nice to meet you. I'm Alberto.\I'm Akari Mizunashi.\How was it? response:	Oh, it was a great haul!
context: I'm so happy to see you, Grandma!\My, my, President Aria.\Hello, Ahito.\Hello.\Nice to meet you. I'm Alberto.\I'm Akari Mizunashi.\How was it?\Oh, it was a great haul! response:	Ta-da!
context: My, my, President Aria.\Hello, Ahito.\Hello.\Nice to meet you. I'm Alberto.\I'm Akari Mizunashi.\How was it?\Oh, it was a great haul!\Ta-da! response:	I picked out the ones that looked especially tasty!
context: Hello, Ahito.\Hello.\Nice to meet you. I'm Alberto.\I'm Akari Mizunashi.\How was it?\Oh, it was a great haul!\Ta-da!\I picked out the ones that looked especially tasty! response:	Looks delicious.
context: Hello.\Nice to meet you. I'm Alberto.\I'm Akari Mizunashi.\How was it?\Oh, it was a great haul!\Ta-da!\I picked out the ones that looked especially tasty!\Looks delicious. response:	All right. Time to put my cooking skills into action!
context: Nice to meet you. I'm Alberto.\I'm Akari Mizunashi.\How was it?\Oh, it was a great haul!\Ta-da!\I picked out the ones that looked especially tasty!\Looks delicious.\All right. Time to put my cooking skills into action! response:	It smells delicious.
context: I'm Akari Mizunashi.\How was it?\Oh, it was a great haul!\Ta-da!\I picked out the ones that looked especially tasty!\Looks delicious.\All right. Time to put my cooking skills into action!\It smells delicious. response:	Looks like it's cooked just right.
context: How was it?\Oh, it was a great haul!\Ta-da!\I picked out the ones that looked especially tasty!\Looks delicious.\All right. Time to put my cooking skills into action!\It smells delicious.\Looks like it's cooked just right. response:	Here I go!
context: Oh, it was a great haul!\Ta-da!\I picked out the ones that looked especially tasty!\Looks delicious.\All right. Time to put my cooking skills into action!\It smells delicious.\Looks like it's cooked just right.\Here I go! response:	All right!
context: Ta-da!\I picked out the ones that looked especially tasty!\Looks delicious.\All right. Time to put my cooking skills into action!\It smells delicious.\Looks like it's cooked just right.\Here I go!\All right! response:	Are you okay?
context: I picked out the ones that looked especially tasty!\Looks delicious.\All right. Time to put my cooking skills into action!\It smells delicious.\Looks like it's cooked just right.\Here I go!\All right!\Are you okay? response:	Alberto!
context: Looks delicious.\All right. Time to put my cooking skills into action!\It smells delicious.\Looks like it's cooked just right.\Here I go!\All right!\Are you okay?\Alberto! response:	Dinner's ready!
context: All right. Time to put my cooking skills into action!\It smells delicious.\Looks like it's cooked just right.\Here I go!\All right!\Are you okay?\Alberto!\Dinner's ready! response:	Okay! We'll be right there!
context: It smells delicious.\Looks like it's cooked just right.\Here I go!\All right!\Are you okay?\Alberto!\Dinner's ready!\Okay! We'll be right there! response:	Ow...
context: Looks like it's cooked just right.\Here I go!\All right!\Are you okay?\Alberto!\Dinner's ready!\Okay! We'll be right there!\Ow... response:	This looks amazing!
context: Here I go!\All right!\Are you okay?\Alberto!\Dinner's ready!\Okay! We'll be right there!\Ow...\This looks amazing! response:	Okay, let's dig in!
context: All right!\Are you okay?\Alberto!\Dinner's ready!\Okay! We'll be right there!\Ow...\This looks amazing!\Okay, let's dig in! response:	Let's eat! Let's eat!
context: Are you okay?\Alberto!\Dinner's ready!\Okay! We'll be right there!\Ow...\This looks amazing!\Okay, let's dig in!\Let's eat! Let's eat! response:	It's delicious!
context: Alberto!\Dinner's ready!\Okay! We'll be right there!\Ow...\This looks amazing!\Okay, let's dig in!\Let's eat! Let's eat!\It's delicious! response:	The fish is so fresh, it's delicious!
context: Dinner's ready!\Okay! We'll be right there!\Ow...\This looks amazing!\Okay, let's dig in!\Let's eat! Let's eat!\It's delicious!\The fish is so fresh, it's delicious! response:	Why, thank you.
context: Okay! We'll be right there!\Ow...\This looks amazing!\Okay, let's dig in!\Let's eat! Let's eat!\It's delicious!\The fish is so fresh, it's delicious!\Why, thank you. response:	Here, Grandma.
context: Ow...\This looks amazing!\Okay, let's dig in!\Let's eat! Let's eat!\It's delicious!\The fish is so fresh, it's delicious!\Why, thank you.\Here, Grandma. response:	Thank you.
context: This looks amazing!\Okay, let's dig in!\Let's eat! Let's eat!\It's delicious!\The fish is so fresh, it's delicious!\Why, thank you.\Here, Grandma.\Thank you. response:	Yummy!
context: Okay, let's dig in!\Let's eat! Let's eat!\It's delicious!\The fish is so fresh, it's delicious!\Why, thank you.\Here, Grandma.\Thank you.\Yummy! response:	Yummy!
context: Let's eat! Let's eat!\It's delicious!\The fish is so fresh, it's delicious!\Why, thank you.\Here, Grandma.\Thank you.\Yummy!\Yummy! response:	This is fantastic!
context: It's delicious!\The fish is so fresh, it's delicious!\Why, thank you.\Here, Grandma.\Thank you.\Yummy!\Yummy!\This is fantastic! response:	Looks like he's tired.
context: The fish is so fresh, it's delicious!\Why, thank you.\Here, Grandma.\Thank you.\Yummy!\Yummy!\This is fantastic!\Looks like he's tired. response:	He woke up early today, didn't he?
context: Why, thank you.\Here, Grandma.\Thank you.\Yummy!\Yummy!\This is fantastic!\Looks like he's tired.\He woke up early today, didn't he? response:	He just got carried away, that's all.
context: Here, Grandma.\Thank you.\Yummy!\Yummy!\This is fantastic!\Looks like he's tired.\He woke up early today, didn't he?\He just got carried away, that's all. response:	There's a lot of Aria Company history that I don't know, isn't there?
context: Thank you.\Yummy!\Yummy!\This is fantastic!\Looks like he's tired.\He woke up early today, didn't he?\He just got carried away, that's all.\There's a lot of Aria Company history that I don't know, isn't there? response:	From the founding of the Aria Company, to Akari, our newest member...
context: Yummy!\Yummy!\This is fantastic!\Looks like he's tired.\He woke up early today, didn't he?\He just got carried away, that's all.\There's a lot of Aria Company history that I don't know, isn't there?\From the founding of the Aria Company, to Akari, our newest member... response:	Somehow, it all makes me really happy.
context: Yummy!\This is fantastic!\Looks like he's tired.\He woke up early today, didn't he?\He just got carried away, that's all.\There's a lot of Aria Company history that I don't know, isn't there?\From the founding of the Aria Company, to Akari, our newest member...\Somehow, it all makes me really happy. response:	I think of Ahito as a grandson, as well.
context: This is fantastic!\Looks like he's tired.\He woke up early today, didn't he?\He just got carried away, that's all.\There's a lot of Aria Company history that I don't know, isn't there?\From the founding of the Aria Company, to Akari, our newest member...\Somehow, it all makes me really happy.\I think of Ahito as a grandson, as well. response:	Spending this moment together is like a miracle.
context: Looks like he's tired.\He woke up early today, didn't he?\He just got carried away, that's all.\There's a lot of Aria Company history that I don't know, isn't there?\From the founding of the Aria Company, to Akari, our newest member...\Somehow, it all makes me really happy.\I think of Ahito as a grandson, as well.\Spending this moment together is like a miracle. response:	That's right.
context: He woke up early today, didn't he?\He just got carried away, that's all.\There's a lot of Aria Company history that I don't know, isn't there?\From the founding of the Aria Company, to Akari, our newest member...\Somehow, it all makes me really happy.\I think of Ahito as a grandson, as well.\Spending this moment together is like a miracle.\That's right. response:	A miracle...
context: He just got carried away, that's all.\There's a lot of Aria Company history that I don't know, isn't there?\From the founding of the Aria Company, to Akari, our newest member...\Somehow, it all makes me really happy.\I think of Ahito as a grandson, as well.\Spending this moment together is like a miracle.\That's right.\A miracle... response:	It's all thanks to you for founding the Aria Company, Grandma.
context: There's a lot of Aria Company history that I don't know, isn't there?\From the founding of the Aria Company, to Akari, our newest member...\Somehow, it all makes me really happy.\I think of Ahito as a grandson, as well.\Spending this moment together is like a miracle.\That's right.\A miracle...\It's all thanks to you for founding the Aria Company, Grandma. response:	If you hadn't, Alberto and I would have never met,
context: From the founding of the Aria Company, to Akari, our newest member...\Somehow, it all makes me really happy.\I think of Ahito as a grandson, as well.\Spending this moment together is like a miracle.\That's right.\A miracle...\It's all thanks to you for founding the Aria Company, Grandma.\If you hadn't, Alberto and I would have never met, response:	and Ahito wouldn't have been born into this world.
context: Somehow, it all makes me really happy.\I think of Ahito as a grandson, as well.\Spending this moment together is like a miracle.\That's right.\A miracle...\It's all thanks to you for founding the Aria Company, Grandma.\If you hadn't, Alberto and I would have never met,\and Ahito wouldn't have been born into this world. response:	I see you have your feet firmly on the ground, and cherish every day.
context: I think of Ahito as a grandson, as well.\Spending this moment together is like a miracle.\That's right.\A miracle...\It's all thanks to you for founding the Aria Company, Grandma.\If you hadn't, Alberto and I would have never met,\and Ahito wouldn't have been born into this world.\I see you have your feet firmly on the ground, and cherish every day. response:	You've found a happiness that suits you, haven't you?
context: Spending this moment together is like a miracle.\That's right.\A miracle...\It's all thanks to you for founding the Aria Company, Grandma.\If you hadn't, Alberto and I would have never met,\and Ahito wouldn't have been born into this world.\I see you have your feet firmly on the ground, and cherish every day.\You've found a happiness that suits you, haven't you? response:	Thank you very much.
context: That's right.\A miracle...\It's all thanks to you for founding the Aria Company, Grandma.\If you hadn't, Alberto and I would have never met,\and Ahito wouldn't have been born into this world.\I see you have your feet firmly on the ground, and cherish every day.\You've found a happiness that suits you, haven't you?\Thank you very much. response:	I didn't found the Aria Company on my own.
context: A miracle...\It's all thanks to you for founding the Aria Company, Grandma.\If you hadn't, Alberto and I would have never met,\and Ahito wouldn't have been born into this world.\I see you have your feet firmly on the ground, and cherish every day.\You've found a happiness that suits you, haven't you?\Thank you very much.\I didn't found the Aria Company on my own. response:	It was President Aria who gave me the idea.
context: It's all thanks to you for founding the Aria Company, Grandma.\If you hadn't, Alberto and I would have never met,\and Ahito wouldn't have been born into this world.\I see you have your feet firmly on the ground, and cherish every day.\You've found a happiness that suits you, haven't you?\Thank you very much.\I didn't found the Aria Company on my own.\It was President Aria who gave me the idea. response:	No, it was more like he saved me.
context: If you hadn't, Alberto and I would have never met,\and Ahito wouldn't have been born into this world.\I see you have your feet firmly on the ground, and cherish every day.\You've found a happiness that suits you, haven't you?\Thank you very much.\I didn't found the Aria Company on my own.\It was President Aria who gave me the idea.\No, it was more like he saved me. response:	President Aria did?
context: and Ahito wouldn't have been born into this world.\I see you have your feet firmly on the ground, and cherish every day.\You've found a happiness that suits you, haven't you?\Thank you very much.\I didn't found the Aria Company on my own.\It was President Aria who gave me the idea.\No, it was more like he saved me.\President Aria did? response:	Would you mind telling us about that?
context: I see you have your feet firmly on the ground, and cherish every day.\You've found a happiness that suits you, haven't you?\Thank you very much.\I didn't found the Aria Company on my own.\It was President Aria who gave me the idea.\No, it was more like he saved me.\President Aria did?\Would you mind telling us about that? response:	Back then, I was at a loss with myself.
context: You've found a happiness that suits you, haven't you?\Thank you very much.\I didn't found the Aria Company on my own.\It was President Aria who gave me the idea.\No, it was more like he saved me.\President Aria did?\Would you mind telling us about that?\Back then, I was at a loss with myself. response:	It was back when I was still an Undine at Himeya.
context: Thank you very much.\I didn't found the Aria Company on my own.\It was President Aria who gave me the idea.\No, it was more like he saved me.\President Aria did?\Would you mind telling us about that?\Back then, I was at a loss with myself.\It was back when I was still an Undine at Himeya. response:	Good work, Akino.
context: I didn't found the Aria Company on my own.\It was President Aria who gave me the idea.\No, it was more like he saved me.\President Aria did?\Would you mind telling us about that?\Back then, I was at a loss with myself.\It was back when I was still an Undine at Himeya.\Good work, Akino. response:	Good work, Akino! Good work, Akino!
context: It was President Aria who gave me the idea.\No, it was more like he saved me.\President Aria did?\Would you mind telling us about that?\Back then, I was at a loss with myself.\It was back when I was still an Undine at Himeya.\Good work, Akino.\Good work, Akino! Good work, Akino! response:	Good work.
context: No, it was more like he saved me.\President Aria did?\Would you mind telling us about that?\Back then, I was at a loss with myself.\It was back when I was still an Undine at Himeya.\Good work, Akino.\Good work, Akino! Good work, Akino!\Good work. response:	By that time, I had already been known as Himeya's ace Undine for over fourteen years.
context: President Aria did?\Would you mind telling us about that?\Back then, I was at a loss with myself.\It was back when I was still an Undine at Himeya.\Good work, Akino.\Good work, Akino! Good work, Akino!\Good work.\By that time, I had already been known as Himeya's ace Undine for over fourteen years. response:	Akino looks wonderful today, as always.
context: Would you mind telling us about that?\Back then, I was at a loss with myself.\It was back when I was still an Undine at Himeya.\Good work, Akino.\Good work, Akino! Good work, Akino!\Good work.\By that time, I had already been known as Himeya's ace Undine for over fourteen years.\Akino looks wonderful today, as always. response:	She changes the mood simply by passing by, doesn't she?
context: Back then, I was at a loss with myself.\It was back when I was still an Undine at Himeya.\Good work, Akino.\Good work, Akino! Good work, Akino!\Good work.\By that time, I had already been known as Himeya's ace Undine for over fourteen years.\Akino looks wonderful today, as always.\She changes the mood simply by passing by, doesn't she? response:	I heard she had six bookings back to back yesterday.
context: It was back when I was still an Undine at Himeya.\Good work, Akino.\Good work, Akino! Good work, Akino!\Good work.\By that time, I had already been known as Himeya's ace Undine for over fourteen years.\Akino looks wonderful today, as always.\She changes the mood simply by passing by, doesn't she?\I heard she had six bookings back to back yesterday. response:	That's amazing!
context: Good work, Akino.\Good work, Akino! Good work, Akino!\Good work.\By that time, I had already been known as Himeya's ace Undine for over fourteen years.\Akino looks wonderful today, as always.\She changes the mood simply by passing by, doesn't she?\I heard she had six bookings back to back yesterday.\That's amazing! response:	If it were me, I'd definitely be worn out.
context: Good work, Akino! Good work, Akino!\Good work.\By that time, I had already been known as Himeya's ace Undine for over fourteen years.\Akino looks wonderful today, as always.\She changes the mood simply by passing by, doesn't she?\I heard she had six bookings back to back yesterday.\That's amazing!\If it were me, I'd definitely be worn out. response:	Instead of waning, she seems to shine brighter and brighter with age, doesn't she?
context: Good work.\By that time, I had already been known as Himeya's ace Undine for over fourteen years.\Akino looks wonderful today, as always.\She changes the mood simply by passing by, doesn't she?\I heard she had six bookings back to back yesterday.\That's amazing!\If it were me, I'd definitely be worn out.\Instead of waning, she seems to shine brighter and brighter with age, doesn't she? response:	And no matter how busy she is, she always has a smile on her face.
context: By that time, I had already been known as Himeya's ace Undine for over fourteen years.\Akino looks wonderful today, as always.\She changes the mood simply by passing by, doesn't she?\I heard she had six bookings back to back yesterday.\That's amazing!\If it were me, I'd definitely be worn out.\Instead of waning, she seems to shine brighter and brighter with age, doesn't she?\And no matter how busy she is, she always has a smile on her face. response:	She truly is the greatest Water Fairy of our time!
