context: I knew that Ren wanted a child. response:	I also knew that having a child wouldn't stop me from singing.
context: Yes. Thank you very much.\Oh, going back to what I was saying about Shin...\I assumed he was half Japanese. So without thinking, I told him\I wasn't convinced that his parents were both Japanese.\Then he told me he wasn't convinced either.\That his parents shouldn't have given birth to him.\Miss Hachiko and I were discussing that\that sorta thinking is like him denying his own existence. response:	I'll come back to get you, Nana, okay?
context: Oh, going back to what I was saying about Shin...\I assumed he was half Japanese. So without thinking, I told him\I wasn't convinced that his parents were both Japanese.\Then he told me he wasn't convinced either.\That his parents shouldn't have given birth to him.\Miss Hachiko and I were discussing that\that sorta thinking is like him denying his own existence.\I'll come back to get you, Nana, okay? response:	I'll be back right away.
context: I assumed he was half Japanese. So without thinking, I told him\I wasn't convinced that his parents were both Japanese.\Then he told me he wasn't convinced either.\That his parents shouldn't have given birth to him.\Miss Hachiko and I were discussing that\that sorta thinking is like him denying his own existence.\I'll come back to get you, Nana, okay?\I'll be back right away. response:	No. Denying his parents and denying his own existence
context: I wasn't convinced that his parents were both Japanese.\Then he told me he wasn't convinced either.\That his parents shouldn't have given birth to him.\Miss Hachiko and I were discussing that\that sorta thinking is like him denying his own existence.\I'll come back to get you, Nana, okay?\I'll be back right away.\No. Denying his parents and denying his own existence response:	are two different issues.
context: Then he told me he wasn't convinced either.\That his parents shouldn't have given birth to him.\Miss Hachiko and I were discussing that\that sorta thinking is like him denying his own existence.\I'll come back to get you, Nana, okay?\I'll be back right away.\No. Denying his parents and denying his own existence\are two different issues. response:	Shin's not a kid anymore.
context: That his parents shouldn't have given birth to him.\Miss Hachiko and I were discussing that\that sorta thinking is like him denying his own existence.\I'll come back to get you, Nana, okay?\I'll be back right away.\No. Denying his parents and denying his own existence\are two different issues.\Shin's not a kid anymore. response:	He should be capable of figuring out why he deserves to exist.
context: Miss Hachiko and I were discussing that\that sorta thinking is like him denying his own existence.\I'll come back to get you, Nana, okay?\I'll be back right away.\No. Denying his parents and denying his own existence\are two different issues.\Shin's not a kid anymore.\He should be capable of figuring out why he deserves to exist. response:	You think so?
context: that sorta thinking is like him denying his own existence.\I'll come back to get you, Nana, okay?\I'll be back right away.\No. Denying his parents and denying his own existence\are two different issues.\Shin's not a kid anymore.\He should be capable of figuring out why he deserves to exist.\You think so? response:	If we put our minds to it,
context: I'll come back to get you, Nana, okay?\I'll be back right away.\No. Denying his parents and denying his own existence\are two different issues.\Shin's not a kid anymore.\He should be capable of figuring out why he deserves to exist.\You think so?\If we put our minds to it, response:	we're all capable of determining our own fates.
context: I'll be back right away.\No. Denying his parents and denying his own existence\are two different issues.\Shin's not a kid anymore.\He should be capable of figuring out why he deserves to exist.\You think so?\If we put our minds to it,\we're all capable of determining our own fates. response:	Right now, he's got the purpose in life to work hard
context: No. Denying his parents and denying his own existence\are two different issues.\Shin's not a kid anymore.\He should be capable of figuring out why he deserves to exist.\You think so?\If we put our minds to it,\we're all capable of determining our own fates.\Right now, he's got the purpose in life to work hard response:	toward the band's debut.
context: are two different issues.\Shin's not a kid anymore.\He should be capable of figuring out why he deserves to exist.\You think so?\If we put our minds to it,\we're all capable of determining our own fates.\Right now, he's got the purpose in life to work hard\toward the band's debut. response:	You're right! A purpose in life!
context: Shin's not a kid anymore.\He should be capable of figuring out why he deserves to exist.\You think so?\If we put our minds to it,\we're all capable of determining our own fates.\Right now, he's got the purpose in life to work hard\toward the band's debut.\You're right! A purpose in life! response:	Here you are.
context: He should be capable of figuring out why he deserves to exist.\You think so?\If we put our minds to it,\we're all capable of determining our own fates.\Right now, he's got the purpose in life to work hard\toward the band's debut.\You're right! A purpose in life!\Here you are. response:	Me too.
context: You think so?\If we put our minds to it,\we're all capable of determining our own fates.\Right now, he's got the purpose in life to work hard\toward the band's debut.\You're right! A purpose in life!\Here you are.\Me too. response:	Ever since I found my purpose in life,
context: If we put our minds to it,\we're all capable of determining our own fates.\Right now, he's got the purpose in life to work hard\toward the band's debut.\You're right! A purpose in life!\Here you are.\Me too.\Ever since I found my purpose in life, response:	to become a die hard BLAST fan, my life has been nothing but roses.
context: we're all capable of determining our own fates.\Right now, he's got the purpose in life to work hard\toward the band's debut.\You're right! A purpose in life!\Here you are.\Me too.\Ever since I found my purpose in life,\to become a die hard BLAST fan, my life has been nothing but roses. response:	Roses?
context: Right now, he's got the purpose in life to work hard\toward the band's debut.\You're right! A purpose in life!\Here you are.\Me too.\Ever since I found my purpose in life,\to become a die hard BLAST fan, my life has been nothing but roses.\Roses? response:	ROSES! Roses?
context: toward the band's debut.\You're right! A purpose in life!\Here you are.\Me too.\Ever since I found my purpose in life,\to become a die hard BLAST fan, my life has been nothing but roses.\Roses?\ROSES! Roses? response:	Well then, Miss Nana, Miss Hachiko...
context: You're right! A purpose in life!\Here you are.\Me too.\Ever since I found my purpose in life,\to become a die hard BLAST fan, my life has been nothing but roses.\Roses?\ROSES! Roses?\Well then, Miss Nana, Miss Hachiko... response:	I am really grateful for your hospitality.
context: Here you are.\Me too.\Ever since I found my purpose in life,\to become a die hard BLAST fan, my life has been nothing but roses.\Roses?\ROSES! Roses?\Well then, Miss Nana, Miss Hachiko...\I am really grateful for your hospitality. response:	Please give my regards to the band members.
context: Me too.\Ever since I found my purpose in life,\to become a die hard BLAST fan, my life has been nothing but roses.\Roses?\ROSES! Roses?\Well then, Miss Nana, Miss Hachiko...\I am really grateful for your hospitality.\Please give my regards to the band members. response:	Take care, Misato. Come stay with us again anytime.
context: Ever since I found my purpose in life,\to become a die hard BLAST fan, my life has been nothing but roses.\Roses?\ROSES! Roses?\Well then, Miss Nana, Miss Hachiko...\I am really grateful for your hospitality.\Please give my regards to the band members.\Take care, Misato. Come stay with us again anytime. response:	We'll definitely become Japan's number one band.
context: to become a die hard BLAST fan, my life has been nothing but roses.\Roses?\ROSES! Roses?\Well then, Miss Nana, Miss Hachiko...\I am really grateful for your hospitality.\Please give my regards to the band members.\Take care, Misato. Come stay with us again anytime.\We'll definitely become Japan's number one band. response:	For the sake of your purpose in life, too.
context: Roses?\ROSES! Roses?\Well then, Miss Nana, Miss Hachiko...\I am really grateful for your hospitality.\Please give my regards to the band members.\Take care, Misato. Come stay with us again anytime.\We'll definitely become Japan's number one band.\For the sake of your purpose in life, too. response:	What are you crying for?
context: ROSES! Roses?\Well then, Miss Nana, Miss Hachiko...\I am really grateful for your hospitality.\Please give my regards to the band members.\Take care, Misato. Come stay with us again anytime.\We'll definitely become Japan's number one band.\For the sake of your purpose in life, too.\What are you crying for? response:	You made her cry on purpose. Come on, Nana!
context: Well then, Miss Nana, Miss Hachiko...\I am really grateful for your hospitality.\Please give my regards to the band members.\Take care, Misato. Come stay with us again anytime.\We'll definitely become Japan's number one band.\For the sake of your purpose in life, too.\What are you crying for?\You made her cry on purpose. Come on, Nana! response:	Misato, you would always come to our shows alone,
context: I am really grateful for your hospitality.\Please give my regards to the band members.\Take care, Misato. Come stay with us again anytime.\We'll definitely become Japan's number one band.\For the sake of your purpose in life, too.\What are you crying for?\You made her cry on purpose. Come on, Nana!\Misato, you would always come to our shows alone, response:	ever since you were in junior high school.
context: Please give my regards to the band members.\Take care, Misato. Come stay with us again anytime.\We'll definitely become Japan's number one band.\For the sake of your purpose in life, too.\What are you crying for?\You made her cry on purpose. Come on, Nana!\Misato, you would always come to our shows alone,\ever since you were in junior high school. response:	I was always worried about that.
context: Take care, Misato. Come stay with us again anytime.\We'll definitely become Japan's number one band.\For the sake of your purpose in life, too.\What are you crying for?\You made her cry on purpose. Come on, Nana!\Misato, you would always come to our shows alone,\ever since you were in junior high school.\I was always worried about that. response:	Back home, you probably don't get along with your parents,
context: We'll definitely become Japan's number one band.\For the sake of your purpose in life, too.\What are you crying for?\You made her cry on purpose. Come on, Nana!\Misato, you would always come to our shows alone,\ever since you were in junior high school.\I was always worried about that.\Back home, you probably don't get along with your parents, response:	and you didn't seem to have any friends to speak of.
context: For the sake of your purpose in life, too.\What are you crying for?\You made her cry on purpose. Come on, Nana!\Misato, you would always come to our shows alone,\ever since you were in junior high school.\I was always worried about that.\Back home, you probably don't get along with your parents,\and you didn't seem to have any friends to speak of. response:	But for you to say out loud what others may consider foolish,
context: What are you crying for?\You made her cry on purpose. Come on, Nana!\Misato, you would always come to our shows alone,\ever since you were in junior high school.\I was always worried about that.\Back home, you probably don't get along with your parents,\and you didn't seem to have any friends to speak of.\But for you to say out loud what others may consider foolish, response:	that this is your purpose in life,
context: You made her cry on purpose. Come on, Nana!\Misato, you would always come to our shows alone,\ever since you were in junior high school.\I was always worried about that.\Back home, you probably don't get along with your parents,\and you didn't seem to have any friends to speak of.\But for you to say out loud what others may consider foolish,\that this is your purpose in life, response:	you have no idea how much it means to me.
context: Misato, you would always come to our shows alone,\ever since you were in junior high school.\I was always worried about that.\Back home, you probably don't get along with your parents,\and you didn't seem to have any friends to speak of.\But for you to say out loud what others may consider foolish,\that this is your purpose in life,\you have no idea how much it means to me. response:	Please understand that, Misato.
context: ever since you were in junior high school.\I was always worried about that.\Back home, you probably don't get along with your parents,\and you didn't seem to have any friends to speak of.\But for you to say out loud what others may consider foolish,\that this is your purpose in life,\you have no idea how much it means to me.\Please understand that, Misato. response:	Now, regarding the situation with Shin's family...
context: I was always worried about that.\Back home, you probably don't get along with your parents,\and you didn't seem to have any friends to speak of.\But for you to say out loud what others may consider foolish,\that this is your purpose in life,\you have no idea how much it means to me.\Please understand that, Misato.\Now, regarding the situation with Shin's family... response:	Am I the only one who believes Shin was probably a child
context: Back home, you probably don't get along with your parents,\and you didn't seem to have any friends to speak of.\But for you to say out loud what others may consider foolish,\that this is your purpose in life,\you have no idea how much it means to me.\Please understand that, Misato.\Now, regarding the situation with Shin's family...\Am I the only one who believes Shin was probably a child response:	that resulted from his mother's affair abroad,
context: and you didn't seem to have any friends to speak of.\But for you to say out loud what others may consider foolish,\that this is your purpose in life,\you have no idea how much it means to me.\Please understand that, Misato.\Now, regarding the situation with Shin's family...\Am I the only one who believes Shin was probably a child\that resulted from his mother's affair abroad, response:	leading to his family falling apart?
context: But for you to say out loud what others may consider foolish,\that this is your purpose in life,\you have no idea how much it means to me.\Please understand that, Misato.\Now, regarding the situation with Shin's family...\Am I the only one who believes Shin was probably a child\that resulted from his mother's affair abroad,\leading to his family falling apart? response:	I wonder. It certainly seems possible.
context: that this is your purpose in life,\you have no idea how much it means to me.\Please understand that, Misato.\Now, regarding the situation with Shin's family...\Am I the only one who believes Shin was probably a child\that resulted from his mother's affair abroad,\leading to his family falling apart?\I wonder. It certainly seems possible. response:	But why did she have the baby?
context: you have no idea how much it means to me.\Please understand that, Misato.\Now, regarding the situation with Shin's family...\Am I the only one who believes Shin was probably a child\that resulted from his mother's affair abroad,\leading to his family falling apart?\I wonder. It certainly seems possible.\But why did she have the baby? response:	It's such a gamble not knowing who the father is.
context: Please understand that, Misato.\Now, regarding the situation with Shin's family...\Am I the only one who believes Shin was probably a child\that resulted from his mother's affair abroad,\leading to his family falling apart?\I wonder. It certainly seems possible.\But why did she have the baby?\It's such a gamble not knowing who the father is. response:	Even if the guy she was having the affair with was using protection,
context: Now, regarding the situation with Shin's family...\Am I the only one who believes Shin was probably a child\that resulted from his mother's affair abroad,\leading to his family falling apart?\I wonder. It certainly seems possible.\But why did she have the baby?\It's such a gamble not knowing who the father is.\Even if the guy she was having the affair with was using protection, response:	you can never really be sure, can you?
context: Am I the only one who believes Shin was probably a child\that resulted from his mother's affair abroad,\leading to his family falling apart?\I wonder. It certainly seems possible.\But why did she have the baby?\It's such a gamble not knowing who the father is.\Even if the guy she was having the affair with was using protection,\you can never really be sure, can you? response:	When people get carried away with passion and lose reason,
context: that resulted from his mother's affair abroad,\leading to his family falling apart?\I wonder. It certainly seems possible.\But why did she have the baby?\It's such a gamble not knowing who the father is.\Even if the guy she was having the affair with was using protection,\you can never really be sure, can you?\When people get carried away with passion and lose reason, response:	you're not always as careful as you should be.
context: leading to his family falling apart?\I wonder. It certainly seems possible.\But why did she have the baby?\It's such a gamble not knowing who the father is.\Even if the guy she was having the affair with was using protection,\you can never really be sure, can you?\When people get carried away with passion and lose reason,\you're not always as careful as you should be. response:	Regardless, whatever the situation,
context: I wonder. It certainly seems possible.\But why did she have the baby?\It's such a gamble not knowing who the father is.\Even if the guy she was having the affair with was using protection,\you can never really be sure, can you?\When people get carried away with passion and lose reason,\you're not always as careful as you should be.\Regardless, whatever the situation, response:	there's no doubt that Shin's parents are being irresponsible.
context: But why did she have the baby?\It's such a gamble not knowing who the father is.\Even if the guy she was having the affair with was using protection,\you can never really be sure, can you?\When people get carried away with passion and lose reason,\you're not always as careful as you should be.\Regardless, whatever the situation,\there's no doubt that Shin's parents are being irresponsible. response:	If they're not able to raise a child properly,
context: It's such a gamble not knowing who the father is.\Even if the guy she was having the affair with was using protection,\you can never really be sure, can you?\When people get carried away with passion and lose reason,\you're not always as careful as you should be.\Regardless, whatever the situation,\there's no doubt that Shin's parents are being irresponsible.\If they're not able to raise a child properly, response:	they shouldn't have given birth to him.
context: Even if the guy she was having the affair with was using protection,\you can never really be sure, can you?\When people get carried away with passion and lose reason,\you're not always as careful as you should be.\Regardless, whatever the situation,\there's no doubt that Shin's parents are being irresponsible.\If they're not able to raise a child properly,\they shouldn't have given birth to him. response:	No, I haven't seen her since I was four.
context: you can never really be sure, can you?\When people get carried away with passion and lose reason,\you're not always as careful as you should be.\Regardless, whatever the situation,\there's no doubt that Shin's parents are being irresponsible.\If they're not able to raise a child properly,\they shouldn't have given birth to him.\No, I haven't seen her since I was four. response:	She ran off with a guy.
context: When people get carried away with passion and lose reason,\you're not always as careful as you should be.\Regardless, whatever the situation,\there's no doubt that Shin's parents are being irresponsible.\If they're not able to raise a child properly,\they shouldn't have given birth to him.\No, I haven't seen her since I was four.\She ran off with a guy. response:	There are too many mothers in this world
context: you're not always as careful as you should be.\Regardless, whatever the situation,\there's no doubt that Shin's parents are being irresponsible.\If they're not able to raise a child properly,\they shouldn't have given birth to him.\No, I haven't seen her since I was four.\She ran off with a guy.\There are too many mothers in this world response:	who think giving birth is a joke.
context: Regardless, whatever the situation,\there's no doubt that Shin's parents are being irresponsible.\If they're not able to raise a child properly,\they shouldn't have given birth to him.\No, I haven't seen her since I was four.\She ran off with a guy.\There are too many mothers in this world\who think giving birth is a joke. response:	I don't think she thought it was a joke.
context: there's no doubt that Shin's parents are being irresponsible.\If they're not able to raise a child properly,\they shouldn't have given birth to him.\No, I haven't seen her since I was four.\She ran off with a guy.\There are too many mothers in this world\who think giving birth is a joke.\I don't think she thought it was a joke. response:	Maybe there was a reason she couldn't raise him right.
context: If they're not able to raise a child properly,\they shouldn't have given birth to him.\No, I haven't seen her since I was four.\She ran off with a guy.\There are too many mothers in this world\who think giving birth is a joke.\I don't think she thought it was a joke.\Maybe there was a reason she couldn't raise him right. response:	Maybe there were circumstances beyond her control.
context: they shouldn't have given birth to him.\No, I haven't seen her since I was four.\She ran off with a guy.\There are too many mothers in this world\who think giving birth is a joke.\I don't think she thought it was a joke.\Maybe there was a reason she couldn't raise him right.\Maybe there were circumstances beyond her control. response:	It's only natural that an expectant mother
context: No, I haven't seen her since I was four.\She ran off with a guy.\There are too many mothers in this world\who think giving birth is a joke.\I don't think she thought it was a joke.\Maybe there was a reason she couldn't raise him right.\Maybe there were circumstances beyond her control.\It's only natural that an expectant mother response:	would wanna give birth and raise her child.
context: She ran off with a guy.\There are too many mothers in this world\who think giving birth is a joke.\I don't think she thought it was a joke.\Maybe there was a reason she couldn't raise him right.\Maybe there were circumstances beyond her control.\It's only natural that an expectant mother\would wanna give birth and raise her child. response:	Why is it only natural?
context: There are too many mothers in this world\who think giving birth is a joke.\I don't think she thought it was a joke.\Maybe there was a reason she couldn't raise him right.\Maybe there were circumstances beyond her control.\It's only natural that an expectant mother\would wanna give birth and raise her child.\Why is it only natural? response:	Well, you see...
context: who think giving birth is a joke.\I don't think she thought it was a joke.\Maybe there was a reason she couldn't raise him right.\Maybe there were circumstances beyond her control.\It's only natural that an expectant mother\would wanna give birth and raise her child.\Why is it only natural?\Well, you see... response:	I can't really explain it.
context: I don't think she thought it was a joke.\Maybe there was a reason she couldn't raise him right.\Maybe there were circumstances beyond her control.\It's only natural that an expectant mother\would wanna give birth and raise her child.\Why is it only natural?\Well, you see...\I can't really explain it. response:	Like, maternal instinct?
context: Maybe there was a reason she couldn't raise him right.\Maybe there were circumstances beyond her control.\It's only natural that an expectant mother\would wanna give birth and raise her child.\Why is it only natural?\Well, you see...\I can't really explain it.\Like, maternal instinct? response:	Is something wrong?
context: Maybe there were circumstances beyond her control.\It's only natural that an expectant mother\would wanna give birth and raise her child.\Why is it only natural?\Well, you see...\I can't really explain it.\Like, maternal instinct?\Is something wrong? response:	No. I've been so busy,
context: It's only natural that an expectant mother\would wanna give birth and raise her child.\Why is it only natural?\Well, you see...\I can't really explain it.\Like, maternal instinct?\Is something wrong?\No. I've been so busy, response:	I thought I'd come to get them when I can,
context: would wanna give birth and raise her child.\Why is it only natural?\Well, you see...\I can't really explain it.\Like, maternal instinct?\Is something wrong?\No. I've been so busy,\I thought I'd come to get them when I can, response:	in case I'm not able to come when I need to.
context: Why is it only natural?\Well, you see...\I can't really explain it.\Like, maternal instinct?\Is something wrong?\No. I've been so busy,\I thought I'd come to get them when I can,\in case I'm not able to come when I need to. response:	Then should I write you a two month prescription?
context: Well, you see...\I can't really explain it.\Like, maternal instinct?\Is something wrong?\No. I've been so busy,\I thought I'd come to get them when I can,\in case I'm not able to come when I need to.\Then should I write you a two month prescription? response:	What's the matter?
context: I can't really explain it.\Like, maternal instinct?\Is something wrong?\No. I've been so busy,\I thought I'd come to get them when I can,\in case I'm not able to come when I need to.\Then should I write you a two month prescription?\What's the matter? response:	Um, this may be a strange thing to ask, but...
context: Like, maternal instinct?\Is something wrong?\No. I've been so busy,\I thought I'd come to get them when I can,\in case I'm not able to come when I need to.\Then should I write you a two month prescription?\What's the matter?\Um, this may be a strange thing to ask, but... response:	I'm not so sure what people mean when they talk about maternal instinct.
context: Is something wrong?\No. I've been so busy,\I thought I'd come to get them when I can,\in case I'm not able to come when I need to.\Then should I write you a two month prescription?\What's the matter?\Um, this may be a strange thing to ask, but...\I'm not so sure what people mean when they talk about maternal instinct. response:	Is it something every woman normally has?
context: No. I've been so busy,\I thought I'd come to get them when I can,\in case I'm not able to come when I need to.\Then should I write you a two month prescription?\What's the matter?\Um, this may be a strange thing to ask, but...\I'm not so sure what people mean when they talk about maternal instinct.\Is it something every woman normally has? response:	I believe so. It's a female instinct, after all.
context: I thought I'd come to get them when I can,\in case I'm not able to come when I need to.\Then should I write you a two month prescription?\What's the matter?\Um, this may be a strange thing to ask, but...\I'm not so sure what people mean when they talk about maternal instinct.\Is it something every woman normally has?\I believe so. It's a female instinct, after all. response:	However, just because all women have it within them
context: in case I'm not able to come when I need to.\Then should I write you a two month prescription?\What's the matter?\Um, this may be a strange thing to ask, but...\I'm not so sure what people mean when they talk about maternal instinct.\Is it something every woman normally has?\I believe so. It's a female instinct, after all.\However, just because all women have it within them response:	doesn't mean all women use it. I think that applies to anything.
context: Then should I write you a two month prescription?\What's the matter?\Um, this may be a strange thing to ask, but...\I'm not so sure what people mean when they talk about maternal instinct.\Is it something every woman normally has?\I believe so. It's a female instinct, after all.\However, just because all women have it within them\doesn't mean all women use it. I think that applies to anything. response:	I believe it's something within a woman
context: What's the matter?\Um, this may be a strange thing to ask, but...\I'm not so sure what people mean when they talk about maternal instinct.\Is it something every woman normally has?\I believe so. It's a female instinct, after all.\However, just because all women have it within them\doesn't mean all women use it. I think that applies to anything.\I believe it's something within a woman response:	that is awakened by the woman's situation and needs.
context: Um, this may be a strange thing to ask, but...\I'm not so sure what people mean when they talk about maternal instinct.\Is it something every woman normally has?\I believe so. It's a female instinct, after all.\However, just because all women have it within them\doesn't mean all women use it. I think that applies to anything.\I believe it's something within a woman\that is awakened by the woman's situation and needs. response:	Then, if for example, I was expecting Ren's baby right now,
context: I'm not so sure what people mean when they talk about maternal instinct.\Is it something every woman normally has?\I believe so. It's a female instinct, after all.\However, just because all women have it within them\doesn't mean all women use it. I think that applies to anything.\I believe it's something within a woman\that is awakened by the woman's situation and needs.\Then, if for example, I was expecting Ren's baby right now, response:	would I wanna give birth even though I'd know
context: Is it something every woman normally has?\I believe so. It's a female instinct, after all.\However, just because all women have it within them\doesn't mean all women use it. I think that applies to anything.\I believe it's something within a woman\that is awakened by the woman's situation and needs.\Then, if for example, I was expecting Ren's baby right now,\would I wanna give birth even though I'd know response:	it would be nothing but trouble just before my professional debut?
context: I believe so. It's a female instinct, after all.\However, just because all women have it within them\doesn't mean all women use it. I think that applies to anything.\I believe it's something within a woman\that is awakened by the woman's situation and needs.\Then, if for example, I was expecting Ren's baby right now,\would I wanna give birth even though I'd know\it would be nothing but trouble just before my professional debut? response:	And not for Ren's sake, but due to my instinct?
context: However, just because all women have it within them\doesn't mean all women use it. I think that applies to anything.\I believe it's something within a woman\that is awakened by the woman's situation and needs.\Then, if for example, I was expecting Ren's baby right now,\would I wanna give birth even though I'd know\it would be nothing but trouble just before my professional debut?\And not for Ren's sake, but due to my instinct? response:	That's just not possible.
context: doesn't mean all women use it. I think that applies to anything.\I believe it's something within a woman\that is awakened by the woman's situation and needs.\Then, if for example, I was expecting Ren's baby right now,\would I wanna give birth even though I'd know\it would be nothing but trouble just before my professional debut?\And not for Ren's sake, but due to my instinct?\That's just not possible. response:	My stomach hurts.
context: I believe it's something within a woman\that is awakened by the woman's situation and needs.\Then, if for example, I was expecting Ren's baby right now,\would I wanna give birth even though I'd know\it would be nothing but trouble just before my professional debut?\And not for Ren's sake, but due to my instinct?\That's just not possible.\My stomach hurts. response:	Why does your stomach hurt like this every day?!
context: that is awakened by the woman's situation and needs.\Then, if for example, I was expecting Ren's baby right now,\would I wanna give birth even though I'd know\it would be nothing but trouble just before my professional debut?\And not for Ren's sake, but due to my instinct?\That's just not possible.\My stomach hurts.\Why does your stomach hurt like this every day?! response:	Do you hate to practice that much?!
context: Then, if for example, I was expecting Ren's baby right now,\would I wanna give birth even though I'd know\it would be nothing but trouble just before my professional debut?\And not for Ren's sake, but due to my instinct?\That's just not possible.\My stomach hurts.\Why does your stomach hurt like this every day?!\Do you hate to practice that much?! response:	I hate you, Nana!
context: would I wanna give birth even though I'd know\it would be nothing but trouble just before my professional debut?\And not for Ren's sake, but due to my instinct?\That's just not possible.\My stomach hurts.\Why does your stomach hurt like this every day?!\Do you hate to practice that much?!\I hate you, Nana! response:	Hachi would be a lot kinder to me!
context: it would be nothing but trouble just before my professional debut?\And not for Ren's sake, but due to my instinct?\That's just not possible.\My stomach hurts.\Why does your stomach hurt like this every day?!\Do you hate to practice that much?!\I hate you, Nana!\Hachi would be a lot kinder to me! response:	I wanna see Hachi! Why won't she come to the studio?!
context: And not for Ren's sake, but due to my instinct?\That's just not possible.\My stomach hurts.\Why does your stomach hurt like this every day?!\Do you hate to practice that much?!\I hate you, Nana!\Hachi would be a lot kinder to me!\I wanna see Hachi! Why won't she come to the studio?! response:	Because she doesn't wanna bother us.
context: That's just not possible.\My stomach hurts.\Why does your stomach hurt like this every day?!\Do you hate to practice that much?!\I hate you, Nana!\Hachi would be a lot kinder to me!\I wanna see Hachi! Why won't she come to the studio?!\Because she doesn't wanna bother us. response:	This isn't some playground, after all.
context: My stomach hurts.\Why does your stomach hurt like this every day?!\Do you hate to practice that much?!\I hate you, Nana!\Hachi would be a lot kinder to me!\I wanna see Hachi! Why won't she come to the studio?!\Because she doesn't wanna bother us.\This isn't some playground, after all. response:	But Mr. Kawano said it's okay.
context: Why does your stomach hurt like this every day?!\Do you hate to practice that much?!\I hate you, Nana!\Hachi would be a lot kinder to me!\I wanna see Hachi! Why won't she come to the studio?!\Because she doesn't wanna bother us.\This isn't some playground, after all.\But Mr. Kawano said it's okay. response:	He may have said so,
context: Do you hate to practice that much?!\I hate you, Nana!\Hachi would be a lot kinder to me!\I wanna see Hachi! Why won't she come to the studio?!\Because she doesn't wanna bother us.\This isn't some playground, after all.\But Mr. Kawano said it's okay.\He may have said so, response:	but still, you'd normally feel uncomfortable coming.
context: I hate you, Nana!\Hachi would be a lot kinder to me!\I wanna see Hachi! Why won't she come to the studio?!\Because she doesn't wanna bother us.\This isn't some playground, after all.\But Mr. Kawano said it's okay.\He may have said so,\but still, you'd normally feel uncomfortable coming. response:	That's not fair, Nobu. Keeping Hachi all to yourself.
context: Hachi would be a lot kinder to me!\I wanna see Hachi! Why won't she come to the studio?!\Because she doesn't wanna bother us.\This isn't some playground, after all.\But Mr. Kawano said it's okay.\He may have said so,\but still, you'd normally feel uncomfortable coming.\That's not fair, Nobu. Keeping Hachi all to yourself. response:	I haven't seen her since the day of the fireworks either!
context: I wanna see Hachi! Why won't she come to the studio?!\Because she doesn't wanna bother us.\This isn't some playground, after all.\But Mr. Kawano said it's okay.\He may have said so,\but still, you'd normally feel uncomfortable coming.\That's not fair, Nobu. Keeping Hachi all to yourself.\I haven't seen her since the day of the fireworks either! response:	Huh? Why?
context: Because she doesn't wanna bother us.\This isn't some playground, after all.\But Mr. Kawano said it's okay.\He may have said so,\but still, you'd normally feel uncomfortable coming.\That's not fair, Nobu. Keeping Hachi all to yourself.\I haven't seen her since the day of the fireworks either!\Huh? Why? response:	We've got band practice until late every night,
context: This isn't some playground, after all.\But Mr. Kawano said it's okay.\He may have said so,\but still, you'd normally feel uncomfortable coming.\That's not fair, Nobu. Keeping Hachi all to yourself.\I haven't seen her since the day of the fireworks either!\Huh? Why?\We've got band practice until late every night, response:	and we both work during the day.
context: But Mr. Kawano said it's okay.\He may have said so,\but still, you'd normally feel uncomfortable coming.\That's not fair, Nobu. Keeping Hachi all to yourself.\I haven't seen her since the day of the fireworks either!\Huh? Why?\We've got band practice until late every night,\and we both work during the day. response:	We have no time to meet.
context: He may have said so,\but still, you'd normally feel uncomfortable coming.\That's not fair, Nobu. Keeping Hachi all to yourself.\I haven't seen her since the day of the fireworks either!\Huh? Why?\We've got band practice until late every night,\and we both work during the day.\We have no time to meet. response:	But she'd come see you every night until recently.
context: but still, you'd normally feel uncomfortable coming.\That's not fair, Nobu. Keeping Hachi all to yourself.\I haven't seen her since the day of the fireworks either!\Huh? Why?\We've got band practice until late every night,\and we both work during the day.\We have no time to meet.\But she'd come see you every night until recently. response:	She won't come even if I ask.
context: That's not fair, Nobu. Keeping Hachi all to yourself.\I haven't seen her since the day of the fireworks either!\Huh? Why?\We've got band practice until late every night,\and we both work during the day.\We have no time to meet.\But she'd come see you every night until recently.\She won't come even if I ask. response:	She's probably having her period.
context: I haven't seen her since the day of the fireworks either!\Huh? Why?\We've got band practice until late every night,\and we both work during the day.\We have no time to meet.\But she'd come see you every night until recently.\She won't come even if I ask.\She's probably having her period. response:	CONVINCED
context: Huh? Why?\We've got band practice until late every night,\and we both work during the day.\We have no time to meet.\But she'd come see you every night until recently.\She won't come even if I ask.\She's probably having her period.\CONVINCED response:	You went together with Nana to see Misato off today, right?
context: We've got band practice until late every night,\and we both work during the day.\We have no time to meet.\But she'd come see you every night until recently.\She won't come even if I ask.\She's probably having her period.\CONVINCED\You went together with Nana to see Misato off today, right? response:	You should've insisted on having her come today.
context: and we both work during the day.\We have no time to meet.\But she'd come see you every night until recently.\She won't come even if I ask.\She's probably having her period.\CONVINCED\You went together with Nana to see Misato off today, right?\You should've insisted on having her come today. response:	No, she wasn't looking too well.
context: We have no time to meet.\But she'd come see you every night until recently.\She won't come even if I ask.\She's probably having her period.\CONVINCED\You went together with Nana to see Misato off today, right?\You should've insisted on having her come today.\No, she wasn't looking too well. response:	What do you mean she wasn't looking well?!
