context: Open your mind. Open your mind. response:	Far beyond the deep blue Earth, you and I shall meet...
context: Uh, that's right.\Well, now that you mention it, I think I see the resemblance...\To Big Sister?\Big Sister?\Cool! I've always wanted someone to tell me that!\You're a wonderful person!\But you're linking arms...\You'd better not have been two-timing Belldandy behind her back! response:	Of course not!
context: Well, now that you mention it, I think I see the resemblance...\To Big Sister?\Big Sister?\Cool! I've always wanted someone to tell me that!\You're a wonderful person!\But you're linking arms...\You'd better not have been two-timing Belldandy behind her back!\Of course not! response:	Oh, don't tell me you suspect that Keiichi and I might be lovers?
context: To Big Sister?\Big Sister?\Cool! I've always wanted someone to tell me that!\You're a wonderful person!\But you're linking arms...\You'd better not have been two-timing Belldandy behind her back!\Of course not!\Oh, don't tell me you suspect that Keiichi and I might be lovers? response:	Suspect? You two couldn't be anything but lovers!
context: Big Sister?\Cool! I've always wanted someone to tell me that!\You're a wonderful person!\But you're linking arms...\You'd better not have been two-timing Belldandy behind her back!\Of course not!\Oh, don't tell me you suspect that Keiichi and I might be lovers?\Suspect? You two couldn't be anything but lovers! response:	So we do look like we're going out!
context: Cool! I've always wanted someone to tell me that!\You're a wonderful person!\But you're linking arms...\You'd better not have been two-timing Belldandy behind her back!\Of course not!\Oh, don't tell me you suspect that Keiichi and I might be lovers?\Suspect? You two couldn't be anything but lovers!\So we do look like we're going out! response:	This is no time to be overjoyed, you know.
context: You're a wonderful person!\But you're linking arms...\You'd better not have been two-timing Belldandy behind her back!\Of course not!\Oh, don't tell me you suspect that Keiichi and I might be lovers?\Suspect? You two couldn't be anything but lovers!\So we do look like we're going out!\This is no time to be overjoyed, you know. response:	Oh! Look at this!
context: But you're linking arms...\You'd better not have been two-timing Belldandy behind her back!\Of course not!\Oh, don't tell me you suspect that Keiichi and I might be lovers?\Suspect? You two couldn't be anything but lovers!\So we do look like we're going out!\This is no time to be overjoyed, you know.\Oh! Look at this! response:	Hey! That's my bike!
context: You'd better not have been two-timing Belldandy behind her back!\Of course not!\Oh, don't tell me you suspect that Keiichi and I might be lovers?\Suspect? You two couldn't be anything but lovers!\So we do look like we're going out!\This is no time to be overjoyed, you know.\Oh! Look at this!\Hey! That's my bike! response:	I've always wanted to take it for a spin.
context: Of course not!\Oh, don't tell me you suspect that Keiichi and I might be lovers?\Suspect? You two couldn't be anything but lovers!\So we do look like we're going out!\This is no time to be overjoyed, you know.\Oh! Look at this!\Hey! That's my bike!\I've always wanted to take it for a spin. response:	Urd's always going,'Not for children!' and totally dissing me...
context: Oh, don't tell me you suspect that Keiichi and I might be lovers?\Suspect? You two couldn't be anything but lovers!\So we do look like we're going out!\This is no time to be overjoyed, you know.\Oh! Look at this!\Hey! That's my bike!\I've always wanted to take it for a spin.\Urd's always going,'Not for children!' and totally dissing me... response:	But at this moment, I'm a grownup!
context: Suspect? You two couldn't be anything but lovers!\So we do look like we're going out!\This is no time to be overjoyed, you know.\Oh! Look at this!\Hey! That's my bike!\I've always wanted to take it for a spin.\Urd's always going,'Not for children!' and totally dissing me...\But at this moment, I'm a grownup! response:	I have to tell you, being an adult rocks! See ya later!
context: So we do look like we're going out!\This is no time to be overjoyed, you know.\Oh! Look at this!\Hey! That's my bike!\I've always wanted to take it for a spin.\Urd's always going,'Not for children!' and totally dissing me...\But at this moment, I'm a grownup!\I have to tell you, being an adult rocks! See ya later! response:	That was my bike...
context: This is no time to be overjoyed, you know.\Oh! Look at this!\Hey! That's my bike!\I've always wanted to take it for a spin.\Urd's always going,'Not for children!' and totally dissing me...\But at this moment, I'm a grownup!\I have to tell you, being an adult rocks! See ya later!\That was my bike... response:	Hey! Skuld! Come back here!
context: Oh! Look at this!\Hey! That's my bike!\I've always wanted to take it for a spin.\Urd's always going,'Not for children!' and totally dissing me...\But at this moment, I'm a grownup!\I have to tell you, being an adult rocks! See ya later!\That was my bike...\Hey! Skuld! Come back here! response:	Huh? Skuld?
context: Hey! That's my bike!\I've always wanted to take it for a spin.\Urd's always going,'Not for children!' and totally dissing me...\But at this moment, I'm a grownup!\I have to tell you, being an adult rocks! See ya later!\That was my bike...\Hey! Skuld! Come back here!\Huh? Skuld? response:	Aha...now there's a fine specimen...
context: I've always wanted to take it for a spin.\Urd's always going,'Not for children!' and totally dissing me...\But at this moment, I'm a grownup!\I have to tell you, being an adult rocks! See ya later!\That was my bike...\Hey! Skuld! Come back here!\Huh? Skuld?\Aha...now there's a fine specimen... response:	Pardon me...
context: Urd's always going,'Not for children!' and totally dissing me...\But at this moment, I'm a grownup!\I have to tell you, being an adult rocks! See ya later!\That was my bike...\Hey! Skuld! Come back here!\Huh? Skuld?\Aha...now there's a fine specimen...\Pardon me... response:	Me?
context: But at this moment, I'm a grownup!\I have to tell you, being an adult rocks! See ya later!\That was my bike...\Hey! Skuld! Come back here!\Huh? Skuld?\Aha...now there's a fine specimen...\Pardon me...\Me? response:	Yes, would you care to join me for some afternoon tea?
context: I have to tell you, being an adult rocks! See ya later!\That was my bike...\Hey! Skuld! Come back here!\Huh? Skuld?\Aha...now there's a fine specimen...\Pardon me...\Me?\Yes, would you care to join me for some afternoon tea? response:	Afternoon tea?
context: That was my bike...\Hey! Skuld! Come back here!\Huh? Skuld?\Aha...now there's a fine specimen...\Pardon me...\Me?\Yes, would you care to join me for some afternoon tea?\Afternoon tea? response:	Ah! Isn't that what you call a pickup line?
context: Hey! Skuld! Come back here!\Huh? Skuld?\Aha...now there's a fine specimen...\Pardon me...\Me?\Yes, would you care to join me for some afternoon tea?\Afternoon tea?\Ah! Isn't that what you call a pickup line? response:	I just read about that in a book, so I know it!
context: Huh? Skuld?\Aha...now there's a fine specimen...\Pardon me...\Me?\Yes, would you care to join me for some afternoon tea?\Afternoon tea?\Ah! Isn't that what you call a pickup line?\I just read about that in a book, so I know it! response:	Uh, actually...
context: Aha...now there's a fine specimen...\Pardon me...\Me?\Yes, would you care to join me for some afternoon tea?\Afternoon tea?\Ah! Isn't that what you call a pickup line?\I just read about that in a book, so I know it!\Uh, actually... response:	It's just that I can't stop myself from approaching...
context: Pardon me...\Me?\Yes, would you care to join me for some afternoon tea?\Afternoon tea?\Ah! Isn't that what you call a pickup line?\I just read about that in a book, so I know it!\Uh, actually...\It's just that I can't stop myself from approaching... response:	Oh...
context: Me?\Yes, would you care to join me for some afternoon tea?\Afternoon tea?\Ah! Isn't that what you call a pickup line?\I just read about that in a book, so I know it!\Uh, actually...\It's just that I can't stop myself from approaching...\Oh... response:	Listen, I have a favor to ask of you.
context: Yes, would you care to join me for some afternoon tea?\Afternoon tea?\Ah! Isn't that what you call a pickup line?\I just read about that in a book, so I know it!\Uh, actually...\It's just that I can't stop myself from approaching...\Oh...\Listen, I have a favor to ask of you. response:	There's no need to be bashful.
context: Afternoon tea?\Ah! Isn't that what you call a pickup line?\I just read about that in a book, so I know it!\Uh, actually...\It's just that I can't stop myself from approaching...\Oh...\Listen, I have a favor to ask of you.\There's no need to be bashful. response:	Feel free to partake of all the ice cream they have on hand!
context: Ah! Isn't that what you call a pickup line?\I just read about that in a book, so I know it!\Uh, actually...\It's just that I can't stop myself from approaching...\Oh...\Listen, I have a favor to ask of you.\There's no need to be bashful.\Feel free to partake of all the ice cream they have on hand! response:	Do you mean that? Of course.
context: I just read about that in a book, so I know it!\Uh, actually...\It's just that I can't stop myself from approaching...\Oh...\Listen, I have a favor to ask of you.\There's no need to be bashful.\Feel free to partake of all the ice cream they have on hand!\Do you mean that? Of course. response:	Excuse me!
context: Uh, actually...\It's just that I can't stop myself from approaching...\Oh...\Listen, I have a favor to ask of you.\There's no need to be bashful.\Feel free to partake of all the ice cream they have on hand!\Do you mean that? Of course.\Excuse me! response:	She really did clean them out!
context: It's just that I can't stop myself from approaching...\Oh...\Listen, I have a favor to ask of you.\There's no need to be bashful.\Feel free to partake of all the ice cream they have on hand!\Do you mean that? Of course.\Excuse me!\She really did clean them out! response:	Energy fully recharged!
context: Oh...\Listen, I have a favor to ask of you.\There's no need to be bashful.\Feel free to partake of all the ice cream they have on hand!\Do you mean that? Of course.\Excuse me!\She really did clean them out!\Energy fully recharged! response:	You're going to reciprocate in full.
context: Listen, I have a favor to ask of you.\There's no need to be bashful.\Feel free to partake of all the ice cream they have on hand!\Do you mean that? Of course.\Excuse me!\She really did clean them out!\Energy fully recharged!\You're going to reciprocate in full. response:	Now, then. Come this way.
context: There's no need to be bashful.\Feel free to partake of all the ice cream they have on hand!\Do you mean that? Of course.\Excuse me!\She really did clean them out!\Energy fully recharged!\You're going to reciprocate in full.\Now, then. Come this way. response:	Hey... Now, then. Come this way.
context: Feel free to partake of all the ice cream they have on hand!\Do you mean that? Of course.\Excuse me!\She really did clean them out!\Energy fully recharged!\You're going to reciprocate in full.\Now, then. Come this way.\Hey... Now, then. Come this way. response:	Excuse me...
context: Do you mean that? Of course.\Excuse me!\She really did clean them out!\Energy fully recharged!\You're going to reciprocate in full.\Now, then. Come this way.\Hey... Now, then. Come this way.\Excuse me... response:	Wait...
context: Excuse me!\She really did clean them out!\Energy fully recharged!\You're going to reciprocate in full.\Now, then. Come this way.\Hey... Now, then. Come this way.\Excuse me...\Wait... response:	How can this be?
context: She really did clean them out!\Energy fully recharged!\You're going to reciprocate in full.\Now, then. Come this way.\Hey... Now, then. Come this way.\Excuse me...\Wait...\How can this be? response:	Keiichi's hands were warm, but this man's hands are cold.
context: Energy fully recharged!\You're going to reciprocate in full.\Now, then. Come this way.\Hey... Now, then. Come this way.\Excuse me...\Wait...\How can this be?\Keiichi's hands were warm, but this man's hands are cold. response:	What's the matter?
context: You're going to reciprocate in full.\Now, then. Come this way.\Hey... Now, then. Come this way.\Excuse me...\Wait...\How can this be?\Keiichi's hands were warm, but this man's hands are cold.\What's the matter? response:	No.
context: Now, then. Come this way.\Hey... Now, then. Come this way.\Excuse me...\Wait...\How can this be?\Keiichi's hands were warm, but this man's hands are cold.\What's the matter?\No. response:	What?
context: Hey... Now, then. Come this way.\Excuse me...\Wait...\How can this be?\Keiichi's hands were warm, but this man's hands are cold.\What's the matter?\No.\What? response:	I don't want to... even though I'm not sure why...
context: Excuse me...\Wait...\How can this be?\Keiichi's hands were warm, but this man's hands are cold.\What's the matter?\No.\What?\I don't want to... even though I'm not sure why... response:	You've come this far, you wanted to...
context: Wait...\How can this be?\Keiichi's hands were warm, but this man's hands are cold.\What's the matter?\No.\What?\I don't want to... even though I'm not sure why...\You've come this far, you wanted to... response:	Don't touch me! You've come this far,you wanted to...
context: How can this be?\Keiichi's hands were warm, but this man's hands are cold.\What's the matter?\No.\What?\I don't want to... even though I'm not sure why...\You've come this far, you wanted to...\Don't touch me! You've come this far,you wanted to... response:	What are you talking about?
context: Keiichi's hands were warm, but this man's hands are cold.\What's the matter?\No.\What?\I don't want to... even though I'm not sure why...\You've come this far, you wanted to...\Don't touch me! You've come this far,you wanted to...\What are you talking about? response:	Surely you didn't think you could just eat and run, did you?
context: What's the matter?\No.\What?\I don't want to... even though I'm not sure why...\You've come this far, you wanted to...\Don't touch me! You've come this far,you wanted to...\What are you talking about?\Surely you didn't think you could just eat and run, did you? response:	No!
context: No.\What?\I don't want to... even though I'm not sure why...\You've come this far, you wanted to...\Don't touch me! You've come this far,you wanted to...\What are you talking about?\Surely you didn't think you could just eat and run, did you?\No! response:	Stay away from me!
context: What?\I don't want to... even though I'm not sure why...\You've come this far, you wanted to...\Don't touch me! You've come this far,you wanted to...\What are you talking about?\Surely you didn't think you could just eat and run, did you?\No!\Stay away from me! response:	Come back here!
context: I don't want to... even though I'm not sure why...\You've come this far, you wanted to...\Don't touch me! You've come this far,you wanted to...\What are you talking about?\Surely you didn't think you could just eat and run, did you?\No!\Stay away from me!\Come back here! response:	No...
context: You've come this far, you wanted to...\Don't touch me! You've come this far,you wanted to...\What are you talking about?\Surely you didn't think you could just eat and run, did you?\No!\Stay away from me!\Come back here!\No... response:	No...no...
context: Don't touch me! You've come this far,you wanted to...\What are you talking about?\Surely you didn't think you could just eat and run, did you?\No!\Stay away from me!\Come back here!\No...\No...no... response:	No!
context: What are you talking about?\Surely you didn't think you could just eat and run, did you?\No!\Stay away from me!\Come back here!\No...\No...no...\No! response:	Looks like you've hit a dead end.
context: Surely you didn't think you could just eat and run, did you?\No!\Stay away from me!\Come back here!\No...\No...no...\No!\Looks like you've hit a dead end. response:	Stay away from me!
context: No!\Stay away from me!\Come back here!\No...\No...no...\No!\Looks like you've hit a dead end.\Stay away from me! response:	Now then, shall we go?
context: Stay away from me!\Come back here!\No...\No...no...\No!\Looks like you've hit a dead end.\Stay away from me!\Now then, shall we go? response:	No...
context: Come back here!\No...\No...no...\No!\Looks like you've hit a dead end.\Stay away from me!\Now then, shall we go?\No... response:	Help me!
context: No...\No...no...\No!\Looks like you've hit a dead end.\Stay away from me!\Now then, shall we go?\No...\Help me! response:	Big Sister!
context: No...no...\No!\Looks like you've hit a dead end.\Stay away from me!\Now then, shall we go?\No...\Help me!\Big Sister! response:	Keiichi!
context: No!\Looks like you've hit a dead end.\Stay away from me!\Now then, shall we go?\No...\Help me!\Big Sister!\Keiichi! response:	Skuld!
context: Looks like you've hit a dead end.\Stay away from me!\Now then, shall we go?\No...\Help me!\Big Sister!\Keiichi!\Skuld! response:	Keiichi!
context: Stay away from me!\Now then, shall we go?\No...\Help me!\Big Sister!\Keiichi!\Skuld!\Keiichi! response:	Morisato?
context: Now then, shall we go?\No...\Help me!\Big Sister!\Keiichi!\Skuld!\Keiichi!\Morisato? response:	Ouch...take it easy, will you?
context: No...\Help me!\Big Sister!\Keiichi!\Skuld!\Keiichi!\Morisato?\Ouch...take it easy, will you? response:	Never mind, just take off!
context: Help me!\Big Sister!\Keiichi!\Skuld!\Keiichi!\Morisato?\Ouch...take it easy, will you?\Never mind, just take off! response:	Right.
context: Big Sister!\Keiichi!\Skuld!\Keiichi!\Morisato?\Ouch...take it easy, will you?\Never mind, just take off!\Right. response:	Come back here!
context: Keiichi!\Skuld!\Keiichi!\Morisato?\Ouch...take it easy, will you?\Never mind, just take off!\Right.\Come back here! response:	You again?
context: Skuld!\Keiichi!\Morisato?\Ouch...take it easy, will you?\Never mind, just take off!\Right.\Come back here!\You again? response:	I guess you really enjoy being punished!
context: Keiichi!\Morisato?\Ouch...take it easy, will you?\Never mind, just take off!\Right.\Come back here!\You again?\I guess you really enjoy being punished! response:	Just hold on!
context: Morisato?\Ouch...take it easy, will you?\Never mind, just take off!\Right.\Come back here!\You again?\I guess you really enjoy being punished!\Just hold on! response:	It's so strange...
context: Ouch...take it easy, will you?\Never mind, just take off!\Right.\Come back here!\You again?\I guess you really enjoy being punished!\Just hold on!\It's so strange... response:	I couldn't stand that other man touching me...
context: Never mind, just take off!\Right.\Come back here!\You again?\I guess you really enjoy being punished!\Just hold on!\It's so strange...\I couldn't stand that other man touching me... response:	Keiichi...
context: Right.\Come back here!\You again?\I guess you really enjoy being punished!\Just hold on!\It's so strange...\I couldn't stand that other man touching me...\Keiichi... response:	Hey, what's gotten into you all of a sudden?
context: Come back here!\You again?\I guess you really enjoy being punished!\Just hold on!\It's so strange...\I couldn't stand that other man touching me...\Keiichi...\Hey, what's gotten into you all of a sudden? response:	I was right...
context: You again?\I guess you really enjoy being punished!\Just hold on!\It's so strange...\I couldn't stand that other man touching me...\Keiichi...\Hey, what's gotten into you all of a sudden?\I was right... response:	About what?
context: I guess you really enjoy being punished!\Just hold on!\It's so strange...\I couldn't stand that other man touching me...\Keiichi...\Hey, what's gotten into you all of a sudden?\I was right...\About what? response:	I'm fine with Keiichi.
context: Just hold on!\It's so strange...\I couldn't stand that other man touching me...\Keiichi...\Hey, what's gotten into you all of a sudden?\I was right...\About what?\I'm fine with Keiichi. response:	Actually...my heart seems to be pounding.
context: It's so strange...\I couldn't stand that other man touching me...\Keiichi...\Hey, what's gotten into you all of a sudden?\I was right...\About what?\I'm fine with Keiichi.\Actually...my heart seems to be pounding. response:	Keiichi!
context: I couldn't stand that other man touching me...\Keiichi...\Hey, what's gotten into you all of a sudden?\I was right...\About what?\I'm fine with Keiichi.\Actually...my heart seems to be pounding.\Keiichi! response:	What's up?
context: Keiichi...\Hey, what's gotten into you all of a sudden?\I was right...\About what?\I'm fine with Keiichi.\Actually...my heart seems to be pounding.\Keiichi!\What's up? response:	You see...
context: Hey, what's gotten into you all of a sudden?\I was right...\About what?\I'm fine with Keiichi.\Actually...my heart seems to be pounding.\Keiichi!\What's up?\You see... response:	I just want...
context: I was right...\About what?\I'm fine with Keiichi.\Actually...my heart seems to be pounding.\Keiichi!\What's up?\You see...\I just want... response:	I want to go out just a while longer.
context: About what?\I'm fine with Keiichi.\Actually...my heart seems to be pounding.\Keiichi!\What's up?\You see...\I just want...\I want to go out just a while longer. response:	With you.
context: I'm fine with Keiichi.\Actually...my heart seems to be pounding.\Keiichi!\What's up?\You see...\I just want...\I want to go out just a while longer.\With you. response:	With me?
context: Actually...my heart seems to be pounding.\Keiichi!\What's up?\You see...\I just want...\I want to go out just a while longer.\With you.\With me? response:	Please!
context: Keiichi!\What's up?\You see...\I just want...\I want to go out just a while longer.\With you.\With me?\Please! response:	Well, you said you wanted to go out, so here we are downtown...
context: What's up?\You see...\I just want...\I want to go out just a while longer.\With you.\With me?\Please!\Well, you said you wanted to go out, so here we are downtown... response:	Anywhere's fine, really...
context: You see...\I just want...\I want to go out just a while longer.\With you.\With me?\Please!\Well, you said you wanted to go out, so here we are downtown...\Anywhere's fine, really... response:	You decide for us!
context: I just want...\I want to go out just a while longer.\With you.\With me?\Please!\Well, you said you wanted to go out, so here we are downtown...\Anywhere's fine, really...\You decide for us! response:	But the thing is, I wouldn't know where to go...
context: I want to go out just a while longer.\With you.\With me?\Please!\Well, you said you wanted to go out, so here we are downtown...\Anywhere's fine, really...\You decide for us!\But the thing is, I wouldn't know where to go... response:	That's fine!
context: With you.\With me?\Please!\Well, you said you wanted to go out, so here we are downtown...\Anywhere's fine, really...\You decide for us!\But the thing is, I wouldn't know where to go...\That's fine! response:	But we can go to those places anytime.
context: With me?\Please!\Well, you said you wanted to go out, so here we are downtown...\Anywhere's fine, really...\You decide for us!\But the thing is, I wouldn't know where to go...\That's fine!\But we can go to those places anytime. response:	We should go wherever your present self wants to go today.
context: Please!\Well, you said you wanted to go out, so here we are downtown...\Anywhere's fine, really...\You decide for us!\But the thing is, I wouldn't know where to go...\That's fine!\But we can go to those places anytime.\We should go wherever your present self wants to go today. response:	Let me think...Got it!
context: Well, you said you wanted to go out, so here we are downtown...\Anywhere's fine, really...\You decide for us!\But the thing is, I wouldn't know where to go...\That's fine!\But we can go to those places anytime.\We should go wherever your present self wants to go today.\Let me think...Got it! response:	Are you sure you shouldn't have gone with them?
context: Anywhere's fine, really...\You decide for us!\But the thing is, I wouldn't know where to go...\That's fine!\But we can go to those places anytime.\We should go wherever your present self wants to go today.\Let me think...Got it!\Are you sure you shouldn't have gone with them? response:	Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored.
context: You decide for us!\But the thing is, I wouldn't know where to go...\That's fine!\But we can go to those places anytime.\We should go wherever your present self wants to go today.\Let me think...Got it!\Are you sure you shouldn't have gone with them?\Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored. response:	That's not what I meant...
context: But the thing is, I wouldn't know where to go...\That's fine!\But we can go to those places anytime.\We should go wherever your present self wants to go today.\Let me think...Got it!\Are you sure you shouldn't have gone with them?\Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored.\That's not what I meant... response:	Aren't you worried that Skuld might take Keiichi away?
context: That's fine!\But we can go to those places anytime.\We should go wherever your present self wants to go today.\Let me think...Got it!\Are you sure you shouldn't have gone with them?\Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored.\That's not what I meant...\Aren't you worried that Skuld might take Keiichi away? response:	You saw it, didn't you?
context: But we can go to those places anytime.\We should go wherever your present self wants to go today.\Let me think...Got it!\Are you sure you shouldn't have gone with them?\Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored.\That's not what I meant...\Aren't you worried that Skuld might take Keiichi away?\You saw it, didn't you? response:	The way she looks at Keiichi, it's so obvious she's head over heels!
context: We should go wherever your present self wants to go today.\Let me think...Got it!\Are you sure you shouldn't have gone with them?\Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored.\That's not what I meant...\Aren't you worried that Skuld might take Keiichi away?\You saw it, didn't you?\The way she looks at Keiichi, it's so obvious she's head over heels! response:	Head over heels?
context: Let me think...Got it!\Are you sure you shouldn't have gone with them?\Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored.\That's not what I meant...\Aren't you worried that Skuld might take Keiichi away?\You saw it, didn't you?\The way she looks at Keiichi, it's so obvious she's head over heels!\Head over heels? response:	Man, you're so thick. I mean she loves Keiichi.
context: Are you sure you shouldn't have gone with them?\Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored.\That's not what I meant...\Aren't you worried that Skuld might take Keiichi away?\You saw it, didn't you?\The way she looks at Keiichi, it's so obvious she's head over heels!\Head over heels?\Man, you're so thick. I mean she loves Keiichi. response:	Yes! Both Skuld and I love Keiichi very, very much!
context: Oh, yes. I have to prepare dinner as soon as Yggdrasil gets restored.\That's not what I meant...\Aren't you worried that Skuld might take Keiichi away?\You saw it, didn't you?\The way she looks at Keiichi, it's so obvious she's head over heels!\Head over heels?\Man, you're so thick. I mean she loves Keiichi.\Yes! Both Skuld and I love Keiichi very, very much! response:	What's wrong?
context: That's not what I meant...\Aren't you worried that Skuld might take Keiichi away?\You saw it, didn't you?\The way she looks at Keiichi, it's so obvious she's head over heels!\Head over heels?\Man, you're so thick. I mean she loves Keiichi.\Yes! Both Skuld and I love Keiichi very, very much!\What's wrong? response:	Oh...never mind. More tea, please.
context: Aren't you worried that Skuld might take Keiichi away?\You saw it, didn't you?\The way she looks at Keiichi, it's so obvious she's head over heels!\Head over heels?\Man, you're so thick. I mean she loves Keiichi.\Yes! Both Skuld and I love Keiichi very, very much!\What's wrong?\Oh...never mind. More tea, please. response:	I guess this just shows how stable your relationship is.
context: You saw it, didn't you?\The way she looks at Keiichi, it's so obvious she's head over heels!\Head over heels?\Man, you're so thick. I mean she loves Keiichi.\Yes! Both Skuld and I love Keiichi very, very much!\What's wrong?\Oh...never mind. More tea, please.\I guess this just shows how stable your relationship is. response:	So I apply some of this...
context: The way she looks at Keiichi, it's so obvious she's head over heels!\Head over heels?\Man, you're so thick. I mean she loves Keiichi.\Yes! Both Skuld and I love Keiichi very, very much!\What's wrong?\Oh...never mind. More tea, please.\I guess this just shows how stable your relationship is.\So I apply some of this... response:	Um...Miss?
context: Head over heels?\Man, you're so thick. I mean she loves Keiichi.\Yes! Both Skuld and I love Keiichi very, very much!\What's wrong?\Oh...never mind. More tea, please.\I guess this just shows how stable your relationship is.\So I apply some of this...\Um...Miss? response:	If I may offer an opinion, I think you should go for a more natural look.
context: Man, you're so thick. I mean she loves Keiichi.\Yes! Both Skuld and I love Keiichi very, very much!\What's wrong?\Oh...never mind. More tea, please.\I guess this just shows how stable your relationship is.\So I apply some of this...\Um...Miss?\If I may offer an opinion, I think you should go for a more natural look. response:	Do you, really?
context: Yes! Both Skuld and I love Keiichi very, very much!\What's wrong?\Oh...never mind. More tea, please.\I guess this just shows how stable your relationship is.\So I apply some of this...\Um...Miss?\If I may offer an opinion, I think you should go for a more natural look.\Do you, really? response:	What do you think, Keiichi?
context: What's wrong?\Oh...never mind. More tea, please.\I guess this just shows how stable your relationship is.\So I apply some of this...\Um...Miss?\If I may offer an opinion, I think you should go for a more natural look.\Do you, really?\What do you think, Keiichi? response:	Come on, let's move on to the next place!
context: Oh...never mind. More tea, please.\I guess this just shows how stable your relationship is.\So I apply some of this...\Um...Miss?\If I may offer an opinion, I think you should go for a more natural look.\Do you, really?\What do you think, Keiichi?\Come on, let's move on to the next place! response:	Are high heels really this tight and uncomfortable?
context: I guess this just shows how stable your relationship is.\So I apply some of this...\Um...Miss?\If I may offer an opinion, I think you should go for a more natural look.\Do you, really?\What do you think, Keiichi?\Come on, let's move on to the next place!\Are high heels really this tight and uncomfortable? response:	Well, I've never worn them, so I wouldn't know.
context: So I apply some of this...\Um...Miss?\If I may offer an opinion, I think you should go for a more natural look.\Do you, really?\What do you think, Keiichi?\Come on, let's move on to the next place!\Are high heels really this tight and uncomfortable?\Well, I've never worn them, so I wouldn't know. response:	Whoops-a-daisy...
context: Um...Miss?\If I may offer an opinion, I think you should go for a more natural look.\Do you, really?\What do you think, Keiichi?\Come on, let's move on to the next place!\Are high heels really this tight and uncomfortable?\Well, I've never worn them, so I wouldn't know.\Whoops-a-daisy... response:	Keiichi...
context: If I may offer an opinion, I think you should go for a more natural look.\Do you, really?\What do you think, Keiichi?\Come on, let's move on to the next place!\Are high heels really this tight and uncomfortable?\Well, I've never worn them, so I wouldn't know.\Whoops-a-daisy...\Keiichi... response:	Are you okay?
context: Do you, really?\What do you think, Keiichi?\Come on, let's move on to the next place!\Are high heels really this tight and uncomfortable?\Well, I've never worn them, so I wouldn't know.\Whoops-a-daisy...\Keiichi...\Are you okay? response:	Sure, I'm fine!
context: What do you think, Keiichi?\Come on, let's move on to the next place!\Are high heels really this tight and uncomfortable?\Well, I've never worn them, so I wouldn't know.\Whoops-a-daisy...\Keiichi...\Are you okay?\Sure, I'm fine! response:	I'm an adult, after all. Shoes like these don't faze me. Let's go.
context: Come on, let's move on to the next place!\Are high heels really this tight and uncomfortable?\Well, I've never worn them, so I wouldn't know.\Whoops-a-daisy...\Keiichi...\Are you okay?\Sure, I'm fine!\I'm an adult, after all. Shoes like these don't faze me. Let's go. response:	Hup, two, three, four.
context: Are high heels really this tight and uncomfortable?\Well, I've never worn them, so I wouldn't know.\Whoops-a-daisy...\Keiichi...\Are you okay?\Sure, I'm fine!\I'm an adult, after all. Shoes like these don't faze me. Let's go.\Hup, two, three, four. response:	Sir?
context: Well, I've never worn them, so I wouldn't know.\Whoops-a-daisy...\Keiichi...\Are you okay?\Sure, I'm fine!\I'm an adult, after all. Shoes like these don't faze me. Let's go.\Hup, two, three, four.\Sir? response:	Huh?
context: Whoops-a-daisy...\Keiichi...\Are you okay?\Sure, I'm fine!\I'm an adult, after all. Shoes like these don't faze me. Let's go.\Hup, two, three, four.\Sir?\Huh? response:	That will be 39,800 yen with tax.
context: Keiichi...\Are you okay?\Sure, I'm fine!\I'm an adult, after all. Shoes like these don't faze me. Let's go.\Hup, two, three, four.\Sir?\Huh?\That will be 39,800 yen with tax. response:	Huh?! Wait, come back here, Skuld!
context: Are you okay?\Sure, I'm fine!\I'm an adult, after all. Shoes like these don't faze me. Let's go.\Hup, two, three, four.\Sir?\Huh?\That will be 39,800 yen with tax.\Huh?! Wait, come back here, Skuld! response:	For crying out loud! Why are grownup clothes so complicated?
context: Sure, I'm fine!\I'm an adult, after all. Shoes like these don't faze me. Let's go.\Hup, two, three, four.\Sir?\Huh?\That will be 39,800 yen with tax.\Huh?! Wait, come back here, Skuld!\For crying out loud! Why are grownup clothes so complicated? response:	This goes on the outside, so this cord should go through here...
context: I'm an adult, after all. Shoes like these don't faze me. Let's go.\Hup, two, three, four.\Sir?\Huh?\That will be 39,800 yen with tax.\Huh?! Wait, come back here, Skuld!\For crying out loud! Why are grownup clothes so complicated?\This goes on the outside, so this cord should go through here... response:	So...I'm an adult...
context: Hup, two, three, four.\Sir?\Huh?\That will be 39,800 yen with tax.\Huh?! Wait, come back here, Skuld!\For crying out loud! Why are grownup clothes so complicated?\This goes on the outside, so this cord should go through here...\So...I'm an adult... response:	Skuld?
context: Sir?\Huh?\That will be 39,800 yen with tax.\Huh?! Wait, come back here, Skuld!\For crying out loud! Why are grownup clothes so complicated?\This goes on the outside, so this cord should go through here...\So...I'm an adult...\Skuld? response:	How's it going?
