context: It looks like the power consumption in this tower is mostly concentrated... response:	in two areas.
context: We'll follow Makishima.\But what about downstairs?\I'll go.\But then it'll be one versus four.\It'll still be two versus four for you guys, right?\And since Makishima's there, wouldn't upstairs be more dangerous?\Okay!\Kagari! response:	Hm?
context: But what about downstairs?\I'll go.\But then it'll be one versus four.\It'll still be two versus four for you guys, right?\And since Makishima's there, wouldn't upstairs be more dangerous?\Okay!\Kagari!\Hm? response:	Don't do anything reckless!
context: I'll go.\But then it'll be one versus four.\It'll still be two versus four for you guys, right?\And since Makishima's there, wouldn't upstairs be more dangerous?\Okay!\Kagari!\Hm?\Don't do anything reckless! response:	I don't need you to tell me that, Ko!
context: But then it'll be one versus four.\It'll still be two versus four for you guys, right?\And since Makishima's there, wouldn't upstairs be more dangerous?\Okay!\Kagari!\Hm?\Don't do anything reckless!\I don't need you to tell me that, Ko! response:	Analyst, can we use this elevator?
context: It'll still be two versus four for you guys, right?\And since Makishima's there, wouldn't upstairs be more dangerous?\Okay!\Kagari!\Hm?\Don't do anything reckless!\I don't need you to tell me that, Ko!\Analyst, can we use this elevator? response:	No. It's locked down.
context: And since Makishima's there, wouldn't upstairs be more dangerous?\Okay!\Kagari!\Hm?\Don't do anything reckless!\I don't need you to tell me that, Ko!\Analyst, can we use this elevator?\No. It's locked down. response:	I can't unlock it from here, either.
context: Okay!\Kagari!\Hm?\Don't do anything reckless!\I don't need you to tell me that, Ko!\Analyst, can we use this elevator?\No. It's locked down.\I can't unlock it from here, either. response:	Dammit!
context: Kagari!\Hm?\Don't do anything reckless!\I don't need you to tell me that, Ko!\Analyst, can we use this elevator?\No. It's locked down.\I can't unlock it from here, either.\Dammit! response:	What about the stairs?
context: Hm?\Don't do anything reckless!\I don't need you to tell me that, Ko!\Analyst, can we use this elevator?\No. It's locked down.\I can't unlock it from here, either.\Dammit!\What about the stairs? response:	They're on the 90th floor!
context: Don't do anything reckless!\I don't need you to tell me that, Ko!\Analyst, can we use this elevator?\No. It's locked down.\I can't unlock it from here, either.\Dammit!\What about the stairs?\They're on the 90th floor! response:	Hold on a sec.
context: I don't need you to tell me that, Ko!\Analyst, can we use this elevator?\No. It's locked down.\I can't unlock it from here, either.\Dammit!\What about the stairs?\They're on the 90th floor!\Hold on a sec. response:	There it is!
context: Analyst, can we use this elevator?\No. It's locked down.\I can't unlock it from here, either.\Dammit!\What about the stairs?\They're on the 90th floor!\Hold on a sec.\There it is! response:	The service elevators that transport Drones
context: No. It's locked down.\I can't unlock it from here, either.\Dammit!\What about the stairs?\They're on the 90th floor!\Hold on a sec.\There it is!\The service elevators that transport Drones response:	run on a separate system than those at the Tower's center.
context: I can't unlock it from here, either.\Dammit!\What about the stairs?\They're on the 90th floor!\Hold on a sec.\There it is!\The service elevators that transport Drones\run on a separate system than those at the Tower's center. response:	They're still operational!
context: Dammit!\What about the stairs?\They're on the 90th floor!\Hold on a sec.\There it is!\The service elevators that transport Drones\run on a separate system than those at the Tower's center.\They're still operational! response:	Can you give us directions?
context: What about the stairs?\They're on the 90th floor!\Hold on a sec.\There it is!\The service elevators that transport Drones\run on a separate system than those at the Tower's center.\They're still operational!\Can you give us directions? response:	Okay!
context: They're on the 90th floor!\Hold on a sec.\There it is!\The service elevators that transport Drones\run on a separate system than those at the Tower's center.\They're still operational!\Can you give us directions?\Okay! response:	Turn right at the hallway ahead.
context: Hold on a sec.\There it is!\The service elevators that transport Drones\run on a separate system than those at the Tower's center.\They're still operational!\Can you give us directions?\Okay!\Turn right at the hallway ahead. response:	That's where I lost track of them on the security camera videos.
context: There it is!\The service elevators that transport Drones\run on a separate system than those at the Tower's center.\They're still operational!\Can you give us directions?\Okay!\Turn right at the hallway ahead.\That's where I lost track of them on the security camera videos. response:	What's there?
context: The service elevators that transport Drones\run on a separate system than those at the Tower's center.\They're still operational!\Can you give us directions?\Okay!\Turn right at the hallway ahead.\That's where I lost track of them on the security camera videos.\What's there? response:	Well... According to the blueprints, it's just a dead end.
context: run on a separate system than those at the Tower's center.\They're still operational!\Can you give us directions?\Okay!\Turn right at the hallway ahead.\That's where I lost track of them on the security camera videos.\What's there?\Well... According to the blueprints, it's just a dead end. response:	It might be some sort of trap. Be careful.
context: They're still operational!\Can you give us directions?\Okay!\Turn right at the hallway ahead.\That's where I lost track of them on the security camera videos.\What's there?\Well... According to the blueprints, it's just a dead end.\It might be some sort of trap. Be careful. response:	Yeah, yeah.
context: Can you give us directions?\Okay!\Turn right at the hallway ahead.\That's where I lost track of them on the security camera videos.\What's there?\Well... According to the blueprints, it's just a dead end.\It might be some sort of trap. Be careful.\Yeah, yeah. response:	What's that?
context: Okay!\Turn right at the hallway ahead.\That's where I lost track of them on the security camera videos.\What's there?\Well... According to the blueprints, it's just a dead end.\It might be some sort of trap. Be careful.\Yeah, yeah.\What's that? response:	Shion, the basement should only have four floors, right?
context: Turn right at the hallway ahead.\That's where I lost track of them on the security camera videos.\What's there?\Well... According to the blueprints, it's just a dead end.\It might be some sort of trap. Be careful.\Yeah, yeah.\What's that?\Shion, the basement should only have four floors, right? response:	That's how it's supposed to be.
context: That's where I lost track of them on the security camera videos.\What's there?\Well... According to the blueprints, it's just a dead end.\It might be some sort of trap. Be careful.\Yeah, yeah.\What's that?\Shion, the basement should only have four floors, right?\That's how it's supposed to be. response:	I don't like this. This really isn't my kind of scene.
context: What's there?\Well... According to the blueprints, it's just a dead end.\It might be some sort of trap. Be careful.\Yeah, yeah.\What's that?\Shion, the basement should only have four floors, right?\That's how it's supposed to be.\I don't like this. This really isn't my kind of scene. response:	I really don't like this.
context: Well... According to the blueprints, it's just a dead end.\It might be some sort of trap. Be careful.\Yeah, yeah.\What's that?\Shion, the basement should only have four floors, right?\That's how it's supposed to be.\I don't like this. This really isn't my kind of scene.\I really don't like this. response:	Shinya.
context: It might be some sort of trap. Be careful.\Yeah, yeah.\What's that?\Shion, the basement should only have four floors, right?\That's how it's supposed to be.\I don't like this. This really isn't my kind of scene.\I really don't like this.\Shinya. response:	This should go without saying,
context: Yeah, yeah.\What's that?\Shion, the basement should only have four floors, right?\That's how it's supposed to be.\I don't like this. This really isn't my kind of scene.\I really don't like this.\Shinya.\This should go without saying, response:	but don't even think about using the EMP grenades near the radio tower.
context: What's that?\Shion, the basement should only have four floors, right?\That's how it's supposed to be.\I don't like this. This really isn't my kind of scene.\I really don't like this.\Shinya.\This should go without saying,\but don't even think about using the EMP grenades near the radio tower. response:	If I did, Gino would kill me himself.
context: Shion, the basement should only have four floors, right?\That's how it's supposed to be.\I don't like this. This really isn't my kind of scene.\I really don't like this.\Shinya.\This should go without saying,\but don't even think about using the EMP grenades near the radio tower.\If I did, Gino would kill me himself. response:	So how are you gonna deal with those helmets they're wearing?
context: That's how it's supposed to be.\I don't like this. This really isn't my kind of scene.\I really don't like this.\Shinya.\This should go without saying,\but don't even think about using the EMP grenades near the radio tower.\If I did, Gino would kill me himself.\So how are you gonna deal with those helmets they're wearing? response:	Since Akane's with you, you can't use your Dominators.
context: I don't like this. This really isn't my kind of scene.\I really don't like this.\Shinya.\This should go without saying,\but don't even think about using the EMP grenades near the radio tower.\If I did, Gino would kill me himself.\So how are you gonna deal with those helmets they're wearing?\Since Akane's with you, you can't use your Dominators. response:	That's why I picked one of them up and brought it with me.
context: I really don't like this.\Shinya.\This should go without saying,\but don't even think about using the EMP grenades near the radio tower.\If I did, Gino would kill me himself.\So how are you gonna deal with those helmets they're wearing?\Since Akane's with you, you can't use your Dominators.\That's why I picked one of them up and brought it with me. response:	When someone's wearing this, their Crime Coefficient can't be read.
context: Shinya.\This should go without saying,\but don't even think about using the EMP grenades near the radio tower.\If I did, Gino would kill me himself.\So how are you gonna deal with those helmets they're wearing?\Since Akane's with you, you can't use your Dominators.\That's why I picked one of them up and brought it with me.\When someone's wearing this, their Crime Coefficient can't be read. response:	In other words, if Inspector Tsunemori wears this,
context: This should go without saying,\but don't even think about using the EMP grenades near the radio tower.\If I did, Gino would kill me himself.\So how are you gonna deal with those helmets they're wearing?\Since Akane's with you, you can't use your Dominators.\That's why I picked one of them up and brought it with me.\When someone's wearing this, their Crime Coefficient can't be read.\In other words, if Inspector Tsunemori wears this, response:	they won't be able to copy her Psycho-Pass to their own helmets.
context: but don't even think about using the EMP grenades near the radio tower.\If I did, Gino would kill me himself.\So how are you gonna deal with those helmets they're wearing?\Since Akane's with you, you can't use your Dominators.\That's why I picked one of them up and brought it with me.\When someone's wearing this, their Crime Coefficient can't be read.\In other words, if Inspector Tsunemori wears this,\they won't be able to copy her Psycho-Pass to their own helmets. response:	I see.
context: If I did, Gino would kill me himself.\So how are you gonna deal with those helmets they're wearing?\Since Akane's with you, you can't use your Dominators.\That's why I picked one of them up and brought it with me.\When someone's wearing this, their Crime Coefficient can't be read.\In other words, if Inspector Tsunemori wears this,\they won't be able to copy her Psycho-Pass to their own helmets.\I see. response:	Putting that aside, though...
context: So how are you gonna deal with those helmets they're wearing?\Since Akane's with you, you can't use your Dominators.\That's why I picked one of them up and brought it with me.\When someone's wearing this, their Crime Coefficient can't be read.\In other words, if Inspector Tsunemori wears this,\they won't be able to copy her Psycho-Pass to their own helmets.\I see.\Putting that aside, though... response:	What on Earth could Makishima be after?
context: Since Akane's with you, you can't use your Dominators.\That's why I picked one of them up and brought it with me.\When someone's wearing this, their Crime Coefficient can't be read.\In other words, if Inspector Tsunemori wears this,\they won't be able to copy her Psycho-Pass to their own helmets.\I see.\Putting that aside, though...\What on Earth could Makishima be after? response:	Makishima is a decoy.
context: That's why I picked one of them up and brought it with me.\When someone's wearing this, their Crime Coefficient can't be read.\In other words, if Inspector Tsunemori wears this,\they won't be able to copy her Psycho-Pass to their own helmets.\I see.\Putting that aside, though...\What on Earth could Makishima be after?\Makishima is a decoy. response:	The one who'll do the job is probably headed to the basement.
context: When someone's wearing this, their Crime Coefficient can't be read.\In other words, if Inspector Tsunemori wears this,\they won't be able to copy her Psycho-Pass to their own helmets.\I see.\Putting that aside, though...\What on Earth could Makishima be after?\Makishima is a decoy.\The one who'll do the job is probably headed to the basement. response:	Otherwise, it wouldn't make much sense for them to have split up.
context: In other words, if Inspector Tsunemori wears this,\they won't be able to copy her Psycho-Pass to their own helmets.\I see.\Putting that aside, though...\What on Earth could Makishima be after?\Makishima is a decoy.\The one who'll do the job is probably headed to the basement.\Otherwise, it wouldn't make much sense for them to have split up. response:	There's a mysterious facility that doesn't even have security cameras in the basement, right?
context: they won't be able to copy her Psycho-Pass to their own helmets.\I see.\Putting that aside, though...\What on Earth could Makishima be after?\Makishima is a decoy.\The one who'll do the job is probably headed to the basement.\Otherwise, it wouldn't make much sense for them to have split up.\There's a mysterious facility that doesn't even have security cameras in the basement, right? response:	Yeah, but I haven't heard a thing from Shu since he went down there,
context: I see.\Putting that aside, though...\What on Earth could Makishima be after?\Makishima is a decoy.\The one who'll do the job is probably headed to the basement.\Otherwise, it wouldn't make much sense for them to have split up.\There's a mysterious facility that doesn't even have security cameras in the basement, right?\Yeah, but I haven't heard a thing from Shu since he went down there, response:	so I have no idea what's going on.
context: Putting that aside, though...\What on Earth could Makishima be after?\Makishima is a decoy.\The one who'll do the job is probably headed to the basement.\Otherwise, it wouldn't make much sense for them to have split up.\There's a mysterious facility that doesn't even have security cameras in the basement, right?\Yeah, but I haven't heard a thing from Shu since he went down there,\so I have no idea what's going on. response:	Makishima and the others must have some idea of what this facility really is.
context: What on Earth could Makishima be after?\Makishima is a decoy.\The one who'll do the job is probably headed to the basement.\Otherwise, it wouldn't make much sense for them to have split up.\There's a mysterious facility that doesn't even have security cameras in the basement, right?\Yeah, but I haven't heard a thing from Shu since he went down there,\so I have no idea what's going on.\Makishima and the others must have some idea of what this facility really is. response:	Then... why...
context: Makishima is a decoy.\The one who'll do the job is probably headed to the basement.\Otherwise, it wouldn't make much sense for them to have split up.\There's a mysterious facility that doesn't even have security cameras in the basement, right?\Yeah, but I haven't heard a thing from Shu since he went down there,\so I have no idea what's going on.\Makishima and the others must have some idea of what this facility really is.\Then... why... response:	Our priority isn't to stop him from achieving his goal, but to drive him into a corner.
context: The one who'll do the job is probably headed to the basement.\Otherwise, it wouldn't make much sense for them to have split up.\There's a mysterious facility that doesn't even have security cameras in the basement, right?\Yeah, but I haven't heard a thing from Shu since he went down there,\so I have no idea what's going on.\Makishima and the others must have some idea of what this facility really is.\Then... why...\Our priority isn't to stop him from achieving his goal, but to drive him into a corner. response:	Right?
context: Otherwise, it wouldn't make much sense for them to have split up.\There's a mysterious facility that doesn't even have security cameras in the basement, right?\Yeah, but I haven't heard a thing from Shu since he went down there,\so I have no idea what's going on.\Makishima and the others must have some idea of what this facility really is.\Then... why...\Our priority isn't to stop him from achieving his goal, but to drive him into a corner.\Right? response:	Shion, I'm telling you, this place is seriously bad news.
context: There's a mysterious facility that doesn't even have security cameras in the basement, right?\Yeah, but I haven't heard a thing from Shu since he went down there,\so I have no idea what's going on.\Makishima and the others must have some idea of what this facility really is.\Then... why...\Our priority isn't to stop him from achieving his goal, but to drive him into a corner.\Right?\Shion, I'm telling you, this place is seriously bad news. response:	I wanna get out of here.
context: Yeah, but I haven't heard a thing from Shu since he went down there,\so I have no idea what's going on.\Makishima and the others must have some idea of what this facility really is.\Then... why...\Our priority isn't to stop him from achieving his goal, but to drive him into a corner.\Right?\Shion, I'm telling you, this place is seriously bad news.\I wanna get out of here. response:	Shion?
context: so I have no idea what's going on.\Makishima and the others must have some idea of what this facility really is.\Then... why...\Our priority isn't to stop him from achieving his goal, but to drive him into a corner.\Right?\Shion, I'm telling you, this place is seriously bad news.\I wanna get out of here.\Shion? response:	Communication error.
context: Makishima and the others must have some idea of what this facility really is.\Then... why...\Our priority isn't to stop him from achieving his goal, but to drive him into a corner.\Right?\Shion, I'm telling you, this place is seriously bad news.\I wanna get out of here.\Shion?\Communication error. response:	System link cannot be established.
context: Then... why...\Our priority isn't to stop him from achieving his goal, but to drive him into a corner.\Right?\Shion, I'm telling you, this place is seriously bad news.\I wanna get out of here.\Shion?\Communication error.\System link cannot be established. response:	Hey, this isn't funny!
context: Our priority isn't to stop him from achieving his goal, but to drive him into a corner.\Right?\Shion, I'm telling you, this place is seriously bad news.\I wanna get out of here.\Shion?\Communication error.\System link cannot be established.\Hey, this isn't funny! response:	You friggin' bastard!
context: Right?\Shion, I'm telling you, this place is seriously bad news.\I wanna get out of here.\Shion?\Communication error.\System link cannot be established.\Hey, this isn't funny!\You friggin' bastard! response:	How's it going there?
context: Shion, I'm telling you, this place is seriously bad news.\I wanna get out of here.\Shion?\Communication error.\System link cannot be established.\Hey, this isn't funny!\You friggin' bastard!\How's it going there? response:	Did you kill him?
context: I wanna get out of here.\Shion?\Communication error.\System link cannot be established.\Hey, this isn't funny!\You friggin' bastard!\How's it going there?\Did you kill him? response:	Sorry. Your friend met an unfortunate accident.
context: Shion?\Communication error.\System link cannot be established.\Hey, this isn't funny!\You friggin' bastard!\How's it going there?\Did you kill him?\Sorry. Your friend met an unfortunate accident. response:	Oh, really?
context: Communication error.\System link cannot be established.\Hey, this isn't funny!\You friggin' bastard!\How's it going there?\Did you kill him?\Sorry. Your friend met an unfortunate accident.\Oh, really? response:	Not bad.
context: System link cannot be established.\Hey, this isn't funny!\You friggin' bastard!\How's it going there?\Did you kill him?\Sorry. Your friend met an unfortunate accident.\Oh, really?\Not bad. response:	You're an Enforcer from the Bureau, right?
context: Hey, this isn't funny!\You friggin' bastard!\How's it going there?\Did you kill him?\Sorry. Your friend met an unfortunate accident.\Oh, really?\Not bad.\You're an Enforcer from the Bureau, right? response:	Who are you?
context: You friggin' bastard!\How's it going there?\Did you kill him?\Sorry. Your friend met an unfortunate accident.\Oh, really?\Not bad.\You're an Enforcer from the Bureau, right?\Who are you? response:	Why don't we have a little talk?
context: How's it going there?\Did you kill him?\Sorry. Your friend met an unfortunate accident.\Oh, really?\Not bad.\You're an Enforcer from the Bureau, right?\Who are you?\Why don't we have a little talk? response:	This entire basement is designed to block electromagnetic radiation.
context: Did you kill him?\Sorry. Your friend met an unfortunate accident.\Oh, really?\Not bad.\You're an Enforcer from the Bureau, right?\Who are you?\Why don't we have a little talk?\This entire basement is designed to block electromagnetic radiation. response:	Only those of us who are inside can communicate with each other.
context: Sorry. Your friend met an unfortunate accident.\Oh, really?\Not bad.\You're an Enforcer from the Bureau, right?\Who are you?\Why don't we have a little talk?\This entire basement is designed to block electromagnetic radiation.\Only those of us who are inside can communicate with each other. response:	Your Dominator doesn't work either, does it?
context: Oh, really?\Not bad.\You're an Enforcer from the Bureau, right?\Who are you?\Why don't we have a little talk?\This entire basement is designed to block electromagnetic radiation.\Only those of us who are inside can communicate with each other.\Your Dominator doesn't work either, does it? response:	Even if you had an Inspector there with you, you wouldn't have to worry about being shot.
context: Not bad.\You're an Enforcer from the Bureau, right?\Who are you?\Why don't we have a little talk?\This entire basement is designed to block electromagnetic radiation.\Only those of us who are inside can communicate with each other.\Your Dominator doesn't work either, does it?\Even if you had an Inspector there with you, you wouldn't have to worry about being shot. response:	No matter what you said or did, they couldn't do anything to stop you.
context: You're an Enforcer from the Bureau, right?\Who are you?\Why don't we have a little talk?\This entire basement is designed to block electromagnetic radiation.\Only those of us who are inside can communicate with each other.\Your Dominator doesn't work either, does it?\Even if you had an Inspector there with you, you wouldn't have to worry about being shot.\No matter what you said or did, they couldn't do anything to stop you. response:	How does it feel?
context: Who are you?\Why don't we have a little talk?\This entire basement is designed to block electromagnetic radiation.\Only those of us who are inside can communicate with each other.\Your Dominator doesn't work either, does it?\Even if you had an Inspector there with you, you wouldn't have to worry about being shot.\No matter what you said or did, they couldn't do anything to stop you.\How does it feel? response:	To finally have your freedom again?
context: Why don't we have a little talk?\This entire basement is designed to block electromagnetic radiation.\Only those of us who are inside can communicate with each other.\Your Dominator doesn't work either, does it?\Even if you had an Inspector there with you, you wouldn't have to worry about being shot.\No matter what you said or did, they couldn't do anything to stop you.\How does it feel?\To finally have your freedom again? response:	It's a bit hard to enjoy being free in this cramped dungeon, you know?
context: This entire basement is designed to block electromagnetic radiation.\Only those of us who are inside can communicate with each other.\Your Dominator doesn't work either, does it?\Even if you had an Inspector there with you, you wouldn't have to worry about being shot.\No matter what you said or did, they couldn't do anything to stop you.\How does it feel?\To finally have your freedom again?\It's a bit hard to enjoy being free in this cramped dungeon, you know? response:	Soon we'll have freedom in the outside world too.
context: Only those of us who are inside can communicate with each other.\Your Dominator doesn't work either, does it?\Even if you had an Inspector there with you, you wouldn't have to worry about being shot.\No matter what you said or did, they couldn't do anything to stop you.\How does it feel?\To finally have your freedom again?\It's a bit hard to enjoy being free in this cramped dungeon, you know?\Soon we'll have freedom in the outside world too. response:	If we destroy the Sibyl System,
context: Your Dominator doesn't work either, does it?\Even if you had an Inspector there with you, you wouldn't have to worry about being shot.\No matter what you said or did, they couldn't do anything to stop you.\How does it feel?\To finally have your freedom again?\It's a bit hard to enjoy being free in this cramped dungeon, you know?\Soon we'll have freedom in the outside world too.\If we destroy the Sibyl System, response:	this crazy world will be overturned from its very foundations.
context: Even if you had an Inspector there with you, you wouldn't have to worry about being shot.\No matter what you said or did, they couldn't do anything to stop you.\How does it feel?\To finally have your freedom again?\It's a bit hard to enjoy being free in this cramped dungeon, you know?\Soon we'll have freedom in the outside world too.\If we destroy the Sibyl System,\this crazy world will be overturned from its very foundations. response:	Hey, hey, are you serious?
context: No matter what you said or did, they couldn't do anything to stop you.\How does it feel?\To finally have your freedom again?\It's a bit hard to enjoy being free in this cramped dungeon, you know?\Soon we'll have freedom in the outside world too.\If we destroy the Sibyl System,\this crazy world will be overturned from its very foundations.\Hey, hey, are you serious? response:	This isn't a joke.
context: How does it feel?\To finally have your freedom again?\It's a bit hard to enjoy being free in this cramped dungeon, you know?\Soon we'll have freedom in the outside world too.\If we destroy the Sibyl System,\this crazy world will be overturned from its very foundations.\Hey, hey, are you serious?\This isn't a joke. response:	Behind the door that I'm facing right now is the core of the Sibyl System.
context: To finally have your freedom again?\It's a bit hard to enjoy being free in this cramped dungeon, you know?\Soon we'll have freedom in the outside world too.\If we destroy the Sibyl System,\this crazy world will be overturned from its very foundations.\Hey, hey, are you serious?\This isn't a joke.\Behind the door that I'm facing right now is the core of the Sibyl System. response:	What?!
context: It's a bit hard to enjoy being free in this cramped dungeon, you know?\Soon we'll have freedom in the outside world too.\If we destroy the Sibyl System,\this crazy world will be overturned from its very foundations.\Hey, hey, are you serious?\This isn't a joke.\Behind the door that I'm facing right now is the core of the Sibyl System.\What?! response:	You and I are the same.
context: Soon we'll have freedom in the outside world too.\If we destroy the Sibyl System,\this crazy world will be overturned from its very foundations.\Hey, hey, are you serious?\This isn't a joke.\Behind the door that I'm facing right now is the core of the Sibyl System.\What?!\You and I are the same. response:	We're latent criminals.
context: If we destroy the Sibyl System,\this crazy world will be overturned from its very foundations.\Hey, hey, are you serious?\This isn't a joke.\Behind the door that I'm facing right now is the core of the Sibyl System.\What?!\You and I are the same.\We're latent criminals. response:	I live like a rat, sneaking from hole to hole,
context: this crazy world will be overturned from its very foundations.\Hey, hey, are you serious?\This isn't a joke.\Behind the door that I'm facing right now is the core of the Sibyl System.\What?!\You and I are the same.\We're latent criminals.\I live like a rat, sneaking from hole to hole, response:	and you live like a disposable hunting dog wearing a collar.
context: Hey, hey, are you serious?\This isn't a joke.\Behind the door that I'm facing right now is the core of the Sibyl System.\What?!\You and I are the same.\We're latent criminals.\I live like a rat, sneaking from hole to hole,\and you live like a disposable hunting dog wearing a collar. response:	Hey, tell me what you really think.
context: This isn't a joke.\Behind the door that I'm facing right now is the core of the Sibyl System.\What?!\You and I are the same.\We're latent criminals.\I live like a rat, sneaking from hole to hole,\and you live like a disposable hunting dog wearing a collar.\Hey, tell me what you really think. response:	How do you feel when you see those who took everything away from us,
context: Behind the door that I'm facing right now is the core of the Sibyl System.\What?!\You and I are the same.\We're latent criminals.\I live like a rat, sneaking from hole to hole,\and you live like a disposable hunting dog wearing a collar.\Hey, tell me what you really think.\How do you feel when you see those who took everything away from us, response:	those who treated us like scum, killing each other all over town?
context: What?!\You and I are the same.\We're latent criminals.\I live like a rat, sneaking from hole to hole,\and you live like a disposable hunting dog wearing a collar.\Hey, tell me what you really think.\How do you feel when you see those who took everything away from us,\those who treated us like scum, killing each other all over town? response:	Don't you think it serves them right?
context: You and I are the same.\We're latent criminals.\I live like a rat, sneaking from hole to hole,\and you live like a disposable hunting dog wearing a collar.\Hey, tell me what you really think.\How do you feel when you see those who took everything away from us,\those who treated us like scum, killing each other all over town?\Don't you think it serves them right? response:	Yeah, I completely agree.
context: We're latent criminals.\I live like a rat, sneaking from hole to hole,\and you live like a disposable hunting dog wearing a collar.\Hey, tell me what you really think.\How do you feel when you see those who took everything away from us,\those who treated us like scum, killing each other all over town?\Don't you think it serves them right?\Yeah, I completely agree. response:	To be honest, I was pleased.
context: I live like a rat, sneaking from hole to hole,\and you live like a disposable hunting dog wearing a collar.\Hey, tell me what you really think.\How do you feel when you see those who took everything away from us,\those who treated us like scum, killing each other all over town?\Don't you think it serves them right?\Yeah, I completely agree.\To be honest, I was pleased. response:	No matter where I went, I was treated like a murderous animal.
context: and you live like a disposable hunting dog wearing a collar.\Hey, tell me what you really think.\How do you feel when you see those who took everything away from us,\those who treated us like scum, killing each other all over town?\Don't you think it serves them right?\Yeah, I completely agree.\To be honest, I was pleased.\No matter where I went, I was treated like a murderous animal. response:	But now it's they who are the animals.
context: Hey, tell me what you really think.\How do you feel when you see those who took everything away from us,\those who treated us like scum, killing each other all over town?\Don't you think it serves them right?\Yeah, I completely agree.\To be honest, I was pleased.\No matter where I went, I was treated like a murderous animal.\But now it's they who are the animals. response:	I wonder what goes through their minds as they feel their friends' blood splatter all over them.
context: How do you feel when you see those who took everything away from us,\those who treated us like scum, killing each other all over town?\Don't you think it serves them right?\Yeah, I completely agree.\To be honest, I was pleased.\No matter where I went, I was treated like a murderous animal.\But now it's they who are the animals.\I wonder what goes through their minds as they feel their friends' blood splatter all over them. response:	Then...
context: those who treated us like scum, killing each other all over town?\Don't you think it serves them right?\Yeah, I completely agree.\To be honest, I was pleased.\No matter where I went, I was treated like a murderous animal.\But now it's they who are the animals.\I wonder what goes through their minds as they feel their friends' blood splatter all over them.\Then... response:	Don't get me wrong, you slimy bastard!
context: Don't you think it serves them right?\Yeah, I completely agree.\To be honest, I was pleased.\No matter where I went, I was treated like a murderous animal.\But now it's they who are the animals.\I wonder what goes through their minds as they feel their friends' blood splatter all over them.\Then...\Don't get me wrong, you slimy bastard! response:	Sibyl is a load of shit, but you guys reek just as badly.
context: Yeah, I completely agree.\To be honest, I was pleased.\No matter where I went, I was treated like a murderous animal.\But now it's they who are the animals.\I wonder what goes through their minds as they feel their friends' blood splatter all over them.\Then...\Don't get me wrong, you slimy bastard!\Sibyl is a load of shit, but you guys reek just as badly. response:	Who do you think you are, manipulating others
context: To be honest, I was pleased.\No matter where I went, I was treated like a murderous animal.\But now it's they who are the animals.\I wonder what goes through their minds as they feel their friends' blood splatter all over them.\Then...\Don't get me wrong, you slimy bastard!\Sibyl is a load of shit, but you guys reek just as badly.\Who do you think you are, manipulating others response:	and talking about whether to let them live or die?!
context: No matter where I went, I was treated like a murderous animal.\But now it's they who are the animals.\I wonder what goes through their minds as they feel their friends' blood splatter all over them.\Then...\Don't get me wrong, you slimy bastard!\Sibyl is a load of shit, but you guys reek just as badly.\Who do you think you are, manipulating others\and talking about whether to let them live or die?! response:	If Sibyl is God, then who are you supposed to be? The Devil?
context: But now it's they who are the animals.\I wonder what goes through their minds as they feel their friends' blood splatter all over them.\Then...\Don't get me wrong, you slimy bastard!\Sibyl is a load of shit, but you guys reek just as badly.\Who do you think you are, manipulating others\and talking about whether to let them live or die?!\If Sibyl is God, then who are you supposed to be? The Devil? response:	Don't make me laugh!
context: I wonder what goes through their minds as they feel their friends' blood splatter all over them.\Then...\Don't get me wrong, you slimy bastard!\Sibyl is a load of shit, but you guys reek just as badly.\Who do you think you are, manipulating others\and talking about whether to let them live or die?!\If Sibyl is God, then who are you supposed to be? The Devil?\Don't make me laugh! response:	We're just human refuse who can do nothing but envy the happiness others have.
context: Then...\Don't get me wrong, you slimy bastard!\Sibyl is a load of shit, but you guys reek just as badly.\Who do you think you are, manipulating others\and talking about whether to let them live or die?!\If Sibyl is God, then who are you supposed to be? The Devil?\Don't make me laugh!\We're just human refuse who can do nothing but envy the happiness others have. response:	I don't care if thousands of citizens in this damn town end up dying.
context: Don't get me wrong, you slimy bastard!\Sibyl is a load of shit, but you guys reek just as badly.\Who do you think you are, manipulating others\and talking about whether to let them live or die?!\If Sibyl is God, then who are you supposed to be? The Devil?\Don't make me laugh!\We're just human refuse who can do nothing but envy the happiness others have.\I don't care if thousands of citizens in this damn town end up dying. response:	But I can't stand the idea of the guys who're making them kill each other getting off scot-free.
context: Sibyl is a load of shit, but you guys reek just as badly.\Who do you think you are, manipulating others\and talking about whether to let them live or die?!\If Sibyl is God, then who are you supposed to be? The Devil?\Don't make me laugh!\We're just human refuse who can do nothing but envy the happiness others have.\I don't care if thousands of citizens in this damn town end up dying.\But I can't stand the idea of the guys who're making them kill each other getting off scot-free. response:	You should be the first to die!
context: Who do you think you are, manipulating others\and talking about whether to let them live or die?!\If Sibyl is God, then who are you supposed to be? The Devil?\Don't make me laugh!\We're just human refuse who can do nothing but envy the happiness others have.\I don't care if thousands of citizens in this damn town end up dying.\But I can't stand the idea of the guys who're making them kill each other getting off scot-free.\You should be the first to die! response:	You should die over and over, once for each person you killed!
