context: Are you alone? response:	I always keep my promises
context: Isn't it the same in Japan?\Although new international laws were established after the war,\I can't believe nations have given up on researching supernatural beings and the gate.\Japan included.\Yes.\In the U.K., there is very little public support for research on supernatural beings,\especially after the impasse that occurred in South America.\In order to avoid risk and efficiently obtain information, response:	we have concluded that it is in our best interests to follow standard procedures.
context: Although new international laws were established after the war,\I can't believe nations have given up on researching supernatural beings and the gate.\Japan included.\Yes.\In the U.K., there is very little public support for research on supernatural beings,\especially after the impasse that occurred in South America.\In order to avoid risk and efficiently obtain information,\we have concluded that it is in our best interests to follow standard procedures. response:	I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though.
context: I can't believe nations have given up on researching supernatural beings and the gate.\Japan included.\Yes.\In the U.K., there is very little public support for research on supernatural beings,\especially after the impasse that occurred in South America.\In order to avoid risk and efficiently obtain information,\we have concluded that it is in our best interests to follow standard procedures.\I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though. response:	It's me.
context: Japan included.\Yes.\In the U.K., there is very little public support for research on supernatural beings,\especially after the impasse that occurred in South America.\In order to avoid risk and efficiently obtain information,\we have concluded that it is in our best interests to follow standard procedures.\I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though.\It's me. response:	What's up?
context: Yes.\In the U.K., there is very little public support for research on supernatural beings,\especially after the impasse that occurred in South America.\In order to avoid risk and efficiently obtain information,\we have concluded that it is in our best interests to follow standard procedures.\I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though.\It's me.\What's up? response:	Yeah.
context: In the U.K., there is very little public support for research on supernatural beings,\especially after the impasse that occurred in South America.\In order to avoid risk and efficiently obtain information,\we have concluded that it is in our best interests to follow standard procedures.\I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though.\It's me.\What's up?\Yeah. response:	Yes?
context: especially after the impasse that occurred in South America.\In order to avoid risk and efficiently obtain information,\we have concluded that it is in our best interests to follow standard procedures.\I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though.\It's me.\What's up?\Yeah.\Yes? response:	Kouno?
context: In order to avoid risk and efficiently obtain information,\we have concluded that it is in our best interests to follow standard procedures.\I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though.\It's me.\What's up?\Yeah.\Yes?\Kouno? response:	Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc.
context: we have concluded that it is in our best interests to follow standard procedures.\I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though.\It's me.\What's up?\Yeah.\Yes?\Kouno?\Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc. response:	How do you know that?
context: I did advise them to have her killed off for her own sake or have her return to her life as a prostitute, though.\It's me.\What's up?\Yeah.\Yes?\Kouno?\Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc.\How do you know that? response:	They're talking about it in the back of the car.
context: It's me.\What's up?\Yeah.\Yes?\Kouno?\Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc.\How do you know that?\They're talking about it in the back of the car. response:	My, my.
context: What's up?\Yeah.\Yes?\Kouno?\Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc.\How do you know that?\They're talking about it in the back of the car.\My, my. response:	We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA...
context: Yeah.\Yes?\Kouno?\Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc.\How do you know that?\They're talking about it in the back of the car.\My, my.\We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA... response:	It doesn't matter. Kill them.
context: Yes?\Kouno?\Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc.\How do you know that?\They're talking about it in the back of the car.\My, my.\We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA...\It doesn't matter. Kill them. response:	I'll have Inspector Kirihara take care of the paperwork.
context: Kouno?\Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc.\How do you know that?\They're talking about it in the back of the car.\My, my.\We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA...\It doesn't matter. Kill them.\I'll have Inspector Kirihara take care of the paperwork. response:	I'm going to stop the car.
context: Boss, it seems like there's an organization trying to approach the helicopter transporting Havoc.\How do you know that?\They're talking about it in the back of the car.\My, my.\We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA...\It doesn't matter. Kill them.\I'll have Inspector Kirihara take care of the paperwork.\I'm going to stop the car. response:	Kouno, Matsumoto-san, confirm the current situation.
context: How do you know that?\They're talking about it in the back of the car.\My, my.\We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA...\It doesn't matter. Kill them.\I'll have Inspector Kirihara take care of the paperwork.\I'm going to stop the car.\Kouno, Matsumoto-san, confirm the current situation. response:	Saitou, contact the division manager.
context: They're talking about it in the back of the car.\My, my.\We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA...\It doesn't matter. Kill them.\I'll have Inspector Kirihara take care of the paperwork.\I'm going to stop the car.\Kouno, Matsumoto-san, confirm the current situation.\Saitou, contact the division manager. response:	Tell him to issue a warning to the CIA through diplomatic routes.
context: My, my.\We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA...\It doesn't matter. Kill them.\I'll have Inspector Kirihara take care of the paperwork.\I'm going to stop the car.\Kouno, Matsumoto-san, confirm the current situation.\Saitou, contact the division manager.\Tell him to issue a warning to the CIA through diplomatic routes. response:	Now!
context: We transferred it to Pandora to prevent it from becoming proprietary property, yet the CIA...\It doesn't matter. Kill them.\I'll have Inspector Kirihara take care of the paperwork.\I'm going to stop the car.\Kouno, Matsumoto-san, confirm the current situation.\Saitou, contact the division manager.\Tell him to issue a warning to the CIA through diplomatic routes.\Now! response:	I want an explanation.
context: It doesn't matter. Kill them.\I'll have Inspector Kirihara take care of the paperwork.\I'm going to stop the car.\Kouno, Matsumoto-san, confirm the current situation.\Saitou, contact the division manager.\Tell him to issue a warning to the CIA through diplomatic routes.\Now!\I want an explanation. response:	Explanation? The CIA came to retrieve her at the very last moment,
context: I'll have Inspector Kirihara take care of the paperwork.\I'm going to stop the car.\Kouno, Matsumoto-san, confirm the current situation.\Saitou, contact the division manager.\Tell him to issue a warning to the CIA through diplomatic routes.\Now!\I want an explanation.\Explanation? The CIA came to retrieve her at the very last moment, response:	unaware that they fell for our bluff.
context: I'm going to stop the car.\Kouno, Matsumoto-san, confirm the current situation.\Saitou, contact the division manager.\Tell him to issue a warning to the CIA through diplomatic routes.\Now!\I want an explanation.\Explanation? The CIA came to retrieve her at the very last moment,\unaware that they fell for our bluff. response:	Bluff?
context: Kouno, Matsumoto-san, confirm the current situation.\Saitou, contact the division manager.\Tell him to issue a warning to the CIA through diplomatic routes.\Now!\I want an explanation.\Explanation? The CIA came to retrieve her at the very last moment,\unaware that they fell for our bluff.\Bluff? response:	Yes, she's in there.
context: Saitou, contact the division manager.\Tell him to issue a warning to the CIA through diplomatic routes.\Now!\I want an explanation.\Explanation? The CIA came to retrieve her at the very last moment,\unaware that they fell for our bluff.\Bluff?\Yes, she's in there. response:	It can't be!
context: Tell him to issue a warning to the CIA through diplomatic routes.\Now!\I want an explanation.\Explanation? The CIA came to retrieve her at the very last moment,\unaware that they fell for our bluff.\Bluff?\Yes, she's in there.\It can't be! response:	How cruel.
context: Now!\I want an explanation.\Explanation? The CIA came to retrieve her at the very last moment,\unaware that they fell for our bluff.\Bluff?\Yes, she's in there.\It can't be!\How cruel. response:	That aside, since when...
context: I want an explanation.\Explanation? The CIA came to retrieve her at the very last moment,\unaware that they fell for our bluff.\Bluff?\Yes, she's in there.\It can't be!\How cruel.\That aside, since when... response:	It's not that I don't trust you.
context: Explanation? The CIA came to retrieve her at the very last moment,\unaware that they fell for our bluff.\Bluff?\Yes, she's in there.\It can't be!\How cruel.\That aside, since when...\It's not that I don't trust you. response:	I just wanted to know how much information would be leaked.
context: unaware that they fell for our bluff.\Bluff?\Yes, she's in there.\It can't be!\How cruel.\That aside, since when...\It's not that I don't trust you.\I just wanted to know how much information would be leaked. response:	My sincere apologies.
context: Bluff?\Yes, she's in there.\It can't be!\How cruel.\That aside, since when...\It's not that I don't trust you.\I just wanted to know how much information would be leaked.\My sincere apologies. response:	Where are we passing by now?
context: Yes, she's in there.\It can't be!\How cruel.\That aside, since when...\It's not that I don't trust you.\I just wanted to know how much information would be leaked.\My sincere apologies.\Where are we passing by now? response:	Rest assured, we're heading toward Pandora headquarters.
context: It can't be!\How cruel.\That aside, since when...\It's not that I don't trust you.\I just wanted to know how much information would be leaked.\My sincere apologies.\Where are we passing by now?\Rest assured, we're heading toward Pandora headquarters. response:	What's wrong?
context: How cruel.\That aside, since when...\It's not that I don't trust you.\I just wanted to know how much information would be leaked.\My sincere apologies.\Where are we passing by now?\Rest assured, we're heading toward Pandora headquarters.\What's wrong? response:	That is... a person just...
context: That aside, since when...\It's not that I don't trust you.\I just wanted to know how much information would be leaked.\My sincere apologies.\Where are we passing by now?\Rest assured, we're heading toward Pandora headquarters.\What's wrong?\That is... a person just... response:	There isn't anyone around here.
context: It's not that I don't trust you.\I just wanted to know how much information would be leaked.\My sincere apologies.\Where are we passing by now?\Rest assured, we're heading toward Pandora headquarters.\What's wrong?\That is... a person just...\There isn't anyone around here. response:	I'm sure there was...
context: I just wanted to know how much information would be leaked.\My sincere apologies.\Where are we passing by now?\Rest assured, we're heading toward Pandora headquarters.\What's wrong?\That is... a person just...\There isn't anyone around here.\I'm sure there was... response:	It's me.
context: My sincere apologies.\Where are we passing by now?\Rest assured, we're heading toward Pandora headquarters.\What's wrong?\That is... a person just...\There isn't anyone around here.\I'm sure there was...\It's me. response:	It's here.
context: Where are we passing by now?\Rest assured, we're heading toward Pandora headquarters.\What's wrong?\That is... a person just...\There isn't anyone around here.\I'm sure there was...\It's me.\It's here. response:	H-Hey...
context: Rest assured, we're heading toward Pandora headquarters.\What's wrong?\That is... a person just...\There isn't anyone around here.\I'm sure there was...\It's me.\It's here.\H-Hey... response:	Mr. Simon...
context: What's wrong?\That is... a person just...\There isn't anyone around here.\I'm sure there was...\It's me.\It's here.\H-Hey...\Mr. Simon... response:	We're still in the middle of a convoy.
context: That is... a person just...\There isn't anyone around here.\I'm sure there was...\It's me.\It's here.\H-Hey...\Mr. Simon...\We're still in the middle of a convoy. response:	Apparently we fell into a trap.
context: There isn't anyone around here.\I'm sure there was...\It's me.\It's here.\H-Hey...\Mr. Simon...\We're still in the middle of a convoy.\Apparently we fell into a trap. response:	Trap?
context: I'm sure there was...\It's me.\It's here.\H-Hey...\Mr. Simon...\We're still in the middle of a convoy.\Apparently we fell into a trap.\Trap? response:	It's here.
context: It's me.\It's here.\H-Hey...\Mr. Simon...\We're still in the middle of a convoy.\Apparently we fell into a trap.\Trap?\It's here. response:	Boss!
context: It's here.\H-Hey...\Mr. Simon...\We're still in the middle of a convoy.\Apparently we fell into a trap.\Trap?\It's here.\Boss! response:	That's the person who ran by the car.
context: H-Hey...\Mr. Simon...\We're still in the middle of a convoy.\Apparently we fell into a trap.\Trap?\It's here.\Boss!\That's the person who ran by the car. response:	That's...
context: Mr. Simon...\We're still in the middle of a convoy.\Apparently we fell into a trap.\Trap?\It's here.\Boss!\That's the person who ran by the car.\That's... response:	The black Grim Reaper.
context: We're still in the middle of a convoy.\Apparently we fell into a trap.\Trap?\It's here.\Boss!\That's the person who ran by the car.\That's...\The black Grim Reaper. response:	What's the matter?
context: Apparently we fell into a trap.\Trap?\It's here.\Boss!\That's the person who ran by the car.\That's...\The black Grim Reaper.\What's the matter? response:	Boss, they're contractors!
context: Trap?\It's here.\Boss!\That's the person who ran by the car.\That's...\The black Grim Reaper.\What's the matter?\Boss, they're contractors! response:	Headquarters! Headquarters, do you read me?
context: It's here.\Boss!\That's the person who ran by the car.\That's...\The black Grim Reaper.\What's the matter?\Boss, they're contractors!\Headquarters! Headquarters, do you read me? response:	Call for assistance immediately!
context: Boss!\That's the person who ran by the car.\That's...\The black Grim Reaper.\What's the matter?\Boss, they're contractors!\Headquarters! Headquarters, do you read me?\Call for assistance immediately! response:	I'm terribly sorry.
context: That's the person who ran by the car.\That's...\The black Grim Reaper.\What's the matter?\Boss, they're contractors!\Headquarters! Headquarters, do you read me?\Call for assistance immediately!\I'm terribly sorry. response:	Focus on retrieving the abducted Havoc for the time being.
context: That's...\The black Grim Reaper.\What's the matter?\Boss, they're contractors!\Headquarters! Headquarters, do you read me?\Call for assistance immediately!\I'm terribly sorry.\Focus on retrieving the abducted Havoc for the time being. response:	Yes, sir.
context: The black Grim Reaper.\What's the matter?\Boss, they're contractors!\Headquarters! Headquarters, do you read me?\Call for assistance immediately!\I'm terribly sorry.\Focus on retrieving the abducted Havoc for the time being.\Yes, sir. response:	Do you think you can resolve the issue that easily?
context: What's the matter?\Boss, they're contractors!\Headquarters! Headquarters, do you read me?\Call for assistance immediately!\I'm terribly sorry.\Focus on retrieving the abducted Havoc for the time being.\Yes, sir.\Do you think you can resolve the issue that easily? response:	I didn't expect the additional information would be leaked as well.
context: Boss, they're contractors!\Headquarters! Headquarters, do you read me?\Call for assistance immediately!\I'm terribly sorry.\Focus on retrieving the abducted Havoc for the time being.\Yes, sir.\Do you think you can resolve the issue that easily?\I didn't expect the additional information would be leaked as well. response:	Japanese police have no administrative control over confidential information,
context: Headquarters! Headquarters, do you read me?\Call for assistance immediately!\I'm terribly sorry.\Focus on retrieving the abducted Havoc for the time being.\Yes, sir.\Do you think you can resolve the issue that easily?\I didn't expect the additional information would be leaked as well.\Japanese police have no administrative control over confidential information, response:	just as November 11 said.
context: Call for assistance immediately!\I'm terribly sorry.\Focus on retrieving the abducted Havoc for the time being.\Yes, sir.\Do you think you can resolve the issue that easily?\I didn't expect the additional information would be leaked as well.\Japanese police have no administrative control over confidential information,\just as November 11 said. response:	November 11?
context: I'm terribly sorry.\Focus on retrieving the abducted Havoc for the time being.\Yes, sir.\Do you think you can resolve the issue that easily?\I didn't expect the additional information would be leaked as well.\Japanese police have no administrative control over confidential information,\just as November 11 said.\November 11? response:	Jack Simon's code name, the diplomat who accompanied you.
context: Focus on retrieving the abducted Havoc for the time being.\Yes, sir.\Do you think you can resolve the issue that easily?\I didn't expect the additional information would be leaked as well.\Japanese police have no administrative control over confidential information,\just as November 11 said.\November 11?\Jack Simon's code name, the diplomat who accompanied you. response:	Then he's the...
context: Yes, sir.\Do you think you can resolve the issue that easily?\I didn't expect the additional information would be leaked as well.\Japanese police have no administrative control over confidential information,\just as November 11 said.\November 11?\Jack Simon's code name, the diplomat who accompanied you.\Then he's the... response:	The top agent from MI6.
context: Do you think you can resolve the issue that easily?\I didn't expect the additional information would be leaked as well.\Japanese police have no administrative control over confidential information,\just as November 11 said.\November 11?\Jack Simon's code name, the diplomat who accompanied you.\Then he's the...\The top agent from MI6. response:	In any case, as stated in Pandora Law, Article 22,
context: I didn't expect the additional information would be leaked as well.\Japanese police have no administrative control over confidential information,\just as November 11 said.\November 11?\Jack Simon's code name, the diplomat who accompanied you.\Then he's the...\The top agent from MI6.\In any case, as stated in Pandora Law, Article 22, response:	you are to retrieve Havoc according to our instructions from this point forward.
context: Japanese police have no administrative control over confidential information,\just as November 11 said.\November 11?\Jack Simon's code name, the diplomat who accompanied you.\Then he's the...\The top agent from MI6.\In any case, as stated in Pandora Law, Article 22,\you are to retrieve Havoc according to our instructions from this point forward. response:	Is that clear?
context: just as November 11 said.\November 11?\Jack Simon's code name, the diplomat who accompanied you.\Then he's the...\The top agent from MI6.\In any case, as stated in Pandora Law, Article 22,\you are to retrieve Havoc according to our instructions from this point forward.\Is that clear? response:	Yes.
context: November 11?\Jack Simon's code name, the diplomat who accompanied you.\Then he's the...\The top agent from MI6.\In any case, as stated in Pandora Law, Article 22,\you are to retrieve Havoc according to our instructions from this point forward.\Is that clear?\Yes. response:	Public Safety Division Foreign Affairs Department 4
context: Jack Simon's code name, the diplomat who accompanied you.\Then he's the...\The top agent from MI6.\In any case, as stated in Pandora Law, Article 22,\you are to retrieve Havoc according to our instructions from this point forward.\Is that clear?\Yes.\Public Safety Division Foreign Affairs Department 4 response:	Public Safety Division Foreign Affairs Department 4
context: Then he's the...\The top agent from MI6.\In any case, as stated in Pandora Law, Article 22,\you are to retrieve Havoc according to our instructions from this point forward.\Is that clear?\Yes.\Public Safety Division Foreign Affairs Department 4\Public Safety Division Foreign Affairs Department 4 response:	I don't care if he's a triple A agent. He was outsmarted as well.
context: The top agent from MI6.\In any case, as stated in Pandora Law, Article 22,\you are to retrieve Havoc according to our instructions from this point forward.\Is that clear?\Yes.\Public Safety Division Foreign Affairs Department 4\Public Safety Division Foreign Affairs Department 4\I don't care if he's a triple A agent. He was outsmarted as well. response:	He's not that great.
context: In any case, as stated in Pandora Law, Article 22,\you are to retrieve Havoc according to our instructions from this point forward.\Is that clear?\Yes.\Public Safety Division Foreign Affairs Department 4\Public Safety Division Foreign Affairs Department 4\I don't care if he's a triple A agent. He was outsmarted as well.\He's not that great. response:	Isn't there a possibility that they let her be abducted?
context: you are to retrieve Havoc according to our instructions from this point forward.\Is that clear?\Yes.\Public Safety Division Foreign Affairs Department 4\Public Safety Division Foreign Affairs Department 4\I don't care if he's a triple A agent. He was outsmarted as well.\He's not that great.\Isn't there a possibility that they let her be abducted? response:	Why would they do that?
context: Is that clear?\Yes.\Public Safety Division Foreign Affairs Department 4\Public Safety Division Foreign Affairs Department 4\I don't care if he's a triple A agent. He was outsmarted as well.\He's not that great.\Isn't there a possibility that they let her be abducted?\Why would they do that? response:	If I knew why, I wouldn't be asking!
context: Yes.\Public Safety Division Foreign Affairs Department 4\Public Safety Division Foreign Affairs Department 4\I don't care if he's a triple A agent. He was outsmarted as well.\He's not that great.\Isn't there a possibility that they let her be abducted?\Why would they do that?\If I knew why, I wouldn't be asking! response:	Boss, a notice from the Division of Astronomy just came in.
context: Public Safety Division Foreign Affairs Department 4\Public Safety Division Foreign Affairs Department 4\I don't care if he's a triple A agent. He was outsmarted as well.\He's not that great.\Isn't there a possibility that they let her be abducted?\Why would they do that?\If I knew why, I wouldn't be asking!\Boss, a notice from the Division of Astronomy just came in. response:	Activity from BK201 was detected at the time you were attacked.
context: Public Safety Division Foreign Affairs Department 4\I don't care if he's a triple A agent. He was outsmarted as well.\He's not that great.\Isn't there a possibility that they let her be abducted?\Why would they do that?\If I knew why, I wouldn't be asking!\Boss, a notice from the Division of Astronomy just came in.\Activity from BK201 was detected at the time you were attacked. response:	BK201...
context: I don't care if he's a triple A agent. He was outsmarted as well.\He's not that great.\Isn't there a possibility that they let her be abducted?\Why would they do that?\If I knew why, I wouldn't be asking!\Boss, a notice from the Division of Astronomy just came in.\Activity from BK201 was detected at the time you were attacked.\BK201... response:	Contractors sure have a troublesome life.
context: He's not that great.\Isn't there a possibility that they let her be abducted?\Why would they do that?\If I knew why, I wouldn't be asking!\Boss, a notice from the Division of Astronomy just came in.\Activity from BK201 was detected at the time you were attacked.\BK201...\Contractors sure have a troublesome life. response:	They have to smoke tobacco and drink liquor against their will.
context: Isn't there a possibility that they let her be abducted?\Why would they do that?\If I knew why, I wouldn't be asking!\Boss, a notice from the Division of Astronomy just came in.\Activity from BK201 was detected at the time you were attacked.\BK201...\Contractors sure have a troublesome life.\They have to smoke tobacco and drink liquor against their will. response:	I like alcohol though.
context: Why would they do that?\If I knew why, I wouldn't be asking!\Boss, a notice from the Division of Astronomy just came in.\Activity from BK201 was detected at the time you were attacked.\BK201...\Contractors sure have a troublesome life.\They have to smoke tobacco and drink liquor against their will.\I like alcohol though. response:	Did you know everything was going to turn out like this,
context: If I knew why, I wouldn't be asking!\Boss, a notice from the Division of Astronomy just came in.\Activity from BK201 was detected at the time you were attacked.\BK201...\Contractors sure have a troublesome life.\They have to smoke tobacco and drink liquor against their will.\I like alcohol though.\Did you know everything was going to turn out like this, response:	November 11?
context: Boss, a notice from the Division of Astronomy just came in.\Activity from BK201 was detected at the time you were attacked.\BK201...\Contractors sure have a troublesome life.\They have to smoke tobacco and drink liquor against their will.\I like alcohol though.\Did you know everything was going to turn out like this,\November 11? response:	If I had known, I would have taken all precautionary measures.
context: Activity from BK201 was detected at the time you were attacked.\BK201...\Contractors sure have a troublesome life.\They have to smoke tobacco and drink liquor against their will.\I like alcohol though.\Did you know everything was going to turn out like this,\November 11?\If I had known, I would have taken all precautionary measures. response:	However, my measures were insufficient.
context: BK201...\Contractors sure have a troublesome life.\They have to smoke tobacco and drink liquor against their will.\I like alcohol though.\Did you know everything was going to turn out like this,\November 11?\If I had known, I would have taken all precautionary measures.\However, my measures were insufficient. response:	In other words, the answer is no.
context: Contractors sure have a troublesome life.\They have to smoke tobacco and drink liquor against their will.\I like alcohol though.\Did you know everything was going to turn out like this,\November 11?\If I had known, I would have taken all precautionary measures.\However, my measures were insufficient.\In other words, the answer is no. response:	However, from this incident, one thing's for sure.
context: They have to smoke tobacco and drink liquor against their will.\I like alcohol though.\Did you know everything was going to turn out like this,\November 11?\If I had known, I would have taken all precautionary measures.\However, my measures were insufficient.\In other words, the answer is no.\However, from this incident, one thing's for sure. response:	No diplomatic route can dissuade the organization that abducted Havoc.
context: I like alcohol though.\Did you know everything was going to turn out like this,\November 11?\If I had known, I would have taken all precautionary measures.\However, my measures were insufficient.\In other words, the answer is no.\However, from this incident, one thing's for sure.\No diplomatic route can dissuade the organization that abducted Havoc. response:	In other words...
context: Did you know everything was going to turn out like this,\November 11?\If I had known, I would have taken all precautionary measures.\However, my measures were insufficient.\In other words, the answer is no.\However, from this incident, one thing's for sure.\No diplomatic route can dissuade the organization that abducted Havoc.\In other words... response:	The enemy isn't the CIA.
context: November 11?\If I had known, I would have taken all precautionary measures.\However, my measures were insufficient.\In other words, the answer is no.\However, from this incident, one thing's for sure.\No diplomatic route can dissuade the organization that abducted Havoc.\In other words...\The enemy isn't the CIA. response:	Shinjuku Torino Theater.
context: If I had known, I would have taken all precautionary measures.\However, my measures were insufficient.\In other words, the answer is no.\However, from this incident, one thing's for sure.\No diplomatic route can dissuade the organization that abducted Havoc.\In other words...\The enemy isn't the CIA.\Shinjuku Torino Theater. response:	Parking available.
context: However, my measures were insufficient.\In other words, the answer is no.\However, from this incident, one thing's for sure.\No diplomatic route can dissuade the organization that abducted Havoc.\In other words...\The enemy isn't the CIA.\Shinjuku Torino Theater.\Parking available. response:	Shinjuku Torino Theater.
context: In other words, the answer is no.\However, from this incident, one thing's for sure.\No diplomatic route can dissuade the organization that abducted Havoc.\In other words...\The enemy isn't the CIA.\Shinjuku Torino Theater.\Parking available.\Shinjuku Torino Theater. response:	Parking available.
context: However, from this incident, one thing's for sure.\No diplomatic route can dissuade the organization that abducted Havoc.\In other words...\The enemy isn't the CIA.\Shinjuku Torino Theater.\Parking available.\Shinjuku Torino Theater.\Parking available. response:	Well...
context: No diplomatic route can dissuade the organization that abducted Havoc.\In other words...\The enemy isn't the CIA.\Shinjuku Torino Theater.\Parking available.\Shinjuku Torino Theater.\Parking available.\Well... response:	Next time, it'll be our turn to hunt him down...
context: In other words...\The enemy isn't the CIA.\Shinjuku Torino Theater.\Parking available.\Shinjuku Torino Theater.\Parking available.\Well...\Next time, it'll be our turn to hunt him down... response:	Mr. 201BK.
context: The enemy isn't the CIA.\Shinjuku Torino Theater.\Parking available.\Shinjuku Torino Theater.\Parking available.\Well...\Next time, it'll be our turn to hunt him down...\Mr. 201BK. response:	She's calm.
context: Shinjuku Torino Theater.\Parking available.\Shinjuku Torino Theater.\Parking available.\Well...\Next time, it'll be our turn to hunt him down...\Mr. 201BK.\She's calm. response:	I don't see anything out of the ordinary.
context: Parking available.\Shinjuku Torino Theater.\Parking available.\Well...\Next time, it'll be our turn to hunt him down...\Mr. 201BK.\She's calm.\I don't see anything out of the ordinary. response:	Got it.
context: Shinjuku Torino Theater.\Parking available.\Well...\Next time, it'll be our turn to hunt him down...\Mr. 201BK.\She's calm.\I don't see anything out of the ordinary.\Got it. response:	We'll deliver her to the syndicate tomorrow morning.
context: Parking available.\Well...\Next time, it'll be our turn to hunt him down...\Mr. 201BK.\She's calm.\I don't see anything out of the ordinary.\Got it.\We'll deliver her to the syndicate tomorrow morning. response:	It seems that they want to keep Havoc away from the gate at any cost.
context: Well...\Next time, it'll be our turn to hunt him down...\Mr. 201BK.\She's calm.\I don't see anything out of the ordinary.\Got it.\We'll deliver her to the syndicate tomorrow morning.\It seems that they want to keep Havoc away from the gate at any cost. response:	Even I don't want to keep a monster like that around for too long.
context: Next time, it'll be our turn to hunt him down...\Mr. 201BK.\She's calm.\I don't see anything out of the ordinary.\Got it.\We'll deliver her to the syndicate tomorrow morning.\It seems that they want to keep Havoc away from the gate at any cost.\Even I don't want to keep a monster like that around for too long. response:	Monster, huh?
context: Mr. 201BK.\She's calm.\I don't see anything out of the ordinary.\Got it.\We'll deliver her to the syndicate tomorrow morning.\It seems that they want to keep Havoc away from the gate at any cost.\Even I don't want to keep a monster like that around for too long.\Monster, huh? response:	Hey, where the hell is Havoc?
context: She's calm.\I don't see anything out of the ordinary.\Got it.\We'll deliver her to the syndicate tomorrow morning.\It seems that they want to keep Havoc away from the gate at any cost.\Even I don't want to keep a monster like that around for too long.\Monster, huh?\Hey, where the hell is Havoc? response:	I don't see Hei either.
context: I don't see anything out of the ordinary.\Got it.\We'll deliver her to the syndicate tomorrow morning.\It seems that they want to keep Havoc away from the gate at any cost.\Even I don't want to keep a monster like that around for too long.\Monster, huh?\Hey, where the hell is Havoc?\I don't see Hei either. response:	Yin, where are they?
context: Got it.\We'll deliver her to the syndicate tomorrow morning.\It seems that they want to keep Havoc away from the gate at any cost.\Even I don't want to keep a monster like that around for too long.\Monster, huh?\Hey, where the hell is Havoc?\I don't see Hei either.\Yin, where are they? response:	They left.
context: We'll deliver her to the syndicate tomorrow morning.\It seems that they want to keep Havoc away from the gate at any cost.\Even I don't want to keep a monster like that around for too long.\Monster, huh?\Hey, where the hell is Havoc?\I don't see Hei either.\Yin, where are they?\They left. response:	Left?
context: It seems that they want to keep Havoc away from the gate at any cost.\Even I don't want to keep a monster like that around for too long.\Monster, huh?\Hey, where the hell is Havoc?\I don't see Hei either.\Yin, where are they?\They left.\Left? response:	Where?
context: Even I don't want to keep a monster like that around for too long.\Monster, huh?\Hey, where the hell is Havoc?\I don't see Hei either.\Yin, where are they?\They left.\Left?\Where? response:	I don't know.
context: Monster, huh?\Hey, where the hell is Havoc?\I don't see Hei either.\Yin, where are they?\They left.\Left?\Where?\I don't know. response:	Who would have thought you'd still be alive,
context: Hey, where the hell is Havoc?\I don't see Hei either.\Yin, where are they?\They left.\Left?\Where?\I don't know.\Who would have thought you'd still be alive, response:	Carmine?
context: I don't see Hei either.\Yin, where are they?\They left.\Left?\Where?\I don't know.\Who would have thought you'd still be alive,\Carmine? response:	It's been a while since someone called me by that name.
context: Yin, where are they?\They left.\Left?\Where?\I don't know.\Who would have thought you'd still be alive,\Carmine?\It's been a while since someone called me by that name. response:	What happened during that time?
context: They left.\Left?\Where?\I don't know.\Who would have thought you'd still be alive,\Carmine?\It's been a while since someone called me by that name.\What happened during that time? response:	Where's my sister?
context: Left?\Where?\I don't know.\Who would have thought you'd still be alive,\Carmine?\It's been a while since someone called me by that name.\What happened during that time?\Where's my sister? response:	Where's Pai?
context: Where?\I don't know.\Who would have thought you'd still be alive,\Carmine?\It's been a while since someone called me by that name.\What happened during that time?\Where's my sister?\Where's Pai? response:	You call out your sister's name.
context: I don't know.\Who would have thought you'd still be alive,\Carmine?\It's been a while since someone called me by that name.\What happened during that time?\Where's my sister?\Where's Pai?\You call out your sister's name. response:	It drifts into the air and disappears into the crimson sky.
context: Who would have thought you'd still be alive,\Carmine?\It's been a while since someone called me by that name.\What happened during that time?\Where's my sister?\Where's Pai?\You call out your sister's name.\It drifts into the air and disappears into the crimson sky. response:	A regressor,
