context: Ladies and gentlemen, good evening. response:	When he visits his fiancee,
context: Get out.\I will now pass judgment.\The defendant is found guilty of the crimes of larceny and insulting the aristocracy,\There were extenuating circumstances!\You'll get no sympathy from me!\Trash like you disturb the public order of the kingdom...\You have a visitor.\Hey. Do you miss the outside world? response:	Are you getting along with Valentine?
context: I will now pass judgment.\The defendant is found guilty of the crimes of larceny and insulting the aristocracy,\There were extenuating circumstances!\You'll get no sympathy from me!\Trash like you disturb the public order of the kingdom...\You have a visitor.\Hey. Do you miss the outside world?\Are you getting along with Valentine? response:	I've heard that you beat her severely.
context: The defendant is found guilty of the crimes of larceny and insulting the aristocracy,\There were extenuating circumstances!\You'll get no sympathy from me!\Trash like you disturb the public order of the kingdom...\You have a visitor.\Hey. Do you miss the outside world?\Are you getting along with Valentine?\I've heard that you beat her severely. response:	Who on earth told you that?!
context: There were extenuating circumstances!\You'll get no sympathy from me!\Trash like you disturb the public order of the kingdom...\You have a visitor.\Hey. Do you miss the outside world?\Are you getting along with Valentine?\I've heard that you beat her severely.\Who on earth told you that?! response:	It's just a rumor.
context: You'll get no sympathy from me!\Trash like you disturb the public order of the kingdom...\You have a visitor.\Hey. Do you miss the outside world?\Are you getting along with Valentine?\I've heard that you beat her severely.\Who on earth told you that?!\It's just a rumor. response:	I like to think that I'm attentive as can be to that girl.
context: Trash like you disturb the public order of the kingdom...\You have a visitor.\Hey. Do you miss the outside world?\Are you getting along with Valentine?\I've heard that you beat her severely.\Who on earth told you that?!\It's just a rumor.\I like to think that I'm attentive as can be to that girl. response:	Just because she's the daughter of his old wife doesn't mean that l...
context: You have a visitor.\Hey. Do you miss the outside world?\Are you getting along with Valentine?\I've heard that you beat her severely.\Who on earth told you that?!\It's just a rumor.\I like to think that I'm attentive as can be to that girl.\Just because she's the daughter of his old wife doesn't mean that l... response:	Driver? Aren't we going a little too fast?
context: Hey. Do you miss the outside world?\Are you getting along with Valentine?\I've heard that you beat her severely.\Who on earth told you that?!\It's just a rumor.\I like to think that I'm attentive as can be to that girl.\Just because she's the daughter of his old wife doesn't mean that l...\Driver? Aren't we going a little too fast? response:	It's not me, Madame!
context: Are you getting along with Valentine?\I've heard that you beat her severely.\Who on earth told you that?!\It's just a rumor.\I like to think that I'm attentive as can be to that girl.\Just because she's the daughter of his old wife doesn't mean that l...\Driver? Aren't we going a little too fast?\It's not me, Madame! response:	The horses! They aren't obeying me!
context: I've heard that you beat her severely.\Who on earth told you that?!\It's just a rumor.\I like to think that I'm attentive as can be to that girl.\Just because she's the daughter of his old wife doesn't mean that l...\Driver? Aren't we going a little too fast?\It's not me, Madame!\The horses! They aren't obeying me! response:	You are not harmed, I trust?
context: Who on earth told you that?!\It's just a rumor.\I like to think that I'm attentive as can be to that girl.\Just because she's the daughter of his old wife doesn't mean that l...\Driver? Aren't we going a little too fast?\It's not me, Madame!\The horses! They aren't obeying me!\You are not harmed, I trust? response:	Why, it's the Count of Monte Cristo!
context: It's just a rumor.\I like to think that I'm attentive as can be to that girl.\Just because she's the daughter of his old wife doesn't mean that l...\Driver? Aren't we going a little too fast?\It's not me, Madame!\The horses! They aren't obeying me!\You are not harmed, I trust?\Why, it's the Count of Monte Cristo! response:	We have you to thank for our lives.
context: I like to think that I'm attentive as can be to that girl.\Just because she's the daughter of his old wife doesn't mean that l...\Driver? Aren't we going a little too fast?\It's not me, Madame!\The horses! They aren't obeying me!\You are not harmed, I trust?\Why, it's the Count of Monte Cristo!\We have you to thank for our lives. response:	It was fortunate indeed that I had on hand one who is skilled in the handling of horses.
context: Just because she's the daughter of his old wife doesn't mean that l...\Driver? Aren't we going a little too fast?\It's not me, Madame!\The horses! They aren't obeying me!\You are not harmed, I trust?\Why, it's the Count of Monte Cristo!\We have you to thank for our lives.\It was fortunate indeed that I had on hand one who is skilled in the handling of horses. response:	You look weird! Are you an alien?
context: Driver? Aren't we going a little too fast?\It's not me, Madame!\The horses! They aren't obeying me!\You are not harmed, I trust?\Why, it's the Count of Monte Cristo!\We have you to thank for our lives.\It was fortunate indeed that I had on hand one who is skilled in the handling of horses.\You look weird! Are you an alien? response:	Don't be such a rascal!
context: It's not me, Madame!\The horses! They aren't obeying me!\You are not harmed, I trust?\Why, it's the Count of Monte Cristo!\We have you to thank for our lives.\It was fortunate indeed that I had on hand one who is skilled in the handling of horses.\You look weird! Are you an alien?\Don't be such a rascal! response:	Curiosity is a sign of intelligence.
context: The horses! They aren't obeying me!\You are not harmed, I trust?\Why, it's the Count of Monte Cristo!\We have you to thank for our lives.\It was fortunate indeed that I had on hand one who is skilled in the handling of horses.\You look weird! Are you an alien?\Don't be such a rascal!\Curiosity is a sign of intelligence. response:	We still don't know your name...
context: You are not harmed, I trust?\Why, it's the Count of Monte Cristo!\We have you to thank for our lives.\It was fortunate indeed that I had on hand one who is skilled in the handling of horses.\You look weird! Are you an alien?\Don't be such a rascal!\Curiosity is a sign of intelligence.\We still don't know your name... response:	This is the Count of Monte Cristo.
context: Why, it's the Count of Monte Cristo!\We have you to thank for our lives.\It was fortunate indeed that I had on hand one who is skilled in the handling of horses.\You look weird! Are you an alien?\Don't be such a rascal!\Curiosity is a sign of intelligence.\We still don't know your name...\This is the Count of Monte Cristo. response:	He and my husband are practically family.
context: We have you to thank for our lives.\It was fortunate indeed that I had on hand one who is skilled in the handling of horses.\You look weird! Are you an alien?\Don't be such a rascal!\Curiosity is a sign of intelligence.\We still don't know your name...\This is the Count of Monte Cristo.\He and my husband are practically family. response:	I heard something about you buying the late Prince's booth at the opera...
context: It was fortunate indeed that I had on hand one who is skilled in the handling of horses.\You look weird! Are you an alien?\Don't be such a rascal!\Curiosity is a sign of intelligence.\We still don't know your name...\This is the Count of Monte Cristo.\He and my husband are practically family.\I heard something about you buying the late Prince's booth at the opera... response:	How embarrassing.
context: You look weird! Are you an alien?\Don't be such a rascal!\Curiosity is a sign of intelligence.\We still don't know your name...\This is the Count of Monte Cristo.\He and my husband are practically family.\I heard something about you buying the late Prince's booth at the opera...\How embarrassing. response:	It is not my custom to attract undue attention to myself,
context: Don't be such a rascal!\Curiosity is a sign of intelligence.\We still don't know your name...\This is the Count of Monte Cristo.\He and my husband are practically family.\I heard something about you buying the late Prince's booth at the opera...\How embarrassing.\It is not my custom to attract undue attention to myself, response:	This is Heloise, the wife of Crown Prosecutor Villefort.
context: Curiosity is a sign of intelligence.\We still don't know your name...\This is the Count of Monte Cristo.\He and my husband are practically family.\I heard something about you buying the late Prince's booth at the opera...\How embarrassing.\It is not my custom to attract undue attention to myself,\This is Heloise, the wife of Crown Prosecutor Villefort. response:	Then one might say that you are the wife of Paris' guardian angel.
context: We still don't know your name...\This is the Count of Monte Cristo.\He and my husband are practically family.\I heard something about you buying the late Prince's booth at the opera...\How embarrassing.\It is not my custom to attract undue attention to myself,\This is Heloise, the wife of Crown Prosecutor Villefort.\Then one might say that you are the wife of Paris' guardian angel. response:	You're such a flatterer.
context: This is the Count of Monte Cristo.\He and my husband are practically family.\I heard something about you buying the late Prince's booth at the opera...\How embarrassing.\It is not my custom to attract undue attention to myself,\This is Heloise, the wife of Crown Prosecutor Villefort.\Then one might say that you are the wife of Paris' guardian angel.\You're such a flatterer. response:	Your horses still seem to be agitated.
context: He and my husband are practically family.\I heard something about you buying the late Prince's booth at the opera...\How embarrassing.\It is not my custom to attract undue attention to myself,\This is Heloise, the wife of Crown Prosecutor Villefort.\Then one might say that you are the wife of Paris' guardian angel.\You're such a flatterer.\Your horses still seem to be agitated. response:	Allow us to return you to your homes.
context: I heard something about you buying the late Prince's booth at the opera...\How embarrassing.\It is not my custom to attract undue attention to myself,\This is Heloise, the wife of Crown Prosecutor Villefort.\Then one might say that you are the wife of Paris' guardian angel.\You're such a flatterer.\Your horses still seem to be agitated.\Allow us to return you to your homes. response:	If the good Madame Villefort is amenable, I shall see to it personally.
context: How embarrassing.\It is not my custom to attract undue attention to myself,\This is Heloise, the wife of Crown Prosecutor Villefort.\Then one might say that you are the wife of Paris' guardian angel.\You're such a flatterer.\Your horses still seem to be agitated.\Allow us to return you to your homes.\If the good Madame Villefort is amenable, I shall see to it personally. response:	Oh, my...
context: It is not my custom to attract undue attention to myself,\This is Heloise, the wife of Crown Prosecutor Villefort.\Then one might say that you are the wife of Paris' guardian angel.\You're such a flatterer.\Your horses still seem to be agitated.\Allow us to return you to your homes.\If the good Madame Villefort is amenable, I shall see to it personally.\Oh, my... response:	I've never seen her like that before.
context: This is Heloise, the wife of Crown Prosecutor Villefort.\Then one might say that you are the wife of Paris' guardian angel.\You're such a flatterer.\Your horses still seem to be agitated.\Allow us to return you to your homes.\If the good Madame Villefort is amenable, I shall see to it personally.\Oh, my...\I've never seen her like that before. response:	Madame has returned!
context: Then one might say that you are the wife of Paris' guardian angel.\You're such a flatterer.\Your horses still seem to be agitated.\Allow us to return you to your homes.\If the good Madame Villefort is amenable, I shall see to it personally.\Oh, my...\I've never seen her like that before.\Madame has returned! response:	Maximilien! Hurry!
context: You're such a flatterer.\Your horses still seem to be agitated.\Allow us to return you to your homes.\If the good Madame Villefort is amenable, I shall see to it personally.\Oh, my...\I've never seen her like that before.\Madame has returned!\Maximilien! Hurry! response:	Barrois! Tea for our guest!
context: Your horses still seem to be agitated.\Allow us to return you to your homes.\If the good Madame Villefort is amenable, I shall see to it personally.\Oh, my...\I've never seen her like that before.\Madame has returned!\Maximilien! Hurry!\Barrois! Tea for our guest! response:	Please, that won't be necessary, Madame.
context: Allow us to return you to your homes.\If the good Madame Villefort is amenable, I shall see to it personally.\Oh, my...\I've never seen her like that before.\Madame has returned!\Maximilien! Hurry!\Barrois! Tea for our guest!\Please, that won't be necessary, Madame. response:	Please, call me Heloise, Count.
context: If the good Madame Villefort is amenable, I shall see to it personally.\Oh, my...\I've never seen her like that before.\Madame has returned!\Maximilien! Hurry!\Barrois! Tea for our guest!\Please, that won't be necessary, Madame.\Please, call me Heloise, Count. response:	Valentine! We have a visitor!
context: Oh, my...\I've never seen her like that before.\Madame has returned!\Maximilien! Hurry!\Barrois! Tea for our guest!\Please, that won't be necessary, Madame.\Please, call me Heloise, Count.\Valentine! We have a visitor! response:	Mademoiselle says that she is feeling unwell.
context: I've never seen her like that before.\Madame has returned!\Maximilien! Hurry!\Barrois! Tea for our guest!\Please, that won't be necessary, Madame.\Please, call me Heloise, Count.\Valentine! We have a visitor!\Mademoiselle says that she is feeling unwell. response:	Honestly, that girl... Valentine!
context: Madame has returned!\Maximilien! Hurry!\Barrois! Tea for our guest!\Please, that won't be necessary, Madame.\Please, call me Heloise, Count.\Valentine! We have a visitor!\Mademoiselle says that she is feeling unwell.\Honestly, that girl... Valentine! response:	Can't you even come out and say hello to our guest?!
context: Maximilien! Hurry!\Barrois! Tea for our guest!\Please, that won't be necessary, Madame.\Please, call me Heloise, Count.\Valentine! We have a visitor!\Mademoiselle says that she is feeling unwell.\Honestly, that girl... Valentine!\Can't you even come out and say hello to our guest?! response:	Valentine!
context: Barrois! Tea for our guest!\Please, that won't be necessary, Madame.\Please, call me Heloise, Count.\Valentine! We have a visitor!\Mademoiselle says that she is feeling unwell.\Honestly, that girl... Valentine!\Can't you even come out and say hello to our guest?!\Valentine! response:	She is utterly miserable.
context: Please, that won't be necessary, Madame.\Please, call me Heloise, Count.\Valentine! We have a visitor!\Mademoiselle says that she is feeling unwell.\Honestly, that girl... Valentine!\Can't you even come out and say hello to our guest?!\Valentine!\She is utterly miserable. response:	Maybe you're right.
context: Please, call me Heloise, Count.\Valentine! We have a visitor!\Mademoiselle says that she is feeling unwell.\Honestly, that girl... Valentine!\Can't you even come out and say hello to our guest?!\Valentine!\She is utterly miserable.\Maybe you're right. response:	I can tell.
context: Valentine! We have a visitor!\Mademoiselle says that she is feeling unwell.\Honestly, that girl... Valentine!\Can't you even come out and say hello to our guest?!\Valentine!\She is utterly miserable.\Maybe you're right.\I can tell. response:	Deep down, her heart yearns for freedom.
context: Mademoiselle says that she is feeling unwell.\Honestly, that girl... Valentine!\Can't you even come out and say hello to our guest?!\Valentine!\She is utterly miserable.\Maybe you're right.\I can tell.\Deep down, her heart yearns for freedom. response:	But she is averting her eyes from those feelings.
context: Honestly, that girl... Valentine!\Can't you even come out and say hello to our guest?!\Valentine!\She is utterly miserable.\Maybe you're right.\I can tell.\Deep down, her heart yearns for freedom.\But she is averting her eyes from those feelings. response:	You might be right.
context: Can't you even come out and say hello to our guest?!\Valentine!\She is utterly miserable.\Maybe you're right.\I can tell.\Deep down, her heart yearns for freedom.\But she is averting her eyes from those feelings.\You might be right. response:	She is delicate and fragile!
context: Valentine!\She is utterly miserable.\Maybe you're right.\I can tell.\Deep down, her heart yearns for freedom.\But she is averting her eyes from those feelings.\You might be right.\She is delicate and fragile! response:	Can't you hear her soul crying out?!
context: She is utterly miserable.\Maybe you're right.\I can tell.\Deep down, her heart yearns for freedom.\But she is averting her eyes from those feelings.\You might be right.\She is delicate and fragile!\Can't you hear her soul crying out?! response:	I can hear it, all right.
context: Maybe you're right.\I can tell.\Deep down, her heart yearns for freedom.\But she is averting her eyes from those feelings.\You might be right.\She is delicate and fragile!\Can't you hear her soul crying out?!\I can hear it, all right. response:	It says, No one considers what I want.
context: I can tell.\Deep down, her heart yearns for freedom.\But she is averting her eyes from those feelings.\You might be right.\She is delicate and fragile!\Can't you hear her soul crying out?!\I can hear it, all right.\It says, No one considers what I want. response:	I don't. Neither do you. None of us do.
context: Deep down, her heart yearns for freedom.\But she is averting her eyes from those feelings.\You might be right.\She is delicate and fragile!\Can't you hear her soul crying out?!\I can hear it, all right.\It says, No one considers what I want.\I don't. Neither do you. None of us do. response:	That girl is always making trouble for me.
context: But she is averting her eyes from those feelings.\You might be right.\She is delicate and fragile!\Can't you hear her soul crying out?!\I can hear it, all right.\It says, No one considers what I want.\I don't. Neither do you. None of us do.\That girl is always making trouble for me. response:	Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors.
context: You might be right.\She is delicate and fragile!\Can't you hear her soul crying out?!\I can hear it, all right.\It says, No one considers what I want.\I don't. Neither do you. None of us do.\That girl is always making trouble for me.\Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors. response:	I'm trying my best to raise her to be more sociable, but...
context: She is delicate and fragile!\Can't you hear her soul crying out?!\I can hear it, all right.\It says, No one considers what I want.\I don't. Neither do you. None of us do.\That girl is always making trouble for me.\Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors.\I'm trying my best to raise her to be more sociable, but... response:	She's gonna die young. Isn't that what you said, Mama?
context: Can't you hear her soul crying out?!\I can hear it, all right.\It says, No one considers what I want.\I don't. Neither do you. None of us do.\That girl is always making trouble for me.\Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors.\I'm trying my best to raise her to be more sociable, but...\She's gonna die young. Isn't that what you said, Mama? response:	Edouard! You and your nonsense!
context: I can hear it, all right.\It says, No one considers what I want.\I don't. Neither do you. None of us do.\That girl is always making trouble for me.\Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors.\I'm trying my best to raise her to be more sociable, but...\She's gonna die young. Isn't that what you said, Mama?\Edouard! You and your nonsense! response:	I feel sorry for my own child, too.
context: It says, No one considers what I want.\I don't. Neither do you. None of us do.\That girl is always making trouble for me.\Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors.\I'm trying my best to raise her to be more sociable, but...\She's gonna die young. Isn't that what you said, Mama?\Edouard! You and your nonsense!\I feel sorry for my own child, too. response:	Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier,
context: I don't. Neither do you. None of us do.\That girl is always making trouble for me.\Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors.\I'm trying my best to raise her to be more sociable, but...\She's gonna die young. Isn't that what you said, Mama?\Edouard! You and your nonsense!\I feel sorry for my own child, too.\Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier, response:	It saddens me to hear that.
context: That girl is always making trouble for me.\Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors.\I'm trying my best to raise her to be more sociable, but...\She's gonna die young. Isn't that what you said, Mama?\Edouard! You and your nonsense!\I feel sorry for my own child, too.\Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier,\It saddens me to hear that. response:	Siblings should be equally fortunate, even if unrelated by blood.
context: Perhaps she gets it from her late mother. She's sickly and stays cooped up indoors.\I'm trying my best to raise her to be more sociable, but...\She's gonna die young. Isn't that what you said, Mama?\Edouard! You and your nonsense!\I feel sorry for my own child, too.\Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier,\It saddens me to hear that.\Siblings should be equally fortunate, even if unrelated by blood. response:	He's got fangs like a vampire!
context: I'm trying my best to raise her to be more sociable, but...\She's gonna die young. Isn't that what you said, Mama?\Edouard! You and your nonsense!\I feel sorry for my own child, too.\Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier,\It saddens me to hear that.\Siblings should be equally fortunate, even if unrelated by blood.\He's got fangs like a vampire! response:	Edouard! You're making me angry!
context: She's gonna die young. Isn't that what you said, Mama?\Edouard! You and your nonsense!\I feel sorry for my own child, too.\Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier,\It saddens me to hear that.\Siblings should be equally fortunate, even if unrelated by blood.\He's got fangs like a vampire!\Edouard! You're making me angry! response:	Vampire! Vampire!
context: Edouard! You and your nonsense!\I feel sorry for my own child, too.\Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier,\It saddens me to hear that.\Siblings should be equally fortunate, even if unrelated by blood.\He's got fangs like a vampire!\Edouard! You're making me angry!\Vampire! Vampire! response:	He's a blue-faced vampire!
context: I feel sorry for my own child, too.\Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier,\It saddens me to hear that.\Siblings should be equally fortunate, even if unrelated by blood.\He's got fangs like a vampire!\Edouard! You're making me angry!\Vampire! Vampire!\He's a blue-faced vampire! response:	I'm sorry, he's such a rude boy...
context: Valentine stands to inherit the fortune of her grandfather, Monsieur Noirtier,\It saddens me to hear that.\Siblings should be equally fortunate, even if unrelated by blood.\He's got fangs like a vampire!\Edouard! You're making me angry!\Vampire! Vampire!\He's a blue-faced vampire!\I'm sorry, he's such a rude boy... response:	Not at all, he is a darling child.
context: It saddens me to hear that.\Siblings should be equally fortunate, even if unrelated by blood.\He's got fangs like a vampire!\Edouard! You're making me angry!\Vampire! Vampire!\He's a blue-faced vampire!\I'm sorry, he's such a rude boy...\Not at all, he is a darling child. response:	To apologize for his behavior, shall I show you to my secret place?
context: Siblings should be equally fortunate, even if unrelated by blood.\He's got fangs like a vampire!\Edouard! You're making me angry!\Vampire! Vampire!\He's a blue-faced vampire!\I'm sorry, he's such a rude boy...\Not at all, he is a darling child.\To apologize for his behavior, shall I show you to my secret place? response:	It's a modest little refuge.
context: He's got fangs like a vampire!\Edouard! You're making me angry!\Vampire! Vampire!\He's a blue-faced vampire!\I'm sorry, he's such a rude boy...\Not at all, he is a darling child.\To apologize for his behavior, shall I show you to my secret place?\It's a modest little refuge. response:	I'm worried about her.
context: Edouard! You're making me angry!\Vampire! Vampire!\He's a blue-faced vampire!\I'm sorry, he's such a rude boy...\Not at all, he is a darling child.\To apologize for his behavior, shall I show you to my secret place?\It's a modest little refuge.\I'm worried about her. response:	But there is nothing that I can do for her...
context: Vampire! Vampire!\He's a blue-faced vampire!\I'm sorry, he's such a rude boy...\Not at all, he is a darling child.\To apologize for his behavior, shall I show you to my secret place?\It's a modest little refuge.\I'm worried about her.\But there is nothing that I can do for her... response:	What is it?
context: He's a blue-faced vampire!\I'm sorry, he's such a rude boy...\Not at all, he is a darling child.\To apologize for his behavior, shall I show you to my secret place?\It's a modest little refuge.\I'm worried about her.\But there is nothing that I can do for her...\What is it? response:	So, this greenhouse is your refuge... It is magnificent.
context: I'm sorry, he's such a rude boy...\Not at all, he is a darling child.\To apologize for his behavior, shall I show you to my secret place?\It's a modest little refuge.\I'm worried about her.\But there is nothing that I can do for her...\What is it?\So, this greenhouse is your refuge... It is magnificent. response:	You flatter me.
context: Not at all, he is a darling child.\To apologize for his behavior, shall I show you to my secret place?\It's a modest little refuge.\I'm worried about her.\But there is nothing that I can do for her...\What is it?\So, this greenhouse is your refuge... It is magnificent.\You flatter me. response:	These flowers might be my only friends.
context: To apologize for his behavior, shall I show you to my secret place?\It's a modest little refuge.\I'm worried about her.\But there is nothing that I can do for her...\What is it?\So, this greenhouse is your refuge... It is magnificent.\You flatter me.\These flowers might be my only friends. response:	Belladonna. Mandragora. Datura.
context: It's a modest little refuge.\I'm worried about her.\But there is nothing that I can do for her...\What is it?\So, this greenhouse is your refuge... It is magnificent.\You flatter me.\These flowers might be my only friends.\Belladonna. Mandragora. Datura. response:	Your favorite flowers all share a fascinating trait, Madame.
context: I'm worried about her.\But there is nothing that I can do for her...\What is it?\So, this greenhouse is your refuge... It is magnificent.\You flatter me.\These flowers might be my only friends.\Belladonna. Mandragora. Datura.\Your favorite flowers all share a fascinating trait, Madame. response:	What might that be?
context: But there is nothing that I can do for her...\What is it?\So, this greenhouse is your refuge... It is magnificent.\You flatter me.\These flowers might be my only friends.\Belladonna. Mandragora. Datura.\Your favorite flowers all share a fascinating trait, Madame.\What might that be? response:	In each of them, their beautiful petals conceal a deadly poison.
context: What is it?\So, this greenhouse is your refuge... It is magnificent.\You flatter me.\These flowers might be my only friends.\Belladonna. Mandragora. Datura.\Your favorite flowers all share a fascinating trait, Madame.\What might that be?\In each of them, their beautiful petals conceal a deadly poison. response:	I had no idea...
context: So, this greenhouse is your refuge... It is magnificent.\You flatter me.\These flowers might be my only friends.\Belladonna. Mandragora. Datura.\Your favorite flowers all share a fascinating trait, Madame.\What might that be?\In each of them, their beautiful petals conceal a deadly poison.\I had no idea... response:	Hey!
context: You flatter me.\These flowers might be my only friends.\Belladonna. Mandragora. Datura.\Your favorite flowers all share a fascinating trait, Madame.\What might that be?\In each of them, their beautiful petals conceal a deadly poison.\I had no idea...\Hey! response:	My love of horticulture grew into an interest in botany.
context: These flowers might be my only friends.\Belladonna. Mandragora. Datura.\Your favorite flowers all share a fascinating trait, Madame.\What might that be?\In each of them, their beautiful petals conceal a deadly poison.\I had no idea...\Hey!\My love of horticulture grew into an interest in botany. response:	It isn't a woman's place to be interested in such things.
context: Belladonna. Mandragora. Datura.\Your favorite flowers all share a fascinating trait, Madame.\What might that be?\In each of them, their beautiful petals conceal a deadly poison.\I had no idea...\Hey!\My love of horticulture grew into an interest in botany.\It isn't a woman's place to be interested in such things. response:	Could it be that you also have an interest in toxicology?
context: Your favorite flowers all share a fascinating trait, Madame.\What might that be?\In each of them, their beautiful petals conceal a deadly poison.\I had no idea...\Hey!\My love of horticulture grew into an interest in botany.\It isn't a woman's place to be interested in such things.\Could it be that you also have an interest in toxicology? response:	Why would I be interested in such horrible things?
context: What might that be?\In each of them, their beautiful petals conceal a deadly poison.\I had no idea...\Hey!\My love of horticulture grew into an interest in botany.\It isn't a woman's place to be interested in such things.\Could it be that you also have an interest in toxicology?\Why would I be interested in such horrible things? response:	Horrible? Why should it be horrible?
context: In each of them, their beautiful petals conceal a deadly poison.\I had no idea...\Hey!\My love of horticulture grew into an interest in botany.\It isn't a woman's place to be interested in such things.\Could it be that you also have an interest in toxicology?\Why would I be interested in such horrible things?\Horrible? Why should it be horrible? response:	Toxicology and pharmacology are two sides of the same coin.
context: I had no idea...\Hey!\My love of horticulture grew into an interest in botany.\It isn't a woman's place to be interested in such things.\Could it be that you also have an interest in toxicology?\Why would I be interested in such horrible things?\Horrible? Why should it be horrible?\Toxicology and pharmacology are two sides of the same coin. response:	Also, nothing is more enticing to human beings than poison.
context: Hey!\My love of horticulture grew into an interest in botany.\It isn't a woman's place to be interested in such things.\Could it be that you also have an interest in toxicology?\Why would I be interested in such horrible things?\Horrible? Why should it be horrible?\Toxicology and pharmacology are two sides of the same coin.\Also, nothing is more enticing to human beings than poison. response:	Am I mistaken?
context: My love of horticulture grew into an interest in botany.\It isn't a woman's place to be interested in such things.\Could it be that you also have an interest in toxicology?\Why would I be interested in such horrible things?\Horrible? Why should it be horrible?\Toxicology and pharmacology are two sides of the same coin.\Also, nothing is more enticing to human beings than poison.\Am I mistaken? response:	Poisons that steal a man's life away in an instant.
context: It isn't a woman's place to be interested in such things.\Could it be that you also have an interest in toxicology?\Why would I be interested in such horrible things?\Horrible? Why should it be horrible?\Toxicology and pharmacology are two sides of the same coin.\Also, nothing is more enticing to human beings than poison.\Am I mistaken?\Poisons that steal a man's life away in an instant. response:	Poisons that kill slowly and leave no trace of itself.
context: Could it be that you also have an interest in toxicology?\Why would I be interested in such horrible things?\Horrible? Why should it be horrible?\Toxicology and pharmacology are two sides of the same coin.\Also, nothing is more enticing to human beings than poison.\Am I mistaken?\Poisons that steal a man's life away in an instant.\Poisons that kill slowly and leave no trace of itself. response:	One must wonder how many poisonings...
context: Why would I be interested in such horrible things?\Horrible? Why should it be horrible?\Toxicology and pharmacology are two sides of the same coin.\Also, nothing is more enticing to human beings than poison.\Am I mistaken?\Poisons that steal a man's life away in an instant.\Poisons that kill slowly and leave no trace of itself.\One must wonder how many poisonings... response:	And one more thing.
context: Horrible? Why should it be horrible?\Toxicology and pharmacology are two sides of the same coin.\Also, nothing is more enticing to human beings than poison.\Am I mistaken?\Poisons that steal a man's life away in an instant.\Poisons that kill slowly and leave no trace of itself.\One must wonder how many poisonings...\And one more thing. response:	There is a beauty to those who have been captivated by poison's charms.
context: Toxicology and pharmacology are two sides of the same coin.\Also, nothing is more enticing to human beings than poison.\Am I mistaken?\Poisons that steal a man's life away in an instant.\Poisons that kill slowly and leave no trace of itself.\One must wonder how many poisonings...\And one more thing.\There is a beauty to those who have been captivated by poison's charms. response:	Hey! Gentlemen don't peep into other people's windows!
context: Also, nothing is more enticing to human beings than poison.\Am I mistaken?\Poisons that steal a man's life away in an instant.\Poisons that kill slowly and leave no trace of itself.\One must wonder how many poisonings...\And one more thing.\There is a beauty to those who have been captivated by poison's charms.\Hey! Gentlemen don't peep into other people's windows! response:	This trinket is commonly referred to as a Borgia Ring.
context: Am I mistaken?\Poisons that steal a man's life away in an instant.\Poisons that kill slowly and leave no trace of itself.\One must wonder how many poisonings...\And one more thing.\There is a beauty to those who have been captivated by poison's charms.\Hey! Gentlemen don't peep into other people's windows!\This trinket is commonly referred to as a Borgia Ring. response:	Come. Press on the stone and see what happens.
context: Poisons that steal a man's life away in an instant.\Poisons that kill slowly and leave no trace of itself.\One must wonder how many poisonings...\And one more thing.\There is a beauty to those who have been captivated by poison's charms.\Hey! Gentlemen don't peep into other people's windows!\This trinket is commonly referred to as a Borgia Ring.\Come. Press on the stone and see what happens. response:	It is said that Lucrezia Borgia used these to dispatch countless people.
context: Poisons that kill slowly and leave no trace of itself.\One must wonder how many poisonings...\And one more thing.\There is a beauty to those who have been captivated by poison's charms.\Hey! Gentlemen don't peep into other people's windows!\This trinket is commonly referred to as a Borgia Ring.\Come. Press on the stone and see what happens.\It is said that Lucrezia Borgia used these to dispatch countless people. response:	And among her victims was her own husband...
context: One must wonder how many poisonings...\And one more thing.\There is a beauty to those who have been captivated by poison's charms.\Hey! Gentlemen don't peep into other people's windows!\This trinket is commonly referred to as a Borgia Ring.\Come. Press on the stone and see what happens.\It is said that Lucrezia Borgia used these to dispatch countless people.\And among her victims was her own husband... response:	That ring belongs to you, Madame.
context: And one more thing.\There is a beauty to those who have been captivated by poison's charms.\Hey! Gentlemen don't peep into other people's windows!\This trinket is commonly referred to as a Borgia Ring.\Come. Press on the stone and see what happens.\It is said that Lucrezia Borgia used these to dispatch countless people.\And among her victims was her own husband...\That ring belongs to you, Madame. response:	I'm so happy...
