context: Hey, Natsu... Our guild's gained a lot of members. response:	There's Lucy... And then Gajeel and Juvia, right?
context: That's gonna take a really long time!\Freed, stop her!\It is as you say.\See what Freed said?\I will also walk.\I will respect Wendy's wishes for this job.\It is what the Master said, and therefore a rule.\I must obey the rules. response:	Thank you very much, Freed-san!
context: Freed, stop her!\It is as you say.\See what Freed said?\I will also walk.\I will respect Wendy's wishes for this job.\It is what the Master said, and therefore a rule.\I must obey the rules.\Thank you very much, Freed-san! response:	He's so thick-headed!
context: It is as you say.\See what Freed said?\I will also walk.\I will respect Wendy's wishes for this job.\It is what the Master said, and therefore a rule.\I must obey the rules.\Thank you very much, Freed-san!\He's so thick-headed! response:	We're really gonna walk this far?
context: See what Freed said?\I will also walk.\I will respect Wendy's wishes for this job.\It is what the Master said, and therefore a rule.\I must obey the rules.\Thank you very much, Freed-san!\He's so thick-headed!\We're really gonna walk this far? response:	Speaking more precisely, you will not be walking, but flying...
context: I will also walk.\I will respect Wendy's wishes for this job.\It is what the Master said, and therefore a rule.\I must obey the rules.\Thank you very much, Freed-san!\He's so thick-headed!\We're really gonna walk this far?\Speaking more precisely, you will not be walking, but flying... response:	It doesn't matter much one way or the other!
context: I will respect Wendy's wishes for this job.\It is what the Master said, and therefore a rule.\I must obey the rules.\Thank you very much, Freed-san!\He's so thick-headed!\We're really gonna walk this far?\Speaking more precisely, you will not be walking, but flying...\It doesn't matter much one way or the other! response:	Words should be used correctly.
context: It is what the Master said, and therefore a rule.\I must obey the rules.\Thank you very much, Freed-san!\He's so thick-headed!\We're really gonna walk this far?\Speaking more precisely, you will not be walking, but flying...\It doesn't matter much one way or the other!\Words should be used correctly. response:	For a rune-user like myself, I know well the importance of proper language.
context: I must obey the rules.\Thank you very much, Freed-san!\He's so thick-headed!\We're really gonna walk this far?\Speaking more precisely, you will not be walking, but flying...\It doesn't matter much one way or the other!\Words should be used correctly.\For a rune-user like myself, I know well the importance of proper language. response:	Yeah, that's great and all, but...
context: Thank you very much, Freed-san!\He's so thick-headed!\We're really gonna walk this far?\Speaking more precisely, you will not be walking, but flying...\It doesn't matter much one way or the other!\Words should be used correctly.\For a rune-user like myself, I know well the importance of proper language.\Yeah, that's great and all, but... response:	Let's go. If we don't hurry, the sun will set.
context: He's so thick-headed!\We're really gonna walk this far?\Speaking more precisely, you will not be walking, but flying...\It doesn't matter much one way or the other!\Words should be used correctly.\For a rune-user like myself, I know well the importance of proper language.\Yeah, that's great and all, but...\Let's go. If we don't hurry, the sun will set. response:	What?! There's another request from that drama troupe?
context: We're really gonna walk this far?\Speaking more precisely, you will not be walking, but flying...\It doesn't matter much one way or the other!\Words should be used correctly.\For a rune-user like myself, I know well the importance of proper language.\Yeah, that's great and all, but...\Let's go. If we don't hurry, the sun will set.\What?! There's another request from that drama troupe? response:	Yeah... I wanted to go with her, but the master stopped me...
context: Speaking more precisely, you will not be walking, but flying...\It doesn't matter much one way or the other!\Words should be used correctly.\For a rune-user like myself, I know well the importance of proper language.\Yeah, that's great and all, but...\Let's go. If we don't hurry, the sun will set.\What?! There's another request from that drama troupe?\Yeah... I wanted to go with her, but the master stopped me... response:	Why are you doing vocal exercises?
context: It doesn't matter much one way or the other!\Words should be used correctly.\For a rune-user like myself, I know well the importance of proper language.\Yeah, that's great and all, but...\Let's go. If we don't hurry, the sun will set.\What?! There's another request from that drama troupe?\Yeah... I wanted to go with her, but the master stopped me...\Why are you doing vocal exercises? response:	Always be prepared, I say.
context: Words should be used correctly.\For a rune-user like myself, I know well the importance of proper language.\Yeah, that's great and all, but...\Let's go. If we don't hurry, the sun will set.\What?! There's another request from that drama troupe?\Yeah... I wanted to go with her, but the master stopped me...\Why are you doing vocal exercises?\Always be prepared, I say. response:	Prepared for what?
context: For a rune-user like myself, I know well the importance of proper language.\Yeah, that's great and all, but...\Let's go. If we don't hurry, the sun will set.\What?! There's another request from that drama troupe?\Yeah... I wanted to go with her, but the master stopped me...\Why are you doing vocal exercises?\Always be prepared, I say.\Prepared for what? response:	I understand what the master is saying... But I can't help but worry about just the three of them.
context: Yeah, that's great and all, but...\Let's go. If we don't hurry, the sun will set.\What?! There's another request from that drama troupe?\Yeah... I wanted to go with her, but the master stopped me...\Why are you doing vocal exercises?\Always be prepared, I say.\Prepared for what?\I understand what the master is saying... But I can't help but worry about just the three of them. response:	I will go after them!
context: Let's go. If we don't hurry, the sun will set.\What?! There's another request from that drama troupe?\Yeah... I wanted to go with her, but the master stopped me...\Why are you doing vocal exercises?\Always be prepared, I say.\Prepared for what?\I understand what the master is saying... But I can't help but worry about just the three of them.\I will go after them! response:	Didn't take her long to get ready...
context: What?! There's another request from that drama troupe?\Yeah... I wanted to go with her, but the master stopped me...\Why are you doing vocal exercises?\Always be prepared, I say.\Prepared for what?\I understand what the master is saying... But I can't help but worry about just the three of them.\I will go after them!\Didn't take her long to get ready... response:	And wait, isn't that even more luggage than usual?
context: Yeah... I wanted to go with her, but the master stopped me...\Why are you doing vocal exercises?\Always be prepared, I say.\Prepared for what?\I understand what the master is saying... But I can't help but worry about just the three of them.\I will go after them!\Didn't take her long to get ready...\And wait, isn't that even more luggage than usual? response:	Of course!
context: Why are you doing vocal exercises?\Always be prepared, I say.\Prepared for what?\I understand what the master is saying... But I can't help but worry about just the three of them.\I will go after them!\Didn't take her long to get ready...\And wait, isn't that even more luggage than usual?\Of course! response:	You brought it with you?
context: Always be prepared, I say.\Prepared for what?\I understand what the master is saying... But I can't help but worry about just the three of them.\I will go after them!\Didn't take her long to get ready...\And wait, isn't that even more luggage than usual?\Of course!\You brought it with you? response:	I took it instead of my reward.
context: Prepared for what?\I understand what the master is saying... But I can't help but worry about just the three of them.\I will go after them!\Didn't take her long to get ready...\And wait, isn't that even more luggage than usual?\Of course!\You brought it with you?\I took it instead of my reward. response:	During the tough times, or the sad times,
context: I understand what the master is saying... But I can't help but worry about just the three of them.\I will go after them!\Didn't take her long to get ready...\And wait, isn't that even more luggage than usual?\Of course!\You brought it with you?\I took it instead of my reward.\During the tough times, or the sad times, response:	when I look at this wardrobe and these props, I feel better for some reason.
context: I will go after them!\Didn't take her long to get ready...\And wait, isn't that even more luggage than usual?\Of course!\You brought it with you?\I took it instead of my reward.\During the tough times, or the sad times,\when I look at this wardrobe and these props, I feel better for some reason. response:	Sometimes I put on the costumes, and put on the play again, all by myself!
context: Didn't take her long to get ready...\And wait, isn't that even more luggage than usual?\Of course!\You brought it with you?\I took it instead of my reward.\During the tough times, or the sad times,\when I look at this wardrobe and these props, I feel better for some reason.\Sometimes I put on the costumes, and put on the play again, all by myself! response:	You were really that into it?
context: And wait, isn't that even more luggage than usual?\Of course!\You brought it with you?\I took it instead of my reward.\During the tough times, or the sad times,\when I look at this wardrobe and these props, I feel better for some reason.\Sometimes I put on the costumes, and put on the play again, all by myself!\You were really that into it? response:	And I think you're getting close to the cliff there...
context: Of course!\You brought it with you?\I took it instead of my reward.\During the tough times, or the sad times,\when I look at this wardrobe and these props, I feel better for some reason.\Sometimes I put on the costumes, and put on the play again, all by myself!\You were really that into it?\And I think you're getting close to the cliff there... response:	Oh, no! I heard that the train to Onibus isn't running!
context: You brought it with you?\I took it instead of my reward.\During the tough times, or the sad times,\when I look at this wardrobe and these props, I feel better for some reason.\Sometimes I put on the costumes, and put on the play again, all by myself!\You were really that into it?\And I think you're getting close to the cliff there...\Oh, no! I heard that the train to Onibus isn't running! response:	I knew it! We should have gone with her.
context: I took it instead of my reward.\During the tough times, or the sad times,\when I look at this wardrobe and these props, I feel better for some reason.\Sometimes I put on the costumes, and put on the play again, all by myself!\You were really that into it?\And I think you're getting close to the cliff there...\Oh, no! I heard that the train to Onibus isn't running!\I knew it! We should have gone with her. response:	Lucy!
context: During the tough times, or the sad times,\when I look at this wardrobe and these props, I feel better for some reason.\Sometimes I put on the costumes, and put on the play again, all by myself!\You were really that into it?\And I think you're getting close to the cliff there...\Oh, no! I heard that the train to Onibus isn't running!\I knew it! We should have gone with her.\Lucy! response:	Right! What about you, Carla?
context: when I look at this wardrobe and these props, I feel better for some reason.\Sometimes I put on the costumes, and put on the play again, all by myself!\You were really that into it?\And I think you're getting close to the cliff there...\Oh, no! I heard that the train to Onibus isn't running!\I knew it! We should have gone with her.\Lucy!\Right! What about you, Carla? response:	What a pain she is.
context: Sometimes I put on the costumes, and put on the play again, all by myself!\You were really that into it?\And I think you're getting close to the cliff there...\Oh, no! I heard that the train to Onibus isn't running!\I knew it! We should have gone with her.\Lucy!\Right! What about you, Carla?\What a pain she is. response:	She told me I didn't have to come, so I should just let her be!
context: You were really that into it?\And I think you're getting close to the cliff there...\Oh, no! I heard that the train to Onibus isn't running!\I knew it! We should have gone with her.\Lucy!\Right! What about you, Carla?\What a pain she is.\She told me I didn't have to come, so I should just let her be! response:	I mean, why did she take that job in Onibus to begin with?
context: And I think you're getting close to the cliff there...\Oh, no! I heard that the train to Onibus isn't running!\I knew it! We should have gone with her.\Lucy!\Right! What about you, Carla?\What a pain she is.\She told me I didn't have to come, so I should just let her be!\I mean, why did she take that job in Onibus to begin with? response:	It's not like there's any benefit to going far off.
context: Oh, no! I heard that the train to Onibus isn't running!\I knew it! We should have gone with her.\Lucy!\Right! What about you, Carla?\What a pain she is.\She told me I didn't have to come, so I should just let her be!\I mean, why did she take that job in Onibus to begin with?\It's not like there's any benefit to going far off. response:	Honestly, this is such a waste of time.
context: I knew it! We should have gone with her.\Lucy!\Right! What about you, Carla?\What a pain she is.\She told me I didn't have to come, so I should just let her be!\I mean, why did she take that job in Onibus to begin with?\It's not like there's any benefit to going far off.\Honestly, this is such a waste of time. response:	Total waste of effort!
context: Lucy!\Right! What about you, Carla?\What a pain she is.\She told me I didn't have to come, so I should just let her be!\I mean, why did she take that job in Onibus to begin with?\It's not like there's any benefit to going far off.\Honestly, this is such a waste of time.\Total waste of effort! response:	This isn't just inefficient, it's ludicrous!
context: Right! What about you, Carla?\What a pain she is.\She told me I didn't have to come, so I should just let her be!\I mean, why did she take that job in Onibus to begin with?\It's not like there's any benefit to going far off.\Honestly, this is such a waste of time.\Total waste of effort!\This isn't just inefficient, it's ludicrous! response:	Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there.
context: What a pain she is.\She told me I didn't have to come, so I should just let her be!\I mean, why did she take that job in Onibus to begin with?\It's not like there's any benefit to going far off.\Honestly, this is such a waste of time.\Total waste of effort!\This isn't just inefficient, it's ludicrous!\Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there. response:	This is going to be a long trip.
context: She told me I didn't have to come, so I should just let her be!\I mean, why did she take that job in Onibus to begin with?\It's not like there's any benefit to going far off.\Honestly, this is such a waste of time.\Total waste of effort!\This isn't just inefficient, it's ludicrous!\Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there.\This is going to be a long trip. response:	I'm more worried about us three than them...
context: I mean, why did she take that job in Onibus to begin with?\It's not like there's any benefit to going far off.\Honestly, this is such a waste of time.\Total waste of effort!\This isn't just inefficient, it's ludicrous!\Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there.\This is going to be a long trip.\I'm more worried about us three than them... response:	I'm sorry for bringing you into this.
context: It's not like there's any benefit to going far off.\Honestly, this is such a waste of time.\Total waste of effort!\This isn't just inefficient, it's ludicrous!\Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there.\This is going to be a long trip.\I'm more worried about us three than them...\I'm sorry for bringing you into this. response:	This is for a companion, so don't worry.
context: Honestly, this is such a waste of time.\Total waste of effort!\This isn't just inefficient, it's ludicrous!\Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there.\This is going to be a long trip.\I'm more worried about us three than them...\I'm sorry for bringing you into this.\This is for a companion, so don't worry. response:	Hey, let's rest a little, okay?
context: Total waste of effort!\This isn't just inefficient, it's ludicrous!\Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there.\This is going to be a long trip.\I'm more worried about us three than them...\I'm sorry for bringing you into this.\This is for a companion, so don't worry.\Hey, let's rest a little, okay? response:	But it feels like it'll rain, so let's hurry.
context: This isn't just inefficient, it's ludicrous!\Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there.\This is going to be a long trip.\I'm more worried about us three than them...\I'm sorry for bringing you into this.\This is for a companion, so don't worry.\Hey, let's rest a little, okay?\But it feels like it'll rain, so let's hurry. response:	I can sense the air currents.
context: Knowing Wendy, she's probably not using the he-cat or Freed's powers, but walking there.\This is going to be a long trip.\I'm more worried about us three than them...\I'm sorry for bringing you into this.\This is for a companion, so don't worry.\Hey, let's rest a little, okay?\But it feels like it'll rain, so let's hurry.\I can sense the air currents. response:	No way... With it this sunny out?
context: This is going to be a long trip.\I'm more worried about us three than them...\I'm sorry for bringing you into this.\This is for a companion, so don't worry.\Hey, let's rest a little, okay?\But it feels like it'll rain, so let's hurry.\I can sense the air currents.\No way... With it this sunny out? response:	What's wrong with this weather?
context: I'm more worried about us three than them...\I'm sorry for bringing you into this.\This is for a companion, so don't worry.\Hey, let's rest a little, okay?\But it feels like it'll rain, so let's hurry.\I can sense the air currents.\No way... With it this sunny out?\What's wrong with this weather? response:	We have to find shelter from the rain!
context: I'm sorry for bringing you into this.\This is for a companion, so don't worry.\Hey, let's rest a little, okay?\But it feels like it'll rain, so let's hurry.\I can sense the air currents.\No way... With it this sunny out?\What's wrong with this weather?\We have to find shelter from the rain! response:	With my power, it would be a simple task to deflect the rain.
context: This is for a companion, so don't worry.\Hey, let's rest a little, okay?\But it feels like it'll rain, so let's hurry.\I can sense the air currents.\No way... With it this sunny out?\What's wrong with this weather?\We have to find shelter from the rain!\With my power, it would be a simple task to deflect the rain. response:	All I would have to do is cast runes where rain couldn't fall.
context: Hey, let's rest a little, okay?\But it feels like it'll rain, so let's hurry.\I can sense the air currents.\No way... With it this sunny out?\What's wrong with this weather?\We have to find shelter from the rain!\With my power, it would be a simple task to deflect the rain.\All I would have to do is cast runes where rain couldn't fall. response:	But the rule this time is to avoid helping Wendy unless forced to.
context: But it feels like it'll rain, so let's hurry.\I can sense the air currents.\No way... With it this sunny out?\What's wrong with this weather?\We have to find shelter from the rain!\With my power, it would be a simple task to deflect the rain.\All I would have to do is cast runes where rain couldn't fall.\But the rule this time is to avoid helping Wendy unless forced to. response:	But then again, if I let Wendy catch a cold, what would be the point of me coming at all?
context: I can sense the air currents.\No way... With it this sunny out?\What's wrong with this weather?\We have to find shelter from the rain!\With my power, it would be a simple task to deflect the rain.\All I would have to do is cast runes where rain couldn't fall.\But the rule this time is to avoid helping Wendy unless forced to.\But then again, if I let Wendy catch a cold, what would be the point of me coming at all? response:	What... What should I do?!
context: No way... With it this sunny out?\What's wrong with this weather?\We have to find shelter from the rain!\With my power, it would be a simple task to deflect the rain.\All I would have to do is cast runes where rain couldn't fall.\But the rule this time is to avoid helping Wendy unless forced to.\But then again, if I let Wendy catch a cold, what would be the point of me coming at all?\What... What should I do?! response:	Tell me, Laxus!
context: What's wrong with this weather?\We have to find shelter from the rain!\With my power, it would be a simple task to deflect the rain.\All I would have to do is cast runes where rain couldn't fall.\But the rule this time is to avoid helping Wendy unless forced to.\But then again, if I let Wendy catch a cold, what would be the point of me coming at all?\What... What should I do?!\Tell me, Laxus! response:	If you were here, what would you do?!
context: We have to find shelter from the rain!\With my power, it would be a simple task to deflect the rain.\All I would have to do is cast runes where rain couldn't fall.\But the rule this time is to avoid helping Wendy unless forced to.\But then again, if I let Wendy catch a cold, what would be the point of me coming at all?\What... What should I do?!\Tell me, Laxus!\If you were here, what would you do?! response:	Answer me, Laxus!!!
context: With my power, it would be a simple task to deflect the rain.\All I would have to do is cast runes where rain couldn't fall.\But the rule this time is to avoid helping Wendy unless forced to.\But then again, if I let Wendy catch a cold, what would be the point of me coming at all?\What... What should I do?!\Tell me, Laxus!\If you were here, what would you do?!\Answer me, Laxus!!! response:	Freed-san!
context: All I would have to do is cast runes where rain couldn't fall.\But the rule this time is to avoid helping Wendy unless forced to.\But then again, if I let Wendy catch a cold, what would be the point of me coming at all?\What... What should I do?!\Tell me, Laxus!\If you were here, what would you do?!\Answer me, Laxus!!!\Freed-san! response:	Over here!
context: But the rule this time is to avoid helping Wendy unless forced to.\But then again, if I let Wendy catch a cold, what would be the point of me coming at all?\What... What should I do?!\Tell me, Laxus!\If you were here, what would you do?!\Answer me, Laxus!!!\Freed-san!\Over here! response:	Thank goodness.
context: But then again, if I let Wendy catch a cold, what would be the point of me coming at all?\What... What should I do?!\Tell me, Laxus!\If you were here, what would you do?!\Answer me, Laxus!!!\Freed-san!\Over here!\Thank goodness. response:	I see that staying my hand was the correct decision.
context: What... What should I do?!\Tell me, Laxus!\If you were here, what would you do?!\Answer me, Laxus!!!\Freed-san!\Over here!\Thank goodness.\I see that staying my hand was the correct decision. response:	What are you muttering about?
context: Tell me, Laxus!\If you were here, what would you do?!\Answer me, Laxus!!!\Freed-san!\Over here!\Thank goodness.\I see that staying my hand was the correct decision.\What are you muttering about? response:	It is better that you not know.
context: If you were here, what would you do?!\Answer me, Laxus!!!\Freed-san!\Over here!\Thank goodness.\I see that staying my hand was the correct decision.\What are you muttering about?\It is better that you not know. response:	I wonder what goes on inside Freed's head?
context: Answer me, Laxus!!!\Freed-san!\Over here!\Thank goodness.\I see that staying my hand was the correct decision.\What are you muttering about?\It is better that you not know.\I wonder what goes on inside Freed's head? response:	Why do I have to be stuck in this cramped space?
context: Freed-san!\Over here!\Thank goodness.\I see that staying my hand was the correct decision.\What are you muttering about?\It is better that you not know.\I wonder what goes on inside Freed's head?\Why do I have to be stuck in this cramped space? response:	We don't have any other place to get out of the rain, that's why!
context: Over here!\Thank goodness.\I see that staying my hand was the correct decision.\What are you muttering about?\It is better that you not know.\I wonder what goes on inside Freed's head?\Why do I have to be stuck in this cramped space?\We don't have any other place to get out of the rain, that's why! response:	Ah... I'm worried about the costumes and props getting wet...
context: Thank goodness.\I see that staying my hand was the correct decision.\What are you muttering about?\It is better that you not know.\I wonder what goes on inside Freed's head?\Why do I have to be stuck in this cramped space?\We don't have any other place to get out of the rain, that's why!\Ah... I'm worried about the costumes and props getting wet... response:	What?! Lucy and Erza went after them?
context: I see that staying my hand was the correct decision.\What are you muttering about?\It is better that you not know.\I wonder what goes on inside Freed's head?\Why do I have to be stuck in this cramped space?\We don't have any other place to get out of the rain, that's why!\Ah... I'm worried about the costumes and props getting wet...\What?! Lucy and Erza went after them? response:	That's right.
context: What are you muttering about?\It is better that you not know.\I wonder what goes on inside Freed's head?\Why do I have to be stuck in this cramped space?\We don't have any other place to get out of the rain, that's why!\Ah... I'm worried about the costumes and props getting wet...\What?! Lucy and Erza went after them?\That's right. response:	They couldn't stand it after all.
context: It is better that you not know.\I wonder what goes on inside Freed's head?\Why do I have to be stuck in this cramped space?\We don't have any other place to get out of the rain, that's why!\Ah... I'm worried about the costumes and props getting wet...\What?! Lucy and Erza went after them?\That's right.\They couldn't stand it after all. response:	And what were you doing?
context: I wonder what goes on inside Freed's head?\Why do I have to be stuck in this cramped space?\We don't have any other place to get out of the rain, that's why!\Ah... I'm worried about the costumes and props getting wet...\What?! Lucy and Erza went after them?\That's right.\They couldn't stand it after all.\And what were you doing? response:	Sleeping.
context: Why do I have to be stuck in this cramped space?\We don't have any other place to get out of the rain, that's why!\Ah... I'm worried about the costumes and props getting wet...\What?! Lucy and Erza went after them?\That's right.\They couldn't stand it after all.\And what were you doing?\Sleeping. response:	Righto! I get the picture, and I can't stand it either!
context: We don't have any other place to get out of the rain, that's why!\Ah... I'm worried about the costumes and props getting wet...\What?! Lucy and Erza went after them?\That's right.\They couldn't stand it after all.\And what were you doing?\Sleeping.\Righto! I get the picture, and I can't stand it either! response:	Natsu!
context: Ah... I'm worried about the costumes and props getting wet...\What?! Lucy and Erza went after them?\That's right.\They couldn't stand it after all.\And what were you doing?\Sleeping.\Righto! I get the picture, and I can't stand it either!\Natsu! response:	Does he know that the train isn't running?
context: What?! Lucy and Erza went after them?\That's right.\They couldn't stand it after all.\And what were you doing?\Sleeping.\Righto! I get the picture, and I can't stand it either!\Natsu!\Does he know that the train isn't running? response:	I don't want to ride it!
context: That's right.\They couldn't stand it after all.\And what were you doing?\Sleeping.\Righto! I get the picture, and I can't stand it either!\Natsu!\Does he know that the train isn't running?\I don't want to ride it! response:	But if I don't, I can't get to Onibus...
context: They couldn't stand it after all.\And what were you doing?\Sleeping.\Righto! I get the picture, and I can't stand it either!\Natsu!\Does he know that the train isn't running?\I don't want to ride it!\But if I don't, I can't get to Onibus... response:	But I don't wanna ride it!
context: And what were you doing?\Sleeping.\Righto! I get the picture, and I can't stand it either!\Natsu!\Does he know that the train isn't running?\I don't want to ride it!\But if I don't, I can't get to Onibus...\But I don't wanna ride it! response:	Make up your mind already!
context: Sleeping.\Righto! I get the picture, and I can't stand it either!\Natsu!\Does he know that the train isn't running?\I don't want to ride it!\But if I don't, I can't get to Onibus...\But I don't wanna ride it!\Make up your mind already! response:	We can't depart with you like this!
context: Righto! I get the picture, and I can't stand it either!\Natsu!\Does he know that the train isn't running?\I don't want to ride it!\But if I don't, I can't get to Onibus...\But I don't wanna ride it!\Make up your mind already!\We can't depart with you like this! response:	I'll ride! But please, run so that it doesn't sway at all!
context: Natsu!\Does he know that the train isn't running?\I don't want to ride it!\But if I don't, I can't get to Onibus...\But I don't wanna ride it!\Make up your mind already!\We can't depart with you like this!\I'll ride! But please, run so that it doesn't sway at all! response:	That's impossible!
context: Does he know that the train isn't running?\I don't want to ride it!\But if I don't, I can't get to Onibus...\But I don't wanna ride it!\Make up your mind already!\We can't depart with you like this!\I'll ride! But please, run so that it doesn't sway at all!\That's impossible! response:	Attention, passengers.
context: I don't want to ride it!\But if I don't, I can't get to Onibus...\But I don't wanna ride it!\Make up your mind already!\We can't depart with you like this!\I'll ride! But please, run so that it doesn't sway at all!\That's impossible!\Attention, passengers. response:	Due to a railway accident, this train will be returning before reaching Onibus.
context: But if I don't, I can't get to Onibus...\But I don't wanna ride it!\Make up your mind already!\We can't depart with you like this!\I'll ride! But please, run so that it doesn't sway at all!\That's impossible!\Attention, passengers.\Due to a railway accident, this train will be returning before reaching Onibus. response:	This train will not stop at Onibus.
context: But I don't wanna ride it!\Make up your mind already!\We can't depart with you like this!\I'll ride! But please, run so that it doesn't sway at all!\That's impossible!\Attention, passengers.\Due to a railway accident, this train will be returning before reaching Onibus.\This train will not stop at Onibus. response:	It is running between Magnolia and prior to Onibus.
context: Make up your mind already!\We can't depart with you like this!\I'll ride! But please, run so that it doesn't sway at all!\That's impossible!\Attention, passengers.\Due to a railway accident, this train will be returning before reaching Onibus.\This train will not stop at Onibus.\It is running between Magnolia and prior to Onibus. response:	I'm sure glad the rain let up.
context: We can't depart with you like this!\I'll ride! But please, run so that it doesn't sway at all!\That's impossible!\Attention, passengers.\Due to a railway accident, this train will be returning before reaching Onibus.\This train will not stop at Onibus.\It is running between Magnolia and prior to Onibus.\I'm sure glad the rain let up. response:	But it's getting dark.
context: I'll ride! But please, run so that it doesn't sway at all!\That's impossible!\Attention, passengers.\Due to a railway accident, this train will be returning before reaching Onibus.\This train will not stop at Onibus.\It is running between Magnolia and prior to Onibus.\I'm sure glad the rain let up.\But it's getting dark. response:	Looks like we're going to have to camp out tonight.
context: That's impossible!\Attention, passengers.\Due to a railway accident, this train will be returning before reaching Onibus.\This train will not stop at Onibus.\It is running between Magnolia and prior to Onibus.\I'm sure glad the rain let up.\But it's getting dark.\Looks like we're going to have to camp out tonight. response:	We can sleep in that cave,
context: Attention, passengers.\Due to a railway accident, this train will be returning before reaching Onibus.\This train will not stop at Onibus.\It is running between Magnolia and prior to Onibus.\I'm sure glad the rain let up.\But it's getting dark.\Looks like we're going to have to camp out tonight.\We can sleep in that cave, response:	but the problem is food.
context: Due to a railway accident, this train will be returning before reaching Onibus.\This train will not stop at Onibus.\It is running between Magnolia and prior to Onibus.\I'm sure glad the rain let up.\But it's getting dark.\Looks like we're going to have to camp out tonight.\We can sleep in that cave,\but the problem is food. response:	You could at least help us gather food.
context: This train will not stop at Onibus.\It is running between Magnolia and prior to Onibus.\I'm sure glad the rain let up.\But it's getting dark.\Looks like we're going to have to camp out tonight.\We can sleep in that cave,\but the problem is food.\You could at least help us gather food. response:	Otherwise, we'll be so hungry we'll faint!
context: It is running between Magnolia and prior to Onibus.\I'm sure glad the rain let up.\But it's getting dark.\Looks like we're going to have to camp out tonight.\We can sleep in that cave,\but the problem is food.\You could at least help us gather food.\Otherwise, we'll be so hungry we'll faint! response:	Worry not.
context: I'm sure glad the rain let up.\But it's getting dark.\Looks like we're going to have to camp out tonight.\We can sleep in that cave,\but the problem is food.\You could at least help us gather food.\Otherwise, we'll be so hungry we'll faint!\Worry not. response:	I am a man who knows what should, and shouldn't, be done.
context: But it's getting dark.\Looks like we're going to have to camp out tonight.\We can sleep in that cave,\but the problem is food.\You could at least help us gather food.\Otherwise, we'll be so hungry we'll faint!\Worry not.\I am a man who knows what should, and shouldn't, be done. response:	Everything he says is stiff, stiff, stiff...
context: Looks like we're going to have to camp out tonight.\We can sleep in that cave,\but the problem is food.\You could at least help us gather food.\Otherwise, we'll be so hungry we'll faint!\Worry not.\I am a man who knows what should, and shouldn't, be done.\Everything he says is stiff, stiff, stiff... response:	I have an idea of what we may do for food. I will make preparations shortly.
context: We can sleep in that cave,\but the problem is food.\You could at least help us gather food.\Otherwise, we'll be so hungry we'll faint!\Worry not.\I am a man who knows what should, and shouldn't, be done.\Everything he says is stiff, stiff, stiff...\I have an idea of what we may do for food. I will make preparations shortly. response:	Really?
context: but the problem is food.\You could at least help us gather food.\Otherwise, we'll be so hungry we'll faint!\Worry not.\I am a man who knows what should, and shouldn't, be done.\Everything he says is stiff, stiff, stiff...\I have an idea of what we may do for food. I will make preparations shortly.\Really? response:	That's a member of the Raijinshuu for you!
context: You could at least help us gather food.\Otherwise, we'll be so hungry we'll faint!\Worry not.\I am a man who knows what should, and shouldn't, be done.\Everything he says is stiff, stiff, stiff...\I have an idea of what we may do for food. I will make preparations shortly.\Really?\That's a member of the Raijinshuu for you! response:	You can count on them when times get tough!
context: Otherwise, we'll be so hungry we'll faint!\Worry not.\I am a man who knows what should, and shouldn't, be done.\Everything he says is stiff, stiff, stiff...\I have an idea of what we may do for food. I will make preparations shortly.\Really?\That's a member of the Raijinshuu for you!\You can count on them when times get tough! response:	Yeah!
context: Worry not.\I am a man who knows what should, and shouldn't, be done.\Everything he says is stiff, stiff, stiff...\I have an idea of what we may do for food. I will make preparations shortly.\Really?\That's a member of the Raijinshuu for you!\You can count on them when times get tough!\Yeah! response:	When you enter these runes...
context: I am a man who knows what should, and shouldn't, be done.\Everything he says is stiff, stiff, stiff...\I have an idea of what we may do for food. I will make preparations shortly.\Really?\That's a member of the Raijinshuu for you!\You can count on them when times get tough!\Yeah!\When you enter these runes... response:	Why winged fish?!
context: Everything he says is stiff, stiff, stiff...\I have an idea of what we may do for food. I will make preparations shortly.\Really?\That's a member of the Raijinshuu for you!\You can count on them when times get tough!\Yeah!\When you enter these runes...\Why winged fish?! response:	This is near the winged fish's migration route.
context: I have an idea of what we may do for food. I will make preparations shortly.\Really?\That's a member of the Raijinshuu for you!\You can count on them when times get tough!\Yeah!\When you enter these runes...\Why winged fish?!\This is near the winged fish's migration route. response:	Now is the season where flocks of winged fish come to lay eggs.
context: Really?\That's a member of the Raijinshuu for you!\You can count on them when times get tough!\Yeah!\When you enter these runes...\Why winged fish?!\This is near the winged fish's migration route.\Now is the season where flocks of winged fish come to lay eggs. response:	Can you eat these?
context: That's a member of the Raijinshuu for you!\You can count on them when times get tough!\Yeah!\When you enter these runes...\Why winged fish?!\This is near the winged fish's migration route.\Now is the season where flocks of winged fish come to lay eggs.\Can you eat these? response:	They're really gross...
