context: Once upon a time, there was a princess who was held captive. response:	She was imprisoned in the demon king's castle.
context: Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Am I not Uzura zura?\What's this zura?\It turns zura!\Caw, caw...\Hello, Kraehe. Come over here.\Prince... response:	Why the haunted look?
context: Edel-san's?\Am I not Uzura zura?\What's this zura?\It turns zura!\Caw, caw...\Hello, Kraehe. Come over here.\Prince...\Why the haunted look? response:	Let's enjoy ourselves.
context: Am I not Uzura zura?\What's this zura?\It turns zura!\Caw, caw...\Hello, Kraehe. Come over here.\Prince...\Why the haunted look?\Let's enjoy ourselves. response:	I want to get all my feelings back soon...
context: What's this zura?\It turns zura!\Caw, caw...\Hello, Kraehe. Come over here.\Prince...\Why the haunted look?\Let's enjoy ourselves.\I want to get all my feelings back soon... response:	And then I have to give the raven my heart.
context: It turns zura!\Caw, caw...\Hello, Kraehe. Come over here.\Prince...\Why the haunted look?\Let's enjoy ourselves.\I want to get all my feelings back soon...\And then I have to give the raven my heart. response:	What? What are you talking about?
context: Caw, caw...\Hello, Kraehe. Come over here.\Prince...\Why the haunted look?\Let's enjoy ourselves.\I want to get all my feelings back soon...\And then I have to give the raven my heart.\What? What are you talking about? response:	You're joking, right? You're fated to marry me.
context: Hello, Kraehe. Come over here.\Prince...\Why the haunted look?\Let's enjoy ourselves.\I want to get all my feelings back soon...\And then I have to give the raven my heart.\What? What are you talking about?\You're joking, right? You're fated to marry me. response:	You?
context: Prince...\Why the haunted look?\Let's enjoy ourselves.\I want to get all my feelings back soon...\And then I have to give the raven my heart.\What? What are you talking about?\You're joking, right? You're fated to marry me.\You? response:	You, who despite being a crow have been born into an ugly human body?
context: Why the haunted look?\Let's enjoy ourselves.\I want to get all my feelings back soon...\And then I have to give the raven my heart.\What? What are you talking about?\You're joking, right? You're fated to marry me.\You?\You, who despite being a crow have been born into an ugly human body? response:	YOU must be joking, right?
context: Let's enjoy ourselves.\I want to get all my feelings back soon...\And then I have to give the raven my heart.\What? What are you talking about?\You're joking, right? You're fated to marry me.\You?\You, who despite being a crow have been born into an ugly human body?\YOU must be joking, right? response:	The only thing you're allowed to do is love me.
context: I want to get all my feelings back soon...\And then I have to give the raven my heart.\What? What are you talking about?\You're joking, right? You're fated to marry me.\You?\You, who despite being a crow have been born into an ugly human body?\YOU must be joking, right?\The only thing you're allowed to do is love me. response:	When you dyed my heart with raven's blood, our fates were sealed.
context: And then I have to give the raven my heart.\What? What are you talking about?\You're joking, right? You're fated to marry me.\You?\You, who despite being a crow have been born into an ugly human body?\YOU must be joking, right?\The only thing you're allowed to do is love me.\When you dyed my heart with raven's blood, our fates were sealed. response:	But I did just what Father told me to!
context: What? What are you talking about?\You're joking, right? You're fated to marry me.\You?\You, who despite being a crow have been born into an ugly human body?\YOU must be joking, right?\The only thing you're allowed to do is love me.\When you dyed my heart with raven's blood, our fates were sealed.\But I did just what Father told me to! response:	Then I... Then I'd rather just take his heart out again...
context: You're joking, right? You're fated to marry me.\You?\You, who despite being a crow have been born into an ugly human body?\YOU must be joking, right?\The only thing you're allowed to do is love me.\When you dyed my heart with raven's blood, our fates were sealed.\But I did just what Father told me to!\Then I... Then I'd rather just take his heart out again... response:	But I don't have the prince's sword.
context: You?\You, who despite being a crow have been born into an ugly human body?\YOU must be joking, right?\The only thing you're allowed to do is love me.\When you dyed my heart with raven's blood, our fates were sealed.\But I did just what Father told me to!\Then I... Then I'd rather just take his heart out again...\But I don't have the prince's sword. response:	If I thrust this blade into the prince, he might die.
context: You, who despite being a crow have been born into an ugly human body?\YOU must be joking, right?\The only thing you're allowed to do is love me.\When you dyed my heart with raven's blood, our fates were sealed.\But I did just what Father told me to!\Then I... Then I'd rather just take his heart out again...\But I don't have the prince's sword.\If I thrust this blade into the prince, he might die. response:	That's fine. If that happens, I too will...
context: YOU must be joking, right?\The only thing you're allowed to do is love me.\When you dyed my heart with raven's blood, our fates were sealed.\But I did just what Father told me to!\Then I... Then I'd rather just take his heart out again...\But I don't have the prince's sword.\If I thrust this blade into the prince, he might die.\That's fine. If that happens, I too will... response:	When you've ripped out my heart, kiss it for me and dye your lips red with my blood.
context: The only thing you're allowed to do is love me.\When you dyed my heart with raven's blood, our fates were sealed.\But I did just what Father told me to!\Then I... Then I'd rather just take his heart out again...\But I don't have the prince's sword.\If I thrust this blade into the prince, he might die.\That's fine. If that happens, I too will...\When you've ripped out my heart, kiss it for me and dye your lips red with my blood. response:	What's the matter? Can't you do it?
context: When you dyed my heart with raven's blood, our fates were sealed.\But I did just what Father told me to!\Then I... Then I'd rather just take his heart out again...\But I don't have the prince's sword.\If I thrust this blade into the prince, he might die.\That's fine. If that happens, I too will...\When you've ripped out my heart, kiss it for me and dye your lips red with my blood.\What's the matter? Can't you do it? response:	Looks like that's your limit.
context: But I did just what Father told me to!\Then I... Then I'd rather just take his heart out again...\But I don't have the prince's sword.\If I thrust this blade into the prince, he might die.\That's fine. If that happens, I too will...\When you've ripped out my heart, kiss it for me and dye your lips red with my blood.\What's the matter? Can't you do it?\Looks like that's your limit. response:	Picking Drosselmeyer's grave to write at was pretty sharp, for you,
context: Then I... Then I'd rather just take his heart out again...\But I don't have the prince's sword.\If I thrust this blade into the prince, he might die.\That's fine. If that happens, I too will...\When you've ripped out my heart, kiss it for me and dye your lips red with my blood.\What's the matter? Can't you do it?\Looks like that's your limit.\Picking Drosselmeyer's grave to write at was pretty sharp, for you, response:	but if the words you should be writing aren't coming to you
context: But I don't have the prince's sword.\If I thrust this blade into the prince, he might die.\That's fine. If that happens, I too will...\When you've ripped out my heart, kiss it for me and dye your lips red with my blood.\What's the matter? Can't you do it?\Looks like that's your limit.\Picking Drosselmeyer's grave to write at was pretty sharp, for you,\but if the words you should be writing aren't coming to you response:	without you even having to think...
context: If I thrust this blade into the prince, he might die.\That's fine. If that happens, I too will...\When you've ripped out my heart, kiss it for me and dye your lips red with my blood.\What's the matter? Can't you do it?\Looks like that's your limit.\Picking Drosselmeyer's grave to write at was pretty sharp, for you,\but if the words you should be writing aren't coming to you\without you even having to think... response:	Can you please be a little quieter?
context: That's fine. If that happens, I too will...\When you've ripped out my heart, kiss it for me and dye your lips red with my blood.\What's the matter? Can't you do it?\Looks like that's your limit.\Picking Drosselmeyer's grave to write at was pretty sharp, for you,\but if the words you should be writing aren't coming to you\without you even having to think...\Can you please be a little quieter? response:	And when I have so much I want to write right now too...
context: When you've ripped out my heart, kiss it for me and dye your lips red with my blood.\What's the matter? Can't you do it?\Looks like that's your limit.\Picking Drosselmeyer's grave to write at was pretty sharp, for you,\but if the words you should be writing aren't coming to you\without you even having to think...\Can you please be a little quieter?\And when I have so much I want to write right now too... response:	It's ironic.
context: What's the matter? Can't you do it?\Looks like that's your limit.\Picking Drosselmeyer's grave to write at was pretty sharp, for you,\but if the words you should be writing aren't coming to you\without you even having to think...\Can you please be a little quieter?\And when I have so much I want to write right now too...\It's ironic. response:	I have to write fast... fast...
context: Looks like that's your limit.\Picking Drosselmeyer's grave to write at was pretty sharp, for you,\but if the words you should be writing aren't coming to you\without you even having to think...\Can you please be a little quieter?\And when I have so much I want to write right now too...\It's ironic.\I have to write fast... fast... response:	Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story...
context: Picking Drosselmeyer's grave to write at was pretty sharp, for you,\but if the words you should be writing aren't coming to you\without you even having to think...\Can you please be a little quieter?\And when I have so much I want to write right now too...\It's ironic.\I have to write fast... fast...\Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story... response:	Well, but that's fine too.
context: but if the words you should be writing aren't coming to you\without you even having to think...\Can you please be a little quieter?\And when I have so much I want to write right now too...\It's ironic.\I have to write fast... fast...\Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story...\Well, but that's fine too. response:	Well then! I'll be coming to see you very soon, Little Duck.
context: without you even having to think...\Can you please be a little quieter?\And when I have so much I want to write right now too...\It's ironic.\I have to write fast... fast...\Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story...\Well, but that's fine too.\Well then! I'll be coming to see you very soon, Little Duck. response:	Huh?
context: Can you please be a little quieter?\And when I have so much I want to write right now too...\It's ironic.\I have to write fast... fast...\Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story...\Well, but that's fine too.\Well then! I'll be coming to see you very soon, Little Duck.\Huh? response:	Who's there?
context: And when I have so much I want to write right now too...\It's ironic.\I have to write fast... fast...\Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story...\Well, but that's fine too.\Well then! I'll be coming to see you very soon, Little Duck.\Huh?\Who's there? response:	Drosselmeyer-san!
context: It's ironic.\I have to write fast... fast...\Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story...\Well, but that's fine too.\Well then! I'll be coming to see you very soon, Little Duck.\Huh?\Who's there?\Drosselmeyer-san! response:	Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him!
context: I have to write fast... fast...\Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story...\Well, but that's fine too.\Well then! I'll be coming to see you very soon, Little Duck.\Huh?\Who's there?\Drosselmeyer-san!\Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him! response:	Have you found all the heart shards?
context: Dear me. You'd be so much better off if you'd only be a good boy and let yourself be manipulated by the story...\Well, but that's fine too.\Well then! I'll be coming to see you very soon, Little Duck.\Huh?\Who's there?\Drosselmeyer-san!\Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him!\Have you found all the heart shards? response:	What? Um, I think the rest are hidden in the five gates...
context: Well, but that's fine too.\Well then! I'll be coming to see you very soon, Little Duck.\Huh?\Who's there?\Drosselmeyer-san!\Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him!\Have you found all the heart shards?\What? Um, I think the rest are hidden in the five gates... response:	Congratulations!
context: Well then! I'll be coming to see you very soon, Little Duck.\Huh?\Who's there?\Drosselmeyer-san!\Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him!\Have you found all the heart shards?\What? Um, I think the rest are hidden in the five gates...\Congratulations! response:	What? Then, if I return those to him, the prince will go back to normal and defeat the raven...
context: Huh?\Who's there?\Drosselmeyer-san!\Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him!\Have you found all the heart shards?\What? Um, I think the rest are hidden in the five gates...\Congratulations!\What? Then, if I return those to him, the prince will go back to normal and defeat the raven... response:	No, no. That would be boring.
context: Who's there?\Drosselmeyer-san!\Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him!\Have you found all the heart shards?\What? Um, I think the rest are hidden in the five gates...\Congratulations!\What? Then, if I return those to him, the prince will go back to normal and defeat the raven...\No, no. That would be boring. response:	You're a story character, you can do better than that!
context: Drosselmeyer-san!\Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him!\Have you found all the heart shards?\What? Um, I think the rest are hidden in the five gates...\Congratulations!\What? Then, if I return those to him, the prince will go back to normal and defeat the raven...\No, no. That would be boring.\You're a story character, you can do better than that! response:	Story character? But I'm really just a duck...
context: Um, what did they mean when they said I stopped the story? I'm... trying my best to return the prince's heart to him!\Have you found all the heart shards?\What? Um, I think the rest are hidden in the five gates...\Congratulations!\What? Then, if I return those to him, the prince will go back to normal and defeat the raven...\No, no. That would be boring.\You're a story character, you can do better than that!\Story character? But I'm really just a duck... response:	But you're inside the story right now.
context: Have you found all the heart shards?\What? Um, I think the rest are hidden in the five gates...\Congratulations!\What? Then, if I return those to him, the prince will go back to normal and defeat the raven...\No, no. That would be boring.\You're a story character, you can do better than that!\Story character? But I'm really just a duck...\But you're inside the story right now. response:	Everyone is. Look.
context: What? Um, I think the rest are hidden in the five gates...\Congratulations!\What? Then, if I return those to him, the prince will go back to normal and defeat the raven...\No, no. That would be boring.\You're a story character, you can do better than that!\Story character? But I'm really just a duck...\But you're inside the story right now.\Everyone is. Look. response:	What?
context: Congratulations!\What? Then, if I return those to him, the prince will go back to normal and defeat the raven...\No, no. That would be boring.\You're a story character, you can do better than that!\Story character? But I'm really just a duck...\But you're inside the story right now.\Everyone is. Look.\What? response:	Rue-chan!
context: What? Then, if I return those to him, the prince will go back to normal and defeat the raven...\No, no. That would be boring.\You're a story character, you can do better than that!\Story character? But I'm really just a duck...\But you're inside the story right now.\Everyone is. Look.\What?\Rue-chan! response:	Fakir...
context: No, no. That would be boring.\You're a story character, you can do better than that!\Story character? But I'm really just a duck...\But you're inside the story right now.\Everyone is. Look.\What?\Rue-chan!\Fakir... response:	Mytho...
context: You're a story character, you can do better than that!\Story character? But I'm really just a duck...\But you're inside the story right now.\Everyone is. Look.\What?\Rue-chan!\Fakir...\Mytho... response:	Everyone's suffering, you see?
context: Story character? But I'm really just a duck...\But you're inside the story right now.\Everyone is. Look.\What?\Rue-chan!\Fakir...\Mytho...\Everyone's suffering, you see? response:	This is the way it has to be.
context: But you're inside the story right now.\Everyone is. Look.\What?\Rue-chan!\Fakir...\Mytho...\Everyone's suffering, you see?\This is the way it has to be. response:	Confess your love and vanish as a speck of light or never confess your love and lose your prince...
context: Everyone is. Look.\What?\Rue-chan!\Fakir...\Mytho...\Everyone's suffering, you see?\This is the way it has to be.\Confess your love and vanish as a speck of light or never confess your love and lose your prince... response:	I believe you have something to suffer over too, Tutu.
context: What?\Rue-chan!\Fakir...\Mytho...\Everyone's suffering, you see?\This is the way it has to be.\Confess your love and vanish as a speck of light or never confess your love and lose your prince...\I believe you have something to suffer over too, Tutu. response:	Never mind that, I...
context: Rue-chan!\Fakir...\Mytho...\Everyone's suffering, you see?\This is the way it has to be.\Confess your love and vanish as a speck of light or never confess your love and lose your prince...\I believe you have something to suffer over too, Tutu.\Never mind that, I... response:	And yet! To think returning the prince to normal is more important to you than your own problems!
context: Fakir...\Mytho...\Everyone's suffering, you see?\This is the way it has to be.\Confess your love and vanish as a speck of light or never confess your love and lose your prince...\I believe you have something to suffer over too, Tutu.\Never mind that, I...\And yet! To think returning the prince to normal is more important to you than your own problems! response:	You're different now than the duck you once were, who only wished for the prince.
context: Mytho...\Everyone's suffering, you see?\This is the way it has to be.\Confess your love and vanish as a speck of light or never confess your love and lose your prince...\I believe you have something to suffer over too, Tutu.\Never mind that, I...\And yet! To think returning the prince to normal is more important to you than your own problems!\You're different now than the duck you once were, who only wished for the prince. response:	You should be in love with the prince and want to marry him!
context: Everyone's suffering, you see?\This is the way it has to be.\Confess your love and vanish as a speck of light or never confess your love and lose your prince...\I believe you have something to suffer over too, Tutu.\Never mind that, I...\And yet! To think returning the prince to normal is more important to you than your own problems!\You're different now than the duck you once were, who only wished for the prince.\You should be in love with the prince and want to marry him! response:	Don't you?
context: This is the way it has to be.\Confess your love and vanish as a speck of light or never confess your love and lose your prince...\I believe you have something to suffer over too, Tutu.\Never mind that, I...\And yet! To think returning the prince to normal is more important to you than your own problems!\You're different now than the duck you once were, who only wished for the prince.\You should be in love with the prince and want to marry him!\Don't you? response:	That's right.
context: Confess your love and vanish as a speck of light or never confess your love and lose your prince...\I believe you have something to suffer over too, Tutu.\Never mind that, I...\And yet! To think returning the prince to normal is more important to you than your own problems!\You're different now than the duck you once were, who only wished for the prince.\You should be in love with the prince and want to marry him!\Don't you?\That's right. response:	It's natural to want to make the prince yours and yours alone.
context: I believe you have something to suffer over too, Tutu.\Never mind that, I...\And yet! To think returning the prince to normal is more important to you than your own problems!\You're different now than the duck you once were, who only wished for the prince.\You should be in love with the prince and want to marry him!\Don't you?\That's right.\It's natural to want to make the prince yours and yours alone. response:	There's nothing to be ashamed of.
context: Never mind that, I...\And yet! To think returning the prince to normal is more important to you than your own problems!\You're different now than the duck you once were, who only wished for the prince.\You should be in love with the prince and want to marry him!\Don't you?\That's right.\It's natural to want to make the prince yours and yours alone.\There's nothing to be ashamed of. response:	How about this, for instance?
context: And yet! To think returning the prince to normal is more important to you than your own problems!\You're different now than the duck you once were, who only wished for the prince.\You should be in love with the prince and want to marry him!\Don't you?\That's right.\It's natural to want to make the prince yours and yours alone.\There's nothing to be ashamed of.\How about this, for instance? response:	Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates?
context: You're different now than the duck you once were, who only wished for the prince.\You should be in love with the prince and want to marry him!\Don't you?\That's right.\It's natural to want to make the prince yours and yours alone.\There's nothing to be ashamed of.\How about this, for instance?\Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates? response:	What?
context: You should be in love with the prince and want to marry him!\Don't you?\That's right.\It's natural to want to make the prince yours and yours alone.\There's nothing to be ashamed of.\How about this, for instance?\Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates?\What? response:	After all, nobody else has realized, so if you do that, you won't have to part from the prince.
context: Don't you?\That's right.\It's natural to want to make the prince yours and yours alone.\There's nothing to be ashamed of.\How about this, for instance?\Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates?\What?\After all, nobody else has realized, so if you do that, you won't have to part from the prince. response:	But...
context: That's right.\It's natural to want to make the prince yours and yours alone.\There's nothing to be ashamed of.\How about this, for instance?\Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates?\What?\After all, nobody else has realized, so if you do that, you won't have to part from the prince.\But... response:	If you don't start thinking at least on that level, you'll probably never be able to get out of here.
context: It's natural to want to make the prince yours and yours alone.\There's nothing to be ashamed of.\How about this, for instance?\Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates?\What?\After all, nobody else has realized, so if you do that, you won't have to part from the prince.\But...\If you don't start thinking at least on that level, you'll probably never be able to get out of here. response:	And the story will stay stopped too...
context: There's nothing to be ashamed of.\How about this, for instance?\Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates?\What?\After all, nobody else has realized, so if you do that, you won't have to part from the prince.\But...\If you don't start thinking at least on that level, you'll probably never be able to get out of here.\And the story will stay stopped too... response:	What is this? Tutu is here, and yet the gears are moving?
context: How about this, for instance?\Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates?\What?\After all, nobody else has realized, so if you do that, you won't have to part from the prince.\But...\If you don't start thinking at least on that level, you'll probably never be able to get out of here.\And the story will stay stopped too...\What is this? Tutu is here, and yet the gears are moving? response:	Oh!
context: Why not pretend you haven't realized that the remaining heart shards are hidden in the five gates?\What?\After all, nobody else has realized, so if you do that, you won't have to part from the prince.\But...\If you don't start thinking at least on that level, you'll probably never be able to get out of here.\And the story will stay stopped too...\What is this? Tutu is here, and yet the gears are moving?\Oh! response:	Now THIS is interesting. The gears are turning backwards.
context: What?\After all, nobody else has realized, so if you do that, you won't have to part from the prince.\But...\If you don't start thinking at least on that level, you'll probably never be able to get out of here.\And the story will stay stopped too...\What is this? Tutu is here, and yet the gears are moving?\Oh!\Now THIS is interesting. The gears are turning backwards. response:	The story will double back.
context: After all, nobody else has realized, so if you do that, you won't have to part from the prince.\But...\If you don't start thinking at least on that level, you'll probably never be able to get out of here.\And the story will stay stopped too...\What is this? Tutu is here, and yet the gears are moving?\Oh!\Now THIS is interesting. The gears are turning backwards.\The story will double back. response:	What?
context: But...\If you don't start thinking at least on that level, you'll probably never be able to get out of here.\And the story will stay stopped too...\What is this? Tutu is here, and yet the gears are moving?\Oh!\Now THIS is interesting. The gears are turning backwards.\The story will double back.\What? response:	Even I didn't think of this!
context: If you don't start thinking at least on that level, you'll probably never be able to get out of here.\And the story will stay stopped too...\What is this? Tutu is here, and yet the gears are moving?\Oh!\Now THIS is interesting. The gears are turning backwards.\The story will double back.\What?\Even I didn't think of this! response:	Now, I wonder what will happen...
context: And the story will stay stopped too...\What is this? Tutu is here, and yet the gears are moving?\Oh!\Now THIS is interesting. The gears are turning backwards.\The story will double back.\What?\Even I didn't think of this!\Now, I wonder what will happen... response:	I don't understand anymore...
context: What is this? Tutu is here, and yet the gears are moving?\Oh!\Now THIS is interesting. The gears are turning backwards.\The story will double back.\What?\Even I didn't think of this!\Now, I wonder what will happen...\I don't understand anymore... response:	I believed that my marriage to the prince was the fate the story had decided for us.
context: Oh!\Now THIS is interesting. The gears are turning backwards.\The story will double back.\What?\Even I didn't think of this!\Now, I wonder what will happen...\I don't understand anymore...\I believed that my marriage to the prince was the fate the story had decided for us. response:	Was I wrong?
context: Now THIS is interesting. The gears are turning backwards.\The story will double back.\What?\Even I didn't think of this!\Now, I wonder what will happen...\I don't understand anymore...\I believed that my marriage to the prince was the fate the story had decided for us.\Was I wrong? response:	What should I believe?
context: The story will double back.\What?\Even I didn't think of this!\Now, I wonder what will happen...\I don't understand anymore...\I believed that my marriage to the prince was the fate the story had decided for us.\Was I wrong?\What should I believe? response:	Who should I believe?
context: What?\Even I didn't think of this!\Now, I wonder what will happen...\I don't understand anymore...\I believed that my marriage to the prince was the fate the story had decided for us.\Was I wrong?\What should I believe?\Who should I believe? response:	I want to just go back to that time before I remembered everything...
context: Even I didn't think of this!\Now, I wonder what will happen...\I don't understand anymore...\I believed that my marriage to the prince was the fate the story had decided for us.\Was I wrong?\What should I believe?\Who should I believe?\I want to just go back to that time before I remembered everything... response:	That time when I was Rue...
context: Now, I wonder what will happen...\I don't understand anymore...\I believed that my marriage to the prince was the fate the story had decided for us.\Was I wrong?\What should I believe?\Who should I believe?\I want to just go back to that time before I remembered everything...\That time when I was Rue... response:	Help!
context: I don't understand anymore...\I believed that my marriage to the prince was the fate the story had decided for us.\Was I wrong?\What should I believe?\Who should I believe?\I want to just go back to that time before I remembered everything...\That time when I was Rue...\Help! response:	I'm sorry, Father!
context: I believed that my marriage to the prince was the fate the story had decided for us.\Was I wrong?\What should I believe?\Who should I believe?\I want to just go back to that time before I remembered everything...\That time when I was Rue...\Help!\I'm sorry, Father! response:	Don't take my heart! Forgive me!
context: Was I wrong?\What should I believe?\Who should I believe?\I want to just go back to that time before I remembered everything...\That time when I was Rue...\Help!\I'm sorry, Father!\Don't take my heart! Forgive me! response:	That's...
context: What should I believe?\Who should I believe?\I want to just go back to that time before I remembered everything...\That time when I was Rue...\Help!\I'm sorry, Father!\Don't take my heart! Forgive me!\That's... response:	I'll be a good girl!
context: Who should I believe?\I want to just go back to that time before I remembered everything...\That time when I was Rue...\Help!\I'm sorry, Father!\Don't take my heart! Forgive me!\That's...\I'll be a good girl! response:	Get behind me.
context: I want to just go back to that time before I remembered everything...\That time when I was Rue...\Help!\I'm sorry, Father!\Don't take my heart! Forgive me!\That's...\I'll be a good girl!\Get behind me. response:	That's the prince back when I first met him.
context: That time when I was Rue...\Help!\I'm sorry, Father!\Don't take my heart! Forgive me!\That's...\I'll be a good girl!\Get behind me.\That's the prince back when I first met him. response:	You don't have to worry anymore.
context: Help!\I'm sorry, Father!\Don't take my heart! Forgive me!\That's...\I'll be a good girl!\Get behind me.\That's the prince back when I first met him.\You don't have to worry anymore. response:	Does it hurt?
context: I'm sorry, Father!\Don't take my heart! Forgive me!\That's...\I'll be a good girl!\Get behind me.\That's the prince back when I first met him.\You don't have to worry anymore.\Does it hurt? response:	Um... Here's some water.
context: Don't take my heart! Forgive me!\That's...\I'll be a good girl!\Get behind me.\That's the prince back when I first met him.\You don't have to worry anymore.\Does it hurt?\Um... Here's some water. response:	Thank you.
context: That's...\I'll be a good girl!\Get behind me.\That's the prince back when I first met him.\You don't have to worry anymore.\Does it hurt?\Um... Here's some water.\Thank you. response:	I have to go back.
context: I'll be a good girl!\Get behind me.\That's the prince back when I first met him.\You don't have to worry anymore.\Does it hurt?\Um... Here's some water.\Thank you.\I have to go back. response:	Back where?
context: Get behind me.\That's the prince back when I first met him.\You don't have to worry anymore.\Does it hurt?\Um... Here's some water.\Thank you.\I have to go back.\Back where? response:	To where my father is.
context: That's the prince back when I first met him.\You don't have to worry anymore.\Does it hurt?\Um... Here's some water.\Thank you.\I have to go back.\Back where?\To where my father is. response:	Who are you?
context: You don't have to worry anymore.\Does it hurt?\Um... Here's some water.\Thank you.\I have to go back.\Back where?\To where my father is.\Who are you? response:	I'm...
context: Does it hurt?\Um... Here's some water.\Thank you.\I have to go back.\Back where?\To where my father is.\Who are you?\I'm... response:	My pitiful daughter, who despite being a crow has been born into an ugly human body...
context: Um... Here's some water.\Thank you.\I have to go back.\Back where?\To where my father is.\Who are you?\I'm...\My pitiful daughter, who despite being a crow has been born into an ugly human body... response:	I'm not a crow! I'm a person!
context: Thank you.\I have to go back.\Back where?\To where my father is.\Who are you?\I'm...\My pitiful daughter, who despite being a crow has been born into an ugly human body...\I'm not a crow! I'm a person! response:	I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!
context: I have to go back.\Back where?\To where my father is.\Who are you?\I'm...\My pitiful daughter, who despite being a crow has been born into an ugly human body...\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue! response:	Can I come see you again?
context: Back where?\To where my father is.\Who are you?\I'm...\My pitiful daughter, who despite being a crow has been born into an ugly human body...\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\Can I come see you again? response:	Yes.
context: To where my father is.\Who are you?\I'm...\My pitiful daughter, who despite being a crow has been born into an ugly human body...\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\Can I come see you again?\Yes. response:	Goodbye!
context: Who are you?\I'm...\My pitiful daughter, who despite being a crow has been born into an ugly human body...\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\Can I come see you again?\Yes.\Goodbye! response:	What's going on?!
context: I'm...\My pitiful daughter, who despite being a crow has been born into an ugly human body...\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\Can I come see you again?\Yes.\Goodbye!\What's going on?! response:	The story is flowing backwards!
context: My pitiful daughter, who despite being a crow has been born into an ugly human body...\I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\Can I come see you again?\Yes.\Goodbye!\What's going on?!\The story is flowing backwards! response:	What?!
context: I'm not a crow! I'm a person!\I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\Can I come see you again?\Yes.\Goodbye!\What's going on?!\The story is flowing backwards!\What?! response:	Stop it! Stop it with your pen, Fakir!
context: I'm Krae... no, Rae... Ree... Rue... Yes, my name is Rue!\Can I come see you again?\Yes.\Goodbye!\What's going on?!\The story is flowing backwards!\What?!\Stop it! Stop it with your pen, Fakir! response:	It's... doubling back?
context: Can I come see you again?\Yes.\Goodbye!\What's going on?!\The story is flowing backwards!\What?!\Stop it! Stop it with your pen, Fakir!\It's... doubling back? response:	I've experienced a lot of new feelings since becoming a human girl.
context: Yes.\Goodbye!\What's going on?!\The story is flowing backwards!\What?!\Stop it! Stop it with your pen, Fakir!\It's... doubling back?\I've experienced a lot of new feelings since becoming a human girl. response:	I never imagined that my feelings for Mytho would grow so much.
context: Goodbye!\What's going on?!\The story is flowing backwards!\What?!\Stop it! Stop it with your pen, Fakir!\It's... doubling back?\I've experienced a lot of new feelings since becoming a human girl.\I never imagined that my feelings for Mytho would grow so much. response:	I'll never go back!
context: What's going on?!\The story is flowing backwards!\What?!\Stop it! Stop it with your pen, Fakir!\It's... doubling back?\I've experienced a lot of new feelings since becoming a human girl.\I never imagined that my feelings for Mytho would grow so much.\I'll never go back! response:	Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom!
context: The story is flowing backwards!\What?!\Stop it! Stop it with your pen, Fakir!\It's... doubling back?\I've experienced a lot of new feelings since becoming a human girl.\I never imagined that my feelings for Mytho would grow so much.\I'll never go back!\Not to that time when I clung to my sword and never said anything but words that took away Mytho's freedom! response:	My feelings belong to me...
