context: I didn't know you were in a relationship, Akane. response:	Miu messaged me on LINE.
context: Yum.\We have them at my place all the time.\Lucky.\I used to hate them. They're so old-fashioned.\I like them now, though.\I have one of these.\It feels really nice. Try it.\You're right. response:	I want one, too.
context: We have them at my place all the time.\Lucky.\I used to hate them. They're so old-fashioned.\I like them now, though.\I have one of these.\It feels really nice. Try it.\You're right.\I want one, too. response:	Aw, these are cute!
context: Lucky.\I used to hate them. They're so old-fashioned.\I like them now, though.\I have one of these.\It feels really nice. Try it.\You're right.\I want one, too.\Aw, these are cute! response:	They're so adorable!
context: I used to hate them. They're so old-fashioned.\I like them now, though.\I have one of these.\It feels really nice. Try it.\You're right.\I want one, too.\Aw, these are cute!\They're so adorable! response:	I like Japanese-style stuff.
context: I like them now, though.\I have one of these.\It feels really nice. Try it.\You're right.\I want one, too.\Aw, these are cute!\They're so adorable!\I like Japanese-style stuff. response:	Yeah?
context: I have one of these.\It feels really nice. Try it.\You're right.\I want one, too.\Aw, these are cute!\They're so adorable!\I like Japanese-style stuff.\Yeah? response:	It suits you.
context: It feels really nice. Try it.\You're right.\I want one, too.\Aw, these are cute!\They're so adorable!\I like Japanese-style stuff.\Yeah?\It suits you. response:	Fortunes?
context: You're right.\I want one, too.\Aw, these are cute!\They're so adorable!\I like Japanese-style stuff.\Yeah?\It suits you.\Fortunes? response:	When's your birthday?
context: I want one, too.\Aw, these are cute!\They're so adorable!\I like Japanese-style stuff.\Yeah?\It suits you.\Fortunes?\When's your birthday? response:	August 7th.
context: Aw, these are cute!\They're so adorable!\I like Japanese-style stuff.\Yeah?\It suits you.\Fortunes?\When's your birthday?\August 7th. response:	It's already past!
context: They're so adorable!\I like Japanese-style stuff.\Yeah?\It suits you.\Fortunes?\When's your birthday?\August 7th.\It's already past! response:	Why?
context: I like Japanese-style stuff.\Yeah?\It suits you.\Fortunes?\When's your birthday?\August 7th.\It's already past!\Why? response:	Why what?
context: Yeah?\It suits you.\Fortunes?\When's your birthday?\August 7th.\It's already past!\Why?\Why what? response:	You should have told me!
context: It suits you.\Fortunes?\When's your birthday?\August 7th.\It's already past!\Why?\Why what?\You should have told me! response:	I didn't know.
context: Fortunes?\When's your birthday?\August 7th.\It's already past!\Why?\Why what?\You should have told me!\I didn't know. response:	We didn't do anything to celebrate.
context: When's your birthday?\August 7th.\It's already past!\Why?\Why what?\You should have told me!\I didn't know.\We didn't do anything to celebrate. response:	It's fine.
context: August 7th.\It's already past!\Why?\Why what?\You should have told me!\I didn't know.\We didn't do anything to celebrate.\It's fine. response:	Aw, man...
context: It's already past!\Why?\Why what?\You should have told me!\I didn't know.\We didn't do anything to celebrate.\It's fine.\Aw, man... response:	No one's ever celebrated it since it's during summer break.
context: Why?\Why what?\You should have told me!\I didn't know.\We didn't do anything to celebrate.\It's fine.\Aw, man...\No one's ever celebrated it since it's during summer break. response:	I'm going to go call home again.
context: Why what?\You should have told me!\I didn't know.\We didn't do anything to celebrate.\It's fine.\Aw, man...\No one's ever celebrated it since it's during summer break.\I'm going to go call home again. response:	Home?
context: You should have told me!\I didn't know.\We didn't do anything to celebrate.\It's fine.\Aw, man...\No one's ever celebrated it since it's during summer break.\I'm going to go call home again.\Home? response:	Smartphone Covers
context: I didn't know.\We didn't do anything to celebrate.\It's fine.\Aw, man...\No one's ever celebrated it since it's during summer break.\I'm going to go call home again.\Home?\Smartphone Covers response:	Japanese Patterns
context: We didn't do anything to celebrate.\It's fine.\Aw, man...\No one's ever celebrated it since it's during summer break.\I'm going to go call home again.\Home?\Smartphone Covers\Japanese Patterns response:	Money...
context: It's fine.\Aw, man...\No one's ever celebrated it since it's during summer break.\I'm going to go call home again.\Home?\Smartphone Covers\Japanese Patterns\Money... response:	I'm back.
context: Aw, man...\No one's ever celebrated it since it's during summer break.\I'm going to go call home again.\Home?\Smartphone Covers\Japanese Patterns\Money...\I'm back. response:	Done?
context: No one's ever celebrated it since it's during summer break.\I'm going to go call home again.\Home?\Smartphone Covers\Japanese Patterns\Money...\I'm back.\Done? response:	Yeah.
context: I'm going to go call home again.\Home?\Smartphone Covers\Japanese Patterns\Money...\I'm back.\Done?\Yeah. response:	Um...
context: Home?\Smartphone Covers\Japanese Patterns\Money...\I'm back.\Done?\Yeah.\Um... response:	Let's go.
context: Smartphone Covers\Japanese Patterns\Money...\I'm back.\Done?\Yeah.\Um...\Let's go. response:	They're so pretty.
context: Japanese Patterns\Money...\I'm back.\Done?\Yeah.\Um...\Let's go.\They're so pretty. response:	I've never been here before.
context: Money...\I'm back.\Done?\Yeah.\Um...\Let's go.\They're so pretty.\I've never been here before. response:	It's amazing.
context: I'm back.\Done?\Yeah.\Um...\Let's go.\They're so pretty.\I've never been here before.\It's amazing. response:	Yeah.
context: Done?\Yeah.\Um...\Let's go.\They're so pretty.\I've never been here before.\It's amazing.\Yeah. response:	Apparently you can write wishes on the chimes.
context: Yeah.\Um...\Let's go.\They're so pretty.\I've never been here before.\It's amazing.\Yeah.\Apparently you can write wishes on the chimes. response:	Relationship Fortune Tags 500 yen each
context: Um...\Let's go.\They're so pretty.\I've never been here before.\It's amazing.\Yeah.\Apparently you can write wishes on the chimes.\Relationship Fortune Tags 500 yen each response:	May you be blessed with good relationships
context: Let's go.\They're so pretty.\I've never been here before.\It's amazing.\Yeah.\Apparently you can write wishes on the chimes.\Relationship Fortune Tags 500 yen each\May you be blessed with good relationships response:	I'd like two.
context: They're so pretty.\I've never been here before.\It's amazing.\Yeah.\Apparently you can write wishes on the chimes.\Relationship Fortune Tags 500 yen each\May you be blessed with good relationships\I'd like two. response:	One thousand yen, please.
context: I've never been here before.\It's amazing.\Yeah.\Apparently you can write wishes on the chimes.\Relationship Fortune Tags 500 yen each\May you be blessed with good relationships\I'd like two.\One thousand yen, please. response:	What did you write?
context: It's amazing.\Yeah.\Apparently you can write wishes on the chimes.\Relationship Fortune Tags 500 yen each\May you be blessed with good relationships\I'd like two.\One thousand yen, please.\What did you write? response:	It's a secret.
context: Yeah.\Apparently you can write wishes on the chimes.\Relationship Fortune Tags 500 yen each\May you be blessed with good relationships\I'd like two.\One thousand yen, please.\What did you write?\It's a secret. response:	It's embarrassing.
context: Apparently you can write wishes on the chimes.\Relationship Fortune Tags 500 yen each\May you be blessed with good relationships\I'd like two.\One thousand yen, please.\What did you write?\It's a secret.\It's embarrassing. response:	Want to keep going?
context: Relationship Fortune Tags 500 yen each\May you be blessed with good relationships\I'd like two.\One thousand yen, please.\What did you write?\It's a secret.\It's embarrassing.\Want to keep going? response:	Yeah, let's go.
context: May you be blessed with good relationships\I'd like two.\One thousand yen, please.\What did you write?\It's a secret.\It's embarrassing.\Want to keep going?\Yeah, let's go. response:	Ow.
context: I'd like two.\One thousand yen, please.\What did you write?\It's a secret.\It's embarrassing.\Want to keep going?\Yeah, let's go.\Ow. response:	What's wrong?
context: One thousand yen, please.\What did you write?\It's a secret.\It's embarrassing.\Want to keep going?\Yeah, let's go.\Ow.\What's wrong? response:	Sorry, I...
context: What did you write?\It's a secret.\It's embarrassing.\Want to keep going?\Yeah, let's go.\Ow.\What's wrong?\Sorry, I... response:	Can you give me a minute?
context: It's a secret.\It's embarrassing.\Want to keep going?\Yeah, let's go.\Ow.\What's wrong?\Sorry, I...\Can you give me a minute? response:	Let me.
context: It's embarrassing.\Want to keep going?\Yeah, let's go.\Ow.\What's wrong?\Sorry, I...\Can you give me a minute?\Let me. response:	There.
context: Want to keep going?\Yeah, let's go.\Ow.\What's wrong?\Sorry, I...\Can you give me a minute?\Let me.\There. response:	Thanks.
context: Yeah, let's go.\Ow.\What's wrong?\Sorry, I...\Can you give me a minute?\Let me.\There.\Thanks. response:	Let's go.
context: Ow.\What's wrong?\Sorry, I...\Can you give me a minute?\Let me.\There.\Thanks.\Let's go. response:	H-Hang on.
context: What's wrong?\Sorry, I...\Can you give me a minute?\Let me.\There.\Thanks.\Let's go.\H-Hang on. response:	Here.
context: Sorry, I...\Can you give me a minute?\Let me.\There.\Thanks.\Let's go.\H-Hang on.\Here. response:	Happy birthday.
context: Can you give me a minute?\Let me.\There.\Thanks.\Let's go.\H-Hang on.\Here.\Happy birthday. response:	Thanks.
context: Let me.\There.\Thanks.\Let's go.\H-Hang on.\Here.\Happy birthday.\Thanks. response:	Open it.
context: There.\Thanks.\Let's go.\H-Hang on.\Here.\Happy birthday.\Thanks.\Open it. response:	Sorry, I didn't have time to choose, so it's the same as mine.
context: Thanks.\Let's go.\H-Hang on.\Here.\Happy birthday.\Thanks.\Open it.\Sorry, I didn't have time to choose, so it's the same as mine. response:	Wow... I love it.
context: Let's go.\H-Hang on.\Here.\Happy birthday.\Thanks.\Open it.\Sorry, I didn't have time to choose, so it's the same as mine.\Wow... I love it. response:	Wait, did you just go buy it earlier?
context: H-Hang on.\Here.\Happy birthday.\Thanks.\Open it.\Sorry, I didn't have time to choose, so it's the same as mine.\Wow... I love it.\Wait, did you just go buy it earlier? response:	Yeah.
context: Here.\Happy birthday.\Thanks.\Open it.\Sorry, I didn't have time to choose, so it's the same as mine.\Wow... I love it.\Wait, did you just go buy it earlier?\Yeah. response:	Wow!
context: Happy birthday.\Thanks.\Open it.\Sorry, I didn't have time to choose, so it's the same as mine.\Wow... I love it.\Wait, did you just go buy it earlier?\Yeah.\Wow! response:	I'm glad you like it.
context: Thanks.\Open it.\Sorry, I didn't have time to choose, so it's the same as mine.\Wow... I love it.\Wait, did you just go buy it earlier?\Yeah.\Wow!\I'm glad you like it. response:	I didn't know when to give it to you, or if you'd even like it.
context: Open it.\Sorry, I didn't have time to choose, so it's the same as mine.\Wow... I love it.\Wait, did you just go buy it earlier?\Yeah.\Wow!\I'm glad you like it.\I didn't know when to give it to you, or if you'd even like it. response:	I couldn't stop thinking about it.
context: Sorry, I didn't have time to choose, so it's the same as mine.\Wow... I love it.\Wait, did you just go buy it earlier?\Yeah.\Wow!\I'm glad you like it.\I didn't know when to give it to you, or if you'd even like it.\I couldn't stop thinking about it. response:	The whole time I was thinking, Wow, the wind chimes are pretty,
context: Wow... I love it.\Wait, did you just go buy it earlier?\Yeah.\Wow!\I'm glad you like it.\I didn't know when to give it to you, or if you'd even like it.\I couldn't stop thinking about it.\The whole time I was thinking, Wow, the wind chimes are pretty, response:	my heart was pounding.
context: Wait, did you just go buy it earlier?\Yeah.\Wow!\I'm glad you like it.\I didn't know when to give it to you, or if you'd even like it.\I couldn't stop thinking about it.\The whole time I was thinking, Wow, the wind chimes are pretty,\my heart was pounding. response:	I'm glad I could give it to you, though.
context: Yeah.\Wow!\I'm glad you like it.\I didn't know when to give it to you, or if you'd even like it.\I couldn't stop thinking about it.\The whole time I was thinking, Wow, the wind chimes are pretty,\my heart was pounding.\I'm glad I could give it to you, though. response:	Th... Thanks, Akane-chan.
context: Wow!\I'm glad you like it.\I didn't know when to give it to you, or if you'd even like it.\I couldn't stop thinking about it.\The whole time I was thinking, Wow, the wind chimes are pretty,\my heart was pounding.\I'm glad I could give it to you, though.\Th... Thanks, Akane-chan. response:	Can I call you that?
context: I'm glad you like it.\I didn't know when to give it to you, or if you'd even like it.\I couldn't stop thinking about it.\The whole time I was thinking, Wow, the wind chimes are pretty,\my heart was pounding.\I'm glad I could give it to you, though.\Th... Thanks, Akane-chan.\Can I call you that? response:	Yeah.
context: I didn't know when to give it to you, or if you'd even like it.\I couldn't stop thinking about it.\The whole time I was thinking, Wow, the wind chimes are pretty,\my heart was pounding.\I'm glad I could give it to you, though.\Th... Thanks, Akane-chan.\Can I call you that?\Yeah. response:	And I'll call you Kotarou-kun.
context: I couldn't stop thinking about it.\The whole time I was thinking, Wow, the wind chimes are pretty,\my heart was pounding.\I'm glad I could give it to you, though.\Th... Thanks, Akane-chan.\Can I call you that?\Yeah.\And I'll call you Kotarou-kun. response:	Term 2 Opening Ceremony
context: The whole time I was thinking, Wow, the wind chimes are pretty,\my heart was pounding.\I'm glad I could give it to you, though.\Th... Thanks, Akane-chan.\Can I call you that?\Yeah.\And I'll call you Kotarou-kun.\Term 2 Opening Ceremony response:	10:00 - Gymnasium
context: my heart was pounding.\I'm glad I could give it to you, though.\Th... Thanks, Akane-chan.\Can I call you that?\Yeah.\And I'll call you Kotarou-kun.\Term 2 Opening Ceremony\10:00 - Gymnasium response:	Don't be late!!
context: I'm glad I could give it to you, though.\Th... Thanks, Akane-chan.\Can I call you that?\Yeah.\And I'll call you Kotarou-kun.\Term 2 Opening Ceremony\10:00 - Gymnasium\Don't be late!! response:	I've never seen Azumi and Akanecchi talking, have you?
context: Th... Thanks, Akane-chan.\Can I call you that?\Yeah.\And I'll call you Kotarou-kun.\Term 2 Opening Ceremony\10:00 - Gymnasium\Don't be late!!\I've never seen Azumi and Akanecchi talking, have you? response:	Azumi's pretty plain.
context: Can I call you that?\Yeah.\And I'll call you Kotarou-kun.\Term 2 Opening Ceremony\10:00 - Gymnasium\Don't be late!!\I've never seen Azumi and Akanecchi talking, have you?\Azumi's pretty plain. response:	Come on, what do you like about him?
context: Yeah.\And I'll call you Kotarou-kun.\Term 2 Opening Ceremony\10:00 - Gymnasium\Don't be late!!\I've never seen Azumi and Akanecchi talking, have you?\Azumi's pretty plain.\Come on, what do you like about him? response:	Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him.
context: And I'll call you Kotarou-kun.\Term 2 Opening Ceremony\10:00 - Gymnasium\Don't be late!!\I've never seen Azumi and Akanecchi talking, have you?\Azumi's pretty plain.\Come on, what do you like about him?\Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him. response:	Have you changed, Akanecchi?
context: Term 2 Opening Ceremony\10:00 - Gymnasium\Don't be late!!\I've never seen Azumi and Akanecchi talking, have you?\Azumi's pretty plain.\Come on, what do you like about him?\Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him.\Have you changed, Akanecchi? response:	They say people change when they fall in love.
context: 10:00 - Gymnasium\Don't be late!!\I've never seen Azumi and Akanecchi talking, have you?\Azumi's pretty plain.\Come on, what do you like about him?\Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him.\Have you changed, Akanecchi?\They say people change when they fall in love. response:	Has anything happened?
context: Don't be late!!\I've never seen Azumi and Akanecchi talking, have you?\Azumi's pretty plain.\Come on, what do you like about him?\Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him.\Have you changed, Akanecchi?\They say people change when they fall in love.\Has anything happened? response:	Tell us!
context: I've never seen Azumi and Akanecchi talking, have you?\Azumi's pretty plain.\Come on, what do you like about him?\Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him.\Have you changed, Akanecchi?\They say people change when they fall in love.\Has anything happened?\Tell us! response:	No secrets, remember?
context: Azumi's pretty plain.\Come on, what do you like about him?\Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him.\Have you changed, Akanecchi?\They say people change when they fall in love.\Has anything happened?\Tell us!\No secrets, remember? response:	I wish for us to be together forever
context: Come on, what do you like about him?\Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him.\Have you changed, Akanecchi?\They say people change when they fall in love.\Has anything happened?\Tell us!\No secrets, remember?\I wish for us to be together forever response:	I wish for us to be together forever
context: Azumi-kun kind of keeps to himself, but I feel really safe when I'm with him.\Have you changed, Akanecchi?\They say people change when they fall in love.\Has anything happened?\Tell us!\No secrets, remember?\I wish for us to be together forever\I wish for us to be together forever response:	Vita Sexualis
context: Have you changed, Akanecchi?\They say people change when they fall in love.\Has anything happened?\Tell us!\No secrets, remember?\I wish for us to be together forever\I wish for us to be together forever\Vita Sexualis response:	Aira and Kaneko 2
context: They say people change when they fall in love.\Has anything happened?\Tell us!\No secrets, remember?\I wish for us to be together forever\I wish for us to be together forever\Vita Sexualis\Aira and Kaneko 2 response:	Hey, I know her.
context: Has anything happened?\Tell us!\No secrets, remember?\I wish for us to be together forever\I wish for us to be together forever\Vita Sexualis\Aira and Kaneko 2\Hey, I know her. response:	Who is she?
context: Tell us!\No secrets, remember?\I wish for us to be together forever\I wish for us to be together forever\Vita Sexualis\Aira and Kaneko 2\Hey, I know her.\Who is she? response:	She's a new idol.
context: No secrets, remember?\I wish for us to be together forever\I wish for us to be together forever\Vita Sexualis\Aira and Kaneko 2\Hey, I know her.\Who is she?\She's a new idol. response:	She's in dramas and stuff lately.
context: I wish for us to be together forever\I wish for us to be together forever\Vita Sexualis\Aira and Kaneko 2\Hey, I know her.\Who is she?\She's a new idol.\She's in dramas and stuff lately. response:	She's so cute, isn't she?
context: I wish for us to be together forever\Vita Sexualis\Aira and Kaneko 2\Hey, I know her.\Who is she?\She's a new idol.\She's in dramas and stuff lately.\She's so cute, isn't she? response:	Try doing that pose.
context: Vita Sexualis\Aira and Kaneko 2\Hey, I know her.\Who is she?\She's a new idol.\She's in dramas and stuff lately.\She's so cute, isn't she?\Try doing that pose. response:	Are you crazy?
context: Aira and Kaneko 2\Hey, I know her.\Who is she?\She's a new idol.\She's in dramas and stuff lately.\She's so cute, isn't she?\Try doing that pose.\Are you crazy? response:	I want to see you do it.
context: Hey, I know her.\Who is she?\She's a new idol.\She's in dramas and stuff lately.\She's so cute, isn't she?\Try doing that pose.\Are you crazy?\I want to see you do it. response:	Here?
context: Who is she?\She's a new idol.\She's in dramas and stuff lately.\She's so cute, isn't she?\Try doing that pose.\Are you crazy?\I want to see you do it.\Here? response:	L-Like this?
context: She's a new idol.\She's in dramas and stuff lately.\She's so cute, isn't she?\Try doing that pose.\Are you crazy?\I want to see you do it.\Here?\L-Like this? response:	You actually thought I was serious?
context: She's in dramas and stuff lately.\She's so cute, isn't she?\Try doing that pose.\Are you crazy?\I want to see you do it.\Here?\L-Like this?\You actually thought I was serious? response:	Stupid.
context: She's so cute, isn't she?\Try doing that pose.\Are you crazy?\I want to see you do it.\Here?\L-Like this?\You actually thought I was serious?\Stupid. response:	Jeez!
context: Try doing that pose.\Are you crazy?\I want to see you do it.\Here?\L-Like this?\You actually thought I was serious?\Stupid.\Jeez! response:	You're cute enough without doing that.
context: Are you crazy?\I want to see you do it.\Here?\L-Like this?\You actually thought I was serious?\Stupid.\Jeez!\You're cute enough without doing that. response:	Ryouko-sensei and Roman 5
context: I want to see you do it.\Here?\L-Like this?\You actually thought I was serious?\Stupid.\Jeez!\You're cute enough without doing that.\Ryouko-sensei and Roman 5 response:	Summer break is so long.
context: Here?\L-Like this?\You actually thought I was serious?\Stupid.\Jeez!\You're cute enough without doing that.\Ryouko-sensei and Roman 5\Summer break is so long. response:	Miu and Inaba 5
context: L-Like this?\You actually thought I was serious?\Stupid.\Jeez!\You're cute enough without doing that.\Ryouko-sensei and Roman 5\Summer break is so long.\Miu and Inaba 5 response:	Takoyaki
context: You actually thought I was serious?\Stupid.\Jeez!\You're cute enough without doing that.\Ryouko-sensei and Roman 5\Summer break is so long.\Miu and Inaba 5\Takoyaki response:	Okonomiyaki
context: Stupid.\Jeez!\You're cute enough without doing that.\Ryouko-sensei and Roman 5\Summer break is so long.\Miu and Inaba 5\Takoyaki\Okonomiyaki response:	Jeez, there are so many people.
context: Jeez!\You're cute enough without doing that.\Ryouko-sensei and Roman 5\Summer break is so long.\Miu and Inaba 5\Takoyaki\Okonomiyaki\Jeez, there are so many people. response:	Hey, I want that.
context: You're cute enough without doing that.\Ryouko-sensei and Roman 5\Summer break is so long.\Miu and Inaba 5\Takoyaki\Okonomiyaki\Jeez, there are so many people.\Hey, I want that. response:	Buttered Potatoes
context: Ryouko-sensei and Roman 5\Summer break is so long.\Miu and Inaba 5\Takoyaki\Okonomiyaki\Jeez, there are so many people.\Hey, I want that.\Buttered Potatoes response:	Fruit Stand
context: Summer break is so long.\Miu and Inaba 5\Takoyaki\Okonomiyaki\Jeez, there are so many people.\Hey, I want that.\Buttered Potatoes\Fruit Stand response:	Two of these, please!
context: Miu and Inaba 5\Takoyaki\Okonomiyaki\Jeez, there are so many people.\Hey, I want that.\Buttered Potatoes\Fruit Stand\Two of these, please! response:	I wish I were here with a boyfriend.
context: Takoyaki\Okonomiyaki\Jeez, there are so many people.\Hey, I want that.\Buttered Potatoes\Fruit Stand\Two of these, please!\I wish I were here with a boyfriend. response:	What am I?!
context: Okonomiyaki\Jeez, there are so many people.\Hey, I want that.\Buttered Potatoes\Fruit Stand\Two of these, please!\I wish I were here with a boyfriend.\What am I?! response:	Sakura and Roman
context: Jeez, there are so many people.\Hey, I want that.\Buttered Potatoes\Fruit Stand\Two of these, please!\I wish I were here with a boyfriend.\What am I?!\Sakura and Roman response:	Yo, Kota.
context: Hey, I want that.\Buttered Potatoes\Fruit Stand\Two of these, please!\I wish I were here with a boyfriend.\What am I?!\Sakura and Roman\Yo, Kota. response:	Wait up.
context: Buttered Potatoes\Fruit Stand\Two of these, please!\I wish I were here with a boyfriend.\What am I?!\Sakura and Roman\Yo, Kota.\Wait up. response:	Huh?
context: Fruit Stand\Two of these, please!\I wish I were here with a boyfriend.\What am I?!\Sakura and Roman\Yo, Kota.\Wait up.\Huh? response:	Did you switch lip gloss?
context: Two of these, please!\I wish I were here with a boyfriend.\What am I?!\Sakura and Roman\Yo, Kota.\Wait up.\Huh?\Did you switch lip gloss? response:	Ew, creepy!
context: I wish I were here with a boyfriend.\What am I?!\Sakura and Roman\Yo, Kota.\Wait up.\Huh?\Did you switch lip gloss?\Ew, creepy! response:	How could he tell I changed my lip gloss?
context: What am I?!\Sakura and Roman\Yo, Kota.\Wait up.\Huh?\Did you switch lip gloss?\Ew, creepy!\How could he tell I changed my lip gloss? response:	He's totally checking me out!
context: Sakura and Roman\Yo, Kota.\Wait up.\Huh?\Did you switch lip gloss?\Ew, creepy!\How could he tell I changed my lip gloss?\He's totally checking me out! response:	Gross!
context: Yo, Kota.\Wait up.\Huh?\Did you switch lip gloss?\Ew, creepy!\How could he tell I changed my lip gloss?\He's totally checking me out!\Gross! response:	Oh my God...
context: Wait up.\Huh?\Did you switch lip gloss?\Ew, creepy!\How could he tell I changed my lip gloss?\He's totally checking me out!\Gross!\Oh my God... response:	I mean, I am kinda happy...
context: Huh?\Did you switch lip gloss?\Ew, creepy!\How could he tell I changed my lip gloss?\He's totally checking me out!\Gross!\Oh my God...\I mean, I am kinda happy... response:	Aoi Takizawa: A Girl
context: Did you switch lip gloss?\Ew, creepy!\How could he tell I changed my lip gloss?\He's totally checking me out!\Gross!\Oh my God...\I mean, I am kinda happy...\Aoi Takizawa: A Girl response:	One, two, three, four...
context: Ew, creepy!\How could he tell I changed my lip gloss?\He's totally checking me out!\Gross!\Oh my God...\I mean, I am kinda happy...\Aoi Takizawa: A Girl\One, two, three, four... response:	How many times do I have to tell you?
context: How could he tell I changed my lip gloss?\He's totally checking me out!\Gross!\Oh my God...\I mean, I am kinda happy...\Aoi Takizawa: A Girl\One, two, three, four...\How many times do I have to tell you? response:	Come on, do it right.
context: He's totally checking me out!\Gross!\Oh my God...\I mean, I am kinda happy...\Aoi Takizawa: A Girl\One, two, three, four...\How many times do I have to tell you?\Come on, do it right. response:	Ow, ow, ow!
context: Gross!\Oh my God...\I mean, I am kinda happy...\Aoi Takizawa: A Girl\One, two, three, four...\How many times do I have to tell you?\Come on, do it right.\Ow, ow, ow! response:	Yes, sir! Sorry, sir!
context: Oh my God...\I mean, I am kinda happy...\Aoi Takizawa: A Girl\One, two, three, four...\How many times do I have to tell you?\Come on, do it right.\Ow, ow, ow!\Yes, sir! Sorry, sir! response:	Me too, Senpai.
context: I mean, I am kinda happy...\Aoi Takizawa: A Girl\One, two, three, four...\How many times do I have to tell you?\Come on, do it right.\Ow, ow, ow!\Yes, sir! Sorry, sir!\Me too, Senpai. response:	I can't do it either, Senpai.
context: Aoi Takizawa: A Girl\One, two, three, four...\How many times do I have to tell you?\Come on, do it right.\Ow, ow, ow!\Yes, sir! Sorry, sir!\Me too, Senpai.\I can't do it either, Senpai. response:	Do it right!
context: One, two, three, four...\How many times do I have to tell you?\Come on, do it right.\Ow, ow, ow!\Yes, sir! Sorry, sir!\Me too, Senpai.\I can't do it either, Senpai.\Do it right! response:	Aoi's popular.
context: How many times do I have to tell you?\Come on, do it right.\Ow, ow, ow!\Yes, sir! Sorry, sir!\Me too, Senpai.\I can't do it either, Senpai.\Do it right!\Aoi's popular. response:	Boys are so annoying.
context: Come on, do it right.\Ow, ow, ow!\Yes, sir! Sorry, sir!\Me too, Senpai.\I can't do it either, Senpai.\Do it right!\Aoi's popular.\Boys are so annoying. response:	Ryouko-sensei and Roman 6
context: Ow, ow, ow!\Yes, sir! Sorry, sir!\Me too, Senpai.\I can't do it either, Senpai.\Do it right!\Aoi's popular.\Boys are so annoying.\Ryouko-sensei and Roman 6 response:	Graduation's so far off.
context: Yes, sir! Sorry, sir!\Me too, Senpai.\I can't do it either, Senpai.\Do it right!\Aoi's popular.\Boys are so annoying.\Ryouko-sensei and Roman 6\Graduation's so far off. response:	Kotarou's Parents
context: Me too, Senpai.\I can't do it either, Senpai.\Do it right!\Aoi's popular.\Boys are so annoying.\Ryouko-sensei and Roman 6\Graduation's so far off.\Kotarou's Parents response:	Novels?
context: I can't do it either, Senpai.\Do it right!\Aoi's popular.\Boys are so annoying.\Ryouko-sensei and Roman 6\Graduation's so far off.\Kotarou's Parents\Novels? response:	I was cleaning Kotarou's room, and I found his half-finished novels.
context: Do it right!\Aoi's popular.\Boys are so annoying.\Ryouko-sensei and Roman 6\Graduation's so far off.\Kotarou's Parents\Novels?\I was cleaning Kotarou's room, and I found his half-finished novels. response:	You read them?
context: Aoi's popular.\Boys are so annoying.\Ryouko-sensei and Roman 6\Graduation's so far off.\Kotarou's Parents\Novels?\I was cleaning Kotarou's room, and I found his half-finished novels.\You read them? response:	I haven't read them yet.
context: Boys are so annoying.\Ryouko-sensei and Roman 6\Graduation's so far off.\Kotarou's Parents\Novels?\I was cleaning Kotarou's room, and I found his half-finished novels.\You read them?\I haven't read them yet. response:	I can't condone you reading them, even as his mom.
context: Ryouko-sensei and Roman 6\Graduation's so far off.\Kotarou's Parents\Novels?\I was cleaning Kotarou's room, and I found his half-finished novels.\You read them?\I haven't read them yet.\I can't condone you reading them, even as his mom. response:	There must be rules against that.
context: Graduation's so far off.\Kotarou's Parents\Novels?\I was cleaning Kotarou's room, and I found his half-finished novels.\You read them?\I haven't read them yet.\I can't condone you reading them, even as his mom.\There must be rules against that. response:	You think so?
context: Kotarou's Parents\Novels?\I was cleaning Kotarou's room, and I found his half-finished novels.\You read them?\I haven't read them yet.\I can't condone you reading them, even as his mom.\There must be rules against that.\You think so? response:	You've got a pretty good grasp of how women think.
context: Novels?\I was cleaning Kotarou's room, and I found his half-finished novels.\You read them?\I haven't read them yet.\I can't condone you reading them, even as his mom.\There must be rules against that.\You think so?\You've got a pretty good grasp of how women think. response:	He really doesn't understand how women think.
