context: The father who fed his son to the demons to fulfill his ambitions. response:	The son who crawled from the ashes to regain the body snatched away from him.
context: All who live here enjoy its riches now.\You didn't do it for the people.\You only did it to fulfill your own ambitions!\A lord's ambitions are his people's ambitions!\And for them, I sacrificed none other than my own child.\I am not ashamed as a samurai.\Yet...\Intruder! response:	Hyakkimaru!
context: You didn't do it for the people.\You only did it to fulfill your own ambitions!\A lord's ambitions are his people's ambitions!\And for them, I sacrificed none other than my own child.\I am not ashamed as a samurai.\Yet...\Intruder!\Hyakkimaru! response:	Why are you alive?
context: You only did it to fulfill your own ambitions!\A lord's ambitions are his people's ambitions!\And for them, I sacrificed none other than my own child.\I am not ashamed as a samurai.\Yet...\Intruder!\Hyakkimaru!\Why are you alive? response:	You half-born demon child.
context: A lord's ambitions are his people's ambitions!\And for them, I sacrificed none other than my own child.\I am not ashamed as a samurai.\Yet...\Intruder!\Hyakkimaru!\Why are you alive?\You half-born demon child. response:	Come, my men! Shoot!
context: And for them, I sacrificed none other than my own child.\I am not ashamed as a samurai.\Yet...\Intruder!\Hyakkimaru!\Why are you alive?\You half-born demon child.\Come, my men! Shoot! response:	Son!
context: I am not ashamed as a samurai.\Yet...\Intruder!\Hyakkimaru!\Why are you alive?\You half-born demon child.\Come, my men! Shoot!\Son! response:	Mutsu, Hyogo, stop!
context: Yet...\Intruder!\Hyakkimaru!\Why are you alive?\You half-born demon child.\Come, my men! Shoot!\Son!\Mutsu, Hyogo, stop! response:	Lord, are you hurt?
context: Intruder!\Hyakkimaru!\Why are you alive?\You half-born demon child.\Come, my men! Shoot!\Son!\Mutsu, Hyogo, stop!\Lord, are you hurt? response:	I'm fine. Don't let him go. Kill him!
context: Hyakkimaru!\Why are you alive?\You half-born demon child.\Come, my men! Shoot!\Son!\Mutsu, Hyogo, stop!\Lord, are you hurt?\I'm fine. Don't let him go. Kill him! response:	-My Lord! -Father, that is my brother!
context: Why are you alive?\You half-born demon child.\Come, my men! Shoot!\Son!\Mutsu, Hyogo, stop!\Lord, are you hurt?\I'm fine. Don't let him go. Kill him!\-My Lord! -Father, that is my brother! response:	Tahomaru, will you sacrifice this land for that brother?
context: You half-born demon child.\Come, my men! Shoot!\Son!\Mutsu, Hyogo, stop!\Lord, are you hurt?\I'm fine. Don't let him go. Kill him!\-My Lord! -Father, that is my brother!\Tahomaru, will you sacrifice this land for that brother? response:	Will you throw our people back into hell just so you can stay innocent?
context: Come, my men! Shoot!\Son!\Mutsu, Hyogo, stop!\Lord, are you hurt?\I'm fine. Don't let him go. Kill him!\-My Lord! -Father, that is my brother!\Tahomaru, will you sacrifice this land for that brother?\Will you throw our people back into hell just so you can stay innocent? response:	If you are prepared to do so, go to the Hall of Hell.
context: Son!\Mutsu, Hyogo, stop!\Lord, are you hurt?\I'm fine. Don't let him go. Kill him!\-My Lord! -Father, that is my brother!\Tahomaru, will you sacrifice this land for that brother?\Will you throw our people back into hell just so you can stay innocent?\If you are prepared to do so, go to the Hall of Hell. response:	Go and break my deal with the demons.
context: Mutsu, Hyogo, stop!\Lord, are you hurt?\I'm fine. Don't let him go. Kill him!\-My Lord! -Father, that is my brother!\Tahomaru, will you sacrifice this land for that brother?\Will you throw our people back into hell just so you can stay innocent?\If you are prepared to do so, go to the Hall of Hell.\Go and break my deal with the demons. response:	And your brother will have his body back.
context: Lord, are you hurt?\I'm fine. Don't let him go. Kill him!\-My Lord! -Father, that is my brother!\Tahomaru, will you sacrifice this land for that brother?\Will you throw our people back into hell just so you can stay innocent?\If you are prepared to do so, go to the Hall of Hell.\Go and break my deal with the demons.\And your brother will have his body back. response:	Although our land will perish.
context: I'm fine. Don't let him go. Kill him!\-My Lord! -Father, that is my brother!\Tahomaru, will you sacrifice this land for that brother?\Will you throw our people back into hell just so you can stay innocent?\If you are prepared to do so, go to the Hall of Hell.\Go and break my deal with the demons.\And your brother will have his body back.\Although our land will perish. response:	Son!
context: -My Lord! -Father, that is my brother!\Tahomaru, will you sacrifice this land for that brother?\Will you throw our people back into hell just so you can stay innocent?\If you are prepared to do so, go to the Hall of Hell.\Go and break my deal with the demons.\And your brother will have his body back.\Although our land will perish.\Son! response:	You half-born demon child.
context: Tahomaru, will you sacrifice this land for that brother?\Will you throw our people back into hell just so you can stay innocent?\If you are prepared to do so, go to the Hall of Hell.\Go and break my deal with the demons.\And your brother will have his body back.\Although our land will perish.\Son!\You half-born demon child. response:	-Bro... -Dororo.
context: Will you throw our people back into hell just so you can stay innocent?\If you are prepared to do so, go to the Hall of Hell.\Go and break my deal with the demons.\And your brother will have his body back.\Although our land will perish.\Son!\You half-born demon child.\-Bro... -Dororo. response:	I'm so glad.
context: If you are prepared to do so, go to the Hall of Hell.\Go and break my deal with the demons.\And your brother will have his body back.\Although our land will perish.\Son!\You half-born demon child.\-Bro... -Dororo.\I'm so glad. response:	Bro, we gotta go save Sukeroku.
context: Go and break my deal with the demons.\And your brother will have his body back.\Although our land will perish.\Son!\You half-born demon child.\-Bro... -Dororo.\I'm so glad.\Bro, we gotta go save Sukeroku. response:	You're outta luck.
context: And your brother will have his body back.\Although our land will perish.\Son!\You half-born demon child.\-Bro... -Dororo.\I'm so glad.\Bro, we gotta go save Sukeroku.\You're outta luck. response:	You all are going to be hung up on Banmon to declare war.
context: Although our land will perish.\Son!\You half-born demon child.\-Bro... -Dororo.\I'm so glad.\Bro, we gotta go save Sukeroku.\You're outta luck.\You all are going to be hung up on Banmon to declare war. response:	Seems like the ghouls on Banmon have been driven away.
context: Son!\You half-born demon child.\-Bro... -Dororo.\I'm so glad.\Bro, we gotta go save Sukeroku.\You're outta luck.\You all are going to be hung up on Banmon to declare war.\Seems like the ghouls on Banmon have been driven away. response:	So our lord is getting ready to attack now.
context: You half-born demon child.\-Bro... -Dororo.\I'm so glad.\Bro, we gotta go save Sukeroku.\You're outta luck.\You all are going to be hung up on Banmon to declare war.\Seems like the ghouls on Banmon have been driven away.\So our lord is getting ready to attack now. response:	Now get going.
context: -Bro... -Dororo.\I'm so glad.\Bro, we gotta go save Sukeroku.\You're outta luck.\You all are going to be hung up on Banmon to declare war.\Seems like the ghouls on Banmon have been driven away.\So our lord is getting ready to attack now.\Now get going. response:	Why are even the elders and the injured being called to arms?
context: I'm so glad.\Bro, we gotta go save Sukeroku.\You're outta luck.\You all are going to be hung up on Banmon to declare war.\Seems like the ghouls on Banmon have been driven away.\So our lord is getting ready to attack now.\Now get going.\Why are even the elders and the injured being called to arms? response:	Is the Asakura army that huge?
context: Bro, we gotta go save Sukeroku.\You're outta luck.\You all are going to be hung up on Banmon to declare war.\Seems like the ghouls on Banmon have been driven away.\So our lord is getting ready to attack now.\Now get going.\Why are even the elders and the injured being called to arms?\Is the Asakura army that huge? response:	Nah, seems like some strange intruder had entered the castle and the army's busy.
context: You're outta luck.\You all are going to be hung up on Banmon to declare war.\Seems like the ghouls on Banmon have been driven away.\So our lord is getting ready to attack now.\Now get going.\Why are even the elders and the injured being called to arms?\Is the Asakura army that huge?\Nah, seems like some strange intruder had entered the castle and the army's busy. response:	The lord beat the demons? What rubbish.
context: You all are going to be hung up on Banmon to declare war.\Seems like the ghouls on Banmon have been driven away.\So our lord is getting ready to attack now.\Now get going.\Why are even the elders and the injured being called to arms?\Is the Asakura army that huge?\Nah, seems like some strange intruder had entered the castle and the army's busy.\The lord beat the demons? What rubbish. response:	This is the only one that's somewhat locked up.
context: Seems like the ghouls on Banmon have been driven away.\So our lord is getting ready to attack now.\Now get going.\Why are even the elders and the injured being called to arms?\Is the Asakura army that huge?\Nah, seems like some strange intruder had entered the castle and the army's busy.\The lord beat the demons? What rubbish.\This is the only one that's somewhat locked up. response:	But who knows for how long?
context: So our lord is getting ready to attack now.\Now get going.\Why are even the elders and the injured being called to arms?\Is the Asakura army that huge?\Nah, seems like some strange intruder had entered the castle and the army's busy.\The lord beat the demons? What rubbish.\This is the only one that's somewhat locked up.\But who knows for how long? response:	Well, well.
context: Now get going.\Why are even the elders and the injured being called to arms?\Is the Asakura army that huge?\Nah, seems like some strange intruder had entered the castle and the army's busy.\The lord beat the demons? What rubbish.\This is the only one that's somewhat locked up.\But who knows for how long?\Well, well. response:	This isn't something an old man like me can handle.
context: Why are even the elders and the injured being called to arms?\Is the Asakura army that huge?\Nah, seems like some strange intruder had entered the castle and the army's busy.\The lord beat the demons? What rubbish.\This is the only one that's somewhat locked up.\But who knows for how long?\Well, well.\This isn't something an old man like me can handle. response:	But how can he bear so many demons by himself?
context: Is the Asakura army that huge?\Nah, seems like some strange intruder had entered the castle and the army's busy.\The lord beat the demons? What rubbish.\This is the only one that's somewhat locked up.\But who knows for how long?\Well, well.\This isn't something an old man like me can handle.\But how can he bear so many demons by himself? response:	Hyakkimaru...
context: Nah, seems like some strange intruder had entered the castle and the army's busy.\The lord beat the demons? What rubbish.\This is the only one that's somewhat locked up.\But who knows for how long?\Well, well.\This isn't something an old man like me can handle.\But how can he bear so many demons by himself?\Hyakkimaru... response:	I know not who named him, but the name tells of how he has lived.
context: The lord beat the demons? What rubbish.\This is the only one that's somewhat locked up.\But who knows for how long?\Well, well.\This isn't something an old man like me can handle.\But how can he bear so many demons by himself?\Hyakkimaru...\I know not who named him, but the name tells of how he has lived. response:	It's hard to believe a war is near.
context: This is the only one that's somewhat locked up.\But who knows for how long?\Well, well.\This isn't something an old man like me can handle.\But how can he bear so many demons by himself?\Hyakkimaru...\I know not who named him, but the name tells of how he has lived.\It's hard to believe a war is near. response:	To protect this means to kill my brother.
context: But who knows for how long?\Well, well.\This isn't something an old man like me can handle.\But how can he bear so many demons by himself?\Hyakkimaru...\I know not who named him, but the name tells of how he has lived.\It's hard to believe a war is near.\To protect this means to kill my brother. response:	But that would be much too immoral.
context: Well, well.\This isn't something an old man like me can handle.\But how can he bear so many demons by himself?\Hyakkimaru...\I know not who named him, but the name tells of how he has lived.\It's hard to believe a war is near.\To protect this means to kill my brother.\But that would be much too immoral. response:	Am I not right?
context: This isn't something an old man like me can handle.\But how can he bear so many demons by himself?\Hyakkimaru...\I know not who named him, but the name tells of how he has lived.\It's hard to believe a war is near.\To protect this means to kill my brother.\But that would be much too immoral.\Am I not right? response:	Thankfully, we are not in a position to answer that.
context: But how can he bear so many demons by himself?\Hyakkimaru...\I know not who named him, but the name tells of how he has lived.\It's hard to believe a war is near.\To protect this means to kill my brother.\But that would be much too immoral.\Am I not right?\Thankfully, we are not in a position to answer that. response:	You are always like that.
context: Hyakkimaru...\I know not who named him, but the name tells of how he has lived.\It's hard to believe a war is near.\To protect this means to kill my brother.\But that would be much too immoral.\Am I not right?\Thankfully, we are not in a position to answer that.\You are always like that. response:	But my brother and I were taken hostage by the enemy when we were young.
context: I know not who named him, but the name tells of how he has lived.\It's hard to believe a war is near.\To protect this means to kill my brother.\But that would be much too immoral.\Am I not right?\Thankfully, we are not in a position to answer that.\You are always like that.\But my brother and I were taken hostage by the enemy when we were young. response:	Had Daigo's land not flourished, we would not be here.
context: It's hard to believe a war is near.\To protect this means to kill my brother.\But that would be much too immoral.\Am I not right?\Thankfully, we are not in a position to answer that.\You are always like that.\But my brother and I were taken hostage by the enemy when we were young.\Had Daigo's land not flourished, we would not be here. response:	Oh my, is he...?
context: To protect this means to kill my brother.\But that would be much too immoral.\Am I not right?\Thankfully, we are not in a position to answer that.\You are always like that.\But my brother and I were taken hostage by the enemy when we were young.\Had Daigo's land not flourished, we would not be here.\Oh my, is he...? response:	-What is it? -Nothing. Excuse me.
context: But that would be much too immoral.\Am I not right?\Thankfully, we are not in a position to answer that.\You are always like that.\But my brother and I were taken hostage by the enemy when we were young.\Had Daigo's land not flourished, we would not be here.\Oh my, is he...?\-What is it? -Nothing. Excuse me. response:	He looks very much like Hyakkimaru.
context: Am I not right?\Thankfully, we are not in a position to answer that.\You are always like that.\But my brother and I were taken hostage by the enemy when we were young.\Had Daigo's land not flourished, we would not be here.\Oh my, is he...?\-What is it? -Nothing. Excuse me.\He looks very much like Hyakkimaru. response:	Onward.
context: Thankfully, we are not in a position to answer that.\You are always like that.\But my brother and I were taken hostage by the enemy when we were young.\Had Daigo's land not flourished, we would not be here.\Oh my, is he...?\-What is it? -Nothing. Excuse me.\He looks very much like Hyakkimaru.\Onward. response:	March!
context: You are always like that.\But my brother and I were taken hostage by the enemy when we were young.\Had Daigo's land not flourished, we would not be here.\Oh my, is he...?\-What is it? -Nothing. Excuse me.\He looks very much like Hyakkimaru.\Onward.\March! response:	The way the demon statue has been broken...
context: But my brother and I were taken hostage by the enemy when we were young.\Had Daigo's land not flourished, we would not be here.\Oh my, is he...?\-What is it? -Nothing. Excuse me.\He looks very much like Hyakkimaru.\Onward.\March!\The way the demon statue has been broken... response:	it is no natural matter.
context: Had Daigo's land not flourished, we would not be here.\Oh my, is he...?\-What is it? -Nothing. Excuse me.\He looks very much like Hyakkimaru.\Onward.\March!\The way the demon statue has been broken...\it is no natural matter. response:	There are some still intact.
context: Oh my, is he...?\-What is it? -Nothing. Excuse me.\He looks very much like Hyakkimaru.\Onward.\March!\The way the demon statue has been broken...\it is no natural matter.\There are some still intact. response:	The deal between the demons and the lord may already be broken.
context: -What is it? -Nothing. Excuse me.\He looks very much like Hyakkimaru.\Onward.\March!\The way the demon statue has been broken...\it is no natural matter.\There are some still intact.\The deal between the demons and the lord may already be broken. response:	By my brother.
context: He looks very much like Hyakkimaru.\Onward.\March!\The way the demon statue has been broken...\it is no natural matter.\There are some still intact.\The deal between the demons and the lord may already be broken.\By my brother. response:	Daigo Kagemitsu is this land's lord, right?
context: Onward.\March!\The way the demon statue has been broken...\it is no natural matter.\There are some still intact.\The deal between the demons and the lord may already be broken.\By my brother.\Daigo Kagemitsu is this land's lord, right? response:	His family crest is the same as the one you have on your talisman.
context: March!\The way the demon statue has been broken...\it is no natural matter.\There are some still intact.\The deal between the demons and the lord may already be broken.\By my brother.\Daigo Kagemitsu is this land's lord, right?\His family crest is the same as the one you have on your talisman. response:	So what did her ladyship call you?
context: The way the demon statue has been broken...\it is no natural matter.\There are some still intact.\The deal between the demons and the lord may already be broken.\By my brother.\Daigo Kagemitsu is this land's lord, right?\His family crest is the same as the one you have on your talisman.\So what did her ladyship call you? response:	Son.
context: it is no natural matter.\There are some still intact.\The deal between the demons and the lord may already be broken.\By my brother.\Daigo Kagemitsu is this land's lord, right?\His family crest is the same as the one you have on your talisman.\So what did her ladyship call you?\Son. response:	There's no doubt then! You found your papa and mama.
context: There are some still intact.\The deal between the demons and the lord may already be broken.\By my brother.\Daigo Kagemitsu is this land's lord, right?\His family crest is the same as the one you have on your talisman.\So what did her ladyship call you?\Son.\There's no doubt then! You found your papa and mama. response:	You've got a brother, too. Wow, good for you bro.
context: The deal between the demons and the lord may already be broken.\By my brother.\Daigo Kagemitsu is this land's lord, right?\His family crest is the same as the one you have on your talisman.\So what did her ladyship call you?\Son.\There's no doubt then! You found your papa and mama.\You've got a brother, too. Wow, good for you bro. response:	-My...? -Yeah, yours.
context: By my brother.\Daigo Kagemitsu is this land's lord, right?\His family crest is the same as the one you have on your talisman.\So what did her ladyship call you?\Son.\There's no doubt then! You found your papa and mama.\You've got a brother, too. Wow, good for you bro.\-My...? -Yeah, yours. response:	Mama...
context: Daigo Kagemitsu is this land's lord, right?\His family crest is the same as the one you have on your talisman.\So what did her ladyship call you?\Son.\There's no doubt then! You found your papa and mama.\You've got a brother, too. Wow, good for you bro.\-My...? -Yeah, yours.\Mama... response:	Sukeroku's mama is already...
context: His family crest is the same as the one you have on your talisman.\So what did her ladyship call you?\Son.\There's no doubt then! You found your papa and mama.\You've got a brother, too. Wow, good for you bro.\-My...? -Yeah, yours.\Mama...\Sukeroku's mama is already... response:	No, Sukeroku hasn't given up yet.
context: So what did her ladyship call you?\Son.\There's no doubt then! You found your papa and mama.\You've got a brother, too. Wow, good for you bro.\-My...? -Yeah, yours.\Mama...\Sukeroku's mama is already...\No, Sukeroku hasn't given up yet. response:	Come on, bro. Before they hang him on Banmon.
context: Son.\There's no doubt then! You found your papa and mama.\You've got a brother, too. Wow, good for you bro.\-My...? -Yeah, yours.\Mama...\Sukeroku's mama is already...\No, Sukeroku hasn't given up yet.\Come on, bro. Before they hang him on Banmon. response:	Young Master, what now?
context: There's no doubt then! You found your papa and mama.\You've got a brother, too. Wow, good for you bro.\-My...? -Yeah, yours.\Mama...\Sukeroku's mama is already...\No, Sukeroku hasn't given up yet.\Come on, bro. Before they hang him on Banmon.\Young Master, what now? response:	Will you throw your people back into hell just so you can stay innocent?
context: You've got a brother, too. Wow, good for you bro.\-My...? -Yeah, yours.\Mama...\Sukeroku's mama is already...\No, Sukeroku hasn't given up yet.\Come on, bro. Before they hang him on Banmon.\Young Master, what now?\Will you throw your people back into hell just so you can stay innocent? response:	Banmon doesn't scare us anymore.
context: -My...? -Yeah, yours.\Mama...\Sukeroku's mama is already...\No, Sukeroku hasn't given up yet.\Come on, bro. Before they hang him on Banmon.\Young Master, what now?\Will you throw your people back into hell just so you can stay innocent?\Banmon doesn't scare us anymore. response:	Here's a gift from the Asakura.
context: Mama...\Sukeroku's mama is already...\No, Sukeroku hasn't given up yet.\Come on, bro. Before they hang him on Banmon.\Young Master, what now?\Will you throw your people back into hell just so you can stay innocent?\Banmon doesn't scare us anymore.\Here's a gift from the Asakura. response:	Take this!
context: Sukeroku's mama is already...\No, Sukeroku hasn't given up yet.\Come on, bro. Before they hang him on Banmon.\Young Master, what now?\Will you throw your people back into hell just so you can stay innocent?\Banmon doesn't scare us anymore.\Here's a gift from the Asakura.\Take this! response:	No!
context: No, Sukeroku hasn't given up yet.\Come on, bro. Before they hang him on Banmon.\Young Master, what now?\Will you throw your people back into hell just so you can stay innocent?\Banmon doesn't scare us anymore.\Here's a gift from the Asakura.\Take this!\No! response:	You bastards... We can't wait for our lord anymore.
context: Come on, bro. Before they hang him on Banmon.\Young Master, what now?\Will you throw your people back into hell just so you can stay innocent?\Banmon doesn't scare us anymore.\Here's a gift from the Asakura.\Take this!\No!\You bastards... We can't wait for our lord anymore. response:	Charge!
context: Young Master, what now?\Will you throw your people back into hell just so you can stay innocent?\Banmon doesn't scare us anymore.\Here's a gift from the Asakura.\Take this!\No!\You bastards... We can't wait for our lord anymore.\Charge! response:	I hear fighting. It's begun.
context: Will you throw your people back into hell just so you can stay innocent?\Banmon doesn't scare us anymore.\Here's a gift from the Asakura.\Take this!\No!\You bastards... We can't wait for our lord anymore.\Charge!\I hear fighting. It's begun. response:	What should we do?
context: Banmon doesn't scare us anymore.\Here's a gift from the Asakura.\Take this!\No!\You bastards... We can't wait for our lord anymore.\Charge!\I hear fighting. It's begun.\What should we do? response:	Bro...
context: Here's a gift from the Asakura.\Take this!\No!\You bastards... We can't wait for our lord anymore.\Charge!\I hear fighting. It's begun.\What should we do?\Bro... response:	Seems like the wheels of destiny are beginning to turn.
context: Take this!\No!\You bastards... We can't wait for our lord anymore.\Charge!\I hear fighting. It's begun.\What should we do?\Bro...\Seems like the wheels of destiny are beginning to turn. response:	It must be my destiny to watch it unfold.
context: No!\You bastards... We can't wait for our lord anymore.\Charge!\I hear fighting. It's begun.\What should we do?\Bro...\Seems like the wheels of destiny are beginning to turn.\It must be my destiny to watch it unfold. response:	Wait, my lady!
context: You bastards... We can't wait for our lord anymore.\Charge!\I hear fighting. It's begun.\What should we do?\Bro...\Seems like the wheels of destiny are beginning to turn.\It must be my destiny to watch it unfold.\Wait, my lady! response:	For years, all I did was pray.
context: Charge!\I hear fighting. It's begun.\What should we do?\Bro...\Seems like the wheels of destiny are beginning to turn.\It must be my destiny to watch it unfold.\Wait, my lady!\For years, all I did was pray. response:	I lived upon a falsehood.
context: I hear fighting. It's begun.\What should we do?\Bro...\Seems like the wheels of destiny are beginning to turn.\It must be my destiny to watch it unfold.\Wait, my lady!\For years, all I did was pray.\I lived upon a falsehood. response:	What's that?
context: What should we do?\Bro...\Seems like the wheels of destiny are beginning to turn.\It must be my destiny to watch it unfold.\Wait, my lady!\For years, all I did was pray.\I lived upon a falsehood.\What's that? response:	It's the ghouls of Banmon!
context: Bro...\Seems like the wheels of destiny are beginning to turn.\It must be my destiny to watch it unfold.\Wait, my lady!\For years, all I did was pray.\I lived upon a falsehood.\What's that?\It's the ghouls of Banmon! response:	Lord, who is...
context: Seems like the wheels of destiny are beginning to turn.\It must be my destiny to watch it unfold.\Wait, my lady!\For years, all I did was pray.\I lived upon a falsehood.\What's that?\It's the ghouls of Banmon!\Lord, who is... response:	It's the demon.
context: It must be my destiny to watch it unfold.\Wait, my lady!\For years, all I did was pray.\I lived upon a falsehood.\What's that?\It's the ghouls of Banmon!\Lord, who is...\It's the demon. response:	Lord? Then that's bro's papa.
context: Wait, my lady!\For years, all I did was pray.\I lived upon a falsehood.\What's that?\It's the ghouls of Banmon!\Lord, who is...\It's the demon.\Lord? Then that's bro's papa. response:	I knew it, it's him!
context: For years, all I did was pray.\I lived upon a falsehood.\What's that?\It's the ghouls of Banmon!\Lord, who is...\It's the demon.\Lord? Then that's bro's papa.\I knew it, it's him! response:	He's the one that took my arm!
context: I lived upon a falsehood.\What's that?\It's the ghouls of Banmon!\Lord, who is...\It's the demon.\Lord? Then that's bro's papa.\I knew it, it's him!\He's the one that took my arm! response:	No, you're not a demon!
context: What's that?\It's the ghouls of Banmon!\Lord, who is...\It's the demon.\Lord? Then that's bro's papa.\I knew it, it's him!\He's the one that took my arm!\No, you're not a demon! response:	It's not my fault, I was just following orders...
context: It's the ghouls of Banmon!\Lord, who is...\It's the demon.\Lord? Then that's bro's papa.\I knew it, it's him!\He's the one that took my arm!\No, you're not a demon!\It's not my fault, I was just following orders... response:	Bro...
context: Lord, who is...\It's the demon.\Lord? Then that's bro's papa.\I knew it, it's him!\He's the one that took my arm!\No, you're not a demon!\It's not my fault, I was just following orders...\Bro... response:	Brother.
context: It's the demon.\Lord? Then that's bro's papa.\I knew it, it's him!\He's the one that took my arm!\No, you're not a demon!\It's not my fault, I was just following orders...\Bro...\Brother. response:	I am Tahomaru, your younger brother.
context: Lord? Then that's bro's papa.\I knew it, it's him!\He's the one that took my arm!\No, you're not a demon!\It's not my fault, I was just following orders...\Bro...\Brother.\I am Tahomaru, your younger brother. response:	I knew it. See, I told you so.
context: I knew it, it's him!\He's the one that took my arm!\No, you're not a demon!\It's not my fault, I was just following orders...\Bro...\Brother.\I am Tahomaru, your younger brother.\I knew it. See, I told you so. response:	You're brothers.
context: He's the one that took my arm!\No, you're not a demon!\It's not my fault, I was just following orders...\Bro...\Brother.\I am Tahomaru, your younger brother.\I knew it. See, I told you so.\You're brothers. response:	My brother, I do not believe what Father did to you was right.
context: No, you're not a demon!\It's not my fault, I was just following orders...\Bro...\Brother.\I am Tahomaru, your younger brother.\I knew it. See, I told you so.\You're brothers.\My brother, I do not believe what Father did to you was right. response:	He fed you to the demons in exchange for prosperity.
context: It's not my fault, I was just following orders...\Bro...\Brother.\I am Tahomaru, your younger brother.\I knew it. See, I told you so.\You're brothers.\My brother, I do not believe what Father did to you was right.\He fed you to the demons in exchange for prosperity. response:	Half-born...
context: Bro...\Brother.\I am Tahomaru, your younger brother.\I knew it. See, I told you so.\You're brothers.\My brother, I do not believe what Father did to you was right.\He fed you to the demons in exchange for prosperity.\Half-born... response:	No... Then he's the one that did this to him?
context: Brother.\I am Tahomaru, your younger brother.\I knew it. See, I told you so.\You're brothers.\My brother, I do not believe what Father did to you was right.\He fed you to the demons in exchange for prosperity.\Half-born...\No... Then he's the one that did this to him? response:	Yes, our father Daigo Kagemitsu!
context: I am Tahomaru, your younger brother.\I knew it. See, I told you so.\You're brothers.\My brother, I do not believe what Father did to you was right.\He fed you to the demons in exchange for prosperity.\Half-born...\No... Then he's the one that did this to him?\Yes, our father Daigo Kagemitsu! response:	But that is the sacrifice one must make to protect one's domain.
context: I knew it. See, I told you so.\You're brothers.\My brother, I do not believe what Father did to you was right.\He fed you to the demons in exchange for prosperity.\Half-born...\No... Then he's the one that did this to him?\Yes, our father Daigo Kagemitsu!\But that is the sacrifice one must make to protect one's domain. response:	No... That's too cruel!
context: You're brothers.\My brother, I do not believe what Father did to you was right.\He fed you to the demons in exchange for prosperity.\Half-born...\No... Then he's the one that did this to him?\Yes, our father Daigo Kagemitsu!\But that is the sacrifice one must make to protect one's domain.\No... That's too cruel! response:	Brother. If we break the deal with the demons now, the land will perish.
context: My brother, I do not believe what Father did to you was right.\He fed you to the demons in exchange for prosperity.\Half-born...\No... Then he's the one that did this to him?\Yes, our father Daigo Kagemitsu!\But that is the sacrifice one must make to protect one's domain.\No... That's too cruel!\Brother. If we break the deal with the demons now, the land will perish. response:	You, who threatens the peace of this land, are a demon to us now.
context: He fed you to the demons in exchange for prosperity.\Half-born...\No... Then he's the one that did this to him?\Yes, our father Daigo Kagemitsu!\But that is the sacrifice one must make to protect one's domain.\No... That's too cruel!\Brother. If we break the deal with the demons now, the land will perish.\You, who threatens the peace of this land, are a demon to us now. response:	Well said, Tahomaru.
context: Half-born...\No... Then he's the one that did this to him?\Yes, our father Daigo Kagemitsu!\But that is the sacrifice one must make to protect one's domain.\No... That's too cruel!\Brother. If we break the deal with the demons now, the land will perish.\You, who threatens the peace of this land, are a demon to us now.\Well said, Tahomaru. response:	So now, I must kill you.
context: No... Then he's the one that did this to him?\Yes, our father Daigo Kagemitsu!\But that is the sacrifice one must make to protect one's domain.\No... That's too cruel!\Brother. If we break the deal with the demons now, the land will perish.\You, who threatens the peace of this land, are a demon to us now.\Well said, Tahomaru.\So now, I must kill you. response:	-Young Master! -Stay back!
context: Yes, our father Daigo Kagemitsu!\But that is the sacrifice one must make to protect one's domain.\No... That's too cruel!\Brother. If we break the deal with the demons now, the land will perish.\You, who threatens the peace of this land, are a demon to us now.\Well said, Tahomaru.\So now, I must kill you.\-Young Master! -Stay back! response:	No, this can't be...
context: But that is the sacrifice one must make to protect one's domain.\No... That's too cruel!\Brother. If we break the deal with the demons now, the land will perish.\You, who threatens the peace of this land, are a demon to us now.\Well said, Tahomaru.\So now, I must kill you.\-Young Master! -Stay back!\No, this can't be... response:	-Dororo! -Sukeroku, are you there?
context: No... That's too cruel!\Brother. If we break the deal with the demons now, the land will perish.\You, who threatens the peace of this land, are a demon to us now.\Well said, Tahomaru.\So now, I must kill you.\-Young Master! -Stay back!\No, this can't be...\-Dororo! -Sukeroku, are you there? response:	It's tied so tight. I can't undo it.
context: Brother. If we break the deal with the demons now, the land will perish.\You, who threatens the peace of this land, are a demon to us now.\Well said, Tahomaru.\So now, I must kill you.\-Young Master! -Stay back!\No, this can't be...\-Dororo! -Sukeroku, are you there?\It's tied so tight. I can't undo it. response:	Bro's sword could slash it, but...
context: You, who threatens the peace of this land, are a demon to us now.\Well said, Tahomaru.\So now, I must kill you.\-Young Master! -Stay back!\No, this can't be...\-Dororo! -Sukeroku, are you there?\It's tied so tight. I can't undo it.\Bro's sword could slash it, but... response:	-Dororo. -Almost.
context: Well said, Tahomaru.\So now, I must kill you.\-Young Master! -Stay back!\No, this can't be...\-Dororo! -Sukeroku, are you there?\It's tied so tight. I can't undo it.\Bro's sword could slash it, but...\-Dororo. -Almost. response:	The ghost fox...
context: So now, I must kill you.\-Young Master! -Stay back!\No, this can't be...\-Dororo! -Sukeroku, are you there?\It's tied so tight. I can't undo it.\Bro's sword could slash it, but...\-Dororo. -Almost.\The ghost fox... response:	It's coming back, Dororo.
context: -Young Master! -Stay back!\No, this can't be...\-Dororo! -Sukeroku, are you there?\It's tied so tight. I can't undo it.\Bro's sword could slash it, but...\-Dororo. -Almost.\The ghost fox...\It's coming back, Dororo. response:	I can't undo it.
