context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create... response:	Sacrifice!
context: I was all alone, and you let me join your party.\We captured those phantom thieves together!\So... at least let us repay you a little.\You doofus.\Everyone...\Well, aren't you popular, Noir? I'm so jealous!\She really...\Let's knock down... response:	Hey, you've got a gun?!
context: We captured those phantom thieves together!\So... at least let us repay you a little.\You doofus.\Everyone...\Well, aren't you popular, Noir? I'm so jealous!\She really...\Let's knock down...\Hey, you've got a gun?! response:	Demon Fist!
context: So... at least let us repay you a little.\You doofus.\Everyone...\Well, aren't you popular, Noir? I'm so jealous!\She really...\Let's knock down...\Hey, you've got a gun?!\Demon Fist! response:	Wind Strike!
context: You doofus.\Everyone...\Well, aren't you popular, Noir? I'm so jealous!\She really...\Let's knock down...\Hey, you've got a gun?!\Demon Fist!\Wind Strike! response:	Emma!
context: Everyone...\Well, aren't you popular, Noir? I'm so jealous!\She really...\Let's knock down...\Hey, you've got a gun?!\Demon Fist!\Wind Strike!\Emma! response:	I-I still haven't recovered?!
context: Well, aren't you popular, Noir? I'm so jealous!\She really...\Let's knock down...\Hey, you've got a gun?!\Demon Fist!\Wind Strike!\Emma!\I-I still haven't recovered?! response:	Is it because it was a skill attack?
context: She really...\Let's knock down...\Hey, you've got a gun?!\Demon Fist!\Wind Strike!\Emma!\I-I still haven't recovered?!\Is it because it was a skill attack? response:	Guess I'll have to teach you what happens when you butt in.
context: Let's knock down...\Hey, you've got a gun?!\Demon Fist!\Wind Strike!\Emma!\I-I still haven't recovered?!\Is it because it was a skill attack?\Guess I'll have to teach you what happens when you butt in. response:	The one who's... going to defeat my rival in love...
context: Hey, you've got a gun?!\Demon Fist!\Wind Strike!\Emma!\I-I still haven't recovered?!\Is it because it was a skill attack?\Guess I'll have to teach you what happens when you butt in.\The one who's... going to defeat my rival in love... response:	is me!
context: Demon Fist!\Wind Strike!\Emma!\I-I still haven't recovered?!\Is it because it was a skill attack?\Guess I'll have to teach you what happens when you butt in.\The one who's... going to defeat my rival in love...\is me! response:	Lola!
context: Wind Strike!\Emma!\I-I still haven't recovered?!\Is it because it was a skill attack?\Guess I'll have to teach you what happens when you butt in.\The one who's... going to defeat my rival in love...\is me!\Lola! response:	Yikes, talk about the strength of a gorilla.
context: Emma!\I-I still haven't recovered?!\Is it because it was a skill attack?\Guess I'll have to teach you what happens when you butt in.\The one who's... going to defeat my rival in love...\is me!\Lola!\Yikes, talk about the strength of a gorilla. response:	Who're you calling a gorilla?!
context: I-I still haven't recovered?!\Is it because it was a skill attack?\Guess I'll have to teach you what happens when you butt in.\The one who's... going to defeat my rival in love...\is me!\Lola!\Yikes, talk about the strength of a gorilla.\Who're you calling a gorilla?! response:	L-Lola! If you do that too much, the bridge will
context: Is it because it was a skill attack?\Guess I'll have to teach you what happens when you butt in.\The one who's... going to defeat my rival in love...\is me!\Lola!\Yikes, talk about the strength of a gorilla.\Who're you calling a gorilla?!\L-Lola! If you do that too much, the bridge will response:	Oh, my. I lost my composure.
context: Guess I'll have to teach you what happens when you butt in.\The one who's... going to defeat my rival in love...\is me!\Lola!\Yikes, talk about the strength of a gorilla.\Who're you calling a gorilla?!\L-Lola! If you do that too much, the bridge will\Oh, my. I lost my composure. response:	It's no use acting all meek and adorable now!
context: The one who's... going to defeat my rival in love...\is me!\Lola!\Yikes, talk about the strength of a gorilla.\Who're you calling a gorilla?!\L-Lola! If you do that too much, the bridge will\Oh, my. I lost my composure.\It's no use acting all meek and adorable now! response:	Luna! Please heal Emma and Lola!
context: is me!\Lola!\Yikes, talk about the strength of a gorilla.\Who're you calling a gorilla?!\L-Lola! If you do that too much, the bridge will\Oh, my. I lost my composure.\It's no use acting all meek and adorable now!\Luna! Please heal Emma and Lola! response:	Understood.
context: Lola!\Yikes, talk about the strength of a gorilla.\Who're you calling a gorilla?!\L-Lola! If you do that too much, the bridge will\Oh, my. I lost my composure.\It's no use acting all meek and adorable now!\Luna! Please heal Emma and Lola!\Understood. response:	Touching that sword is bad news.
context: Yikes, talk about the strength of a gorilla.\Who're you calling a gorilla?!\L-Lola! If you do that too much, the bridge will\Oh, my. I lost my composure.\It's no use acting all meek and adorable now!\Luna! Please heal Emma and Lola!\Understood.\Touching that sword is bad news. response:	I'll have to use Editor and...
context: Who're you calling a gorilla?!\L-Lola! If you do that too much, the bridge will\Oh, my. I lost my composure.\It's no use acting all meek and adorable now!\Luna! Please heal Emma and Lola!\Understood.\Touching that sword is bad news.\I'll have to use Editor and... response:	Destroy!
context: L-Lola! If you do that too much, the bridge will\Oh, my. I lost my composure.\It's no use acting all meek and adorable now!\Luna! Please heal Emma and Lola!\Understood.\Touching that sword is bad news.\I'll have to use Editor and...\Destroy! response:	Hey, what's wrong?
context: Oh, my. I lost my composure.\It's no use acting all meek and adorable now!\Luna! Please heal Emma and Lola!\Understood.\Touching that sword is bad news.\I'll have to use Editor and...\Destroy!\Hey, what's wrong? response:	Leila! Now!
context: It's no use acting all meek and adorable now!\Luna! Please heal Emma and Lola!\Understood.\Touching that sword is bad news.\I'll have to use Editor and...\Destroy!\Hey, what's wrong?\Leila! Now! response:	I'm on it!
context: Luna! Please heal Emma and Lola!\Understood.\Touching that sword is bad news.\I'll have to use Editor and...\Destroy!\Hey, what's wrong?\Leila! Now!\I'm on it! response:	Demon Fist!
context: Understood.\Touching that sword is bad news.\I'll have to use Editor and...\Destroy!\Hey, what's wrong?\Leila! Now!\I'm on it!\Demon Fist! response:	Yes!
context: Touching that sword is bad news.\I'll have to use Editor and...\Destroy!\Hey, what's wrong?\Leila! Now!\I'm on it!\Demon Fist!\Yes! response:	Now I've got you!
context: I'll have to use Editor and...\Destroy!\Hey, what's wrong?\Leila! Now!\I'm on it!\Demon Fist!\Yes!\Now I've got you! response:	That was a pretty fiery attack! Right back atcha!
context: Destroy!\Hey, what's wrong?\Leila! Now!\I'm on it!\Demon Fist!\Yes!\Now I've got you!\That was a pretty fiery attack! Right back atcha! response:	I'm sorry, Noir...
context: Hey, what's wrong?\Leila! Now!\I'm on it!\Demon Fist!\Yes!\Now I've got you!\That was a pretty fiery attack! Right back atcha!\I'm sorry, Noir... response:	Leila! We have to heal her quickly!
context: Leila! Now!\I'm on it!\Demon Fist!\Yes!\Now I've got you!\That was a pretty fiery attack! Right back atcha!\I'm sorry, Noir...\Leila! We have to heal her quickly! response:	L-Luna!
context: I'm on it!\Demon Fist!\Yes!\Now I've got you!\That was a pretty fiery attack! Right back atcha!\I'm sorry, Noir...\Leila! We have to heal her quickly!\L-Luna! response:	Luna Heela
context: Demon Fist!\Yes!\Now I've got you!\That was a pretty fiery attack! Right back atcha!\I'm sorry, Noir...\Leila! We have to heal her quickly!\L-Luna!\Luna Heela response:	Temperature +5
context: Yes!\Now I've got you!\That was a pretty fiery attack! Right back atcha!\I'm sorry, Noir...\Leila! We have to heal her quickly!\L-Luna!\Luna Heela\Temperature +5 response:	I-Is she doing this?!
context: Now I've got you!\That was a pretty fiery attack! Right back atcha!\I'm sorry, Noir...\Leila! We have to heal her quickly!\L-Luna!\Luna Heela\Temperature +5\I-Is she doing this?! response:	But when?
context: That was a pretty fiery attack! Right back atcha!\I'm sorry, Noir...\Leila! We have to heal her quickly!\L-Luna!\Luna Heela\Temperature +5\I-Is she doing this?!\But when? response:	N-Noir... I'm sorry.
context: I'm sorry, Noir...\Leila! We have to heal her quickly!\L-Luna!\Luna Heela\Temperature +5\I-Is she doing this?!\But when?\N-Noir... I'm sorry. response:	Luna!
context: Leila! We have to heal her quickly!\L-Luna!\Luna Heela\Temperature +5\I-Is she doing this?!\But when?\N-Noir... I'm sorry.\Luna! response:	And...
context: L-Luna!\Luna Heela\Temperature +5\I-Is she doing this?!\But when?\N-Noir... I'm sorry.\Luna!\And... response:	She did it to Emma, too! But when did she...
context: Luna Heela\Temperature +5\I-Is she doing this?!\But when?\N-Noir... I'm sorry.\Luna!\And...\She did it to Emma, too! But when did she... response:	Temperature +5
context: Temperature +5\I-Is she doing this?!\But when?\N-Noir... I'm sorry.\Luna!\And...\She did it to Emma, too! But when did she...\Temperature +5 response:	Emma Brightness
context: I-Is she doing this?!\But when?\N-Noir... I'm sorry.\Luna!\And...\She did it to Emma, too! But when did she...\Temperature +5\Emma Brightness response:	Everyone...
context: But when?\N-Noir... I'm sorry.\Luna!\And...\She did it to Emma, too! But when did she...\Temperature +5\Emma Brightness\Everyone... response:	Aw, you're all alone again.
context: N-Noir... I'm sorry.\Luna!\And...\She did it to Emma, too! But when did she...\Temperature +5\Emma Brightness\Everyone...\Aw, you're all alone again. response:	The Hidden Dungeon Only I Can Enter!
context: Luna!\And...\She did it to Emma, too! But when did she...\Temperature +5\Emma Brightness\Everyone...\Aw, you're all alone again.\The Hidden Dungeon Only I Can Enter! response:	She doesn't have any weapons.
context: And...\She did it to Emma, too! But when did she...\Temperature +5\Emma Brightness\Everyone...\Aw, you're all alone again.\The Hidden Dungeon Only I Can Enter!\She doesn't have any weapons. response:	I have a better chance fighting up close!
context: She did it to Emma, too! But when did she...\Temperature +5\Emma Brightness\Everyone...\Aw, you're all alone again.\The Hidden Dungeon Only I Can Enter!\She doesn't have any weapons.\I have a better chance fighting up close! response:	My legs!
context: Temperature +5\Emma Brightness\Everyone...\Aw, you're all alone again.\The Hidden Dungeon Only I Can Enter!\She doesn't have any weapons.\I have a better chance fighting up close!\My legs! response:	Wh-What's going on? Something's wrong!
context: Emma Brightness\Everyone...\Aw, you're all alone again.\The Hidden Dungeon Only I Can Enter!\She doesn't have any weapons.\I have a better chance fighting up close!\My legs!\Wh-What's going on? Something's wrong! response:	Noir Stardia
context: Everyone...\Aw, you're all alone again.\The Hidden Dungeon Only I Can Enter!\She doesn't have any weapons.\I have a better chance fighting up close!\My legs!\Wh-What's going on? Something's wrong!\Noir Stardia response:	Movements and reactions become slower
context: Aw, you're all alone again.\The Hidden Dungeon Only I Can Enter!\She doesn't have any weapons.\I have a better chance fighting up close!\My legs!\Wh-What's going on? Something's wrong!\Noir Stardia\Movements and reactions become slower response:	This is...
context: The Hidden Dungeon Only I Can Enter!\She doesn't have any weapons.\I have a better chance fighting up close!\My legs!\Wh-What's going on? Something's wrong!\Noir Stardia\Movements and reactions become slower\This is... response:	Stone Bullet 40!
context: She doesn't have any weapons.\I have a better chance fighting up close!\My legs!\Wh-What's going on? Something's wrong!\Noir Stardia\Movements and reactions become slower\This is...\Stone Bullet 40! response:	Clumsy boy!
context: I have a better chance fighting up close!\My legs!\Wh-What's going on? Something's wrong!\Noir Stardia\Movements and reactions become slower\This is...\Stone Bullet 40!\Clumsy boy! response:	Sh-She messed with my skills again?
context: My legs!\Wh-What's going on? Something's wrong!\Noir Stardia\Movements and reactions become slower\This is...\Stone Bullet 40!\Clumsy boy!\Sh-She messed with my skills again? response:	Stone Bullet
context: Wh-What's going on? Something's wrong!\Noir Stardia\Movements and reactions become slower\This is...\Stone Bullet 40!\Clumsy boy!\Sh-She messed with my skills again?\Stone Bullet response:	Create and fire a stone from around 10100 centimeters by using LP.
context: Noir Stardia\Movements and reactions become slower\This is...\Stone Bullet 40!\Clumsy boy!\Sh-She messed with my skills again?\Stone Bullet\Create and fire a stone from around 10100 centimeters by using LP. response:	After that, the stone comes back to you.
context: Movements and reactions become slower\This is...\Stone Bullet 40!\Clumsy boy!\Sh-She messed with my skills again?\Stone Bullet\Create and fire a stone from around 10100 centimeters by using LP.\After that, the stone comes back to you. response:	She made it worse?!
context: This is...\Stone Bullet 40!\Clumsy boy!\Sh-She messed with my skills again?\Stone Bullet\Create and fire a stone from around 10100 centimeters by using LP.\After that, the stone comes back to you.\She made it worse?! response:	Did you figure it out?
context: Stone Bullet 40!\Clumsy boy!\Sh-She messed with my skills again?\Stone Bullet\Create and fire a stone from around 10100 centimeters by using LP.\After that, the stone comes back to you.\She made it worse?!\Did you figure it out? response:	Sh-She's unbelievable...
context: Clumsy boy!\Sh-She messed with my skills again?\Stone Bullet\Create and fire a stone from around 10100 centimeters by using LP.\After that, the stone comes back to you.\She made it worse?!\Did you figure it out?\Sh-She's unbelievable... response:	She's way more perceptive than I am, her instincts are insane,
context: Sh-She messed with my skills again?\Stone Bullet\Create and fire a stone from around 10100 centimeters by using LP.\After that, the stone comes back to you.\She made it worse?!\Did you figure it out?\Sh-She's unbelievable...\She's way more perceptive than I am, her instincts are insane, response:	and she's way better at using skills than I am.
context: Stone Bullet\Create and fire a stone from around 10100 centimeters by using LP.\After that, the stone comes back to you.\She made it worse?!\Did you figure it out?\Sh-She's unbelievable...\She's way more perceptive than I am, her instincts are insane,\and she's way better at using skills than I am. response:	Why don't you just give up?
context: Create and fire a stone from around 10100 centimeters by using LP.\After that, the stone comes back to you.\She made it worse?!\Did you figure it out?\Sh-She's unbelievable...\She's way more perceptive than I am, her instincts are insane,\and she's way better at using skills than I am.\Why don't you just give up? response:	I mean, you can still survive, albeit pathetically.
context: After that, the stone comes back to you.\She made it worse?!\Did you figure it out?\Sh-She's unbelievable...\She's way more perceptive than I am, her instincts are insane,\and she's way better at using skills than I am.\Why don't you just give up?\I mean, you can still survive, albeit pathetically. response:	I'm not afraid of living pathetically.
context: She made it worse?!\Did you figure it out?\Sh-She's unbelievable...\She's way more perceptive than I am, her instincts are insane,\and she's way better at using skills than I am.\Why don't you just give up?\I mean, you can still survive, albeit pathetically.\I'm not afraid of living pathetically. response:	Being born to a baronet family, I'm basically destined for a pathetic life.
context: Did you figure it out?\Sh-She's unbelievable...\She's way more perceptive than I am, her instincts are insane,\and she's way better at using skills than I am.\Why don't you just give up?\I mean, you can still survive, albeit pathetically.\I'm not afraid of living pathetically.\Being born to a baronet family, I'm basically destined for a pathetic life. response:	Then why not run away? I don't mind looking away for a sec.
context: Sh-She's unbelievable...\She's way more perceptive than I am, her instincts are insane,\and she's way better at using skills than I am.\Why don't you just give up?\I mean, you can still survive, albeit pathetically.\I'm not afraid of living pathetically.\Being born to a baronet family, I'm basically destined for a pathetic life.\Then why not run away? I don't mind looking away for a sec. response:	No matter how pathetic my life is...
context: She's way more perceptive than I am, her instincts are insane,\and she's way better at using skills than I am.\Why don't you just give up?\I mean, you can still survive, albeit pathetically.\I'm not afraid of living pathetically.\Being born to a baronet family, I'm basically destined for a pathetic life.\Then why not run away? I don't mind looking away for a sec.\No matter how pathetic my life is... response:	As long as I try, I can change!
context: and she's way better at using skills than I am.\Why don't you just give up?\I mean, you can still survive, albeit pathetically.\I'm not afraid of living pathetically.\Being born to a baronet family, I'm basically destined for a pathetic life.\Then why not run away? I don't mind looking away for a sec.\No matter how pathetic my life is...\As long as I try, I can change! response:	I learned that after I met Master!
context: Why don't you just give up?\I mean, you can still survive, albeit pathetically.\I'm not afraid of living pathetically.\Being born to a baronet family, I'm basically destined for a pathetic life.\Then why not run away? I don't mind looking away for a sec.\No matter how pathetic my life is...\As long as I try, I can change!\I learned that after I met Master! response:	And that's why... I'm going to save Master!
context: I mean, you can still survive, albeit pathetically.\I'm not afraid of living pathetically.\Being born to a baronet family, I'm basically destined for a pathetic life.\Then why not run away? I don't mind looking away for a sec.\No matter how pathetic my life is...\As long as I try, I can change!\I learned that after I met Master!\And that's why... I'm going to save Master! response:	I don't have time to think about the outcome anymore!
context: I'm not afraid of living pathetically.\Being born to a baronet family, I'm basically destined for a pathetic life.\Then why not run away? I don't mind looking away for a sec.\No matter how pathetic my life is...\As long as I try, I can change!\I learned that after I met Master!\And that's why... I'm going to save Master!\I don't have time to think about the outcome anymore! response:	I'm going to give up everything Master gave me except Get Creative,
context: Being born to a baronet family, I'm basically destined for a pathetic life.\Then why not run away? I don't mind looking away for a sec.\No matter how pathetic my life is...\As long as I try, I can change!\I learned that after I met Master!\And that's why... I'm going to save Master!\I don't have time to think about the outcome anymore!\I'm going to give up everything Master gave me except Get Creative, response:	Skills Skills Skills Skills
context: Then why not run away? I don't mind looking away for a sec.\No matter how pathetic my life is...\As long as I try, I can change!\I learned that after I met Master!\And that's why... I'm going to save Master!\I don't have time to think about the outcome anymore!\I'm going to give up everything Master gave me except Get Creative,\Skills Skills Skills Skills response:	Noir Stardia
context: No matter how pathetic my life is...\As long as I try, I can change!\I learned that after I met Master!\And that's why... I'm going to save Master!\I don't have time to think about the outcome anymore!\I'm going to give up everything Master gave me except Get Creative,\Skills Skills Skills Skills\Noir Stardia response:	Editor, and Bestow...
context: As long as I try, I can change!\I learned that after I met Master!\And that's why... I'm going to save Master!\I don't have time to think about the outcome anymore!\I'm going to give up everything Master gave me except Get Creative,\Skills Skills Skills Skills\Noir Stardia\Editor, and Bestow... response:	Skills Skills
context: I learned that after I met Master!\And that's why... I'm going to save Master!\I don't have time to think about the outcome anymore!\I'm going to give up everything Master gave me except Get Creative,\Skills Skills Skills Skills\Noir Stardia\Editor, and Bestow...\Skills Skills response:	and use Sacrifice!
context: And that's why... I'm going to save Master!\I don't have time to think about the outcome anymore!\I'm going to give up everything Master gave me except Get Creative,\Skills Skills Skills Skills\Noir Stardia\Editor, and Bestow...\Skills Skills\and use Sacrifice! response:	Sacrifice
context: I don't have time to think about the outcome anymore!\I'm going to give up everything Master gave me except Get Creative,\Skills Skills Skills Skills\Noir Stardia\Editor, and Bestow...\Skills Skills\and use Sacrifice!\Sacrifice response:	It's hard!
context: I'm going to give up everything Master gave me except Get Creative,\Skills Skills Skills Skills\Noir Stardia\Editor, and Bestow...\Skills Skills\and use Sacrifice!\Sacrifice\It's hard! response:	Don't underestimate me...
context: Skills Skills Skills Skills\Noir Stardia\Editor, and Bestow...\Skills Skills\and use Sacrifice!\Sacrifice\It's hard!\Don't underestimate me... response:	you little brat!
context: Noir Stardia\Editor, and Bestow...\Skills Skills\and use Sacrifice!\Sacrifice\It's hard!\Don't underestimate me...\you little brat! response:	I'll engulf you in flames until there's nothing left!
context: Editor, and Bestow...\Skills Skills\and use Sacrifice!\Sacrifice\It's hard!\Don't underestimate me...\you little brat!\I'll engulf you in flames until there's nothing left! response:	You and your silly feelings toward your master!
context: Skills Skills\and use Sacrifice!\Sacrifice\It's hard!\Don't underestimate me...\you little brat!\I'll engulf you in flames until there's nothing left!\You and your silly feelings toward your master! response:	Sh-She still has this much power left?
context: and use Sacrifice!\Sacrifice\It's hard!\Don't underestimate me...\you little brat!\I'll engulf you in flames until there's nothing left!\You and your silly feelings toward your master!\Sh-She still has this much power left? response:	She's way too strong!
context: Sacrifice\It's hard!\Don't underestimate me...\you little brat!\I'll engulf you in flames until there's nothing left!\You and your silly feelings toward your master!\Sh-She still has this much power left?\She's way too strong! response:	Die!
context: It's hard!\Don't underestimate me...\you little brat!\I'll engulf you in flames until there's nothing left!\You and your silly feelings toward your master!\Sh-She still has this much power left?\She's way too strong!\Die! response:	But I have to...
context: Don't underestimate me...\you little brat!\I'll engulf you in flames until there's nothing left!\You and your silly feelings toward your master!\Sh-She still has this much power left?\She's way too strong!\Die!\But I have to... response:	I just have to do this!
context: you little brat!\I'll engulf you in flames until there's nothing left!\You and your silly feelings toward your master!\Sh-She still has this much power left?\She's way too strong!\Die!\But I have to...\I just have to do this! response:	I-I'll...
context: I'll engulf you in flames until there's nothing left!\You and your silly feelings toward your master!\Sh-She still has this much power left?\She's way too strong!\Die!\But I have to...\I just have to do this!\I-I'll... response:	I'll curse y
context: You and your silly feelings toward your master!\Sh-She still has this much power left?\She's way too strong!\Die!\But I have to...\I just have to do this!\I-I'll...\I'll curse y response:	Curse me all you want.
context: Sh-She still has this much power left?\She's way too strong!\Die!\But I have to...\I just have to do this!\I-I'll...\I'll curse y\Curse me all you want. response:	I have friends who can lift them!
context: She's way too strong!\Die!\But I have to...\I just have to do this!\I-I'll...\I'll curse y\Curse me all you want.\I have friends who can lift them! response:	Noir!
context: Die!\But I have to...\I just have to do this!\I-I'll...\I'll curse y\Curse me all you want.\I have friends who can lift them!\Noir! response:	Y-You defeated her!
context: But I have to...\I just have to do this!\I-I'll...\I'll curse y\Curse me all you want.\I have friends who can lift them!\Noir!\Y-You defeated her! response:	Well done.
context: I just have to do this!\I-I'll...\I'll curse y\Curse me all you want.\I have friends who can lift them!\Noir!\Y-You defeated her!\Well done. response:	I-It's all thanks to you guys.
context: I-I'll...\I'll curse y\Curse me all you want.\I have friends who can lift them!\Noir!\Y-You defeated her!\Well done.\I-It's all thanks to you guys. response:	Noir Stardia
context: I'll curse y\Curse me all you want.\I have friends who can lift them!\Noir!\Y-You defeated her!\Well done.\I-It's all thanks to you guys.\Noir Stardia response:	But I think... I used up too much LP.
context: Curse me all you want.\I have friends who can lift them!\Noir!\Y-You defeated her!\Well done.\I-It's all thanks to you guys.\Noir Stardia\But I think... I used up too much LP. response:	Noir...
context: I have friends who can lift them!\Noir!\Y-You defeated her!\Well done.\I-It's all thanks to you guys.\Noir Stardia\But I think... I used up too much LP.\Noir... response:	Don't worry.
context: Noir!\Y-You defeated her!\Well done.\I-It's all thanks to you guys.\Noir Stardia\But I think... I used up too much LP.\Noir...\Don't worry. response:	I-If that's the case...
context: Y-You defeated her!\Well done.\I-It's all thanks to you guys.\Noir Stardia\But I think... I used up too much LP.\Noir...\Don't worry.\I-If that's the case... response:	Just leave it to us.
context: Well done.\I-It's all thanks to you guys.\Noir Stardia\But I think... I used up too much LP.\Noir...\Don't worry.\I-If that's the case...\Just leave it to us. response:	Wh-Whoa...
context: I-It's all thanks to you guys.\Noir Stardia\But I think... I used up too much LP.\Noir...\Don't worry.\I-If that's the case...\Just leave it to us.\Wh-Whoa... response:	Th-Thanks, everyone.
context: Noir Stardia\But I think... I used up too much LP.\Noir...\Don't worry.\I-If that's the case...\Just leave it to us.\Wh-Whoa...\Th-Thanks, everyone. response:	Noir Stardia
context: But I think... I used up too much LP.\Noir...\Don't worry.\I-If that's the case...\Just leave it to us.\Wh-Whoa...\Th-Thanks, everyone.\Noir Stardia response:	And so, after defeating the Death Chains, I went to see Master.
context: Noir...\Don't worry.\I-If that's the case...\Just leave it to us.\Wh-Whoa...\Th-Thanks, everyone.\Noir Stardia\And so, after defeating the Death Chains, I went to see Master. response:	There you are.
context: Don't worry.\I-If that's the case...\Just leave it to us.\Wh-Whoa...\Th-Thanks, everyone.\Noir Stardia\And so, after defeating the Death Chains, I went to see Master.\There you are. response:	Noir, I'm free now.
context: I-If that's the case...\Just leave it to us.\Wh-Whoa...\Th-Thanks, everyone.\Noir Stardia\And so, after defeating the Death Chains, I went to see Master.\There you are.\Noir, I'm free now. response:	Master...
context: Just leave it to us.\Wh-Whoa...\Th-Thanks, everyone.\Noir Stardia\And so, after defeating the Death Chains, I went to see Master.\There you are.\Noir, I'm free now.\Master... response:	Thank you. You worked so hard.
context: Wh-Whoa...\Th-Thanks, everyone.\Noir Stardia\And so, after defeating the Death Chains, I went to see Master.\There you are.\Noir, I'm free now.\Master...\Thank you. You worked so hard. response:	Master...
context: Th-Thanks, everyone.\Noir Stardia\And so, after defeating the Death Chains, I went to see Master.\There you are.\Noir, I'm free now.\Master...\Thank you. You worked so hard.\Master... response:	Now, now. You're ruining that adorable face of yours.
context: Noir Stardia\And so, after defeating the Death Chains, I went to see Master.\There you are.\Noir, I'm free now.\Master...\Thank you. You worked so hard.\Master...\Now, now. You're ruining that adorable face of yours. response:	You must've been hurting for so long...
context: And so, after defeating the Death Chains, I went to see Master.\There you are.\Noir, I'm free now.\Master...\Thank you. You worked so hard.\Master...\Now, now. You're ruining that adorable face of yours.\You must've been hurting for so long... response:	Why didn't you tell me?
context: There you are.\Noir, I'm free now.\Master...\Thank you. You worked so hard.\Master...\Now, now. You're ruining that adorable face of yours.\You must've been hurting for so long...\Why didn't you tell me? response:	Is it because I'm so unreliable?
context: Noir, I'm free now.\Master...\Thank you. You worked so hard.\Master...\Now, now. You're ruining that adorable face of yours.\You must've been hurting for so long...\Why didn't you tell me?\Is it because I'm so unreliable? response:	You're just such a sweetheart. I didn't want you to push yourself.
context: Master...\Thank you. You worked so hard.\Master...\Now, now. You're ruining that adorable face of yours.\You must've been hurting for so long...\Why didn't you tell me?\Is it because I'm so unreliable?\You're just such a sweetheart. I didn't want you to push yourself. response:	But...
context: Thank you. You worked so hard.\Master...\Now, now. You're ruining that adorable face of yours.\You must've been hurting for so long...\Why didn't you tell me?\Is it because I'm so unreliable?\You're just such a sweetheart. I didn't want you to push yourself.\But... response:	But apparently, you're much stronger and braver than I thought you were.
context: Master...\Now, now. You're ruining that adorable face of yours.\You must've been hurting for so long...\Why didn't you tell me?\Is it because I'm so unreliable?\You're just such a sweetheart. I didn't want you to push yourself.\But...\But apparently, you're much stronger and braver than I thought you were. response:	You're gonna make me fall for you.
context: Now, now. You're ruining that adorable face of yours.\You must've been hurting for so long...\Why didn't you tell me?\Is it because I'm so unreliable?\You're just such a sweetheart. I didn't want you to push yourself.\But...\But apparently, you're much stronger and braver than I thought you were.\You're gonna make me fall for you. response:	Th-There you go, treating me like a kid again.
context: You must've been hurting for so long...\Why didn't you tell me?\Is it because I'm so unreliable?\You're just such a sweetheart. I didn't want you to push yourself.\But...\But apparently, you're much stronger and braver than I thought you were.\You're gonna make me fall for you.\Th-There you go, treating me like a kid again. response:	Aw, I wouldn't say that.
context: Why didn't you tell me?\Is it because I'm so unreliable?\You're just such a sweetheart. I didn't want you to push yourself.\But...\But apparently, you're much stronger and braver than I thought you were.\You're gonna make me fall for you.\Th-There you go, treating me like a kid again.\Aw, I wouldn't say that. response:	Stop playing with my face, please!
context: Is it because I'm so unreliable?\You're just such a sweetheart. I didn't want you to push yourself.\But...\But apparently, you're much stronger and braver than I thought you were.\You're gonna make me fall for you.\Th-There you go, treating me like a kid again.\Aw, I wouldn't say that.\Stop playing with my face, please! response:	But I've been waiting so long to touch it!
context: You're just such a sweetheart. I didn't want you to push yourself.\But...\But apparently, you're much stronger and braver than I thought you were.\You're gonna make me fall for you.\Th-There you go, treating me like a kid again.\Aw, I wouldn't say that.\Stop playing with my face, please!\But I've been waiting so long to touch it! response:	Just a little bit, then...
context: But...\But apparently, you're much stronger and braver than I thought you were.\You're gonna make me fall for you.\Th-There you go, treating me like a kid again.\Aw, I wouldn't say that.\Stop playing with my face, please!\But I've been waiting so long to touch it!\Just a little bit, then... response:	If you hadn't shown up that day, I would still be stuck in that room.
context: But apparently, you're much stronger and braver than I thought you were.\You're gonna make me fall for you.\Th-There you go, treating me like a kid again.\Aw, I wouldn't say that.\Stop playing with my face, please!\But I've been waiting so long to touch it!\Just a little bit, then...\If you hadn't shown up that day, I would still be stuck in that room. response:	I might've spent an eternity in there.
context: You're gonna make me fall for you.\Th-There you go, treating me like a kid again.\Aw, I wouldn't say that.\Stop playing with my face, please!\But I've been waiting so long to touch it!\Just a little bit, then...\If you hadn't shown up that day, I would still be stuck in that room.\I might've spent an eternity in there. response:	Well, my life changed so much because I met you, Master.
context: Th-There you go, treating me like a kid again.\Aw, I wouldn't say that.\Stop playing with my face, please!\But I've been waiting so long to touch it!\Just a little bit, then...\If you hadn't shown up that day, I would still be stuck in that room.\I might've spent an eternity in there.\Well, my life changed so much because I met you, Master. response:	I'm very grateful.
context: Aw, I wouldn't say that.\Stop playing with my face, please!\But I've been waiting so long to touch it!\Just a little bit, then...\If you hadn't shown up that day, I would still be stuck in that room.\I might've spent an eternity in there.\Well, my life changed so much because I met you, Master.\I'm very grateful. response:	Noir, thank you so much.
context: Stop playing with my face, please!\But I've been waiting so long to touch it!\Just a little bit, then...\If you hadn't shown up that day, I would still be stuck in that room.\I might've spent an eternity in there.\Well, my life changed so much because I met you, Master.\I'm very grateful.\Noir, thank you so much. response:	That's my line, Master.
context: But I've been waiting so long to touch it!\Just a little bit, then...\If you hadn't shown up that day, I would still be stuck in that room.\I might've spent an eternity in there.\Well, my life changed so much because I met you, Master.\I'm very grateful.\Noir, thank you so much.\That's my line, Master. response:	Squeeze!
