context: You're invading the Empire of Misurugi? response:	Lizardia sent word that Aura
context: I'm so happy I got to meet you again.\Yeah.\I'll be back to say, I'm home, for sure.\Viebel clan and Sylphis clan are standing by.\What about the Genomus clan?\They need more time to cross the river.\Whoa, it's a full course DRAGON menu!\It's a real spectacle. response:	Tusk-san...
context: Yeah.\I'll be back to say, I'm home, for sure.\Viebel clan and Sylphis clan are standing by.\What about the Genomus clan?\They need more time to cross the river.\Whoa, it's a full course DRAGON menu!\It's a real spectacle.\Tusk-san... response:	I was looking forward to doing more research on your adult male body.
context: I'll be back to say, I'm home, for sure.\Viebel clan and Sylphis clan are standing by.\What about the Genomus clan?\They need more time to cross the river.\Whoa, it's a full course DRAGON menu!\It's a real spectacle.\Tusk-san...\I was looking forward to doing more research on your adult male body. response:	It's a real shame...
context: Viebel clan and Sylphis clan are standing by.\What about the Genomus clan?\They need more time to cross the river.\Whoa, it's a full course DRAGON menu!\It's a real spectacle.\Tusk-san...\I was looking forward to doing more research on your adult male body.\It's a real shame... response:	Oh, i-it is?
context: What about the Genomus clan?\They need more time to cross the river.\Whoa, it's a full course DRAGON menu!\It's a real spectacle.\Tusk-san...\I was looking forward to doing more research on your adult male body.\It's a real shame...\Oh, i-it is? response:	Next time, we must experiment with mating.
context: They need more time to cross the river.\Whoa, it's a full course DRAGON menu!\It's a real spectacle.\Tusk-san...\I was looking forward to doing more research on your adult male body.\It's a real shame...\Oh, i-it is?\Next time, we must experiment with mating. response:	Sorry, Doctor.
context: Whoa, it's a full course DRAGON menu!\It's a real spectacle.\Tusk-san...\I was looking forward to doing more research on your adult male body.\It's a real shame...\Oh, i-it is?\Next time, we must experiment with mating.\Sorry, Doctor. response:	He's not a rare specimen for you to experiment on.
context: It's a real spectacle.\Tusk-san...\I was looking forward to doing more research on your adult male body.\It's a real shame...\Oh, i-it is?\Next time, we must experiment with mating.\Sorry, Doctor.\He's not a rare specimen for you to experiment on. response:	He's my knight.
context: Tusk-san...\I was looking forward to doing more research on your adult male body.\It's a real shame...\Oh, i-it is?\Next time, we must experiment with mating.\Sorry, Doctor.\He's not a rare specimen for you to experiment on.\He's my knight. response:	Right.
context: I was looking forward to doing more research on your adult male body.\It's a real shame...\Oh, i-it is?\Next time, we must experiment with mating.\Sorry, Doctor.\He's not a rare specimen for you to experiment on.\He's my knight.\Right. response:	Get a room!
context: It's a real shame...\Oh, i-it is?\Next time, we must experiment with mating.\Sorry, Doctor.\He's not a rare specimen for you to experiment on.\He's my knight.\Right.\Get a room! response:	Let's go, you two.
context: Oh, i-it is?\Next time, we must experiment with mating.\Sorry, Doctor.\He's not a rare specimen for you to experiment on.\He's my knight.\Right.\Get a room!\Let's go, you two. response:	Proud people of Aura, many moons have
context: Next time, we must experiment with mating.\Sorry, Doctor.\He's not a rare specimen for you to experiment on.\He's my knight.\Right.\Get a room!\Let's go, you two.\Proud people of Aura, many moons have response:	passed since we were robbed of the light we know as Aura.
context: Sorry, Doctor.\He's not a rare specimen for you to experiment on.\He's my knight.\Right.\Get a room!\Let's go, you two.\Proud people of Aura, many moons have\passed since we were robbed of the light we know as Aura. response:	The time for retaliation has come.
context: He's not a rare specimen for you to experiment on.\He's my knight.\Right.\Get a room!\Let's go, you two.\Proud people of Aura, many moons have\passed since we were robbed of the light we know as Aura.\The time for retaliation has come. response:	Now is the time to show Embryo our anger and might.
context: He's my knight.\Right.\Get a room!\Let's go, you two.\Proud people of Aura, many moons have\passed since we were robbed of the light we know as Aura.\The time for retaliation has come.\Now is the time to show Embryo our anger and might. response:	Even if we children of Aura fall, our wings will not break.
context: Right.\Get a room!\Let's go, you two.\Proud people of Aura, many moons have\passed since we were robbed of the light we know as Aura.\The time for retaliation has come.\Now is the time to show Embryo our anger and might.\Even if we children of Aura fall, our wings will not break. response:	Woohoo!
context: Get a room!\Let's go, you two.\Proud people of Aura, many moons have\passed since we were robbed of the light we know as Aura.\The time for retaliation has come.\Now is the time to show Embryo our anger and might.\Even if we children of Aura fall, our wings will not break.\Woohoo! response:	Headquarters, this is lieutenant guardian Salamandinay.
context: Let's go, you two.\Proud people of Aura, many moons have\passed since we were robbed of the light we know as Aura.\The time for retaliation has come.\Now is the time to show Embryo our anger and might.\Even if we children of Aura fall, our wings will not break.\Woohoo!\Headquarters, this is lieutenant guardian Salamandinay. response:	All units, move out!
context: Proud people of Aura, many moons have\passed since we were robbed of the light we know as Aura.\The time for retaliation has come.\Now is the time to show Embryo our anger and might.\Even if we children of Aura fall, our wings will not break.\Woohoo!\Headquarters, this is lieutenant guardian Salamandinay.\All units, move out! response:	See you!
context: passed since we were robbed of the light we know as Aura.\The time for retaliation has come.\Now is the time to show Embryo our anger and might.\Even if we children of Aura fall, our wings will not break.\Woohoo!\Headquarters, this is lieutenant guardian Salamandinay.\All units, move out!\See you! response:	What? You're acting creepy.
context: The time for retaliation has come.\Now is the time to show Embryo our anger and might.\Even if we children of Aura fall, our wings will not break.\Woohoo!\Headquarters, this is lieutenant guardian Salamandinay.\All units, move out!\See you!\What? You're acting creepy. response:	I'm just so happy.
context: Now is the time to show Embryo our anger and might.\Even if we children of Aura fall, our wings will not break.\Woohoo!\Headquarters, this is lieutenant guardian Salamandinay.\All units, move out!\See you!\What? You're acting creepy.\I'm just so happy. response:	You've finally accepted me as your knight.
context: Even if we children of Aura fall, our wings will not break.\Woohoo!\Headquarters, this is lieutenant guardian Salamandinay.\All units, move out!\See you!\What? You're acting creepy.\I'm just so happy.\You've finally accepted me as your knight. response:	Hey, if the DRAGONs win, is our fight over, too?
context: Woohoo!\Headquarters, this is lieutenant guardian Salamandinay.\All units, move out!\See you!\What? You're acting creepy.\I'm just so happy.\You've finally accepted me as your knight.\Hey, if the DRAGONs win, is our fight over, too? response:	Huh? Yeah, probably.
context: Headquarters, this is lieutenant guardian Salamandinay.\All units, move out!\See you!\What? You're acting creepy.\I'm just so happy.\You've finally accepted me as your knight.\Hey, if the DRAGONs win, is our fight over, too?\Huh? Yeah, probably. response:	We'll be bored!
context: All units, move out!\See you!\What? You're acting creepy.\I'm just so happy.\You've finally accepted me as your knight.\Hey, if the DRAGONs win, is our fight over, too?\Huh? Yeah, probably.\We'll be bored! response:	What should we do then?
context: See you!\What? You're acting creepy.\I'm just so happy.\You've finally accepted me as your knight.\Hey, if the DRAGONs win, is our fight over, too?\Huh? Yeah, probably.\We'll be bored!\What should we do then? response:	Huh?
context: What? You're acting creepy.\I'm just so happy.\You've finally accepted me as your knight.\Hey, if the DRAGONs win, is our fight over, too?\Huh? Yeah, probably.\We'll be bored!\What should we do then?\Huh? response:	I'm going to invite Salia and the others over!
context: I'm just so happy.\You've finally accepted me as your knight.\Hey, if the DRAGONs win, is our fight over, too?\Huh? Yeah, probably.\We'll be bored!\What should we do then?\Huh?\I'm going to invite Salia and the others over! response:	To my house.
context: You've finally accepted me as your knight.\Hey, if the DRAGONs win, is our fight over, too?\Huh? Yeah, probably.\We'll be bored!\What should we do then?\Huh?\I'm going to invite Salia and the others over!\To my house. response:	What about you, Tusk?
context: Hey, if the DRAGONs win, is our fight over, too?\Huh? Yeah, probably.\We'll be bored!\What should we do then?\Huh?\I'm going to invite Salia and the others over!\To my house.\What about you, Tusk? response:	Me?
context: Huh? Yeah, probably.\We'll be bored!\What should we do then?\Huh?\I'm going to invite Salia and the others over!\To my house.\What about you, Tusk?\Me? response:	I'm going to open a small cafe in a nice town by the sea.
context: We'll be bored!\What should we do then?\Huh?\I'm going to invite Salia and the others over!\To my house.\What about you, Tusk?\Me?\I'm going to open a small cafe in a nice town by the sea. response:	With Ange.
context: What should we do then?\Huh?\I'm going to invite Salia and the others over!\To my house.\What about you, Tusk?\Me?\I'm going to open a small cafe in a nice town by the sea.\With Ange. response:	I'm going to call it Angel's Cafe Ange.
context: Huh?\I'm going to invite Salia and the others over!\To my house.\What about you, Tusk?\Me?\I'm going to open a small cafe in a nice town by the sea.\With Ange.\I'm going to call it Angel's Cafe Ange. response:	The sea snake soup is going to be popular.
context: I'm going to invite Salia and the others over!\To my house.\What about you, Tusk?\Me?\I'm going to open a small cafe in a nice town by the sea.\With Ange.\I'm going to call it Angel's Cafe Ange.\The sea snake soup is going to be popular. response:	We'll live on the second floor with our four children.
context: To my house.\What about you, Tusk?\Me?\I'm going to open a small cafe in a nice town by the sea.\With Ange.\I'm going to call it Angel's Cafe Ange.\The sea snake soup is going to be popular.\We'll live on the second floor with our four children. response:	Vivian, you can kick him off.
context: What about you, Tusk?\Me?\I'm going to open a small cafe in a nice town by the sea.\With Ange.\I'm going to call it Angel's Cafe Ange.\The sea snake soup is going to be popular.\We'll live on the second floor with our four children.\Vivian, you can kick him off. response:	Roger.
context: Me?\I'm going to open a small cafe in a nice town by the sea.\With Ange.\I'm going to call it Angel's Cafe Ange.\The sea snake soup is going to be popular.\We'll live on the second floor with our four children.\Vivian, you can kick him off.\Roger. response:	No, I mean...
context: I'm going to open a small cafe in a nice town by the sea.\With Ange.\I'm going to call it Angel's Cafe Ange.\The sea snake soup is going to be popular.\We'll live on the second floor with our four children.\Vivian, you can kick him off.\Roger.\No, I mean... response:	I'm just hoping we'll get to enjoy peace someday.
context: With Ange.\I'm going to call it Angel's Cafe Ange.\The sea snake soup is going to be popular.\We'll live on the second floor with our four children.\Vivian, you can kick him off.\Roger.\No, I mean...\I'm just hoping we'll get to enjoy peace someday. response:	What about you, Ange?
context: I'm going to call it Angel's Cafe Ange.\The sea snake soup is going to be popular.\We'll live on the second floor with our four children.\Vivian, you can kick him off.\Roger.\No, I mean...\I'm just hoping we'll get to enjoy peace someday.\What about you, Ange? response:	Me?
context: The sea snake soup is going to be popular.\We'll live on the second floor with our four children.\Vivian, you can kick him off.\Roger.\No, I mean...\I'm just hoping we'll get to enjoy peace someday.\What about you, Ange?\Me? response:	Deploying singularity.
context: We'll live on the second floor with our four children.\Vivian, you can kick him off.\Roger.\No, I mean...\I'm just hoping we'll get to enjoy peace someday.\What about you, Ange?\Me?\Deploying singularity. response:	It's open!
context: Vivian, you can kick him off.\Roger.\No, I mean...\I'm just hoping we'll get to enjoy peace someday.\What about you, Ange?\Me?\Deploying singularity.\It's open! response:	All units, follow me!
context: Roger.\No, I mean...\I'm just hoping we'll get to enjoy peace someday.\What about you, Ange?\Me?\Deploying singularity.\It's open!\All units, follow me! response:	But that sounds nice.
context: No, I mean...\I'm just hoping we'll get to enjoy peace someday.\What about you, Ange?\Me?\Deploying singularity.\It's open!\All units, follow me!\But that sounds nice. response:	Cafe Ange...
context: I'm just hoping we'll get to enjoy peace someday.\What about you, Ange?\Me?\Deploying singularity.\It's open!\All units, follow me!\But that sounds nice.\Cafe Ange... response:	Where are we?
context: What about you, Ange?\Me?\Deploying singularity.\It's open!\All units, follow me!\But that sounds nice.\Cafe Ange...\Where are we? response:	Quiz time!
context: Me?\Deploying singularity.\It's open!\All units, follow me!\But that sounds nice.\Cafe Ange...\Where are we?\Quiz time! response:	Where are we?
context: Deploying singularity.\It's open!\All units, follow me!\But that sounds nice.\Cafe Ange...\Where are we?\Quiz time!\Where are we? response:	The answer is... with our wind, our sea, and our sky!
context: It's open!\All units, follow me!\But that sounds nice.\Cafe Ange...\Where are we?\Quiz time!\Where are we?\The answer is... with our wind, our sea, and our sky! response:	We're back.
context: All units, follow me!\But that sounds nice.\Cafe Ange...\Where are we?\Quiz time!\Where are we?\The answer is... with our wind, our sea, and our sky!\We're back. response:	We're back!
context: But that sounds nice.\Cafe Ange...\Where are we?\Quiz time!\Where are we?\The answer is... with our wind, our sea, and our sky!\We're back.\We're back! response:	We're 48,000 northeast of our destination coordinates!
context: Cafe Ange...\Where are we?\Quiz time!\Where are we?\The answer is... with our wind, our sea, and our sky!\We're back.\We're back!\We're 48,000 northeast of our destination coordinates! response:	What's going on?
context: Where are we?\Quiz time!\Where are we?\The answer is... with our wind, our sea, and our sky!\We're back.\We're back!\We're 48,000 northeast of our destination coordinates!\What's going on? response:	I don't know.
context: Quiz time!\Where are we?\The answer is... with our wind, our sea, and our sky!\We're back.\We're back!\We're 48,000 northeast of our destination coordinates!\What's going on?\I don't know. response:	The singularity was supposed to open over Misurugi.
context: Where are we?\The answer is... with our wind, our sea, and our sky!\We're back.\We're back!\We're 48,000 northeast of our destination coordinates!\What's going on?\I don't know.\The singularity was supposed to open over Misurugi. response:	Warning
context: The answer is... with our wind, our sea, and our sky!\We're back.\We're back!\We're 48,000 northeast of our destination coordinates!\What's going on?\I don't know.\The singularity was supposed to open over Misurugi.\Warning response:	What is it?!
context: We're back.\We're back!\We're 48,000 northeast of our destination coordinates!\What's going on?\I don't know.\The singularity was supposed to open over Misurugi.\Warning\What is it?! response:	It's...
context: We're back!\We're 48,000 northeast of our destination coordinates!\What's going on?\I don't know.\The singularity was supposed to open over Misurugi.\Warning\What is it?!\It's... response:	What's that?
context: We're 48,000 northeast of our destination coordinates!\What's going on?\I don't know.\The singularity was supposed to open over Misurugi.\Warning\What is it?!\It's...\What's that? response:	A black Villkiss...
context: What's going on?\I don't know.\The singularity was supposed to open over Misurugi.\Warning\What is it?!\It's...\What's that?\A black Villkiss... response:	Princess, what is this?
context: I don't know.\The singularity was supposed to open over Misurugi.\Warning\What is it?!\It's...\What's that?\A black Villkiss...\Princess, what is this? response:	An ambush.
context: The singularity was supposed to open over Misurugi.\Warning\What is it?!\It's...\What's that?\A black Villkiss...\Princess, what is this?\An ambush. response:	An ambush?!
context: Warning\What is it?!\It's...\What's that?\A black Villkiss...\Princess, what is this?\An ambush.\An ambush?! response:	Then Lizardia's intel...
context: What is it?!\It's...\What's that?\A black Villkiss...\Princess, what is this?\An ambush.\An ambush?!\Then Lizardia's intel... response:	Right now, our first priority is defeating them.
context: It's...\What's that?\A black Villkiss...\Princess, what is this?\An ambush.\An ambush?!\Then Lizardia's intel...\Right now, our first priority is defeating them. response:	All units, destroy the enemy!
context: What's that?\A black Villkiss...\Princess, what is this?\An ambush.\An ambush?!\Then Lizardia's intel...\Right now, our first priority is defeating them.\All units, destroy the enemy! response:	What do you think?
context: A black Villkiss...\Princess, what is this?\An ambush.\An ambush?!\Then Lizardia's intel...\Right now, our first priority is defeating them.\All units, destroy the enemy!\What do you think? response:	Thanks to the information you provided,
context: Princess, what is this?\An ambush.\An ambush?!\Then Lizardia's intel...\Right now, our first priority is defeating them.\All units, destroy the enemy!\What do you think?\Thanks to the information you provided, response:	your friends are being massacred...
context: An ambush.\An ambush?!\Then Lizardia's intel...\Right now, our first priority is defeating them.\All units, destroy the enemy!\What do you think?\Thanks to the information you provided,\your friends are being massacred... response:	Riza.
context: An ambush?!\Then Lizardia's intel...\Right now, our first priority is defeating them.\All units, destroy the enemy!\What do you think?\Thanks to the information you provided,\your friends are being massacred...\Riza. response:	Or should I say Lizardia?
context: Then Lizardia's intel...\Right now, our first priority is defeating them.\All units, destroy the enemy!\What do you think?\Thanks to the information you provided,\your friends are being massacred...\Riza.\Or should I say Lizardia? response:	Stop!
context: Right now, our first priority is defeating them.\All units, destroy the enemy!\What do you think?\Thanks to the information you provided,\your friends are being massacred...\Riza.\Or should I say Lizardia?\Stop! response:	Ange!
context: All units, destroy the enemy!\What do you think?\Thanks to the information you provided,\your friends are being massacred...\Riza.\Or should I say Lizardia?\Stop!\Ange! response:	I'm going to help Salako.
context: What do you think?\Thanks to the information you provided,\your friends are being massacred...\Riza.\Or should I say Lizardia?\Stop!\Ange!\I'm going to help Salako. response:	Wait! This is Embryo's doing!
context: Thanks to the information you provided,\your friends are being massacred...\Riza.\Or should I say Lizardia?\Stop!\Ange!\I'm going to help Salako.\Wait! This is Embryo's doing! response:	Should I sit here and watch instead?!
context: your friends are being massacred...\Riza.\Or should I say Lizardia?\Stop!\Ange!\I'm going to help Salako.\Wait! This is Embryo's doing!\Should I sit here and watch instead?! response:	Shit.
context: Riza.\Or should I say Lizardia?\Stop!\Ange!\I'm going to help Salako.\Wait! This is Embryo's doing!\Should I sit here and watch instead?!\Shit. response:	Hang on tight, Vivian.
context: Or should I say Lizardia?\Stop!\Ange!\I'm going to help Salako.\Wait! This is Embryo's doing!\Should I sit here and watch instead?!\Shit.\Hang on tight, Vivian. response:	Right.
context: Stop!\Ange!\I'm going to help Salako.\Wait! This is Embryo's doing!\Should I sit here and watch instead?!\Shit.\Hang on tight, Vivian.\Right. response:	Right flank is down thirty percent.
context: Ange!\I'm going to help Salako.\Wait! This is Embryo's doing!\Should I sit here and watch instead?!\Shit.\Hang on tight, Vivian.\Right.\Right flank is down thirty percent. response:	The left flank's line isn't going to hold!
context: I'm going to help Salako.\Wait! This is Embryo's doing!\Should I sit here and watch instead?!\Shit.\Hang on tight, Vivian.\Right.\Right flank is down thirty percent.\The left flank's line isn't going to hold! response:	There're only five of them...
context: Wait! This is Embryo's doing!\Should I sit here and watch instead?!\Shit.\Hang on tight, Vivian.\Right.\Right flank is down thirty percent.\The left flank's line isn't going to hold!\There're only five of them... response:	So fast!
context: Should I sit here and watch instead?!\Shit.\Hang on tight, Vivian.\Right.\Right flank is down thirty percent.\The left flank's line isn't going to hold!\There're only five of them...\So fast! response:	That Villkiss...
context: Shit.\Hang on tight, Vivian.\Right.\Right flank is down thirty percent.\The left flank's line isn't going to hold!\There're only five of them...\So fast!\That Villkiss... response:	Is it Ange?
context: Hang on tight, Vivian.\Right.\Right flank is down thirty percent.\The left flank's line isn't going to hold!\There're only five of them...\So fast!\That Villkiss...\Is it Ange? response:	Are you all right, Salako?
context: Right.\Right flank is down thirty percent.\The left flank's line isn't going to hold!\There're only five of them...\So fast!\That Villkiss...\Is it Ange?\Are you all right, Salako? response:	Yes.
context: Right flank is down thirty percent.\The left flank's line isn't going to hold!\There're only five of them...\So fast!\That Villkiss...\Is it Ange?\Are you all right, Salako?\Yes. response:	Retreat while you still can.
context: The left flank's line isn't going to hold!\There're only five of them...\So fast!\That Villkiss...\Is it Ange?\Are you all right, Salako?\Yes.\Retreat while you still can. response:	I cannot.
context: There're only five of them...\So fast!\That Villkiss...\Is it Ange?\Are you all right, Salako?\Yes.\Retreat while you still can.\I cannot. response:	Not until we take Aura back from Embryo!
context: So fast!\That Villkiss...\Is it Ange?\Are you all right, Salako?\Yes.\Retreat while you still can.\I cannot.\Not until we take Aura back from Embryo! response:	You idiot! You're the lieutenant guardian, aren't you?
context: That Villkiss...\Is it Ange?\Are you all right, Salako?\Yes.\Retreat while you still can.\I cannot.\Not until we take Aura back from Embryo!\You idiot! You're the lieutenant guardian, aren't you? response:	Look around you.
context: Is it Ange?\Are you all right, Salako?\Yes.\Retreat while you still can.\I cannot.\Not until we take Aura back from Embryo!\You idiot! You're the lieutenant guardian, aren't you?\Look around you. response:	Do you really think you're going to get Aura back now?
context: Are you all right, Salako?\Yes.\Retreat while you still can.\I cannot.\Not until we take Aura back from Embryo!\You idiot! You're the lieutenant guardian, aren't you?\Look around you.\Do you really think you're going to get Aura back now? response:	But...
context: Yes.\Retreat while you still can.\I cannot.\Not until we take Aura back from Embryo!\You idiot! You're the lieutenant guardian, aren't you?\Look around you.\Do you really think you're going to get Aura back now?\But... response:	Ange is right.
context: Retreat while you still can.\I cannot.\Not until we take Aura back from Embryo!\You idiot! You're the lieutenant guardian, aren't you?\Look around you.\Do you really think you're going to get Aura back now?\But...\Ange is right. response:	Retreat for now, and regroup.
context: I cannot.\Not until we take Aura back from Embryo!\You idiot! You're the lieutenant guardian, aren't you?\Look around you.\Do you really think you're going to get Aura back now?\But...\Ange is right.\Retreat for now, and regroup. response:	So you can win next time!
context: Not until we take Aura back from Embryo!\You idiot! You're the lieutenant guardian, aren't you?\Look around you.\Do you really think you're going to get Aura back now?\But...\Ange is right.\Retreat for now, and regroup.\So you can win next time! response:	Aura...
context: You idiot! You're the lieutenant guardian, aren't you?\Look around you.\Do you really think you're going to get Aura back now?\But...\Ange is right.\Retreat for now, and regroup.\So you can win next time!\Aura... response:	All units, retreat.
context: Look around you.\Do you really think you're going to get Aura back now?\But...\Ange is right.\Retreat for now, and regroup.\So you can win next time!\Aura...\All units, retreat. response:	All units, collapse the front and retreat to the singularity.
context: Do you really think you're going to get Aura back now?\But...\Ange is right.\Retreat for now, and regroup.\So you can win next time!\Aura...\All units, retreat.\All units, collapse the front and retreat to the singularity. response:	Ange, take this.
context: But...\Ange is right.\Retreat for now, and regroup.\So you can win next time!\Aura...\All units, retreat.\All units, collapse the front and retreat to the singularity.\Ange, take this. response:	Be safe.
context: Ange is right.\Retreat for now, and regroup.\So you can win next time!\Aura...\All units, retreat.\All units, collapse the front and retreat to the singularity.\Ange, take this.\Be safe. response:	Just go already!
context: Retreat for now, and regroup.\So you can win next time!\Aura...\All units, retreat.\All units, collapse the front and retreat to the singularity.\Ange, take this.\Be safe.\Just go already! response:	The DRAGONs are retreating.
context: So you can win next time!\Aura...\All units, retreat.\All units, collapse the front and retreat to the singularity.\Ange, take this.\Be safe.\Just go already!\The DRAGONs are retreating. response:	Irma, Tania, pursue them,
context: Aura...\All units, retreat.\All units, collapse the front and retreat to the singularity.\Ange, take this.\Be safe.\Just go already!\The DRAGONs are retreating.\Irma, Tania, pursue them, response:	but don't go too far.
context: All units, retreat.\All units, collapse the front and retreat to the singularity.\Ange, take this.\Be safe.\Just go already!\The DRAGONs are retreating.\Irma, Tania, pursue them,\but don't go too far. response:	Yes, Knight Leader.
context: All units, collapse the front and retreat to the singularity.\Ange, take this.\Be safe.\Just go already!\The DRAGONs are retreating.\Irma, Tania, pursue them,\but don't go too far.\Yes, Knight Leader. response:	But...
context: Ange, take this.\Be safe.\Just go already!\The DRAGONs are retreating.\Irma, Tania, pursue them,\but don't go too far.\Yes, Knight Leader.\But... response:	I knew it.
context: Be safe.\Just go already!\The DRAGONs are retreating.\Irma, Tania, pursue them,\but don't go too far.\Yes, Knight Leader.\But...\I knew it. response:	You. Why?
context: Just go already!\The DRAGONs are retreating.\Irma, Tania, pursue them,\but don't go too far.\Yes, Knight Leader.\But...\I knew it.\You. Why? response:	Salia.
context: The DRAGONs are retreating.\Irma, Tania, pursue them,\but don't go too far.\Yes, Knight Leader.\But...\I knew it.\You. Why?\Salia. response:	Salia.
context: Irma, Tania, pursue them,\but don't go too far.\Yes, Knight Leader.\But...\I knew it.\You. Why?\Salia.\Salia. response:	It's Salia!
context: but don't go too far.\Yes, Knight Leader.\But...\I knew it.\You. Why?\Salia.\Salia.\It's Salia! response:	But...
context: Yes, Knight Leader.\But...\I knew it.\You. Why?\Salia.\Salia.\It's Salia!\But... response:	What do you think you're doing?
context: But...\I knew it.\You. Why?\Salia.\Salia.\It's Salia!\But...\What do you think you're doing? response:	I'll ask the questions here.
context: I knew it.\You. Why?\Salia.\Salia.\It's Salia!\But...\What do you think you're doing?\I'll ask the questions here. response:	It really is you, Ange-chan.
context: You. Why?\Salia.\Salia.\It's Salia!\But...\What do you think you're doing?\I'll ask the questions here.\It really is you, Ange-chan. response:	I'm shocked.
context: Salia.\Salia.\It's Salia!\But...\What do you think you're doing?\I'll ask the questions here.\It really is you, Ange-chan.\I'm shocked. response:	Ersha and Chris...
context: Salia.\It's Salia!\But...\What do you think you're doing?\I'll ask the questions here.\It really is you, Ange-chan.\I'm shocked.\Ersha and Chris... response:	Ange, why are you fighting alongside the DRAGONs?
context: It's Salia!\But...\What do you think you're doing?\I'll ask the questions here.\It really is you, Ange-chan.\I'm shocked.\Ersha and Chris...\Ange, why are you fighting alongside the DRAGONs? response:	Salia here.
context: But...\What do you think you're doing?\I'll ask the questions here.\It really is you, Ange-chan.\I'm shocked.\Ersha and Chris...\Ange, why are you fighting alongside the DRAGONs?\Salia here. response:	Understood, Embryo-sama.
context: What do you think you're doing?\I'll ask the questions here.\It really is you, Ange-chan.\I'm shocked.\Ersha and Chris...\Ange, why are you fighting alongside the DRAGONs?\Salia here.\Understood, Embryo-sama. response:	Ange, we're taking you into custody..
context: I'll ask the questions here.\It really is you, Ange-chan.\I'm shocked.\Ersha and Chris...\Ange, why are you fighting alongside the DRAGONs?\Salia here.\Understood, Embryo-sama.\Ange, we're taking you into custody.. response:	We have a lot of questions to ask you.
context: It really is you, Ange-chan.\I'm shocked.\Ersha and Chris...\Ange, why are you fighting alongside the DRAGONs?\Salia here.\Understood, Embryo-sama.\Ange, we're taking you into custody..\We have a lot of questions to ask you. response:	Got it, you two?
context: I'm shocked.\Ersha and Chris...\Ange, why are you fighting alongside the DRAGONs?\Salia here.\Understood, Embryo-sama.\Ange, we're taking you into custody..\We have a lot of questions to ask you.\Got it, you two? response:	Yes, Knight Leader.
context: Ersha and Chris...\Ange, why are you fighting alongside the DRAGONs?\Salia here.\Understood, Embryo-sama.\Ange, we're taking you into custody..\We have a lot of questions to ask you.\Got it, you two?\Yes, Knight Leader. response:	Retreat is successful.
context: Ange, why are you fighting alongside the DRAGONs?\Salia here.\Understood, Embryo-sama.\Ange, we're taking you into custody..\We have a lot of questions to ask you.\Got it, you two?\Yes, Knight Leader.\Retreat is successful. response:	Princess, hurry!
context: Salia here.\Understood, Embryo-sama.\Ange, we're taking you into custody..\We have a lot of questions to ask you.\Got it, you two?\Yes, Knight Leader.\Retreat is successful.\Princess, hurry! response:	Ange!
context: Understood, Embryo-sama.\Ange, we're taking you into custody..\We have a lot of questions to ask you.\Got it, you two?\Yes, Knight Leader.\Retreat is successful.\Princess, hurry!\Ange! response:	No, Princess! The singularity is closing!
context: Ange, we're taking you into custody..\We have a lot of questions to ask you.\Got it, you two?\Yes, Knight Leader.\Retreat is successful.\Princess, hurry!\Ange!\No, Princess! The singularity is closing! response:	Ange...
context: We have a lot of questions to ask you.\Got it, you two?\Yes, Knight Leader.\Retreat is successful.\Princess, hurry!\Ange!\No, Princess! The singularity is closing!\Ange... response:	I never knew you were so weak.
context: Got it, you two?\Yes, Knight Leader.\Retreat is successful.\Princess, hurry!\Ange!\No, Princess! The singularity is closing!\Ange...\I never knew you were so weak. response:	Huh?
context: Yes, Knight Leader.\Retreat is successful.\Princess, hurry!\Ange!\No, Princess! The singularity is closing!\Ange...\I never knew you were so weak.\Huh? response:	No, it's that I've gotten stronger.
context: Retreat is successful.\Princess, hurry!\Ange!\No, Princess! The singularity is closing!\Ange...\I never knew you were so weak.\Huh?\No, it's that I've gotten stronger. response:	I've changed, thanks to Embryo-sama.
context: Princess, hurry!\Ange!\No, Princess! The singularity is closing!\Ange...\I never knew you were so weak.\Huh?\No, it's that I've gotten stronger.\I've changed, thanks to Embryo-sama. response:	Now!
context: Ange!\No, Princess! The singularity is closing!\Ange...\I never knew you were so weak.\Huh?\No, it's that I've gotten stronger.\I've changed, thanks to Embryo-sama.\Now! response:	Use formation Shining Rose Triangle!
context: No, Princess! The singularity is closing!\Ange...\I never knew you were so weak.\Huh?\No, it's that I've gotten stronger.\I've changed, thanks to Embryo-sama.\Now!\Use formation Shining Rose Triangle! response:	So lame...
context: Ange...\I never knew you were so weak.\Huh?\No, it's that I've gotten stronger.\I've changed, thanks to Embryo-sama.\Now!\Use formation Shining Rose Triangle!\So lame... response:	Did you say something?
context: I never knew you were so weak.\Huh?\No, it's that I've gotten stronger.\I've changed, thanks to Embryo-sama.\Now!\Use formation Shining Rose Triangle!\So lame...\Did you say something? response:	No, nothing.
context: Huh?\No, it's that I've gotten stronger.\I've changed, thanks to Embryo-sama.\Now!\Use formation Shining Rose Triangle!\So lame...\Did you say something?\No, nothing. response:	Understood.
context: No, it's that I've gotten stronger.\I've changed, thanks to Embryo-sama.\Now!\Use formation Shining Rose Triangle!\So lame...\Did you say something?\No, nothing.\Understood. response:	It's over, Ange.
context: I've changed, thanks to Embryo-sama.\Now!\Use formation Shining Rose Triangle!\So lame...\Did you say something?\No, nothing.\Understood.\It's over, Ange. response:	Vivi-chan!
