context: If you're Type B, you need to take care. response:	If you continue to let it be, it could become a serious,
context: Yeah.\Don't come crying to me if you're hungry later.\I'm stuffed...\I'm sorry I couldn't finish.\I'm home!\Sorry I'm late!\That was awful!\What's with that annoying mother and child?! response:	Big brother!
context: Don't come crying to me if you're hungry later.\I'm stuffed...\I'm sorry I couldn't finish.\I'm home!\Sorry I'm late!\That was awful!\What's with that annoying mother and child?!\Big brother! response:	You seriously took custody of this girl?!
context: I'm stuffed...\I'm sorry I couldn't finish.\I'm home!\Sorry I'm late!\That was awful!\What's with that annoying mother and child?!\Big brother!\You seriously took custody of this girl?! response:	Yeah...
context: I'm sorry I couldn't finish.\I'm home!\Sorry I'm late!\That was awful!\What's with that annoying mother and child?!\Big brother!\You seriously took custody of this girl?!\Yeah... response:	And now the weather.
context: I'm home!\Sorry I'm late!\That was awful!\What's with that annoying mother and child?!\Big brother!\You seriously took custody of this girl?!\Yeah...\And now the weather. response:	It's sunny and warm all over the country today.
context: Sorry I'm late!\That was awful!\What's with that annoying mother and child?!\Big brother!\You seriously took custody of this girl?!\Yeah...\And now the weather.\It's sunny and warm all over the country today. response:	Temperatures in all regions are about
context: That was awful!\What's with that annoying mother and child?!\Big brother!\You seriously took custody of this girl?!\Yeah...\And now the weather.\It's sunny and warm all over the country today.\Temperatures in all regions are about response:	2 degrees higher than average for this time of year,
context: What's with that annoying mother and child?!\Big brother!\You seriously took custody of this girl?!\Yeah...\And now the weather.\It's sunny and warm all over the country today.\Temperatures in all regions are about\2 degrees higher than average for this time of year, response:	making it pleasant weather everywhere.
context: Big brother!\You seriously took custody of this girl?!\Yeah...\And now the weather.\It's sunny and warm all over the country today.\Temperatures in all regions are about\2 degrees higher than average for this time of year,\making it pleasant weather everywhere. response:	I'm just going to the bathroom.
context: You seriously took custody of this girl?!\Yeah...\And now the weather.\It's sunny and warm all over the country today.\Temperatures in all regions are about\2 degrees higher than average for this time of year,\making it pleasant weather everywhere.\I'm just going to the bathroom. response:	And now let's look at the forecast for tomorrow.
context: Yeah...\And now the weather.\It's sunny and warm all over the country today.\Temperatures in all regions are about\2 degrees higher than average for this time of year,\making it pleasant weather everywhere.\I'm just going to the bathroom.\And now let's look at the forecast for tomorrow. response:	I need to use the toilet!
context: And now the weather.\It's sunny and warm all over the country today.\Temperatures in all regions are about\2 degrees higher than average for this time of year,\making it pleasant weather everywhere.\I'm just going to the bathroom.\And now let's look at the forecast for tomorrow.\I need to use the toilet! response:	I can't go with you sitting there!
context: It's sunny and warm all over the country today.\Temperatures in all regions are about\2 degrees higher than average for this time of year,\making it pleasant weather everywhere.\I'm just going to the bathroom.\And now let's look at the forecast for tomorrow.\I need to use the toilet!\I can't go with you sitting there! response:	Is she always like that?
context: Temperatures in all regions are about\2 degrees higher than average for this time of year,\making it pleasant weather everywhere.\I'm just going to the bathroom.\And now let's look at the forecast for tomorrow.\I need to use the toilet!\I can't go with you sitting there!\Is she always like that? response:	No...
context: 2 degrees higher than average for this time of year,\making it pleasant weather everywhere.\I'm just going to the bathroom.\And now let's look at the forecast for tomorrow.\I need to use the toilet!\I can't go with you sitting there!\Is she always like that?\No... response:	She's a lot more talkative at home.
context: making it pleasant weather everywhere.\I'm just going to the bathroom.\And now let's look at the forecast for tomorrow.\I need to use the toilet!\I can't go with you sitting there!\Is she always like that?\No...\She's a lot more talkative at home. response:	She even had fun on the train, acting like she was on a trip.
context: I'm just going to the bathroom.\And now let's look at the forecast for tomorrow.\I need to use the toilet!\I can't go with you sitting there!\Is she always like that?\No...\She's a lot more talkative at home.\She even had fun on the train, acting like she was on a trip. response:	But waiting when we got here
context: And now let's look at the forecast for tomorrow.\I need to use the toilet!\I can't go with you sitting there!\Is she always like that?\No...\She's a lot more talkative at home.\She even had fun on the train, acting like she was on a trip.\But waiting when we got here response:	were the people who were all uptight at the funeral.
context: I need to use the toilet!\I can't go with you sitting there!\Is she always like that?\No...\She's a lot more talkative at home.\She even had fun on the train, acting like she was on a trip.\But waiting when we got here\were the people who were all uptight at the funeral. response:	What are you accusing us of?!
context: I can't go with you sitting there!\Is she always like that?\No...\She's a lot more talkative at home.\She even had fun on the train, acting like she was on a trip.\But waiting when we got here\were the people who were all uptight at the funeral.\What are you accusing us of?! response:	Dope. If adults are in a bad mood, kids think they're the ones they're mad at.
context: Is she always like that?\No...\She's a lot more talkative at home.\She even had fun on the train, acting like she was on a trip.\But waiting when we got here\were the people who were all uptight at the funeral.\What are you accusing us of?!\Dope. If adults are in a bad mood, kids think they're the ones they're mad at. response:	You're right...
context: No...\She's a lot more talkative at home.\She even had fun on the train, acting like she was on a trip.\But waiting when we got here\were the people who were all uptight at the funeral.\What are you accusing us of?!\Dope. If adults are in a bad mood, kids think they're the ones they're mad at.\You're right... response:	It may have been that way for you kids, too.
context: She's a lot more talkative at home.\She even had fun on the train, acting like she was on a trip.\But waiting when we got here\were the people who were all uptight at the funeral.\What are you accusing us of?!\Dope. If adults are in a bad mood, kids think they're the ones they're mad at.\You're right...\It may have been that way for you kids, too. response:	See?! Insensitive as you are, you were the same way!
context: She even had fun on the train, acting like she was on a trip.\But waiting when we got here\were the people who were all uptight at the funeral.\What are you accusing us of?!\Dope. If adults are in a bad mood, kids think they're the ones they're mad at.\You're right...\It may have been that way for you kids, too.\See?! Insensitive as you are, you were the same way! response:	And Rin's smarter than you ever were!
context: But waiting when we got here\were the people who were all uptight at the funeral.\What are you accusing us of?!\Dope. If adults are in a bad mood, kids think they're the ones they're mad at.\You're right...\It may have been that way for you kids, too.\See?! Insensitive as you are, you were the same way!\And Rin's smarter than you ever were! response:	Shut up, old man!
context: were the people who were all uptight at the funeral.\What are you accusing us of?!\Dope. If adults are in a bad mood, kids think they're the ones they're mad at.\You're right...\It may have been that way for you kids, too.\See?! Insensitive as you are, you were the same way!\And Rin's smarter than you ever were!\Shut up, old man! response:	Rin-chan, you like cat's cradle, don't you?
context: What are you accusing us of?!\Dope. If adults are in a bad mood, kids think they're the ones they're mad at.\You're right...\It may have been that way for you kids, too.\See?! Insensitive as you are, you were the same way!\And Rin's smarter than you ever were!\Shut up, old man!\Rin-chan, you like cat's cradle, don't you? response:	Come on, at least answer.
context: Dope. If adults are in a bad mood, kids think they're the ones they're mad at.\You're right...\It may have been that way for you kids, too.\See?! Insensitive as you are, you were the same way!\And Rin's smarter than you ever were!\Shut up, old man!\Rin-chan, you like cat's cradle, don't you?\Come on, at least answer. response:	Yeah...
context: You're right...\It may have been that way for you kids, too.\See?! Insensitive as you are, you were the same way!\And Rin's smarter than you ever were!\Shut up, old man!\Rin-chan, you like cat's cradle, don't you?\Come on, at least answer.\Yeah... response:	I'll give this one to you.
context: It may have been that way for you kids, too.\See?! Insensitive as you are, you were the same way!\And Rin's smarter than you ever were!\Shut up, old man!\Rin-chan, you like cat's cradle, don't you?\Come on, at least answer.\Yeah...\I'll give this one to you. response:	It's pretty...
context: See?! Insensitive as you are, you were the same way!\And Rin's smarter than you ever were!\Shut up, old man!\Rin-chan, you like cat's cradle, don't you?\Come on, at least answer.\Yeah...\I'll give this one to you.\It's pretty... response:	Watch Aunty do it first, okay?
context: And Rin's smarter than you ever were!\Shut up, old man!\Rin-chan, you like cat's cradle, don't you?\Come on, at least answer.\Yeah...\I'll give this one to you.\It's pretty...\Watch Aunty do it first, okay? response:	Aunty? You mean Grandma, don't you?
context: Shut up, old man!\Rin-chan, you like cat's cradle, don't you?\Come on, at least answer.\Yeah...\I'll give this one to you.\It's pretty...\Watch Aunty do it first, okay?\Aunty? You mean Grandma, don't you? response:	You're not old enough to be my grandma!
context: Rin-chan, you like cat's cradle, don't you?\Come on, at least answer.\Yeah...\I'll give this one to you.\It's pretty...\Watch Aunty do it first, okay?\Aunty? You mean Grandma, don't you?\You're not old enough to be my grandma! response:	My! What a good girl!
context: Come on, at least answer.\Yeah...\I'll give this one to you.\It's pretty...\Watch Aunty do it first, okay?\Aunty? You mean Grandma, don't you?\You're not old enough to be my grandma!\My! What a good girl! response:	It's because her standard for old age is crazy-high!
context: Yeah...\I'll give this one to you.\It's pretty...\Watch Aunty do it first, okay?\Aunty? You mean Grandma, don't you?\You're not old enough to be my grandma!\My! What a good girl!\It's because her standard for old age is crazy-high! response:	I'll go first, so watch me!
context: I'll give this one to you.\It's pretty...\Watch Aunty do it first, okay?\Aunty? You mean Grandma, don't you?\You're not old enough to be my grandma!\My! What a good girl!\It's because her standard for old age is crazy-high!\I'll go first, so watch me! response:	Huh? Did I do it wrong?
context: It's pretty...\Watch Aunty do it first, okay?\Aunty? You mean Grandma, don't you?\You're not old enough to be my grandma!\My! What a good girl!\It's because her standard for old age is crazy-high!\I'll go first, so watch me!\Huh? Did I do it wrong? response:	Huh?
context: Watch Aunty do it first, okay?\Aunty? You mean Grandma, don't you?\You're not old enough to be my grandma!\My! What a good girl!\It's because her standard for old age is crazy-high!\I'll go first, so watch me!\Huh? Did I do it wrong?\Huh? response:	This? A 4-step ladder.
context: Aunty? You mean Grandma, don't you?\You're not old enough to be my grandma!\My! What a good girl!\It's because her standard for old age is crazy-high!\I'll go first, so watch me!\Huh? Did I do it wrong?\Huh?\This? A 4-step ladder. response:	My!
context: You're not old enough to be my grandma!\My! What a good girl!\It's because her standard for old age is crazy-high!\I'll go first, so watch me!\Huh? Did I do it wrong?\Huh?\This? A 4-step ladder.\My! response:	A 2-step ladder.
context: My! What a good girl!\It's because her standard for old age is crazy-high!\I'll go first, so watch me!\Huh? Did I do it wrong?\Huh?\This? A 4-step ladder.\My!\A 2-step ladder. response:	An airplane.
context: It's because her standard for old age is crazy-high!\I'll go first, so watch me!\Huh? Did I do it wrong?\Huh?\This? A 4-step ladder.\My!\A 2-step ladder.\An airplane. response:	A slide.
context: I'll go first, so watch me!\Huh? Did I do it wrong?\Huh?\This? A 4-step ladder.\My!\A 2-step ladder.\An airplane.\A slide. response:	A diamond!
context: Huh? Did I do it wrong?\Huh?\This? A 4-step ladder.\My!\A 2-step ladder.\An airplane.\A slide.\A diamond! response:	That's amazing.
context: Huh?\This? A 4-step ladder.\My!\A 2-step ladder.\An airplane.\A slide.\A diamond!\That's amazing. response:	It's easy to do it with this yarn.
context: This? A 4-step ladder.\My!\A 2-step ladder.\An airplane.\A slide.\A diamond!\That's amazing.\It's easy to do it with this yarn. response:	Did you make this?
context: My!\A 2-step ladder.\An airplane.\A slide.\A diamond!\That's amazing.\It's easy to do it with this yarn.\Did you make this? response:	That's right. I knitted it from thin wool.
context: A 2-step ladder.\An airplane.\A slide.\A diamond!\That's amazing.\It's easy to do it with this yarn.\Did you make this?\That's right. I knitted it from thin wool. response:	Doing that makes it the perfect weight,
context: An airplane.\A slide.\A diamond!\That's amazing.\It's easy to do it with this yarn.\Did you make this?\That's right. I knitted it from thin wool.\Doing that makes it the perfect weight, response:	more than just making loops with woolen yarn.
context: A slide.\A diamond!\That's amazing.\It's easy to do it with this yarn.\Did you make this?\That's right. I knitted it from thin wool.\Doing that makes it the perfect weight,\more than just making loops with woolen yarn. response:	I know! Since she's good with her hands, I bet she can do beanbags, too!
context: A diamond!\That's amazing.\It's easy to do it with this yarn.\Did you make this?\That's right. I knitted it from thin wool.\Doing that makes it the perfect weight,\more than just making loops with woolen yarn.\I know! Since she's good with her hands, I bet she can do beanbags, too! response:	You hook it around your little finger like this...
context: That's amazing.\It's easy to do it with this yarn.\Did you make this?\That's right. I knitted it from thin wool.\Doing that makes it the perfect weight,\more than just making loops with woolen yarn.\I know! Since she's good with her hands, I bet she can do beanbags, too!\You hook it around your little finger like this... response:	L-Like this?
context: It's easy to do it with this yarn.\Did you make this?\That's right. I knitted it from thin wool.\Doing that makes it the perfect weight,\more than just making loops with woolen yarn.\I know! Since she's good with her hands, I bet she can do beanbags, too!\You hook it around your little finger like this...\L-Like this? response:	Yeah, that's it!
context: Did you make this?\That's right. I knitted it from thin wool.\Doing that makes it the perfect weight,\more than just making loops with woolen yarn.\I know! Since she's good with her hands, I bet she can do beanbags, too!\You hook it around your little finger like this...\L-Like this?\Yeah, that's it! response:	One, two, buckle my shoe. Three, four, knock at the door...
context: That's right. I knitted it from thin wool.\Doing that makes it the perfect weight,\more than just making loops with woolen yarn.\I know! Since she's good with her hands, I bet she can do beanbags, too!\You hook it around your little finger like this...\L-Like this?\Yeah, that's it!\One, two, buckle my shoe. Three, four, knock at the door... response:	What is this?! What the heck is going on here?!
context: Doing that makes it the perfect weight,\more than just making loops with woolen yarn.\I know! Since she's good with her hands, I bet she can do beanbags, too!\You hook it around your little finger like this...\L-Like this?\Yeah, that's it!\One, two, buckle my shoe. Three, four, knock at the door...\What is this?! What the heck is going on here?! response:	What is this?! Isn't this what you wanted?!
context: more than just making loops with woolen yarn.\I know! Since she's good with her hands, I bet she can do beanbags, too!\You hook it around your little finger like this...\L-Like this?\Yeah, that's it!\One, two, buckle my shoe. Three, four, knock at the door...\What is this?! What the heck is going on here?!\What is this?! Isn't this what you wanted?! response:	Yes?!
context: I know! Since she's good with her hands, I bet she can do beanbags, too!\You hook it around your little finger like this...\L-Like this?\Yeah, that's it!\One, two, buckle my shoe. Three, four, knock at the door...\What is this?! What the heck is going on here?!\What is this?! Isn't this what you wanted?!\Yes?! response:	Who is it?
context: You hook it around your little finger like this...\L-Like this?\Yeah, that's it!\One, two, buckle my shoe. Three, four, knock at the door...\What is this?! What the heck is going on here?!\What is this?! Isn't this what you wanted?!\Yes?!\Who is it? response:	Maybe Haruko-san.
context: L-Like this?\Yeah, that's it!\One, two, buckle my shoe. Three, four, knock at the door...\What is this?! What the heck is going on here?!\What is this?! Isn't this what you wanted?!\Yes?!\Who is it?\Maybe Haruko-san. response:	Rin-chan!
context: Yeah, that's it!\One, two, buckle my shoe. Three, four, knock at the door...\What is this?! What the heck is going on here?!\What is this?! Isn't this what you wanted?!\Yes?!\Who is it?\Maybe Haruko-san.\Rin-chan! response:	These are pretty! What do you call them?
context: One, two, buckle my shoe. Three, four, knock at the door...\What is this?! What the heck is going on here?!\What is this?! Isn't this what you wanted?!\Yes?!\Who is it?\Maybe Haruko-san.\Rin-chan!\These are pretty! What do you call them? response:	They're beanbags.
context: What is this?! What the heck is going on here?!\What is this?! Isn't this what you wanted?!\Yes?!\Who is it?\Maybe Haruko-san.\Rin-chan!\These are pretty! What do you call them?\They're beanbags. response:	Thanks for coming today.
context: What is this?! Isn't this what you wanted?!\Yes?!\Who is it?\Maybe Haruko-san.\Rin-chan!\These are pretty! What do you call them?\They're beanbags.\Thanks for coming today. response:	You do it like this?
context: Yes?!\Who is it?\Maybe Haruko-san.\Rin-chan!\These are pretty! What do you call them?\They're beanbags.\Thanks for coming today.\You do it like this? response:	Like this?
context: Who is it?\Maybe Haruko-san.\Rin-chan!\These are pretty! What do you call them?\They're beanbags.\Thanks for coming today.\You do it like this?\Like this? response:	No problem.
context: Maybe Haruko-san.\Rin-chan!\These are pretty! What do you call them?\They're beanbags.\Thanks for coming today.\You do it like this?\Like this?\No problem. response:	Like this. And you sing a song as you do it.
context: Rin-chan!\These are pretty! What do you call them?\They're beanbags.\Thanks for coming today.\You do it like this?\Like this?\No problem.\Like this. And you sing a song as you do it. response:	I'm really impressed that you can juggle working and raising a child.
context: These are pretty! What do you call them?\They're beanbags.\Thanks for coming today.\You do it like this?\Like this?\No problem.\Like this. And you sing a song as you do it.\I'm really impressed that you can juggle working and raising a child. response:	It's hard!
context: They're beanbags.\Thanks for coming today.\You do it like this?\Like this?\No problem.\Like this. And you sing a song as you do it.\I'm really impressed that you can juggle working and raising a child.\It's hard! response:	My husband doesn't help in that regard at all.
context: Thanks for coming today.\You do it like this?\Like this?\No problem.\Like this. And you sing a song as you do it.\I'm really impressed that you can juggle working and raising a child.\It's hard!\My husband doesn't help in that regard at all. response:	Aunty taught me how to do it.
context: You do it like this?\Like this?\No problem.\Like this. And you sing a song as you do it.\I'm really impressed that you can juggle working and raising a child.\It's hard!\My husband doesn't help in that regard at all.\Aunty taught me how to do it. response:	Who's your aunty?
context: Like this?\No problem.\Like this. And you sing a song as you do it.\I'm really impressed that you can juggle working and raising a child.\It's hard!\My husband doesn't help in that regard at all.\Aunty taught me how to do it.\Who's your aunty? response:	Daikichi's mom.
context: No problem.\Like this. And you sing a song as you do it.\I'm really impressed that you can juggle working and raising a child.\It's hard!\My husband doesn't help in that regard at all.\Aunty taught me how to do it.\Who's your aunty?\Daikichi's mom. response:	Are you going to Grandpa's house from now?
context: Like this. And you sing a song as you do it.\I'm really impressed that you can juggle working and raising a child.\It's hard!\My husband doesn't help in that regard at all.\Aunty taught me how to do it.\Who's your aunty?\Daikichi's mom.\Are you going to Grandpa's house from now? response:	That's not Aunty, that's Grandma!
context: I'm really impressed that you can juggle working and raising a child.\It's hard!\My husband doesn't help in that regard at all.\Aunty taught me how to do it.\Who's your aunty?\Daikichi's mom.\Are you going to Grandpa's house from now?\That's not Aunty, that's Grandma! response:	Yeah... I thought maybe I could find a clue to Rin's mother.
context: It's hard!\My husband doesn't help in that regard at all.\Aunty taught me how to do it.\Who's your aunty?\Daikichi's mom.\Are you going to Grandpa's house from now?\That's not Aunty, that's Grandma!\Yeah... I thought maybe I could find a clue to Rin's mother. response:	Isn't this a pretty string?
context: My husband doesn't help in that regard at all.\Aunty taught me how to do it.\Who's your aunty?\Daikichi's mom.\Are you going to Grandpa's house from now?\That's not Aunty, that's Grandma!\Yeah... I thought maybe I could find a clue to Rin's mother.\Isn't this a pretty string? response:	That makes sense...
context: Aunty taught me how to do it.\Who's your aunty?\Daikichi's mom.\Are you going to Grandpa's house from now?\That's not Aunty, that's Grandma!\Yeah... I thought maybe I could find a clue to Rin's mother.\Isn't this a pretty string?\That makes sense... response:	It's really easy to use.
context: Who's your aunty?\Daikichi's mom.\Are you going to Grandpa's house from now?\That's not Aunty, that's Grandma!\Yeah... I thought maybe I could find a clue to Rin's mother.\Isn't this a pretty string?\That makes sense...\It's really easy to use. response:	After all, I think a mother is important.
context: Daikichi's mom.\Are you going to Grandpa's house from now?\That's not Aunty, that's Grandma!\Yeah... I thought maybe I could find a clue to Rin's mother.\Isn't this a pretty string?\That makes sense...\It's really easy to use.\After all, I think a mother is important. response:	Maybe I can do it good, too...
context: Are you going to Grandpa's house from now?\That's not Aunty, that's Grandma!\Yeah... I thought maybe I could find a clue to Rin's mother.\Isn't this a pretty string?\That makes sense...\It's really easy to use.\After all, I think a mother is important.\Maybe I can do it good, too... response:	Go like this, then this...
context: That's not Aunty, that's Grandma!\Yeah... I thought maybe I could find a clue to Rin's mother.\Isn't this a pretty string?\That makes sense...\It's really easy to use.\After all, I think a mother is important.\Maybe I can do it good, too...\Go like this, then this... response:	Huh?
context: Yeah... I thought maybe I could find a clue to Rin's mother.\Isn't this a pretty string?\That makes sense...\It's really easy to use.\After all, I think a mother is important.\Maybe I can do it good, too...\Go like this, then this...\Huh? response:	Strange...
context: Isn't this a pretty string?\That makes sense...\It's really easy to use.\After all, I think a mother is important.\Maybe I can do it good, too...\Go like this, then this...\Huh?\Strange... response:	Grandpa, you should've at least written a will.
context: That makes sense...\It's really easy to use.\After all, I think a mother is important.\Maybe I can do it good, too...\Go like this, then this...\Huh?\Strange...\Grandpa, you should've at least written a will. response:	Weren't you worried about Rin?!
context: It's really easy to use.\After all, I think a mother is important.\Maybe I can do it good, too...\Go like this, then this...\Huh?\Strange...\Grandpa, you should've at least written a will.\Weren't you worried about Rin?! response:	A modem?
context: After all, I think a mother is important.\Maybe I can do it good, too...\Go like this, then this...\Huh?\Strange...\Grandpa, you should've at least written a will.\Weren't you worried about Rin?!\A modem? response:	I'm back.
context: Maybe I can do it good, too...\Go like this, then this...\Huh?\Strange...\Grandpa, you should've at least written a will.\Weren't you worried about Rin?!\A modem?\I'm back. response:	W-What's with that hair?!
context: Go like this, then this...\Huh?\Strange...\Grandpa, you should've at least written a will.\Weren't you worried about Rin?!\A modem?\I'm back.\W-What's with that hair?! response:	She did it like Reina-chan's!
context: Huh?\Strange...\Grandpa, you should've at least written a will.\Weren't you worried about Rin?!\A modem?\I'm back.\W-What's with that hair?!\She did it like Reina-chan's! response:	Come to think of it, those clothes too...
context: Strange...\Grandpa, you should've at least written a will.\Weren't you worried about Rin?!\A modem?\I'm back.\W-What's with that hair?!\She did it like Reina-chan's!\Come to think of it, those clothes too... response:	These are Kazumi's!
context: Grandpa, you should've at least written a will.\Weren't you worried about Rin?!\A modem?\I'm back.\W-What's with that hair?!\She did it like Reina-chan's!\Come to think of it, those clothes too...\These are Kazumi's! response:	Mom, she can't wear old, out-of-style clothes like that!
context: Weren't you worried about Rin?!\A modem?\I'm back.\W-What's with that hair?!\She did it like Reina-chan's!\Come to think of it, those clothes too...\These are Kazumi's!\Mom, she can't wear old, out-of-style clothes like that! response:	Look how nice she looks in them!
context: A modem?\I'm back.\W-What's with that hair?!\She did it like Reina-chan's!\Come to think of it, those clothes too...\These are Kazumi's!\Mom, she can't wear old, out-of-style clothes like that!\Look how nice she looks in them! response:	Well, I guess...
context: I'm back.\W-What's with that hair?!\She did it like Reina-chan's!\Come to think of it, those clothes too...\These are Kazumi's!\Mom, she can't wear old, out-of-style clothes like that!\Look how nice she looks in them!\Well, I guess... response:	With her body type, they do become her.
context: W-What's with that hair?!\She did it like Reina-chan's!\Come to think of it, those clothes too...\These are Kazumi's!\Mom, she can't wear old, out-of-style clothes like that!\Look how nice she looks in them!\Well, I guess...\With her body type, they do become her. response:	This brings back memories.
context: She did it like Reina-chan's!\Come to think of it, those clothes too...\These are Kazumi's!\Mom, she can't wear old, out-of-style clothes like that!\Look how nice she looks in them!\Well, I guess...\With her body type, they do become her.\This brings back memories. response:	So how was Grandpa's house?
context: Come to think of it, those clothes too...\These are Kazumi's!\Mom, she can't wear old, out-of-style clothes like that!\Look how nice she looks in them!\Well, I guess...\With her body type, they do become her.\This brings back memories.\So how was Grandpa's house? response:	These were from when you were 4, Kazumi.
context: These are Kazumi's!\Mom, she can't wear old, out-of-style clothes like that!\Look how nice she looks in them!\Well, I guess...\With her body type, they do become her.\This brings back memories.\So how was Grandpa's house?\These were from when you were 4, Kazumi. response:	I didn't find a single clue.
context: Mom, she can't wear old, out-of-style clothes like that!\Look how nice she looks in them!\Well, I guess...\With her body type, they do become her.\This brings back memories.\So how was Grandpa's house?\These were from when you were 4, Kazumi.\I didn't find a single clue. response:	I see...
context: Look how nice she looks in them!\Well, I guess...\With her body type, they do become her.\This brings back memories.\So how was Grandpa's house?\These were from when you were 4, Kazumi.\I didn't find a single clue.\I see... response:	Well, even so, we shouldn't impatiently ask Rin-chan about this and that.
context: Well, I guess...\With her body type, they do become her.\This brings back memories.\So how was Grandpa's house?\These were from when you were 4, Kazumi.\I didn't find a single clue.\I see...\Well, even so, we shouldn't impatiently ask Rin-chan about this and that. response:	You're doing your best.
context: With her body type, they do become her.\This brings back memories.\So how was Grandpa's house?\These were from when you were 4, Kazumi.\I didn't find a single clue.\I see...\Well, even so, we shouldn't impatiently ask Rin-chan about this and that.\You're doing your best. response:	We may have never told you this...
context: This brings back memories.\So how was Grandpa's house?\These were from when you were 4, Kazumi.\I didn't find a single clue.\I see...\Well, even so, we shouldn't impatiently ask Rin-chan about this and that.\You're doing your best.\We may have never told you this... response:	After you were born, Mom worked.
context: So how was Grandpa's house?\These were from when you were 4, Kazumi.\I didn't find a single clue.\I see...\Well, even so, we shouldn't impatiently ask Rin-chan about this and that.\You're doing your best.\We may have never told you this...\After you were born, Mom worked. response:	She hasn't been a housewife the whole time...?
context: These were from when you were 4, Kazumi.\I didn't find a single clue.\I see...\Well, even so, we shouldn't impatiently ask Rin-chan about this and that.\You're doing your best.\We may have never told you this...\After you were born, Mom worked.\She hasn't been a housewife the whole time...? response:	When she was pregnant with Kazumi,
context: I didn't find a single clue.\I see...\Well, even so, we shouldn't impatiently ask Rin-chan about this and that.\You're doing your best.\We may have never told you this...\After you were born, Mom worked.\She hasn't been a housewife the whole time...?\When she was pregnant with Kazumi, response:	she overdid it and had to be hospitalized for a while.
context: I see...\Well, even so, we shouldn't impatiently ask Rin-chan about this and that.\You're doing your best.\We may have never told you this...\After you were born, Mom worked.\She hasn't been a housewife the whole time...?\When she was pregnant with Kazumi,\she overdid it and had to be hospitalized for a while. response:	When she returned to work,
context: Well, even so, we shouldn't impatiently ask Rin-chan about this and that.\You're doing your best.\We may have never told you this...\After you were born, Mom worked.\She hasn't been a housewife the whole time...?\When she was pregnant with Kazumi,\she overdid it and had to be hospitalized for a while.\When she returned to work, response:	Mom found there wasn't a place for her anymore.
context: You're doing your best.\We may have never told you this...\After you were born, Mom worked.\She hasn't been a housewife the whole time...?\When she was pregnant with Kazumi,\she overdid it and had to be hospitalized for a while.\When she returned to work,\Mom found there wasn't a place for her anymore. response:	She was terribly depressed.
context: We may have never told you this...\After you were born, Mom worked.\She hasn't been a housewife the whole time...?\When she was pregnant with Kazumi,\she overdid it and had to be hospitalized for a while.\When she returned to work,\Mom found there wasn't a place for her anymore.\She was terribly depressed. response:	And Kazumi was so tiny when she was born...
context: After you were born, Mom worked.\She hasn't been a housewife the whole time...?\When she was pregnant with Kazumi,\she overdid it and had to be hospitalized for a while.\When she returned to work,\Mom found there wasn't a place for her anymore.\She was terribly depressed.\And Kazumi was so tiny when she was born... response:	Mom often took off work and came home early for you kids.
context: She hasn't been a housewife the whole time...?\When she was pregnant with Kazumi,\she overdid it and had to be hospitalized for a while.\When she returned to work,\Mom found there wasn't a place for her anymore.\She was terribly depressed.\And Kazumi was so tiny when she was born...\Mom often took off work and came home early for you kids. response:	And what about Kazumi?
context: When she was pregnant with Kazumi,\she overdid it and had to be hospitalized for a while.\When she returned to work,\Mom found there wasn't a place for her anymore.\She was terribly depressed.\And Kazumi was so tiny when she was born...\Mom often took off work and came home early for you kids.\And what about Kazumi? response:	She made raising Kazumi her first priority,
context: she overdid it and had to be hospitalized for a while.\When she returned to work,\Mom found there wasn't a place for her anymore.\She was terribly depressed.\And Kazumi was so tiny when she was born...\Mom often took off work and came home early for you kids.\And what about Kazumi?\She made raising Kazumi her first priority, response:	so she ended up as you can see, arrogant and bossy!
context: When she returned to work,\Mom found there wasn't a place for her anymore.\She was terribly depressed.\And Kazumi was so tiny when she was born...\Mom often took off work and came home early for you kids.\And what about Kazumi?\She made raising Kazumi her first priority,\so she ended up as you can see, arrogant and bossy! response:	How are you on time? Do you want Dad to drop you off?
context: Mom found there wasn't a place for her anymore.\She was terribly depressed.\And Kazumi was so tiny when she was born...\Mom often took off work and came home early for you kids.\And what about Kazumi?\She made raising Kazumi her first priority,\so she ended up as you can see, arrogant and bossy!\How are you on time? Do you want Dad to drop you off? response:	Nah, that's all right. We'll still make it in time if we walk.
context: She was terribly depressed.\And Kazumi was so tiny when she was born...\Mom often took off work and came home early for you kids.\And what about Kazumi?\She made raising Kazumi her first priority,\so she ended up as you can see, arrogant and bossy!\How are you on time? Do you want Dad to drop you off?\Nah, that's all right. We'll still make it in time if we walk. response:	Can we come back again?
context: And Kazumi was so tiny when she was born...\Mom often took off work and came home early for you kids.\And what about Kazumi?\She made raising Kazumi her first priority,\so she ended up as you can see, arrogant and bossy!\How are you on time? Do you want Dad to drop you off?\Nah, that's all right. We'll still make it in time if we walk.\Can we come back again? response:	She says, Can we come back again?
context: Mom often took off work and came home early for you kids.\And what about Kazumi?\She made raising Kazumi her first priority,\so she ended up as you can see, arrogant and bossy!\How are you on time? Do you want Dad to drop you off?\Nah, that's all right. We'll still make it in time if we walk.\Can we come back again?\She says, Can we come back again? response:	Aunty will be here waiting for you, so come back anytime.
