context: Kingdom (Part 1) response:	COMFY
context: You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\The guys in the store said he fought the way you're supposed to fight.\But if you're not conquering your weakness of failing to read your opponent,\and then you would put that burden on someone else saying it's justified,\then I have just one reply. response:	Kingdom (Part 1)
context: Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\The guys in the store said he fought the way you're supposed to fight.\But if you're not conquering your weakness of failing to read your opponent,\and then you would put that burden on someone else saying it's justified,\then I have just one reply.\Kingdom (Part 1) response:	Go to hell!
context: no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\The guys in the store said he fought the way you're supposed to fight.\But if you're not conquering your weakness of failing to read your opponent,\and then you would put that burden on someone else saying it's justified,\then I have just one reply.\Kingdom (Part 1)\Go to hell! response:	Two eyeballs in the dark.
context: Junkei just fought the way you're supposed to fight.\The guys in the store said he fought the way you're supposed to fight.\But if you're not conquering your weakness of failing to read your opponent,\and then you would put that burden on someone else saying it's justified,\then I have just one reply.\Kingdom (Part 1)\Go to hell!\Two eyeballs in the dark. response:	They're examining my situation.
context: The guys in the store said he fought the way you're supposed to fight.\But if you're not conquering your weakness of failing to read your opponent,\and then you would put that burden on someone else saying it's justified,\then I have just one reply.\Kingdom (Part 1)\Go to hell!\Two eyeballs in the dark.\They're examining my situation. response:	Waiting for me to make a mistake.
context: But if you're not conquering your weakness of failing to read your opponent,\and then you would put that burden on someone else saying it's justified,\then I have just one reply.\Kingdom (Part 1)\Go to hell!\Two eyeballs in the dark.\They're examining my situation.\Waiting for me to make a mistake. response:	Waiting with bated breath...
context: and then you would put that burden on someone else saying it's justified,\then I have just one reply.\Kingdom (Part 1)\Go to hell!\Two eyeballs in the dark.\They're examining my situation.\Waiting for me to make a mistake.\Waiting with bated breath... response:	for the moment I make a wrong move.
context: then I have just one reply.\Kingdom (Part 1)\Go to hell!\Two eyeballs in the dark.\They're examining my situation.\Waiting for me to make a mistake.\Waiting with bated breath...\for the moment I make a wrong move. response:	He waits patiently.
context: Kingdom (Part 1)\Go to hell!\Two eyeballs in the dark.\They're examining my situation.\Waiting for me to make a mistake.\Waiting with bated breath...\for the moment I make a wrong move.\He waits patiently. response:	Like a shadow...
context: Go to hell!\Two eyeballs in the dark.\They're examining my situation.\Waiting for me to make a mistake.\Waiting with bated breath...\for the moment I make a wrong move.\He waits patiently.\Like a shadow... response:	that I can't shake off.
context: Two eyeballs in the dark.\They're examining my situation.\Waiting for me to make a mistake.\Waiting with bated breath...\for the moment I make a wrong move.\He waits patiently.\Like a shadow...\that I can't shake off. response:	Kingdom 2
context: They're examining my situation.\Waiting for me to make a mistake.\Waiting with bated breath...\for the moment I make a wrong move.\He waits patiently.\Like a shadow...\that I can't shake off.\Kingdom 2 response:	In that case, I'll show you.
context: Waiting for me to make a mistake.\Waiting with bated breath...\for the moment I make a wrong move.\He waits patiently.\Like a shadow...\that I can't shake off.\Kingdom 2\In that case, I'll show you. response:	Whether I make a mistake or not...
context: Waiting with bated breath...\for the moment I make a wrong move.\He waits patiently.\Like a shadow...\that I can't shake off.\Kingdom 2\In that case, I'll show you.\Whether I make a mistake or not... response:	I'll fling all of that mud away!
context: for the moment I make a wrong move.\He waits patiently.\Like a shadow...\that I can't shake off.\Kingdom 2\In that case, I'll show you.\Whether I make a mistake or not...\I'll fling all of that mud away! response:	Don't try to act cool, Kiriyama!
context: He waits patiently.\Like a shadow...\that I can't shake off.\Kingdom 2\In that case, I'll show you.\Whether I make a mistake or not...\I'll fling all of that mud away!\Don't try to act cool, Kiriyama! response:	If you really want to win, then persevere!
context: Like a shadow...\that I can't shake off.\Kingdom 2\In that case, I'll show you.\Whether I make a mistake or not...\I'll fling all of that mud away!\Don't try to act cool, Kiriyama!\If you really want to win, then persevere! response:	Don't just attack, you have to defend!
context: that I can't shake off.\Kingdom 2\In that case, I'll show you.\Whether I make a mistake or not...\I'll fling all of that mud away!\Don't try to act cool, Kiriyama!\If you really want to win, then persevere!\Don't just attack, you have to defend! response:	I finally caught up to you, Kiriyama.
context: Kingdom 2\In that case, I'll show you.\Whether I make a mistake or not...\I'll fling all of that mud away!\Don't try to act cool, Kiriyama!\If you really want to win, then persevere!\Don't just attack, you have to defend!\I finally caught up to you, Kiriyama. response:	I'll be waiting for the day when we have a match together.
context: In that case, I'll show you.\Whether I make a mistake or not...\I'll fling all of that mud away!\Don't try to act cool, Kiriyama!\If you really want to win, then persevere!\Don't just attack, you have to defend!\I finally caught up to you, Kiriyama.\I'll be waiting for the day when we have a match together. response:	Right, rival?
context: Whether I make a mistake or not...\I'll fling all of that mud away!\Don't try to act cool, Kiriyama!\If you really want to win, then persevere!\Don't just attack, you have to defend!\I finally caught up to you, Kiriyama.\I'll be waiting for the day when we have a match together.\Right, rival? response:	Kiriyama, can you hear me?
context: I'll fling all of that mud away!\Don't try to act cool, Kiriyama!\If you really want to win, then persevere!\Don't just attack, you have to defend!\I finally caught up to you, Kiriyama.\I'll be waiting for the day when we have a match together.\Right, rival?\Kiriyama, can you hear me? response:	ROOK
context: Don't try to act cool, Kiriyama!\If you really want to win, then persevere!\Don't just attack, you have to defend!\I finally caught up to you, Kiriyama.\I'll be waiting for the day when we have a match together.\Right, rival?\Kiriyama, can you hear me?\ROOK response:	Take better care of your shogi,
context: If you really want to win, then persevere!\Don't just attack, you have to defend!\I finally caught up to you, Kiriyama.\I'll be waiting for the day when we have a match together.\Right, rival?\Kiriyama, can you hear me?\ROOK\Take better care of your shogi, response:	and yourself, Kiriyama!
context: Don't just attack, you have to defend!\I finally caught up to you, Kiriyama.\I'll be waiting for the day when we have a match together.\Right, rival?\Kiriyama, can you hear me?\ROOK\Take better care of your shogi,\and yourself, Kiriyama! response:	I'm always like this.
context: I finally caught up to you, Kiriyama.\I'll be waiting for the day when we have a match together.\Right, rival?\Kiriyama, can you hear me?\ROOK\Take better care of your shogi,\and yourself, Kiriyama!\I'm always like this. response:	Bravery and recklessness are similar but different!
context: I'll be waiting for the day when we have a match together.\Right, rival?\Kiriyama, can you hear me?\ROOK\Take better care of your shogi,\and yourself, Kiriyama!\I'm always like this.\Bravery and recklessness are similar but different! response:	I'm always so quick to focus on myself.
context: Right, rival?\Kiriyama, can you hear me?\ROOK\Take better care of your shogi,\and yourself, Kiriyama!\I'm always like this.\Bravery and recklessness are similar but different!\I'm always so quick to focus on myself. response:	Thanks, Rei. I should be okay for the next one.
context: Kiriyama, can you hear me?\ROOK\Take better care of your shogi,\and yourself, Kiriyama!\I'm always like this.\Bravery and recklessness are similar but different!\I'm always so quick to focus on myself.\Thanks, Rei. I should be okay for the next one. response:	Other people's kindness, strength...
context: ROOK\Take better care of your shogi,\and yourself, Kiriyama!\I'm always like this.\Bravery and recklessness are similar but different!\I'm always so quick to focus on myself.\Thanks, Rei. I should be okay for the next one.\Other people's kindness, strength... response:	I would probably be cleaning up by myself and crying.
context: Take better care of your shogi,\and yourself, Kiriyama!\I'm always like this.\Bravery and recklessness are similar but different!\I'm always so quick to focus on myself.\Thanks, Rei. I should be okay for the next one.\Other people's kindness, strength...\I would probably be cleaning up by myself and crying. response:	and loneliness.
context: and yourself, Kiriyama!\I'm always like this.\Bravery and recklessness are similar but different!\I'm always so quick to focus on myself.\Thanks, Rei. I should be okay for the next one.\Other people's kindness, strength...\I would probably be cleaning up by myself and crying.\and loneliness. response:	I never...
context: I'm always like this.\Bravery and recklessness are similar but different!\I'm always so quick to focus on myself.\Thanks, Rei. I should be okay for the next one.\Other people's kindness, strength...\I would probably be cleaning up by myself and crying.\and loneliness.\I never... response:	I could never notice it.
context: Bravery and recklessness are similar but different!\I'm always so quick to focus on myself.\Thanks, Rei. I should be okay for the next one.\Other people's kindness, strength...\I would probably be cleaning up by myself and crying.\and loneliness.\I never...\I could never notice it. response:	It was frustrating.
context: I'm always so quick to focus on myself.\Thanks, Rei. I should be okay for the next one.\Other people's kindness, strength...\I would probably be cleaning up by myself and crying.\and loneliness.\I never...\I could never notice it.\It was frustrating. response:	I felt so pathetic.
context: Thanks, Rei. I should be okay for the next one.\Other people's kindness, strength...\I would probably be cleaning up by myself and crying.\and loneliness.\I never...\I could never notice it.\It was frustrating.\I felt so pathetic. response:	Look to nature for the way of life.
context: Other people's kindness, strength...\I would probably be cleaning up by myself and crying.\and loneliness.\I never...\I could never notice it.\It was frustrating.\I felt so pathetic.\Look to nature for the way of life. response:	Newcomer Tournament Finals
context: I would probably be cleaning up by myself and crying.\and loneliness.\I never...\I could never notice it.\It was frustrating.\I felt so pathetic.\Look to nature for the way of life.\Newcomer Tournament Finals response:	Idiot.
context: and loneliness.\I never...\I could never notice it.\It was frustrating.\I felt so pathetic.\Look to nature for the way of life.\Newcomer Tournament Finals\Idiot. response:	You really worried me there.
context: I never...\I could never notice it.\It was frustrating.\I felt so pathetic.\Look to nature for the way of life.\Newcomer Tournament Finals\Idiot.\You really worried me there. response:	You did it. You did it, Kiriyama!
context: I could never notice it.\It was frustrating.\I felt so pathetic.\Look to nature for the way of life.\Newcomer Tournament Finals\Idiot.\You really worried me there.\You did it. You did it, Kiriyama! response:	Yes. Yes, it was brilliant.
context: It was frustrating.\I felt so pathetic.\Look to nature for the way of life.\Newcomer Tournament Finals\Idiot.\You really worried me there.\You did it. You did it, Kiriyama!\Yes. Yes, it was brilliant. response:	As expected from your dear rival, Master Harunobu.
context: I felt so pathetic.\Look to nature for the way of life.\Newcomer Tournament Finals\Idiot.\You really worried me there.\You did it. You did it, Kiriyama!\Yes. Yes, it was brilliant.\As expected from your dear rival, Master Harunobu. response:	SHOGI HALL
context: Look to nature for the way of life.\Newcomer Tournament Finals\Idiot.\You really worried me there.\You did it. You did it, Kiriyama!\Yes. Yes, it was brilliant.\As expected from your dear rival, Master Harunobu.\SHOGI HALL response:	KANSAI SHOGI HALL
context: Newcomer Tournament Finals\Idiot.\You really worried me there.\You did it. You did it, Kiriyama!\Yes. Yes, it was brilliant.\As expected from your dear rival, Master Harunobu.\SHOGI HALL\KANSAI SHOGI HALL response:	Thank you for everything.
context: Idiot.\You really worried me there.\You did it. You did it, Kiriyama!\Yes. Yes, it was brilliant.\As expected from your dear rival, Master Harunobu.\SHOGI HALL\KANSAI SHOGI HALL\Thank you for everything. response:	Goodbye.
context: You really worried me there.\You did it. You did it, Kiriyama!\Yes. Yes, it was brilliant.\As expected from your dear rival, Master Harunobu.\SHOGI HALL\KANSAI SHOGI HALL\Thank you for everything.\Goodbye. response:	It really works! Shimada 8th-Dan gave me this stomach medicine.
context: You did it. You did it, Kiriyama!\Yes. Yes, it was brilliant.\As expected from your dear rival, Master Harunobu.\SHOGI HALL\KANSAI SHOGI HALL\Thank you for everything.\Goodbye.\It really works! Shimada 8th-Dan gave me this stomach medicine. response:	Can I see? I've got stomach pain too.
context: Yes. Yes, it was brilliant.\As expected from your dear rival, Master Harunobu.\SHOGI HALL\KANSAI SHOGI HALL\Thank you for everything.\Goodbye.\It really works! Shimada 8th-Dan gave me this stomach medicine.\Can I see? I've got stomach pain too. response:	It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan.
context: As expected from your dear rival, Master Harunobu.\SHOGI HALL\KANSAI SHOGI HALL\Thank you for everything.\Goodbye.\It really works! Shimada 8th-Dan gave me this stomach medicine.\Can I see? I've got stomach pain too.\It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan. response:	He's the authority on stomach pain.
context: SHOGI HALL\KANSAI SHOGI HALL\Thank you for everything.\Goodbye.\It really works! Shimada 8th-Dan gave me this stomach medicine.\Can I see? I've got stomach pain too.\It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan.\He's the authority on stomach pain. response:	Um, can I see that?
context: KANSAI SHOGI HALL\Thank you for everything.\Goodbye.\It really works! Shimada 8th-Dan gave me this stomach medicine.\Can I see? I've got stomach pain too.\It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan.\He's the authority on stomach pain.\Um, can I see that? response:	What, Kiriyama? You have stomach pains, too?
context: Thank you for everything.\Goodbye.\It really works! Shimada 8th-Dan gave me this stomach medicine.\Can I see? I've got stomach pain too.\It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan.\He's the authority on stomach pain.\Um, can I see that?\What, Kiriyama? You have stomach pains, too? response:	STOMACH MEDICINE
context: Goodbye.\It really works! Shimada 8th-Dan gave me this stomach medicine.\Can I see? I've got stomach pain too.\It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan.\He's the authority on stomach pain.\Um, can I see that?\What, Kiriyama? You have stomach pains, too?\STOMACH MEDICINE response:	Want some?
context: It really works! Shimada 8th-Dan gave me this stomach medicine.\Can I see? I've got stomach pain too.\It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan.\He's the authority on stomach pain.\Um, can I see that?\What, Kiriyama? You have stomach pains, too?\STOMACH MEDICINE\Want some? response:	Keep it. I've got plenty.
context: Can I see? I've got stomach pain too.\It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan.\He's the authority on stomach pain.\Um, can I see that?\What, Kiriyama? You have stomach pains, too?\STOMACH MEDICINE\Want some?\Keep it. I've got plenty. response:	Whoa, hey, Kiriyama! Before that, congratulations!
context: It really works! When you have a stomachache because of nerves, consult Shimada 8th-Dan.\He's the authority on stomach pain.\Um, can I see that?\What, Kiriyama? You have stomach pains, too?\STOMACH MEDICINE\Want some?\Keep it. I've got plenty.\Whoa, hey, Kiriyama! Before that, congratulations! response:	You're the Newcomer King!
context: He's the authority on stomach pain.\Um, can I see that?\What, Kiriyama? You have stomach pains, too?\STOMACH MEDICINE\Want some?\Keep it. I've got plenty.\Whoa, hey, Kiriyama! Before that, congratulations!\You're the Newcomer King! response:	Uh... huh?
context: Um, can I see that?\What, Kiriyama? You have stomach pains, too?\STOMACH MEDICINE\Want some?\Keep it. I've got plenty.\Whoa, hey, Kiriyama! Before that, congratulations!\You're the Newcomer King!\Uh... huh? response:	Kiriyama?
context: What, Kiriyama? You have stomach pains, too?\STOMACH MEDICINE\Want some?\Keep it. I've got plenty.\Whoa, hey, Kiriyama! Before that, congratulations!\You're the Newcomer King!\Uh... huh?\Kiriyama? response:	Suddenly the only thing I could think about
context: STOMACH MEDICINE\Want some?\Keep it. I've got plenty.\Whoa, hey, Kiriyama! Before that, congratulations!\You're the Newcomer King!\Uh... huh?\Kiriyama?\Suddenly the only thing I could think about response:	was Hinata, curled up like a little ball on the floor the night before last.
context: Want some?\Keep it. I've got plenty.\Whoa, hey, Kiriyama! Before that, congratulations!\You're the Newcomer King!\Uh... huh?\Kiriyama?\Suddenly the only thing I could think about\was Hinata, curled up like a little ball on the floor the night before last. response:	To the Parents School Trip Schedule
context: Keep it. I've got plenty.\Whoa, hey, Kiriyama! Before that, congratulations!\You're the Newcomer King!\Uh... huh?\Kiriyama?\Suddenly the only thing I could think about\was Hinata, curled up like a little ball on the floor the night before last.\To the Parents School Trip Schedule response:	Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner
context: Whoa, hey, Kiriyama! Before that, congratulations!\You're the Newcomer King!\Uh... huh?\Kiriyama?\Suddenly the only thing I could think about\was Hinata, curled up like a little ball on the floor the night before last.\To the Parents School Trip Schedule\Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner response:	Kyoto Station is just one stop away with the bullet train!
context: You're the Newcomer King!\Uh... huh?\Kiriyama?\Suddenly the only thing I could think about\was Hinata, curled up like a little ball on the floor the night before last.\To the Parents School Trip Schedule\Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner\Kyoto Station is just one stop away with the bullet train! response:	Will I make it?
context: Uh... huh?\Kiriyama?\Suddenly the only thing I could think about\was Hinata, curled up like a little ball on the floor the night before last.\To the Parents School Trip Schedule\Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner\Kyoto Station is just one stop away with the bullet train!\Will I make it? response:	No, I'll go.
context: Kiriyama?\Suddenly the only thing I could think about\was Hinata, curled up like a little ball on the floor the night before last.\To the Parents School Trip Schedule\Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner\Kyoto Station is just one stop away with the bullet train!\Will I make it?\No, I'll go. response:	I have a feeling that I need to go.
context: Suddenly the only thing I could think about\was Hinata, curled up like a little ball on the floor the night before last.\To the Parents School Trip Schedule\Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner\Kyoto Station is just one stop away with the bullet train!\Will I make it?\No, I'll go.\I have a feeling that I need to go. response:	It feels like if I don't,
context: was Hinata, curled up like a little ball on the floor the night before last.\To the Parents School Trip Schedule\Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner\Kyoto Station is just one stop away with the bullet train!\Will I make it?\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't, response:	I'll regret it down the line, years from now, even after becoming an adult.
context: To the Parents School Trip Schedule\Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner\Kyoto Station is just one stop away with the bullet train!\Will I make it?\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult. response:	To Shinkyougoku!
context: Kiyomizu Temple Heian Temple Lunch Free Time (Shinkyougoku) Ginkakuji Dinner\Kyoto Station is just one stop away with the bullet train!\Will I make it?\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\To Shinkyougoku! response:	GIFT SHOP
context: Kyoto Station is just one stop away with the bullet train!\Will I make it?\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\To Shinkyougoku!\GIFT SHOP response:	NISHIKI TENMANGUU
context: Will I make it?\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\To Shinkyougoku!\GIFT SHOP\NISHIKI TENMANGUU response:	UMINO SHOP
context: No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\To Shinkyougoku!\GIFT SHOP\NISHIKI TENMANGUU\UMINO SHOP response:	Damn it!
context: I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\To Shinkyougoku!\GIFT SHOP\NISHIKI TENMANGUU\UMINO SHOP\Damn it! response:	She's not here?
context: It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\To Shinkyougoku!\GIFT SHOP\NISHIKI TENMANGUU\UMINO SHOP\Damn it!\She's not here? response:	Of course she's not.
context: I'll regret it down the line, years from now, even after becoming an adult.\To Shinkyougoku!\GIFT SHOP\NISHIKI TENMANGUU\UMINO SHOP\Damn it!\She's not here?\Of course she's not. response:	Like I could find a middle school student who doesn't have a phone
context: To Shinkyougoku!\GIFT SHOP\NISHIKI TENMANGUU\UMINO SHOP\Damn it!\She's not here?\Of course she's not.\Like I could find a middle school student who doesn't have a phone response:	KYOTO GIFTS
context: GIFT SHOP\NISHIKI TENMANGUU\UMINO SHOP\Damn it!\She's not here?\Of course she's not.\Like I could find a middle school student who doesn't have a phone\KYOTO GIFTS response:	in a town I barely know by running around randomly,
context: NISHIKI TENMANGUU\UMINO SHOP\Damn it!\She's not here?\Of course she's not.\Like I could find a middle school student who doesn't have a phone\KYOTO GIFTS\in a town I barely know by running around randomly, response:	with free time in Shinkyougoku as my only hint.
context: UMINO SHOP\Damn it!\She's not here?\Of course she's not.\Like I could find a middle school student who doesn't have a phone\KYOTO GIFTS\in a town I barely know by running around randomly,\with free time in Shinkyougoku as my only hint. response:	What the hell am I doing?
context: Damn it!\She's not here?\Of course she's not.\Like I could find a middle school student who doesn't have a phone\KYOTO GIFTS\in a town I barely know by running around randomly,\with free time in Shinkyougoku as my only hint.\What the hell am I doing? response:	What should I do?
context: She's not here?\Of course she's not.\Like I could find a middle school student who doesn't have a phone\KYOTO GIFTS\in a town I barely know by running around randomly,\with free time in Shinkyougoku as my only hint.\What the hell am I doing?\What should I do? response:	- I can't make up my mind. - I know, right?
context: Of course she's not.\Like I could find a middle school student who doesn't have a phone\KYOTO GIFTS\in a town I barely know by running around randomly,\with free time in Shinkyougoku as my only hint.\What the hell am I doing?\What should I do?\- I can't make up my mind. - I know, right? response:	Oh, no way, that's totally cute!
context: Like I could find a middle school student who doesn't have a phone\KYOTO GIFTS\in a town I barely know by running around randomly,\with free time in Shinkyougoku as my only hint.\What the hell am I doing?\What should I do?\- I can't make up my mind. - I know, right?\Oh, no way, that's totally cute! response:	Hina's middle school uniform.
context: KYOTO GIFTS\in a town I barely know by running around randomly,\with free time in Shinkyougoku as my only hint.\What the hell am I doing?\What should I do?\- I can't make up my mind. - I know, right?\Oh, no way, that's totally cute!\Hina's middle school uniform. response:	Hey, where's Kiriyama?
context: in a town I barely know by running around randomly,\with free time in Shinkyougoku as my only hint.\What the hell am I doing?\What should I do?\- I can't make up my mind. - I know, right?\Oh, no way, that's totally cute!\Hina's middle school uniform.\Hey, where's Kiriyama? response:	I don't know. It's fine, right?
context: with free time in Shinkyougoku as my only hint.\What the hell am I doing?\What should I do?\- I can't make up my mind. - I know, right?\Oh, no way, that's totally cute!\Hina's middle school uniform.\Hey, where's Kiriyama?\I don't know. It's fine, right? response:	This is our free time. So he's free to do what he wants.
context: What the hell am I doing?\What should I do?\- I can't make up my mind. - I know, right?\Oh, no way, that's totally cute!\Hina's middle school uniform.\Hey, where's Kiriyama?\I don't know. It's fine, right?\This is our free time. So he's free to do what he wants. response:	Oh, that's right.
context: What should I do?\- I can't make up my mind. - I know, right?\Oh, no way, that's totally cute!\Hina's middle school uniform.\Hey, where's Kiriyama?\I don't know. It's fine, right?\This is our free time. So he's free to do what he wants.\Oh, that's right. response:	I remember.
context: - I can't make up my mind. - I know, right?\Oh, no way, that's totally cute!\Hina's middle school uniform.\Hey, where's Kiriyama?\I don't know. It's fine, right?\This is our free time. So he's free to do what he wants.\Oh, that's right.\I remember. response:	Not here.
context: Oh, no way, that's totally cute!\Hina's middle school uniform.\Hey, where's Kiriyama?\I don't know. It's fine, right?\This is our free time. So he's free to do what he wants.\Oh, that's right.\I remember.\Not here. response:	Among this laughter,
context: Hina's middle school uniform.\Hey, where's Kiriyama?\I don't know. It's fine, right?\This is our free time. So he's free to do what he wants.\Oh, that's right.\I remember.\Not here.\Among this laughter, response:	someone who's all alone won't be found.
context: Hey, where's Kiriyama?\I don't know. It's fine, right?\This is our free time. So he's free to do what he wants.\Oh, that's right.\I remember.\Not here.\Among this laughter,\someone who's all alone won't be found. response:	She couldn't be here.
context: I don't know. It's fine, right?\This is our free time. So he's free to do what he wants.\Oh, that's right.\I remember.\Not here.\Among this laughter,\someone who's all alone won't be found.\She couldn't be here. response:	That's right.
context: This is our free time. So he's free to do what he wants.\Oh, that's right.\I remember.\Not here.\Among this laughter,\someone who's all alone won't be found.\She couldn't be here.\That's right. response:	Whenever she feels like crying,
context: Oh, that's right.\I remember.\Not here.\Among this laughter,\someone who's all alone won't be found.\She couldn't be here.\That's right.\Whenever she feels like crying, response:	she heads for the river...
context: I remember.\Not here.\Among this laughter,\someone who's all alone won't be found.\She couldn't be here.\That's right.\Whenever she feels like crying,\she heads for the river... response:	by herself.
context: Not here.\Among this laughter,\someone who's all alone won't be found.\She couldn't be here.\That's right.\Whenever she feels like crying,\she heads for the river...\by herself. response:	Rei?
context: Among this laughter,\someone who's all alone won't be found.\She couldn't be here.\That's right.\Whenever she feels like crying,\she heads for the river...\by herself.\Rei? response:	How?!
context: someone who's all alone won't be found.\She couldn't be here.\That's right.\Whenever she feels like crying,\she heads for the river...\by herself.\Rei?\How?! response:	Why? What are you doing here?
context: She couldn't be here.\That's right.\Whenever she feels like crying,\she heads for the river...\by herself.\Rei?\How?!\Why? What are you doing here? response:	How?!
context: That's right.\Whenever she feels like crying,\she heads for the river...\by herself.\Rei?\How?!\Why? What are you doing here?\How?! response:	Um... Well, uh, let's see...
context: Whenever she feels like crying,\she heads for the river...\by herself.\Rei?\How?!\Why? What are you doing here?\How?!\Um... Well, uh, let's see... response:	You said your stomach hurt,
context: she heads for the river...\by herself.\Rei?\How?!\Why? What are you doing here?\How?!\Um... Well, uh, let's see...\You said your stomach hurt, response:	so I was wondering if you were okay.
context: by herself.\Rei?\How?!\Why? What are you doing here?\How?!\Um... Well, uh, let's see...\You said your stomach hurt,\so I was wondering if you were okay. response:	So... Oh! That's right.
context: Rei?\How?!\Why? What are you doing here?\How?!\Um... Well, uh, let's see...\You said your stomach hurt,\so I was wondering if you were okay.\So... Oh! That's right. response:	A colleague gave me a very effective stomach medicine, so...
context: How?!\Why? What are you doing here?\How?!\Um... Well, uh, let's see...\You said your stomach hurt,\so I was wondering if you were okay.\So... Oh! That's right.\A colleague gave me a very effective stomach medicine, so... response:	H-Hina.
context: Why? What are you doing here?\How?!\Um... Well, uh, let's see...\You said your stomach hurt,\so I was wondering if you were okay.\So... Oh! That's right.\A colleague gave me a very effective stomach medicine, so...\H-Hina. response:	Hina, you've been hanging in there. I'm proud of you.
context: How?!\Um... Well, uh, let's see...\You said your stomach hurt,\so I was wondering if you were okay.\So... Oh! That's right.\A colleague gave me a very effective stomach medicine, so...\H-Hina.\Hina, you've been hanging in there. I'm proud of you. response:	Hina loudly burst into tears
context: Um... Well, uh, let's see...\You said your stomach hurt,\so I was wondering if you were okay.\So... Oh! That's right.\A colleague gave me a very effective stomach medicine, so...\H-Hina.\Hina, you've been hanging in there. I'm proud of you.\Hina loudly burst into tears response:	and didn't stop.
context: You said your stomach hurt,\so I was wondering if you were okay.\So... Oh! That's right.\A colleague gave me a very effective stomach medicine, so...\H-Hina.\Hina, you've been hanging in there. I'm proud of you.\Hina loudly burst into tears\and didn't stop. response:	She got warmer and warmer.
context: so I was wondering if you were okay.\So... Oh! That's right.\A colleague gave me a very effective stomach medicine, so...\H-Hina.\Hina, you've been hanging in there. I'm proud of you.\Hina loudly burst into tears\and didn't stop.\She got warmer and warmer. response:	Her uniform and head became sweaty.
context: So... Oh! That's right.\A colleague gave me a very effective stomach medicine, so...\H-Hina.\Hina, you've been hanging in there. I'm proud of you.\Hina loudly burst into tears\and didn't stop.\She got warmer and warmer.\Her uniform and head became sweaty. response:	The breeze off the river on this slightly cloudy day was chilly,
context: A colleague gave me a very effective stomach medicine, so...\H-Hina.\Hina, you've been hanging in there. I'm proud of you.\Hina loudly burst into tears\and didn't stop.\She got warmer and warmer.\Her uniform and head became sweaty.\The breeze off the river on this slightly cloudy day was chilly, response:	so I was worried she would catch a cold.
context: H-Hina.\Hina, you've been hanging in there. I'm proud of you.\Hina loudly burst into tears\and didn't stop.\She got warmer and warmer.\Her uniform and head became sweaty.\The breeze off the river on this slightly cloudy day was chilly,\so I was worried she would catch a cold. response:	I was worried...
context: Hina, you've been hanging in there. I'm proud of you.\Hina loudly burst into tears\and didn't stop.\She got warmer and warmer.\Her uniform and head became sweaty.\The breeze off the river on this slightly cloudy day was chilly,\so I was worried she would catch a cold.\I was worried... response:	just so worried...
context: Hina loudly burst into tears\and didn't stop.\She got warmer and warmer.\Her uniform and head became sweaty.\The breeze off the river on this slightly cloudy day was chilly,\so I was worried she would catch a cold.\I was worried...\just so worried... response:	that I couldn't help it.
context: and didn't stop.\She got warmer and warmer.\Her uniform and head became sweaty.\The breeze off the river on this slightly cloudy day was chilly,\so I was worried she would catch a cold.\I was worried...\just so worried...\that I couldn't help it. response:	Kingdom (Part 2)
