context: The Third Plate response:	Eleven
context: The class format has changed a lot since Central was founded, too.\Yeah.\There are no more classes where you come up with your own dishes.\They're all about following recipes to a T.\They really don't plan on letting us cook what we want.\Even Master Shinomiya gave me more leeway in the kitchen.\What's wrong, Chef?\I suddenly felt really irritated for some reason. response:	79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro
context: Yeah.\There are no more classes where you come up with your own dishes.\They're all about following recipes to a T.\They really don't plan on letting us cook what we want.\Even Master Shinomiya gave me more leeway in the kitchen.\What's wrong, Chef?\I suddenly felt really irritated for some reason.\79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro response:	The instructor who had been in charge of this class
context: There are no more classes where you come up with your own dishes.\They're all about following recipes to a T.\They really don't plan on letting us cook what we want.\Even Master Shinomiya gave me more leeway in the kitchen.\What's wrong, Chef?\I suddenly felt really irritated for some reason.\79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro\The instructor who had been in charge of this class response:	was dismissed due to his claims that he could not follow Central's directives.
context: They're all about following recipes to a T.\They really don't plan on letting us cook what we want.\Even Master Shinomiya gave me more leeway in the kitchen.\What's wrong, Chef?\I suddenly felt really irritated for some reason.\79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro\The instructor who had been in charge of this class\was dismissed due to his claims that he could not follow Central's directives. response:	What?!
context: They really don't plan on letting us cook what we want.\Even Master Shinomiya gave me more leeway in the kitchen.\What's wrong, Chef?\I suddenly felt really irritated for some reason.\79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro\The instructor who had been in charge of this class\was dismissed due to his claims that he could not follow Central's directives.\What?! response:	Dismissed, huh.
context: Even Master Shinomiya gave me more leeway in the kitchen.\What's wrong, Chef?\I suddenly felt really irritated for some reason.\79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro\The instructor who had been in charge of this class\was dismissed due to his claims that he could not follow Central's directives.\What?!\Dismissed, huh. response:	They're really ruthless.
context: What's wrong, Chef?\I suddenly felt really irritated for some reason.\79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro\The instructor who had been in charge of this class\was dismissed due to his claims that he could not follow Central's directives.\What?!\Dismissed, huh.\They're really ruthless. response:	Due to that, a substitute instructor will undertake the demonstration today.
context: I suddenly felt really irritated for some reason.\79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro\The instructor who had been in charge of this class\was dismissed due to his claims that he could not follow Central's directives.\What?!\Dismissed, huh.\They're really ruthless.\Due to that, a substitute instructor will undertake the demonstration today. response:	The lesson will be a basis for the true gourmet dining Central espouses.
context: 79th Generation Totsuki Elite Ten First Seat Shinomiya Kojiro\The instructor who had been in charge of this class\was dismissed due to his claims that he could not follow Central's directives.\What?!\Dismissed, huh.\They're really ruthless.\Due to that, a substitute instructor will undertake the demonstration today.\The lesson will be a basis for the true gourmet dining Central espouses. response:	Pay full attention, and learn the material.
context: The instructor who had been in charge of this class\was dismissed due to his claims that he could not follow Central's directives.\What?!\Dismissed, huh.\They're really ruthless.\Due to that, a substitute instructor will undertake the demonstration today.\The lesson will be a basis for the true gourmet dining Central espouses.\Pay full attention, and learn the material. response:	The instructor will be coming in now.
context: was dismissed due to his claims that he could not follow Central's directives.\What?!\Dismissed, huh.\They're really ruthless.\Due to that, a substitute instructor will undertake the demonstration today.\The lesson will be a basis for the true gourmet dining Central espouses.\Pay full attention, and learn the material.\The instructor will be coming in now. response:	The First Seat...
context: What?!\Dismissed, huh.\They're really ruthless.\Due to that, a substitute instructor will undertake the demonstration today.\The lesson will be a basis for the true gourmet dining Central espouses.\Pay full attention, and learn the material.\The instructor will be coming in now.\The First Seat... response:	Tsukasa Eishi!
context: Dismissed, huh.\They're really ruthless.\Due to that, a substitute instructor will undertake the demonstration today.\The lesson will be a basis for the true gourmet dining Central espouses.\Pay full attention, and learn the material.\The instructor will be coming in now.\The First Seat...\Tsukasa Eishi! response:	What?!
context: They're really ruthless.\Due to that, a substitute instructor will undertake the demonstration today.\The lesson will be a basis for the true gourmet dining Central espouses.\Pay full attention, and learn the material.\The instructor will be coming in now.\The First Seat...\Tsukasa Eishi!\What?! response:	Hello.
context: Due to that, a substitute instructor will undertake the demonstration today.\The lesson will be a basis for the true gourmet dining Central espouses.\Pay full attention, and learn the material.\The instructor will be coming in now.\The First Seat...\Tsukasa Eishi!\What?!\Hello. response:	I'm the Elite Ten's First Seat, Tsukasa Eishi.
context: The lesson will be a basis for the true gourmet dining Central espouses.\Pay full attention, and learn the material.\The instructor will be coming in now.\The First Seat...\Tsukasa Eishi!\What?!\Hello.\I'm the Elite Ten's First Seat, Tsukasa Eishi. response:	I don't know if you all know me.
context: Pay full attention, and learn the material.\The instructor will be coming in now.\The First Seat...\Tsukasa Eishi!\What?!\Hello.\I'm the Elite Ten's First Seat, Tsukasa Eishi.\I don't know if you all know me. response:	We know!
context: The instructor will be coming in now.\The First Seat...\Tsukasa Eishi!\What?!\Hello.\I'm the Elite Ten's First Seat, Tsukasa Eishi.\I don't know if you all know me.\We know! response:	I'll be preparing a few dishes today.
context: The First Seat...\Tsukasa Eishi!\What?!\Hello.\I'm the Elite Ten's First Seat, Tsukasa Eishi.\I don't know if you all know me.\We know!\I'll be preparing a few dishes today. response:	I'd like you all to model my methods when you make these dishes.
context: Tsukasa Eishi!\What?!\Hello.\I'm the Elite Ten's First Seat, Tsukasa Eishi.\I don't know if you all know me.\We know!\I'll be preparing a few dishes today.\I'd like you all to model my methods when you make these dishes. response:	Seriously?!
context: What?!\Hello.\I'm the Elite Ten's First Seat, Tsukasa Eishi.\I don't know if you all know me.\We know!\I'll be preparing a few dishes today.\I'd like you all to model my methods when you make these dishes.\Seriously?! response:	The First Seat will be showing us how?!
context: Hello.\I'm the Elite Ten's First Seat, Tsukasa Eishi.\I don't know if you all know me.\We know!\I'll be preparing a few dishes today.\I'd like you all to model my methods when you make these dishes.\Seriously?!\The First Seat will be showing us how?! response:	That's too scary!
context: I'm the Elite Ten's First Seat, Tsukasa Eishi.\I don't know if you all know me.\We know!\I'll be preparing a few dishes today.\I'd like you all to model my methods when you make these dishes.\Seriously?!\The First Seat will be showing us how?!\That's too scary! response:	Remember the quality of what he served at the Moon Festival?
context: I don't know if you all know me.\We know!\I'll be preparing a few dishes today.\I'd like you all to model my methods when you make these dishes.\Seriously?!\The First Seat will be showing us how?!\That's too scary!\Remember the quality of what he served at the Moon Festival? response:	They were amazing, weren't they?
context: We know!\I'll be preparing a few dishes today.\I'd like you all to model my methods when you make these dishes.\Seriously?!\The First Seat will be showing us how?!\That's too scary!\Remember the quality of what he served at the Moon Festival?\They were amazing, weren't they? response:	Everything we tasted was wonderful.
context: I'll be preparing a few dishes today.\I'd like you all to model my methods when you make these dishes.\Seriously?!\The First Seat will be showing us how?!\That's too scary!\Remember the quality of what he served at the Moon Festival?\They were amazing, weren't they?\Everything we tasted was wonderful. response:	Oh, and I'm supposed to have a student volunteer
context: I'd like you all to model my methods when you make these dishes.\Seriously?!\The First Seat will be showing us how?!\That's too scary!\Remember the quality of what he served at the Moon Festival?\They were amazing, weren't they?\Everything we tasted was wonderful.\Oh, and I'm supposed to have a student volunteer response:	to be my assistant during this class.
context: Seriously?!\The First Seat will be showing us how?!\That's too scary!\Remember the quality of what he served at the Moon Festival?\They were amazing, weren't they?\Everything we tasted was wonderful.\Oh, and I'm supposed to have a student volunteer\to be my assistant during this class. response:	They'll be providing support while I prepare the dishes.
context: The First Seat will be showing us how?!\That's too scary!\Remember the quality of what he served at the Moon Festival?\They were amazing, weren't they?\Everything we tasted was wonderful.\Oh, and I'm supposed to have a student volunteer\to be my assistant during this class.\They'll be providing support while I prepare the dishes. response:	Does anyone want to step up?
context: That's too scary!\Remember the quality of what he served at the Moon Festival?\They were amazing, weren't they?\Everything we tasted was wonderful.\Oh, and I'm supposed to have a student volunteer\to be my assistant during this class.\They'll be providing support while I prepare the dishes.\Does anyone want to step up? response:	What?!
context: Remember the quality of what he served at the Moon Festival?\They were amazing, weren't they?\Everything we tasted was wonderful.\Oh, and I'm supposed to have a student volunteer\to be my assistant during this class.\They'll be providing support while I prepare the dishes.\Does anyone want to step up?\What?! response:	You go.
context: They were amazing, weren't they?\Everything we tasted was wonderful.\Oh, and I'm supposed to have a student volunteer\to be my assistant during this class.\They'll be providing support while I prepare the dishes.\Does anyone want to step up?\What?!\You go. response:	No way. I'll just get depressed.
context: Everything we tasted was wonderful.\Oh, and I'm supposed to have a student volunteer\to be my assistant during this class.\They'll be providing support while I prepare the dishes.\Does anyone want to step up?\What?!\You go.\No way. I'll just get depressed. response:	Huh?
context: Oh, and I'm supposed to have a student volunteer\to be my assistant during this class.\They'll be providing support while I prepare the dishes.\Does anyone want to step up?\What?!\You go.\No way. I'll just get depressed.\Huh? response:	Um...
context: to be my assistant during this class.\They'll be providing support while I prepare the dishes.\Does anyone want to step up?\What?!\You go.\No way. I'll just get depressed.\Huh?\Um... response:	Does no one want to cook with me?
context: They'll be providing support while I prepare the dishes.\Does anyone want to step up?\What?!\You go.\No way. I'll just get depressed.\Huh?\Um...\Does no one want to cook with me? response:	Huh?
context: Does anyone want to step up?\What?!\You go.\No way. I'll just get depressed.\Huh?\Um...\Does no one want to cook with me?\Huh? response:	Soma-kun?!
context: What?!\You go.\No way. I'll just get depressed.\Huh?\Um...\Does no one want to cook with me?\Huh?\Soma-kun?! response:	What?!
context: You go.\No way. I'll just get depressed.\Huh?\Um...\Does no one want to cook with me?\Huh?\Soma-kun?!\What?! response:	Yukihira Soma...
context: No way. I'll just get depressed.\Huh?\Um...\Does no one want to cook with me?\Huh?\Soma-kun?!\What?!\Yukihira Soma... response:	You attend this class, I see.
context: Huh?\Um...\Does no one want to cook with me?\Huh?\Soma-kun?!\What?!\Yukihira Soma...\You attend this class, I see. response:	I'll be your assistant.
context: Um...\Does no one want to cook with me?\Huh?\Soma-kun?!\What?!\Yukihira Soma...\You attend this class, I see.\I'll be your assistant. response:	That's fine, right?
context: Does no one want to cook with me?\Huh?\Soma-kun?!\What?!\Yukihira Soma...\You attend this class, I see.\I'll be your assistant.\That's fine, right? response:	I'll ask you for your help, then.
context: Huh?\Soma-kun?!\What?!\Yukihira Soma...\You attend this class, I see.\I'll be your assistant.\That's fine, right?\I'll ask you for your help, then. response:	I'll be demonstrating five French amuse bouche dishes today.
context: Soma-kun?!\What?!\Yukihira Soma...\You attend this class, I see.\I'll be your assistant.\That's fine, right?\I'll ask you for your help, then.\I'll be demonstrating five French amuse bouche dishes today. response:	I'll be preparing all of them at the same time.
context: What?!\Yukihira Soma...\You attend this class, I see.\I'll be your assistant.\That's fine, right?\I'll ask you for your help, then.\I'll be demonstrating five French amuse bouche dishes today.\I'll be preparing all of them at the same time. response:	Yukihira, you'll be preparing the ingredients.
context: Yukihira Soma...\You attend this class, I see.\I'll be your assistant.\That's fine, right?\I'll ask you for your help, then.\I'll be demonstrating five French amuse bouche dishes today.\I'll be preparing all of them at the same time.\Yukihira, you'll be preparing the ingredients. response:	Okay.
context: You attend this class, I see.\I'll be your assistant.\That's fine, right?\I'll ask you for your help, then.\I'll be demonstrating five French amuse bouche dishes today.\I'll be preparing all of them at the same time.\Yukihira, you'll be preparing the ingredients.\Okay. response:	Well, let us begin.
context: I'll be your assistant.\That's fine, right?\I'll ask you for your help, then.\I'll be demonstrating five French amuse bouche dishes today.\I'll be preparing all of them at the same time.\Yukihira, you'll be preparing the ingredients.\Okay.\Well, let us begin. response:	Yukihira, first, use a food processor to make a quenelle from semi-dried figs.
context: That's fine, right?\I'll ask you for your help, then.\I'll be demonstrating five French amuse bouche dishes today.\I'll be preparing all of them at the same time.\Yukihira, you'll be preparing the ingredients.\Okay.\Well, let us begin.\Yukihira, first, use a food processor to make a quenelle from semi-dried figs. response:	Mince the shallots and julienne the carrots.
context: I'll ask you for your help, then.\I'll be demonstrating five French amuse bouche dishes today.\I'll be preparing all of them at the same time.\Yukihira, you'll be preparing the ingredients.\Okay.\Well, let us begin.\Yukihira, first, use a food processor to make a quenelle from semi-dried figs.\Mince the shallots and julienne the carrots. response:	Add ground cardamom and milk to egg yolks and sugar to make creme anglaise,
context: I'll be demonstrating five French amuse bouche dishes today.\I'll be preparing all of them at the same time.\Yukihira, you'll be preparing the ingredients.\Okay.\Well, let us begin.\Yukihira, first, use a food processor to make a quenelle from semi-dried figs.\Mince the shallots and julienne the carrots.\Add ground cardamom and milk to egg yolks and sugar to make creme anglaise, response:	then pour it over the sorbet once it cools.
context: I'll be preparing all of them at the same time.\Yukihira, you'll be preparing the ingredients.\Okay.\Well, let us begin.\Yukihira, first, use a food processor to make a quenelle from semi-dried figs.\Mince the shallots and julienne the carrots.\Add ground cardamom and milk to egg yolks and sugar to make creme anglaise,\then pour it over the sorbet once it cools. response:	Got it!
context: Yukihira, you'll be preparing the ingredients.\Okay.\Well, let us begin.\Yukihira, first, use a food processor to make a quenelle from semi-dried figs.\Mince the shallots and julienne the carrots.\Add ground cardamom and milk to egg yolks and sugar to make creme anglaise,\then pour it over the sorbet once it cools.\Got it! response:	So much information at once!
context: Okay.\Well, let us begin.\Yukihira, first, use a food processor to make a quenelle from semi-dried figs.\Mince the shallots and julienne the carrots.\Add ground cardamom and milk to egg yolks and sugar to make creme anglaise,\then pour it over the sorbet once it cools.\Got it!\So much information at once! response:	My head would explode!
context: Well, let us begin.\Yukihira, first, use a food processor to make a quenelle from semi-dried figs.\Mince the shallots and julienne the carrots.\Add ground cardamom and milk to egg yolks and sugar to make creme anglaise,\then pour it over the sorbet once it cools.\Got it!\So much information at once!\My head would explode! response:	Wow, Soma-kun!
context: Yukihira, first, use a food processor to make a quenelle from semi-dried figs.\Mince the shallots and julienne the carrots.\Add ground cardamom and milk to egg yolks and sugar to make creme anglaise,\then pour it over the sorbet once it cools.\Got it!\So much information at once!\My head would explode!\Wow, Soma-kun! response:	Okay, next
context: Mince the shallots and julienne the carrots.\Add ground cardamom and milk to egg yolks and sugar to make creme anglaise,\then pour it over the sorbet once it cools.\Got it!\So much information at once!\My head would explode!\Wow, Soma-kun!\Okay, next response:	Fry young sweetfish coated with whole wheat flour, right?
context: Add ground cardamom and milk to egg yolks and sugar to make creme anglaise,\then pour it over the sorbet once it cools.\Got it!\So much information at once!\My head would explode!\Wow, Soma-kun!\Okay, next\Fry young sweetfish coated with whole wheat flour, right? response:	Yeah, thanks!
context: then pour it over the sorbet once it cools.\Got it!\So much information at once!\My head would explode!\Wow, Soma-kun!\Okay, next\Fry young sweetfish coated with whole wheat flour, right?\Yeah, thanks! response:	Senpai, I'm done making the zucchini dish!
context: Got it!\So much information at once!\My head would explode!\Wow, Soma-kun!\Okay, next\Fry young sweetfish coated with whole wheat flour, right?\Yeah, thanks!\Senpai, I'm done making the zucchini dish! response:	The whipped cream will be whipped into soft peaks in ten seconds, too.
context: So much information at once!\My head would explode!\Wow, Soma-kun!\Okay, next\Fry young sweetfish coated with whole wheat flour, right?\Yeah, thanks!\Senpai, I'm done making the zucchini dish!\The whipped cream will be whipped into soft peaks in ten seconds, too. response:	Good.
context: My head would explode!\Wow, Soma-kun!\Okay, next\Fry young sweetfish coated with whole wheat flour, right?\Yeah, thanks!\Senpai, I'm done making the zucchini dish!\The whipped cream will be whipped into soft peaks in ten seconds, too.\Good. response:	Almond cuit!
context: Wow, Soma-kun!\Okay, next\Fry young sweetfish coated with whole wheat flour, right?\Yeah, thanks!\Senpai, I'm done making the zucchini dish!\The whipped cream will be whipped into soft peaks in ten seconds, too.\Good.\Almond cuit! response:	Good.
context: Okay, next\Fry young sweetfish coated with whole wheat flour, right?\Yeah, thanks!\Senpai, I'm done making the zucchini dish!\The whipped cream will be whipped into soft peaks in ten seconds, too.\Good.\Almond cuit!\Good. response:	I had all the French culinary techniques pounded into me when
context: Fry young sweetfish coated with whole wheat flour, right?\Yeah, thanks!\Senpai, I'm done making the zucchini dish!\The whipped cream will be whipped into soft peaks in ten seconds, too.\Good.\Almond cuit!\Good.\I had all the French culinary techniques pounded into me when response:	I did my Stagiaire with Master Shinomiya.
context: Yeah, thanks!\Senpai, I'm done making the zucchini dish!\The whipped cream will be whipped into soft peaks in ten seconds, too.\Good.\Almond cuit!\Good.\I had all the French culinary techniques pounded into me when\I did my Stagiaire with Master Shinomiya. response:	Don't lose focus, Yukihira.
context: Senpai, I'm done making the zucchini dish!\The whipped cream will be whipped into soft peaks in ten seconds, too.\Good.\Almond cuit!\Good.\I had all the French culinary techniques pounded into me when\I did my Stagiaire with Master Shinomiya.\Don't lose focus, Yukihira. response:	Got it!
context: The whipped cream will be whipped into soft peaks in ten seconds, too.\Good.\Almond cuit!\Good.\I had all the French culinary techniques pounded into me when\I did my Stagiaire with Master Shinomiya.\Don't lose focus, Yukihira.\Got it! response:	Plating, please.
context: Good.\Almond cuit!\Good.\I had all the French culinary techniques pounded into me when\I did my Stagiaire with Master Shinomiya.\Don't lose focus, Yukihira.\Got it!\Plating, please. response:	Got it!
context: Almond cuit!\Good.\I had all the French culinary techniques pounded into me when\I did my Stagiaire with Master Shinomiya.\Don't lose focus, Yukihira.\Got it!\Plating, please.\Got it! response:	Wow.
context: Good.\I had all the French culinary techniques pounded into me when\I did my Stagiaire with Master Shinomiya.\Don't lose focus, Yukihira.\Got it!\Plating, please.\Got it!\Wow. response:	So fast.
context: I had all the French culinary techniques pounded into me when\I did my Stagiaire with Master Shinomiya.\Don't lose focus, Yukihira.\Got it!\Plating, please.\Got it!\Wow.\So fast. response:	Unbelievable.
context: I did my Stagiaire with Master Shinomiya.\Don't lose focus, Yukihira.\Got it!\Plating, please.\Got it!\Wow.\So fast.\Unbelievable. response:	A true collaboration between gifted equals
context: Don't lose focus, Yukihira.\Got it!\Plating, please.\Got it!\Wow.\So fast.\Unbelievable.\A true collaboration between gifted equals response:	that denies entry to anyone unworthy!
context: Got it!\Plating, please.\Got it!\Wow.\So fast.\Unbelievable.\A true collaboration between gifted equals\that denies entry to anyone unworthy! response:	Yukihira!
context: Plating, please.\Got it!\Wow.\So fast.\Unbelievable.\A true collaboration between gifted equals\that denies entry to anyone unworthy!\Yukihira! response:	Grill asparagus!
context: Got it!\Wow.\So fast.\Unbelievable.\A true collaboration between gifted equals\that denies entry to anyone unworthy!\Yukihira!\Grill asparagus! response:	Got it!
context: Wow.\So fast.\Unbelievable.\A true collaboration between gifted equals\that denies entry to anyone unworthy!\Yukihira!\Grill asparagus!\Got it! response:	So fast.
context: So fast.\Unbelievable.\A true collaboration between gifted equals\that denies entry to anyone unworthy!\Yukihira!\Grill asparagus!\Got it!\So fast. response:	Okay, let's have you all make the same dishes
context: Unbelievable.\A true collaboration between gifted equals\that denies entry to anyone unworthy!\Yukihira!\Grill asparagus!\Got it!\So fast.\Okay, let's have you all make the same dishes response:	within the same amount of time.
context: A true collaboration between gifted equals\that denies entry to anyone unworthy!\Yukihira!\Grill asparagus!\Got it!\So fast.\Okay, let's have you all make the same dishes\within the same amount of time. response:	As if!
context: that denies entry to anyone unworthy!\Yukihira!\Grill asparagus!\Got it!\So fast.\Okay, let's have you all make the same dishes\within the same amount of time.\As if! response:	Kitchen No. 2
context: Yukihira!\Grill asparagus!\Got it!\So fast.\Okay, let's have you all make the same dishes\within the same amount of time.\As if!\Kitchen No. 2 response:	She's so beautiful.
context: Grill asparagus!\Got it!\So fast.\Okay, let's have you all make the same dishes\within the same amount of time.\As if!\Kitchen No. 2\She's so beautiful. response:	I hadn't seen her attend classes in a while.
context: Got it!\So fast.\Okay, let's have you all make the same dishes\within the same amount of time.\As if!\Kitchen No. 2\She's so beautiful.\I hadn't seen her attend classes in a while. response:	I'm glad to see Erina-sama doing so well.
context: So fast.\Okay, let's have you all make the same dishes\within the same amount of time.\As if!\Kitchen No. 2\She's so beautiful.\I hadn't seen her attend classes in a while.\I'm glad to see Erina-sama doing so well. response:	I'm glad I summoned the courage to come to class.
context: Okay, let's have you all make the same dishes\within the same amount of time.\As if!\Kitchen No. 2\She's so beautiful.\I hadn't seen her attend classes in a while.\I'm glad to see Erina-sama doing so well.\I'm glad I summoned the courage to come to class. response:	It doesn't seem like Father will force me to come back, either.
context: within the same amount of time.\As if!\Kitchen No. 2\She's so beautiful.\I hadn't seen her attend classes in a while.\I'm glad to see Erina-sama doing so well.\I'm glad I summoned the courage to come to class.\It doesn't seem like Father will force me to come back, either. response:	Well done, Erina-sama!
context: As if!\Kitchen No. 2\She's so beautiful.\I hadn't seen her attend classes in a while.\I'm glad to see Erina-sama doing so well.\I'm glad I summoned the courage to come to class.\It doesn't seem like Father will force me to come back, either.\Well done, Erina-sama! response:	It was a matter of course that you were given an A.
context: Kitchen No. 2\She's so beautiful.\I hadn't seen her attend classes in a while.\I'm glad to see Erina-sama doing so well.\I'm glad I summoned the courage to come to class.\It doesn't seem like Father will force me to come back, either.\Well done, Erina-sama!\It was a matter of course that you were given an A. response:	It was easy.
context: She's so beautiful.\I hadn't seen her attend classes in a while.\I'm glad to see Erina-sama doing so well.\I'm glad I summoned the courage to come to class.\It doesn't seem like Father will force me to come back, either.\Well done, Erina-sama!\It was a matter of course that you were given an A.\It was easy. response:	How exceptional, as usual, Nakiri-san.
context: I hadn't seen her attend classes in a while.\I'm glad to see Erina-sama doing so well.\I'm glad I summoned the courage to come to class.\It doesn't seem like Father will force me to come back, either.\Well done, Erina-sama!\It was a matter of course that you were given an A.\It was easy.\How exceptional, as usual, Nakiri-san. response:	Instructors.
context: I'm glad to see Erina-sama doing so well.\I'm glad I summoned the courage to come to class.\It doesn't seem like Father will force me to come back, either.\Well done, Erina-sama!\It was a matter of course that you were given an A.\It was easy.\How exceptional, as usual, Nakiri-san.\Instructors. response:	Your father must be proud of you.
context: I'm glad I summoned the courage to come to class.\It doesn't seem like Father will force me to come back, either.\Well done, Erina-sama!\It was a matter of course that you were given an A.\It was easy.\How exceptional, as usual, Nakiri-san.\Instructors.\Your father must be proud of you. response:	We look forward to your future accomplishments
context: It doesn't seem like Father will force me to come back, either.\Well done, Erina-sama!\It was a matter of course that you were given an A.\It was easy.\How exceptional, as usual, Nakiri-san.\Instructors.\Your father must be proud of you.\We look forward to your future accomplishments response:	for Central and Totsuki Academy's sake.
context: Well done, Erina-sama!\It was a matter of course that you were given an A.\It was easy.\How exceptional, as usual, Nakiri-san.\Instructors.\Your father must be proud of you.\We look forward to your future accomplishments\for Central and Totsuki Academy's sake. response:	Excuse me.
context: It was a matter of course that you were given an A.\It was easy.\How exceptional, as usual, Nakiri-san.\Instructors.\Your father must be proud of you.\We look forward to your future accomplishments\for Central and Totsuki Academy's sake.\Excuse me. response:	Good job, Soma-kun!
context: It was easy.\How exceptional, as usual, Nakiri-san.\Instructors.\Your father must be proud of you.\We look forward to your future accomplishments\for Central and Totsuki Academy's sake.\Excuse me.\Good job, Soma-kun! response:	You too, Tadokoro!
context: How exceptional, as usual, Nakiri-san.\Instructors.\Your father must be proud of you.\We look forward to your future accomplishments\for Central and Totsuki Academy's sake.\Excuse me.\Good job, Soma-kun!\You too, Tadokoro! response:	That was amazing.
context: Instructors.\Your father must be proud of you.\We look forward to your future accomplishments\for Central and Totsuki Academy's sake.\Excuse me.\Good job, Soma-kun!\You too, Tadokoro!\That was amazing. response:	You handled all that work with ease.
context: Your father must be proud of you.\We look forward to your future accomplishments\for Central and Totsuki Academy's sake.\Excuse me.\Good job, Soma-kun!\You too, Tadokoro!\That was amazing.\You handled all that work with ease. response:	Well, I wouldn't call it with ease.
context: We look forward to your future accomplishments\for Central and Totsuki Academy's sake.\Excuse me.\Good job, Soma-kun!\You too, Tadokoro!\That was amazing.\You handled all that work with ease.\Well, I wouldn't call it with ease. response:	Central's not too shabby, either.
context: for Central and Totsuki Academy's sake.\Excuse me.\Good job, Soma-kun!\You too, Tadokoro!\That was amazing.\You handled all that work with ease.\Well, I wouldn't call it with ease.\Central's not too shabby, either. response:	Hm?
context: Excuse me.\Good job, Soma-kun!\You too, Tadokoro!\That was amazing.\You handled all that work with ease.\Well, I wouldn't call it with ease.\Central's not too shabby, either.\Hm? response:	Now that I'm actually thinking about it,
context: Good job, Soma-kun!\You too, Tadokoro!\That was amazing.\You handled all that work with ease.\Well, I wouldn't call it with ease.\Central's not too shabby, either.\Hm?\Now that I'm actually thinking about it, response:	didn't I just help Central?
context: You too, Tadokoro!\That was amazing.\You handled all that work with ease.\Well, I wouldn't call it with ease.\Central's not too shabby, either.\Hm?\Now that I'm actually thinking about it,\didn't I just help Central? response:	The hell am I doing?
context: That was amazing.\You handled all that work with ease.\Well, I wouldn't call it with ease.\Central's not too shabby, either.\Hm?\Now that I'm actually thinking about it,\didn't I just help Central?\The hell am I doing? response:	Regional Cooking RS
context: You handled all that work with ease.\Well, I wouldn't call it with ease.\Central's not too shabby, either.\Hm?\Now that I'm actually thinking about it,\didn't I just help Central?\The hell am I doing?\Regional Cooking RS response:	will be in the next round of survivor hunt Shokugekis!
context: Well, I wouldn't call it with ease.\Central's not too shabby, either.\Hm?\Now that I'm actually thinking about it,\didn't I just help Central?\The hell am I doing?\Regional Cooking RS\will be in the next round of survivor hunt Shokugekis! response:	Really?
context: Central's not too shabby, either.\Hm?\Now that I'm actually thinking about it,\didn't I just help Central?\The hell am I doing?\Regional Cooking RS\will be in the next round of survivor hunt Shokugekis!\Really? response:	I'm going to go call the chief!
context: Hm?\Now that I'm actually thinking about it,\didn't I just help Central?\The hell am I doing?\Regional Cooking RS\will be in the next round of survivor hunt Shokugekis!\Really?\I'm going to go call the chief! response:	Okay!
context: Now that I'm actually thinking about it,\didn't I just help Central?\The hell am I doing?\Regional Cooking RS\will be in the next round of survivor hunt Shokugekis!\Really?\I'm going to go call the chief!\Okay! response:	Huh?
context: didn't I just help Central?\The hell am I doing?\Regional Cooking RS\will be in the next round of survivor hunt Shokugekis!\Really?\I'm going to go call the chief!\Okay!\Huh? response:	Whoa!
context: The hell am I doing?\Regional Cooking RS\will be in the next round of survivor hunt Shokugekis!\Really?\I'm going to go call the chief!\Okay!\Huh?\Whoa! response:	You're still here, Tsukasa-senpai?!
context: Regional Cooking RS\will be in the next round of survivor hunt Shokugekis!\Really?\I'm going to go call the chief!\Okay!\Huh?\Whoa!\You're still here, Tsukasa-senpai?! response:	Oh, I'd been wound up so tight
context: will be in the next round of survivor hunt Shokugekis!\Really?\I'm going to go call the chief!\Okay!\Huh?\Whoa!\You're still here, Tsukasa-senpai?!\Oh, I'd been wound up so tight response:	that once the class was over,
context: Really?\I'm going to go call the chief!\Okay!\Huh?\Whoa!\You're still here, Tsukasa-senpai?!\Oh, I'd been wound up so tight\that once the class was over, response:	I lost all my tension.
context: I'm going to go call the chief!\Okay!\Huh?\Whoa!\You're still here, Tsukasa-senpai?!\Oh, I'd been wound up so tight\that once the class was over,\I lost all my tension. response:	That was really scary,
context: Okay!\Huh?\Whoa!\You're still here, Tsukasa-senpai?!\Oh, I'd been wound up so tight\that once the class was over,\I lost all my tension.\That was really scary, response:	being asked to cook in front of so many students.
context: Huh?\Whoa!\You're still here, Tsukasa-senpai?!\Oh, I'd been wound up so tight\that once the class was over,\I lost all my tension.\That was really scary,\being asked to cook in front of so many students. response:	To think, I might've forgotten to tell them something important.
context: Whoa!\You're still here, Tsukasa-senpai?!\Oh, I'd been wound up so tight\that once the class was over,\I lost all my tension.\That was really scary,\being asked to cook in front of so many students.\To think, I might've forgotten to tell them something important. response:	I wonder if Rindo's going to get mad at me again
context: You're still here, Tsukasa-senpai?!\Oh, I'd been wound up so tight\that once the class was over,\I lost all my tension.\That was really scary,\being asked to cook in front of so many students.\To think, I might've forgotten to tell them something important.\I wonder if Rindo's going to get mad at me again response:	for sounding so unsure of myself.
