context: That Sunday... I... response:	What made you want to come to the park all of a sudden, Emi?
context: Tsubaki... I'm in the middle of a lesson with my mom.\Whaaat? Not again?\Huh?\How'd you get that welt?\I was in a hurry, and I bumped my arm.\You really are a klutz, aren't you?\Kousei, hurry back now!\Whoa, that scared me! response:	Sorry, my mom's calling me, Tsubaki. Ask me another time?
context: Whaaat? Not again?\Huh?\How'd you get that welt?\I was in a hurry, and I bumped my arm.\You really are a klutz, aren't you?\Kousei, hurry back now!\Whoa, that scared me!\Sorry, my mom's calling me, Tsubaki. Ask me another time? response:	Sure. Okay, then, good luck!
context: Huh?\How'd you get that welt?\I was in a hurry, and I bumped my arm.\You really are a klutz, aren't you?\Kousei, hurry back now!\Whoa, that scared me!\Sorry, my mom's calling me, Tsubaki. Ask me another time?\Sure. Okay, then, good luck! response:	Chelsea
context: How'd you get that welt?\I was in a hurry, and I bumped my arm.\You really are a klutz, aren't you?\Kousei, hurry back now!\Whoa, that scared me!\Sorry, my mom's calling me, Tsubaki. Ask me another time?\Sure. Okay, then, good luck!\Chelsea response:	Sit yourself down.
context: I was in a hurry, and I bumped my arm.\You really are a klutz, aren't you?\Kousei, hurry back now!\Whoa, that scared me!\Sorry, my mom's calling me, Tsubaki. Ask me another time?\Sure. Okay, then, good luck!\Chelsea\Sit yourself down. response:	All right, let's begin, Kousei.
context: You really are a klutz, aren't you?\Kousei, hurry back now!\Whoa, that scared me!\Sorry, my mom's calling me, Tsubaki. Ask me another time?\Sure. Okay, then, good luck!\Chelsea\Sit yourself down.\All right, let's begin, Kousei. response:	No running in the halls.
context: Kousei, hurry back now!\Whoa, that scared me!\Sorry, my mom's calling me, Tsubaki. Ask me another time?\Sure. Okay, then, good luck!\Chelsea\Sit yourself down.\All right, let's begin, Kousei.\No running in the halls. response:	Okay!
context: Whoa, that scared me!\Sorry, my mom's calling me, Tsubaki. Ask me another time?\Sure. Okay, then, good luck!\Chelsea\Sit yourself down.\All right, let's begin, Kousei.\No running in the halls.\Okay! response:	I brought you your laundry, Mom.
context: Sorry, my mom's calling me, Tsubaki. Ask me another time?\Sure. Okay, then, good luck!\Chelsea\Sit yourself down.\All right, let's begin, Kousei.\No running in the halls.\Okay!\I brought you your laundry, Mom. response:	Oh, Kousei.
context: Sure. Okay, then, good luck!\Chelsea\Sit yourself down.\All right, let's begin, Kousei.\No running in the halls.\Okay!\I brought you your laundry, Mom.\Oh, Kousei. response:	How did it go? The Nagai Memorial Competition?
context: Chelsea\Sit yourself down.\All right, let's begin, Kousei.\No running in the halls.\Okay!\I brought you your laundry, Mom.\Oh, Kousei.\How did it go? The Nagai Memorial Competition? response:	I got first place.
context: Sit yourself down.\All right, let's begin, Kousei.\No running in the halls.\Okay!\I brought you your laundry, Mom.\Oh, Kousei.\How did it go? The Nagai Memorial Competition?\I got first place. response:	Here's the certificate.
context: All right, let's begin, Kousei.\No running in the halls.\Okay!\I brought you your laundry, Mom.\Oh, Kousei.\How did it go? The Nagai Memorial Competition?\I got first place.\Here's the certificate. response:	But Haydn's given you such trouble.
context: No running in the halls.\Okay!\I brought you your laundry, Mom.\Oh, Kousei.\How did it go? The Nagai Memorial Competition?\I got first place.\Here's the certificate.\But Haydn's given you such trouble. response:	I practiced a ton!
context: Okay!\I brought you your laundry, Mom.\Oh, Kousei.\How did it go? The Nagai Memorial Competition?\I got first place.\Here's the certificate.\But Haydn's given you such trouble.\I practiced a ton! response:	Good for you.
context: I brought you your laundry, Mom.\Oh, Kousei.\How did it go? The Nagai Memorial Competition?\I got first place.\Here's the certificate.\But Haydn's given you such trouble.\I practiced a ton!\Good for you. response:	That makes me feel better.
context: Oh, Kousei.\How did it go? The Nagai Memorial Competition?\I got first place.\Here's the certificate.\But Haydn's given you such trouble.\I practiced a ton!\Good for you.\That makes me feel better. response:	Your achievements are the best medicine for me, Kousei.
context: How did it go? The Nagai Memorial Competition?\I got first place.\Here's the certificate.\But Haydn's given you such trouble.\I practiced a ton!\Good for you.\That makes me feel better.\Your achievements are the best medicine for me, Kousei. response:	Well, I'll take first place again! If it makes you better, Mom,
context: I got first place.\Here's the certificate.\But Haydn's given you such trouble.\I practiced a ton!\Good for you.\That makes me feel better.\Your achievements are the best medicine for me, Kousei.\Well, I'll take first place again! If it makes you better, Mom, response:	I'll take first place as many times as you want.
context: Here's the certificate.\But Haydn's given you such trouble.\I practiced a ton!\Good for you.\That makes me feel better.\Your achievements are the best medicine for me, Kousei.\Well, I'll take first place again! If it makes you better, Mom,\I'll take first place as many times as you want. response:	So...
context: But Haydn's given you such trouble.\I practiced a ton!\Good for you.\That makes me feel better.\Your achievements are the best medicine for me, Kousei.\Well, I'll take first place again! If it makes you better, Mom,\I'll take first place as many times as you want.\So... response:	What's the matter?
context: I practiced a ton!\Good for you.\That makes me feel better.\Your achievements are the best medicine for me, Kousei.\Well, I'll take first place again! If it makes you better, Mom,\I'll take first place as many times as you want.\So...\What's the matter? response:	He's standing still?
context: Good for you.\That makes me feel better.\Your achievements are the best medicine for me, Kousei.\Well, I'll take first place again! If it makes you better, Mom,\I'll take first place as many times as you want.\So...\What's the matter?\He's standing still? response:	Don't waver. Don't be afraid.
context: That makes me feel better.\Your achievements are the best medicine for me, Kousei.\Well, I'll take first place again! If it makes you better, Mom,\I'll take first place as many times as you want.\So...\What's the matter?\He's standing still?\Don't waver. Don't be afraid. response:	Dammit, it's overpowering me!
context: Your achievements are the best medicine for me, Kousei.\Well, I'll take first place again! If it makes you better, Mom,\I'll take first place as many times as you want.\So...\What's the matter?\He's standing still?\Don't waver. Don't be afraid.\Dammit, it's overpowering me! response:	We're all afraid, you know.
context: Well, I'll take first place again! If it makes you better, Mom,\I'll take first place as many times as you want.\So...\What's the matter?\He's standing still?\Don't waver. Don't be afraid.\Dammit, it's overpowering me!\We're all afraid, you know. response:	Go on!
context: I'll take first place as many times as you want.\So...\What's the matter?\He's standing still?\Don't waver. Don't be afraid.\Dammit, it's overpowering me!\We're all afraid, you know.\Go on! response:	Go on!
context: So...\What's the matter?\He's standing still?\Don't waver. Don't be afraid.\Dammit, it's overpowering me!\We're all afraid, you know.\Go on!\Go on! response:	Go on!
context: What's the matter?\He's standing still?\Don't waver. Don't be afraid.\Dammit, it's overpowering me!\We're all afraid, you know.\Go on!\Go on!\Go on! response:	Go on!
context: He's standing still?\Don't waver. Don't be afraid.\Dammit, it's overpowering me!\We're all afraid, you know.\Go on!\Go on!\Go on!\Go on! response:	There's Kousei, under the spotlight again.
context: Don't waver. Don't be afraid.\Dammit, it's overpowering me!\We're all afraid, you know.\Go on!\Go on!\Go on!\Go on!\There's Kousei, under the spotlight again. response:	He's back.
context: Dammit, it's overpowering me!\We're all afraid, you know.\Go on!\Go on!\Go on!\Go on!\There's Kousei, under the spotlight again.\He's back. response:	The invincible one, the pianist who's a breed apart.
context: We're all afraid, you know.\Go on!\Go on!\Go on!\Go on!\There's Kousei, under the spotlight again.\He's back.\The invincible one, the pianist who's a breed apart. response:	The one I looked up to...
context: Go on!\Go on!\Go on!\Go on!\There's Kousei, under the spotlight again.\He's back.\The invincible one, the pianist who's a breed apart.\The one I looked up to... response:	Kousei Arima.
context: Go on!\Go on!\Go on!\There's Kousei, under the spotlight again.\He's back.\The invincible one, the pianist who's a breed apart.\The one I looked up to...\Kousei Arima. response:	He's back... His unmatched accuracy. His playing - like a mirror image of the score.
context: Go on!\Go on!\There's Kousei, under the spotlight again.\He's back.\The invincible one, the pianist who's a breed apart.\The one I looked up to...\Kousei Arima.\He's back... His unmatched accuracy. His playing - like a mirror image of the score. response:	The stainless steel-like piano inaccessible to the rest of us.
context: Go on!\There's Kousei, under the spotlight again.\He's back.\The invincible one, the pianist who's a breed apart.\The one I looked up to...\Kousei Arima.\He's back... His unmatched accuracy. His playing - like a mirror image of the score.\The stainless steel-like piano inaccessible to the rest of us. response:	This is the Kousei Arima of two years ago.
context: There's Kousei, under the spotlight again.\He's back.\The invincible one, the pianist who's a breed apart.\The one I looked up to...\Kousei Arima.\He's back... His unmatched accuracy. His playing - like a mirror image of the score.\The stainless steel-like piano inaccessible to the rest of us.\This is the Kousei Arima of two years ago. response:	I can hear the notes.
context: He's back.\The invincible one, the pianist who's a breed apart.\The one I looked up to...\Kousei Arima.\He's back... His unmatched accuracy. His playing - like a mirror image of the score.\The stainless steel-like piano inaccessible to the rest of us.\This is the Kousei Arima of two years ago.\I can hear the notes. response:	My fingers are moving. I can play the score exactly as I've memorized it.
context: The invincible one, the pianist who's a breed apart.\The one I looked up to...\Kousei Arima.\He's back... His unmatched accuracy. His playing - like a mirror image of the score.\The stainless steel-like piano inaccessible to the rest of us.\This is the Kousei Arima of two years ago.\I can hear the notes.\My fingers are moving. I can play the score exactly as I've memorized it. response:	I can play on the strength of my muscle memory.
context: The one I looked up to...\Kousei Arima.\He's back... His unmatched accuracy. His playing - like a mirror image of the score.\The stainless steel-like piano inaccessible to the rest of us.\This is the Kousei Arima of two years ago.\I can hear the notes.\My fingers are moving. I can play the score exactly as I've memorized it.\I can play on the strength of my muscle memory. response:	How does the real you want to play this?
context: Kousei Arima.\He's back... His unmatched accuracy. His playing - like a mirror image of the score.\The stainless steel-like piano inaccessible to the rest of us.\This is the Kousei Arima of two years ago.\I can hear the notes.\My fingers are moving. I can play the score exactly as I've memorized it.\I can play on the strength of my muscle memory.\How does the real you want to play this? response:	This is no different than how I've always played.
context: He's back... His unmatched accuracy. His playing - like a mirror image of the score.\The stainless steel-like piano inaccessible to the rest of us.\This is the Kousei Arima of two years ago.\I can hear the notes.\My fingers are moving. I can play the score exactly as I've memorized it.\I can play on the strength of my muscle memory.\How does the real you want to play this?\This is no different than how I've always played. response:	That's how it should be.
context: The stainless steel-like piano inaccessible to the rest of us.\This is the Kousei Arima of two years ago.\I can hear the notes.\My fingers are moving. I can play the score exactly as I've memorized it.\I can play on the strength of my muscle memory.\How does the real you want to play this?\This is no different than how I've always played.\That's how it should be. response:	A musician should be a mirror that reflects the score.
context: This is the Kousei Arima of two years ago.\I can hear the notes.\My fingers are moving. I can play the score exactly as I've memorized it.\I can play on the strength of my muscle memory.\How does the real you want to play this?\This is no different than how I've always played.\That's how it should be.\A musician should be a mirror that reflects the score. response:	Besides, you can't win unless you do it this way.
context: I can hear the notes.\My fingers are moving. I can play the score exactly as I've memorized it.\I can play on the strength of my muscle memory.\How does the real you want to play this?\This is no different than how I've always played.\That's how it should be.\A musician should be a mirror that reflects the score.\Besides, you can't win unless you do it this way. response:	You're going to get first place for me again, aren't you, Kousei?
context: My fingers are moving. I can play the score exactly as I've memorized it.\I can play on the strength of my muscle memory.\How does the real you want to play this?\This is no different than how I've always played.\That's how it should be.\A musician should be a mirror that reflects the score.\Besides, you can't win unless you do it this way.\You're going to get first place for me again, aren't you, Kousei? response:	You were playing the piano this morning again?
context: I can play on the strength of my muscle memory.\How does the real you want to play this?\This is no different than how I've always played.\That's how it should be.\A musician should be a mirror that reflects the score.\Besides, you can't win unless you do it this way.\You're going to get first place for me again, aren't you, Kousei?\You were playing the piano this morning again? response:	I came to buy food.
context: How does the real you want to play this?\This is no different than how I've always played.\That's how it should be.\A musician should be a mirror that reflects the score.\Besides, you can't win unless you do it this way.\You're going to get first place for me again, aren't you, Kousei?\You were playing the piano this morning again?\I came to buy food. response:	Since my dad's away on business, it's for me and my mom.
context: This is no different than how I've always played.\That's how it should be.\A musician should be a mirror that reflects the score.\Besides, you can't win unless you do it this way.\You're going to get first place for me again, aren't you, Kousei?\You were playing the piano this morning again?\I came to buy food.\Since my dad's away on business, it's for me and my mom. response:	Hey, it's just egg sandwiches!
context: That's how it should be.\A musician should be a mirror that reflects the score.\Besides, you can't win unless you do it this way.\You're going to get first place for me again, aren't you, Kousei?\You were playing the piano this morning again?\I came to buy food.\Since my dad's away on business, it's for me and my mom.\Hey, it's just egg sandwiches! response:	That's not very healthy.
context: A musician should be a mirror that reflects the score.\Besides, you can't win unless you do it this way.\You're going to get first place for me again, aren't you, Kousei?\You were playing the piano this morning again?\I came to buy food.\Since my dad's away on business, it's for me and my mom.\Hey, it's just egg sandwiches!\That's not very healthy. response:	Well, she won't let me use a knife.
context: Besides, you can't win unless you do it this way.\You're going to get first place for me again, aren't you, Kousei?\You were playing the piano this morning again?\I came to buy food.\Since my dad's away on business, it's for me and my mom.\Hey, it's just egg sandwiches!\That's not very healthy.\Well, she won't let me use a knife. response:	I'll bring you something to eat.
context: You're going to get first place for me again, aren't you, Kousei?\You were playing the piano this morning again?\I came to buy food.\Since my dad's away on business, it's for me and my mom.\Hey, it's just egg sandwiches!\That's not very healthy.\Well, she won't let me use a knife.\I'll bring you something to eat. response:	We have oden leftover from yesterday.
context: You were playing the piano this morning again?\I came to buy food.\Since my dad's away on business, it's for me and my mom.\Hey, it's just egg sandwiches!\That's not very healthy.\Well, she won't let me use a knife.\I'll bring you something to eat.\We have oden leftover from yesterday. response:	How's your mom doing, Kousei?
context: I came to buy food.\Since my dad's away on business, it's for me and my mom.\Hey, it's just egg sandwiches!\That's not very healthy.\Well, she won't let me use a knife.\I'll bring you something to eat.\We have oden leftover from yesterday.\How's your mom doing, Kousei? response:	My mom said she hasn't been feeling well.
context: Since my dad's away on business, it's for me and my mom.\Hey, it's just egg sandwiches!\That's not very healthy.\Well, she won't let me use a knife.\I'll bring you something to eat.\We have oden leftover from yesterday.\How's your mom doing, Kousei?\My mom said she hasn't been feeling well. response:	She's going to be hospitalized soon.
context: Hey, it's just egg sandwiches!\That's not very healthy.\Well, she won't let me use a knife.\I'll bring you something to eat.\We have oden leftover from yesterday.\How's your mom doing, Kousei?\My mom said she hasn't been feeling well.\She's going to be hospitalized soon. response:	But why?
context: That's not very healthy.\Well, she won't let me use a knife.\I'll bring you something to eat.\We have oden leftover from yesterday.\How's your mom doing, Kousei?\My mom said she hasn't been feeling well.\She's going to be hospitalized soon.\But why? response:	I'm sure...
context: Well, she won't let me use a knife.\I'll bring you something to eat.\We have oden leftover from yesterday.\How's your mom doing, Kousei?\My mom said she hasn't been feeling well.\She's going to be hospitalized soon.\But why?\I'm sure... response:	It's all my fault.
context: I'll bring you something to eat.\We have oden leftover from yesterday.\How's your mom doing, Kousei?\My mom said she hasn't been feeling well.\She's going to be hospitalized soon.\But why?\I'm sure...\It's all my fault. response:	Huh?
context: We have oden leftover from yesterday.\How's your mom doing, Kousei?\My mom said she hasn't been feeling well.\She's going to be hospitalized soon.\But why?\I'm sure...\It's all my fault.\Huh? response:	What?
context: How's your mom doing, Kousei?\My mom said she hasn't been feeling well.\She's going to be hospitalized soon.\But why?\I'm sure...\It's all my fault.\Huh?\What? response:	Oh, nothing.
context: My mom said she hasn't been feeling well.\She's going to be hospitalized soon.\But why?\I'm sure...\It's all my fault.\Huh?\What?\Oh, nothing. response:	My mom got mad because I couldn't play the way she told me to, and she ruined her health.
context: She's going to be hospitalized soon.\But why?\I'm sure...\It's all my fault.\Huh?\What?\Oh, nothing.\My mom got mad because I couldn't play the way she told me to, and she ruined her health. response:	So I'm gonna take first place,
context: But why?\I'm sure...\It's all my fault.\Huh?\What?\Oh, nothing.\My mom got mad because I couldn't play the way she told me to, and she ruined her health.\So I'm gonna take first place, response:	and make her well again.
context: I'm sure...\It's all my fault.\Huh?\What?\Oh, nothing.\My mom got mad because I couldn't play the way she told me to, and she ruined her health.\So I'm gonna take first place,\and make her well again. response:	First Place - Arima Kousei
context: It's all my fault.\Huh?\What?\Oh, nothing.\My mom got mad because I couldn't play the way she told me to, and she ruined her health.\So I'm gonna take first place,\and make her well again.\First Place - Arima Kousei response:	Kousei Arima - The Child Prodigy
context: Huh?\What?\Oh, nothing.\My mom got mad because I couldn't play the way she told me to, and she ruined her health.\So I'm gonna take first place,\and make her well again.\First Place - Arima Kousei\Kousei Arima - The Child Prodigy response:	Arima's in first again?
context: What?\Oh, nothing.\My mom got mad because I couldn't play the way she told me to, and she ruined her health.\So I'm gonna take first place,\and make her well again.\First Place - Arima Kousei\Kousei Arima - The Child Prodigy\Arima's in first again? response:	The Human Metronome, huh?
context: Oh, nothing.\My mom got mad because I couldn't play the way she told me to, and she ruined her health.\So I'm gonna take first place,\and make her well again.\First Place - Arima Kousei\Kousei Arima - The Child Prodigy\Arima's in first again?\The Human Metronome, huh? response:	Just go overseas already!
context: My mom got mad because I couldn't play the way she told me to, and she ruined her health.\So I'm gonna take first place,\and make her well again.\First Place - Arima Kousei\Kousei Arima - The Child Prodigy\Arima's in first again?\The Human Metronome, huh?\Just go overseas already! response:	Bland and innocuous.
context: So I'm gonna take first place,\and make her well again.\First Place - Arima Kousei\Kousei Arima - The Child Prodigy\Arima's in first again?\The Human Metronome, huh?\Just go overseas already!\Bland and innocuous. response:	He's so in my way!
context: and make her well again.\First Place - Arima Kousei\Kousei Arima - The Child Prodigy\Arima's in first again?\The Human Metronome, huh?\Just go overseas already!\Bland and innocuous.\He's so in my way! response:	And he's nothing but his mother's puppet!
context: First Place - Arima Kousei\Kousei Arima - The Child Prodigy\Arima's in first again?\The Human Metronome, huh?\Just go overseas already!\Bland and innocuous.\He's so in my way!\And he's nothing but his mother's puppet! response:	Shut up, shut up!
context: Kousei Arima - The Child Prodigy\Arima's in first again?\The Human Metronome, huh?\Just go overseas already!\Bland and innocuous.\He's so in my way!\And he's nothing but his mother's puppet!\Shut up, shut up! response:	None of you know what you're talking about.
context: Arima's in first again?\The Human Metronome, huh?\Just go overseas already!\Bland and innocuous.\He's so in my way!\And he's nothing but his mother's puppet!\Shut up, shut up!\None of you know what you're talking about. response:	I'm the only one who's on Mom's side.
context: The Human Metronome, huh?\Just go overseas already!\Bland and innocuous.\He's so in my way!\And he's nothing but his mother's puppet!\Shut up, shut up!\None of you know what you're talking about.\I'm the only one who's on Mom's side. response:	Next time, my mom's coming from the hospital to see me perform.
context: Just go overseas already!\Bland and innocuous.\He's so in my way!\And he's nothing but his mother's puppet!\Shut up, shut up!\None of you know what you're talking about.\I'm the only one who's on Mom's side.\Next time, my mom's coming from the hospital to see me perform. response:	Oh, really?
context: Bland and innocuous.\He's so in my way!\And he's nothing but his mother's puppet!\Shut up, shut up!\None of you know what you're talking about.\I'm the only one who's on Mom's side.\Next time, my mom's coming from the hospital to see me perform.\Oh, really? response:	So your mom's recovered now? That's great!
context: He's so in my way!\And he's nothing but his mother's puppet!\Shut up, shut up!\None of you know what you're talking about.\I'm the only one who's on Mom's side.\Next time, my mom's coming from the hospital to see me perform.\Oh, really?\So your mom's recovered now? That's great! response:	I bet it's all thanks to that visit from handsome me.
context: And he's nothing but his mother's puppet!\Shut up, shut up!\None of you know what you're talking about.\I'm the only one who's on Mom's side.\Next time, my mom's coming from the hospital to see me perform.\Oh, really?\So your mom's recovered now? That's great!\I bet it's all thanks to that visit from handsome me. response:	And my candy erasers!
context: Shut up, shut up!\None of you know what you're talking about.\I'm the only one who's on Mom's side.\Next time, my mom's coming from the hospital to see me perform.\Oh, really?\So your mom's recovered now? That's great!\I bet it's all thanks to that visit from handsome me.\And my candy erasers! response:	Well, I don't think Kousei's mom knew what to do with them.
context: None of you know what you're talking about.\I'm the only one who's on Mom's side.\Next time, my mom's coming from the hospital to see me perform.\Oh, really?\So your mom's recovered now? That's great!\I bet it's all thanks to that visit from handsome me.\And my candy erasers!\Well, I don't think Kousei's mom knew what to do with them. response:	The entrance on the left side, facing the audience.
context: I'm the only one who's on Mom's side.\Next time, my mom's coming from the hospital to see me perform.\Oh, really?\So your mom's recovered now? That's great!\I bet it's all thanks to that visit from handsome me.\And my candy erasers!\Well, I don't think Kousei's mom knew what to do with them.\The entrance on the left side, facing the audience. response:	A spot where I can see her. That's my mom's special seat.
context: Next time, my mom's coming from the hospital to see me perform.\Oh, really?\So your mom's recovered now? That's great!\I bet it's all thanks to that visit from handsome me.\And my candy erasers!\Well, I don't think Kousei's mom knew what to do with them.\The entrance on the left side, facing the audience.\A spot where I can see her. That's my mom's special seat. response:	Mom's here today.
context: Oh, really?\So your mom's recovered now? That's great!\I bet it's all thanks to that visit from handsome me.\And my candy erasers!\Well, I don't think Kousei's mom knew what to do with them.\The entrance on the left side, facing the audience.\A spot where I can see her. That's my mom's special seat.\Mom's here today. response:	Right. Thanks.
context: So your mom's recovered now? That's great!\I bet it's all thanks to that visit from handsome me.\And my candy erasers!\Well, I don't think Kousei's mom knew what to do with them.\The entrance on the left side, facing the audience.\A spot where I can see her. That's my mom's special seat.\Mom's here today.\Right. Thanks. response:	So you see,
context: I bet it's all thanks to that visit from handsome me.\And my candy erasers!\Well, I don't think Kousei's mom knew what to do with them.\The entrance on the left side, facing the audience.\A spot where I can see her. That's my mom's special seat.\Mom's here today.\Right. Thanks.\So you see, response:	in order to make Mom well again,
context: And my candy erasers!\Well, I don't think Kousei's mom knew what to do with them.\The entrance on the left side, facing the audience.\A spot where I can see her. That's my mom's special seat.\Mom's here today.\Right. Thanks.\So you see,\in order to make Mom well again, response:	in order to make her happy,
context: Well, I don't think Kousei's mom knew what to do with them.\The entrance on the left side, facing the audience.\A spot where I can see her. That's my mom's special seat.\Mom's here today.\Right. Thanks.\So you see,\in order to make Mom well again,\in order to make her happy, response:	I'm gonna play my very best as a gift for her!
context: The entrance on the left side, facing the audience.\A spot where I can see her. That's my mom's special seat.\Mom's here today.\Right. Thanks.\So you see,\in order to make Mom well again,\in order to make her happy,\I'm gonna play my very best as a gift for her! response:	What are you doing, Saki?
context: A spot where I can see her. That's my mom's special seat.\Mom's here today.\Right. Thanks.\So you see,\in order to make Mom well again,\in order to make her happy,\I'm gonna play my very best as a gift for her!\What are you doing, Saki? response:	Just what do you call that performance?
context: Mom's here today.\Right. Thanks.\So you see,\in order to make Mom well again,\in order to make her happy,\I'm gonna play my very best as a gift for her!\What are you doing, Saki?\Just what do you call that performance? response:	How many times have I told you to review the score?
context: Right. Thanks.\So you see,\in order to make Mom well again,\in order to make her happy,\I'm gonna play my very best as a gift for her!\What are you doing, Saki?\Just what do you call that performance?\How many times have I told you to review the score? response:	You idiot!
context: So you see,\in order to make Mom well again,\in order to make her happy,\I'm gonna play my very best as a gift for her!\What are you doing, Saki?\Just what do you call that performance?\How many times have I told you to review the score?\You idiot! response:	Stop it, Saki!
context: in order to make Mom well again,\in order to make her happy,\I'm gonna play my very best as a gift for her!\What are you doing, Saki?\Just what do you call that performance?\How many times have I told you to review the score?\You idiot!\Stop it, Saki! response:	Too harsh...
context: in order to make her happy,\I'm gonna play my very best as a gift for her!\What are you doing, Saki?\Just what do you call that performance?\How many times have I told you to review the score?\You idiot!\Stop it, Saki!\Too harsh... response:	But I've never heard Arima-kun play better...
context: I'm gonna play my very best as a gift for her!\What are you doing, Saki?\Just what do you call that performance?\How many times have I told you to review the score?\You idiot!\Stop it, Saki!\Too harsh...\But I've never heard Arima-kun play better... response:	Misplaying both the third and eleventh measures!
context: What are you doing, Saki?\Just what do you call that performance?\How many times have I told you to review the score?\You idiot!\Stop it, Saki!\Too harsh...\But I've never heard Arima-kun play better...\Misplaying both the third and eleventh measures! response:	I'm going to get one of the staff.
context: Just what do you call that performance?\How many times have I told you to review the score?\You idiot!\Stop it, Saki!\Too harsh...\But I've never heard Arima-kun play better...\Misplaying both the third and eleventh measures!\I'm going to get one of the staff. response:	You make mistakes like that because you're drowning in your own emotions!
context: How many times have I told you to review the score?\You idiot!\Stop it, Saki!\Too harsh...\But I've never heard Arima-kun play better...\Misplaying both the third and eleventh measures!\I'm going to get one of the staff.\You make mistakes like that because you're drowning in your own emotions! response:	You're not going to bed until you can play that part.
context: You idiot!\Stop it, Saki!\Too harsh...\But I've never heard Arima-kun play better...\Misplaying both the third and eleventh measures!\I'm going to get one of the staff.\You make mistakes like that because you're drowning in your own emotions!\You're not going to bed until you can play that part. response:	Why can't you even play an easy piece like that? You're so worthless!
context: Stop it, Saki!\Too harsh...\But I've never heard Arima-kun play better...\Misplaying both the third and eleventh measures!\I'm going to get one of the staff.\You make mistakes like that because you're drowning in your own emotions!\You're not going to bed until you can play that part.\Why can't you even play an easy piece like that? You're so worthless! response:	I'm in the middle of a lesson with my mom.
context: Too harsh...\But I've never heard Arima-kun play better...\Misplaying both the third and eleventh measures!\I'm going to get one of the staff.\You make mistakes like that because you're drowning in your own emotions!\You're not going to bed until you can play that part.\Why can't you even play an easy piece like that? You're so worthless!\I'm in the middle of a lesson with my mom. response:	Whaaat?
context: But I've never heard Arima-kun play better...\Misplaying both the third and eleventh measures!\I'm going to get one of the staff.\You make mistakes like that because you're drowning in your own emotions!\You're not going to bed until you can play that part.\Why can't you even play an easy piece like that? You're so worthless!\I'm in the middle of a lesson with my mom.\Whaaat? response:	Messing up the same part!
context: Misplaying both the third and eleventh measures!\I'm going to get one of the staff.\You make mistakes like that because you're drowning in your own emotions!\You're not going to bed until you can play that part.\Why can't you even play an easy piece like that? You're so worthless!\I'm in the middle of a lesson with my mom.\Whaaat?\Messing up the same part! response:	That kid's covered with bruises.
context: I'm going to get one of the staff.\You make mistakes like that because you're drowning in your own emotions!\You're not going to bed until you can play that part.\Why can't you even play an easy piece like that? You're so worthless!\I'm in the middle of a lesson with my mom.\Whaaat?\Messing up the same part!\That kid's covered with bruises. response:	That's why he always wears long sleeves.
context: You make mistakes like that because you're drowning in your own emotions!\You're not going to bed until you can play that part.\Why can't you even play an easy piece like that? You're so worthless!\I'm in the middle of a lesson with my mom.\Whaaat?\Messing up the same part!\That kid's covered with bruises.\That's why he always wears long sleeves. response:	Who'd be that harsh with a kid?
context: You're not going to bed until you can play that part.\Why can't you even play an easy piece like that? You're so worthless!\I'm in the middle of a lesson with my mom.\Whaaat?\Messing up the same part!\That kid's covered with bruises.\That's why he always wears long sleeves.\Who'd be that harsh with a kid? response:	She's a monster.
context: Why can't you even play an easy piece like that? You're so worthless!\I'm in the middle of a lesson with my mom.\Whaaat?\Messing up the same part!\That kid's covered with bruises.\That's why he always wears long sleeves.\Who'd be that harsh with a kid?\She's a monster. response:	How dare you throw that score - you should be ashamed of yourself!
context: I'm in the middle of a lesson with my mom.\Whaaat?\Messing up the same part!\That kid's covered with bruises.\That's why he always wears long sleeves.\Who'd be that harsh with a kid?\She's a monster.\How dare you throw that score - you should be ashamed of yourself! response:	All I wanted was for you to be happy.
context: Whaaat?\Messing up the same part!\That kid's covered with bruises.\That's why he always wears long sleeves.\Who'd be that harsh with a kid?\She's a monster.\How dare you throw that score - you should be ashamed of yourself!\All I wanted was for you to be happy. response:	Even when I wanted to play with Tsubaki and Watari, even when you hit me,
context: Messing up the same part!\That kid's covered with bruises.\That's why he always wears long sleeves.\Who'd be that harsh with a kid?\She's a monster.\How dare you throw that score - you should be ashamed of yourself!\All I wanted was for you to be happy.\Even when I wanted to play with Tsubaki and Watari, even when you hit me, response:	I put up with it... I put up with it, and kept practicing...
context: That kid's covered with bruises.\That's why he always wears long sleeves.\Who'd be that harsh with a kid?\She's a monster.\How dare you throw that score - you should be ashamed of yourself!\All I wanted was for you to be happy.\Even when I wanted to play with Tsubaki and Watari, even when you hit me,\I put up with it... I put up with it, and kept practicing... response:	All I wanted was for you to get better... All I wanted was for you to be happy...
context: That's why he always wears long sleeves.\Who'd be that harsh with a kid?\She's a monster.\How dare you throw that score - you should be ashamed of yourself!\All I wanted was for you to be happy.\Even when I wanted to play with Tsubaki and Watari, even when you hit me,\I put up with it... I put up with it, and kept practicing...\All I wanted was for you to get better... All I wanted was for you to be happy... response:	And yet...
context: Who'd be that harsh with a kid?\She's a monster.\How dare you throw that score - you should be ashamed of yourself!\All I wanted was for you to be happy.\Even when I wanted to play with Tsubaki and Watari, even when you hit me,\I put up with it... I put up with it, and kept practicing...\All I wanted was for you to get better... All I wanted was for you to be happy...\And yet... response:	I wish you would just die.
