context: Ladies and gentlemen, good evening. response:	There are men who sniff around the mystery that surrounds myself and my friend.
context: Thanks.\By the way, why do you think your father has managed to achieve such success?\I'd like to hear your frank opinion as one of the people closest to him.\Well, let me think...\I guess it would be his sincerity.\My father loves and worries about the country in the same way that he loves my mother deeply.\Have you heard about how my father became a hero...\After he returned to Paris, he used that as a springboard and shot up through the ranks, response:	And now he's making a bid for the presidency, huh?
context: By the way, why do you think your father has managed to achieve such success?\I'd like to hear your frank opinion as one of the people closest to him.\Well, let me think...\I guess it would be his sincerity.\My father loves and worries about the country in the same way that he loves my mother deeply.\Have you heard about how my father became a hero...\After he returned to Paris, he used that as a springboard and shot up through the ranks,\And now he's making a bid for the presidency, huh? response:	Yes. My father's enthusiasm for politics is the real deal.
context: I'd like to hear your frank opinion as one of the people closest to him.\Well, let me think...\I guess it would be his sincerity.\My father loves and worries about the country in the same way that he loves my mother deeply.\Have you heard about how my father became a hero...\After he returned to Paris, he used that as a springboard and shot up through the ranks,\And now he's making a bid for the presidency, huh?\Yes. My father's enthusiasm for politics is the real deal. response:	I see...
context: Well, let me think...\I guess it would be his sincerity.\My father loves and worries about the country in the same way that he loves my mother deeply.\Have you heard about how my father became a hero...\After he returned to Paris, he used that as a springboard and shot up through the ranks,\And now he's making a bid for the presidency, huh?\Yes. My father's enthusiasm for politics is the real deal.\I see... response:	I'm rooting for your father, too.
context: I guess it would be his sincerity.\My father loves and worries about the country in the same way that he loves my mother deeply.\Have you heard about how my father became a hero...\After he returned to Paris, he used that as a springboard and shot up through the ranks,\And now he's making a bid for the presidency, huh?\Yes. My father's enthusiasm for politics is the real deal.\I see...\I'm rooting for your father, too. response:	It's times like these when a man makes a lot of enemies. You should watch your back, too.
context: My father loves and worries about the country in the same way that he loves my mother deeply.\Have you heard about how my father became a hero...\After he returned to Paris, he used that as a springboard and shot up through the ranks,\And now he's making a bid for the presidency, huh?\Yes. My father's enthusiasm for politics is the real deal.\I see...\I'm rooting for your father, too.\It's times like these when a man makes a lot of enemies. You should watch your back, too. response:	Did something happen?
context: Have you heard about how my father became a hero...\After he returned to Paris, he used that as a springboard and shot up through the ranks,\And now he's making a bid for the presidency, huh?\Yes. My father's enthusiasm for politics is the real deal.\I see...\I'm rooting for your father, too.\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Did something happen? response:	Nah, it's nothing serious.
context: After he returned to Paris, he used that as a springboard and shot up through the ranks,\And now he's making a bid for the presidency, huh?\Yes. My father's enthusiasm for politics is the real deal.\I see...\I'm rooting for your father, too.\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Did something happen?\Nah, it's nothing serious. response:	But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips.
context: And now he's making a bid for the presidency, huh?\Yes. My father's enthusiasm for politics is the real deal.\I see...\I'm rooting for your father, too.\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Did something happen?\Nah, it's nothing serious.\But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips. response:	Tales of bribery, kickbacks, illicit affairs... You get sick of it.
context: Yes. My father's enthusiasm for politics is the real deal.\I see...\I'm rooting for your father, too.\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Did something happen?\Nah, it's nothing serious.\But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips.\Tales of bribery, kickbacks, illicit affairs... You get sick of it. response:	That's hilarious! My father isn't involved with any of that stuff.
context: I see...\I'm rooting for your father, too.\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Did something happen?\Nah, it's nothing serious.\But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips.\Tales of bribery, kickbacks, illicit affairs... You get sick of it.\That's hilarious! My father isn't involved with any of that stuff. response:	Frankly, I'm more worried that he might be a little too straight-laced to be a politician.
context: I'm rooting for your father, too.\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Did something happen?\Nah, it's nothing serious.\But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips.\Tales of bribery, kickbacks, illicit affairs... You get sick of it.\That's hilarious! My father isn't involved with any of that stuff.\Frankly, I'm more worried that he might be a little too straight-laced to be a politician. response:	You don't say...
context: It's times like these when a man makes a lot of enemies. You should watch your back, too.\Did something happen?\Nah, it's nothing serious.\But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips.\Tales of bribery, kickbacks, illicit affairs... You get sick of it.\That's hilarious! My father isn't involved with any of that stuff.\Frankly, I'm more worried that he might be a little too straight-laced to be a politician.\You don't say... response:	I'd be relieved if he ever did something like that.
context: Did something happen?\Nah, it's nothing serious.\But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips.\Tales of bribery, kickbacks, illicit affairs... You get sick of it.\That's hilarious! My father isn't involved with any of that stuff.\Frankly, I'm more worried that he might be a little too straight-laced to be a politician.\You don't say...\I'd be relieved if he ever did something like that. response:	He's a lot more shrewd than I gave him credit for.
context: Nah, it's nothing serious.\But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips.\Tales of bribery, kickbacks, illicit affairs... You get sick of it.\That's hilarious! My father isn't involved with any of that stuff.\Frankly, I'm more worried that he might be a little too straight-laced to be a politician.\You don't say...\I'd be relieved if he ever did something like that.\He's a lot more shrewd than I gave him credit for. response:	Yeah, I guess you're right. Sorry to worry you over nothing.
context: But when you deal in gossip like you do in my line of work, you get all kinds of crazy tips.\Tales of bribery, kickbacks, illicit affairs... You get sick of it.\That's hilarious! My father isn't involved with any of that stuff.\Frankly, I'm more worried that he might be a little too straight-laced to be a politician.\You don't say...\I'd be relieved if he ever did something like that.\He's a lot more shrewd than I gave him credit for.\Yeah, I guess you're right. Sorry to worry you over nothing. response:	The fact of the matter is, a fishy guy paid me a visit today.
context: Tales of bribery, kickbacks, illicit affairs... You get sick of it.\That's hilarious! My father isn't involved with any of that stuff.\Frankly, I'm more worried that he might be a little too straight-laced to be a politician.\You don't say...\I'd be relieved if he ever did something like that.\He's a lot more shrewd than I gave him credit for.\Yeah, I guess you're right. Sorry to worry you over nothing.\The fact of the matter is, a fishy guy paid me a visit today. response:	He was this creepy, sleazy old man. What did he say his name was?
context: That's hilarious! My father isn't involved with any of that stuff.\Frankly, I'm more worried that he might be a little too straight-laced to be a politician.\You don't say...\I'd be relieved if he ever did something like that.\He's a lot more shrewd than I gave him credit for.\Yeah, I guess you're right. Sorry to worry you over nothing.\The fact of the matter is, a fishy guy paid me a visit today.\He was this creepy, sleazy old man. What did he say his name was? response:	Caderousse, or something like that.
context: Frankly, I'm more worried that he might be a little too straight-laced to be a politician.\You don't say...\I'd be relieved if he ever did something like that.\He's a lot more shrewd than I gave him credit for.\Yeah, I guess you're right. Sorry to worry you over nothing.\The fact of the matter is, a fishy guy paid me a visit today.\He was this creepy, sleazy old man. What did he say his name was?\Caderousse, or something like that. response:	What did he...
context: You don't say...\I'd be relieved if he ever did something like that.\He's a lot more shrewd than I gave him credit for.\Yeah, I guess you're right. Sorry to worry you over nothing.\The fact of the matter is, a fishy guy paid me a visit today.\He was this creepy, sleazy old man. What did he say his name was?\Caderousse, or something like that.\What did he... response:	What did that man say about my father?
context: I'd be relieved if he ever did something like that.\He's a lot more shrewd than I gave him credit for.\Yeah, I guess you're right. Sorry to worry you over nothing.\The fact of the matter is, a fishy guy paid me a visit today.\He was this creepy, sleazy old man. What did he say his name was?\Caderousse, or something like that.\What did he...\What did that man say about my father? response:	Oh, some stupid story.
context: He's a lot more shrewd than I gave him credit for.\Yeah, I guess you're right. Sorry to worry you over nothing.\The fact of the matter is, a fishy guy paid me a visit today.\He was this creepy, sleazy old man. What did he say his name was?\Caderousse, or something like that.\What did he...\What did that man say about my father?\Oh, some stupid story. response:	Something about how the stories of your father's exploits at Janina are all a lie.
context: Yeah, I guess you're right. Sorry to worry you over nothing.\The fact of the matter is, a fishy guy paid me a visit today.\He was this creepy, sleazy old man. What did he say his name was?\Caderousse, or something like that.\What did he...\What did that man say about my father?\Oh, some stupid story.\Something about how the stories of your father's exploits at Janina are all a lie. response:	I told him he was full of crap and chased him away.
context: The fact of the matter is, a fishy guy paid me a visit today.\He was this creepy, sleazy old man. What did he say his name was?\Caderousse, or something like that.\What did he...\What did that man say about my father?\Oh, some stupid story.\Something about how the stories of your father's exploits at Janina are all a lie.\I told him he was full of crap and chased him away. response:	Oh...
context: He was this creepy, sleazy old man. What did he say his name was?\Caderousse, or something like that.\What did he...\What did that man say about my father?\Oh, some stupid story.\Something about how the stories of your father's exploits at Janina are all a lie.\I told him he was full of crap and chased him away.\Oh... response:	Open flames are strictly prohibited in this building.
context: Caderousse, or something like that.\What did he...\What did that man say about my father?\Oh, some stupid story.\Something about how the stories of your father's exploits at Janina are all a lie.\I told him he was full of crap and chased him away.\Oh...\Open flames are strictly prohibited in this building. response:	Please extinguish your lighter immediately.
context: What did he...\What did that man say about my father?\Oh, some stupid story.\Something about how the stories of your father's exploits at Janina are all a lie.\I told him he was full of crap and chased him away.\Oh...\Open flames are strictly prohibited in this building.\Please extinguish your lighter immediately. response:	Smoking is prohibited in this room.
context: What did that man say about my father?\Oh, some stupid story.\Something about how the stories of your father's exploits at Janina are all a lie.\I told him he was full of crap and chased him away.\Oh...\Open flames are strictly prohibited in this building.\Please extinguish your lighter immediately.\Smoking is prohibited in this room. response:	Please smoke only in designated areas.
context: Oh, some stupid story.\Something about how the stories of your father's exploits at Janina are all a lie.\I told him he was full of crap and chased him away.\Oh...\Open flames are strictly prohibited in this building.\Please extinguish your lighter immediately.\Smoking is prohibited in this room.\Please smoke only in designated areas. response:	I guess I'd better look into this...
context: Something about how the stories of your father's exploits at Janina are all a lie.\I told him he was full of crap and chased him away.\Oh...\Open flames are strictly prohibited in this building.\Please extinguish your lighter immediately.\Smoking is prohibited in this room.\Please smoke only in designated areas.\I guess I'd better look into this... response:	Step right up! Pay our establishment a visit tonight, my good gentlemen!
context: I told him he was full of crap and chased him away.\Oh...\Open flames are strictly prohibited in this building.\Please extinguish your lighter immediately.\Smoking is prohibited in this room.\Please smoke only in designated areas.\I guess I'd better look into this...\Step right up! Pay our establishment a visit tonight, my good gentlemen! response:	The dead man has come back to us!
context: Oh...\Open flames are strictly prohibited in this building.\Please extinguish your lighter immediately.\Smoking is prohibited in this room.\Please smoke only in designated areas.\I guess I'd better look into this...\Step right up! Pay our establishment a visit tonight, my good gentlemen!\The dead man has come back to us! response:	Edmond would never forget what we did, not in a million years.
context: Open flames are strictly prohibited in this building.\Please extinguish your lighter immediately.\Smoking is prohibited in this room.\Please smoke only in designated areas.\I guess I'd better look into this...\Step right up! Pay our establishment a visit tonight, my good gentlemen!\The dead man has come back to us!\Edmond would never forget what we did, not in a million years. response:	Something about how the stories of your father's exploits at Janina are all a lie.
context: Please extinguish your lighter immediately.\Smoking is prohibited in this room.\Please smoke only in designated areas.\I guess I'd better look into this...\Step right up! Pay our establishment a visit tonight, my good gentlemen!\The dead man has come back to us!\Edmond would never forget what we did, not in a million years.\Something about how the stories of your father's exploits at Janina are all a lie. response:	Disaster will come calling at your house, too!
context: Smoking is prohibited in this room.\Please smoke only in designated areas.\I guess I'd better look into this...\Step right up! Pay our establishment a visit tonight, my good gentlemen!\The dead man has come back to us!\Edmond would never forget what we did, not in a million years.\Something about how the stories of your father's exploits at Janina are all a lie.\Disaster will come calling at your house, too! response:	No, that's not possible. It couldn't be.
context: Please smoke only in designated areas.\I guess I'd better look into this...\Step right up! Pay our establishment a visit tonight, my good gentlemen!\The dead man has come back to us!\Edmond would never forget what we did, not in a million years.\Something about how the stories of your father's exploits at Janina are all a lie.\Disaster will come calling at your house, too!\No, that's not possible. It couldn't be. response:	Thank you for agreeing to speak with us.
context: I guess I'd better look into this...\Step right up! Pay our establishment a visit tonight, my good gentlemen!\The dead man has come back to us!\Edmond would never forget what we did, not in a million years.\Something about how the stories of your father's exploits at Janina are all a lie.\Disaster will come calling at your house, too!\No, that's not possible. It couldn't be.\Thank you for agreeing to speak with us. response:	First of all, Marquis Cavalcanti,
context: Step right up! Pay our establishment a visit tonight, my good gentlemen!\The dead man has come back to us!\Edmond would never forget what we did, not in a million years.\Something about how the stories of your father's exploits at Janina are all a lie.\Disaster will come calling at your house, too!\No, that's not possible. It couldn't be.\Thank you for agreeing to speak with us.\First of all, Marquis Cavalcanti, response:	What was it that made you decide on that particular bank?
context: The dead man has come back to us!\Edmond would never forget what we did, not in a million years.\Something about how the stories of your father's exploits at Janina are all a lie.\Disaster will come calling at your house, too!\No, that's not possible. It couldn't be.\Thank you for agreeing to speak with us.\First of all, Marquis Cavalcanti,\What was it that made you decide on that particular bank? response:	I leave all investment matters to my advisory analysts.
context: Edmond would never forget what we did, not in a million years.\Something about how the stories of your father's exploits at Janina are all a lie.\Disaster will come calling at your house, too!\No, that's not possible. It couldn't be.\Thank you for agreeing to speak with us.\First of all, Marquis Cavalcanti,\What was it that made you decide on that particular bank?\I leave all investment matters to my advisory analysts. response:	I abide by their decisions and follow their advice. That is the only reason.
context: Something about how the stories of your father's exploits at Janina are all a lie.\Disaster will come calling at your house, too!\No, that's not possible. It couldn't be.\Thank you for agreeing to speak with us.\First of all, Marquis Cavalcanti,\What was it that made you decide on that particular bank?\I leave all investment matters to my advisory analysts.\I abide by their decisions and follow their advice. That is the only reason. response:	There are also rumors that you have been seeing Baron Danglars' daughter.
context: Disaster will come calling at your house, too!\No, that's not possible. It couldn't be.\Thank you for agreeing to speak with us.\First of all, Marquis Cavalcanti,\What was it that made you decide on that particular bank?\I leave all investment matters to my advisory analysts.\I abide by their decisions and follow their advice. That is the only reason.\There are also rumors that you have been seeing Baron Danglars' daughter. response:	Oh, are there?
context: No, that's not possible. It couldn't be.\Thank you for agreeing to speak with us.\First of all, Marquis Cavalcanti,\What was it that made you decide on that particular bank?\I leave all investment matters to my advisory analysts.\I abide by their decisions and follow their advice. That is the only reason.\There are also rumors that you have been seeing Baron Danglars' daughter.\Oh, are there? response:	I realize that it is a personal question, but if you would care to make a comment...
context: Thank you for agreeing to speak with us.\First of all, Marquis Cavalcanti,\What was it that made you decide on that particular bank?\I leave all investment matters to my advisory analysts.\I abide by their decisions and follow their advice. That is the only reason.\There are also rumors that you have been seeing Baron Danglars' daughter.\Oh, are there?\I realize that it is a personal question, but if you would care to make a comment... response:	All right, just a brief one, then.
context: First of all, Marquis Cavalcanti,\What was it that made you decide on that particular bank?\I leave all investment matters to my advisory analysts.\I abide by their decisions and follow their advice. That is the only reason.\There are also rumors that you have been seeing Baron Danglars' daughter.\Oh, are there?\I realize that it is a personal question, but if you would care to make a comment...\All right, just a brief one, then. response:	The fact is, Eugenie de Danglars and I were formally engaged this morning.
context: What was it that made you decide on that particular bank?\I leave all investment matters to my advisory analysts.\I abide by their decisions and follow their advice. That is the only reason.\There are also rumors that you have been seeing Baron Danglars' daughter.\Oh, are there?\I realize that it is a personal question, but if you would care to make a comment...\All right, just a brief one, then.\The fact is, Eugenie de Danglars and I were formally engaged this morning. response:	My goodness! It's like a fairy tale!
context: I leave all investment matters to my advisory analysts.\I abide by their decisions and follow their advice. That is the only reason.\There are also rumors that you have been seeing Baron Danglars' daughter.\Oh, are there?\I realize that it is a personal question, but if you would care to make a comment...\All right, just a brief one, then.\The fact is, Eugenie de Danglars and I were formally engaged this morning.\My goodness! It's like a fairy tale! response:	Is that true? Congratulations on your engagement!
context: I abide by their decisions and follow their advice. That is the only reason.\There are also rumors that you have been seeing Baron Danglars' daughter.\Oh, are there?\I realize that it is a personal question, but if you would care to make a comment...\All right, just a brief one, then.\The fact is, Eugenie de Danglars and I were formally engaged this morning.\My goodness! It's like a fairy tale!\Is that true? Congratulations on your engagement! response:	This is big news, everyone!
context: There are also rumors that you have been seeing Baron Danglars' daughter.\Oh, are there?\I realize that it is a personal question, but if you would care to make a comment...\All right, just a brief one, then.\The fact is, Eugenie de Danglars and I were formally engaged this morning.\My goodness! It's like a fairy tale!\Is that true? Congratulations on your engagement!\This is big news, everyone! response:	He has to be lying...
context: Oh, are there?\I realize that it is a personal question, but if you would care to make a comment...\All right, just a brief one, then.\The fact is, Eugenie de Danglars and I were formally engaged this morning.\My goodness! It's like a fairy tale!\Is that true? Congratulations on your engagement!\This is big news, everyone!\He has to be lying... response:	Idiot. If I'd known you were here, I would've been able to play even better.
context: I realize that it is a personal question, but if you would care to make a comment...\All right, just a brief one, then.\The fact is, Eugenie de Danglars and I were formally engaged this morning.\My goodness! It's like a fairy tale!\Is that true? Congratulations on your engagement!\This is big news, everyone!\He has to be lying...\Idiot. If I'd known you were here, I would've been able to play even better. response:	I would've been playing for you.
context: All right, just a brief one, then.\The fact is, Eugenie de Danglars and I were formally engaged this morning.\My goodness! It's like a fairy tale!\Is that true? Congratulations on your engagement!\This is big news, everyone!\He has to be lying...\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you. response:	Yes. Naturally, she's overjoyed about this, too.
context: The fact is, Eugenie de Danglars and I were formally engaged this morning.\My goodness! It's like a fairy tale!\Is that true? Congratulations on your engagement!\This is big news, everyone!\He has to be lying...\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Yes. Naturally, she's overjoyed about this, too. response:	Step right up!
context: My goodness! It's like a fairy tale!\Is that true? Congratulations on your engagement!\This is big news, everyone!\He has to be lying...\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Yes. Naturally, she's overjoyed about this, too.\Step right up! response:	Watch it!
context: Is that true? Congratulations on your engagement!\This is big news, everyone!\He has to be lying...\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Yes. Naturally, she's overjoyed about this, too.\Step right up!\Watch it! response:	Eugenie...
context: This is big news, everyone!\He has to be lying...\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Yes. Naturally, she's overjoyed about this, too.\Step right up!\Watch it!\Eugenie... response:	Please, I have to speak with Eugenie. Let me see her.
context: He has to be lying...\Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Yes. Naturally, she's overjoyed about this, too.\Step right up!\Watch it!\Eugenie...\Please, I have to speak with Eugenie. Let me see her. response:	Mademoiselle has said that she doesn't wish to speak with you.
context: Idiot. If I'd known you were here, I would've been able to play even better.\I would've been playing for you.\Yes. Naturally, she's overjoyed about this, too.\Step right up!\Watch it!\Eugenie...\Please, I have to speak with Eugenie. Let me see her.\Mademoiselle has said that she doesn't wish to speak with you. response:	I want to see her in person and ask her how she feels about this.
context: I would've been playing for you.\Yes. Naturally, she's overjoyed about this, too.\Step right up!\Watch it!\Eugenie...\Please, I have to speak with Eugenie. Let me see her.\Mademoiselle has said that she doesn't wish to speak with you.\I want to see her in person and ask her how she feels about this. response:	Please, I'm begging you!
context: Yes. Naturally, she's overjoyed about this, too.\Step right up!\Watch it!\Eugenie...\Please, I have to speak with Eugenie. Let me see her.\Mademoiselle has said that she doesn't wish to speak with you.\I want to see her in person and ask her how she feels about this.\Please, I'm begging you! response:	I am sorry, Monsieur.
context: Step right up!\Watch it!\Eugenie...\Please, I have to speak with Eugenie. Let me see her.\Mademoiselle has said that she doesn't wish to speak with you.\I want to see her in person and ask her how she feels about this.\Please, I'm begging you!\I am sorry, Monsieur. response:	Please! At least tell her that I'm here!
context: Watch it!\Eugenie...\Please, I have to speak with Eugenie. Let me see her.\Mademoiselle has said that she doesn't wish to speak with you.\I want to see her in person and ask her how she feels about this.\Please, I'm begging you!\I am sorry, Monsieur.\Please! At least tell her that I'm here! response:	Eugenie!
context: Eugenie...\Please, I have to speak with Eugenie. Let me see her.\Mademoiselle has said that she doesn't wish to speak with you.\I want to see her in person and ask her how she feels about this.\Please, I'm begging you!\I am sorry, Monsieur.\Please! At least tell her that I'm here!\Eugenie! response:	Was someone at the door just now?
context: Please, I have to speak with Eugenie. Let me see her.\Mademoiselle has said that she doesn't wish to speak with you.\I want to see her in person and ask her how she feels about this.\Please, I'm begging you!\I am sorry, Monsieur.\Please! At least tell her that I'm here!\Eugenie!\Was someone at the door just now? response:	No, Mademoiselle. Just a deliveryman.
context: Mademoiselle has said that she doesn't wish to speak with you.\I want to see her in person and ask her how she feels about this.\Please, I'm begging you!\I am sorry, Monsieur.\Please! At least tell her that I'm here!\Eugenie!\Was someone at the door just now?\No, Mademoiselle. Just a deliveryman. response:	Oh.
context: I want to see her in person and ask her how she feels about this.\Please, I'm begging you!\I am sorry, Monsieur.\Please! At least tell her that I'm here!\Eugenie!\Was someone at the door just now?\No, Mademoiselle. Just a deliveryman.\Oh. response:	What are all these flowers for?
context: Please, I'm begging you!\I am sorry, Monsieur.\Please! At least tell her that I'm here!\Eugenie!\Was someone at the door just now?\No, Mademoiselle. Just a deliveryman.\Oh.\What are all these flowers for? response:	What's the meaning of this?!
context: I am sorry, Monsieur.\Please! At least tell her that I'm here!\Eugenie!\Was someone at the door just now?\No, Mademoiselle. Just a deliveryman.\Oh.\What are all these flowers for?\What's the meaning of this?! response:	How could you arrange an engagement for me without asking me about it?!
context: Please! At least tell her that I'm here!\Eugenie!\Was someone at the door just now?\No, Mademoiselle. Just a deliveryman.\Oh.\What are all these flowers for?\What's the meaning of this?!\How could you arrange an engagement for me without asking me about it?! response:	I told you that your happiness is my main concern, didn't I?
context: Eugenie!\Was someone at the door just now?\No, Mademoiselle. Just a deliveryman.\Oh.\What are all these flowers for?\What's the meaning of this?!\How could you arrange an engagement for me without asking me about it?!\I told you that your happiness is my main concern, didn't I? response:	But I'M the one who's going to have to marry him!
context: Was someone at the door just now?\No, Mademoiselle. Just a deliveryman.\Oh.\What are all these flowers for?\What's the meaning of this?!\How could you arrange an engagement for me without asking me about it?!\I told you that your happiness is my main concern, didn't I?\But I'M the one who's going to have to marry him! response:	You're still young.
context: No, Mademoiselle. Just a deliveryman.\Oh.\What are all these flowers for?\What's the meaning of this?!\How could you arrange an engagement for me without asking me about it?!\I told you that your happiness is my main concern, didn't I?\But I'M the one who's going to have to marry him!\You're still young. response:	It's too soon for you to make important decisions on your own.
context: Oh.\What are all these flowers for?\What's the meaning of this?!\How could you arrange an engagement for me without asking me about it?!\I told you that your happiness is my main concern, didn't I?\But I'M the one who's going to have to marry him!\You're still young.\It's too soon for you to make important decisions on your own. response:	Do you really mean what you're saying, Father?
context: What are all these flowers for?\What's the meaning of this?!\How could you arrange an engagement for me without asking me about it?!\I told you that your happiness is my main concern, didn't I?\But I'M the one who's going to have to marry him!\You're still young.\It's too soon for you to make important decisions on your own.\Do you really mean what you're saying, Father? response:	Of course I do.
context: What's the meaning of this?!\How could you arrange an engagement for me without asking me about it?!\I told you that your happiness is my main concern, didn't I?\But I'M the one who's going to have to marry him!\You're still young.\It's too soon for you to make important decisions on your own.\Do you really mean what you're saying, Father?\Of course I do. response:	I wish you'd stop doing this!
context: How could you arrange an engagement for me without asking me about it?!\I told you that your happiness is my main concern, didn't I?\But I'M the one who's going to have to marry him!\You're still young.\It's too soon for you to make important decisions on your own.\Do you really mean what you're saying, Father?\Of course I do.\I wish you'd stop doing this! response:	Where are you going? I invited Marquis Cavalcanti to dinner tonight.
context: I told you that your happiness is my main concern, didn't I?\But I'M the one who's going to have to marry him!\You're still young.\It's too soon for you to make important decisions on your own.\Do you really mean what you're saying, Father?\Of course I do.\I wish you'd stop doing this!\Where are you going? I invited Marquis Cavalcanti to dinner tonight. response:	Don't be late!
context: But I'M the one who's going to have to marry him!\You're still young.\It's too soon for you to make important decisions on your own.\Do you really mean what you're saying, Father?\Of course I do.\I wish you'd stop doing this!\Where are you going? I invited Marquis Cavalcanti to dinner tonight.\Don't be late! response:	If you're looking for Albert, he's out right now.
context: You're still young.\It's too soon for you to make important decisions on your own.\Do you really mean what you're saying, Father?\Of course I do.\I wish you'd stop doing this!\Where are you going? I invited Marquis Cavalcanti to dinner tonight.\Don't be late!\If you're looking for Albert, he's out right now. response:	Out where?
context: It's too soon for you to make important decisions on your own.\Do you really mean what you're saying, Father?\Of course I do.\I wish you'd stop doing this!\Where are you going? I invited Marquis Cavalcanti to dinner tonight.\Don't be late!\If you're looking for Albert, he's out right now.\Out where? response:	Beats me.
context: Do you really mean what you're saying, Father?\Of course I do.\I wish you'd stop doing this!\Where are you going? I invited Marquis Cavalcanti to dinner tonight.\Don't be late!\If you're looking for Albert, he's out right now.\Out where?\Beats me. response:	Oh.
context: Of course I do.\I wish you'd stop doing this!\Where are you going? I invited Marquis Cavalcanti to dinner tonight.\Don't be late!\If you're looking for Albert, he's out right now.\Out where?\Beats me.\Oh. response:	Albert...
context: I wish you'd stop doing this!\Where are you going? I invited Marquis Cavalcanti to dinner tonight.\Don't be late!\If you're looking for Albert, he's out right now.\Out where?\Beats me.\Oh.\Albert... response:	Ow! I didn't throw mine that hard!
context: Where are you going? I invited Marquis Cavalcanti to dinner tonight.\Don't be late!\If you're looking for Albert, he's out right now.\Out where?\Beats me.\Oh.\Albert...\Ow! I didn't throw mine that hard! response:	You bastard! Jerk!
context: Don't be late!\If you're looking for Albert, he's out right now.\Out where?\Beats me.\Oh.\Albert...\Ow! I didn't throw mine that hard!\You bastard! Jerk! response:	Now you're gonna get it!
context: If you're looking for Albert, he's out right now.\Out where?\Beats me.\Oh.\Albert...\Ow! I didn't throw mine that hard!\You bastard! Jerk!\Now you're gonna get it! response:	It's all over between me and Eugenie.
context: Out where?\Beats me.\Oh.\Albert...\Ow! I didn't throw mine that hard!\You bastard! Jerk!\Now you're gonna get it!\It's all over between me and Eugenie. response:	I hear that she got engaged to Cavalcanti.
context: Beats me.\Oh.\Albert...\Ow! I didn't throw mine that hard!\You bastard! Jerk!\Now you're gonna get it!\It's all over between me and Eugenie.\I hear that she got engaged to Cavalcanti. response:	Yeah...
context: Oh.\Albert...\Ow! I didn't throw mine that hard!\You bastard! Jerk!\Now you're gonna get it!\It's all over between me and Eugenie.\I hear that she got engaged to Cavalcanti.\Yeah... response:	This isn't what Eugenie wants. There's something behind it.
context: Albert...\Ow! I didn't throw mine that hard!\You bastard! Jerk!\Now you're gonna get it!\It's all over between me and Eugenie.\I hear that she got engaged to Cavalcanti.\Yeah...\This isn't what Eugenie wants. There's something behind it. response:	Come on, you know Eugenie would never voluntarily get engaged to a guy like that.
context: Ow! I didn't throw mine that hard!\You bastard! Jerk!\Now you're gonna get it!\It's all over between me and Eugenie.\I hear that she got engaged to Cavalcanti.\Yeah...\This isn't what Eugenie wants. There's something behind it.\Come on, you know Eugenie would never voluntarily get engaged to a guy like that. response:	I'm not so sure...
context: You bastard! Jerk!\Now you're gonna get it!\It's all over between me and Eugenie.\I hear that she got engaged to Cavalcanti.\Yeah...\This isn't what Eugenie wants. There's something behind it.\Come on, you know Eugenie would never voluntarily get engaged to a guy like that.\I'm not so sure... response:	I don't know anymore.
context: Now you're gonna get it!\It's all over between me and Eugenie.\I hear that she got engaged to Cavalcanti.\Yeah...\This isn't what Eugenie wants. There's something behind it.\Come on, you know Eugenie would never voluntarily get engaged to a guy like that.\I'm not so sure...\I don't know anymore. response:	I can't tell what's true, and what's a lie.
context: It's all over between me and Eugenie.\I hear that she got engaged to Cavalcanti.\Yeah...\This isn't what Eugenie wants. There's something behind it.\Come on, you know Eugenie would never voluntarily get engaged to a guy like that.\I'm not so sure...\I don't know anymore.\I can't tell what's true, and what's a lie. response:	I just don't know anymore.
context: I hear that she got engaged to Cavalcanti.\Yeah...\This isn't what Eugenie wants. There's something behind it.\Come on, you know Eugenie would never voluntarily get engaged to a guy like that.\I'm not so sure...\I don't know anymore.\I can't tell what's true, and what's a lie.\I just don't know anymore. response:	Albert...
context: Yeah...\This isn't what Eugenie wants. There's something behind it.\Come on, you know Eugenie would never voluntarily get engaged to a guy like that.\I'm not so sure...\I don't know anymore.\I can't tell what's true, and what's a lie.\I just don't know anymore.\Albert... response:	Franz... I'm still me, aren't I?
