context: I can win! response:	Against Reiner, I can win!
context: Can't you see the kids are just fooling around?\Like hell they're fooling around! Come and stop'em!\It'll be fine, I'm telling ya.\Someone will be along who can help more than we can.\Huh?!\Eren!\Eat this!\It's Mikasa! response:	Mikasa! Why are you here?!
context: Like hell they're fooling around! Come and stop'em!\It'll be fine, I'm telling ya.\Someone will be along who can help more than we can.\Huh?!\Eren!\Eat this!\It's Mikasa!\Mikasa! Why are you here?! response:	Eren, if you don't get home and chop wood, your mother will get angry again.
context: It'll be fine, I'm telling ya.\Someone will be along who can help more than we can.\Huh?!\Eren!\Eat this!\It's Mikasa!\Mikasa! Why are you here?!\Eren, if you don't get home and chop wood, your mother will get angry again. response:	You little... Don't underestimate me!
context: Someone will be along who can help more than we can.\Huh?!\Eren!\Eat this!\It's Mikasa!\Mikasa! Why are you here?!\Eren, if you don't get home and chop wood, your mother will get angry again.\You little... Don't underestimate me! response:	You asked for it!
context: Huh?!\Eren!\Eat this!\It's Mikasa!\Mikasa! Why are you here?!\Eren, if you don't get home and chop wood, your mother will get angry again.\You little... Don't underestimate me!\You asked for it! response:	Eren!
context: Eren!\Eat this!\It's Mikasa!\Mikasa! Why are you here?!\Eren, if you don't get home and chop wood, your mother will get angry again.\You little... Don't underestimate me!\You asked for it!\Eren! response:	Let Mikasa handle this!
context: Eat this!\It's Mikasa!\Mikasa! Why are you here?!\Eren, if you don't get home and chop wood, your mother will get angry again.\You little... Don't underestimate me!\You asked for it!\Eren!\Let Mikasa handle this! response:	Yeah, right!
context: It's Mikasa!\Mikasa! Why are you here?!\Eren, if you don't get home and chop wood, your mother will get angry again.\You little... Don't underestimate me!\You asked for it!\Eren!\Let Mikasa handle this!\Yeah, right! response:	Nice one, Eren!
context: Mikasa! Why are you here?!\Eren, if you don't get home and chop wood, your mother will get angry again.\You little... Don't underestimate me!\You asked for it!\Eren!\Let Mikasa handle this!\Yeah, right!\Nice one, Eren! response:	Don't lose to Mikasa!
context: Eren, if you don't get home and chop wood, your mother will get angry again.\You little... Don't underestimate me!\You asked for it!\Eren!\Let Mikasa handle this!\Yeah, right!\Nice one, Eren!\Don't lose to Mikasa! response:	The hell you doing?!
context: You little... Don't underestimate me!\You asked for it!\Eren!\Let Mikasa handle this!\Yeah, right!\Nice one, Eren!\Don't lose to Mikasa!\The hell you doing?! response:	I told you to stop the fight, you damn freeloaders!
context: You asked for it!\Eren!\Let Mikasa handle this!\Yeah, right!\Nice one, Eren!\Don't lose to Mikasa!\The hell you doing?!\I told you to stop the fight, you damn freeloaders! response:	What was that?!
context: Eren!\Let Mikasa handle this!\Yeah, right!\Nice one, Eren!\Don't lose to Mikasa!\The hell you doing?!\I told you to stop the fight, you damn freeloaders!\What was that?! response:	Wanna say that again?!
context: Let Mikasa handle this!\Yeah, right!\Nice one, Eren!\Don't lose to Mikasa!\The hell you doing?!\I told you to stop the fight, you damn freeloaders!\What was that?!\Wanna say that again?! response:	Damn straight I will! You're a waste of taxes!
context: Yeah, right!\Nice one, Eren!\Don't lose to Mikasa!\The hell you doing?!\I told you to stop the fight, you damn freeloaders!\What was that?!\Wanna say that again?!\Damn straight I will! You're a waste of taxes! response:	You son of a-!
context: Nice one, Eren!\Don't lose to Mikasa!\The hell you doing?!\I told you to stop the fight, you damn freeloaders!\What was that?!\Wanna say that again?!\Damn straight I will! You're a waste of taxes!\You son of a-! response:	Don't let it get to you. It's the truth whether you like it or-
context: Don't lose to Mikasa!\The hell you doing?!\I told you to stop the fight, you damn freeloaders!\What was that?!\Wanna say that again?!\Damn straight I will! You're a waste of taxes!\You son of a-!\Don't let it get to you. It's the truth whether you like it or- response:	Heh.
context: The hell you doing?!\I told you to stop the fight, you damn freeloaders!\What was that?!\Wanna say that again?!\Damn straight I will! You're a waste of taxes!\You son of a-!\Don't let it get to you. It's the truth whether you like it or-\Heh. response:	That was a pretty good punch for a chump who runs a stall.
context: I told you to stop the fight, you damn freeloaders!\What was that?!\Wanna say that again?!\Damn straight I will! You're a waste of taxes!\You son of a-!\Don't let it get to you. It's the truth whether you like it or-\Heh.\That was a pretty good punch for a chump who runs a stall. response:	Get'em! Knock his lights out, Hannes!
context: What was that?!\Wanna say that again?!\Damn straight I will! You're a waste of taxes!\You son of a-!\Don't let it get to you. It's the truth whether you like it or-\Heh.\That was a pretty good punch for a chump who runs a stall.\Get'em! Knock his lights out, Hannes! response:	You've got this! Don't let that useless turd beat you!
context: Wanna say that again?!\Damn straight I will! You're a waste of taxes!\You son of a-!\Don't let it get to you. It's the truth whether you like it or-\Heh.\That was a pretty good punch for a chump who runs a stall.\Get'em! Knock his lights out, Hannes!\You've got this! Don't let that useless turd beat you! response:	Hey, you idiots! What the hell are you doing?!
context: Damn straight I will! You're a waste of taxes!\You son of a-!\Don't let it get to you. It's the truth whether you like it or-\Heh.\That was a pretty good punch for a chump who runs a stall.\Get'em! Knock his lights out, Hannes!\You've got this! Don't let that useless turd beat you!\Hey, you idiots! What the hell are you doing?! response:	-Cut it out!
context: You son of a-!\Don't let it get to you. It's the truth whether you like it or-\Heh.\That was a pretty good punch for a chump who runs a stall.\Get'em! Knock his lights out, Hannes!\You've got this! Don't let that useless turd beat you!\Hey, you idiots! What the hell are you doing?!\-Cut it out! response:	-Give it back! -Cut it out!
context: Don't let it get to you. It's the truth whether you like it or-\Heh.\That was a pretty good punch for a chump who runs a stall.\Get'em! Knock his lights out, Hannes!\You've got this! Don't let that useless turd beat you!\Hey, you idiots! What the hell are you doing?!\-Cut it out!\-Give it back! -Cut it out! response:	Damn it!
context: Heh.\That was a pretty good punch for a chump who runs a stall.\Get'em! Knock his lights out, Hannes!\You've got this! Don't let that useless turd beat you!\Hey, you idiots! What the hell are you doing?!\-Cut it out!\-Give it back! -Cut it out!\Damn it! response:	Knock it off!
context: That was a pretty good punch for a chump who runs a stall.\Get'em! Knock his lights out, Hannes!\You've got this! Don't let that useless turd beat you!\Hey, you idiots! What the hell are you doing?!\-Cut it out!\-Give it back! -Cut it out!\Damn it!\Knock it off! response:	Hey! This is turning pretty serious, you guys!
context: Get'em! Knock his lights out, Hannes!\You've got this! Don't let that useless turd beat you!\Hey, you idiots! What the hell are you doing?!\-Cut it out!\-Give it back! -Cut it out!\Damn it!\Knock it off!\Hey! This is turning pretty serious, you guys! response:	Forget it! Let's scram!
context: You've got this! Don't let that useless turd beat you!\Hey, you idiots! What the hell are you doing?!\-Cut it out!\-Give it back! -Cut it out!\Damn it!\Knock it off!\Hey! This is turning pretty serious, you guys!\Forget it! Let's scram! response:	Wait right there!
context: Hey, you idiots! What the hell are you doing?!\-Cut it out!\-Give it back! -Cut it out!\Damn it!\Knock it off!\Hey! This is turning pretty serious, you guys!\Forget it! Let's scram!\Wait right there! response:	Wait!
context: -Cut it out!\-Give it back! -Cut it out!\Damn it!\Knock it off!\Hey! This is turning pretty serious, you guys!\Forget it! Let's scram!\Wait right there!\Wait! response:	Eren! I don't care about the bread anymore!
context: -Give it back! -Cut it out!\Damn it!\Knock it off!\Hey! This is turning pretty serious, you guys!\Forget it! Let's scram!\Wait right there!\Wait!\Eren! I don't care about the bread anymore! response:	Thanks for trying!
context: Damn it!\Knock it off!\Hey! This is turning pretty serious, you guys!\Forget it! Let's scram!\Wait right there!\Wait!\Eren! I don't care about the bread anymore!\Thanks for trying! response:	Eren. We should get back home, too.
context: Knock it off!\Hey! This is turning pretty serious, you guys!\Forget it! Let's scram!\Wait right there!\Wait!\Eren! I don't care about the bread anymore!\Thanks for trying!\Eren. We should get back home, too. response:	Go home without me!
context: Hey! This is turning pretty serious, you guys!\Forget it! Let's scram!\Wait right there!\Wait!\Eren! I don't care about the bread anymore!\Thanks for trying!\Eren. We should get back home, too.\Go home without me! response:	Eren!
context: Forget it! Let's scram!\Wait right there!\Wait!\Eren! I don't care about the bread anymore!\Thanks for trying!\Eren. We should get back home, too.\Go home without me!\Eren! response:	Stop right there!
context: Wait right there!\Wait!\Eren! I don't care about the bread anymore!\Thanks for trying!\Eren. We should get back home, too.\Go home without me!\Eren!\Stop right there! response:	Eren! Wait!
context: Wait!\Eren! I don't care about the bread anymore!\Thanks for trying!\Eren. We should get back home, too.\Go home without me!\Eren!\Stop right there!\Eren! Wait! response:	Eren!
context: Eren! I don't care about the bread anymore!\Thanks for trying!\Eren. We should get back home, too.\Go home without me!\Eren!\Stop right there!\Eren! Wait!\Eren! response:	Mikasa?
context: Thanks for trying!\Eren. We should get back home, too.\Go home without me!\Eren!\Stop right there!\Eren! Wait!\Eren!\Mikasa? response:	Armin! Where's Eren?!
context: Eren. We should get back home, too.\Go home without me!\Eren!\Stop right there!\Eren! Wait!\Eren!\Mikasa?\Armin! Where's Eren?! response:	Mikasa, calm down!
context: Go home without me!\Eren!\Stop right there!\Eren! Wait!\Eren!\Mikasa?\Armin! Where's Eren?!\Mikasa, calm down! response:	You shouldn't be moving!
context: Eren!\Stop right there!\Eren! Wait!\Eren!\Mikasa?\Armin! Where's Eren?!\Mikasa, calm down!\You shouldn't be moving! response:	We don't know how badly you're injured!
context: Stop right there!\Eren! Wait!\Eren!\Mikasa?\Armin! Where's Eren?!\Mikasa, calm down!\You shouldn't be moving!\We don't know how badly you're injured! response:	Where is he?!
context: Eren! Wait!\Eren!\Mikasa?\Armin! Where's Eren?!\Mikasa, calm down!\You shouldn't be moving!\We don't know how badly you're injured!\Where is he?! response:	Eren was taken away.
context: Eren!\Mikasa?\Armin! Where's Eren?!\Mikasa, calm down!\You shouldn't be moving!\We don't know how badly you're injured!\Where is he?!\Eren was taken away. response:	Ymir, too, by Bertholdt and Reiner.
context: Mikasa?\Armin! Where's Eren?!\Mikasa, calm down!\You shouldn't be moving!\We don't know how badly you're injured!\Where is he?!\Eren was taken away.\Ymir, too, by Bertholdt and Reiner. response:	Eren, he...
context: Armin! Where's Eren?!\Mikasa, calm down!\You shouldn't be moving!\We don't know how badly you're injured!\Where is he?!\Eren was taken away.\Ymir, too, by Bertholdt and Reiner.\Eren, he... response:	It's been five hours since then.
context: Mikasa, calm down!\You shouldn't be moving!\We don't know how badly you're injured!\Where is he?!\Eren was taken away.\Ymir, too, by Bertholdt and Reiner.\Eren, he...\It's been five hours since then. response:	Is anyone...
context: You shouldn't be moving!\We don't know how badly you're injured!\Where is he?!\Eren was taken away.\Ymir, too, by Bertholdt and Reiner.\Eren, he...\It's been five hours since then.\Is anyone... response:	Is anyone chasing them?
context: We don't know how badly you're injured!\Where is he?!\Eren was taken away.\Ymir, too, by Bertholdt and Reiner.\Eren, he...\It's been five hours since then.\Is anyone...\Is anyone chasing them? response:	No...
context: Where is he?!\Eren was taken away.\Ymir, too, by Bertholdt and Reiner.\Eren, he...\It's been five hours since then.\Is anyone...\Is anyone chasing them?\No... response:	Why not?!
context: Eren was taken away.\Ymir, too, by Bertholdt and Reiner.\Eren, he...\It's been five hours since then.\Is anyone...\Is anyone chasing them?\No...\Why not?! response:	All the horses are on the other side of the wall.
context: Ymir, too, by Bertholdt and Reiner.\Eren, he...\It's been five hours since then.\Is anyone...\Is anyone chasing them?\No...\Why not?!\All the horses are on the other side of the wall. response:	In order to rescue Eren,
context: Eren, he...\It's been five hours since then.\Is anyone...\Is anyone chasing them?\No...\Why not?!\All the horses are on the other side of the wall.\In order to rescue Eren, response:	we have to wait for lifts to come so we can move the horses.
context: It's been five hours since then.\Is anyone...\Is anyone chasing them?\No...\Why not?!\All the horses are on the other side of the wall.\In order to rescue Eren,\we have to wait for lifts to come so we can move the horses. response:	There's nothing we can do.
context: Is anyone...\Is anyone chasing them?\No...\Why not?!\All the horses are on the other side of the wall.\In order to rescue Eren,\we have to wait for lifts to come so we can move the horses.\There's nothing we can do. response:	Section Commander Hange and the other officers are too injured to move.
context: Is anyone chasing them?\No...\Why not?!\All the horses are on the other side of the wall.\In order to rescue Eren,\we have to wait for lifts to come so we can move the horses.\There's nothing we can do.\Section Commander Hange and the other officers are too injured to move. response:	To even send out a small scouting party, we're going to need more soldiers than this.
context: No...\Why not?!\All the horses are on the other side of the wall.\In order to rescue Eren,\we have to wait for lifts to come so we can move the horses.\There's nothing we can do.\Section Commander Hange and the other officers are too injured to move.\To even send out a small scouting party, we're going to need more soldiers than this. response:	Soldiers with experience.
context: Why not?!\All the horses are on the other side of the wall.\In order to rescue Eren,\we have to wait for lifts to come so we can move the horses.\There's nothing we can do.\Section Commander Hange and the other officers are too injured to move.\To even send out a small scouting party, we're going to need more soldiers than this.\Soldiers with experience. response:	Understand?
context: All the horses are on the other side of the wall.\In order to rescue Eren,\we have to wait for lifts to come so we can move the horses.\There's nothing we can do.\Section Commander Hange and the other officers are too injured to move.\To even send out a small scouting party, we're going to need more soldiers than this.\Soldiers with experience.\Understand? response:	Not this again...
context: In order to rescue Eren,\we have to wait for lifts to come so we can move the horses.\There's nothing we can do.\Section Commander Hange and the other officers are too injured to move.\To even send out a small scouting party, we're going to need more soldiers than this.\Soldiers with experience.\Understand?\Not this again... response:	Does it hurt somewhere?
context: we have to wait for lifts to come so we can move the horses.\There's nothing we can do.\Section Commander Hange and the other officers are too injured to move.\To even send out a small scouting party, we're going to need more soldiers than this.\Soldiers with experience.\Understand?\Not this again...\Does it hurt somewhere? response:	No...
context: There's nothing we can do.\Section Commander Hange and the other officers are too injured to move.\To even send out a small scouting party, we're going to need more soldiers than this.\Soldiers with experience.\Understand?\Not this again...\Does it hurt somewhere?\No... response:	I must've hit my head pretty hard, but I'm fine.
context: Section Commander Hange and the other officers are too injured to move.\To even send out a small scouting party, we're going to need more soldiers than this.\Soldiers with experience.\Understand?\Not this again...\Does it hurt somewhere?\No...\I must've hit my head pretty hard, but I'm fine. response:	But...
context: To even send out a small scouting party, we're going to need more soldiers than this.\Soldiers with experience.\Understand?\Not this again...\Does it hurt somewhere?\No...\I must've hit my head pretty hard, but I'm fine.\But... response:	When Eren was taken away by Annie...
context: Soldiers with experience.\Understand?\Not this again...\Does it hurt somewhere?\No...\I must've hit my head pretty hard, but I'm fine.\But...\When Eren was taken away by Annie... response:	And fighting alongside Captain Levi, in the end...
context: Understand?\Not this again...\Does it hurt somewhere?\No...\I must've hit my head pretty hard, but I'm fine.\But...\When Eren was taken away by Annie...\And fighting alongside Captain Levi, in the end... response:	But... if it's already been five hours...
context: Not this again...\Does it hurt somewhere?\No...\I must've hit my head pretty hard, but I'm fine.\But...\When Eren was taken away by Annie...\And fighting alongside Captain Levi, in the end...\But... if it's already been five hours... response:	Hey, Armin.
context: Does it hurt somewhere?\No...\I must've hit my head pretty hard, but I'm fine.\But...\When Eren was taken away by Annie...\And fighting alongside Captain Levi, in the end...\But... if it's already been five hours...\Hey, Armin. response:	Why?
context: No...\I must've hit my head pretty hard, but I'm fine.\But...\When Eren was taken away by Annie...\And fighting alongside Captain Levi, in the end...\But... if it's already been five hours...\Hey, Armin.\Why? response:	Why does Eren always go somewhere far away from us?
context: I must've hit my head pretty hard, but I'm fine.\But...\When Eren was taken away by Annie...\And fighting alongside Captain Levi, in the end...\But... if it's already been five hours...\Hey, Armin.\Why?\Why does Eren always go somewhere far away from us? response:	Yeah, now that you mention it...
context: But...\When Eren was taken away by Annie...\And fighting alongside Captain Levi, in the end...\But... if it's already been five hours...\Hey, Armin.\Why?\Why does Eren always go somewhere far away from us?\Yeah, now that you mention it... response:	Eren has always run off on his own, leaving us behind...
context: When Eren was taken away by Annie...\And fighting alongside Captain Levi, in the end...\But... if it's already been five hours...\Hey, Armin.\Why?\Why does Eren always go somewhere far away from us?\Yeah, now that you mention it...\Eren has always run off on his own, leaving us behind... response:	I guess that's just the way things are meant to happen...
context: And fighting alongside Captain Levi, in the end...\But... if it's already been five hours...\Hey, Armin.\Why?\Why does Eren always go somewhere far away from us?\Yeah, now that you mention it...\Eren has always run off on his own, leaving us behind...\I guess that's just the way things are meant to happen... response:	for Eren at least.
context: But... if it's already been five hours...\Hey, Armin.\Why?\Why does Eren always go somewhere far away from us?\Yeah, now that you mention it...\Eren has always run off on his own, leaving us behind...\I guess that's just the way things are meant to happen...\for Eren at least. response:	But all I want... is to be at his side.
context: Hey, Armin.\Why?\Why does Eren always go somewhere far away from us?\Yeah, now that you mention it...\Eren has always run off on his own, leaving us behind...\I guess that's just the way things are meant to happen...\for Eren at least.\But all I want... is to be at his side. response:	That's all I ask for...
context: Why?\Why does Eren always go somewhere far away from us?\Yeah, now that you mention it...\Eren has always run off on his own, leaving us behind...\I guess that's just the way things are meant to happen...\for Eren at least.\But all I want... is to be at his side.\That's all I ask for... response:	Mikasa? So you're up, huh?
context: Why does Eren always go somewhere far away from us?\Yeah, now that you mention it...\Eren has always run off on his own, leaving us behind...\I guess that's just the way things are meant to happen...\for Eren at least.\But all I want... is to be at his side.\That's all I ask for...\Mikasa? So you're up, huh? response:	I bet you're hungry. Here, eat this.
context: Yeah, now that you mention it...\Eren has always run off on his own, leaving us behind...\I guess that's just the way things are meant to happen...\for Eren at least.\But all I want... is to be at his side.\That's all I ask for...\Mikasa? So you're up, huh?\I bet you're hungry. Here, eat this. response:	Armin, catch.
context: Eren has always run off on his own, leaving us behind...\I guess that's just the way things are meant to happen...\for Eren at least.\But all I want... is to be at his side.\That's all I ask for...\Mikasa? So you're up, huh?\I bet you're hungry. Here, eat this.\Armin, catch. response:	As usual, field rations are all there is.
context: I guess that's just the way things are meant to happen...\for Eren at least.\But all I want... is to be at his side.\That's all I ask for...\Mikasa? So you're up, huh?\I bet you're hungry. Here, eat this.\Armin, catch.\As usual, field rations are all there is. response:	Hmm...
context: for Eren at least.\But all I want... is to be at his side.\That's all I ask for...\Mikasa? So you're up, huh?\I bet you're hungry. Here, eat this.\Armin, catch.\As usual, field rations are all there is.\Hmm... response:	Taste neither good nor bad. Same as always.
context: But all I want... is to be at his side.\That's all I ask for...\Mikasa? So you're up, huh?\I bet you're hungry. Here, eat this.\Armin, catch.\As usual, field rations are all there is.\Hmm...\Taste neither good nor bad. Same as always. response:	Speaking of which, this is the same as always, too.
context: That's all I ask for...\Mikasa? So you're up, huh?\I bet you're hungry. Here, eat this.\Armin, catch.\As usual, field rations are all there is.\Hmm...\Taste neither good nor bad. Same as always.\Speaking of which, this is the same as always, too. response:	Ever since the good old days, you two have been there
context: Mikasa? So you're up, huh?\I bet you're hungry. Here, eat this.\Armin, catch.\As usual, field rations are all there is.\Hmm...\Taste neither good nor bad. Same as always.\Speaking of which, this is the same as always, too.\Ever since the good old days, you two have been there response:	to clean up the mess of that brat.
context: I bet you're hungry. Here, eat this.\Armin, catch.\As usual, field rations are all there is.\Hmm...\Taste neither good nor bad. Same as always.\Speaking of which, this is the same as always, too.\Ever since the good old days, you two have been there\to clean up the mess of that brat. response:	That's what I call a lousy relationship. Sheesh.
context: Armin, catch.\As usual, field rations are all there is.\Hmm...\Taste neither good nor bad. Same as always.\Speaking of which, this is the same as always, too.\Ever since the good old days, you two have been there\to clean up the mess of that brat.\That's what I call a lousy relationship. Sheesh. response:	It's a different time and a different place,
context: As usual, field rations are all there is.\Hmm...\Taste neither good nor bad. Same as always.\Speaking of which, this is the same as always, too.\Ever since the good old days, you two have been there\to clean up the mess of that brat.\That's what I call a lousy relationship. Sheesh.\It's a different time and a different place, response:	but you kids are doing the same thing you always have.
context: Hmm...\Taste neither good nor bad. Same as always.\Speaking of which, this is the same as always, too.\Ever since the good old days, you two have been there\to clean up the mess of that brat.\That's what I call a lousy relationship. Sheesh.\It's a different time and a different place,\but you kids are doing the same thing you always have. response:	Am I right?
context: Taste neither good nor bad. Same as always.\Speaking of which, this is the same as always, too.\Ever since the good old days, you two have been there\to clean up the mess of that brat.\That's what I call a lousy relationship. Sheesh.\It's a different time and a different place,\but you kids are doing the same thing you always have.\Am I right? response:	The neighborhood bullies and Titans are a little bit different in size.
context: Speaking of which, this is the same as always, too.\Ever since the good old days, you two have been there\to clean up the mess of that brat.\That's what I call a lousy relationship. Sheesh.\It's a different time and a different place,\but you kids are doing the same thing you always have.\Am I right?\The neighborhood bullies and Titans are a little bit different in size. response:	True... The thing is, that brat isn't even all that good at fighting.
context: Ever since the good old days, you two have been there\to clean up the mess of that brat.\That's what I call a lousy relationship. Sheesh.\It's a different time and a different place,\but you kids are doing the same thing you always have.\Am I right?\The neighborhood bullies and Titans are a little bit different in size.\True... The thing is, that brat isn't even all that good at fighting. response:	But no matter if he's up against three or five, he'll charge in all the same.
context: to clean up the mess of that brat.\That's what I call a lousy relationship. Sheesh.\It's a different time and a different place,\but you kids are doing the same thing you always have.\Am I right?\The neighborhood bullies and Titans are a little bit different in size.\True... The thing is, that brat isn't even all that good at fighting.\But no matter if he's up against three or five, he'll charge in all the same. response:	By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time.
context: That's what I call a lousy relationship. Sheesh.\It's a different time and a different place,\but you kids are doing the same thing you always have.\Am I right?\The neighborhood bullies and Titans are a little bit different in size.\True... The thing is, that brat isn't even all that good at fighting.\But no matter if he's up against three or five, he'll charge in all the same.\By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time. response:	But you know...
context: It's a different time and a different place,\but you kids are doing the same thing you always have.\Am I right?\The neighborhood bullies and Titans are a little bit different in size.\True... The thing is, that brat isn't even all that good at fighting.\But no matter if he's up against three or five, he'll charge in all the same.\By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time.\But you know... response:	I've never seen him win a fight before,
context: but you kids are doing the same thing you always have.\Am I right?\The neighborhood bullies and Titans are a little bit different in size.\True... The thing is, that brat isn't even all that good at fighting.\But no matter if he's up against three or five, he'll charge in all the same.\By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time.\But you know...\I've never seen him win a fight before, response:	but I've never seen him get beat and give up either.
context: Am I right?\The neighborhood bullies and Titans are a little bit different in size.\True... The thing is, that brat isn't even all that good at fighting.\But no matter if he's up against three or five, he'll charge in all the same.\By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time.\But you know...\I've never seen him win a fight before,\but I've never seen him get beat and give up either. response:	Sometimes he's so tenacious that even I think it's scary.
context: The neighborhood bullies and Titans are a little bit different in size.\True... The thing is, that brat isn't even all that good at fighting.\But no matter if he's up against three or five, he'll charge in all the same.\By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time.\But you know...\I've never seen him win a fight before,\but I've never seen him get beat and give up either.\Sometimes he's so tenacious that even I think it's scary. response:	No matter how many times he's knocked over, he gets back up.
context: True... The thing is, that brat isn't even all that good at fighting.\But no matter if he's up against three or five, he'll charge in all the same.\By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time.\But you know...\I've never seen him win a fight before,\but I've never seen him get beat and give up either.\Sometimes he's so tenacious that even I think it's scary.\No matter how many times he's knocked over, he gets back up. response:	That's the kinda guy he is.
context: But no matter if he's up against three or five, he'll charge in all the same.\By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time.\But you know...\I've never seen him win a fight before,\but I've never seen him get beat and give up either.\Sometimes he's so tenacious that even I think it's scary.\No matter how many times he's knocked over, he gets back up.\That's the kinda guy he is. response:	You think he'll get taken away without putting up a fight?
context: By the time Mikasa or soldiers showed up, he'd been beaten into a pulp every time.\But you know...\I've never seen him win a fight before,\but I've never seen him get beat and give up either.\Sometimes he's so tenacious that even I think it's scary.\No matter how many times he's knocked over, he gets back up.\That's the kinda guy he is.\You think he'll get taken away without putting up a fight? response:	Nope. He'll keep resisting as long as he has strength.
context: But you know...\I've never seen him win a fight before,\but I've never seen him get beat and give up either.\Sometimes he's so tenacious that even I think it's scary.\No matter how many times he's knocked over, he gets back up.\That's the kinda guy he is.\You think he'll get taken away without putting up a fight?\Nope. He'll keep resisting as long as he has strength. response:	Even more so when he's up against just two.
context: I've never seen him win a fight before,\but I've never seen him get beat and give up either.\Sometimes he's so tenacious that even I think it's scary.\No matter how many times he's knocked over, he gets back up.\That's the kinda guy he is.\You think he'll get taken away without putting up a fight?\Nope. He'll keep resisting as long as he has strength.\Even more so when he's up against just two. response:	He'll give'em hell no matter who he's up against.
context: but I've never seen him get beat and give up either.\Sometimes he's so tenacious that even I think it's scary.\No matter how many times he's knocked over, he gets back up.\That's the kinda guy he is.\You think he'll get taken away without putting up a fight?\Nope. He'll keep resisting as long as he has strength.\Even more so when he's up against just two.\He'll give'em hell no matter who he's up against. response:	Until you or I show up to help.
context: Sometimes he's so tenacious that even I think it's scary.\No matter how many times he's knocked over, he gets back up.\That's the kinda guy he is.\You think he'll get taken away without putting up a fight?\Nope. He'll keep resisting as long as he has strength.\Even more so when he's up against just two.\He'll give'em hell no matter who he's up against.\Until you or I show up to help. response:	That's how Eren's always been.
context: No matter how many times he's knocked over, he gets back up.\That's the kinda guy he is.\You think he'll get taken away without putting up a fight?\Nope. He'll keep resisting as long as he has strength.\Even more so when he's up against just two.\He'll give'em hell no matter who he's up against.\Until you or I show up to help.\That's how Eren's always been. response:	I loved those good old days.
context: That's the kinda guy he is.\You think he'll get taken away without putting up a fight?\Nope. He'll keep resisting as long as he has strength.\Even more so when he's up against just two.\He'll give'em hell no matter who he's up against.\Until you or I show up to help.\That's how Eren's always been.\I loved those good old days. response:	If you ask Eren, he'd say those days were nothing more than a false peace.
context: You think he'll get taken away without putting up a fight?\Nope. He'll keep resisting as long as he has strength.\Even more so when he's up against just two.\He'll give'em hell no matter who he's up against.\Until you or I show up to help.\That's how Eren's always been.\I loved those good old days.\If you ask Eren, he'd say those days were nothing more than a false peace. response:	But for me, I'm more than happy to be a drunk, useless soldier.
context: Nope. He'll keep resisting as long as he has strength.\Even more so when he's up against just two.\He'll give'em hell no matter who he's up against.\Until you or I show up to help.\That's how Eren's always been.\I loved those good old days.\If you ask Eren, he'd say those days were nothing more than a false peace.\But for me, I'm more than happy to be a drunk, useless soldier. response:	If it means getting back to those plain, ordinary days...
context: Even more so when he's up against just two.\He'll give'em hell no matter who he's up against.\Until you or I show up to help.\That's how Eren's always been.\I loved those good old days.\If you ask Eren, he'd say those days were nothing more than a false peace.\But for me, I'm more than happy to be a drunk, useless soldier.\If it means getting back to those plain, ordinary days... response:	No matter how long it takes to get there.
context: He'll give'em hell no matter who he's up against.\Until you or I show up to help.\That's how Eren's always been.\I loved those good old days.\If you ask Eren, he'd say those days were nothing more than a false peace.\But for me, I'm more than happy to be a drunk, useless soldier.\If it means getting back to those plain, ordinary days...\No matter how long it takes to get there. response:	I'm coming, too.
context: Until you or I show up to help.\That's how Eren's always been.\I loved those good old days.\If you ask Eren, he'd say those days were nothing more than a false peace.\But for me, I'm more than happy to be a drunk, useless soldier.\If it means getting back to those plain, ordinary days...\No matter how long it takes to get there.\I'm coming, too. response:	Without you three together again, I can't bring back the good old days.
context: That's how Eren's always been.\I loved those good old days.\If you ask Eren, he'd say those days were nothing more than a false peace.\But for me, I'm more than happy to be a drunk, useless soldier.\If it means getting back to those plain, ordinary days...\No matter how long it takes to get there.\I'm coming, too.\Without you three together again, I can't bring back the good old days. response:	They're here!
context: I loved those good old days.\If you ask Eren, he'd say those days were nothing more than a false peace.\But for me, I'm more than happy to be a drunk, useless soldier.\If it means getting back to those plain, ordinary days...\No matter how long it takes to get there.\I'm coming, too.\Without you three together again, I can't bring back the good old days.\They're here! response:	Hey!
context: If you ask Eren, he'd say those days were nothing more than a false peace.\But for me, I'm more than happy to be a drunk, useless soldier.\If it means getting back to those plain, ordinary days...\No matter how long it takes to get there.\I'm coming, too.\Without you three together again, I can't bring back the good old days.\They're here!\Hey! response:	Isn't that...?
context: But for me, I'm more than happy to be a drunk, useless soldier.\If it means getting back to those plain, ordinary days...\No matter how long it takes to get there.\I'm coming, too.\Without you three together again, I can't bring back the good old days.\They're here!\Hey!\Isn't that...? response:	Commander Erwin!
