context: Huh? That's strange' this goes here' response:	and this here'
context: How would you like to be called a fairy?\That must be it.\Wow this is the first time I've met a fairy.\I'm Kerberos,\the magical beast created\by Clow Reed.\But I don't really look like this.\My real form response:	is much cooler.
context: That must be it.\Wow this is the first time I've met a fairy.\I'm Kerberos,\the magical beast created\by Clow Reed.\But I don't really look like this.\My real form\is much cooler. response:	Cool eh?
context: Wow this is the first time I've met a fairy.\I'm Kerberos,\the magical beast created\by Clow Reed.\But I don't really look like this.\My real form\is much cooler.\Cool eh? response:	Even with all his knowledge,
context: I'm Kerberos,\the magical beast created\by Clow Reed.\But I don't really look like this.\My real form\is much cooler.\Cool eh?\Even with all his knowledge, response:	he hasn't figured it out.
context: the magical beast created\by Clow Reed.\But I don't really look like this.\My real form\is much cooler.\Cool eh?\Even with all his knowledge,\he hasn't figured it out. response:	Oh well I might
context: by Clow Reed.\But I don't really look like this.\My real form\is much cooler.\Cool eh?\Even with all his knowledge,\he hasn't figured it out.\Oh well I might response:	as well keep the deception up.
context: But I don't really look like this.\My real form\is much cooler.\Cool eh?\Even with all his knowledge,\he hasn't figured it out.\Oh well I might\as well keep the deception up. response:	So, what's your name kid?
context: My real form\is much cooler.\Cool eh?\Even with all his knowledge,\he hasn't figured it out.\Oh well I might\as well keep the deception up.\So, what's your name kid? response:	Spi'
context: is much cooler.\Cool eh?\Even with all his knowledge,\he hasn't figured it out.\Oh well I might\as well keep the deception up.\So, what's your name kid?\Spi' response:	I shouldn't say my real name.
context: Cool eh?\Even with all his knowledge,\he hasn't figured it out.\Oh well I might\as well keep the deception up.\So, what's your name kid?\Spi'\I shouldn't say my real name. response:	Su' ppi!
context: Even with all his knowledge,\he hasn't figured it out.\Oh well I might\as well keep the deception up.\So, what's your name kid?\Spi'\I shouldn't say my real name.\Su' ppi! response:	I have no choice.
context: he hasn't figured it out.\Oh well I might\as well keep the deception up.\So, what's your name kid?\Spi'\I shouldn't say my real name.\Su' ppi!\I have no choice. response:	Su' ppi.
context: Oh well I might\as well keep the deception up.\So, what's your name kid?\Spi'\I shouldn't say my real name.\Su' ppi!\I have no choice.\Su' ppi. response:	Suppi? That's a strange name!
context: as well keep the deception up.\So, what's your name kid?\Spi'\I shouldn't say my real name.\Su' ppi!\I have no choice.\Su' ppi.\Suppi? That's a strange name! response:	How strange! Let's be friends, ok
context: So, what's your name kid?\Spi'\I shouldn't say my real name.\Su' ppi!\I have no choice.\Su' ppi.\Suppi? That's a strange name!\How strange! Let's be friends, ok response:	You are such a blockhead.
context: Spi'\I shouldn't say my real name.\Su' ppi!\I have no choice.\Su' ppi.\Suppi? That's a strange name!\How strange! Let's be friends, ok\You are such a blockhead. response:	Huh? Something wrong?
context: I shouldn't say my real name.\Su' ppi!\I have no choice.\Su' ppi.\Suppi? That's a strange name!\How strange! Let's be friends, ok\You are such a blockhead.\Huh? Something wrong? response:	No.
context: Su' ppi!\I have no choice.\Su' ppi.\Suppi? That's a strange name!\How strange! Let's be friends, ok\You are such a blockhead.\Huh? Something wrong?\No. response:	Might as well keep him happy.
context: I have no choice.\Su' ppi.\Suppi? That's a strange name!\How strange! Let's be friends, ok\You are such a blockhead.\Huh? Something wrong?\No.\Might as well keep him happy. response:	I'll tell Eriol about this later
context: Su' ppi.\Suppi? That's a strange name!\How strange! Let's be friends, ok\You are such a blockhead.\Huh? Something wrong?\No.\Might as well keep him happy.\I'll tell Eriol about this later response:	Hey just a minute.
context: Suppi? That's a strange name!\How strange! Let's be friends, ok\You are such a blockhead.\Huh? Something wrong?\No.\Might as well keep him happy.\I'll tell Eriol about this later\Hey just a minute. response:	Shall we eat these sweets together?
context: How strange! Let's be friends, ok\You are such a blockhead.\Huh? Something wrong?\No.\Might as well keep him happy.\I'll tell Eriol about this later\Hey just a minute.\Shall we eat these sweets together? response:	Have you never had any? You'll like'em.
context: You are such a blockhead.\Huh? Something wrong?\No.\Might as well keep him happy.\I'll tell Eriol about this later\Hey just a minute.\Shall we eat these sweets together?\Have you never had any? You'll like'em. response:	Actually I don't like'
context: Huh? Something wrong?\No.\Might as well keep him happy.\I'll tell Eriol about this later\Hey just a minute.\Shall we eat these sweets together?\Have you never had any? You'll like'em.\Actually I don't like' response:	It's ok, it's ok.
context: No.\Might as well keep him happy.\I'll tell Eriol about this later\Hey just a minute.\Shall we eat these sweets together?\Have you never had any? You'll like'em.\Actually I don't like'\It's ok, it's ok. response:	Wait a sec.
context: Might as well keep him happy.\I'll tell Eriol about this later\Hey just a minute.\Shall we eat these sweets together?\Have you never had any? You'll like'em.\Actually I don't like'\It's ok, it's ok.\Wait a sec. response:	You haven't eaten it yet?
context: I'll tell Eriol about this later\Hey just a minute.\Shall we eat these sweets together?\Have you never had any? You'll like'em.\Actually I don't like'\It's ok, it's ok.\Wait a sec.\You haven't eaten it yet? response:	Come on, there's plenty more.
context: Hey just a minute.\Shall we eat these sweets together?\Have you never had any? You'll like'em.\Actually I don't like'\It's ok, it's ok.\Wait a sec.\You haven't eaten it yet?\Come on, there's plenty more. response:	Try this and this
context: Shall we eat these sweets together?\Have you never had any? You'll like'em.\Actually I don't like'\It's ok, it's ok.\Wait a sec.\You haven't eaten it yet?\Come on, there's plenty more.\Try this and this response:	and this and this'
context: Have you never had any? You'll like'em.\Actually I don't like'\It's ok, it's ok.\Wait a sec.\You haven't eaten it yet?\Come on, there's plenty more.\Try this and this\and this and this' response:	This is good, too, and this'
context: Actually I don't like'\It's ok, it's ok.\Wait a sec.\You haven't eaten it yet?\Come on, there's plenty more.\Try this and this\and this and this'\This is good, too, and this' response:	Tasty?
context: It's ok, it's ok.\Wait a sec.\You haven't eaten it yet?\Come on, there's plenty more.\Try this and this\and this and this'\This is good, too, and this'\Tasty? response:	Tasty?
context: Wait a sec.\You haven't eaten it yet?\Come on, there's plenty more.\Try this and this\and this and this'\This is good, too, and this'\Tasty?\Tasty? response:	What's wrong? Do you not feel well?
context: You haven't eaten it yet?\Come on, there's plenty more.\Try this and this\and this and this'\This is good, too, and this'\Tasty?\Tasty?\What's wrong? Do you not feel well? response:	Wasn't that good?
context: Come on, there's plenty more.\Try this and this\and this and this'\This is good, too, and this'\Tasty?\Tasty?\What's wrong? Do you not feel well?\Wasn't that good? response:	Sweet things are so sweet! !
context: Try this and this\and this and this'\This is good, too, and this'\Tasty?\Tasty?\What's wrong? Do you not feel well?\Wasn't that good?\Sweet things are so sweet! ! response:	More' more' and more'
context: and this and this'\This is good, too, and this'\Tasty?\Tasty?\What's wrong? Do you not feel well?\Wasn't that good?\Sweet things are so sweet! !\More' more' and more' response:	Are you okay?
context: This is good, too, and this'\Tasty?\Tasty?\What's wrong? Do you not feel well?\Wasn't that good?\Sweet things are so sweet! !\More' more' and more'\Are you okay? response:	I want more!
context: Tasty?\Tasty?\What's wrong? Do you not feel well?\Wasn't that good?\Sweet things are so sweet! !\More' more' and more'\Are you okay?\I want more! response:	Hey! What's wrong Suppi?
context: Tasty?\What's wrong? Do you not feel well?\Wasn't that good?\Sweet things are so sweet! !\More' more' and more'\Are you okay?\I want more!\Hey! What's wrong Suppi? response:	I'm so glad you're here Touya-kun!
context: What's wrong? Do you not feel well?\Wasn't that good?\Sweet things are so sweet! !\More' more' and more'\Are you okay?\I want more!\Hey! What's wrong Suppi?\I'm so glad you're here Touya-kun! response:	Let go.
context: Wasn't that good?\Sweet things are so sweet! !\More' more' and more'\Are you okay?\I want more!\Hey! What's wrong Suppi?\I'm so glad you're here Touya-kun!\Let go. response:	Don't want to! Touya-kun!
context: Sweet things are so sweet! !\More' more' and more'\Are you okay?\I want more!\Hey! What's wrong Suppi?\I'm so glad you're here Touya-kun!\Let go.\Don't want to! Touya-kun! response:	' Do you want any more?' Thanks.
context: More' more' and more'\Are you okay?\I want more!\Hey! What's wrong Suppi?\I'm so glad you're here Touya-kun!\Let go.\Don't want to! Touya-kun!\' Do you want any more?' Thanks. response:	' Me too!' Ok!
context: Are you okay?\I want more!\Hey! What's wrong Suppi?\I'm so glad you're here Touya-kun!\Let go.\Don't want to! Touya-kun!\' Do you want any more?' Thanks.\' Me too!' Ok! response:	I'm so happy!
context: I want more!\Hey! What's wrong Suppi?\I'm so glad you're here Touya-kun!\Let go.\Don't want to! Touya-kun!\' Do you want any more?' Thanks.\' Me too!' Ok!\I'm so happy! response:	Spinel?
context: Hey! What's wrong Suppi?\I'm so glad you're here Touya-kun!\Let go.\Don't want to! Touya-kun!\' Do you want any more?' Thanks.\' Me too!' Ok!\I'm so happy!\Spinel? response:	Want more! More candy!
context: I'm so glad you're here Touya-kun!\Let go.\Don't want to! Touya-kun!\' Do you want any more?' Thanks.\' Me too!' Ok!\I'm so happy!\Spinel?\Want more! More candy! response:	Thank you very much. Found some.
context: Let go.\Don't want to! Touya-kun!\' Do you want any more?' Thanks.\' Me too!' Ok!\I'm so happy!\Spinel?\Want more! More candy!\Thank you very much. Found some. response:	Time to eat!
context: Don't want to! Touya-kun!\' Do you want any more?' Thanks.\' Me too!' Ok!\I'm so happy!\Spinel?\Want more! More candy!\Thank you very much. Found some.\Time to eat! response:	More!
context: ' Do you want any more?' Thanks.\' Me too!' Ok!\I'm so happy!\Spinel?\Want more! More candy!\Thank you very much. Found some.\Time to eat!\More! response:	He did this?
context: ' Me too!' Ok!\I'm so happy!\Spinel?\Want more! More candy!\Thank you very much. Found some.\Time to eat!\More!\He did this? response:	Let's bring out more candy.
context: I'm so happy!\Spinel?\Want more! More candy!\Thank you very much. Found some.\Time to eat!\More!\He did this?\Let's bring out more candy. response:	Good idea.
context: Spinel?\Want more! More candy!\Thank you very much. Found some.\Time to eat!\More!\He did this?\Let's bring out more candy.\Good idea. response:	It's gone! Really? Where could it have gone?
context: Want more! More candy!\Thank you very much. Found some.\Time to eat!\More!\He did this?\Let's bring out more candy.\Good idea.\It's gone! Really? Where could it have gone? response:	Geez! Where'd he go?
context: Thank you very much. Found some.\Time to eat!\More!\He did this?\Let's bring out more candy.\Good idea.\It's gone! Really? Where could it have gone?\Geez! Where'd he go? response:	Ah! It was just here! What?
context: Time to eat!\More!\He did this?\Let's bring out more candy.\Good idea.\It's gone! Really? Where could it have gone?\Geez! Where'd he go?\Ah! It was just here! What? response:	Where'd'?
context: More!\He did this?\Let's bring out more candy.\Good idea.\It's gone! Really? Where could it have gone?\Geez! Where'd he go?\Ah! It was just here! What?\Where'd'? response:	I just had it'
context: He did this?\Let's bring out more candy.\Good idea.\It's gone! Really? Where could it have gone?\Geez! Where'd he go?\Ah! It was just here! What?\Where'd'?\I just had it' response:	Why this happen?
context: Let's bring out more candy.\Good idea.\It's gone! Really? Where could it have gone?\Geez! Where'd he go?\Ah! It was just here! What?\Where'd'?\I just had it'\Why this happen? response:	Eh, all candies are gone.
context: Good idea.\It's gone! Really? Where could it have gone?\Geez! Where'd he go?\Ah! It was just here! What?\Where'd'?\I just had it'\Why this happen?\Eh, all candies are gone. response:	Sakura's going to think I did it!
context: It's gone! Really? Where could it have gone?\Geez! Where'd he go?\Ah! It was just here! What?\Where'd'?\I just had it'\Why this happen?\Eh, all candies are gone.\Sakura's going to think I did it! response:	Want more candy! Yum! This way' ha!
context: Geez! Where'd he go?\Ah! It was just here! What?\Where'd'?\I just had it'\Why this happen?\Eh, all candies are gone.\Sakura's going to think I did it!\Want more candy! Yum! This way' ha! response:	Found you
context: Ah! It was just here! What?\Where'd'?\I just had it'\Why this happen?\Eh, all candies are gone.\Sakura's going to think I did it!\Want more candy! Yum! This way' ha!\Found you response:	Ready to eat!
context: Where'd'?\I just had it'\Why this happen?\Eh, all candies are gone.\Sakura's going to think I did it!\Want more candy! Yum! This way' ha!\Found you\Ready to eat! response:	Suppi!
context: I just had it'\Why this happen?\Eh, all candies are gone.\Sakura's going to think I did it!\Want more candy! Yum! This way' ha!\Found you\Ready to eat!\Suppi! response:	I finally found you.
context: Why this happen?\Eh, all candies are gone.\Sakura's going to think I did it!\Want more candy! Yum! This way' ha!\Found you\Ready to eat!\Suppi!\I finally found you. response:	Want some?
context: Eh, all candies are gone.\Sakura's going to think I did it!\Want more candy! Yum! This way' ha!\Found you\Ready to eat!\Suppi!\I finally found you.\Want some? response:	Ready to ea'
context: Sakura's going to think I did it!\Want more candy! Yum! This way' ha!\Found you\Ready to eat!\Suppi!\I finally found you.\Want some?\Ready to ea' response:	Stop eating already!
context: Want more candy! Yum! This way' ha!\Found you\Ready to eat!\Suppi!\I finally found you.\Want some?\Ready to ea'\Stop eating already! response:	Listen to me!
context: Found you\Ready to eat!\Suppi!\I finally found you.\Want some?\Ready to ea'\Stop eating already!\Listen to me! response:	If you keep eating like this,
context: Ready to eat!\Suppi!\I finally found you.\Want some?\Ready to ea'\Stop eating already!\Listen to me!\If you keep eating like this, response:	Sakura will get very mad!
context: Suppi!\I finally found you.\Want some?\Ready to ea'\Stop eating already!\Listen to me!\If you keep eating like this,\Sakura will get very mad! response:	What'll I do if anyone comes!
context: I finally found you.\Want some?\Ready to ea'\Stop eating already!\Listen to me!\If you keep eating like this,\Sakura will get very mad!\What'll I do if anyone comes! response:	Thank you very much for listening.
context: Want some?\Ready to ea'\Stop eating already!\Listen to me!\If you keep eating like this,\Sakura will get very mad!\What'll I do if anyone comes!\Thank you very much for listening. response:	This is bad.
context: Ready to ea'\Stop eating already!\Listen to me!\If you keep eating like this,\Sakura will get very mad!\What'll I do if anyone comes!\Thank you very much for listening.\This is bad. response:	Hey, Suppi!
context: Stop eating already!\Listen to me!\If you keep eating like this,\Sakura will get very mad!\What'll I do if anyone comes!\Thank you very much for listening.\This is bad.\Hey, Suppi! response:	Why can't I eat??
context: Listen to me!\If you keep eating like this,\Sakura will get very mad!\What'll I do if anyone comes!\Thank you very much for listening.\This is bad.\Hey, Suppi!\Why can't I eat?? response:	You meanie!!
context: If you keep eating like this,\Sakura will get very mad!\What'll I do if anyone comes!\Thank you very much for listening.\This is bad.\Hey, Suppi!\Why can't I eat??\You meanie!! response:	What was that?
context: Sakura will get very mad!\What'll I do if anyone comes!\Thank you very much for listening.\This is bad.\Hey, Suppi!\Why can't I eat??\You meanie!!\What was that? response:	You're so mean!!!
context: What'll I do if anyone comes!\Thank you very much for listening.\This is bad.\Hey, Suppi!\Why can't I eat??\You meanie!!\What was that?\You're so mean!!! response:	People are going to notice
context: Thank you very much for listening.\This is bad.\Hey, Suppi!\Why can't I eat??\You meanie!!\What was that?\You're so mean!!!\People are going to notice response:	if he keeps this up
context: This is bad.\Hey, Suppi!\Why can't I eat??\You meanie!!\What was that?\You're so mean!!!\People are going to notice\if he keeps this up response:	That's it
context: Hey, Suppi!\Why can't I eat??\You meanie!!\What was that?\You're so mean!!!\People are going to notice\if he keeps this up\That's it response:	What's going on'
context: Why can't I eat??\You meanie!!\What was that?\You're so mean!!!\People are going to notice\if he keeps this up\That's it\What's going on' response:	Trouble!!
context: You meanie!!\What was that?\You're so mean!!!\People are going to notice\if he keeps this up\That's it\What's going on'\Trouble!! response:	It's bad!
context: What was that?\You're so mean!!!\People are going to notice\if he keeps this up\That's it\What's going on'\Trouble!!\It's bad! response:	Kero-chan! I told you not to come in here!
context: You're so mean!!!\People are going to notice\if he keeps this up\That's it\What's going on'\Trouble!!\It's bad!\Kero-chan! I told you not to come in here! response:	No time for that!
context: People are going to notice\if he keeps this up\That's it\What's going on'\Trouble!!\It's bad!\Kero-chan! I told you not to come in here!\No time for that! response:	Hurry and use SLEEP!
context: if he keeps this up\That's it\What's going on'\Trouble!!\It's bad!\Kero-chan! I told you not to come in here!\No time for that!\Hurry and use SLEEP! response:	Make everyone
context: That's it\What's going on'\Trouble!!\It's bad!\Kero-chan! I told you not to come in here!\No time for that!\Hurry and use SLEEP!\Make everyone response:	fall asleep quickly.
context: What's going on'\Trouble!!\It's bad!\Kero-chan! I told you not to come in here!\No time for that!\Hurry and use SLEEP!\Make everyone\fall asleep quickly. response:	Why?
context: Trouble!!\It's bad!\Kero-chan! I told you not to come in here!\No time for that!\Hurry and use SLEEP!\Make everyone\fall asleep quickly.\Why? response:	I'll explain later! Hurry!
context: It's bad!\Kero-chan! I told you not to come in here!\No time for that!\Hurry and use SLEEP!\Make everyone\fall asleep quickly.\Why?\I'll explain later! Hurry! response:	Ok.
context: Kero-chan! I told you not to come in here!\No time for that!\Hurry and use SLEEP!\Make everyone\fall asleep quickly.\Why?\I'll explain later! Hurry!\Ok. response:	Oh card Created by Clow.
context: No time for that!\Hurry and use SLEEP!\Make everyone\fall asleep quickly.\Why?\I'll explain later! Hurry!\Ok.\Oh card Created by Clow. response:	Hear my words and be reborn.
context: Hurry and use SLEEP!\Make everyone\fall asleep quickly.\Why?\I'll explain later! Hurry!\Ok.\Oh card Created by Clow.\Hear my words and be reborn. response:	I, Sakura, command you,
context: Make everyone\fall asleep quickly.\Why?\I'll explain later! Hurry!\Ok.\Oh card Created by Clow.\Hear my words and be reborn.\I, Sakura, command you, response:	Sleep!
context: fall asleep quickly.\Why?\I'll explain later! Hurry!\Ok.\Oh card Created by Clow.\Hear my words and be reborn.\I, Sakura, command you,\Sleep! response:	Alright!
context: Why?\I'll explain later! Hurry!\Ok.\Oh card Created by Clow.\Hear my words and be reborn.\I, Sakura, command you,\Sleep!\Alright! response:	Wait! Kero-chan!
context: I'll explain later! Hurry!\Ok.\Oh card Created by Clow.\Hear my words and be reborn.\I, Sakura, command you,\Sleep!\Alright!\Wait! Kero-chan! response:	Yummy!
context: Ok.\Oh card Created by Clow.\Hear my words and be reborn.\I, Sakura, command you,\Sleep!\Alright!\Wait! Kero-chan!\Yummy! response:	Oh dear.
context: Oh card Created by Clow.\Hear my words and be reborn.\I, Sakura, command you,\Sleep!\Alright!\Wait! Kero-chan!\Yummy!\Oh dear. response:	Meanie, go away!
context: Hear my words and be reborn.\I, Sakura, command you,\Sleep!\Alright!\Wait! Kero-chan!\Yummy!\Oh dear.\Meanie, go away! response:	No way!
context: I, Sakura, command you,\Sleep!\Alright!\Wait! Kero-chan!\Yummy!\Oh dear.\Meanie, go away!\No way! response:	Stay away!
context: Sleep!\Alright!\Wait! Kero-chan!\Yummy!\Oh dear.\Meanie, go away!\No way!\Stay away! response:	Will you wait a minute!
context: Alright!\Wait! Kero-chan!\Yummy!\Oh dear.\Meanie, go away!\No way!\Stay away!\Will you wait a minute! response:	What? That was Clow's aura.
context: Wait! Kero-chan!\Yummy!\Oh dear.\Meanie, go away!\No way!\Stay away!\Will you wait a minute!\What? That was Clow's aura. response:	Kero-chan!
context: Yummy!\Oh dear.\Meanie, go away!\No way!\Stay away!\Will you wait a minute!\What? That was Clow's aura.\Kero-chan! response:	It's no use. He got away.
context: Oh dear.\Meanie, go away!\No way!\Stay away!\Will you wait a minute!\What? That was Clow's aura.\Kero-chan!\It's no use. He got away. response:	It was you!
context: Meanie, go away!\No way!\Stay away!\Will you wait a minute!\What? That was Clow's aura.\Kero-chan!\It's no use. He got away.\It was you! response:	What?
context: No way!\Stay away!\Will you wait a minute!\What? That was Clow's aura.\Kero-chan!\It's no use. He got away.\It was you!\What? response:	You ate all the candy at the stalls!
context: Stay away!\Will you wait a minute!\What? That was Clow's aura.\Kero-chan!\It's no use. He got away.\It was you!\What?\You ate all the candy at the stalls! response:	And knocked down a tree!
context: Will you wait a minute!\What? That was Clow's aura.\Kero-chan!\It's no use. He got away.\It was you!\What?\You ate all the candy at the stalls!\And knocked down a tree! response:	And the stuff in the staff room!
context: What? That was Clow's aura.\Kero-chan!\It's no use. He got away.\It was you!\What?\You ate all the candy at the stalls!\And knocked down a tree!\And the stuff in the staff room! response:	No! It wasn't me! It was Suppi!
context: Kero-chan!\It's no use. He got away.\It was you!\What?\You ate all the candy at the stalls!\And knocked down a tree!\And the stuff in the staff room!\No! It wasn't me! It was Suppi! response:	And Suppi is?
context: It's no use. He got away.\It was you!\What?\You ate all the candy at the stalls!\And knocked down a tree!\And the stuff in the staff room!\No! It wasn't me! It was Suppi!\And Suppi is? response:	He looks like this'
context: It was you!\What?\You ate all the candy at the stalls!\And knocked down a tree!\And the stuff in the staff room!\No! It wasn't me! It was Suppi!\And Suppi is?\He looks like this' response:	wings' face'
context: What?\You ate all the candy at the stalls!\And knocked down a tree!\And the stuff in the staff room!\No! It wasn't me! It was Suppi!\And Suppi is?\He looks like this'\wings' face' response:	tail'
context: You ate all the candy at the stalls!\And knocked down a tree!\And the stuff in the staff room!\No! It wasn't me! It was Suppi!\And Suppi is?\He looks like this'\wings' face'\tail' response:	This is him. He did it.
context: And knocked down a tree!\And the stuff in the staff room!\No! It wasn't me! It was Suppi!\And Suppi is?\He looks like this'\wings' face'\tail'\This is him. He did it. response:	This is'
context: And the stuff in the staff room!\No! It wasn't me! It was Suppi!\And Suppi is?\He looks like this'\wings' face'\tail'\This is him. He did it.\This is' response:	Kero-chan isn't it?
context: No! It wasn't me! It was Suppi!\And Suppi is?\He looks like this'\wings' face'\tail'\This is him. He did it.\This is'\Kero-chan isn't it? response:	No! It wasn't me!
context: And Suppi is?\He looks like this'\wings' face'\tail'\This is him. He did it.\This is'\Kero-chan isn't it?\No! It wasn't me! response:	And you promised
context: He looks like this'\wings' face'\tail'\This is him. He did it.\This is'\Kero-chan isn't it?\No! It wasn't me!\And you promised response:	to behave yourself!
context: wings' face'\tail'\This is him. He did it.\This is'\Kero-chan isn't it?\No! It wasn't me!\And you promised\to behave yourself! response:	I'm telling the truth!
context: tail'\This is him. He did it.\This is'\Kero-chan isn't it?\No! It wasn't me!\And you promised\to behave yourself!\I'm telling the truth! response:	When you tell lies, they soon come back to haunt you!
context: This is him. He did it.\This is'\Kero-chan isn't it?\No! It wasn't me!\And you promised\to behave yourself!\I'm telling the truth!\When you tell lies, they soon come back to haunt you! response:	That's mean!
context: This is'\Kero-chan isn't it?\No! It wasn't me!\And you promised\to behave yourself!\I'm telling the truth!\When you tell lies, they soon come back to haunt you!\That's mean! response:	Where did you go, Suppi!?
context: Kero-chan isn't it?\No! It wasn't me!\And you promised\to behave yourself!\I'm telling the truth!\When you tell lies, they soon come back to haunt you!\That's mean!\Where did you go, Suppi!? response:	You seem to have eaten a lot of sweets.
context: No! It wasn't me!\And you promised\to behave yourself!\I'm telling the truth!\When you tell lies, they soon come back to haunt you!\That's mean!\Where did you go, Suppi!?\You seem to have eaten a lot of sweets. response:	I guess you like them
context: And you promised\to behave yourself!\I'm telling the truth!\When you tell lies, they soon come back to haunt you!\That's mean!\Where did you go, Suppi!?\You seem to have eaten a lot of sweets.\I guess you like them response:	don't you Spinel
context: to behave yourself!\I'm telling the truth!\When you tell lies, they soon come back to haunt you!\That's mean!\Where did you go, Suppi!?\You seem to have eaten a lot of sweets.\I guess you like them\don't you Spinel response:	You and Kerberos
context: I'm telling the truth!\When you tell lies, they soon come back to haunt you!\That's mean!\Where did you go, Suppi!?\You seem to have eaten a lot of sweets.\I guess you like them\don't you Spinel\You and Kerberos response:	are more alike than you'd think
