context: We've sealed off all the entrances around the airport. response:	However, there is still no sign of BK201.
context: I'm here for sightseeing.\I used to study here.\Oh...\Then I'd suggest you quickly return to your country.\Pretty soon, you won't be able to see the sun here.\And then... a few days later after I left Japan...\Yes! It's her!\Yes? response:	Are you Makimiya Asako-san?
context: I used to study here.\Oh...\Then I'd suggest you quickly return to your country.\Pretty soon, you won't be able to see the sun here.\And then... a few days later after I left Japan...\Yes! It's her!\Yes?\Are you Makimiya Asako-san? response:	Please excuse me for coming here without prior notice.
context: Oh...\Then I'd suggest you quickly return to your country.\Pretty soon, you won't be able to see the sun here.\And then... a few days later after I left Japan...\Yes! It's her!\Yes?\Are you Makimiya Asako-san?\Please excuse me for coming here without prior notice. response:	I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko.
context: Then I'd suggest you quickly return to your country.\Pretty soon, you won't be able to see the sun here.\And then... a few days later after I left Japan...\Yes! It's her!\Yes?\Are you Makimiya Asako-san?\Please excuse me for coming here without prior notice.\I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko. response:	You're from the Syndicate!
context: Pretty soon, you won't be able to see the sun here.\And then... a few days later after I left Japan...\Yes! It's her!\Yes?\Are you Makimiya Asako-san?\Please excuse me for coming here without prior notice.\I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko.\You're from the Syndicate! response:	The Syndicate? Did you just say the Syndicate?
context: And then... a few days later after I left Japan...\Yes! It's her!\Yes?\Are you Makimiya Asako-san?\Please excuse me for coming here without prior notice.\I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko.\You're from the Syndicate!\The Syndicate? Did you just say the Syndicate? response:	How do you...
context: Yes! It's her!\Yes?\Are you Makimiya Asako-san?\Please excuse me for coming here without prior notice.\I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko.\You're from the Syndicate!\The Syndicate? Did you just say the Syndicate?\How do you... response:	Go away!
context: Yes?\Are you Makimiya Asako-san?\Please excuse me for coming here without prior notice.\I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko.\You're from the Syndicate!\The Syndicate? Did you just say the Syndicate?\How do you...\Go away! response:	I don't have anything to do with him or the Syndicate!
context: Are you Makimiya Asako-san?\Please excuse me for coming here without prior notice.\I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko.\You're from the Syndicate!\The Syndicate? Did you just say the Syndicate?\How do you...\Go away!\I don't have anything to do with him or the Syndicate! response:	Please wait!
context: Please excuse me for coming here without prior notice.\I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko.\You're from the Syndicate!\The Syndicate? Did you just say the Syndicate?\How do you...\Go away!\I don't have anything to do with him or the Syndicate!\Please wait! response:	Are you...
context: I'd like to ask you some questions regarding Mr. Mikhail Pavlichenko.\You're from the Syndicate!\The Syndicate? Did you just say the Syndicate?\How do you...\Go away!\I don't have anything to do with him or the Syndicate!\Please wait!\Are you... response:	Don't tell me... that Professor Pavlichenko is a member of the Syndicate?
context: You're from the Syndicate!\The Syndicate? Did you just say the Syndicate?\How do you...\Go away!\I don't have anything to do with him or the Syndicate!\Please wait!\Are you...\Don't tell me... that Professor Pavlichenko is a member of the Syndicate? response:	Who are you?
context: The Syndicate? Did you just say the Syndicate?\How do you...\Go away!\I don't have anything to do with him or the Syndicate!\Please wait!\Are you...\Don't tell me... that Professor Pavlichenko is a member of the Syndicate?\Who are you? response:	We're working to stop the Syndicate.
context: How do you...\Go away!\I don't have anything to do with him or the Syndicate!\Please wait!\Are you...\Don't tell me... that Professor Pavlichenko is a member of the Syndicate?\Who are you?\We're working to stop the Syndicate. response:	They have been lurking in the darkness.
context: Go away!\I don't have anything to do with him or the Syndicate!\Please wait!\Are you...\Don't tell me... that Professor Pavlichenko is a member of the Syndicate?\Who are you?\We're working to stop the Syndicate.\They have been lurking in the darkness. response:	But we'll definitely unveil them!
context: I don't have anything to do with him or the Syndicate!\Please wait!\Are you...\Don't tell me... that Professor Pavlichenko is a member of the Syndicate?\Who are you?\We're working to stop the Syndicate.\They have been lurking in the darkness.\But we'll definitely unveil them! response:	Please... tell me what happened between you and the Syndicate.
context: Please wait!\Are you...\Don't tell me... that Professor Pavlichenko is a member of the Syndicate?\Who are you?\We're working to stop the Syndicate.\They have been lurking in the darkness.\But we'll definitely unveil them!\Please... tell me what happened between you and the Syndicate. response:	And about Suou and Shion.
context: Are you...\Don't tell me... that Professor Pavlichenko is a member of the Syndicate?\Who are you?\We're working to stop the Syndicate.\They have been lurking in the darkness.\But we'll definitely unveil them!\Please... tell me what happened between you and the Syndicate.\And about Suou and Shion. response:	I've met her twice before.
context: Don't tell me... that Professor Pavlichenko is a member of the Syndicate?\Who are you?\We're working to stop the Syndicate.\They have been lurking in the darkness.\But we'll definitely unveil them!\Please... tell me what happened between you and the Syndicate.\And about Suou and Shion.\I've met her twice before. response:	The first time was in Ikebukuro.
context: Who are you?\We're working to stop the Syndicate.\They have been lurking in the darkness.\But we'll definitely unveil them!\Please... tell me what happened between you and the Syndicate.\And about Suou and Shion.\I've met her twice before.\The first time was in Ikebukuro. response:	And the other time was...
context: We're working to stop the Syndicate.\They have been lurking in the darkness.\But we'll definitely unveil them!\Please... tell me what happened between you and the Syndicate.\And about Suou and Shion.\I've met her twice before.\The first time was in Ikebukuro.\And the other time was... response:	when I joined the Syndicate, and went to a university in Moscow as a contractor.
context: They have been lurking in the darkness.\But we'll definitely unveil them!\Please... tell me what happened between you and the Syndicate.\And about Suou and Shion.\I've met her twice before.\The first time was in Ikebukuro.\And the other time was...\when I joined the Syndicate, and went to a university in Moscow as a contractor. response:	The professor was researching something interesting at that university.
context: But we'll definitely unveil them!\Please... tell me what happened between you and the Syndicate.\And about Suou and Shion.\I've met her twice before.\The first time was in Ikebukuro.\And the other time was...\when I joined the Syndicate, and went to a university in Moscow as a contractor.\The professor was researching something interesting at that university. response:	But nobody knew a thing about it.
context: Please... tell me what happened between you and the Syndicate.\And about Suou and Shion.\I've met her twice before.\The first time was in Ikebukuro.\And the other time was...\when I joined the Syndicate, and went to a university in Moscow as a contractor.\The professor was researching something interesting at that university.\But nobody knew a thing about it. response:	I was hired as an agent for another faction
context: And about Suou and Shion.\I've met her twice before.\The first time was in Ikebukuro.\And the other time was...\when I joined the Syndicate, and went to a university in Moscow as a contractor.\The professor was researching something interesting at that university.\But nobody knew a thing about it.\I was hired as an agent for another faction response:	and infiltrated his lab.
context: I've met her twice before.\The first time was in Ikebukuro.\And the other time was...\when I joined the Syndicate, and went to a university in Moscow as a contractor.\The professor was researching something interesting at that university.\But nobody knew a thing about it.\I was hired as an agent for another faction\and infiltrated his lab. response:	That day, I took Shion and Suou to the university.
context: The first time was in Ikebukuro.\And the other time was...\when I joined the Syndicate, and went to a university in Moscow as a contractor.\The professor was researching something interesting at that university.\But nobody knew a thing about it.\I was hired as an agent for another faction\and infiltrated his lab.\That day, I took Shion and Suou to the university. response:	I just wanted to give my husband his lunch.
context: And the other time was...\when I joined the Syndicate, and went to a university in Moscow as a contractor.\The professor was researching something interesting at that university.\But nobody knew a thing about it.\I was hired as an agent for another faction\and infiltrated his lab.\That day, I took Shion and Suou to the university.\I just wanted to give my husband his lunch. response:	Did you see that? That's what it becomes.
context: when I joined the Syndicate, and went to a university in Moscow as a contractor.\The professor was researching something interesting at that university.\But nobody knew a thing about it.\I was hired as an agent for another faction\and infiltrated his lab.\That day, I took Shion and Suou to the university.\I just wanted to give my husband his lunch.\Did you see that? That's what it becomes. response:	Um...
context: The professor was researching something interesting at that university.\But nobody knew a thing about it.\I was hired as an agent for another faction\and infiltrated his lab.\That day, I took Shion and Suou to the university.\I just wanted to give my husband his lunch.\Did you see that? That's what it becomes.\Um... response:	Those ankles...
context: But nobody knew a thing about it.\I was hired as an agent for another faction\and infiltrated his lab.\That day, I took Shion and Suou to the university.\I just wanted to give my husband his lunch.\Did you see that? That's what it becomes.\Um...\Those ankles... response:	I did it!
context: I was hired as an agent for another faction\and infiltrated his lab.\That day, I took Shion and Suou to the university.\I just wanted to give my husband his lunch.\Did you see that? That's what it becomes.\Um...\Those ankles...\I did it! response:	Whoa, you did great, Suou!
context: and infiltrated his lab.\That day, I took Shion and Suou to the university.\I just wanted to give my husband his lunch.\Did you see that? That's what it becomes.\Um...\Those ankles...\I did it!\Whoa, you did great, Suou! response:	I know!
context: That day, I took Shion and Suou to the university.\I just wanted to give my husband his lunch.\Did you see that? That's what it becomes.\Um...\Those ankles...\I did it!\Whoa, you did great, Suou!\I know! response:	Mom, I have to pee.
context: I just wanted to give my husband his lunch.\Did you see that? That's what it becomes.\Um...\Those ankles...\I did it!\Whoa, you did great, Suou!\I know!\Mom, I have to pee. response:	All right, let's go.
context: Did you see that? That's what it becomes.\Um...\Those ankles...\I did it!\Whoa, you did great, Suou!\I know!\Mom, I have to pee.\All right, let's go. response:	Suou, are you coming too?
context: Um...\Those ankles...\I did it!\Whoa, you did great, Suou!\I know!\Mom, I have to pee.\All right, let's go.\Suou, are you coming too? response:	I'll be here!
context: Those ankles...\I did it!\Whoa, you did great, Suou!\I know!\Mom, I have to pee.\All right, let's go.\Suou, are you coming too?\I'll be here! response:	I want to make more.
context: I did it!\Whoa, you did great, Suou!\I know!\Mom, I have to pee.\All right, let's go.\Suou, are you coming too?\I'll be here!\I want to make more. response:	When Papa's work is done, I want to give it to him.
context: Whoa, you did great, Suou!\I know!\Mom, I have to pee.\All right, let's go.\Suou, are you coming too?\I'll be here!\I want to make more.\When Papa's work is done, I want to give it to him. response:	I see.
context: I know!\Mom, I have to pee.\All right, let's go.\Suou, are you coming too?\I'll be here!\I want to make more.\When Papa's work is done, I want to give it to him.\I see. response:	At that time, the Syndicate's internal conflicts had reached a point of no return.
context: Mom, I have to pee.\All right, let's go.\Suou, are you coming too?\I'll be here!\I want to make more.\When Papa's work is done, I want to give it to him.\I see.\At that time, the Syndicate's internal conflicts had reached a point of no return. response:	I was framed...
context: All right, let's go.\Suou, are you coming too?\I'll be here!\I want to make more.\When Papa's work is done, I want to give it to him.\I see.\At that time, the Syndicate's internal conflicts had reached a point of no return.\I was framed... response:	That day, at that place.
context: Suou, are you coming too?\I'll be here!\I want to make more.\When Papa's work is done, I want to give it to him.\I see.\At that time, the Syndicate's internal conflicts had reached a point of no return.\I was framed...\That day, at that place. response:	Mama.
context: I'll be here!\I want to make more.\When Papa's work is done, I want to give it to him.\I see.\At that time, the Syndicate's internal conflicts had reached a point of no return.\I was framed...\That day, at that place.\Mama. response:	Mama!
context: I want to make more.\When Papa's work is done, I want to give it to him.\I see.\At that time, the Syndicate's internal conflicts had reached a point of no return.\I was framed...\That day, at that place.\Mama.\Mama! response:	Mama, Suou...
context: When Papa's work is done, I want to give it to him.\I see.\At that time, the Syndicate's internal conflicts had reached a point of no return.\I was framed...\That day, at that place.\Mama.\Mama!\Mama, Suou... response:	Suou...
context: I see.\At that time, the Syndicate's internal conflicts had reached a point of no return.\I was framed...\That day, at that place.\Mama.\Mama!\Mama, Suou...\Suou... response:	Suou!
context: At that time, the Syndicate's internal conflicts had reached a point of no return.\I was framed...\That day, at that place.\Mama.\Mama!\Mama, Suou...\Suou...\Suou! response:	Suou died in that explosion...
context: I was framed...\That day, at that place.\Mama.\Mama!\Mama, Suou...\Suou...\Suou!\Suou died in that explosion... response:	She died!
context: That day, at that place.\Mama.\Mama!\Mama, Suou...\Suou...\Suou!\Suou died in that explosion...\She died! response:	Episode 10 You Smile on that Fake Street Corner
context: Mama.\Mama!\Mama, Suou...\Suou...\Suou!\Suou died in that explosion...\She died!\Episode 10 You Smile on that Fake Street Corner response:	Answer me!
context: Mama!\Mama, Suou...\Suou...\Suou!\Suou died in that explosion...\She died!\Episode 10 You Smile on that Fake Street Corner\Answer me! response:	Where is Yin?!
context: Mama, Suou...\Suou...\Suou!\Suou died in that explosion...\She died!\Episode 10 You Smile on that Fake Street Corner\Answer me!\Where is Yin?! response:	Yin?
context: Suou...\Suou!\Suou died in that explosion...\She died!\Episode 10 You Smile on that Fake Street Corner\Answer me!\Where is Yin?!\Yin? response:	Yin...?
context: Suou!\Suou died in that explosion...\She died!\Episode 10 You Smile on that Fake Street Corner\Answer me!\Where is Yin?!\Yin?\Yin...? response:	Izanami!
context: Suou died in that explosion...\She died!\Episode 10 You Smile on that Fake Street Corner\Answer me!\Where is Yin?!\Yin?\Yin...?\Izanami! response:	Izanami...
context: She died!\Episode 10 You Smile on that Fake Street Corner\Answer me!\Where is Yin?!\Yin?\Yin...?\Izanami!\Izanami... response:	Iza... na... mi...
context: Episode 10 You Smile on that Fake Street Corner\Answer me!\Where is Yin?!\Yin?\Yin...?\Izanami!\Izanami...\Iza... na... mi... response:	No! Izanami... can't meet with Izanagi!
context: Answer me!\Where is Yin?!\Yin?\Yin...?\Izanami!\Izanami...\Iza... na... mi...\No! Izanami... can't meet with Izanagi! response:	Why?
context: Where is Yin?!\Yin?\Yin...?\Izanami!\Izanami...\Iza... na... mi...\No! Izanami... can't meet with Izanagi!\Why? response:	A big disaster...
context: Yin?\Yin...?\Izanami!\Izanami...\Iza... na... mi...\No! Izanami... can't meet with Izanagi!\Why?\A big disaster... response:	Evolution...
context: Yin...?\Izanami!\Izanami...\Iza... na... mi...\No! Izanami... can't meet with Izanagi!\Why?\A big disaster...\Evolution... response:	The old woman that holds the memories of the future...
context: Izanami!\Izanami...\Iza... na... mi...\No! Izanami... can't meet with Izanagi!\Why?\A big disaster...\Evolution...\The old woman that holds the memories of the future... response:	The various different futures she recorded...
context: Izanami...\Iza... na... mi...\No! Izanami... can't meet with Izanagi!\Why?\A big disaster...\Evolution...\The old woman that holds the memories of the future...\The various different futures she recorded... response:	Various?
context: Iza... na... mi...\No! Izanami... can't meet with Izanagi!\Why?\A big disaster...\Evolution...\The old woman that holds the memories of the future...\The various different futures she recorded...\Various? response:	The world is running...
context: No! Izanami... can't meet with Izanagi!\Why?\A big disaster...\Evolution...\The old woman that holds the memories of the future...\The various different futures she recorded...\Various?\The world is running... response:	A dreadful memory written in the Mitaka Documents...
context: Why?\A big disaster...\Evolution...\The old woman that holds the memories of the future...\The various different futures she recorded...\Various?\The world is running...\A dreadful memory written in the Mitaka Documents... response:	And... and then...
context: A big disaster...\Evolution...\The old woman that holds the memories of the future...\The various different futures she recorded...\Various?\The world is running...\A dreadful memory written in the Mitaka Documents...\And... and then... response:	I have to protect Hazuki-san.
context: Evolution...\The old woman that holds the memories of the future...\The various different futures she recorded...\Various?\The world is running...\A dreadful memory written in the Mitaka Documents...\And... and then...\I have to protect Hazuki-san. response:	I just want to know about Izanami!
context: The old woman that holds the memories of the future...\The various different futures she recorded...\Various?\The world is running...\A dreadful memory written in the Mitaka Documents...\And... and then...\I have to protect Hazuki-san.\I just want to know about Izanami! response:	Answer me!
context: The various different futures she recorded...\Various?\The world is running...\A dreadful memory written in the Mitaka Documents...\And... and then...\I have to protect Hazuki-san.\I just want to know about Izanami!\Answer me! response:	Where's Izanami?!
context: Various?\The world is running...\A dreadful memory written in the Mitaka Documents...\And... and then...\I have to protect Hazuki-san.\I just want to know about Izanami!\Answer me!\Where's Izanami?! response:	Izanami will kill the contractors...
context: The world is running...\A dreadful memory written in the Mitaka Documents...\And... and then...\I have to protect Hazuki-san.\I just want to know about Izanami!\Answer me!\Where's Izanami?!\Izanami will kill the contractors... response:	The 18th Research Lab...
context: A dreadful memory written in the Mitaka Documents...\And... and then...\I have to protect Hazuki-san.\I just want to know about Izanami!\Answer me!\Where's Izanami?!\Izanami will kill the contractors...\The 18th Research Lab... response:	I have to stop her...
context: And... and then...\I have to protect Hazuki-san.\I just want to know about Izanami!\Answer me!\Where's Izanami?!\Izanami will kill the contractors...\The 18th Research Lab...\I have to stop her... response:	Or else... or else Hazuki-san will...
context: I have to protect Hazuki-san.\I just want to know about Izanami!\Answer me!\Where's Izanami?!\Izanami will kill the contractors...\The 18th Research Lab...\I have to stop her...\Or else... or else Hazuki-san will... response:	I'll stop her.
context: I just want to know about Izanami!\Answer me!\Where's Izanami?!\Izanami will kill the contractors...\The 18th Research Lab...\I have to stop her...\Or else... or else Hazuki-san will...\I'll stop her. response:	I thought I was done with you.
context: Answer me!\Where's Izanami?!\Izanami will kill the contractors...\The 18th Research Lab...\I have to stop her...\Or else... or else Hazuki-san will...\I'll stop her.\I thought I was done with you. response:	You've done your job splendidly.
context: Where's Izanami?!\Izanami will kill the contractors...\The 18th Research Lab...\I have to stop her...\Or else... or else Hazuki-san will...\I'll stop her.\I thought I was done with you.\You've done your job splendidly. response:	What?
context: Izanami will kill the contractors...\The 18th Research Lab...\I have to stop her...\Or else... or else Hazuki-san will...\I'll stop her.\I thought I was done with you.\You've done your job splendidly.\What? response:	You brought her to Tokyo, didn't you?
context: The 18th Research Lab...\I have to stop her...\Or else... or else Hazuki-san will...\I'll stop her.\I thought I was done with you.\You've done your job splendidly.\What?\You brought her to Tokyo, didn't you? response:	But letting her go alone...
context: I have to stop her...\Or else... or else Hazuki-san will...\I'll stop her.\I thought I was done with you.\You've done your job splendidly.\What?\You brought her to Tokyo, didn't you?\But letting her go alone... response:	A bullet was found in an incident at Oomiya...
context: Or else... or else Hazuki-san will...\I'll stop her.\I thought I was done with you.\You've done your job splendidly.\What?\You brought her to Tokyo, didn't you?\But letting her go alone...\A bullet was found in an incident at Oomiya... response:	as well as an anti-tank rifle, modified for a left-hander.
context: I'll stop her.\I thought I was done with you.\You've done your job splendidly.\What?\You brought her to Tokyo, didn't you?\But letting her go alone...\A bullet was found in an incident at Oomiya...\as well as an anti-tank rifle, modified for a left-hander. response:	Poor little red star...
context: I thought I was done with you.\You've done your job splendidly.\What?\You brought her to Tokyo, didn't you?\But letting her go alone...\A bullet was found in an incident at Oomiya...\as well as an anti-tank rifle, modified for a left-hander.\Poor little red star... response:	I wonder how Section 3 is going to treat her.
context: You've done your job splendidly.\What?\You brought her to Tokyo, didn't you?\But letting her go alone...\A bullet was found in an incident at Oomiya...\as well as an anti-tank rifle, modified for a left-hander.\Poor little red star...\I wonder how Section 3 is going to treat her. response:	I searched for Suou after the explosion.
context: What?\You brought her to Tokyo, didn't you?\But letting her go alone...\A bullet was found in an incident at Oomiya...\as well as an anti-tank rifle, modified for a left-hander.\Poor little red star...\I wonder how Section 3 is going to treat her.\I searched for Suou after the explosion. response:	I ran... and ran... and then...
context: You brought her to Tokyo, didn't you?\But letting her go alone...\A bullet was found in an incident at Oomiya...\as well as an anti-tank rifle, modified for a left-hander.\Poor little red star...\I wonder how Section 3 is going to treat her.\I searched for Suou after the explosion.\I ran... and ran... and then... response:	I saw him using the ME on her lifeless body!
context: But letting her go alone...\A bullet was found in an incident at Oomiya...\as well as an anti-tank rifle, modified for a left-hander.\Poor little red star...\I wonder how Section 3 is going to treat her.\I searched for Suou after the explosion.\I ran... and ran... and then...\I saw him using the ME on her lifeless body! response:	Mikhail!
context: A bullet was found in an incident at Oomiya...\as well as an anti-tank rifle, modified for a left-hander.\Poor little red star...\I wonder how Section 3 is going to treat her.\I searched for Suou after the explosion.\I ran... and ran... and then...\I saw him using the ME on her lifeless body!\Mikhail! response:	What are you doing to our child?!
context: as well as an anti-tank rifle, modified for a left-hander.\Poor little red star...\I wonder how Section 3 is going to treat her.\I searched for Suou after the explosion.\I ran... and ran... and then...\I saw him using the ME on her lifeless body!\Mikhail!\What are you doing to our child?! response:	I'm doing this exactly because she's our child!
context: Poor little red star...\I wonder how Section 3 is going to treat her.\I searched for Suou after the explosion.\I ran... and ran... and then...\I saw him using the ME on her lifeless body!\Mikhail!\What are you doing to our child?!\I'm doing this exactly because she's our child! response:	She'll be ours forever!
context: I wonder how Section 3 is going to treat her.\I searched for Suou after the explosion.\I ran... and ran... and then...\I saw him using the ME on her lifeless body!\Mikhail!\What are you doing to our child?!\I'm doing this exactly because she's our child!\She'll be ours forever! response:	Forever?
context: I searched for Suou after the explosion.\I ran... and ran... and then...\I saw him using the ME on her lifeless body!\Mikhail!\What are you doing to our child?!\I'm doing this exactly because she's our child!\She'll be ours forever!\Forever? response:	Forever.
context: I ran... and ran... and then...\I saw him using the ME on her lifeless body!\Mikhail!\What are you doing to our child?!\I'm doing this exactly because she's our child!\She'll be ours forever!\Forever?\Forever. response:	Hey! My body is dog food now!
context: I saw him using the ME on her lifeless body!\Mikhail!\What are you doing to our child?!\I'm doing this exactly because she's our child!\She'll be ours forever!\Forever?\Forever.\Hey! My body is dog food now! response:	What are you going to do?!
context: Mikhail!\What are you doing to our child?!\I'm doing this exactly because she's our child!\She'll be ours forever!\Forever?\Forever.\Hey! My body is dog food now!\What are you going to do?! response:	Stop! Asako!
context: What are you doing to our child?!\I'm doing this exactly because she's our child!\She'll be ours forever!\Forever?\Forever.\Hey! My body is dog food now!\What are you going to do?!\Stop! Asako! response:	You will regret this! Asako!
context: I'm doing this exactly because she's our child!\She'll be ours forever!\Forever?\Forever.\Hey! My body is dog food now!\What are you going to do?!\Stop! Asako!\You will regret this! Asako! response:	Shion!
context: She'll be ours forever!\Forever?\Forever.\Hey! My body is dog food now!\What are you going to do?!\Stop! Asako!\You will regret this! Asako!\Shion! response:	Shion chose not to come with me.
context: Forever?\Forever.\Hey! My body is dog food now!\What are you going to do?!\Stop! Asako!\You will regret this! Asako!\Shion!\Shion chose not to come with me. response:	I cremated Suou's body, and returned to Japan with her ashes.
context: Forever.\Hey! My body is dog food now!\What are you going to do?!\Stop! Asako!\You will regret this! Asako!\Shion!\Shion chose not to come with me.\I cremated Suou's body, and returned to Japan with her ashes. response:	And today, Suou... no... her fake clone appeared in front of me.
context: Hey! My body is dog food now!\What are you going to do?!\Stop! Asako!\You will regret this! Asako!\Shion!\Shion chose not to come with me.\I cremated Suou's body, and returned to Japan with her ashes.\And today, Suou... no... her fake clone appeared in front of me. response:	Fake?
context: What are you going to do?!\Stop! Asako!\You will regret this! Asako!\Shion!\Shion chose not to come with me.\I cremated Suou's body, and returned to Japan with her ashes.\And today, Suou... no... her fake clone appeared in front of me.\Fake? response:	She looked like Suou...
context: Stop! Asako!\You will regret this! Asako!\Shion!\Shion chose not to come with me.\I cremated Suou's body, and returned to Japan with her ashes.\And today, Suou... no... her fake clone appeared in front of me.\Fake?\She looked like Suou... response:	Her downcast look and pale lips...
context: You will regret this! Asako!\Shion!\Shion chose not to come with me.\I cremated Suou's body, and returned to Japan with her ashes.\And today, Suou... no... her fake clone appeared in front of me.\Fake?\She looked like Suou...\Her downcast look and pale lips... response:	She was like a perfect clone.
context: Shion!\Shion chose not to come with me.\I cremated Suou's body, and returned to Japan with her ashes.\And today, Suou... no... her fake clone appeared in front of me.\Fake?\She looked like Suou...\Her downcast look and pale lips...\She was like a perfect clone. response:	Was it Shion's power?
context: Shion chose not to come with me.\I cremated Suou's body, and returned to Japan with her ashes.\And today, Suou... no... her fake clone appeared in front of me.\Fake?\She looked like Suou...\Her downcast look and pale lips...\She was like a perfect clone.\Was it Shion's power? response:	Shion Pavlichenko's... power?
context: I cremated Suou's body, and returned to Japan with her ashes.\And today, Suou... no... her fake clone appeared in front of me.\Fake?\She looked like Suou...\Her downcast look and pale lips...\She was like a perfect clone.\Was it Shion's power?\Shion Pavlichenko's... power? response:	He defiled her...
context: And today, Suou... no... her fake clone appeared in front of me.\Fake?\She looked like Suou...\Her downcast look and pale lips...\She was like a perfect clone.\Was it Shion's power?\Shion Pavlichenko's... power?\He defiled her... response:	He's crazy!
context: Fake?\She looked like Suou...\Her downcast look and pale lips...\She was like a perfect clone.\Was it Shion's power?\Shion Pavlichenko's... power?\He defiled her...\He's crazy! response:	She's a monster, created from his demented mind!
context: She looked like Suou...\Her downcast look and pale lips...\She was like a perfect clone.\Was it Shion's power?\Shion Pavlichenko's... power?\He defiled her...\He's crazy!\She's a monster, created from his demented mind! response:	Hey! Suou!
context: Her downcast look and pale lips...\She was like a perfect clone.\Was it Shion's power?\Shion Pavlichenko's... power?\He defiled her...\He's crazy!\She's a monster, created from his demented mind!\Hey! Suou! response:	Thank you for helping us!
context: She was like a perfect clone.\Was it Shion's power?\Shion Pavlichenko's... power?\He defiled her...\He's crazy!\She's a monster, created from his demented mind!\Hey! Suou!\Thank you for helping us! response:	I thought you ran away.
context: Was it Shion's power?\Shion Pavlichenko's... power?\He defiled her...\He's crazy!\She's a monster, created from his demented mind!\Hey! Suou!\Thank you for helping us!\I thought you ran away. response:	There's no place for me to run.
context: Shion Pavlichenko's... power?\He defiled her...\He's crazy!\She's a monster, created from his demented mind!\Hey! Suou!\Thank you for helping us!\I thought you ran away.\There's no place for me to run. response:	I wasn't as shocked as I thought I'd be.
context: He defiled her...\He's crazy!\She's a monster, created from his demented mind!\Hey! Suou!\Thank you for helping us!\I thought you ran away.\There's no place for me to run.\I wasn't as shocked as I thought I'd be. response:	Maybe because I'm a contractor?
context: He's crazy!\She's a monster, created from his demented mind!\Hey! Suou!\Thank you for helping us!\I thought you ran away.\There's no place for me to run.\I wasn't as shocked as I thought I'd be.\Maybe because I'm a contractor? response:	Or just a copy?
context: She's a monster, created from his demented mind!\Hey! Suou!\Thank you for helping us!\I thought you ran away.\There's no place for me to run.\I wasn't as shocked as I thought I'd be.\Maybe because I'm a contractor?\Or just a copy? response:	I don't think these things matter.
context: Hey! Suou!\Thank you for helping us!\I thought you ran away.\There's no place for me to run.\I wasn't as shocked as I thought I'd be.\Maybe because I'm a contractor?\Or just a copy?\I don't think these things matter. response:	You should cry if you want to.
context: Thank you for helping us!\I thought you ran away.\There's no place for me to run.\I wasn't as shocked as I thought I'd be.\Maybe because I'm a contractor?\Or just a copy?\I don't think these things matter.\You should cry if you want to. response:	Let's go.
context: I thought you ran away.\There's no place for me to run.\I wasn't as shocked as I thought I'd be.\Maybe because I'm a contractor?\Or just a copy?\I don't think these things matter.\You should cry if you want to.\Let's go. response:	Where?
context: There's no place for me to run.\I wasn't as shocked as I thought I'd be.\Maybe because I'm a contractor?\Or just a copy?\I don't think these things matter.\You should cry if you want to.\Let's go.\Where? response:	Leave everything to me.
context: I wasn't as shocked as I thought I'd be.\Maybe because I'm a contractor?\Or just a copy?\I don't think these things matter.\You should cry if you want to.\Let's go.\Where?\Leave everything to me. response:	I'll guarantee your safety.
context: Maybe because I'm a contractor?\Or just a copy?\I don't think these things matter.\You should cry if you want to.\Let's go.\Where?\Leave everything to me.\I'll guarantee your safety. response:	I-
context: Or just a copy?\I don't think these things matter.\You should cry if you want to.\Let's go.\Where?\Leave everything to me.\I'll guarantee your safety.\I- response:	No! She's...
context: I don't think these things matter.\You should cry if you want to.\Let's go.\Where?\Leave everything to me.\I'll guarantee your safety.\I-\No! She's... response:	Why are you in Section 3?
context: You should cry if you want to.\Let's go.\Where?\Leave everything to me.\I'll guarantee your safety.\I-\No! She's...\Why are you in Section 3? response:	Answer me first!
context: Let's go.\Where?\Leave everything to me.\I'll guarantee your safety.\I-\No! She's...\Why are you in Section 3?\Answer me first! response:	Where's Youko?
context: Where?\Leave everything to me.\I'll guarantee your safety.\I-\No! She's...\Why are you in Section 3?\Answer me first!\Where's Youko? response:	Don't! She's...
context: Leave everything to me.\I'll guarantee your safety.\I-\No! She's...\Why are you in Section 3?\Answer me first!\Where's Youko?\Don't! She's... response:	She tried to capture you.
context: I'll guarantee your safety.\I-\No! She's...\Why are you in Section 3?\Answer me first!\Where's Youko?\Don't! She's...\She tried to capture you. response:	Yes! But she gave me steamed buns!
context: I-\No! She's...\Why are you in Section 3?\Answer me first!\Where's Youko?\Don't! She's...\She tried to capture you.\Yes! But she gave me steamed buns! response:	Let's go.
context: No! She's...\Why are you in Section 3?\Answer me first!\Where's Youko?\Don't! She's...\She tried to capture you.\Yes! But she gave me steamed buns!\Let's go. response:	Li-kun!
context: Why are you in Section 3?\Answer me first!\Where's Youko?\Don't! She's...\She tried to capture you.\Yes! But she gave me steamed buns!\Let's go.\Li-kun! response:	Youko...
