context: Rikudo will win! response:	At the same time, I will beat myself and beat you, Kurahara.
context: Yugyoji Temple Slope\Haiji, Hakone...\It's our dream.\It's a nice dream.\So nice, I never want to wake up.\Yugyoji Temple Slope Section 8 5.5km Remaining\Totsuka Relay Station\Section 8 > Section 9 response:	Time Behind 1st
context: Haiji, Hakone...\It's our dream.\It's a nice dream.\So nice, I never want to wake up.\Yugyoji Temple Slope Section 8 5.5km Remaining\Totsuka Relay Station\Section 8 > Section 9\Time Behind 1st response:	Boso Rikudo
context: It's our dream.\It's a nice dream.\So nice, I never want to wake up.\Yugyoji Temple Slope Section 8 5.5km Remaining\Totsuka Relay Station\Section 8 > Section 9\Time Behind 1st\Boso Rikudo response:	Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year
context: It's a nice dream.\So nice, I never want to wake up.\Yugyoji Temple Slope Section 8 5.5km Remaining\Totsuka Relay Station\Section 8 > Section 9\Time Behind 1st\Boso Rikudo\Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year response:	What's wrong?
context: So nice, I never want to wake up.\Yugyoji Temple Slope Section 8 5.5km Remaining\Totsuka Relay Station\Section 8 > Section 9\Time Behind 1st\Boso Rikudo\Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year\What's wrong? response:	Are you feeling timid?
context: Yugyoji Temple Slope Section 8 5.5km Remaining\Totsuka Relay Station\Section 8 > Section 9\Time Behind 1st\Boso Rikudo\Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year\What's wrong?\Are you feeling timid? response:	Not in the slightest.
context: Totsuka Relay Station\Section 8 > Section 9\Time Behind 1st\Boso Rikudo\Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year\What's wrong?\Are you feeling timid?\Not in the slightest. response:	How are you doing?
context: Section 8 > Section 9\Time Behind 1st\Boso Rikudo\Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year\What's wrong?\Are you feeling timid?\Not in the slightest.\How are you doing? response:	Sorry, but I feel great.
context: Time Behind 1st\Boso Rikudo\Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year\What's wrong?\Are you feeling timid?\Not in the slightest.\How are you doing?\Sorry, but I feel great. response:	In recent history, no runner greater than Fujioka has been seen
context: Boso Rikudo\Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year\What's wrong?\Are you feeling timid?\Not in the slightest.\How are you doing?\Sorry, but I feel great.\In recent history, no runner greater than Fujioka has been seen response:	in the college long-distance running scene.
context: Rikudo/Ueda Fourth-Year > Fujioka Fourth-Year\What's wrong?\Are you feeling timid?\Not in the slightest.\How are you doing?\Sorry, but I feel great.\In recent history, no runner greater than Fujioka has been seen\in the college long-distance running scene. response:	By competing against him, you'll become even stronger.
context: What's wrong?\Are you feeling timid?\Not in the slightest.\How are you doing?\Sorry, but I feel great.\In recent history, no runner greater than Fujioka has been seen\in the college long-distance running scene.\By competing against him, you'll become even stronger. response:	Are you saying I can't beat him yet?
context: Are you feeling timid?\Not in the slightest.\How are you doing?\Sorry, but I feel great.\In recent history, no runner greater than Fujioka has been seen\in the college long-distance running scene.\By competing against him, you'll become even stronger.\Are you saying I can't beat him yet? response:	We ran together for a year.
context: Not in the slightest.\How are you doing?\Sorry, but I feel great.\In recent history, no runner greater than Fujioka has been seen\in the college long-distance running scene.\By competing against him, you'll become even stronger.\Are you saying I can't beat him yet?\We ran together for a year. response:	To me, you are the greatest runner.
context: How are you doing?\Sorry, but I feel great.\In recent history, no runner greater than Fujioka has been seen\in the college long-distance running scene.\By competing against him, you'll become even stronger.\Are you saying I can't beat him yet?\We ran together for a year.\To me, you are the greatest runner. response:	Become stronger, Kakeru.
context: Sorry, but I feel great.\In recent history, no runner greater than Fujioka has been seen\in the college long-distance running scene.\By competing against him, you'll become even stronger.\Are you saying I can't beat him yet?\We ran together for a year.\To me, you are the greatest runner.\Become stronger, Kakeru. response:	Watch me.
context: In recent history, no runner greater than Fujioka has been seen\in the college long-distance running scene.\By competing against him, you'll become even stronger.\Are you saying I can't beat him yet?\We ran together for a year.\To me, you are the greatest runner.\Become stronger, Kakeru.\Watch me. response:	Watch what you believed in.
context: in the college long-distance running scene.\By competing against him, you'll become even stronger.\Are you saying I can't beat him yet?\We ran together for a year.\To me, you are the greatest runner.\Become stronger, Kakeru.\Watch me.\Watch what you believed in. response:	Sakaki!
context: By competing against him, you'll become even stronger.\Are you saying I can't beat him yet?\We ran together for a year.\To me, you are the greatest runner.\Become stronger, Kakeru.\Watch me.\Watch what you believed in.\Sakaki! response:	Tokyo Sport's Sakaki dropped his pace at the end,
context: Are you saying I can't beat him yet?\We ran together for a year.\To me, you are the greatest runner.\Become stronger, Kakeru.\Watch me.\Watch what you believed in.\Sakaki!\Tokyo Sport's Sakaki dropped his pace at the end, response:	Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59
context: We ran together for a year.\To me, you are the greatest runner.\Become stronger, Kakeru.\Watch me.\Watch what you believed in.\Sakaki!\Tokyo Sport's Sakaki dropped his pace at the end,\Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59 response:	Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year
context: To me, you are the greatest runner.\Become stronger, Kakeru.\Watch me.\Watch what you believed in.\Sakaki!\Tokyo Sport's Sakaki dropped his pace at the end,\Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59\Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year response:	but perseveres to pass along his team's sash.
context: Become stronger, Kakeru.\Watch me.\Watch what you believed in.\Sakaki!\Tokyo Sport's Sakaki dropped his pace at the end,\Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59\Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year\but perseveres to pass along his team's sash. response:	See you somewhere on the course.
context: Watch me.\Watch what you believed in.\Sakaki!\Tokyo Sport's Sakaki dropped his pace at the end,\Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59\Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year\but perseveres to pass along his team's sash.\See you somewhere on the course. response:	I didn't think we'd actually meet.
context: Watch what you believed in.\Sakaki!\Tokyo Sport's Sakaki dropped his pace at the end,\Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59\Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year\but perseveres to pass along his team's sash.\See you somewhere on the course.\I didn't think we'd actually meet. response:	But I'll never acknowledge it.
context: Sakaki!\Tokyo Sport's Sakaki dropped his pace at the end,\Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59\Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year\but perseveres to pass along his team's sash.\See you somewhere on the course.\I didn't think we'd actually meet.\But I'll never acknowledge it. response:	Kansei has no future.
context: Tokyo Sport's Sakaki dropped his pace at the end,\Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59\Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year\but perseveres to pass along his team's sash.\See you somewhere on the course.\I didn't think we'd actually meet.\But I'll never acknowledge it.\Kansei has no future. response:	I just want to pass on our sash.
context: Time Behind 1st Boso - Rikudo 0:58 Yamato 6:08 Kikui 8:02 Saikyo 8:17 Kitakan 8:30 Manaka 8:41 Do 9:09 Yokohama 9:34 Kofu 10:42 Top 10 Seeded Schools Ake 10:52 Tokyo Sport 10:59\Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year\but perseveres to pass along his team's sash.\See you somewhere on the course.\I didn't think we'd actually meet.\But I'll never acknowledge it.\Kansei has no future.\I just want to pass on our sash. response:	They're all waiting.
context: Tokyo Sport/Sakaki First-Year > Yasunaga Fourth-Year\but perseveres to pass along his team's sash.\See you somewhere on the course.\I didn't think we'd actually meet.\But I'll never acknowledge it.\Kansei has no future.\I just want to pass on our sash.\They're all waiting. response:	Sakaki, you did it!
context: but perseveres to pass along his team's sash.\See you somewhere on the course.\I didn't think we'd actually meet.\But I'll never acknowledge it.\Kansei has no future.\I just want to pass on our sash.\They're all waiting.\Sakaki, you did it! response:	You placed fifth in your section! Fifth!
context: See you somewhere on the course.\I didn't think we'd actually meet.\But I'll never acknowledge it.\Kansei has no future.\I just want to pass on our sash.\They're all waiting.\Sakaki, you did it!\You placed fifth in your section! Fifth! response:	To the line, Kansei!
context: I didn't think we'd actually meet.\But I'll never acknowledge it.\Kansei has no future.\I just want to pass on our sash.\They're all waiting.\Sakaki, you did it!\You placed fifth in your section! Fifth!\To the line, Kansei! response:	Get to the relay line!
context: But I'll never acknowledge it.\Kansei has no future.\I just want to pass on our sash.\They're all waiting.\Sakaki, you did it!\You placed fifth in your section! Fifth!\To the line, Kansei!\Get to the relay line! response:	You did it!
context: Kansei has no future.\I just want to pass on our sash.\They're all waiting.\Sakaki, you did it!\You placed fifth in your section! Fifth!\To the line, Kansei!\Get to the relay line!\You did it! response:	Joji.
context: I just want to pass on our sash.\They're all waiting.\Sakaki, you did it!\You placed fifth in your section! Fifth!\To the line, Kansei!\Get to the relay line!\You did it!\Joji. response:	What does it feel like to fall in love?
context: They're all waiting.\Sakaki, you did it!\You placed fifth in your section! Fifth!\To the line, Kansei!\Get to the relay line!\You did it!\Joji.\What does it feel like to fall in love? response:	What?
context: Sakaki, you did it!\You placed fifth in your section! Fifth!\To the line, Kansei!\Get to the relay line!\You did it!\Joji.\What does it feel like to fall in love?\What? response:	It's nice, isn't it?
context: You placed fifth in your section! Fifth!\To the line, Kansei!\Get to the relay line!\You did it!\Joji.\What does it feel like to fall in love?\What?\It's nice, isn't it? response:	I'm in love, too.
context: To the line, Kansei!\Get to the relay line!\You did it!\Joji.\What does it feel like to fall in love?\What?\It's nice, isn't it?\I'm in love, too. response:	What? With who?
context: Get to the relay line!\You did it!\Joji.\What does it feel like to fall in love?\What?\It's nice, isn't it?\I'm in love, too.\What? With who? response:	King!
context: You did it!\Joji.\What does it feel like to fall in love?\What?\It's nice, isn't it?\I'm in love, too.\What? With who?\King! response:	We're counting on you.
context: Joji.\What does it feel like to fall in love?\What?\It's nice, isn't it?\I'm in love, too.\What? With who?\King!\We're counting on you. response:	I know.
context: What does it feel like to fall in love?\What?\It's nice, isn't it?\I'm in love, too.\What? With who?\King!\We're counting on you.\I know. response:	Kansei University
context: What?\It's nice, isn't it?\I'm in love, too.\What? With who?\King!\We're counting on you.\I know.\Kansei University response:	Hey, who is it?
context: It's nice, isn't it?\I'm in love, too.\What? With who?\King!\We're counting on you.\I know.\Kansei University\Hey, who is it? response:	Who?!
context: I'm in love, too.\What? With who?\King!\We're counting on you.\I know.\Kansei University\Hey, who is it?\Who?! response:	Section 9
context: What? With who?\King!\We're counting on you.\I know.\Kansei University\Hey, who is it?\Who?!\Section 9 response:	Car 2
context: King!\We're counting on you.\I know.\Kansei University\Hey, who is it?\Who?!\Section 9\Car 2 response:	Rikudo/Fujioka Kazuma Fourth-Year
context: We're counting on you.\I know.\Kansei University\Hey, who is it?\Who?!\Section 9\Car 2\Rikudo/Fujioka Kazuma Fourth-Year response:	Rikudo's Fujioka completes his first kilometer in 2:48.
context: I know.\Kansei University\Hey, who is it?\Who?!\Section 9\Car 2\Rikudo/Fujioka Kazuma Fourth-Year\Rikudo's Fujioka completes his first kilometer in 2:48. response:	Section 9
context: Kansei University\Hey, who is it?\Who?!\Section 9\Car 2\Rikudo/Fujioka Kazuma Fourth-Year\Rikudo's Fujioka completes his first kilometer in 2:48.\Section 9 response:	Car 1
context: Hey, who is it?\Who?!\Section 9\Car 2\Rikudo/Fujioka Kazuma Fourth-Year\Rikudo's Fujioka completes his first kilometer in 2:48.\Section 9\Car 1 response:	Boso/Sawachi Kosuke Third-Year
context: Who?!\Section 9\Car 2\Rikudo/Fujioka Kazuma Fourth-Year\Rikudo's Fujioka completes his first kilometer in 2:48.\Section 9\Car 1\Boso/Sawachi Kosuke Third-Year response:	Boso's Sawachi runs a 2:46.
context: Section 9\Car 2\Rikudo/Fujioka Kazuma Fourth-Year\Rikudo's Fujioka completes his first kilometer in 2:48.\Section 9\Car 1\Boso/Sawachi Kosuke Third-Year\Boso's Sawachi runs a 2:46. response:	Sawachi is speeding ahead. He's running.
context: Car 2\Rikudo/Fujioka Kazuma Fourth-Year\Rikudo's Fujioka completes his first kilometer in 2:48.\Section 9\Car 1\Boso/Sawachi Kosuke Third-Year\Boso's Sawachi runs a 2:46.\Sawachi is speeding ahead. He's running. response:	They'll be crossing the five- kilometer mark shortly.
context: Rikudo/Fujioka Kazuma Fourth-Year\Rikudo's Fujioka completes his first kilometer in 2:48.\Section 9\Car 1\Boso/Sawachi Kosuke Third-Year\Boso's Sawachi runs a 2:46.\Sawachi is speeding ahead. He's running.\They'll be crossing the five- kilometer mark shortly. response:	Section 9
context: Rikudo's Fujioka completes his first kilometer in 2:48.\Section 9\Car 1\Boso/Sawachi Kosuke Third-Year\Boso's Sawachi runs a 2:46.\Sawachi is speeding ahead. He's running.\They'll be crossing the five- kilometer mark shortly.\Section 9 response:	Car 2
context: Section 9\Car 1\Boso/Sawachi Kosuke Third-Year\Boso's Sawachi runs a 2:46.\Sawachi is speeding ahead. He's running.\They'll be crossing the five- kilometer mark shortly.\Section 9\Car 2 response:	Kita Kanto/Higure Daiki Third-Year
context: Car 1\Boso/Sawachi Kosuke Third-Year\Boso's Sawachi runs a 2:46.\Sawachi is speeding ahead. He's running.\They'll be crossing the five- kilometer mark shortly.\Section 9\Car 2\Kita Kanto/Higure Daiki Third-Year response:	Kita Kanto's Higure sprints to finish his first kilometer in 2:45.
context: Boso/Sawachi Kosuke Third-Year\Boso's Sawachi runs a 2:46.\Sawachi is speeding ahead. He's running.\They'll be crossing the five- kilometer mark shortly.\Section 9\Car 2\Kita Kanto/Higure Daiki Third-Year\Kita Kanto's Higure sprints to finish his first kilometer in 2:45. response:	He's closing in on Saikyo and Kikui.
context: Boso's Sawachi runs a 2:46.\Sawachi is speeding ahead. He's running.\They'll be crossing the five- kilometer mark shortly.\Section 9\Car 2\Kita Kanto/Higure Daiki Third-Year\Kita Kanto's Higure sprints to finish his first kilometer in 2:45.\He's closing in on Saikyo and Kikui. response:	Section 9
context: Sawachi is speeding ahead. He's running.\They'll be crossing the five- kilometer mark shortly.\Section 9\Car 2\Kita Kanto/Higure Daiki Third-Year\Kita Kanto's Higure sprints to finish his first kilometer in 2:45.\He's closing in on Saikyo and Kikui.\Section 9 response:	Car 3
context: They'll be crossing the five- kilometer mark shortly.\Section 9\Car 2\Kita Kanto/Higure Daiki Third-Year\Kita Kanto's Higure sprints to finish his first kilometer in 2:45.\He's closing in on Saikyo and Kikui.\Section 9\Car 3 response:	Dochido/Takizawa Tomonori Fourth-Year
context: Section 9\Car 2\Kita Kanto/Higure Daiki Third-Year\Kita Kanto's Higure sprints to finish his first kilometer in 2:45.\He's closing in on Saikyo and Kikui.\Section 9\Car 3\Dochido/Takizawa Tomonori Fourth-Year response:	Dochido, Yokohama, and Tokyo Sport,
context: Car 2\Kita Kanto/Higure Daiki Third-Year\Kita Kanto's Higure sprints to finish his first kilometer in 2:45.\He's closing in on Saikyo and Kikui.\Section 9\Car 3\Dochido/Takizawa Tomonori Fourth-Year\Dochido, Yokohama, and Tokyo Sport, response:	which climbed the rankings during Section 8,
context: Kita Kanto/Higure Daiki Third-Year\Kita Kanto's Higure sprints to finish his first kilometer in 2:45.\He's closing in on Saikyo and Kikui.\Section 9\Car 3\Dochido/Takizawa Tomonori Fourth-Year\Dochido, Yokohama, and Tokyo Sport,\which climbed the rankings during Section 8, response:	are racing for a seeded spot next year.
context: Kita Kanto's Higure sprints to finish his first kilometer in 2:45.\He's closing in on Saikyo and Kikui.\Section 9\Car 3\Dochido/Takizawa Tomonori Fourth-Year\Dochido, Yokohama, and Tokyo Sport,\which climbed the rankings during Section 8,\are racing for a seeded spot next year. response:	Let's check in on the motorcycle cam next.
context: He's closing in on Saikyo and Kikui.\Section 9\Car 3\Dochido/Takizawa Tomonori Fourth-Year\Dochido, Yokohama, and Tokyo Sport,\which climbed the rankings during Section 8,\are racing for a seeded spot next year.\Let's check in on the motorcycle cam next. response:	Kansei University
context: Section 9\Car 3\Dochido/Takizawa Tomonori Fourth-Year\Dochido, Yokohama, and Tokyo Sport,\which climbed the rankings during Section 8,\are racing for a seeded spot next year.\Let's check in on the motorcycle cam next.\Kansei University response:	You can do it!
context: Car 3\Dochido/Takizawa Tomonori Fourth-Year\Dochido, Yokohama, and Tokyo Sport,\which climbed the rankings during Section 8,\are racing for a seeded spot next year.\Let's check in on the motorcycle cam next.\Kansei University\You can do it! response:	You can do it!
context: Dochido/Takizawa Tomonori Fourth-Year\Dochido, Yokohama, and Tokyo Sport,\which climbed the rankings during Section 8,\are racing for a seeded spot next year.\Let's check in on the motorcycle cam next.\Kansei University\You can do it!\You can do it! response:	It's snowing...
context: Dochido, Yokohama, and Tokyo Sport,\which climbed the rankings during Section 8,\are racing for a seeded spot next year.\Let's check in on the motorcycle cam next.\Kansei University\You can do it!\You can do it!\It's snowing... response:	You can do it!
context: which climbed the rankings during Section 8,\are racing for a seeded spot next year.\Let's check in on the motorcycle cam next.\Kansei University\You can do it!\You can do it!\It's snowing...\You can do it! response:	You can do it!
context: are racing for a seeded spot next year.\Let's check in on the motorcycle cam next.\Kansei University\You can do it!\You can do it!\It's snowing...\You can do it!\You can do it! response:	I don't feel anything.
context: Let's check in on the motorcycle cam next.\Kansei University\You can do it!\You can do it!\It's snowing...\You can do it!\You can do it!\I don't feel anything. response:	Am I slow?
context: Kansei University\You can do it!\You can do it!\It's snowing...\You can do it!\You can do it!\I don't feel anything.\Am I slow? response:	All those people...
context: You can do it!\You can do it!\It's snowing...\You can do it!\You can do it!\I don't feel anything.\Am I slow?\All those people... response:	Thank you.
context: You can do it!\It's snowing...\You can do it!\You can do it!\I don't feel anything.\Am I slow?\All those people...\Thank you. response:	Am I being filmed?
context: It's snowing...\You can do it!\You can do it!\I don't feel anything.\Am I slow?\All those people...\Thank you.\Am I being filmed? response:	Does that mean I'm running at a good pace?
context: You can do it!\You can do it!\I don't feel anything.\Am I slow?\All those people...\Thank you.\Am I being filmed?\Does that mean I'm running at a good pace? response:	I'm running on the ground, right?
context: You can do it!\I don't feel anything.\Am I slow?\All those people...\Thank you.\Am I being filmed?\Does that mean I'm running at a good pace?\I'm running on the ground, right? response:	Running Towards Tomorrow
context: I don't feel anything.\Am I slow?\All those people...\Thank you.\Am I being filmed?\Does that mean I'm running at a good pace?\I'm running on the ground, right?\Running Towards Tomorrow response:	What incredible speed!
context: Am I slow?\All those people...\Thank you.\Am I being filmed?\Does that mean I'm running at a good pace?\I'm running on the ground, right?\Running Towards Tomorrow\What incredible speed! response:	Currently running in 13th place is Kansei's Kurahara Kakeru.
context: All those people...\Thank you.\Am I being filmed?\Does that mean I'm running at a good pace?\I'm running on the ground, right?\Running Towards Tomorrow\What incredible speed!\Currently running in 13th place is Kansei's Kurahara Kakeru. response:	Section 9
context: Thank you.\Am I being filmed?\Does that mean I'm running at a good pace?\I'm running on the ground, right?\Running Towards Tomorrow\What incredible speed!\Currently running in 13th place is Kansei's Kurahara Kakeru.\Section 9 response:	Car 4
context: Am I being filmed?\Does that mean I'm running at a good pace?\I'm running on the ground, right?\Running Towards Tomorrow\What incredible speed!\Currently running in 13th place is Kansei's Kurahara Kakeru.\Section 9\Car 4 response:	Kansei/Kurahara Kakeru First-Year
context: Does that mean I'm running at a good pace?\I'm running on the ground, right?\Running Towards Tomorrow\What incredible speed!\Currently running in 13th place is Kansei's Kurahara Kakeru.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year response:	His first kilometer time is an unbelievable 2:42.
context: I'm running on the ground, right?\Running Towards Tomorrow\What incredible speed!\Currently running in 13th place is Kansei's Kurahara Kakeru.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\His first kilometer time is an unbelievable 2:42. response:	The first three kilometers are all downhill.
context: Running Towards Tomorrow\What incredible speed!\Currently running in 13th place is Kansei's Kurahara Kakeru.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\His first kilometer time is an unbelievable 2:42.\The first three kilometers are all downhill. response:	It's easy to go fast.
context: What incredible speed!\Currently running in 13th place is Kansei's Kurahara Kakeru.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\His first kilometer time is an unbelievable 2:42.\The first three kilometers are all downhill.\It's easy to go fast. response:	Section 9
context: Currently running in 13th place is Kansei's Kurahara Kakeru.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\His first kilometer time is an unbelievable 2:42.\The first three kilometers are all downhill.\It's easy to go fast.\Section 9 response:	Car 4
context: Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\His first kilometer time is an unbelievable 2:42.\The first three kilometers are all downhill.\It's easy to go fast.\Section 9\Car 4 response:	Kansei/Kurahara Kakeru First-Year
context: Car 4\Kansei/Kurahara Kakeru First-Year\His first kilometer time is an unbelievable 2:42.\The first three kilometers are all downhill.\It's easy to go fast.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year response:	I'm worried he'll throw off his own rhythm by running too fast.
context: Kansei/Kurahara Kakeru First-Year\His first kilometer time is an unbelievable 2:42.\The first three kilometers are all downhill.\It's easy to go fast.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\I'm worried he'll throw off his own rhythm by running too fast. response:	It's beautiful.
context: His first kilometer time is an unbelievable 2:42.\The first three kilometers are all downhill.\It's easy to go fast.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\I'm worried he'll throw off his own rhythm by running too fast.\It's beautiful. response:	Seeing this makes me hate running.
context: The first three kilometers are all downhill.\It's easy to go fast.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\I'm worried he'll throw off his own rhythm by running too fast.\It's beautiful.\Seeing this makes me hate running. response:	My efforts feel futile.
context: It's easy to go fast.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\I'm worried he'll throw off his own rhythm by running too fast.\It's beautiful.\Seeing this makes me hate running.\My efforts feel futile. response:	Arrogance is thinking hard work can solve everything.
context: Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\I'm worried he'll throw off his own rhythm by running too fast.\It's beautiful.\Seeing this makes me hate running.\My efforts feel futile.\Arrogance is thinking hard work can solve everything. response:	But there's more than one goal to aim for.
context: Car 4\Kansei/Kurahara Kakeru First-Year\I'm worried he'll throw off his own rhythm by running too fast.\It's beautiful.\Seeing this makes me hate running.\My efforts feel futile.\Arrogance is thinking hard work can solve everything.\But there's more than one goal to aim for. response:	Section 9
context: Kansei/Kurahara Kakeru First-Year\I'm worried he'll throw off his own rhythm by running too fast.\It's beautiful.\Seeing this makes me hate running.\My efforts feel futile.\Arrogance is thinking hard work can solve everything.\But there's more than one goal to aim for.\Section 9 response:	Car 4
context: I'm worried he'll throw off his own rhythm by running too fast.\It's beautiful.\Seeing this makes me hate running.\My efforts feel futile.\Arrogance is thinking hard work can solve everything.\But there's more than one goal to aim for.\Section 9\Car 4 response:	Kansei/Kurahara Kakeru First-Year
context: It's beautiful.\Seeing this makes me hate running.\My efforts feel futile.\Arrogance is thinking hard work can solve everything.\But there's more than one goal to aim for.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year response:	Everyone is equal here. We're all even.
context: Seeing this makes me hate running.\My efforts feel futile.\Arrogance is thinking hard work can solve everything.\But there's more than one goal to aim for.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\Everyone is equal here. We're all even. response:	We all run the same path, but we arrive at different finish lines.
context: My efforts feel futile.\Arrogance is thinking hard work can solve everything.\But there's more than one goal to aim for.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\Everyone is equal here. We're all even.\We all run the same path, but we arrive at different finish lines. response:	I hope you're right.
context: Arrogance is thinking hard work can solve everything.\But there's more than one goal to aim for.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\Everyone is equal here. We're all even.\We all run the same path, but we arrive at different finish lines.\I hope you're right. response:	He's almost at five kilometers.
context: But there's more than one goal to aim for.\Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\Everyone is equal here. We're all even.\We all run the same path, but we arrive at different finish lines.\I hope you're right.\He's almost at five kilometers. response:	Any message?
context: Section 9\Car 4\Kansei/Kurahara Kakeru First-Year\Everyone is equal here. We're all even.\We all run the same path, but we arrive at different finish lines.\I hope you're right.\He's almost at five kilometers.\Any message? response:	Should I tell him anything?
context: Car 4\Kansei/Kurahara Kakeru First-Year\Everyone is equal here. We're all even.\We all run the same path, but we arrive at different finish lines.\I hope you're right.\He's almost at five kilometers.\Any message?\Should I tell him anything? response:	I have nothing to tell him.
context: Kansei/Kurahara Kakeru First-Year\Everyone is equal here. We're all even.\We all run the same path, but we arrive at different finish lines.\I hope you're right.\He's almost at five kilometers.\Any message?\Should I tell him anything?\I have nothing to tell him. response:	It's as if he's trying to reach another dimension by running.
context: Everyone is equal here. We're all even.\We all run the same path, but we arrive at different finish lines.\I hope you're right.\He's almost at five kilometers.\Any message?\Should I tell him anything?\I have nothing to tell him.\It's as if he's trying to reach another dimension by running. response:	I can't interfere with that.
context: We all run the same path, but we arrive at different finish lines.\I hope you're right.\He's almost at five kilometers.\Any message?\Should I tell him anything?\I have nothing to tell him.\It's as if he's trying to reach another dimension by running.\I can't interfere with that. response:	No one must touch Kakeru.
context: I hope you're right.\He's almost at five kilometers.\Any message?\Should I tell him anything?\I have nothing to tell him.\It's as if he's trying to reach another dimension by running.\I can't interfere with that.\No one must touch Kakeru. response:	Tokaido Line
context: He's almost at five kilometers.\Any message?\Should I tell him anything?\I have nothing to tell him.\It's as if he's trying to reach another dimension by running.\I can't interfere with that.\No one must touch Kakeru.\Tokaido Line response:	He ran Gontazaka in 2:50.
context: Any message?\Should I tell him anything?\I have nothing to tell him.\It's as if he's trying to reach another dimension by running.\I can't interfere with that.\No one must touch Kakeru.\Tokaido Line\He ran Gontazaka in 2:50. response:	He's a monster.
context: Should I tell him anything?\I have nothing to tell him.\It's as if he's trying to reach another dimension by running.\I can't interfere with that.\No one must touch Kakeru.\Tokaido Line\He ran Gontazaka in 2:50.\He's a monster. response:	I know because I ran it.
