context: Where's Kagome and? response:	I wonder if Inuyasha's all right.
context: The Sacred Jewel...\I sure appreciate this.\This Jewel...\It needs to absorb more bitterness and ill will.\Those villagers... I'll kill them all.\You... I hate you!\Inuyasha?\Could he have done such a thing? response:	Are you saying I betrayed you?!
context: I sure appreciate this.\This Jewel...\It needs to absorb more bitterness and ill will.\Those villagers... I'll kill them all.\You... I hate you!\Inuyasha?\Could he have done such a thing?\Are you saying I betrayed you?! response:	That's right...
context: This Jewel...\It needs to absorb more bitterness and ill will.\Those villagers... I'll kill them all.\You... I hate you!\Inuyasha?\Could he have done such a thing?\Are you saying I betrayed you?!\That's right... response:	That's why I gathered the last of my strength...
context: It needs to absorb more bitterness and ill will.\Those villagers... I'll kill them all.\You... I hate you!\Inuyasha?\Could he have done such a thing?\Are you saying I betrayed you?!\That's right...\That's why I gathered the last of my strength... response:	and bound you to the tree with my arrow.
context: Those villagers... I'll kill them all.\You... I hate you!\Inuyasha?\Could he have done such a thing?\Are you saying I betrayed you?!\That's right...\That's why I gathered the last of my strength...\and bound you to the tree with my arrow. response:	Inuyasha...
context: You... I hate you!\Inuyasha?\Could he have done such a thing?\Are you saying I betrayed you?!\That's right...\That's why I gathered the last of my strength...\and bound you to the tree with my arrow.\Inuyasha... response:	Kikyo...
context: Inuyasha?\Could he have done such a thing?\Are you saying I betrayed you?!\That's right...\That's why I gathered the last of my strength...\and bound you to the tree with my arrow.\Inuyasha...\Kikyo... response:	We were never to meet again...
context: Could he have done such a thing?\Are you saying I betrayed you?!\That's right...\That's why I gathered the last of my strength...\and bound you to the tree with my arrow.\Inuyasha...\Kikyo...\We were never to meet again... response:	Please stop this, Sister!
context: Are you saying I betrayed you?!\That's right...\That's why I gathered the last of my strength...\and bound you to the tree with my arrow.\Inuyasha...\Kikyo...\We were never to meet again...\Please stop this, Sister! response:	You?
context: That's right...\That's why I gathered the last of my strength...\and bound you to the tree with my arrow.\Inuyasha...\Kikyo...\We were never to meet again...\Please stop this, Sister!\You? response:	I am your sister Kaede.
context: That's why I gathered the last of my strength...\and bound you to the tree with my arrow.\Inuyasha...\Kikyo...\We were never to meet again...\Please stop this, Sister!\You?\I am your sister Kaede. response:	I have lived 50 years since your death.
context: and bound you to the tree with my arrow.\Inuyasha...\Kikyo...\We were never to meet again...\Please stop this, Sister!\You?\I am your sister Kaede.\I have lived 50 years since your death. response:	Why do you protect Inuyasha, Kaede?
context: Inuyasha...\Kikyo...\We were never to meet again...\Please stop this, Sister!\You?\I am your sister Kaede.\I have lived 50 years since your death.\Why do you protect Inuyasha, Kaede? response:	Let me have that!
context: Kikyo...\We were never to meet again...\Please stop this, Sister!\You?\I am your sister Kaede.\I have lived 50 years since your death.\Why do you protect Inuyasha, Kaede?\Let me have that! response:	Kaede!
context: We were never to meet again...\Please stop this, Sister!\You?\I am your sister Kaede.\I have lived 50 years since your death.\Why do you protect Inuyasha, Kaede?\Let me have that!\Kaede! response:	You mustn't, Kikyo. Inuyasha is not the enemy.
context: Please stop this, Sister!\You?\I am your sister Kaede.\I have lived 50 years since your death.\Why do you protect Inuyasha, Kaede?\Let me have that!\Kaede!\You mustn't, Kikyo. Inuyasha is not the enemy. response:	What do you mean?
context: You?\I am your sister Kaede.\I have lived 50 years since your death.\Why do you protect Inuyasha, Kaede?\Let me have that!\Kaede!\You mustn't, Kikyo. Inuyasha is not the enemy.\What do you mean? response:	Have you been taken in by this half-demon?!
context: I am your sister Kaede.\I have lived 50 years since your death.\Why do you protect Inuyasha, Kaede?\Let me have that!\Kaede!\You mustn't, Kikyo. Inuyasha is not the enemy.\What do you mean?\Have you been taken in by this half-demon?! response:	Kikyo!
context: I have lived 50 years since your death.\Why do you protect Inuyasha, Kaede?\Let me have that!\Kaede!\You mustn't, Kikyo. Inuyasha is not the enemy.\What do you mean?\Have you been taken in by this half-demon?!\Kikyo! response:	Give me an arrow.
context: Why do you protect Inuyasha, Kaede?\Let me have that!\Kaede!\You mustn't, Kikyo. Inuyasha is not the enemy.\What do you mean?\Have you been taken in by this half-demon?!\Kikyo!\Give me an arrow. response:	No!
context: Let me have that!\Kaede!\You mustn't, Kikyo. Inuyasha is not the enemy.\What do you mean?\Have you been taken in by this half-demon?!\Kikyo!\Give me an arrow.\No! response:	Kaede, who are you?
context: Kaede!\You mustn't, Kikyo. Inuyasha is not the enemy.\What do you mean?\Have you been taken in by this half-demon?!\Kikyo!\Give me an arrow.\No!\Kaede, who are you? response:	Don't you and I share the same blood?
context: You mustn't, Kikyo. Inuyasha is not the enemy.\What do you mean?\Have you been taken in by this half-demon?!\Kikyo!\Give me an arrow.\No!\Kaede, who are you?\Don't you and I share the same blood? response:	Do you refuse to follow your older sister's command?
context: What do you mean?\Have you been taken in by this half-demon?!\Kikyo!\Give me an arrow.\No!\Kaede, who are you?\Don't you and I share the same blood?\Do you refuse to follow your older sister's command? response:	Kikyo!
context: Have you been taken in by this half-demon?!\Kikyo!\Give me an arrow.\No!\Kaede, who are you?\Don't you and I share the same blood?\Do you refuse to follow your older sister's command?\Kikyo! response:	Move!
context: Kikyo!\Give me an arrow.\No!\Kaede, who are you?\Don't you and I share the same blood?\Do you refuse to follow your older sister's command?\Kikyo!\Move! response:	You told me that you wanted to become human...
context: Give me an arrow.\No!\Kaede, who are you?\Don't you and I share the same blood?\Do you refuse to follow your older sister's command?\Kikyo!\Move!\You told me that you wanted to become human... response:	Become human and live with me!
context: No!\Kaede, who are you?\Don't you and I share the same blood?\Do you refuse to follow your older sister's command?\Kikyo!\Move!\You told me that you wanted to become human...\Become human and live with me! response:	What will happen to Kagome?
context: Kaede, who are you?\Don't you and I share the same blood?\Do you refuse to follow your older sister's command?\Kikyo!\Move!\You told me that you wanted to become human...\Become human and live with me!\What will happen to Kagome? response:	So long as Kikyo holds on to her hatred...
context: Don't you and I share the same blood?\Do you refuse to follow your older sister's command?\Kikyo!\Move!\You told me that you wanted to become human...\Become human and live with me!\What will happen to Kagome?\So long as Kikyo holds on to her hatred... response:	her soul will not grow still.
context: Do you refuse to follow your older sister's command?\Kikyo!\Move!\You told me that you wanted to become human...\Become human and live with me!\What will happen to Kagome?\So long as Kikyo holds on to her hatred...\her soul will not grow still. response:	So long as her soul does not return to her...
context: Kikyo!\Move!\You told me that you wanted to become human...\Become human and live with me!\What will happen to Kagome?\So long as Kikyo holds on to her hatred...\her soul will not grow still.\So long as her soul does not return to her... response:	Kagome will continue to slumber.
context: Move!\You told me that you wanted to become human...\Become human and live with me!\What will happen to Kagome?\So long as Kikyo holds on to her hatred...\her soul will not grow still.\So long as her soul does not return to her...\Kagome will continue to slumber. response:	That's awful!
context: You told me that you wanted to become human...\Become human and live with me!\What will happen to Kagome?\So long as Kikyo holds on to her hatred...\her soul will not grow still.\So long as her soul does not return to her...\Kagome will continue to slumber.\That's awful! response:	I truly loved you!
context: Become human and live with me!\What will happen to Kagome?\So long as Kikyo holds on to her hatred...\her soul will not grow still.\So long as her soul does not return to her...\Kagome will continue to slumber.\That's awful!\I truly loved you! response:	Silence! I was a fool for wishing, even for a second, to live with you!
context: What will happen to Kagome?\So long as Kikyo holds on to her hatred...\her soul will not grow still.\So long as her soul does not return to her...\Kagome will continue to slumber.\That's awful!\I truly loved you!\Silence! I was a fool for wishing, even for a second, to live with you! response:	I died hating you.
context: So long as Kikyo holds on to her hatred...\her soul will not grow still.\So long as her soul does not return to her...\Kagome will continue to slumber.\That's awful!\I truly loved you!\Silence! I was a fool for wishing, even for a second, to live with you!\I died hating you. response:	My spirit cannot shed that hatred.
context: her soul will not grow still.\So long as her soul does not return to her...\Kagome will continue to slumber.\That's awful!\I truly loved you!\Silence! I was a fool for wishing, even for a second, to live with you!\I died hating you.\My spirit cannot shed that hatred. response:	So long as you live, I cannot be saved.
context: So long as her soul does not return to her...\Kagome will continue to slumber.\That's awful!\I truly loved you!\Silence! I was a fool for wishing, even for a second, to live with you!\I died hating you.\My spirit cannot shed that hatred.\So long as you live, I cannot be saved. response:	Inuyasha...
context: Kagome will continue to slumber.\That's awful!\I truly loved you!\Silence! I was a fool for wishing, even for a second, to live with you!\I died hating you.\My spirit cannot shed that hatred.\So long as you live, I cannot be saved.\Inuyasha... response:	I want you to destroy my sister's body.
context: That's awful!\I truly loved you!\Silence! I was a fool for wishing, even for a second, to live with you!\I died hating you.\My spirit cannot shed that hatred.\So long as you live, I cannot be saved.\Inuyasha...\I want you to destroy my sister's body. response:	Her rebirth is just a sham.
context: I truly loved you!\Silence! I was a fool for wishing, even for a second, to live with you!\I died hating you.\My spirit cannot shed that hatred.\So long as you live, I cannot be saved.\Inuyasha...\I want you to destroy my sister's body.\Her rebirth is just a sham. response:	You must release her soul from within.
context: Silence! I was a fool for wishing, even for a second, to live with you!\I died hating you.\My spirit cannot shed that hatred.\So long as you live, I cannot be saved.\Inuyasha...\I want you to destroy my sister's body.\Her rebirth is just a sham.\You must release her soul from within. response:	It's no use! So long as the hatred is not erased...
context: I died hating you.\My spirit cannot shed that hatred.\So long as you live, I cannot be saved.\Inuyasha...\I want you to destroy my sister's body.\Her rebirth is just a sham.\You must release her soul from within.\It's no use! So long as the hatred is not erased... response:	this soul will not return to her body!
context: My spirit cannot shed that hatred.\So long as you live, I cannot be saved.\Inuyasha...\I want you to destroy my sister's body.\Her rebirth is just a sham.\You must release her soul from within.\It's no use! So long as the hatred is not erased...\this soul will not return to her body! response:	Inuyasha! All it takes is your death!
context: So long as you live, I cannot be saved.\Inuyasha...\I want you to destroy my sister's body.\Her rebirth is just a sham.\You must release her soul from within.\It's no use! So long as the hatred is not erased...\this soul will not return to her body!\Inuyasha! All it takes is your death! response:	Kikyo's arrow has overcome the Tetsusaiga!
context: Inuyasha...\I want you to destroy my sister's body.\Her rebirth is just a sham.\You must release her soul from within.\It's no use! So long as the hatred is not erased...\this soul will not return to her body!\Inuyasha! All it takes is your death!\Kikyo's arrow has overcome the Tetsusaiga! response:	Run, Inuyasha!
context: I want you to destroy my sister's body.\Her rebirth is just a sham.\You must release her soul from within.\It's no use! So long as the hatred is not erased...\this soul will not return to her body!\Inuyasha! All it takes is your death!\Kikyo's arrow has overcome the Tetsusaiga!\Run, Inuyasha! response:	Oh... No!
context: Her rebirth is just a sham.\You must release her soul from within.\It's no use! So long as the hatred is not erased...\this soul will not return to her body!\Inuyasha! All it takes is your death!\Kikyo's arrow has overcome the Tetsusaiga!\Run, Inuyasha!\Oh... No! response:	It's Kagome. She's trying to take back her soul!
context: You must release her soul from within.\It's no use! So long as the hatred is not erased...\this soul will not return to her body!\Inuyasha! All it takes is your death!\Kikyo's arrow has overcome the Tetsusaiga!\Run, Inuyasha!\Oh... No!\It's Kagome. She's trying to take back her soul! response:	No! I... I... I still!
context: It's no use! So long as the hatred is not erased...\this soul will not return to her body!\Inuyasha! All it takes is your death!\Kikyo's arrow has overcome the Tetsusaiga!\Run, Inuyasha!\Oh... No!\It's Kagome. She's trying to take back her soul!\No! I... I... I still! response:	K-Kikyo... Oh!
context: this soul will not return to her body!\Inuyasha! All it takes is your death!\Kikyo's arrow has overcome the Tetsusaiga!\Run, Inuyasha!\Oh... No!\It's Kagome. She's trying to take back her soul!\No! I... I... I still!\K-Kikyo... Oh! response:	Kikyo! So, she still has some spirit left...
context: Inuyasha! All it takes is your death!\Kikyo's arrow has overcome the Tetsusaiga!\Run, Inuyasha!\Oh... No!\It's Kagome. She's trying to take back her soul!\No! I... I... I still!\K-Kikyo... Oh!\Kikyo! So, she still has some spirit left... response:	All that's keeping Kikyo going now is her deeply held grudge.
context: Kikyo's arrow has overcome the Tetsusaiga!\Run, Inuyasha!\Oh... No!\It's Kagome. She's trying to take back her soul!\No! I... I... I still!\K-Kikyo... Oh!\Kikyo! So, she still has some spirit left...\All that's keeping Kikyo going now is her deeply held grudge. response:	It seems most of her soul has returned to the girl.
context: Run, Inuyasha!\Oh... No!\It's Kagome. She's trying to take back her soul!\No! I... I... I still!\K-Kikyo... Oh!\Kikyo! So, she still has some spirit left...\All that's keeping Kikyo going now is her deeply held grudge.\It seems most of her soul has returned to the girl. response:	Looks like her pent-up grudges have been absorbed well...
context: Oh... No!\It's Kagome. She's trying to take back her soul!\No! I... I... I still!\K-Kikyo... Oh!\Kikyo! So, she still has some spirit left...\All that's keeping Kikyo going now is her deeply held grudge.\It seems most of her soul has returned to the girl.\Looks like her pent-up grudges have been absorbed well... response:	into the bones and graveyard earth.
context: It's Kagome. She's trying to take back her soul!\No! I... I... I still!\K-Kikyo... Oh!\Kikyo! So, she still has some spirit left...\All that's keeping Kikyo going now is her deeply held grudge.\It seems most of her soul has returned to the girl.\Looks like her pent-up grudges have been absorbed well...\into the bones and graveyard earth. response:	The once pure maiden...
context: No! I... I... I still!\K-Kikyo... Oh!\Kikyo! So, she still has some spirit left...\All that's keeping Kikyo going now is her deeply held grudge.\It seems most of her soul has returned to the girl.\Looks like her pent-up grudges have been absorbed well...\into the bones and graveyard earth.\The once pure maiden... response:	is now a demon filled with hatred.
context: K-Kikyo... Oh!\Kikyo! So, she still has some spirit left...\All that's keeping Kikyo going now is her deeply held grudge.\It seems most of her soul has returned to the girl.\Looks like her pent-up grudges have been absorbed well...\into the bones and graveyard earth.\The once pure maiden...\is now a demon filled with hatred. response:	Isn't that lovely? Heh-heh-heh...
context: Kikyo! So, she still has some spirit left...\All that's keeping Kikyo going now is her deeply held grudge.\It seems most of her soul has returned to the girl.\Looks like her pent-up grudges have been absorbed well...\into the bones and graveyard earth.\The once pure maiden...\is now a demon filled with hatred.\Isn't that lovely? Heh-heh-heh... response:	Inuyasha!
context: All that's keeping Kikyo going now is her deeply held grudge.\It seems most of her soul has returned to the girl.\Looks like her pent-up grudges have been absorbed well...\into the bones and graveyard earth.\The once pure maiden...\is now a demon filled with hatred.\Isn't that lovely? Heh-heh-heh...\Inuyasha! response:	If I remain near that girl...
context: It seems most of her soul has returned to the girl.\Looks like her pent-up grudges have been absorbed well...\into the bones and graveyard earth.\The once pure maiden...\is now a demon filled with hatred.\Isn't that lovely? Heh-heh-heh...\Inuyasha!\If I remain near that girl... response:	she'll take the rest of my soul!
context: Looks like her pent-up grudges have been absorbed well...\into the bones and graveyard earth.\The once pure maiden...\is now a demon filled with hatred.\Isn't that lovely? Heh-heh-heh...\Inuyasha!\If I remain near that girl...\she'll take the rest of my soul! response:	I've got to get away... Oh!
context: into the bones and graveyard earth.\The once pure maiden...\is now a demon filled with hatred.\Isn't that lovely? Heh-heh-heh...\Inuyasha!\If I remain near that girl...\she'll take the rest of my soul!\I've got to get away... Oh! response:	Inuyasha...
context: The once pure maiden...\is now a demon filled with hatred.\Isn't that lovely? Heh-heh-heh...\Inuyasha!\If I remain near that girl...\she'll take the rest of my soul!\I've got to get away... Oh!\Inuyasha... response:	Kikyo...
context: is now a demon filled with hatred.\Isn't that lovely? Heh-heh-heh...\Inuyasha!\If I remain near that girl...\she'll take the rest of my soul!\I've got to get away... Oh!\Inuyasha...\Kikyo... response:	You can't go on like this. You must return to Kagome.
context: Isn't that lovely? Heh-heh-heh...\Inuyasha!\If I remain near that girl...\she'll take the rest of my soul!\I've got to get away... Oh!\Inuyasha...\Kikyo...\You can't go on like this. You must return to Kagome. response:	Are you telling me to die?
context: Inuyasha!\If I remain near that girl...\she'll take the rest of my soul!\I've got to get away... Oh!\Inuyasha...\Kikyo...\You can't go on like this. You must return to Kagome.\Are you telling me to die? response:	If I return to that girl, that means I will no longer be myself.
context: If I remain near that girl...\she'll take the rest of my soul!\I've got to get away... Oh!\Inuyasha...\Kikyo...\You can't go on like this. You must return to Kagome.\Are you telling me to die?\If I return to that girl, that means I will no longer be myself. response:	Inuyasha... Is that what you want?
context: she'll take the rest of my soul!\I've got to get away... Oh!\Inuyasha...\Kikyo...\You can't go on like this. You must return to Kagome.\Are you telling me to die?\If I return to that girl, that means I will no longer be myself.\Inuyasha... Is that what you want? response:	I'll never die!
context: I've got to get away... Oh!\Inuyasha...\Kikyo...\You can't go on like this. You must return to Kagome.\Are you telling me to die?\If I return to that girl, that means I will no longer be myself.\Inuyasha... Is that what you want?\I'll never die! response:	Didn't I tell you?
context: Inuyasha...\Kikyo...\You can't go on like this. You must return to Kagome.\Are you telling me to die?\If I return to that girl, that means I will no longer be myself.\Inuyasha... Is that what you want?\I'll never die!\Didn't I tell you? response:	When I die, you're coming with me!
context: Kikyo...\You can't go on like this. You must return to Kagome.\Are you telling me to die?\If I return to that girl, that means I will no longer be myself.\Inuyasha... Is that what you want?\I'll never die!\Didn't I tell you?\When I die, you're coming with me! response:	Didn't I tell you?
context: You can't go on like this. You must return to Kagome.\Are you telling me to die?\If I return to that girl, that means I will no longer be myself.\Inuyasha... Is that what you want?\I'll never die!\Didn't I tell you?\When I die, you're coming with me!\Didn't I tell you? response:	When I die, you're coming with me!
context: Are you telling me to die?\If I return to that girl, that means I will no longer be myself.\Inuyasha... Is that what you want?\I'll never die!\Didn't I tell you?\When I die, you're coming with me!\Didn't I tell you?\When I die, you're coming with me! response:	No! Kikyo!
context: If I return to that girl, that means I will no longer be myself.\Inuyasha... Is that what you want?\I'll never die!\Didn't I tell you?\When I die, you're coming with me!\Didn't I tell you?\When I die, you're coming with me!\No! Kikyo! response:	Kikyo!
context: Inuyasha... Is that what you want?\I'll never die!\Didn't I tell you?\When I die, you're coming with me!\Didn't I tell you?\When I die, you're coming with me!\No! Kikyo!\Kikyo! response:	Why? Why did this happen?
context: I'll never die!\Didn't I tell you?\When I die, you're coming with me!\Didn't I tell you?\When I die, you're coming with me!\No! Kikyo!\Kikyo!\Why? Why did this happen? response:	Kikyo used her spiritual powers to protect the Sacred Jewel from demons.
context: Didn't I tell you?\When I die, you're coming with me!\Didn't I tell you?\When I die, you're coming with me!\No! Kikyo!\Kikyo!\Why? Why did this happen?\Kikyo used her spiritual powers to protect the Sacred Jewel from demons. response:	I needed the Sacred Jewel, too.
context: When I die, you're coming with me!\Didn't I tell you?\When I die, you're coming with me!\No! Kikyo!\Kikyo!\Why? Why did this happen?\Kikyo used her spiritual powers to protect the Sacred Jewel from demons.\I needed the Sacred Jewel, too. response:	In order to become a full-fledged demon.
context: Didn't I tell you?\When I die, you're coming with me!\No! Kikyo!\Kikyo!\Why? Why did this happen?\Kikyo used her spiritual powers to protect the Sacred Jewel from demons.\I needed the Sacred Jewel, too.\In order to become a full-fledged demon. response:	Wait a minute! Why do you never finish me off?!
context: When I die, you're coming with me!\No! Kikyo!\Kikyo!\Why? Why did this happen?\Kikyo used her spiritual powers to protect the Sacred Jewel from demons.\I needed the Sacred Jewel, too.\In order to become a full-fledged demon.\Wait a minute! Why do you never finish me off?! response:	Quit bothering me. I don't want to waste my arrows.
context: No! Kikyo!\Kikyo!\Why? Why did this happen?\Kikyo used her spiritual powers to protect the Sacred Jewel from demons.\I needed the Sacred Jewel, too.\In order to become a full-fledged demon.\Wait a minute! Why do you never finish me off?!\Quit bothering me. I don't want to waste my arrows. response:	If I could just get my hands on that Jewel...
context: Kikyo!\Why? Why did this happen?\Kikyo used her spiritual powers to protect the Sacred Jewel from demons.\I needed the Sacred Jewel, too.\In order to become a full-fledged demon.\Wait a minute! Why do you never finish me off?!\Quit bothering me. I don't want to waste my arrows.\If I could just get my hands on that Jewel... response:	I had no intention of killing Kikyo.
context: Why? Why did this happen?\Kikyo used her spiritual powers to protect the Sacred Jewel from demons.\I needed the Sacred Jewel, too.\In order to become a full-fledged demon.\Wait a minute! Why do you never finish me off?!\Quit bothering me. I don't want to waste my arrows.\If I could just get my hands on that Jewel...\I had no intention of killing Kikyo. response:	Kikyo would never kill me, either.
context: Kikyo used her spiritual powers to protect the Sacred Jewel from demons.\I needed the Sacred Jewel, too.\In order to become a full-fledged demon.\Wait a minute! Why do you never finish me off?!\Quit bothering me. I don't want to waste my arrows.\If I could just get my hands on that Jewel...\I had no intention of killing Kikyo.\Kikyo would never kill me, either. response:	Inuyasha, I know you're there.
context: I needed the Sacred Jewel, too.\In order to become a full-fledged demon.\Wait a minute! Why do you never finish me off?!\Quit bothering me. I don't want to waste my arrows.\If I could just get my hands on that Jewel...\I had no intention of killing Kikyo.\Kikyo would never kill me, either.\Inuyasha, I know you're there. response:	Won't you come down?
context: In order to become a full-fledged demon.\Wait a minute! Why do you never finish me off?!\Quit bothering me. I don't want to waste my arrows.\If I could just get my hands on that Jewel...\I had no intention of killing Kikyo.\Kikyo would never kill me, either.\Inuyasha, I know you're there.\Won't you come down? response:	We've never talked like this before.
context: Wait a minute! Why do you never finish me off?!\Quit bothering me. I don't want to waste my arrows.\If I could just get my hands on that Jewel...\I had no intention of killing Kikyo.\Kikyo would never kill me, either.\Inuyasha, I know you're there.\Won't you come down?\We've never talked like this before. response:	So what?!
context: Quit bothering me. I don't want to waste my arrows.\If I could just get my hands on that Jewel...\I had no intention of killing Kikyo.\Kikyo would never kill me, either.\Inuyasha, I know you're there.\Won't you come down?\We've never talked like this before.\So what?! response:	Inuyasha... How do I look? Do I look human?
context: If I could just get my hands on that Jewel...\I had no intention of killing Kikyo.\Kikyo would never kill me, either.\Inuyasha, I know you're there.\Won't you come down?\We've never talked like this before.\So what?!\Inuyasha... How do I look? Do I look human? response:	Huh?! What are you talking about?
context: I had no intention of killing Kikyo.\Kikyo would never kill me, either.\Inuyasha, I know you're there.\Won't you come down?\We've never talked like this before.\So what?!\Inuyasha... How do I look? Do I look human?\Huh?! What are you talking about? response:	I never show anyone my weakness. I must never waver.
context: Kikyo would never kill me, either.\Inuyasha, I know you're there.\Won't you come down?\We've never talked like this before.\So what?!\Inuyasha... How do I look? Do I look human?\Huh?! What are you talking about?\I never show anyone my weakness. I must never waver. response:	Otherwise, some demon will get the better of me.
context: Inuyasha, I know you're there.\Won't you come down?\We've never talked like this before.\So what?!\Inuyasha... How do I look? Do I look human?\Huh?! What are you talking about?\I never show anyone my weakness. I must never waver.\Otherwise, some demon will get the better of me. response:	I'm human, but I mustn't be human.
context: Won't you come down?\We've never talked like this before.\So what?!\Inuyasha... How do I look? Do I look human?\Huh?! What are you talking about?\I never show anyone my weakness. I must never waver.\Otherwise, some demon will get the better of me.\I'm human, but I mustn't be human. response:	You and I have things in common.
context: We've never talked like this before.\So what?!\Inuyasha... How do I look? Do I look human?\Huh?! What are you talking about?\I never show anyone my weakness. I must never waver.\Otherwise, some demon will get the better of me.\I'm human, but I mustn't be human.\You and I have things in common. response:	You, the half-demon. That's why I couldn't kill you.
context: So what?!\Inuyasha... How do I look? Do I look human?\Huh?! What are you talking about?\I never show anyone my weakness. I must never waver.\Otherwise, some demon will get the better of me.\I'm human, but I mustn't be human.\You and I have things in common.\You, the half-demon. That's why I couldn't kill you. response:	Humph! Complaining? It's not like you at all.
context: Inuyasha... How do I look? Do I look human?\Huh?! What are you talking about?\I never show anyone my weakness. I must never waver.\Otherwise, some demon will get the better of me.\I'm human, but I mustn't be human.\You and I have things in common.\You, the half-demon. That's why I couldn't kill you.\Humph! Complaining? It's not like you at all. response:	I guess... it's unlike me...
context: Huh?! What are you talking about?\I never show anyone my weakness. I must never waver.\Otherwise, some demon will get the better of me.\I'm human, but I mustn't be human.\You and I have things in common.\You, the half-demon. That's why I couldn't kill you.\Humph! Complaining? It's not like you at all.\I guess... it's unlike me... response:	Looking at Kikyo's sad face...
context: I never show anyone my weakness. I must never waver.\Otherwise, some demon will get the better of me.\I'm human, but I mustn't be human.\You and I have things in common.\You, the half-demon. That's why I couldn't kill you.\Humph! Complaining? It's not like you at all.\I guess... it's unlike me...\Looking at Kikyo's sad face... response:	For the first time in my life, I felt like I'd done something wrong.
context: Otherwise, some demon will get the better of me.\I'm human, but I mustn't be human.\You and I have things in common.\You, the half-demon. That's why I couldn't kill you.\Humph! Complaining? It's not like you at all.\I guess... it's unlike me...\Looking at Kikyo's sad face...\For the first time in my life, I felt like I'd done something wrong. response:	After that day, all I could think about was Kikyo.
context: I'm human, but I mustn't be human.\You and I have things in common.\You, the half-demon. That's why I couldn't kill you.\Humph! Complaining? It's not like you at all.\I guess... it's unlike me...\Looking at Kikyo's sad face...\For the first time in my life, I felt like I'd done something wrong.\After that day, all I could think about was Kikyo. response:	She was always near me...
context: You and I have things in common.\You, the half-demon. That's why I couldn't kill you.\Humph! Complaining? It's not like you at all.\I guess... it's unlike me...\Looking at Kikyo's sad face...\For the first time in my life, I felt like I'd done something wrong.\After that day, all I could think about was Kikyo.\She was always near me... response:	And I was always with her.
context: You, the half-demon. That's why I couldn't kill you.\Humph! Complaining? It's not like you at all.\I guess... it's unlike me...\Looking at Kikyo's sad face...\For the first time in my life, I felt like I'd done something wrong.\After that day, all I could think about was Kikyo.\She was always near me...\And I was always with her. response:	Me... A human?
context: Humph! Complaining? It's not like you at all.\I guess... it's unlike me...\Looking at Kikyo's sad face...\For the first time in my life, I felt like I'd done something wrong.\After that day, all I could think about was Kikyo.\She was always near me...\And I was always with her.\Me... A human? response:	Sure you can. You're half human, after all.
context: I guess... it's unlike me...\Looking at Kikyo's sad face...\For the first time in my life, I felt like I'd done something wrong.\After that day, all I could think about was Kikyo.\She was always near me...\And I was always with her.\Me... A human?\Sure you can. You're half human, after all. response:	If the Sacred Jewel fell into the hands of a true demon...
context: Looking at Kikyo's sad face...\For the first time in my life, I felt like I'd done something wrong.\After that day, all I could think about was Kikyo.\She was always near me...\And I was always with her.\Me... A human?\Sure you can. You're half human, after all.\If the Sacred Jewel fell into the hands of a true demon... response:	its powers would greatly increase.
context: For the first time in my life, I felt like I'd done something wrong.\After that day, all I could think about was Kikyo.\She was always near me...\And I was always with her.\Me... A human?\Sure you can. You're half human, after all.\If the Sacred Jewel fell into the hands of a true demon...\its powers would greatly increase. response:	But if it was used to turn you into a human...
context: After that day, all I could think about was Kikyo.\She was always near me...\And I was always with her.\Me... A human?\Sure you can. You're half human, after all.\If the Sacred Jewel fell into the hands of a true demon...\its powers would greatly increase.\But if it was used to turn you into a human... response:	the Jewel would be purified and would probably cease to exist.
context: She was always near me...\And I was always with her.\Me... A human?\Sure you can. You're half human, after all.\If the Sacred Jewel fell into the hands of a true demon...\its powers would greatly increase.\But if it was used to turn you into a human...\the Jewel would be purified and would probably cease to exist. response:	Then what would happen to you, Kikyo?
context: And I was always with her.\Me... A human?\Sure you can. You're half human, after all.\If the Sacred Jewel fell into the hands of a true demon...\its powers would greatly increase.\But if it was used to turn you into a human...\the Jewel would be purified and would probably cease to exist.\Then what would happen to you, Kikyo? response:	My duty is to protect the Jewel.
context: Me... A human?\Sure you can. You're half human, after all.\If the Sacred Jewel fell into the hands of a true demon...\its powers would greatly increase.\But if it was used to turn you into a human...\the Jewel would be purified and would probably cease to exist.\Then what would happen to you, Kikyo?\My duty is to protect the Jewel. response:	Without the Jewel, I'd become an ordinary person.
context: Sure you can. You're half human, after all.\If the Sacred Jewel fell into the hands of a true demon...\its powers would greatly increase.\But if it was used to turn you into a human...\the Jewel would be purified and would probably cease to exist.\Then what would happen to you, Kikyo?\My duty is to protect the Jewel.\Without the Jewel, I'd become an ordinary person. response:	I had no second thoughts...!
context: If the Sacred Jewel fell into the hands of a true demon...\its powers would greatly increase.\But if it was used to turn you into a human...\the Jewel would be purified and would probably cease to exist.\Then what would happen to you, Kikyo?\My duty is to protect the Jewel.\Without the Jewel, I'd become an ordinary person.\I had no second thoughts...! response:	I believed I could live as a human with Kikyo.
context: its powers would greatly increase.\But if it was used to turn you into a human...\the Jewel would be purified and would probably cease to exist.\Then what would happen to you, Kikyo?\My duty is to protect the Jewel.\Without the Jewel, I'd become an ordinary person.\I had no second thoughts...!\I believed I could live as a human with Kikyo. response:	I wanted that life!
