context: When we lived at the monastery, response:	it was easy to tell whether Rin was home or not.
context: Professor Neuhaus is here?\The tracer's signal is coming from below.\Let's split up.\Use the charms I gave you earlier as your last resort.\If you're attacked with that web, secure your breathing using chants.\Can you hear it?\Don't move!\You're so persistent. response:	Professor! Raise your hands, now!
context: The tracer's signal is coming from below.\Let's split up.\Use the charms I gave you earlier as your last resort.\If you're attacked with that web, secure your breathing using chants.\Can you hear it?\Don't move!\You're so persistent.\Professor! Raise your hands, now! response:	Wait!
context: Let's split up.\Use the charms I gave you earlier as your last resort.\If you're attacked with that web, secure your breathing using chants.\Can you hear it?\Don't move!\You're so persistent.\Professor! Raise your hands, now!\Wait! response:	Professor! Professor Hinokawa!
context: Use the charms I gave you earlier as your last resort.\If you're attacked with that web, secure your breathing using chants.\Can you hear it?\Don't move!\You're so persistent.\Professor! Raise your hands, now!\Wait!\Professor! Professor Hinokawa! response:	Yukio, you bastard...
context: If you're attacked with that web, secure your breathing using chants.\Can you hear it?\Don't move!\You're so persistent.\Professor! Raise your hands, now!\Wait!\Professor! Professor Hinokawa!\Yukio, you bastard... response:	Nyaha I see you're still groggy!
context: Can you hear it?\Don't move!\You're so persistent.\Professor! Raise your hands, now!\Wait!\Professor! Professor Hinokawa!\Yukio, you bastard...\Nyaha I see you're still groggy! response:	You still have some tranqs in your blood. Stay still.
context: Don't move!\You're so persistent.\Professor! Raise your hands, now!\Wait!\Professor! Professor Hinokawa!\Yukio, you bastard...\Nyaha I see you're still groggy!\You still have some tranqs in your blood. Stay still. response:	Damn Yukio... What the hell is wrong with him?
context: You're so persistent.\Professor! Raise your hands, now!\Wait!\Professor! Professor Hinokawa!\Yukio, you bastard...\Nyaha I see you're still groggy!\You still have some tranqs in your blood. Stay still.\Damn Yukio... What the hell is wrong with him? response:	I guess it's called worry.
context: Professor! Raise your hands, now!\Wait!\Professor! Professor Hinokawa!\Yukio, you bastard...\Nyaha I see you're still groggy!\You still have some tranqs in your blood. Stay still.\Damn Yukio... What the hell is wrong with him?\I guess it's called worry. response:	I've gotta...
context: Wait!\Professor! Professor Hinokawa!\Yukio, you bastard...\Nyaha I see you're still groggy!\You still have some tranqs in your blood. Stay still.\Damn Yukio... What the hell is wrong with him?\I guess it's called worry.\I've gotta... response:	Give up! You ain't worth shit if you go there
context: Professor! Professor Hinokawa!\Yukio, you bastard...\Nyaha I see you're still groggy!\You still have some tranqs in your blood. Stay still.\Damn Yukio... What the hell is wrong with him?\I guess it's called worry.\I've gotta...\Give up! You ain't worth shit if you go there response:	without knowing how to use a single flame the way you want to.
context: Yukio, you bastard...\Nyaha I see you're still groggy!\You still have some tranqs in your blood. Stay still.\Damn Yukio... What the hell is wrong with him?\I guess it's called worry.\I've gotta...\Give up! You ain't worth shit if you go there\without knowing how to use a single flame the way you want to. response:	What?!
context: Nyaha I see you're still groggy!\You still have some tranqs in your blood. Stay still.\Damn Yukio... What the hell is wrong with him?\I guess it's called worry.\I've gotta...\Give up! You ain't worth shit if you go there\without knowing how to use a single flame the way you want to.\What?! response:	Don't you get that you having trouble with your flames means trouble for everyone?
context: You still have some tranqs in your blood. Stay still.\Damn Yukio... What the hell is wrong with him?\I guess it's called worry.\I've gotta...\Give up! You ain't worth shit if you go there\without knowing how to use a single flame the way you want to.\What?!\Don't you get that you having trouble with your flames means trouble for everyone? response:	If you learned to control them properly, no one would be
context: Damn Yukio... What the hell is wrong with him?\I guess it's called worry.\I've gotta...\Give up! You ain't worth shit if you go there\without knowing how to use a single flame the way you want to.\What?!\Don't you get that you having trouble with your flames means trouble for everyone?\If you learned to control them properly, no one would be response:	afraid, worried or suffering because of you.
context: I guess it's called worry.\I've gotta...\Give up! You ain't worth shit if you go there\without knowing how to use a single flame the way you want to.\What?!\Don't you get that you having trouble with your flames means trouble for everyone?\If you learned to control them properly, no one would be\afraid, worried or suffering because of you. response:	I know that! But...
context: I've gotta...\Give up! You ain't worth shit if you go there\without knowing how to use a single flame the way you want to.\What?!\Don't you get that you having trouble with your flames means trouble for everyone?\If you learned to control them properly, no one would be\afraid, worried or suffering because of you.\I know that! But... response:	If you get it, use these.
context: Give up! You ain't worth shit if you go there\without knowing how to use a single flame the way you want to.\What?!\Don't you get that you having trouble with your flames means trouble for everyone?\If you learned to control them properly, no one would be\afraid, worried or suffering because of you.\I know that! But...\If you get it, use these. response:	This isn't the time for training!
context: without knowing how to use a single flame the way you want to.\What?!\Don't you get that you having trouble with your flames means trouble for everyone?\If you learned to control them properly, no one would be\afraid, worried or suffering because of you.\I know that! But...\If you get it, use these.\This isn't the time for training! response:	This ain't training, this is the real thing.
context: What?!\Don't you get that you having trouble with your flames means trouble for everyone?\If you learned to control them properly, no one would be\afraid, worried or suffering because of you.\I know that! But...\If you get it, use these.\This isn't the time for training!\This ain't training, this is the real thing. response:	Huh?
context: Don't you get that you having trouble with your flames means trouble for everyone?\If you learned to control them properly, no one would be\afraid, worried or suffering because of you.\I know that! But...\If you get it, use these.\This isn't the time for training!\This ain't training, this is the real thing.\Huh? response:	These candles are the people important to you.
context: If you learned to control them properly, no one would be\afraid, worried or suffering because of you.\I know that! But...\If you get it, use these.\This isn't the time for training!\This ain't training, this is the real thing.\Huh?\These candles are the people important to you. response:	If you can't control your flames, they will all die.
context: afraid, worried or suffering because of you.\I know that! But...\If you get it, use these.\This isn't the time for training!\This ain't training, this is the real thing.\Huh?\These candles are the people important to you.\If you can't control your flames, they will all die. response:	You only have one chance.
context: I know that! But...\If you get it, use these.\This isn't the time for training!\This ain't training, this is the real thing.\Huh?\These candles are the people important to you.\If you can't control your flames, they will all die.\You only have one chance. response:	It doesn't matter if it's training or not.
context: If you get it, use these.\This isn't the time for training!\This ain't training, this is the real thing.\Huh?\These candles are the people important to you.\If you can't control your flames, they will all die.\You only have one chance.\It doesn't matter if it's training or not. response:	As long as you can't prove that you can control your flames,
context: This isn't the time for training!\This ain't training, this is the real thing.\Huh?\These candles are the people important to you.\If you can't control your flames, they will all die.\You only have one chance.\It doesn't matter if it's training or not.\As long as you can't prove that you can control your flames, response:	no one's gonna trust you.
context: This ain't training, this is the real thing.\Huh?\These candles are the people important to you.\If you can't control your flames, they will all die.\You only have one chance.\It doesn't matter if it's training or not.\As long as you can't prove that you can control your flames,\no one's gonna trust you. response:	Control your flames with your will!
context: Huh?\These candles are the people important to you.\If you can't control your flames, they will all die.\You only have one chance.\It doesn't matter if it's training or not.\As long as you can't prove that you can control your flames,\no one's gonna trust you.\Control your flames with your will! response:	With my will?
context: These candles are the people important to you.\If you can't control your flames, they will all die.\You only have one chance.\It doesn't matter if it's training or not.\As long as you can't prove that you can control your flames,\no one's gonna trust you.\Control your flames with your will!\With my will? response:	So he wasn't alone?
context: If you can't control your flames, they will all die.\You only have one chance.\It doesn't matter if it's training or not.\As long as you can't prove that you can control your flames,\no one's gonna trust you.\Control your flames with your will!\With my will?\So he wasn't alone? response:	I was careless.
context: You only have one chance.\It doesn't matter if it's training or not.\As long as you can't prove that you can control your flames,\no one's gonna trust you.\Control your flames with your will!\With my will?\So he wasn't alone?\I was careless. response:	Yes, it's me.
context: It doesn't matter if it's training or not.\As long as you can't prove that you can control your flames,\no one's gonna trust you.\Control your flames with your will!\With my will?\So he wasn't alone?\I was careless.\Yes, it's me. response:	What?!
context: As long as you can't prove that you can control your flames,\no one's gonna trust you.\Control your flames with your will!\With my will?\So he wasn't alone?\I was careless.\Yes, it's me.\What?! response:	Understood. I'll head there right away.
context: no one's gonna trust you.\Control your flames with your will!\With my will?\So he wasn't alone?\I was careless.\Yes, it's me.\What?!\Understood. I'll head there right away. response:	Professor?
context: Control your flames with your will!\With my will?\So he wasn't alone?\I was careless.\Yes, it's me.\What?!\Understood. I'll head there right away.\Professor? response:	They've tracked him down.
context: With my will?\So he wasn't alone?\I was careless.\Yes, it's me.\What?!\Understood. I'll head there right away.\Professor?\They've tracked him down. response:	Where?
context: So he wasn't alone?\I was careless.\Yes, it's me.\What?!\Understood. I'll head there right away.\Professor?\They've tracked him down.\Where? response:	In the boys' dormitory of the True Cross Academy.
context: I was careless.\Yes, it's me.\What?!\Understood. I'll head there right away.\Professor?\They've tracked him down.\Where?\In the boys' dormitory of the True Cross Academy. response:	Koneko!
context: Yes, it's me.\What?!\Understood. I'll head there right away.\Professor?\They've tracked him down.\Where?\In the boys' dormitory of the True Cross Academy.\Koneko! response:	What are you? Demon or human?
context: What?!\Understood. I'll head there right away.\Professor?\They've tracked him down.\Where?\In the boys' dormitory of the True Cross Academy.\Koneko!\What are you? Demon or human? response:	Bon!
context: Understood. I'll head there right away.\Professor?\They've tracked him down.\Where?\In the boys' dormitory of the True Cross Academy.\Koneko!\What are you? Demon or human?\Bon! response:	Who's the intruder?
context: Professor?\They've tracked him down.\Where?\In the boys' dormitory of the True Cross Academy.\Koneko!\What are you? Demon or human?\Bon!\Who's the intruder? response:	According to student witnesses, it's a masked man.
context: They've tracked him down.\Where?\In the boys' dormitory of the True Cross Academy.\Koneko!\What are you? Demon or human?\Bon!\Who's the intruder?\According to student witnesses, it's a masked man. response:	Most of the students managed to escape,
context: Where?\In the boys' dormitory of the True Cross Academy.\Koneko!\What are you? Demon or human?\Bon!\Who's the intruder?\According to student witnesses, it's a masked man.\Most of the students managed to escape, response:	but a few are still in the cafeteria.
context: In the boys' dormitory of the True Cross Academy.\Koneko!\What are you? Demon or human?\Bon!\Who's the intruder?\According to student witnesses, it's a masked man.\Most of the students managed to escape,\but a few are still in the cafeteria. response:	Including the students of the Exorcist cram school.
context: Koneko!\What are you? Demon or human?\Bon!\Who's the intruder?\According to student witnesses, it's a masked man.\Most of the students managed to escape,\but a few are still in the cafeteria.\Including the students of the Exorcist cram school. response:	The cram school students?
context: What are you? Demon or human?\Bon!\Who's the intruder?\According to student witnesses, it's a masked man.\Most of the students managed to escape,\but a few are still in the cafeteria.\Including the students of the Exorcist cram school.\The cram school students? response:	What are their demands?
context: Bon!\Who's the intruder?\According to student witnesses, it's a masked man.\Most of the students managed to escape,\but a few are still in the cafeteria.\Including the students of the Exorcist cram school.\The cram school students?\What are their demands? response:	He said no one is to enter if we want the hostages alive.
context: Who's the intruder?\According to student witnesses, it's a masked man.\Most of the students managed to escape,\but a few are still in the cafeteria.\Including the students of the Exorcist cram school.\The cram school students?\What are their demands?\He said no one is to enter if we want the hostages alive. response:	Except...
context: According to student witnesses, it's a masked man.\Most of the students managed to escape,\but a few are still in the cafeteria.\Including the students of the Exorcist cram school.\The cram school students?\What are their demands?\He said no one is to enter if we want the hostages alive.\Except... response:	What?
context: Most of the students managed to escape,\but a few are still in the cafeteria.\Including the students of the Exorcist cram school.\The cram school students?\What are their demands?\He said no one is to enter if we want the hostages alive.\Except...\What? response:	No one except the son of Satan.
context: but a few are still in the cafeteria.\Including the students of the Exorcist cram school.\The cram school students?\What are their demands?\He said no one is to enter if we want the hostages alive.\Except...\What?\No one except the son of Satan. response:	It is a brave act to assault my Academy.
context: Including the students of the Exorcist cram school.\The cram school students?\What are their demands?\He said no one is to enter if we want the hostages alive.\Except...\What?\No one except the son of Satan.\It is a brave act to assault my Academy. response:	Principal!
context: The cram school students?\What are their demands?\He said no one is to enter if we want the hostages alive.\Except...\What?\No one except the son of Satan.\It is a brave act to assault my Academy.\Principal! response:	Let us make him regret it.
context: What are their demands?\He said no one is to enter if we want the hostages alive.\Except...\What?\No one except the son of Satan.\It is a brave act to assault my Academy.\Principal!\Let us make him regret it. response:	Is... Is the Principal serious?!
context: He said no one is to enter if we want the hostages alive.\Except...\What?\No one except the son of Satan.\It is a brave act to assault my Academy.\Principal!\Let us make him regret it.\Is... Is the Principal serious?! response:	Eins, zwei...
context: Except...\What?\No one except the son of Satan.\It is a brave act to assault my Academy.\Principal!\Let us make him regret it.\Is... Is the Principal serious?!\Eins, zwei... response:	Huh, what?
context: What?\No one except the son of Satan.\It is a brave act to assault my Academy.\Principal!\Let us make him regret it.\Is... Is the Principal serious?!\Eins, zwei...\Huh, what? response:	Don't play with fire in the middle of the night.
context: No one except the son of Satan.\It is a brave act to assault my Academy.\Principal!\Let us make him regret it.\Is... Is the Principal serious?!\Eins, zwei...\Huh, what?\Don't play with fire in the middle of the night. response:	Oh, it's you? Would you care to explain the meaning of this?
context: It is a brave act to assault my Academy.\Principal!\Let us make him regret it.\Is... Is the Principal serious?!\Eins, zwei...\Huh, what?\Don't play with fire in the middle of the night.\Oh, it's you? Would you care to explain the meaning of this? response:	The Vatican has placed a warrant for you.
context: Principal!\Let us make him regret it.\Is... Is the Principal serious?!\Eins, zwei...\Huh, what?\Don't play with fire in the middle of the night.\Oh, it's you? Would you care to explain the meaning of this?\The Vatican has placed a warrant for you. response:	There is a suspicion that you might be engaged in forbidden artificial life research.
context: Let us make him regret it.\Is... Is the Principal serious?!\Eins, zwei...\Huh, what?\Don't play with fire in the middle of the night.\Oh, it's you? Would you care to explain the meaning of this?\The Vatican has placed a warrant for you.\There is a suspicion that you might be engaged in forbidden artificial life research. response:	What are you talking about, I wonder?
context: Is... Is the Principal serious?!\Eins, zwei...\Huh, what?\Don't play with fire in the middle of the night.\Oh, it's you? Would you care to explain the meaning of this?\The Vatican has placed a warrant for you.\There is a suspicion that you might be engaged in forbidden artificial life research.\What are you talking about, I wonder? response:	If you have something to say, you can say it in the Vatican's prison.
context: Eins, zwei...\Huh, what?\Don't play with fire in the middle of the night.\Oh, it's you? Would you care to explain the meaning of this?\The Vatican has placed a warrant for you.\There is a suspicion that you might be engaged in forbidden artificial life research.\What are you talking about, I wonder?\If you have something to say, you can say it in the Vatican's prison. response:	Take him.
context: Huh, what?\Don't play with fire in the middle of the night.\Oh, it's you? Would you care to explain the meaning of this?\The Vatican has placed a warrant for you.\There is a suspicion that you might be engaged in forbidden artificial life research.\What are you talking about, I wonder?\If you have something to say, you can say it in the Vatican's prison.\Take him. response:	I will not run away or hide.
context: Don't play with fire in the middle of the night.\Oh, it's you? Would you care to explain the meaning of this?\The Vatican has placed a warrant for you.\There is a suspicion that you might be engaged in forbidden artificial life research.\What are you talking about, I wonder?\If you have something to say, you can say it in the Vatican's prison.\Take him.\I will not run away or hide. response:	However, it makes me wonder your timing for this.
context: Oh, it's you? Would you care to explain the meaning of this?\The Vatican has placed a warrant for you.\There is a suspicion that you might be engaged in forbidden artificial life research.\What are you talking about, I wonder?\If you have something to say, you can say it in the Vatican's prison.\Take him.\I will not run away or hide.\However, it makes me wonder your timing for this. response:	I expect a quick resolution. Stay out of our way.
context: The Vatican has placed a warrant for you.\There is a suspicion that you might be engaged in forbidden artificial life research.\What are you talking about, I wonder?\If you have something to say, you can say it in the Vatican's prison.\Take him.\I will not run away or hide.\However, it makes me wonder your timing for this.\I expect a quick resolution. Stay out of our way. response:	What on earth is going on? Artificial life?
context: There is a suspicion that you might be engaged in forbidden artificial life research.\What are you talking about, I wonder?\If you have something to say, you can say it in the Vatican's prison.\Take him.\I will not run away or hide.\However, it makes me wonder your timing for this.\I expect a quick resolution. Stay out of our way.\What on earth is going on? Artificial life? response:	Wait, professor Okumura!
context: What are you talking about, I wonder?\If you have something to say, you can say it in the Vatican's prison.\Take him.\I will not run away or hide.\However, it makes me wonder your timing for this.\I expect a quick resolution. Stay out of our way.\What on earth is going on? Artificial life?\Wait, professor Okumura! response:	I'm going to at least find out if there's more than one intruder in there.
context: If you have something to say, you can say it in the Vatican's prison.\Take him.\I will not run away or hide.\However, it makes me wonder your timing for this.\I expect a quick resolution. Stay out of our way.\What on earth is going on? Artificial life?\Wait, professor Okumura!\I'm going to at least find out if there's more than one intruder in there. response:	I can't fail again.
context: Take him.\I will not run away or hide.\However, it makes me wonder your timing for this.\I expect a quick resolution. Stay out of our way.\What on earth is going on? Artificial life?\Wait, professor Okumura!\I'm going to at least find out if there's more than one intruder in there.\I can't fail again. response:	Wait until support arrives!
context: I will not run away or hide.\However, it makes me wonder your timing for this.\I expect a quick resolution. Stay out of our way.\What on earth is going on? Artificial life?\Wait, professor Okumura!\I'm going to at least find out if there's more than one intruder in there.\I can't fail again.\Wait until support arrives! response:	And call your brother too!
context: However, it makes me wonder your timing for this.\I expect a quick resolution. Stay out of our way.\What on earth is going on? Artificial life?\Wait, professor Okumura!\I'm going to at least find out if there's more than one intruder in there.\I can't fail again.\Wait until support arrives!\And call your brother too! response:	No!
context: I expect a quick resolution. Stay out of our way.\What on earth is going on? Artificial life?\Wait, professor Okumura!\I'm going to at least find out if there's more than one intruder in there.\I can't fail again.\Wait until support arrives!\And call your brother too!\No! response:	Don't let anyone call my brother!
context: What on earth is going on? Artificial life?\Wait, professor Okumura!\I'm going to at least find out if there's more than one intruder in there.\I can't fail again.\Wait until support arrives!\And call your brother too!\No!\Don't let anyone call my brother! response:	Professor Okumura!
context: Wait, professor Okumura!\I'm going to at least find out if there's more than one intruder in there.\I can't fail again.\Wait until support arrives!\And call your brother too!\No!\Don't let anyone call my brother!\Professor Okumura! response:	There's no one in the other classrooms.
context: I'm going to at least find out if there's more than one intruder in there.\I can't fail again.\Wait until support arrives!\And call your brother too!\No!\Don't let anyone call my brother!\Professor Okumura!\There's no one in the other classrooms. response:	Why? Why are you binding only us?
context: I can't fail again.\Wait until support arrives!\And call your brother too!\No!\Don't let anyone call my brother!\Professor Okumura!\There's no one in the other classrooms.\Why? Why are you binding only us? response:	He's alone.
context: Wait until support arrives!\And call your brother too!\No!\Don't let anyone call my brother!\Professor Okumura!\There's no one in the other classrooms.\Why? Why are you binding only us?\He's alone. response:	I'll kill everyone connected to the son of Satan.
context: And call your brother too!\No!\Don't let anyone call my brother!\Professor Okumura!\There's no one in the other classrooms.\Why? Why are you binding only us?\He's alone.\I'll kill everyone connected to the son of Satan. response:	What?
context: No!\Don't let anyone call my brother!\Professor Okumura!\There's no one in the other classrooms.\Why? Why are you binding only us?\He's alone.\I'll kill everyone connected to the son of Satan.\What? response:	That's my cell...
context: Don't let anyone call my brother!\Professor Okumura!\There's no one in the other classrooms.\Why? Why are you binding only us?\He's alone.\I'll kill everyone connected to the son of Satan.\What?\That's my cell... response:	Shima? What's up?
context: Professor Okumura!\There's no one in the other classrooms.\Why? Why are you binding only us?\He's alone.\I'll kill everyone connected to the son of Satan.\What?\That's my cell...\Shima? What's up? response:	Okumura...
context: There's no one in the other classrooms.\Why? Why are you binding only us?\He's alone.\I'll kill everyone connected to the son of Satan.\What?\That's my cell...\Shima? What's up?\Okumura... response:	Can you hear me, son of Satan?
context: Why? Why are you binding only us?\He's alone.\I'll kill everyone connected to the son of Satan.\What?\That's my cell...\Shima? What's up?\Okumura...\Can you hear me, son of Satan? response:	You're that masked freak! What have you done to my friends?!
context: He's alone.\I'll kill everyone connected to the son of Satan.\What?\That's my cell...\Shima? What's up?\Okumura...\Can you hear me, son of Satan?\You're that masked freak! What have you done to my friends?! response:	I'm not killing them. At least not until you arrive.
context: I'll kill everyone connected to the son of Satan.\What?\That's my cell...\Shima? What's up?\Okumura...\Can you hear me, son of Satan?\You're that masked freak! What have you done to my friends?!\I'm not killing them. At least not until you arrive. response:	What?!
context: What?\That's my cell...\Shima? What's up?\Okumura...\Can you hear me, son of Satan?\You're that masked freak! What have you done to my friends?!\I'm not killing them. At least not until you arrive.\What?! response:	He wants to call Rin here? Why would he...
context: That's my cell...\Shima? What's up?\Okumura...\Can you hear me, son of Satan?\You're that masked freak! What have you done to my friends?!\I'm not killing them. At least not until you arrive.\What?!\He wants to call Rin here? Why would he... response:	Do you want another taste of the pain of losing someone? Or...
context: Shima? What's up?\Okumura...\Can you hear me, son of Satan?\You're that masked freak! What have you done to my friends?!\I'm not killing them. At least not until you arrive.\What?!\He wants to call Rin here? Why would he...\Do you want another taste of the pain of losing someone? Or... response:	Damn you!
context: Okumura...\Can you hear me, son of Satan?\You're that masked freak! What have you done to my friends?!\I'm not killing them. At least not until you arrive.\What?!\He wants to call Rin here? Why would he...\Do you want another taste of the pain of losing someone? Or...\Damn you! response:	It hit!
context: Can you hear me, son of Satan?\You're that masked freak! What have you done to my friends?!\I'm not killing them. At least not until you arrive.\What?!\He wants to call Rin here? Why would he...\Do you want another taste of the pain of losing someone? Or...\Damn you!\It hit! response:	The tranquilizer won't work?
context: You're that masked freak! What have you done to my friends?!\I'm not killing them. At least not until you arrive.\What?!\He wants to call Rin here? Why would he...\Do you want another taste of the pain of losing someone? Or...\Damn you!\It hit!\The tranquilizer won't work? response:	His brother?
context: I'm not killing them. At least not until you arrive.\What?!\He wants to call Rin here? Why would he...\Do you want another taste of the pain of losing someone? Or...\Damn you!\It hit!\The tranquilizer won't work?\His brother? response:	Professor!
context: What?!\He wants to call Rin here? Why would he...\Do you want another taste of the pain of losing someone? Or...\Damn you!\It hit!\The tranquilizer won't work?\His brother?\Professor! response:	I told you that I would kill them if anyone but the son of Satan entered.
context: He wants to call Rin here? Why would he...\Do you want another taste of the pain of losing someone? Or...\Damn you!\It hit!\The tranquilizer won't work?\His brother?\Professor!\I told you that I would kill them if anyone but the son of Satan entered. response:	What?!
context: Do you want another taste of the pain of losing someone? Or...\Damn you!\It hit!\The tranquilizer won't work?\His brother?\Professor!\I told you that I would kill them if anyone but the son of Satan entered.\What?! response:	Bon!
context: Damn you!\It hit!\The tranquilizer won't work?\His brother?\Professor!\I told you that I would kill them if anyone but the son of Satan entered.\What?!\Bon! response:	This is your punishment for not listening.
context: It hit!\The tranquilizer won't work?\His brother?\Professor!\I told you that I would kill them if anyone but the son of Satan entered.\What?!\Bon!\This is your punishment for not listening. response:	Stop! Or take me instead!
context: The tranquilizer won't work?\His brother?\Professor!\I told you that I would kill them if anyone but the son of Satan entered.\What?!\Bon!\This is your punishment for not listening.\Stop! Or take me instead! response:	I need hostages.
context: His brother?\Professor!\I told you that I would kill them if anyone but the son of Satan entered.\What?!\Bon!\This is your punishment for not listening.\Stop! Or take me instead!\I need hostages. response:	It's more interesting with the brother here too.
context: Professor!\I told you that I would kill them if anyone but the son of Satan entered.\What?!\Bon!\This is your punishment for not listening.\Stop! Or take me instead!\I need hostages.\It's more interesting with the brother here too. response:	Die.
context: I told you that I would kill them if anyone but the son of Satan entered.\What?!\Bon!\This is your punishment for not listening.\Stop! Or take me instead!\I need hostages.\It's more interesting with the brother here too.\Die. response:	Stop!
context: What?!\Bon!\This is your punishment for not listening.\Stop! Or take me instead!\I need hostages.\It's more interesting with the brother here too.\Die.\Stop! response:	You've come, son of Satan?
context: Bon!\This is your punishment for not listening.\Stop! Or take me instead!\I need hostages.\It's more interesting with the brother here too.\Die.\Stop!\You've come, son of Satan? response:	You can't do anything without your sword!
context: This is your punishment for not listening.\Stop! Or take me instead!\I need hostages.\It's more interesting with the brother here too.\Die.\Stop!\You've come, son of Satan?\You can't do anything without your sword! response:	You're lookin' at the wrong guy.
context: Stop! Or take me instead!\I need hostages.\It's more interesting with the brother here too.\Die.\Stop!\You've come, son of Satan?\You can't do anything without your sword!\You're lookin' at the wrong guy. response:	Resistance is futile.
context: I need hostages.\It's more interesting with the brother here too.\Die.\Stop!\You've come, son of Satan?\You can't do anything without your sword!\You're lookin' at the wrong guy.\Resistance is futile. response:	Do you think you've won?
context: It's more interesting with the brother here too.\Die.\Stop!\You've come, son of Satan?\You can't do anything without your sword!\You're lookin' at the wrong guy.\Resistance is futile.\Do you think you've won? response:	What?
context: Die.\Stop!\You've come, son of Satan?\You can't do anything without your sword!\You're lookin' at the wrong guy.\Resistance is futile.\Do you think you've won?\What? response:	Rin! Run!
context: Stop!\You've come, son of Satan?\You can't do anything without your sword!\You're lookin' at the wrong guy.\Resistance is futile.\Do you think you've won?\What?\Rin! Run! response:	If you can't use your sword...
context: You've come, son of Satan?\You can't do anything without your sword!\You're lookin' at the wrong guy.\Resistance is futile.\Do you think you've won?\What?\Rin! Run!\If you can't use your sword... response:	Shut up!
context: You can't do anything without your sword!\You're lookin' at the wrong guy.\Resistance is futile.\Do you think you've won?\What?\Rin! Run!\If you can't use your sword...\Shut up! response:	The flames burn the web?
context: You're lookin' at the wrong guy.\Resistance is futile.\Do you think you've won?\What?\Rin! Run!\If you can't use your sword...\Shut up!\The flames burn the web? response:	Great! Do it, Rin!
context: Resistance is futile.\Do you think you've won?\What?\Rin! Run!\If you can't use your sword...\Shut up!\The flames burn the web?\Great! Do it, Rin! response:	No! You mustn't use your flames again, Rin!
context: Do you think you've won?\What?\Rin! Run!\If you can't use your sword...\Shut up!\The flames burn the web?\Great! Do it, Rin!\No! You mustn't use your flames again, Rin! response:	I have to learn this... and it's now or never!
context: What?\Rin! Run!\If you can't use your sword...\Shut up!\The flames burn the web?\Great! Do it, Rin!\No! You mustn't use your flames again, Rin!\I have to learn this... and it's now or never! response:	Blue flames...
context: Rin! Run!\If you can't use your sword...\Shut up!\The flames burn the web?\Great! Do it, Rin!\No! You mustn't use your flames again, Rin!\I have to learn this... and it's now or never!\Blue flames... response:	He's losing control... Rin!
context: If you can't use your sword...\Shut up!\The flames burn the web?\Great! Do it, Rin!\No! You mustn't use your flames again, Rin!\I have to learn this... and it's now or never!\Blue flames...\He's losing control... Rin! response:	Help... me.
context: Shut up!\The flames burn the web?\Great! Do it, Rin!\No! You mustn't use your flames again, Rin!\I have to learn this... and it's now or never!\Blue flames...\He's losing control... Rin!\Help... me. response:	They are my flames.
context: The flames burn the web?\Great! Do it, Rin!\No! You mustn't use your flames again, Rin!\I have to learn this... and it's now or never!\Blue flames...\He's losing control... Rin!\Help... me.\They are my flames. response:	And I've gotta control them!
context: Great! Do it, Rin!\No! You mustn't use your flames again, Rin!\I have to learn this... and it's now or never!\Blue flames...\He's losing control... Rin!\Help... me.\They are my flames.\And I've gotta control them! response:	I was supposed to protect you.
context: No! You mustn't use your flames again, Rin!\I have to learn this... and it's now or never!\Blue flames...\He's losing control... Rin!\Help... me.\They are my flames.\And I've gotta control them!\I was supposed to protect you. response:	You're way too early for that.
context: I have to learn this... and it's now or never!\Blue flames...\He's losing control... Rin!\Help... me.\They are my flames.\And I've gotta control them!\I was supposed to protect you.\You're way too early for that. response:	I was supposed to be able to protect you...
context: Blue flames...\He's losing control... Rin!\Help... me.\They are my flames.\And I've gotta control them!\I was supposed to protect you.\You're way too early for that.\I was supposed to be able to protect you... response:	A woman?
context: He's losing control... Rin!\Help... me.\They are my flames.\And I've gotta control them!\I was supposed to protect you.\You're way too early for that.\I was supposed to be able to protect you...\A woman? response:	Stop!
context: Help... me.\They are my flames.\And I've gotta control them!\I was supposed to protect you.\You're way too early for that.\I was supposed to be able to protect you...\A woman?\Stop! response:	Neuhaus!
context: They are my flames.\And I've gotta control them!\I was supposed to protect you.\You're way too early for that.\I was supposed to be able to protect you...\A woman?\Stop!\Neuhaus! response:	Snakefang!
context: And I've gotta control them!\I was supposed to protect you.\You're way too early for that.\I was supposed to be able to protect you...\A woman?\Stop!\Neuhaus!\Snakefang! response:	Let me go! Don't get in the way!
context: I was supposed to protect you.\You're way too early for that.\I was supposed to be able to protect you...\A woman?\Stop!\Neuhaus!\Snakefang!\Let me go! Don't get in the way! response:	You're the one in the way!
context: You're way too early for that.\I was supposed to be able to protect you...\A woman?\Stop!\Neuhaus!\Snakefang!\Let me go! Don't get in the way!\You're the one in the way! response:	You were trying to use that demon to attack Rin!
context: I was supposed to be able to protect you...\A woman?\Stop!\Neuhaus!\Snakefang!\Let me go! Don't get in the way!\You're the one in the way!\You were trying to use that demon to attack Rin! response:	She's... She's my wife!
context: A woman?\Stop!\Neuhaus!\Snakefang!\Let me go! Don't get in the way!\You're the one in the way!\You were trying to use that demon to attack Rin!\She's... She's my wife! response:	What?
context: Stop!\Neuhaus!\Snakefang!\Let me go! Don't get in the way!\You're the one in the way!\You were trying to use that demon to attack Rin!\She's... She's my wife!\What? response:	Start explaining what the hell's going on!
