context: Attention! response:	I shall now explain the plan to retake Trost.
context: Everyone...\You didn't die in vain...\Today, for the first time, humanity has defeated the Titans!\Yellow smoke round sighted.\The operation has succeeded!\Send more reinforcements!\Evac the elite team!\History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity. response:	History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability.
context: You didn't die in vain...\Today, for the first time, humanity has defeated the Titans!\Yellow smoke round sighted.\The operation has succeeded!\Send more reinforcements!\Evac the elite team!\History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity.\History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability. response:	The rest of the Titans are coming!
context: Today, for the first time, humanity has defeated the Titans!\Yellow smoke round sighted.\The operation has succeeded!\Send more reinforcements!\Evac the elite team!\History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity.\History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability.\The rest of the Titans are coming! response:	Get up the walls!
context: Yellow smoke round sighted.\The operation has succeeded!\Send more reinforcements!\Evac the elite team!\History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity.\History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability.\The rest of the Titans are coming!\Get up the walls! response:	We'll evacuate after we get Eren.
context: The operation has succeeded!\Send more reinforcements!\Evac the elite team!\History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity.\History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability.\The rest of the Titans are coming!\Get up the walls!\We'll evacuate after we get Eren. response:	Armin?
context: Send more reinforcements!\Evac the elite team!\History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity.\History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability.\The rest of the Titans are coming!\Get up the walls!\We'll evacuate after we get Eren.\Armin? response:	How's Eren?
context: Evac the elite team!\History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity.\History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability.\The rest of the Titans are coming!\Get up the walls!\We'll evacuate after we get Eren.\Armin?\How's Eren? response:	He's so hot, I can barely believe it!
context: History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity.\History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability.\The rest of the Titans are coming!\Get up the walls!\We'll evacuate after we get Eren.\Armin?\How's Eren?\He's so hot, I can barely believe it! response:	We need to hurry up the walls...
context: History of the War Against the Titans (2) Humanity retaliated with cannons, but they were useless in the face of the Titan's regenerative ability.\The rest of the Titans are coming!\Get up the walls!\We'll evacuate after we get Eren.\Armin?\How's Eren?\He's so hot, I can barely believe it!\We need to hurry up the walls... response:	Part of his body is fusing with the Titan.
context: The rest of the Titans are coming!\Get up the walls!\We'll evacuate after we get Eren.\Armin?\How's Eren?\He's so hot, I can barely believe it!\We need to hurry up the walls...\Part of his body is fusing with the Titan. response:	I can't pull him out!
context: Get up the walls!\We'll evacuate after we get Eren.\Armin?\How's Eren?\He's so hot, I can barely believe it!\We need to hurry up the walls...\Part of his body is fusing with the Titan.\I can't pull him out! response:	We'll have to cut him out.
context: We'll evacuate after we get Eren.\Armin?\How's Eren?\He's so hot, I can barely believe it!\We need to hurry up the walls...\Part of his body is fusing with the Titan.\I can't pull him out!\We'll have to cut him out. response:	Wait!
context: Armin?\How's Eren?\He's so hot, I can barely believe it!\We need to hurry up the walls...\Part of his body is fusing with the Titan.\I can't pull him out!\We'll have to cut him out.\Wait! response:	Eren...
context: How's Eren?\He's so hot, I can barely believe it!\We need to hurry up the walls...\Part of his body is fusing with the Titan.\I can't pull him out!\We'll have to cut him out.\Wait!\Eren... response:	Armin!
context: He's so hot, I can barely believe it!\We need to hurry up the walls...\Part of his body is fusing with the Titan.\I can't pull him out!\We'll have to cut him out.\Wait!\Eren...\Armin! response:	Mikasa?
context: We need to hurry up the walls...\Part of his body is fusing with the Titan.\I can't pull him out!\We'll have to cut him out.\Wait!\Eren...\Armin!\Mikasa? response:	That's...
context: Part of his body is fusing with the Titan.\I can't pull him out!\We'll have to cut him out.\Wait!\Eren...\Armin!\Mikasa?\That's... response:	Wings of freedom...
context: I can't pull him out!\We'll have to cut him out.\Wait!\Eren...\Armin!\Mikasa?\That's...\Wings of freedom... response:	Hey, brats.
context: We'll have to cut him out.\Wait!\Eren...\Armin!\Mikasa?\That's...\Wings of freedom...\Hey, brats. response:	What's going on here?
context: Wait!\Eren...\Armin!\Mikasa?\That's...\Wings of freedom...\Hey, brats.\What's going on here? response:	Afterwards, the sudden arrival and assistance of the Survey Corps,
context: Eren...\Armin!\Mikasa?\That's...\Wings of freedom...\Hey, brats.\What's going on here?\Afterwards, the sudden arrival and assistance of the Survey Corps, response:	along with the efforts of the Garrison's engineers,
context: Armin!\Mikasa?\That's...\Wings of freedom...\Hey, brats.\What's going on here?\Afterwards, the sudden arrival and assistance of the Survey Corps,\along with the efforts of the Garrison's engineers, response:	allowed Wall Rose to withstand the Titans once more.
context: Mikasa?\That's...\Wings of freedom...\Hey, brats.\What's going on here?\Afterwards, the sudden arrival and assistance of the Survey Corps,\along with the efforts of the Garrison's engineers,\allowed Wall Rose to withstand the Titans once more. response:	It took a full day to eradicate the remaining Titans now trapped within Trost.
context: That's...\Wings of freedom...\Hey, brats.\What's going on here?\Afterwards, the sudden arrival and assistance of the Survey Corps,\along with the efforts of the Garrison's engineers,\allowed Wall Rose to withstand the Titans once more.\It took a full day to eradicate the remaining Titans now trapped within Trost. response:	The barrage of fixed canon fire from atop the walls was endless.
context: Wings of freedom...\Hey, brats.\What's going on here?\Afterwards, the sudden arrival and assistance of the Survey Corps,\along with the efforts of the Garrison's engineers,\allowed Wall Rose to withstand the Titans once more.\It took a full day to eradicate the remaining Titans now trapped within Trost.\The barrage of fixed canon fire from atop the walls was endless. response:	HE rounds killed most of the Titans swarming the walls.
context: Hey, brats.\What's going on here?\Afterwards, the sudden arrival and assistance of the Survey Corps,\along with the efforts of the Garrison's engineers,\allowed Wall Rose to withstand the Titans once more.\It took a full day to eradicate the remaining Titans now trapped within Trost.\The barrage of fixed canon fire from atop the walls was endless.\HE rounds killed most of the Titans swarming the walls. response:	The few surviving Titans were primarily killed by the Survey Corps.
context: What's going on here?\Afterwards, the sudden arrival and assistance of the Survey Corps,\along with the efforts of the Garrison's engineers,\allowed Wall Rose to withstand the Titans once more.\It took a full day to eradicate the remaining Titans now trapped within Trost.\The barrage of fixed canon fire from atop the walls was endless.\HE rounds killed most of the Titans swarming the walls.\The few surviving Titans were primarily killed by the Survey Corps. response:	During that operation, humanity managed
context: Afterwards, the sudden arrival and assistance of the Survey Corps,\along with the efforts of the Garrison's engineers,\allowed Wall Rose to withstand the Titans once more.\It took a full day to eradicate the remaining Titans now trapped within Trost.\The barrage of fixed canon fire from atop the walls was endless.\HE rounds killed most of the Titans swarming the walls.\The few surviving Titans were primarily killed by the Survey Corps.\During that operation, humanity managed response:	to take one 4-meter class and one 7-meter class alive.
context: along with the efforts of the Garrison's engineers,\allowed Wall Rose to withstand the Titans once more.\It took a full day to eradicate the remaining Titans now trapped within Trost.\The barrage of fixed canon fire from atop the walls was endless.\HE rounds killed most of the Titans swarming the walls.\The few surviving Titans were primarily killed by the Survey Corps.\During that operation, humanity managed\to take one 4-meter class and one 7-meter class alive. response:	However,
context: allowed Wall Rose to withstand the Titans once more.\It took a full day to eradicate the remaining Titans now trapped within Trost.\The barrage of fixed canon fire from atop the walls was endless.\HE rounds killed most of the Titans swarming the walls.\The few surviving Titans were primarily killed by the Survey Corps.\During that operation, humanity managed\to take one 4-meter class and one 7-meter class alive.\However, response:	207 were dead or missing, and 897 were wounded.
context: It took a full day to eradicate the remaining Titans now trapped within Trost.\The barrage of fixed canon fire from atop the walls was endless.\HE rounds killed most of the Titans swarming the walls.\The few surviving Titans were primarily killed by the Survey Corps.\During that operation, humanity managed\to take one 4-meter class and one 7-meter class alive.\However,\207 were dead or missing, and 897 were wounded. response:	Humanity had indeed scored its first victory against the Titans,
context: The barrage of fixed canon fire from atop the walls was endless.\HE rounds killed most of the Titans swarming the walls.\The few surviving Titans were primarily killed by the Survey Corps.\During that operation, humanity managed\to take one 4-meter class and one 7-meter class alive.\However,\207 were dead or missing, and 897 were wounded.\Humanity had indeed scored its first victory against the Titans, response:	but there were too many casualties for anyone to celebrate.
context: HE rounds killed most of the Titans swarming the walls.\The few surviving Titans were primarily killed by the Survey Corps.\During that operation, humanity managed\to take one 4-meter class and one 7-meter class alive.\However,\207 were dead or missing, and 897 were wounded.\Humanity had indeed scored its first victory against the Titans,\but there were too many casualties for anyone to celebrate. response:	Hey...
context: The few surviving Titans were primarily killed by the Survey Corps.\During that operation, humanity managed\to take one 4-meter class and one 7-meter class alive.\However,\207 were dead or missing, and 897 were wounded.\Humanity had indeed scored its first victory against the Titans,\but there were too many casualties for anyone to celebrate.\Hey... response:	You're...
context: During that operation, humanity managed\to take one 4-meter class and one 7-meter class alive.\However,\207 were dead or missing, and 897 were wounded.\Humanity had indeed scored its first victory against the Titans,\but there were too many casualties for anyone to celebrate.\Hey...\You're... response:	Marco...?
context: to take one 4-meter class and one 7-meter class alive.\However,\207 were dead or missing, and 897 were wounded.\Humanity had indeed scored its first victory against the Titans,\but there were too many casualties for anyone to celebrate.\Hey...\You're...\Marco...? response:	Trainee,
context: However,\207 were dead or missing, and 897 were wounded.\Humanity had indeed scored its first victory against the Titans,\but there were too many casualties for anyone to celebrate.\Hey...\You're...\Marco...?\Trainee, response:	do you know his name?
context: 207 were dead or missing, and 897 were wounded.\Humanity had indeed scored its first victory against the Titans,\but there were too many casualties for anyone to celebrate.\Hey...\You're...\Marco...?\Trainee,\do you know his name? response:	I knew I hadn't seen him around...
context: Humanity had indeed scored its first victory against the Titans,\but there were too many casualties for anyone to celebrate.\Hey...\You're...\Marco...?\Trainee,\do you know his name?\I knew I hadn't seen him around... response:	But this couldn't have happened to him...
context: but there were too many casualties for anyone to celebrate.\Hey...\You're...\Marco...?\Trainee,\do you know his name?\I knew I hadn't seen him around...\But this couldn't have happened to him... response:	Marco,
context: Hey...\You're...\Marco...?\Trainee,\do you know his name?\I knew I hadn't seen him around...\But this couldn't have happened to him...\Marco, response:	what happened?
context: You're...\Marco...?\Trainee,\do you know his name?\I knew I hadn't seen him around...\But this couldn't have happened to him...\Marco,\what happened? response:	D-Did anyone...
context: Marco...?\Trainee,\do you know his name?\I knew I hadn't seen him around...\But this couldn't have happened to him...\Marco,\what happened?\D-Did anyone... response:	Did anyone see how he died?
context: Trainee,\do you know his name?\I knew I hadn't seen him around...\But this couldn't have happened to him...\Marco,\what happened?\D-Did anyone...\Did anyone see how he died? response:	What's his name?
context: do you know his name?\I knew I hadn't seen him around...\But this couldn't have happened to him...\Marco,\what happened?\D-Did anyone...\Did anyone see how he died?\What's his name? response:	If you know, tell me now.
context: I knew I hadn't seen him around...\But this couldn't have happened to him...\Marco,\what happened?\D-Did anyone...\Did anyone see how he died?\What's his name?\If you know, tell me now. response:	Do you understand, trainee?
context: But this couldn't have happened to him...\Marco,\what happened?\D-Did anyone...\Did anyone see how he died?\What's his name?\If you know, tell me now.\Do you understand, trainee? response:	It's already been two days since the hole was sealed.
context: Marco,\what happened?\D-Did anyone...\Did anyone see how he died?\What's his name?\If you know, tell me now.\Do you understand, trainee?\It's already been two days since the hole was sealed. response:	And we still haven't finished collecting the bodies.
context: what happened?\D-Did anyone...\Did anyone see how he died?\What's his name?\If you know, tell me now.\Do you understand, trainee?\It's already been two days since the hole was sealed.\And we still haven't finished collecting the bodies. response:	At this rate, there could be an epidemic.
context: D-Did anyone...\Did anyone see how he died?\What's his name?\If you know, tell me now.\Do you understand, trainee?\It's already been two days since the hole was sealed.\And we still haven't finished collecting the bodies.\At this rate, there could be an epidemic. response:	We must avert a second tragedy.
context: Did anyone see how he died?\What's his name?\If you know, tell me now.\Do you understand, trainee?\It's already been two days since the hole was sealed.\And we still haven't finished collecting the bodies.\At this rate, there could be an epidemic.\We must avert a second tragedy. response:	There isn't time to mourn your friend yet.
context: What's his name?\If you know, tell me now.\Do you understand, trainee?\It's already been two days since the hole was sealed.\And we still haven't finished collecting the bodies.\At this rate, there could be an epidemic.\We must avert a second tragedy.\There isn't time to mourn your friend yet. response:	Understand?
context: If you know, tell me now.\Do you understand, trainee?\It's already been two days since the hole was sealed.\And we still haven't finished collecting the bodies.\At this rate, there could be an epidemic.\We must avert a second tragedy.\There isn't time to mourn your friend yet.\Understand? response:	104th Trainee Corps.
context: Do you understand, trainee?\It's already been two days since the hole was sealed.\And we still haven't finished collecting the bodies.\At this rate, there could be an epidemic.\We must avert a second tragedy.\There isn't time to mourn your friend yet.\Understand?\104th Trainee Corps. response:	Captain of Squad 19, Marco Bott.
context: It's already been two days since the hole was sealed.\And we still haven't finished collecting the bodies.\At this rate, there could be an epidemic.\We must avert a second tragedy.\There isn't time to mourn your friend yet.\Understand?\104th Trainee Corps.\Captain of Squad 19, Marco Bott. response:	Marco, then?
context: And we still haven't finished collecting the bodies.\At this rate, there could be an epidemic.\We must avert a second tragedy.\There isn't time to mourn your friend yet.\Understand?\104th Trainee Corps.\Captain of Squad 19, Marco Bott.\Marco, then? response:	I'm glad we have a name.
context: At this rate, there could be an epidemic.\We must avert a second tragedy.\There isn't time to mourn your friend yet.\Understand?\104th Trainee Corps.\Captain of Squad 19, Marco Bott.\Marco, then?\I'm glad we have a name. response:	Let's get back to work.
context: We must avert a second tragedy.\There isn't time to mourn your friend yet.\Understand?\104th Trainee Corps.\Captain of Squad 19, Marco Bott.\Marco, then?\I'm glad we have a name.\Let's get back to work. response:	What is this?
context: There isn't time to mourn your friend yet.\Understand?\104th Trainee Corps.\Captain of Squad 19, Marco Bott.\Marco, then?\I'm glad we have a name.\Let's get back to work.\What is this? response:	Where a Titan threw up.
context: Understand?\104th Trainee Corps.\Captain of Squad 19, Marco Bott.\Marco, then?\I'm glad we have a name.\Let's get back to work.\What is this?\Where a Titan threw up. response:	They don't have digestive organs.
context: 104th Trainee Corps.\Captain of Squad 19, Marco Bott.\Marco, then?\I'm glad we have a name.\Let's get back to work.\What is this?\Where a Titan threw up.\They don't have digestive organs. response:	So after they've eaten all they can, they throw up like that...
context: Captain of Squad 19, Marco Bott.\Marco, then?\I'm glad we have a name.\Let's get back to work.\What is this?\Where a Titan threw up.\They don't have digestive organs.\So after they've eaten all they can, they throw up like that... response:	That's so...
context: Marco, then?\I'm glad we have a name.\Let's get back to work.\What is this?\Where a Titan threw up.\They don't have digestive organs.\So after they've eaten all they can, they throw up like that...\That's so... response:	Damn...
context: I'm glad we have a name.\Let's get back to work.\What is this?\Where a Titan threw up.\They don't have digestive organs.\So after they've eaten all they can, they throw up like that...\That's so...\Damn... response:	There's no way to identify anyone in this!
context: Let's get back to work.\What is this?\Where a Titan threw up.\They don't have digestive organs.\So after they've eaten all they can, they throw up like that...\That's so...\Damn...\There's no way to identify anyone in this! response:	I'm sorry...
context: What is this?\Where a Titan threw up.\They don't have digestive organs.\So after they've eaten all they can, they throw up like that...\That's so...\Damn...\There's no way to identify anyone in this!\I'm sorry... response:	I'm sorry.
context: Where a Titan threw up.\They don't have digestive organs.\So after they've eaten all they can, they throw up like that...\That's so...\Damn...\There's no way to identify anyone in this!\I'm sorry...\I'm sorry. response:	Apologizing won't help.
context: They don't have digestive organs.\So after they've eaten all they can, they throw up like that...\That's so...\Damn...\There's no way to identify anyone in this!\I'm sorry...\I'm sorry.\Apologizing won't help. response:	Just mourn his passing.
context: So after they've eaten all they can, they throw up like that...\That's so...\Damn...\There's no way to identify anyone in this!\I'm sorry...\I'm sorry.\Apologizing won't help.\Just mourn his passing. response:	Any questions?
context: That's so...\Damn...\There's no way to identify anyone in this!\I'm sorry...\I'm sorry.\Apologizing won't help.\Just mourn his passing.\Any questions? response:	The leader of the Survey Corps strike force, Commander Erwin.
context: Damn...\There's no way to identify anyone in this!\I'm sorry...\I'm sorry.\Apologizing won't help.\Just mourn his passing.\Any questions?\The leader of the Survey Corps strike force, Commander Erwin. response:	And Captain Levi...
context: There's no way to identify anyone in this!\I'm sorry...\I'm sorry.\Apologizing won't help.\Just mourn his passing.\Any questions?\The leader of the Survey Corps strike force, Commander Erwin.\And Captain Levi... response:	U-Um...
context: I'm sorry...\I'm sorry.\Apologizing won't help.\Just mourn his passing.\Any questions?\The leader of the Survey Corps strike force, Commander Erwin.\And Captain Levi...\U-Um... response:	Where
context: I'm sorry.\Apologizing won't help.\Just mourn his passing.\Any questions?\The leader of the Survey Corps strike force, Commander Erwin.\And Captain Levi...\U-Um...\Where response:	am I?
context: Apologizing won't help.\Just mourn his passing.\Any questions?\The leader of the Survey Corps strike force, Commander Erwin.\And Captain Levi...\U-Um...\Where\am I? response:	As you can see, it's an underground jail cell.
context: Just mourn his passing.\Any questions?\The leader of the Survey Corps strike force, Commander Erwin.\And Captain Levi...\U-Um...\Where\am I?\As you can see, it's an underground jail cell. response:	The Military Police has retained custody of you.
context: Any questions?\The leader of the Survey Corps strike force, Commander Erwin.\And Captain Levi...\U-Um...\Where\am I?\As you can see, it's an underground jail cell.\The Military Police has retained custody of you. response:	We only recently received permission
context: The leader of the Survey Corps strike force, Commander Erwin.\And Captain Levi...\U-Um...\Where\am I?\As you can see, it's an underground jail cell.\The Military Police has retained custody of you.\We only recently received permission response:	to speak with you.
context: And Captain Levi...\U-Um...\Where\am I?\As you can see, it's an underground jail cell.\The Military Police has retained custody of you.\We only recently received permission\to speak with you. response:	That key...
context: U-Um...\Where\am I?\As you can see, it's an underground jail cell.\The Military Police has retained custody of you.\We only recently received permission\to speak with you.\That key... response:	Yes.
context: Where\am I?\As you can see, it's an underground jail cell.\The Military Police has retained custody of you.\We only recently received permission\to speak with you.\That key...\Yes. response:	It's yours.
context: am I?\As you can see, it's an underground jail cell.\The Military Police has retained custody of you.\We only recently received permission\to speak with you.\That key...\Yes.\It's yours. response:	You can have it back later.
context: As you can see, it's an underground jail cell.\The Military Police has retained custody of you.\We only recently received permission\to speak with you.\That key...\Yes.\It's yours.\You can have it back later. response:	The basement of your house
context: The Military Police has retained custody of you.\We only recently received permission\to speak with you.\That key...\Yes.\It's yours.\You can have it back later.\The basement of your house response:	in Zhiganshina, Doctor Jaeger's house, holds the answer
context: We only recently received permission\to speak with you.\That key...\Yes.\It's yours.\You can have it back later.\The basement of your house\in Zhiganshina, Doctor Jaeger's house, holds the answer response:	to the mystery of the Titans.
context: to speak with you.\That key...\Yes.\It's yours.\You can have it back later.\The basement of your house\in Zhiganshina, Doctor Jaeger's house, holds the answer\to the mystery of the Titans. response:	Is that it?
context: That key...\Yes.\It's yours.\You can have it back later.\The basement of your house\in Zhiganshina, Doctor Jaeger's house, holds the answer\to the mystery of the Titans.\Is that it? response:	Yes...
context: Yes.\It's yours.\You can have it back later.\The basement of your house\in Zhiganshina, Doctor Jaeger's house, holds the answer\to the mystery of the Titans.\Is that it?\Yes... response:	I think so.
context: It's yours.\You can have it back later.\The basement of your house\in Zhiganshina, Doctor Jaeger's house, holds the answer\to the mystery of the Titans.\Is that it?\Yes...\I think so. response:	That's what my father said.
context: You can have it back later.\The basement of your house\in Zhiganshina, Doctor Jaeger's house, holds the answer\to the mystery of the Titans.\Is that it?\Yes...\I think so.\That's what my father said. response:	You have amnesia, and your dad's missing.
context: The basement of your house\in Zhiganshina, Doctor Jaeger's house, holds the answer\to the mystery of the Titans.\Is that it?\Yes...\I think so.\That's what my father said.\You have amnesia, and your dad's missing. response:	Pretty convenient.
context: in Zhiganshina, Doctor Jaeger's house, holds the answer\to the mystery of the Titans.\Is that it?\Yes...\I think so.\That's what my father said.\You have amnesia, and your dad's missing.\Pretty convenient. response:	Levi.
context: to the mystery of the Titans.\Is that it?\Yes...\I think so.\That's what my father said.\You have amnesia, and your dad's missing.\Pretty convenient.\Levi. response:	We already reached the conclusion that he has no reason to lie.
context: Is that it?\Yes...\I think so.\That's what my father said.\You have amnesia, and your dad's missing.\Pretty convenient.\Levi.\We already reached the conclusion that he has no reason to lie. response:	There's still so much we don't know.
context: Yes...\I think so.\That's what my father said.\You have amnesia, and your dad's missing.\Pretty convenient.\Levi.\We already reached the conclusion that he has no reason to lie.\There's still so much we don't know. response:	But right now, we need to ask what you want to do.
context: I think so.\That's what my father said.\You have amnesia, and your dad's missing.\Pretty convenient.\Levi.\We already reached the conclusion that he has no reason to lie.\There's still so much we don't know.\But right now, we need to ask what you want to do. response:	What I want to do?
context: That's what my father said.\You have amnesia, and your dad's missing.\Pretty convenient.\Levi.\We already reached the conclusion that he has no reason to lie.\There's still so much we don't know.\But right now, we need to ask what you want to do.\What I want to do? response:	To get to your house,
context: You have amnesia, and your dad's missing.\Pretty convenient.\Levi.\We already reached the conclusion that he has no reason to lie.\There's still so much we don't know.\But right now, we need to ask what you want to do.\What I want to do?\To get to your house, response:	we must retake Zhiganshina and Wall Maria.
context: Pretty convenient.\Levi.\We already reached the conclusion that he has no reason to lie.\There's still so much we don't know.\But right now, we need to ask what you want to do.\What I want to do?\To get to your house,\we must retake Zhiganshina and Wall Maria. response:	The simplest and easiest way to seal the shattered gate
context: Levi.\We already reached the conclusion that he has no reason to lie.\There's still so much we don't know.\But right now, we need to ask what you want to do.\What I want to do?\To get to your house,\we must retake Zhiganshina and Wall Maria.\The simplest and easiest way to seal the shattered gate response:	would be to use your Titan power.
context: We already reached the conclusion that he has no reason to lie.\There's still so much we don't know.\But right now, we need to ask what you want to do.\What I want to do?\To get to your house,\we must retake Zhiganshina and Wall Maria.\The simplest and easiest way to seal the shattered gate\would be to use your Titan power. response:	It's likely that Titans will determine our fate.
context: There's still so much we don't know.\But right now, we need to ask what you want to do.\What I want to do?\To get to your house,\we must retake Zhiganshina and Wall Maria.\The simplest and easiest way to seal the shattered gate\would be to use your Titan power.\It's likely that Titans will determine our fate. response:	The Colossal Titan and the Armored Titan
context: But right now, we need to ask what you want to do.\What I want to do?\To get to your house,\we must retake Zhiganshina and Wall Maria.\The simplest and easiest way to seal the shattered gate\would be to use your Titan power.\It's likely that Titans will determine our fate.\The Colossal Titan and the Armored Titan response:	are the same, in principle, as you.
context: What I want to do?\To get to your house,\we must retake Zhiganshina and Wall Maria.\The simplest and easiest way to seal the shattered gate\would be to use your Titan power.\It's likely that Titans will determine our fate.\The Colossal Titan and the Armored Titan\are the same, in principle, as you. response:	Your decision is the key.
context: To get to your house,\we must retake Zhiganshina and Wall Maria.\The simplest and easiest way to seal the shattered gate\would be to use your Titan power.\It's likely that Titans will determine our fate.\The Colossal Titan and the Armored Titan\are the same, in principle, as you.\Your decision is the key. response:	The key that can save humanity from despair.
context: we must retake Zhiganshina and Wall Maria.\The simplest and easiest way to seal the shattered gate\would be to use your Titan power.\It's likely that Titans will determine our fate.\The Colossal Titan and the Armored Titan\are the same, in principle, as you.\Your decision is the key.\The key that can save humanity from despair. response:	I am?
context: The simplest and easiest way to seal the shattered gate\would be to use your Titan power.\It's likely that Titans will determine our fate.\The Colossal Titan and the Armored Titan\are the same, in principle, as you.\Your decision is the key.\The key that can save humanity from despair.\I am? response:	I'll kill them all!
context: would be to use your Titan power.\It's likely that Titans will determine our fate.\The Colossal Titan and the Armored Titan\are the same, in principle, as you.\Your decision is the key.\The key that can save humanity from despair.\I am?\I'll kill them all! response:	I'll wipe every last Titan off the face of this Earth!
context: It's likely that Titans will determine our fate.\The Colossal Titan and the Armored Titan\are the same, in principle, as you.\Your decision is the key.\The key that can save humanity from despair.\I am?\I'll kill them all!\I'll wipe every last Titan off the face of this Earth! response:	Answer up, you piece of crap.
context: The Colossal Titan and the Armored Titan\are the same, in principle, as you.\Your decision is the key.\The key that can save humanity from despair.\I am?\I'll kill them all!\I'll wipe every last Titan off the face of this Earth!\Answer up, you piece of crap. response:	What do you want to do?
context: are the same, in principle, as you.\Your decision is the key.\The key that can save humanity from despair.\I am?\I'll kill them all!\I'll wipe every last Titan off the face of this Earth!\Answer up, you piece of crap.\What do you want to do? response:	I want to join the Survey Corps
context: Your decision is the key.\The key that can save humanity from despair.\I am?\I'll kill them all!\I'll wipe every last Titan off the face of this Earth!\Answer up, you piece of crap.\What do you want to do?\I want to join the Survey Corps response:	and just slaughter the Titans!
context: The key that can save humanity from despair.\I am?\I'll kill them all!\I'll wipe every last Titan off the face of this Earth!\Answer up, you piece of crap.\What do you want to do?\I want to join the Survey Corps\and just slaughter the Titans! response:	Oh?
context: I am?\I'll kill them all!\I'll wipe every last Titan off the face of this Earth!\Answer up, you piece of crap.\What do you want to do?\I want to join the Survey Corps\and just slaughter the Titans!\Oh? response:	Not bad.
context: I'll kill them all!\I'll wipe every last Titan off the face of this Earth!\Answer up, you piece of crap.\What do you want to do?\I want to join the Survey Corps\and just slaughter the Titans!\Oh?\Not bad. response:	Erwin,
context: I'll wipe every last Titan off the face of this Earth!\Answer up, you piece of crap.\What do you want to do?\I want to join the Survey Corps\and just slaughter the Titans!\Oh?\Not bad.\Erwin, response:	I'll take responsibility for him.
context: Answer up, you piece of crap.\What do you want to do?\I want to join the Survey Corps\and just slaughter the Titans!\Oh?\Not bad.\Erwin,\I'll take responsibility for him. response:	Convey that to the brass.
context: What do you want to do?\I want to join the Survey Corps\and just slaughter the Titans!\Oh?\Not bad.\Erwin,\I'll take responsibility for him.\Convey that to the brass. response:	It isn't that I trust him.
context: I want to join the Survey Corps\and just slaughter the Titans!\Oh?\Not bad.\Erwin,\I'll take responsibility for him.\Convey that to the brass.\It isn't that I trust him. response:	If he betrays us or loses control, I'll kill him on the spot.
context: and just slaughter the Titans!\Oh?\Not bad.\Erwin,\I'll take responsibility for him.\Convey that to the brass.\It isn't that I trust him.\If he betrays us or loses control, I'll kill him on the spot. response:	They shouldn't complain.
context: Oh?\Not bad.\Erwin,\I'll take responsibility for him.\Convey that to the brass.\It isn't that I trust him.\If he betrays us or loses control, I'll kill him on the spot.\They shouldn't complain. response:	Because only I can do it.
context: Not bad.\Erwin,\I'll take responsibility for him.\Convey that to the brass.\It isn't that I trust him.\If he betrays us or loses control, I'll kill him on the spot.\They shouldn't complain.\Because only I can do it. response:	I accept your request.
context: Erwin,\I'll take responsibility for him.\Convey that to the brass.\It isn't that I trust him.\If he betrays us or loses control, I'll kill him on the spot.\They shouldn't complain.\Because only I can do it.\I accept your request. response:	You can join the Survey Corps.
context: I'll take responsibility for him.\Convey that to the brass.\It isn't that I trust him.\If he betrays us or loses control, I'll kill him on the spot.\They shouldn't complain.\Because only I can do it.\I accept your request.\You can join the Survey Corps. response:	A promise held high.
context: Convey that to the brass.\It isn't that I trust him.\If he betrays us or loses control, I'll kill him on the spot.\They shouldn't complain.\Because only I can do it.\I accept your request.\You can join the Survey Corps.\A promise held high. response:	A hope trampled.
context: It isn't that I trust him.\If he betrays us or loses control, I'll kill him on the spot.\They shouldn't complain.\Because only I can do it.\I accept your request.\You can join the Survey Corps.\A promise held high.\A hope trampled. response:	A rage festering deep within.
context: If he betrays us or loses control, I'll kill him on the spot.\They shouldn't complain.\Because only I can do it.\I accept your request.\You can join the Survey Corps.\A promise held high.\A hope trampled.\A rage festering deep within. response:	In a confused haze, Eren hallucinates about
context: They shouldn't complain.\Because only I can do it.\I accept your request.\You can join the Survey Corps.\A promise held high.\A hope trampled.\A rage festering deep within.\In a confused haze, Eren hallucinates about response:	all that has happened since that day.
