context: This is for pushing me off my horse. response:	This is for leaving me unable to walk.
context: Get them!\Angelise, why you...\Thank you, Onii-sama.\You revealed my true identity.\Thank you, Sylvia.\You showed me the true, filthy nature of human beings.\Goodbye, beasts from a rotten nation!\After her! After her! response:	It hurts!
context: Angelise, why you...\Thank you, Onii-sama.\You revealed my true identity.\Thank you, Sylvia.\You showed me the true, filthy nature of human beings.\Goodbye, beasts from a rotten nation!\After her! After her!\It hurts! response:	I'm sorry.
context: Thank you, Onii-sama.\You revealed my true identity.\Thank you, Sylvia.\You showed me the true, filthy nature of human beings.\Goodbye, beasts from a rotten nation!\After her! After her!\It hurts!\I'm sorry. response:	I'm sorry, Angelise-sama.
context: You revealed my true identity.\Thank you, Sylvia.\You showed me the true, filthy nature of human beings.\Goodbye, beasts from a rotten nation!\After her! After her!\It hurts!\I'm sorry.\I'm sorry, Angelise-sama. response:	For what?
context: Thank you, Sylvia.\You showed me the true, filthy nature of human beings.\Goodbye, beasts from a rotten nation!\After her! After her!\It hurts!\I'm sorry.\I'm sorry, Angelise-sama.\For what? response:	I feel refreshed, thanks to you.
context: You showed me the true, filthy nature of human beings.\Goodbye, beasts from a rotten nation!\After her! After her!\It hurts!\I'm sorry.\I'm sorry, Angelise-sama.\For what?\I feel refreshed, thanks to you. response:	Huh?
context: Goodbye, beasts from a rotten nation!\After her! After her!\It hurts!\I'm sorry.\I'm sorry, Angelise-sama.\For what?\I feel refreshed, thanks to you.\Huh? response:	I realized I don't have family or friends or a home.
context: After her! After her!\It hurts!\I'm sorry.\I'm sorry, Angelise-sama.\For what?\I feel refreshed, thanks to you.\Huh?\I realized I don't have family or friends or a home. response:	Angelise-sama.
context: It hurts!\I'm sorry.\I'm sorry, Angelise-sama.\For what?\I feel refreshed, thanks to you.\Huh?\I realized I don't have family or friends or a home.\Angelise-sama. response:	But anyway...
context: I'm sorry.\I'm sorry, Angelise-sama.\For what?\I feel refreshed, thanks to you.\Huh?\I realized I don't have family or friends or a home.\Angelise-sama.\But anyway... response:	Ow!
context: I'm sorry, Angelise-sama.\For what?\I feel refreshed, thanks to you.\Huh?\I realized I don't have family or friends or a home.\Angelise-sama.\But anyway...\Ow! response:	Well? Are you awake?
context: For what?\I feel refreshed, thanks to you.\Huh?\I realized I don't have family or friends or a home.\Angelise-sama.\But anyway...\Ow!\Well? Are you awake? response:	Oh, good. Ange, you're safe.
context: I feel refreshed, thanks to you.\Huh?\I realized I don't have family or friends or a home.\Angelise-sama.\But anyway...\Ow!\Well? Are you awake?\Oh, good. Ange, you're safe. response:	You did it again.
context: Huh?\I realized I don't have family or friends or a home.\Angelise-sama.\But anyway...\Ow!\Well? Are you awake?\Oh, good. Ange, you're safe.\You did it again. response:	What?
context: I realized I don't have family or friends or a home.\Angelise-sama.\But anyway...\Ow!\Well? Are you awake?\Oh, good. Ange, you're safe.\You did it again.\What? response:	Did what?
context: Angelise-sama.\But anyway...\Ow!\Well? Are you awake?\Oh, good. Ange, you're safe.\You did it again.\What?\Did what? response:	Why do you keep burying your face in my crotch?
context: But anyway...\Ow!\Well? Are you awake?\Oh, good. Ange, you're safe.\You did it again.\What?\Did what?\Why do you keep burying your face in my crotch? response:	Is it a habit? A tic? A sickness?
context: Ow!\Well? Are you awake?\Oh, good. Ange, you're safe.\You did it again.\What?\Did what?\Why do you keep burying your face in my crotch?\Is it a habit? A tic? A sickness? response:	Sorry, ow!
context: Well? Are you awake?\Oh, good. Ange, you're safe.\You did it again.\What?\Did what?\Why do you keep burying your face in my crotch?\Is it a habit? A tic? A sickness?\Sorry, ow! response:	Sorry.
context: Oh, good. Ange, you're safe.\You did it again.\What?\Did what?\Why do you keep burying your face in my crotch?\Is it a habit? A tic? A sickness?\Sorry, ow!\Sorry. response:	Um, Angelise-sama, what is your relationship with this person?
context: You did it again.\What?\Did what?\Why do you keep burying your face in my crotch?\Is it a habit? A tic? A sickness?\Sorry, ow!\Sorry.\Um, Angelise-sama, what is your relationship with this person? response:	Um...
context: What?\Did what?\Why do you keep burying your face in my crotch?\Is it a habit? A tic? A sickness?\Sorry, ow!\Sorry.\Um, Angelise-sama, what is your relationship with this person?\Um... response:	A special relationship.
context: Did what?\Why do you keep burying your face in my crotch?\Is it a habit? A tic? A sickness?\Sorry, ow!\Sorry.\Um, Angelise-sama, what is your relationship with this person?\Um...\A special relationship. response:	What?
context: Why do you keep burying your face in my crotch?\Is it a habit? A tic? A sickness?\Sorry, ow!\Sorry.\Um, Angelise-sama, what is your relationship with this person?\Um...\A special relationship.\What? response:	Of course! Otherwise, he wouldn't risk his life to come help you.
context: Is it a habit? A tic? A sickness?\Sorry, ow!\Sorry.\Um, Angelise-sama, what is your relationship with this person?\Um...\A special relationship.\What?\Of course! Otherwise, he wouldn't risk his life to come help you. response:	Spring has come, even for my tomboyish Angelise-sama.
context: Sorry, ow!\Sorry.\Um, Angelise-sama, what is your relationship with this person?\Um...\A special relationship.\What?\Of course! Otherwise, he wouldn't risk his life to come help you.\Spring has come, even for my tomboyish Angelise-sama. response:	As your top maid, there's nothing that could make me happier.
context: Sorry.\Um, Angelise-sama, what is your relationship with this person?\Um...\A special relationship.\What?\Of course! Otherwise, he wouldn't risk his life to come help you.\Spring has come, even for my tomboyish Angelise-sama.\As your top maid, there's nothing that could make me happier. response:	That's not it.
context: Um, Angelise-sama, what is your relationship with this person?\Um...\A special relationship.\What?\Of course! Otherwise, he wouldn't risk his life to come help you.\Spring has come, even for my tomboyish Angelise-sama.\As your top maid, there's nothing that could make me happier.\That's not it. response:	Ow.
context: Um...\A special relationship.\What?\Of course! Otherwise, he wouldn't risk his life to come help you.\Spring has come, even for my tomboyish Angelise-sama.\As your top maid, there's nothing that could make me happier.\That's not it.\Ow. response:	Why were you there?
context: A special relationship.\What?\Of course! Otherwise, he wouldn't risk his life to come help you.\Spring has come, even for my tomboyish Angelise-sama.\As your top maid, there's nothing that could make me happier.\That's not it.\Ow.\Why were you there? response:	I got a message from Jill.
context: What?\Of course! Otherwise, he wouldn't risk his life to come help you.\Spring has come, even for my tomboyish Angelise-sama.\As your top maid, there's nothing that could make me happier.\That's not it.\Ow.\Why were you there?\I got a message from Jill. response:	Jill?
context: Of course! Otherwise, he wouldn't risk his life to come help you.\Spring has come, even for my tomboyish Angelise-sama.\As your top maid, there's nothing that could make me happier.\That's not it.\Ow.\Why were you there?\I got a message from Jill.\Jill? response:	Commander?
context: Spring has come, even for my tomboyish Angelise-sama.\As your top maid, there's nothing that could make me happier.\That's not it.\Ow.\Why were you there?\I got a message from Jill.\Jill?\Commander? response:	She said not to let you die.
context: As your top maid, there's nothing that could make me happier.\That's not it.\Ow.\Why were you there?\I got a message from Jill.\Jill?\Commander?\She said not to let you die. response:	And this.
context: That's not it.\Ow.\Why were you there?\I got a message from Jill.\Jill?\Commander?\She said not to let you die.\And this. response:	Don't you need this?
context: Ow.\Why were you there?\I got a message from Jill.\Jill?\Commander?\She said not to let you die.\And this.\Don't you need this? response:	Thanks.
context: Why were you there?\I got a message from Jill.\Jill?\Commander?\She said not to let you die.\And this.\Don't you need this?\Thanks. response:	What are you, exactly?
context: I got a message from Jill.\Jill?\Commander?\She said not to let you die.\And this.\Don't you need this?\Thanks.\What are you, exactly? response:	I'm a Knight of Villkiss.
context: Jill?\Commander?\She said not to let you die.\And this.\Don't you need this?\Thanks.\What are you, exactly?\I'm a Knight of Villkiss. response:	Knight?
context: Commander?\She said not to let you die.\And this.\Don't you need this?\Thanks.\What are you, exactly?\I'm a Knight of Villkiss.\Knight? response:	A knight to protect you.
context: She said not to let you die.\And this.\Don't you need this?\Thanks.\What are you, exactly?\I'm a Knight of Villkiss.\Knight?\A knight to protect you. response:	You can ask Jill for the details.
context: And this.\Don't you need this?\Thanks.\What are you, exactly?\I'm a Knight of Villkiss.\Knight?\A knight to protect you.\You can ask Jill for the details. response:	I will.
context: Don't you need this?\Thanks.\What are you, exactly?\I'm a Knight of Villkiss.\Knight?\A knight to protect you.\You can ask Jill for the details.\I will. response:	Can I ask you something, too?
context: Thanks.\What are you, exactly?\I'm a Knight of Villkiss.\Knight?\A knight to protect you.\You can ask Jill for the details.\I will.\Can I ask you something, too? response:	Your hair's a beautiful blonde color.
context: What are you, exactly?\I'm a Knight of Villkiss.\Knight?\A knight to protect you.\You can ask Jill for the details.\I will.\Can I ask you something, too?\Your hair's a beautiful blonde color. response:	S-So what?
context: I'm a Knight of Villkiss.\Knight?\A knight to protect you.\You can ask Jill for the details.\I will.\Can I ask you something, too?\Your hair's a beautiful blonde color.\S-So what? response:	You're blonde down there, too.
context: Knight?\A knight to protect you.\You can ask Jill for the details.\I will.\Can I ask you something, too?\Your hair's a beautiful blonde color.\S-So what?\You're blonde down there, too. response:	Die, pervert knight!
context: A knight to protect you.\You can ask Jill for the details.\I will.\Can I ask you something, too?\Your hair's a beautiful blonde color.\S-So what?\You're blonde down there, too.\Die, pervert knight! response:	This is where we part.
context: You can ask Jill for the details.\I will.\Can I ask you something, too?\Your hair's a beautiful blonde color.\S-So what?\You're blonde down there, too.\Die, pervert knight!\This is where we part. response:	Are you leaving?
context: I will.\Can I ask you something, too?\Your hair's a beautiful blonde color.\S-So what?\You're blonde down there, too.\Die, pervert knight!\This is where we part.\Are you leaving? response:	There are things I need to do.
context: Can I ask you something, too?\Your hair's a beautiful blonde color.\S-So what?\You're blonde down there, too.\Die, pervert knight!\This is where we part.\Are you leaving?\There are things I need to do. response:	See you.
context: Your hair's a beautiful blonde color.\S-So what?\You're blonde down there, too.\Die, pervert knight!\This is where we part.\Are you leaving?\There are things I need to do.\See you. response:	Thanks for coming.
context: S-So what?\You're blonde down there, too.\Die, pervert knight!\This is where we part.\Are you leaving?\There are things I need to do.\See you.\Thanks for coming. response:	Huh?
context: You're blonde down there, too.\Die, pervert knight!\This is where we part.\Are you leaving?\There are things I need to do.\See you.\Thanks for coming.\Huh? response:	I would have been dead if not for you.
context: Die, pervert knight!\This is where we part.\Are you leaving?\There are things I need to do.\See you.\Thanks for coming.\Huh?\I would have been dead if not for you. response:	I was trembling.
context: This is where we part.\Are you leaving?\There are things I need to do.\See you.\Thanks for coming.\Huh?\I would have been dead if not for you.\I was trembling. response:	I'd never heard such a beautiful, enchanting voice.
context: Are you leaving?\There are things I need to do.\See you.\Thanks for coming.\Huh?\I would have been dead if not for you.\I was trembling.\I'd never heard such a beautiful, enchanting voice. response:	It was a nice song.
context: There are things I need to do.\See you.\Thanks for coming.\Huh?\I would have been dead if not for you.\I was trembling.\I'd never heard such a beautiful, enchanting voice.\It was a nice song. response:	I'd never heard it before, yet it was somehow nostalgic and happy.
context: See you.\Thanks for coming.\Huh?\I would have been dead if not for you.\I was trembling.\I'd never heard such a beautiful, enchanting voice.\It was a nice song.\I'd never heard it before, yet it was somehow nostalgic and happy. response:	A strange song.
context: Thanks for coming.\Huh?\I would have been dead if not for you.\I was trembling.\I'd never heard such a beautiful, enchanting voice.\It was a nice song.\I'd never heard it before, yet it was somehow nostalgic and happy.\A strange song. response:	I'd like to hear it again.
context: Huh?\I would have been dead if not for you.\I was trembling.\I'd never heard such a beautiful, enchanting voice.\It was a nice song.\I'd never heard it before, yet it was somehow nostalgic and happy.\A strange song.\I'd like to hear it again. response:	Yes.
context: I would have been dead if not for you.\I was trembling.\I'd never heard such a beautiful, enchanting voice.\It was a nice song.\I'd never heard it before, yet it was somehow nostalgic and happy.\A strange song.\I'd like to hear it again.\Yes. response:	Thank you for saving Angelise-sama.
context: I was trembling.\I'd never heard such a beautiful, enchanting voice.\It was a nice song.\I'd never heard it before, yet it was somehow nostalgic and happy.\A strange song.\I'd like to hear it again.\Yes.\Thank you for saving Angelise-sama. response:	You're quite a lucky fugitive.
context: I'd never heard such a beautiful, enchanting voice.\It was a nice song.\I'd never heard it before, yet it was somehow nostalgic and happy.\A strange song.\I'd like to hear it again.\Yes.\Thank you for saving Angelise-sama.\You're quite a lucky fugitive. response:	Getting a man to give you a ride home...
context: It was a nice song.\I'd never heard it before, yet it was somehow nostalgic and happy.\A strange song.\I'd like to hear it again.\Yes.\Thank you for saving Angelise-sama.\You're quite a lucky fugitive.\Getting a man to give you a ride home... response:	Jill.
context: I'd never heard it before, yet it was somehow nostalgic and happy.\A strange song.\I'd like to hear it again.\Yes.\Thank you for saving Angelise-sama.\You're quite a lucky fugitive.\Getting a man to give you a ride home...\Jill. response:	There's something I want you to tell me.
context: A strange song.\I'd like to hear it again.\Yes.\Thank you for saving Angelise-sama.\You're quite a lucky fugitive.\Getting a man to give you a ride home...\Jill.\There's something I want you to tell me. response:	Sure.
context: I'd like to hear it again.\Yes.\Thank you for saving Angelise-sama.\You're quite a lucky fugitive.\Getting a man to give you a ride home...\Jill.\There's something I want you to tell me.\Sure. response:	But...
context: Yes.\Thank you for saving Angelise-sama.\You're quite a lucky fugitive.\Getting a man to give you a ride home...\Jill.\There's something I want you to tell me.\Sure.\But... response:	Only after you're done reflecting.
context: Thank you for saving Angelise-sama.\You're quite a lucky fugitive.\Getting a man to give you a ride home...\Jill.\There's something I want you to tell me.\Sure.\But...\Only after you're done reflecting. response:	Angelise-sama.
context: You're quite a lucky fugitive.\Getting a man to give you a ride home...\Jill.\There's something I want you to tell me.\Sure.\But...\Only after you're done reflecting.\Angelise-sama. response:	Wake up, Ange.
context: Getting a man to give you a ride home...\Jill.\There's something I want you to tell me.\Sure.\But...\Only after you're done reflecting.\Angelise-sama.\Wake up, Ange. response:	It's no use.
context: Jill.\There's something I want you to tell me.\Sure.\But...\Only after you're done reflecting.\Angelise-sama.\Wake up, Ange.\It's no use. response:	Do it.
context: There's something I want you to tell me.\Sure.\But...\Only after you're done reflecting.\Angelise-sama.\Wake up, Ange.\It's no use.\Do it. response:	Are you sure?
context: Sure.\But...\Only after you're done reflecting.\Angelise-sama.\Wake up, Ange.\It's no use.\Do it.\Are you sure? response:	Quickly.
context: But...\Only after you're done reflecting.\Angelise-sama.\Wake up, Ange.\It's no use.\Do it.\Are you sure?\Quickly. response:	Yes, ma'am.
context: Only after you're done reflecting.\Angelise-sama.\Wake up, Ange.\It's no use.\Do it.\Are you sure?\Quickly.\Yes, ma'am. response:	Are you awake?
context: Angelise-sama.\Wake up, Ange.\It's no use.\Do it.\Are you sure?\Quickly.\Yes, ma'am.\Are you awake? response:	Where am I?
context: Wake up, Ange.\It's no use.\Do it.\Are you sure?\Quickly.\Yes, ma'am.\Are you awake?\Where am I? response:	You're being informed of your punishment.
context: It's no use.\Do it.\Are you sure?\Quickly.\Yes, ma'am.\Are you awake?\Where am I?\You're being informed of your punishment. response:	Ange of Salia Squad, for your desertion,
context: Do it.\Are you sure?\Quickly.\Yes, ma'am.\Are you awake?\Where am I?\You're being informed of your punishment.\Ange of Salia Squad, for your desertion, response:	you will be placed in the suspension quarters for one week.
context: Are you sure?\Quickly.\Yes, ma'am.\Are you awake?\Where am I?\You're being informed of your punishment.\Ange of Salia Squad, for your desertion,\you will be placed in the suspension quarters for one week. response:	Your wealth and property will all be confiscated.
context: Quickly.\Yes, ma'am.\Are you awake?\Where am I?\You're being informed of your punishment.\Ange of Salia Squad, for your desertion,\you will be placed in the suspension quarters for one week.\Your wealth and property will all be confiscated. response:	This includes the Villkiss, of course.
context: Yes, ma'am.\Are you awake?\Where am I?\You're being informed of your punishment.\Ange of Salia Squad, for your desertion,\you will be placed in the suspension quarters for one week.\Your wealth and property will all be confiscated.\This includes the Villkiss, of course. response:	You have to take responsibility.
context: Are you awake?\Where am I?\You're being informed of your punishment.\Ange of Salia Squad, for your desertion,\you will be placed in the suspension quarters for one week.\Your wealth and property will all be confiscated.\This includes the Villkiss, of course.\You have to take responsibility. response:	You're a deserter, after all.
context: Where am I?\You're being informed of your punishment.\Ange of Salia Squad, for your desertion,\you will be placed in the suspension quarters for one week.\Your wealth and property will all be confiscated.\This includes the Villkiss, of course.\You have to take responsibility.\You're a deserter, after all. response:	Hey.
context: You're being informed of your punishment.\Ange of Salia Squad, for your desertion,\you will be placed in the suspension quarters for one week.\Your wealth and property will all be confiscated.\This includes the Villkiss, of course.\You have to take responsibility.\You're a deserter, after all.\Hey. response:	Why?
context: Ange of Salia Squad, for your desertion,\you will be placed in the suspension quarters for one week.\Your wealth and property will all be confiscated.\This includes the Villkiss, of course.\You have to take responsibility.\You're a deserter, after all.\Hey.\Why? response:	Why did you run?
context: you will be placed in the suspension quarters for one week.\Your wealth and property will all be confiscated.\This includes the Villkiss, of course.\You have to take responsibility.\You're a deserter, after all.\Hey.\Why?\Why did you run? response:	Huh?
context: Your wealth and property will all be confiscated.\This includes the Villkiss, of course.\You have to take responsibility.\You're a deserter, after all.\Hey.\Why?\Why did you run?\Huh? response:	We've been here since we were babies.
context: This includes the Villkiss, of course.\You have to take responsibility.\You're a deserter, after all.\Hey.\Why?\Why did you run?\Huh?\We've been here since we were babies. response:	We don't know the outside world, and there's no one waiting for us.
context: You have to take responsibility.\You're a deserter, after all.\Hey.\Why?\Why did you run?\Huh?\We've been here since we were babies.\We don't know the outside world, and there's no one waiting for us. response:	We don't have a reason to leave.
context: You're a deserter, after all.\Hey.\Why?\Why did you run?\Huh?\We've been here since we were babies.\We don't know the outside world, and there's no one waiting for us.\We don't have a reason to leave. response:	There's no place for us Norma to go outside.
context: Hey.\Why?\Why did you run?\Huh?\We've been here since we were babies.\We don't know the outside world, and there's no one waiting for us.\We don't have a reason to leave.\There's no place for us Norma to go outside. response:	So why?
context: Why?\Why did you run?\Huh?\We've been here since we were babies.\We don't know the outside world, and there's no one waiting for us.\We don't have a reason to leave.\There's no place for us Norma to go outside.\So why? response:	Ultimately, it's because she's different from us.
context: Why did you run?\Huh?\We've been here since we were babies.\We don't know the outside world, and there's no one waiting for us.\We don't have a reason to leave.\There's no place for us Norma to go outside.\So why?\Ultimately, it's because she's different from us. response:	I shouldn't have trusted her.
context: Huh?\We've been here since we were babies.\We don't know the outside world, and there's no one waiting for us.\We don't have a reason to leave.\There's no place for us Norma to go outside.\So why?\Ultimately, it's because she's different from us.\I shouldn't have trusted her. response:	Cold.
context: We've been here since we were babies.\We don't know the outside world, and there's no one waiting for us.\We don't have a reason to leave.\There's no place for us Norma to go outside.\So why?\Ultimately, it's because she's different from us.\I shouldn't have trusted her.\Cold. response:	Shut up.
context: We don't know the outside world, and there's no one waiting for us.\We don't have a reason to leave.\There's no place for us Norma to go outside.\So why?\Ultimately, it's because she's different from us.\I shouldn't have trusted her.\Cold.\Shut up. response:	Hilda.
context: We don't have a reason to leave.\There's no place for us Norma to go outside.\So why?\Ultimately, it's because she's different from us.\I shouldn't have trusted her.\Cold.\Shut up.\Hilda. response:	Stay away.
context: There's no place for us Norma to go outside.\So why?\Ultimately, it's because she's different from us.\I shouldn't have trusted her.\Cold.\Shut up.\Hilda.\Stay away. response:	You're back, too, huh?
context: So why?\Ultimately, it's because she's different from us.\I shouldn't have trusted her.\Cold.\Shut up.\Hilda.\Stay away.\You're back, too, huh? response:	Are you okay?
context: Ultimately, it's because she's different from us.\I shouldn't have trusted her.\Cold.\Shut up.\Hilda.\Stay away.\You're back, too, huh?\Are you okay? response:	I said stay away.
context: I shouldn't have trusted her.\Cold.\Shut up.\Hilda.\Stay away.\You're back, too, huh?\Are you okay?\I said stay away. response:	What happened to your face?
context: Cold.\Shut up.\Hilda.\Stay away.\You're back, too, huh?\Are you okay?\I said stay away.\What happened to your face? response:	What did they do to you?
context: Shut up.\Hilda.\Stay away.\You're back, too, huh?\Are you okay?\I said stay away.\What happened to your face?\What did they do to you? response:	You ought to talk first.
context: Hilda.\Stay away.\You're back, too, huh?\Are you okay?\I said stay away.\What happened to your face?\What did they do to you?\You ought to talk first. response:	Death sentence.
context: Stay away.\You're back, too, huh?\Are you okay?\I said stay away.\What happened to your face?\What did they do to you?\You ought to talk first.\Death sentence. response:	I was stripped down, whipped, mocked, and hanged.
context: You're back, too, huh?\Are you okay?\I said stay away.\What happened to your face?\What did they do to you?\You ought to talk first.\Death sentence.\I was stripped down, whipped, mocked, and hanged. response:	Not bad.
context: Are you okay?\I said stay away.\What happened to your face?\What did they do to you?\You ought to talk first.\Death sentence.\I was stripped down, whipped, mocked, and hanged.\Not bad. response:	And you, Hilda?
context: I said stay away.\What happened to your face?\What did they do to you?\You ought to talk first.\Death sentence.\I was stripped down, whipped, mocked, and hanged.\Not bad.\And you, Hilda? response:	I was beaten by fifty men.
context: What happened to your face?\What did they do to you?\You ought to talk first.\Death sentence.\I was stripped down, whipped, mocked, and hanged.\Not bad.\And you, Hilda?\I was beaten by fifty men. response:	Wow.
context: What did they do to you?\You ought to talk first.\Death sentence.\I was stripped down, whipped, mocked, and hanged.\Not bad.\And you, Hilda?\I was beaten by fifty men.\Wow. response:	I took'em all down, though.
context: You ought to talk first.\Death sentence.\I was stripped down, whipped, mocked, and hanged.\Not bad.\And you, Hilda?\I was beaten by fifty men.\Wow.\I took'em all down, though. response:	Looks like you took quite a beating, too.
context: Death sentence.\I was stripped down, whipped, mocked, and hanged.\Not bad.\And you, Hilda?\I was beaten by fifty men.\Wow.\I took'em all down, though.\Looks like you took quite a beating, too. response:	Shut up.
context: I was stripped down, whipped, mocked, and hanged.\Not bad.\And you, Hilda?\I was beaten by fifty men.\Wow.\I took'em all down, though.\Looks like you took quite a beating, too.\Shut up. response:	Did you meet your mother?
context: Not bad.\And you, Hilda?\I was beaten by fifty men.\Wow.\I took'em all down, though.\Looks like you took quite a beating, too.\Shut up.\Did you meet your mother? response:	Who knows?
context: And you, Hilda?\I was beaten by fifty men.\Wow.\I took'em all down, though.\Looks like you took quite a beating, too.\Shut up.\Did you meet your mother?\Who knows? response:	Oh.
context: I was beaten by fifty men.\Wow.\I took'em all down, though.\Looks like you took quite a beating, too.\Shut up.\Did you meet your mother?\Who knows?\Oh. response:	No.
context: Wow.\I took'em all down, though.\Looks like you took quite a beating, too.\Shut up.\Did you meet your mother?\Who knows?\Oh.\No. response:	No.
context: I took'em all down, though.\Looks like you took quite a beating, too.\Shut up.\Did you meet your mother?\Who knows?\Oh.\No.\No. response:	Mom!
context: Looks like you took quite a beating, too.\Shut up.\Did you meet your mother?\Who knows?\Oh.\No.\No.\Mom! response:	Mom?
context: Shut up.\Did you meet your mother?\Who knows?\Oh.\No.\No.\Mom!\Mom? response:	How strange. Are you depressed?
context: Did you meet your mother?\Who knows?\Oh.\No.\No.\Mom!\Mom?\How strange. Are you depressed? response:	Huh?
context: Who knows?\Oh.\No.\No.\Mom!\Mom?\How strange. Are you depressed?\Huh? response:	Why would I
context: Oh.\No.\No.\Mom!\Mom?\How strange. Are you depressed?\Huh?\Why would I response:	Why would I be?
context: No.\No.\Mom!\Mom?\How strange. Are you depressed?\Huh?\Why would I\Why would I be? response:	I thought of all people, Mom would accept me.
context: No.\Mom!\Mom?\How strange. Are you depressed?\Huh?\Why would I\Why would I be?\I thought of all people, Mom would accept me. response:	Huh?
context: Mom!\Mom?\How strange. Are you depressed?\Huh?\Why would I\Why would I be?\I thought of all people, Mom would accept me.\Huh? response:	I thought Mom would forgive me for being a Norma.
context: Mom?\How strange. Are you depressed?\Huh?\Why would I\Why would I be?\I thought of all people, Mom would accept me.\Huh?\I thought Mom would forgive me for being a Norma. response:	But she didn't.
context: How strange. Are you depressed?\Huh?\Why would I\Why would I be?\I thought of all people, Mom would accept me.\Huh?\I thought Mom would forgive me for being a Norma.\But she didn't. response:	That's what it means to be a Norma.
context: Huh?\Why would I\Why would I be?\I thought of all people, Mom would accept me.\Huh?\I thought Mom would forgive me for being a Norma.\But she didn't.\That's what it means to be a Norma. response:	There's nowhere outside for a Norma to be.
context: Why would I\Why would I be?\I thought of all people, Mom would accept me.\Huh?\I thought Mom would forgive me for being a Norma.\But she didn't.\That's what it means to be a Norma.\There's nowhere outside for a Norma to be. response:	You have your friends here.
context: Why would I be?\I thought of all people, Mom would accept me.\Huh?\I thought Mom would forgive me for being a Norma.\But she didn't.\That's what it means to be a Norma.\There's nowhere outside for a Norma to be.\You have your friends here. response:	Friends?
context: I thought of all people, Mom would accept me.\Huh?\I thought Mom would forgive me for being a Norma.\But she didn't.\That's what it means to be a Norma.\There's nowhere outside for a Norma to be.\You have your friends here.\Friends? response:	I don't have friends.
context: Huh?\I thought Mom would forgive me for being a Norma.\But she didn't.\That's what it means to be a Norma.\There's nowhere outside for a Norma to be.\You have your friends here.\Friends?\I don't have friends. response:	Hilda's back.
context: I thought Mom would forgive me for being a Norma.\But she didn't.\That's what it means to be a Norma.\There's nowhere outside for a Norma to be.\You have your friends here.\Friends?\I don't have friends.\Hilda's back. response:	Hey, why did you desert us?
context: But she didn't.\That's what it means to be a Norma.\There's nowhere outside for a Norma to be.\You have your friends here.\Friends?\I don't have friends.\Hilda's back.\Hey, why did you desert us? response:	Why wouldn't you talk to us?
context: That's what it means to be a Norma.\There's nowhere outside for a Norma to be.\You have your friends here.\Friends?\I don't have friends.\Hilda's back.\Hey, why did you desert us?\Why wouldn't you talk to us? response:	We're friends, aren't we?
context: There's nowhere outside for a Norma to be.\You have your friends here.\Friends?\I don't have friends.\Hilda's back.\Hey, why did you desert us?\Why wouldn't you talk to us?\We're friends, aren't we? response:	She never thought of us as friends.
context: You have your friends here.\Friends?\I don't have friends.\Hilda's back.\Hey, why did you desert us?\Why wouldn't you talk to us?\We're friends, aren't we?\She never thought of us as friends. response:	You finally get it.
context: Friends?\I don't have friends.\Hilda's back.\Hey, why did you desert us?\Why wouldn't you talk to us?\We're friends, aren't we?\She never thought of us as friends.\You finally get it. response:	I never thought of you as friends to begin with.
context: I don't have friends.\Hilda's back.\Hey, why did you desert us?\Why wouldn't you talk to us?\We're friends, aren't we?\She never thought of us as friends.\You finally get it.\I never thought of you as friends to begin with. response:	I was just playing along with you.
context: Hilda's back.\Hey, why did you desert us?\Why wouldn't you talk to us?\We're friends, aren't we?\She never thought of us as friends.\You finally get it.\I never thought of you as friends to begin with.\I was just playing along with you. response:	Are you serious?
context: Hey, why did you desert us?\Why wouldn't you talk to us?\We're friends, aren't we?\She never thought of us as friends.\You finally get it.\I never thought of you as friends to begin with.\I was just playing along with you.\Are you serious? response:	Hey, Hilda.
context: Why wouldn't you talk to us?\We're friends, aren't we?\She never thought of us as friends.\You finally get it.\I never thought of you as friends to begin with.\I was just playing along with you.\Are you serious?\Hey, Hilda. response:	You should have died.
context: We're friends, aren't we?\She never thought of us as friends.\You finally get it.\I never thought of you as friends to begin with.\I was just playing along with you.\Are you serious?\Hey, Hilda.\You should have died. response:	C-Chris.
context: She never thought of us as friends.\You finally get it.\I never thought of you as friends to begin with.\I was just playing along with you.\Are you serious?\Hey, Hilda.\You should have died.\C-Chris. response:	Let's go, Rosalie.
context: You finally get it.\I never thought of you as friends to begin with.\I was just playing along with you.\Are you serious?\Hey, Hilda.\You should have died.\C-Chris.\Let's go, Rosalie. response:	Okay.
context: I never thought of you as friends to begin with.\I was just playing along with you.\Are you serious?\Hey, Hilda.\You should have died.\C-Chris.\Let's go, Rosalie.\Okay. response:	I bought back all of Captain Zola's stuff.
context: I was just playing along with you.\Are you serious?\Hey, Hilda.\You should have died.\C-Chris.\Let's go, Rosalie.\Okay.\I bought back all of Captain Zola's stuff. response:	I don't want you to have it.
context: Are you serious?\Hey, Hilda.\You should have died.\C-Chris.\Let's go, Rosalie.\Okay.\I bought back all of Captain Zola's stuff.\I don't want you to have it. response:	I've lost everything.
context: Hey, Hilda.\You should have died.\C-Chris.\Let's go, Rosalie.\Okay.\I bought back all of Captain Zola's stuff.\I don't want you to have it.\I've lost everything. response:	My room, my money, my reason to live.
context: You should have died.\C-Chris.\Let's go, Rosalie.\Okay.\I bought back all of Captain Zola's stuff.\I don't want you to have it.\I've lost everything.\My room, my money, my reason to live. response:	Everything.
