context: I must be aware... response:	of the ball,
context: Looks good on you.\Yeah, looks good. Looks good.\We're the Karasuno Volleyball Club from here on...\Ready, and...\Good to have you with us.\Thanks!\Anyway, got that out of the way.\Suga, you and Tanaka helped them out, didn't you? response:	Oh? No, not really.
context: Yeah, looks good. Looks good.\We're the Karasuno Volleyball Club from here on...\Ready, and...\Good to have you with us.\Thanks!\Anyway, got that out of the way.\Suga, you and Tanaka helped them out, didn't you?\Oh? No, not really. response:	Anyway, it all worked out.
context: We're the Karasuno Volleyball Club from here on...\Ready, and...\Good to have you with us.\Thanks!\Anyway, got that out of the way.\Suga, you and Tanaka helped them out, didn't you?\Oh? No, not really.\Anyway, it all worked out. response:	Thanks.
context: Ready, and...\Good to have you with us.\Thanks!\Anyway, got that out of the way.\Suga, you and Tanaka helped them out, didn't you?\Oh? No, not really.\Anyway, it all worked out.\Thanks. response:	Good job.
context: Good to have you with us.\Thanks!\Anyway, got that out of the way.\Suga, you and Tanaka helped them out, didn't you?\Oh? No, not really.\Anyway, it all worked out.\Thanks.\Good job. response:	What? Hey.
context: Thanks!\Anyway, got that out of the way.\Suga, you and Tanaka helped them out, didn't you?\Oh? No, not really.\Anyway, it all worked out.\Thanks.\Good job.\What? Hey. response:	Hey, Hinata, are you rested? You ready to go?
context: Anyway, got that out of the way.\Suga, you and Tanaka helped them out, didn't you?\Oh? No, not really.\Anyway, it all worked out.\Thanks.\Good job.\What? Hey.\Hey, Hinata, are you rested? You ready to go? response:	Let's practice quick again.
context: Suga, you and Tanaka helped them out, didn't you?\Oh? No, not really.\Anyway, it all worked out.\Thanks.\Good job.\What? Hey.\Hey, Hinata, are you rested? You ready to go?\Let's practice quick again. response:	Let's do it while you're still in the zone.
context: Oh? No, not really.\Anyway, it all worked out.\Thanks.\Good job.\What? Hey.\Hey, Hinata, are you rested? You ready to go?\Let's practice quick again.\Let's do it while you're still in the zone. response:	Yeah.
context: Anyway, it all worked out.\Thanks.\Good job.\What? Hey.\Hey, Hinata, are you rested? You ready to go?\Let's practice quick again.\Let's do it while you're still in the zone.\Yeah. response:	Tanaka-san, please bring the balls.
context: Thanks.\Good job.\What? Hey.\Hey, Hinata, are you rested? You ready to go?\Let's practice quick again.\Let's do it while you're still in the zone.\Yeah.\Tanaka-san, please bring the balls. response:	You're moving around already?
context: Good job.\What? Hey.\Hey, Hinata, are you rested? You ready to go?\Let's practice quick again.\Let's do it while you're still in the zone.\Yeah.\Tanaka-san, please bring the balls.\You're moving around already? response:	It's decided! It's decided!
context: What? Hey.\Hey, Hinata, are you rested? You ready to go?\Let's practice quick again.\Let's do it while you're still in the zone.\Yeah.\Tanaka-san, please bring the balls.\You're moving around already?\It's decided! It's decided! response:	The practice match.
context: Hey, Hinata, are you rested? You ready to go?\Let's practice quick again.\Let's do it while you're still in the zone.\Yeah.\Tanaka-san, please bring the balls.\You're moving around already?\It's decided! It's decided!\The practice match. response:	It's against one of the top four teams in the prefecture.
context: Let's practice quick again.\Let's do it while you're still in the zone.\Yeah.\Tanaka-san, please bring the balls.\You're moving around already?\It's decided! It's decided!\The practice match.\It's against one of the top four teams in the prefecture. response:	Aoba Josai High School.
context: Let's do it while you're still in the zone.\Yeah.\Tanaka-san, please bring the balls.\You're moving around already?\It's decided! It's decided!\The practice match.\It's against one of the top four teams in the prefecture.\Aoba Josai High School. response:	The one nicknamed Seijo?
context: Yeah.\Tanaka-san, please bring the balls.\You're moving around already?\It's decided! It's decided!\The practice match.\It's against one of the top four teams in the prefecture.\Aoba Josai High School.\The one nicknamed Seijo? response:	Yikes.
context: Tanaka-san, please bring the balls.\You're moving around already?\It's decided! It's decided!\The practice match.\It's against one of the top four teams in the prefecture.\Aoba Josai High School.\The one nicknamed Seijo?\Yikes. response:	No way.
context: You're moving around already?\It's decided! It's decided!\The practice match.\It's against one of the top four teams in the prefecture.\Aoba Josai High School.\The one nicknamed Seijo?\Yikes.\No way. response:	A practice match with one of the top four!
context: It's decided! It's decided!\The practice match.\It's against one of the top four teams in the prefecture.\Aoba Josai High School.\The one nicknamed Seijo?\Yikes.\No way.\A practice match with one of the top four! response:	Aoba Josai...
context: The practice match.\It's against one of the top four teams in the prefecture.\Aoba Josai High School.\The one nicknamed Seijo?\Yikes.\No way.\A practice match with one of the top four!\Aoba Josai... response:	Oh. You two are the controversial Hinata-kun and Kageyama-kun.
context: It's against one of the top four teams in the prefecture.\Aoba Josai High School.\The one nicknamed Seijo?\Yikes.\No way.\A practice match with one of the top four!\Aoba Josai...\Oh. You two are the controversial Hinata-kun and Kageyama-kun. response:	Who's he? A teacher?
context: Aoba Josai High School.\The one nicknamed Seijo?\Yikes.\No way.\A practice match with one of the top four!\Aoba Josai...\Oh. You two are the controversial Hinata-kun and Kageyama-kun.\Who's he? A teacher? response:	I dunno.
context: The one nicknamed Seijo?\Yikes.\No way.\A practice match with one of the top four!\Aoba Josai...\Oh. You two are the controversial Hinata-kun and Kageyama-kun.\Who's he? A teacher?\I dunno. response:	I'm the volleyball club advisor starting this year.
context: Yikes.\No way.\A practice match with one of the top four!\Aoba Josai...\Oh. You two are the controversial Hinata-kun and Kageyama-kun.\Who's he? A teacher?\I dunno.\I'm the volleyball club advisor starting this year. response:	I'm Takeda Ittetsu.
context: No way.\A practice match with one of the top four!\Aoba Josai...\Oh. You two are the controversial Hinata-kun and Kageyama-kun.\Who's he? A teacher?\I dunno.\I'm the volleyball club advisor starting this year.\I'm Takeda Ittetsu. response:	Hello.
context: A practice match with one of the top four!\Aoba Josai...\Oh. You two are the controversial Hinata-kun and Kageyama-kun.\Who's he? A teacher?\I dunno.\I'm the volleyball club advisor starting this year.\I'm Takeda Ittetsu.\Hello. response:	I have no volleyball experience, so I can't help with your technique,
context: Aoba Josai...\Oh. You two are the controversial Hinata-kun and Kageyama-kun.\Who's he? A teacher?\I dunno.\I'm the volleyball club advisor starting this year.\I'm Takeda Ittetsu.\Hello.\I have no volleyball experience, so I can't help with your technique, response:	but for anything else, I'll do my very best.
context: Oh. You two are the controversial Hinata-kun and Kageyama-kun.\Who's he? A teacher?\I dunno.\I'm the volleyball club advisor starting this year.\I'm Takeda Ittetsu.\Hello.\I have no volleyball experience, so I can't help with your technique,\but for anything else, I'll do my very best. response:	It's good to meet you.
context: Who's he? A teacher?\I dunno.\I'm the volleyball club advisor starting this year.\I'm Takeda Ittetsu.\Hello.\I have no volleyball experience, so I can't help with your technique,\but for anything else, I'll do my very best.\It's good to meet you. response:	Yes.
context: I dunno.\I'm the volleyball club advisor starting this year.\I'm Takeda Ittetsu.\Hello.\I have no volleyball experience, so I can't help with your technique,\but for anything else, I'll do my very best.\It's good to meet you.\Yes. response:	Sensei.
context: I'm the volleyball club advisor starting this year.\I'm Takeda Ittetsu.\Hello.\I have no volleyball experience, so I can't help with your technique,\but for anything else, I'll do my very best.\It's good to meet you.\Yes.\Sensei. response:	Ah.
context: I'm Takeda Ittetsu.\Hello.\I have no volleyball experience, so I can't help with your technique,\but for anything else, I'll do my very best.\It's good to meet you.\Yes.\Sensei.\Ah. response:	I've been running around everywhere setting up the practice-match.
context: Hello.\I have no volleyball experience, so I can't help with your technique,\but for anything else, I'll do my very best.\It's good to meet you.\Yes.\Sensei.\Ah.\I've been running around everywhere setting up the practice-match. response:	I haven't had time to drop in here.
context: I have no volleyball experience, so I can't help with your technique,\but for anything else, I'll do my very best.\It's good to meet you.\Yes.\Sensei.\Ah.\I've been running around everywhere setting up the practice-match.\I haven't had time to drop in here. response:	But, sensei, how did you get a powerhouse like Seijo to agree?
context: but for anything else, I'll do my very best.\It's good to meet you.\Yes.\Sensei.\Ah.\I've been running around everywhere setting up the practice-match.\I haven't had time to drop in here.\But, sensei, how did you get a powerhouse like Seijo to agree? response:	You didn't get on your knees and beg again, did you?
context: It's good to meet you.\Yes.\Sensei.\Ah.\I've been running around everywhere setting up the practice-match.\I haven't had time to drop in here.\But, sensei, how did you get a powerhouse like Seijo to agree?\You didn't get on your knees and beg again, did you? response:	No, no.
context: Yes.\Sensei.\Ah.\I've been running around everywhere setting up the practice-match.\I haven't had time to drop in here.\But, sensei, how did you get a powerhouse like Seijo to agree?\You didn't get on your knees and beg again, did you?\No, no. response:	I'm good at getting on my knees and begging,
context: Sensei.\Ah.\I've been running around everywhere setting up the practice-match.\I haven't had time to drop in here.\But, sensei, how did you get a powerhouse like Seijo to agree?\You didn't get on your knees and beg again, did you?\No, no.\I'm good at getting on my knees and begging, response:	but I didn't do that this time.
context: Ah.\I've been running around everywhere setting up the practice-match.\I haven't had time to drop in here.\But, sensei, how did you get a powerhouse like Seijo to agree?\You didn't get on your knees and beg again, did you?\No, no.\I'm good at getting on my knees and begging,\but I didn't do that this time. response:	But they had a condition.
context: I've been running around everywhere setting up the practice-match.\I haven't had time to drop in here.\But, sensei, how did you get a powerhouse like Seijo to agree?\You didn't get on your knees and beg again, did you?\No, no.\I'm good at getting on my knees and begging,\but I didn't do that this time.\But they had a condition. response:	A condition?
context: I haven't had time to drop in here.\But, sensei, how did you get a powerhouse like Seijo to agree?\You didn't get on your knees and beg again, did you?\No, no.\I'm good at getting on my knees and begging,\but I didn't do that this time.\But they had a condition.\A condition? response:	Kageyama-kun must play setter the entire game.
context: But, sensei, how did you get a powerhouse like Seijo to agree?\You didn't get on your knees and beg again, did you?\No, no.\I'm good at getting on my knees and begging,\but I didn't do that this time.\But they had a condition.\A condition?\Kageyama-kun must play setter the entire game. response:	What's that about?
context: You didn't get on your knees and beg again, did you?\No, no.\I'm good at getting on my knees and begging,\but I didn't do that this time.\But they had a condition.\A condition?\Kageyama-kun must play setter the entire game.\What's that about? response:	Sounds like they're not interested in Karasuno.
context: No, no.\I'm good at getting on my knees and begging,\but I didn't do that this time.\But they had a condition.\A condition?\Kageyama-kun must play setter the entire game.\What's that about?\Sounds like they're not interested in Karasuno. response:	They just want to assess Kageyama.
context: I'm good at getting on my knees and begging,\but I didn't do that this time.\But they had a condition.\A condition?\Kageyama-kun must play setter the entire game.\What's that about?\Sounds like they're not interested in Karasuno.\They just want to assess Kageyama. response:	Are they underestimating us?
context: but I didn't do that this time.\But they had a condition.\A condition?\Kageyama-kun must play setter the entire game.\What's that about?\Sounds like they're not interested in Karasuno.\They just want to assess Kageyama.\Are they underestimating us? response:	Are they?
context: But they had a condition.\A condition?\Kageyama-kun must play setter the entire game.\What's that about?\Sounds like they're not interested in Karasuno.\They just want to assess Kageyama.\Are they underestimating us?\Are they? response:	Well, that's not quite how it is.
context: A condition?\Kageyama-kun must play setter the entire game.\What's that about?\Sounds like they're not interested in Karasuno.\They just want to assess Kageyama.\Are they underestimating us?\Are they?\Well, that's not quite how it is. response:	Sounds good.
context: Kageyama-kun must play setter the entire game.\What's that about?\Sounds like they're not interested in Karasuno.\They just want to assess Kageyama.\Are they underestimating us?\Are they?\Well, that's not quite how it is.\Sounds good. response:	We don't get chances like this that often.
context: What's that about?\Sounds like they're not interested in Karasuno.\They just want to assess Kageyama.\Are they underestimating us?\Are they?\Well, that's not quite how it is.\Sounds good.\We don't get chances like this that often. response:	You're going to agree to that, Suga-san?
context: Sounds like they're not interested in Karasuno.\They just want to assess Kageyama.\Are they underestimating us?\Are they?\Well, that's not quite how it is.\Sounds good.\We don't get chances like this that often.\You're going to agree to that, Suga-san? response:	You're the official setter of Karasuno, Suga-san.
context: They just want to assess Kageyama.\Are they underestimating us?\Are they?\Well, that's not quite how it is.\Sounds good.\We don't get chances like this that often.\You're going to agree to that, Suga-san?\You're the official setter of Karasuno, Suga-san. response:	I want to see how effective Hinata and Kageyama's
context: Are they underestimating us?\Are they?\Well, that's not quite how it is.\Sounds good.\We don't get chances like this that often.\You're going to agree to that, Suga-san?\You're the official setter of Karasuno, Suga-san.\I want to see how effective Hinata and Kageyama's response:	attack will be against a top four team.
context: Are they?\Well, that's not quite how it is.\Sounds good.\We don't get chances like this that often.\You're going to agree to that, Suga-san?\You're the official setter of Karasuno, Suga-san.\I want to see how effective Hinata and Kageyama's\attack will be against a top four team. response:	Sensei, may we have the details?
context: Well, that's not quite how it is.\Sounds good.\We don't get chances like this that often.\You're going to agree to that, Suga-san?\You're the official setter of Karasuno, Suga-san.\I want to see how effective Hinata and Kageyama's\attack will be against a top four team.\Sensei, may we have the details? response:	Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week.
context: Sounds good.\We don't get chances like this that often.\You're going to agree to that, Suga-san?\You're the official setter of Karasuno, Suga-san.\I want to see how effective Hinata and Kageyama's\attack will be against a top four team.\Sensei, may we have the details?\Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week. response:	It'll be after classes, so there will only be time for one game.
context: We don't get chances like this that often.\You're going to agree to that, Suga-san?\You're the official setter of Karasuno, Suga-san.\I want to see how effective Hinata and Kageyama's\attack will be against a top four team.\Sensei, may we have the details?\Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week.\It'll be after classes, so there will only be time for one game. response:	We'll rent the bus after school...
context: You're going to agree to that, Suga-san?\You're the official setter of Karasuno, Suga-san.\I want to see how effective Hinata and Kageyama's\attack will be against a top four team.\Sensei, may we have the details?\Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week.\It'll be after classes, so there will only be time for one game.\We'll rent the bus after school... response:	A match.
context: You're the official setter of Karasuno, Suga-san.\I want to see how effective Hinata and Kageyama's\attack will be against a top four team.\Sensei, may we have the details?\Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week.\It'll be after classes, so there will only be time for one game.\We'll rent the bus after school...\A match. response:	A match.
context: I want to see how effective Hinata and Kageyama's\attack will be against a top four team.\Sensei, may we have the details?\Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week.\It'll be after classes, so there will only be time for one game.\We'll rent the bus after school...\A match.\A match. response:	It's going to be my first official match at Karasuno,
context: attack will be against a top four team.\Sensei, may we have the details?\Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week.\It'll be after classes, so there will only be time for one game.\We'll rent the bus after school...\A match.\A match.\It's going to be my first official match at Karasuno, response:	with a full team!
context: Sensei, may we have the details?\Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week.\It'll be after classes, so there will only be time for one game.\We'll rent the bus after school...\A match.\A match.\It's going to be my first official match at Karasuno,\with a full team! response:	So make sure you're not late.
context: Sure. Um... the schedule is rather sudden, but it's set for Tuesday next week.\It'll be after classes, so there will only be time for one game.\We'll rent the bus after school...\A match.\A match.\It's going to be my first official match at Karasuno,\with a full team!\So make sure you're not late. response:	Yes.
context: It'll be after classes, so there will only be time for one game.\We'll rent the bus after school...\A match.\A match.\It's going to be my first official match at Karasuno,\with a full team!\So make sure you're not late.\Yes. response:	Good job.
context: We'll rent the bus after school...\A match.\A match.\It's going to be my first official match at Karasuno,\with a full team!\So make sure you're not late.\Yes.\Good job. response:	Good job.
context: A match.\A match.\It's going to be my first official match at Karasuno,\with a full team!\So make sure you're not late.\Yes.\Good job.\Good job. response:	Sugawara-san.
context: A match.\It's going to be my first official match at Karasuno,\with a full team!\So make sure you're not late.\Yes.\Good job.\Good job.\Sugawara-san. response:	I have to play setter by default this time,
context: It's going to be my first official match at Karasuno,\with a full team!\So make sure you're not late.\Yes.\Good job.\Good job.\Sugawara-san.\I have to play setter by default this time, response:	but from now on I will earn my place.
context: with a full team!\So make sure you're not late.\Yes.\Good job.\Good job.\Sugawara-san.\I have to play setter by default this time,\but from now on I will earn my place. response:	Huh?
context: So make sure you're not late.\Yes.\Good job.\Good job.\Sugawara-san.\I have to play setter by default this time,\but from now on I will earn my place.\Huh? response:	Huh?
context: Yes.\Good job.\Good job.\Sugawara-san.\I have to play setter by default this time,\but from now on I will earn my place.\Huh?\Huh? response:	Oh, I thought you weren't concerned about me at all.
context: Good job.\Good job.\Sugawara-san.\I have to play setter by default this time,\but from now on I will earn my place.\Huh?\Huh?\Oh, I thought you weren't concerned about me at all. response:	I wasn't expecting that.
context: Good job.\Sugawara-san.\I have to play setter by default this time,\but from now on I will earn my place.\Huh?\Huh?\Oh, I thought you weren't concerned about me at all.\I wasn't expecting that. response:	Why would you say that?
context: Sugawara-san.\I have to play setter by default this time,\but from now on I will earn my place.\Huh?\Huh?\Oh, I thought you weren't concerned about me at all.\I wasn't expecting that.\Why would you say that? response:	Because you're superior to me in athleticism and talent.
context: I have to play setter by default this time,\but from now on I will earn my place.\Huh?\Huh?\Oh, I thought you weren't concerned about me at all.\I wasn't expecting that.\Why would you say that?\Because you're superior to me in athleticism and talent. response:	You can't make up for a lack of experience that easily!
context: but from now on I will earn my place.\Huh?\Huh?\Oh, I thought you weren't concerned about me at all.\I wasn't expecting that.\Why would you say that?\Because you're superior to me in athleticism and talent.\You can't make up for a lack of experience that easily! response:	And also...
context: Huh?\Huh?\Oh, I thought you weren't concerned about me at all.\I wasn't expecting that.\Why would you say that?\Because you're superior to me in athleticism and talent.\You can't make up for a lack of experience that easily!\And also... response:	Suga-san.
context: Huh?\Oh, I thought you weren't concerned about me at all.\I wasn't expecting that.\Why would you say that?\Because you're superior to me in athleticism and talent.\You can't make up for a lack of experience that easily!\And also...\Suga-san. response:	Suga.
context: Oh, I thought you weren't concerned about me at all.\I wasn't expecting that.\Why would you say that?\Because you're superior to me in athleticism and talent.\You can't make up for a lack of experience that easily!\And also...\Suga-san.\Suga. response:	Sugawara-san.
context: I wasn't expecting that.\Why would you say that?\Because you're superior to me in athleticism and talent.\You can't make up for a lack of experience that easily!\And also...\Suga-san.\Suga.\Sugawara-san. response:	I h-have to earn...
context: Why would you say that?\Because you're superior to me in athleticism and talent.\You can't make up for a lack of experience that easily!\And also...\Suga-san.\Suga.\Sugawara-san.\I h-have to earn... response:	That junior high match he was in must've really gotten to him.
context: Because you're superior to me in athleticism and talent.\You can't make up for a lack of experience that easily!\And also...\Suga-san.\Suga.\Sugawara-san.\I h-have to earn...\That junior high match he was in must've really gotten to him. response:	Therefore,
context: You can't make up for a lack of experience that easily!\And also...\Suga-san.\Suga.\Sugawara-san.\I h-have to earn...\That junior high match he was in must've really gotten to him.\Therefore, response:	I will never give up.
context: And also...\Suga-san.\Suga.\Sugawara-san.\I h-have to earn...\That junior high match he was in must've really gotten to him.\Therefore,\I will never give up. response:	Yeah. I won't give up, either.
context: Suga-san.\Suga.\Sugawara-san.\I h-have to earn...\That junior high match he was in must've really gotten to him.\Therefore,\I will never give up.\Yeah. I won't give up, either. response:	Suga-san.
context: Suga.\Sugawara-san.\I h-have to earn...\That junior high match he was in must've really gotten to him.\Therefore,\I will never give up.\Yeah. I won't give up, either.\Suga-san. response:	Daichi-san said he'll buy us pork buns.
context: Sugawara-san.\I h-have to earn...\That junior high match he was in must've really gotten to him.\Therefore,\I will never give up.\Yeah. I won't give up, either.\Suga-san.\Daichi-san said he'll buy us pork buns. response:	But you know, Kageyama,
context: I h-have to earn...\That junior high match he was in must've really gotten to him.\Therefore,\I will never give up.\Yeah. I won't give up, either.\Suga-san.\Daichi-san said he'll buy us pork buns.\But you know, Kageyama, response:	Foothill Store
context: That junior high match he was in must've really gotten to him.\Therefore,\I will never give up.\Yeah. I won't give up, either.\Suga-san.\Daichi-san said he'll buy us pork buns.\But you know, Kageyama,\Foothill Store response:	Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right?
context: Therefore,\I will never give up.\Yeah. I won't give up, either.\Suga-san.\Daichi-san said he'll buy us pork buns.\But you know, Kageyama,\Foothill Store\Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right? response:	Yeah, you could say that.
context: I will never give up.\Yeah. I won't give up, either.\Suga-san.\Daichi-san said he'll buy us pork buns.\But you know, Kageyama,\Foothill Store\Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right?\Yeah, you could say that. response:	That means Kageyama's former teammates are at that school.
context: Yeah. I won't give up, either.\Suga-san.\Daichi-san said he'll buy us pork buns.\But you know, Kageyama,\Foothill Store\Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right?\Yeah, you could say that.\That means Kageyama's former teammates are at that school. response:	I'm just wondering if you might be uncomfortable with that.
context: Suga-san.\Daichi-san said he'll buy us pork buns.\But you know, Kageyama,\Foothill Store\Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right?\Yeah, you could say that.\That means Kageyama's former teammates are at that school.\I'm just wondering if you might be uncomfortable with that. response:	I might be if they were on the same team.
context: Daichi-san said he'll buy us pork buns.\But you know, Kageyama,\Foothill Store\Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right?\Yeah, you could say that.\That means Kageyama's former teammates are at that school.\I'm just wondering if you might be uncomfortable with that.\I might be if they were on the same team. response:	But if they're my opponents, I'll fight with all I've got.
context: But you know, Kageyama,\Foothill Store\Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right?\Yeah, you could say that.\That means Kageyama's former teammates are at that school.\I'm just wondering if you might be uncomfortable with that.\I might be if they were on the same team.\But if they're my opponents, I'll fight with all I've got. response:	I see. I suppose you would.
context: Foothill Store\Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right?\Yeah, you could say that.\That means Kageyama's former teammates are at that school.\I'm just wondering if you might be uncomfortable with that.\I might be if they were on the same team.\But if they're my opponents, I'll fight with all I've got.\I see. I suppose you would. response:	But are you all right with it, Suga-san?
context: Aoba Josai is where most of the athletes from Kitagawa Daiichi move on to, right?\Yeah, you could say that.\That means Kageyama's former teammates are at that school.\I'm just wondering if you might be uncomfortable with that.\I might be if they were on the same team.\But if they're my opponents, I'll fight with all I've got.\I see. I suppose you would.\But are you all right with it, Suga-san? response:	Sure, I'm a little mad about it...
context: Yeah, you could say that.\That means Kageyama's former teammates are at that school.\I'm just wondering if you might be uncomfortable with that.\I might be if they were on the same team.\But if they're my opponents, I'll fight with all I've got.\I see. I suppose you would.\But are you all right with it, Suga-san?\Sure, I'm a little mad about it... response:	But...
context: That means Kageyama's former teammates are at that school.\I'm just wondering if you might be uncomfortable with that.\I might be if they were on the same team.\But if they're my opponents, I'll fight with all I've got.\I see. I suppose you would.\But are you all right with it, Suga-san?\Sure, I'm a little mad about it...\But... response:	I also want to show them that Kageyama's completely different
context: I'm just wondering if you might be uncomfortable with that.\I might be if they were on the same team.\But if they're my opponents, I'll fight with all I've got.\I see. I suppose you would.\But are you all right with it, Suga-san?\Sure, I'm a little mad about it...\But...\I also want to show them that Kageyama's completely different response:	from his junior high days.
context: I might be if they were on the same team.\But if they're my opponents, I'll fight with all I've got.\I see. I suppose you would.\But are you all right with it, Suga-san?\Sure, I'm a little mad about it...\But...\I also want to show them that Kageyama's completely different\from his junior high days. response:	That's true.
context: But if they're my opponents, I'll fight with all I've got.\I see. I suppose you would.\But are you all right with it, Suga-san?\Sure, I'm a little mad about it...\But...\I also want to show them that Kageyama's completely different\from his junior high days.\That's true. response:	Plus, we'll show them that Kageyama's not the only one they need to worry about.
context: I see. I suppose you would.\But are you all right with it, Suga-san?\Sure, I'm a little mad about it...\But...\I also want to show them that Kageyama's completely different\from his junior high days.\That's true.\Plus, we'll show them that Kageyama's not the only one they need to worry about. response:	Right, Hinata?
context: But are you all right with it, Suga-san?\Sure, I'm a little mad about it...\But...\I also want to show them that Kageyama's completely different\from his junior high days.\That's true.\Plus, we'll show them that Kageyama's not the only one they need to worry about.\Right, Hinata? response:	Why are you eating first?
context: Sure, I'm a little mad about it...\But...\I also want to show them that Kageyama's completely different\from his junior high days.\That's true.\Plus, we'll show them that Kageyama's not the only one they need to worry about.\Right, Hinata?\Why are you eating first? response:	Are you kidding?
context: But...\I also want to show them that Kageyama's completely different\from his junior high days.\That's true.\Plus, we'll show them that Kageyama's not the only one they need to worry about.\Right, Hinata?\Why are you eating first?\Are you kidding? response:	Hey, volleyball club!
context: I also want to show them that Kageyama's completely different\from his junior high days.\That's true.\Plus, we'll show them that Kageyama's not the only one they need to worry about.\Right, Hinata?\Why are you eating first?\Are you kidding?\Hey, volleyball club! response:	Don't make a ruckus in front of the store!
context: from his junior high days.\That's true.\Plus, we'll show them that Kageyama's not the only one they need to worry about.\Right, Hinata?\Why are you eating first?\Are you kidding?\Hey, volleyball club!\Don't make a ruckus in front of the store! response:	Sorry.
context: That's true.\Plus, we'll show them that Kageyama's not the only one they need to worry about.\Right, Hinata?\Why are you eating first?\Are you kidding?\Hey, volleyball club!\Don't make a ruckus in front of the store!\Sorry. response:	Volleyball club... that's right.
context: Plus, we'll show them that Kageyama's not the only one they need to worry about.\Right, Hinata?\Why are you eating first?\Are you kidding?\Hey, volleyball club!\Don't make a ruckus in front of the store!\Sorry.\Volleyball club... that's right. response:	All five of us are in the volleyball club.
context: Right, Hinata?\Why are you eating first?\Are you kidding?\Hey, volleyball club!\Don't make a ruckus in front of the store!\Sorry.\Volleyball club... that's right.\All five of us are in the volleyball club. response:	We're on the same team.
context: Why are you eating first?\Are you kidding?\Hey, volleyball club!\Don't make a ruckus in front of the store!\Sorry.\Volleyball club... that's right.\All five of us are in the volleyball club.\We're on the same team. response:	Excuse me. Is there a curry pork bun?
context: Are you kidding?\Hey, volleyball club!\Don't make a ruckus in front of the store!\Sorry.\Volleyball club... that's right.\All five of us are in the volleyball club.\We're on the same team.\Excuse me. Is there a curry pork bun? response:	Eat your dinner properly.
context: Hey, volleyball club!\Don't make a ruckus in front of the store!\Sorry.\Volleyball club... that's right.\All five of us are in the volleyball club.\We're on the same team.\Excuse me. Is there a curry pork bun?\Eat your dinner properly. response:	Hey, you guys come and eat, too.
context: Don't make a ruckus in front of the store!\Sorry.\Volleyball club... that's right.\All five of us are in the volleyball club.\We're on the same team.\Excuse me. Is there a curry pork bun?\Eat your dinner properly.\Hey, you guys come and eat, too. response:	Thanks.
context: Sorry.\Volleyball club... that's right.\All five of us are in the volleyball club.\We're on the same team.\Excuse me. Is there a curry pork bun?\Eat your dinner properly.\Hey, you guys come and eat, too.\Thanks. response:	We're all on the same team.
context: Volleyball club... that's right.\All five of us are in the volleyball club.\We're on the same team.\Excuse me. Is there a curry pork bun?\Eat your dinner properly.\Hey, you guys come and eat, too.\Thanks.\We're all on the same team. response:	Kageyama, after you're done eating, could I ask you something?
context: All five of us are in the volleyball club.\We're on the same team.\Excuse me. Is there a curry pork bun?\Eat your dinner properly.\Hey, you guys come and eat, too.\Thanks.\We're all on the same team.\Kageyama, after you're done eating, could I ask you something? response:	Sure.
context: We're on the same team.\Excuse me. Is there a curry pork bun?\Eat your dinner properly.\Hey, you guys come and eat, too.\Thanks.\We're all on the same team.\Kageyama, after you're done eating, could I ask you something?\Sure. response:	Don't make a ruckus.
context: Excuse me. Is there a curry pork bun?\Eat your dinner properly.\Hey, you guys come and eat, too.\Thanks.\We're all on the same team.\Kageyama, after you're done eating, could I ask you something?\Sure.\Don't make a ruckus. response:	I was wondering about Hinata's position for the upcoming practice match.
context: Eat your dinner properly.\Hey, you guys come and eat, too.\Thanks.\We're all on the same team.\Kageyama, after you're done eating, could I ask you something?\Sure.\Don't make a ruckus.\I was wondering about Hinata's position for the upcoming practice match. response:	What do you think?
context: Hey, you guys come and eat, too.\Thanks.\We're all on the same team.\Kageyama, after you're done eating, could I ask you something?\Sure.\Don't make a ruckus.\I was wondering about Hinata's position for the upcoming practice match.\What do you think? response:	Now, concerning the positions for the practice match...
context: Thanks.\We're all on the same team.\Kageyama, after you're done eating, could I ask you something?\Sure.\Don't make a ruckus.\I was wondering about Hinata's position for the upcoming practice match.\What do you think?\Now, concerning the positions for the practice match... response:	I think this is how we'll do it.
context: We're all on the same team.\Kageyama, after you're done eating, could I ask you something?\Sure.\Don't make a ruckus.\I was wondering about Hinata's position for the upcoming practice match.\What do you think?\Now, concerning the positions for the practice match...\I think this is how we'll do it. response:	WS Tanaka MB Hinata WS Sawamura
