context: Inuyasha at last broke through Naraku's barrier! response:	But before he could render the final blow,
context: Demon?!\Did it appear from Naraku's castle?!\Naraku's...castle?\You don't know because you've been in the mountains with the elder.\Just recently, our comrades in the north and east were killed.\And the one behind it is a demon named Naraku!\Koga has been looking for Naraku to get revenge.\I didn't... response:	It's coming again!
context: Did it appear from Naraku's castle?!\Naraku's...castle?\You don't know because you've been in the mountains with the elder.\Just recently, our comrades in the north and east were killed.\And the one behind it is a demon named Naraku!\Koga has been looking for Naraku to get revenge.\I didn't...\It's coming again! response:	Huh?
context: Naraku's...castle?\You don't know because you've been in the mountains with the elder.\Just recently, our comrades in the north and east were killed.\And the one behind it is a demon named Naraku!\Koga has been looking for Naraku to get revenge.\I didn't...\It's coming again!\Huh? response:	What's the matter, Kagome?
context: You don't know because you've been in the mountains with the elder.\Just recently, our comrades in the north and east were killed.\And the one behind it is a demon named Naraku!\Koga has been looking for Naraku to get revenge.\I didn't...\It's coming again!\Huh?\What's the matter, Kagome? response:	I sense the Sacred Jewel.
context: Just recently, our comrades in the north and east were killed.\And the one behind it is a demon named Naraku!\Koga has been looking for Naraku to get revenge.\I didn't...\It's coming again!\Huh?\What's the matter, Kagome?\I sense the Sacred Jewel. response:	Huh?
context: And the one behind it is a demon named Naraku!\Koga has been looking for Naraku to get revenge.\I didn't...\It's coming again!\Huh?\What's the matter, Kagome?\I sense the Sacred Jewel.\Huh? response:	That whirlwind!
context: Koga has been looking for Naraku to get revenge.\I didn't...\It's coming again!\Huh?\What's the matter, Kagome?\I sense the Sacred Jewel.\Huh?\That whirlwind! response:	He's upset already.
context: I didn't...\It's coming again!\Huh?\What's the matter, Kagome?\I sense the Sacred Jewel.\Huh?\That whirlwind!\He's upset already. response:	That Koga! Coming here to flirt with Kagome again!
context: It's coming again!\Huh?\What's the matter, Kagome?\I sense the Sacred Jewel.\Huh?\That whirlwind!\He's upset already.\That Koga! Coming here to flirt with Kagome again! response:	Inuyasha!
context: Huh?\What's the matter, Kagome?\I sense the Sacred Jewel.\Huh?\That whirlwind!\He's upset already.\That Koga! Coming here to flirt with Kagome again!\Inuyasha! response:	Koga...!
context: What's the matter, Kagome?\I sense the Sacred Jewel.\Huh?\That whirlwind!\He's upset already.\That Koga! Coming here to flirt with Kagome again!\Inuyasha!\Koga...! response:	Koga!
context: I sense the Sacred Jewel.\Huh?\That whirlwind!\He's upset already.\That Koga! Coming here to flirt with Kagome again!\Inuyasha!\Koga...!\Koga! response:	Hey Kagome! How've you been?
context: Huh?\That whirlwind!\He's upset already.\That Koga! Coming here to flirt with Kagome again!\Inuyasha!\Koga...!\Koga!\Hey Kagome! How've you been? response:	Umm...
context: That whirlwind!\He's upset already.\That Koga! Coming here to flirt with Kagome again!\Inuyasha!\Koga...!\Koga!\Hey Kagome! How've you been?\Umm... response:	Hey mutt! Where's Naraku?'Fess up!
context: He's upset already.\That Koga! Coming here to flirt with Kagome again!\Inuyasha!\Koga...!\Koga!\Hey Kagome! How've you been?\Umm...\Hey mutt! Where's Naraku?'Fess up! response:	Is that your business here, Wolf?
context: That Koga! Coming here to flirt with Kagome again!\Inuyasha!\Koga...!\Koga!\Hey Kagome! How've you been?\Umm...\Hey mutt! Where's Naraku?'Fess up!\Is that your business here, Wolf? response:	What else?
context: Inuyasha!\Koga...!\Koga!\Hey Kagome! How've you been?\Umm...\Hey mutt! Where's Naraku?'Fess up!\Is that your business here, Wolf?\What else? response:	Then quit flirting around with Kagome!
context: Koga...!\Koga!\Hey Kagome! How've you been?\Umm...\Hey mutt! Where's Naraku?'Fess up!\Is that your business here, Wolf?\What else?\Then quit flirting around with Kagome! response:	Just answer my question, stupid!
context: Koga!\Hey Kagome! How've you been?\Umm...\Hey mutt! Where's Naraku?'Fess up!\Is that your business here, Wolf?\What else?\Then quit flirting around with Kagome!\Just answer my question, stupid! response:	We're still looking for Naraku, too.
context: Hey Kagome! How've you been?\Umm...\Hey mutt! Where's Naraku?'Fess up!\Is that your business here, Wolf?\What else?\Then quit flirting around with Kagome!\Just answer my question, stupid!\We're still looking for Naraku, too. response:	That's what I don't understand.
context: Umm...\Hey mutt! Where's Naraku?'Fess up!\Is that your business here, Wolf?\What else?\Then quit flirting around with Kagome!\Just answer my question, stupid!\We're still looking for Naraku, too.\That's what I don't understand. response:	Why did Naraku abandon his castle and run?
context: Hey mutt! Where's Naraku?'Fess up!\Is that your business here, Wolf?\What else?\Then quit flirting around with Kagome!\Just answer my question, stupid!\We're still looking for Naraku, too.\That's what I don't understand.\Why did Naraku abandon his castle and run? response:	Wanna know, Wolf?
context: Is that your business here, Wolf?\What else?\Then quit flirting around with Kagome!\Just answer my question, stupid!\We're still looking for Naraku, too.\That's what I don't understand.\Why did Naraku abandon his castle and run?\Wanna know, Wolf? response:	It's'cuz I busted through Naraku's barrier!
context: What else?\Then quit flirting around with Kagome!\Just answer my question, stupid!\We're still looking for Naraku, too.\That's what I don't understand.\Why did Naraku abandon his castle and run?\Wanna know, Wolf?\It's'cuz I busted through Naraku's barrier! response:	With my Tetsusaiga!
context: Then quit flirting around with Kagome!\Just answer my question, stupid!\We're still looking for Naraku, too.\That's what I don't understand.\Why did Naraku abandon his castle and run?\Wanna know, Wolf?\It's'cuz I busted through Naraku's barrier!\With my Tetsusaiga! response:	More than shocked! You got that close, and you let Naraku escape?!
context: Just answer my question, stupid!\We're still looking for Naraku, too.\That's what I don't understand.\Why did Naraku abandon his castle and run?\Wanna know, Wolf?\It's'cuz I busted through Naraku's barrier!\With my Tetsusaiga!\More than shocked! You got that close, and you let Naraku escape?! response:	Stupid fool!
context: We're still looking for Naraku, too.\That's what I don't understand.\Why did Naraku abandon his castle and run?\Wanna know, Wolf?\It's'cuz I busted through Naraku's barrier!\With my Tetsusaiga!\More than shocked! You got that close, and you let Naraku escape?!\Stupid fool! response:	What a shame!
context: That's what I don't understand.\Why did Naraku abandon his castle and run?\Wanna know, Wolf?\It's'cuz I busted through Naraku's barrier!\With my Tetsusaiga!\More than shocked! You got that close, and you let Naraku escape?!\Stupid fool!\What a shame! response:	If I had been there, I'd have destroyed Naraku!
context: Why did Naraku abandon his castle and run?\Wanna know, Wolf?\It's'cuz I busted through Naraku's barrier!\With my Tetsusaiga!\More than shocked! You got that close, and you let Naraku escape?!\Stupid fool!\What a shame!\If I had been there, I'd have destroyed Naraku! response:	Why you...! If I let you go on...!
context: Wanna know, Wolf?\It's'cuz I busted through Naraku's barrier!\With my Tetsusaiga!\More than shocked! You got that close, and you let Naraku escape?!\Stupid fool!\What a shame!\If I had been there, I'd have destroyed Naraku!\Why you...! If I let you go on...! response:	Inuyasha! Calm down!
context: It's'cuz I busted through Naraku's barrier!\With my Tetsusaiga!\More than shocked! You got that close, and you let Naraku escape?!\Stupid fool!\What a shame!\If I had been there, I'd have destroyed Naraku!\Why you...! If I let you go on...!\Inuyasha! Calm down! response:	Jumping to dumb conclusions...!
context: With my Tetsusaiga!\More than shocked! You got that close, and you let Naraku escape?!\Stupid fool!\What a shame!\If I had been there, I'd have destroyed Naraku!\Why you...! If I let you go on...!\Inuyasha! Calm down!\Jumping to dumb conclusions...! response:	I'll get'im!
context: More than shocked! You got that close, and you let Naraku escape?!\Stupid fool!\What a shame!\If I had been there, I'd have destroyed Naraku!\Why you...! If I let you go on...!\Inuyasha! Calm down!\Jumping to dumb conclusions...!\I'll get'im! response:	A miasma...
context: Stupid fool!\What a shame!\If I had been there, I'd have destroyed Naraku!\Why you...! If I let you go on...!\Inuyasha! Calm down!\Jumping to dumb conclusions...!\I'll get'im!\A miasma... response:	It's Naraku's scent!
context: What a shame!\If I had been there, I'd have destroyed Naraku!\Why you...! If I let you go on...!\Inuyasha! Calm down!\Jumping to dumb conclusions...!\I'll get'im!\A miasma...\It's Naraku's scent! response:	Koga!
context: If I had been there, I'd have destroyed Naraku!\Why you...! If I let you go on...!\Inuyasha! Calm down!\Jumping to dumb conclusions...!\I'll get'im!\A miasma...\It's Naraku's scent!\Koga! response:	There's something weird...
context: Why you...! If I let you go on...!\Inuyasha! Calm down!\Jumping to dumb conclusions...!\I'll get'im!\A miasma...\It's Naraku's scent!\Koga!\There's something weird... response:	coming from Naraku's castle!
context: Inuyasha! Calm down!\Jumping to dumb conclusions...!\I'll get'im!\A miasma...\It's Naraku's scent!\Koga!\There's something weird...\coming from Naraku's castle! response:	Huh?
context: Jumping to dumb conclusions...!\I'll get'im!\A miasma...\It's Naraku's scent!\Koga!\There's something weird...\coming from Naraku's castle!\Huh? response:	What the...!
context: I'll get'im!\A miasma...\It's Naraku's scent!\Koga!\There's something weird...\coming from Naraku's castle!\Huh?\What the...! response:	It's huge!
context: A miasma...\It's Naraku's scent!\Koga!\There's something weird...\coming from Naraku's castle!\Huh?\What the...!\It's huge! response:	W-What is it?!
context: It's Naraku's scent!\Koga!\There's something weird...\coming from Naraku's castle!\Huh?\What the...!\It's huge!\W-What is it?! response:	Another incarnation of Naraku?
context: Koga!\There's something weird...\coming from Naraku's castle!\Huh?\What the...!\It's huge!\W-What is it?!\Another incarnation of Naraku? response:	It's a Hair Demon?!
context: There's something weird...\coming from Naraku's castle!\Huh?\What the...!\It's huge!\W-What is it?!\Another incarnation of Naraku?\It's a Hair Demon?! response:	That's what was in the castle?
context: coming from Naraku's castle!\Huh?\What the...!\It's huge!\W-What is it?!\Another incarnation of Naraku?\It's a Hair Demon?!\That's what was in the castle? response:	No mistake about it! Ayame saw it.
context: Huh?\What the...!\It's huge!\W-What is it?!\Another incarnation of Naraku?\It's a Hair Demon?!\That's what was in the castle?\No mistake about it! Ayame saw it. response:	Ayame? She was with you?
context: What the...!\It's huge!\W-What is it?!\Another incarnation of Naraku?\It's a Hair Demon?!\That's what was in the castle?\No mistake about it! Ayame saw it.\Ayame? She was with you? response:	Where is she?
context: It's huge!\W-What is it?!\Another incarnation of Naraku?\It's a Hair Demon?!\That's what was in the castle?\No mistake about it! Ayame saw it.\Ayame? She was with you?\Where is she? response:	I dunno!
context: W-What is it?!\Another incarnation of Naraku?\It's a Hair Demon?!\That's what was in the castle?\No mistake about it! Ayame saw it.\Ayame? She was with you?\Where is she?\I dunno! response:	We got separated when we started running.
context: Another incarnation of Naraku?\It's a Hair Demon?!\That's what was in the castle?\No mistake about it! Ayame saw it.\Ayame? She was with you?\Where is she?\I dunno!\We got separated when we started running. response:	What's going on?
context: It's a Hair Demon?!\That's what was in the castle?\No mistake about it! Ayame saw it.\Ayame? She was with you?\Where is she?\I dunno!\We got separated when we started running.\What's going on? response:	Why didn't I sense this demon sooner?
context: That's what was in the castle?\No mistake about it! Ayame saw it.\Ayame? She was with you?\Where is she?\I dunno!\We got separated when we started running.\What's going on?\Why didn't I sense this demon sooner? response:	Sacred Jewel shards...
context: No mistake about it! Ayame saw it.\Ayame? She was with you?\Where is she?\I dunno!\We got separated when we started running.\What's going on?\Why didn't I sense this demon sooner?\Sacred Jewel shards... response:	Kagome, stay back!
context: Ayame? She was with you?\Where is she?\I dunno!\We got separated when we started running.\What's going on?\Why didn't I sense this demon sooner?\Sacred Jewel shards...\Kagome, stay back! response:	This pile of hair is after you!
context: Where is she?\I dunno!\We got separated when we started running.\What's going on?\Why didn't I sense this demon sooner?\Sacred Jewel shards...\Kagome, stay back!\This pile of hair is after you! response:	All right!
context: I dunno!\We got separated when we started running.\What's going on?\Why didn't I sense this demon sooner?\Sacred Jewel shards...\Kagome, stay back!\This pile of hair is after you!\All right! response:	You're an ugly bastard...
context: We got separated when we started running.\What's going on?\Why didn't I sense this demon sooner?\Sacred Jewel shards...\Kagome, stay back!\This pile of hair is after you!\All right!\You're an ugly bastard... response:	but it looks like you can talk!
context: What's going on?\Why didn't I sense this demon sooner?\Sacred Jewel shards...\Kagome, stay back!\This pile of hair is after you!\All right!\You're an ugly bastard...\but it looks like you can talk! response:	Why you...!
context: Why didn't I sense this demon sooner?\Sacred Jewel shards...\Kagome, stay back!\This pile of hair is after you!\All right!\You're an ugly bastard...\but it looks like you can talk!\Why you...! response:	Such brute strength!
context: Sacred Jewel shards...\Kagome, stay back!\This pile of hair is after you!\All right!\You're an ugly bastard...\but it looks like you can talk!\Why you...!\Such brute strength! response:	Answer me! Where is Naraku?!
context: Kagome, stay back!\This pile of hair is after you!\All right!\You're an ugly bastard...\but it looks like you can talk!\Why you...!\Such brute strength!\Answer me! Where is Naraku?! response:	Kagome!
context: This pile of hair is after you!\All right!\You're an ugly bastard...\but it looks like you can talk!\Why you...!\Such brute strength!\Answer me! Where is Naraku?!\Kagome! response:	Mutt! You can take care of the demon!
context: All right!\You're an ugly bastard...\but it looks like you can talk!\Why you...!\Such brute strength!\Answer me! Where is Naraku?!\Kagome!\Mutt! You can take care of the demon! response:	I'll take Kagome to a safe place!
context: You're an ugly bastard...\but it looks like you can talk!\Why you...!\Such brute strength!\Answer me! Where is Naraku?!\Kagome!\Mutt! You can take care of the demon!\I'll take Kagome to a safe place! response:	Hey!
context: but it looks like you can talk!\Why you...!\Such brute strength!\Answer me! Where is Naraku?!\Kagome!\Mutt! You can take care of the demon!\I'll take Kagome to a safe place!\Hey! response:	Why you...! The nerve!
context: Why you...!\Such brute strength!\Answer me! Where is Naraku?!\Kagome!\Mutt! You can take care of the demon!\I'll take Kagome to a safe place!\Hey!\Why you...! The nerve! response:	It fell?
context: Such brute strength!\Answer me! Where is Naraku?!\Kagome!\Mutt! You can take care of the demon!\I'll take Kagome to a safe place!\Hey!\Why you...! The nerve!\It fell? response:	Damn it!
context: Answer me! Where is Naraku?!\Kagome!\Mutt! You can take care of the demon!\I'll take Kagome to a safe place!\Hey!\Why you...! The nerve!\It fell?\Damn it! response:	It wasn't too strong for a demon created by Naraku.
context: Kagome!\Mutt! You can take care of the demon!\I'll take Kagome to a safe place!\Hey!\Why you...! The nerve!\It fell?\Damn it!\It wasn't too strong for a demon created by Naraku. response:	No, it went over on purpose.
context: Mutt! You can take care of the demon!\I'll take Kagome to a safe place!\Hey!\Why you...! The nerve!\It fell?\Damn it!\It wasn't too strong for a demon created by Naraku.\No, it went over on purpose. response:	Its goal is the Sacred Jewel shards.
context: I'll take Kagome to a safe place!\Hey!\Why you...! The nerve!\It fell?\Damn it!\It wasn't too strong for a demon created by Naraku.\No, it went over on purpose.\Its goal is the Sacred Jewel shards. response:	Hey Koga!
context: Hey!\Why you...! The nerve!\It fell?\Damn it!\It wasn't too strong for a demon created by Naraku.\No, it went over on purpose.\Its goal is the Sacred Jewel shards.\Hey Koga! response:	Where're you taking me?
context: Why you...! The nerve!\It fell?\Damn it!\It wasn't too strong for a demon created by Naraku.\No, it went over on purpose.\Its goal is the Sacred Jewel shards.\Hey Koga!\Where're you taking me? response:	Where? Someplace where the demon won't come after us.
context: It fell?\Damn it!\It wasn't too strong for a demon created by Naraku.\No, it went over on purpose.\Its goal is the Sacred Jewel shards.\Hey Koga!\Where're you taking me?\Where? Someplace where the demon won't come after us. response:	Koga!
context: Damn it!\It wasn't too strong for a demon created by Naraku.\No, it went over on purpose.\Its goal is the Sacred Jewel shards.\Hey Koga!\Where're you taking me?\Where? Someplace where the demon won't come after us.\Koga! response:	Ayame!
context: It wasn't too strong for a demon created by Naraku.\No, it went over on purpose.\Its goal is the Sacred Jewel shards.\Hey Koga!\Where're you taking me?\Where? Someplace where the demon won't come after us.\Koga!\Ayame! response:	Ayame?
context: No, it went over on purpose.\Its goal is the Sacred Jewel shards.\Hey Koga!\Where're you taking me?\Where? Someplace where the demon won't come after us.\Koga!\Ayame!\Ayame? response:	That's a mortal woman!
context: Its goal is the Sacred Jewel shards.\Hey Koga!\Where're you taking me?\Where? Someplace where the demon won't come after us.\Koga!\Ayame!\Ayame?\That's a mortal woman! response:	Just what are you doing?!
context: Hey Koga!\Where're you taking me?\Where? Someplace where the demon won't come after us.\Koga!\Ayame!\Ayame?\That's a mortal woman!\Just what are you doing?! response:	I don't have time to explain to you!
context: Where're you taking me?\Where? Someplace where the demon won't come after us.\Koga!\Ayame!\Ayame?\That's a mortal woman!\Just what are you doing?!\I don't have time to explain to you! response:	Kagome, run.
context: Where? Someplace where the demon won't come after us.\Koga!\Ayame!\Ayame?\That's a mortal woman!\Just what are you doing?!\I don't have time to explain to you!\Kagome, run. response:	Kagome?!
context: Koga!\Ayame!\Ayame?\That's a mortal woman!\Just what are you doing?!\I don't have time to explain to you!\Kagome, run.\Kagome?! response:	Kagome...That's the fiancee you mentioned!
context: Ayame!\Ayame?\That's a mortal woman!\Just what are you doing?!\I don't have time to explain to you!\Kagome, run.\Kagome?!\Kagome...That's the fiancee you mentioned! response:	F-Fiancee?
context: Ayame?\That's a mortal woman!\Just what are you doing?!\I don't have time to explain to you!\Kagome, run.\Kagome?!\Kagome...That's the fiancee you mentioned!\F-Fiancee? response:	Whose?
context: That's a mortal woman!\Just what are you doing?!\I don't have time to explain to you!\Kagome, run.\Kagome?!\Kagome...That's the fiancee you mentioned!\F-Fiancee?\Whose? response:	My Koga's!
context: Just what are you doing?!\I don't have time to explain to you!\Kagome, run.\Kagome?!\Kagome...That's the fiancee you mentioned!\F-Fiancee?\Whose?\My Koga's! response:	Koga?! Why'd you say that?!
context: I don't have time to explain to you!\Kagome, run.\Kagome?!\Kagome...That's the fiancee you mentioned!\F-Fiancee?\Whose?\My Koga's!\Koga?! Why'd you say that?! response:	It's only natural since I love you!
context: Kagome, run.\Kagome?!\Kagome...That's the fiancee you mentioned!\F-Fiancee?\Whose?\My Koga's!\Koga?! Why'd you say that?!\It's only natural since I love you! response:	Don't just decide things like that!
context: Kagome?!\Kagome...That's the fiancee you mentioned!\F-Fiancee?\Whose?\My Koga's!\Koga?! Why'd you say that?!\It's only natural since I love you!\Don't just decide things like that! response:	Koga is my fiance!
context: Kagome...That's the fiancee you mentioned!\F-Fiancee?\Whose?\My Koga's!\Koga?! Why'd you say that?!\It's only natural since I love you!\Don't just decide things like that!\Koga is my fiance! response:	You can drop dead!
context: F-Fiancee?\Whose?\My Koga's!\Koga?! Why'd you say that?!\It's only natural since I love you!\Don't just decide things like that!\Koga is my fiance!\You can drop dead! response:	As if you can use your tricks on me!
context: Whose?\My Koga's!\Koga?! Why'd you say that?!\It's only natural since I love you!\Don't just decide things like that!\Koga is my fiance!\You can drop dead!\As if you can use your tricks on me! response:	Keep it up, and I'll get serious!
context: My Koga's!\Koga?! Why'd you say that?!\It's only natural since I love you!\Don't just decide things like that!\Koga is my fiance!\You can drop dead!\As if you can use your tricks on me!\Keep it up, and I'll get serious! response:	Falling in love with a mortal!
context: Koga?! Why'd you say that?!\It's only natural since I love you!\Don't just decide things like that!\Koga is my fiance!\You can drop dead!\As if you can use your tricks on me!\Keep it up, and I'll get serious!\Falling in love with a mortal! response:	Where's your Wolf-Demon Tribe pride?!
context: It's only natural since I love you!\Don't just decide things like that!\Koga is my fiance!\You can drop dead!\As if you can use your tricks on me!\Keep it up, and I'll get serious!\Falling in love with a mortal!\Where's your Wolf-Demon Tribe pride?! response:	Shut up! I love Kagome!
context: Don't just decide things like that!\Koga is my fiance!\You can drop dead!\As if you can use your tricks on me!\Keep it up, and I'll get serious!\Falling in love with a mortal!\Where's your Wolf-Demon Tribe pride?!\Shut up! I love Kagome! response:	You have no right to tell me anything!
context: Koga is my fiance!\You can drop dead!\As if you can use your tricks on me!\Keep it up, and I'll get serious!\Falling in love with a mortal!\Where's your Wolf-Demon Tribe pride?!\Shut up! I love Kagome!\You have no right to tell me anything! response:	Ka-go-me?!
context: You can drop dead!\As if you can use your tricks on me!\Keep it up, and I'll get serious!\Falling in love with a mortal!\Where's your Wolf-Demon Tribe pride?!\Shut up! I love Kagome!\You have no right to tell me anything!\Ka-go-me?! response:	Err... Yes?
context: As if you can use your tricks on me!\Keep it up, and I'll get serious!\Falling in love with a mortal!\Where's your Wolf-Demon Tribe pride?!\Shut up! I love Kagome!\You have no right to tell me anything!\Ka-go-me?!\Err... Yes? response:	I don't like it!
context: Keep it up, and I'll get serious!\Falling in love with a mortal!\Where's your Wolf-Demon Tribe pride?!\Shut up! I love Kagome!\You have no right to tell me anything!\Ka-go-me?!\Err... Yes?\I don't like it! response:	Huh?
context: Falling in love with a mortal!\Where's your Wolf-Demon Tribe pride?!\Shut up! I love Kagome!\You have no right to tell me anything!\Ka-go-me?!\Err... Yes?\I don't like it!\Huh? response:	It sounds like my name!
context: Where's your Wolf-Demon Tribe pride?!\Shut up! I love Kagome!\You have no right to tell me anything!\Ka-go-me?!\Err... Yes?\I don't like it!\Huh?\It sounds like my name! response:	Only the final syllable me.
context: Shut up! I love Kagome!\You have no right to tell me anything!\Ka-go-me?!\Err... Yes?\I don't like it!\Huh?\It sounds like my name!\Only the final syllable me. response:	Even if you want to marry that girl,
context: You have no right to tell me anything!\Ka-go-me?!\Err... Yes?\I don't like it!\Huh?\It sounds like my name!\Only the final syllable me.\Even if you want to marry that girl, response:	you can't go against the tribe's code!
context: Ka-go-me?!\Err... Yes?\I don't like it!\Huh?\It sounds like my name!\Only the final syllable me.\Even if you want to marry that girl,\you can't go against the tribe's code! response:	A code made up by the elders!
context: Err... Yes?\I don't like it!\Huh?\It sounds like my name!\Only the final syllable me.\Even if you want to marry that girl,\you can't go against the tribe's code!\A code made up by the elders! response:	When did I ever say I'd marry you?!
context: I don't like it!\Huh?\It sounds like my name!\Only the final syllable me.\Even if you want to marry that girl,\you can't go against the tribe's code!\A code made up by the elders!\When did I ever say I'd marry you?! response:	You...
context: Huh?\It sounds like my name!\Only the final syllable me.\Even if you want to marry that girl,\you can't go against the tribe's code!\A code made up by the elders!\When did I ever say I'd marry you?!\You... response:	promised me...
context: It sounds like my name!\Only the final syllable me.\Even if you want to marry that girl,\you can't go against the tribe's code!\A code made up by the elders!\When did I ever say I'd marry you?!\You...\promised me... response:	on the night of the lunar rainbow...
context: Only the final syllable me.\Even if you want to marry that girl,\you can't go against the tribe's code!\A code made up by the elders!\When did I ever say I'd marry you?!\You...\promised me...\on the night of the lunar rainbow... response:	Don't you remember?
context: Even if you want to marry that girl,\you can't go against the tribe's code!\A code made up by the elders!\When did I ever say I'd marry you?!\You...\promised me...\on the night of the lunar rainbow...\Don't you remember? response:	Lunar rainbow?
context: you can't go against the tribe's code!\A code made up by the elders!\When did I ever say I'd marry you?!\You...\promised me...\on the night of the lunar rainbow...\Don't you remember?\Lunar rainbow? response:	But the moon appears at night...
context: A code made up by the elders!\When did I ever say I'd marry you?!\You...\promised me...\on the night of the lunar rainbow...\Don't you remember?\Lunar rainbow?\But the moon appears at night... response:	Do rainbows come out at night?
context: When did I ever say I'd marry you?!\You...\promised me...\on the night of the lunar rainbow...\Don't you remember?\Lunar rainbow?\But the moon appears at night...\Do rainbows come out at night? response:	It was when I was still a child...
context: You...\promised me...\on the night of the lunar rainbow...\Don't you remember?\Lunar rainbow?\But the moon appears at night...\Do rainbows come out at night?\It was when I was still a child... response:	During the training Gramps had instructed me to do...
context: promised me...\on the night of the lunar rainbow...\Don't you remember?\Lunar rainbow?\But the moon appears at night...\Do rainbows come out at night?\It was when I was still a child...\During the training Gramps had instructed me to do... response:	I got lost near the nest of the Birds of Paradise demons.
context: on the night of the lunar rainbow...\Don't you remember?\Lunar rainbow?\But the moon appears at night...\Do rainbows come out at night?\It was when I was still a child...\During the training Gramps had instructed me to do...\I got lost near the nest of the Birds of Paradise demons. response:	I was about to be devoured.
context: Don't you remember?\Lunar rainbow?\But the moon appears at night...\Do rainbows come out at night?\It was when I was still a child...\During the training Gramps had instructed me to do...\I got lost near the nest of the Birds of Paradise demons.\I was about to be devoured. response:	Hey... Come with me.
context: Lunar rainbow?\But the moon appears at night...\Do rainbows come out at night?\It was when I was still a child...\During the training Gramps had instructed me to do...\I got lost near the nest of the Birds of Paradise demons.\I was about to be devoured.\Hey... Come with me. response:	Huh?
context: But the moon appears at night...\Do rainbows come out at night?\It was when I was still a child...\During the training Gramps had instructed me to do...\I got lost near the nest of the Birds of Paradise demons.\I was about to be devoured.\Hey... Come with me.\Huh? response:	The elder is worried.
context: Do rainbows come out at night?\It was when I was still a child...\During the training Gramps had instructed me to do...\I got lost near the nest of the Birds of Paradise demons.\I was about to be devoured.\Hey... Come with me.\Huh?\The elder is worried. response:	It must not be easy being the elder's granddaughter.
context: It was when I was still a child...\During the training Gramps had instructed me to do...\I got lost near the nest of the Birds of Paradise demons.\I was about to be devoured.\Hey... Come with me.\Huh?\The elder is worried.\It must not be easy being the elder's granddaughter. response:	Is he going to the northern mountains, too?
context: During the training Gramps had instructed me to do...\I got lost near the nest of the Birds of Paradise demons.\I was about to be devoured.\Hey... Come with me.\Huh?\The elder is worried.\It must not be easy being the elder's granddaughter.\Is he going to the northern mountains, too? response:	Uh-huh... He said he would train me there.
context: I got lost near the nest of the Birds of Paradise demons.\I was about to be devoured.\Hey... Come with me.\Huh?\The elder is worried.\It must not be easy being the elder's granddaughter.\Is he going to the northern mountains, too?\Uh-huh... He said he would train me there. response:	Hmm... I see.
context: I was about to be devoured.\Hey... Come with me.\Huh?\The elder is worried.\It must not be easy being the elder's granddaughter.\Is he going to the northern mountains, too?\Uh-huh... He said he would train me there.\Hmm... I see. response:	You're going to use that flower in training?
context: Hey... Come with me.\Huh?\The elder is worried.\It must not be easy being the elder's granddaughter.\Is he going to the northern mountains, too?\Uh-huh... He said he would train me there.\Hmm... I see.\You're going to use that flower in training? response:	Uh-huh.
context: Huh?\The elder is worried.\It must not be easy being the elder's granddaughter.\Is he going to the northern mountains, too?\Uh-huh... He said he would train me there.\Hmm... I see.\You're going to use that flower in training?\Uh-huh. response:	It has the same name as me...
context: The elder is worried.\It must not be easy being the elder's granddaughter.\Is he going to the northern mountains, too?\Uh-huh... He said he would train me there.\Hmm... I see.\You're going to use that flower in training?\Uh-huh.\It has the same name as me... response:	so I'm taking it to the mountains, too.
context: It must not be easy being the elder's granddaughter.\Is he going to the northern mountains, too?\Uh-huh... He said he would train me there.\Hmm... I see.\You're going to use that flower in training?\Uh-huh.\It has the same name as me...\so I'm taking it to the mountains, too. response:	- Umm... - Huh?
context: Is he going to the northern mountains, too?\Uh-huh... He said he would train me there.\Hmm... I see.\You're going to use that flower in training?\Uh-huh.\It has the same name as me...\so I'm taking it to the mountains, too.\- Umm... - Huh? response:	Thank you for saving me.
context: Uh-huh... He said he would train me there.\Hmm... I see.\You're going to use that flower in training?\Uh-huh.\It has the same name as me...\so I'm taking it to the mountains, too.\- Umm... - Huh?\Thank you for saving me. response:	Don't overdo it.
context: Hmm... I see.\You're going to use that flower in training?\Uh-huh.\It has the same name as me...\so I'm taking it to the mountains, too.\- Umm... - Huh?\Thank you for saving me.\Don't overdo it. response:	If it gets too hard, I'll make you my wife, Ayame.
context: You're going to use that flower in training?\Uh-huh.\It has the same name as me...\so I'm taking it to the mountains, too.\- Umm... - Huh?\Thank you for saving me.\Don't overdo it.\If it gets too hard, I'll make you my wife, Ayame. response:	Really?
context: Uh-huh.\It has the same name as me...\so I'm taking it to the mountains, too.\- Umm... - Huh?\Thank you for saving me.\Don't overdo it.\If it gets too hard, I'll make you my wife, Ayame.\Really? response:	Yeah, when you come down from the mountains.
context: It has the same name as me...\so I'm taking it to the mountains, too.\- Umm... - Huh?\Thank you for saving me.\Don't overdo it.\If it gets too hard, I'll make you my wife, Ayame.\Really?\Yeah, when you come down from the mountains. response:	Look...
context: so I'm taking it to the mountains, too.\- Umm... - Huh?\Thank you for saving me.\Don't overdo it.\If it gets too hard, I'll make you my wife, Ayame.\Really?\Yeah, when you come down from the mountains.\Look... response:	A rainbow.
context: - Umm... - Huh?\Thank you for saving me.\Don't overdo it.\If it gets too hard, I'll make you my wife, Ayame.\Really?\Yeah, when you come down from the mountains.\Look...\A rainbow. response:	A lunar rainbow!
