context: I was simply entranced by that outfit's beauty. response:	This will be your wedding dress.
context: Thanks for the save, Inumuta.\It was your decision to stop at the test-fitting stage.\All I did was unravel those threads.\Still, I'm not sure we could have beaten him if a\Three-Star like you hadn't been here.\Simply by increasing the Life Fiber count to 50,\control is lost to this extent.\It's hard to believe that some are able to wear Kamui, response:	which are entirely composed of Life Fibers.
context: It was your decision to stop at the test-fitting stage.\All I did was unravel those threads.\Still, I'm not sure we could have beaten him if a\Three-Star like you hadn't been here.\Simply by increasing the Life Fiber count to 50,\control is lost to this extent.\It's hard to believe that some are able to wear Kamui,\which are entirely composed of Life Fibers. response:	However, if that Matoi girl's uniform is a Kamui, then...
context: All I did was unravel those threads.\Still, I'm not sure we could have beaten him if a\Three-Star like you hadn't been here.\Simply by increasing the Life Fiber count to 50,\control is lost to this extent.\It's hard to believe that some are able to wear Kamui,\which are entirely composed of Life Fibers.\However, if that Matoi girl's uniform is a Kamui, then... response:	KIRYUIN MANOR
context: Still, I'm not sure we could have beaten him if a\Three-Star like you hadn't been here.\Simply by increasing the Life Fiber count to 50,\control is lost to this extent.\It's hard to believe that some are able to wear Kamui,\which are entirely composed of Life Fibers.\However, if that Matoi girl's uniform is a Kamui, then...\KIRYUIN MANOR response:	Then Lady Satsuki is sure to take action.
context: Three-Star like you hadn't been here.\Simply by increasing the Life Fiber count to 50,\control is lost to this extent.\It's hard to believe that some are able to wear Kamui,\which are entirely composed of Life Fibers.\However, if that Matoi girl's uniform is a Kamui, then...\KIRYUIN MANOR\Then Lady Satsuki is sure to take action. response:	SAME, CORRIDOR
context: Simply by increasing the Life Fiber count to 50,\control is lost to this extent.\It's hard to believe that some are able to wear Kamui,\which are entirely composed of Life Fibers.\However, if that Matoi girl's uniform is a Kamui, then...\KIRYUIN MANOR\Then Lady Satsuki is sure to take action.\SAME, CORRIDOR response:	Please wait, Milady!
context: control is lost to this extent.\It's hard to believe that some are able to wear Kamui,\which are entirely composed of Life Fibers.\However, if that Matoi girl's uniform is a Kamui, then...\KIRYUIN MANOR\Then Lady Satsuki is sure to take action.\SAME, CORRIDOR\Please wait, Milady! response:	I can't allow anyone past here, not even you!
context: It's hard to believe that some are able to wear Kamui,\which are entirely composed of Life Fibers.\However, if that Matoi girl's uniform is a Kamui, then...\KIRYUIN MANOR\Then Lady Satsuki is sure to take action.\SAME, CORRIDOR\Please wait, Milady!\I can't allow anyone past here, not even you! response:	Stand aside.
context: which are entirely composed of Life Fibers.\However, if that Matoi girl's uniform is a Kamui, then...\KIRYUIN MANOR\Then Lady Satsuki is sure to take action.\SAME, CORRIDOR\Please wait, Milady!\I can't allow anyone past here, not even you!\Stand aside. response:	We can't do that, Milady.
context: However, if that Matoi girl's uniform is a Kamui, then...\KIRYUIN MANOR\Then Lady Satsuki is sure to take action.\SAME, CORRIDOR\Please wait, Milady!\I can't allow anyone past here, not even you!\Stand aside.\We can't do that, Milady. response:	I don't have time to waste speaking to fools.
context: KIRYUIN MANOR\Then Lady Satsuki is sure to take action.\SAME, CORRIDOR\Please wait, Milady!\I can't allow anyone past here, not even you!\Stand aside.\We can't do that, Milady.\I don't have time to waste speaking to fools. response:	SAME, SECRET LABORATORY
context: Then Lady Satsuki is sure to take action.\SAME, CORRIDOR\Please wait, Milady!\I can't allow anyone past here, not even you!\Stand aside.\We can't do that, Milady.\I don't have time to waste speaking to fools.\SAME, SECRET LABORATORY response:	I've come for you, Junketsu.
context: SAME, CORRIDOR\Please wait, Milady!\I can't allow anyone past here, not even you!\Stand aside.\We can't do that, Milady.\I don't have time to waste speaking to fools.\SAME, SECRET LABORATORY\I've come for you, Junketsu. response:	Soroi!
context: Please wait, Milady!\I can't allow anyone past here, not even you!\Stand aside.\We can't do that, Milady.\I don't have time to waste speaking to fools.\SAME, SECRET LABORATORY\I've come for you, Junketsu.\Soroi! response:	How could you stand there and allow this to happen?!
context: I can't allow anyone past here, not even you!\Stand aside.\We can't do that, Milady.\I don't have time to waste speaking to fools.\SAME, SECRET LABORATORY\I've come for you, Junketsu.\Soroi!\How could you stand there and allow this to happen?! response:	Well, well, if it isn't Master Kuroido.
context: Stand aside.\We can't do that, Milady.\I don't have time to waste speaking to fools.\SAME, SECRET LABORATORY\I've come for you, Junketsu.\Soroi!\How could you stand there and allow this to happen?!\Well, well, if it isn't Master Kuroido. response:	Lady Satsuki, your mother has expressly
context: We can't do that, Milady.\I don't have time to waste speaking to fools.\SAME, SECRET LABORATORY\I've come for you, Junketsu.\Soroi!\How could you stand there and allow this to happen?!\Well, well, if it isn't Master Kuroido.\Lady Satsuki, your mother has expressly response:	forbidden the removal of that outfit.
context: I don't have time to waste speaking to fools.\SAME, SECRET LABORATORY\I've come for you, Junketsu.\Soroi!\How could you stand there and allow this to happen?!\Well, well, if it isn't Master Kuroido.\Lady Satsuki, your mother has expressly\forbidden the removal of that outfit. response:	Please return it at once.
context: SAME, SECRET LABORATORY\I've come for you, Junketsu.\Soroi!\How could you stand there and allow this to happen?!\Well, well, if it isn't Master Kuroido.\Lady Satsuki, your mother has expressly\forbidden the removal of that outfit.\Please return it at once. response:	I can't do that.
context: I've come for you, Junketsu.\Soroi!\How could you stand there and allow this to happen?!\Well, well, if it isn't Master Kuroido.\Lady Satsuki, your mother has expressly\forbidden the removal of that outfit.\Please return it at once.\I can't do that. response:	This won't do at all.
context: Soroi!\How could you stand there and allow this to happen?!\Well, well, if it isn't Master Kuroido.\Lady Satsuki, your mother has expressly\forbidden the removal of that outfit.\Please return it at once.\I can't do that.\This won't do at all. response:	I am Takiji Kuroido, steward to the Kiryuin family,
context: How could you stand there and allow this to happen?!\Well, well, if it isn't Master Kuroido.\Lady Satsuki, your mother has expressly\forbidden the removal of that outfit.\Please return it at once.\I can't do that.\This won't do at all.\I am Takiji Kuroido, steward to the Kiryuin family, response:	KIRYUIN FAMILY STEWARD TAKIJI KUROIDO
context: Well, well, if it isn't Master Kuroido.\Lady Satsuki, your mother has expressly\forbidden the removal of that outfit.\Please return it at once.\I can't do that.\This won't do at all.\I am Takiji Kuroido, steward to the Kiryuin family,\KIRYUIN FAMILY STEWARD TAKIJI KUROIDO response:	and have been entrusted with the care of this manor in their absence.
context: Lady Satsuki, your mother has expressly\forbidden the removal of that outfit.\Please return it at once.\I can't do that.\This won't do at all.\I am Takiji Kuroido, steward to the Kiryuin family,\KIRYUIN FAMILY STEWARD TAKIJI KUROIDO\and have been entrusted with the care of this manor in their absence. response:	Even if you are the young lady of the house,
context: forbidden the removal of that outfit.\Please return it at once.\I can't do that.\This won't do at all.\I am Takiji Kuroido, steward to the Kiryuin family,\KIRYUIN FAMILY STEWARD TAKIJI KUROIDO\and have been entrusted with the care of this manor in their absence.\Even if you are the young lady of the house, response:	I cannot allow such willful behavior.
context: Please return it at once.\I can't do that.\This won't do at all.\I am Takiji Kuroido, steward to the Kiryuin family,\KIRYUIN FAMILY STEWARD TAKIJI KUROIDO\and have been entrusted with the care of this manor in their absence.\Even if you are the young lady of the house,\I cannot allow such willful behavior. response:	Cannot allow it?
context: I can't do that.\This won't do at all.\I am Takiji Kuroido, steward to the Kiryuin family,\KIRYUIN FAMILY STEWARD TAKIJI KUROIDO\and have been entrusted with the care of this manor in their absence.\Even if you are the young lady of the house,\I cannot allow such willful behavior.\Cannot allow it? response:	Who do you think you are talking to?
context: This won't do at all.\I am Takiji Kuroido, steward to the Kiryuin family,\KIRYUIN FAMILY STEWARD TAKIJI KUROIDO\and have been entrusted with the care of this manor in their absence.\Even if you are the young lady of the house,\I cannot allow such willful behavior.\Cannot allow it?\Who do you think you are talking to? response:	It's time for the lady of the house to get changed.
context: I am Takiji Kuroido, steward to the Kiryuin family,\KIRYUIN FAMILY STEWARD TAKIJI KUROIDO\and have been entrusted with the care of this manor in their absence.\Even if you are the young lady of the house,\I cannot allow such willful behavior.\Cannot allow it?\Who do you think you are talking to?\It's time for the lady of the house to get changed. response:	Leave me, you shameless fool.
context: KIRYUIN FAMILY STEWARD TAKIJI KUROIDO\and have been entrusted with the care of this manor in their absence.\Even if you are the young lady of the house,\I cannot allow such willful behavior.\Cannot allow it?\Who do you think you are talking to?\It's time for the lady of the house to get changed.\Leave me, you shameless fool. response:	Lady Satsuki, surely you don't mean to try to wear the Kamui!
context: and have been entrusted with the care of this manor in their absence.\Even if you are the young lady of the house,\I cannot allow such willful behavior.\Cannot allow it?\Who do you think you are talking to?\It's time for the lady of the house to get changed.\Leave me, you shameless fool.\Lady Satsuki, surely you don't mean to try to wear the Kamui! response:	For me, there is no try.
context: Even if you are the young lady of the house,\I cannot allow such willful behavior.\Cannot allow it?\Who do you think you are talking to?\It's time for the lady of the house to get changed.\Leave me, you shameless fool.\Lady Satsuki, surely you don't mean to try to wear the Kamui!\For me, there is no try. response:	All that I do is an inevitable step to fulfill my ambition.
context: I cannot allow such willful behavior.\Cannot allow it?\Who do you think you are talking to?\It's time for the lady of the house to get changed.\Leave me, you shameless fool.\Lady Satsuki, surely you don't mean to try to wear the Kamui!\For me, there is no try.\All that I do is an inevitable step to fulfill my ambition. response:	But if you put that on now,
context: Cannot allow it?\Who do you think you are talking to?\It's time for the lady of the house to get changed.\Leave me, you shameless fool.\Lady Satsuki, surely you don't mean to try to wear the Kamui!\For me, there is no try.\All that I do is an inevitable step to fulfill my ambition.\But if you put that on now, response:	there is no guarantee you will survive it!
context: Who do you think you are talking to?\It's time for the lady of the house to get changed.\Leave me, you shameless fool.\Lady Satsuki, surely you don't mean to try to wear the Kamui!\For me, there is no try.\All that I do is an inevitable step to fulfill my ambition.\But if you put that on now,\there is no guarantee you will survive it! response:	Calm yourself!
context: It's time for the lady of the house to get changed.\Leave me, you shameless fool.\Lady Satsuki, surely you don't mean to try to wear the Kamui!\For me, there is no try.\All that I do is an inevitable step to fulfill my ambition.\But if you put that on now,\there is no guarantee you will survive it!\Calm yourself! response:	Clothing exists to be worn!
context: Leave me, you shameless fool.\Lady Satsuki, surely you don't mean to try to wear the Kamui!\For me, there is no try.\All that I do is an inevitable step to fulfill my ambition.\But if you put that on now,\there is no guarantee you will survive it!\Calm yourself!\Clothing exists to be worn! response:	Come, Junketsu.
context: Lady Satsuki, surely you don't mean to try to wear the Kamui!\For me, there is no try.\All that I do is an inevitable step to fulfill my ambition.\But if you put that on now,\there is no guarantee you will survive it!\Calm yourself!\Clothing exists to be worn!\Come, Junketsu. response:	This red blood is the eternal vow between you and I.
context: For me, there is no try.\All that I do is an inevitable step to fulfill my ambition.\But if you put that on now,\there is no guarantee you will survive it!\Calm yourself!\Clothing exists to be worn!\Come, Junketsu.\This red blood is the eternal vow between you and I. response:	The red thread of our covenant!
context: All that I do is an inevitable step to fulfill my ambition.\But if you put that on now,\there is no guarantee you will survive it!\Calm yourself!\Clothing exists to be worn!\Come, Junketsu.\This red blood is the eternal vow between you and I.\The red thread of our covenant! response:	Lady Satsuki!
context: But if you put that on now,\there is no guarantee you will survive it!\Calm yourself!\Clothing exists to be worn!\Come, Junketsu.\This red blood is the eternal vow between you and I.\The red thread of our covenant!\Lady Satsuki! response:	Hold your tongues and watch!
context: there is no guarantee you will survive it!\Calm yourself!\Clothing exists to be worn!\Come, Junketsu.\This red blood is the eternal vow between you and I.\The red thread of our covenant!\Lady Satsuki!\Hold your tongues and watch! response:	ASK NOT THE SPARROW HOW THE EAGLE SOARS
context: Calm yourself!\Clothing exists to be worn!\Come, Junketsu.\This red blood is the eternal vow between you and I.\The red thread of our covenant!\Lady Satsuki!\Hold your tongues and watch!\ASK NOT THE SPARROW HOW THE EAGLE SOARS response:	Ask not the sparrow how the eagle soars!
context: Clothing exists to be worn!\Come, Junketsu.\This red blood is the eternal vow between you and I.\The red thread of our covenant!\Lady Satsuki!\Hold your tongues and watch!\ASK NOT THE SPARROW HOW THE EAGLE SOARS\Ask not the sparrow how the eagle soars! response:	All you do is nothing more than
context: Come, Junketsu.\This red blood is the eternal vow between you and I.\The red thread of our covenant!\Lady Satsuki!\Hold your tongues and watch!\ASK NOT THE SPARROW HOW THE EAGLE SOARS\Ask not the sparrow how the eagle soars!\All you do is nothing more than response:	the shallow thinking of little people!
context: This red blood is the eternal vow between you and I.\The red thread of our covenant!\Lady Satsuki!\Hold your tongues and watch!\ASK NOT THE SPARROW HOW THE EAGLE SOARS\Ask not the sparrow how the eagle soars!\All you do is nothing more than\the shallow thinking of little people! response:	No one on this Earth can do something before Satsuki Kiryuin!
context: The red thread of our covenant!\Lady Satsuki!\Hold your tongues and watch!\ASK NOT THE SPARROW HOW THE EAGLE SOARS\Ask not the sparrow how the eagle soars!\All you do is nothing more than\the shallow thinking of little people!\No one on this Earth can do something before Satsuki Kiryuin! response:	Even a Kamui is a mere garment!
context: Lady Satsuki!\Hold your tongues and watch!\ASK NOT THE SPARROW HOW THE EAGLE SOARS\Ask not the sparrow how the eagle soars!\All you do is nothing more than\the shallow thinking of little people!\No one on this Earth can do something before Satsuki Kiryuin!\Even a Kamui is a mere garment! response:	And I... will make it bow to my will!
context: Hold your tongues and watch!\ASK NOT THE SPARROW HOW THE EAGLE SOARS\Ask not the sparrow how the eagle soars!\All you do is nothing more than\the shallow thinking of little people!\No one on this Earth can do something before Satsuki Kiryuin!\Even a Kamui is a mere garment!\And I... will make it bow to my will! response:	Okay, bedtime, bedtime, bedtime!
context: ASK NOT THE SPARROW HOW THE EAGLE SOARS\Ask not the sparrow how the eagle soars!\All you do is nothing more than\the shallow thinking of little people!\No one on this Earth can do something before Satsuki Kiryuin!\Even a Kamui is a mere garment!\And I... will make it bow to my will!\Okay, bedtime, bedtime, bedtime! response:	Yes, let's, Dad!
context: Ask not the sparrow how the eagle soars!\All you do is nothing more than\the shallow thinking of little people!\No one on this Earth can do something before Satsuki Kiryuin!\Even a Kamui is a mere garment!\And I... will make it bow to my will!\Okay, bedtime, bedtime, bedtime!\Yes, let's, Dad! response:	If we stay up, the power bill goes up
context: All you do is nothing more than\the shallow thinking of little people!\No one on this Earth can do something before Satsuki Kiryuin!\Even a Kamui is a mere garment!\And I... will make it bow to my will!\Okay, bedtime, bedtime, bedtime!\Yes, let's, Dad!\If we stay up, the power bill goes up response:	and you get hungry again, so sleeping's the only way to go!
context: the shallow thinking of little people!\No one on this Earth can do something before Satsuki Kiryuin!\Even a Kamui is a mere garment!\And I... will make it bow to my will!\Okay, bedtime, bedtime, bedtime!\Yes, let's, Dad!\If we stay up, the power bill goes up\and you get hungry again, so sleeping's the only way to go! response:	You got that right, Dad!
context: No one on this Earth can do something before Satsuki Kiryuin!\Even a Kamui is a mere garment!\And I... will make it bow to my will!\Okay, bedtime, bedtime, bedtime!\Yes, let's, Dad!\If we stay up, the power bill goes up\and you get hungry again, so sleeping's the only way to go!\You got that right, Dad! response:	Good night!
context: Even a Kamui is a mere garment!\And I... will make it bow to my will!\Okay, bedtime, bedtime, bedtime!\Yes, let's, Dad!\If we stay up, the power bill goes up\and you get hungry again, so sleeping's the only way to go!\You got that right, Dad!\Good night! response:	I'm sorry, I only have Mako's hand-me-downs.
context: And I... will make it bow to my will!\Okay, bedtime, bedtime, bedtime!\Yes, let's, Dad!\If we stay up, the power bill goes up\and you get hungry again, so sleeping's the only way to go!\You got that right, Dad!\Good night!\I'm sorry, I only have Mako's hand-me-downs. response:	T-Thank you, ma'am.
context: Okay, bedtime, bedtime, bedtime!\Yes, let's, Dad!\If we stay up, the power bill goes up\and you get hungry again, so sleeping's the only way to go!\You got that right, Dad!\Good night!\I'm sorry, I only have Mako's hand-me-downs.\T-Thank you, ma'am. response:	I'm surrounded by these loafers and deadbeats,
context: Yes, let's, Dad!\If we stay up, the power bill goes up\and you get hungry again, so sleeping's the only way to go!\You got that right, Dad!\Good night!\I'm sorry, I only have Mako's hand-me-downs.\T-Thank you, ma'am.\I'm surrounded by these loafers and deadbeats, response:	so I'd be thrilled to have a girl like you around.
context: If we stay up, the power bill goes up\and you get hungry again, so sleeping's the only way to go!\You got that right, Dad!\Good night!\I'm sorry, I only have Mako's hand-me-downs.\T-Thank you, ma'am.\I'm surrounded by these loafers and deadbeats,\so I'd be thrilled to have a girl like you around. response:	I really appreciate it...
context: and you get hungry again, so sleeping's the only way to go!\You got that right, Dad!\Good night!\I'm sorry, I only have Mako's hand-me-downs.\T-Thank you, ma'am.\I'm surrounded by these loafers and deadbeats,\so I'd be thrilled to have a girl like you around.\I really appreciate it... response:	Mako says that you saved her from a pummeling by
context: You got that right, Dad!\Good night!\I'm sorry, I only have Mako's hand-me-downs.\T-Thank you, ma'am.\I'm surrounded by these loafers and deadbeats,\so I'd be thrilled to have a girl like you around.\I really appreciate it...\Mako says that you saved her from a pummeling by response:	the Tennis Club this time,
context: Good night!\I'm sorry, I only have Mako's hand-me-downs.\T-Thank you, ma'am.\I'm surrounded by these loafers and deadbeats,\so I'd be thrilled to have a girl like you around.\I really appreciate it...\Mako says that you saved her from a pummeling by\the Tennis Club this time, response:	becoming essentially naked in the process.
context: I'm sorry, I only have Mako's hand-me-downs.\T-Thank you, ma'am.\I'm surrounded by these loafers and deadbeats,\so I'd be thrilled to have a girl like you around.\I really appreciate it...\Mako says that you saved her from a pummeling by\the Tennis Club this time,\becoming essentially naked in the process. response:	Not essentially. More like pretty much.
context: T-Thank you, ma'am.\I'm surrounded by these loafers and deadbeats,\so I'd be thrilled to have a girl like you around.\I really appreciate it...\Mako says that you saved her from a pummeling by\the Tennis Club this time,\becoming essentially naked in the process.\Not essentially. More like pretty much. response:	Ryuko, are you a... you know?
context: I'm surrounded by these loafers and deadbeats,\so I'd be thrilled to have a girl like you around.\I really appreciate it...\Mako says that you saved her from a pummeling by\the Tennis Club this time,\becoming essentially naked in the process.\Not essentially. More like pretty much.\Ryuko, are you a... you know? response:	Do you enjoy putting your naked body on display?
context: so I'd be thrilled to have a girl like you around.\I really appreciate it...\Mako says that you saved her from a pummeling by\the Tennis Club this time,\becoming essentially naked in the process.\Not essentially. More like pretty much.\Ryuko, are you a... you know?\Do you enjoy putting your naked body on display? response:	No, it's not like that at all! It's pretty embarrassing!
context: I really appreciate it...\Mako says that you saved her from a pummeling by\the Tennis Club this time,\becoming essentially naked in the process.\Not essentially. More like pretty much.\Ryuko, are you a... you know?\Do you enjoy putting your naked body on display?\No, it's not like that at all! It's pretty embarrassing! response:	In fact, I hate to get undressed in front of people.
context: Mako says that you saved her from a pummeling by\the Tennis Club this time,\becoming essentially naked in the process.\Not essentially. More like pretty much.\Ryuko, are you a... you know?\Do you enjoy putting your naked body on display?\No, it's not like that at all! It's pretty embarrassing!\In fact, I hate to get undressed in front of people. response:	Yeah, you'd never be wear a getup like that if you didn't enjoy it!
context: the Tennis Club this time,\becoming essentially naked in the process.\Not essentially. More like pretty much.\Ryuko, are you a... you know?\Do you enjoy putting your naked body on display?\No, it's not like that at all! It's pretty embarrassing!\In fact, I hate to get undressed in front of people.\Yeah, you'd never be wear a getup like that if you didn't enjoy it! response:	I wanna try it, too!
context: becoming essentially naked in the process.\Not essentially. More like pretty much.\Ryuko, are you a... you know?\Do you enjoy putting your naked body on display?\No, it's not like that at all! It's pretty embarrassing!\In fact, I hate to get undressed in front of people.\Yeah, you'd never be wear a getup like that if you didn't enjoy it!\I wanna try it, too! response:	Mom! The toilet's clogged again!
context: Not essentially. More like pretty much.\Ryuko, are you a... you know?\Do you enjoy putting your naked body on display?\No, it's not like that at all! It's pretty embarrassing!\In fact, I hate to get undressed in front of people.\Yeah, you'd never be wear a getup like that if you didn't enjoy it!\I wanna try it, too!\Mom! The toilet's clogged again! response:	It's in one ear and out the other with this whole family.
context: Ryuko, are you a... you know?\Do you enjoy putting your naked body on display?\No, it's not like that at all! It's pretty embarrassing!\In fact, I hate to get undressed in front of people.\Yeah, you'd never be wear a getup like that if you didn't enjoy it!\I wanna try it, too!\Mom! The toilet's clogged again!\It's in one ear and out the other with this whole family. response:	I'll be right there. What's stuck in it?
context: Do you enjoy putting your naked body on display?\No, it's not like that at all! It's pretty embarrassing!\In fact, I hate to get undressed in front of people.\Yeah, you'd never be wear a getup like that if you didn't enjoy it!\I wanna try it, too!\Mom! The toilet's clogged again!\It's in one ear and out the other with this whole family.\I'll be right there. What's stuck in it? response:	My
context: No, it's not like that at all! It's pretty embarrassing!\In fact, I hate to get undressed in front of people.\Yeah, you'd never be wear a getup like that if you didn't enjoy it!\I wanna try it, too!\Mom! The toilet's clogged again!\It's in one ear and out the other with this whole family.\I'll be right there. What's stuck in it?\My response:	Oopsie!
context: In fact, I hate to get undressed in front of people.\Yeah, you'd never be wear a getup like that if you didn't enjoy it!\I wanna try it, too!\Mom! The toilet's clogged again!\It's in one ear and out the other with this whole family.\I'll be right there. What's stuck in it?\My\Oopsie! response:	It seemed strange you went to bed so early! It was to peep on me?!
context: Yeah, you'd never be wear a getup like that if you didn't enjoy it!\I wanna try it, too!\Mom! The toilet's clogged again!\It's in one ear and out the other with this whole family.\I'll be right there. What's stuck in it?\My\Oopsie!\It seemed strange you went to bed so early! It was to peep on me?! response:	That was the plan!
context: I wanna try it, too!\Mom! The toilet's clogged again!\It's in one ear and out the other with this whole family.\I'll be right there. What's stuck in it?\My\Oopsie!\It seemed strange you went to bed so early! It was to peep on me?!\That was the plan! response:	Oh, wow! You look great!
context: Mom! The toilet's clogged again!\It's in one ear and out the other with this whole family.\I'll be right there. What's stuck in it?\My\Oopsie!\It seemed strange you went to bed so early! It was to peep on me?!\That was the plan!\Oh, wow! You look great! response:	You look so good in pajamas!
context: It's in one ear and out the other with this whole family.\I'll be right there. What's stuck in it?\My\Oopsie!\It seemed strange you went to bed so early! It was to peep on me?!\That was the plan!\Oh, wow! You look great!\You look so good in pajamas! response:	Cut it out.
context: I'll be right there. What's stuck in it?\My\Oopsie!\It seemed strange you went to bed so early! It was to peep on me?!\That was the plan!\Oh, wow! You look great!\You look so good in pajamas!\Cut it out. response:	What's wrong?
context: My\Oopsie!\It seemed strange you went to bed so early! It was to peep on me?!\That was the plan!\Oh, wow! You look great!\You look so good in pajamas!\Cut it out.\What's wrong? response:	The surface, it feels rough.
context: Oopsie!\It seemed strange you went to bed so early! It was to peep on me?!\That was the plan!\Oh, wow! You look great!\You look so good in pajamas!\Cut it out.\What's wrong?\The surface, it feels rough. response:	Ew, this uniform has goose bumps!
context: It seemed strange you went to bed so early! It was to peep on me?!\That was the plan!\Oh, wow! You look great!\You look so good in pajamas!\Cut it out.\What's wrong?\The surface, it feels rough.\Ew, this uniform has goose bumps! response:	It has goose bumps?
context: That was the plan!\Oh, wow! You look great!\You look so good in pajamas!\Cut it out.\What's wrong?\The surface, it feels rough.\Ew, this uniform has goose bumps!\It has goose bumps? response:	Doesn't it feel like it?
context: Oh, wow! You look great!\You look so good in pajamas!\Cut it out.\What's wrong?\The surface, it feels rough.\Ew, this uniform has goose bumps!\It has goose bumps?\Doesn't it feel like it? response:	What the hell?
context: You look so good in pajamas!\Cut it out.\What's wrong?\The surface, it feels rough.\Ew, this uniform has goose bumps!\It has goose bumps?\Doesn't it feel like it?\What the hell? response:	What's wrong, Ryuko? Didn't get enough sleep?
context: Cut it out.\What's wrong?\The surface, it feels rough.\Ew, this uniform has goose bumps!\It has goose bumps?\Doesn't it feel like it?\What the hell?\What's wrong, Ryuko? Didn't get enough sleep? response:	I couldn't sleep because it felt like something bad was going to happen.
context: What's wrong?\The surface, it feels rough.\Ew, this uniform has goose bumps!\It has goose bumps?\Doesn't it feel like it?\What the hell?\What's wrong, Ryuko? Didn't get enough sleep?\I couldn't sleep because it felt like something bad was going to happen. response:	Satsuki Kiryuin!
context: The surface, it feels rough.\Ew, this uniform has goose bumps!\It has goose bumps?\Doesn't it feel like it?\What the hell?\What's wrong, Ryuko? Didn't get enough sleep?\I couldn't sleep because it felt like something bad was going to happen.\Satsuki Kiryuin! response:	You've come, Ryuko Matoi.
context: Ew, this uniform has goose bumps!\It has goose bumps?\Doesn't it feel like it?\What the hell?\What's wrong, Ryuko? Didn't get enough sleep?\I couldn't sleep because it felt like something bad was going to happen.\Satsuki Kiryuin!\You've come, Ryuko Matoi. response:	Here you are, going to the trouble of waiting for me.
context: It has goose bumps?\Doesn't it feel like it?\What the hell?\What's wrong, Ryuko? Didn't get enough sleep?\I couldn't sleep because it felt like something bad was going to happen.\Satsuki Kiryuin!\You've come, Ryuko Matoi.\Here you are, going to the trouble of waiting for me. response:	What brought this on?
context: Doesn't it feel like it?\What the hell?\What's wrong, Ryuko? Didn't get enough sleep?\I couldn't sleep because it felt like something bad was going to happen.\Satsuki Kiryuin!\You've come, Ryuko Matoi.\Here you are, going to the trouble of waiting for me.\What brought this on? response:	It was you who said that when next we met,
context: What the hell?\What's wrong, Ryuko? Didn't get enough sleep?\I couldn't sleep because it felt like something bad was going to happen.\Satsuki Kiryuin!\You've come, Ryuko Matoi.\Here you are, going to the trouble of waiting for me.\What brought this on?\It was you who said that when next we met, response:	you would settle matters once and for all, remember?
context: What's wrong, Ryuko? Didn't get enough sleep?\I couldn't sleep because it felt like something bad was going to happen.\Satsuki Kiryuin!\You've come, Ryuko Matoi.\Here you are, going to the trouble of waiting for me.\What brought this on?\It was you who said that when next we met,\you would settle matters once and for all, remember? response:	How very conscientious of you.
context: I couldn't sleep because it felt like something bad was going to happen.\Satsuki Kiryuin!\You've come, Ryuko Matoi.\Here you are, going to the trouble of waiting for me.\What brought this on?\It was you who said that when next we met,\you would settle matters once and for all, remember?\How very conscientious of you. response:	Mako, stand back.
context: Satsuki Kiryuin!\You've come, Ryuko Matoi.\Here you are, going to the trouble of waiting for me.\What brought this on?\It was you who said that when next we met,\you would settle matters once and for all, remember?\How very conscientious of you.\Mako, stand back. response:	'Kay! Like they say, having your health, that's the important thing!
context: You've come, Ryuko Matoi.\Here you are, going to the trouble of waiting for me.\What brought this on?\It was you who said that when next we met,\you would settle matters once and for all, remember?\How very conscientious of you.\Mako, stand back.\'Kay! Like they say, having your health, that's the important thing! response:	Rejoice, Ryuko Matoi.
context: Here you are, going to the trouble of waiting for me.\What brought this on?\It was you who said that when next we met,\you would settle matters once and for all, remember?\How very conscientious of you.\Mako, stand back.\'Kay! Like they say, having your health, that's the important thing!\Rejoice, Ryuko Matoi. response:	You will be the first offering to my Junketsu.
context: What brought this on?\It was you who said that when next we met,\you would settle matters once and for all, remember?\How very conscientious of you.\Mako, stand back.\'Kay! Like they say, having your health, that's the important thing!\Rejoice, Ryuko Matoi.\You will be the first offering to my Junketsu. response:	Junketsu...
context: It was you who said that when next we met,\you would settle matters once and for all, remember?\How very conscientious of you.\Mako, stand back.\'Kay! Like they say, having your health, that's the important thing!\Rejoice, Ryuko Matoi.\You will be the first offering to my Junketsu.\Junketsu... response:	Purity? Is there anything about you that's pure?
context: you would settle matters once and for all, remember?\How very conscientious of you.\Mako, stand back.\'Kay! Like they say, having your health, that's the important thing!\Rejoice, Ryuko Matoi.\You will be the first offering to my Junketsu.\Junketsu...\Purity? Is there anything about you that's pure? response:	Allow me to show you.
context: How very conscientious of you.\Mako, stand back.\'Kay! Like they say, having your health, that's the important thing!\Rejoice, Ryuko Matoi.\You will be the first offering to my Junketsu.\Junketsu...\Purity? Is there anything about you that's pure?\Allow me to show you. response:	Life Fiber Override, Kamui Junketsu!
context: Mako, stand back.\'Kay! Like they say, having your health, that's the important thing!\Rejoice, Ryuko Matoi.\You will be the first offering to my Junketsu.\Junketsu...\Purity? Is there anything about you that's pure?\Allow me to show you.\Life Fiber Override, Kamui Junketsu! response:	KAMUI JUNKETSU
context: 'Kay! Like they say, having your health, that's the important thing!\Rejoice, Ryuko Matoi.\You will be the first offering to my Junketsu.\Junketsu...\Purity? Is there anything about you that's pure?\Allow me to show you.\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU response:	What the hell?!
