context: hence the name fall leaves response:	Impassionate gods...
context: so I thought you might let me win this.\You're good, so I was scared I might lose.\You beat me by 12 cards...\Man, Wakamiya Shinobu is the champion again?\She's the real deal.\She never joined a karuta society, right?\Seriously?\Straight as a line... response:	Straighter... Swifter...
context: You're good, so I was scared I might lose.\You beat me by 12 cards...\Man, Wakamiya Shinobu is the champion again?\She's the real deal.\She never joined a karuta society, right?\Seriously?\Straight as a line...\Straighter... Swifter... response:	Chihaya-chan.
context: You beat me by 12 cards...\Man, Wakamiya Shinobu is the champion again?\She's the real deal.\She never joined a karuta society, right?\Seriously?\Straight as a line...\Straighter... Swifter...\Chihaya-chan. response:	Chihaya-chan!
context: Man, Wakamiya Shinobu is the champion again?\She's the real deal.\She never joined a karuta society, right?\Seriously?\Straight as a line...\Straighter... Swifter...\Chihaya-chan.\Chihaya-chan! response:	Straight as a line...
context: She's the real deal.\She never joined a karuta society, right?\Seriously?\Straight as a line...\Straighter... Swifter...\Chihaya-chan.\Chihaya-chan!\Straight as a line... response:	Chihaya-chan!
context: She never joined a karuta society, right?\Seriously?\Straight as a line...\Straighter... Swifter...\Chihaya-chan.\Chihaya-chan!\Straight as a line...\Chihaya-chan! response:	Kana-chan. How'd it go?
context: Seriously?\Straight as a line...\Straighter... Swifter...\Chihaya-chan.\Chihaya-chan!\Straight as a line...\Chihaya-chan!\Kana-chan. How'd it go? response:	I lost in the third round. So did Desktomu-kun.
context: Straight as a line...\Straighter... Swifter...\Chihaya-chan.\Chihaya-chan!\Straight as a line...\Chihaya-chan!\Kana-chan. How'd it go?\I lost in the third round. So did Desktomu-kun. response:	I see...
context: Straighter... Swifter...\Chihaya-chan.\Chihaya-chan!\Straight as a line...\Chihaya-chan!\Kana-chan. How'd it go?\I lost in the third round. So did Desktomu-kun.\I see... response:	That's because you were
context: Chihaya-chan.\Chihaya-chan!\Straight as a line...\Chihaya-chan!\Kana-chan. How'd it go?\I lost in the third round. So did Desktomu-kun.\I see...\That's because you were response:	watching Class A matches the entire time.
context: Chihaya-chan!\Straight as a line...\Chihaya-chan!\Kana-chan. How'd it go?\I lost in the third round. So did Desktomu-kun.\I see...\That's because you were\watching Class A matches the entire time. response:	Right! I haven't had anything to eat!
context: Straight as a line...\Chihaya-chan!\Kana-chan. How'd it go?\I lost in the third round. So did Desktomu-kun.\I see...\That's because you were\watching Class A matches the entire time.\Right! I haven't had anything to eat! response:	The Learning Center curry!
context: Chihaya-chan!\Kana-chan. How'd it go?\I lost in the third round. So did Desktomu-kun.\I see...\That's because you were\watching Class A matches the entire time.\Right! I haven't had anything to eat!\The Learning Center curry! response:	Chihaya-chan!
context: Kana-chan. How'd it go?\I lost in the third round. So did Desktomu-kun.\I see...\That's because you were\watching Class A matches the entire time.\Right! I haven't had anything to eat!\The Learning Center curry!\Chihaya-chan! response:	That doesn't matter right now!
context: I lost in the third round. So did Desktomu-kun.\I see...\That's because you were\watching Class A matches the entire time.\Right! I haven't had anything to eat!\The Learning Center curry!\Chihaya-chan!\That doesn't matter right now! response:	Mashima-kun is in the Class B final!
context: I see...\That's because you were\watching Class A matches the entire time.\Right! I haven't had anything to eat!\The Learning Center curry!\Chihaya-chan!\That doesn't matter right now!\Mashima-kun is in the Class B final! response:	Let's go cheer him on!
context: That's because you were\watching Class A matches the entire time.\Right! I haven't had anything to eat!\The Learning Center curry!\Chihaya-chan!\That doesn't matter right now!\Mashima-kun is in the Class B final!\Let's go cheer him on! response:	Rain takes longer to dry in the autumn time
context: watching Class A matches the entire time.\Right! I haven't had anything to eat!\The Learning Center curry!\Chihaya-chan!\That doesn't matter right now!\Mashima-kun is in the Class B final!\Let's go cheer him on!\Rain takes longer to dry in the autumn time response:	Taichi is in the final!
context: Right! I haven't had anything to eat!\The Learning Center curry!\Chihaya-chan!\That doesn't matter right now!\Mashima-kun is in the Class B final!\Let's go cheer him on!\Rain takes longer to dry in the autumn time\Taichi is in the final! response:	leaving a hovering mist above the trees and grass
context: The Learning Center curry!\Chihaya-chan!\That doesn't matter right now!\Mashima-kun is in the Class B final!\Let's go cheer him on!\Rain takes longer to dry in the autumn time\Taichi is in the final!\leaving a hovering mist above the trees and grass response:	While some dodge...
context: Chihaya-chan!\That doesn't matter right now!\Mashima-kun is in the Class B final!\Let's go cheer him on!\Rain takes longer to dry in the autumn time\Taichi is in the final!\leaving a hovering mist above the trees and grass\While some dodge... response:	Said night was young...
context: That doesn't matter right now!\Mashima-kun is in the Class B final!\Let's go cheer him on!\Rain takes longer to dry in the autumn time\Taichi is in the final!\leaving a hovering mist above the trees and grass\While some dodge...\Said night was young... response:	When winds send waves...
context: Mashima-kun is in the Class B final!\Let's go cheer him on!\Rain takes longer to dry in the autumn time\Taichi is in the final!\leaving a hovering mist above the trees and grass\While some dodge...\Said night was young...\When winds send waves... response:	I could spend my entire youth on karuta
context: Let's go cheer him on!\Rain takes longer to dry in the autumn time\Taichi is in the final!\leaving a hovering mist above the trees and grass\While some dodge...\Said night was young...\When winds send waves...\I could spend my entire youth on karuta response:	without ever becoming better than Arata.
context: Rain takes longer to dry in the autumn time\Taichi is in the final!\leaving a hovering mist above the trees and grass\While some dodge...\Said night was young...\When winds send waves...\I could spend my entire youth on karuta\without ever becoming better than Arata. response:	Save that for after you've actually tried.
context: Taichi is in the final!\leaving a hovering mist above the trees and grass\While some dodge...\Said night was young...\When winds send waves...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Save that for after you've actually tried. response:	Dr. Harada...
context: leaving a hovering mist above the trees and grass\While some dodge...\Said night was young...\When winds send waves...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Save that for after you've actually tried.\Dr. Harada... response:	Can I really do it?
context: While some dodge...\Said night was young...\When winds send waves...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Save that for after you've actually tried.\Dr. Harada...\Can I really do it? response:	Lose...
context: Said night was young...\When winds send waves...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Save that for after you've actually tried.\Dr. Harada...\Can I really do it?\Lose... response:	Cry...
context: When winds send waves...\I could spend my entire youth on karuta\without ever becoming better than Arata.\Save that for after you've actually tried.\Dr. Harada...\Can I really do it?\Lose...\Cry... response:	But continue to advance...
context: I could spend my entire youth on karuta\without ever becoming better than Arata.\Save that for after you've actually tried.\Dr. Harada...\Can I really do it?\Lose...\Cry...\But continue to advance... response:	to catch up to Arata.
context: without ever becoming better than Arata.\Save that for after you've actually tried.\Dr. Harada...\Can I really do it?\Lose...\Cry...\But continue to advance...\to catch up to Arata. response:	I recall how my own efforts were in vain
context: Save that for after you've actually tried.\Dr. Harada...\Can I really do it?\Lose...\Cry...\But continue to advance...\to catch up to Arata.\I recall how my own efforts were in vain response:	So the flower petals, Would the, Feel sorrow,
context: Dr. Harada...\Can I really do it?\Lose...\Cry...\But continue to advance...\to catch up to Arata.\I recall how my own efforts were in vain\So the flower petals, Would the, Feel sorrow, response:	In the, In order for, I feel as, I feel though, I know...
context: Can I really do it?\Lose...\Cry...\But continue to advance...\to catch up to Arata.\I recall how my own efforts were in vain\So the flower petals, Would the, Feel sorrow,\In the, In order for, I feel as, I feel though, I know... response:	Taichi...
context: Lose...\Cry...\But continue to advance...\to catch up to Arata.\I recall how my own efforts were in vain\So the flower petals, Would the, Feel sorrow,\In the, In order for, I feel as, I feel though, I know...\Taichi... response:	Hey, Ayase!
context: Cry...\But continue to advance...\to catch up to Arata.\I recall how my own efforts were in vain\So the flower petals, Would the, Feel sorrow,\In the, In order for, I feel as, I feel though, I know...\Taichi...\Hey, Ayase! response:	You're late!
context: But continue to advance...\to catch up to Arata.\I recall how my own efforts were in vain\So the flower petals, Would the, Feel sorrow,\In the, In order for, I feel as, I feel though, I know...\Taichi...\Hey, Ayase!\You're late! response:	Where have you been?
context: to catch up to Arata.\I recall how my own efforts were in vain\So the flower petals, Would the, Feel sorrow,\In the, In order for, I feel as, I feel though, I know...\Taichi...\Hey, Ayase!\You're late!\Where have you been? response:	Get over here! We saved a seat for you!
context: I recall how my own efforts were in vain\So the flower petals, Would the, Feel sorrow,\In the, In order for, I feel as, I feel though, I know...\Taichi...\Hey, Ayase!\You're late!\Where have you been?\Get over here! We saved a seat for you! response:	I recall how my own efforts were in vain
context: So the flower petals, Would the, Feel sorrow,\In the, In order for, I feel as, I feel though, I know...\Taichi...\Hey, Ayase!\You're late!\Where have you been?\Get over here! We saved a seat for you!\I recall how my own efforts were in vain response:	May the time we spend apart from one another be
context: In the, In order for, I feel as, I feel though, I know...\Taichi...\Hey, Ayase!\You're late!\Where have you been?\Get over here! We saved a seat for you!\I recall how my own efforts were in vain\May the time we spend apart from one another be response:	A fault.
context: Taichi...\Hey, Ayase!\You're late!\Where have you been?\Get over here! We saved a seat for you!\I recall how my own efforts were in vain\May the time we spend apart from one another be\A fault. response:	That never happens.
context: Hey, Ayase!\You're late!\Where have you been?\Get over here! We saved a seat for you!\I recall how my own efforts were in vain\May the time we spend apart from one another be\A fault.\That never happens. response:	He went for a completely different card.
context: You're late!\Where have you been?\Get over here! We saved a seat for you!\I recall how my own efforts were in vain\May the time we spend apart from one another be\A fault.\That never happens.\He went for a completely different card. response:	He still has the positions from his previous match in his head.
context: Where have you been?\Get over here! We saved a seat for you!\I recall how my own efforts were in vain\May the time we spend apart from one another be\A fault.\That never happens.\He went for a completely different card.\He still has the positions from his previous match in his head. response:	When you're tired, forgetting is harder than remembering.
context: Get over here! We saved a seat for you!\I recall how my own efforts were in vain\May the time we spend apart from one another be\A fault.\That never happens.\He went for a completely different card.\He still has the positions from his previous match in his head.\When you're tired, forgetting is harder than remembering. response:	Mashima's on his sixth match.
context: I recall how my own efforts were in vain\May the time we spend apart from one another be\A fault.\That never happens.\He went for a completely different card.\He still has the positions from his previous match in his head.\When you're tired, forgetting is harder than remembering.\Mashima's on his sixth match. response:	At that point, you can have perfect concentration and still make mistakes.
context: May the time we spend apart from one another be\A fault.\That never happens.\He went for a completely different card.\He still has the positions from his previous match in his head.\When you're tired, forgetting is harder than remembering.\Mashima's on his sixth match.\At that point, you can have perfect concentration and still make mistakes. response:	Taichi...
context: A fault.\That never happens.\He went for a completely different card.\He still has the positions from his previous match in his head.\When you're tired, forgetting is harder than remembering.\Mashima's on his sixth match.\At that point, you can have perfect concentration and still make mistakes.\Taichi... response:	Dammit.
context: That never happens.\He went for a completely different card.\He still has the positions from his previous match in his head.\When you're tired, forgetting is harder than remembering.\Mashima's on his sixth match.\At that point, you can have perfect concentration and still make mistakes.\Taichi...\Dammit. response:	It's okay.
context: He went for a completely different card.\He still has the positions from his previous match in his head.\When you're tired, forgetting is harder than remembering.\Mashima's on his sixth match.\At that point, you can have perfect concentration and still make mistakes.\Taichi...\Dammit.\It's okay. response:	Review the cards again.
context: He still has the positions from his previous match in his head.\When you're tired, forgetting is harder than remembering.\Mashima's on his sixth match.\At that point, you can have perfect concentration and still make mistakes.\Taichi...\Dammit.\It's okay.\Review the cards again. response:	It's okay.
context: When you're tired, forgetting is harder than remembering.\Mashima's on his sixth match.\At that point, you can have perfect concentration and still make mistakes.\Taichi...\Dammit.\It's okay.\Review the cards again.\It's okay. response:	Review.
context: Mashima's on his sixth match.\At that point, you can have perfect concentration and still make mistakes.\Taichi...\Dammit.\It's okay.\Review the cards again.\It's okay.\Review. response:	So the flower has was read, so I can take So the flower petals on So the flower.
context: At that point, you can have perfect concentration and still make mistakes.\Taichi...\Dammit.\It's okay.\Review the cards again.\It's okay.\Review.\So the flower has was read, so I can take So the flower petals on So the flower. response:	Would the hasn't been read so I have to be careful on Would this.
context: Taichi...\Dammit.\It's okay.\Review the cards again.\It's okay.\Review.\So the flower has was read, so I can take So the flower petals on So the flower.\Would the hasn't been read so I have to be careful on Would this. response:	Feel love has been read, so I can take Feel sorrow on Feel.
context: Dammit.\It's okay.\Review the cards again.\It's okay.\Review.\So the flower has was read, so I can take So the flower petals on So the flower.\Would the hasn't been read so I have to be careful on Would this.\Feel love has been read, so I can take Feel sorrow on Feel. response:	In order to hasn't been read, so I don't want to fault on In the or In order for.
context: It's okay.\Review the cards again.\It's okay.\Review.\So the flower has was read, so I can take So the flower petals on So the flower.\Would the hasn't been read so I have to be careful on Would this.\Feel love has been read, so I can take Feel sorrow on Feel.\In order to hasn't been read, so I don't want to fault on In the or In order for. response:	I feel as and I feel that are both in play so I want to attack those.
context: Review the cards again.\It's okay.\Review.\So the flower has was read, so I can take So the flower petals on So the flower.\Would the hasn't been read so I have to be careful on Would this.\Feel love has been read, so I can take Feel sorrow on Feel.\In order to hasn't been read, so I don't want to fault on In the or In order for.\I feel as and I feel that are both in play so I want to attack those. response:	The I know card and the I wish card on the opponent's left side should come soon.
context: It's okay.\Review.\So the flower has was read, so I can take So the flower petals on So the flower.\Would the hasn't been read so I have to be careful on Would this.\Feel love has been read, so I can take Feel sorrow on Feel.\In order to hasn't been read, so I don't want to fault on In the or In order for.\I feel as and I feel that are both in play so I want to attack those.\The I know card and the I wish card on the opponent's left side should come soon. response:	Said world offers no change and the like card Said world offers no escape are both left,
context: Review.\So the flower has was read, so I can take So the flower petals on So the flower.\Would the hasn't been read so I have to be careful on Would this.\Feel love has been read, so I can take Feel sorrow on Feel.\In order to hasn't been read, so I don't want to fault on In the or In order for.\I feel as and I feel that are both in play so I want to attack those.\The I know card and the I wish card on the opponent's left side should come soon.\Said world offers no change and the like card Said world offers no escape are both left, response:	so I need to cover mine and watch the other one.
context: So the flower has was read, so I can take So the flower petals on So the flower.\Would the hasn't been read so I have to be careful on Would this.\Feel love has been read, so I can take Feel sorrow on Feel.\In order to hasn't been read, so I don't want to fault on In the or In order for.\I feel as and I feel that are both in play so I want to attack those.\The I know card and the I wish card on the opponent's left side should come soon.\Said world offers no change and the like card Said world offers no escape are both left,\so I need to cover mine and watch the other one. response:	I can take both of them!
context: Would the hasn't been read so I have to be careful on Would this.\Feel love has been read, so I can take Feel sorrow on Feel.\In order to hasn't been read, so I don't want to fault on In the or In order for.\I feel as and I feel that are both in play so I want to attack those.\The I know card and the I wish card on the opponent's left side should come soon.\Said world offers no change and the like card Said world offers no escape are both left,\so I need to cover mine and watch the other one.\I can take both of them! response:	While it brings and While it may have been read, so I can attack While it pains after While it
context: Feel love has been read, so I can take Feel sorrow on Feel.\In order to hasn't been read, so I don't want to fault on In the or In order for.\I feel as and I feel that are both in play so I want to attack those.\The I know card and the I wish card on the opponent's left side should come soon.\Said world offers no change and the like card Said world offers no escape are both left,\so I need to cover mine and watch the other one.\I can take both of them!\While it brings and While it may have been read, so I can attack While it pains after While it response:	and hit the While I on the opponent's left side at the same time.
context: In order to hasn't been read, so I don't want to fault on In the or In order for.\I feel as and I feel that are both in play so I want to attack those.\The I know card and the I wish card on the opponent's left side should come soon.\Said world offers no change and the like card Said world offers no escape are both left,\so I need to cover mine and watch the other one.\I can take both of them!\While it brings and While it may have been read, so I can attack While it pains after While it\and hit the While I on the opponent's left side at the same time. response:	For the is now a single-syllable card because For you, I head and For you, I would have been read.
context: I feel as and I feel that are both in play so I want to attack those.\The I know card and the I wish card on the opponent's left side should come soon.\Said world offers no change and the like card Said world offers no escape are both left,\so I need to cover mine and watch the other one.\I can take both of them!\While it brings and While it may have been read, so I can attack While it pains after While it\and hit the While I on the opponent's left side at the same time.\For the is now a single-syllable card because For you, I head and For you, I would have been read. response:	I have to take Swift.
context: The I know card and the I wish card on the opponent's left side should come soon.\Said world offers no change and the like card Said world offers no escape are both left,\so I need to cover mine and watch the other one.\I can take both of them!\While it brings and While it may have been read, so I can attack While it pains after While it\and hit the While I on the opponent's left side at the same time.\For the is now a single-syllable card because For you, I head and For you, I would have been read.\I have to take Swift. response:	Can't let him defend that one.
context: Said world offers no change and the like card Said world offers no escape are both left,\so I need to cover mine and watch the other one.\I can take both of them!\While it brings and While it may have been read, so I can attack While it pains after While it\and hit the While I on the opponent's left side at the same time.\For the is now a single-syllable card because For you, I head and For you, I would have been read.\I have to take Swift.\Can't let him defend that one. response:	May I see and May the time we have been read,
context: so I need to cover mine and watch the other one.\I can take both of them!\While it brings and While it may have been read, so I can attack While it pains after While it\and hit the While I on the opponent's left side at the same time.\For the is now a single-syllable card because For you, I head and For you, I would have been read.\I have to take Swift.\Can't let him defend that one.\May I see and May the time we have been read, response:	so I can attack May it on the opponent's side before coming back to May the time spent on my side.
context: I can take both of them!\While it brings and While it may have been read, so I can attack While it pains after While it\and hit the While I on the opponent's left side at the same time.\For the is now a single-syllable card because For you, I head and For you, I would have been read.\I have to take Swift.\Can't let him defend that one.\May I see and May the time we have been read,\so I can attack May it on the opponent's side before coming back to May the time spent on my side. response:	My mind's so numb that I can only see what's in front of me...
context: While it brings and While it may have been read, so I can attack While it pains after While it\and hit the While I on the opponent's left side at the same time.\For the is now a single-syllable card because For you, I head and For you, I would have been read.\I have to take Swift.\Can't let him defend that one.\May I see and May the time we have been read,\so I can attack May it on the opponent's side before coming back to May the time spent on my side.\My mind's so numb that I can only see what's in front of me... response:	That's all I need to see.
context: and hit the While I on the opponent's left side at the same time.\For the is now a single-syllable card because For you, I head and For you, I would have been read.\I have to take Swift.\Can't let him defend that one.\May I see and May the time we have been read,\so I can attack May it on the opponent's side before coming back to May the time spent on my side.\My mind's so numb that I can only see what's in front of me...\That's all I need to see. response:	as short-lived as the reeds of Naniwa Bay
context: For the is now a single-syllable card because For you, I head and For you, I would have been read.\I have to take Swift.\Can't let him defend that one.\May I see and May the time we have been read,\so I can attack May it on the opponent's side before coming back to May the time spent on my side.\My mind's so numb that I can only see what's in front of me...\That's all I need to see.\as short-lived as the reeds of Naniwa Bay response:	Feel sorrow wash over me...
context: I have to take Swift.\Can't let him defend that one.\May I see and May the time we have been read,\so I can attack May it on the opponent's side before coming back to May the time spent on my side.\My mind's so numb that I can only see what's in front of me...\That's all I need to see.\as short-lived as the reeds of Naniwa Bay\Feel sorrow wash over me... response:	I want to move faster, but my arm can't keep up.
context: Can't let him defend that one.\May I see and May the time we have been read,\so I can attack May it on the opponent's side before coming back to May the time spent on my side.\My mind's so numb that I can only see what's in front of me...\That's all I need to see.\as short-lived as the reeds of Naniwa Bay\Feel sorrow wash over me...\I want to move faster, but my arm can't keep up. response:	Pick it up!
context: May I see and May the time we have been read,\so I can attack May it on the opponent's side before coming back to May the time spent on my side.\My mind's so numb that I can only see what's in front of me...\That's all I need to see.\as short-lived as the reeds of Naniwa Bay\Feel sorrow wash over me...\I want to move faster, but my arm can't keep up.\Pick it up! response:	My mind is doing fine!
context: so I can attack May it on the opponent's side before coming back to May the time spent on my side.\My mind's so numb that I can only see what's in front of me...\That's all I need to see.\as short-lived as the reeds of Naniwa Bay\Feel sorrow wash over me...\I want to move faster, but my arm can't keep up.\Pick it up!\My mind is doing fine! response:	Faster!
context: My mind's so numb that I can only see what's in front of me...\That's all I need to see.\as short-lived as the reeds of Naniwa Bay\Feel sorrow wash over me...\I want to move faster, but my arm can't keep up.\Pick it up!\My mind is doing fine!\Faster! response:	Faster!
context: That's all I need to see.\as short-lived as the reeds of Naniwa Bay\Feel sorrow wash over me...\I want to move faster, but my arm can't keep up.\Pick it up!\My mind is doing fine!\Faster!\Faster! response:	Move faster!
context: as short-lived as the reeds of Naniwa Bay\Feel sorrow wash over me...\I want to move faster, but my arm can't keep up.\Pick it up!\My mind is doing fine!\Faster!\Faster!\Move faster! response:	Victory for Fujisaki
context: Feel sorrow wash over me...\I want to move faster, but my arm can't keep up.\Pick it up!\My mind is doing fine!\Faster!\Faster!\Move faster!\Victory for Fujisaki response:	Yes! He won!
context: I want to move faster, but my arm can't keep up.\Pick it up!\My mind is doing fine!\Faster!\Faster!\Move faster!\Victory for Fujisaki\Yes! He won! response:	Toda-senpai!
context: Pick it up!\My mind is doing fine!\Faster!\Faster!\Move faster!\Victory for Fujisaki\Yes! He won!\Toda-senpai! response:	Thank you very much.
context: My mind is doing fine!\Faster!\Faster!\Move faster!\Victory for Fujisaki\Yes! He won!\Toda-senpai!\Thank you very much. response:	Thank you very much.
context: Faster!\Faster!\Move faster!\Victory for Fujisaki\Yes! He won!\Toda-senpai!\Thank you very much.\Thank you very much. response:	Congratulations!
context: Faster!\Move faster!\Victory for Fujisaki\Yes! He won!\Toda-senpai!\Thank you very much.\Thank you very much.\Congratulations! response:	You did it, Senpai!
context: Move faster!\Victory for Fujisaki\Yes! He won!\Toda-senpai!\Thank you very much.\Thank you very much.\Congratulations!\You did it, Senpai! response:	I was playing a third-year from Fujisaki...
context: Victory for Fujisaki\Yes! He won!\Toda-senpai!\Thank you very much.\Thank you very much.\Congratulations!\You did it, Senpai!\I was playing a third-year from Fujisaki... response:	I only lost by three cards.
context: Yes! He won!\Toda-senpai!\Thank you very much.\Thank you very much.\Congratulations!\You did it, Senpai!\I was playing a third-year from Fujisaki...\I only lost by three cards. response:	Second place.
context: Toda-senpai!\Thank you very much.\Thank you very much.\Congratulations!\You did it, Senpai!\I was playing a third-year from Fujisaki...\I only lost by three cards.\Second place. response:	I did good enough.
context: Thank you very much.\Thank you very much.\Congratulations!\You did it, Senpai!\I was playing a third-year from Fujisaki...\I only lost by three cards.\Second place.\I did good enough. response:	That's like the textbook display of disappointment.
context: Thank you very much.\Congratulations!\You did it, Senpai!\I was playing a third-year from Fujisaki...\I only lost by three cards.\Second place.\I did good enough.\That's like the textbook display of disappointment. response:	I-It hurts...
context: Congratulations!\You did it, Senpai!\I was playing a third-year from Fujisaki...\I only lost by three cards.\Second place.\I did good enough.\That's like the textbook display of disappointment.\I-It hurts... response:	Huh?
context: You did it, Senpai!\I was playing a third-year from Fujisaki...\I only lost by three cards.\Second place.\I did good enough.\That's like the textbook display of disappointment.\I-It hurts...\Huh? response:	It must hurt...
context: I was playing a third-year from Fujisaki...\I only lost by three cards.\Second place.\I did good enough.\That's like the textbook display of disappointment.\I-It hurts...\Huh?\It must hurt... response:	Second place hurts the most.
context: I only lost by three cards.\Second place.\I did good enough.\That's like the textbook display of disappointment.\I-It hurts...\Huh?\It must hurt...\Second place hurts the most. response:	I can't cry -
context: Second place.\I did good enough.\That's like the textbook display of disappointment.\I-It hurts...\Huh?\It must hurt...\Second place hurts the most.\I can't cry - response:	not when I haven't put in the time -
context: I did good enough.\That's like the textbook display of disappointment.\I-It hurts...\Huh?\It must hurt...\Second place hurts the most.\I can't cry -\not when I haven't put in the time - response:	but it still hurts.
context: That's like the textbook display of disappointment.\I-It hurts...\Huh?\It must hurt...\Second place hurts the most.\I can't cry -\not when I haven't put in the time -\but it still hurts. response:	High School National Ogura Hundred Poets Karuta Championship
context: I-It hurts...\Huh?\It must hurt...\Second place hurts the most.\I can't cry -\not when I haven't put in the time -\but it still hurts.\High School National Ogura Hundred Poets Karuta Championship response:	It's always difficult to accept defeat,
context: Huh?\It must hurt...\Second place hurts the most.\I can't cry -\not when I haven't put in the time -\but it still hurts.\High School National Ogura Hundred Poets Karuta Championship\It's always difficult to accept defeat, response:	even after you're an adult.
context: It must hurt...\Second place hurts the most.\I can't cry -\not when I haven't put in the time -\but it still hurts.\High School National Ogura Hundred Poets Karuta Championship\It's always difficult to accept defeat,\even after you're an adult. response:	Yet...
context: Second place hurts the most.\I can't cry -\not when I haven't put in the time -\but it still hurts.\High School National Ogura Hundred Poets Karuta Championship\It's always difficult to accept defeat,\even after you're an adult.\Yet... response:	they aren't trying to console each other either.
context: I can't cry -\not when I haven't put in the time -\but it still hurts.\High School National Ogura Hundred Poets Karuta Championship\It's always difficult to accept defeat,\even after you're an adult.\Yet...\they aren't trying to console each other either. response:	Omi Learning Center
context: not when I haven't put in the time -\but it still hurts.\High School National Ogura Hundred Poets Karuta Championship\It's always difficult to accept defeat,\even after you're an adult.\Yet...\they aren't trying to console each other either.\Omi Learning Center response:	We'll need to hurry if we're going to make our train.
context: but it still hurts.\High School National Ogura Hundred Poets Karuta Championship\It's always difficult to accept defeat,\even after you're an adult.\Yet...\they aren't trying to console each other either.\Omi Learning Center\We'll need to hurry if we're going to make our train. response:	Make sure you haven't forgotten anything.
context: High School National Ogura Hundred Poets Karuta Championship\It's always difficult to accept defeat,\even after you're an adult.\Yet...\they aren't trying to console each other either.\Omi Learning Center\We'll need to hurry if we're going to make our train.\Make sure you haven't forgotten anything. response:	Oh, there are already students here.
context: It's always difficult to accept defeat,\even after you're an adult.\Yet...\they aren't trying to console each other either.\Omi Learning Center\We'll need to hurry if we're going to make our train.\Make sure you haven't forgotten anything.\Oh, there are already students here. response:	Running this early in the morning?
context: even after you're an adult.\Yet...\they aren't trying to console each other either.\Omi Learning Center\We'll need to hurry if we're going to make our train.\Make sure you haven't forgotten anything.\Oh, there are already students here.\Running this early in the morning? response:	Is it the track team?
context: Yet...\they aren't trying to console each other either.\Omi Learning Center\We'll need to hurry if we're going to make our train.\Make sure you haven't forgotten anything.\Oh, there are already students here.\Running this early in the morning?\Is it the track team? response:	Th-The karuta club?!
context: they aren't trying to console each other either.\Omi Learning Center\We'll need to hurry if we're going to make our train.\Make sure you haven't forgotten anything.\Oh, there are already students here.\Running this early in the morning?\Is it the track team?\Th-The karuta club?! response:	Are you interested?
context: Omi Learning Center\We'll need to hurry if we're going to make our train.\Make sure you haven't forgotten anything.\Oh, there are already students here.\Running this early in the morning?\Is it the track team?\Th-The karuta club?!\Are you interested? response:	No...
context: We'll need to hurry if we're going to make our train.\Make sure you haven't forgotten anything.\Oh, there are already students here.\Running this early in the morning?\Is it the track team?\Th-The karuta club?!\Are you interested?\No... response:	Figured as much.
context: Make sure you haven't forgotten anything.\Oh, there are already students here.\Running this early in the morning?\Is it the track team?\Th-The karuta club?!\Are you interested?\No...\Figured as much. response:	I'm sure everybody identified a few issues
context: Oh, there are already students here.\Running this early in the morning?\Is it the track team?\Th-The karuta club?!\Are you interested?\No...\Figured as much.\I'm sure everybody identified a few issues response:	with their play during the tournament,
context: Running this early in the morning?\Is it the track team?\Th-The karuta club?!\Are you interested?\No...\Figured as much.\I'm sure everybody identified a few issues\with their play during the tournament, response:	but the one problem we all share is a lack of stamina.
context: Is it the track team?\Th-The karuta club?!\Are you interested?\No...\Figured as much.\I'm sure everybody identified a few issues\with their play during the tournament,\but the one problem we all share is a lack of stamina. response:	You can't focus if you're tired.
context: Th-The karuta club?!\Are you interested?\No...\Figured as much.\I'm sure everybody identified a few issues\with their play during the tournament,\but the one problem we all share is a lack of stamina.\You can't focus if you're tired. response:	We can use summer break to train ourselves
context: Are you interested?\No...\Figured as much.\I'm sure everybody identified a few issues\with their play during the tournament,\but the one problem we all share is a lack of stamina.\You can't focus if you're tired.\We can use summer break to train ourselves response:	to be able to play ten hours straight.
context: No...\Figured as much.\I'm sure everybody identified a few issues\with their play during the tournament,\but the one problem we all share is a lack of stamina.\You can't focus if you're tired.\We can use summer break to train ourselves\to be able to play ten hours straight. response:	In terms of actual skill, I'm not worse than Mashima.
context: Figured as much.\I'm sure everybody identified a few issues\with their play during the tournament,\but the one problem we all share is a lack of stamina.\You can't focus if you're tired.\We can use summer break to train ourselves\to be able to play ten hours straight.\In terms of actual skill, I'm not worse than Mashima. response:	I'm aiming to win Class B!
context: I'm sure everybody identified a few issues\with their play during the tournament,\but the one problem we all share is a lack of stamina.\You can't focus if you're tired.\We can use summer break to train ourselves\to be able to play ten hours straight.\In terms of actual skill, I'm not worse than Mashima.\I'm aiming to win Class B! response:	But...
context: with their play during the tournament,\but the one problem we all share is a lack of stamina.\You can't focus if you're tired.\We can use summer break to train ourselves\to be able to play ten hours straight.\In terms of actual skill, I'm not worse than Mashima.\I'm aiming to win Class B!\But... response:	Don't fall behind!
context: but the one problem we all share is a lack of stamina.\You can't focus if you're tired.\We can use summer break to train ourselves\to be able to play ten hours straight.\In terms of actual skill, I'm not worse than Mashima.\I'm aiming to win Class B!\But...\Don't fall behind! response:	Step for step!
