context: Minori has never asked for my help. response:	She's asked for advice or for teaching,
context: Move everyone away from here.\Don't let anyone near, players or monsters!\Leave it to me.\Shiroe...\Shiroe!\Is this him?\Yes.\This is Rundel Haus. response:	Minori, add me to your party.
context: Don't let anyone near, players or monsters!\Leave it to me.\Shiroe...\Shiroe!\Is this him?\Yes.\This is Rundel Haus.\Minori, add me to your party. response:	Okay.
context: Leave it to me.\Shiroe...\Shiroe!\Is this him?\Yes.\This is Rundel Haus.\Minori, add me to your party.\Okay. response:	You're Isuzu, right?
context: Shiroe...\Shiroe!\Is this him?\Yes.\This is Rundel Haus.\Minori, add me to your party.\Okay.\You're Isuzu, right? response:	Keep casting Meditation Nocturne.
context: Shiroe!\Is this him?\Yes.\This is Rundel Haus.\Minori, add me to your party.\Okay.\You're Isuzu, right?\Keep casting Meditation Nocturne. response:	R-Right.
context: Is this him?\Yes.\This is Rundel Haus.\Minori, add me to your party.\Okay.\You're Isuzu, right?\Keep casting Meditation Nocturne.\R-Right. response:	I'm going to use a new magic spell.
context: Yes.\This is Rundel Haus.\Minori, add me to your party.\Okay.\You're Isuzu, right?\Keep casting Meditation Nocturne.\R-Right.\I'm going to use a new magic spell. response:	Tell no one about this.
context: This is Rundel Haus.\Minori, add me to your party.\Okay.\You're Isuzu, right?\Keep casting Meditation Nocturne.\R-Right.\I'm going to use a new magic spell.\Tell no one about this. response:	A new magic spell?
context: Minori, add me to your party.\Okay.\You're Isuzu, right?\Keep casting Meditation Nocturne.\R-Right.\I'm going to use a new magic spell.\Tell no one about this.\A new magic spell? response:	If you can't agree to that, either give up or leave.
context: Okay.\You're Isuzu, right?\Keep casting Meditation Nocturne.\R-Right.\I'm going to use a new magic spell.\Tell no one about this.\A new magic spell?\If you can't agree to that, either give up or leave. response:	All right...
context: You're Isuzu, right?\Keep casting Meditation Nocturne.\R-Right.\I'm going to use a new magic spell.\Tell no one about this.\A new magic spell?\If you can't agree to that, either give up or leave.\All right... response:	Let's get started.
context: Keep casting Meditation Nocturne.\R-Right.\I'm going to use a new magic spell.\Tell no one about this.\A new magic spell?\If you can't agree to that, either give up or leave.\All right...\Let's get started. response:	Skills > Shiroe
context: R-Right.\I'm going to use a new magic spell.\Tell no one about this.\A new magic spell?\If you can't agree to that, either give up or leave.\All right...\Let's get started.\Skills > Shiroe response:	Undo Over-runner Mana-channeling
context: I'm going to use a new magic spell.\Tell no one about this.\A new magic spell?\If you can't agree to that, either give up or leave.\All right...\Let's get started.\Skills > Shiroe\Undo Over-runner Mana-channeling response:	Mana-channeling.
context: Tell no one about this.\A new magic spell?\If you can't agree to that, either give up or leave.\All right...\Let's get started.\Skills > Shiroe\Undo Over-runner Mana-channeling\Mana-channeling. response:	What is that?
context: A new magic spell?\If you can't agree to that, either give up or leave.\All right...\Let's get started.\Skills > Shiroe\Undo Over-runner Mana-channeling\Mana-channeling.\What is that? response:	It's an enchanter's skill that absorbs MP from all party members and returns it equally.
context: If you can't agree to that, either give up or leave.\All right...\Let's get started.\Skills > Shiroe\Undo Over-runner Mana-channeling\Mana-channeling.\What is that?\It's an enchanter's skill that absorbs MP from all party members and returns it equally. response:	But why?
context: All right...\Let's get started.\Skills > Shiroe\Undo Over-runner Mana-channeling\Mana-channeling.\What is that?\It's an enchanter's skill that absorbs MP from all party members and returns it equally.\But why? response:	Tohya Minori Isuzu
context: Let's get started.\Skills > Shiroe\Undo Over-runner Mana-channeling\Mana-channeling.\What is that?\It's an enchanter's skill that absorbs MP from all party members and returns it equally.\But why?\Tohya Minori Isuzu response:	Serara Shiroe Rundel Haus Code
context: Skills > Shiroe\Undo Over-runner Mana-channeling\Mana-channeling.\What is that?\It's an enchanter's skill that absorbs MP from all party members and returns it equally.\But why?\Tohya Minori Isuzu\Serara Shiroe Rundel Haus Code response:	Psyche is the vessel of the mind,
context: Undo Over-runner Mana-channeling\Mana-channeling.\What is that?\It's an enchanter's skill that absorbs MP from all party members and returns it equally.\But why?\Tohya Minori Isuzu\Serara Shiroe Rundel Haus Code\Psyche is the vessel of the mind, response:	and it is also MP...
context: Mana-channeling.\What is that?\It's an enchanter's skill that absorbs MP from all party members and returns it equally.\But why?\Tohya Minori Isuzu\Serara Shiroe Rundel Haus Code\Psyche is the vessel of the mind,\and it is also MP... response:	Meaning...
context: What is that?\It's an enchanter's skill that absorbs MP from all party members and returns it equally.\But why?\Tohya Minori Isuzu\Serara Shiroe Rundel Haus Code\Psyche is the vessel of the mind,\and it is also MP...\Meaning... response:	Rundel Haus Code
context: It's an enchanter's skill that absorbs MP from all party members and returns it equally.\But why?\Tohya Minori Isuzu\Serara Shiroe Rundel Haus Code\Psyche is the vessel of the mind,\and it is also MP...\Meaning...\Rundel Haus Code response:	Minori, use a revival spell.
context: But why?\Tohya Minori Isuzu\Serara Shiroe Rundel Haus Code\Psyche is the vessel of the mind,\and it is also MP...\Meaning...\Rundel Haus Code\Minori, use a revival spell. response:	Serara, continuous healing.
context: Tohya Minori Isuzu\Serara Shiroe Rundel Haus Code\Psyche is the vessel of the mind,\and it is also MP...\Meaning...\Rundel Haus Code\Minori, use a revival spell.\Serara, continuous healing. response:	Okay!
context: Serara Shiroe Rundel Haus Code\Psyche is the vessel of the mind,\and it is also MP...\Meaning...\Rundel Haus Code\Minori, use a revival spell.\Serara, continuous healing.\Okay! response:	Rundel Haus's MP, his mind, is now active, but he's still unconscious.
context: Psyche is the vessel of the mind,\and it is also MP...\Meaning...\Rundel Haus Code\Minori, use a revival spell.\Serara, continuous healing.\Okay!\Rundel Haus's MP, his mind, is now active, but he's still unconscious. response:	So the link between anima and psyche,
context: and it is also MP...\Meaning...\Rundel Haus Code\Minori, use a revival spell.\Serara, continuous healing.\Okay!\Rundel Haus's MP, his mind, is now active, but he's still unconscious.\So the link between anima and psyche, response:	his body and mind, is still cut.
context: Meaning...\Rundel Haus Code\Minori, use a revival spell.\Serara, continuous healing.\Okay!\Rundel Haus's MP, his mind, is now active, but he's still unconscious.\So the link between anima and psyche,\his body and mind, is still cut. response:	Now it's a race against time.
context: Rundel Haus Code\Minori, use a revival spell.\Serara, continuous healing.\Okay!\Rundel Haus's MP, his mind, is now active, but he's still unconscious.\So the link between anima and psyche,\his body and mind, is still cut.\Now it's a race against time. response:	Revival Incense...
context: Minori, use a revival spell.\Serara, continuous healing.\Okay!\Rundel Haus's MP, his mind, is now active, but he's still unconscious.\So the link between anima and psyche,\his body and mind, is still cut.\Now it's a race against time.\Revival Incense... response:	This will turn a dead ally or creature into a zombie for three minutes.
context: Serara, continuous healing.\Okay!\Rundel Haus's MP, his mind, is now active, but he's still unconscious.\So the link between anima and psyche,\his body and mind, is still cut.\Now it's a race against time.\Revival Incense...\This will turn a dead ally or creature into a zombie for three minutes. response:	We'll use it to forcibly connect his body and mind for three minutes.
context: Okay!\Rundel Haus's MP, his mind, is now active, but he's still unconscious.\So the link between anima and psyche,\his body and mind, is still cut.\Now it's a race against time.\Revival Incense...\This will turn a dead ally or creature into a zombie for three minutes.\We'll use it to forcibly connect his body and mind for three minutes. response:	Rudy!
context: Rundel Haus's MP, his mind, is now active, but he's still unconscious.\So the link between anima and psyche,\his body and mind, is still cut.\Now it's a race against time.\Revival Incense...\This will turn a dead ally or creature into a zombie for three minutes.\We'll use it to forcibly connect his body and mind for three minutes.\Rudy! response:	Rudy...
context: So the link between anima and psyche,\his body and mind, is still cut.\Now it's a race against time.\Revival Incense...\This will turn a dead ally or creature into a zombie for three minutes.\We'll use it to forcibly connect his body and mind for three minutes.\Rudy!\Rudy... response:	Rudy!
context: his body and mind, is still cut.\Now it's a race against time.\Revival Incense...\This will turn a dead ally or creature into a zombie for three minutes.\We'll use it to forcibly connect his body and mind for three minutes.\Rudy!\Rudy...\Rudy! response:	Rudy...
context: Now it's a race against time.\Revival Incense...\This will turn a dead ally or creature into a zombie for three minutes.\We'll use it to forcibly connect his body and mind for three minutes.\Rudy!\Rudy...\Rudy!\Rudy... response:	Rudy!
context: Revival Incense...\This will turn a dead ally or creature into a zombie for three minutes.\We'll use it to forcibly connect his body and mind for three minutes.\Rudy!\Rudy...\Rudy!\Rudy...\Rudy! response:	Miss Isuzu...
context: This will turn a dead ally or creature into a zombie for three minutes.\We'll use it to forcibly connect his body and mind for three minutes.\Rudy!\Rudy...\Rudy!\Rudy...\Rudy!\Miss Isuzu... response:	Where am I?
context: We'll use it to forcibly connect his body and mind for three minutes.\Rudy!\Rudy...\Rudy!\Rudy...\Rudy!\Miss Isuzu...\Where am I? response:	Oh, I see...
context: Rudy!\Rudy...\Rudy!\Rudy...\Rudy!\Miss Isuzu...\Where am I?\Oh, I see... response:	I died, didn't I?
context: Rudy...\Rudy!\Rudy...\Rudy!\Miss Isuzu...\Where am I?\Oh, I see...\I died, didn't I? response:	Don't look so sad, everyone...
context: Rudy!\Rudy...\Rudy!\Miss Isuzu...\Where am I?\Oh, I see...\I died, didn't I?\Don't look so sad, everyone... response:	Dying is a natural consequence of battle.
context: Rudy...\Rudy!\Miss Isuzu...\Where am I?\Oh, I see...\I died, didn't I?\Don't look so sad, everyone...\Dying is a natural consequence of battle. response:	Natural?
context: Rudy!\Miss Isuzu...\Where am I?\Oh, I see...\I died, didn't I?\Don't look so sad, everyone...\Dying is a natural consequence of battle.\Natural? response:	Even so, I wanted to be an adventurer.
context: Miss Isuzu...\Where am I?\Oh, I see...\I died, didn't I?\Don't look so sad, everyone...\Dying is a natural consequence of battle.\Natural?\Even so, I wanted to be an adventurer. response:	Don't blame Miss Isuzu.
context: Where am I?\Oh, I see...\I died, didn't I?\Don't look so sad, everyone...\Dying is a natural consequence of battle.\Natural?\Even so, I wanted to be an adventurer.\Don't blame Miss Isuzu. response:	It was I who begged her to do it.
context: Oh, I see...\I died, didn't I?\Don't look so sad, everyone...\Dying is a natural consequence of battle.\Natural?\Even so, I wanted to be an adventurer.\Don't blame Miss Isuzu.\It was I who begged her to do it. response:	I knew it, too!
context: I died, didn't I?\Don't look so sad, everyone...\Dying is a natural consequence of battle.\Natural?\Even so, I wanted to be an adventurer.\Don't blame Miss Isuzu.\It was I who begged her to do it.\I knew it, too! response:	I knew it, too, but I...
context: Don't look so sad, everyone...\Dying is a natural consequence of battle.\Natural?\Even so, I wanted to be an adventurer.\Don't blame Miss Isuzu.\It was I who begged her to do it.\I knew it, too!\I knew it, too, but I... response:	Minori...
context: Dying is a natural consequence of battle.\Natural?\Even so, I wanted to be an adventurer.\Don't blame Miss Isuzu.\It was I who begged her to do it.\I knew it, too!\I knew it, too, but I...\Minori... response:	Thank you, Miss Minori.
context: Natural?\Even so, I wanted to be an adventurer.\Don't blame Miss Isuzu.\It was I who begged her to do it.\I knew it, too!\I knew it, too, but I...\Minori...\Thank you, Miss Minori. response:	Don't let it bother you...
context: Even so, I wanted to be an adventurer.\Don't blame Miss Isuzu.\It was I who begged her to do it.\I knew it, too!\I knew it, too, but I...\Minori...\Thank you, Miss Minori.\Don't let it bother you... response:	No, I will let it bother me.
context: Don't blame Miss Isuzu.\It was I who begged her to do it.\I knew it, too!\I knew it, too, but I...\Minori...\Thank you, Miss Minori.\Don't let it bother you...\No, I will let it bother me. response:	Rundel Haus Code,
context: It was I who begged her to do it.\I knew it, too!\I knew it, too, but I...\Minori...\Thank you, Miss Minori.\Don't let it bother you...\No, I will let it bother me.\Rundel Haus Code, response:	I refuse to allow anyone who gives up so easily to call himself an adventurer.
context: I knew it, too!\I knew it, too, but I...\Minori...\Thank you, Miss Minori.\Don't let it bother you...\No, I will let it bother me.\Rundel Haus Code,\I refuse to allow anyone who gives up so easily to call himself an adventurer. response:	That's not nearly enough.
context: I knew it, too, but I...\Minori...\Thank you, Miss Minori.\Don't let it bother you...\No, I will let it bother me.\Rundel Haus Code,\I refuse to allow anyone who gives up so easily to call himself an adventurer.\That's not nearly enough. response:	What have you learned?
context: Minori...\Thank you, Miss Minori.\Don't let it bother you...\No, I will let it bother me.\Rundel Haus Code,\I refuse to allow anyone who gives up so easily to call himself an adventurer.\That's not nearly enough.\What have you learned? response:	What you acquired in the dungeon was not strategy and tactics,
context: Thank you, Miss Minori.\Don't let it bother you...\No, I will let it bother me.\Rundel Haus Code,\I refuse to allow anyone who gives up so easily to call himself an adventurer.\That's not nearly enough.\What have you learned?\What you acquired in the dungeon was not strategy and tactics, response:	but the resolve to survive, and the fortitude to do whatever it takes to do so.
context: Don't let it bother you...\No, I will let it bother me.\Rundel Haus Code,\I refuse to allow anyone who gives up so easily to call himself an adventurer.\That's not nearly enough.\What have you learned?\What you acquired in the dungeon was not strategy and tactics,\but the resolve to survive, and the fortitude to do whatever it takes to do so. response:	Am I wrong?
context: No, I will let it bother me.\Rundel Haus Code,\I refuse to allow anyone who gives up so easily to call himself an adventurer.\That's not nearly enough.\What have you learned?\What you acquired in the dungeon was not strategy and tactics,\but the resolve to survive, and the fortitude to do whatever it takes to do so.\Am I wrong? response:	Shiroe...
context: Rundel Haus Code,\I refuse to allow anyone who gives up so easily to call himself an adventurer.\That's not nearly enough.\What have you learned?\What you acquired in the dungeon was not strategy and tactics,\but the resolve to survive, and the fortitude to do whatever it takes to do so.\Am I wrong?\Shiroe... response:	Your resolve is sorely lacking, Rundel Haus!
context: I refuse to allow anyone who gives up so easily to call himself an adventurer.\That's not nearly enough.\What have you learned?\What you acquired in the dungeon was not strategy and tactics,\but the resolve to survive, and the fortitude to do whatever it takes to do so.\Am I wrong?\Shiroe...\Your resolve is sorely lacking, Rundel Haus! response:	Then what do you want me to do?
context: That's not nearly enough.\What have you learned?\What you acquired in the dungeon was not strategy and tactics,\but the resolve to survive, and the fortitude to do whatever it takes to do so.\Am I wrong?\Shiroe...\Your resolve is sorely lacking, Rundel Haus!\Then what do you want me to do? response:	Listen to me.
context: What have you learned?\What you acquired in the dungeon was not strategy and tactics,\but the resolve to survive, and the fortitude to do whatever it takes to do so.\Am I wrong?\Shiroe...\Your resolve is sorely lacking, Rundel Haus!\Then what do you want me to do?\Listen to me. response:	That's...
context: What you acquired in the dungeon was not strategy and tactics,\but the resolve to survive, and the fortitude to do whatever it takes to do so.\Am I wrong?\Shiroe...\Your resolve is sorely lacking, Rundel Haus!\Then what do you want me to do?\Listen to me.\That's... response:	A contract?
context: but the resolve to survive, and the fortitude to do whatever it takes to do so.\Am I wrong?\Shiroe...\Your resolve is sorely lacking, Rundel Haus!\Then what do you want me to do?\Listen to me.\That's...\A contract? response:	A contract.
context: Am I wrong?\Shiroe...\Your resolve is sorely lacking, Rundel Haus!\Then what do you want me to do?\Listen to me.\That's...\A contract?\A contract. response:	Shiroe, leader of the guild Log Horizon,
context: Shiroe...\Your resolve is sorely lacking, Rundel Haus!\Then what do you want me to do?\Listen to me.\That's...\A contract?\A contract.\Shiroe, leader of the guild Log Horizon, response:	establishes the following contract with Rundel Haus Code.
context: Your resolve is sorely lacking, Rundel Haus!\Then what do you want me to do?\Listen to me.\That's...\A contract?\A contract.\Shiroe, leader of the guild Log Horizon,\establishes the following contract with Rundel Haus Code. response:	Shiroe accepts him as a member of the guild Log Horizon.
context: Then what do you want me to do?\Listen to me.\That's...\A contract?\A contract.\Shiroe, leader of the guild Log Horizon,\establishes the following contract with Rundel Haus Code.\Shiroe accepts him as a member of the guild Log Horizon. response:	Rundel Haus Code will fulfill his missions in a manner befitting his position.
context: Listen to me.\That's...\A contract?\A contract.\Shiroe, leader of the guild Log Horizon,\establishes the following contract with Rundel Haus Code.\Shiroe accepts him as a member of the guild Log Horizon.\Rundel Haus Code will fulfill his missions in a manner befitting his position. response:	all necessary support required for his missions,
context: That's...\A contract?\A contract.\Shiroe, leader of the guild Log Horizon,\establishes the following contract with Rundel Haus Code.\Shiroe accepts him as a member of the guild Log Horizon.\Rundel Haus Code will fulfill his missions in a manner befitting his position.\all necessary support required for his missions, response:	to the greatest extent acceptable to both parties.
context: A contract?\A contract.\Shiroe, leader of the guild Log Horizon,\establishes the following contract with Rundel Haus Code.\Shiroe accepts him as a member of the guild Log Horizon.\Rundel Haus Code will fulfill his missions in a manner befitting his position.\all necessary support required for his missions,\to the greatest extent acceptable to both parties. response:	This includes bestowing the status of adventurer.
context: A contract.\Shiroe, leader of the guild Log Horizon,\establishes the following contract with Rundel Haus Code.\Shiroe accepts him as a member of the guild Log Horizon.\Rundel Haus Code will fulfill his missions in a manner befitting his position.\all necessary support required for his missions,\to the greatest extent acceptable to both parties.\This includes bestowing the status of adventurer. response:	Anything either party acquires, for the contract's duration,
context: Shiroe, leader of the guild Log Horizon,\establishes the following contract with Rundel Haus Code.\Shiroe accepts him as a member of the guild Log Horizon.\Rundel Haus Code will fulfill his missions in a manner befitting his position.\all necessary support required for his missions,\to the greatest extent acceptable to both parties.\This includes bestowing the status of adventurer.\Anything either party acquires, for the contract's duration, response:	remains theirs, even in the event that the contract is nullified.
context: establishes the following contract with Rundel Haus Code.\Shiroe accepts him as a member of the guild Log Horizon.\Rundel Haus Code will fulfill his missions in a manner befitting his position.\all necessary support required for his missions,\to the greatest extent acceptable to both parties.\This includes bestowing the status of adventurer.\Anything either party acquires, for the contract's duration,\remains theirs, even in the event that the contract is nullified. response:	Two copies of this contract will be signed by both parties,
context: Shiroe accepts him as a member of the guild Log Horizon.\Rundel Haus Code will fulfill his missions in a manner befitting his position.\all necessary support required for his missions,\to the greatest extent acceptable to both parties.\This includes bestowing the status of adventurer.\Anything either party acquires, for the contract's duration,\remains theirs, even in the event that the contract is nullified.\Two copies of this contract will be signed by both parties, response:	and each party will retain a copy.
context: Rundel Haus Code will fulfill his missions in a manner befitting his position.\all necessary support required for his missions,\to the greatest extent acceptable to both parties.\This includes bestowing the status of adventurer.\Anything either party acquires, for the contract's duration,\remains theirs, even in the event that the contract is nullified.\Two copies of this contract will be signed by both parties,\and each party will retain a copy. response:	Shiroe, that's...
context: all necessary support required for his missions,\to the greatest extent acceptable to both parties.\This includes bestowing the status of adventurer.\Anything either party acquires, for the contract's duration,\remains theirs, even in the event that the contract is nullified.\Two copies of this contract will be signed by both parties,\and each party will retain a copy.\Shiroe, that's... response:	A new kind of magic that didn't exist when Elder Tale was a game!
context: to the greatest extent acceptable to both parties.\This includes bestowing the status of adventurer.\Anything either party acquires, for the contract's duration,\remains theirs, even in the event that the contract is nullified.\Two copies of this contract will be signed by both parties,\and each party will retain a copy.\Shiroe, that's...\A new kind of magic that didn't exist when Elder Tale was a game! response:	The secret to cooking that Chief Nyanta told us...
context: This includes bestowing the status of adventurer.\Anything either party acquires, for the contract's duration,\remains theirs, even in the event that the contract is nullified.\Two copies of this contract will be signed by both parties,\and each party will retain a copy.\Shiroe, that's...\A new kind of magic that didn't exist when Elder Tale was a game!\The secret to cooking that Chief Nyanta told us... response:	Nyanta Race/ Cat-man Swashbuckler, Lv. 90
context: Anything either party acquires, for the contract's duration,\remains theirs, even in the event that the contract is nullified.\Two copies of this contract will be signed by both parties,\and each party will retain a copy.\Shiroe, that's...\A new kind of magic that didn't exist when Elder Tale was a game!\The secret to cooking that Chief Nyanta told us...\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 response:	If you cook it yourself, rather than relying on the cooking command,
context: remains theirs, even in the event that the contract is nullified.\Two copies of this contract will be signed by both parties,\and each party will retain a copy.\Shiroe, that's...\A new kind of magic that didn't exist when Elder Tale was a game!\The secret to cooking that Chief Nyanta told us...\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\If you cook it yourself, rather than relying on the cooking command, response:	you can make tasty food, provided your skill level is high enough.
context: Two copies of this contract will be signed by both parties,\and each party will retain a copy.\Shiroe, that's...\A new kind of magic that didn't exist when Elder Tale was a game!\The secret to cooking that Chief Nyanta told us...\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\If you cook it yourself, rather than relying on the cooking command,\you can make tasty food, provided your skill level is high enough. response:	I realized that this applied to more than cooking.
context: and each party will retain a copy.\Shiroe, that's...\A new kind of magic that didn't exist when Elder Tale was a game!\The secret to cooking that Chief Nyanta told us...\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\If you cook it yourself, rather than relying on the cooking command,\you can make tasty food, provided your skill level is high enough.\I realized that this applied to more than cooking. response:	This is a steam engine!
context: Shiroe, that's...\A new kind of magic that didn't exist when Elder Tale was a game!\The secret to cooking that Chief Nyanta told us...\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\If you cook it yourself, rather than relying on the cooking command,\you can make tasty food, provided your skill level is high enough.\I realized that this applied to more than cooking.\This is a steam engine! response:	And...
context: A new kind of magic that didn't exist when Elder Tale was a game!\The secret to cooking that Chief Nyanta told us...\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\If you cook it yourself, rather than relying on the cooking command,\you can make tasty food, provided your skill level is high enough.\I realized that this applied to more than cooking.\This is a steam engine!\And... response:	You're researching whether you can do something with the scribe skill?
context: The secret to cooking that Chief Nyanta told us...\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\If you cook it yourself, rather than relying on the cooking command,\you can make tasty food, provided your skill level is high enough.\I realized that this applied to more than cooking.\This is a steam engine!\And...\You're researching whether you can do something with the scribe skill? response:	The Fairy King's paper, made from the best ingredients in the game,
context: Nyanta Race/ Cat-man Swashbuckler, Lv. 90\If you cook it yourself, rather than relying on the cooking command,\you can make tasty food, provided your skill level is high enough.\I realized that this applied to more than cooking.\This is a steam engine!\And...\You're researching whether you can do something with the scribe skill?\The Fairy King's paper, made from the best ingredients in the game, response:	ink from the Time Dragon's eye,
context: If you cook it yourself, rather than relying on the cooking command,\you can make tasty food, provided your skill level is high enough.\I realized that this applied to more than cooking.\This is a steam engine!\And...\You're researching whether you can do something with the scribe skill?\The Fairy King's paper, made from the best ingredients in the game,\ink from the Time Dragon's eye, response:	and a contract written by a level-90 scribe.
context: you can make tasty food, provided your skill level is high enough.\I realized that this applied to more than cooking.\This is a steam engine!\And...\You're researching whether you can do something with the scribe skill?\The Fairy King's paper, made from the best ingredients in the game,\ink from the Time Dragon's eye,\and a contract written by a level-90 scribe. response:	I don't know what effect this magic will have on this world.
context: I realized that this applied to more than cooking.\This is a steam engine!\And...\You're researching whether you can do something with the scribe skill?\The Fairy King's paper, made from the best ingredients in the game,\ink from the Time Dragon's eye,\and a contract written by a level-90 scribe.\I don't know what effect this magic will have on this world. response:	But...
context: This is a steam engine!\And...\You're researching whether you can do something with the scribe skill?\The Fairy King's paper, made from the best ingredients in the game,\ink from the Time Dragon's eye,\and a contract written by a level-90 scribe.\I don't know what effect this magic will have on this world.\But... response:	I've added my signature.
context: And...\You're researching whether you can do something with the scribe skill?\The Fairy King's paper, made from the best ingredients in the game,\ink from the Time Dragon's eye,\and a contract written by a level-90 scribe.\I don't know what effect this magic will have on this world.\But...\I've added my signature. response:	Now it only needs yours.
context: You're researching whether you can do something with the scribe skill?\The Fairy King's paper, made from the best ingredients in the game,\ink from the Time Dragon's eye,\and a contract written by a level-90 scribe.\I don't know what effect this magic will have on this world.\But...\I've added my signature.\Now it only needs yours. response:	An adventurer...
context: The Fairy King's paper, made from the best ingredients in the game,\ink from the Time Dragon's eye,\and a contract written by a level-90 scribe.\I don't know what effect this magic will have on this world.\But...\I've added my signature.\Now it only needs yours.\An adventurer... response:	This contract contains an element of risk.
context: ink from the Time Dragon's eye,\and a contract written by a level-90 scribe.\I don't know what effect this magic will have on this world.\But...\I've added my signature.\Now it only needs yours.\An adventurer...\This contract contains an element of risk. response:	You'll be a different kind of being than you've been until now.
context: and a contract written by a level-90 scribe.\I don't know what effect this magic will have on this world.\But...\I've added my signature.\Now it only needs yours.\An adventurer...\This contract contains an element of risk.\You'll be a different kind of being than you've been until now. response:	We adventurers are still new to this world, and we don't know
context: I don't know what effect this magic will have on this world.\But...\I've added my signature.\Now it only needs yours.\An adventurer...\This contract contains an element of risk.\You'll be a different kind of being than you've been until now.\We adventurers are still new to this world, and we don't know response:	what we'll be caught up in from here on.
context: But...\I've added my signature.\Now it only needs yours.\An adventurer...\This contract contains an element of risk.\You'll be a different kind of being than you've been until now.\We adventurers are still new to this world, and we don't know\what we'll be caught up in from here on. response:	I don't think adventurers garner all the glory you believe them to.
context: I've added my signature.\Now it only needs yours.\An adventurer...\This contract contains an element of risk.\You'll be a different kind of being than you've been until now.\We adventurers are still new to this world, and we don't know\what we'll be caught up in from here on.\I don't think adventurers garner all the glory you believe them to. response:	What I want is to be...
context: Now it only needs yours.\An adventurer...\This contract contains an element of risk.\You'll be a different kind of being than you've been until now.\We adventurers are still new to this world, and we don't know\what we'll be caught up in from here on.\I don't think adventurers garner all the glory you believe them to.\What I want is to be... response:	an adventurer.
context: An adventurer...\This contract contains an element of risk.\You'll be a different kind of being than you've been until now.\We adventurers are still new to this world, and we don't know\what we'll be caught up in from here on.\I don't think adventurers garner all the glory you believe them to.\What I want is to be...\an adventurer. response:	If I can save people who need my help,
context: This contract contains an element of risk.\You'll be a different kind of being than you've been until now.\We adventurers are still new to this world, and we don't know\what we'll be caught up in from here on.\I don't think adventurers garner all the glory you believe them to.\What I want is to be...\an adventurer.\If I can save people who need my help, response:	I don't care about the details...
context: You'll be a different kind of being than you've been until now.\We adventurers are still new to this world, and we don't know\what we'll be caught up in from here on.\I don't think adventurers garner all the glory you believe them to.\What I want is to be...\an adventurer.\If I can save people who need my help,\I don't care about the details... response:	I don't want glory.
context: We adventurers are still new to this world, and we don't know\what we'll be caught up in from here on.\I don't think adventurers garner all the glory you believe them to.\What I want is to be...\an adventurer.\If I can save people who need my help,\I don't care about the details...\I don't want glory. response:	I want to be an adventurer.
context: what we'll be caught up in from here on.\I don't think adventurers garner all the glory you believe them to.\What I want is to be...\an adventurer.\If I can save people who need my help,\I don't care about the details...\I don't want glory.\I want to be an adventurer. response:	It's okay.
context: I don't think adventurers garner all the glory you believe them to.\What I want is to be...\an adventurer.\If I can save people who need my help,\I don't care about the details...\I don't want glory.\I want to be an adventurer.\It's okay. response:	I'll write it with you.
context: What I want is to be...\an adventurer.\If I can save people who need my help,\I don't care about the details...\I don't want glory.\I want to be an adventurer.\It's okay.\I'll write it with you. response:	You need to die once, Rundel Haus.
context: an adventurer.\If I can save people who need my help,\I don't care about the details...\I don't want glory.\I want to be an adventurer.\It's okay.\I'll write it with you.\You need to die once, Rundel Haus. response:	You'll come back to life at the Cathedral.
context: If I can save people who need my help,\I don't care about the details...\I don't want glory.\I want to be an adventurer.\It's okay.\I'll write it with you.\You need to die once, Rundel Haus.\You'll come back to life at the Cathedral. response:	A summoned creature, restricted to characters level 86 and above...
context: I don't care about the details...\I don't want glory.\I want to be an adventurer.\It's okay.\I'll write it with you.\You need to die once, Rundel Haus.\You'll come back to life at the Cathedral.\A summoned creature, restricted to characters level 86 and above... response:	The phoenix.
context: I don't want glory.\I want to be an adventurer.\It's okay.\I'll write it with you.\You need to die once, Rundel Haus.\You'll come back to life at the Cathedral.\A summoned creature, restricted to characters level 86 and above...\The phoenix. response:	Now, then... Let's tear them apart.
context: I want to be an adventurer.\It's okay.\I'll write it with you.\You need to die once, Rundel Haus.\You'll come back to life at the Cathedral.\A summoned creature, restricted to characters level 86 and above...\The phoenix.\Now, then... Let's tear them apart. response:	The main dish is finished.
context: It's okay.\I'll write it with you.\You need to die once, Rundel Haus.\You'll come back to life at the Cathedral.\A summoned creature, restricted to characters level 86 and above...\The phoenix.\Now, then... Let's tear them apart.\The main dish is finished. response:	We'll leave the rest to the strategic headquarters cordon.
context: I'll write it with you.\You need to die once, Rundel Haus.\You'll come back to life at the Cathedral.\A summoned creature, restricted to characters level 86 and above...\The phoenix.\Now, then... Let's tear them apart.\The main dish is finished.\We'll leave the rest to the strategic headquarters cordon. response:	Are you okay, Marie?
