context: From one fierce battle after another, response:	we Alliance members had finally defeated all the members of Oracion Seis!
context: I never thought there would be someone who could use Archive like Brain.\I see. So he knew about Nirvana because of his Archive.\Listen well, wizards of the light!\Starting now, I will destroy everything!\As a start, I have destroyed three of your friends.\A Dragon Slayer...\An Ice Creation Wizard...\A Celestial Spirit Wizard! response:	And maybe some cat, too...
context: I see. So he knew about Nirvana because of his Archive.\Listen well, wizards of the light!\Starting now, I will destroy everything!\As a start, I have destroyed three of your friends.\A Dragon Slayer...\An Ice Creation Wizard...\A Celestial Spirit Wizard!\And maybe some cat, too... response:	Natsu and the others are...
context: Listen well, wizards of the light!\Starting now, I will destroy everything!\As a start, I have destroyed three of your friends.\A Dragon Slayer...\An Ice Creation Wizard...\A Celestial Spirit Wizard!\And maybe some cat, too...\Natsu and the others are... response:	That's got to be a lie!
context: Starting now, I will destroy everything!\As a start, I have destroyed three of your friends.\A Dragon Slayer...\An Ice Creation Wizard...\A Celestial Spirit Wizard!\And maybe some cat, too...\Natsu and the others are...\That's got to be a lie! response:	I believe you said something about destroying the lacrima at the same time?
context: As a start, I have destroyed three of your friends.\A Dragon Slayer...\An Ice Creation Wizard...\A Celestial Spirit Wizard!\And maybe some cat, too...\Natsu and the others are...\That's got to be a lie!\I believe you said something about destroying the lacrima at the same time? response:	Right now, I am standing in front of one of those six lacrima!
context: A Dragon Slayer...\An Ice Creation Wizard...\A Celestial Spirit Wizard!\And maybe some cat, too...\Natsu and the others are...\That's got to be a lie!\I believe you said something about destroying the lacrima at the same time?\Right now, I am standing in front of one of those six lacrima! response:	As long as I am here, destroying all six at the same time is impossible!
context: An Ice Creation Wizard...\A Celestial Spirit Wizard!\And maybe some cat, too...\Natsu and the others are...\That's got to be a lie!\I believe you said something about destroying the lacrima at the same time?\Right now, I am standing in front of one of those six lacrima!\As long as I am here, destroying all six at the same time is impossible! response:	Zero has cut off his transmission...
context: A Celestial Spirit Wizard!\And maybe some cat, too...\Natsu and the others are...\That's got to be a lie!\I believe you said something about destroying the lacrima at the same time?\Right now, I am standing in front of one of those six lacrima!\As long as I am here, destroying all six at the same time is impossible!\Zero has cut off his transmission... response:	If we are going to destroy all six at the same time,
context: And maybe some cat, too...\Natsu and the others are...\That's got to be a lie!\I believe you said something about destroying the lacrima at the same time?\Right now, I am standing in front of one of those six lacrima!\As long as I am here, destroying all six at the same time is impossible!\Zero has cut off his transmission...\If we are going to destroy all six at the same time, response:	then we have no choice but to split up and each head to a different place.
context: Natsu and the others are...\That's got to be a lie!\I believe you said something about destroying the lacrima at the same time?\Right now, I am standing in front of one of those six lacrima!\As long as I am here, destroying all six at the same time is impossible!\Zero has cut off his transmission...\If we are going to destroy all six at the same time,\then we have no choice but to split up and each head to a different place. response:	The chances of encountering Zero are 1 in 6.
context: That's got to be a lie!\I believe you said something about destroying the lacrima at the same time?\Right now, I am standing in front of one of those six lacrima!\As long as I am here, destroying all six at the same time is impossible!\Zero has cut off his transmission...\If we are going to destroy all six at the same time,\then we have no choice but to split up and each head to a different place.\The chances of encountering Zero are 1 in 6. response:	And what's more, unless it's you, Erza, there's no chance of winning against him.
context: I believe you said something about destroying the lacrima at the same time?\Right now, I am standing in front of one of those six lacrima!\As long as I am here, destroying all six at the same time is impossible!\Zero has cut off his transmission...\If we are going to destroy all six at the same time,\then we have no choice but to split up and each head to a different place.\The chances of encountering Zero are 1 in 6.\And what's more, unless it's you, Erza, there's no chance of winning against him. response:	Wait a second! What are you even saying?
context: Right now, I am standing in front of one of those six lacrima!\As long as I am here, destroying all six at the same time is impossible!\Zero has cut off his transmission...\If we are going to destroy all six at the same time,\then we have no choice but to split up and each head to a different place.\The chances of encountering Zero are 1 in 6.\And what's more, unless it's you, Erza, there's no chance of winning against him.\Wait a second! What are you even saying? response:	We don't have six people!
context: As long as I am here, destroying all six at the same time is impossible!\Zero has cut off his transmission...\If we are going to destroy all six at the same time,\then we have no choice but to split up and each head to a different place.\The chances of encountering Zero are 1 in 6.\And what's more, unless it's you, Erza, there's no chance of winning against him.\Wait a second! What are you even saying?\We don't have six people! response:	We don't have six wizards that could destroy the lacrima!
context: Zero has cut off his transmission...\If we are going to destroy all six at the same time,\then we have no choice but to split up and each head to a different place.\The chances of encountering Zero are 1 in 6.\And what's more, unless it's you, Erza, there's no chance of winning against him.\Wait a second! What are you even saying?\We don't have six people!\We don't have six wizards that could destroy the lacrima! response:	I'm sorry!
context: If we are going to destroy all six at the same time,\then we have no choice but to split up and each head to a different place.\The chances of encountering Zero are 1 in 6.\And what's more, unless it's you, Erza, there's no chance of winning against him.\Wait a second! What are you even saying?\We don't have six people!\We don't have six wizards that could destroy the lacrima!\I'm sorry! response:	We have two here.
context: then we have no choice but to split up and each head to a different place.\The chances of encountering Zero are 1 in 6.\And what's more, unless it's you, Erza, there's no chance of winning against him.\Wait a second! What are you even saying?\We don't have six people!\We don't have six wizards that could destroy the lacrima!\I'm sorry!\We have two here. response:	Is there no one else that can move?
context: The chances of encountering Zero are 1 in 6.\And what's more, unless it's you, Erza, there's no chance of winning against him.\Wait a second! What are you even saying?\We don't have six people!\We don't have six wizards that could destroy the lacrima!\I'm sorry!\We have two here.\Is there no one else that can move? response:	My honey...
context: And what's more, unless it's you, Erza, there's no chance of winning against him.\Wait a second! What are you even saying?\We don't have six people!\We don't have six wizards that could destroy the lacrima!\I'm sorry!\We have two here.\Is there no one else that can move?\My honey... response:	Am I not still here?
context: Wait a second! What are you even saying?\We don't have six people!\We don't have six wizards that could destroy the lacrima!\I'm sorry!\We have two here.\Is there no one else that can move?\My honey...\Am I not still here? response:	Although I am tied up...
context: We don't have six people!\We don't have six wizards that could destroy the lacrima!\I'm sorry!\We have two here.\Is there no one else that can move?\My honey...\Am I not still here?\Although I am tied up... response:	Ichiya-san!
context: We don't have six wizards that could destroy the lacrima!\I'm sorry!\We have two here.\Is there no one else that can move?\My honey...\Am I not still here?\Although I am tied up...\Ichiya-san! response:	That makes... three.
context: I'm sorry!\We have two here.\Is there no one else that can move?\My honey...\Am I not still here?\Although I am tied up...\Ichiya-san!\That makes... three. response:	Uh-oh! My magic power is... My telepathy is going to run out...
context: We have two here.\Is there no one else that can move?\My honey...\Am I not still here?\Although I am tied up...\Ichiya-san!\That makes... three.\Uh-oh! My magic power is... My telepathy is going to run out... response:	We need three more! Someone answer me!
context: Is there no one else that can move?\My honey...\Am I not still here?\Although I am tied up...\Ichiya-san!\That makes... three.\Uh-oh! My magic power is... My telepathy is going to run out...\We need three more! Someone answer me! response:	Is there no one else?
context: My honey...\Am I not still here?\Although I am tied up...\Ichiya-san!\That makes... three.\Uh-oh! My magic power is... My telepathy is going to run out...\We need three more! Someone answer me!\Is there no one else? response:	Look! Christina is...
context: Am I not still here?\Although I am tied up...\Ichiya-san!\That makes... three.\Uh-oh! My magic power is... My telepathy is going to run out...\We need three more! Someone answer me!\Is there no one else?\Look! Christina is... response:	It's losing altitude!
context: Although I am tied up...\Ichiya-san!\That makes... three.\Uh-oh! My magic power is... My telepathy is going to run out...\We need three more! Someone answer me!\Is there no one else?\Look! Christina is...\It's losing altitude! response:	Damn it... I've run out of magic...
context: Ichiya-san!\That makes... three.\Uh-oh! My magic power is... My telepathy is going to run out...\We need three more! Someone answer me!\Is there no one else?\Look! Christina is...\It's losing altitude!\Damn it... I've run out of magic... response:	Pathetic...
context: That makes... three.\Uh-oh! My magic power is... My telepathy is going to run out...\We need three more! Someone answer me!\Is there no one else?\Look! Christina is...\It's losing altitude!\Damn it... I've run out of magic...\Pathetic... response:	I'm... sorry.
context: Uh-oh! My magic power is... My telepathy is going to run out...\We need three more! Someone answer me!\Is there no one else?\Look! Christina is...\It's losing altitude!\Damn it... I've run out of magic...\Pathetic...\I'm... sorry. response:	Sherry!
context: We need three more! Someone answer me!\Is there no one else?\Look! Christina is...\It's losing altitude!\Damn it... I've run out of magic...\Pathetic...\I'm... sorry.\Sherry! response:	Christina is crashing!
context: Is there no one else?\Look! Christina is...\It's losing altitude!\Damn it... I've run out of magic...\Pathetic...\I'm... sorry.\Sherry!\Christina is crashing! response:	Gray...
context: Look! Christina is...\It's losing altitude!\Damn it... I've run out of magic...\Pathetic...\I'm... sorry.\Sherry!\Christina is crashing!\Gray... response:	Stand up...
context: It's losing altitude!\Damn it... I've run out of magic...\Pathetic...\I'm... sorry.\Sherry!\Christina is crashing!\Gray...\Stand up... response:	You're a proud disciple of Ul!
context: Damn it... I've run out of magic...\Pathetic...\I'm... sorry.\Sherry!\Christina is crashing!\Gray...\Stand up...\You're a proud disciple of Ul! response:	You aren't going to lose to the likes of them!
context: Pathetic...\I'm... sorry.\Sherry!\Christina is crashing!\Gray...\Stand up...\You're a proud disciple of Ul!\You aren't going to lose to the likes of them! response:	Lucy... I... really hate you.
context: I'm... sorry.\Sherry!\Christina is crashing!\Gray...\Stand up...\You're a proud disciple of Ul!\You aren't going to lose to the likes of them!\Lucy... I... really hate you. response:	Just'cause you're a little cute, you think you're all that.
context: Sherry!\Christina is crashing!\Gray...\Stand up...\You're a proud disciple of Ul!\You aren't going to lose to the likes of them!\Lucy... I... really hate you.\Just'cause you're a little cute, you think you're all that. response:	Even though you're stupid and clumsy and a weakling...
context: Christina is crashing!\Gray...\Stand up...\You're a proud disciple of Ul!\You aren't going to lose to the likes of them!\Lucy... I... really hate you.\Just'cause you're a little cute, you think you're all that.\Even though you're stupid and clumsy and a weakling... response:	But how can I hate you if you die?
context: Gray...\Stand up...\You're a proud disciple of Ul!\You aren't going to lose to the likes of them!\Lucy... I... really hate you.\Just'cause you're a little cute, you think you're all that.\Even though you're stupid and clumsy and a weakling...\But how can I hate you if you die? response:	It wouldn't feel right... So answer me!
context: Stand up...\You're a proud disciple of Ul!\You aren't going to lose to the likes of them!\Lucy... I... really hate you.\Just'cause you're a little cute, you think you're all that.\Even though you're stupid and clumsy and a weakling...\But how can I hate you if you die?\It wouldn't feel right... So answer me! response:	Natsu-san...
context: You're a proud disciple of Ul!\You aren't going to lose to the likes of them!\Lucy... I... really hate you.\Just'cause you're a little cute, you think you're all that.\Even though you're stupid and clumsy and a weakling...\But how can I hate you if you die?\It wouldn't feel right... So answer me!\Natsu-san... response:	He-cat...
context: You aren't going to lose to the likes of them!\Lucy... I... really hate you.\Just'cause you're a little cute, you think you're all that.\Even though you're stupid and clumsy and a weakling...\But how can I hate you if you die?\It wouldn't feel right... So answer me!\Natsu-san...\He-cat... response:	Natsu...
context: Lucy... I... really hate you.\Just'cause you're a little cute, you think you're all that.\Even though you're stupid and clumsy and a weakling...\But how can I hate you if you die?\It wouldn't feel right... So answer me!\Natsu-san...\He-cat...\Natsu... response:	Can you hear our voices?
context: Just'cause you're a little cute, you think you're all that.\Even though you're stupid and clumsy and a weakling...\But how can I hate you if you die?\It wouldn't feel right... So answer me!\Natsu-san...\He-cat...\Natsu...\Can you hear our voices? response:	We... can... hear you...!
context: Even though you're stupid and clumsy and a weakling...\But how can I hate you if you die?\It wouldn't feel right... So answer me!\Natsu-san...\He-cat...\Natsu...\Can you hear our voices?\We... can... hear you...! response:	Natsu-kun...
context: But how can I hate you if you die?\It wouldn't feel right... So answer me!\Natsu-san...\He-cat...\Natsu...\Can you hear our voices?\We... can... hear you...!\Natsu-kun... response:	We'll destroy... all six... lacrima at once...
context: It wouldn't feel right... So answer me!\Natsu-san...\He-cat...\Natsu...\Can you hear our voices?\We... can... hear you...!\Natsu-kun...\We'll destroy... all six... lacrima at once... response:	Men...
context: Natsu-san...\He-cat...\Natsu...\Can you hear our voices?\We... can... hear you...!\Natsu-kun...\We'll destroy... all six... lacrima at once...\Men... response:	And a lucky one gets to fight Zero on the way, right?
context: He-cat...\Natsu...\Can you hear our voices?\We... can... hear you...!\Natsu-kun...\We'll destroy... all six... lacrima at once...\Men...\And a lucky one gets to fight Zero on the way, right? response:	There's only 18 minutes left... We have to hurry.
context: Natsu...\Can you hear our voices?\We... can... hear you...!\Natsu-kun...\We'll destroy... all six... lacrima at once...\Men...\And a lucky one gets to fight Zero on the way, right?\There's only 18 minutes left... We have to hurry. response:	We're gonna protect Carla and Wendy's guild!
context: Can you hear our voices?\We... can... hear you...!\Natsu-kun...\We'll destroy... all six... lacrima at once...\Men...\And a lucky one gets to fight Zero on the way, right?\There's only 18 minutes left... We have to hurry.\We're gonna protect Carla and Wendy's guild! response:	My telepathy is going to run out soon.
context: We... can... hear you...!\Natsu-kun...\We'll destroy... all six... lacrima at once...\Men...\And a lucky one gets to fight Zero on the way, right?\There's only 18 minutes left... We have to hurry.\We're gonna protect Carla and Wendy's guild!\My telepathy is going to run out soon. response:	You should have a map in your brains that I sent you.
context: Natsu-kun...\We'll destroy... all six... lacrima at once...\Men...\And a lucky one gets to fight Zero on the way, right?\There's only 18 minutes left... We have to hurry.\We're gonna protect Carla and Wendy's guild!\My telepathy is going to run out soon.\You should have a map in your brains that I sent you. response:	I numbered each of the lacrima.
context: We'll destroy... all six... lacrima at once...\Men...\And a lucky one gets to fight Zero on the way, right?\There's only 18 minutes left... We have to hurry.\We're gonna protect Carla and Wendy's guild!\My telepathy is going to run out soon.\You should have a map in your brains that I sent you.\I numbered each of the lacrima. response:	Decide on which one of you goes...
context: Men...\And a lucky one gets to fight Zero on the way, right?\There's only 18 minutes left... We have to hurry.\We're gonna protect Carla and Wendy's guild!\My telepathy is going to run out soon.\You should have a map in your brains that I sent you.\I numbered each of the lacrima.\Decide on which one of you goes... response:	Sherry... You try too hard.
context: And a lucky one gets to fight Zero on the way, right?\There's only 18 minutes left... We have to hurry.\We're gonna protect Carla and Wendy's guild!\My telepathy is going to run out soon.\You should have a map in your brains that I sent you.\I numbered each of the lacrima.\Decide on which one of you goes...\Sherry... You try too hard. response:	One!
context: There's only 18 minutes left... We have to hurry.\We're gonna protect Carla and Wendy's guild!\My telepathy is going to run out soon.\You should have a map in your brains that I sent you.\I numbered each of the lacrima.\Decide on which one of you goes...\Sherry... You try too hard.\One! response:	Two!
context: We're gonna protect Carla and Wendy's guild!\My telepathy is going to run out soon.\You should have a map in your brains that I sent you.\I numbered each of the lacrima.\Decide on which one of you goes...\Sherry... You try too hard.\One!\Two! response:	I'll go to three!
context: My telepathy is going to run out soon.\You should have a map in your brains that I sent you.\I numbered each of the lacrima.\Decide on which one of you goes...\Sherry... You try too hard.\One!\Two!\I'll go to three! response:	I just hope Zero's not there!
context: You should have a map in your brains that I sent you.\I numbered each of the lacrima.\Decide on which one of you goes...\Sherry... You try too hard.\One!\Two!\I'll go to three!\I just hope Zero's not there! response:	I will head to four.
context: I numbered each of the lacrima.\Decide on which one of you goes...\Sherry... You try too hard.\One!\Two!\I'll go to three!\I just hope Zero's not there!\I will head to four. response:	My parfum tells me that it is the closest one to me.
context: Decide on which one of you goes...\Sherry... You try too hard.\One!\Two!\I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me. response:	The map is what told you.
context: Sherry... You try too hard.\One!\Two!\I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you. response:	Was it really necessary to correct me?
context: One!\Two!\I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me? response:	I'll take five.
context: Two!\I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five. response:	Erza! You doing okay?
context: I'll go to three!\I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five.\Erza! You doing okay? response:	Yeah... Thanks to her.
context: I just hope Zero's not there!\I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five.\Erza! You doing okay?\Yeah... Thanks to her. response:	Then, I'll...
context: I will head to four.\My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five.\Erza! You doing okay?\Yeah... Thanks to her.\Then, I'll... response:	You're six.
context: My parfum tells me that it is the closest one to me.\The map is what told you.\Was it really necessary to correct me?\I'll take five.\Erza! You doing okay?\Yeah... Thanks to her.\Then, I'll...\You're six. response:	Was there someone else?
context: The map is what told you.\Was it really necessary to correct me?\I'll take five.\Erza! You doing okay?\Yeah... Thanks to her.\Then, I'll...\You're six.\Was there someone else? response:	Who was that just now?
context: Was it really necessary to correct me?\I'll take five.\Erza! You doing okay?\Yeah... Thanks to her.\Then, I'll...\You're six.\Was there someone else?\Who was that just now? response:	Natsu doesn't know about your circumstances yet.
context: I'll take five.\Erza! You doing okay?\Yeah... Thanks to her.\Then, I'll...\You're six.\Was there someone else?\Who was that just now?\Natsu doesn't know about your circumstances yet. response:	He thinks you're an enemy. Don't speak.
context: Erza! You doing okay?\Yeah... Thanks to her.\Then, I'll...\You're six.\Was there someone else?\Who was that just now?\Natsu doesn't know about your circumstances yet.\He thinks you're an enemy. Don't speak. response:	Hey!
context: Yeah... Thanks to her.\Then, I'll...\You're six.\Was there someone else?\Who was that just now?\Natsu doesn't know about your circumstances yet.\He thinks you're an enemy. Don't speak.\Hey! response:	The telepathy cut off...
context: Then, I'll...\You're six.\Was there someone else?\Who was that just now?\Natsu doesn't know about your circumstances yet.\He thinks you're an enemy. Don't speak.\Hey!\The telepathy cut off... response:	He was at his limit...
context: You're six.\Was there someone else?\Who was that just now?\Natsu doesn't know about your circumstances yet.\He thinks you're an enemy. Don't speak.\Hey!\The telepathy cut off...\He was at his limit... response:	That makes six.
context: Was there someone else?\Who was that just now?\Natsu doesn't know about your circumstances yet.\He thinks you're an enemy. Don't speak.\Hey!\The telepathy cut off...\He was at his limit...\That makes six. response:	We have to hurry!
context: Who was that just now?\Natsu doesn't know about your circumstances yet.\He thinks you're an enemy. Don't speak.\Hey!\The telepathy cut off...\He was at his limit...\That makes six.\We have to hurry! response:	Anyway, it sounds like we have six people.
context: Natsu doesn't know about your circumstances yet.\He thinks you're an enemy. Don't speak.\Hey!\The telepathy cut off...\He was at his limit...\That makes six.\We have to hurry!\Anyway, it sounds like we have six people. response:	Let's go! Whoever runs into Zero is responsible for defeating him!
context: He thinks you're an enemy. Don't speak.\Hey!\The telepathy cut off...\He was at his limit...\That makes six.\We have to hurry!\Anyway, it sounds like we have six people.\Let's go! Whoever runs into Zero is responsible for defeating him! response:	Everyone has their own place to go, so there's no backup!
context: Hey!\The telepathy cut off...\He was at his limit...\That makes six.\We have to hurry!\Anyway, it sounds like we have six people.\Let's go! Whoever runs into Zero is responsible for defeating him!\Everyone has their own place to go, so there's no backup! response:	Men! Men! Men! Men!
context: The telepathy cut off...\He was at his limit...\That makes six.\We have to hurry!\Anyway, it sounds like we have six people.\Let's go! Whoever runs into Zero is responsible for defeating him!\Everyone has their own place to go, so there's no backup!\Men! Men! Men! Men! response:	Four! I am going to four!
context: He was at his limit...\That makes six.\We have to hurry!\Anyway, it sounds like we have six people.\Let's go! Whoever runs into Zero is responsible for defeating him!\Everyone has their own place to go, so there's no backup!\Men! Men! Men! Men!\Four! I am going to four! response:	Everyone is counting on me!
context: That makes six.\We have to hurry!\Anyway, it sounds like we have six people.\Let's go! Whoever runs into Zero is responsible for defeating him!\Everyone has their own place to go, so there's no backup!\Men! Men! Men! Men!\Four! I am going to four!\Everyone is counting on me! response:	I cannot betray that trust, no matter what!
context: We have to hurry!\Anyway, it sounds like we have six people.\Let's go! Whoever runs into Zero is responsible for defeating him!\Everyone has their own place to go, so there's no backup!\Men! Men! Men! Men!\Four! I am going to four!\Everyone is counting on me!\I cannot betray that trust, no matter what! response:	I don't have time to catch my breath!
context: Anyway, it sounds like we have six people.\Let's go! Whoever runs into Zero is responsible for defeating him!\Everyone has their own place to go, so there's no backup!\Men! Men! Men! Men!\Four! I am going to four!\Everyone is counting on me!\I cannot betray that trust, no matter what!\I don't have time to catch my breath! response:	I am still young! Men! Men!
context: Let's go! Whoever runs into Zero is responsible for defeating him!\Everyone has their own place to go, so there's no backup!\Men! Men! Men! Men!\Four! I am going to four!\Everyone is counting on me!\I cannot betray that trust, no matter what!\I don't have time to catch my breath!\I am still young! Men! Men! response:	Still alive, are we?
context: Everyone has their own place to go, so there's no backup!\Men! Men! Men! Men!\Four! I am going to four!\Everyone is counting on me!\I cannot betray that trust, no matter what!\I don't have time to catch my breath!\I am still young! Men! Men!\Still alive, are we? response:	What'd you come here for, you little brat?
context: Men! Men! Men! Men!\Four! I am going to four!\Everyone is counting on me!\I cannot betray that trust, no matter what!\I don't have time to catch my breath!\I am still young! Men! Men!\Still alive, are we?\What'd you come here for, you little brat? response:	Will it be you who breaks, or me?
context: Four! I am going to four!\Everyone is counting on me!\I cannot betray that trust, no matter what!\I don't have time to catch my breath!\I am still young! Men! Men!\Still alive, are we?\What'd you come here for, you little brat?\Will it be you who breaks, or me? response:	Let's find out!
context: Everyone is counting on me!\I cannot betray that trust, no matter what!\I don't have time to catch my breath!\I am still young! Men! Men!\Still alive, are we?\What'd you come here for, you little brat?\Will it be you who breaks, or me?\Let's find out! response:	I think Zero is at number one.
context: I cannot betray that trust, no matter what!\I don't have time to catch my breath!\I am still young! Men! Men!\Still alive, are we?\What'd you come here for, you little brat?\Will it be you who breaks, or me?\Let's find out!\I think Zero is at number one. response:	Where Natsu-san is going!
context: I don't have time to catch my breath!\I am still young! Men! Men!\Still alive, are we?\What'd you come here for, you little brat?\Will it be you who breaks, or me?\Let's find out!\I think Zero is at number one.\Where Natsu-san is going! response:	He has a good nose.
context: I am still young! Men! Men!\Still alive, are we?\What'd you come here for, you little brat?\Will it be you who breaks, or me?\Let's find out!\I think Zero is at number one.\Where Natsu-san is going!\He has a good nose. response:	He chose one for that reason.
context: Still alive, are we?\What'd you come here for, you little brat?\Will it be you who breaks, or me?\Let's find out!\I think Zero is at number one.\Where Natsu-san is going!\He has a good nose.\He chose one for that reason. response:	Then let's go and give him backup!
context: What'd you come here for, you little brat?\Will it be you who breaks, or me?\Let's find out!\I think Zero is at number one.\Where Natsu-san is going!\He has a good nose.\He chose one for that reason.\Then let's go and give him backup! response:	If we all fight together, then...
context: Will it be you who breaks, or me?\Let's find out!\I think Zero is at number one.\Where Natsu-san is going!\He has a good nose.\He chose one for that reason.\Then let's go and give him backup!\If we all fight together, then... response:	Don't underestimate Natsu.
context: Let's find out!\I think Zero is at number one.\Where Natsu-san is going!\He has a good nose.\He chose one for that reason.\Then let's go and give him backup!\If we all fight together, then...\Don't underestimate Natsu. response:	Leave everything to him and we'll be fine.
context: I think Zero is at number one.\Where Natsu-san is going!\He has a good nose.\He chose one for that reason.\Then let's go and give him backup!\If we all fight together, then...\Don't underestimate Natsu.\Leave everything to him and we'll be fine. response:	Na...tsu...?
context: Where Natsu-san is going!\He has a good nose.\He chose one for that reason.\Then let's go and give him backup!\If we all fight together, then...\Don't underestimate Natsu.\Leave everything to him and we'll be fine.\Na...tsu...? response:	We need to head to our destination!
context: He has a good nose.\He chose one for that reason.\Then let's go and give him backup!\If we all fight together, then...\Don't underestimate Natsu.\Leave everything to him and we'll be fine.\Na...tsu...?\We need to head to our destination! response:	I'm five. You're six, Jellal.
context: He chose one for that reason.\Then let's go and give him backup!\If we all fight together, then...\Don't underestimate Natsu.\Leave everything to him and we'll be fine.\Na...tsu...?\We need to head to our destination!\I'm five. You're six, Jellal. response:	Jellal...
context: Then let's go and give him backup!\If we all fight together, then...\Don't underestimate Natsu.\Leave everything to him and we'll be fine.\Na...tsu...?\We need to head to our destination!\I'm five. You're six, Jellal.\Jellal... response:	No... It's nothing...
context: If we all fight together, then...\Don't underestimate Natsu.\Leave everything to him and we'll be fine.\Na...tsu...?\We need to head to our destination!\I'm five. You're six, Jellal.\Jellal...\No... It's nothing... response:	Natsu Dragneel...
context: Don't underestimate Natsu.\Leave everything to him and we'll be fine.\Na...tsu...?\We need to head to our destination!\I'm five. You're six, Jellal.\Jellal...\No... It's nothing...\Natsu Dragneel... response:	You move better than you did before...
context: Leave everything to him and we'll be fine.\Na...tsu...?\We need to head to our destination!\I'm five. You're six, Jellal.\Jellal...\No... It's nothing...\Natsu Dragneel...\You move better than you did before... response:	Dark Capriccio!
context: Na...tsu...?\We need to head to our destination!\I'm five. You're six, Jellal.\Jellal...\No... It's nothing...\Natsu Dragneel...\You move better than you did before...\Dark Capriccio! response:	Don't think I'm on the same level as Brain.
context: We need to head to our destination!\I'm five. You're six, Jellal.\Jellal...\No... It's nothing...\Natsu Dragneel...\You move better than you did before...\Dark Capriccio!\Don't think I'm on the same level as Brain. response:	Which one of us will break, you say?
context: I'm five. You're six, Jellal.\Jellal...\No... It's nothing...\Natsu Dragneel...\You move better than you did before...\Dark Capriccio!\Don't think I'm on the same level as Brain.\Which one of us will break, you say? response:	It'll be you, obviously!
context: Jellal...\No... It's nothing...\Natsu Dragneel...\You move better than you did before...\Dark Capriccio!\Don't think I'm on the same level as Brain.\Which one of us will break, you say?\It'll be you, obviously! response:	Iron Fist of the Fire Dragon!
context: No... It's nothing...\Natsu Dragneel...\You move better than you did before...\Dark Capriccio!\Don't think I'm on the same level as Brain.\Which one of us will break, you say?\It'll be you, obviously!\Iron Fist of the Fire Dragon! response:	You're able to stop piercing magic... Interesting.
context: Natsu Dragneel...\You move better than you did before...\Dark Capriccio!\Don't think I'm on the same level as Brain.\Which one of us will break, you say?\It'll be you, obviously!\Iron Fist of the Fire Dragon!\You're able to stop piercing magic... Interesting. response:	Who is it?
context: You move better than you did before...\Dark Capriccio!\Don't think I'm on the same level as Brain.\Which one of us will break, you say?\It'll be you, obviously!\Iron Fist of the Fire Dragon!\You're able to stop piercing magic... Interesting.\Who is it? response:	Jellal!
context: Dark Capriccio!\Don't think I'm on the same level as Brain.\Which one of us will break, you say?\It'll be you, obviously!\Iron Fist of the Fire Dragon!\You're able to stop piercing magic... Interesting.\Who is it?\Jellal! response:	Did your memories return?
context: Don't think I'm on the same level as Brain.\Which one of us will break, you say?\It'll be you, obviously!\Iron Fist of the Fire Dragon!\You're able to stop piercing magic... Interesting.\Who is it?\Jellal!\Did your memories return? response:	We know how to stop Nirvana, so it's time to cut loose!
context: Which one of us will break, you say?\It'll be you, obviously!\Iron Fist of the Fire Dragon!\You're able to stop piercing magic... Interesting.\Who is it?\Jellal!\Did your memories return?\We know how to stop Nirvana, so it's time to cut loose! response:	Aye!
context: It'll be you, obviously!\Iron Fist of the Fire Dragon!\You're able to stop piercing magic... Interesting.\Who is it?\Jellal!\Did your memories return?\We know how to stop Nirvana, so it's time to cut loose!\Aye! response:	But everyone's all beat up...
context: Iron Fist of the Fire Dragon!\You're able to stop piercing magic... Interesting.\Who is it?\Jellal!\Did your memories return?\We know how to stop Nirvana, so it's time to cut loose!\Aye!\But everyone's all beat up... response:	Nobody has the energy to cut loose anymore...
context: You're able to stop piercing magic... Interesting.\Who is it?\Jellal!\Did your memories return?\We know how to stop Nirvana, so it's time to cut loose!\Aye!\But everyone's all beat up...\Nobody has the energy to cut loose anymore... response:	That's where spirit kicks in!
context: Who is it?\Jellal!\Did your memories return?\We know how to stop Nirvana, so it's time to cut loose!\Aye!\But everyone's all beat up...\Nobody has the energy to cut loose anymore...\That's where spirit kicks in! response:	Yeah! I'm all fired up!
context: Jellal!\Did your memories return?\We know how to stop Nirvana, so it's time to cut loose!\Aye!\But everyone's all beat up...\Nobody has the energy to cut loose anymore...\That's where spirit kicks in!\Yeah! I'm all fired up! response:	Just this one time, I'm jealous of your simplicity, Natsu.
context: Did your memories return?\We know how to stop Nirvana, so it's time to cut loose!\Aye!\But everyone's all beat up...\Nobody has the energy to cut loose anymore...\That's where spirit kicks in!\Yeah! I'm all fired up!\Just this one time, I'm jealous of your simplicity, Natsu. response:	Next time: The Power of Memories!
