context: What's the matter? response:	You can't stand?
context: This fight is over!\It's his fault for picking a fight with a hero!\Get out of the way!\We're gonna show this guy how terrifying we are!\All of you, stop.\He's right.\I didn't start wearing a tank-top just so I could fight with humans.\Hey, you. response:	If you've learned your lesson, swear that you'll never hurt anyone ever again.
context: It's his fault for picking a fight with a hero!\Get out of the way!\We're gonna show this guy how terrifying we are!\All of you, stop.\He's right.\I didn't start wearing a tank-top just so I could fight with humans.\Hey, you.\If you've learned your lesson, swear that you'll never hurt anyone ever again. response:	Fine...
context: Get out of the way!\We're gonna show this guy how terrifying we are!\All of you, stop.\He's right.\I didn't start wearing a tank-top just so I could fight with humans.\Hey, you.\If you've learned your lesson, swear that you'll never hurt anyone ever again.\Fine... response:	I'm going home. Sorry for losing control.
context: We're gonna show this guy how terrifying we are!\All of you, stop.\He's right.\I didn't start wearing a tank-top just so I could fight with humans.\Hey, you.\If you've learned your lesson, swear that you'll never hurt anyone ever again.\Fine...\I'm going home. Sorry for losing control. response:	As if.
context: All of you, stop.\He's right.\I didn't start wearing a tank-top just so I could fight with humans.\Hey, you.\If you've learned your lesson, swear that you'll never hurt anyone ever again.\Fine...\I'm going home. Sorry for losing control.\As if. response:	I'm still going to murder all of you!
context: He's right.\I didn't start wearing a tank-top just so I could fight with humans.\Hey, you.\If you've learned your lesson, swear that you'll never hurt anyone ever again.\Fine...\I'm going home. Sorry for losing control.\As if.\I'm still going to murder all of you! response:	Yeah. I figured as much.
context: I didn't start wearing a tank-top just so I could fight with humans.\Hey, you.\If you've learned your lesson, swear that you'll never hurt anyone ever again.\Fine...\I'm going home. Sorry for losing control.\As if.\I'm still going to murder all of you!\Yeah. I figured as much. response:	I'll take care of you, here and now.
context: Hey, you.\If you've learned your lesson, swear that you'll never hurt anyone ever again.\Fine...\I'm going home. Sorry for losing control.\As if.\I'm still going to murder all of you!\Yeah. I figured as much.\I'll take care of you, here and now. response:	Whoops. Guess I used it.
context: If you've learned your lesson, swear that you'll never hurt anyone ever again.\Fine...\I'm going home. Sorry for losing control.\As if.\I'm still going to murder all of you!\Yeah. I figured as much.\I'll take care of you, here and now.\Whoops. Guess I used it. response:	I wanted to avoid it since it reminds me of the old man, but whatever.
context: Fine...\I'm going home. Sorry for losing control.\As if.\I'm still going to murder all of you!\Yeah. I figured as much.\I'll take care of you, here and now.\Whoops. Guess I used it.\I wanted to avoid it since it reminds me of the old man, but whatever. response:	Fist of Flowing Water, Crushed Rock
context: I'm going home. Sorry for losing control.\As if.\I'm still going to murder all of you!\Yeah. I figured as much.\I'll take care of you, here and now.\Whoops. Guess I used it.\I wanted to avoid it since it reminds me of the old man, but whatever.\Fist of Flowing Water, Crushed Rock response:	He...
context: As if.\I'm still going to murder all of you!\Yeah. I figured as much.\I'll take care of you, here and now.\Whoops. Guess I used it.\I wanted to avoid it since it reminds me of the old man, but whatever.\Fist of Flowing Water, Crushed Rock\He... response:	He was hiding his true abilities!
context: I'm still going to murder all of you!\Yeah. I figured as much.\I'll take care of you, here and now.\Whoops. Guess I used it.\I wanted to avoid it since it reminds me of the old man, but whatever.\Fist of Flowing Water, Crushed Rock\He...\He was hiding his true abilities! response:	Oh, what's this?
context: Yeah. I figured as much.\I'll take care of you, here and now.\Whoops. Guess I used it.\I wanted to avoid it since it reminds me of the old man, but whatever.\Fist of Flowing Water, Crushed Rock\He...\He was hiding his true abilities!\Oh, what's this? response:	A mighty Class S hero is on his knees?
context: I'll take care of you, here and now.\Whoops. Guess I used it.\I wanted to avoid it since it reminds me of the old man, but whatever.\Fist of Flowing Water, Crushed Rock\He...\He was hiding his true abilities!\Oh, what's this?\A mighty Class S hero is on his knees? response:	Don't underestimate me. You just took me by surprise, that's all.
context: Whoops. Guess I used it.\I wanted to avoid it since it reminds me of the old man, but whatever.\Fist of Flowing Water, Crushed Rock\He...\He was hiding his true abilities!\Oh, what's this?\A mighty Class S hero is on his knees?\Don't underestimate me. You just took me by surprise, that's all. response:	You can just sit there and watch
context: I wanted to avoid it since it reminds me of the old man, but whatever.\Fist of Flowing Water, Crushed Rock\He...\He was hiding his true abilities!\Oh, what's this?\A mighty Class S hero is on his knees?\Don't underestimate me. You just took me by surprise, that's all.\You can just sit there and watch response:	as the Monster Garo finishes off every last member of your crew.
context: Fist of Flowing Water, Crushed Rock\He...\He was hiding his true abilities!\Oh, what's this?\A mighty Class S hero is on his knees?\Don't underestimate me. You just took me by surprise, that's all.\You can just sit there and watch\as the Monster Garo finishes off every last member of your crew. response:	Garo?! You're Garo, the human calling himself a monster?!
context: He...\He was hiding his true abilities!\Oh, what's this?\A mighty Class S hero is on his knees?\Don't underestimate me. You just took me by surprise, that's all.\You can just sit there and watch\as the Monster Garo finishes off every last member of your crew.\Garo?! You're Garo, the human calling himself a monster?! response:	W-Wait! Don't touch them!
context: He was hiding his true abilities!\Oh, what's this?\A mighty Class S hero is on his knees?\Don't underestimate me. You just took me by surprise, that's all.\You can just sit there and watch\as the Monster Garo finishes off every last member of your crew.\Garo?! You're Garo, the human calling himself a monster?!\W-Wait! Don't touch them! response:	Justice Crash!
context: Oh, what's this?\A mighty Class S hero is on his knees?\Don't underestimate me. You just took me by surprise, that's all.\You can just sit there and watch\as the Monster Garo finishes off every last member of your crew.\Garo?! You're Garo, the human calling himself a monster?!\W-Wait! Don't touch them!\Justice Crash! response:	Well? Come at me.
context: A mighty Class S hero is on his knees?\Don't underestimate me. You just took me by surprise, that's all.\You can just sit there and watch\as the Monster Garo finishes off every last member of your crew.\Garo?! You're Garo, the human calling himself a monster?!\W-Wait! Don't touch them!\Justice Crash!\Well? Come at me. response:	Garo!
context: Don't underestimate me. You just took me by surprise, that's all.\You can just sit there and watch\as the Monster Garo finishes off every last member of your crew.\Garo?! You're Garo, the human calling himself a monster?!\W-Wait! Don't touch them!\Justice Crash!\Well? Come at me.\Garo! response:	I know your fighting style now.
context: You can just sit there and watch\as the Monster Garo finishes off every last member of your crew.\Garo?! You're Garo, the human calling himself a monster?!\W-Wait! Don't touch them!\Justice Crash!\Well? Come at me.\Garo!\I know your fighting style now. response:	I'm done with you, Tank-Top Master.
context: as the Monster Garo finishes off every last member of your crew.\Garo?! You're Garo, the human calling himself a monster?!\W-Wait! Don't touch them!\Justice Crash!\Well? Come at me.\Garo!\I know your fighting style now.\I'm done with you, Tank-Top Master. response:	Now, then... I guess I'd better clean up the rest of you.
context: Garo?! You're Garo, the human calling himself a monster?!\W-Wait! Don't touch them!\Justice Crash!\Well? Come at me.\Garo!\I know your fighting style now.\I'm done with you, Tank-Top Master.\Now, then... I guess I'd better clean up the rest of you. response:	You bastard! You really think you can beat our numbers?!
context: W-Wait! Don't touch them!\Justice Crash!\Well? Come at me.\Garo!\I know your fighting style now.\I'm done with you, Tank-Top Master.\Now, then... I guess I'd better clean up the rest of you.\You bastard! You really think you can beat our numbers?! response:	Why, you
context: Justice Crash!\Well? Come at me.\Garo!\I know your fighting style now.\I'm done with you, Tank-Top Master.\Now, then... I guess I'd better clean up the rest of you.\You bastard! You really think you can beat our numbers?!\Why, you response:	You're finished, Garo!
context: Well? Come at me.\Garo!\I know your fighting style now.\I'm done with you, Tank-Top Master.\Now, then... I guess I'd better clean up the rest of you.\You bastard! You really think you can beat our numbers?!\Why, you\You're finished, Garo! response:	You've brought shame upon our dojo!
context: Garo!\I know your fighting style now.\I'm done with you, Tank-Top Master.\Now, then... I guess I'd better clean up the rest of you.\You bastard! You really think you can beat our numbers?!\Why, you\You're finished, Garo!\You've brought shame upon our dojo! response:	Take this! Fist of Flowing Water, Crushed Rock!
context: I know your fighting style now.\I'm done with you, Tank-Top Master.\Now, then... I guess I'd better clean up the rest of you.\You bastard! You really think you can beat our numbers?!\Why, you\You're finished, Garo!\You've brought shame upon our dojo!\Take this! Fist of Flowing Water, Crushed Rock! response:	This is awful.
context: I'm done with you, Tank-Top Master.\Now, then... I guess I'd better clean up the rest of you.\You bastard! You really think you can beat our numbers?!\Why, you\You're finished, Garo!\You've brought shame upon our dojo!\Take this! Fist of Flowing Water, Crushed Rock!\This is awful. response:	Looks like we were a little too late.
context: Now, then... I guess I'd better clean up the rest of you.\You bastard! You really think you can beat our numbers?!\Why, you\You're finished, Garo!\You've brought shame upon our dojo!\Take this! Fist of Flowing Water, Crushed Rock!\This is awful.\Looks like we were a little too late. response:	Bang, can you predict where he might show up next?
context: You bastard! You really think you can beat our numbers?!\Why, you\You're finished, Garo!\You've brought shame upon our dojo!\Take this! Fist of Flowing Water, Crushed Rock!\This is awful.\Looks like we were a little too late.\Bang, can you predict where he might show up next? response:	Bang?
context: Why, you\You're finished, Garo!\You've brought shame upon our dojo!\Take this! Fist of Flowing Water, Crushed Rock!\This is awful.\Looks like we were a little too late.\Bang, can you predict where he might show up next?\Bang? response:	Charanko...
context: You're finished, Garo!\You've brought shame upon our dojo!\Take this! Fist of Flowing Water, Crushed Rock!\This is awful.\Looks like we were a little too late.\Bang, can you predict where he might show up next?\Bang?\Charanko... response:	I heard that Tank-Top Master got taken out by the hero hunter.
context: You've brought shame upon our dojo!\Take this! Fist of Flowing Water, Crushed Rock!\This is awful.\Looks like we were a little too late.\Bang, can you predict where he might show up next?\Bang?\Charanko...\I heard that Tank-Top Master got taken out by the hero hunter. response:	You can't be serious.
context: Take this! Fist of Flowing Water, Crushed Rock!\This is awful.\Looks like we were a little too late.\Bang, can you predict where he might show up next?\Bang?\Charanko...\I heard that Tank-Top Master got taken out by the hero hunter.\You can't be serious. response:	Even a Class S couldn't defeat him?
context: This is awful.\Looks like we were a little too late.\Bang, can you predict where he might show up next?\Bang?\Charanko...\I heard that Tank-Top Master got taken out by the hero hunter.\You can't be serious.\Even a Class S couldn't defeat him? response:	Apparently, his followers and Mumen Rider, who were also there, got beat up, too.
context: Looks like we were a little too late.\Bang, can you predict where he might show up next?\Bang?\Charanko...\I heard that Tank-Top Master got taken out by the hero hunter.\You can't be serious.\Even a Class S couldn't defeat him?\Apparently, his followers and Mumen Rider, who were also there, got beat up, too. response:	So the guy's going after any hero?
context: Bang, can you predict where he might show up next?\Bang?\Charanko...\I heard that Tank-Top Master got taken out by the hero hunter.\You can't be serious.\Even a Class S couldn't defeat him?\Apparently, his followers and Mumen Rider, who were also there, got beat up, too.\So the guy's going after any hero? response:	It doesn't even matter if they're Class A or C? Give me a break...
context: Bang?\Charanko...\I heard that Tank-Top Master got taken out by the hero hunter.\You can't be serious.\Even a Class S couldn't defeat him?\Apparently, his followers and Mumen Rider, who were also there, got beat up, too.\So the guy's going after any hero?\It doesn't even matter if they're Class A or C? Give me a break... response:	Quit freaking out, guys.
context: Charanko...\I heard that Tank-Top Master got taken out by the hero hunter.\You can't be serious.\Even a Class S couldn't defeat him?\Apparently, his followers and Mumen Rider, who were also there, got beat up, too.\So the guy's going after any hero?\It doesn't even matter if they're Class A or C? Give me a break...\Quit freaking out, guys. response:	Let's just catch this hero hunter ourselves!
context: I heard that Tank-Top Master got taken out by the hero hunter.\You can't be serious.\Even a Class S couldn't defeat him?\Apparently, his followers and Mumen Rider, who were also there, got beat up, too.\So the guy's going after any hero?\It doesn't even matter if they're Class A or C? Give me a break...\Quit freaking out, guys.\Let's just catch this hero hunter ourselves! response:	How?
context: You can't be serious.\Even a Class S couldn't defeat him?\Apparently, his followers and Mumen Rider, who were also there, got beat up, too.\So the guy's going after any hero?\It doesn't even matter if they're Class A or C? Give me a break...\Quit freaking out, guys.\Let's just catch this hero hunter ourselves!\How? response:	The guy took out a Class S!
context: Even a Class S couldn't defeat him?\Apparently, his followers and Mumen Rider, who were also there, got beat up, too.\So the guy's going after any hero?\It doesn't even matter if they're Class A or C? Give me a break...\Quit freaking out, guys.\Let's just catch this hero hunter ourselves!\How?\The guy took out a Class S! response:	You idiots. He's not some scary monster.
context: Apparently, his followers and Mumen Rider, who were also there, got beat up, too.\So the guy's going after any hero?\It doesn't even matter if they're Class A or C? Give me a break...\Quit freaking out, guys.\Let's just catch this hero hunter ourselves!\How?\The guy took out a Class S!\You idiots. He's not some scary monster. response:	He's just a human.
context: So the guy's going after any hero?\It doesn't even matter if they're Class A or C? Give me a break...\Quit freaking out, guys.\Let's just catch this hero hunter ourselves!\How?\The guy took out a Class S!\You idiots. He's not some scary monster.\He's just a human. response:	But I heard that he's a former student of Silverfang's.
context: It doesn't even matter if they're Class A or C? Give me a break...\Quit freaking out, guys.\Let's just catch this hero hunter ourselves!\How?\The guy took out a Class S!\You idiots. He's not some scary monster.\He's just a human.\But I heard that he's a former student of Silverfang's. response:	I know some martial arts, too.
context: Quit freaking out, guys.\Let's just catch this hero hunter ourselves!\How?\The guy took out a Class S!\You idiots. He's not some scary monster.\He's just a human.\But I heard that he's a former student of Silverfang's.\I know some martial arts, too. response:	If a guy punches like this, you do this.
context: Let's just catch this hero hunter ourselves!\How?\The guy took out a Class S!\You idiots. He's not some scary monster.\He's just a human.\But I heard that he's a former student of Silverfang's.\I know some martial arts, too.\If a guy punches like this, you do this. response:	If he punches like this, you go like, bam!
context: How?\The guy took out a Class S!\You idiots. He's not some scary monster.\He's just a human.\But I heard that he's a former student of Silverfang's.\I know some martial arts, too.\If a guy punches like this, you do this.\If he punches like this, you go like, bam! response:	And if he goes like this, you do... this!
context: The guy took out a Class S!\You idiots. He's not some scary monster.\He's just a human.\But I heard that he's a former student of Silverfang's.\I know some martial arts, too.\If a guy punches like this, you do this.\If he punches like this, you go like, bam!\And if he goes like this, you do... this! response:	There he is.
context: You idiots. He's not some scary monster.\He's just a human.\But I heard that he's a former student of Silverfang's.\I know some martial arts, too.\If a guy punches like this, you do this.\If he punches like this, you go like, bam!\And if he goes like this, you do... this!\There he is. response:	Hero Association Hospital
context: He's just a human.\But I heard that he's a former student of Silverfang's.\I know some martial arts, too.\If a guy punches like this, you do this.\If he punches like this, you go like, bam!\And if he goes like this, you do... this!\There he is.\Hero Association Hospital response:	I'm glad you came to visit me, Saitama.
context: But I heard that he's a former student of Silverfang's.\I know some martial arts, too.\If a guy punches like this, you do this.\If he punches like this, you go like, bam!\And if he goes like this, you do... this!\There he is.\Hero Association Hospital\I'm glad you came to visit me, Saitama. response:	Sure. Can I put the bananas here?
context: I know some martial arts, too.\If a guy punches like this, you do this.\If he punches like this, you go like, bam!\And if he goes like this, you do... this!\There he is.\Hero Association Hospital\I'm glad you came to visit me, Saitama.\Sure. Can I put the bananas here? response:	Yeah, thanks.
context: If a guy punches like this, you do this.\If he punches like this, you go like, bam!\And if he goes like this, you do... this!\There he is.\Hero Association Hospital\I'm glad you came to visit me, Saitama.\Sure. Can I put the bananas here?\Yeah, thanks. response:	Of course you're eating them...
context: If he punches like this, you go like, bam!\And if he goes like this, you do... this!\There he is.\Hero Association Hospital\I'm glad you came to visit me, Saitama.\Sure. Can I put the bananas here?\Yeah, thanks.\Of course you're eating them... response:	It was all over the Hero Association newspaper.
context: And if he goes like this, you do... this!\There he is.\Hero Association Hospital\I'm glad you came to visit me, Saitama.\Sure. Can I put the bananas here?\Yeah, thanks.\Of course you're eating them...\It was all over the Hero Association newspaper. response:	A single monster took out dozens of heroes.
context: There he is.\Hero Association Hospital\I'm glad you came to visit me, Saitama.\Sure. Can I put the bananas here?\Yeah, thanks.\Of course you're eating them...\It was all over the Hero Association newspaper.\A single monster took out dozens of heroes. response:	Glad to see you made it out alive.
context: Hero Association Hospital\I'm glad you came to visit me, Saitama.\Sure. Can I put the bananas here?\Yeah, thanks.\Of course you're eating them...\It was all over the Hero Association newspaper.\A single monster took out dozens of heroes.\Glad to see you made it out alive. response:	Here, have a banana.
context: I'm glad you came to visit me, Saitama.\Sure. Can I put the bananas here?\Yeah, thanks.\Of course you're eating them...\It was all over the Hero Association newspaper.\A single monster took out dozens of heroes.\Glad to see you made it out alive.\Here, have a banana. response:	He was a human.
context: Sure. Can I put the bananas here?\Yeah, thanks.\Of course you're eating them...\It was all over the Hero Association newspaper.\A single monster took out dozens of heroes.\Glad to see you made it out alive.\Here, have a banana.\He was a human. response:	Huh?
context: Yeah, thanks.\Of course you're eating them...\It was all over the Hero Association newspaper.\A single monster took out dozens of heroes.\Glad to see you made it out alive.\Here, have a banana.\He was a human.\Huh? response:	A human calling himself a monster.
context: Of course you're eating them...\It was all over the Hero Association newspaper.\A single monster took out dozens of heroes.\Glad to see you made it out alive.\Here, have a banana.\He was a human.\Huh?\A human calling himself a monster. response:	But he's strong. He's a terrifyingly strong human.
context: It was all over the Hero Association newspaper.\A single monster took out dozens of heroes.\Glad to see you made it out alive.\Here, have a banana.\He was a human.\Huh?\A human calling himself a monster.\But he's strong. He's a terrifyingly strong human. response:	Who was stronger, the fish monster or him?
context: A single monster took out dozens of heroes.\Glad to see you made it out alive.\Here, have a banana.\He was a human.\Huh?\A human calling himself a monster.\But he's strong. He's a terrifyingly strong human.\Who was stronger, the fish monster or him? response:	Hmm... The Deep Sea King was pretty insane, but there's something different this time.
context: Glad to see you made it out alive.\Here, have a banana.\He was a human.\Huh?\A human calling himself a monster.\But he's strong. He's a terrifyingly strong human.\Who was stronger, the fish monster or him?\Hmm... The Deep Sea King was pretty insane, but there's something different this time. response:	His techniques.
context: Here, have a banana.\He was a human.\Huh?\A human calling himself a monster.\But he's strong. He's a terrifyingly strong human.\Who was stronger, the fish monster or him?\Hmm... The Deep Sea King was pretty insane, but there's something different this time.\His techniques. response:	He's an expert martial artist.
context: He was a human.\Huh?\A human calling himself a monster.\But he's strong. He's a terrifyingly strong human.\Who was stronger, the fish monster or him?\Hmm... The Deep Sea King was pretty insane, but there's something different this time.\His techniques.\He's an expert martial artist. response:	It appears that Silverfang raised one nasty monster.
context: Huh?\A human calling himself a monster.\But he's strong. He's a terrifyingly strong human.\Who was stronger, the fish monster or him?\Hmm... The Deep Sea King was pretty insane, but there's something different this time.\His techniques.\He's an expert martial artist.\It appears that Silverfang raised one nasty monster. response:	This dude just jumped into our conversation. Do you have any idea who he is?
context: A human calling himself a monster.\But he's strong. He's a terrifyingly strong human.\Who was stronger, the fish monster or him?\Hmm... The Deep Sea King was pretty insane, but there's something different this time.\His techniques.\He's an expert martial artist.\It appears that Silverfang raised one nasty monster.\This dude just jumped into our conversation. Do you have any idea who he is? response:	You know. He's the Class S hero, Tank-Top Master.
context: But he's strong. He's a terrifyingly strong human.\Who was stronger, the fish monster or him?\Hmm... The Deep Sea King was pretty insane, but there's something different this time.\His techniques.\He's an expert martial artist.\It appears that Silverfang raised one nasty monster.\This dude just jumped into our conversation. Do you have any idea who he is?\You know. He's the Class S hero, Tank-Top Master. response:	Oh, yeah. You were in the paper, too.
context: Who was stronger, the fish monster or him?\Hmm... The Deep Sea King was pretty insane, but there's something different this time.\His techniques.\He's an expert martial artist.\It appears that Silverfang raised one nasty monster.\This dude just jumped into our conversation. Do you have any idea who he is?\You know. He's the Class S hero, Tank-Top Master.\Oh, yeah. You were in the paper, too. response:	It said you got your ass beat the worst.
context: Hmm... The Deep Sea King was pretty insane, but there's something different this time.\His techniques.\He's an expert martial artist.\It appears that Silverfang raised one nasty monster.\This dude just jumped into our conversation. Do you have any idea who he is?\You know. He's the Class S hero, Tank-Top Master.\Oh, yeah. You were in the paper, too.\It said you got your ass beat the worst. response:	Can't you just say I stood my ground the most?!
context: His techniques.\He's an expert martial artist.\It appears that Silverfang raised one nasty monster.\This dude just jumped into our conversation. Do you have any idea who he is?\You know. He's the Class S hero, Tank-Top Master.\Oh, yeah. You were in the paper, too.\It said you got your ass beat the worst.\Can't you just say I stood my ground the most?! response:	Damn! To think I'd let such a kid get the better of me...
context: He's an expert martial artist.\It appears that Silverfang raised one nasty monster.\This dude just jumped into our conversation. Do you have any idea who he is?\You know. He's the Class S hero, Tank-Top Master.\Oh, yeah. You were in the paper, too.\It said you got your ass beat the worst.\Can't you just say I stood my ground the most?!\Damn! To think I'd let such a kid get the better of me... response:	Martial arts can be such a pain in the ass.
context: It appears that Silverfang raised one nasty monster.\This dude just jumped into our conversation. Do you have any idea who he is?\You know. He's the Class S hero, Tank-Top Master.\Oh, yeah. You were in the paper, too.\It said you got your ass beat the worst.\Can't you just say I stood my ground the most?!\Damn! To think I'd let such a kid get the better of me...\Martial arts can be such a pain in the ass. response:	Martial arts?
context: This dude just jumped into our conversation. Do you have any idea who he is?\You know. He's the Class S hero, Tank-Top Master.\Oh, yeah. You were in the paper, too.\It said you got your ass beat the worst.\Can't you just say I stood my ground the most?!\Damn! To think I'd let such a kid get the better of me...\Martial arts can be such a pain in the ass.\Martial arts? response:	Here, have a banana.
context: You know. He's the Class S hero, Tank-Top Master.\Oh, yeah. You were in the paper, too.\It said you got your ass beat the worst.\Can't you just say I stood my ground the most?!\Damn! To think I'd let such a kid get the better of me...\Martial arts can be such a pain in the ass.\Martial arts?\Here, have a banana. response:	Oh... Thanks.
context: Oh, yeah. You were in the paper, too.\It said you got your ass beat the worst.\Can't you just say I stood my ground the most?!\Damn! To think I'd let such a kid get the better of me...\Martial arts can be such a pain in the ass.\Martial arts?\Here, have a banana.\Oh... Thanks. response:	Now, could you tell me more about this guy?
context: It said you got your ass beat the worst.\Can't you just say I stood my ground the most?!\Damn! To think I'd let such a kid get the better of me...\Martial arts can be such a pain in the ass.\Martial arts?\Here, have a banana.\Oh... Thanks.\Now, could you tell me more about this guy? response:	Zombieman
context: Can't you just say I stood my ground the most?!\Damn! To think I'd let such a kid get the better of me...\Martial arts can be such a pain in the ass.\Martial arts?\Here, have a banana.\Oh... Thanks.\Now, could you tell me more about this guy?\Zombieman response:	King
context: Damn! To think I'd let such a kid get the better of me...\Martial arts can be such a pain in the ass.\Martial arts?\Here, have a banana.\Oh... Thanks.\Now, could you tell me more about this guy?\Zombieman\King response:	Hey, kid.
context: Martial arts can be such a pain in the ass.\Martial arts?\Here, have a banana.\Oh... Thanks.\Now, could you tell me more about this guy?\Zombieman\King\Hey, kid. response:	Looks like you're reading something interesting.
context: Martial arts?\Here, have a banana.\Oh... Thanks.\Now, could you tell me more about this guy?\Zombieman\King\Hey, kid.\Looks like you're reading something interesting. response:	This guy's the Class S hero, King.
context: Here, have a banana.\Oh... Thanks.\Now, could you tell me more about this guy?\Zombieman\King\Hey, kid.\Looks like you're reading something interesting.\This guy's the Class S hero, King. response:	He's the strongest one of all.
context: Oh... Thanks.\Now, could you tell me more about this guy?\Zombieman\King\Hey, kid.\Looks like you're reading something interesting.\This guy's the Class S hero, King.\He's the strongest one of all. response:	This is the Class A hero, Lightning Genji.
context: Now, could you tell me more about this guy?\Zombieman\King\Hey, kid.\Looks like you're reading something interesting.\This guy's the Class S hero, King.\He's the strongest one of all.\This is the Class A hero, Lightning Genji. response:	He's always patrolling my neighborhood.
context: Zombieman\King\Hey, kid.\Looks like you're reading something interesting.\This guy's the Class S hero, King.\He's the strongest one of all.\This is the Class A hero, Lightning Genji.\He's always patrolling my neighborhood. response:	Lightning Genji
context: King\Hey, kid.\Looks like you're reading something interesting.\This guy's the Class S hero, King.\He's the strongest one of all.\This is the Class A hero, Lightning Genji.\He's always patrolling my neighborhood.\Lightning Genji response:	Look! I even got his autograph!
context: Hey, kid.\Looks like you're reading something interesting.\This guy's the Class S hero, King.\He's the strongest one of all.\This is the Class A hero, Lightning Genji.\He's always patrolling my neighborhood.\Lightning Genji\Look! I even got his autograph! response:	His autograph, eh?
context: Looks like you're reading something interesting.\This guy's the Class S hero, King.\He's the strongest one of all.\This is the Class A hero, Lightning Genji.\He's always patrolling my neighborhood.\Lightning Genji\Look! I even got his autograph!\His autograph, eh? response:	I'd love his autograph, too.
context: This guy's the Class S hero, King.\He's the strongest one of all.\This is the Class A hero, Lightning Genji.\He's always patrolling my neighborhood.\Lightning Genji\Look! I even got his autograph!\His autograph, eh?\I'd love his autograph, too. response:	Could you introduce me sometime?
context: He's the strongest one of all.\This is the Class A hero, Lightning Genji.\He's always patrolling my neighborhood.\Lightning Genji\Look! I even got his autograph!\His autograph, eh?\I'd love his autograph, too.\Could you introduce me sometime? response:	Sure! You must like heroes, too, old dude.
context: This is the Class A hero, Lightning Genji.\He's always patrolling my neighborhood.\Lightning Genji\Look! I even got his autograph!\His autograph, eh?\I'd love his autograph, too.\Could you introduce me sometime?\Sure! You must like heroes, too, old dude. response:	Hero Guide
context: He's always patrolling my neighborhood.\Lightning Genji\Look! I even got his autograph!\His autograph, eh?\I'd love his autograph, too.\Could you introduce me sometime?\Sure! You must like heroes, too, old dude.\Hero Guide response:	That Hero Guide looks neat. Say, could I borrow that, just for a week?
context: Lightning Genji\Look! I even got his autograph!\His autograph, eh?\I'd love his autograph, too.\Could you introduce me sometime?\Sure! You must like heroes, too, old dude.\Hero Guide\That Hero Guide looks neat. Say, could I borrow that, just for a week? response:	What? No way. Get your own.
context: Look! I even got his autograph!\His autograph, eh?\I'd love his autograph, too.\Could you introduce me sometime?\Sure! You must like heroes, too, old dude.\Hero Guide\That Hero Guide looks neat. Say, could I borrow that, just for a week?\What? No way. Get your own. response:	Jeez, you're so stingy.
context: His autograph, eh?\I'd love his autograph, too.\Could you introduce me sometime?\Sure! You must like heroes, too, old dude.\Hero Guide\That Hero Guide looks neat. Say, could I borrow that, just for a week?\What? No way. Get your own.\Jeez, you're so stingy. response:	Hey, what the heck? They even have monsters in here!
context: I'd love his autograph, too.\Could you introduce me sometime?\Sure! You must like heroes, too, old dude.\Hero Guide\That Hero Guide looks neat. Say, could I borrow that, just for a week?\What? No way. Get your own.\Jeez, you're so stingy.\Hey, what the heck? They even have monsters in here! response:	Isn't that exciting?
context: Could you introduce me sometime?\Sure! You must like heroes, too, old dude.\Hero Guide\That Hero Guide looks neat. Say, could I borrow that, just for a week?\What? No way. Get your own.\Jeez, you're so stingy.\Hey, what the heck? They even have monsters in here!\Isn't that exciting? response:	What? Why are you excited about the monster pages? They're super scary.
context: Sure! You must like heroes, too, old dude.\Hero Guide\That Hero Guide looks neat. Say, could I borrow that, just for a week?\What? No way. Get your own.\Jeez, you're so stingy.\Hey, what the heck? They even have monsters in here!\Isn't that exciting?\What? Why are you excited about the monster pages? They're super scary. response:	It's better that they're scary. Don't you think they're cooler that way?
context: Hero Guide\That Hero Guide looks neat. Say, could I borrow that, just for a week?\What? No way. Get your own.\Jeez, you're so stingy.\Hey, what the heck? They even have monsters in here!\Isn't that exciting?\What? Why are you excited about the monster pages? They're super scary.\It's better that they're scary. Don't you think they're cooler that way? response:	Really? You have weird taste, old dude.
context: That Hero Guide looks neat. Say, could I borrow that, just for a week?\What? No way. Get your own.\Jeez, you're so stingy.\Hey, what the heck? They even have monsters in here!\Isn't that exciting?\What? Why are you excited about the monster pages? They're super scary.\It's better that they're scary. Don't you think they're cooler that way?\Really? You have weird taste, old dude. response:	I'm so envious. I'd love to be in this book, too.
context: What? No way. Get your own.\Jeez, you're so stingy.\Hey, what the heck? They even have monsters in here!\Isn't that exciting?\What? Why are you excited about the monster pages? They're super scary.\It's better that they're scary. Don't you think they're cooler that way?\Really? You have weird taste, old dude.\I'm so envious. I'd love to be in this book, too. response:	You want to be a hero?
context: Jeez, you're so stingy.\Hey, what the heck? They even have monsters in here!\Isn't that exciting?\What? Why are you excited about the monster pages? They're super scary.\It's better that they're scary. Don't you think they're cooler that way?\Really? You have weird taste, old dude.\I'm so envious. I'd love to be in this book, too.\You want to be a hero? response:	I do, too... but I have no athletic talent.
context: Hey, what the heck? They even have monsters in here!\Isn't that exciting?\What? Why are you excited about the monster pages? They're super scary.\It's better that they're scary. Don't you think they're cooler that way?\Really? You have weird taste, old dude.\I'm so envious. I'd love to be in this book, too.\You want to be a hero?\I do, too... but I have no athletic talent. response:	Well, good for you.
