context: Once upon a time, there was a knight. response:	The knight never faltered in his duty, no matter what it was.
context: Is Fakir he... I guess he wouldn't be.\Hey.\Qua...\Fakir! You came...\Where's the rest of this script?\Huh? What do you mean the rest?\It ends in the middle.\It does? response:	What?
context: Hey.\Qua...\Fakir! You came...\Where's the rest of this script?\Huh? What do you mean the rest?\It ends in the middle.\It does?\What? response:	Huh?
context: Qua...\Fakir! You came...\Where's the rest of this script?\Huh? What do you mean the rest?\It ends in the middle.\It does?\What?\Huh? response:	You hadn't even read the script and you dumped it on me?
context: Fakir! You came...\Where's the rest of this script?\Huh? What do you mean the rest?\It ends in the middle.\It does?\What?\Huh?\You hadn't even read the script and you dumped it on me? response:	Oh, but everyone said the part was perfect for you and all!
context: Where's the rest of this script?\Huh? What do you mean the rest?\It ends in the middle.\It does?\What?\Huh?\You hadn't even read the script and you dumped it on me?\Oh, but everyone said the part was perfect for you and all! response:	So the ghost knight is perfect for me, eh?
context: Huh? What do you mean the rest?\It ends in the middle.\It does?\What?\Huh?\You hadn't even read the script and you dumped it on me?\Oh, but everyone said the part was perfect for you and all!\So the ghost knight is perfect for me, eh? response:	The ghost knight?
context: It ends in the middle.\It does?\What?\Huh?\You hadn't even read the script and you dumped it on me?\Oh, but everyone said the part was perfect for you and all!\So the ghost knight is perfect for me, eh?\The ghost knight? response:	What kind of story is it?
context: It does?\What?\Huh?\You hadn't even read the script and you dumped it on me?\Oh, but everyone said the part was perfect for you and all!\So the ghost knight is perfect for me, eh?\The ghost knight?\What kind of story is it? response:	He was hailed as the strongest of knights and enemy nations all feared him.
context: What?\Huh?\You hadn't even read the script and you dumped it on me?\Oh, but everyone said the part was perfect for you and all!\So the ghost knight is perfect for me, eh?\The ghost knight?\What kind of story is it?\He was hailed as the strongest of knights and enemy nations all feared him. response:	The knight believed his duty was to risk his life to protect his king.
context: Huh?\You hadn't even read the script and you dumped it on me?\Oh, but everyone said the part was perfect for you and all!\So the ghost knight is perfect for me, eh?\The ghost knight?\What kind of story is it?\He was hailed as the strongest of knights and enemy nations all feared him.\The knight believed his duty was to risk his life to protect his king. response:	He even killed his own lover, who was a spy for an enemy kingdom, without faltering.
context: You hadn't even read the script and you dumped it on me?\Oh, but everyone said the part was perfect for you and all!\So the ghost knight is perfect for me, eh?\The ghost knight?\What kind of story is it?\He was hailed as the strongest of knights and enemy nations all feared him.\The knight believed his duty was to risk his life to protect his king.\He even killed his own lover, who was a spy for an enemy kingdom, without faltering. response:	Eventually, the two nations made peace,
context: Oh, but everyone said the part was perfect for you and all!\So the ghost knight is perfect for me, eh?\The ghost knight?\What kind of story is it?\He was hailed as the strongest of knights and enemy nations all feared him.\The knight believed his duty was to risk his life to protect his king.\He even killed his own lover, who was a spy for an enemy kingdom, without faltering.\Eventually, the two nations made peace, response:	but the knight was exiled from his country in wretched fashion,
context: So the ghost knight is perfect for me, eh?\The ghost knight?\What kind of story is it?\He was hailed as the strongest of knights and enemy nations all feared him.\The knight believed his duty was to risk his life to protect his king.\He even killed his own lover, who was a spy for an enemy kingdom, without faltering.\Eventually, the two nations made peace,\but the knight was exiled from his country in wretched fashion, response:	and from then on, knew not whom to protect or whom to defeat.
context: The ghost knight?\What kind of story is it?\He was hailed as the strongest of knights and enemy nations all feared him.\The knight believed his duty was to risk his life to protect his king.\He even killed his own lover, who was a spy for an enemy kingdom, without faltering.\Eventually, the two nations made peace,\but the knight was exiled from his country in wretched fashion,\and from then on, knew not whom to protect or whom to defeat. response:	He died that way and his soul still continues to wander this world...
context: What kind of story is it?\He was hailed as the strongest of knights and enemy nations all feared him.\The knight believed his duty was to risk his life to protect his king.\He even killed his own lover, who was a spy for an enemy kingdom, without faltering.\Eventually, the two nations made peace,\but the knight was exiled from his country in wretched fashion,\and from then on, knew not whom to protect or whom to defeat.\He died that way and his soul still continues to wander this world... response:	The script ends here.
context: He was hailed as the strongest of knights and enemy nations all feared him.\The knight believed his duty was to risk his life to protect his king.\He even killed his own lover, who was a spy for an enemy kingdom, without faltering.\Eventually, the two nations made peace,\but the knight was exiled from his country in wretched fashion,\and from then on, knew not whom to protect or whom to defeat.\He died that way and his soul still continues to wander this world...\The script ends here. response:	That's kind of a sad story, isn't it?
context: The knight believed his duty was to risk his life to protect his king.\He even killed his own lover, who was a spy for an enemy kingdom, without faltering.\Eventually, the two nations made peace,\but the knight was exiled from his country in wretched fashion,\and from then on, knew not whom to protect or whom to defeat.\He died that way and his soul still continues to wander this world...\The script ends here.\That's kind of a sad story, isn't it? response:	It's a funny story.
context: He even killed his own lover, who was a spy for an enemy kingdom, without faltering.\Eventually, the two nations made peace,\but the knight was exiled from his country in wretched fashion,\and from then on, knew not whom to protect or whom to defeat.\He died that way and his soul still continues to wander this world...\The script ends here.\That's kind of a sad story, isn't it?\It's a funny story. response:	Rue-chan!
context: Eventually, the two nations made peace,\but the knight was exiled from his country in wretched fashion,\and from then on, knew not whom to protect or whom to defeat.\He died that way and his soul still continues to wander this world...\The script ends here.\That's kind of a sad story, isn't it?\It's a funny story.\Rue-chan! response:	A knight who wanders around unable to do anything?
context: but the knight was exiled from his country in wretched fashion,\and from then on, knew not whom to protect or whom to defeat.\He died that way and his soul still continues to wander this world...\The script ends here.\That's kind of a sad story, isn't it?\It's a funny story.\Rue-chan!\A knight who wanders around unable to do anything? response:	It certainly is perfect for you, Fakir.
context: and from then on, knew not whom to protect or whom to defeat.\He died that way and his soul still continues to wander this world...\The script ends here.\That's kind of a sad story, isn't it?\It's a funny story.\Rue-chan!\A knight who wanders around unable to do anything?\It certainly is perfect for you, Fakir. response:	Rue-chan!
context: He died that way and his soul still continues to wander this world...\The script ends here.\That's kind of a sad story, isn't it?\It's a funny story.\Rue-chan!\A knight who wanders around unable to do anything?\It certainly is perfect for you, Fakir.\Rue-chan! response:	Rue-chan...
context: The script ends here.\That's kind of a sad story, isn't it?\It's a funny story.\Rue-chan!\A knight who wanders around unable to do anything?\It certainly is perfect for you, Fakir.\Rue-chan!\Rue-chan... response:	Oh, it's Ahiru-san!
context: That's kind of a sad story, isn't it?\It's a funny story.\Rue-chan!\A knight who wanders around unable to do anything?\It certainly is perfect for you, Fakir.\Rue-chan!\Rue-chan...\Oh, it's Ahiru-san! response:	Oh, um, Fakir is...
context: It's a funny story.\Rue-chan!\A knight who wanders around unable to do anything?\It certainly is perfect for you, Fakir.\Rue-chan!\Rue-chan...\Oh, it's Ahiru-san!\Oh, um, Fakir is... response:	My! You really brought him along?
context: Rue-chan!\A knight who wanders around unable to do anything?\It certainly is perfect for you, Fakir.\Rue-chan!\Rue-chan...\Oh, it's Ahiru-san!\Oh, um, Fakir is...\My! You really brought him along? response:	This is the original.
context: A knight who wanders around unable to do anything?\It certainly is perfect for you, Fakir.\Rue-chan!\Rue-chan...\Oh, it's Ahiru-san!\Oh, um, Fakir is...\My! You really brought him along?\This is the original. response:	There's no record of when it was written or by whom.
context: It certainly is perfect for you, Fakir.\Rue-chan!\Rue-chan...\Oh, it's Ahiru-san!\Oh, um, Fakir is...\My! You really brought him along?\This is the original.\There's no record of when it was written or by whom. response:	I happened to find it while I was cleaning the room.
context: Rue-chan!\Rue-chan...\Oh, it's Ahiru-san!\Oh, um, Fakir is...\My! You really brought him along?\This is the original.\There's no record of when it was written or by whom.\I happened to find it while I was cleaning the room. response:	It was inside this bag.
context: Rue-chan...\Oh, it's Ahiru-san!\Oh, um, Fakir is...\My! You really brought him along?\This is the original.\There's no record of when it was written or by whom.\I happened to find it while I was cleaning the room.\It was inside this bag. response:	It was afterwards that the strange rumors started going around.
context: Oh, it's Ahiru-san!\Oh, um, Fakir is...\My! You really brought him along?\This is the original.\There's no record of when it was written or by whom.\I happened to find it while I was cleaning the room.\It was inside this bag.\It was afterwards that the strange rumors started going around. response:	Of the ghost knight.
context: Oh, um, Fakir is...\My! You really brought him along?\This is the original.\There's no record of when it was written or by whom.\I happened to find it while I was cleaning the room.\It was inside this bag.\It was afterwards that the strange rumors started going around.\Of the ghost knight. response:	It's impossible for a story to come true.
context: My! You really brought him along?\This is the original.\There's no record of when it was written or by whom.\I happened to find it while I was cleaning the room.\It was inside this bag.\It was afterwards that the strange rumors started going around.\Of the ghost knight.\It's impossible for a story to come true. response:	But it makes good advertising for our play, doesn't it?
context: This is the original.\There's no record of when it was written or by whom.\I happened to find it while I was cleaning the room.\It was inside this bag.\It was afterwards that the strange rumors started going around.\Of the ghost knight.\It's impossible for a story to come true.\But it makes good advertising for our play, doesn't it? response:	So you're going to help us, then!
context: There's no record of when it was written or by whom.\I happened to find it while I was cleaning the room.\It was inside this bag.\It was afterwards that the strange rumors started going around.\Of the ghost knight.\It's impossible for a story to come true.\But it makes good advertising for our play, doesn't it?\So you're going to help us, then! response:	He's nicer than we thought!
context: I happened to find it while I was cleaning the room.\It was inside this bag.\It was afterwards that the strange rumors started going around.\Of the ghost knight.\It's impossible for a story to come true.\But it makes good advertising for our play, doesn't it?\So you're going to help us, then!\He's nicer than we thought! response:	Definitely going to be a success!
context: It was inside this bag.\It was afterwards that the strange rumors started going around.\Of the ghost knight.\It's impossible for a story to come true.\But it makes good advertising for our play, doesn't it?\So you're going to help us, then!\He's nicer than we thought!\Definitely going to be a success! response:	Break a leg, Fakir.
context: It was afterwards that the strange rumors started going around.\Of the ghost knight.\It's impossible for a story to come true.\But it makes good advertising for our play, doesn't it?\So you're going to help us, then!\He's nicer than we thought!\Definitely going to be a success!\Break a leg, Fakir. response:	Fakir?
context: Of the ghost knight.\It's impossible for a story to come true.\But it makes good advertising for our play, doesn't it?\So you're going to help us, then!\He's nicer than we thought!\Definitely going to be a success!\Break a leg, Fakir.\Fakir? response:	Why? Why does this story bother me so much?
context: It's impossible for a story to come true.\But it makes good advertising for our play, doesn't it?\So you're going to help us, then!\He's nicer than we thought!\Definitely going to be a success!\Break a leg, Fakir.\Fakir?\Why? Why does this story bother me so much? response:	The dream I had, what the hell did it...
context: But it makes good advertising for our play, doesn't it?\So you're going to help us, then!\He's nicer than we thought!\Definitely going to be a success!\Break a leg, Fakir.\Fakir?\Why? Why does this story bother me so much?\The dream I had, what the hell did it... response:	There was something strange about Fakir. I wonder what was wrong?
context: So you're going to help us, then!\He's nicer than we thought!\Definitely going to be a success!\Break a leg, Fakir.\Fakir?\Why? Why does this story bother me so much?\The dream I had, what the hell did it...\There was something strange about Fakir. I wonder what was wrong? response:	Well, whatever!
context: He's nicer than we thought!\Definitely going to be a success!\Break a leg, Fakir.\Fakir?\Why? Why does this story bother me so much?\The dream I had, what the hell did it...\There was something strange about Fakir. I wonder what was wrong?\Well, whatever! response:	He decided to do it! So I can be glad, right?
context: Definitely going to be a success!\Break a leg, Fakir.\Fakir?\Why? Why does this story bother me so much?\The dream I had, what the hell did it...\There was something strange about Fakir. I wonder what was wrong?\Well, whatever!\He decided to do it! So I can be glad, right? response:	But... I wonder what I can do for Mytho?
context: Break a leg, Fakir.\Fakir?\Why? Why does this story bother me so much?\The dream I had, what the hell did it...\There was something strange about Fakir. I wonder what was wrong?\Well, whatever!\He decided to do it! So I can be glad, right?\But... I wonder what I can do for Mytho? response:	Is searching for his heart shards really all I can do?
context: Fakir?\Why? Why does this story bother me so much?\The dream I had, what the hell did it...\There was something strange about Fakir. I wonder what was wrong?\Well, whatever!\He decided to do it! So I can be glad, right?\But... I wonder what I can do for Mytho?\Is searching for his heart shards really all I can do? response:	That's right, that's right! You mustn't forget that.
context: Why? Why does this story bother me so much?\The dream I had, what the hell did it...\There was something strange about Fakir. I wonder what was wrong?\Well, whatever!\He decided to do it! So I can be glad, right?\But... I wonder what I can do for Mytho?\Is searching for his heart shards really all I can do?\That's right, that's right! You mustn't forget that. response:	So that you're not abandoned by the story...
context: The dream I had, what the hell did it...\There was something strange about Fakir. I wonder what was wrong?\Well, whatever!\He decided to do it! So I can be glad, right?\But... I wonder what I can do for Mytho?\Is searching for his heart shards really all I can do?\That's right, that's right! You mustn't forget that.\So that you're not abandoned by the story... response:	So that you're not forgotten.
context: There was something strange about Fakir. I wonder what was wrong?\Well, whatever!\He decided to do it! So I can be glad, right?\But... I wonder what I can do for Mytho?\Is searching for his heart shards really all I can do?\That's right, that's right! You mustn't forget that.\So that you're not abandoned by the story...\So that you're not forgotten. response:	Would you like some water, Father?
context: Well, whatever!\He decided to do it! So I can be glad, right?\But... I wonder what I can do for Mytho?\Is searching for his heart shards really all I can do?\That's right, that's right! You mustn't forget that.\So that you're not abandoned by the story...\So that you're not forgotten.\Would you like some water, Father? response:	Where is the heart? Hurry up and give me a heart to eat!
context: He decided to do it! So I can be glad, right?\But... I wonder what I can do for Mytho?\Is searching for his heart shards really all I can do?\That's right, that's right! You mustn't forget that.\So that you're not abandoned by the story...\So that you're not forgotten.\Would you like some water, Father?\Where is the heart? Hurry up and give me a heart to eat! response:	I'm sorry, Father!
context: But... I wonder what I can do for Mytho?\Is searching for his heart shards really all I can do?\That's right, that's right! You mustn't forget that.\So that you're not abandoned by the story...\So that you're not forgotten.\Would you like some water, Father?\Where is the heart? Hurry up and give me a heart to eat!\I'm sorry, Father! response:	I tried to capture a sacrifice in the prince's place, but...
context: Is searching for his heart shards really all I can do?\That's right, that's right! You mustn't forget that.\So that you're not abandoned by the story...\So that you're not forgotten.\Would you like some water, Father?\Where is the heart? Hurry up and give me a heart to eat!\I'm sorry, Father!\I tried to capture a sacrifice in the prince's place, but... response:	YOU did?
context: That's right, that's right! You mustn't forget that.\So that you're not abandoned by the story...\So that you're not forgotten.\Would you like some water, Father?\Where is the heart? Hurry up and give me a heart to eat!\I'm sorry, Father!\I tried to capture a sacrifice in the prince's place, but...\YOU did? response:	Yes. But...
context: So that you're not abandoned by the story...\So that you're not forgotten.\Would you like some water, Father?\Where is the heart? Hurry up and give me a heart to eat!\I'm sorry, Father!\I tried to capture a sacrifice in the prince's place, but...\YOU did?\Yes. But... response:	What a useless thing to do.
context: So that you're not forgotten.\Would you like some water, Father?\Where is the heart? Hurry up and give me a heart to eat!\I'm sorry, Father!\I tried to capture a sacrifice in the prince's place, but...\YOU did?\Yes. But...\What a useless thing to do. response:	You listen to me.
context: Would you like some water, Father?\Where is the heart? Hurry up and give me a heart to eat!\I'm sorry, Father!\I tried to capture a sacrifice in the prince's place, but...\YOU did?\Yes. But...\What a useless thing to do.\You listen to me. response:	You will not be loved by anyone, but me and the prince in the story!
context: Where is the heart? Hurry up and give me a heart to eat!\I'm sorry, Father!\I tried to capture a sacrifice in the prince's place, but...\YOU did?\Yes. But...\What a useless thing to do.\You listen to me.\You will not be loved by anyone, but me and the prince in the story! response:	And there is NO way you will ever be loved so much that someone would give their own life for you.
context: I'm sorry, Father!\I tried to capture a sacrifice in the prince's place, but...\YOU did?\Yes. But...\What a useless thing to do.\You listen to me.\You will not be loved by anyone, but me and the prince in the story!\And there is NO way you will ever be loved so much that someone would give their own life for you. response:	Remember that well!
context: I tried to capture a sacrifice in the prince's place, but...\YOU did?\Yes. But...\What a useless thing to do.\You listen to me.\You will not be loved by anyone, but me and the prince in the story!\And there is NO way you will ever be loved so much that someone would give their own life for you.\Remember that well! response:	Yes.
context: YOU did?\Yes. But...\What a useless thing to do.\You listen to me.\You will not be loved by anyone, but me and the prince in the story!\And there is NO way you will ever be loved so much that someone would give their own life for you.\Remember that well!\Yes. response:	If you were to get in the prince's way again, you would lose even my love!
context: Yes. But...\What a useless thing to do.\You listen to me.\You will not be loved by anyone, but me and the prince in the story!\And there is NO way you will ever be loved so much that someone would give their own life for you.\Remember that well!\Yes.\If you were to get in the prince's way again, you would lose even my love! response:	I'm sorry! I'll do things right this time!
context: What a useless thing to do.\You listen to me.\You will not be loved by anyone, but me and the prince in the story!\And there is NO way you will ever be loved so much that someone would give their own life for you.\Remember that well!\Yes.\If you were to get in the prince's way again, you would lose even my love!\I'm sorry! I'll do things right this time! response:	The ghost knight and this book and the dream I had...
context: You listen to me.\You will not be loved by anyone, but me and the prince in the story!\And there is NO way you will ever be loved so much that someone would give their own life for you.\Remember that well!\Yes.\If you were to get in the prince's way again, you would lose even my love!\I'm sorry! I'll do things right this time!\The ghost knight and this book and the dream I had... response:	Just how are they...
context: You will not be loved by anyone, but me and the prince in the story!\And there is NO way you will ever be loved so much that someone would give their own life for you.\Remember that well!\Yes.\If you were to get in the prince's way again, you would lose even my love!\I'm sorry! I'll do things right this time!\The ghost knight and this book and the dream I had...\Just how are they... response:	Oh, there you are!
context: And there is NO way you will ever be loved so much that someone would give their own life for you.\Remember that well!\Yes.\If you were to get in the prince's way again, you would lose even my love!\I'm sorry! I'll do things right this time!\The ghost knight and this book and the dream I had...\Just how are they...\Oh, there you are! response:	Fakir, everyone's assembled already!
context: Remember that well!\Yes.\If you were to get in the prince's way again, you would lose even my love!\I'm sorry! I'll do things right this time!\The ghost knight and this book and the dream I had...\Just how are they...\Oh, there you are!\Fakir, everyone's assembled already! response:	Okay, I'll be right there.
context: Yes.\If you were to get in the prince's way again, you would lose even my love!\I'm sorry! I'll do things right this time!\The ghost knight and this book and the dream I had...\Just how are they...\Oh, there you are!\Fakir, everyone's assembled already!\Okay, I'll be right there. response:	Why would I dream about the ghost knight? Why?!
context: If you were to get in the prince's way again, you would lose even my love!\I'm sorry! I'll do things right this time!\The ghost knight and this book and the dream I had...\Just how are they...\Oh, there you are!\Fakir, everyone's assembled already!\Okay, I'll be right there.\Why would I dream about the ghost knight? Why?! response:	Did the ghost knight send me that dream?
context: I'm sorry! I'll do things right this time!\The ghost knight and this book and the dream I had...\Just how are they...\Oh, there you are!\Fakir, everyone's assembled already!\Okay, I'll be right there.\Why would I dream about the ghost knight? Why?!\Did the ghost knight send me that dream? response:	The knight who's lost sight of his place to die, seeking something from me...
context: The ghost knight and this book and the dream I had...\Just how are they...\Oh, there you are!\Fakir, everyone's assembled already!\Okay, I'll be right there.\Why would I dream about the ghost knight? Why?!\Did the ghost knight send me that dream?\The knight who's lost sight of his place to die, seeking something from me... response:	Does he want me to give him a place to die?
context: Just how are they...\Oh, there you are!\Fakir, everyone's assembled already!\Okay, I'll be right there.\Why would I dream about the ghost knight? Why?!\Did the ghost knight send me that dream?\The knight who's lost sight of his place to die, seeking something from me...\Does he want me to give him a place to die? response:	No, does it mean he'll prepare a place for me to die?
context: Oh, there you are!\Fakir, everyone's assembled already!\Okay, I'll be right there.\Why would I dream about the ghost knight? Why?!\Did the ghost knight send me that dream?\The knight who's lost sight of his place to die, seeking something from me...\Does he want me to give him a place to die?\No, does it mean he'll prepare a place for me to die? response:	It's almost scary somehow.
context: Fakir, everyone's assembled already!\Okay, I'll be right there.\Why would I dream about the ghost knight? Why?!\Did the ghost knight send me that dream?\The knight who's lost sight of his place to die, seeking something from me...\Does he want me to give him a place to die?\No, does it mean he'll prepare a place for me to die?\It's almost scary somehow. response:	It's as if he really were the ghost knight.
context: Okay, I'll be right there.\Why would I dream about the ghost knight? Why?!\Did the ghost knight send me that dream?\The knight who's lost sight of his place to die, seeking something from me...\Does he want me to give him a place to die?\No, does it mean he'll prepare a place for me to die?\It's almost scary somehow.\It's as if he really were the ghost knight. response:	I'm going out shopping!
context: Why would I dream about the ghost knight? Why?!\Did the ghost knight send me that dream?\The knight who's lost sight of his place to die, seeking something from me...\Does he want me to give him a place to die?\No, does it mean he'll prepare a place for me to die?\It's almost scary somehow.\It's as if he really were the ghost knight.\I'm going out shopping! response:	Say, I think I'd probably be faster. Want me to go?
context: Did the ghost knight send me that dream?\The knight who's lost sight of his place to die, seeking something from me...\Does he want me to give him a place to die?\No, does it mean he'll prepare a place for me to die?\It's almost scary somehow.\It's as if he really were the ghost knight.\I'm going out shopping!\Say, I think I'd probably be faster. Want me to go? response:	Really? Then please buy these.
context: The knight who's lost sight of his place to die, seeking something from me...\Does he want me to give him a place to die?\No, does it mean he'll prepare a place for me to die?\It's almost scary somehow.\It's as if he really were the ghost knight.\I'm going out shopping!\Say, I think I'd probably be faster. Want me to go?\Really? Then please buy these. response:	Okay!
context: Does he want me to give him a place to die?\No, does it mean he'll prepare a place for me to die?\It's almost scary somehow.\It's as if he really were the ghost knight.\I'm going out shopping!\Say, I think I'd probably be faster. Want me to go?\Really? Then please buy these.\Okay! response:	Okay, I didn't forget anything, right?
context: No, does it mean he'll prepare a place for me to die?\It's almost scary somehow.\It's as if he really were the ghost knight.\I'm going out shopping!\Say, I think I'd probably be faster. Want me to go?\Really? Then please buy these.\Okay!\Okay, I didn't forget anything, right? response:	But it kinda feels like the town's quieter than usual.
context: It's almost scary somehow.\It's as if he really were the ghost knight.\I'm going out shopping!\Say, I think I'd probably be faster. Want me to go?\Really? Then please buy these.\Okay!\Okay, I didn't forget anything, right?\But it kinda feels like the town's quieter than usual. response:	Is that because of the ghost knight rumors after all?
context: It's as if he really were the ghost knight.\I'm going out shopping!\Say, I think I'd probably be faster. Want me to go?\Really? Then please buy these.\Okay!\Okay, I didn't forget anything, right?\But it kinda feels like the town's quieter than usual.\Is that because of the ghost knight rumors after all? response:	I'd better hurry back!
context: I'm going out shopping!\Say, I think I'd probably be faster. Want me to go?\Really? Then please buy these.\Okay!\Okay, I didn't forget anything, right?\But it kinda feels like the town's quieter than usual.\Is that because of the ghost knight rumors after all?\I'd better hurry back! response:	That was marvelous. This play will definitely be a success.
context: Say, I think I'd probably be faster. Want me to go?\Really? Then please buy these.\Okay!\Okay, I didn't forget anything, right?\But it kinda feels like the town's quieter than usual.\Is that because of the ghost knight rumors after all?\I'd better hurry back!\That was marvelous. This play will definitely be a success. response:	It was just like Ahiru-san said, wasn't it?
context: Really? Then please buy these.\Okay!\Okay, I didn't forget anything, right?\But it kinda feels like the town's quieter than usual.\Is that because of the ghost knight rumors after all?\I'd better hurry back!\That was marvelous. This play will definitely be a success.\It was just like Ahiru-san said, wasn't it? response:	Where's Ahiru?
context: Okay!\Okay, I didn't forget anything, right?\But it kinda feels like the town's quieter than usual.\Is that because of the ghost knight rumors after all?\I'd better hurry back!\That was marvelous. This play will definitely be a success.\It was just like Ahiru-san said, wasn't it?\Where's Ahiru? response:	I had her go into town to do some shopping for me.
context: Okay, I didn't forget anything, right?\But it kinda feels like the town's quieter than usual.\Is that because of the ghost knight rumors after all?\I'd better hurry back!\That was marvelous. This play will definitely be a success.\It was just like Ahiru-san said, wasn't it?\Where's Ahiru?\I had her go into town to do some shopping for me. response:	I see.
context: But it kinda feels like the town's quieter than usual.\Is that because of the ghost knight rumors after all?\I'd better hurry back!\That was marvelous. This play will definitely be a success.\It was just like Ahiru-san said, wasn't it?\Where's Ahiru?\I had her go into town to do some shopping for me.\I see. response:	What do you think?
context: Is that because of the ghost knight rumors after all?\I'd better hurry back!\That was marvelous. This play will definitely be a success.\It was just like Ahiru-san said, wasn't it?\Where's Ahiru?\I had her go into town to do some shopping for me.\I see.\What do you think? response:	Would you do us the honor of formally joining our club?
context: I'd better hurry back!\That was marvelous. This play will definitely be a success.\It was just like Ahiru-san said, wasn't it?\Where's Ahiru?\I had her go into town to do some shopping for me.\I see.\What do you think?\Would you do us the honor of formally joining our club? response:	I just remembered something I have to do.
context: That was marvelous. This play will definitely be a success.\It was just like Ahiru-san said, wasn't it?\Where's Ahiru?\I had her go into town to do some shopping for me.\I see.\What do you think?\Would you do us the honor of formally joining our club?\I just remembered something I have to do. response:	Wait, Fakir-senpai!
context: It was just like Ahiru-san said, wasn't it?\Where's Ahiru?\I had her go into town to do some shopping for me.\I see.\What do you think?\Would you do us the honor of formally joining our club?\I just remembered something I have to do.\Wait, Fakir-senpai! response:	You probably can't hope for much from him after all.
context: Where's Ahiru?\I had her go into town to do some shopping for me.\I see.\What do you think?\Would you do us the honor of formally joining our club?\I just remembered something I have to do.\Wait, Fakir-senpai!\You probably can't hope for much from him after all. response:	Your hair is very lovely. It's just like crow's feathers.
context: I had her go into town to do some shopping for me.\I see.\What do you think?\Would you do us the honor of formally joining our club?\I just remembered something I have to do.\Wait, Fakir-senpai!\You probably can't hope for much from him after all.\Your hair is very lovely. It's just like crow's feathers. response:	Thank you. Well? Have you decided on the next sacrifice?
context: I see.\What do you think?\Would you do us the honor of formally joining our club?\I just remembered something I have to do.\Wait, Fakir-senpai!\You probably can't hope for much from him after all.\Your hair is very lovely. It's just like crow's feathers.\Thank you. Well? Have you decided on the next sacrifice? response:	It's those who possess young and beautiful hearts who are worthy of sacrifice.
context: What do you think?\Would you do us the honor of formally joining our club?\I just remembered something I have to do.\Wait, Fakir-senpai!\You probably can't hope for much from him after all.\Your hair is very lovely. It's just like crow's feathers.\Thank you. Well? Have you decided on the next sacrifice?\It's those who possess young and beautiful hearts who are worthy of sacrifice. response:	I'm just taking my time deciding.
context: Would you do us the honor of formally joining our club?\I just remembered something I have to do.\Wait, Fakir-senpai!\You probably can't hope for much from him after all.\Your hair is very lovely. It's just like crow's feathers.\Thank you. Well? Have you decided on the next sacrifice?\It's those who possess young and beautiful hearts who are worthy of sacrifice.\I'm just taking my time deciding. response:	I see.
context: I just remembered something I have to do.\Wait, Fakir-senpai!\You probably can't hope for much from him after all.\Your hair is very lovely. It's just like crow's feathers.\Thank you. Well? Have you decided on the next sacrifice?\It's those who possess young and beautiful hearts who are worthy of sacrifice.\I'm just taking my time deciding.\I see. response:	Are you getting impatient?
context: Wait, Fakir-senpai!\You probably can't hope for much from him after all.\Your hair is very lovely. It's just like crow's feathers.\Thank you. Well? Have you decided on the next sacrifice?\It's those who possess young and beautiful hearts who are worthy of sacrifice.\I'm just taking my time deciding.\I see.\Are you getting impatient? response:	Say, there've been some interesting rumors lately.
context: You probably can't hope for much from him after all.\Your hair is very lovely. It's just like crow's feathers.\Thank you. Well? Have you decided on the next sacrifice?\It's those who possess young and beautiful hearts who are worthy of sacrifice.\I'm just taking my time deciding.\I see.\Are you getting impatient?\Say, there've been some interesting rumors lately. response:	You mean the ghost knight?
context: Your hair is very lovely. It's just like crow's feathers.\Thank you. Well? Have you decided on the next sacrifice?\It's those who possess young and beautiful hearts who are worthy of sacrifice.\I'm just taking my time deciding.\I see.\Are you getting impatient?\Say, there've been some interesting rumors lately.\You mean the ghost knight? response:	You know everything, don't you?
context: Thank you. Well? Have you decided on the next sacrifice?\It's those who possess young and beautiful hearts who are worthy of sacrifice.\I'm just taking my time deciding.\I see.\Are you getting impatient?\Say, there've been some interesting rumors lately.\You mean the ghost knight?\You know everything, don't you? response:	Is that from getting your heart back too?
context: It's those who possess young and beautiful hearts who are worthy of sacrifice.\I'm just taking my time deciding.\I see.\Are you getting impatient?\Say, there've been some interesting rumors lately.\You mean the ghost knight?\You know everything, don't you?\Is that from getting your heart back too? response:	Princes need strong knights.
context: I'm just taking my time deciding.\I see.\Are you getting impatient?\Say, there've been some interesting rumors lately.\You mean the ghost knight?\You know everything, don't you?\Is that from getting your heart back too?\Princes need strong knights. response:	What if you got the famous ghost knight on your side?
context: I see.\Are you getting impatient?\Say, there've been some interesting rumors lately.\You mean the ghost knight?\You know everything, don't you?\Is that from getting your heart back too?\Princes need strong knights.\What if you got the famous ghost knight on your side? response:	That's a good idea.
context: Are you getting impatient?\Say, there've been some interesting rumors lately.\You mean the ghost knight?\You know everything, don't you?\Is that from getting your heart back too?\Princes need strong knights.\What if you got the famous ghost knight on your side?\That's a good idea. response:	After all, you can't do anything, Kraehe.
context: Say, there've been some interesting rumors lately.\You mean the ghost knight?\You know everything, don't you?\Is that from getting your heart back too?\Princes need strong knights.\What if you got the famous ghost knight on your side?\That's a good idea.\After all, you can't do anything, Kraehe. response:	Don't get angry. It's the truth, isn't it?
context: You mean the ghost knight?\You know everything, don't you?\Is that from getting your heart back too?\Princes need strong knights.\What if you got the famous ghost knight on your side?\That's a good idea.\After all, you can't do anything, Kraehe.\Don't get angry. It's the truth, isn't it? response:	I know. I'll do as you say, Kraehe.
