context: I love this place. response:	I can walk on my own two feet here!
context: Well put.\We owe much to His Imperial Majesty for unearthing Aldnoah.\But it was a grave sin\to hoard that power and create a society where the powerful control all.\When we have achieved victory and seized the Earth, that red world will change.\Lend me your strength, Slaine.\I will, Count Saazbaum.\Is my beloved steed ready? response:	We've finished its activation tests.
context: We owe much to His Imperial Majesty for unearthing Aldnoah.\But it was a grave sin\to hoard that power and create a society where the powerful control all.\When we have achieved victory and seized the Earth, that red world will change.\Lend me your strength, Slaine.\I will, Count Saazbaum.\Is my beloved steed ready?\We've finished its activation tests. response:	Once we've finished fine-tuning the sync between each unit, it will be combat-ready.
context: But it was a grave sin\to hoard that power and create a society where the powerful control all.\When we have achieved victory and seized the Earth, that red world will change.\Lend me your strength, Slaine.\I will, Count Saazbaum.\Is my beloved steed ready?\We've finished its activation tests.\Once we've finished fine-tuning the sync between each unit, it will be combat-ready. response:	Do that on the island! Stygis Squadron, prepare to move out!
context: to hoard that power and create a society where the powerful control all.\When we have achieved victory and seized the Earth, that red world will change.\Lend me your strength, Slaine.\I will, Count Saazbaum.\Is my beloved steed ready?\We've finished its activation tests.\Once we've finished fine-tuning the sync between each unit, it will be combat-ready.\Do that on the island! Stygis Squadron, prepare to move out! response:	Yes, sir!
context: When we have achieved victory and seized the Earth, that red world will change.\Lend me your strength, Slaine.\I will, Count Saazbaum.\Is my beloved steed ready?\We've finished its activation tests.\Once we've finished fine-tuning the sync between each unit, it will be combat-ready.\Do that on the island! Stygis Squadron, prepare to move out!\Yes, sir! response:	Tharsis, stand.
context: Lend me your strength, Slaine.\I will, Count Saazbaum.\Is my beloved steed ready?\We've finished its activation tests.\Once we've finished fine-tuning the sync between each unit, it will be combat-ready.\Do that on the island! Stygis Squadron, prepare to move out!\Yes, sir!\Tharsis, stand. response:	It's not powering up...
context: I will, Count Saazbaum.\Is my beloved steed ready?\We've finished its activation tests.\Once we've finished fine-tuning the sync between each unit, it will be combat-ready.\Do that on the island! Stygis Squadron, prepare to move out!\Yes, sir!\Tharsis, stand.\It's not powering up... response:	Its Aldnoah Drive is offline...
context: Is my beloved steed ready?\We've finished its activation tests.\Once we've finished fine-tuning the sync between each unit, it will be combat-ready.\Do that on the island! Stygis Squadron, prepare to move out!\Yes, sir!\Tharsis, stand.\It's not powering up...\Its Aldnoah Drive is offline... response:	Why?
context: We've finished its activation tests.\Once we've finished fine-tuning the sync between each unit, it will be combat-ready.\Do that on the island! Stygis Squadron, prepare to move out!\Yes, sir!\Tharsis, stand.\It's not powering up...\Its Aldnoah Drive is offline...\Why? response:	Princess Lemrina.
context: Once we've finished fine-tuning the sync between each unit, it will be combat-ready.\Do that on the island! Stygis Squadron, prepare to move out!\Yes, sir!\Tharsis, stand.\It's not powering up...\Its Aldnoah Drive is offline...\Why?\Princess Lemrina. response:	Is something the matter, Slaine?
context: Do that on the island! Stygis Squadron, prepare to move out!\Yes, sir!\Tharsis, stand.\It's not powering up...\Its Aldnoah Drive is offline...\Why?\Princess Lemrina.\Is something the matter, Slaine? response:	Why have you deactivated the Tharsis?
context: Yes, sir!\Tharsis, stand.\It's not powering up...\Its Aldnoah Drive is offline...\Why?\Princess Lemrina.\Is something the matter, Slaine?\Why have you deactivated the Tharsis? response:	Whatever are you talking about?
context: Tharsis, stand.\It's not powering up...\Its Aldnoah Drive is offline...\Why?\Princess Lemrina.\Is something the matter, Slaine?\Why have you deactivated the Tharsis?\Whatever are you talking about? response:	The only one here who can forcibly deactivate Aldnoah is Your Highness.
context: It's not powering up...\Its Aldnoah Drive is offline...\Why?\Princess Lemrina.\Is something the matter, Slaine?\Why have you deactivated the Tharsis?\Whatever are you talking about?\The only one here who can forcibly deactivate Aldnoah is Your Highness. response:	Possibly.
context: Its Aldnoah Drive is offline...\Why?\Princess Lemrina.\Is something the matter, Slaine?\Why have you deactivated the Tharsis?\Whatever are you talking about?\The only one here who can forcibly deactivate Aldnoah is Your Highness.\Possibly. response:	Please activate the Aldnoah.
context: Why?\Princess Lemrina.\Is something the matter, Slaine?\Why have you deactivated the Tharsis?\Whatever are you talking about?\The only one here who can forcibly deactivate Aldnoah is Your Highness.\Possibly.\Please activate the Aldnoah. response:	No.
context: Princess Lemrina.\Is something the matter, Slaine?\Why have you deactivated the Tharsis?\Whatever are you talking about?\The only one here who can forcibly deactivate Aldnoah is Your Highness.\Possibly.\Please activate the Aldnoah.\No. response:	Please.
context: Is something the matter, Slaine?\Why have you deactivated the Tharsis?\Whatever are you talking about?\The only one here who can forcibly deactivate Aldnoah is Your Highness.\Possibly.\Please activate the Aldnoah.\No.\Please. response:	Perhaps you should ask my sister?
context: Why have you deactivated the Tharsis?\Whatever are you talking about?\The only one here who can forcibly deactivate Aldnoah is Your Highness.\Possibly.\Please activate the Aldnoah.\No.\Please.\Perhaps you should ask my sister? response:	It had always struck me as odd.
context: Whatever are you talking about?\The only one here who can forcibly deactivate Aldnoah is Your Highness.\Possibly.\Please activate the Aldnoah.\No.\Please.\Perhaps you should ask my sister?\It had always struck me as odd. response:	How could you, a Terran, operate the Tharsis?
context: The only one here who can forcibly deactivate Aldnoah is Your Highness.\Possibly.\Please activate the Aldnoah.\No.\Please.\Perhaps you should ask my sister?\It had always struck me as odd.\How could you, a Terran, operate the Tharsis? response:	I'm sure she would be happy to know you still love her in spite of her condition.
context: Possibly.\Please activate the Aldnoah.\No.\Please.\Perhaps you should ask my sister?\It had always struck me as odd.\How could you, a Terran, operate the Tharsis?\I'm sure she would be happy to know you still love her in spite of her condition. response:	Even though we share a father,
context: Please activate the Aldnoah.\No.\Please.\Perhaps you should ask my sister?\It had always struck me as odd.\How could you, a Terran, operate the Tharsis?\I'm sure she would be happy to know you still love her in spite of her condition.\Even though we share a father, response:	no one pays me any heed simply because we have different mothers.
context: No.\Please.\Perhaps you should ask my sister?\It had always struck me as odd.\How could you, a Terran, operate the Tharsis?\I'm sure she would be happy to know you still love her in spite of her condition.\Even though we share a father,\no one pays me any heed simply because we have different mothers. response:	That is not true at all. We all admire you, Princess Lemrina.
context: Please.\Perhaps you should ask my sister?\It had always struck me as odd.\How could you, a Terran, operate the Tharsis?\I'm sure she would be happy to know you still love her in spite of her condition.\Even though we share a father,\no one pays me any heed simply because we have different mothers.\That is not true at all. We all admire you, Princess Lemrina. response:	Liar.
context: Perhaps you should ask my sister?\It had always struck me as odd.\How could you, a Terran, operate the Tharsis?\I'm sure she would be happy to know you still love her in spite of her condition.\Even though we share a father,\no one pays me any heed simply because we have different mothers.\That is not true at all. We all admire you, Princess Lemrina.\Liar. response:	It is no lie.
context: It had always struck me as odd.\How could you, a Terran, operate the Tharsis?\I'm sure she would be happy to know you still love her in spite of her condition.\Even though we share a father,\no one pays me any heed simply because we have different mothers.\That is not true at all. We all admire you, Princess Lemrina.\Liar.\It is no lie. response:	It is. It's not me that you admire, it's my activation factor.
context: How could you, a Terran, operate the Tharsis?\I'm sure she would be happy to know you still love her in spite of her condition.\Even though we share a father,\no one pays me any heed simply because we have different mothers.\That is not true at all. We all admire you, Princess Lemrina.\Liar.\It is no lie.\It is. It's not me that you admire, it's my activation factor. response:	Isn't that exactly why you came to me?
context: I'm sure she would be happy to know you still love her in spite of her condition.\Even though we share a father,\no one pays me any heed simply because we have different mothers.\That is not true at all. We all admire you, Princess Lemrina.\Liar.\It is no lie.\It is. It's not me that you admire, it's my activation factor.\Isn't that exactly why you came to me? response:	Lord Slaine?
context: Even though we share a father,\no one pays me any heed simply because we have different mothers.\That is not true at all. We all admire you, Princess Lemrina.\Liar.\It is no lie.\It is. It's not me that you admire, it's my activation factor.\Isn't that exactly why you came to me?\Lord Slaine? response:	Do you want me that badly?
context: no one pays me any heed simply because we have different mothers.\That is not true at all. We all admire you, Princess Lemrina.\Liar.\It is no lie.\It is. It's not me that you admire, it's my activation factor.\Isn't that exactly why you came to me?\Lord Slaine?\Do you want me that badly? response:	Is Aldnoah so important to you?
context: That is not true at all. We all admire you, Princess Lemrina.\Liar.\It is no lie.\It is. It's not me that you admire, it's my activation factor.\Isn't that exactly why you came to me?\Lord Slaine?\Do you want me that badly?\Is Aldnoah so important to you? response:	Am I my sister's replacement?
context: Liar.\It is no lie.\It is. It's not me that you admire, it's my activation factor.\Isn't that exactly why you came to me?\Lord Slaine?\Do you want me that badly?\Is Aldnoah so important to you?\Am I my sister's replacement? response:	I knew it, I am.
context: It is no lie.\It is. It's not me that you admire, it's my activation factor.\Isn't that exactly why you came to me?\Lord Slaine?\Do you want me that badly?\Is Aldnoah so important to you?\Am I my sister's replacement?\I knew it, I am. response:	I hate you.
context: It is. It's not me that you admire, it's my activation factor.\Isn't that exactly why you came to me?\Lord Slaine?\Do you want me that badly?\Is Aldnoah so important to you?\Am I my sister's replacement?\I knew it, I am.\I hate you. response:	I was born on Earth.
context: Isn't that exactly why you came to me?\Lord Slaine?\Do you want me that badly?\Is Aldnoah so important to you?\Am I my sister's replacement?\I knew it, I am.\I hate you.\I was born on Earth. response:	When my scientist father died, I lost my one protector.
context: Lord Slaine?\Do you want me that badly?\Is Aldnoah so important to you?\Am I my sister's replacement?\I knew it, I am.\I hate you.\I was born on Earth.\When my scientist father died, I lost my one protector. response:	I became a servant of the Vers Orbital Knights.
context: Do you want me that badly?\Is Aldnoah so important to you?\Am I my sister's replacement?\I knew it, I am.\I hate you.\I was born on Earth.\When my scientist father died, I lost my one protector.\I became a servant of the Vers Orbital Knights. response:	I will not say that I understand your hardships.
context: Is Aldnoah so important to you?\Am I my sister's replacement?\I knew it, I am.\I hate you.\I was born on Earth.\When my scientist father died, I lost my one protector.\I became a servant of the Vers Orbital Knights.\I will not say that I understand your hardships. response:	But I, too, have known cruel treatment due to my birth.
context: Am I my sister's replacement?\I knew it, I am.\I hate you.\I was born on Earth.\When my scientist father died, I lost my one protector.\I became a servant of the Vers Orbital Knights.\I will not say that I understand your hardships.\But I, too, have known cruel treatment due to my birth. response:	I can understand your suffering, if only some small portion of it.
context: I knew it, I am.\I hate you.\I was born on Earth.\When my scientist father died, I lost my one protector.\I became a servant of the Vers Orbital Knights.\I will not say that I understand your hardships.\But I, too, have known cruel treatment due to my birth.\I can understand your suffering, if only some small portion of it. response:	You do have my heartfelt admiration, Princess Lemrina.
context: I hate you.\I was born on Earth.\When my scientist father died, I lost my one protector.\I became a servant of the Vers Orbital Knights.\I will not say that I understand your hardships.\But I, too, have known cruel treatment due to my birth.\I can understand your suffering, if only some small portion of it.\You do have my heartfelt admiration, Princess Lemrina. response:	Lift your eyes, Slaine.
context: I was born on Earth.\When my scientist father died, I lost my one protector.\I became a servant of the Vers Orbital Knights.\I will not say that I understand your hardships.\But I, too, have known cruel treatment due to my birth.\I can understand your suffering, if only some small portion of it.\You do have my heartfelt admiration, Princess Lemrina.\Lift your eyes, Slaine. response:	Now, activate it once yourself.
context: When my scientist father died, I lost my one protector.\I became a servant of the Vers Orbital Knights.\I will not say that I understand your hardships.\But I, too, have known cruel treatment due to my birth.\I can understand your suffering, if only some small portion of it.\You do have my heartfelt admiration, Princess Lemrina.\Lift your eyes, Slaine.\Now, activate it once yourself. response:	You have my thanks.
context: I became a servant of the Vers Orbital Knights.\I will not say that I understand your hardships.\But I, too, have known cruel treatment due to my birth.\I can understand your suffering, if only some small portion of it.\You do have my heartfelt admiration, Princess Lemrina.\Lift your eyes, Slaine.\Now, activate it once yourself.\You have my thanks. response:	Good hunting, Sir Slaine Troyard.
context: I will not say that I understand your hardships.\But I, too, have known cruel treatment due to my birth.\I can understand your suffering, if only some small portion of it.\You do have my heartfelt admiration, Princess Lemrina.\Lift your eyes, Slaine.\Now, activate it once yourself.\You have my thanks.\Good hunting, Sir Slaine Troyard. response:	Milord Slaine.
context: But I, too, have known cruel treatment due to my birth.\I can understand your suffering, if only some small portion of it.\You do have my heartfelt admiration, Princess Lemrina.\Lift your eyes, Slaine.\Now, activate it once yourself.\You have my thanks.\Good hunting, Sir Slaine Troyard.\Milord Slaine. response:	I apologize for the delay.
context: I can understand your suffering, if only some small portion of it.\You do have my heartfelt admiration, Princess Lemrina.\Lift your eyes, Slaine.\Now, activate it once yourself.\You have my thanks.\Good hunting, Sir Slaine Troyard.\Milord Slaine.\I apologize for the delay. response:	That display was touching. I am proud that you are my master.
context: You do have my heartfelt admiration, Princess Lemrina.\Lift your eyes, Slaine.\Now, activate it once yourself.\You have my thanks.\Good hunting, Sir Slaine Troyard.\Milord Slaine.\I apologize for the delay.\That display was touching. I am proud that you are my master. response:	You saw that? How embarrassing.
context: Lift your eyes, Slaine.\Now, activate it once yourself.\You have my thanks.\Good hunting, Sir Slaine Troyard.\Milord Slaine.\I apologize for the delay.\That display was touching. I am proud that you are my master.\You saw that? How embarrassing. response:	All units, launch!
context: Now, activate it once yourself.\You have my thanks.\Good hunting, Sir Slaine Troyard.\Milord Slaine.\I apologize for the delay.\That display was touching. I am proud that you are my master.\You saw that? How embarrassing.\All units, launch! response:	Destination, Marineros Island!
context: You have my thanks.\Good hunting, Sir Slaine Troyard.\Milord Slaine.\I apologize for the delay.\That display was touching. I am proud that you are my master.\You saw that? How embarrassing.\All units, launch!\Destination, Marineros Island! response:	Everything that was yours, I will take on as my own.
context: Good hunting, Sir Slaine Troyard.\Milord Slaine.\I apologize for the delay.\That display was touching. I am proud that you are my master.\You saw that? How embarrassing.\All units, launch!\Destination, Marineros Island!\Everything that was yours, I will take on as my own. response:	So rest easy, dear sister.
context: Milord Slaine.\I apologize for the delay.\That display was touching. I am proud that you are my master.\You saw that? How embarrassing.\All units, launch!\Destination, Marineros Island!\Everything that was yours, I will take on as my own.\So rest easy, dear sister. response:	We will soon enter Earth orbit.
context: I apologize for the delay.\That display was touching. I am proud that you are my master.\You saw that? How embarrassing.\All units, launch!\Destination, Marineros Island!\Everything that was yours, I will take on as my own.\So rest easy, dear sister.\We will soon enter Earth orbit. response:	We will perform an aerobrake maneuver,
context: That display was touching. I am proud that you are my master.\You saw that? How embarrassing.\All units, launch!\Destination, Marineros Island!\Everything that was yours, I will take on as my own.\So rest easy, dear sister.\We will soon enter Earth orbit.\We will perform an aerobrake maneuver, response:	slingshot around, and enter the Satellite Belt.
context: You saw that? How embarrassing.\All units, launch!\Destination, Marineros Island!\Everything that was yours, I will take on as my own.\So rest easy, dear sister.\We will soon enter Earth orbit.\We will perform an aerobrake maneuver,\slingshot around, and enter the Satellite Belt. response:	We will then make for Marineros Island.
context: All units, launch!\Destination, Marineros Island!\Everything that was yours, I will take on as my own.\So rest easy, dear sister.\We will soon enter Earth orbit.\We will perform an aerobrake maneuver,\slingshot around, and enter the Satellite Belt.\We will then make for Marineros Island. response:	Milord Slaine, it is time.
context: Destination, Marineros Island!\Everything that was yours, I will take on as my own.\So rest easy, dear sister.\We will soon enter Earth orbit.\We will perform an aerobrake maneuver,\slingshot around, and enter the Satellite Belt.\We will then make for Marineros Island.\Milord Slaine, it is time. response:	Right.
context: Everything that was yours, I will take on as my own.\So rest easy, dear sister.\We will soon enter Earth orbit.\We will perform an aerobrake maneuver,\slingshot around, and enter the Satellite Belt.\We will then make for Marineros Island.\Milord Slaine, it is time.\Right. response:	As you are aware, the countless rocks that comprise the Satellite Belt
context: So rest easy, dear sister.\We will soon enter Earth orbit.\We will perform an aerobrake maneuver,\slingshot around, and enter the Satellite Belt.\We will then make for Marineros Island.\Milord Slaine, it is time.\Right.\As you are aware, the countless rocks that comprise the Satellite Belt response:	travel in an elliptical orbit around the Earth.
context: We will soon enter Earth orbit.\We will perform an aerobrake maneuver,\slingshot around, and enter the Satellite Belt.\We will then make for Marineros Island.\Milord Slaine, it is time.\Right.\As you are aware, the countless rocks that comprise the Satellite Belt\travel in an elliptical orbit around the Earth. response:	Trident Base is one of those rocks.
context: We will perform an aerobrake maneuver,\slingshot around, and enter the Satellite Belt.\We will then make for Marineros Island.\Milord Slaine, it is time.\Right.\As you are aware, the countless rocks that comprise the Satellite Belt\travel in an elliptical orbit around the Earth.\Trident Base is one of those rocks. response:	Now, this is the orbit of Marineros, the frontline base of the Mars Army.
context: slingshot around, and enter the Satellite Belt.\We will then make for Marineros Island.\Milord Slaine, it is time.\Right.\As you are aware, the countless rocks that comprise the Satellite Belt\travel in an elliptical orbit around the Earth.\Trident Base is one of those rocks.\Now, this is the orbit of Marineros, the frontline base of the Mars Army. response:	The two will make a close approach in 72 hours' time.
context: We will then make for Marineros Island.\Milord Slaine, it is time.\Right.\As you are aware, the countless rocks that comprise the Satellite Belt\travel in an elliptical orbit around the Earth.\Trident Base is one of those rocks.\Now, this is the orbit of Marineros, the frontline base of the Mars Army.\The two will make a close approach in 72 hours' time. response:	The distance between them will be a mere 7km.
context: Milord Slaine, it is time.\Right.\As you are aware, the countless rocks that comprise the Satellite Belt\travel in an elliptical orbit around the Earth.\Trident Base is one of those rocks.\Now, this is the orbit of Marineros, the frontline base of the Mars Army.\The two will make a close approach in 72 hours' time.\The distance between them will be a mere 7km. response:	That's close enough to be seen with the naked eye.
context: Right.\As you are aware, the countless rocks that comprise the Satellite Belt\travel in an elliptical orbit around the Earth.\Trident Base is one of those rocks.\Now, this is the orbit of Marineros, the frontline base of the Mars Army.\The two will make a close approach in 72 hours' time.\The distance between them will be a mere 7km.\That's close enough to be seen with the naked eye. response:	For that reason, a large-scale battle is expected between our two bases.
context: As you are aware, the countless rocks that comprise the Satellite Belt\travel in an elliptical orbit around the Earth.\Trident Base is one of those rocks.\Now, this is the orbit of Marineros, the frontline base of the Mars Army.\The two will make a close approach in 72 hours' time.\The distance between them will be a mere 7km.\That's close enough to be seen with the naked eye.\For that reason, a large-scale battle is expected between our two bases. response:	Operating under that assumption,
context: travel in an elliptical orbit around the Earth.\Trident Base is one of those rocks.\Now, this is the orbit of Marineros, the frontline base of the Mars Army.\The two will make a close approach in 72 hours' time.\The distance between them will be a mere 7km.\That's close enough to be seen with the naked eye.\For that reason, a large-scale battle is expected between our two bases.\Operating under that assumption, response:	we have gathered you here from both orbit and the surface
context: Trident Base is one of those rocks.\Now, this is the orbit of Marineros, the frontline base of the Mars Army.\The two will make a close approach in 72 hours' time.\The distance between them will be a mere 7km.\That's close enough to be seen with the naked eye.\For that reason, a large-scale battle is expected between our two bases.\Operating under that assumption,\we have gathered you here from both orbit and the surface response:	to assemble a powerful fighting force.
context: Now, this is the orbit of Marineros, the frontline base of the Mars Army.\The two will make a close approach in 72 hours' time.\The distance between them will be a mere 7km.\That's close enough to be seen with the naked eye.\For that reason, a large-scale battle is expected between our two bases.\Operating under that assumption,\we have gathered you here from both orbit and the surface\to assemble a powerful fighting force. response:	It is thought that the Mars Army will also amass their forces for an all-out offensive.
context: The two will make a close approach in 72 hours' time.\The distance between them will be a mere 7km.\That's close enough to be seen with the naked eye.\For that reason, a large-scale battle is expected between our two bases.\Operating under that assumption,\we have gathered you here from both orbit and the surface\to assemble a powerful fighting force.\It is thought that the Mars Army will also amass their forces for an all-out offensive. response:	Exercise caution while attacking.
context: The distance between them will be a mere 7km.\That's close enough to be seen with the naked eye.\For that reason, a large-scale battle is expected between our two bases.\Operating under that assumption,\we have gathered you here from both orbit and the surface\to assemble a powerful fighting force.\It is thought that the Mars Army will also amass their forces for an all-out offensive.\Exercise caution while attacking. response:	The mission is as follows.
context: That's close enough to be seen with the naked eye.\For that reason, a large-scale battle is expected between our two bases.\Operating under that assumption,\we have gathered you here from both orbit and the surface\to assemble a powerful fighting force.\It is thought that the Mars Army will also amass their forces for an all-out offensive.\Exercise caution while attacking.\The mission is as follows. response:	We've never fought a space battle of this scale since the war began.
context: For that reason, a large-scale battle is expected between our two bases.\Operating under that assumption,\we have gathered you here from both orbit and the surface\to assemble a powerful fighting force.\It is thought that the Mars Army will also amass their forces for an all-out offensive.\Exercise caution while attacking.\The mission is as follows.\We've never fought a space battle of this scale since the war began. response:	We predict an increase in high-density rocks in the area at the time of the operation.
context: Operating under that assumption,\we have gathered you here from both orbit and the surface\to assemble a powerful fighting force.\It is thought that the Mars Army will also amass their forces for an all-out offensive.\Exercise caution while attacking.\The mission is as follows.\We've never fought a space battle of this scale since the war began.\We predict an increase in high-density rocks in the area at the time of the operation. response:	Do you think we can handle it?
context: we have gathered you here from both orbit and the surface\to assemble a powerful fighting force.\It is thought that the Mars Army will also amass their forces for an all-out offensive.\Exercise caution while attacking.\The mission is as follows.\We've never fought a space battle of this scale since the war began.\We predict an increase in high-density rocks in the area at the time of the operation.\Do you think we can handle it? response:	As a result, long-range fire will be thrown off course.
context: to assemble a powerful fighting force.\It is thought that the Mars Army will also amass their forces for an all-out offensive.\Exercise caution while attacking.\The mission is as follows.\We've never fought a space battle of this scale since the war began.\We predict an increase in high-density rocks in the area at the time of the operation.\Do you think we can handle it?\As a result, long-range fire will be thrown off course. response:	Who knows? But considering that it'll be a first for the enemy, too,
context: It is thought that the Mars Army will also amass their forces for an all-out offensive.\Exercise caution while attacking.\The mission is as follows.\We've never fought a space battle of this scale since the war began.\We predict an increase in high-density rocks in the area at the time of the operation.\Do you think we can handle it?\As a result, long-range fire will be thrown off course.\Who knows? But considering that it'll be a first for the enemy, too, response:	Your chances of landing a hit will be low.
context: Exercise caution while attacking.\The mission is as follows.\We've never fought a space battle of this scale since the war began.\We predict an increase in high-density rocks in the area at the time of the operation.\Do you think we can handle it?\As a result, long-range fire will be thrown off course.\Who knows? But considering that it'll be a first for the enemy, too,\Your chances of landing a hit will be low. response:	it's probably nothing to be scared about.
context: The mission is as follows.\We've never fought a space battle of this scale since the war began.\We predict an increase in high-density rocks in the area at the time of the operation.\Do you think we can handle it?\As a result, long-range fire will be thrown off course.\Who knows? But considering that it'll be a first for the enemy, too,\Your chances of landing a hit will be low.\it's probably nothing to be scared about. response:	But this will hold true for the enemy, as well.
context: We've never fought a space battle of this scale since the war began.\We predict an increase in high-density rocks in the area at the time of the operation.\Do you think we can handle it?\As a result, long-range fire will be thrown off course.\Who knows? But considering that it'll be a first for the enemy, too,\Your chances of landing a hit will be low.\it's probably nothing to be scared about.\But this will hold true for the enemy, as well. response:	Be that as it may, it is still a subject for concern.
context: We predict an increase in high-density rocks in the area at the time of the operation.\Do you think we can handle it?\As a result, long-range fire will be thrown off course.\Who knows? But considering that it'll be a first for the enemy, too,\Your chances of landing a hit will be low.\it's probably nothing to be scared about.\But this will hold true for the enemy, as well.\Be that as it may, it is still a subject for concern. response:	Judging from the Mars Army's fighting style to date,
context: Do you think we can handle it?\As a result, long-range fire will be thrown off course.\Who knows? But considering that it'll be a first for the enemy, too,\Your chances of landing a hit will be low.\it's probably nothing to be scared about.\But this will hold true for the enemy, as well.\Be that as it may, it is still a subject for concern.\Judging from the Mars Army's fighting style to date, response:	they have a tendency to put more emphasis on offense than defense.
context: As a result, long-range fire will be thrown off course.\Who knows? But considering that it'll be a first for the enemy, too,\Your chances of landing a hit will be low.\it's probably nothing to be scared about.\But this will hold true for the enemy, as well.\Be that as it may, it is still a subject for concern.\Judging from the Mars Army's fighting style to date,\they have a tendency to put more emphasis on offense than defense. response:	What a shame.
context: Who knows? But considering that it'll be a first for the enemy, too,\Your chances of landing a hit will be low.\it's probably nothing to be scared about.\But this will hold true for the enemy, as well.\Be that as it may, it is still a subject for concern.\Judging from the Mars Army's fighting style to date,\they have a tendency to put more emphasis on offense than defense.\What a shame. response:	Ma'am?
context: Your chances of landing a hit will be low.\it's probably nothing to be scared about.\But this will hold true for the enemy, as well.\Be that as it may, it is still a subject for concern.\Judging from the Mars Army's fighting style to date,\they have a tendency to put more emphasis on offense than defense.\What a shame.\Ma'am? response:	As such, there is a high probability of them mobilizing their base's mechanized units
context: it's probably nothing to be scared about.\But this will hold true for the enemy, as well.\Be that as it may, it is still a subject for concern.\Judging from the Mars Army's fighting style to date,\they have a tendency to put more emphasis on offense than defense.\What a shame.\Ma'am?\As such, there is a high probability of them mobilizing their base's mechanized units response:	If you let that endearing side show every day, you'd be sure to get a date.
context: But this will hold true for the enemy, as well.\Be that as it may, it is still a subject for concern.\Judging from the Mars Army's fighting style to date,\they have a tendency to put more emphasis on offense than defense.\What a shame.\Ma'am?\As such, there is a high probability of them mobilizing their base's mechanized units\If you let that endearing side show every day, you'd be sure to get a date. response:	and engaging us in close-quarter combat.
context: Be that as it may, it is still a subject for concern.\Judging from the Mars Army's fighting style to date,\they have a tendency to put more emphasis on offense than defense.\What a shame.\Ma'am?\As such, there is a high probability of them mobilizing their base's mechanized units\If you let that endearing side show every day, you'd be sure to get a date.\and engaging us in close-quarter combat. response:	Deceleration complete in five seconds.
context: Judging from the Mars Army's fighting style to date,\they have a tendency to put more emphasis on offense than defense.\What a shame.\Ma'am?\As such, there is a high probability of them mobilizing their base's mechanized units\If you let that endearing side show every day, you'd be sure to get a date.\and engaging us in close-quarter combat.\Deceleration complete in five seconds. response:	Three, two, one,
context: they have a tendency to put more emphasis on offense than defense.\What a shame.\Ma'am?\As such, there is a high probability of them mobilizing their base's mechanized units\If you let that endearing side show every day, you'd be sure to get a date.\and engaging us in close-quarter combat.\Deceleration complete in five seconds.\Three, two, one, response:	clear.
context: What a shame.\Ma'am?\As such, there is a high probability of them mobilizing their base's mechanized units\If you let that endearing side show every day, you'd be sure to get a date.\and engaging us in close-quarter combat.\Deceleration complete in five seconds.\Three, two, one,\clear. response:	A little something for the ride.
context: Ma'am?\As such, there is a high probability of them mobilizing their base's mechanized units\If you let that endearing side show every day, you'd be sure to get a date.\and engaging us in close-quarter combat.\Deceleration complete in five seconds.\Three, two, one,\clear.\A little something for the ride. response:	Stygis Platoon, show me what you are made of.
context: As such, there is a high probability of them mobilizing their base's mechanized units\If you let that endearing side show every day, you'd be sure to get a date.\and engaging us in close-quarter combat.\Deceleration complete in five seconds.\Three, two, one,\clear.\A little something for the ride.\Stygis Platoon, show me what you are made of. response:	Stygis 1, by your command.
context: If you let that endearing side show every day, you'd be sure to get a date.\and engaging us in close-quarter combat.\Deceleration complete in five seconds.\Three, two, one,\clear.\A little something for the ride.\Stygis Platoon, show me what you are made of.\Stygis 1, by your command. response:	Stygis 2, by your command.
context: and engaging us in close-quarter combat.\Deceleration complete in five seconds.\Three, two, one,\clear.\A little something for the ride.\Stygis Platoon, show me what you are made of.\Stygis 1, by your command.\Stygis 2, by your command. response:	Stygis 3, by your command.
context: Deceleration complete in five seconds.\Three, two, one,\clear.\A little something for the ride.\Stygis Platoon, show me what you are made of.\Stygis 1, by your command.\Stygis 2, by your command.\Stygis 3, by your command. response:	Intense heat signatures closing in from LEO at high speed!
context: Three, two, one,\clear.\A little something for the ride.\Stygis Platoon, show me what you are made of.\Stygis 1, by your command.\Stygis 2, by your command.\Stygis 3, by your command.\Intense heat signatures closing in from LEO at high speed! response:	Not reading an IFF signal!
context: clear.\A little something for the ride.\Stygis Platoon, show me what you are made of.\Stygis 1, by your command.\Stygis 2, by your command.\Stygis 3, by your command.\Intense heat signatures closing in from LEO at high speed!\Not reading an IFF signal! response:	From below?!
context: A little something for the ride.\Stygis Platoon, show me what you are made of.\Stygis 1, by your command.\Stygis 2, by your command.\Stygis 3, by your command.\Intense heat signatures closing in from LEO at high speed!\Not reading an IFF signal!\From below?! response:	They will pass within 2km of this base
context: Stygis Platoon, show me what you are made of.\Stygis 1, by your command.\Stygis 2, by your command.\Stygis 3, by your command.\Intense heat signatures closing in from LEO at high speed!\Not reading an IFF signal!\From below?!\They will pass within 2km of this base response:	on a trajectory that will take them to the Mars Army's Marineros Base!
context: Stygis 1, by your command.\Stygis 2, by your command.\Stygis 3, by your command.\Intense heat signatures closing in from LEO at high speed!\Not reading an IFF signal!\From below?!\They will pass within 2km of this base\on a trajectory that will take them to the Mars Army's Marineros Base! response:	Orders from HQ to intercept, ma'am!
