context: The scenery's pretty invigorating, isn't it? response:	Yunosagi's over there.
context: Mariko Kaga from Withered Flower was very cute.\Oh, so you still aren't withered, are you, Denroku?\Not yet, I'm afraid.\I'm asking you because you're\dedicated enough to relocate to the\countryside in order to write.\You want me to write 40 pages\to take up 10 minutes of the film? response:	Please write us a scene that shows
context: Oh, so you still aren't withered, are you, Denroku?\Not yet, I'm afraid.\I'm asking you because you're\dedicated enough to relocate to the\countryside in order to write.\You want me to write 40 pages\to take up 10 minutes of the film?\Please write us a scene that shows response:	the real warmth of this area.
context: Not yet, I'm afraid.\I'm asking you because you're\dedicated enough to relocate to the\countryside in order to write.\You want me to write 40 pages\to take up 10 minutes of the film?\Please write us a scene that shows\the real warmth of this area. response:	When do I get the chance to talk to
context: I'm asking you because you're\dedicated enough to relocate to the\countryside in order to write.\You want me to write 40 pages\to take up 10 minutes of the film?\Please write us a scene that shows\the real warmth of this area.\When do I get the chance to talk to response:	the director and the main writer about this?
context: dedicated enough to relocate to the\countryside in order to write.\You want me to write 40 pages\to take up 10 minutes of the film?\Please write us a scene that shows\the real warmth of this area.\When do I get the chance to talk to\the director and the main writer about this? response:	Sorry, I'll give you an outline of the basic setting and plot.
context: countryside in order to write.\You want me to write 40 pages\to take up 10 minutes of the film?\Please write us a scene that shows\the real warmth of this area.\When do I get the chance to talk to\the director and the main writer about this?\Sorry, I'll give you an outline of the basic setting and plot. response:	So, do you mind writing something
context: You want me to write 40 pages\to take up 10 minutes of the film?\Please write us a scene that shows\the real warmth of this area.\When do I get the chance to talk to\the director and the main writer about this?\Sorry, I'll give you an outline of the basic setting and plot.\So, do you mind writing something response:	as a springboard for discussion?
context: to take up 10 minutes of the film?\Please write us a scene that shows\the real warmth of this area.\When do I get the chance to talk to\the director and the main writer about this?\Sorry, I'll give you an outline of the basic setting and plot.\So, do you mind writing something\as a springboard for discussion? response:	I'll then take that and talk to the director about it.
context: Please write us a scene that shows\the real warmth of this area.\When do I get the chance to talk to\the director and the main writer about this?\Sorry, I'll give you an outline of the basic setting and plot.\So, do you mind writing something\as a springboard for discussion?\I'll then take that and talk to the director about it. response:	But...
context: the real warmth of this area.\When do I get the chance to talk to\the director and the main writer about this?\Sorry, I'll give you an outline of the basic setting and plot.\So, do you mind writing something\as a springboard for discussion?\I'll then take that and talk to the director about it.\But... response:	Oh...
context: When do I get the chance to talk to\the director and the main writer about this?\Sorry, I'll give you an outline of the basic setting and plot.\So, do you mind writing something\as a springboard for discussion?\I'll then take that and talk to the director about it.\But...\Oh... response:	I've heard that there's this event
context: the director and the main writer about this?\Sorry, I'll give you an outline of the basic setting and plot.\So, do you mind writing something\as a springboard for discussion?\I'll then take that and talk to the director about it.\But...\Oh...\I've heard that there's this event response:	called a Bonbori Festival that takes place around here.
context: Sorry, I'll give you an outline of the basic setting and plot.\So, do you mind writing something\as a springboard for discussion?\I'll then take that and talk to the director about it.\But...\Oh...\I've heard that there's this event\called a Bonbori Festival that takes place around here. response:	How about getting a description of that? Okay?
context: So, do you mind writing something\as a springboard for discussion?\I'll then take that and talk to the director about it.\But...\Oh...\I've heard that there's this event\called a Bonbori Festival that takes place around here.\How about getting a description of that? Okay? response:	Mr. Jiromaru, the young master specifically requested that they
context: as a springboard for discussion?\I'll then take that and talk to the director about it.\But...\Oh...\I've heard that there's this event\called a Bonbori Festival that takes place around here.\How about getting a description of that? Okay?\Mr. Jiromaru, the young master specifically requested that they response:	include your writing in the film as a condition of the investment.
context: I'll then take that and talk to the director about it.\But...\Oh...\I've heard that there's this event\called a Bonbori Festival that takes place around here.\How about getting a description of that? Okay?\Mr. Jiromaru, the young master specifically requested that they\include your writing in the film as a condition of the investment. response:	R-Really?
context: But...\Oh...\I've heard that there's this event\called a Bonbori Festival that takes place around here.\How about getting a description of that? Okay?\Mr. Jiromaru, the young master specifically requested that they\include your writing in the film as a condition of the investment.\R-Really? response:	I'll do my best!
context: Oh...\I've heard that there's this event\called a Bonbori Festival that takes place around here.\How about getting a description of that? Okay?\Mr. Jiromaru, the young master specifically requested that they\include your writing in the film as a condition of the investment.\R-Really?\I'll do my best! response:	They'll be checking the
context: I've heard that there's this event\called a Bonbori Festival that takes place around here.\How about getting a description of that? Okay?\Mr. Jiromaru, the young master specifically requested that they\include your writing in the film as a condition of the investment.\R-Really?\I'll do my best!\They'll be checking the response:	actual operational portions of the inn.
context: called a Bonbori Festival that takes place around here.\How about getting a description of that? Okay?\Mr. Jiromaru, the young master specifically requested that they\include your writing in the film as a condition of the investment.\R-Really?\I'll do my best!\They'll be checking the\actual operational portions of the inn. response:	What I need you all to do is brush up everything.
context: How about getting a description of that? Okay?\Mr. Jiromaru, the young master specifically requested that they\include your writing in the film as a condition of the investment.\R-Really?\I'll do my best!\They'll be checking the\actual operational portions of the inn.\What I need you all to do is brush up everything. response:	This... is a pool?
context: Mr. Jiromaru, the young master specifically requested that they\include your writing in the film as a condition of the investment.\R-Really?\I'll do my best!\They'll be checking the\actual operational portions of the inn.\What I need you all to do is brush up everything.\This... is a pool? response:	I heard that it used to be one.
context: include your writing in the film as a condition of the investment.\R-Really?\I'll do my best!\They'll be checking the\actual operational portions of the inn.\What I need you all to do is brush up everything.\This... is a pool?\I heard that it used to be one. response:	Yes.
context: R-Really?\I'll do my best!\They'll be checking the\actual operational portions of the inn.\What I need you all to do is brush up everything.\This... is a pool?\I heard that it used to be one.\Yes. response:	Basically, you want us to clean this, right?
context: I'll do my best!\They'll be checking the\actual operational portions of the inn.\What I need you all to do is brush up everything.\This... is a pool?\I heard that it used to be one.\Yes.\Basically, you want us to clean this, right? response:	The pool must be used in the film as well.
context: They'll be checking the\actual operational portions of the inn.\What I need you all to do is brush up everything.\This... is a pool?\I heard that it used to be one.\Yes.\Basically, you want us to clean this, right?\The pool must be used in the film as well. response:	In other words,
context: actual operational portions of the inn.\What I need you all to do is brush up everything.\This... is a pool?\I heard that it used to be one.\Yes.\Basically, you want us to clean this, right?\The pool must be used in the film as well.\In other words, response:	it's another condition imposed by the young master for the investment.
context: What I need you all to do is brush up everything.\This... is a pool?\I heard that it used to be one.\Yes.\Basically, you want us to clean this, right?\The pool must be used in the film as well.\In other words,\it's another condition imposed by the young master for the investment. response:	Do you have anything to say, young master?
context: This... is a pool?\I heard that it used to be one.\Yes.\Basically, you want us to clean this, right?\The pool must be used in the film as well.\In other words,\it's another condition imposed by the young master for the investment.\Do you have anything to say, young master? response:	This place is scheduled to be
context: I heard that it used to be one.\Yes.\Basically, you want us to clean this, right?\The pool must be used in the film as well.\In other words,\it's another condition imposed by the young master for the investment.\Do you have anything to say, young master?\This place is scheduled to be response:	an important stage for the upcoming film,
context: Yes.\Basically, you want us to clean this, right?\The pool must be used in the film as well.\In other words,\it's another condition imposed by the young master for the investment.\Do you have anything to say, young master?\This place is scheduled to be\an important stage for the upcoming film, response:	so please ensure that it's left sparkling.
context: Basically, you want us to clean this, right?\The pool must be used in the film as well.\In other words,\it's another condition imposed by the young master for the investment.\Do you have anything to say, young master?\This place is scheduled to be\an important stage for the upcoming film,\so please ensure that it's left sparkling. response:	But why the pool in particular?
context: The pool must be used in the film as well.\In other words,\it's another condition imposed by the young master for the investment.\Do you have anything to say, young master?\This place is scheduled to be\an important stage for the upcoming film,\so please ensure that it's left sparkling.\But why the pool in particular? response:	What do you mean, Ohana?
context: In other words,\it's another condition imposed by the young master for the investment.\Do you have anything to say, young master?\This place is scheduled to be\an important stage for the upcoming film,\so please ensure that it's left sparkling.\But why the pool in particular?\What do you mean, Ohana? response:	It's a summer film!
context: it's another condition imposed by the young master for the investment.\Do you have anything to say, young master?\This place is scheduled to be\an important stage for the upcoming film,\so please ensure that it's left sparkling.\But why the pool in particular?\What do you mean, Ohana?\It's a summer film! response:	Summer means the pool!
context: Do you have anything to say, young master?\This place is scheduled to be\an important stage for the upcoming film,\so please ensure that it's left sparkling.\But why the pool in particular?\What do you mean, Ohana?\It's a summer film!\Summer means the pool! response:	The pool means summer!
context: This place is scheduled to be\an important stage for the upcoming film,\so please ensure that it's left sparkling.\But why the pool in particular?\What do you mean, Ohana?\It's a summer film!\Summer means the pool!\The pool means summer! response:	And... I wasn't wrong.
context: an important stage for the upcoming film,\so please ensure that it's left sparkling.\But why the pool in particular?\What do you mean, Ohana?\It's a summer film!\Summer means the pool!\The pool means summer!\And... I wasn't wrong. response:	Anyway, please take care of it.
context: so please ensure that it's left sparkling.\But why the pool in particular?\What do you mean, Ohana?\It's a summer film!\Summer means the pool!\The pool means summer!\And... I wasn't wrong.\Anyway, please take care of it. response:	Party... Party...
context: But why the pool in particular?\What do you mean, Ohana?\It's a summer film!\Summer means the pool!\The pool means summer!\And... I wasn't wrong.\Anyway, please take care of it.\Party... Party... response:	Addicted to parties!
context: What do you mean, Ohana?\It's a summer film!\Summer means the pool!\The pool means summer!\And... I wasn't wrong.\Anyway, please take care of it.\Party... Party...\Addicted to parties! response:	Young master!
context: It's a summer film!\Summer means the pool!\The pool means summer!\And... I wasn't wrong.\Anyway, please take care of it.\Party... Party...\Addicted to parties!\Young master! response:	I don't even know how to begin to thank you.
context: Summer means the pool!\The pool means summer!\And... I wasn't wrong.\Anyway, please take care of it.\Party... Party...\Addicted to parties!\Young master!\I don't even know how to begin to thank you. response:	You've given me such a great chance-
context: The pool means summer!\And... I wasn't wrong.\Anyway, please take care of it.\Party... Party...\Addicted to parties!\Young master!\I don't even know how to begin to thank you.\You've given me such a great chance- response:	Those who work hard
context: And... I wasn't wrong.\Anyway, please take care of it.\Party... Party...\Addicted to parties!\Young master!\I don't even know how to begin to thank you.\You've given me such a great chance-\Those who work hard response:	will be granted an opportunity as a reward.
context: Anyway, please take care of it.\Party... Party...\Addicted to parties!\Young master!\I don't even know how to begin to thank you.\You've given me such a great chance-\Those who work hard\will be granted an opportunity as a reward. response:	That's all there is to it.
context: Party... Party...\Addicted to parties!\Young master!\I don't even know how to begin to thank you.\You've given me such a great chance-\Those who work hard\will be granted an opportunity as a reward.\That's all there is to it. response:	R-Right.
context: Addicted to parties!\Young master!\I don't even know how to begin to thank you.\You've given me such a great chance-\Those who work hard\will be granted an opportunity as a reward.\That's all there is to it.\R-Right. response:	We've both worked so hard up until now.
context: Young master!\I don't even know how to begin to thank you.\You've given me such a great chance-\Those who work hard\will be granted an opportunity as a reward.\That's all there is to it.\R-Right.\We've both worked so hard up until now. response:	What?
context: I don't even know how to begin to thank you.\You've given me such a great chance-\Those who work hard\will be granted an opportunity as a reward.\That's all there is to it.\R-Right.\We've both worked so hard up until now.\What? response:	It was a hard life.
context: You've given me such a great chance-\Those who work hard\will be granted an opportunity as a reward.\That's all there is to it.\R-Right.\We've both worked so hard up until now.\What?\It was a hard life. response:	Looking back, there were times we struggled shamelessly...
context: Those who work hard\will be granted an opportunity as a reward.\That's all there is to it.\R-Right.\We've both worked so hard up until now.\What?\It was a hard life.\Looking back, there were times we struggled shamelessly... response:	Helplessly flailing around...
context: will be granted an opportunity as a reward.\That's all there is to it.\R-Right.\We've both worked so hard up until now.\What?\It was a hard life.\Looking back, there were times we struggled shamelessly...\Helplessly flailing around... response:	Yeah...
context: That's all there is to it.\R-Right.\We've both worked so hard up until now.\What?\It was a hard life.\Looking back, there were times we struggled shamelessly...\Helplessly flailing around...\Yeah... response:	But that's all over now.
context: R-Right.\We've both worked so hard up until now.\What?\It was a hard life.\Looking back, there were times we struggled shamelessly...\Helplessly flailing around...\Yeah...\But that's all over now. response:	This small yet absolute flame in our hearts
context: We've both worked so hard up until now.\What?\It was a hard life.\Looking back, there were times we struggled shamelessly...\Helplessly flailing around...\Yeah...\But that's all over now.\This small yet absolute flame in our hearts response:	tells us that what we've been doing hasn't been in vain.
context: What?\It was a hard life.\Looking back, there were times we struggled shamelessly...\Helplessly flailing around...\Yeah...\But that's all over now.\This small yet absolute flame in our hearts\tells us that what we've been doing hasn't been in vain. response:	Okay...
context: It was a hard life.\Looking back, there were times we struggled shamelessly...\Helplessly flailing around...\Yeah...\But that's all over now.\This small yet absolute flame in our hearts\tells us that what we've been doing hasn't been in vain.\Okay... response:	I'm counting on you.
context: Looking back, there were times we struggled shamelessly...\Helplessly flailing around...\Yeah...\But that's all over now.\This small yet absolute flame in our hearts\tells us that what we've been doing hasn't been in vain.\Okay...\I'm counting on you. response:	Oh, we're also going to be taking half of the
context: Helplessly flailing around...\Yeah...\But that's all over now.\This small yet absolute flame in our hearts\tells us that what we've been doing hasn't been in vain.\Okay...\I'm counting on you.\Oh, we're also going to be taking half of the response:	manuscript fee and the royalties as payment
context: Yeah...\But that's all over now.\This small yet absolute flame in our hearts\tells us that what we've been doing hasn't been in vain.\Okay...\I'm counting on you.\Oh, we're also going to be taking half of the\manuscript fee and the royalties as payment response:	for the room you've been staying in for free.
context: But that's all over now.\This small yet absolute flame in our hearts\tells us that what we've been doing hasn't been in vain.\Okay...\I'm counting on you.\Oh, we're also going to be taking half of the\manuscript fee and the royalties as payment\for the room you've been staying in for free. response:	Just keep that in mind.
context: This small yet absolute flame in our hearts\tells us that what we've been doing hasn't been in vain.\Okay...\I'm counting on you.\Oh, we're also going to be taking half of the\manuscript fee and the royalties as payment\for the room you've been staying in for free.\Just keep that in mind. response:	R-Right...
context: tells us that what we've been doing hasn't been in vain.\Okay...\I'm counting on you.\Oh, we're also going to be taking half of the\manuscript fee and the royalties as payment\for the room you've been staying in for free.\Just keep that in mind.\R-Right... response:	Okay, I'll give you a call sometime during the week,
context: Okay...\I'm counting on you.\Oh, we're also going to be taking half of the\manuscript fee and the royalties as payment\for the room you've been staying in for free.\Just keep that in mind.\R-Right...\Okay, I'll give you a call sometime during the week, response:	and drop by again with the director.
context: I'm counting on you.\Oh, we're also going to be taking half of the\manuscript fee and the royalties as payment\for the room you've been staying in for free.\Just keep that in mind.\R-Right...\Okay, I'll give you a call sometime during the week,\and drop by again with the director. response:	Director Matsumura will be visiting?!
context: Oh, we're also going to be taking half of the\manuscript fee and the royalties as payment\for the room you've been staying in for free.\Just keep that in mind.\R-Right...\Okay, I'll give you a call sometime during the week,\and drop by again with the director.\Director Matsumura will be visiting?! response:	His first work, Wet Button, was incredible!
context: manuscript fee and the royalties as payment\for the room you've been staying in for free.\Just keep that in mind.\R-Right...\Okay, I'll give you a call sometime during the week,\and drop by again with the director.\Director Matsumura will be visiting?!\His first work, Wet Button, was incredible! response:	His second-
context: for the room you've been staying in for free.\Just keep that in mind.\R-Right...\Okay, I'll give you a call sometime during the week,\and drop by again with the director.\Director Matsumura will be visiting?!\His first work, Wet Button, was incredible!\His second- response:	Oh, we'll also be bringing the two leads for the movie.
context: Just keep that in mind.\R-Right...\Okay, I'll give you a call sometime during the week,\and drop by again with the director.\Director Matsumura will be visiting?!\His first work, Wet Button, was incredible!\His second-\Oh, we'll also be bringing the two leads for the movie. response:	They'd like to see the inn
context: R-Right...\Okay, I'll give you a call sometime during the week,\and drop by again with the director.\Director Matsumura will be visiting?!\His first work, Wet Button, was incredible!\His second-\Oh, we'll also be bringing the two leads for the movie.\They'd like to see the inn response:	it takes place in as soon as they can.
context: Okay, I'll give you a call sometime during the week,\and drop by again with the director.\Director Matsumura will be visiting?!\His first work, Wet Button, was incredible!\His second-\Oh, we'll also be bringing the two leads for the movie.\They'd like to see the inn\it takes place in as soon as they can. response:	I see.
context: and drop by again with the director.\Director Matsumura will be visiting?!\His first work, Wet Button, was incredible!\His second-\Oh, we'll also be bringing the two leads for the movie.\They'd like to see the inn\it takes place in as soon as they can.\I see. response:	We'd like to sign the contract then as well.
context: Director Matsumura will be visiting?!\His first work, Wet Button, was incredible!\His second-\Oh, we'll also be bringing the two leads for the movie.\They'd like to see the inn\it takes place in as soon as they can.\I see.\We'd like to sign the contract then as well. response:	We'll be waiting.
context: His first work, Wet Button, was incredible!\His second-\Oh, we'll also be bringing the two leads for the movie.\They'd like to see the inn\it takes place in as soon as they can.\I see.\We'd like to sign the contract then as well.\We'll be waiting. response:	We'll be waiting!
context: His second-\Oh, we'll also be bringing the two leads for the movie.\They'd like to see the inn\it takes place in as soon as they can.\I see.\We'd like to sign the contract then as well.\We'll be waiting.\We'll be waiting! response:	Madam Manager will be here shortly.
context: Oh, we'll also be bringing the two leads for the movie.\They'd like to see the inn\it takes place in as soon as they can.\I see.\We'd like to sign the contract then as well.\We'll be waiting.\We'll be waiting!\Madam Manager will be here shortly. response:	Please come in-
context: They'd like to see the inn\it takes place in as soon as they can.\I see.\We'd like to sign the contract then as well.\We'll be waiting.\We'll be waiting!\Madam Manager will be here shortly.\Please come in- response:	We'll wait here.
context: it takes place in as soon as they can.\I see.\We'd like to sign the contract then as well.\We'll be waiting.\We'll be waiting!\Madam Manager will be here shortly.\Please come in-\We'll wait here. response:	Of course.
context: I see.\We'd like to sign the contract then as well.\We'll be waiting.\We'll be waiting!\Madam Manager will be here shortly.\Please come in-\We'll wait here.\Of course. response:	Can I be of assistance in her place?
context: We'd like to sign the contract then as well.\We'll be waiting.\We'll be waiting!\Madam Manager will be here shortly.\Please come in-\We'll wait here.\Of course.\Can I be of assistance in her place? response:	Please, come this way.
context: We'll be waiting.\We'll be waiting!\Madam Manager will be here shortly.\Please come in-\We'll wait here.\Of course.\Can I be of assistance in her place?\Please, come this way. response:	We'd like to lend you a hand
context: We'll be waiting!\Madam Manager will be here shortly.\Please come in-\We'll wait here.\Of course.\Can I be of assistance in her place?\Please, come this way.\We'd like to lend you a hand response:	in this brilliant idea of yours.
context: Madam Manager will be here shortly.\Please come in-\We'll wait here.\Of course.\Can I be of assistance in her place?\Please, come this way.\We'd like to lend you a hand\in this brilliant idea of yours. response:	The film will be a bigger success
context: Please come in-\We'll wait here.\Of course.\Can I be of assistance in her place?\Please, come this way.\We'd like to lend you a hand\in this brilliant idea of yours.\The film will be a bigger success response:	if you make the entirety of Yunosagi its stage.
context: We'll wait here.\Of course.\Can I be of assistance in her place?\Please, come this way.\We'd like to lend you a hand\in this brilliant idea of yours.\The film will be a bigger success\if you make the entirety of Yunosagi its stage. response:	Exactly!
context: Of course.\Can I be of assistance in her place?\Please, come this way.\We'd like to lend you a hand\in this brilliant idea of yours.\The film will be a bigger success\if you make the entirety of Yunosagi its stage.\Exactly! response:	Since business is pretty bad these days,
context: Can I be of assistance in her place?\Please, come this way.\We'd like to lend you a hand\in this brilliant idea of yours.\The film will be a bigger success\if you make the entirety of Yunosagi its stage.\Exactly!\Since business is pretty bad these days, response:	we can split the cost of the investment
context: Please, come this way.\We'd like to lend you a hand\in this brilliant idea of yours.\The film will be a bigger success\if you make the entirety of Yunosagi its stage.\Exactly!\Since business is pretty bad these days,\we can split the cost of the investment response:	between all of the inns.
context: We'd like to lend you a hand\in this brilliant idea of yours.\The film will be a bigger success\if you make the entirety of Yunosagi its stage.\Exactly!\Since business is pretty bad these days,\we can split the cost of the investment\between all of the inns. response:	Wouldn't that help Kissuiso?
context: in this brilliant idea of yours.\The film will be a bigger success\if you make the entirety of Yunosagi its stage.\Exactly!\Since business is pretty bad these days,\we can split the cost of the investment\between all of the inns.\Wouldn't that help Kissuiso? response:	Yes, exactly!
context: The film will be a bigger success\if you make the entirety of Yunosagi its stage.\Exactly!\Since business is pretty bad these days,\we can split the cost of the investment\between all of the inns.\Wouldn't that help Kissuiso?\Yes, exactly! response:	Exactly!
context: if you make the entirety of Yunosagi its stage.\Exactly!\Since business is pretty bad these days,\we can split the cost of the investment\between all of the inns.\Wouldn't that help Kissuiso?\Yes, exactly!\Exactly! response:	No need to worry.
context: Exactly!\Since business is pretty bad these days,\we can split the cost of the investment\between all of the inns.\Wouldn't that help Kissuiso?\Yes, exactly!\Exactly!\No need to worry. response:	I appreciate your offer to help,
context: Since business is pretty bad these days,\we can split the cost of the investment\between all of the inns.\Wouldn't that help Kissuiso?\Yes, exactly!\Exactly!\No need to worry.\I appreciate your offer to help, response:	but the location of the filming will be limited solely to Kissuiso.
context: we can split the cost of the investment\between all of the inns.\Wouldn't that help Kissuiso?\Yes, exactly!\Exactly!\No need to worry.\I appreciate your offer to help,\but the location of the filming will be limited solely to Kissuiso. response:	We don't plan on changing that.
context: between all of the inns.\Wouldn't that help Kissuiso?\Yes, exactly!\Exactly!\No need to worry.\I appreciate your offer to help,\but the location of the filming will be limited solely to Kissuiso.\We don't plan on changing that. response:	Oh, then why are we paying
context: Wouldn't that help Kissuiso?\Yes, exactly!\Exactly!\No need to worry.\I appreciate your offer to help,\but the location of the filming will be limited solely to Kissuiso.\We don't plan on changing that.\Oh, then why are we paying response:	to advertise Kissuiso?
context: Yes, exactly!\Exactly!\No need to worry.\I appreciate your offer to help,\but the location of the filming will be limited solely to Kissuiso.\We don't plan on changing that.\Oh, then why are we paying\to advertise Kissuiso? response:	Which is why I've been saying that you don't need to pay.
context: Exactly!\No need to worry.\I appreciate your offer to help,\but the location of the filming will be limited solely to Kissuiso.\We don't plan on changing that.\Oh, then why are we paying\to advertise Kissuiso?\Which is why I've been saying that you don't need to pay. response:	What?
context: No need to worry.\I appreciate your offer to help,\but the location of the filming will be limited solely to Kissuiso.\We don't plan on changing that.\Oh, then why are we paying\to advertise Kissuiso?\Which is why I've been saying that you don't need to pay.\What? response:	Ohana, you've got to concentrate!
context: I appreciate your offer to help,\but the location of the filming will be limited solely to Kissuiso.\We don't plan on changing that.\Oh, then why are we paying\to advertise Kissuiso?\Which is why I've been saying that you don't need to pay.\What?\Ohana, you've got to concentrate! response:	I wonder when he turned into such a fine young master.
context: but the location of the filming will be limited solely to Kissuiso.\We don't plan on changing that.\Oh, then why are we paying\to advertise Kissuiso?\Which is why I've been saying that you don't need to pay.\What?\Ohana, you've got to concentrate!\I wonder when he turned into such a fine young master. response:	It's amazing how he's planned to
context: We don't plan on changing that.\Oh, then why are we paying\to advertise Kissuiso?\Which is why I've been saying that you don't need to pay.\What?\Ohana, you've got to concentrate!\I wonder when he turned into such a fine young master.\It's amazing how he's planned to response:	do everything on his own.
context: Oh, then why are we paying\to advertise Kissuiso?\Which is why I've been saying that you don't need to pay.\What?\Ohana, you've got to concentrate!\I wonder when he turned into such a fine young master.\It's amazing how he's planned to\do everything on his own. response:	Either way, Kissuiso is responsible
context: to advertise Kissuiso?\Which is why I've been saying that you don't need to pay.\What?\Ohana, you've got to concentrate!\I wonder when he turned into such a fine young master.\It's amazing how he's planned to\do everything on his own.\Either way, Kissuiso is responsible response:	for whatever happens.
context: Which is why I've been saying that you don't need to pay.\What?\Ohana, you've got to concentrate!\I wonder when he turned into such a fine young master.\It's amazing how he's planned to\do everything on his own.\Either way, Kissuiso is responsible\for whatever happens. response:	I hear he firmly rejected the offer from the other inns.
context: What?\Ohana, you've got to concentrate!\I wonder when he turned into such a fine young master.\It's amazing how he's planned to\do everything on his own.\Either way, Kissuiso is responsible\for whatever happens.\I hear he firmly rejected the offer from the other inns. response:	Yeah!
context: Ohana, you've got to concentrate!\I wonder when he turned into such a fine young master.\It's amazing how he's planned to\do everything on his own.\Either way, Kissuiso is responsible\for whatever happens.\I hear he firmly rejected the offer from the other inns.\Yeah! response:	The young master sure has changed.
context: I wonder when he turned into such a fine young master.\It's amazing how he's planned to\do everything on his own.\Either way, Kissuiso is responsible\for whatever happens.\I hear he firmly rejected the offer from the other inns.\Yeah!\The young master sure has changed. response:	It's like he's more confident in himself now.
context: It's amazing how he's planned to\do everything on his own.\Either way, Kissuiso is responsible\for whatever happens.\I hear he firmly rejected the offer from the other inns.\Yeah!\The young master sure has changed.\It's like he's more confident in himself now. response:	I guess men really do change after doing something big.
context: do everything on his own.\Either way, Kissuiso is responsible\for whatever happens.\I hear he firmly rejected the offer from the other inns.\Yeah!\The young master sure has changed.\It's like he's more confident in himself now.\I guess men really do change after doing something big. response:	A movie, eh... That's a giant bet.
context: Either way, Kissuiso is responsible\for whatever happens.\I hear he firmly rejected the offer from the other inns.\Yeah!\The young master sure has changed.\It's like he's more confident in himself now.\I guess men really do change after doing something big.\A movie, eh... That's a giant bet. response:	So, what role are you playing, Mr. Ren?
context: for whatever happens.\I hear he firmly rejected the offer from the other inns.\Yeah!\The young master sure has changed.\It's like he's more confident in himself now.\I guess men really do change after doing something big.\A movie, eh... That's a giant bet.\So, what role are you playing, Mr. Ren? response:	Mr. Ren is in it too?!
context: I hear he firmly rejected the offer from the other inns.\Yeah!\The young master sure has changed.\It's like he's more confident in himself now.\I guess men really do change after doing something big.\A movie, eh... That's a giant bet.\So, what role are you playing, Mr. Ren?\Mr. Ren is in it too?! response:	The director wants people working at the inn to be in the movie.
context: Yeah!\The young master sure has changed.\It's like he's more confident in himself now.\I guess men really do change after doing something big.\A movie, eh... That's a giant bet.\So, what role are you playing, Mr. Ren?\Mr. Ren is in it too?!\The director wants people working at the inn to be in the movie. response:	Wow...
context: The young master sure has changed.\It's like he's more confident in himself now.\I guess men really do change after doing something big.\A movie, eh... That's a giant bet.\So, what role are you playing, Mr. Ren?\Mr. Ren is in it too?!\The director wants people working at the inn to be in the movie.\Wow... response:	Does that mean...
context: It's like he's more confident in himself now.\I guess men really do change after doing something big.\A movie, eh... That's a giant bet.\So, what role are you playing, Mr. Ren?\Mr. Ren is in it too?!\The director wants people working at the inn to be in the movie.\Wow...\Does that mean... response:	Yeah. Maybe.
context: I guess men really do change after doing something big.\A movie, eh... That's a giant bet.\So, what role are you playing, Mr. Ren?\Mr. Ren is in it too?!\The director wants people working at the inn to be in the movie.\Wow...\Does that mean...\Yeah. Maybe. response:	Your hands have stopped moving, Tohru.
context: A movie, eh... That's a giant bet.\So, what role are you playing, Mr. Ren?\Mr. Ren is in it too?!\The director wants people working at the inn to be in the movie.\Wow...\Does that mean...\Yeah. Maybe.\Your hands have stopped moving, Tohru. response:	I-I'm sorry!
context: So, what role are you playing, Mr. Ren?\Mr. Ren is in it too?!\The director wants people working at the inn to be in the movie.\Wow...\Does that mean...\Yeah. Maybe.\Your hands have stopped moving, Tohru.\I-I'm sorry! response:	Okay, guess I had better head back to work.
context: Mr. Ren is in it too?!\The director wants people working at the inn to be in the movie.\Wow...\Does that mean...\Yeah. Maybe.\Your hands have stopped moving, Tohru.\I-I'm sorry!\Okay, guess I had better head back to work. response:	I'm going to peel the white radish.
context: The director wants people working at the inn to be in the movie.\Wow...\Does that mean...\Yeah. Maybe.\Your hands have stopped moving, Tohru.\I-I'm sorry!\Okay, guess I had better head back to work.\I'm going to peel the white radish. response:	Now that Tomoe mentioned it, Tohru's also excited...
context: Wow...\Does that mean...\Yeah. Maybe.\Your hands have stopped moving, Tohru.\I-I'm sorry!\Okay, guess I had better head back to work.\I'm going to peel the white radish.\Now that Tomoe mentioned it, Tohru's also excited... response:	Why is everyone so hyped?
context: Does that mean...\Yeah. Maybe.\Your hands have stopped moving, Tohru.\I-I'm sorry!\Okay, guess I had better head back to work.\I'm going to peel the white radish.\Now that Tomoe mentioned it, Tohru's also excited...\Why is everyone so hyped? response:	What's a chef going to do in a movie anyway?
context: Yeah. Maybe.\Your hands have stopped moving, Tohru.\I-I'm sorry!\Okay, guess I had better head back to work.\I'm going to peel the white radish.\Now that Tomoe mentioned it, Tohru's also excited...\Why is everyone so hyped?\What's a chef going to do in a movie anyway? response:	But I get the feeling that Tohru would look good on screen...
context: Your hands have stopped moving, Tohru.\I-I'm sorry!\Okay, guess I had better head back to work.\I'm going to peel the white radish.\Now that Tomoe mentioned it, Tohru's also excited...\Why is everyone so hyped?\What's a chef going to do in a movie anyway?\But I get the feeling that Tohru would look good on screen... response:	Oops.
context: I-I'm sorry!\Okay, guess I had better head back to work.\I'm going to peel the white radish.\Now that Tomoe mentioned it, Tohru's also excited...\Why is everyone so hyped?\What's a chef going to do in a movie anyway?\But I get the feeling that Tohru would look good on screen...\Oops. response:	Okay!
