context: Everyone, thank you for giving me courage. response:	Evil beings, in the name of the moon,
context: Queen Metalia's dark energy has been released!\Wait, Luna!\Out of my way! I'm going to D-Point!\It's useless! There's nothing we can do now!\I know all that!\But, at this rate, Usagi will...\She'll unleash the power of the Silver Crystal!\Then Usagi will die, just like Queen Serenity! response:	I know! But there's no other way to save the world now.
context: Wait, Luna!\Out of my way! I'm going to D-Point!\It's useless! There's nothing we can do now!\I know all that!\But, at this rate, Usagi will...\She'll unleash the power of the Silver Crystal!\Then Usagi will die, just like Queen Serenity!\I know! But there's no other way to save the world now. response:	Don't do it Usagi!
context: Out of my way! I'm going to D-Point!\It's useless! There's nothing we can do now!\I know all that!\But, at this rate, Usagi will...\She'll unleash the power of the Silver Crystal!\Then Usagi will die, just like Queen Serenity!\I know! But there's no other way to save the world now.\Don't do it Usagi! response:	Don't unleash the power of the Silver Crystal!
context: It's useless! There's nothing we can do now!\I know all that!\But, at this rate, Usagi will...\She'll unleash the power of the Silver Crystal!\Then Usagi will die, just like Queen Serenity!\I know! But there's no other way to save the world now.\Don't do it Usagi!\Don't unleash the power of the Silver Crystal! response:	If you do, Usagi, you're going to die!
context: I know all that!\But, at this rate, Usagi will...\She'll unleash the power of the Silver Crystal!\Then Usagi will die, just like Queen Serenity!\I know! But there's no other way to save the world now.\Don't do it Usagi!\Don't unleash the power of the Silver Crystal!\If you do, Usagi, you're going to die! response:	Moon Healing
context: But, at this rate, Usagi will...\She'll unleash the power of the Silver Crystal!\Then Usagi will die, just like Queen Serenity!\I know! But there's no other way to save the world now.\Don't do it Usagi!\Don't unleash the power of the Silver Crystal!\If you do, Usagi, you're going to die!\Moon Healing response:	Escalation!
context: She'll unleash the power of the Silver Crystal!\Then Usagi will die, just like Queen Serenity!\I know! But there's no other way to save the world now.\Don't do it Usagi!\Don't unleash the power of the Silver Crystal!\If you do, Usagi, you're going to die!\Moon Healing\Escalation! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Then Usagi will die, just like Queen Serenity!\I know! But there's no other way to save the world now.\Don't do it Usagi!\Don't unleash the power of the Silver Crystal!\If you do, Usagi, you're going to die!\Moon Healing\Escalation!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: I know! But there's no other way to save the world now.\Don't do it Usagi!\Don't unleash the power of the Silver Crystal!\If you do, Usagi, you're going to die!\Moon Healing\Escalation!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now
context: Don't do it Usagi!\Don't unleash the power of the Silver Crystal!\If you do, Usagi, you're going to die!\Moon Healing\Escalation!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now response:	Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling
context: Don't unleash the power of the Silver Crystal!\If you do, Usagi, you're going to die!\Moon Healing\Escalation!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling response:	You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling
context: If you do, Usagi, you're going to die!\Moon Healing\Escalation!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling\You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling response:	but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling
context: Moon Healing\Escalation!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling\You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling response:	but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Escalation!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling\You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling\You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope\that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling\You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope\that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Why?! Why you go to such lengths to defy me?! My thoughts are about to short circuit, I want to see you right now\Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling\You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope\that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope\Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	No! I have faith!
context: Why?! Why you go to such lengths to defy me?! Moonlight that makes me want to cry, midnight that keeps me from calling\You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope\that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope\Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith! response:	No! I have faith! Guided by the light of the moon
context: You dream of a beautiful future, Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope\that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope\Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith!\No! I have faith! Guided by the light of the moon response:	In love? Friendship? Or, in the trust between people? Guided by the light of the moon
context: but you are sure to eventually realize Moonlight that makes me want to cry, midnight that keeps me from calling\but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope\that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope\Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith!\No! I have faith! Guided by the light of the moon\In love? Friendship? Or, in the trust between people? Guided by the light of the moon response:	We will meet again and again
context: but you are sure to eventually realize Because I'm so innocent, what should I do? The heart is a kaleidoscope\that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope\Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith!\No! I have faith! Guided by the light of the moon\In love? Friendship? Or, in the trust between people? Guided by the light of the moon\We will meet again and again response:	I have faith. We will meet again and again
context: that this world is already ugly and filthy! Because I'm so innocent, what should I do? The heart is a kaleidoscope\Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith!\No! I have faith! Guided by the light of the moon\In love? Friendship? Or, in the trust between people? Guided by the light of the moon\We will meet again and again\I have faith. We will meet again and again response:	I have faith in this world that everyone tried to protect! We will meet again and again
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith!\No! I have faith! Guided by the light of the moon\In love? Friendship? Or, in the trust between people? Guided by the light of the moon\We will meet again and again\I have faith. We will meet again and again\I have faith in this world that everyone tried to protect! We will meet again and again response:	Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love
context: No! I have faith! Because I'm so innocent, what should I do? The heart is a kaleidoscope\No! I have faith!\No! I have faith! Guided by the light of the moon\In love? Friendship? Or, in the trust between people? Guided by the light of the moon\We will meet again and again\I have faith. We will meet again and again\I have faith in this world that everyone tried to protect! We will meet again and again\Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: No! I have faith!\No! I have faith! Guided by the light of the moon\In love? Friendship? Or, in the trust between people? Guided by the light of the moon\We will meet again and again\I have faith. We will meet again and again\I have faith in this world that everyone tried to protect! We will meet again and again\Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	Together once again, weekend, God, grant us a happy end
context: No! I have faith! Guided by the light of the moon\In love? Friendship? Or, in the trust between people? Guided by the light of the moon\We will meet again and again\I have faith. We will meet again and again\I have faith in this world that everyone tried to protect! We will meet again and again\Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\Together once again, weekend, God, grant us a happy end response:	Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end
context: In love? Friendship? Or, in the trust between people? Guided by the light of the moon\We will meet again and again\I have faith. We will meet again and again\I have faith in this world that everyone tried to protect! We will meet again and again\Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\Together once again, weekend, God, grant us a happy end\Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end response:	Together once again, weekend, God, grant us a happy end
context: We will meet again and again\I have faith. We will meet again and again\I have faith in this world that everyone tried to protect! We will meet again and again\Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\Together once again, weekend, God, grant us a happy end\Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end\Together once again, weekend, God, grant us a happy end response:	Past, present, and future, I'm crazy for you
context: I have faith. We will meet again and again\I have faith in this world that everyone tried to protect! We will meet again and again\Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\Together once again, weekend, God, grant us a happy end\Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end\Together once again, weekend, God, grant us a happy end\Past, present, and future, I'm crazy for you response:	Make me believe even more in the world Past, present, and future, I'm crazy for you
context: I have faith in this world that everyone tried to protect! We will meet again and again\Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\Together once again, weekend, God, grant us a happy end\Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end\Together once again, weekend, God, grant us a happy end\Past, present, and future, I'm crazy for you\Make me believe even more in the world Past, present, and future, I'm crazy for you response:	that everyone had faith in! Past, present, and future, I'm crazy for you
context: Fool! There is nothing left to believe in this rotten world! I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\Together once again, weekend, God, grant us a happy end\Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end\Together once again, weekend, God, grant us a happy end\Past, present, and future, I'm crazy for you\Make me believe even more in the world Past, present, and future, I'm crazy for you\that everyone had faith in! Past, present, and future, I'm crazy for you response:	The fond memories of when we met
context: We were born in the same land, miracle romance\Together once again, weekend, God, grant us a happy end\Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end\Together once again, weekend, God, grant us a happy end\Past, present, and future, I'm crazy for you\Make me believe even more in the world Past, present, and future, I'm crazy for you\that everyone had faith in! Past, present, and future, I'm crazy for you\The fond memories of when we met response:	You shouldn't talk so casually about love. The fond memories of when we met
context: Together once again, weekend, God, grant us a happy end\Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end\Together once again, weekend, God, grant us a happy end\Past, present, and future, I'm crazy for you\Make me believe even more in the world Past, present, and future, I'm crazy for you\that everyone had faith in! Past, present, and future, I'm crazy for you\The fond memories of when we met\You shouldn't talk so casually about love. The fond memories of when we met response:	The fond memories of when we met
context: Please! Please, Silver Crystal... Together once again, weekend, God, grant us a happy end\Together once again, weekend, God, grant us a happy end\Past, present, and future, I'm crazy for you\Make me believe even more in the world Past, present, and future, I'm crazy for you\that everyone had faith in! Past, present, and future, I'm crazy for you\The fond memories of when we met\You shouldn't talk so casually about love. The fond memories of when we met\The fond memories of when we met response:	Hikawa Shrine The fond memories of when we met
context: Together once again, weekend, God, grant us a happy end\Past, present, and future, I'm crazy for you\Make me believe even more in the world Past, present, and future, I'm crazy for you\that everyone had faith in! Past, present, and future, I'm crazy for you\The fond memories of when we met\You shouldn't talk so casually about love. The fond memories of when we met\The fond memories of when we met\Hikawa Shrine The fond memories of when we met response:	Hikawa Shrine Don't get the wrong idea! The fond memories of when we met
context: Past, present, and future, I'm crazy for you\Make me believe even more in the world Past, present, and future, I'm crazy for you\that everyone had faith in! Past, present, and future, I'm crazy for you\The fond memories of when we met\You shouldn't talk so casually about love. The fond memories of when we met\The fond memories of when we met\Hikawa Shrine The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! The fond memories of when we met response:	Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze
context: Make me believe even more in the world Past, present, and future, I'm crazy for you\that everyone had faith in! Past, present, and future, I'm crazy for you\The fond memories of when we met\You shouldn't talk so casually about love. The fond memories of when we met\The fond memories of when we met\Hikawa Shrine The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze response:	Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze
context: that everyone had faith in! Past, present, and future, I'm crazy for you\The fond memories of when we met\You shouldn't talk so casually about love. The fond memories of when we met\The fond memories of when we met\Hikawa Shrine The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze\Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze response:	I don't care for Yuichiro like that. I'll never forget your gaze
context: The fond memories of when we met\You shouldn't talk so casually about love. The fond memories of when we met\The fond memories of when we met\Hikawa Shrine The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze\Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze\I don't care for Yuichiro like that. I'll never forget your gaze response:	I'll never forget your gaze
context: You shouldn't talk so casually about love. The fond memories of when we met\The fond memories of when we met\Hikawa Shrine The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze\Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze\I don't care for Yuichiro like that. I'll never forget your gaze\I'll never forget your gaze response:	So what if he already has a girlfriend? I'll never forget your gaze
context: The fond memories of when we met\Hikawa Shrine The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze\Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze\I don't care for Yuichiro like that. I'll never forget your gaze\I'll never forget your gaze\So what if he already has a girlfriend? I'll never forget your gaze response:	So what if he already has a girlfriend? From among the thousands of stars, I can find you
context: Hikawa Shrine The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze\Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze\I don't care for Yuichiro like that. I'll never forget your gaze\I'll never forget your gaze\So what if he already has a girlfriend? I'll never forget your gaze\So what if he already has a girlfriend? From among the thousands of stars, I can find you response:	We just have to go for it! From among the thousands of stars, I can find you
context: Hikawa Shrine Don't get the wrong idea! The fond memories of when we met\Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze\Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze\I don't care for Yuichiro like that. I'll never forget your gaze\I'll never forget your gaze\So what if he already has a girlfriend? I'll never forget your gaze\So what if he already has a girlfriend? From among the thousands of stars, I can find you\We just have to go for it! From among the thousands of stars, I can find you response:	From among the thousands of stars, I can find you
context: Hikawa Shrine Don't get the wrong idea! I'll never forget your gaze\Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze\I don't care for Yuichiro like that. I'll never forget your gaze\I'll never forget your gaze\So what if he already has a girlfriend? I'll never forget your gaze\So what if he already has a girlfriend? From among the thousands of stars, I can find you\We just have to go for it! From among the thousands of stars, I can find you\From among the thousands of stars, I can find you response:	As long as they're happy, that's all that matters. From among the thousands of stars, I can find you
context: Hikawa Shrine I don't care for Yuichiro like that. I'll never forget your gaze\I don't care for Yuichiro like that. I'll never forget your gaze\I'll never forget your gaze\So what if he already has a girlfriend? I'll never forget your gaze\So what if he already has a girlfriend? From among the thousands of stars, I can find you\We just have to go for it! From among the thousands of stars, I can find you\From among the thousands of stars, I can find you\As long as they're happy, that's all that matters. From among the thousands of stars, I can find you response:	That's all that matters. From among the thousands of stars, I can find you
context: I don't care for Yuichiro like that. I'll never forget your gaze\I'll never forget your gaze\So what if he already has a girlfriend? I'll never forget your gaze\So what if he already has a girlfriend? From among the thousands of stars, I can find you\We just have to go for it! From among the thousands of stars, I can find you\From among the thousands of stars, I can find you\As long as they're happy, that's all that matters. From among the thousands of stars, I can find you\That's all that matters. From among the thousands of stars, I can find you response:	That's all that matters. You even turn coincidences into chance, I love that way of life
context: I'll never forget your gaze\So what if he already has a girlfriend? I'll never forget your gaze\So what if he already has a girlfriend? From among the thousands of stars, I can find you\We just have to go for it! From among the thousands of stars, I can find you\From among the thousands of stars, I can find you\As long as they're happy, that's all that matters. From among the thousands of stars, I can find you\That's all that matters. From among the thousands of stars, I can find you\That's all that matters. You even turn coincidences into chance, I love that way of life response:	You even turn coincidences into chance, I love that way of life
context: So what if he already has a girlfriend? I'll never forget your gaze\So what if he already has a girlfriend? From among the thousands of stars, I can find you\We just have to go for it! From among the thousands of stars, I can find you\From among the thousands of stars, I can find you\As long as they're happy, that's all that matters. From among the thousands of stars, I can find you\That's all that matters. From among the thousands of stars, I can find you\That's all that matters. You even turn coincidences into chance, I love that way of life\You even turn coincidences into chance, I love that way of life response:	Everyone... You even turn coincidences into chance, I love that way of life
context: So what if he already has a girlfriend? From among the thousands of stars, I can find you\We just have to go for it! From among the thousands of stars, I can find you\From among the thousands of stars, I can find you\As long as they're happy, that's all that matters. From among the thousands of stars, I can find you\That's all that matters. From among the thousands of stars, I can find you\That's all that matters. You even turn coincidences into chance, I love that way of life\You even turn coincidences into chance, I love that way of life\Everyone... You even turn coincidences into chance, I love that way of life response:	Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life
context: We just have to go for it! From among the thousands of stars, I can find you\From among the thousands of stars, I can find you\As long as they're happy, that's all that matters. From among the thousands of stars, I can find you\That's all that matters. From among the thousands of stars, I can find you\That's all that matters. You even turn coincidences into chance, I love that way of life\You even turn coincidences into chance, I love that way of life\Everyone... You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life response:	Now that I have obtained the energy of darkness,
context: From among the thousands of stars, I can find you\As long as they're happy, that's all that matters. From among the thousands of stars, I can find you\That's all that matters. From among the thousands of stars, I can find you\That's all that matters. You even turn coincidences into chance, I love that way of life\You even turn coincidences into chance, I love that way of life\Everyone... You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness, response:	I will not be sealed away by the Silver Crystal!
context: As long as they're happy, that's all that matters. From among the thousands of stars, I can find you\That's all that matters. From among the thousands of stars, I can find you\That's all that matters. You even turn coincidences into chance, I love that way of life\You even turn coincidences into chance, I love that way of life\Everyone... You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness,\I will not be sealed away by the Silver Crystal! response:	Everyone, lend me your strength...
context: That's all that matters. From among the thousands of stars, I can find you\That's all that matters. You even turn coincidences into chance, I love that way of life\You even turn coincidences into chance, I love that way of life\Everyone... You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness,\I will not be sealed away by the Silver Crystal!\Everyone, lend me your strength... response:	Please!
context: That's all that matters. You even turn coincidences into chance, I love that way of life\You even turn coincidences into chance, I love that way of life\Everyone... You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness,\I will not be sealed away by the Silver Crystal!\Everyone, lend me your strength...\Please! response:	Coming across a strange miracle
context: You even turn coincidences into chance, I love that way of life\Everyone... You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness,\I will not be sealed away by the Silver Crystal!\Everyone, lend me your strength...\Please!\Coming across a strange miracle response:	We will meet again and again
context: Everyone... You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness,\I will not be sealed away by the Silver Crystal!\Everyone, lend me your strength...\Please!\Coming across a strange miracle\We will meet again and again response:	Mercury Power!
context: Now that I have obtained the energy of darkness, You even turn coincidences into chance, I love that way of life\Now that I have obtained the energy of darkness,\I will not be sealed away by the Silver Crystal!\Everyone, lend me your strength...\Please!\Coming across a strange miracle\We will meet again and again\Mercury Power! response:	Mercury Power! I count the sparkle of constellations to foretell the future of my love
context: Now that I have obtained the energy of darkness,\I will not be sealed away by the Silver Crystal!\Everyone, lend me your strength...\Please!\Coming across a strange miracle\We will meet again and again\Mercury Power!\Mercury Power! I count the sparkle of constellations to foretell the future of my love response:	Mars Power! I count the sparkle of constellations to foretell the future of my love
context: I will not be sealed away by the Silver Crystal!\Everyone, lend me your strength...\Please!\Coming across a strange miracle\We will meet again and again\Mercury Power!\Mercury Power! I count the sparkle of constellations to foretell the future of my love\Mars Power! I count the sparkle of constellations to foretell the future of my love response:	Jupiter Power! I count the sparkle of constellations to foretell the future of my love
context: Everyone, lend me your strength...\Please!\Coming across a strange miracle\We will meet again and again\Mercury Power!\Mercury Power! I count the sparkle of constellations to foretell the future of my love\Mars Power! I count the sparkle of constellations to foretell the future of my love\Jupiter Power! I count the sparkle of constellations to foretell the future of my love response:	Venus Power! I count the sparkle of constellations to foretell the future of my love
context: Please!\Coming across a strange miracle\We will meet again and again\Mercury Power!\Mercury Power! I count the sparkle of constellations to foretell the future of my love\Mars Power! I count the sparkle of constellations to foretell the future of my love\Jupiter Power! I count the sparkle of constellations to foretell the future of my love\Venus Power! I count the sparkle of constellations to foretell the future of my love response:	Moon Prism Power! I count the sparkle of constellations to foretell the future of my love
context: Coming across a strange miracle\We will meet again and again\Mercury Power!\Mercury Power! I count the sparkle of constellations to foretell the future of my love\Mars Power! I count the sparkle of constellations to foretell the future of my love\Jupiter Power! I count the sparkle of constellations to foretell the future of my love\Venus Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! I count the sparkle of constellations to foretell the future of my love response:	Moon Prism Power! We were born in the same land, miracle romance
context: We will meet again and again\Mercury Power!\Mercury Power! I count the sparkle of constellations to foretell the future of my love\Mars Power! I count the sparkle of constellations to foretell the future of my love\Jupiter Power! I count the sparkle of constellations to foretell the future of my love\Venus Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! We were born in the same land, miracle romance response:	We were born in the same land, miracle romance
context: Mercury Power!\Mercury Power! I count the sparkle of constellations to foretell the future of my love\Mars Power! I count the sparkle of constellations to foretell the future of my love\Jupiter Power! I count the sparkle of constellations to foretell the future of my love\Venus Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! We were born in the same land, miracle romance\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: Mercury Power! I count the sparkle of constellations to foretell the future of my love\Mars Power! I count the sparkle of constellations to foretell the future of my love\Jupiter Power! I count the sparkle of constellations to foretell the future of my love\Venus Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! We were born in the same land, miracle romance\We were born in the same land, miracle romance\I believe in it, miracle romance response:	What is this?! I believe in it, miracle romance
context: Mars Power! I count the sparkle of constellations to foretell the future of my love\Jupiter Power! I count the sparkle of constellations to foretell the future of my love\Venus Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! We were born in the same land, miracle romance\We were born in the same land, miracle romance\I believe in it, miracle romance\What is this?! I believe in it, miracle romance response:	I believe in it, miracle romance
context: Jupiter Power! I count the sparkle of constellations to foretell the future of my love\Venus Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! We were born in the same land, miracle romance\We were born in the same land, miracle romance\I believe in it, miracle romance\What is this?! I believe in it, miracle romance\I believe in it, miracle romance response:	Everyone, thank you.
context: Venus Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! We were born in the same land, miracle romance\We were born in the same land, miracle romance\I believe in it, miracle romance\What is this?! I believe in it, miracle romance\I believe in it, miracle romance\Everyone, thank you. response:	When I wake up in the morning,
context: Moon Prism Power! I count the sparkle of constellations to foretell the future of my love\Moon Prism Power! We were born in the same land, miracle romance\We were born in the same land, miracle romance\I believe in it, miracle romance\What is this?! I believe in it, miracle romance\I believe in it, miracle romance\Everyone, thank you.\When I wake up in the morning, response:	a pure white curtain of lace is rustling in the breeze.
