context: Okay, on to the next scene. response:	Yuki, use your magic to take out Mikuru.
context: I can't imagine there's more than one waitress who would come out\to this shrine and walk amongst the pigeons.\So where are we going next?\Let's go back to the park again.\Now that I think about it, what we got wasn't enough for a fight scene.\Mikuru, being chased through the forest by Yuki, running for her life.\How about we have Mikuru fall off a cliff,\and then she's saved by Koizumi, who just happened to be walking by? response:	What a slapdash way to come up with the story.
context: to this shrine and walk amongst the pigeons.\So where are we going next?\Let's go back to the park again.\Now that I think about it, what we got wasn't enough for a fight scene.\Mikuru, being chased through the forest by Yuki, running for her life.\How about we have Mikuru fall off a cliff,\and then she's saved by Koizumi, who just happened to be walking by?\What a slapdash way to come up with the story. response:	This is Haruhi we're talking about, so she might actually throw her off a cliff.
context: So where are we going next?\Let's go back to the park again.\Now that I think about it, what we got wasn't enough for a fight scene.\Mikuru, being chased through the forest by Yuki, running for her life.\How about we have Mikuru fall off a cliff,\and then she's saved by Koizumi, who just happened to be walking by?\What a slapdash way to come up with the story.\This is Haruhi we're talking about, so she might actually throw her off a cliff. response:	You should fall instead. Put on that costume and be her stunt double.
context: Let's go back to the park again.\Now that I think about it, what we got wasn't enough for a fight scene.\Mikuru, being chased through the forest by Yuki, running for her life.\How about we have Mikuru fall off a cliff,\and then she's saved by Koizumi, who just happened to be walking by?\What a slapdash way to come up with the story.\This is Haruhi we're talking about, so she might actually throw her off a cliff.\You should fall instead. Put on that costume and be her stunt double. response:	Well, your breasts aren't quite as big, but...
context: Now that I think about it, what we got wasn't enough for a fight scene.\Mikuru, being chased through the forest by Yuki, running for her life.\How about we have Mikuru fall off a cliff,\and then she's saved by Koizumi, who just happened to be walking by?\What a slapdash way to come up with the story.\This is Haruhi we're talking about, so she might actually throw her off a cliff.\You should fall instead. Put on that costume and be her stunt double.\Well, your breasts aren't quite as big, but... response:	What are you imagining?
context: Mikuru, being chased through the forest by Yuki, running for her life.\How about we have Mikuru fall off a cliff,\and then she's saved by Koizumi, who just happened to be walking by?\What a slapdash way to come up with the story.\This is Haruhi we're talking about, so she might actually throw her off a cliff.\You should fall instead. Put on that costume and be her stunt double.\Well, your breasts aren't quite as big, but...\What are you imagining? response:	You're not imagining me as a waitress, are you?
context: How about we have Mikuru fall off a cliff,\and then she's saved by Koizumi, who just happened to be walking by?\What a slapdash way to come up with the story.\This is Haruhi we're talking about, so she might actually throw her off a cliff.\You should fall instead. Put on that costume and be her stunt double.\Well, your breasts aren't quite as big, but...\What are you imagining?\You're not imagining me as a waitress, are you? response:	You mind reader...
context: and then she's saved by Koizumi, who just happened to be walking by?\What a slapdash way to come up with the story.\This is Haruhi we're talking about, so she might actually throw her off a cliff.\You should fall instead. Put on that costume and be her stunt double.\Well, your breasts aren't quite as big, but...\What are you imagining?\You're not imagining me as a waitress, are you?\You mind reader... response:	Are we three the only ones appearing in the film?
context: What a slapdash way to come up with the story.\This is Haruhi we're talking about, so she might actually throw her off a cliff.\You should fall instead. Put on that costume and be her stunt double.\Well, your breasts aren't quite as big, but...\What are you imagining?\You're not imagining me as a waitress, are you?\You mind reader...\Are we three the only ones appearing in the film? response:	Don't ask needless questions, you jerk.
context: This is Haruhi we're talking about, so she might actually throw her off a cliff.\You should fall instead. Put on that costume and be her stunt double.\Well, your breasts aren't quite as big, but...\What are you imagining?\You're not imagining me as a waitress, are you?\You mind reader...\Are we three the only ones appearing in the film?\Don't ask needless questions, you jerk. response:	Well... I wonder, is three people not enough?
context: You should fall instead. Put on that costume and be her stunt double.\Well, your breasts aren't quite as big, but...\What are you imagining?\You're not imagining me as a waitress, are you?\You mind reader...\Are we three the only ones appearing in the film?\Don't ask needless questions, you jerk.\Well... I wonder, is three people not enough? response:	Koizumi, you helped me realize something important.
context: Well, your breasts aren't quite as big, but...\What are you imagining?\You're not imagining me as a waitress, are you?\You mind reader...\Are we three the only ones appearing in the film?\Don't ask needless questions, you jerk.\Well... I wonder, is three people not enough?\Koizumi, you helped me realize something important. response:	As a reward, I'll give you more screen time.
context: What are you imagining?\You're not imagining me as a waitress, are you?\You mind reader...\Are we three the only ones appearing in the film?\Don't ask needless questions, you jerk.\Well... I wonder, is three people not enough?\Koizumi, you helped me realize something important.\As a reward, I'll give you more screen time. response:	Well... thank you.
context: You're not imagining me as a waitress, are you?\You mind reader...\Are we three the only ones appearing in the film?\Don't ask needless questions, you jerk.\Well... I wonder, is three people not enough?\Koizumi, you helped me realize something important.\As a reward, I'll give you more screen time.\Well... thank you. response:	Serves you right.
context: You mind reader...\Are we three the only ones appearing in the film?\Don't ask needless questions, you jerk.\Well... I wonder, is three people not enough?\Koizumi, you helped me realize something important.\As a reward, I'll give you more screen time.\Well... thank you.\Serves you right. response:	I didn't say anything because I knew I'd be stirring up a hornet's nest.
context: Are we three the only ones appearing in the film?\Don't ask needless questions, you jerk.\Well... I wonder, is three people not enough?\Koizumi, you helped me realize something important.\As a reward, I'll give you more screen time.\Well... thank you.\Serves you right.\I didn't say anything because I knew I'd be stirring up a hornet's nest. response:	You've got to take out the minions before you can defeat the boss, right?
context: Don't ask needless questions, you jerk.\Well... I wonder, is three people not enough?\Koizumi, you helped me realize something important.\As a reward, I'll give you more screen time.\Well... thank you.\Serves you right.\I didn't say anything because I knew I'd be stirring up a hornet's nest.\You've got to take out the minions before you can defeat the boss, right? response:	Minions... minions...
context: Well... I wonder, is three people not enough?\Koizumi, you helped me realize something important.\As a reward, I'll give you more screen time.\Well... thank you.\Serves you right.\I didn't say anything because I knew I'd be stirring up a hornet's nest.\You've got to take out the minions before you can defeat the boss, right?\Minions... minions... response:	- They'll do, right? - That works!
context: Koizumi, you helped me realize something important.\As a reward, I'll give you more screen time.\Well... thank you.\Serves you right.\I didn't say anything because I knew I'd be stirring up a hornet's nest.\You've got to take out the minions before you can defeat the boss, right?\Minions... minions...\- They'll do, right? - That works! response:	Taniguchi and Kunikida. They're perfect supporting characters,
context: As a reward, I'll give you more screen time.\Well... thank you.\Serves you right.\I didn't say anything because I knew I'd be stirring up a hornet's nest.\You've got to take out the minions before you can defeat the boss, right?\Minions... minions...\- They'll do, right? - That works!\Taniguchi and Kunikida. They're perfect supporting characters, response:	and what's more, they're the ultimate minions.
context: Well... thank you.\Serves you right.\I didn't say anything because I knew I'd be stirring up a hornet's nest.\You've got to take out the minions before you can defeat the boss, right?\Minions... minions...\- They'll do, right? - That works!\Taniguchi and Kunikida. They're perfect supporting characters,\and what's more, they're the ultimate minions. response:	In any case, we're going to have horrible things happen to you, Mikuru.
context: Serves you right.\I didn't say anything because I knew I'd be stirring up a hornet's nest.\You've got to take out the minions before you can defeat the boss, right?\Minions... minions...\- They'll do, right? - That works!\Taniguchi and Kunikida. They're perfect supporting characters,\and what's more, they're the ultimate minions.\In any case, we're going to have horrible things happen to you, Mikuru. response:	After all, the theme of this movie is a pitiful girl
context: I didn't say anything because I knew I'd be stirring up a hornet's nest.\You've got to take out the minions before you can defeat the boss, right?\Minions... minions...\- They'll do, right? - That works!\Taniguchi and Kunikida. They're perfect supporting characters,\and what's more, they're the ultimate minions.\In any case, we're going to have horrible things happen to you, Mikuru.\After all, the theme of this movie is a pitiful girl response:	that has horrible things happen to her getting a happy ending!
context: You've got to take out the minions before you can defeat the boss, right?\Minions... minions...\- They'll do, right? - That works!\Taniguchi and Kunikida. They're perfect supporting characters,\and what's more, they're the ultimate minions.\In any case, we're going to have horrible things happen to you, Mikuru.\After all, the theme of this movie is a pitiful girl\that has horrible things happen to her getting a happy ending! response:	The bigger Mikuru's misfortune is, the bigger the cathartic release will be!
context: Minions... minions...\- They'll do, right? - That works!\Taniguchi and Kunikida. They're perfect supporting characters,\and what's more, they're the ultimate minions.\In any case, we're going to have horrible things happen to you, Mikuru.\After all, the theme of this movie is a pitiful girl\that has horrible things happen to her getting a happy ending!\The bigger Mikuru's misfortune is, the bigger the cathartic release will be! response:	Why are you acting like I'm unreliable?
context: - They'll do, right? - That works!\Taniguchi and Kunikida. They're perfect supporting characters,\and what's more, they're the ultimate minions.\In any case, we're going to have horrible things happen to you, Mikuru.\After all, the theme of this movie is a pitiful girl\that has horrible things happen to her getting a happy ending!\The bigger Mikuru's misfortune is, the bigger the cathartic release will be!\Why are you acting like I'm unreliable? response:	And so we returned to the wooded park.
context: Taniguchi and Kunikida. They're perfect supporting characters,\and what's more, they're the ultimate minions.\In any case, we're going to have horrible things happen to you, Mikuru.\After all, the theme of this movie is a pitiful girl\that has horrible things happen to her getting a happy ending!\The bigger Mikuru's misfortune is, the bigger the cathartic release will be!\Why are you acting like I'm unreliable?\And so we returned to the wooded park. response:	Let's get rid of the guns.
context: and what's more, they're the ultimate minions.\In any case, we're going to have horrible things happen to you, Mikuru.\After all, the theme of this movie is a pitiful girl\that has horrible things happen to her getting a happy ending!\The bigger Mikuru's misfortune is, the bigger the cathartic release will be!\Why are you acting like I'm unreliable?\And so we returned to the wooded park.\Let's get rid of the guns. response:	I thought more amazing bullets would come out of them,
context: In any case, we're going to have horrible things happen to you, Mikuru.\After all, the theme of this movie is a pitiful girl\that has horrible things happen to her getting a happy ending!\The bigger Mikuru's misfortune is, the bigger the cathartic release will be!\Why are you acting like I'm unreliable?\And so we returned to the wooded park.\Let's get rid of the guns.\I thought more amazing bullets would come out of them, response:	but they don't give off any flashy sounds or flames.
context: After all, the theme of this movie is a pitiful girl\that has horrible things happen to her getting a happy ending!\The bigger Mikuru's misfortune is, the bigger the cathartic release will be!\Why are you acting like I'm unreliable?\And so we returned to the wooded park.\Let's get rid of the guns.\I thought more amazing bullets would come out of them,\but they don't give off any flashy sounds or flames. response:	They just don't feel realistic.
context: that has horrible things happen to her getting a happy ending!\The bigger Mikuru's misfortune is, the bigger the cathartic release will be!\Why are you acting like I'm unreliable?\And so we returned to the wooded park.\Let's get rid of the guns.\I thought more amazing bullets would come out of them,\but they don't give off any flashy sounds or flames.\They just don't feel realistic. response:	Mikuru, you stand here.
context: The bigger Mikuru's misfortune is, the bigger the cathartic release will be!\Why are you acting like I'm unreliable?\And so we returned to the wooded park.\Let's get rid of the guns.\I thought more amazing bullets would come out of them,\but they don't give off any flashy sounds or flames.\They just don't feel realistic.\Mikuru, you stand here. response:	Yuki, you stand here.
context: Why are you acting like I'm unreliable?\And so we returned to the wooded park.\Let's get rid of the guns.\I thought more amazing bullets would come out of them,\but they don't give off any flashy sounds or flames.\They just don't feel realistic.\Mikuru, you stand here.\Yuki, you stand here. response:	Don't move from those spots, okay?
context: And so we returned to the wooded park.\Let's get rid of the guns.\I thought more amazing bullets would come out of them,\but they don't give off any flashy sounds or flames.\They just don't feel realistic.\Mikuru, you stand here.\Yuki, you stand here.\Don't move from those spots, okay? response:	I want to shoot a scene where you two are staring each other down.
context: Let's get rid of the guns.\I thought more amazing bullets would come out of them,\but they don't give off any flashy sounds or flames.\They just don't feel realistic.\Mikuru, you stand here.\Yuki, you stand here.\Don't move from those spots, okay?\I want to shoot a scene where you two are staring each other down. response:	Koizumi, get the reflector ready.
context: I thought more amazing bullets would come out of them,\but they don't give off any flashy sounds or flames.\They just don't feel realistic.\Mikuru, you stand here.\Yuki, you stand here.\Don't move from those spots, okay?\I want to shoot a scene where you two are staring each other down.\Koizumi, get the reflector ready. response:	Action!
context: but they don't give off any flashy sounds or flames.\They just don't feel realistic.\Mikuru, you stand here.\Yuki, you stand here.\Don't move from those spots, okay?\I want to shoot a scene where you two are staring each other down.\Koizumi, get the reflector ready.\Action! response:	What the!?
context: They just don't feel realistic.\Mikuru, you stand here.\Yuki, you stand here.\Don't move from those spots, okay?\I want to shoot a scene where you two are staring each other down.\Koizumi, get the reflector ready.\Action!\What the!? response:	Action? Haruhi, all you've told them to do is stand there.
context: Mikuru, you stand here.\Yuki, you stand here.\Don't move from those spots, okay?\I want to shoot a scene where you two are staring each other down.\Koizumi, get the reflector ready.\Action!\What the!?\Action? Haruhi, all you've told them to do is stand there. response:	What kind of action are they supposed to take?
context: Yuki, you stand here.\Don't move from those spots, okay?\I want to shoot a scene where you two are staring each other down.\Koizumi, get the reflector ready.\Action!\What the!?\Action? Haruhi, all you've told them to do is stand there.\What kind of action are they supposed to take? response:	Come on, you guys! That won't make for a battle scene at all.
context: Don't move from those spots, okay?\I want to shoot a scene where you two are staring each other down.\Koizumi, get the reflector ready.\Action!\What the!?\Action? Haruhi, all you've told them to do is stand there.\What kind of action are they supposed to take?\Come on, you guys! That won't make for a battle scene at all. response:	Well, they're just standing there, after all.
context: I want to shoot a scene where you two are staring each other down.\Koizumi, get the reflector ready.\Action!\What the!?\Action? Haruhi, all you've told them to do is stand there.\What kind of action are they supposed to take?\Come on, you guys! That won't make for a battle scene at all.\Well, they're just standing there, after all. response:	Listen, Mikuru.
context: Koizumi, get the reflector ready.\Action!\What the!?\Action? Haruhi, all you've told them to do is stand there.\What kind of action are they supposed to take?\Come on, you guys! That won't make for a battle scene at all.\Well, they're just standing there, after all.\Listen, Mikuru. response:	You can't rest on your laurels just because you're cute!
context: Action!\What the!?\Action? Haruhi, all you've told them to do is stand there.\What kind of action are they supposed to take?\Come on, you guys! That won't make for a battle scene at all.\Well, they're just standing there, after all.\Listen, Mikuru.\You can't rest on your laurels just because you're cute! response:	There are tons of other cute girls out there, after all.
context: What the!?\Action? Haruhi, all you've told them to do is stand there.\What kind of action are they supposed to take?\Come on, you guys! That won't make for a battle scene at all.\Well, they're just standing there, after all.\Listen, Mikuru.\You can't rest on your laurels just because you're cute!\There are tons of other cute girls out there, after all. response:	If you just leave things be, you'll be overtaken by all the young up-and-comers!
context: Action? Haruhi, all you've told them to do is stand there.\What kind of action are they supposed to take?\Come on, you guys! That won't make for a battle scene at all.\Well, they're just standing there, after all.\Listen, Mikuru.\You can't rest on your laurels just because you're cute!\There are tons of other cute girls out there, after all.\If you just leave things be, you'll be overtaken by all the young up-and-comers! response:	What is she trying to say?
context: What kind of action are they supposed to take?\Come on, you guys! That won't make for a battle scene at all.\Well, they're just standing there, after all.\Listen, Mikuru.\You can't rest on your laurels just because you're cute!\There are tons of other cute girls out there, after all.\If you just leave things be, you'll be overtaken by all the young up-and-comers!\What is she trying to say? response:	That's why you have to at least have a beam come from your eye, Mikuru!
context: Come on, you guys! That won't make for a battle scene at all.\Well, they're just standing there, after all.\Listen, Mikuru.\You can't rest on your laurels just because you're cute!\There are tons of other cute girls out there, after all.\If you just leave things be, you'll be overtaken by all the young up-and-comers!\What is she trying to say?\That's why you have to at least have a beam come from your eye, Mikuru! response:	I can't!
context: Well, they're just standing there, after all.\Listen, Mikuru.\You can't rest on your laurels just because you're cute!\There are tons of other cute girls out there, after all.\If you just leave things be, you'll be overtaken by all the young up-and-comers!\What is she trying to say?\That's why you have to at least have a beam come from your eye, Mikuru!\I can't! response:	That's why your left eye is a different color.
context: Listen, Mikuru.\You can't rest on your laurels just because you're cute!\There are tons of other cute girls out there, after all.\If you just leave things be, you'll be overtaken by all the young up-and-comers!\What is she trying to say?\That's why you have to at least have a beam come from your eye, Mikuru!\I can't!\That's why your left eye is a different color. response:	I didn't make it blue for no reason.
context: You can't rest on your laurels just because you're cute!\There are tons of other cute girls out there, after all.\If you just leave things be, you'll be overtaken by all the young up-and-comers!\What is she trying to say?\That's why you have to at least have a beam come from your eye, Mikuru!\I can't!\That's why your left eye is a different color.\I didn't make it blue for no reason. response:	The idea is that there's incredible power hidden within it.
context: There are tons of other cute girls out there, after all.\If you just leave things be, you'll be overtaken by all the young up-and-comers!\What is she trying to say?\That's why you have to at least have a beam come from your eye, Mikuru!\I can't!\That's why your left eye is a different color.\I didn't make it blue for no reason.\The idea is that there's incredible power hidden within it. response:	That's what the beam is. It's the Mikuru Beam.
context: If you just leave things be, you'll be overtaken by all the young up-and-comers!\What is she trying to say?\That's why you have to at least have a beam come from your eye, Mikuru!\I can't!\That's why your left eye is a different color.\I didn't make it blue for no reason.\The idea is that there's incredible power hidden within it.\That's what the beam is. It's the Mikuru Beam. response:	- That's what you need to fire off. - I can't!
context: What is she trying to say?\That's why you have to at least have a beam come from your eye, Mikuru!\I can't!\That's why your left eye is a different color.\I didn't make it blue for no reason.\The idea is that there's incredible power hidden within it.\That's what the beam is. It's the Mikuru Beam.\- That's what you need to fire off. - I can't! response:	Show some spirit and fire it!
context: That's why you have to at least have a beam come from your eye, Mikuru!\I can't!\That's why your left eye is a different color.\I didn't make it blue for no reason.\The idea is that there's incredible power hidden within it.\That's what the beam is. It's the Mikuru Beam.\- That's what you need to fire off. - I can't!\Show some spirit and fire it! response:	It hurts!
context: I can't!\That's why your left eye is a different color.\I didn't make it blue for no reason.\The idea is that there's incredible power hidden within it.\That's what the beam is. It's the Mikuru Beam.\- That's what you need to fire off. - I can't!\Show some spirit and fire it!\It hurts! response:	You idiot!
context: That's why your left eye is a different color.\I didn't make it blue for no reason.\The idea is that there's incredible power hidden within it.\That's what the beam is. It's the Mikuru Beam.\- That's what you need to fire off. - I can't!\Show some spirit and fire it!\It hurts!\You idiot! response:	Cut it out!
context: I didn't make it blue for no reason.\The idea is that there's incredible power hidden within it.\That's what the beam is. It's the Mikuru Beam.\- That's what you need to fire off. - I can't!\Show some spirit and fire it!\It hurts!\You idiot!\Cut it out! response:	What are you doing?
context: The idea is that there's incredible power hidden within it.\That's what the beam is. It's the Mikuru Beam.\- That's what you need to fire off. - I can't!\Show some spirit and fire it!\It hurts!\You idiot!\Cut it out!\What are you doing? response:	- You need to calm down! - Let go!
context: That's what the beam is. It's the Mikuru Beam.\- That's what you need to fire off. - I can't!\Show some spirit and fire it!\It hurts!\You idiot!\Cut it out!\What are you doing?\- You need to calm down! - Let go! response:	How the hell is a normal human supposed to shoot a beam from their eye?
context: - That's what you need to fire off. - I can't!\Show some spirit and fire it!\It hurts!\You idiot!\Cut it out!\What are you doing?\- You need to calm down! - Let go!\How the hell is a normal human supposed to shoot a beam from their eye? response:	Are you stupid or something?
context: Show some spirit and fire it!\It hurts!\You idiot!\Cut it out!\What are you doing?\- You need to calm down! - Let go!\How the hell is a normal human supposed to shoot a beam from their eye?\Are you stupid or something? response:	I know that.
context: It hurts!\You idiot!\Cut it out!\What are you doing?\- You need to calm down! - Let go!\How the hell is a normal human supposed to shoot a beam from their eye?\Are you stupid or something?\I know that. response:	I just wanted her to show some spirit, as if a beam might come out.
context: You idiot!\Cut it out!\What are you doing?\- You need to calm down! - Let go!\How the hell is a normal human supposed to shoot a beam from their eye?\Are you stupid or something?\I know that.\I just wanted her to show some spirit, as if a beam might come out. response:	She lacks the drive you need to be a lead in a movie, after all.
context: Cut it out!\What are you doing?\- You need to calm down! - Let go!\How the hell is a normal human supposed to shoot a beam from their eye?\Are you stupid or something?\I know that.\I just wanted her to show some spirit, as if a beam might come out.\She lacks the drive you need to be a lead in a movie, after all. response:	You don't get jokes, do you?
context: What are you doing?\- You need to calm down! - Let go!\How the hell is a normal human supposed to shoot a beam from their eye?\Are you stupid or something?\I know that.\I just wanted her to show some spirit, as if a beam might come out.\She lacks the drive you need to be a lead in a movie, after all.\You don't get jokes, do you? response:	That's because your jokes turn out to not be jokes.
context: - You need to calm down! - Let go!\How the hell is a normal human supposed to shoot a beam from their eye?\Are you stupid or something?\I know that.\I just wanted her to show some spirit, as if a beam might come out.\She lacks the drive you need to be a lead in a movie, after all.\You don't get jokes, do you?\That's because your jokes turn out to not be jokes. response:	What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye?
context: How the hell is a normal human supposed to shoot a beam from their eye?\Are you stupid or something?\I know that.\I just wanted her to show some spirit, as if a beam might come out.\She lacks the drive you need to be a lead in a movie, after all.\You don't get jokes, do you?\That's because your jokes turn out to not be jokes.\What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye? response:	You can't, right?
context: Are you stupid or something?\I know that.\I just wanted her to show some spirit, as if a beam might come out.\She lacks the drive you need to be a lead in a movie, after all.\You don't get jokes, do you?\That's because your jokes turn out to not be jokes.\What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye?\You can't, right? response:	After we shoot the scene, we can figure something out using CG, right?
context: I know that.\I just wanted her to show some spirit, as if a beam might come out.\She lacks the drive you need to be a lead in a movie, after all.\You don't get jokes, do you?\That's because your jokes turn out to not be jokes.\What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye?\You can't, right?\After we shoot the scene, we can figure something out using CG, right? response:	Thank you.
context: I just wanted her to show some spirit, as if a beam might come out.\She lacks the drive you need to be a lead in a movie, after all.\You don't get jokes, do you?\That's because your jokes turn out to not be jokes.\What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye?\You can't, right?\After we shoot the scene, we can figure something out using CG, right?\Thank you. response:	And who's going to do that?
context: She lacks the drive you need to be a lead in a movie, after all.\You don't get jokes, do you?\That's because your jokes turn out to not be jokes.\What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye?\You can't, right?\After we shoot the scene, we can figure something out using CG, right?\Thank you.\And who's going to do that? response:	That's what I meant from the start.
context: You don't get jokes, do you?\That's because your jokes turn out to not be jokes.\What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye?\You can't, right?\After we shoot the scene, we can figure something out using CG, right?\Thank you.\And who's going to do that?\That's what I meant from the start. response:	This take was no good. Let's take it from the top again.
context: That's because your jokes turn out to not be jokes.\What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye?\You can't, right?\After we shoot the scene, we can figure something out using CG, right?\Thank you.\And who's going to do that?\That's what I meant from the start.\This take was no good. Let's take it from the top again. response:	Shout, Mikuru Beam! While you pose like this.
context: What'll happen if Miss Asahina really gets the ability to shoot a beam from her eye?\You can't, right?\After we shoot the scene, we can figure something out using CG, right?\Thank you.\And who's going to do that?\That's what I meant from the start.\This take was no good. Let's take it from the top again.\Shout, Mikuru Beam! While you pose like this. response:	L-Like this?
context: You can't, right?\After we shoot the scene, we can figure something out using CG, right?\Thank you.\And who's going to do that?\That's what I meant from the start.\This take was no good. Let's take it from the top again.\Shout, Mikuru Beam! While you pose like this.\L-Like this? response:	No, like this! And close your right eye.
context: After we shoot the scene, we can figure something out using CG, right?\Thank you.\And who's going to do that?\That's what I meant from the start.\This take was no good. Let's take it from the top again.\Shout, Mikuru Beam! While you pose like this.\L-Like this?\No, like this! And close your right eye. response:	Okay, Mikuru. Try saying it.
context: Thank you.\And who's going to do that?\That's what I meant from the start.\This take was no good. Let's take it from the top again.\Shout, Mikuru Beam! While you pose like this.\L-Like this?\No, like this! And close your right eye.\Okay, Mikuru. Try saying it. response:	Louder this time!
context: And who's going to do that?\That's what I meant from the start.\This take was no good. Let's take it from the top again.\Shout, Mikuru Beam! While you pose like this.\L-Like this?\No, like this! And close your right eye.\Okay, Mikuru. Try saying it.\Louder this time! response:	Mikuru Beam!
context: That's what I meant from the start.\This take was no good. Let's take it from the top again.\Shout, Mikuru Beam! While you pose like this.\L-Like this?\No, like this! And close your right eye.\Okay, Mikuru. Try saying it.\Louder this time!\Mikuru Beam! response:	Be less embarrassed about it, and louder!
context: This take was no good. Let's take it from the top again.\Shout, Mikuru Beam! While you pose like this.\L-Like this?\No, like this! And close your right eye.\Okay, Mikuru. Try saying it.\Louder this time!\Mikuru Beam!\Be less embarrassed about it, and louder! response:	M-M-Mikuru Beam!
context: Shout, Mikuru Beam! While you pose like this.\L-Like this?\No, like this! And close your right eye.\Okay, Mikuru. Try saying it.\Louder this time!\Mikuru Beam!\Be less embarrassed about it, and louder!\M-M-Mikuru Beam! response:	Project from your diaphragm!
context: L-Like this?\No, like this! And close your right eye.\Okay, Mikuru. Try saying it.\Louder this time!\Mikuru Beam!\Be less embarrassed about it, and louder!\M-M-Mikuru Beam!\Project from your diaphragm! response:	The stares coming from the families watching us are starting to hurt...
context: No, like this! And close your right eye.\Okay, Mikuru. Try saying it.\Louder this time!\Mikuru Beam!\Be less embarrassed about it, and louder!\M-M-Mikuru Beam!\Project from your diaphragm!\The stares coming from the families watching us are starting to hurt... response:	Okay! Now let's try this for real!
context: Okay, Mikuru. Try saying it.\Louder this time!\Mikuru Beam!\Be less embarrassed about it, and louder!\M-M-Mikuru Beam!\Project from your diaphragm!\The stares coming from the families watching us are starting to hurt...\Okay! Now let's try this for real! response:	Now, use the beam!
context: Louder this time!\Mikuru Beam!\Be less embarrassed about it, and louder!\M-M-Mikuru Beam!\Project from your diaphragm!\The stares coming from the families watching us are starting to hurt...\Okay! Now let's try this for real!\Now, use the beam! response:	M-M-Mikuru Beam!
context: Mikuru Beam!\Be less embarrassed about it, and louder!\M-M-Mikuru Beam!\Project from your diaphragm!\The stares coming from the families watching us are starting to hurt...\Okay! Now let's try this for real!\Now, use the beam!\M-M-Mikuru Beam! response:	Huh? Yuki, when did you go over there?
context: Be less embarrassed about it, and louder!\M-M-Mikuru Beam!\Project from your diaphragm!\The stares coming from the families watching us are starting to hurt...\Okay! Now let's try this for real!\Now, use the beam!\M-M-Mikuru Beam!\Huh? Yuki, when did you go over there? response:	Cut, cut!
context: M-M-Mikuru Beam!\Project from your diaphragm!\The stares coming from the families watching us are starting to hurt...\Okay! Now let's try this for real!\Now, use the beam!\M-M-Mikuru Beam!\Huh? Yuki, when did you go over there?\Cut, cut! response:	Miss Nagato!
context: Project from your diaphragm!\The stares coming from the families watching us are starting to hurt...\Okay! Now let's try this for real!\Now, use the beam!\M-M-Mikuru Beam!\Huh? Yuki, when did you go over there?\Cut, cut!\Miss Nagato! response:	Hold on, Yuki, what are you doing?
context: The stares coming from the families watching us are starting to hurt...\Okay! Now let's try this for real!\Now, use the beam!\M-M-Mikuru Beam!\Huh? Yuki, when did you go over there?\Cut, cut!\Miss Nagato!\Hold on, Yuki, what are you doing? response:	- What are you doing? Hey, Nagato! - This isn't in the script.
context: Okay! Now let's try this for real!\Now, use the beam!\M-M-Mikuru Beam!\Huh? Yuki, when did you go over there?\Cut, cut!\Miss Nagato!\Hold on, Yuki, what are you doing?\- What are you doing? Hey, Nagato! - This isn't in the script. response:	Are you all right?
context: Now, use the beam!\M-M-Mikuru Beam!\Huh? Yuki, when did you go over there?\Cut, cut!\Miss Nagato!\Hold on, Yuki, what are you doing?\- What are you doing? Hey, Nagato! - This isn't in the script.\Are you all right? response:	Huh?
context: M-M-Mikuru Beam!\Huh? Yuki, when did you go over there?\Cut, cut!\Miss Nagato!\Hold on, Yuki, what are you doing?\- What are you doing? Hey, Nagato! - This isn't in the script.\Are you all right?\Huh? response:	Oh, what are you two doing?
context: Huh? Yuki, when did you go over there?\Cut, cut!\Miss Nagato!\Hold on, Yuki, what are you doing?\- What are you doing? Hey, Nagato! - This isn't in the script.\Are you all right?\Huh?\Oh, what are you two doing? response:	Please don't do anything that's not in the script.
context: Cut, cut!\Miss Nagato!\Hold on, Yuki, what are you doing?\- What are you doing? Hey, Nagato! - This isn't in the script.\Are you all right?\Huh?\Oh, what are you two doing?\Please don't do anything that's not in the script. response:	Huh? Mikuru, what happened to the contact lens?
context: Miss Nagato!\Hold on, Yuki, what are you doing?\- What are you doing? Hey, Nagato! - This isn't in the script.\Are you all right?\Huh?\Oh, what are you two doing?\Please don't do anything that's not in the script.\Huh? Mikuru, what happened to the contact lens? response:	Huh?
context: Hold on, Yuki, what are you doing?\- What are you doing? Hey, Nagato! - This isn't in the script.\Are you all right?\Huh?\Oh, what are you two doing?\Please don't do anything that's not in the script.\Huh? Mikuru, what happened to the contact lens?\Huh? response:	At a time like this, you ask the one person who looks like they know what's going on.
context: - What are you doing? Hey, Nagato! - This isn't in the script.\Are you all right?\Huh?\Oh, what are you two doing?\Please don't do anything that's not in the script.\Huh? Mikuru, what happened to the contact lens?\Huh?\At a time like this, you ask the one person who looks like they know what's going on. response:	Nagato, do you know what happened to Miss Asahina's color contact?
