context: Possession of the Sacred Jewel bestows tremendous power... response:	upon demons and others with evil in their hearts.
context: been in place for generations!\Give me... a body...\That mask!\My predecessor several generations back was...\asked to exorcise this mask by a Noh actor!\It was named the Flesh-Eating Mask!\I did not know it had such enormous power!\A body... response:	Give me... a body!
context: Give me... a body...\That mask!\My predecessor several generations back was...\asked to exorcise this mask by a Noh actor!\It was named the Flesh-Eating Mask!\I did not know it had such enormous power!\A body...\Give me... a body! response:	A body... A body...
context: That mask!\My predecessor several generations back was...\asked to exorcise this mask by a Noh actor!\It was named the Flesh-Eating Mask!\I did not know it had such enormous power!\A body...\Give me... a body!\A body... A body... response:	Is it looking for living flesh?!
context: My predecessor several generations back was...\asked to exorcise this mask by a Noh actor!\It was named the Flesh-Eating Mask!\I did not know it had such enormous power!\A body...\Give me... a body!\A body... A body...\Is it looking for living flesh?! response:	A body... Give me a body!
context: asked to exorcise this mask by a Noh actor!\It was named the Flesh-Eating Mask!\I did not know it had such enormous power!\A body...\Give me... a body!\A body... A body...\Is it looking for living flesh?!\A body... Give me a body! response:	Damn!
context: It was named the Flesh-Eating Mask!\I did not know it had such enormous power!\A body...\Give me... a body!\A body... A body...\Is it looking for living flesh?!\A body... Give me a body!\Damn! response:	A body!
context: I did not know it had such enormous power!\A body...\Give me... a body!\A body... A body...\Is it looking for living flesh?!\A body... Give me a body!\Damn!\A body! response:	Hey, the fire's at Higurashi Shrine!
context: A body...\Give me... a body!\A body... A body...\Is it looking for living flesh?!\A body... Give me a body!\Damn!\A body!\Hey, the fire's at Higurashi Shrine! response:	Let's go!
context: Give me... a body!\A body... A body...\Is it looking for living flesh?!\A body... Give me a body!\Damn!\A body!\Hey, the fire's at Higurashi Shrine!\Let's go! response:	Huh?!
context: A body... A body...\Is it looking for living flesh?!\A body... Give me a body!\Damn!\A body!\Hey, the fire's at Higurashi Shrine!\Let's go!\Huh?! response:	The fire is under control! Please do not worry!
context: Is it looking for living flesh?!\A body... Give me a body!\Damn!\A body!\Hey, the fire's at Higurashi Shrine!\Let's go!\Huh?!\The fire is under control! Please do not worry! response:	This road is closed! Do not push!
context: A body... Give me a body!\Damn!\A body!\Hey, the fire's at Higurashi Shrine!\Let's go!\Huh?!\The fire is under control! Please do not worry!\This road is closed! Do not push! response:	Excuse me! Please let me through!
context: Damn!\A body!\Hey, the fire's at Higurashi Shrine!\Let's go!\Huh?!\The fire is under control! Please do not worry!\This road is closed! Do not push!\Excuse me! Please let me through! response:	Hey, you! You can go there!
context: A body!\Hey, the fire's at Higurashi Shrine!\Let's go!\Huh?!\The fire is under control! Please do not worry!\This road is closed! Do not push!\Excuse me! Please let me through!\Hey, you! You can go there! response:	Thank you very much!
context: Hey, the fire's at Higurashi Shrine!\Let's go!\Huh?!\The fire is under control! Please do not worry!\This road is closed! Do not push!\Excuse me! Please let me through!\Hey, you! You can go there!\Thank you very much! response:	Mom!
context: Let's go!\Huh?!\The fire is under control! Please do not worry!\This road is closed! Do not push!\Excuse me! Please let me through!\Hey, you! You can go there!\Thank you very much!\Mom! response:	Kagome!
context: Huh?!\The fire is under control! Please do not worry!\This road is closed! Do not push!\Excuse me! Please let me through!\Hey, you! You can go there!\Thank you very much!\Mom!\Kagome! response:	Mom, what happened?!
context: The fire is under control! Please do not worry!\This road is closed! Do not push!\Excuse me! Please let me through!\Hey, you! You can go there!\Thank you very much!\Mom!\Kagome!\Mom, what happened?! response:	The storeroom caught fire.
context: This road is closed! Do not push!\Excuse me! Please let me through!\Hey, you! You can go there!\Thank you very much!\Mom!\Kagome!\Mom, what happened?!\The storeroom caught fire. response:	Grandpa was surrounded by the smoke.
context: Excuse me! Please let me through!\Hey, you! You can go there!\Thank you very much!\Mom!\Kagome!\Mom, what happened?!\The storeroom caught fire.\Grandpa was surrounded by the smoke. response:	Gramps?!
context: Hey, you! You can go there!\Thank you very much!\Mom!\Kagome!\Mom, what happened?!\The storeroom caught fire.\Grandpa was surrounded by the smoke.\Gramps?! response:	He's all right.
context: Thank you very much!\Mom!\Kagome!\Mom, what happened?!\The storeroom caught fire.\Grandpa was surrounded by the smoke.\Gramps?!\He's all right. response:	He was slightly injured...
context: Mom!\Kagome!\Mom, what happened?!\The storeroom caught fire.\Grandpa was surrounded by the smoke.\Gramps?!\He's all right.\He was slightly injured... response:	then fainted before he could inhale too much smoke.
context: Kagome!\Mom, what happened?!\The storeroom caught fire.\Grandpa was surrounded by the smoke.\Gramps?!\He's all right.\He was slightly injured...\then fainted before he could inhale too much smoke. response:	I'm going to the hospital now.
context: Mom, what happened?!\The storeroom caught fire.\Grandpa was surrounded by the smoke.\Gramps?!\He's all right.\He was slightly injured...\then fainted before he could inhale too much smoke.\I'm going to the hospital now. response:	Me, too!
context: The storeroom caught fire.\Grandpa was surrounded by the smoke.\Gramps?!\He's all right.\He was slightly injured...\then fainted before he could inhale too much smoke.\I'm going to the hospital now.\Me, too! response:	Sota's not home yet.
context: Grandpa was surrounded by the smoke.\Gramps?!\He's all right.\He was slightly injured...\then fainted before he could inhale too much smoke.\I'm going to the hospital now.\Me, too!\Sota's not home yet. response:	Please stay home.
context: Gramps?!\He's all right.\He was slightly injured...\then fainted before he could inhale too much smoke.\I'm going to the hospital now.\Me, too!\Sota's not home yet.\Please stay home. response:	All right.
context: He's all right.\He was slightly injured...\then fainted before he could inhale too much smoke.\I'm going to the hospital now.\Me, too!\Sota's not home yet.\Please stay home.\All right. response:	A fire in the storeroom?
context: He was slightly injured...\then fainted before he could inhale too much smoke.\I'm going to the hospital now.\Me, too!\Sota's not home yet.\Please stay home.\All right.\A fire in the storeroom? response:	There's no way a fire could start in there.
context: then fainted before he could inhale too much smoke.\I'm going to the hospital now.\Me, too!\Sota's not home yet.\Please stay home.\All right.\A fire in the storeroom?\There's no way a fire could start in there. response:	The fire started inside, huh?
context: I'm going to the hospital now.\Me, too!\Sota's not home yet.\Please stay home.\All right.\A fire in the storeroom?\There's no way a fire could start in there.\The fire started inside, huh? response:	Watch out! There are holes in the floor.
context: Me, too!\Sota's not home yet.\Please stay home.\All right.\A fire in the storeroom?\There's no way a fire could start in there.\The fire started inside, huh?\Watch out! There are holes in the floor. response:	Huh?
context: Sota's not home yet.\Please stay home.\All right.\A fire in the storeroom?\There's no way a fire could start in there.\The fire started inside, huh?\Watch out! There are holes in the floor.\Huh? response:	What's the matter?
context: Please stay home.\All right.\A fire in the storeroom?\There's no way a fire could start in there.\The fire started inside, huh?\Watch out! There are holes in the floor.\Huh?\What's the matter? response:	Sis!
context: All right.\A fire in the storeroom?\There's no way a fire could start in there.\The fire started inside, huh?\Watch out! There are holes in the floor.\Huh?\What's the matter?\Sis! response:	It's all right! We're all safe!
context: A fire in the storeroom?\There's no way a fire could start in there.\The fire started inside, huh?\Watch out! There are holes in the floor.\Huh?\What's the matter?\Sis!\It's all right! We're all safe! response:	- Don't worry. - Un-huh.
context: There's no way a fire could start in there.\The fire started inside, huh?\Watch out! There are holes in the floor.\Huh?\What's the matter?\Sis!\It's all right! We're all safe!\- Don't worry. - Un-huh. response:	Stop!
context: The fire started inside, huh?\Watch out! There are holes in the floor.\Huh?\What's the matter?\Sis!\It's all right! We're all safe!\- Don't worry. - Un-huh.\Stop! response:	Hurry!
context: Watch out! There are holes in the floor.\Huh?\What's the matter?\Sis!\It's all right! We're all safe!\- Don't worry. - Un-huh.\Stop!\Hurry! response:	Contact Headquarters! There's an out-of-control truck!
context: Huh?\What's the matter?\Sis!\It's all right! We're all safe!\- Don't worry. - Un-huh.\Stop!\Hurry!\Contact Headquarters! There's an out-of-control truck! response:	And next on the news...
context: What's the matter?\Sis!\It's all right! We're all safe!\- Don't worry. - Un-huh.\Stop!\Hurry!\Contact Headquarters! There's an out-of-control truck!\And next on the news... response:	A runaway fire truck on the streets...
context: Sis!\It's all right! We're all safe!\- Don't worry. - Un-huh.\Stop!\Hurry!\Contact Headquarters! There's an out-of-control truck!\And next on the news...\A runaway fire truck on the streets... response:	has been involved in many accidents.
context: It's all right! We're all safe!\- Don't worry. - Un-huh.\Stop!\Hurry!\Contact Headquarters! There's an out-of-control truck!\And next on the news...\A runaway fire truck on the streets...\has been involved in many accidents. response:	There appears to be several injured...
context: - Don't worry. - Un-huh.\Stop!\Hurry!\Contact Headquarters! There's an out-of-control truck!\And next on the news...\A runaway fire truck on the streets...\has been involved in many accidents.\There appears to be several injured... response:	but that has not been confirmed at this time.
context: Stop!\Hurry!\Contact Headquarters! There's an out-of-control truck!\And next on the news...\A runaway fire truck on the streets...\has been involved in many accidents.\There appears to be several injured...\but that has not been confirmed at this time. response:	It is unthinkable, but at every accident site...
context: Hurry!\Contact Headquarters! There's an out-of-control truck!\And next on the news...\A runaway fire truck on the streets...\has been involved in many accidents.\There appears to be several injured...\but that has not been confirmed at this time.\It is unthinkable, but at every accident site... response:	people have disappeared.
context: Contact Headquarters! There's an out-of-control truck!\And next on the news...\A runaway fire truck on the streets...\has been involved in many accidents.\There appears to be several injured...\but that has not been confirmed at this time.\It is unthinkable, but at every accident site...\people have disappeared. response:	It is totally incomprehensible!
context: And next on the news...\A runaway fire truck on the streets...\has been involved in many accidents.\There appears to be several injured...\but that has not been confirmed at this time.\It is unthinkable, but at every accident site...\people have disappeared.\It is totally incomprehensible! response:	The flesh keeps rotting away. Rotting away!
context: A runaway fire truck on the streets...\has been involved in many accidents.\There appears to be several injured...\but that has not been confirmed at this time.\It is unthinkable, but at every accident site...\people have disappeared.\It is totally incomprehensible!\The flesh keeps rotting away. Rotting away! response:	If I can absorb a little more...
context: has been involved in many accidents.\There appears to be several injured...\but that has not been confirmed at this time.\It is unthinkable, but at every accident site...\people have disappeared.\It is totally incomprehensible!\The flesh keeps rotting away. Rotting away!\If I can absorb a little more... response:	I'll be able to mold a complete body.
context: There appears to be several injured...\but that has not been confirmed at this time.\It is unthinkable, but at every accident site...\people have disappeared.\It is totally incomprehensible!\The flesh keeps rotting away. Rotting away!\If I can absorb a little more...\I'll be able to mold a complete body. response:	A little more...
context: but that has not been confirmed at this time.\It is unthinkable, but at every accident site...\people have disappeared.\It is totally incomprehensible!\The flesh keeps rotting away. Rotting away!\If I can absorb a little more...\I'll be able to mold a complete body.\A little more... response:	Oh, if only I had a fragment of the Sacred Jewel!
context: It is unthinkable, but at every accident site...\people have disappeared.\It is totally incomprehensible!\The flesh keeps rotting away. Rotting away!\If I can absorb a little more...\I'll be able to mold a complete body.\A little more...\Oh, if only I had a fragment of the Sacred Jewel! response:	Mom, how's Grandpa?
context: people have disappeared.\It is totally incomprehensible!\The flesh keeps rotting away. Rotting away!\If I can absorb a little more...\I'll be able to mold a complete body.\A little more...\Oh, if only I had a fragment of the Sacred Jewel!\Mom, how's Grandpa? response:	The doctor says he's out of danger...
context: It is totally incomprehensible!\The flesh keeps rotting away. Rotting away!\If I can absorb a little more...\I'll be able to mold a complete body.\A little more...\Oh, if only I had a fragment of the Sacred Jewel!\Mom, how's Grandpa?\The doctor says he's out of danger... response:	but Grandpa is still unconscious.
context: The flesh keeps rotting away. Rotting away!\If I can absorb a little more...\I'll be able to mold a complete body.\A little more...\Oh, if only I had a fragment of the Sacred Jewel!\Mom, how's Grandpa?\The doctor says he's out of danger...\but Grandpa is still unconscious. response:	Huh?
context: If I can absorb a little more...\I'll be able to mold a complete body.\A little more...\Oh, if only I had a fragment of the Sacred Jewel!\Mom, how's Grandpa?\The doctor says he's out of danger...\but Grandpa is still unconscious.\Huh? response:	I don't think we need to be overly concerned...
context: I'll be able to mold a complete body.\A little more...\Oh, if only I had a fragment of the Sacred Jewel!\Mom, how's Grandpa?\The doctor says he's out of danger...\but Grandpa is still unconscious.\Huh?\I don't think we need to be overly concerned... response:	but he is getting on in age.
context: A little more...\Oh, if only I had a fragment of the Sacred Jewel!\Mom, how's Grandpa?\The doctor says he's out of danger...\but Grandpa is still unconscious.\Huh?\I don't think we need to be overly concerned...\but he is getting on in age. response:	Mom, what's all that?
context: Oh, if only I had a fragment of the Sacred Jewel!\Mom, how's Grandpa?\The doctor says he's out of danger...\but Grandpa is still unconscious.\Huh?\I don't think we need to be overly concerned...\but he is getting on in age.\Mom, what's all that? response:	When they rescued him...
context: Mom, how's Grandpa?\The doctor says he's out of danger...\but Grandpa is still unconscious.\Huh?\I don't think we need to be overly concerned...\but he is getting on in age.\Mom, what's all that?\When they rescued him... response:	he had these plastered all over his face.
context: The doctor says he's out of danger...\but Grandpa is still unconscious.\Huh?\I don't think we need to be overly concerned...\but he is getting on in age.\Mom, what's all that?\When they rescued him...\he had these plastered all over his face. response:	He had even stuffed some in his mouth.
context: but Grandpa is still unconscious.\Huh?\I don't think we need to be overly concerned...\but he is getting on in age.\Mom, what's all that?\When they rescued him...\he had these plastered all over his face.\He had even stuffed some in his mouth. response:	The Flesh-Eating Mask...
context: Huh?\I don't think we need to be overly concerned...\but he is getting on in age.\Mom, what's all that?\When they rescued him...\he had these plastered all over his face.\He had even stuffed some in his mouth.\The Flesh-Eating Mask... response:	The Mask... The Flesh-Eating...
context: I don't think we need to be overly concerned...\but he is getting on in age.\Mom, what's all that?\When they rescued him...\he had these plastered all over his face.\He had even stuffed some in his mouth.\The Flesh-Eating Mask...\The Mask... The Flesh-Eating... response:	And so, Mom's going to stay at the hospital another night...
context: but he is getting on in age.\Mom, what's all that?\When they rescued him...\he had these plastered all over his face.\He had even stuffed some in his mouth.\The Flesh-Eating Mask...\The Mask... The Flesh-Eating...\And so, Mom's going to stay at the hospital another night... response:	to watch over Gramps.
context: Mom, what's all that?\When they rescued him...\he had these plastered all over his face.\He had even stuffed some in his mouth.\The Flesh-Eating Mask...\The Mask... The Flesh-Eating...\And so, Mom's going to stay at the hospital another night...\to watch over Gramps. response:	Huh?
context: When they rescued him...\he had these plastered all over his face.\He had even stuffed some in his mouth.\The Flesh-Eating Mask...\The Mask... The Flesh-Eating...\And so, Mom's going to stay at the hospital another night...\to watch over Gramps.\Huh? response:	Sis, can I stay in here tonight again?
context: he had these plastered all over his face.\He had even stuffed some in his mouth.\The Flesh-Eating Mask...\The Mask... The Flesh-Eating...\And so, Mom's going to stay at the hospital another night...\to watch over Gramps.\Huh?\Sis, can I stay in here tonight again? response:	What are you saying?! You're a boy, aren't you?
context: He had even stuffed some in his mouth.\The Flesh-Eating Mask...\The Mask... The Flesh-Eating...\And so, Mom's going to stay at the hospital another night...\to watch over Gramps.\Huh?\Sis, can I stay in here tonight again?\What are you saying?! You're a boy, aren't you? response:	But...
context: The Flesh-Eating Mask...\The Mask... The Flesh-Eating...\And so, Mom's going to stay at the hospital another night...\to watch over Gramps.\Huh?\Sis, can I stay in here tonight again?\What are you saying?! You're a boy, aren't you?\But... response:	You're such a weakling!
context: The Mask... The Flesh-Eating...\And so, Mom's going to stay at the hospital another night...\to watch over Gramps.\Huh?\Sis, can I stay in here tonight again?\What are you saying?! You're a boy, aren't you?\But...\You're such a weakling! response:	Sleep in your own room tonight!
context: And so, Mom's going to stay at the hospital another night...\to watch over Gramps.\Huh?\Sis, can I stay in here tonight again?\What are you saying?! You're a boy, aren't you?\But...\You're such a weakling!\Sleep in your own room tonight! response:	I have another test tomorrow!
context: to watch over Gramps.\Huh?\Sis, can I stay in here tonight again?\What are you saying?! You're a boy, aren't you?\But...\You're such a weakling!\Sleep in your own room tonight!\I have another test tomorrow! response:	Gramps had talismans in his mouth and even sacred rice wine all over him.
context: Huh?\Sis, can I stay in here tonight again?\What are you saying?! You're a boy, aren't you?\But...\You're such a weakling!\Sleep in your own room tonight!\I have another test tomorrow!\Gramps had talismans in his mouth and even sacred rice wine all over him. response:	I'll bet something happened in the storeroom!
context: Sis, can I stay in here tonight again?\What are you saying?! You're a boy, aren't you?\But...\You're such a weakling!\Sleep in your own room tonight!\I have another test tomorrow!\Gramps had talismans in his mouth and even sacred rice wine all over him.\I'll bet something happened in the storeroom! response:	The Flesh-Eating Mask...
context: What are you saying?! You're a boy, aren't you?\But...\You're such a weakling!\Sleep in your own room tonight!\I have another test tomorrow!\Gramps had talismans in his mouth and even sacred rice wine all over him.\I'll bet something happened in the storeroom!\The Flesh-Eating Mask... response:	Something's different.
context: But...\You're such a weakling!\Sleep in your own room tonight!\I have another test tomorrow!\Gramps had talismans in his mouth and even sacred rice wine all over him.\I'll bet something happened in the storeroom!\The Flesh-Eating Mask...\Something's different. response:	Until now, everything was normal.
context: You're such a weakling!\Sleep in your own room tonight!\I have another test tomorrow!\Gramps had talismans in his mouth and even sacred rice wine all over him.\I'll bet something happened in the storeroom!\The Flesh-Eating Mask...\Something's different.\Until now, everything was normal. response:	So has something...changed?
context: Sleep in your own room tonight!\I have another test tomorrow!\Gramps had talismans in his mouth and even sacred rice wine all over him.\I'll bet something happened in the storeroom!\The Flesh-Eating Mask...\Something's different.\Until now, everything was normal.\So has something...changed? response:	This!
context: I have another test tomorrow!\Gramps had talismans in his mouth and even sacred rice wine all over him.\I'll bet something happened in the storeroom!\The Flesh-Eating Mask...\Something's different.\Until now, everything was normal.\So has something...changed?\This! response:	Is it because of the Sacred Jewel fragments?
context: Gramps had talismans in his mouth and even sacred rice wine all over him.\I'll bet something happened in the storeroom!\The Flesh-Eating Mask...\Something's different.\Until now, everything was normal.\So has something...changed?\This!\Is it because of the Sacred Jewel fragments? response:	Watch out... for... the Flesh-Eating Mask!
context: I'll bet something happened in the storeroom!\The Flesh-Eating Mask...\Something's different.\Until now, everything was normal.\So has something...changed?\This!\Is it because of the Sacred Jewel fragments?\Watch out... for... the Flesh-Eating Mask! response:	A Noh mask?
context: The Flesh-Eating Mask...\Something's different.\Until now, everything was normal.\So has something...changed?\This!\Is it because of the Sacred Jewel fragments?\Watch out... for... the Flesh-Eating Mask!\A Noh mask? response:	The Flesh-Eating Mask that Gramps was mumbling about...
context: Something's different.\Until now, everything was normal.\So has something...changed?\This!\Is it because of the Sacred Jewel fragments?\Watch out... for... the Flesh-Eating Mask!\A Noh mask?\The Flesh-Eating Mask that Gramps was mumbling about... response:	The Jewel... The Sacred Jewel...
context: Until now, everything was normal.\So has something...changed?\This!\Is it because of the Sacred Jewel fragments?\Watch out... for... the Flesh-Eating Mask!\A Noh mask?\The Flesh-Eating Mask that Gramps was mumbling about...\The Jewel... The Sacred Jewel... response:	The Jewel... The Sacred Jewel!
context: So has something...changed?\This!\Is it because of the Sacred Jewel fragments?\Watch out... for... the Flesh-Eating Mask!\A Noh mask?\The Flesh-Eating Mask that Gramps was mumbling about...\The Jewel... The Sacred Jewel...\The Jewel... The Sacred Jewel! response:	Sota, don't just stand there!
context: This!\Is it because of the Sacred Jewel fragments?\Watch out... for... the Flesh-Eating Mask!\A Noh mask?\The Flesh-Eating Mask that Gramps was mumbling about...\The Jewel... The Sacred Jewel...\The Jewel... The Sacred Jewel!\Sota, don't just stand there! response:	Run!
context: Is it because of the Sacred Jewel fragments?\Watch out... for... the Flesh-Eating Mask!\A Noh mask?\The Flesh-Eating Mask that Gramps was mumbling about...\The Jewel... The Sacred Jewel...\The Jewel... The Sacred Jewel!\Sota, don't just stand there!\Run! response:	I must... I must get Inuyasha!
context: Watch out... for... the Flesh-Eating Mask!\A Noh mask?\The Flesh-Eating Mask that Gramps was mumbling about...\The Jewel... The Sacred Jewel...\The Jewel... The Sacred Jewel!\Sota, don't just stand there!\Run!\I must... I must get Inuyasha! response:	Sis! You're bleeding!
context: A Noh mask?\The Flesh-Eating Mask that Gramps was mumbling about...\The Jewel... The Sacred Jewel...\The Jewel... The Sacred Jewel!\Sota, don't just stand there!\Run!\I must... I must get Inuyasha!\Sis! You're bleeding! response:	Don't cry! I just cut myself on the glass.
context: The Flesh-Eating Mask that Gramps was mumbling about...\The Jewel... The Sacred Jewel...\The Jewel... The Sacred Jewel!\Sota, don't just stand there!\Run!\I must... I must get Inuyasha!\Sis! You're bleeding!\Don't cry! I just cut myself on the glass. response:	Give it to me... Give it to me...
context: The Jewel... The Sacred Jewel...\The Jewel... The Sacred Jewel!\Sota, don't just stand there!\Run!\I must... I must get Inuyasha!\Sis! You're bleeding!\Don't cry! I just cut myself on the glass.\Give it to me... Give it to me... response:	It...has a Sacred Jewel fragment in its forehead!
context: The Jewel... The Sacred Jewel!\Sota, don't just stand there!\Run!\I must... I must get Inuyasha!\Sis! You're bleeding!\Don't cry! I just cut myself on the glass.\Give it to me... Give it to me...\It...has a Sacred Jewel fragment in its forehead! response:	It's after this bottle of fragments...
context: Sota, don't just stand there!\Run!\I must... I must get Inuyasha!\Sis! You're bleeding!\Don't cry! I just cut myself on the glass.\Give it to me... Give it to me...\It...has a Sacred Jewel fragment in its forehead!\It's after this bottle of fragments... response:	Sota will be safer away from me.
context: Run!\I must... I must get Inuyasha!\Sis! You're bleeding!\Don't cry! I just cut myself on the glass.\Give it to me... Give it to me...\It...has a Sacred Jewel fragment in its forehead!\It's after this bottle of fragments...\Sota will be safer away from me. response:	Sota, run to the hidden well...
context: I must... I must get Inuyasha!\Sis! You're bleeding!\Don't cry! I just cut myself on the glass.\Give it to me... Give it to me...\It...has a Sacred Jewel fragment in its forehead!\It's after this bottle of fragments...\Sota will be safer away from me.\Sota, run to the hidden well... response:	and get Inuyasha!
context: Sis! You're bleeding!\Don't cry! I just cut myself on the glass.\Give it to me... Give it to me...\It...has a Sacred Jewel fragment in its forehead!\It's after this bottle of fragments...\Sota will be safer away from me.\Sota, run to the hidden well...\and get Inuyasha! response:	Tell him there are Sacred Jewel fragments in this world and...
context: Don't cry! I just cut myself on the glass.\Give it to me... Give it to me...\It...has a Sacred Jewel fragment in its forehead!\It's after this bottle of fragments...\Sota will be safer away from me.\Sota, run to the hidden well...\and get Inuyasha!\Tell him there are Sacred Jewel fragments in this world and... response:	he'll gladly come running!
context: Give it to me... Give it to me...\It...has a Sacred Jewel fragment in its forehead!\It's after this bottle of fragments...\Sota will be safer away from me.\Sota, run to the hidden well...\and get Inuyasha!\Tell him there are Sacred Jewel fragments in this world and...\he'll gladly come running! response:	What?! All by myself?!
context: It...has a Sacred Jewel fragment in its forehead!\It's after this bottle of fragments...\Sota will be safer away from me.\Sota, run to the hidden well...\and get Inuyasha!\Tell him there are Sacred Jewel fragments in this world and...\he'll gladly come running!\What?! All by myself?! response:	Understand? Hurry!
context: It's after this bottle of fragments...\Sota will be safer away from me.\Sota, run to the hidden well...\and get Inuyasha!\Tell him there are Sacred Jewel fragments in this world and...\he'll gladly come running!\What?! All by myself?!\Understand? Hurry! response:	The well is linked to the Feudal States Era.
context: Sota will be safer away from me.\Sota, run to the hidden well...\and get Inuyasha!\Tell him there are Sacred Jewel fragments in this world and...\he'll gladly come running!\What?! All by myself?!\Understand? Hurry!\The well is linked to the Feudal States Era. response:	Jump and throw yourself in.
context: Sota, run to the hidden well...\and get Inuyasha!\Tell him there are Sacred Jewel fragments in this world and...\he'll gladly come running!\What?! All by myself?!\Understand? Hurry!\The well is linked to the Feudal States Era.\Jump and throw yourself in. response:	Let's go, Buyo!
context: and get Inuyasha!\Tell him there are Sacred Jewel fragments in this world and...\he'll gladly come running!\What?! All by myself?!\Understand? Hurry!\The well is linked to the Feudal States Era.\Jump and throw yourself in.\Let's go, Buyo! response:	Owweee!
context: Tell him there are Sacred Jewel fragments in this world and...\he'll gladly come running!\What?! All by myself?!\Understand? Hurry!\The well is linked to the Feudal States Era.\Jump and throw yourself in.\Let's go, Buyo!\Owweee! response:	I couldn't go through!
context: he'll gladly come running!\What?! All by myself?!\Understand? Hurry!\The well is linked to the Feudal States Era.\Jump and throw yourself in.\Let's go, Buyo!\Owweee!\I couldn't go through! response:	Why?!
context: What?! All by myself?!\Understand? Hurry!\The well is linked to the Feudal States Era.\Jump and throw yourself in.\Let's go, Buyo!\Owweee!\I couldn't go through!\Why?! response:	Please... take me!
context: Understand? Hurry!\The well is linked to the Feudal States Era.\Jump and throw yourself in.\Let's go, Buyo!\Owweee!\I couldn't go through!\Why?!\Please... take me! response:	I have to... or Sis will...
context: The well is linked to the Feudal States Era.\Jump and throw yourself in.\Let's go, Buyo!\Owweee!\I couldn't go through!\Why?!\Please... take me!\I have to... or Sis will... response:	Sis will die!
context: Jump and throw yourself in.\Let's go, Buyo!\Owweee!\I couldn't go through!\Why?!\Please... take me!\I have to... or Sis will...\Sis will die! response:	The... dog fellow...
context: Let's go, Buyo!\Owweee!\I couldn't go through!\Why?!\Please... take me!\I have to... or Sis will...\Sis will die!\The... dog fellow... response:	What's up?
context: Owweee!\I couldn't go through!\Why?!\Please... take me!\I have to... or Sis will...\Sis will die!\The... dog fellow...\What's up? response:	You look troubled.
context: I couldn't go through!\Why?!\Please... take me!\I have to... or Sis will...\Sis will die!\The... dog fellow...\What's up?\You look troubled. response:	Don't fall off!
context: Why?!\Please... take me!\I have to... or Sis will...\Sis will die!\The... dog fellow...\What's up?\You look troubled.\Don't fall off! response:	I couldn't get through the well.
context: Please... take me!\I have to... or Sis will...\Sis will die!\The... dog fellow...\What's up?\You look troubled.\Don't fall off!\I couldn't get through the well. response:	You should be glad.
context: I have to... or Sis will...\Sis will die!\The... dog fellow...\What's up?\You look troubled.\Don't fall off!\I couldn't get through the well.\You should be glad. response:	On the other side, there are dozens of demons...
context: Sis will die!\The... dog fellow...\What's up?\You look troubled.\Don't fall off!\I couldn't get through the well.\You should be glad.\On the other side, there are dozens of demons... response:	who love to eat little boys like you.
context: The... dog fellow...\What's up?\You look troubled.\Don't fall off!\I couldn't get through the well.\You should be glad.\On the other side, there are dozens of demons...\who love to eat little boys like you. response:	Huh?!
context: What's up?\You look troubled.\Don't fall off!\I couldn't get through the well.\You should be glad.\On the other side, there are dozens of demons...\who love to eat little boys like you.\Huh?! response:	Do you know where Sis is?
context: You look troubled.\Don't fall off!\I couldn't get through the well.\You should be glad.\On the other side, there are dozens of demons...\who love to eat little boys like you.\Huh?!\Do you know where Sis is? response:	My nose works real good.
context: Don't fall off!\I couldn't get through the well.\You should be glad.\On the other side, there are dozens of demons...\who love to eat little boys like you.\Huh?!\Do you know where Sis is?\My nose works real good. response:	I just have to follow Kagome's blood scent.
context: I couldn't get through the well.\You should be glad.\On the other side, there are dozens of demons...\who love to eat little boys like you.\Huh?!\Do you know where Sis is?\My nose works real good.\I just have to follow Kagome's blood scent. response:	Sis cut her hand...
context: You should be glad.\On the other side, there are dozens of demons...\who love to eat little boys like you.\Huh?!\Do you know where Sis is?\My nose works real good.\I just have to follow Kagome's blood scent.\Sis cut her hand... response:	I could smell her from the well.
context: On the other side, there are dozens of demons...\who love to eat little boys like you.\Huh?!\Do you know where Sis is?\My nose works real good.\I just have to follow Kagome's blood scent.\Sis cut her hand...\I could smell her from the well. response:	I'll find Kagome and save her without fail.
context: who love to eat little boys like you.\Huh?!\Do you know where Sis is?\My nose works real good.\I just have to follow Kagome's blood scent.\Sis cut her hand...\I could smell her from the well.\I'll find Kagome and save her without fail. response:	This Inuyasha is rough and spoiled...
context: Huh?!\Do you know where Sis is?\My nose works real good.\I just have to follow Kagome's blood scent.\Sis cut her hand...\I could smell her from the well.\I'll find Kagome and save her without fail.\This Inuyasha is rough and spoiled... response:	and he isn't kind at all!
context: Do you know where Sis is?\My nose works real good.\I just have to follow Kagome's blood scent.\Sis cut her hand...\I could smell her from the well.\I'll find Kagome and save her without fail.\This Inuyasha is rough and spoiled...\and he isn't kind at all! response:	It's such a chore keeping up with him.
context: My nose works real good.\I just have to follow Kagome's blood scent.\Sis cut her hand...\I could smell her from the well.\I'll find Kagome and save her without fail.\This Inuyasha is rough and spoiled...\and he isn't kind at all!\It's such a chore keeping up with him. response:	I wonder...
context: I just have to follow Kagome's blood scent.\Sis cut her hand...\I could smell her from the well.\I'll find Kagome and save her without fail.\This Inuyasha is rough and spoiled...\and he isn't kind at all!\It's such a chore keeping up with him.\I wonder... response:	He seems much kinder and dependable...
