context: He's sort of transferring, though he was sort of on academic break... response:	Anyway, this is Sakishima Hikari-kun,
context: Omu is tomorrow.\Tomorrow?\When's that?\When you go beddie-bye and wake up, it'll be tomorrow.\'Kay.\Today's special, so let's open up another.\Next time, okay?\Next time. response:	No next time!
context: Tomorrow?\When's that?\When you go beddie-bye and wake up, it'll be tomorrow.\'Kay.\Today's special, so let's open up another.\Next time, okay?\Next time.\No next time! response:	Mama!
context: When's that?\When you go beddie-bye and wake up, it'll be tomorrow.\'Kay.\Today's special, so let's open up another.\Next time, okay?\Next time.\No next time!\Mama! response:	Mom?
context: When you go beddie-bye and wake up, it'll be tomorrow.\'Kay.\Today's special, so let's open up another.\Next time, okay?\Next time.\No next time!\Mama!\Mom? response:	Whoa!
context: 'Kay.\Today's special, so let's open up another.\Next time, okay?\Next time.\No next time!\Mama!\Mom?\Whoa! response:	Can you bring a cooling strip?
context: Today's special, so let's open up another.\Next time, okay?\Next time.\No next time!\Mama!\Mom?\Whoa!\Can you bring a cooling strip? response:	Oh, right.
context: Next time, okay?\Next time.\No next time!\Mama!\Mom?\Whoa!\Can you bring a cooling strip?\Oh, right. response:	This is for your uniform.
context: Next time.\No next time!\Mama!\Mom?\Whoa!\Can you bring a cooling strip?\Oh, right.\This is for your uniform. response:	It doesn't have to be today.
context: No next time!\Mama!\Mom?\Whoa!\Can you bring a cooling strip?\Oh, right.\This is for your uniform.\It doesn't have to be today. response:	No.
context: Mama!\Mom?\Whoa!\Can you bring a cooling strip?\Oh, right.\This is for your uniform.\It doesn't have to be today.\No. response:	We don't have to get it made or anything.
context: Mom?\Whoa!\Can you bring a cooling strip?\Oh, right.\This is for your uniform.\It doesn't have to be today.\No.\We don't have to get it made or anything. response:	I can just go to Saya Mart and
context: Whoa!\Can you bring a cooling strip?\Oh, right.\This is for your uniform.\It doesn't have to be today.\No.\We don't have to get it made or anything.\I can just go to Saya Mart and response:	They don't have any.
context: Can you bring a cooling strip?\Oh, right.\This is for your uniform.\It doesn't have to be today.\No.\We don't have to get it made or anything.\I can just go to Saya Mart and\They don't have any. response:	You know where the tailor is, right?
context: Oh, right.\This is for your uniform.\It doesn't have to be today.\No.\We don't have to get it made or anything.\I can just go to Saya Mart and\They don't have any.\You know where the tailor is, right? response:	Yeah.
context: This is for your uniform.\It doesn't have to be today.\No.\We don't have to get it made or anything.\I can just go to Saya Mart and\They don't have any.\You know where the tailor is, right?\Yeah. response:	Sorry to keep you waiting.
context: It doesn't have to be today.\No.\We don't have to get it made or anything.\I can just go to Saya Mart and\They don't have any.\You know where the tailor is, right?\Yeah.\Sorry to keep you waiting. response:	All right, be careful.
context: No.\We don't have to get it made or anything.\I can just go to Saya Mart and\They don't have any.\You know where the tailor is, right?\Yeah.\Sorry to keep you waiting.\All right, be careful. response:	We should get going, too.
context: We don't have to get it made or anything.\I can just go to Saya Mart and\They don't have any.\You know where the tailor is, right?\Yeah.\Sorry to keep you waiting.\All right, be careful.\We should get going, too. response:	We have a train to catch...
context: I can just go to Saya Mart and\They don't have any.\You know where the tailor is, right?\Yeah.\Sorry to keep you waiting.\All right, be careful.\We should get going, too.\We have a train to catch... response:	Can we just not go?
context: They don't have any.\You know where the tailor is, right?\Yeah.\Sorry to keep you waiting.\All right, be careful.\We should get going, too.\We have a train to catch...\Can we just not go? response:	Huh? Why?
context: You know where the tailor is, right?\Yeah.\Sorry to keep you waiting.\All right, be careful.\We should get going, too.\We have a train to catch...\Can we just not go?\Huh? Why? response:	Why...
context: Yeah.\Sorry to keep you waiting.\All right, be careful.\We should get going, too.\We have a train to catch...\Can we just not go?\Huh? Why?\Why... response:	Because I don't really need a new uniform.
context: Sorry to keep you waiting.\All right, be careful.\We should get going, too.\We have a train to catch...\Can we just not go?\Huh? Why?\Why...\Because I don't really need a new uniform. response:	No, you need to wear a proper uniform.
context: All right, be careful.\We should get going, too.\We have a train to catch...\Can we just not go?\Huh? Why?\Why...\Because I don't really need a new uniform.\No, you need to wear a proper uniform. response:	What the hell are you sounding like Akari for?
context: We should get going, too.\We have a train to catch...\Can we just not go?\Huh? Why?\Why...\Because I don't really need a new uniform.\No, you need to wear a proper uniform.\What the hell are you sounding like Akari for? response:	Let's go!
context: We have a train to catch...\Can we just not go?\Huh? Why?\Why...\Because I don't really need a new uniform.\No, you need to wear a proper uniform.\What the hell are you sounding like Akari for?\Let's go! response:	You say that, but what if we get lost?
context: Can we just not go?\Huh? Why?\Why...\Because I don't really need a new uniform.\No, you need to wear a proper uniform.\What the hell are you sounding like Akari for?\Let's go!\You say that, but what if we get lost? response:	We're not going to get lost!
context: Huh? Why?\Why...\Because I don't really need a new uniform.\No, you need to wear a proper uniform.\What the hell are you sounding like Akari for?\Let's go!\You say that, but what if we get lost?\We're not going to get lost! response:	If I get lost.
context: Why...\Because I don't really need a new uniform.\No, you need to wear a proper uniform.\What the hell are you sounding like Akari for?\Let's go!\You say that, but what if we get lost?\We're not going to get lost!\If I get lost. response:	What?
context: Because I don't really need a new uniform.\No, you need to wear a proper uniform.\What the hell are you sounding like Akari for?\Let's go!\You say that, but what if we get lost?\We're not going to get lost!\If I get lost.\What? response:	We'll hold hands so we don't get separated.
context: No, you need to wear a proper uniform.\What the hell are you sounding like Akari for?\Let's go!\You say that, but what if we get lost?\We're not going to get lost!\If I get lost.\What?\We'll hold hands so we don't get separated. response:	Are we on a date?!
context: What the hell are you sounding like Akari for?\Let's go!\You say that, but what if we get lost?\We're not going to get lost!\If I get lost.\What?\We'll hold hands so we don't get separated.\Are we on a date?! response:	You have the guy from yesterday.
context: Let's go!\You say that, but what if we get lost?\We're not going to get lost!\If I get lost.\What?\We'll hold hands so we don't get separated.\Are we on a date?!\You have the guy from yesterday. response:	No!
context: You say that, but what if we get lost?\We're not going to get lost!\If I get lost.\What?\We'll hold hands so we don't get separated.\Are we on a date?!\You have the guy from yesterday.\No! response:	Then, Sayu.
context: We're not going to get lost!\If I get lost.\What?\We'll hold hands so we don't get separated.\Are we on a date?!\You have the guy from yesterday.\No!\Then, Sayu. response:	I'll ask Sayu to come along with us.
context: If I get lost.\What?\We'll hold hands so we don't get separated.\Are we on a date?!\You have the guy from yesterday.\No!\Then, Sayu.\I'll ask Sayu to come along with us. response:	What? Why are you asking her?
context: What?\We'll hold hands so we don't get separated.\Are we on a date?!\You have the guy from yesterday.\No!\Then, Sayu.\I'll ask Sayu to come along with us.\What? Why are you asking her? response:	I'll go call her. Stay right there.
context: We'll hold hands so we don't get separated.\Are we on a date?!\You have the guy from yesterday.\No!\Then, Sayu.\I'll ask Sayu to come along with us.\What? Why are you asking her?\I'll go call her. Stay right there. response:	Did you remember to bring a bottle filled with sea water?
context: Are we on a date?!\You have the guy from yesterday.\No!\Then, Sayu.\I'll ask Sayu to come along with us.\What? Why are you asking her?\I'll go call her. Stay right there.\Did you remember to bring a bottle filled with sea water? response:	I didn't bring that this time!
context: You have the guy from yesterday.\No!\Then, Sayu.\I'll ask Sayu to come along with us.\What? Why are you asking her?\I'll go call her. Stay right there.\Did you remember to bring a bottle filled with sea water?\I didn't bring that this time! response:	Miuna!
context: No!\Then, Sayu.\I'll ask Sayu to come along with us.\What? Why are you asking her?\I'll go call her. Stay right there.\Did you remember to bring a bottle filled with sea water?\I didn't bring that this time!\Miuna! response:	That happened five years ago.
context: Then, Sayu.\I'll ask Sayu to come along with us.\What? Why are you asking her?\I'll go call her. Stay right there.\Did you remember to bring a bottle filled with sea water?\I didn't bring that this time!\Miuna!\That happened five years ago. response:	For me, it happened the other day.
context: I'll ask Sayu to come along with us.\What? Why are you asking her?\I'll go call her. Stay right there.\Did you remember to bring a bottle filled with sea water?\I didn't bring that this time!\Miuna!\That happened five years ago.\For me, it happened the other day. response:	Things are totally different now.
context: What? Why are you asking her?\I'll go call her. Stay right there.\Did you remember to bring a bottle filled with sea water?\I didn't bring that this time!\Miuna!\That happened five years ago.\For me, it happened the other day.\Things are totally different now. response:	I've changed.
context: I'll go call her. Stay right there.\Did you remember to bring a bottle filled with sea water?\I didn't bring that this time!\Miuna!\That happened five years ago.\For me, it happened the other day.\Things are totally different now.\I've changed. response:	Fine, I got it. Stop spitting on me.
context: Did you remember to bring a bottle filled with sea water?\I didn't bring that this time!\Miuna!\That happened five years ago.\For me, it happened the other day.\Things are totally different now.\I've changed.\Fine, I got it. Stop spitting on me. response:	I'm not spitting on you!
context: I didn't bring that this time!\Miuna!\That happened five years ago.\For me, it happened the other day.\Things are totally different now.\I've changed.\Fine, I got it. Stop spitting on me.\I'm not spitting on you! response:	Sayu!
context: Miuna!\That happened five years ago.\For me, it happened the other day.\Things are totally different now.\I've changed.\Fine, I got it. Stop spitting on me.\I'm not spitting on you!\Sayu! response:	How is that you invited me, but I got here first?
context: That happened five years ago.\For me, it happened the other day.\Things are totally different now.\I've changed.\Fine, I got it. Stop spitting on me.\I'm not spitting on you!\Sayu!\How is that you invited me, but I got here first? response:	I'm sorry!
context: For me, it happened the other day.\Things are totally different now.\I've changed.\Fine, I got it. Stop spitting on me.\I'm not spitting on you!\Sayu!\How is that you invited me, but I got here first?\I'm sorry! response:	It's fine.
context: Things are totally different now.\I've changed.\Fine, I got it. Stop spitting on me.\I'm not spitting on you!\Sayu!\How is that you invited me, but I got here first?\I'm sorry!\It's fine. response:	What should we get for lunch?
context: I've changed.\Fine, I got it. Stop spitting on me.\I'm not spitting on you!\Sayu!\How is that you invited me, but I got here first?\I'm sorry!\It's fine.\What should we get for lunch? response:	Omelet rice?
context: Fine, I got it. Stop spitting on me.\I'm not spitting on you!\Sayu!\How is that you invited me, but I got here first?\I'm sorry!\It's fine.\What should we get for lunch?\Omelet rice? response:	I'm not really hungry yet.
context: I'm not spitting on you!\Sayu!\How is that you invited me, but I got here first?\I'm sorry!\It's fine.\What should we get for lunch?\Omelet rice?\I'm not really hungry yet. response:	Remember those squid ink chips from last time?
context: Sayu!\How is that you invited me, but I got here first?\I'm sorry!\It's fine.\What should we get for lunch?\Omelet rice?\I'm not really hungry yet.\Remember those squid ink chips from last time? response:	The black ones.
context: How is that you invited me, but I got here first?\I'm sorry!\It's fine.\What should we get for lunch?\Omelet rice?\I'm not really hungry yet.\Remember those squid ink chips from last time?\The black ones. response:	Those were great.
context: I'm sorry!\It's fine.\What should we get for lunch?\Omelet rice?\I'm not really hungry yet.\Remember those squid ink chips from last time?\The black ones.\Those were great. response:	Do they still make those?
context: It's fine.\What should we get for lunch?\Omelet rice?\I'm not really hungry yet.\Remember those squid ink chips from last time?\The black ones.\Those were great.\Do they still make those? response:	I don't think I've seen them recently,
context: What should we get for lunch?\Omelet rice?\I'm not really hungry yet.\Remember those squid ink chips from last time?\The black ones.\Those were great.\Do they still make those?\I don't think I've seen them recently, response:	but they have a new flavor, stuffed squid!
context: Omelet rice?\I'm not really hungry yet.\Remember those squid ink chips from last time?\The black ones.\Those were great.\Do they still make those?\I don't think I've seen them recently,\but they have a new flavor, stuffed squid! response:	Stuffed squid?! Seriously?
context: I'm not really hungry yet.\Remember those squid ink chips from last time?\The black ones.\Those were great.\Do they still make those?\I don't think I've seen them recently,\but they have a new flavor, stuffed squid!\Stuffed squid?! Seriously? response:	Those sound awful.
context: Remember those squid ink chips from last time?\The black ones.\Those were great.\Do they still make those?\I don't think I've seen them recently,\but they have a new flavor, stuffed squid!\Stuffed squid?! Seriously?\Those sound awful. response:	Whoa!
context: The black ones.\Those were great.\Do they still make those?\I don't think I've seen them recently,\but they have a new flavor, stuffed squid!\Stuffed squid?! Seriously?\Those sound awful.\Whoa! response:	This place changed, too!
context: Those were great.\Do they still make those?\I don't think I've seen them recently,\but they have a new flavor, stuffed squid!\Stuffed squid?! Seriously?\Those sound awful.\Whoa!\This place changed, too! response:	Let's go.
context: Do they still make those?\I don't think I've seen them recently,\but they have a new flavor, stuffed squid!\Stuffed squid?! Seriously?\Those sound awful.\Whoa!\This place changed, too!\Let's go. response:	Actually, doesn't it sort of smell like a fart off and on?
context: I don't think I've seen them recently,\but they have a new flavor, stuffed squid!\Stuffed squid?! Seriously?\Those sound awful.\Whoa!\This place changed, too!\Let's go.\Actually, doesn't it sort of smell like a fart off and on? response:	What?
context: but they have a new flavor, stuffed squid!\Stuffed squid?! Seriously?\Those sound awful.\Whoa!\This place changed, too!\Let's go.\Actually, doesn't it sort of smell like a fart off and on?\What? response:	That... wasn't a fart!
context: Stuffed squid?! Seriously?\Those sound awful.\Whoa!\This place changed, too!\Let's go.\Actually, doesn't it sort of smell like a fart off and on?\What?\That... wasn't a fart! response:	Really?
context: Those sound awful.\Whoa!\This place changed, too!\Let's go.\Actually, doesn't it sort of smell like a fart off and on?\What?\That... wasn't a fart!\Really? response:	Then is there a pig somewhere nearby?
context: Whoa!\This place changed, too!\Let's go.\Actually, doesn't it sort of smell like a fart off and on?\What?\That... wasn't a fart!\Really?\Then is there a pig somewhere nearby? response:	No! That's not it!
context: This place changed, too!\Let's go.\Actually, doesn't it sort of smell like a fart off and on?\What?\That... wasn't a fart!\Really?\Then is there a pig somewhere nearby?\No! That's not it! response:	My shoes are just making that noise for some reason!
context: Let's go.\Actually, doesn't it sort of smell like a fart off and on?\What?\That... wasn't a fart!\Really?\Then is there a pig somewhere nearby?\No! That's not it!\My shoes are just making that noise for some reason! response:	Yeah. They're your best dress shoes.
context: Actually, doesn't it sort of smell like a fart off and on?\What?\That... wasn't a fart!\Really?\Then is there a pig somewhere nearby?\No! That's not it!\My shoes are just making that noise for some reason!\Yeah. They're your best dress shoes. response:	They're your best, yet they make pig sounds?
context: What?\That... wasn't a fart!\Really?\Then is there a pig somewhere nearby?\No! That's not it!\My shoes are just making that noise for some reason!\Yeah. They're your best dress shoes.\They're your best, yet they make pig sounds? response:	They fart?
context: That... wasn't a fart!\Really?\Then is there a pig somewhere nearby?\No! That's not it!\My shoes are just making that noise for some reason!\Yeah. They're your best dress shoes.\They're your best, yet they make pig sounds?\They fart? response:	So they're farting shoes?
context: Really?\Then is there a pig somewhere nearby?\No! That's not it!\My shoes are just making that noise for some reason!\Yeah. They're your best dress shoes.\They're your best, yet they make pig sounds?\They fart?\So they're farting shoes? response:	Ugh! They don't fart!
context: Then is there a pig somewhere nearby?\No! That's not it!\My shoes are just making that noise for some reason!\Yeah. They're your best dress shoes.\They're your best, yet they make pig sounds?\They fart?\So they're farting shoes?\Ugh! They don't fart! response:	Ow! Don't hit me! Ow!
context: No! That's not it!\My shoes are just making that noise for some reason!\Yeah. They're your best dress shoes.\They're your best, yet they make pig sounds?\They fart?\So they're farting shoes?\Ugh! They don't fart!\Ow! Don't hit me! Ow! response:	Hey, you guys did have something to do, right?
context: My shoes are just making that noise for some reason!\Yeah. They're your best dress shoes.\They're your best, yet they make pig sounds?\They fart?\So they're farting shoes?\Ugh! They don't fart!\Ow! Don't hit me! Ow!\Hey, you guys did have something to do, right? response:	Oh...
context: Yeah. They're your best dress shoes.\They're your best, yet they make pig sounds?\They fart?\So they're farting shoes?\Ugh! They don't fart!\Ow! Don't hit me! Ow!\Hey, you guys did have something to do, right?\Oh... response:	See? We got yelled at.
context: They're your best, yet they make pig sounds?\They fart?\So they're farting shoes?\Ugh! They don't fart!\Ow! Don't hit me! Ow!\Hey, you guys did have something to do, right?\Oh...\See? We got yelled at. response:	That's because you...
context: They fart?\So they're farting shoes?\Ugh! They don't fart!\Ow! Don't hit me! Ow!\Hey, you guys did have something to do, right?\Oh...\See? We got yelled at.\That's because you... response:	Yeah, whatever.
context: So they're farting shoes?\Ugh! They don't fart!\Ow! Don't hit me! Ow!\Hey, you guys did have something to do, right?\Oh...\See? We got yelled at.\That's because you...\Yeah, whatever. response:	We're going to leave you behind.
context: Ugh! They don't fart!\Ow! Don't hit me! Ow!\Hey, you guys did have something to do, right?\Oh...\See? We got yelled at.\That's because you...\Yeah, whatever.\We're going to leave you behind. response:	Could you take off your shoes and step up?
context: Ow! Don't hit me! Ow!\Hey, you guys did have something to do, right?\Oh...\See? We got yelled at.\That's because you...\Yeah, whatever.\We're going to leave you behind.\Could you take off your shoes and step up? response:	I need to take your measurements.
context: Hey, you guys did have something to do, right?\Oh...\See? We got yelled at.\That's because you...\Yeah, whatever.\We're going to leave you behind.\Could you take off your shoes and step up?\I need to take your measurements. response:	Okay.
context: Oh...\See? We got yelled at.\That's because you...\Yeah, whatever.\We're going to leave you behind.\Could you take off your shoes and step up?\I need to take your measurements.\Okay. response:	It's been a while since I've made a uniform for a person from the sea.
context: See? We got yelled at.\That's because you...\Yeah, whatever.\We're going to leave you behind.\Could you take off your shoes and step up?\I need to take your measurements.\Okay.\It's been a while since I've made a uniform for a person from the sea. response:	Hopefully they'll be coming and going again soon.
context: That's because you...\Yeah, whatever.\We're going to leave you behind.\Could you take off your shoes and step up?\I need to take your measurements.\Okay.\It's been a while since I've made a uniform for a person from the sea.\Hopefully they'll be coming and going again soon. response:	Yeah...
context: Yeah, whatever.\We're going to leave you behind.\Could you take off your shoes and step up?\I need to take your measurements.\Okay.\It's been a while since I've made a uniform for a person from the sea.\Hopefully they'll be coming and going again soon.\Yeah... response:	I'll go get the material.
context: We're going to leave you behind.\Could you take off your shoes and step up?\I need to take your measurements.\Okay.\It's been a while since I've made a uniform for a person from the sea.\Hopefully they'll be coming and going again soon.\Yeah...\I'll go get the material. response:	What am I even doing here?
context: Could you take off your shoes and step up?\I need to take your measurements.\Okay.\It's been a while since I've made a uniform for a person from the sea.\Hopefully they'll be coming and going again soon.\Yeah...\I'll go get the material.\What am I even doing here? response:	Compared to before,
context: I need to take your measurements.\Okay.\It's been a while since I've made a uniform for a person from the sea.\Hopefully they'll be coming and going again soon.\Yeah...\I'll go get the material.\What am I even doing here?\Compared to before, response:	apparently students that go to the school on the surface have decreased as well.
context: Okay.\It's been a while since I've made a uniform for a person from the sea.\Hopefully they'll be coming and going again soon.\Yeah...\I'll go get the material.\What am I even doing here?\Compared to before,\apparently students that go to the school on the surface have decreased as well. response:	Um, not Hama Junior High's...
context: It's been a while since I've made a uniform for a person from the sea.\Hopefully they'll be coming and going again soon.\Yeah...\I'll go get the material.\What am I even doing here?\Compared to before,\apparently students that go to the school on the surface have decreased as well.\Um, not Hama Junior High's... response:	Why are you wearing Hama Junior High's unis?!
context: Hopefully they'll be coming and going again soon.\Yeah...\I'll go get the material.\What am I even doing here?\Compared to before,\apparently students that go to the school on the surface have decreased as well.\Um, not Hama Junior High's...\Why are you wearing Hama Junior High's unis?! response:	Not Hama Junior High's?
context: Yeah...\I'll go get the material.\What am I even doing here?\Compared to before,\apparently students that go to the school on the surface have decreased as well.\Um, not Hama Junior High's...\Why are you wearing Hama Junior High's unis?!\Not Hama Junior High's? response:	Oh... no.
context: I'll go get the material.\What am I even doing here?\Compared to before,\apparently students that go to the school on the surface have decreased as well.\Um, not Hama Junior High's...\Why are you wearing Hama Junior High's unis?!\Not Hama Junior High's?\Oh... no. response:	Hama Junior High's is fine.
context: What am I even doing here?\Compared to before,\apparently students that go to the school on the surface have decreased as well.\Um, not Hama Junior High's...\Why are you wearing Hama Junior High's unis?!\Not Hama Junior High's?\Oh... no.\Hama Junior High's is fine. response:	No! Make it Nami Junior High's!
context: Compared to before,\apparently students that go to the school on the surface have decreased as well.\Um, not Hama Junior High's...\Why are you wearing Hama Junior High's unis?!\Not Hama Junior High's?\Oh... no.\Hama Junior High's is fine.\No! Make it Nami Junior High's! response:	Please make it Nami Junior High's uniform!
context: apparently students that go to the school on the surface have decreased as well.\Um, not Hama Junior High's...\Why are you wearing Hama Junior High's unis?!\Not Hama Junior High's?\Oh... no.\Hama Junior High's is fine.\No! Make it Nami Junior High's!\Please make it Nami Junior High's uniform! response:	What?
context: Um, not Hama Junior High's...\Why are you wearing Hama Junior High's unis?!\Not Hama Junior High's?\Oh... no.\Hama Junior High's is fine.\No! Make it Nami Junior High's!\Please make it Nami Junior High's uniform!\What? response:	Nami Junior High?
context: Why are you wearing Hama Junior High's unis?!\Not Hama Junior High's?\Oh... no.\Hama Junior High's is fine.\No! Make it Nami Junior High's!\Please make it Nami Junior High's uniform!\What?\Nami Junior High? response:	I thought Nami Junior High closed...
context: Not Hama Junior High's?\Oh... no.\Hama Junior High's is fine.\No! Make it Nami Junior High's!\Please make it Nami Junior High's uniform!\What?\Nami Junior High?\I thought Nami Junior High closed... response:	But he's from Nami Junior High!
context: Oh... no.\Hama Junior High's is fine.\No! Make it Nami Junior High's!\Please make it Nami Junior High's uniform!\What?\Nami Junior High?\I thought Nami Junior High closed...\But he's from Nami Junior High! response:	Ah, wait one moment.
context: Hama Junior High's is fine.\No! Make it Nami Junior High's!\Please make it Nami Junior High's uniform!\What?\Nami Junior High?\I thought Nami Junior High closed...\But he's from Nami Junior High!\Ah, wait one moment. response:	Why did you...
context: No! Make it Nami Junior High's!\Please make it Nami Junior High's uniform!\What?\Nami Junior High?\I thought Nami Junior High closed...\But he's from Nami Junior High!\Ah, wait one moment.\Why did you... response:	Nami Junior High is fine!
context: Please make it Nami Junior High's uniform!\What?\Nami Junior High?\I thought Nami Junior High closed...\But he's from Nami Junior High!\Ah, wait one moment.\Why did you...\Nami Junior High is fine! response:	I'll be waiting outside.
context: What?\Nami Junior High?\I thought Nami Junior High closed...\But he's from Nami Junior High!\Ah, wait one moment.\Why did you...\Nami Junior High is fine!\I'll be waiting outside. response:	Didn't the tailor seem troubled?
context: Nami Junior High?\I thought Nami Junior High closed...\But he's from Nami Junior High!\Ah, wait one moment.\Why did you...\Nami Junior High is fine!\I'll be waiting outside.\Didn't the tailor seem troubled? response:	He said he hadn't made a uniform
context: I thought Nami Junior High closed...\But he's from Nami Junior High!\Ah, wait one moment.\Why did you...\Nami Junior High is fine!\I'll be waiting outside.\Didn't the tailor seem troubled?\He said he hadn't made a uniform response:	for a person from the sea for a long time, didn't he?
context: But he's from Nami Junior High!\Ah, wait one moment.\Why did you...\Nami Junior High is fine!\I'll be waiting outside.\Didn't the tailor seem troubled?\He said he hadn't made a uniform\for a person from the sea for a long time, didn't he? response:	But...
context: Ah, wait one moment.\Why did you...\Nami Junior High is fine!\I'll be waiting outside.\Didn't the tailor seem troubled?\He said he hadn't made a uniform\for a person from the sea for a long time, didn't he?\But... response:	Anyway...
context: Why did you...\Nami Junior High is fine!\I'll be waiting outside.\Didn't the tailor seem troubled?\He said he hadn't made a uniform\for a person from the sea for a long time, didn't he?\But...\Anyway... response:	Sorry for inviting you so suddenly.
context: Nami Junior High is fine!\I'll be waiting outside.\Didn't the tailor seem troubled?\He said he hadn't made a uniform\for a person from the sea for a long time, didn't he?\But...\Anyway...\Sorry for inviting you so suddenly. response:	Whatever.
context: I'll be waiting outside.\Didn't the tailor seem troubled?\He said he hadn't made a uniform\for a person from the sea for a long time, didn't he?\But...\Anyway...\Sorry for inviting you so suddenly.\Whatever. response:	Hey, did you know?
context: Didn't the tailor seem troubled?\He said he hadn't made a uniform\for a person from the sea for a long time, didn't he?\But...\Anyway...\Sorry for inviting you so suddenly.\Whatever.\Hey, did you know? response:	What?
context: He said he hadn't made a uniform\for a person from the sea for a long time, didn't he?\But...\Anyway...\Sorry for inviting you so suddenly.\Whatever.\Hey, did you know?\What? response:	Nah, I better not say it.
context: for a person from the sea for a long time, didn't he?\But...\Anyway...\Sorry for inviting you so suddenly.\Whatever.\Hey, did you know?\What?\Nah, I better not say it. response:	What?
context: But...\Anyway...\Sorry for inviting you so suddenly.\Whatever.\Hey, did you know?\What?\Nah, I better not say it.\What? response:	Aw, but you're scary.
context: Anyway...\Sorry for inviting you so suddenly.\Whatever.\Hey, did you know?\What?\Nah, I better not say it.\What?\Aw, but you're scary. response:	I am not!
context: Sorry for inviting you so suddenly.\Whatever.\Hey, did you know?\What?\Nah, I better not say it.\What?\Aw, but you're scary.\I am not! response:	Well then,
context: Whatever.\Hey, did you know?\What?\Nah, I better not say it.\What?\Aw, but you're scary.\I am not!\Well then, response:	apparently uncles and nieces can't get married.
context: Hey, did you know?\What?\Nah, I better not say it.\What?\Aw, but you're scary.\I am not!\Well then,\apparently uncles and nieces can't get married. response:	Because they're close relatives.
context: What?\Nah, I better not say it.\What?\Aw, but you're scary.\I am not!\Well then,\apparently uncles and nieces can't get married.\Because they're close relatives. response:	I know that! But...
context: Nah, I better not say it.\What?\Aw, but you're scary.\I am not!\Well then,\apparently uncles and nieces can't get married.\Because they're close relatives.\I know that! But... response:	But it doesn't matter since he's your step-uncle.
context: What?\Aw, but you're scary.\I am not!\Well then,\apparently uncles and nieces can't get married.\Because they're close relatives.\I know that! But...\But it doesn't matter since he's your step-uncle. response:	Sorry, I shouldn't have butted in.
context: Aw, but you're scary.\I am not!\Well then,\apparently uncles and nieces can't get married.\Because they're close relatives.\I know that! But...\But it doesn't matter since he's your step-uncle.\Sorry, I shouldn't have butted in. response:	No, it's fine.
context: I am not!\Well then,\apparently uncles and nieces can't get married.\Because they're close relatives.\I know that! But...\But it doesn't matter since he's your step-uncle.\Sorry, I shouldn't have butted in.\No, it's fine. response:	Forget about it.
context: Well then,\apparently uncles and nieces can't get married.\Because they're close relatives.\I know that! But...\But it doesn't matter since he's your step-uncle.\Sorry, I shouldn't have butted in.\No, it's fine.\Forget about it. response:	Why?
context: apparently uncles and nieces can't get married.\Because they're close relatives.\I know that! But...\But it doesn't matter since he's your step-uncle.\Sorry, I shouldn't have butted in.\No, it's fine.\Forget about it.\Why? response:	Why what?
context: Because they're close relatives.\I know that! But...\But it doesn't matter since he's your step-uncle.\Sorry, I shouldn't have butted in.\No, it's fine.\Forget about it.\Why?\Why what? response:	You were happy for me.
context: I know that! But...\But it doesn't matter since he's your step-uncle.\Sorry, I shouldn't have butted in.\No, it's fine.\Forget about it.\Why?\Why what?\You were happy for me. response:	You said you were happy for me, Sayu.
context: But it doesn't matter since he's your step-uncle.\Sorry, I shouldn't have butted in.\No, it's fine.\Forget about it.\Why?\Why what?\You were happy for me.\You said you were happy for me, Sayu. response:	But then why?!
context: Sorry, I shouldn't have butted in.\No, it's fine.\Forget about it.\Why?\Why what?\You were happy for me.\You said you were happy for me, Sayu.\But then why?! response:	This has nothing to do with that.
context: No, it's fine.\Forget about it.\Why?\Why what?\You were happy for me.\You said you were happy for me, Sayu.\But then why?!\This has nothing to do with that. response:	Yes, it does!
context: Forget about it.\Why?\Why what?\You were happy for me.\You said you were happy for me, Sayu.\But then why?!\This has nothing to do with that.\Yes, it does! response:	You're being mean, Sayu.
context: Why?\Why what?\You were happy for me.\You said you were happy for me, Sayu.\But then why?!\This has nothing to do with that.\Yes, it does!\You're being mean, Sayu. response:	You're the one that's being mean, Miuna!
context: Why what?\You were happy for me.\You said you were happy for me, Sayu.\But then why?!\This has nothing to do with that.\Yes, it does!\You're being mean, Sayu.\You're the one that's being mean, Miuna! response:	What?
context: You were happy for me.\You said you were happy for me, Sayu.\But then why?!\This has nothing to do with that.\Yes, it does!\You're being mean, Sayu.\You're the one that's being mean, Miuna!\What? response:	Why did you call me to go shopping with you guys?!
context: You said you were happy for me, Sayu.\But then why?!\This has nothing to do with that.\Yes, it does!\You're being mean, Sayu.\You're the one that's being mean, Miuna!\What?\Why did you call me to go shopping with you guys?! response:	You guys should have just gone by yourselves!
context: But then why?!\This has nothing to do with that.\Yes, it does!\You're being mean, Sayu.\You're the one that's being mean, Miuna!\What?\Why did you call me to go shopping with you guys?!\You guys should have just gone by yourselves! response:	Did you really want to flaunt your flirting with each other?
context: This has nothing to do with that.\Yes, it does!\You're being mean, Sayu.\You're the one that's being mean, Miuna!\What?\Why did you call me to go shopping with you guys?!\You guys should have just gone by yourselves!\Did you really want to flaunt your flirting with each other? response:	Flirt... We're not!
