context: Huh? response:	Something's shining!
context: You say something too, Romeo!\Door, please open!\So we just had to be polite?\Huh? That's the mark of Zentopia.\I'll tell you,\these ruins are called the Sacred Graveyard.\It's written about in Zentopia history books and various other documents,\but its existence has never been proven. response:	Then...
context: Door, please open!\So we just had to be polite?\Huh? That's the mark of Zentopia.\I'll tell you,\these ruins are called the Sacred Graveyard.\It's written about in Zentopia history books and various other documents,\but its existence has never been proven.\Then... response:	We're the first ones here!
context: So we just had to be polite?\Huh? That's the mark of Zentopia.\I'll tell you,\these ruins are called the Sacred Graveyard.\It's written about in Zentopia history books and various other documents,\but its existence has never been proven.\Then...\We're the first ones here! response:	I see... This is what those old men were going on about...
context: Huh? That's the mark of Zentopia.\I'll tell you,\these ruins are called the Sacred Graveyard.\It's written about in Zentopia history books and various other documents,\but its existence has never been proven.\Then...\We're the first ones here!\I see... This is what those old men were going on about... response:	It would be unbearable for them if this place were destroyed.
context: I'll tell you,\these ruins are called the Sacred Graveyard.\It's written about in Zentopia history books and various other documents,\but its existence has never been proven.\Then...\We're the first ones here!\I see... This is what those old men were going on about...\It would be unbearable for them if this place were destroyed. response:	Like by Natsu...
context: these ruins are called the Sacred Graveyard.\It's written about in Zentopia history books and various other documents,\but its existence has never been proven.\Then...\We're the first ones here!\I see... This is what those old men were going on about...\It would be unbearable for them if this place were destroyed.\Like by Natsu... response:	Oh, shut up!
context: It's written about in Zentopia history books and various other documents,\but its existence has never been proven.\Then...\We're the first ones here!\I see... This is what those old men were going on about...\It would be unbearable for them if this place were destroyed.\Like by Natsu...\Oh, shut up! response:	The door...
context: but its existence has never been proven.\Then...\We're the first ones here!\I see... This is what those old men were going on about...\It would be unbearable for them if this place were destroyed.\Like by Natsu...\Oh, shut up!\The door... response:	We're trapped in here?!
context: Then...\We're the first ones here!\I see... This is what those old men were going on about...\It would be unbearable for them if this place were destroyed.\Like by Natsu...\Oh, shut up!\The door...\We're trapped in here?! response:	Don't panic.
context: We're the first ones here!\I see... This is what those old men were going on about...\It would be unbearable for them if this place were destroyed.\Like by Natsu...\Oh, shut up!\The door...\We're trapped in here?!\Don't panic. response:	If this were an adventure novel, at a time like this... we'd do this.
context: I see... This is what those old men were going on about...\It would be unbearable for them if this place were destroyed.\Like by Natsu...\Oh, shut up!\The door...\We're trapped in here?!\Don't panic.\If this were an adventure novel, at a time like this... we'd do this. response:	And then what would happen?
context: It would be unbearable for them if this place were destroyed.\Like by Natsu...\Oh, shut up!\The door...\We're trapped in here?!\Don't panic.\If this were an adventure novel, at a time like this... we'd do this.\And then what would happen? response:	A hidden door would open!
context: Like by Natsu...\Oh, shut up!\The door...\We're trapped in here?!\Don't panic.\If this were an adventure novel, at a time like this... we'd do this.\And then what would happen?\A hidden door would open! response:	Hey!
context: Oh, shut up!\The door...\We're trapped in here?!\Don't panic.\If this were an adventure novel, at a time like this... we'd do this.\And then what would happen?\A hidden door would open!\Hey! response:	What are those things?!
context: The door...\We're trapped in here?!\Don't panic.\If this were an adventure novel, at a time like this... we'd do this.\And then what would happen?\A hidden door would open!\Hey!\What are those things?! response:	G-Grotesque...
context: We're trapped in here?!\Don't panic.\If this were an adventure novel, at a time like this... we'd do this.\And then what would happen?\A hidden door would open!\Hey!\What are those things?!\G-Grotesque... response:	Huh?
context: Don't panic.\If this were an adventure novel, at a time like this... we'd do this.\And then what would happen?\A hidden door would open!\Hey!\What are those things?!\G-Grotesque...\Huh? response:	Handsome couples?
context: If this were an adventure novel, at a time like this... we'd do this.\And then what would happen?\A hidden door would open!\Hey!\What are those things?!\G-Grotesque...\Huh?\Handsome couples? response:	Handsome how?!
context: And then what would happen?\A hidden door would open!\Hey!\What are those things?!\G-Grotesque...\Huh?\Handsome couples?\Handsome how?! response:	This is totally a trap!
context: A hidden door would open!\Hey!\What are those things?!\G-Grotesque...\Huh?\Handsome couples?\Handsome how?!\This is totally a trap! response:	We're gonna get squished!
context: Hey!\What are those things?!\G-Grotesque...\Huh?\Handsome couples?\Handsome how?!\This is totally a trap!\We're gonna get squished! response:	Bastards!
context: What are those things?!\G-Grotesque...\Huh?\Handsome couples?\Handsome how?!\This is totally a trap!\We're gonna get squished!\Bastards! response:	Don't!
context: G-Grotesque...\Huh?\Handsome couples?\Handsome how?!\This is totally a trap!\We're gonna get squished!\Bastards!\Don't! response:	Hot! Hot! Hot! Hot!
context: Huh?\Handsome couples?\Handsome how?!\This is totally a trap!\We're gonna get squished!\Bastards!\Don't!\Hot! Hot! Hot! Hot! response:	What are you doing?!
context: Handsome couples?\Handsome how?!\This is totally a trap!\We're gonna get squished!\Bastards!\Don't!\Hot! Hot! Hot! Hot!\What are you doing?! response:	It just seemed like the thing to do!
context: Handsome how?!\This is totally a trap!\We're gonna get squished!\Bastards!\Don't!\Hot! Hot! Hot! Hot!\What are you doing?!\It just seemed like the thing to do! response:	I've got it! If I move this back like it was...
context: This is totally a trap!\We're gonna get squished!\Bastards!\Don't!\Hot! Hot! Hot! Hot!\What are you doing?!\It just seemed like the thing to do!\I've got it! If I move this back like it was... response:	Wait a second!
context: We're gonna get squished!\Bastards!\Don't!\Hot! Hot! Hot! Hot!\What are you doing?!\It just seemed like the thing to do!\I've got it! If I move this back like it was...\Wait a second! response:	Th-That was close...
context: Bastards!\Don't!\Hot! Hot! Hot! Hot!\What are you doing?!\It just seemed like the thing to do!\I've got it! If I move this back like it was...\Wait a second!\Th-That was close... response:	How are we going to get out of here?!
context: Don't!\Hot! Hot! Hot! Hot!\What are you doing?!\It just seemed like the thing to do!\I've got it! If I move this back like it was...\Wait a second!\Th-That was close...\How are we going to get out of here?! response:	By turning this the opposite way! Maybe...
context: Hot! Hot! Hot! Hot!\What are you doing?!\It just seemed like the thing to do!\I've got it! If I move this back like it was...\Wait a second!\Th-That was close...\How are we going to get out of here?!\By turning this the opposite way! Maybe... response:	That's what it's for?
context: What are you doing?!\It just seemed like the thing to do!\I've got it! If I move this back like it was...\Wait a second!\Th-That was close...\How are we going to get out of here?!\By turning this the opposite way! Maybe...\That's what it's for? response:	Hey!
context: It just seemed like the thing to do!\I've got it! If I move this back like it was...\Wait a second!\Th-That was close...\How are we going to get out of here?!\By turning this the opposite way! Maybe...\That's what it's for?\Hey! response:	This time from above?!
context: I've got it! If I move this back like it was...\Wait a second!\Th-That was close...\How are we going to get out of here?!\By turning this the opposite way! Maybe...\That's what it's for?\Hey!\This time from above?! response:	Huh?!
context: Wait a second!\Th-That was close...\How are we going to get out of here?!\By turning this the opposite way! Maybe...\That's what it's for?\Hey!\This time from above?!\Huh?! response:	We got no other choice! Once more into the nostrils!
context: Th-That was close...\How are we going to get out of here?!\By turning this the opposite way! Maybe...\That's what it's for?\Hey!\This time from above?!\Huh?!\We got no other choice! Once more into the nostrils! response:	Look! This time, the nostrils are blocked off!
context: How are we going to get out of here?!\By turning this the opposite way! Maybe...\That's what it's for?\Hey!\This time from above?!\Huh?!\We got no other choice! Once more into the nostrils!\Look! This time, the nostrils are blocked off! response:	Any ideas?! Hey!
context: By turning this the opposite way! Maybe...\That's what it's for?\Hey!\This time from above?!\Huh?!\We got no other choice! Once more into the nostrils!\Look! This time, the nostrils are blocked off!\Any ideas?! Hey! response:	Talk about escaping from reality!
context: That's what it's for?\Hey!\This time from above?!\Huh?!\We got no other choice! Once more into the nostrils!\Look! This time, the nostrils are blocked off!\Any ideas?! Hey!\Talk about escaping from reality! response:	Punishment, is it?
context: Hey!\This time from above?!\Huh?!\We got no other choice! Once more into the nostrils!\Look! This time, the nostrils are blocked off!\Any ideas?! Hey!\Talk about escaping from reality!\Punishment, is it? response:	Virgo!
context: This time from above?!\Huh?!\We got no other choice! Once more into the nostrils!\Look! This time, the nostrils are blocked off!\Any ideas?! Hey!\Talk about escaping from reality!\Punishment, is it?\Virgo! response:	Why are you in a swimsuit?!
context: Huh?!\We got no other choice! Once more into the nostrils!\Look! This time, the nostrils are blocked off!\Any ideas?! Hey!\Talk about escaping from reality!\Punishment, is it?\Virgo!\Why are you in a swimsuit?! response:	Are you able to summon two at the same time now?!
context: We got no other choice! Once more into the nostrils!\Look! This time, the nostrils are blocked off!\Any ideas?! Hey!\Talk about escaping from reality!\Punishment, is it?\Virgo!\Why are you in a swimsuit?!\Are you able to summon two at the same time now?! response:	I didn't summon her, she says.
context: Look! This time, the nostrils are blocked off!\Any ideas?! Hey!\Talk about escaping from reality!\Punishment, is it?\Virgo!\Why are you in a swimsuit?!\Are you able to summon two at the same time now?!\I didn't summon her, she says. response:	But the princess is almost out of magic.
context: Any ideas?! Hey!\Talk about escaping from reality!\Punishment, is it?\Virgo!\Why are you in a swimsuit?!\Are you able to summon two at the same time now?!\I didn't summon her, she says.\But the princess is almost out of magic. response:	So... why the swimsuit?
context: Talk about escaping from reality!\Punishment, is it?\Virgo!\Why are you in a swimsuit?!\Are you able to summon two at the same time now?!\I didn't summon her, she says.\But the princess is almost out of magic.\So... why the swimsuit? response:	Do you dislike young women in swimsuits?
context: Punishment, is it?\Virgo!\Why are you in a swimsuit?!\Are you able to summon two at the same time now?!\I didn't summon her, she says.\But the princess is almost out of magic.\So... why the swimsuit?\Do you dislike young women in swimsuits? response:	Who cares?! Make a hole in the floor, she says.
context: Virgo!\Why are you in a swimsuit?!\Are you able to summon two at the same time now?!\I didn't summon her, she says.\But the princess is almost out of magic.\So... why the swimsuit?\Do you dislike young women in swimsuits?\Who cares?! Make a hole in the floor, she says. response:	Certainly!
context: Why are you in a swimsuit?!\Are you able to summon two at the same time now?!\I didn't summon her, she says.\But the princess is almost out of magic.\So... why the swimsuit?\Do you dislike young women in swimsuits?\Who cares?! Make a hole in the floor, she says.\Certainly! response:	It's the same thing over and over! she says.
context: Are you able to summon two at the same time now?!\I didn't summon her, she says.\But the princess is almost out of magic.\So... why the swimsuit?\Do you dislike young women in swimsuits?\Who cares?! Make a hole in the floor, she says.\Certainly!\It's the same thing over and over! she says. response:	Gray-sama...
context: I didn't summon her, she says.\But the princess is almost out of magic.\So... why the swimsuit?\Do you dislike young women in swimsuits?\Who cares?! Make a hole in the floor, she says.\Certainly!\It's the same thing over and over! she says.\Gray-sama... response:	Jeez... Wait'll you see where we got blown away to...
context: But the princess is almost out of magic.\So... why the swimsuit?\Do you dislike young women in swimsuits?\Who cares?! Make a hole in the floor, she says.\Certainly!\It's the same thing over and over! she says.\Gray-sama...\Jeez... Wait'll you see where we got blown away to... response:	It seems we've been teleported here.
context: So... why the swimsuit?\Do you dislike young women in swimsuits?\Who cares?! Make a hole in the floor, she says.\Certainly!\It's the same thing over and over! she says.\Gray-sama...\Jeez... Wait'll you see where we got blown away to...\It seems we've been teleported here. response:	Are we meant to grow through that gate with all the arrow rocks?
context: Do you dislike young women in swimsuits?\Who cares?! Make a hole in the floor, she says.\Certainly!\It's the same thing over and over! she says.\Gray-sama...\Jeez... Wait'll you see where we got blown away to...\It seems we've been teleported here.\Are we meant to grow through that gate with all the arrow rocks? response:	Then the clock parts or whatever are at the end of it?
context: Who cares?! Make a hole in the floor, she says.\Certainly!\It's the same thing over and over! she says.\Gray-sama...\Jeez... Wait'll you see where we got blown away to...\It seems we've been teleported here.\Are we meant to grow through that gate with all the arrow rocks?\Then the clock parts or whatever are at the end of it? response:	We can make a path with these rocks, right?
context: Certainly!\It's the same thing over and over! she says.\Gray-sama...\Jeez... Wait'll you see where we got blown away to...\It seems we've been teleported here.\Are we meant to grow through that gate with all the arrow rocks?\Then the clock parts or whatever are at the end of it?\We can make a path with these rocks, right? response:	Probably...
context: It's the same thing over and over! she says.\Gray-sama...\Jeez... Wait'll you see where we got blown away to...\It seems we've been teleported here.\Are we meant to grow through that gate with all the arrow rocks?\Then the clock parts or whatever are at the end of it?\We can make a path with these rocks, right?\Probably... response:	But who thought up this roundabout crap?
context: Gray-sama...\Jeez... Wait'll you see where we got blown away to...\It seems we've been teleported here.\Are we meant to grow through that gate with all the arrow rocks?\Then the clock parts or whatever are at the end of it?\We can make a path with these rocks, right?\Probably...\But who thought up this roundabout crap? response:	Spicy!
context: Jeez... Wait'll you see where we got blown away to...\It seems we've been teleported here.\Are we meant to grow through that gate with all the arrow rocks?\Then the clock parts or whatever are at the end of it?\We can make a path with these rocks, right?\Probably...\But who thought up this roundabout crap?\Spicy! response:	Sugar Boy!
context: It seems we've been teleported here.\Are we meant to grow through that gate with all the arrow rocks?\Then the clock parts or whatever are at the end of it?\We can make a path with these rocks, right?\Probably...\But who thought up this roundabout crap?\Spicy!\Sugar Boy! response:	Yes, I am!
context: Are we meant to grow through that gate with all the arrow rocks?\Then the clock parts or whatever are at the end of it?\We can make a path with these rocks, right?\Probably...\But who thought up this roundabout crap?\Spicy!\Sugar Boy!\Yes, I am! response:	Thanks to Samuel, I figured out the entrance to the church right away,
context: Then the clock parts or whatever are at the end of it?\We can make a path with these rocks, right?\Probably...\But who thought up this roundabout crap?\Spicy!\Sugar Boy!\Yes, I am!\Thanks to Samuel, I figured out the entrance to the church right away, response:	but I didn't know how to get to this dimension...
context: We can make a path with these rocks, right?\Probably...\But who thought up this roundabout crap?\Spicy!\Sugar Boy!\Yes, I am!\Thanks to Samuel, I figured out the entrance to the church right away,\but I didn't know how to get to this dimension... response:	I'm here thanks to you second-rate wizards!
context: Probably...\But who thought up this roundabout crap?\Spicy!\Sugar Boy!\Yes, I am!\Thanks to Samuel, I figured out the entrance to the church right away,\but I didn't know how to get to this dimension...\I'm here thanks to you second-rate wizards! response:	He's the enemy, huh?
context: But who thought up this roundabout crap?\Spicy!\Sugar Boy!\Yes, I am!\Thanks to Samuel, I figured out the entrance to the church right away,\but I didn't know how to get to this dimension...\I'm here thanks to you second-rate wizards!\He's the enemy, huh? response:	Bastard... You followed us?!
context: Spicy!\Sugar Boy!\Yes, I am!\Thanks to Samuel, I figured out the entrance to the church right away,\but I didn't know how to get to this dimension...\I'm here thanks to you second-rate wizards!\He's the enemy, huh?\Bastard... You followed us?! response:	Once I get in there, I'll have no more use for you.
context: Sugar Boy!\Yes, I am!\Thanks to Samuel, I figured out the entrance to the church right away,\but I didn't know how to get to this dimension...\I'm here thanks to you second-rate wizards!\He's the enemy, huh?\Bastard... You followed us?!\Once I get in there, I'll have no more use for you. response:	See, this is Zentopia territory, so I can guess where to find the part.
context: Yes, I am!\Thanks to Samuel, I figured out the entrance to the church right away,\but I didn't know how to get to this dimension...\I'm here thanks to you second-rate wizards!\He's the enemy, huh?\Bastard... You followed us?!\Once I get in there, I'll have no more use for you.\See, this is Zentopia territory, so I can guess where to find the part. response:	We're not letting you in there!
context: Thanks to Samuel, I figured out the entrance to the church right away,\but I didn't know how to get to this dimension...\I'm here thanks to you second-rate wizards!\He's the enemy, huh?\Bastard... You followed us?!\Once I get in there, I'll have no more use for you.\See, this is Zentopia territory, so I can guess where to find the part.\We're not letting you in there! response:	Spicy!
context: but I didn't know how to get to this dimension...\I'm here thanks to you second-rate wizards!\He's the enemy, huh?\Bastard... You followed us?!\Once I get in there, I'll have no more use for you.\See, this is Zentopia territory, so I can guess where to find the part.\We're not letting you in there!\Spicy! response:	Suck your thumbs and observe!
context: I'm here thanks to you second-rate wizards!\He's the enemy, huh?\Bastard... You followed us?!\Once I get in there, I'll have no more use for you.\See, this is Zentopia territory, so I can guess where to find the part.\We're not letting you in there!\Spicy!\Suck your thumbs and observe! response:	Hey! Sit down, boys and girls!
context: He's the enemy, huh?\Bastard... You followed us?!\Once I get in there, I'll have no more use for you.\See, this is Zentopia territory, so I can guess where to find the part.\We're not letting you in there!\Spicy!\Suck your thumbs and observe!\Hey! Sit down, boys and girls! response:	Shit!
context: Bastard... You followed us?!\Once I get in there, I'll have no more use for you.\See, this is Zentopia territory, so I can guess where to find the part.\We're not letting you in there!\Spicy!\Suck your thumbs and observe!\Hey! Sit down, boys and girls!\Shit! response:	What the hell are you?!
context: Once I get in there, I'll have no more use for you.\See, this is Zentopia territory, so I can guess where to find the part.\We're not letting you in there!\Spicy!\Suck your thumbs and observe!\Hey! Sit down, boys and girls!\Shit!\What the hell are you?! response:	This feels gross!
context: See, this is Zentopia territory, so I can guess where to find the part.\We're not letting you in there!\Spicy!\Suck your thumbs and observe!\Hey! Sit down, boys and girls!\Shit!\What the hell are you?!\This feels gross! response:	You two got caught?!
context: We're not letting you in there!\Spicy!\Suck your thumbs and observe!\Hey! Sit down, boys and girls!\Shit!\What the hell are you?!\This feels gross!\You two got caught?! response:	This is that asshole's magic!
context: Spicy!\Suck your thumbs and observe!\Hey! Sit down, boys and girls!\Shit!\What the hell are you?!\This feels gross!\You two got caught?!\This is that asshole's magic! response:	That's right! I do Dog Whistle magic.
context: Suck your thumbs and observe!\Hey! Sit down, boys and girls!\Shit!\What the hell are you?!\This feels gross!\You two got caught?!\This is that asshole's magic!\That's right! I do Dog Whistle magic. response:	I can make these pretty hound dogs do whatever I want.
context: Hey! Sit down, boys and girls!\Shit!\What the hell are you?!\This feels gross!\You two got caught?!\This is that asshole's magic!\That's right! I do Dog Whistle magic.\I can make these pretty hound dogs do whatever I want. response:	Dogs?!
context: Shit!\What the hell are you?!\This feels gross!\You two got caught?!\This is that asshole's magic!\That's right! I do Dog Whistle magic.\I can make these pretty hound dogs do whatever I want.\Dogs?! response:	All-righty! Time to say bye-bye.
context: What the hell are you?!\This feels gross!\You two got caught?!\This is that asshole's magic!\That's right! I do Dog Whistle magic.\I can make these pretty hound dogs do whatever I want.\Dogs?!\All-righty! Time to say bye-bye. response:	Hold on! I'll freeze and shatter that junk!
context: This feels gross!\You two got caught?!\This is that asshole's magic!\That's right! I do Dog Whistle magic.\I can make these pretty hound dogs do whatever I want.\Dogs?!\All-righty! Time to say bye-bye.\Hold on! I'll freeze and shatter that junk! response:	Forget about us!
context: You two got caught?!\This is that asshole's magic!\That's right! I do Dog Whistle magic.\I can make these pretty hound dogs do whatever I want.\Dogs?!\All-righty! Time to say bye-bye.\Hold on! I'll freeze and shatter that junk!\Forget about us! response:	Please go after him, Gray-sama!
context: This is that asshole's magic!\That's right! I do Dog Whistle magic.\I can make these pretty hound dogs do whatever I want.\Dogs?!\All-righty! Time to say bye-bye.\Hold on! I'll freeze and shatter that junk!\Forget about us!\Please go after him, Gray-sama! response:	Alright...
context: That's right! I do Dog Whistle magic.\I can make these pretty hound dogs do whatever I want.\Dogs?!\All-righty! Time to say bye-bye.\Hold on! I'll freeze and shatter that junk!\Forget about us!\Please go after him, Gray-sama!\Alright... response:	If left alone, that gooey stuff saps your magic and your strength, so be careful!
context: I can make these pretty hound dogs do whatever I want.\Dogs?!\All-righty! Time to say bye-bye.\Hold on! I'll freeze and shatter that junk!\Forget about us!\Please go after him, Gray-sama!\Alright...\If left alone, that gooey stuff saps your magic and your strength, so be careful! response:	Who are you talking to? We're both Ul's pupils. This is nothing.
context: Dogs?!\All-righty! Time to say bye-bye.\Hold on! I'll freeze and shatter that junk!\Forget about us!\Please go after him, Gray-sama!\Alright...\If left alone, that gooey stuff saps your magic and your strength, so be careful!\Who are you talking to? We're both Ul's pupils. This is nothing. response:	I figured...
context: All-righty! Time to say bye-bye.\Hold on! I'll freeze and shatter that junk!\Forget about us!\Please go after him, Gray-sama!\Alright...\If left alone, that gooey stuff saps your magic and your strength, so be careful!\Who are you talking to? We're both Ul's pupils. This is nothing.\I figured... response:	I wonder if you'll follow me...
context: Hold on! I'll freeze and shatter that junk!\Forget about us!\Please go after him, Gray-sama!\Alright...\If left alone, that gooey stuff saps your magic and your strength, so be careful!\Who are you talking to? We're both Ul's pupils. This is nothing.\I figured...\I wonder if you'll follow me... response:	I've had enough of your crap!
context: Forget about us!\Please go after him, Gray-sama!\Alright...\If left alone, that gooey stuff saps your magic and your strength, so be careful!\Who are you talking to? We're both Ul's pupils. This is nothing.\I figured...\I wonder if you'll follow me...\I've had enough of your crap! response:	I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail!
context: Please go after him, Gray-sama!\Alright...\If left alone, that gooey stuff saps your magic and your strength, so be careful!\Who are you talking to? We're both Ul's pupils. This is nothing.\I figured...\I wonder if you'll follow me...\I've had enough of your crap!\I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail! response:	I don't see any sign of Ice Boy. I guess he was just all talk...
context: Alright...\If left alone, that gooey stuff saps your magic and your strength, so be careful!\Who are you talking to? We're both Ul's pupils. This is nothing.\I figured...\I wonder if you'll follow me...\I've had enough of your crap!\I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail!\I don't see any sign of Ice Boy. I guess he was just all talk... response:	Oh! Surprise! When did you get here?!
context: If left alone, that gooey stuff saps your magic and your strength, so be careful!\Who are you talking to? We're both Ul's pupils. This is nothing.\I figured...\I wonder if you'll follow me...\I've had enough of your crap!\I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail!\I don't see any sign of Ice Boy. I guess he was just all talk...\Oh! Surprise! When did you get here?! response:	It wasn't easy, but I caught up to you.
context: Who are you talking to? We're both Ul's pupils. This is nothing.\I figured...\I wonder if you'll follow me...\I've had enough of your crap!\I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail!\I don't see any sign of Ice Boy. I guess he was just all talk...\Oh! Surprise! When did you get here?!\It wasn't easy, but I caught up to you. response:	You realized this gate goes around in a loop. Impressive.
context: I figured...\I wonder if you'll follow me...\I've had enough of your crap!\I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail!\I don't see any sign of Ice Boy. I guess he was just all talk...\Oh! Surprise! When did you get here?!\It wasn't easy, but I caught up to you.\You realized this gate goes around in a loop. Impressive. response:	All it took was a little observation.
context: I wonder if you'll follow me...\I've had enough of your crap!\I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail!\I don't see any sign of Ice Boy. I guess he was just all talk...\Oh! Surprise! When did you get here?!\It wasn't easy, but I caught up to you.\You realized this gate goes around in a loop. Impressive.\All it took was a little observation. response:	It seems I need to have it out with you once and for all.
context: I've had enough of your crap!\I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail!\I don't see any sign of Ice Boy. I guess he was just all talk...\Oh! Surprise! When did you get here?!\It wasn't easy, but I caught up to you.\You realized this gate goes around in a loop. Impressive.\All it took was a little observation.\It seems I need to have it out with you once and for all. response:	The result will be no different than in Edolas. I'm gonna kick your ass!
context: I'm gonna make you regret the hell out of ever makin' an enemy out of Fairy Tail!\I don't see any sign of Ice Boy. I guess he was just all talk...\Oh! Surprise! When did you get here?!\It wasn't easy, but I caught up to you.\You realized this gate goes around in a loop. Impressive.\All it took was a little observation.\It seems I need to have it out with you once and for all.\The result will be no different than in Edolas. I'm gonna kick your ass! response:	That?!
context: I don't see any sign of Ice Boy. I guess he was just all talk...\Oh! Surprise! When did you get here?!\It wasn't easy, but I caught up to you.\You realized this gate goes around in a loop. Impressive.\All it took was a little observation.\It seems I need to have it out with you once and for all.\The result will be no different than in Edolas. I'm gonna kick your ass!\That?! response:	Wonderful!
context: Oh! Surprise! When did you get here?!\It wasn't easy, but I caught up to you.\You realized this gate goes around in a loop. Impressive.\All it took was a little observation.\It seems I need to have it out with you once and for all.\The result will be no different than in Edolas. I'm gonna kick your ass!\That?!\Wonderful! response:	You ain't gettin' it!
context: It wasn't easy, but I caught up to you.\You realized this gate goes around in a loop. Impressive.\All it took was a little observation.\It seems I need to have it out with you once and for all.\The result will be no different than in Edolas. I'm gonna kick your ass!\That?!\Wonderful!\You ain't gettin' it! response:	Why are you stripping?!
context: You realized this gate goes around in a loop. Impressive.\All it took was a little observation.\It seems I need to have it out with you once and for all.\The result will be no different than in Edolas. I'm gonna kick your ass!\That?!\Wonderful!\You ain't gettin' it!\Why are you stripping?! response:	It's my thing!
context: All it took was a little observation.\It seems I need to have it out with you once and for all.\The result will be no different than in Edolas. I'm gonna kick your ass!\That?!\Wonderful!\You ain't gettin' it!\Why are you stripping?!\It's my thing! response:	It means I'm fired up, see.
context: It seems I need to have it out with you once and for all.\The result will be no different than in Edolas. I'm gonna kick your ass!\That?!\Wonderful!\You ain't gettin' it!\Why are you stripping?!\It's my thing!\It means I'm fired up, see. response:	You caught me off guard with that!
context: The result will be no different than in Edolas. I'm gonna kick your ass!\That?!\Wonderful!\You ain't gettin' it!\Why are you stripping?!\It's my thing!\It means I'm fired up, see.\You caught me off guard with that! response:	Unbelievable... W-Why...
context: That?!\Wonderful!\You ain't gettin' it!\Why are you stripping?!\It's my thing!\It means I'm fired up, see.\You caught me off guard with that!\Unbelievable... W-Why... response:	Why is my heart going pitter-patter?
context: Wonderful!\You ain't gettin' it!\Why are you stripping?!\It's my thing!\It means I'm fired up, see.\You caught me off guard with that!\Unbelievable... W-Why...\Why is my heart going pitter-patter? response:	Huh? Where's Virgo?
context: You ain't gettin' it!\Why are you stripping?!\It's my thing!\It means I'm fired up, see.\You caught me off guard with that!\Unbelievable... W-Why...\Why is my heart going pitter-patter?\Huh? Where's Virgo? response:	Behind you...
context: Why are you stripping?!\It's my thing!\It means I'm fired up, see.\You caught me off guard with that!\Unbelievable... W-Why...\Why is my heart going pitter-patter?\Huh? Where's Virgo?\Behind you... response:	What are you doing?!
context: It's my thing!\It means I'm fired up, see.\You caught me off guard with that!\Unbelievable... W-Why...\Why is my heart going pitter-patter?\Huh? Where's Virgo?\Behind you...\What are you doing?! response:	Punishment, is it? she asks.
context: It means I'm fired up, see.\You caught me off guard with that!\Unbelievable... W-Why...\Why is my heart going pitter-patter?\Huh? Where's Virgo?\Behind you...\What are you doing?!\Punishment, is it? she asks. response:	No... but why are you in there?
context: You caught me off guard with that!\Unbelievable... W-Why...\Why is my heart going pitter-patter?\Huh? Where's Virgo?\Behind you...\What are you doing?!\Punishment, is it? she asks.\No... but why are you in there? response:	I feel calm in here, she says.
context: Unbelievable... W-Why...\Why is my heart going pitter-patter?\Huh? Where's Virgo?\Behind you...\What are you doing?!\Punishment, is it? she asks.\No... but why are you in there?\I feel calm in here, she says. response:	Looks like we're in another weird place.
context: Why is my heart going pitter-patter?\Huh? Where's Virgo?\Behind you...\What are you doing?!\Punishment, is it? she asks.\No... but why are you in there?\I feel calm in here, she says.\Looks like we're in another weird place. response:	Alright! Anyway, I say we keep goin'.
context: Huh? Where's Virgo?\Behind you...\What are you doing?!\Punishment, is it? she asks.\No... but why are you in there?\I feel calm in here, she says.\Looks like we're in another weird place.\Alright! Anyway, I say we keep goin'. response:	Princess, I repaired this for you.
context: Behind you...\What are you doing?!\Punishment, is it? she asks.\No... but why are you in there?\I feel calm in here, she says.\Looks like we're in another weird place.\Alright! Anyway, I say we keep goin'.\Princess, I repaired this for you. response:	Fleuve d'Etoile?!
context: What are you doing?!\Punishment, is it? she asks.\No... but why are you in there?\I feel calm in here, she says.\Looks like we're in another weird place.\Alright! Anyway, I say we keep goin'.\Princess, I repaired this for you.\Fleuve d'Etoile?! response:	Huh? It's just a normal whip now.
context: Punishment, is it? she asks.\No... but why are you in there?\I feel calm in here, she says.\Looks like we're in another weird place.\Alright! Anyway, I say we keep goin'.\Princess, I repaired this for you.\Fleuve d'Etoile?!\Huh? It's just a normal whip now. response:	I upgraded it so it responds when you need it.
context: No... but why are you in there?\I feel calm in here, she says.\Looks like we're in another weird place.\Alright! Anyway, I say we keep goin'.\Princess, I repaired this for you.\Fleuve d'Etoile?!\Huh? It's just a normal whip now.\I upgraded it so it responds when you need it. response:	Wow! Thank you, Virgo!
context: I feel calm in here, she says.\Looks like we're in another weird place.\Alright! Anyway, I say we keep goin'.\Princess, I repaired this for you.\Fleuve d'Etoile?!\Huh? It's just a normal whip now.\I upgraded it so it responds when you need it.\Wow! Thank you, Virgo! response:	And with that I will take my leave.
