context: Come in. response:	I feel bad for the people at Globe.
context: Commander!\Daichi Manatsu is standing by in the Earth Engine's cockpit.\The Earth Engine is fixed now, isn't it?\What are you thinking, Daichi?\I learned the basic controls in the simulator.\Science Chief!\His Earth Driver training was ordered by HQ.\He's been doing it for a while. response:	How will that stopgap training help?
context: Daichi Manatsu is standing by in the Earth Engine's cockpit.\The Earth Engine is fixed now, isn't it?\What are you thinking, Daichi?\I learned the basic controls in the simulator.\Science Chief!\His Earth Driver training was ordered by HQ.\He's been doing it for a while.\How will that stopgap training help? response:	You almost died twice...
context: The Earth Engine is fixed now, isn't it?\What are you thinking, Daichi?\I learned the basic controls in the simulator.\Science Chief!\His Earth Driver training was ordered by HQ.\He's been doing it for a while.\How will that stopgap training help?\You almost died twice... response:	Aren't you scared?
context: What are you thinking, Daichi?\I learned the basic controls in the simulator.\Science Chief!\His Earth Driver training was ordered by HQ.\He's been doing it for a while.\How will that stopgap training help?\You almost died twice...\Aren't you scared? response:	I'm scared.
context: I learned the basic controls in the simulator.\Science Chief!\His Earth Driver training was ordered by HQ.\He's been doing it for a while.\How will that stopgap training help?\You almost died twice...\Aren't you scared?\I'm scared. response:	Actually, I'm really scared.
context: Science Chief!\His Earth Driver training was ordered by HQ.\He's been doing it for a while.\How will that stopgap training help?\You almost died twice...\Aren't you scared?\I'm scared.\Actually, I'm really scared. response:	After all, I'm only a teenager.
context: His Earth Driver training was ordered by HQ.\He's been doing it for a while.\How will that stopgap training help?\You almost died twice...\Aren't you scared?\I'm scared.\Actually, I'm really scared.\After all, I'm only a teenager. response:	But if I don't defeat them,
context: He's been doing it for a while.\How will that stopgap training help?\You almost died twice...\Aren't you scared?\I'm scared.\Actually, I'm really scared.\After all, I'm only a teenager.\But if I don't defeat them, response:	we have no hope.
context: How will that stopgap training help?\You almost died twice...\Aren't you scared?\I'm scared.\Actually, I'm really scared.\After all, I'm only a teenager.\But if I don't defeat them,\we have no hope. response:	And hope is only born of choices.
context: You almost died twice...\Aren't you scared?\I'm scared.\Actually, I'm really scared.\After all, I'm only a teenager.\But if I don't defeat them,\we have no hope.\And hope is only born of choices. response:	Please begin the launch sequence.
context: Aren't you scared?\I'm scared.\Actually, I'm really scared.\After all, I'm only a teenager.\But if I don't defeat them,\we have no hope.\And hope is only born of choices.\Please begin the launch sequence. response:	The lights of these foolish people...
context: I'm scared.\Actually, I'm really scared.\After all, I'm only a teenager.\But if I don't defeat them,\we have no hope.\And hope is only born of choices.\Please begin the launch sequence.\The lights of these foolish people... response:	I can't imagine that Albion would betray us for them.
context: Actually, I'm really scared.\After all, I'm only a teenager.\But if I don't defeat them,\we have no hope.\And hope is only born of choices.\Please begin the launch sequence.\The lights of these foolish people...\I can't imagine that Albion would betray us for them. response:	Can you even imagine not being immortal?
context: After all, I'm only a teenager.\But if I don't defeat them,\we have no hope.\And hope is only born of choices.\Please begin the launch sequence.\The lights of these foolish people...\I can't imagine that Albion would betray us for them.\Can you even imagine not being immortal? response:	No way.
context: But if I don't defeat them,\we have no hope.\And hope is only born of choices.\Please begin the launch sequence.\The lights of these foolish people...\I can't imagine that Albion would betray us for them.\Can you even imagine not being immortal?\No way. response:	This really is the greatest!
context: we have no hope.\And hope is only born of choices.\Please begin the launch sequence.\The lights of these foolish people...\I can't imagine that Albion would betray us for them.\Can you even imagine not being immortal?\No way.\This really is the greatest! response:	AEO sighted... It's a Kiltgang.
context: And hope is only born of choices.\Please begin the launch sequence.\The lights of these foolish people...\I can't imagine that Albion would betray us for them.\Can you even imagine not being immortal?\No way.\This really is the greatest!\AEO sighted... It's a Kiltgang. response:	Manifestation point in Gamma sector, inside defensive zone 1.
context: Please begin the launch sequence.\The lights of these foolish people...\I can't imagine that Albion would betray us for them.\Can you even imagine not being immortal?\No way.\This really is the greatest!\AEO sighted... It's a Kiltgang.\Manifestation point in Gamma sector, inside defensive zone 1. response:	It really did appear.
context: The lights of these foolish people...\I can't imagine that Albion would betray us for them.\Can you even imagine not being immortal?\No way.\This really is the greatest!\AEO sighted... It's a Kiltgang.\Manifestation point in Gamma sector, inside defensive zone 1.\It really did appear. response:	Wow...
context: I can't imagine that Albion would betray us for them.\Can you even imagine not being immortal?\No way.\This really is the greatest!\AEO sighted... It's a Kiltgang.\Manifestation point in Gamma sector, inside defensive zone 1.\It really did appear.\Wow... response:	Is this predictive ability your singularity?
context: Can you even imagine not being immortal?\No way.\This really is the greatest!\AEO sighted... It's a Kiltgang.\Manifestation point in Gamma sector, inside defensive zone 1.\It really did appear.\Wow...\Is this predictive ability your singularity? response:	Pitz told me, that's all.
context: No way.\This really is the greatest!\AEO sighted... It's a Kiltgang.\Manifestation point in Gamma sector, inside defensive zone 1.\It really did appear.\Wow...\Is this predictive ability your singularity?\Pitz told me, that's all. response:	Pitz doesn't lie.
context: This really is the greatest!\AEO sighted... It's a Kiltgang.\Manifestation point in Gamma sector, inside defensive zone 1.\It really did appear.\Wow...\Is this predictive ability your singularity?\Pitz told me, that's all.\Pitz doesn't lie. response:	The ability to predict the use of Orgone energy?
context: AEO sighted... It's a Kiltgang.\Manifestation point in Gamma sector, inside defensive zone 1.\It really did appear.\Wow...\Is this predictive ability your singularity?\Pitz told me, that's all.\Pitz doesn't lie.\The ability to predict the use of Orgone energy? response:	Pegasus rocket taking off.
context: Manifestation point in Gamma sector, inside defensive zone 1.\It really did appear.\Wow...\Is this predictive ability your singularity?\Pitz told me, that's all.\Pitz doesn't lie.\The ability to predict the use of Orgone energy?\Pegasus rocket taking off. response:	The Earth Engine's energy is charging!
context: It really did appear.\Wow...\Is this predictive ability your singularity?\Pitz told me, that's all.\Pitz doesn't lie.\The ability to predict the use of Orgone energy?\Pegasus rocket taking off.\The Earth Engine's energy is charging! response:	The Pegasus rocket is purging Earth Engine.
context: Wow...\Is this predictive ability your singularity?\Pitz told me, that's all.\Pitz doesn't lie.\The ability to predict the use of Orgone energy?\Pegasus rocket taking off.\The Earth Engine's energy is charging!\The Pegasus rocket is purging Earth Engine. response:	Earth Engine, expand!
context: Is this predictive ability your singularity?\Pitz told me, that's all.\Pitz doesn't lie.\The ability to predict the use of Orgone energy?\Pegasus rocket taking off.\The Earth Engine's energy is charging!\The Pegasus rocket is purging Earth Engine.\Earth Engine, expand! response:	The one from the first time?
context: Pitz told me, that's all.\Pitz doesn't lie.\The ability to predict the use of Orgone energy?\Pegasus rocket taking off.\The Earth Engine's energy is charging!\The Pegasus rocket is purging Earth Engine.\Earth Engine, expand!\The one from the first time? response:	Earth Engine has made contact with the Kiltgang!
context: Pitz doesn't lie.\The ability to predict the use of Orgone energy?\Pegasus rocket taking off.\The Earth Engine's energy is charging!\The Pegasus rocket is purging Earth Engine.\Earth Engine, expand!\The one from the first time?\Earth Engine has made contact with the Kiltgang! response:	Its attacks aren't hitting!
context: The ability to predict the use of Orgone energy?\Pegasus rocket taking off.\The Earth Engine's energy is charging!\The Pegasus rocket is purging Earth Engine.\Earth Engine, expand!\The one from the first time?\Earth Engine has made contact with the Kiltgang!\Its attacks aren't hitting! response:	If it could land a hit, we could shoot it down...
context: Pegasus rocket taking off.\The Earth Engine's energy is charging!\The Pegasus rocket is purging Earth Engine.\Earth Engine, expand!\The one from the first time?\Earth Engine has made contact with the Kiltgang!\Its attacks aren't hitting!\If it could land a hit, we could shoot it down... response:	Abreaction.
context: The Earth Engine's energy is charging!\The Pegasus rocket is purging Earth Engine.\Earth Engine, expand!\The one from the first time?\Earth Engine has made contact with the Kiltgang!\Its attacks aren't hitting!\If it could land a hit, we could shoot it down...\Abreaction. response:	Something else is coming?
context: The Pegasus rocket is purging Earth Engine.\Earth Engine, expand!\The one from the first time?\Earth Engine has made contact with the Kiltgang!\Its attacks aren't hitting!\If it could land a hit, we could shoot it down...\Abreaction.\Something else is coming? response:	Daichi is in danger?
context: Earth Engine, expand!\The one from the first time?\Earth Engine has made contact with the Kiltgang!\Its attacks aren't hitting!\If it could land a hit, we could shoot it down...\Abreaction.\Something else is coming?\Daichi is in danger? response:	Teppei, come with me!
context: The one from the first time?\Earth Engine has made contact with the Kiltgang!\Its attacks aren't hitting!\If it could land a hit, we could shoot it down...\Abreaction.\Something else is coming?\Daichi is in danger?\Teppei, come with me! response:	Please, Teppei...
context: Earth Engine has made contact with the Kiltgang!\Its attacks aren't hitting!\If it could land a hit, we could shoot it down...\Abreaction.\Something else is coming?\Daichi is in danger?\Teppei, come with me!\Please, Teppei... response:	Help Daichi!
context: Its attacks aren't hitting!\If it could land a hit, we could shoot it down...\Abreaction.\Something else is coming?\Daichi is in danger?\Teppei, come with me!\Please, Teppei...\Help Daichi! response:	If I return to that body,
context: If it could land a hit, we could shoot it down...\Abreaction.\Something else is coming?\Daichi is in danger?\Teppei, come with me!\Please, Teppei...\Help Daichi!\If I return to that body, response:	I don't think I'll be able to stay who I am!
context: Abreaction.\Something else is coming?\Daichi is in danger?\Teppei, come with me!\Please, Teppei...\Help Daichi!\If I return to that body,\I don't think I'll be able to stay who I am! response:	Suck-It-Up Forte!
context: Something else is coming?\Daichi is in danger?\Teppei, come with me!\Please, Teppei...\Help Daichi!\If I return to that body,\I don't think I'll be able to stay who I am!\Suck-It-Up Forte! response:	Quit dilly-dallying!
context: Daichi is in danger?\Teppei, come with me!\Please, Teppei...\Help Daichi!\If I return to that body,\I don't think I'll be able to stay who I am!\Suck-It-Up Forte!\Quit dilly-dallying! response:	You need to get this done,
context: Teppei, come with me!\Please, Teppei...\Help Daichi!\If I return to that body,\I don't think I'll be able to stay who I am!\Suck-It-Up Forte!\Quit dilly-dallying!\You need to get this done, response:	so we can have our melon tomorrow, right?
context: Please, Teppei...\Help Daichi!\If I return to that body,\I don't think I'll be able to stay who I am!\Suck-It-Up Forte!\Quit dilly-dallying!\You need to get this done,\so we can have our melon tomorrow, right? response:	The four of us are eating it together.
context: Help Daichi!\If I return to that body,\I don't think I'll be able to stay who I am!\Suck-It-Up Forte!\Quit dilly-dallying!\You need to get this done,\so we can have our melon tomorrow, right?\The four of us are eating it together. response:	It has to be all four of us!
context: If I return to that body,\I don't think I'll be able to stay who I am!\Suck-It-Up Forte!\Quit dilly-dallying!\You need to get this done,\so we can have our melon tomorrow, right?\The four of us are eating it together.\It has to be all four of us! response:	Tomorrow, let's all eat together again.
context: I don't think I'll be able to stay who I am!\Suck-It-Up Forte!\Quit dilly-dallying!\You need to get this done,\so we can have our melon tomorrow, right?\The four of us are eating it together.\It has to be all four of us!\Tomorrow, let's all eat together again. response:	Protect Daichi for me, Teppei...
context: Suck-It-Up Forte!\Quit dilly-dallying!\You need to get this done,\so we can have our melon tomorrow, right?\The four of us are eating it together.\It has to be all four of us!\Tomorrow, let's all eat together again.\Protect Daichi for me, Teppei... response:	Amarok, huh?
context: Quit dilly-dallying!\You need to get this done,\so we can have our melon tomorrow, right?\The four of us are eating it together.\It has to be all four of us!\Tomorrow, let's all eat together again.\Protect Daichi for me, Teppei...\Amarok, huh? response:	Another Kiltgang!
context: You need to get this done,\so we can have our melon tomorrow, right?\The four of us are eating it together.\It has to be all four of us!\Tomorrow, let's all eat together again.\Protect Daichi for me, Teppei...\Amarok, huh?\Another Kiltgang! response:	It's the Type-1!
context: so we can have our melon tomorrow, right?\The four of us are eating it together.\It has to be all four of us!\Tomorrow, let's all eat together again.\Protect Daichi for me, Teppei...\Amarok, huh?\Another Kiltgang!\It's the Type-1! response:	A voice that resounds throughout infinity
context: The four of us are eating it together.\It has to be all four of us!\Tomorrow, let's all eat together again.\Protect Daichi for me, Teppei...\Amarok, huh?\Another Kiltgang!\It's the Type-1!\A voice that resounds throughout infinity response:	sings a melody of gentle memories.
context: It has to be all four of us!\Tomorrow, let's all eat together again.\Protect Daichi for me, Teppei...\Amarok, huh?\Another Kiltgang!\It's the Type-1!\A voice that resounds throughout infinity\sings a melody of gentle memories. response:	I'm counting on you two.
context: Tomorrow, let's all eat together again.\Protect Daichi for me, Teppei...\Amarok, huh?\Another Kiltgang!\It's the Type-1!\A voice that resounds throughout infinity\sings a melody of gentle memories.\I'm counting on you two. response:	The light of the promise I know we once shared.
context: Protect Daichi for me, Teppei...\Amarok, huh?\Another Kiltgang!\It's the Type-1!\A voice that resounds throughout infinity\sings a melody of gentle memories.\I'm counting on you two.\The light of the promise I know we once shared. response:	These guys...
context: Amarok, huh?\Another Kiltgang!\It's the Type-1!\A voice that resounds throughout infinity\sings a melody of gentle memories.\I'm counting on you two.\The light of the promise I know we once shared.\These guys... response:	In close quarters, you're at a disadvantage. Try to keep your distance, Daichi!
context: Another Kiltgang!\It's the Type-1!\A voice that resounds throughout infinity\sings a melody of gentle memories.\I'm counting on you two.\The light of the promise I know we once shared.\These guys...\In close quarters, you're at a disadvantage. Try to keep your distance, Daichi! response:	You're mine!
context: It's the Type-1!\A voice that resounds throughout infinity\sings a melody of gentle memories.\I'm counting on you two.\The light of the promise I know we once shared.\These guys...\In close quarters, you're at a disadvantage. Try to keep your distance, Daichi!\You're mine! response:	Daichi!
context: A voice that resounds throughout infinity\sings a melody of gentle memories.\I'm counting on you two.\The light of the promise I know we once shared.\These guys...\In close quarters, you're at a disadvantage. Try to keep your distance, Daichi!\You're mine!\Daichi! response:	Teppei...
context: sings a melody of gentle memories.\I'm counting on you two.\The light of the promise I know we once shared.\These guys...\In close quarters, you're at a disadvantage. Try to keep your distance, Daichi!\You're mine!\Daichi!\Teppei... response:	Albion, are you going to betray us?
context: I'm counting on you two.\The light of the promise I know we once shared.\These guys...\In close quarters, you're at a disadvantage. Try to keep your distance, Daichi!\You're mine!\Daichi!\Teppei...\Albion, are you going to betray us? response:	I am your opponent!
context: The light of the promise I know we once shared.\These guys...\In close quarters, you're at a disadvantage. Try to keep your distance, Daichi!\You're mine!\Daichi!\Teppei...\Albion, are you going to betray us?\I am your opponent! response:	Today's the day I devour every last Earthling,
context: These guys...\In close quarters, you're at a disadvantage. Try to keep your distance, Daichi!\You're mine!\Daichi!\Teppei...\Albion, are you going to betray us?\I am your opponent!\Today's the day I devour every last Earthling, response:	and snap Albion out of whatever's gotten into him!
context: In close quarters, you're at a disadvantage. Try to keep your distance, Daichi!\You're mine!\Daichi!\Teppei...\Albion, are you going to betray us?\I am your opponent!\Today's the day I devour every last Earthling,\and snap Albion out of whatever's gotten into him! response:	And you're first.
context: You're mine!\Daichi!\Teppei...\Albion, are you going to betray us?\I am your opponent!\Today's the day I devour every last Earthling,\and snap Albion out of whatever's gotten into him!\And you're first. response:	Crap!
context: Daichi!\Teppei...\Albion, are you going to betray us?\I am your opponent!\Today's the day I devour every last Earthling,\and snap Albion out of whatever's gotten into him!\And you're first.\Crap! response:	Daichi!
context: Teppei...\Albion, are you going to betray us?\I am your opponent!\Today's the day I devour every last Earthling,\and snap Albion out of whatever's gotten into him!\And you're first.\Crap!\Daichi! response:	Shoot through both of us, Malkin.
context: Albion, are you going to betray us?\I am your opponent!\Today's the day I devour every last Earthling,\and snap Albion out of whatever's gotten into him!\And you're first.\Crap!\Daichi!\Shoot through both of us, Malkin. response:	That's right...
context: I am your opponent!\Today's the day I devour every last Earthling,\and snap Albion out of whatever's gotten into him!\And you're first.\Crap!\Daichi!\Shoot through both of us, Malkin.\That's right... response:	As long as our Ego Blocks survive, we won't die.
context: Today's the day I devour every last Earthling,\and snap Albion out of whatever's gotten into him!\And you're first.\Crap!\Daichi!\Shoot through both of us, Malkin.\That's right...\As long as our Ego Blocks survive, we won't die. response:	Because you're Albion, you're the same way.
context: and snap Albion out of whatever's gotten into him!\And you're first.\Crap!\Daichi!\Shoot through both of us, Malkin.\That's right...\As long as our Ego Blocks survive, we won't die.\Because you're Albion, you're the same way. response:	But what about that Earthling?
context: And you're first.\Crap!\Daichi!\Shoot through both of us, Malkin.\That's right...\As long as our Ego Blocks survive, we won't die.\Because you're Albion, you're the same way.\But what about that Earthling? response:	I'll shoot, whether you move or not, Albion.
context: Crap!\Daichi!\Shoot through both of us, Malkin.\That's right...\As long as our Ego Blocks survive, we won't die.\Because you're Albion, you're the same way.\But what about that Earthling?\I'll shoot, whether you move or not, Albion. response:	After all, you won't die.
context: Daichi!\Shoot through both of us, Malkin.\That's right...\As long as our Ego Blocks survive, we won't die.\Because you're Albion, you're the same way.\But what about that Earthling?\I'll shoot, whether you move or not, Albion.\After all, you won't die. response:	I am Teppei Arashi.
context: Shoot through both of us, Malkin.\That's right...\As long as our Ego Blocks survive, we won't die.\Because you're Albion, you're the same way.\But what about that Earthling?\I'll shoot, whether you move or not, Albion.\After all, you won't die.\I am Teppei Arashi. response:	I am...
context: That's right...\As long as our Ego Blocks survive, we won't die.\Because you're Albion, you're the same way.\But what about that Earthling?\I'll shoot, whether you move or not, Albion.\After all, you won't die.\I am Teppei Arashi.\I am... response:	Teppei Arashi!
context: As long as our Ego Blocks survive, we won't die.\Because you're Albion, you're the same way.\But what about that Earthling?\I'll shoot, whether you move or not, Albion.\After all, you won't die.\I am Teppei Arashi.\I am...\Teppei Arashi! response:	No way!
context: Because you're Albion, you're the same way.\But what about that Earthling?\I'll shoot, whether you move or not, Albion.\After all, you won't die.\I am Teppei Arashi.\I am...\Teppei Arashi!\No way! response:	His Ego Block...
context: But what about that Earthling?\I'll shoot, whether you move or not, Albion.\After all, you won't die.\I am Teppei Arashi.\I am...\Teppei Arashi!\No way!\His Ego Block... response:	An Ego Block explosion?
context: I'll shoot, whether you move or not, Albion.\After all, you won't die.\I am Teppei Arashi.\I am...\Teppei Arashi!\No way!\His Ego Block...\An Ego Block explosion? response:	Teppei destroyed his own Ego Block?
context: After all, you won't die.\I am Teppei Arashi.\I am...\Teppei Arashi!\No way!\His Ego Block...\An Ego Block explosion?\Teppei destroyed his own Ego Block? response:	Teppei...
context: I am Teppei Arashi.\I am...\Teppei Arashi!\No way!\His Ego Block...\An Ego Block explosion?\Teppei destroyed his own Ego Block?\Teppei... response:	Impossible!
context: I am...\Teppei Arashi!\No way!\His Ego Block...\An Ego Block explosion?\Teppei destroyed his own Ego Block?\Teppei...\Impossible! response:	That destroyed the vernier thrusters on both legs, huh?
context: Teppei Arashi!\No way!\His Ego Block...\An Ego Block explosion?\Teppei destroyed his own Ego Block?\Teppei...\Impossible!\That destroyed the vernier thrusters on both legs, huh? response:	I don't have the momentum to take him out.
context: No way!\His Ego Block...\An Ego Block explosion?\Teppei destroyed his own Ego Block?\Teppei...\Impossible!\That destroyed the vernier thrusters on both legs, huh?\I don't have the momentum to take him out. response:	What do I do?
context: His Ego Block...\An Ego Block explosion?\Teppei destroyed his own Ego Block?\Teppei...\Impossible!\That destroyed the vernier thrusters on both legs, huh?\I don't have the momentum to take him out.\What do I do? response:	Are you the one who made Albion crazy, Neoteny?!
context: An Ego Block explosion?\Teppei destroyed his own Ego Block?\Teppei...\Impossible!\That destroyed the vernier thrusters on both legs, huh?\I don't have the momentum to take him out.\What do I do?\Are you the one who made Albion crazy, Neoteny?! response:	Use this.
context: Teppei destroyed his own Ego Block?\Teppei...\Impossible!\That destroyed the vernier thrusters on both legs, huh?\I don't have the momentum to take him out.\What do I do?\Are you the one who made Albion crazy, Neoteny?!\Use this. response:	You know what to do, Daichi?
context: Teppei...\Impossible!\That destroyed the vernier thrusters on both legs, huh?\I don't have the momentum to take him out.\What do I do?\Are you the one who made Albion crazy, Neoteny?!\Use this.\You know what to do, Daichi? response:	So that's it?
context: Impossible!\That destroyed the vernier thrusters on both legs, huh?\I don't have the momentum to take him out.\What do I do?\Are you the one who made Albion crazy, Neoteny?!\Use this.\You know what to do, Daichi?\So that's it? response:	What?
context: That destroyed the vernier thrusters on both legs, huh?\I don't have the momentum to take him out.\What do I do?\Are you the one who made Albion crazy, Neoteny?!\Use this.\You know what to do, Daichi?\So that's it?\What? response:	Teppei...
context: I don't have the momentum to take him out.\What do I do?\Are you the one who made Albion crazy, Neoteny?!\Use this.\You know what to do, Daichi?\So that's it?\What?\Teppei... response:	Albion destroyed his own Ego Block.
context: What do I do?\Are you the one who made Albion crazy, Neoteny?!\Use this.\You know what to do, Daichi?\So that's it?\What?\Teppei...\Albion destroyed his own Ego Block. response:	It's been a hell of a night.
context: Are you the one who made Albion crazy, Neoteny?!\Use this.\You know what to do, Daichi?\So that's it?\What?\Teppei...\Albion destroyed his own Ego Block.\It's been a hell of a night. response:	My Machine Goodfellow broke, too...
context: Use this.\You know what to do, Daichi?\So that's it?\What?\Teppei...\Albion destroyed his own Ego Block.\It's been a hell of a night.\My Machine Goodfellow broke, too... response:	Is Teppei safe?
context: You know what to do, Daichi?\So that's it?\What?\Teppei...\Albion destroyed his own Ego Block.\It's been a hell of a night.\My Machine Goodfellow broke, too...\Is Teppei safe? response:	His pulse, temperature, brainwaves, and blood pressure are all nominal...
context: So that's it?\What?\Teppei...\Albion destroyed his own Ego Block.\It's been a hell of a night.\My Machine Goodfellow broke, too...\Is Teppei safe?\His pulse, temperature, brainwaves, and blood pressure are all nominal... response:	For a normal human.
context: What?\Teppei...\Albion destroyed his own Ego Block.\It's been a hell of a night.\My Machine Goodfellow broke, too...\Is Teppei safe?\His pulse, temperature, brainwaves, and blood pressure are all nominal...\For a normal human. response:	Teppei!
context: Teppei...\Albion destroyed his own Ego Block.\It's been a hell of a night.\My Machine Goodfellow broke, too...\Is Teppei safe?\His pulse, temperature, brainwaves, and blood pressure are all nominal...\For a normal human.\Teppei! response:	Teppei, what's that in your hand?
context: Albion destroyed his own Ego Block.\It's been a hell of a night.\My Machine Goodfellow broke, too...\Is Teppei safe?\His pulse, temperature, brainwaves, and blood pressure are all nominal...\For a normal human.\Teppei!\Teppei, what's that in your hand? response:	This is...
context: It's been a hell of a night.\My Machine Goodfellow broke, too...\Is Teppei safe?\His pulse, temperature, brainwaves, and blood pressure are all nominal...\For a normal human.\Teppei!\Teppei, what's that in your hand?\This is... response:	A Livlaster?
context: My Machine Goodfellow broke, too...\Is Teppei safe?\His pulse, temperature, brainwaves, and blood pressure are all nominal...\For a normal human.\Teppei!\Teppei, what's that in your hand?\This is...\A Livlaster? response:	This is the third one, then.
context: Is Teppei safe?\His pulse, temperature, brainwaves, and blood pressure are all nominal...\For a normal human.\Teppei!\Teppei, what's that in your hand?\This is...\A Livlaster?\This is the third one, then. response:	Are you canceling the request for Akari to be a Kivotos sleeper
context: His pulse, temperature, brainwaves, and blood pressure are all nominal...\For a normal human.\Teppei!\Teppei, what's that in your hand?\This is...\A Livlaster?\This is the third one, then.\Are you canceling the request for Akari to be a Kivotos sleeper response:	out of respect for her wishes?
context: For a normal human.\Teppei!\Teppei, what's that in your hand?\This is...\A Livlaster?\This is the third one, then.\Are you canceling the request for Akari to be a Kivotos sleeper\out of respect for her wishes? response:	That's part of it...
context: Teppei!\Teppei, what's that in your hand?\This is...\A Livlaster?\This is the third one, then.\Are you canceling the request for Akari to be a Kivotos sleeper\out of respect for her wishes?\That's part of it... response:	But not everything.
context: Teppei, what's that in your hand?\This is...\A Livlaster?\This is the third one, then.\Are you canceling the request for Akari to be a Kivotos sleeper\out of respect for her wishes?\That's part of it...\But not everything. response:	You've always been too stubborn to listen to anyone.
context: This is...\A Livlaster?\This is the third one, then.\Are you canceling the request for Akari to be a Kivotos sleeper\out of respect for her wishes?\That's part of it...\But not everything.\You've always been too stubborn to listen to anyone. response:	Honestly, her personality is just like yours.
context: A Livlaster?\This is the third one, then.\Are you canceling the request for Akari to be a Kivotos sleeper\out of respect for her wishes?\That's part of it...\But not everything.\You've always been too stubborn to listen to anyone.\Honestly, her personality is just like yours. response:	My personality isn't as nasty as hers.
context: This is the third one, then.\Are you canceling the request for Akari to be a Kivotos sleeper\out of respect for her wishes?\That's part of it...\But not everything.\You've always been too stubborn to listen to anyone.\Honestly, her personality is just like yours.\My personality isn't as nasty as hers. response:	You've found some hope, haven't you?
context: Are you canceling the request for Akari to be a Kivotos sleeper\out of respect for her wishes?\That's part of it...\But not everything.\You've always been too stubborn to listen to anyone.\Honestly, her personality is just like yours.\My personality isn't as nasty as hers.\You've found some hope, haven't you? response:	Why do you think so?
context: out of respect for her wishes?\That's part of it...\But not everything.\You've always been too stubborn to listen to anyone.\Honestly, her personality is just like yours.\My personality isn't as nasty as hers.\You've found some hope, haven't you?\Why do you think so? response:	I can tell...
context: That's part of it...\But not everything.\You've always been too stubborn to listen to anyone.\Honestly, her personality is just like yours.\My personality isn't as nasty as hers.\You've found some hope, haven't you?\Why do you think so?\I can tell... response:	You're my ex-husband, after all.
context: But not everything.\You've always been too stubborn to listen to anyone.\Honestly, her personality is just like yours.\My personality isn't as nasty as hers.\You've found some hope, haven't you?\Why do you think so?\I can tell...\You're my ex-husband, after all. response:	I'll leave Akari to you.
context: You've always been too stubborn to listen to anyone.\Honestly, her personality is just like yours.\My personality isn't as nasty as hers.\You've found some hope, haven't you?\Why do you think so?\I can tell...\You're my ex-husband, after all.\I'll leave Akari to you. response:	Thank you.
context: Honestly, her personality is just like yours.\My personality isn't as nasty as hers.\You've found some hope, haven't you?\Why do you think so?\I can tell...\You're my ex-husband, after all.\I'll leave Akari to you.\Thank you. response:	I've reported the situation to HQ's Supreme Council,
context: My personality isn't as nasty as hers.\You've found some hope, haven't you?\Why do you think so?\I can tell...\You're my ex-husband, after all.\I'll leave Akari to you.\Thank you.\I've reported the situation to HQ's Supreme Council, response:	and they've agreed to keep it classified for now.
context: You've found some hope, haven't you?\Why do you think so?\I can tell...\You're my ex-husband, after all.\I'll leave Akari to you.\Thank you.\I've reported the situation to HQ's Supreme Council,\and they've agreed to keep it classified for now. response:	I got them to allow Hana to stay here, also.
context: Why do you think so?\I can tell...\You're my ex-husband, after all.\I'll leave Akari to you.\Thank you.\I've reported the situation to HQ's Supreme Council,\and they've agreed to keep it classified for now.\I got them to allow Hana to stay here, also. response:	Both HQ and your wife trust you on a very deep level.
context: I can tell...\You're my ex-husband, after all.\I'll leave Akari to you.\Thank you.\I've reported the situation to HQ's Supreme Council,\and they've agreed to keep it classified for now.\I got them to allow Hana to stay here, also.\Both HQ and your wife trust you on a very deep level. response:	Ex-wife.
context: You're my ex-husband, after all.\I'll leave Akari to you.\Thank you.\I've reported the situation to HQ's Supreme Council,\and they've agreed to keep it classified for now.\I got them to allow Hana to stay here, also.\Both HQ and your wife trust you on a very deep level.\Ex-wife. response:	What do you think, Commander?
context: I'll leave Akari to you.\Thank you.\I've reported the situation to HQ's Supreme Council,\and they've agreed to keep it classified for now.\I got them to allow Hana to stay here, also.\Both HQ and your wife trust you on a very deep level.\Ex-wife.\What do you think, Commander? response:	Thanks, Teppei.
context: Thank you.\I've reported the situation to HQ's Supreme Council,\and they've agreed to keep it classified for now.\I got them to allow Hana to stay here, also.\Both HQ and your wife trust you on a very deep level.\Ex-wife.\What do you think, Commander?\Thanks, Teppei. response:	You beat Amarok.
context: I've reported the situation to HQ's Supreme Council,\and they've agreed to keep it classified for now.\I got them to allow Hana to stay here, also.\Both HQ and your wife trust you on a very deep level.\Ex-wife.\What do you think, Commander?\Thanks, Teppei.\You beat Amarok. response:	You're really amazing, Daichi.
context: and they've agreed to keep it classified for now.\I got them to allow Hana to stay here, also.\Both HQ and your wife trust you on a very deep level.\Ex-wife.\What do you think, Commander?\Thanks, Teppei.\You beat Amarok.\You're really amazing, Daichi. response:	You keep surprising me.
context: I got them to allow Hana to stay here, also.\Both HQ and your wife trust you on a very deep level.\Ex-wife.\What do you think, Commander?\Thanks, Teppei.\You beat Amarok.\You're really amazing, Daichi.\You keep surprising me. response:	So here.
context: Both HQ and your wife trust you on a very deep level.\Ex-wife.\What do you think, Commander?\Thanks, Teppei.\You beat Amarok.\You're really amazing, Daichi.\You keep surprising me.\So here. response:	Daichi Manatsu.
