context: Why did Kyousuke say that? response:	I won't lead the Little Busters from now on.
context: Don't forget about the batting order and fielding positions for the game, as well as the strategy.\I'm looking forward to seeing them.\You look nothing like an actual leader.\I'm the leader?\Batting order, fielding positions, strategy...\Where on Earth do I even start?\What should I do?\Hey, Kyousuke response:	That's right.
context: I'm looking forward to seeing them.\You look nothing like an actual leader.\I'm the leader?\Batting order, fielding positions, strategy...\Where on Earth do I even start?\What should I do?\Hey, Kyousuke\That's right. response:	No matter what happened, I would always rely on Kyousuke.
context: You look nothing like an actual leader.\I'm the leader?\Batting order, fielding positions, strategy...\Where on Earth do I even start?\What should I do?\Hey, Kyousuke\That's right.\No matter what happened, I would always rely on Kyousuke. response:	It's been forever...
context: I'm the leader?\Batting order, fielding positions, strategy...\Where on Earth do I even start?\What should I do?\Hey, Kyousuke\That's right.\No matter what happened, I would always rely on Kyousuke.\It's been forever... response:	Ever since then...
context: Batting order, fielding positions, strategy...\Where on Earth do I even start?\What should I do?\Hey, Kyousuke\That's right.\No matter what happened, I would always rely on Kyousuke.\It's been forever...\Ever since then... response:	Back when I had lost my parents and was all alone.
context: Where on Earth do I even start?\What should I do?\Hey, Kyousuke\That's right.\No matter what happened, I would always rely on Kyousuke.\It's been forever...\Ever since then...\Back when I had lost my parents and was all alone. response:	I was diagnosed with narcolepsy and was afraid of falling asleep at any second.
context: What should I do?\Hey, Kyousuke\That's right.\No matter what happened, I would always rely on Kyousuke.\It's been forever...\Ever since then...\Back when I had lost my parents and was all alone.\I was diagnosed with narcolepsy and was afraid of falling asleep at any second. response:	Despite my condition, Kyousuke took me into a world of fun and laughter.
context: Hey, Kyousuke\That's right.\No matter what happened, I would always rely on Kyousuke.\It's been forever...\Ever since then...\Back when I had lost my parents and was all alone.\I was diagnosed with narcolepsy and was afraid of falling asleep at any second.\Despite my condition, Kyousuke took me into a world of fun and laughter. response:	Kyousuke's back protected me.
context: That's right.\No matter what happened, I would always rely on Kyousuke.\It's been forever...\Ever since then...\Back when I had lost my parents and was all alone.\I was diagnosed with narcolepsy and was afraid of falling asleep at any second.\Despite my condition, Kyousuke took me into a world of fun and laughter.\Kyousuke's back protected me. response:	There was always something fun waiting for me when I followed Kyousuke.
context: No matter what happened, I would always rely on Kyousuke.\It's been forever...\Ever since then...\Back when I had lost my parents and was all alone.\I was diagnosed with narcolepsy and was afraid of falling asleep at any second.\Despite my condition, Kyousuke took me into a world of fun and laughter.\Kyousuke's back protected me.\There was always something fun waiting for me when I followed Kyousuke. response:	Let's play baseball.
context: It's been forever...\Ever since then...\Back when I had lost my parents and was all alone.\I was diagnosed with narcolepsy and was afraid of falling asleep at any second.\Despite my condition, Kyousuke took me into a world of fun and laughter.\Kyousuke's back protected me.\There was always something fun waiting for me when I followed Kyousuke.\Let's play baseball. response:	We'll call ourselves...
context: Ever since then...\Back when I had lost my parents and was all alone.\I was diagnosed with narcolepsy and was afraid of falling asleep at any second.\Despite my condition, Kyousuke took me into a world of fun and laughter.\Kyousuke's back protected me.\There was always something fun waiting for me when I followed Kyousuke.\Let's play baseball.\We'll call ourselves... response:	Little Busters!
context: Back when I had lost my parents and was all alone.\I was diagnosed with narcolepsy and was afraid of falling asleep at any second.\Despite my condition, Kyousuke took me into a world of fun and laughter.\Kyousuke's back protected me.\There was always something fun waiting for me when I followed Kyousuke.\Let's play baseball.\We'll call ourselves...\Little Busters! response:	He gave me courage.
context: I was diagnosed with narcolepsy and was afraid of falling asleep at any second.\Despite my condition, Kyousuke took me into a world of fun and laughter.\Kyousuke's back protected me.\There was always something fun waiting for me when I followed Kyousuke.\Let's play baseball.\We'll call ourselves...\Little Busters!\He gave me courage. response:	If the world is full of things we never wanted to know,
context: Despite my condition, Kyousuke took me into a world of fun and laughter.\Kyousuke's back protected me.\There was always something fun waiting for me when I followed Kyousuke.\Let's play baseball.\We'll call ourselves...\Little Busters!\He gave me courage.\If the world is full of things we never wanted to know, response:	is our only option to look the other way?
context: Kyousuke's back protected me.\There was always something fun waiting for me when I followed Kyousuke.\Let's play baseball.\We'll call ourselves...\Little Busters!\He gave me courage.\If the world is full of things we never wanted to know,\is our only option to look the other way? response:	To run away?
context: There was always something fun waiting for me when I followed Kyousuke.\Let's play baseball.\We'll call ourselves...\Little Busters!\He gave me courage.\If the world is full of things we never wanted to know,\is our only option to look the other way?\To run away? response:	You won't solve anything by running away.
context: Let's play baseball.\We'll call ourselves...\Little Busters!\He gave me courage.\If the world is full of things we never wanted to know,\is our only option to look the other way?\To run away?\You won't solve anything by running away. response:	Kyousuke!
context: We'll call ourselves...\Little Busters!\He gave me courage.\If the world is full of things we never wanted to know,\is our only option to look the other way?\To run away?\You won't solve anything by running away.\Kyousuke! response:	I was thinking back.
context: Little Busters!\He gave me courage.\If the world is full of things we never wanted to know,\is our only option to look the other way?\To run away?\You won't solve anything by running away.\Kyousuke!\I was thinking back. response:	I was always so small and worried.
context: He gave me courage.\If the world is full of things we never wanted to know,\is our only option to look the other way?\To run away?\You won't solve anything by running away.\Kyousuke!\I was thinking back.\I was always so small and worried. response:	But when I was with you,
context: If the world is full of things we never wanted to know,\is our only option to look the other way?\To run away?\You won't solve anything by running away.\Kyousuke!\I was thinking back.\I was always so small and worried.\But when I was with you, response:	all my worries and sadness would just disappear.
context: is our only option to look the other way?\To run away?\You won't solve anything by running away.\Kyousuke!\I was thinking back.\I was always so small and worried.\But when I was with you,\all my worries and sadness would just disappear. response:	It's no different now.
context: To run away?\You won't solve anything by running away.\Kyousuke!\I was thinking back.\I was always so small and worried.\But when I was with you,\all my worries and sadness would just disappear.\It's no different now. response:	We're having so much fun because you wanted to play baseball.
context: You won't solve anything by running away.\Kyousuke!\I was thinking back.\I was always so small and worried.\But when I was with you,\all my worries and sadness would just disappear.\It's no different now.\We're having so much fun because you wanted to play baseball. response:	I can think of no other leader but you.
context: Kyousuke!\I was thinking back.\I was always so small and worried.\But when I was with you,\all my worries and sadness would just disappear.\It's no different now.\We're having so much fun because you wanted to play baseball.\I can think of no other leader but you. response:	I want to keep following you.
context: I was thinking back.\I was always so small and worried.\But when I was with you,\all my worries and sadness would just disappear.\It's no different now.\We're having so much fun because you wanted to play baseball.\I can think of no other leader but you.\I want to keep following you. response:	You can't always rely on me.
context: I was always so small and worried.\But when I was with you,\all my worries and sadness would just disappear.\It's no different now.\We're having so much fun because you wanted to play baseball.\I can think of no other leader but you.\I want to keep following you.\You can't always rely on me. response:	Riki, you're not as small as you think.
context: But when I was with you,\all my worries and sadness would just disappear.\It's no different now.\We're having so much fun because you wanted to play baseball.\I can think of no other leader but you.\I want to keep following you.\You can't always rely on me.\Riki, you're not as small as you think. response:	You're simply unaware of the scale of the things that you've done.
context: all my worries and sadness would just disappear.\It's no different now.\We're having so much fun because you wanted to play baseball.\I can think of no other leader but you.\I want to keep following you.\You can't always rely on me.\Riki, you're not as small as you think.\You're simply unaware of the scale of the things that you've done. response:	But I know.
context: It's no different now.\We're having so much fun because you wanted to play baseball.\I can think of no other leader but you.\I want to keep following you.\You can't always rely on me.\Riki, you're not as small as you think.\You're simply unaware of the scale of the things that you've done.\But I know. response:	You've worried for others as much as they did.
context: We're having so much fun because you wanted to play baseball.\I can think of no other leader but you.\I want to keep following you.\You can't always rely on me.\Riki, you're not as small as you think.\You're simply unaware of the scale of the things that you've done.\But I know.\You've worried for others as much as they did. response:	You helped them overcome their hardship and saved them.
context: I can think of no other leader but you.\I want to keep following you.\You can't always rely on me.\Riki, you're not as small as you think.\You're simply unaware of the scale of the things that you've done.\But I know.\You've worried for others as much as they did.\You helped them overcome their hardship and saved them. response:	It was something only you could do.
context: I want to keep following you.\You can't always rely on me.\Riki, you're not as small as you think.\You're simply unaware of the scale of the things that you've done.\But I know.\You've worried for others as much as they did.\You helped them overcome their hardship and saved them.\It was something only you could do. response:	The Little Busters consist of people that you gathered.
context: You can't always rely on me.\Riki, you're not as small as you think.\You're simply unaware of the scale of the things that you've done.\But I know.\You've worried for others as much as they did.\You helped them overcome their hardship and saved them.\It was something only you could do.\The Little Busters consist of people that you gathered. response:	I'm not as amazing as you make me out to be.
context: Riki, you're not as small as you think.\You're simply unaware of the scale of the things that you've done.\But I know.\You've worried for others as much as they did.\You helped them overcome their hardship and saved them.\It was something only you could do.\The Little Busters consist of people that you gathered.\I'm not as amazing as you make me out to be. response:	You can't follow me forever.
context: You're simply unaware of the scale of the things that you've done.\But I know.\You've worried for others as much as they did.\You helped them overcome their hardship and saved them.\It was something only you could do.\The Little Busters consist of people that you gathered.\I'm not as amazing as you make me out to be.\You can't follow me forever. response:	You need to surpass me, Riki.
context: But I know.\You've worried for others as much as they did.\You helped them overcome their hardship and saved them.\It was something only you could do.\The Little Busters consist of people that you gathered.\I'm not as amazing as you make me out to be.\You can't follow me forever.\You need to surpass me, Riki. response:	Become stronger.
context: You've worried for others as much as they did.\You helped them overcome their hardship and saved them.\It was something only you could do.\The Little Busters consist of people that you gathered.\I'm not as amazing as you make me out to be.\You can't follow me forever.\You need to surpass me, Riki.\Become stronger. response:	Baseball Team
context: You helped them overcome their hardship and saved them.\It was something only you could do.\The Little Busters consist of people that you gathered.\I'm not as amazing as you make me out to be.\You can't follow me forever.\You need to surpass me, Riki.\Become stronger.\Baseball Team response:	No no no...
context: It was something only you could do.\The Little Busters consist of people that you gathered.\I'm not as amazing as you make me out to be.\You can't follow me forever.\You need to surpass me, Riki.\Become stronger.\Baseball Team\No no no... response:	Komari-san
context: The Little Busters consist of people that you gathered.\I'm not as amazing as you make me out to be.\You can't follow me forever.\You need to surpass me, Riki.\Become stronger.\Baseball Team\No no no...\Komari-san response:	moodmaker
context: I'm not as amazing as you make me out to be.\You can't follow me forever.\You need to surpass me, Riki.\Become stronger.\Baseball Team\No no no...\Komari-san\moodmaker response:	it's over if she messes up!
context: You can't follow me forever.\You need to surpass me, Riki.\Become stronger.\Baseball Team\No no no...\Komari-san\moodmaker\it's over if she messes up! response:	Surpassing Kyousuke...
context: You need to surpass me, Riki.\Become stronger.\Baseball Team\No no no...\Komari-san\moodmaker\it's over if she messes up!\Surpassing Kyousuke... response:	That never even occurred to me.
context: Become stronger.\Baseball Team\No no no...\Komari-san\moodmaker\it's over if she messes up!\Surpassing Kyousuke...\That never even occurred to me. response:	Riki...
context: Baseball Team\No no no...\Komari-san\moodmaker\it's over if she messes up!\Surpassing Kyousuke...\That never even occurred to me.\Riki... response:	Hang in there.
context: No no no...\Komari-san\moodmaker\it's over if she messes up!\Surpassing Kyousuke...\That never even occurred to me.\Riki...\Hang in there. response:	S-Saigusa-san?!
context: Komari-san\moodmaker\it's over if she messes up!\Surpassing Kyousuke...\That never even occurred to me.\Riki...\Hang in there.\S-Saigusa-san?! response:	Did I scare you?
context: moodmaker\it's over if she messes up!\Surpassing Kyousuke...\That never even occurred to me.\Riki...\Hang in there.\S-Saigusa-san?!\Did I scare you? response:	I was hiding in here.
context: it's over if she messes up!\Surpassing Kyousuke...\That never even occurred to me.\Riki...\Hang in there.\S-Saigusa-san?!\Did I scare you?\I was hiding in here. response:	I figured it'd make you smile.
context: Surpassing Kyousuke...\That never even occurred to me.\Riki...\Hang in there.\S-Saigusa-san?!\Did I scare you?\I was hiding in here.\I figured it'd make you smile. response:	I mean, you seem to be worried about something.
context: That never even occurred to me.\Riki...\Hang in there.\S-Saigusa-san?!\Did I scare you?\I was hiding in here.\I figured it'd make you smile.\I mean, you seem to be worried about something. response:	Well, I just don't think I can replace Kyousuke.
context: Riki...\Hang in there.\S-Saigusa-san?!\Did I scare you?\I was hiding in here.\I figured it'd make you smile.\I mean, you seem to be worried about something.\Well, I just don't think I can replace Kyousuke. response:	I'm not the type that can lead a bunch of people.
context: Hang in there.\S-Saigusa-san?!\Did I scare you?\I was hiding in here.\I figured it'd make you smile.\I mean, you seem to be worried about something.\Well, I just don't think I can replace Kyousuke.\I'm not the type that can lead a bunch of people. response:	There's no way I can think of something to make everyone happy.
context: S-Saigusa-san?!\Did I scare you?\I was hiding in here.\I figured it'd make you smile.\I mean, you seem to be worried about something.\Well, I just don't think I can replace Kyousuke.\I'm not the type that can lead a bunch of people.\There's no way I can think of something to make everyone happy. response:	You know, if you weren't around,
context: Did I scare you?\I was hiding in here.\I figured it'd make you smile.\I mean, you seem to be worried about something.\Well, I just don't think I can replace Kyousuke.\I'm not the type that can lead a bunch of people.\There's no way I can think of something to make everyone happy.\You know, if you weren't around, response:	I would probably still think the world was full of hate.
context: I was hiding in here.\I figured it'd make you smile.\I mean, you seem to be worried about something.\Well, I just don't think I can replace Kyousuke.\I'm not the type that can lead a bunch of people.\There's no way I can think of something to make everyone happy.\You know, if you weren't around,\I would probably still think the world was full of hate. response:	I would've been crushed by my own hate.
context: I figured it'd make you smile.\I mean, you seem to be worried about something.\Well, I just don't think I can replace Kyousuke.\I'm not the type that can lead a bunch of people.\There's no way I can think of something to make everyone happy.\You know, if you weren't around,\I would probably still think the world was full of hate.\I would've been crushed by my own hate. response:	But because you faced my trouble with everything you had...
context: I mean, you seem to be worried about something.\Well, I just don't think I can replace Kyousuke.\I'm not the type that can lead a bunch of people.\There's no way I can think of something to make everyone happy.\You know, if you weren't around,\I would probably still think the world was full of hate.\I would've been crushed by my own hate.\But because you faced my trouble with everything you had... response:	Because I watched you make everyone happy...
context: Well, I just don't think I can replace Kyousuke.\I'm not the type that can lead a bunch of people.\There's no way I can think of something to make everyone happy.\You know, if you weren't around,\I would probably still think the world was full of hate.\I would've been crushed by my own hate.\But because you faced my trouble with everything you had...\Because I watched you make everyone happy... response:	I can believe now.
context: I'm not the type that can lead a bunch of people.\There's no way I can think of something to make everyone happy.\You know, if you weren't around,\I would probably still think the world was full of hate.\I would've been crushed by my own hate.\But because you faced my trouble with everything you had...\Because I watched you make everyone happy...\I can believe now. response:	That if people think about each other,
context: There's no way I can think of something to make everyone happy.\You know, if you weren't around,\I would probably still think the world was full of hate.\I would've been crushed by my own hate.\But because you faced my trouble with everything you had...\Because I watched you make everyone happy...\I can believe now.\That if people think about each other, response:	the world can be filled with light.
context: You know, if you weren't around,\I would probably still think the world was full of hate.\I would've been crushed by my own hate.\But because you faced my trouble with everything you had...\Because I watched you make everyone happy...\I can believe now.\That if people think about each other,\the world can be filled with light. response:	Thanks, Riki-kun.
context: I would probably still think the world was full of hate.\I would've been crushed by my own hate.\But because you faced my trouble with everything you had...\Because I watched you make everyone happy...\I can believe now.\That if people think about each other,\the world can be filled with light.\Thanks, Riki-kun. response:	Haru-chin will always be rooting for you.
context: I would've been crushed by my own hate.\But because you faced my trouble with everything you had...\Because I watched you make everyone happy...\I can believe now.\That if people think about each other,\the world can be filled with light.\Thanks, Riki-kun.\Haru-chin will always be rooting for you. response:	Saigusa-san...
context: But because you faced my trouble with everything you had...\Because I watched you make everyone happy...\I can believe now.\That if people think about each other,\the world can be filled with light.\Thanks, Riki-kun.\Haru-chin will always be rooting for you.\Saigusa-san... response:	Yo, Mio-chin!
context: Because I watched you make everyone happy...\I can believe now.\That if people think about each other,\the world can be filled with light.\Thanks, Riki-kun.\Haru-chin will always be rooting for you.\Saigusa-san...\Yo, Mio-chin! response:	Are you finished with it?
context: I can believe now.\That if people think about each other,\the world can be filled with light.\Thanks, Riki-kun.\Haru-chin will always be rooting for you.\Saigusa-san...\Yo, Mio-chin!\Are you finished with it? response:	I've collected some data.
context: That if people think about each other,\the world can be filled with light.\Thanks, Riki-kun.\Haru-chin will always be rooting for you.\Saigusa-san...\Yo, Mio-chin!\Are you finished with it?\I've collected some data. response:	Sure Win Databook
context: the world can be filled with light.\Thanks, Riki-kun.\Haru-chin will always be rooting for you.\Saigusa-san...\Yo, Mio-chin!\Are you finished with it?\I've collected some data.\Sure Win Databook response:	I looked into each member of the all-star team
context: Thanks, Riki-kun.\Haru-chin will always be rooting for you.\Saigusa-san...\Yo, Mio-chin!\Are you finished with it?\I've collected some data.\Sure Win Databook\I looked into each member of the all-star team response:	and noted their habits and how to deal with them.
context: Haru-chin will always be rooting for you.\Saigusa-san...\Yo, Mio-chin!\Are you finished with it?\I've collected some data.\Sure Win Databook\I looked into each member of the all-star team\and noted their habits and how to deal with them. response:	You can use this to think up a strategy against them.
context: Saigusa-san...\Yo, Mio-chin!\Are you finished with it?\I've collected some data.\Sure Win Databook\I looked into each member of the all-star team\and noted their habits and how to deal with them.\You can use this to think up a strategy against them. response:	You looked this much into it?
context: Yo, Mio-chin!\Are you finished with it?\I've collected some data.\Sure Win Databook\I looked into each member of the all-star team\and noted their habits and how to deal with them.\You can use this to think up a strategy against them.\You looked this much into it? response:	It's only normal for a manager.
context: Are you finished with it?\I've collected some data.\Sure Win Databook\I looked into each member of the all-star team\and noted their habits and how to deal with them.\You can use this to think up a strategy against them.\You looked this much into it?\It's only normal for a manager. response:	But this is way more than normal!
context: I've collected some data.\Sure Win Databook\I looked into each member of the all-star team\and noted their habits and how to deal with them.\You can use this to think up a strategy against them.\You looked this much into it?\It's only normal for a manager.\But this is way more than normal! response:	I was always searching for a way to be of use to you.
context: Sure Win Databook\I looked into each member of the all-star team\and noted their habits and how to deal with them.\You can use this to think up a strategy against them.\You looked this much into it?\It's only normal for a manager.\But this is way more than normal!\I was always searching for a way to be of use to you. response:	Ever since I was a child, no one could remember me.
context: I looked into each member of the all-star team\and noted their habits and how to deal with them.\You can use this to think up a strategy against them.\You looked this much into it?\It's only normal for a manager.\But this is way more than normal!\I was always searching for a way to be of use to you.\Ever since I was a child, no one could remember me. response:	I was just a pebble on the side of the road.
context: and noted their habits and how to deal with them.\You can use this to think up a strategy against them.\You looked this much into it?\It's only normal for a manager.\But this is way more than normal!\I was always searching for a way to be of use to you.\Ever since I was a child, no one could remember me.\I was just a pebble on the side of the road. response:	If you had never called out to me,
context: You can use this to think up a strategy against them.\You looked this much into it?\It's only normal for a manager.\But this is way more than normal!\I was always searching for a way to be of use to you.\Ever since I was a child, no one could remember me.\I was just a pebble on the side of the road.\If you had never called out to me, response:	I would have been alone forever.
context: You looked this much into it?\It's only normal for a manager.\But this is way more than normal!\I was always searching for a way to be of use to you.\Ever since I was a child, no one could remember me.\I was just a pebble on the side of the road.\If you had never called out to me,\I would have been alone forever. response:	I would have wished for everyone to forget about me.
context: It's only normal for a manager.\But this is way more than normal!\I was always searching for a way to be of use to you.\Ever since I was a child, no one could remember me.\I was just a pebble on the side of the road.\If you had never called out to me,\I would have been alone forever.\I would have wished for everyone to forget about me. response:	But now, I'm living a satisfying life with everyone else.
context: But this is way more than normal!\I was always searching for a way to be of use to you.\Ever since I was a child, no one could remember me.\I was just a pebble on the side of the road.\If you had never called out to me,\I would have been alone forever.\I would have wished for everyone to forget about me.\But now, I'm living a satisfying life with everyone else. response:	I'm grateful that I was born.
context: I was always searching for a way to be of use to you.\Ever since I was a child, no one could remember me.\I was just a pebble on the side of the road.\If you had never called out to me,\I would have been alone forever.\I would have wished for everyone to forget about me.\But now, I'm living a satisfying life with everyone else.\I'm grateful that I was born. response:	I'd never imagined feeling like this before.
context: Ever since I was a child, no one could remember me.\I was just a pebble on the side of the road.\If you had never called out to me,\I would have been alone forever.\I would have wished for everyone to forget about me.\But now, I'm living a satisfying life with everyone else.\I'm grateful that I was born.\I'd never imagined feeling like this before. response:	You gave me a miracle, Naoe-san.
context: I was just a pebble on the side of the road.\If you had never called out to me,\I would have been alone forever.\I would have wished for everyone to forget about me.\But now, I'm living a satisfying life with everyone else.\I'm grateful that I was born.\I'd never imagined feeling like this before.\You gave me a miracle, Naoe-san. response:	I only thought about doing for you what Kyousuke had done for me, Nishizono-san.
context: If you had never called out to me,\I would have been alone forever.\I would have wished for everyone to forget about me.\But now, I'm living a satisfying life with everyone else.\I'm grateful that I was born.\I'd never imagined feeling like this before.\You gave me a miracle, Naoe-san.\I only thought about doing for you what Kyousuke had done for me, Nishizono-san. response:	Kyousuke is the reason I was able to do anything.
context: I would have been alone forever.\I would have wished for everyone to forget about me.\But now, I'm living a satisfying life with everyone else.\I'm grateful that I was born.\I'd never imagined feeling like this before.\You gave me a miracle, Naoe-san.\I only thought about doing for you what Kyousuke had done for me, Nishizono-san.\Kyousuke is the reason I was able to do anything. response:	You're a great leader, Naoe-san.
context: I would have wished for everyone to forget about me.\But now, I'm living a satisfying life with everyone else.\I'm grateful that I was born.\I'd never imagined feeling like this before.\You gave me a miracle, Naoe-san.\I only thought about doing for you what Kyousuke had done for me, Nishizono-san.\Kyousuke is the reason I was able to do anything.\You're a great leader, Naoe-san. response:	Thank you.
context: But now, I'm living a satisfying life with everyone else.\I'm grateful that I was born.\I'd never imagined feeling like this before.\You gave me a miracle, Naoe-san.\I only thought about doing for you what Kyousuke had done for me, Nishizono-san.\Kyousuke is the reason I was able to do anything.\You're a great leader, Naoe-san.\Thank you. response:	Riki-kun,
context: I'm grateful that I was born.\I'd never imagined feeling like this before.\You gave me a miracle, Naoe-san.\I only thought about doing for you what Kyousuke had done for me, Nishizono-san.\Kyousuke is the reason I was able to do anything.\You're a great leader, Naoe-san.\Thank you.\Riki-kun, response:	congratulations on becoming leader.
context: I'd never imagined feeling like this before.\You gave me a miracle, Naoe-san.\I only thought about doing for you what Kyousuke had done for me, Nishizono-san.\Kyousuke is the reason I was able to do anything.\You're a great leader, Naoe-san.\Thank you.\Riki-kun,\congratulations on becoming leader. response:	Here's an invitation to a snack time to celebrate!
context: You gave me a miracle, Naoe-san.\I only thought about doing for you what Kyousuke had done for me, Nishizono-san.\Kyousuke is the reason I was able to do anything.\You're a great leader, Naoe-san.\Thank you.\Riki-kun,\congratulations on becoming leader.\Here's an invitation to a snack time to celebrate! response:	At the place closest to the sky!
context: I only thought about doing for you what Kyousuke had done for me, Nishizono-san.\Kyousuke is the reason I was able to do anything.\You're a great leader, Naoe-san.\Thank you.\Riki-kun,\congratulations on becoming leader.\Here's an invitation to a snack time to celebrate!\At the place closest to the sky! response:	The place closest to the sky, huh?
context: Kyousuke is the reason I was able to do anything.\You're a great leader, Naoe-san.\Thank you.\Riki-kun,\congratulations on becoming leader.\Here's an invitation to a snack time to celebrate!\At the place closest to the sky!\The place closest to the sky, huh? response:	Aw, Riki-kun, you're already here!
context: You're a great leader, Naoe-san.\Thank you.\Riki-kun,\congratulations on becoming leader.\Here's an invitation to a snack time to celebrate!\At the place closest to the sky!\The place closest to the sky, huh?\Aw, Riki-kun, you're already here! response:	Kuu-chan and Yui-chan are getting some tea right now.
context: Thank you.\Riki-kun,\congratulations on becoming leader.\Here's an invitation to a snack time to celebrate!\At the place closest to the sky!\The place closest to the sky, huh?\Aw, Riki-kun, you're already here!\Kuu-chan and Yui-chan are getting some tea right now. response:	Come on up!
context: Riki-kun,\congratulations on becoming leader.\Here's an invitation to a snack time to celebrate!\At the place closest to the sky!\The place closest to the sky, huh?\Aw, Riki-kun, you're already here!\Kuu-chan and Yui-chan are getting some tea right now.\Come on up! response:	Have a seat.
context: congratulations on becoming leader.\Here's an invitation to a snack time to celebrate!\At the place closest to the sky!\The place closest to the sky, huh?\Aw, Riki-kun, you're already here!\Kuu-chan and Yui-chan are getting some tea right now.\Come on up!\Have a seat. response:	It's been a while since I saw the sky from up here.
context: Here's an invitation to a snack time to celebrate!\At the place closest to the sky!\The place closest to the sky, huh?\Aw, Riki-kun, you're already here!\Kuu-chan and Yui-chan are getting some tea right now.\Come on up!\Have a seat.\It's been a while since I saw the sky from up here. response:	Yeah.
context: At the place closest to the sky!\The place closest to the sky, huh?\Aw, Riki-kun, you're already here!\Kuu-chan and Yui-chan are getting some tea right now.\Come on up!\Have a seat.\It's been a while since I saw the sky from up here.\Yeah. response:	You know, I'll never forget...
context: The place closest to the sky, huh?\Aw, Riki-kun, you're already here!\Kuu-chan and Yui-chan are getting some tea right now.\Come on up!\Have a seat.\It's been a while since I saw the sky from up here.\Yeah.\You know, I'll never forget... response:	This was where you taught me not to run away from sad and painful things.
context: Aw, Riki-kun, you're already here!\Kuu-chan and Yui-chan are getting some tea right now.\Come on up!\Have a seat.\It's been a while since I saw the sky from up here.\Yeah.\You know, I'll never forget...\This was where you taught me not to run away from sad and painful things. response:	And that we can keep smiling when we're with everyone.
context: Kuu-chan and Yui-chan are getting some tea right now.\Come on up!\Have a seat.\It's been a while since I saw the sky from up here.\Yeah.\You know, I'll never forget...\This was where you taught me not to run away from sad and painful things.\And that we can keep smiling when we're with everyone. response:	Komari-san...
context: Come on up!\Have a seat.\It's been a while since I saw the sky from up here.\Yeah.\You know, I'll never forget...\This was where you taught me not to run away from sad and painful things.\And that we can keep smiling when we're with everyone.\Komari-san... response:	Look, here's the picture book you drew for me.
context: Have a seat.\It's been a while since I saw the sky from up here.\Yeah.\You know, I'll never forget...\This was where you taught me not to run away from sad and painful things.\And that we can keep smiling when we're with everyone.\Komari-san...\Look, here's the picture book you drew for me. response:	You said that I'd have to draw the rest of it.
context: It's been a while since I saw the sky from up here.\Yeah.\You know, I'll never forget...\This was where you taught me not to run away from sad and painful things.\And that we can keep smiling when we're with everyone.\Komari-san...\Look, here's the picture book you drew for me.\You said that I'd have to draw the rest of it. response:	So, I did.
context: Yeah.\You know, I'll never forget...\This was where you taught me not to run away from sad and painful things.\And that we can keep smiling when we're with everyone.\Komari-san...\Look, here's the picture book you drew for me.\You said that I'd have to draw the rest of it.\So, I did. response:	It's the Little Busters!
context: You know, I'll never forget...\This was where you taught me not to run away from sad and painful things.\And that we can keep smiling when we're with everyone.\Komari-san...\Look, here's the picture book you drew for me.\You said that I'd have to draw the rest of it.\So, I did.\It's the Little Busters! response:	When one of them smiles, everyone smiles.
context: This was where you taught me not to run away from sad and painful things.\And that we can keep smiling when we're with everyone.\Komari-san...\Look, here's the picture book you drew for me.\You said that I'd have to draw the rest of it.\So, I did.\It's the Little Busters!\When one of them smiles, everyone smiles. response:	When one is happy, everyone is happy.
context: And that we can keep smiling when we're with everyone.\Komari-san...\Look, here's the picture book you drew for me.\You said that I'd have to draw the rest of it.\So, I did.\It's the Little Busters!\When one of them smiles, everyone smiles.\When one is happy, everyone is happy. response:	Everyone is in a happy, sunny place.
context: Komari-san...\Look, here's the picture book you drew for me.\You said that I'd have to draw the rest of it.\So, I did.\It's the Little Busters!\When one of them smiles, everyone smiles.\When one is happy, everyone is happy.\Everyone is in a happy, sunny place. response:	And that place is sunny because of you.
context: Look, here's the picture book you drew for me.\You said that I'd have to draw the rest of it.\So, I did.\It's the Little Busters!\When one of them smiles, everyone smiles.\When one is happy, everyone is happy.\Everyone is in a happy, sunny place.\And that place is sunny because of you. response:	That's right.
context: You said that I'd have to draw the rest of it.\So, I did.\It's the Little Busters!\When one of them smiles, everyone smiles.\When one is happy, everyone is happy.\Everyone is in a happy, sunny place.\And that place is sunny because of you.\That's right. response:	It's because you gathered us all together.
context: So, I did.\It's the Little Busters!\When one of them smiles, everyone smiles.\When one is happy, everyone is happy.\Everyone is in a happy, sunny place.\And that place is sunny because of you.\That's right.\It's because you gathered us all together. response:	Kud...
context: It's the Little Busters!\When one of them smiles, everyone smiles.\When one is happy, everyone is happy.\Everyone is in a happy, sunny place.\And that place is sunny because of you.\That's right.\It's because you gathered us all together.\Kud... response:	And you were the one who told me that I should just be myself.
context: When one of them smiles, everyone smiles.\When one is happy, everyone is happy.\Everyone is in a happy, sunny place.\And that place is sunny because of you.\That's right.\It's because you gathered us all together.\Kud...\And you were the one who told me that I should just be myself. response:	So now it's my turn to say...
context: When one is happy, everyone is happy.\Everyone is in a happy, sunny place.\And that place is sunny because of you.\That's right.\It's because you gathered us all together.\Kud...\And you were the one who told me that I should just be myself.\So now it's my turn to say... response:	You should just be yourself!
context: Everyone is in a happy, sunny place.\And that place is sunny because of you.\That's right.\It's because you gathered us all together.\Kud...\And you were the one who told me that I should just be myself.\So now it's my turn to say...\You should just be yourself! response:	I should just be myself?
