context: Where are we going, Coach? response:	You'll know when we get there.
context: Um... I go whoosh, and then jump up as high as I can, like pop,\and then the set comes toward me, like slash,\and then if I wave my arm, like swoosh,\my hand happens to perfectly make contact, like whack.\Er, what he's trying to say is when he jumps up with his eyes closed,\our setter, Kageyama, tosses the ball directly to him\I get what you're trying to say.\But you're wrong, Shrimpy. response:	So long as that weirdo quick is indeed a quick attack,
context: and then the set comes toward me, like slash,\and then if I wave my arm, like swoosh,\my hand happens to perfectly make contact, like whack.\Er, what he's trying to say is when he jumps up with his eyes closed,\our setter, Kageyama, tosses the ball directly to him\I get what you're trying to say.\But you're wrong, Shrimpy.\So long as that weirdo quick is indeed a quick attack, response:	you still hold the initiative in this.
context: and then if I wave my arm, like swoosh,\my hand happens to perfectly make contact, like whack.\Er, what he's trying to say is when he jumps up with his eyes closed,\our setter, Kageyama, tosses the ball directly to him\I get what you're trying to say.\But you're wrong, Shrimpy.\So long as that weirdo quick is indeed a quick attack,\you still hold the initiative in this. response:	You need to get that through your head.
context: my hand happens to perfectly make contact, like whack.\Er, what he's trying to say is when he jumps up with his eyes closed,\our setter, Kageyama, tosses the ball directly to him\I get what you're trying to say.\But you're wrong, Shrimpy.\So long as that weirdo quick is indeed a quick attack,\you still hold the initiative in this.\You need to get that through your head. response:	Don't think of your weapon as something that's unknown.
context: Er, what he's trying to say is when he jumps up with his eyes closed,\our setter, Kageyama, tosses the ball directly to him\I get what you're trying to say.\But you're wrong, Shrimpy.\So long as that weirdo quick is indeed a quick attack,\you still hold the initiative in this.\You need to get that through your head.\Don't think of your weapon as something that's unknown. response:	Well, I guess it's faster to just show you.
context: our setter, Kageyama, tosses the ball directly to him\I get what you're trying to say.\But you're wrong, Shrimpy.\So long as that weirdo quick is indeed a quick attack,\you still hold the initiative in this.\You need to get that through your head.\Don't think of your weapon as something that's unknown.\Well, I guess it's faster to just show you. response:	Shrimpy, try blocking.
context: I get what you're trying to say.\But you're wrong, Shrimpy.\So long as that weirdo quick is indeed a quick attack,\you still hold the initiative in this.\You need to get that through your head.\Don't think of your weapon as something that's unknown.\Well, I guess it's faster to just show you.\Shrimpy, try blocking. response:	You're a middle blocker, aren't ya? Try stopping it.
context: But you're wrong, Shrimpy.\So long as that weirdo quick is indeed a quick attack,\you still hold the initiative in this.\You need to get that through your head.\Don't think of your weapon as something that's unknown.\Well, I guess it's faster to just show you.\Shrimpy, try blocking.\You're a middle blocker, aren't ya? Try stopping it. response:	You're in junior high?
context: So long as that weirdo quick is indeed a quick attack,\you still hold the initiative in this.\You need to get that through your head.\Don't think of your weapon as something that's unknown.\Well, I guess it's faster to just show you.\Shrimpy, try blocking.\You're a middle blocker, aren't ya? Try stopping it.\You're in junior high? response:	What school?
context: you still hold the initiative in this.\You need to get that through your head.\Don't think of your weapon as something that's unknown.\Well, I guess it's faster to just show you.\Shrimpy, try blocking.\You're a middle blocker, aren't ya? Try stopping it.\You're in junior high?\What school? response:	I'm in high school!
context: You need to get that through your head.\Don't think of your weapon as something that's unknown.\Well, I guess it's faster to just show you.\Shrimpy, try blocking.\You're a middle blocker, aren't ya? Try stopping it.\You're in junior high?\What school?\I'm in high school! response:	All right, here we go!
context: Don't think of your weapon as something that's unknown.\Well, I guess it's faster to just show you.\Shrimpy, try blocking.\You're a middle blocker, aren't ya? Try stopping it.\You're in junior high?\What school?\I'm in high school!\All right, here we go! response:	Okay!
context: Well, I guess it's faster to just show you.\Shrimpy, try blocking.\You're a middle blocker, aren't ya? Try stopping it.\You're in junior high?\What school?\I'm in high school!\All right, here we go!\Okay! response:	Is this height for grade school kids?
context: Shrimpy, try blocking.\You're a middle blocker, aren't ya? Try stopping it.\You're in junior high?\What school?\I'm in high school!\All right, here we go!\Okay!\Is this height for grade school kids? response:	I feel a bit taller.
context: You're a middle blocker, aren't ya? Try stopping it.\You're in junior high?\What school?\I'm in high school!\All right, here we go!\Okay!\Is this height for grade school kids?\I feel a bit taller. response:	Third tempo.
context: You're in junior high?\What school?\I'm in high school!\All right, here we go!\Okay!\Is this height for grade school kids?\I feel a bit taller.\Third tempo. response:	Third tempo?
context: What school?\I'm in high school!\All right, here we go!\Okay!\Is this height for grade school kids?\I feel a bit taller.\Third tempo.\Third tempo? response:	That's an amazing jump!
context: I'm in high school!\All right, here we go!\Okay!\Is this height for grade school kids?\I feel a bit taller.\Third tempo.\Third tempo?\That's an amazing jump! response:	Your face was totally above the net.
context: All right, here we go!\Okay!\Is this height for grade school kids?\I feel a bit taller.\Third tempo.\Third tempo?\That's an amazing jump!\Your face was totally above the net. response:	Well, yeah.
context: Okay!\Is this height for grade school kids?\I feel a bit taller.\Third tempo.\Third tempo?\That's an amazing jump!\Your face was totally above the net.\Well, yeah. response:	You've definitely got some spring in your step...
context: Is this height for grade school kids?\I feel a bit taller.\Third tempo.\Third tempo?\That's an amazing jump!\Your face was totally above the net.\Well, yeah.\You've definitely got some spring in your step... response:	All right, next!
context: I feel a bit taller.\Third tempo.\Third tempo?\That's an amazing jump!\Your face was totally above the net.\Well, yeah.\You've definitely got some spring in your step...\All right, next! response:	Second tempo.
context: Third tempo.\Third tempo?\That's an amazing jump!\Your face was totally above the net.\Well, yeah.\You've definitely got some spring in your step...\All right, next!\Second tempo. response:	They're coming faster than before, but...
context: Third tempo?\That's an amazing jump!\Your face was totally above the net.\Well, yeah.\You've definitely got some spring in your step...\All right, next!\Second tempo.\They're coming faster than before, but... response:	All right, next!
context: That's an amazing jump!\Your face was totally above the net.\Well, yeah.\You've definitely got some spring in your step...\All right, next!\Second tempo.\They're coming faster than before, but...\All right, next! response:	First tempo!
context: Your face was totally above the net.\Well, yeah.\You've definitely got some spring in your step...\All right, next!\Second tempo.\They're coming faster than before, but...\All right, next!\First tempo! response:	Well?
context: Well, yeah.\You've definitely got some spring in your step...\All right, next!\Second tempo.\They're coming faster than before, but...\All right, next!\First tempo!\Well? response:	It's fast!
context: You've definitely got some spring in your step...\All right, next!\Second tempo.\They're coming faster than before, but...\All right, next!\First tempo!\Well?\It's fast! response:	Can you block that?
context: All right, next!\Second tempo.\They're coming faster than before, but...\All right, next!\First tempo!\Well?\It's fast!\Can you block that? response:	If anything, I don't think I could do it on my own.
context: Second tempo.\They're coming faster than before, but...\All right, next!\First tempo!\Well?\It's fast!\Can you block that?\If anything, I don't think I could do it on my own. response:	In the three tempos you just saw,
context: They're coming faster than before, but...\All right, next!\First tempo!\Well?\It's fast!\Can you block that?\If anything, I don't think I could do it on my own.\In the three tempos you just saw, response:	was there a big difference in how the spiker hit?
context: All right, next!\First tempo!\Well?\It's fast!\Can you block that?\If anything, I don't think I could do it on my own.\In the three tempos you just saw,\was there a big difference in how the spiker hit? response:	No! I don't think...
context: First tempo!\Well?\It's fast!\Can you block that?\If anything, I don't think I could do it on my own.\In the three tempos you just saw,\was there a big difference in how the spiker hit?\No! I don't think... response:	Then what was different?
context: Well?\It's fast!\Can you block that?\If anything, I don't think I could do it on my own.\In the three tempos you just saw,\was there a big difference in how the spiker hit?\No! I don't think...\Then what was different? response:	The timing of their running approach?
context: It's fast!\Can you block that?\If anything, I don't think I could do it on my own.\In the three tempos you just saw,\was there a big difference in how the spiker hit?\No! I don't think...\Then what was different?\The timing of their running approach? response:	Correct! That's what the tempo is.
context: Can you block that?\If anything, I don't think I could do it on my own.\In the three tempos you just saw,\was there a big difference in how the spiker hit?\No! I don't think...\Then what was different?\The timing of their running approach?\Correct! That's what the tempo is. response:	Listen. The agility in any attack is determined by its tempo.
context: If anything, I don't think I could do it on my own.\In the three tempos you just saw,\was there a big difference in how the spiker hit?\No! I don't think...\Then what was different?\The timing of their running approach?\Correct! That's what the tempo is.\Listen. The agility in any attack is determined by its tempo. response:	It's not how fast or slow the toss may be,
context: In the three tempos you just saw,\was there a big difference in how the spiker hit?\No! I don't think...\Then what was different?\The timing of their running approach?\Correct! That's what the tempo is.\Listen. The agility in any attack is determined by its tempo.\It's not how fast or slow the toss may be, response:	it's the timing of the spiker's running approach.
context: was there a big difference in how the spiker hit?\No! I don't think...\Then what was different?\The timing of their running approach?\Correct! That's what the tempo is.\Listen. The agility in any attack is determined by its tempo.\It's not how fast or slow the toss may be,\it's the timing of the spiker's running approach. response:	The fastest is the first tempo.
context: No! I don't think...\Then what was different?\The timing of their running approach?\Correct! That's what the tempo is.\Listen. The agility in any attack is determined by its tempo.\It's not how fast or slow the toss may be,\it's the timing of the spiker's running approach.\The fastest is the first tempo. response:	It's the best way to get around the opponent's block,
context: Then what was different?\The timing of their running approach?\Correct! That's what the tempo is.\Listen. The agility in any attack is determined by its tempo.\It's not how fast or slow the toss may be,\it's the timing of the spiker's running approach.\The fastest is the first tempo.\It's the best way to get around the opponent's block, response:	and is probably the attack you were doing without realizing it.
context: The timing of their running approach?\Correct! That's what the tempo is.\Listen. The agility in any attack is determined by its tempo.\It's not how fast or slow the toss may be,\it's the timing of the spiker's running approach.\The fastest is the first tempo.\It's the best way to get around the opponent's block,\and is probably the attack you were doing without realizing it. response:	But you need to actually understand it.
context: Correct! That's what the tempo is.\Listen. The agility in any attack is determined by its tempo.\It's not how fast or slow the toss may be,\it's the timing of the spiker's running approach.\The fastest is the first tempo.\It's the best way to get around the opponent's block,\and is probably the attack you were doing without realizing it.\But you need to actually understand it. response:	You need to start your running approach before the setter's toss goes up...
context: Listen. The agility in any attack is determined by its tempo.\It's not how fast or slow the toss may be,\it's the timing of the spiker's running approach.\The fastest is the first tempo.\It's the best way to get around the opponent's block,\and is probably the attack you were doing without realizing it.\But you need to actually understand it.\You need to start your running approach before the setter's toss goes up... response:	The setter tosses to the spiker...
context: It's not how fast or slow the toss may be,\it's the timing of the spiker's running approach.\The fastest is the first tempo.\It's the best way to get around the opponent's block,\and is probably the attack you were doing without realizing it.\But you need to actually understand it.\You need to start your running approach before the setter's toss goes up...\The setter tosses to the spiker... response:	Which means, your weirdo quick is also an attack where the spiker leads.
context: it's the timing of the spiker's running approach.\The fastest is the first tempo.\It's the best way to get around the opponent's block,\and is probably the attack you were doing without realizing it.\But you need to actually understand it.\You need to start your running approach before the setter's toss goes up...\The setter tosses to the spiker...\Which means, your weirdo quick is also an attack where the spiker leads. response:	First... tempo...
context: The fastest is the first tempo.\It's the best way to get around the opponent's block,\and is probably the attack you were doing without realizing it.\But you need to actually understand it.\You need to start your running approach before the setter's toss goes up...\The setter tosses to the spiker...\Which means, your weirdo quick is also an attack where the spiker leads.\First... tempo... response:	And... I don't know what kind of attack this weirdo quick is,
context: It's the best way to get around the opponent's block,\and is probably the attack you were doing without realizing it.\But you need to actually understand it.\You need to start your running approach before the setter's toss goes up...\The setter tosses to the spiker...\Which means, your weirdo quick is also an attack where the spiker leads.\First... tempo...\And... I don't know what kind of attack this weirdo quick is, response:	but this much is certain.
context: and is probably the attack you were doing without realizing it.\But you need to actually understand it.\You need to start your running approach before the setter's toss goes up...\The setter tosses to the spiker...\Which means, your weirdo quick is also an attack where the spiker leads.\First... tempo...\And... I don't know what kind of attack this weirdo quick is,\but this much is certain. response:	There's no better toss than one that the spiker can easily hit.
context: But you need to actually understand it.\You need to start your running approach before the setter's toss goes up...\The setter tosses to the spiker...\Which means, your weirdo quick is also an attack where the spiker leads.\First... tempo...\And... I don't know what kind of attack this weirdo quick is,\but this much is certain.\There's no better toss than one that the spiker can easily hit. response:	It can't be one-sided.
context: You need to start your running approach before the setter's toss goes up...\The setter tosses to the spiker...\Which means, your weirdo quick is also an attack where the spiker leads.\First... tempo...\And... I don't know what kind of attack this weirdo quick is,\but this much is certain.\There's no better toss than one that the spiker can easily hit.\It can't be one-sided. response:	Eh?
context: The setter tosses to the spiker...\Which means, your weirdo quick is also an attack where the spiker leads.\First... tempo...\And... I don't know what kind of attack this weirdo quick is,\but this much is certain.\There's no better toss than one that the spiker can easily hit.\It can't be one-sided.\Eh? response:	Hinata, practice here for a bit!
context: Which means, your weirdo quick is also an attack where the spiker leads.\First... tempo...\And... I don't know what kind of attack this weirdo quick is,\but this much is certain.\There's no better toss than one that the spiker can easily hit.\It can't be one-sided.\Eh?\Hinata, practice here for a bit! response:	S-Sure...
context: First... tempo...\And... I don't know what kind of attack this weirdo quick is,\but this much is certain.\There's no better toss than one that the spiker can easily hit.\It can't be one-sided.\Eh?\Hinata, practice here for a bit!\S-Sure... response:	What a weirdo.
context: And... I don't know what kind of attack this weirdo quick is,\but this much is certain.\There's no better toss than one that the spiker can easily hit.\It can't be one-sided.\Eh?\Hinata, practice here for a bit!\S-Sure...\What a weirdo. response:	The timing of the spiker's running approach is everything.
context: but this much is certain.\There's no better toss than one that the spiker can easily hit.\It can't be one-sided.\Eh?\Hinata, practice here for a bit!\S-Sure...\What a weirdo.\The timing of the spiker's running approach is everything. response:	One centimeter,
context: There's no better toss than one that the spiker can easily hit.\It can't be one-sided.\Eh?\Hinata, practice here for a bit!\S-Sure...\What a weirdo.\The timing of the spiker's running approach is everything.\One centimeter, response:	one millimeter...
context: It can't be one-sided.\Eh?\Hinata, practice here for a bit!\S-Sure...\What a weirdo.\The timing of the spiker's running approach is everything.\One centimeter,\one millimeter... response:	One second faster to the top...
context: Eh?\Hinata, practice here for a bit!\S-Sure...\What a weirdo.\The timing of the spiker's running approach is everything.\One centimeter,\one millimeter...\One second faster to the top... response:	But that's not enough.
context: Hinata, practice here for a bit!\S-Sure...\What a weirdo.\The timing of the spiker's running approach is everything.\One centimeter,\one millimeter...\One second faster to the top...\But that's not enough. response:	Up until now, I was only working to get to the top, but...
context: S-Sure...\What a weirdo.\The timing of the spiker's running approach is everything.\One centimeter,\one millimeter...\One second faster to the top...\But that's not enough.\Up until now, I was only working to get to the top, but... response:	So from now on,
context: What a weirdo.\The timing of the spiker's running approach is everything.\One centimeter,\one millimeter...\One second faster to the top...\But that's not enough.\Up until now, I was only working to get to the top, but...\So from now on, response:	you want to fight at the top, too.
context: The timing of the spiker's running approach is everything.\One centimeter,\one millimeter...\One second faster to the top...\But that's not enough.\Up until now, I was only working to get to the top, but...\So from now on,\you want to fight at the top, too. response:	In order for that to happen,
context: One centimeter,\one millimeter...\One second faster to the top...\But that's not enough.\Up until now, I was only working to get to the top, but...\So from now on,\you want to fight at the top, too.\In order for that to happen, response:	your partner's gonna need some improvement, as well.
context: one millimeter...\One second faster to the top...\But that's not enough.\Up until now, I was only working to get to the top, but...\So from now on,\you want to fight at the top, too.\In order for that to happen,\your partner's gonna need some improvement, as well. response:	Huh?
context: One second faster to the top...\But that's not enough.\Up until now, I was only working to get to the top, but...\So from now on,\you want to fight at the top, too.\In order for that to happen,\your partner's gonna need some improvement, as well.\Huh? response:	I'm sure Keishin will do something about that.
context: But that's not enough.\Up until now, I was only working to get to the top, but...\So from now on,\you want to fight at the top, too.\In order for that to happen,\your partner's gonna need some improvement, as well.\Huh?\I'm sure Keishin will do something about that. response:	Kageyama's an amazing guy, so I'm sure he can do it.
context: Up until now, I was only working to get to the top, but...\So from now on,\you want to fight at the top, too.\In order for that to happen,\your partner's gonna need some improvement, as well.\Huh?\I'm sure Keishin will do something about that.\Kageyama's an amazing guy, so I'm sure he can do it. response:	I don't want to be left behind...
context: So from now on,\you want to fight at the top, too.\In order for that to happen,\your partner's gonna need some improvement, as well.\Huh?\I'm sure Keishin will do something about that.\Kageyama's an amazing guy, so I'm sure he can do it.\I don't want to be left behind... response:	Please teach me how to fight when I'm at the top.
context: you want to fight at the top, too.\In order for that to happen,\your partner's gonna need some improvement, as well.\Huh?\I'm sure Keishin will do something about that.\Kageyama's an amazing guy, so I'm sure he can do it.\I don't want to be left behind...\Please teach me how to fight when I'm at the top. response:	Don't get the wrong idea.
context: In order for that to happen,\your partner's gonna need some improvement, as well.\Huh?\I'm sure Keishin will do something about that.\Kageyama's an amazing guy, so I'm sure he can do it.\I don't want to be left behind...\Please teach me how to fight when I'm at the top.\Don't get the wrong idea. response:	The one who has leadership in an attack isn't you...
context: your partner's gonna need some improvement, as well.\Huh?\I'm sure Keishin will do something about that.\Kageyama's an amazing guy, so I'm sure he can do it.\I don't want to be left behind...\Please teach me how to fight when I'm at the top.\Don't get the wrong idea.\The one who has leadership in an attack isn't you... response:	It's the little shrimp.
context: Huh?\I'm sure Keishin will do something about that.\Kageyama's an amazing guy, so I'm sure he can do it.\I don't want to be left behind...\Please teach me how to fight when I'm at the top.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp. response:	If you can't understand that,
context: I'm sure Keishin will do something about that.\Kageyama's an amazing guy, so I'm sure he can do it.\I don't want to be left behind...\Please teach me how to fight when I'm at the top.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that, response:	you're just regressing back to playing the tyrant king.
context: Kageyama's an amazing guy, so I'm sure he can do it.\I don't want to be left behind...\Please teach me how to fight when I'm at the top.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king. response:	Yes, hello
context: I don't want to be left behind...\Please teach me how to fight when I'm at the top.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Yes, hello response:	Kageyama! Where are you right now?!
context: Please teach me how to fight when I'm at the top.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Yes, hello\Kageyama! Where are you right now?! response:	Ukai-san?
context: Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Yes, hello\Kageyama! Where are you right now?!\Ukai-san? response:	I'm heading to the school right now.
context: The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Yes, hello\Kageyama! Where are you right now?!\Ukai-san?\I'm heading to the school right now. response:	What?!
context: It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Yes, hello\Kageyama! Where are you right now?!\Ukai-san?\I'm heading to the school right now.\What?! response:	I was gonna see if they were done with the inspection of the gym yet.
context: If you can't understand that,\you're just regressing back to playing the tyrant king.\Yes, hello\Kageyama! Where are you right now?!\Ukai-san?\I'm heading to the school right now.\What?!\I was gonna see if they were done with the inspection of the gym yet. response:	Ah!
context: you're just regressing back to playing the tyrant king.\Yes, hello\Kageyama! Where are you right now?!\Ukai-san?\I'm heading to the school right now.\What?!\I was gonna see if they were done with the inspection of the gym yet.\Ah! response:	Kageyama!
context: Yes, hello\Kageyama! Where are you right now?!\Ukai-san?\I'm heading to the school right now.\What?!\I was gonna see if they were done with the inspection of the gym yet.\Ah!\Kageyama! response:	Whoa.
context: Kageyama! Where are you right now?!\Ukai-san?\I'm heading to the school right now.\What?!\I was gonna see if they were done with the inspection of the gym yet.\Ah!\Kageyama!\Whoa. response:	Stop walking! Come with me!
context: Ukai-san?\I'm heading to the school right now.\What?!\I was gonna see if they were done with the inspection of the gym yet.\Ah!\Kageyama!\Whoa.\Stop walking! Come with me! response:	I'm sorry?!
context: I'm heading to the school right now.\What?!\I was gonna see if they were done with the inspection of the gym yet.\Ah!\Kageyama!\Whoa.\Stop walking! Come with me!\I'm sorry?! response:	A toss that stops!
context: What?!\I was gonna see if they were done with the inspection of the gym yet.\Ah!\Kageyama!\Whoa.\Stop walking! Come with me!\I'm sorry?!\A toss that stops! response:	Haikyu!!
context: I was gonna see if they were done with the inspection of the gym yet.\Ah!\Kageyama!\Whoa.\Stop walking! Come with me!\I'm sorry?!\A toss that stops!\Haikyu!! response:	Haikyu!!
context: Ah!\Kageyama!\Whoa.\Stop walking! Come with me!\I'm sorry?!\A toss that stops!\Haikyu!!\Haikyu!! response:	Shrimpy,
context: Kageyama!\Whoa.\Stop walking! Come with me!\I'm sorry?!\A toss that stops!\Haikyu!!\Haikyu!!\Shrimpy, response:	if you're gonna fight at the top on your own,
context: Whoa.\Stop walking! Come with me!\I'm sorry?!\A toss that stops!\Haikyu!!\Haikyu!!\Shrimpy,\if you're gonna fight at the top on your own, response:	you're gonna have to start with the fundamentals.
context: Stop walking! Come with me!\I'm sorry?!\A toss that stops!\Haikyu!!\Haikyu!!\Shrimpy,\if you're gonna fight at the top on your own,\you're gonna have to start with the fundamentals. response:	Therefore, you're gonna be hitting one quick after another.
context: I'm sorry?!\A toss that stops!\Haikyu!!\Haikyu!!\Shrimpy,\if you're gonna fight at the top on your own,\you're gonna have to start with the fundamentals.\Therefore, you're gonna be hitting one quick after another. response:	You're going to get in all the practice that you missed before.
context: A toss that stops!\Haikyu!!\Haikyu!!\Shrimpy,\if you're gonna fight at the top on your own,\you're gonna have to start with the fundamentals.\Therefore, you're gonna be hitting one quick after another.\You're going to get in all the practice that you missed before. response:	Hello!
context: Haikyu!!\Haikyu!!\Shrimpy,\if you're gonna fight at the top on your own,\you're gonna have to start with the fundamentals.\Therefore, you're gonna be hitting one quick after another.\You're going to get in all the practice that you missed before.\Hello! response:	Heyo!
context: Haikyu!!\Shrimpy,\if you're gonna fight at the top on your own,\you're gonna have to start with the fundamentals.\Therefore, you're gonna be hitting one quick after another.\You're going to get in all the practice that you missed before.\Hello!\Heyo! response:	There you are.
context: Shrimpy,\if you're gonna fight at the top on your own,\you're gonna have to start with the fundamentals.\Therefore, you're gonna be hitting one quick after another.\You're going to get in all the practice that you missed before.\Hello!\Heyo!\There you are. response:	Hi!
context: if you're gonna fight at the top on your own,\you're gonna have to start with the fundamentals.\Therefore, you're gonna be hitting one quick after another.\You're going to get in all the practice that you missed before.\Hello!\Heyo!\There you are.\Hi! response:	Shrimpy, your assignment right now
context: you're gonna have to start with the fundamentals.\Therefore, you're gonna be hitting one quick after another.\You're going to get in all the practice that you missed before.\Hello!\Heyo!\There you are.\Hi!\Shrimpy, your assignment right now response:	is to do first tempo with anyone.
context: Therefore, you're gonna be hitting one quick after another.\You're going to get in all the practice that you missed before.\Hello!\Heyo!\There you are.\Hi!\Shrimpy, your assignment right now\is to do first tempo with anyone. response:	Got it!
context: You're going to get in all the practice that you missed before.\Hello!\Heyo!\There you are.\Hi!\Shrimpy, your assignment right now\is to do first tempo with anyone.\Got it! response:	A newbie?
context: Hello!\Heyo!\There you are.\Hi!\Shrimpy, your assignment right now\is to do first tempo with anyone.\Got it!\A newbie? response:	Your genius setter isn't here to toss to you,
context: Heyo!\There you are.\Hi!\Shrimpy, your assignment right now\is to do first tempo with anyone.\Got it!\A newbie?\Your genius setter isn't here to toss to you, response:	He's in junior... Oh, he's in high school.
context: There you are.\Hi!\Shrimpy, your assignment right now\is to do first tempo with anyone.\Got it!\A newbie?\Your genius setter isn't here to toss to you,\He's in junior... Oh, he's in high school. response:	so it's not gonna be easy.
context: Hi!\Shrimpy, your assignment right now\is to do first tempo with anyone.\Got it!\A newbie?\Your genius setter isn't here to toss to you,\He's in junior... Oh, he's in high school.\so it's not gonna be easy. response:	Ah...
context: Shrimpy, your assignment right now\is to do first tempo with anyone.\Got it!\A newbie?\Your genius setter isn't here to toss to you,\He's in junior... Oh, he's in high school.\so it's not gonna be easy.\Ah... response:	Right!
context: is to do first tempo with anyone.\Got it!\A newbie?\Your genius setter isn't here to toss to you,\He's in junior... Oh, he's in high school.\so it's not gonna be easy.\Ah...\Right! response:	Also,
context: Got it!\A newbie?\Your genius setter isn't here to toss to you,\He's in junior... Oh, he's in high school.\so it's not gonna be easy.\Ah...\Right!\Also, response:	in order to get used to the ball,
context: A newbie?\Your genius setter isn't here to toss to you,\He's in junior... Oh, he's in high school.\so it's not gonna be easy.\Ah...\Right!\Also,\in order to get used to the ball, response:	you need to always be touching it.
context: Your genius setter isn't here to toss to you,\He's in junior... Oh, he's in high school.\so it's not gonna be easy.\Ah...\Right!\Also,\in order to get used to the ball,\you need to always be touching it. response:	Always.
context: He's in junior... Oh, he's in high school.\so it's not gonna be easy.\Ah...\Right!\Also,\in order to get used to the ball,\you need to always be touching it.\Always. response:	Okay.
context: so it's not gonna be easy.\Ah...\Right!\Also,\in order to get used to the ball,\you need to always be touching it.\Always.\Okay. response:	It can be with your hands or feet.
context: Ah...\Right!\Also,\in order to get used to the ball,\you need to always be touching it.\Always.\Okay.\It can be with your hands or feet. response:	Volleyball is a sport where you can't hold the ball.
context: Right!\Also,\in order to get used to the ball,\you need to always be touching it.\Always.\Okay.\It can be with your hands or feet.\Volleyball is a sport where you can't hold the ball. response:	You're only allowed to touch the ball for a few seconds...
context: Also,\in order to get used to the ball,\you need to always be touching it.\Always.\Okay.\It can be with your hands or feet.\Volleyball is a sport where you can't hold the ball.\You're only allowed to touch the ball for a few seconds... response:	You need to control that moment,
context: in order to get used to the ball,\you need to always be touching it.\Always.\Okay.\It can be with your hands or feet.\Volleyball is a sport where you can't hold the ball.\You're only allowed to touch the ball for a few seconds...\You need to control that moment, response:	as though ball were a part of your body.
context: you need to always be touching it.\Always.\Okay.\It can be with your hands or feet.\Volleyball is a sport where you can't hold the ball.\You're only allowed to touch the ball for a few seconds...\You need to control that moment,\as though ball were a part of your body. response:	Because your body is small,
context: Always.\Okay.\It can be with your hands or feet.\Volleyball is a sport where you can't hold the ball.\You're only allowed to touch the ball for a few seconds...\You need to control that moment,\as though ball were a part of your body.\Because your body is small, response:	use everything else possible to make up for that.
context: Okay.\It can be with your hands or feet.\Volleyball is a sport where you can't hold the ball.\You're only allowed to touch the ball for a few seconds...\You need to control that moment,\as though ball were a part of your body.\Because your body is small,\use everything else possible to make up for that. response:	Right!
context: It can be with your hands or feet.\Volleyball is a sport where you can't hold the ball.\You're only allowed to touch the ball for a few seconds...\You need to control that moment,\as though ball were a part of your body.\Because your body is small,\use everything else possible to make up for that.\Right! response:	Sakanoshita Shop
context: Volleyball is a sport where you can't hold the ball.\You're only allowed to touch the ball for a few seconds...\You need to control that moment,\as though ball were a part of your body.\Because your body is small,\use everything else possible to make up for that.\Right!\Sakanoshita Shop response:	Tempo?
context: You're only allowed to touch the ball for a few seconds...\You need to control that moment,\as though ball were a part of your body.\Because your body is small,\use everything else possible to make up for that.\Right!\Sakanoshita Shop\Tempo? response:	Well, I have the basic theory of it in my head,
context: You need to control that moment,\as though ball were a part of your body.\Because your body is small,\use everything else possible to make up for that.\Right!\Sakanoshita Shop\Tempo?\Well, I have the basic theory of it in my head, response:	but I was never able to apply it.
context: as though ball were a part of your body.\Because your body is small,\use everything else possible to make up for that.\Right!\Sakanoshita Shop\Tempo?\Well, I have the basic theory of it in my head,\but I was never able to apply it. response:	I treated your quick attack as something special when I shouldn't have,
context: Because your body is small,\use everything else possible to make up for that.\Right!\Sakanoshita Shop\Tempo?\Well, I have the basic theory of it in my head,\but I was never able to apply it.\I treated your quick attack as something special when I shouldn't have, response:	and almost forgot something very basic.
context: use everything else possible to make up for that.\Right!\Sakanoshita Shop\Tempo?\Well, I have the basic theory of it in my head,\but I was never able to apply it.\I treated your quick attack as something special when I shouldn't have,\and almost forgot something very basic. response:	I think I get the basics of tempo,
context: Right!\Sakanoshita Shop\Tempo?\Well, I have the basic theory of it in my head,\but I was never able to apply it.\I treated your quick attack as something special when I shouldn't have,\and almost forgot something very basic.\I think I get the basics of tempo, response:	but what do you mean by a toss that stops?
context: Sakanoshita Shop\Tempo?\Well, I have the basic theory of it in my head,\but I was never able to apply it.\I treated your quick attack as something special when I shouldn't have,\and almost forgot something very basic.\I think I get the basics of tempo,\but what do you mean by a toss that stops? response:	Listen. First...
context: Tempo?\Well, I have the basic theory of it in my head,\but I was never able to apply it.\I treated your quick attack as something special when I shouldn't have,\and almost forgot something very basic.\I think I get the basics of tempo,\but what do you mean by a toss that stops?\Listen. First... response:	When you're tossing for your weirdo quick,
