context: Invade the Empire of Misurugi?! response:	Embryo is in charge of all of the human world's defenses.
context: I thought we were friends.\Ah, forget it.\You wouldn't get it, would you?\One woman who can't understand other people's feelings,\and an idiot who never thinks at all.\But Embryo-kun is different.\Poor Chris.\Betrayed and walked all over. response:	To think, only you really believed that you were friends.
context: Ah, forget it.\You wouldn't get it, would you?\One woman who can't understand other people's feelings,\and an idiot who never thinks at all.\But Embryo-kun is different.\Poor Chris.\Betrayed and walked all over.\To think, only you really believed that you were friends. response:	You have a mind that can keep
context: You wouldn't get it, would you?\One woman who can't understand other people's feelings,\and an idiot who never thinks at all.\But Embryo-kun is different.\Poor Chris.\Betrayed and walked all over.\To think, only you really believed that you were friends.\You have a mind that can keep response:	peace between others, even at your own expense.
context: One woman who can't understand other people's feelings,\and an idiot who never thinks at all.\But Embryo-kun is different.\Poor Chris.\Betrayed and walked all over.\To think, only you really believed that you were friends.\You have a mind that can keep\peace between others, even at your own expense. response:	How beautiful and noble.
context: and an idiot who never thinks at all.\But Embryo-kun is different.\Poor Chris.\Betrayed and walked all over.\To think, only you really believed that you were friends.\You have a mind that can keep\peace between others, even at your own expense.\How beautiful and noble. response:	Would you be my friend, Chris?
context: But Embryo-kun is different.\Poor Chris.\Betrayed and walked all over.\To think, only you really believed that you were friends.\You have a mind that can keep\peace between others, even at your own expense.\How beautiful and noble.\Would you be my friend, Chris? response:	This is
context: Poor Chris.\Betrayed and walked all over.\To think, only you really believed that you were friends.\You have a mind that can keep\peace between others, even at your own expense.\How beautiful and noble.\Would you be my friend, Chris?\This is response:	This is the proof of our eternal friendship!
context: Betrayed and walked all over.\To think, only you really believed that you were friends.\You have a mind that can keep\peace between others, even at your own expense.\How beautiful and noble.\Would you be my friend, Chris?\This is\This is the proof of our eternal friendship! response:	You were never my friends!
context: To think, only you really believed that you were friends.\You have a mind that can keep\peace between others, even at your own expense.\How beautiful and noble.\Would you be my friend, Chris?\This is\This is the proof of our eternal friendship!\You were never my friends! response:	Please, Chris, listen to me!
context: You have a mind that can keep\peace between others, even at your own expense.\How beautiful and noble.\Would you be my friend, Chris?\This is\This is the proof of our eternal friendship!\You were never my friends!\Please, Chris, listen to me! response:	Rosalie-oneesama!
context: peace between others, even at your own expense.\How beautiful and noble.\Would you be my friend, Chris?\This is\This is the proof of our eternal friendship!\You were never my friends!\Please, Chris, listen to me!\Rosalie-oneesama! response:	we should go, too.
context: How beautiful and noble.\Would you be my friend, Chris?\This is\This is the proof of our eternal friendship!\You were never my friends!\Please, Chris, listen to me!\Rosalie-oneesama!\we should go, too. response:	Wait, Marika.
context: Would you be my friend, Chris?\This is\This is the proof of our eternal friendship!\You were never my friends!\Please, Chris, listen to me!\Rosalie-oneesama!\we should go, too.\Wait, Marika. response:	Our orders were to stand by.
context: This is\This is the proof of our eternal friendship!\You were never my friends!\Please, Chris, listen to me!\Rosalie-oneesama!\we should go, too.\Wait, Marika.\Our orders were to stand by. response:	But Onee-sama's in trouble.
context: This is the proof of our eternal friendship!\You were never my friends!\Please, Chris, listen to me!\Rosalie-oneesama!\we should go, too.\Wait, Marika.\Our orders were to stand by.\But Onee-sama's in trouble. response:	That girl was Embryo-san?
context: You were never my friends!\Please, Chris, listen to me!\Rosalie-oneesama!\we should go, too.\Wait, Marika.\Our orders were to stand by.\But Onee-sama's in trouble.\That girl was Embryo-san? response:	What's going on?
context: Please, Chris, listen to me!\Rosalie-oneesama!\we should go, too.\Wait, Marika.\Our orders were to stand by.\But Onee-sama's in trouble.\That girl was Embryo-san?\What's going on? response:	I don't know.
context: Rosalie-oneesama!\we should go, too.\Wait, Marika.\Our orders were to stand by.\But Onee-sama's in trouble.\That girl was Embryo-san?\What's going on?\I don't know. response:	But she looked like she was being manipulated.
context: we should go, too.\Wait, Marika.\Our orders were to stand by.\But Onee-sama's in trouble.\That girl was Embryo-san?\What's going on?\I don't know.\But she looked like she was being manipulated. response:	Have you forgotten?
context: Wait, Marika.\Our orders were to stand by.\But Onee-sama's in trouble.\That girl was Embryo-san?\What's going on?\I don't know.\But she looked like she was being manipulated.\Have you forgotten? response:	Have you forgotten who created these humans?
context: Our orders were to stand by.\But Onee-sama's in trouble.\That girl was Embryo-san?\What's going on?\I don't know.\But she looked like she was being manipulated.\Have you forgotten?\Have you forgotten who created these humans? response:	Momoka!
context: But Onee-sama's in trouble.\That girl was Embryo-san?\What's going on?\I don't know.\But she looked like she was being manipulated.\Have you forgotten?\Have you forgotten who created these humans?\Momoka! response:	What did I just
context: That girl was Embryo-san?\What's going on?\I don't know.\But she looked like she was being manipulated.\Have you forgotten?\Have you forgotten who created these humans?\Momoka!\What did I just response:	Momoka, ahead!
context: What's going on?\I don't know.\But she looked like she was being manipulated.\Have you forgotten?\Have you forgotten who created these humans?\Momoka!\What did I just\Momoka, ahead! response:	Momoka, are you all right?
context: I don't know.\But she looked like she was being manipulated.\Have you forgotten?\Have you forgotten who created these humans?\Momoka!\What did I just\Momoka, ahead!\Momoka, are you all right? response:	Are you hurt, Ange?
context: But she looked like she was being manipulated.\Have you forgotten?\Have you forgotten who created these humans?\Momoka!\What did I just\Momoka, ahead!\Momoka, are you all right?\Are you hurt, Ange? response:	Come home, Ange.
context: Have you forgotten?\Have you forgotten who created these humans?\Momoka!\What did I just\Momoka, ahead!\Momoka, are you all right?\Are you hurt, Ange?\Come home, Ange. response:	This way.
context: Have you forgotten who created these humans?\Momoka!\What did I just\Momoka, ahead!\Momoka, are you all right?\Are you hurt, Ange?\Come home, Ange.\This way. response:	We aren't strong enough right now.
context: Momoka!\What did I just\Momoka, ahead!\Momoka, are you all right?\Are you hurt, Ange?\Come home, Ange.\This way.\We aren't strong enough right now. response:	We're retreating, Kaname, Naga.
context: What did I just\Momoka, ahead!\Momoka, are you all right?\Are you hurt, Ange?\Come home, Ange.\This way.\We aren't strong enough right now.\We're retreating, Kaname, Naga. response:	What?!
context: Momoka, ahead!\Momoka, are you all right?\Are you hurt, Ange?\Come home, Ange.\This way.\We aren't strong enough right now.\We're retreating, Kaname, Naga.\What?! response:	We can't rescue Aura with our current forces.
context: Momoka, are you all right?\Are you hurt, Ange?\Come home, Ange.\This way.\We aren't strong enough right now.\We're retreating, Kaname, Naga.\What?!\We can't rescue Aura with our current forces. response:	We're going to retreat and regroup.
context: Are you hurt, Ange?\Come home, Ange.\This way.\We aren't strong enough right now.\We're retreating, Kaname, Naga.\What?!\We can't rescue Aura with our current forces.\We're going to retreat and regroup. response:	Riza, I trust you can hear me.
context: Come home, Ange.\This way.\We aren't strong enough right now.\We're retreating, Kaname, Naga.\What?!\We can't rescue Aura with our current forces.\We're going to retreat and regroup.\Riza, I trust you can hear me. response:	You shall rendezvous with us, too.
context: This way.\We aren't strong enough right now.\We're retreating, Kaname, Naga.\What?!\We can't rescue Aura with our current forces.\We're going to retreat and regroup.\Riza, I trust you can hear me.\You shall rendezvous with us, too. response:	I won't ask what happened to you right now.
context: We aren't strong enough right now.\We're retreating, Kaname, Naga.\What?!\We can't rescue Aura with our current forces.\We're going to retreat and regroup.\Riza, I trust you can hear me.\You shall rendezvous with us, too.\I won't ask what happened to you right now. response:	But if you regret having let so many of your friends die,
context: We're retreating, Kaname, Naga.\What?!\We can't rescue Aura with our current forces.\We're going to retreat and regroup.\Riza, I trust you can hear me.\You shall rendezvous with us, too.\I won't ask what happened to you right now.\But if you regret having let so many of your friends die, response:	you'll fight along with us now to save as many of your friends as you can.
context: What?!\We can't rescue Aura with our current forces.\We're going to retreat and regroup.\Riza, I trust you can hear me.\You shall rendezvous with us, too.\I won't ask what happened to you right now.\But if you regret having let so many of your friends die,\you'll fight along with us now to save as many of your friends as you can. response:	Salamandinay-sama...
context: We can't rescue Aura with our current forces.\We're going to retreat and regroup.\Riza, I trust you can hear me.\You shall rendezvous with us, too.\I won't ask what happened to you right now.\But if you regret having let so many of your friends die,\you'll fight along with us now to save as many of your friends as you can.\Salamandinay-sama... response:	Go back to the dungeon peacefully.
context: We're going to retreat and regroup.\Riza, I trust you can hear me.\You shall rendezvous with us, too.\I won't ask what happened to you right now.\But if you regret having let so many of your friends die,\you'll fight along with us now to save as many of your friends as you can.\Salamandinay-sama...\Go back to the dungeon peacefully. response:	Otherwise, I'll have Embryo-ojisama punish you.
context: Riza, I trust you can hear me.\You shall rendezvous with us, too.\I won't ask what happened to you right now.\But if you regret having let so many of your friends die,\you'll fight along with us now to save as many of your friends as you can.\Salamandinay-sama...\Go back to the dungeon peacefully.\Otherwise, I'll have Embryo-ojisama punish you. response:	What a sad child.
context: You shall rendezvous with us, too.\I won't ask what happened to you right now.\But if you regret having let so many of your friends die,\you'll fight along with us now to save as many of your friends as you can.\Salamandinay-sama...\Go back to the dungeon peacefully.\Otherwise, I'll have Embryo-ojisama punish you.\What a sad child. response:	It was Julio that killed your father, and yet...
context: I won't ask what happened to you right now.\But if you regret having let so many of your friends die,\you'll fight along with us now to save as many of your friends as you can.\Salamandinay-sama...\Go back to the dungeon peacefully.\Otherwise, I'll have Embryo-ojisama punish you.\What a sad child.\It was Julio that killed your father, and yet... response:	What? What are you...
context: But if you regret having let so many of your friends die,\you'll fight along with us now to save as many of your friends as you can.\Salamandinay-sama...\Go back to the dungeon peacefully.\Otherwise, I'll have Embryo-ojisama punish you.\What a sad child.\It was Julio that killed your father, and yet...\What? What are you... response:	Wait!
context: you'll fight along with us now to save as many of your friends as you can.\Salamandinay-sama...\Go back to the dungeon peacefully.\Otherwise, I'll have Embryo-ojisama punish you.\What a sad child.\It was Julio that killed your father, and yet...\What? What are you...\Wait! response:	Shit, you're not getting away!
context: Salamandinay-sama...\Go back to the dungeon peacefully.\Otherwise, I'll have Embryo-ojisama punish you.\What a sad child.\It was Julio that killed your father, and yet...\What? What are you...\Wait!\Shit, you're not getting away! response:	Don't chase them too far.
context: Go back to the dungeon peacefully.\Otherwise, I'll have Embryo-ojisama punish you.\What a sad child.\It was Julio that killed your father, and yet...\What? What are you...\Wait!\Shit, you're not getting away!\Don't chase them too far. response:	What?
context: Otherwise, I'll have Embryo-ojisama punish you.\What a sad child.\It was Julio that killed your father, and yet...\What? What are you...\Wait!\Shit, you're not getting away!\Don't chase them too far.\What? response:	Um...
context: What a sad child.\It was Julio that killed your father, and yet...\What? What are you...\Wait!\Shit, you're not getting away!\Don't chase them too far.\What?\Um... response:	Princess, what was I just...
context: It was Julio that killed your father, and yet...\What? What are you...\Wait!\Shit, you're not getting away!\Don't chase them too far.\What?\Um...\Princess, what was I just... response:	I don't know.
context: What? What are you...\Wait!\Shit, you're not getting away!\Don't chase them too far.\What?\Um...\Princess, what was I just...\I don't know. response:	You can't escape, Ange.
context: Wait!\Shit, you're not getting away!\Don't chase them too far.\What?\Um...\Princess, what was I just...\I don't know.\You can't escape, Ange. response:	You're smart.
context: Shit, you're not getting away!\Don't chase them too far.\What?\Um...\Princess, what was I just...\I don't know.\You can't escape, Ange.\You're smart. response:	You must have realized.
context: Don't chase them too far.\What?\Um...\Princess, what was I just...\I don't know.\You can't escape, Ange.\You're smart.\You must have realized. response:	I can control everyone who uses Mana.
context: What?\Um...\Princess, what was I just...\I don't know.\You can't escape, Ange.\You're smart.\You must have realized.\I can control everyone who uses Mana. response:	So long as that maid is with you...
context: Um...\Princess, what was I just...\I don't know.\You can't escape, Ange.\You're smart.\You must have realized.\I can control everyone who uses Mana.\So long as that maid is with you... response:	I said I don't know!
context: Princess, what was I just...\I don't know.\You can't escape, Ange.\You're smart.\You must have realized.\I can control everyone who uses Mana.\So long as that maid is with you...\I said I don't know! response:	My, my.
context: I don't know.\You can't escape, Ange.\You're smart.\You must have realized.\I can control everyone who uses Mana.\So long as that maid is with you...\I said I don't know!\My, my. response:	What a stubborn bride.
context: You can't escape, Ange.\You're smart.\You must have realized.\I can control everyone who uses Mana.\So long as that maid is with you...\I said I don't know!\My, my.\What a stubborn bride. response:	Do you need to be punished again?
context: You're smart.\You must have realized.\I can control everyone who uses Mana.\So long as that maid is with you...\I said I don't know!\My, my.\What a stubborn bride.\Do you need to be punished again? response:	Ange!
context: You must have realized.\I can control everyone who uses Mana.\So long as that maid is with you...\I said I don't know!\My, my.\What a stubborn bride.\Do you need to be punished again?\Ange! response:	Tusk!
context: I can control everyone who uses Mana.\So long as that maid is with you...\I said I don't know!\My, my.\What a stubborn bride.\Do you need to be punished again?\Ange!\Tusk! response:	Sorry I'm late.
context: So long as that maid is with you...\I said I don't know!\My, my.\What a stubborn bride.\Do you need to be punished again?\Ange!\Tusk!\Sorry I'm late. response:	Get on and run.
context: I said I don't know!\My, my.\What a stubborn bride.\Do you need to be punished again?\Ange!\Tusk!\Sorry I'm late.\Get on and run. response:	What about you?
context: My, my.\What a stubborn bride.\Do you need to be punished again?\Ange!\Tusk!\Sorry I'm late.\Get on and run.\What about you? response:	I have business with him.
context: What a stubborn bride.\Do you need to be punished again?\Ange!\Tusk!\Sorry I'm late.\Get on and run.\What about you?\I have business with him. response:	Hurry!
context: Do you need to be punished again?\Ange!\Tusk!\Sorry I'm late.\Get on and run.\What about you?\I have business with him.\Hurry! response:	Momoka, let's go.
context: Ange!\Tusk!\Sorry I'm late.\Get on and run.\What about you?\I have business with him.\Hurry!\Momoka, let's go. response:	Yes.
context: Tusk!\Sorry I'm late.\Get on and run.\What about you?\I have business with him.\Hurry!\Momoka, let's go.\Yes. response:	You'd dare separate us?
context: Sorry I'm late.\Get on and run.\What about you?\I have business with him.\Hurry!\Momoka, let's go.\Yes.\You'd dare separate us? response:	Prepare yourself, maggot.
context: Get on and run.\What about you?\I have business with him.\Hurry!\Momoka, let's go.\Yes.\You'd dare separate us?\Prepare yourself, maggot. response:	I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa!
context: What about you?\I have business with him.\Hurry!\Momoka, let's go.\Yes.\You'd dare separate us?\Prepare yourself, maggot.\I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa! response:	As the last of the Ancient People and Ange's Knight...!
context: I have business with him.\Hurry!\Momoka, let's go.\Yes.\You'd dare separate us?\Prepare yourself, maggot.\I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa!\As the last of the Ancient People and Ange's Knight...! response:	So you...
context: Hurry!\Momoka, let's go.\Yes.\You'd dare separate us?\Prepare yourself, maggot.\I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa!\As the last of the Ancient People and Ange's Knight...!\So you... response:	Oh?
context: Momoka, let's go.\Yes.\You'd dare separate us?\Prepare yourself, maggot.\I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa!\As the last of the Ancient People and Ange's Knight...!\So you...\Oh? response:	Chris is strong!
context: Yes.\You'd dare separate us?\Prepare yourself, maggot.\I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa!\As the last of the Ancient People and Ange's Knight...!\So you...\Oh?\Chris is strong! response:	Shit.
context: You'd dare separate us?\Prepare yourself, maggot.\I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa!\As the last of the Ancient People and Ange's Knight...!\So you...\Oh?\Chris is strong!\Shit. response:	Hilda!
context: Prepare yourself, maggot.\I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa!\As the last of the Ancient People and Ange's Knight...!\So you...\Oh?\Chris is strong!\Shit.\Hilda! response:	I found Ange.
context: I am Tusk, the son of Villkiss Knight Istvan and Mail Rider Vanessa!\As the last of the Ancient People and Ange's Knight...!\So you...\Oh?\Chris is strong!\Shit.\Hilda!\I found Ange. response:	Protect her.
context: As the last of the Ancient People and Ange's Knight...!\So you...\Oh?\Chris is strong!\Shit.\Hilda!\I found Ange.\Protect her. response:	What about the Villkiss?
context: So you...\Oh?\Chris is strong!\Shit.\Hilda!\I found Ange.\Protect her.\What about the Villkiss? response:	It's in the water.
context: Oh?\Chris is strong!\Shit.\Hilda!\I found Ange.\Protect her.\What about the Villkiss?\It's in the water. response:	We can't get it back now.
context: Chris is strong!\Shit.\Hilda!\I found Ange.\Protect her.\What about the Villkiss?\It's in the water.\We can't get it back now. response:	Tusk!
context: Shit.\Hilda!\I found Ange.\Protect her.\What about the Villkiss?\It's in the water.\We can't get it back now.\Tusk! response:	Damn it!
context: Hilda!\I found Ange.\Protect her.\What about the Villkiss?\It's in the water.\We can't get it back now.\Tusk!\Damn it! response:	All units, retreat!
context: I found Ange.\Protect her.\What about the Villkiss?\It's in the water.\We can't get it back now.\Tusk!\Damn it!\All units, retreat! response:	Rendezvous with Ange and return to the Aurora.
context: Protect her.\What about the Villkiss?\It's in the water.\We can't get it back now.\Tusk!\Damn it!\All units, retreat!\Rendezvous with Ange and return to the Aurora. response:	Understood.
context: What about the Villkiss?\It's in the water.\We can't get it back now.\Tusk!\Damn it!\All units, retreat!\Rendezvous with Ange and return to the Aurora.\Understood. response:	You won't escape.
context: It's in the water.\We can't get it back now.\Tusk!\Damn it!\All units, retreat!\Rendezvous with Ange and return to the Aurora.\Understood.\You won't escape. response:	Onee-sama!
context: We can't get it back now.\Tusk!\Damn it!\All units, retreat!\Rendezvous with Ange and return to the Aurora.\Understood.\You won't escape.\Onee-sama! response:	Marika.
context: Tusk!\Damn it!\All units, retreat!\Rendezvous with Ange and return to the Aurora.\Understood.\You won't escape.\Onee-sama!\Marika. response:	Why are you here?
context: Damn it!\All units, retreat!\Rendezvous with Ange and return to the Aurora.\Understood.\You won't escape.\Onee-sama!\Marika.\Why are you here? response:	To give you backup!
context: All units, retreat!\Rendezvous with Ange and return to the Aurora.\Understood.\You won't escape.\Onee-sama!\Marika.\Why are you here?\To give you backup! response:	Piss off!
context: Rendezvous with Ange and return to the Aurora.\Understood.\You won't escape.\Onee-sama!\Marika.\Why are you here?\To give you backup!\Piss off! response:	Marika.
context: Understood.\You won't escape.\Onee-sama!\Marika.\Why are you here?\To give you backup!\Piss off!\Marika. response:	Marika!
context: You won't escape.\Onee-sama!\Marika.\Why are you here?\To give you backup!\Piss off!\Marika.\Marika! response:	Chris!
context: Onee-sama!\Marika.\Why are you here?\To give you backup!\Piss off!\Marika.\Marika!\Chris! response:	You!
context: Marika.\Why are you here?\To give you backup!\Piss off!\Marika.\Marika!\Chris!\You! response:	That machine.
context: Why are you here?\To give you backup!\Piss off!\Marika.\Marika!\Chris!\You!\That machine. response:	It's Salasala-san!
context: To give you backup!\Piss off!\Marika.\Marika!\Chris!\You!\That machine.\It's Salasala-san! response:	It's Salamandinay, Vivian.
context: Piss off!\Marika.\Marika!\Chris!\You!\That machine.\It's Salasala-san!\It's Salamandinay, Vivian. response:	Damn.
context: Marika.\Marika!\Chris!\You!\That machine.\It's Salasala-san!\It's Salamandinay, Vivian.\Damn. response:	Chris, wait, dammit!
context: Marika!\Chris!\You!\That machine.\It's Salasala-san!\It's Salamandinay, Vivian.\Damn.\Chris, wait, dammit! response:	Rosalie, calm down.
context: Chris!\You!\That machine.\It's Salasala-san!\It's Salamandinay, Vivian.\Damn.\Chris, wait, dammit!\Rosalie, calm down. response:	Dammit!
context: You!\That machine.\It's Salasala-san!\It's Salamandinay, Vivian.\Damn.\Chris, wait, dammit!\Rosalie, calm down.\Dammit! response:	Ange's knight, you say?
context: That machine.\It's Salasala-san!\It's Salamandinay, Vivian.\Damn.\Chris, wait, dammit!\Rosalie, calm down.\Dammit!\Ange's knight, you say? response:	You're just an Old World monkey!
context: It's Salasala-san!\It's Salamandinay, Vivian.\Damn.\Chris, wait, dammit!\Rosalie, calm down.\Dammit!\Ange's knight, you say?\You're just an Old World monkey! response:	You terrorist remnant!
context: It's Salamandinay, Vivian.\Damn.\Chris, wait, dammit!\Rosalie, calm down.\Dammit!\Ange's knight, you say?\You're just an Old World monkey!\You terrorist remnant! response:	It's no use.
context: Damn.\Chris, wait, dammit!\Rosalie, calm down.\Dammit!\Ange's knight, you say?\You're just an Old World monkey!\You terrorist remnant!\It's no use. response:	No it isn't, demon of Heiselberg, resident of a nondeterministic world!
context: Chris, wait, dammit!\Rosalie, calm down.\Dammit!\Ange's knight, you say?\You're just an Old World monkey!\You terrorist remnant!\It's no use.\No it isn't, demon of Heiselberg, resident of a nondeterministic world! response:	But if I can slow you down, even just a little...
context: Rosalie, calm down.\Dammit!\Ange's knight, you say?\You're just an Old World monkey!\You terrorist remnant!\It's no use.\No it isn't, demon of Heiselberg, resident of a nondeterministic world!\But if I can slow you down, even just a little... response:	Oh?
context: Dammit!\Ange's knight, you say?\You're just an Old World monkey!\You terrorist remnant!\It's no use.\No it isn't, demon of Heiselberg, resident of a nondeterministic world!\But if I can slow you down, even just a little...\Oh? response:	So the monkey has grown a little smarter.
context: Ange's knight, you say?\You're just an Old World monkey!\You terrorist remnant!\It's no use.\No it isn't, demon of Heiselberg, resident of a nondeterministic world!\But if I can slow you down, even just a little...\Oh?\So the monkey has grown a little smarter. response:	But he's still just a monkey, after all.
context: You're just an Old World monkey!\You terrorist remnant!\It's no use.\No it isn't, demon of Heiselberg, resident of a nondeterministic world!\But if I can slow you down, even just a little...\Oh?\So the monkey has grown a little smarter.\But he's still just a monkey, after all. response:	Shit!
context: You terrorist remnant!\It's no use.\No it isn't, demon of Heiselberg, resident of a nondeterministic world!\But if I can slow you down, even just a little...\Oh?\So the monkey has grown a little smarter.\But he's still just a monkey, after all.\Shit! response:	Momoka, it's the ocean.
context: It's no use.\No it isn't, demon of Heiselberg, resident of a nondeterministic world!\But if I can slow you down, even just a little...\Oh?\So the monkey has grown a little smarter.\But he's still just a monkey, after all.\Shit!\Momoka, it's the ocean. response:	Momoka.
context: No it isn't, demon of Heiselberg, resident of a nondeterministic world!\But if I can slow you down, even just a little...\Oh?\So the monkey has grown a little smarter.\But he's still just a monkey, after all.\Shit!\Momoka, it's the ocean.\Momoka. response:	Ange...
context: But if I can slow you down, even just a little...\Oh?\So the monkey has grown a little smarter.\But he's still just a monkey, after all.\Shit!\Momoka, it's the ocean.\Momoka.\Ange... response:	You're beautiful when you're angry, too.
context: Oh?\So the monkey has grown a little smarter.\But he's still just a monkey, after all.\Shit!\Momoka, it's the ocean.\Momoka.\Ange...\You're beautiful when you're angry, too. response:	Why do you reject me so much?
context: So the monkey has grown a little smarter.\But he's still just a monkey, after all.\Shit!\Momoka, it's the ocean.\Momoka.\Ange...\You're beautiful when you're angry, too.\Why do you reject me so much? response:	Is it that man?
context: But he's still just a monkey, after all.\Shit!\Momoka, it's the ocean.\Momoka.\Ange...\You're beautiful when you're angry, too.\Why do you reject me so much?\Is it that man? response:	Let go of Ange.
context: Shit!\Momoka, it's the ocean.\Momoka.\Ange...\You're beautiful when you're angry, too.\Why do you reject me so much?\Is it that man?\Let go of Ange. response:	Momoka!
context: Momoka, it's the ocean.\Momoka.\Ange...\You're beautiful when you're angry, too.\Why do you reject me so much?\Is it that man?\Let go of Ange.\Momoka! response:	I've increased her physical ability to the limit of her body's capabilities.
context: Momoka.\Ange...\You're beautiful when you're angry, too.\Why do you reject me so much?\Is it that man?\Let go of Ange.\Momoka!\I've increased her physical ability to the limit of her body's capabilities. response:	Behold, the end of a foolish man.
context: Ange...\You're beautiful when you're angry, too.\Why do you reject me so much?\Is it that man?\Let go of Ange.\Momoka!\I've increased her physical ability to the limit of her body's capabilities.\Behold, the end of a foolish man. response:	Stop, please.
context: You're beautiful when you're angry, too.\Why do you reject me so much?\Is it that man?\Let go of Ange.\Momoka!\I've increased her physical ability to the limit of her body's capabilities.\Behold, the end of a foolish man.\Stop, please. response:	Stop, Momoka!
context: Why do you reject me so much?\Is it that man?\Let go of Ange.\Momoka!\I've increased her physical ability to the limit of her body's capabilities.\Behold, the end of a foolish man.\Stop, please.\Stop, Momoka! response:	It's useless.
context: Is it that man?\Let go of Ange.\Momoka!\I've increased her physical ability to the limit of her body's capabilities.\Behold, the end of a foolish man.\Stop, please.\Stop, Momoka!\It's useless. response:	She can't go against her creator's commands.
context: Let go of Ange.\Momoka!\I've increased her physical ability to the limit of her body's capabilities.\Behold, the end of a foolish man.\Stop, please.\Stop, Momoka!\It's useless.\She can't go against her creator's commands. response:	No.
context: Momoka!\I've increased her physical ability to the limit of her body's capabilities.\Behold, the end of a foolish man.\Stop, please.\Stop, Momoka!\It's useless.\She can't go against her creator's commands.\No. response:	Momoka is my top maid.
context: I've increased her physical ability to the limit of her body's capabilities.\Behold, the end of a foolish man.\Stop, please.\Stop, Momoka!\It's useless.\She can't go against her creator's commands.\No.\Momoka is my top maid. response:	Wake up, Momoka!
context: Behold, the end of a foolish man.\Stop, please.\Stop, Momoka!\It's useless.\She can't go against her creator's commands.\No.\Momoka is my top maid.\Wake up, Momoka! response:	Angelise-sama.
context: Stop, please.\Stop, Momoka!\It's useless.\She can't go against her creator's commands.\No.\Momoka is my top maid.\Wake up, Momoka!\Angelise-sama. response:	Tusk-san.
context: Stop, Momoka!\It's useless.\She can't go against her creator's commands.\No.\Momoka is my top maid.\Wake up, Momoka!\Angelise-sama.\Tusk-san. response:	Please take care of the princess.
context: It's useless.\She can't go against her creator's commands.\No.\Momoka is my top maid.\Wake up, Momoka!\Angelise-sama.\Tusk-san.\Please take care of the princess. response:	Run, Princess!
context: She can't go against her creator's commands.\No.\Momoka is my top maid.\Wake up, Momoka!\Angelise-sama.\Tusk-san.\Please take care of the princess.\Run, Princess! response:	Oh?
context: No.\Momoka is my top maid.\Wake up, Momoka!\Angelise-sama.\Tusk-san.\Please take care of the princess.\Run, Princess!\Oh? response:	Momoka!
context: Momoka is my top maid.\Wake up, Momoka!\Angelise-sama.\Tusk-san.\Please take care of the princess.\Run, Princess!\Oh?\Momoka! response:	Mana!
context: Wake up, Momoka!\Angelise-sama.\Tusk-san.\Please take care of the princess.\Run, Princess!\Oh?\Momoka!\Mana! response:	Light of Mana!
context: Angelise-sama.\Tusk-san.\Please take care of the princess.\Run, Princess!\Oh?\Momoka!\Mana!\Light of Mana! response:	What?!
context: Tusk-san.\Please take care of the princess.\Run, Princess!\Oh?\Momoka!\Mana!\Light of Mana!\What?! response:	Momoka.
context: Please take care of the princess.\Run, Princess!\Oh?\Momoka!\Mana!\Light of Mana!\What?!\Momoka. response:	Momoka.
context: Run, Princess!\Oh?\Momoka!\Mana!\Light of Mana!\What?!\Momoka.\Momoka. response:	Momoka!
context: Oh?\Momoka!\Mana!\Light of Mana!\What?!\Momoka.\Momoka.\Momoka! response:	Wait.
context: Momoka!\Mana!\Light of Mana!\What?!\Momoka.\Momoka.\Momoka!\Wait. response:	Momoka!
context: Mana!\Light of Mana!\What?!\Momoka.\Momoka.\Momoka!\Wait.\Momoka! response:	Tusk, please.
context: Light of Mana!\What?!\Momoka.\Momoka.\Momoka!\Wait.\Momoka!\Tusk, please. response:	Momoka!
context: What?!\Momoka.\Momoka.\Momoka!\Wait.\Momoka!\Tusk, please.\Momoka! response:	My, my, I'm impressed.
context: Momoka.\Momoka.\Momoka!\Wait.\Momoka!\Tusk, please.\Momoka!\My, my, I'm impressed. response:	To think, a homunculus rejected me.
context: Momoka.\Momoka!\Wait.\Momoka!\Tusk, please.\Momoka!\My, my, I'm impressed.\To think, a homunculus rejected me. response:	Embryo.
context: Momoka!\Wait.\Momoka!\Tusk, please.\Momoka!\My, my, I'm impressed.\To think, a homunculus rejected me.\Embryo. response:	How could you...
context: Wait.\Momoka!\Tusk, please.\Momoka!\My, my, I'm impressed.\To think, a homunculus rejected me.\Embryo.\How could you... response:	Momoka...
context: Momoka!\Tusk, please.\Momoka!\My, my, I'm impressed.\To think, a homunculus rejected me.\Embryo.\How could you...\Momoka... response:	You're going to live on.
context: Tusk, please.\Momoka!\My, my, I'm impressed.\To think, a homunculus rejected me.\Embryo.\How could you...\Momoka...\You're going to live on. response:	I'll be back by your side, I promise.
context: Momoka!\My, my, I'm impressed.\To think, a homunculus rejected me.\Embryo.\How could you...\Momoka...\You're going to live on.\I'll be back by your side, I promise. response:	No.
