context: Your Majesty. response:	If I may, you don't have to go yourself.
context: I'll use it to...\Naofumi!\You're so annoying! Don't try to stop me!\Master, do you really hate everything?\What is this voice?\Did your travels with us truly mean nothing at all?\Travels?\I was terrified at first. response:	I was sure you would treat me like an object, like everyone else.
context: Naofumi!\You're so annoying! Don't try to stop me!\Master, do you really hate everything?\What is this voice?\Did your travels with us truly mean nothing at all?\Travels?\I was terrified at first.\I was sure you would treat me like an object, like everyone else. response:	But you were nice to me.
context: You're so annoying! Don't try to stop me!\Master, do you really hate everything?\What is this voice?\Did your travels with us truly mean nothing at all?\Travels?\I was terrified at first.\I was sure you would treat me like an object, like everyone else.\But you were nice to me. response:	You cared for me.
context: Master, do you really hate everything?\What is this voice?\Did your travels with us truly mean nothing at all?\Travels?\I was terrified at first.\I was sure you would treat me like an object, like everyone else.\But you were nice to me.\You cared for me. response:	You scolded me when I went wrong, and protected me.
context: What is this voice?\Did your travels with us truly mean nothing at all?\Travels?\I was terrified at first.\I was sure you would treat me like an object, like everyone else.\But you were nice to me.\You cared for me.\You scolded me when I went wrong, and protected me. response:	That is why I vowed to stand with you.
context: Did your travels with us truly mean nothing at all?\Travels?\I was terrified at first.\I was sure you would treat me like an object, like everyone else.\But you were nice to me.\You cared for me.\You scolded me when I went wrong, and protected me.\That is why I vowed to stand with you. response:	You raised me since the moment I was born.
context: Travels?\I was terrified at first.\I was sure you would treat me like an object, like everyone else.\But you were nice to me.\You cared for me.\You scolded me when I went wrong, and protected me.\That is why I vowed to stand with you.\You raised me since the moment I was born. response:	You gave me the wagon, and all the fun and neat things in my life.
context: I was terrified at first.\I was sure you would treat me like an object, like everyone else.\But you were nice to me.\You cared for me.\You scolded me when I went wrong, and protected me.\That is why I vowed to stand with you.\You raised me since the moment I was born.\You gave me the wagon, and all the fun and neat things in my life. response:	You gave me everything I love.
context: I was sure you would treat me like an object, like everyone else.\But you were nice to me.\You cared for me.\You scolded me when I went wrong, and protected me.\That is why I vowed to stand with you.\You raised me since the moment I was born.\You gave me the wagon, and all the fun and neat things in my life.\You gave me everything I love. response:	You were stubborn, never listened to me, and kept making fun of me.
context: But you were nice to me.\You cared for me.\You scolded me when I went wrong, and protected me.\That is why I vowed to stand with you.\You raised me since the moment I was born.\You gave me the wagon, and all the fun and neat things in my life.\You gave me everything I love.\You were stubborn, never listened to me, and kept making fun of me. response:	But when you promised to keep me safe and did just that,
context: You cared for me.\You scolded me when I went wrong, and protected me.\That is why I vowed to stand with you.\You raised me since the moment I was born.\You gave me the wagon, and all the fun and neat things in my life.\You gave me everything I love.\You were stubborn, never listened to me, and kept making fun of me.\But when you promised to keep me safe and did just that, response:	and saw me for the person I am and not just as a princess,
context: You scolded me when I went wrong, and protected me.\That is why I vowed to stand with you.\You raised me since the moment I was born.\You gave me the wagon, and all the fun and neat things in my life.\You gave me everything I love.\You were stubborn, never listened to me, and kept making fun of me.\But when you promised to keep me safe and did just that,\and saw me for the person I am and not just as a princess, response:	it made me so happy.
context: That is why I vowed to stand with you.\You raised me since the moment I was born.\You gave me the wagon, and all the fun and neat things in my life.\You gave me everything I love.\You were stubborn, never listened to me, and kept making fun of me.\But when you promised to keep me safe and did just that,\and saw me for the person I am and not just as a princess,\it made me so happy. response:	That's right. I was on a journey...
context: You raised me since the moment I was born.\You gave me the wagon, and all the fun and neat things in my life.\You gave me everything I love.\You were stubborn, never listened to me, and kept making fun of me.\But when you promised to keep me safe and did just that,\and saw me for the person I am and not just as a princess,\it made me so happy.\That's right. I was on a journey... response:	With friends I held dear and swore to protect.
context: You gave me the wagon, and all the fun and neat things in my life.\You gave me everything I love.\You were stubborn, never listened to me, and kept making fun of me.\But when you promised to keep me safe and did just that,\and saw me for the person I am and not just as a princess,\it made me so happy.\That's right. I was on a journey...\With friends I held dear and swore to protect. response:	You're never open about your feelings, so we can never tell what you're thinking.
context: You gave me everything I love.\You were stubborn, never listened to me, and kept making fun of me.\But when you promised to keep me safe and did just that,\and saw me for the person I am and not just as a princess,\it made me so happy.\That's right. I was on a journey...\With friends I held dear and swore to protect.\You're never open about your feelings, so we can never tell what you're thinking. response:	But we do know that you care very deeply for us.
context: You were stubborn, never listened to me, and kept making fun of me.\But when you promised to keep me safe and did just that,\and saw me for the person I am and not just as a princess,\it made me so happy.\That's right. I was on a journey...\With friends I held dear and swore to protect.\You're never open about your feelings, so we can never tell what you're thinking.\But we do know that you care very deeply for us. response:	I love you, Master.
context: But when you promised to keep me safe and did just that,\and saw me for the person I am and not just as a princess,\it made me so happy.\That's right. I was on a journey...\With friends I held dear and swore to protect.\You're never open about your feelings, so we can never tell what you're thinking.\But we do know that you care very deeply for us.\I love you, Master. response:	So I'm gonna eat up all your bad feelings.
context: and saw me for the person I am and not just as a princess,\it made me so happy.\That's right. I was on a journey...\With friends I held dear and swore to protect.\You're never open about your feelings, so we can never tell what you're thinking.\But we do know that you care very deeply for us.\I love you, Master.\So I'm gonna eat up all your bad feelings. response:	I'll do all I can to share in your pain.
context: it made me so happy.\That's right. I was on a journey...\With friends I held dear and swore to protect.\You're never open about your feelings, so we can never tell what you're thinking.\But we do know that you care very deeply for us.\I love you, Master.\So I'm gonna eat up all your bad feelings.\I'll do all I can to share in your pain. response:	I'll cut through all your sorrow.
context: That's right. I was on a journey...\With friends I held dear and swore to protect.\You're never open about your feelings, so we can never tell what you're thinking.\But we do know that you care very deeply for us.\I love you, Master.\So I'm gonna eat up all your bad feelings.\I'll do all I can to share in your pain.\I'll cut through all your sorrow. response:	After all, I am your sword.
context: With friends I held dear and swore to protect.\You're never open about your feelings, so we can never tell what you're thinking.\But we do know that you care very deeply for us.\I love you, Master.\So I'm gonna eat up all your bad feelings.\I'll do all I can to share in your pain.\I'll cut through all your sorrow.\After all, I am your sword. response:	Naofumi-sama!
context: You're never open about your feelings, so we can never tell what you're thinking.\But we do know that you care very deeply for us.\I love you, Master.\So I'm gonna eat up all your bad feelings.\I'll do all I can to share in your pain.\I'll cut through all your sorrow.\After all, I am your sword.\Naofumi-sama! response:	You guys...
context: But we do know that you care very deeply for us.\I love you, Master.\So I'm gonna eat up all your bad feelings.\I'll do all I can to share in your pain.\I'll cut through all your sorrow.\After all, I am your sword.\Naofumi-sama!\You guys... response:	Thank goodness. You came back to us again.
context: I love you, Master.\So I'm gonna eat up all your bad feelings.\I'll do all I can to share in your pain.\I'll cut through all your sorrow.\After all, I am your sword.\Naofumi-sama!\You guys...\Thank goodness. You came back to us again. response:	Master!
context: So I'm gonna eat up all your bad feelings.\I'll do all I can to share in your pain.\I'll cut through all your sorrow.\After all, I am your sword.\Naofumi-sama!\You guys...\Thank goodness. You came back to us again.\Master! response:	Stop causing us so much trouble.
context: I'll do all I can to share in your pain.\I'll cut through all your sorrow.\After all, I am your sword.\Naofumi-sama!\You guys...\Thank goodness. You came back to us again.\Master!\Stop causing us so much trouble. response:	I'm sorry! I hurt you all again!
context: I'll cut through all your sorrow.\After all, I am your sword.\Naofumi-sama!\You guys...\Thank goodness. You came back to us again.\Master!\Stop causing us so much trouble.\I'm sorry! I hurt you all again! response:	They weren't wrong.
context: After all, I am your sword.\Naofumi-sama!\You guys...\Thank goodness. You came back to us again.\Master!\Stop causing us so much trouble.\I'm sorry! I hurt you all again!\They weren't wrong. response:	The path you chose
context: Naofumi-sama!\You guys...\Thank goodness. You came back to us again.\Master!\Stop causing us so much trouble.\I'm sorry! I hurt you all again!\They weren't wrong.\The path you chose response:	and the road we traveled down were definitely the right ones!
context: You guys...\Thank goodness. You came back to us again.\Master!\Stop causing us so much trouble.\I'm sorry! I hurt you all again!\They weren't wrong.\The path you chose\and the road we traveled down were definitely the right ones! response:	Raphtalia...
context: Thank goodness. You came back to us again.\Master!\Stop causing us so much trouble.\I'm sorry! I hurt you all again!\They weren't wrong.\The path you chose\and the road we traveled down were definitely the right ones!\Raphtalia... response:	I'll eat up your negative feelings again and again!
context: Master!\Stop causing us so much trouble.\I'm sorry! I hurt you all again!\They weren't wrong.\The path you chose\and the road we traveled down were definitely the right ones!\Raphtalia...\I'll eat up your negative feelings again and again! response:	Filo...
context: Stop causing us so much trouble.\I'm sorry! I hurt you all again!\They weren't wrong.\The path you chose\and the road we traveled down were definitely the right ones!\Raphtalia...\I'll eat up your negative feelings again and again!\Filo... response:	If you understand, hurry up and come up with a plan.
context: I'm sorry! I hurt you all again!\They weren't wrong.\The path you chose\and the road we traveled down were definitely the right ones!\Raphtalia...\I'll eat up your negative feelings again and again!\Filo...\If you understand, hurry up and come up with a plan. response:	We're in the middle of a battle.
context: They weren't wrong.\The path you chose\and the road we traveled down were definitely the right ones!\Raphtalia...\I'll eat up your negative feelings again and again!\Filo...\If you understand, hurry up and come up with a plan.\We're in the middle of a battle. response:	Got it, Melty.
context: The path you chose\and the road we traveled down were definitely the right ones!\Raphtalia...\I'll eat up your negative feelings again and again!\Filo...\If you understand, hurry up and come up with a plan.\We're in the middle of a battle.\Got it, Melty. response:	You okay?
context: and the road we traveled down were definitely the right ones!\Raphtalia...\I'll eat up your negative feelings again and again!\Filo...\If you understand, hurry up and come up with a plan.\We're in the middle of a battle.\Got it, Melty.\You okay? response:	It wasn't the same berserk mode as in the last Wave, was it?
context: Raphtalia...\I'll eat up your negative feelings again and again!\Filo...\If you understand, hurry up and come up with a plan.\We're in the middle of a battle.\Got it, Melty.\You okay?\It wasn't the same berserk mode as in the last Wave, was it? response:	Help me out.
context: I'll eat up your negative feelings again and again!\Filo...\If you understand, hurry up and come up with a plan.\We're in the middle of a battle.\Got it, Melty.\You okay?\It wasn't the same berserk mode as in the last Wave, was it?\Help me out. response:	Help you?
context: Filo...\If you understand, hurry up and come up with a plan.\We're in the middle of a battle.\Got it, Melty.\You okay?\It wasn't the same berserk mode as in the last Wave, was it?\Help me out.\Help you? response:	Please.
context: If you understand, hurry up and come up with a plan.\We're in the middle of a battle.\Got it, Melty.\You okay?\It wasn't the same berserk mode as in the last Wave, was it?\Help me out.\Help you?\Please. response:	I never expected to hear those words from you.
context: We're in the middle of a battle.\Got it, Melty.\You okay?\It wasn't the same berserk mode as in the last Wave, was it?\Help me out.\Help you?\Please.\I never expected to hear those words from you. response:	Can we win?
context: Got it, Melty.\You okay?\It wasn't the same berserk mode as in the last Wave, was it?\Help me out.\Help you?\Please.\I never expected to hear those words from you.\Can we win? response:	I don't know, but it's worth a shot.
context: You okay?\It wasn't the same berserk mode as in the last Wave, was it?\Help me out.\Help you?\Please.\I never expected to hear those words from you.\Can we win?\I don't know, but it's worth a shot. response:	I was saying we should fight together all along.
context: It wasn't the same berserk mode as in the last Wave, was it?\Help me out.\Help you?\Please.\I never expected to hear those words from you.\Can we win?\I don't know, but it's worth a shot.\I was saying we should fight together all along. response:	Motoyasu?
context: Help me out.\Help you?\Please.\I never expected to hear those words from you.\Can we win?\I don't know, but it's worth a shot.\I was saying we should fight together all along.\Motoyasu? response:	I-I...
context: Help you?\Please.\I never expected to hear those words from you.\Can we win?\I don't know, but it's worth a shot.\I was saying we should fight together all along.\Motoyasu?\I-I... response:	Fine! I'll do it!
context: Please.\I never expected to hear those words from you.\Can we win?\I don't know, but it's worth a shot.\I was saying we should fight together all along.\Motoyasu?\I-I...\Fine! I'll do it! response:	We need to prove that friendship and strong bonds will always prevail.
context: I never expected to hear those words from you.\Can we win?\I don't know, but it's worth a shot.\I was saying we should fight together all along.\Motoyasu?\I-I...\Fine! I'll do it!\We need to prove that friendship and strong bonds will always prevail. response:	It seems you were up to something, but everything is ready now.
context: Can we win?\I don't know, but it's worth a shot.\I was saying we should fight together all along.\Motoyasu?\I-I...\Fine! I'll do it!\We need to prove that friendship and strong bonds will always prevail.\It seems you were up to something, but everything is ready now. response:	This is goodbye, Devil of the Shield!
context: I don't know, but it's worth a shot.\I was saying we should fight together all along.\Motoyasu?\I-I...\Fine! I'll do it!\We need to prove that friendship and strong bonds will always prevail.\It seems you were up to something, but everything is ready now.\This is goodbye, Devil of the Shield! response:	Even if you're the Devil of the Shield,
context: I was saying we should fight together all along.\Motoyasu?\I-I...\Fine! I'll do it!\We need to prove that friendship and strong bonds will always prevail.\It seems you were up to something, but everything is ready now.\This is goodbye, Devil of the Shield!\Even if you're the Devil of the Shield, response:	I'm amazed you could stop the Cathedral's full-power attack.
context: Motoyasu?\I-I...\Fine! I'll do it!\We need to prove that friendship and strong bonds will always prevail.\It seems you were up to something, but everything is ready now.\This is goodbye, Devil of the Shield!\Even if you're the Devil of the Shield,\I'm amazed you could stop the Cathedral's full-power attack. response:	Immense power always comes at a price.
context: I-I...\Fine! I'll do it!\We need to prove that friendship and strong bonds will always prevail.\It seems you were up to something, but everything is ready now.\This is goodbye, Devil of the Shield!\Even if you're the Devil of the Shield,\I'm amazed you could stop the Cathedral's full-power attack.\Immense power always comes at a price. response:	And if your divine power comes at the cost of your disciples,
context: Fine! I'll do it!\We need to prove that friendship and strong bonds will always prevail.\It seems you were up to something, but everything is ready now.\This is goodbye, Devil of the Shield!\Even if you're the Devil of the Shield,\I'm amazed you could stop the Cathedral's full-power attack.\Immense power always comes at a price.\And if your divine power comes at the cost of your disciples, response:	your life alone won't be enough to pay for it!
context: We need to prove that friendship and strong bonds will always prevail.\It seems you were up to something, but everything is ready now.\This is goodbye, Devil of the Shield!\Even if you're the Devil of the Shield,\I'm amazed you could stop the Cathedral's full-power attack.\Immense power always comes at a price.\And if your divine power comes at the cost of your disciples,\your life alone won't be enough to pay for it! response:	That shield...
context: It seems you were up to something, but everything is ready now.\This is goodbye, Devil of the Shield!\Even if you're the Devil of the Shield,\I'm amazed you could stop the Cathedral's full-power attack.\Immense power always comes at a price.\And if your divine power comes at the cost of your disciples,\your life alone won't be enough to pay for it!\That shield... response:	Let's go!
context: This is goodbye, Devil of the Shield!\Even if you're the Devil of the Shield,\I'm amazed you could stop the Cathedral's full-power attack.\Immense power always comes at a price.\And if your divine power comes at the cost of your disciples,\your life alone won't be enough to pay for it!\That shield...\Let's go! response:	Right!
context: Even if you're the Devil of the Shield,\I'm amazed you could stop the Cathedral's full-power attack.\Immense power always comes at a price.\And if your divine power comes at the cost of your disciples,\your life alone won't be enough to pay for it!\That shield...\Let's go!\Right! response:	Yeah!
context: I'm amazed you could stop the Cathedral's full-power attack.\Immense power always comes at a price.\And if your divine power comes at the cost of your disciples,\your life alone won't be enough to pay for it!\That shield...\Let's go!\Right!\Yeah! response:	Thunder Shot!
context: Immense power always comes at a price.\And if your divine power comes at the cost of your disciples,\your life alone won't be enough to pay for it!\That shield...\Let's go!\Right!\Yeah!\Thunder Shot! response:	There's more!
context: And if your divine power comes at the cost of your disciples,\your life alone won't be enough to pay for it!\That shield...\Let's go!\Right!\Yeah!\Thunder Shot!\There's more! response:	Wind Arrow!
context: your life alone won't be enough to pay for it!\That shield...\Let's go!\Right!\Yeah!\Thunder Shot!\There's more!\Wind Arrow! response:	Zweit Aqua Shot!
context: That shield...\Let's go!\Right!\Yeah!\Thunder Shot!\There's more!\Wind Arrow!\Zweit Aqua Shot! response:	Zweit Air Shot!
context: Let's go!\Right!\Yeah!\Thunder Shot!\There's more!\Wind Arrow!\Zweit Aqua Shot!\Zweit Air Shot! response:	Don't let the enemy recover!
context: Right!\Yeah!\Thunder Shot!\There's more!\Wind Arrow!\Zweit Aqua Shot!\Zweit Air Shot!\Don't let the enemy recover! response:	High Quick!
context: Yeah!\Thunder Shot!\There's more!\Wind Arrow!\Zweit Aqua Shot!\Zweit Air Shot!\Don't let the enemy recover!\High Quick! response:	You won't get me with the same trick again.
context: Thunder Shot!\There's more!\Wind Arrow!\Zweit Aqua Shot!\Zweit Air Shot!\Don't let the enemy recover!\High Quick!\You won't get me with the same trick again. response:	We're only decoys!
context: There's more!\Wind Arrow!\Zweit Aqua Shot!\Zweit Air Shot!\Don't let the enemy recover!\High Quick!\You won't get me with the same trick again.\We're only decoys! response:	Meteor Sword!
context: Wind Arrow!\Zweit Aqua Shot!\Zweit Air Shot!\Don't let the enemy recover!\High Quick!\You won't get me with the same trick again.\We're only decoys!\Meteor Sword! response:	Ren, Raphtalia, get in close and block his field of vision.
context: Zweit Aqua Shot!\Zweit Air Shot!\Don't let the enemy recover!\High Quick!\You won't get me with the same trick again.\We're only decoys!\Meteor Sword!\Ren, Raphtalia, get in close and block his field of vision. response:	Meanwhile...
context: Zweit Air Shot!\Don't let the enemy recover!\High Quick!\You won't get me with the same trick again.\We're only decoys!\Meteor Sword!\Ren, Raphtalia, get in close and block his field of vision.\Meanwhile... response:	Zweit Power!
context: Don't let the enemy recover!\High Quick!\You won't get me with the same trick again.\We're only decoys!\Meteor Sword!\Ren, Raphtalia, get in close and block his field of vision.\Meanwhile...\Zweit Power! response:	I can't believe I'm taking orders from Naofumi.
context: High Quick!\You won't get me with the same trick again.\We're only decoys!\Meteor Sword!\Ren, Raphtalia, get in close and block his field of vision.\Meanwhile...\Zweit Power!\I can't believe I'm taking orders from Naofumi. response:	Damn it!
context: You won't get me with the same trick again.\We're only decoys!\Meteor Sword!\Ren, Raphtalia, get in close and block his field of vision.\Meanwhile...\Zweit Power!\I can't believe I'm taking orders from Naofumi.\Damn it! response:	I'm taking this out on you!
context: We're only decoys!\Meteor Sword!\Ren, Raphtalia, get in close and block his field of vision.\Meanwhile...\Zweit Power!\I can't believe I'm taking orders from Naofumi.\Damn it!\I'm taking this out on you! response:	Air Strike Javelin!
context: Meteor Sword!\Ren, Raphtalia, get in close and block his field of vision.\Meanwhile...\Zweit Power!\I can't believe I'm taking orders from Naofumi.\Damn it!\I'm taking this out on you!\Air Strike Javelin! response:	Friendship and strong bonds always prevail, huh?
context: Ren, Raphtalia, get in close and block his field of vision.\Meanwhile...\Zweit Power!\I can't believe I'm taking orders from Naofumi.\Damn it!\I'm taking this out on you!\Air Strike Javelin!\Friendship and strong bonds always prevail, huh? response:	Shut up!
context: Meanwhile...\Zweit Power!\I can't believe I'm taking orders from Naofumi.\Damn it!\I'm taking this out on you!\Air Strike Javelin!\Friendship and strong bonds always prevail, huh?\Shut up! response:	Just go take him out!
context: Zweit Power!\I can't believe I'm taking orders from Naofumi.\Damn it!\I'm taking this out on you!\Air Strike Javelin!\Friendship and strong bonds always prevail, huh?\Shut up!\Just go take him out! response:	May this sacred flame cleanse everything!
context: I can't believe I'm taking orders from Naofumi.\Damn it!\I'm taking this out on you!\Air Strike Javelin!\Friendship and strong bonds always prevail, huh?\Shut up!\Just go take him out!\May this sacred flame cleanse everything! response:	Phoenix Blade!
context: Damn it!\I'm taking this out on you!\Air Strike Javelin!\Friendship and strong bonds always prevail, huh?\Shut up!\Just go take him out!\May this sacred flame cleanse everything!\Phoenix Blade! response:	As source of thy power, the Shield Hero and I order thee!
context: I'm taking this out on you!\Air Strike Javelin!\Friendship and strong bonds always prevail, huh?\Shut up!\Just go take him out!\May this sacred flame cleanse everything!\Phoenix Blade!\As source of thy power, the Shield Hero and I order thee! response:	Decipher the laws of creation, consume the flame, and give me power!
context: Air Strike Javelin!\Friendship and strong bonds always prevail, huh?\Shut up!\Just go take him out!\May this sacred flame cleanse everything!\Phoenix Blade!\As source of thy power, the Shield Hero and I order thee!\Decipher the laws of creation, consume the flame, and give me power! response:	Wrath Fire!
context: Friendship and strong bonds always prevail, huh?\Shut up!\Just go take him out!\May this sacred flame cleanse everything!\Phoenix Blade!\As source of thy power, the Shield Hero and I order thee!\Decipher the laws of creation, consume the flame, and give me power!\Wrath Fire! response:	He did it!
context: Shut up!\Just go take him out!\May this sacred flame cleanse everything!\Phoenix Blade!\As source of thy power, the Shield Hero and I order thee!\Decipher the laws of creation, consume the flame, and give me power!\Wrath Fire!\He did it! response:	Let's finish this!
context: Just go take him out!\May this sacred flame cleanse everything!\Phoenix Blade!\As source of thy power, the Shield Hero and I order thee!\Decipher the laws of creation, consume the flame, and give me power!\Wrath Fire!\He did it!\Let's finish this! response:	Yeah!
context: May this sacred flame cleanse everything!\Phoenix Blade!\As source of thy power, the Shield Hero and I order thee!\Decipher the laws of creation, consume the flame, and give me power!\Wrath Fire!\He did it!\Let's finish this!\Yeah! response:	Wait!
context: Phoenix Blade!\As source of thy power, the Shield Hero and I order thee!\Decipher the laws of creation, consume the flame, and give me power!\Wrath Fire!\He did it!\Let's finish this!\Yeah!\Wait! response:	Something's off.
context: As source of thy power, the Shield Hero and I order thee!\Decipher the laws of creation, consume the flame, and give me power!\Wrath Fire!\He did it!\Let's finish this!\Yeah!\Wait!\Something's off. response:	Chaos Spear!
context: Decipher the laws of creation, consume the flame, and give me power!\Wrath Fire!\He did it!\Let's finish this!\Yeah!\Wait!\Something's off.\Chaos Spear! response:	State of Emptiness.
context: Wrath Fire!\He did it!\Let's finish this!\Yeah!\Wait!\Something's off.\Chaos Spear!\State of Emptiness. response:	What?
context: He did it!\Let's finish this!\Yeah!\Wait!\Something's off.\Chaos Spear!\State of Emptiness.\What? response:	Motoyasu-san!
context: Let's finish this!\Yeah!\Wait!\Something's off.\Chaos Spear!\State of Emptiness.\What?\Motoyasu-san! response:	Th-That's one of my spear's advanced skills, a counter!
context: Yeah!\Wait!\Something's off.\Chaos Spear!\State of Emptiness.\What?\Motoyasu-san!\Th-That's one of my spear's advanced skills, a counter! response:	That weapon can even mimic the advanced skills?
context: Wait!\Something's off.\Chaos Spear!\State of Emptiness.\What?\Motoyasu-san!\Th-That's one of my spear's advanced skills, a counter!\That weapon can even mimic the advanced skills? response:	The sin of defying God demands more than cleansing!
context: Something's off.\Chaos Spear!\State of Emptiness.\What?\Motoyasu-san!\Th-That's one of my spear's advanced skills, a counter!\That weapon can even mimic the advanced skills?\The sin of defying God demands more than cleansing! response:	What'd he do?
context: Chaos Spear!\State of Emptiness.\What?\Motoyasu-san!\Th-That's one of my spear's advanced skills, a counter!\That weapon can even mimic the advanced skills?\The sin of defying God demands more than cleansing!\What'd he do? response:	Stay away!
context: State of Emptiness.\What?\Motoyasu-san!\Th-That's one of my spear's advanced skills, a counter!\That weapon can even mimic the advanced skills?\The sin of defying God demands more than cleansing!\What'd he do?\Stay away! response:	No...
context: What?\Motoyasu-san!\Th-That's one of my spear's advanced skills, a counter!\That weapon can even mimic the advanced skills?\The sin of defying God demands more than cleansing!\What'd he do?\Stay away!\No... response:	Stop! Stop it!
context: Motoyasu-san!\Th-That's one of my spear's advanced skills, a counter!\That weapon can even mimic the advanced skills?\The sin of defying God demands more than cleansing!\What'd he do?\Stay away!\No...\Stop! Stop it! response:	Damn! What the hell's going on?
context: Th-That's one of my spear's advanced skills, a counter!\That weapon can even mimic the advanced skills?\The sin of defying God demands more than cleansing!\What'd he do?\Stay away!\No...\Stop! Stop it!\Damn! What the hell's going on? response:	Is this...
context: That weapon can even mimic the advanced skills?\The sin of defying God demands more than cleansing!\What'd he do?\Stay away!\No...\Stop! Stop it!\Damn! What the hell's going on?\Is this... response:	An illusion, yes!
context: The sin of defying God demands more than cleansing!\What'd he do?\Stay away!\No...\Stop! Stop it!\Damn! What the hell's going on?\Is this...\An illusion, yes! response:	He used some kind of skill to cast an illusion!
context: What'd he do?\Stay away!\No...\Stop! Stop it!\Damn! What the hell's going on?\Is this...\An illusion, yes!\He used some kind of skill to cast an illusion! response:	You've lost your chance to accept God's mercy. Now, only despair awaits you.
context: Stay away!\No...\Stop! Stop it!\Damn! What the hell's going on?\Is this...\An illusion, yes!\He used some kind of skill to cast an illusion!\You've lost your chance to accept God's mercy. Now, only despair awaits you. response:	Be crushed under the weight of your mind!
context: No...\Stop! Stop it!\Damn! What the hell's going on?\Is this...\An illusion, yes!\He used some kind of skill to cast an illusion!\You've lost your chance to accept God's mercy. Now, only despair awaits you.\Be crushed under the weight of your mind! response:	Everyone, watch...
context: Stop! Stop it!\Damn! What the hell's going on?\Is this...\An illusion, yes!\He used some kind of skill to cast an illusion!\You've lost your chance to accept God's mercy. Now, only despair awaits you.\Be crushed under the weight of your mind!\Everyone, watch... response:	Naofumi-sama!
context: Damn! What the hell's going on?\Is this...\An illusion, yes!\He used some kind of skill to cast an illusion!\You've lost your chance to accept God's mercy. Now, only despair awaits you.\Be crushed under the weight of your mind!\Everyone, watch...\Naofumi-sama! response:	Raphtalia!
context: Is this...\An illusion, yes!\He used some kind of skill to cast an illusion!\You've lost your chance to accept God's mercy. Now, only despair awaits you.\Be crushed under the weight of your mind!\Everyone, watch...\Naofumi-sama!\Raphtalia! response:	You will be annihilated, leaving not a speck of ash behind.
context: An illusion, yes!\He used some kind of skill to cast an illusion!\You've lost your chance to accept God's mercy. Now, only despair awaits you.\Be crushed under the weight of your mind!\Everyone, watch...\Naofumi-sama!\Raphtalia!\You will be annihilated, leaving not a speck of ash behind. response:	There won't remain any proof that you ever existed!
context: He used some kind of skill to cast an illusion!\You've lost your chance to accept God's mercy. Now, only despair awaits you.\Be crushed under the weight of your mind!\Everyone, watch...\Naofumi-sama!\Raphtalia!\You will be annihilated, leaving not a speck of ash behind.\There won't remain any proof that you ever existed! response:	As source of thy power, the queen orders thee.
context: You've lost your chance to accept God's mercy. Now, only despair awaits you.\Be crushed under the weight of your mind!\Everyone, watch...\Naofumi-sama!\Raphtalia!\You will be annihilated, leaving not a speck of ash behind.\There won't remain any proof that you ever existed!\As source of thy power, the queen orders thee. response:	Decipher the laws of creation,
context: Be crushed under the weight of your mind!\Everyone, watch...\Naofumi-sama!\Raphtalia!\You will be annihilated, leaving not a speck of ash behind.\There won't remain any proof that you ever existed!\As source of thy power, the queen orders thee.\Decipher the laws of creation, response:	surround my target in a cage of ice, and capture him.
context: Everyone, watch...\Naofumi-sama!\Raphtalia!\You will be annihilated, leaving not a speck of ash behind.\There won't remain any proof that you ever existed!\As source of thy power, the queen orders thee.\Decipher the laws of creation,\surround my target in a cage of ice, and capture him. response:	All Dritte Fall: Icicle Prison!
context: Naofumi-sama!\Raphtalia!\You will be annihilated, leaving not a speck of ash behind.\There won't remain any proof that you ever existed!\As source of thy power, the queen orders thee.\Decipher the laws of creation,\surround my target in a cage of ice, and capture him.\All Dritte Fall: Icicle Prison! response:	It can't be!
context: Raphtalia!\You will be annihilated, leaving not a speck of ash behind.\There won't remain any proof that you ever existed!\As source of thy power, the queen orders thee.\Decipher the laws of creation,\surround my target in a cage of ice, and capture him.\All Dritte Fall: Icicle Prison!\It can't be! response:	Her magic pierced the walls of the Cathedral?
context: You will be annihilated, leaving not a speck of ash behind.\There won't remain any proof that you ever existed!\As source of thy power, the queen orders thee.\Decipher the laws of creation,\surround my target in a cage of ice, and capture him.\All Dritte Fall: Icicle Prison!\It can't be!\Her magic pierced the walls of the Cathedral? response:	Hurry up and get him!
context: There won't remain any proof that you ever existed!\As source of thy power, the queen orders thee.\Decipher the laws of creation,\surround my target in a cage of ice, and capture him.\All Dritte Fall: Icicle Prison!\It can't be!\Her magic pierced the walls of the Cathedral?\Hurry up and get him! response:	Foolish sinner, I sentence you to cast your screams unto the heavens!
context: As source of thy power, the queen orders thee.\Decipher the laws of creation,\surround my target in a cage of ice, and capture him.\All Dritte Fall: Icicle Prison!\It can't be!\Her magic pierced the walls of the Cathedral?\Hurry up and get him!\Foolish sinner, I sentence you to cast your screams unto the heavens! response:	Within the dragon's jaws born from my flesh,
context: Decipher the laws of creation,\surround my target in a cage of ice, and capture him.\All Dritte Fall: Icicle Prison!\It can't be!\Her magic pierced the walls of the Cathedral?\Hurry up and get him!\Foolish sinner, I sentence you to cast your screams unto the heavens!\Within the dragon's jaws born from my flesh, response:	become an offering to the gods as you howl in pain!
context: surround my target in a cage of ice, and capture him.\All Dritte Fall: Icicle Prison!\It can't be!\Her magic pierced the walls of the Cathedral?\Hurry up and get him!\Foolish sinner, I sentence you to cast your screams unto the heavens!\Within the dragon's jaws born from my flesh,\become an offering to the gods as you howl in pain! response:	Blood Sacrifice!
