context: Love, it is gentle. Love, it is pure. response:	And yet, he takes advantage of such a girl's affections!
context: But, Master Kunzite, what if he...\If Nephrite happens to get a hold of the Silver Crystal,\we can just steal it from him!\You are a genius, Master Kunzite.\Zoisite, for the time being, let the monsters keep an eye on Nephrite.\Yasha! I know you are there! You heard what he said!\Yes, your wish is my command.\Jewelry response:	No, I can't.
context: If Nephrite happens to get a hold of the Silver Crystal,\we can just steal it from him!\You are a genius, Master Kunzite.\Zoisite, for the time being, let the monsters keep an eye on Nephrite.\Yasha! I know you are there! You heard what he said!\Yes, your wish is my command.\Jewelry\No, I can't. response:	What's wrong? You're the one who volunteered for this, remember?
context: we can just steal it from him!\You are a genius, Master Kunzite.\Zoisite, for the time being, let the monsters keep an eye on Nephrite.\Yasha! I know you are there! You heard what he said!\Yes, your wish is my command.\Jewelry\No, I can't.\What's wrong? You're the one who volunteered for this, remember? response:	That was just a spur of the moment thing!
context: You are a genius, Master Kunzite.\Zoisite, for the time being, let the monsters keep an eye on Nephrite.\Yasha! I know you are there! You heard what he said!\Yes, your wish is my command.\Jewelry\No, I can't.\What's wrong? You're the one who volunteered for this, remember?\That was just a spur of the moment thing! response:	Stuff like that happens all the time, you know?
context: Zoisite, for the time being, let the monsters keep an eye on Nephrite.\Yasha! I know you are there! You heard what he said!\Yes, your wish is my command.\Jewelry\No, I can't.\What's wrong? You're the one who volunteered for this, remember?\That was just a spur of the moment thing!\Stuff like that happens all the time, you know? response:	It only happens all the time to you!
context: Yasha! I know you are there! You heard what he said!\Yes, your wish is my command.\Jewelry\No, I can't.\What's wrong? You're the one who volunteered for this, remember?\That was just a spur of the moment thing!\Stuff like that happens all the time, you know?\It only happens all the time to you! response:	What should I do? Oh, I know!
context: Yes, your wish is my command.\Jewelry\No, I can't.\What's wrong? You're the one who volunteered for this, remember?\That was just a spur of the moment thing!\Stuff like that happens all the time, you know?\It only happens all the time to you!\What should I do? Oh, I know! response:	What are you going to do?
context: Jewelry\No, I can't.\What's wrong? You're the one who volunteered for this, remember?\That was just a spur of the moment thing!\Stuff like that happens all the time, you know?\It only happens all the time to you!\What should I do? Oh, I know!\What are you going to do? response:	This is a great chance! I should go talk to Motoki for advice!
context: No, I can't.\What's wrong? You're the one who volunteered for this, remember?\That was just a spur of the moment thing!\Stuff like that happens all the time, you know?\It only happens all the time to you!\What should I do? Oh, I know!\What are you going to do?\This is a great chance! I should go talk to Motoki for advice! response:	I wasn't expecting much, but...
context: What's wrong? You're the one who volunteered for this, remember?\That was just a spur of the moment thing!\Stuff like that happens all the time, you know?\It only happens all the time to you!\What should I do? Oh, I know!\What are you going to do?\This is a great chance! I should go talk to Motoki for advice!\I wasn't expecting much, but... response:	Crown
context: That was just a spur of the moment thing!\Stuff like that happens all the time, you know?\It only happens all the time to you!\What should I do? Oh, I know!\What are you going to do?\This is a great chance! I should go talk to Motoki for advice!\I wasn't expecting much, but...\Crown response:	Good, that's it. Jump there! All right, that's good. Keep it up.
context: Stuff like that happens all the time, you know?\It only happens all the time to you!\What should I do? Oh, I know!\What are you going to do?\This is a great chance! I should go talk to Motoki for advice!\I wasn't expecting much, but...\Crown\Good, that's it. Jump there! All right, that's good. Keep it up. response:	Motoki... Good, that's it. Jump there! All right, that's good. Keep it up.
context: It only happens all the time to you!\What should I do? Oh, I know!\What are you going to do?\This is a great chance! I should go talk to Motoki for advice!\I wasn't expecting much, but...\Crown\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki... Good, that's it. Jump there! All right, that's good. Keep it up. response:	Good, that's it. Jump there! All right, that's good. Keep it up.
context: What should I do? Oh, I know!\What are you going to do?\This is a great chance! I should go talk to Motoki for advice!\I wasn't expecting much, but...\Crown\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki... Good, that's it. Jump there! All right, that's good. Keep it up.\Good, that's it. Jump there! All right, that's good. Keep it up. response:	Motoki's drooling all over her!
context: What are you going to do?\This is a great chance! I should go talk to Motoki for advice!\I wasn't expecting much, but...\Crown\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki... Good, that's it. Jump there! All right, that's good. Keep it up.\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki's drooling all over her! response:	Oh, and he's so close to her!
context: This is a great chance! I should go talk to Motoki for advice!\I wasn't expecting much, but...\Crown\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki... Good, that's it. Jump there! All right, that's good. Keep it up.\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki's drooling all over her!\Oh, and he's so close to her! response:	Motoki, your Usagi is right here!
context: I wasn't expecting much, but...\Crown\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki... Good, that's it. Jump there! All right, that's good. Keep it up.\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki's drooling all over her!\Oh, and he's so close to her!\Motoki, your Usagi is right here! response:	This aura...
context: Crown\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki... Good, that's it. Jump there! All right, that's good. Keep it up.\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki's drooling all over her!\Oh, and he's so close to her!\Motoki, your Usagi is right here!\This aura... response:	Yo, Dumpling Head.
context: Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki... Good, that's it. Jump there! All right, that's good. Keep it up.\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki's drooling all over her!\Oh, and he's so close to her!\Motoki, your Usagi is right here!\This aura...\Yo, Dumpling Head. response:	Hey, Motoki!
context: Motoki... Good, that's it. Jump there! All right, that's good. Keep it up.\Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki's drooling all over her!\Oh, and he's so close to her!\Motoki, your Usagi is right here!\This aura...\Yo, Dumpling Head.\Hey, Motoki! response:	If you keep ignoring her,
context: Good, that's it. Jump there! All right, that's good. Keep it up.\Motoki's drooling all over her!\Oh, and he's so close to her!\Motoki, your Usagi is right here!\This aura...\Yo, Dumpling Head.\Hey, Motoki!\If you keep ignoring her, response:	your dumpling will turn into a puff pastry.
context: Motoki's drooling all over her!\Oh, and he's so close to her!\Motoki, your Usagi is right here!\This aura...\Yo, Dumpling Head.\Hey, Motoki!\If you keep ignoring her,\your dumpling will turn into a puff pastry. response:	He's just kidding! I'm not a puff pastry at all!
context: Oh, and he's so close to her!\Motoki, your Usagi is right here!\This aura...\Yo, Dumpling Head.\Hey, Motoki!\If you keep ignoring her,\your dumpling will turn into a puff pastry.\He's just kidding! I'm not a puff pastry at all! response:	Oh, Usagi! I didn't know you were here. Sorry about that.
context: Motoki, your Usagi is right here!\This aura...\Yo, Dumpling Head.\Hey, Motoki!\If you keep ignoring her,\your dumpling will turn into a puff pastry.\He's just kidding! I'm not a puff pastry at all!\Oh, Usagi! I didn't know you were here. Sorry about that. response:	Hello!
context: This aura...\Yo, Dumpling Head.\Hey, Motoki!\If you keep ignoring her,\your dumpling will turn into a puff pastry.\He's just kidding! I'm not a puff pastry at all!\Oh, Usagi! I didn't know you were here. Sorry about that.\Hello! response:	I'm almost done with my shift.
context: Yo, Dumpling Head.\Hey, Motoki!\If you keep ignoring her,\your dumpling will turn into a puff pastry.\He's just kidding! I'm not a puff pastry at all!\Oh, Usagi! I didn't know you were here. Sorry about that.\Hello!\I'm almost done with my shift. response:	Usagi, you want to go out for a cup of tea or something?
context: Hey, Motoki!\If you keep ignoring her,\your dumpling will turn into a puff pastry.\He's just kidding! I'm not a puff pastry at all!\Oh, Usagi! I didn't know you were here. Sorry about that.\Hello!\I'm almost done with my shift.\Usagi, you want to go out for a cup of tea or something? response:	Yes, of course! I want to ask you for some advice, too!
context: If you keep ignoring her,\your dumpling will turn into a puff pastry.\He's just kidding! I'm not a puff pastry at all!\Oh, Usagi! I didn't know you were here. Sorry about that.\Hello!\I'm almost done with my shift.\Usagi, you want to go out for a cup of tea or something?\Yes, of course! I want to ask you for some advice, too! response:	Oh, I'll tag along. I've got nothing better to do anyway.
context: your dumpling will turn into a puff pastry.\He's just kidding! I'm not a puff pastry at all!\Oh, Usagi! I didn't know you were here. Sorry about that.\Hello!\I'm almost done with my shift.\Usagi, you want to go out for a cup of tea or something?\Yes, of course! I want to ask you for some advice, too!\Oh, I'll tag along. I've got nothing better to do anyway. response:	What?!
context: He's just kidding! I'm not a puff pastry at all!\Oh, Usagi! I didn't know you were here. Sorry about that.\Hello!\I'm almost done with my shift.\Usagi, you want to go out for a cup of tea or something?\Yes, of course! I want to ask you for some advice, too!\Oh, I'll tag along. I've got nothing better to do anyway.\What?! response:	That's a good idea.
context: Oh, Usagi! I didn't know you were here. Sorry about that.\Hello!\I'm almost done with my shift.\Usagi, you want to go out for a cup of tea or something?\Yes, of course! I want to ask you for some advice, too!\Oh, I'll tag along. I've got nothing better to do anyway.\What?!\That's a good idea. response:	I agree!
context: Hello!\I'm almost done with my shift.\Usagi, you want to go out for a cup of tea or something?\Yes, of course! I want to ask you for some advice, too!\Oh, I'll tag along. I've got nothing better to do anyway.\What?!\That's a good idea.\I agree! response:	My friend, Naru, is in love with a bad person,
context: I'm almost done with my shift.\Usagi, you want to go out for a cup of tea or something?\Yes, of course! I want to ask you for some advice, too!\Oh, I'll tag along. I've got nothing better to do anyway.\What?!\That's a good idea.\I agree!\My friend, Naru, is in love with a bad person, response:	but she doesn't know that he's bad.
context: Usagi, you want to go out for a cup of tea or something?\Yes, of course! I want to ask you for some advice, too!\Oh, I'll tag along. I've got nothing better to do anyway.\What?!\That's a good idea.\I agree!\My friend, Naru, is in love with a bad person,\but she doesn't know that he's bad. response:	And?
context: Yes, of course! I want to ask you for some advice, too!\Oh, I'll tag along. I've got nothing better to do anyway.\What?!\That's a good idea.\I agree!\My friend, Naru, is in love with a bad person,\but she doesn't know that he's bad.\And? response:	Well... What should I do in this situation?
context: Oh, I'll tag along. I've got nothing better to do anyway.\What?!\That's a good idea.\I agree!\My friend, Naru, is in love with a bad person,\but she doesn't know that he's bad.\And?\Well... What should I do in this situation? response:	If I tell her the truth, Naru will...
context: What?!\That's a good idea.\I agree!\My friend, Naru, is in love with a bad person,\but she doesn't know that he's bad.\And?\Well... What should I do in this situation?\If I tell her the truth, Naru will... response:	I don't think you need to be in any hurry.
context: That's a good idea.\I agree!\My friend, Naru, is in love with a bad person,\but she doesn't know that he's bad.\And?\Well... What should I do in this situation?\If I tell her the truth, Naru will...\I don't think you need to be in any hurry. response:	You could wait and see a little.
context: I agree!\My friend, Naru, is in love with a bad person,\but she doesn't know that he's bad.\And?\Well... What should I do in this situation?\If I tell her the truth, Naru will...\I don't think you need to be in any hurry.\You could wait and see a little. response:	That's true...
context: My friend, Naru, is in love with a bad person,\but she doesn't know that he's bad.\And?\Well... What should I do in this situation?\If I tell her the truth, Naru will...\I don't think you need to be in any hurry.\You could wait and see a little.\That's true... response:	He thinks the same way as Ami.
context: but she doesn't know that he's bad.\And?\Well... What should I do in this situation?\If I tell her the truth, Naru will...\I don't think you need to be in any hurry.\You could wait and see a little.\That's true...\He thinks the same way as Ami. response:	Waiting and watching won't change anything.
context: And?\Well... What should I do in this situation?\If I tell her the truth, Naru will...\I don't think you need to be in any hurry.\You could wait and see a little.\That's true...\He thinks the same way as Ami.\Waiting and watching won't change anything. response:	Telling the truth is a form of courage, too.
context: Well... What should I do in this situation?\If I tell her the truth, Naru will...\I don't think you need to be in any hurry.\You could wait and see a little.\That's true...\He thinks the same way as Ami.\Waiting and watching won't change anything.\Telling the truth is a form of courage, too. response:	Mamoru may be right.
context: If I tell her the truth, Naru will...\I don't think you need to be in any hurry.\You could wait and see a little.\That's true...\He thinks the same way as Ami.\Waiting and watching won't change anything.\Telling the truth is a form of courage, too.\Mamoru may be right. response:	Naru might get mad if you tell her the truth,
context: I don't think you need to be in any hurry.\You could wait and see a little.\That's true...\He thinks the same way as Ami.\Waiting and watching won't change anything.\Telling the truth is a form of courage, too.\Mamoru may be right.\Naru might get mad if you tell her the truth, response:	but as her friend, it's something you have to tell her.
context: You could wait and see a little.\That's true...\He thinks the same way as Ami.\Waiting and watching won't change anything.\Telling the truth is a form of courage, too.\Mamoru may be right.\Naru might get mad if you tell her the truth,\but as her friend, it's something you have to tell her. response:	Okay! Now that I feel better, I'm hungry! Excuse me?!
context: That's true...\He thinks the same way as Ami.\Waiting and watching won't change anything.\Telling the truth is a form of courage, too.\Mamoru may be right.\Naru might get mad if you tell her the truth,\but as her friend, it's something you have to tell her.\Okay! Now that I feel better, I'm hungry! Excuse me?! response:	I'd like a fruit parfait, mixed sandwiches, a strawberry short cake,
context: He thinks the same way as Ami.\Waiting and watching won't change anything.\Telling the truth is a form of courage, too.\Mamoru may be right.\Naru might get mad if you tell her the truth,\but as her friend, it's something you have to tell her.\Okay! Now that I feel better, I'm hungry! Excuse me?!\I'd like a fruit parfait, mixed sandwiches, a strawberry short cake, response:	and a glass of juice!
context: Waiting and watching won't change anything.\Telling the truth is a form of courage, too.\Mamoru may be right.\Naru might get mad if you tell her the truth,\but as her friend, it's something you have to tell her.\Okay! Now that I feel better, I'm hungry! Excuse me?!\I'd like a fruit parfait, mixed sandwiches, a strawberry short cake,\and a glass of juice! response:	Motoki, do you have money?
context: Telling the truth is a form of courage, too.\Mamoru may be right.\Naru might get mad if you tell her the truth,\but as her friend, it's something you have to tell her.\Okay! Now that I feel better, I'm hungry! Excuse me?!\I'd like a fruit parfait, mixed sandwiches, a strawberry short cake,\and a glass of juice!\Motoki, do you have money? response:	I think I can manage.
context: Mamoru may be right.\Naru might get mad if you tell her the truth,\but as her friend, it's something you have to tell her.\Okay! Now that I feel better, I'm hungry! Excuse me?!\I'd like a fruit parfait, mixed sandwiches, a strawberry short cake,\and a glass of juice!\Motoki, do you have money?\I think I can manage. response:	Don't worry! This is my treat today!
context: Naru might get mad if you tell her the truth,\but as her friend, it's something you have to tell her.\Okay! Now that I feel better, I'm hungry! Excuse me?!\I'd like a fruit parfait, mixed sandwiches, a strawberry short cake,\and a glass of juice!\Motoki, do you have money?\I think I can manage.\Don't worry! This is my treat today! response:	Oh, could you bring me a mixed pizza, too?
context: but as her friend, it's something you have to tell her.\Okay! Now that I feel better, I'm hungry! Excuse me?!\I'd like a fruit parfait, mixed sandwiches, a strawberry short cake,\and a glass of juice!\Motoki, do you have money?\I think I can manage.\Don't worry! This is my treat today!\Oh, could you bring me a mixed pizza, too? response:	Courage. Courage. All right, you gotta be brave, Usagi!
context: Okay! Now that I feel better, I'm hungry! Excuse me?!\I'd like a fruit parfait, mixed sandwiches, a strawberry short cake,\and a glass of juice!\Motoki, do you have money?\I think I can manage.\Don't worry! This is my treat today!\Oh, could you bring me a mixed pizza, too?\Courage. Courage. All right, you gotta be brave, Usagi! response:	Coming!
context: I'd like a fruit parfait, mixed sandwiches, a strawberry short cake,\and a glass of juice!\Motoki, do you have money?\I think I can manage.\Don't worry! This is my treat today!\Oh, could you bring me a mixed pizza, too?\Courage. Courage. All right, you gotta be brave, Usagi!\Coming! response:	Oh, Usagi. What's up?
context: and a glass of juice!\Motoki, do you have money?\I think I can manage.\Don't worry! This is my treat today!\Oh, could you bring me a mixed pizza, too?\Courage. Courage. All right, you gotta be brave, Usagi!\Coming!\Oh, Usagi. What's up? response:	Naru!
context: Motoki, do you have money?\I think I can manage.\Don't worry! This is my treat today!\Oh, could you bring me a mixed pizza, too?\Courage. Courage. All right, you gotta be brave, Usagi!\Coming!\Oh, Usagi. What's up?\Naru! response:	I'm going to say this with courage, but Masato Sanjoin is a bad person!
context: I think I can manage.\Don't worry! This is my treat today!\Oh, could you bring me a mixed pizza, too?\Courage. Courage. All right, you gotta be brave, Usagi!\Coming!\Oh, Usagi. What's up?\Naru!\I'm going to say this with courage, but Masato Sanjoin is a bad person! response:	On top of that, he's not human! Oh, that's not what I meant!
context: Don't worry! This is my treat today!\Oh, could you bring me a mixed pizza, too?\Courage. Courage. All right, you gotta be brave, Usagi!\Coming!\Oh, Usagi. What's up?\Naru!\I'm going to say this with courage, but Masato Sanjoin is a bad person!\On top of that, he's not human! Oh, that's not what I meant! response:	Anyway, he's scary!
context: Oh, could you bring me a mixed pizza, too?\Courage. Courage. All right, you gotta be brave, Usagi!\Coming!\Oh, Usagi. What's up?\Naru!\I'm going to say this with courage, but Masato Sanjoin is a bad person!\On top of that, he's not human! Oh, that's not what I meant!\Anyway, he's scary! response:	That's why you should never go out with him!
context: Courage. Courage. All right, you gotta be brave, Usagi!\Coming!\Oh, Usagi. What's up?\Naru!\I'm going to say this with courage, but Masato Sanjoin is a bad person!\On top of that, he's not human! Oh, that's not what I meant!\Anyway, he's scary!\That's why you should never go out with him! response:	So, just forget about him completely! Okay?!
context: Coming!\Oh, Usagi. What's up?\Naru!\I'm going to say this with courage, but Masato Sanjoin is a bad person!\On top of that, he's not human! Oh, that's not what I meant!\Anyway, he's scary!\That's why you should never go out with him!\So, just forget about him completely! Okay?! response:	But I'm...
context: Oh, Usagi. What's up?\Naru!\I'm going to say this with courage, but Masato Sanjoin is a bad person!\On top of that, he's not human! Oh, that's not what I meant!\Anyway, he's scary!\That's why you should never go out with him!\So, just forget about him completely! Okay?!\But I'm... response:	Okay? Just give up on it!
context: Naru!\I'm going to say this with courage, but Masato Sanjoin is a bad person!\On top of that, he's not human! Oh, that's not what I meant!\Anyway, he's scary!\That's why you should never go out with him!\So, just forget about him completely! Okay?!\But I'm...\Okay? Just give up on it! response:	Really? So, you talked to Naru?
context: I'm going to say this with courage, but Masato Sanjoin is a bad person!\On top of that, he's not human! Oh, that's not what I meant!\Anyway, he's scary!\That's why you should never go out with him!\So, just forget about him completely! Okay?!\But I'm...\Okay? Just give up on it!\Really? So, you talked to Naru? response:	Yeah! I finally worked up the courage and I told her everything!
context: On top of that, he's not human! Oh, that's not what I meant!\Anyway, he's scary!\That's why you should never go out with him!\So, just forget about him completely! Okay?!\But I'm...\Okay? Just give up on it!\Really? So, you talked to Naru?\Yeah! I finally worked up the courage and I told her everything! response:	So, did Naru understand you?
context: Anyway, he's scary!\That's why you should never go out with him!\So, just forget about him completely! Okay?!\But I'm...\Okay? Just give up on it!\Really? So, you talked to Naru?\Yeah! I finally worked up the courage and I told her everything!\So, did Naru understand you? response:	Wait, don't tell me you said all that,
context: That's why you should never go out with him!\So, just forget about him completely! Okay?!\But I'm...\Okay? Just give up on it!\Really? So, you talked to Naru?\Yeah! I finally worked up the courage and I told her everything!\So, did Naru understand you?\Wait, don't tell me you said all that, response:	then just came back without waiting for a response.
context: So, just forget about him completely! Okay?!\But I'm...\Okay? Just give up on it!\Really? So, you talked to Naru?\Yeah! I finally worked up the courage and I told her everything!\So, did Naru understand you?\Wait, don't tell me you said all that,\then just came back without waiting for a response. response:	I can't believe you! Then, why did you even go there?
context: But I'm...\Okay? Just give up on it!\Really? So, you talked to Naru?\Yeah! I finally worked up the courage and I told her everything!\So, did Naru understand you?\Wait, don't tell me you said all that,\then just came back without waiting for a response.\I can't believe you! Then, why did you even go there? response:	But I'm sure she understood me.
context: Okay? Just give up on it!\Really? So, you talked to Naru?\Yeah! I finally worked up the courage and I told her everything!\So, did Naru understand you?\Wait, don't tell me you said all that,\then just came back without waiting for a response.\I can't believe you! Then, why did you even go there?\But I'm sure she understood me. response:	I should have gone with you after all.
context: Really? So, you talked to Naru?\Yeah! I finally worked up the courage and I told her everything!\So, did Naru understand you?\Wait, don't tell me you said all that,\then just came back without waiting for a response.\I can't believe you! Then, why did you even go there?\But I'm sure she understood me.\I should have gone with you after all. response:	I know what Usagi said,
context: Yeah! I finally worked up the courage and I told her everything!\So, did Naru understand you?\Wait, don't tell me you said all that,\then just came back without waiting for a response.\I can't believe you! Then, why did you even go there?\But I'm sure she understood me.\I should have gone with you after all.\I know what Usagi said, response:	but... Oh, he's just so gorgeous!
context: So, did Naru understand you?\Wait, don't tell me you said all that,\then just came back without waiting for a response.\I can't believe you! Then, why did you even go there?\But I'm sure she understood me.\I should have gone with you after all.\I know what Usagi said,\but... Oh, he's just so gorgeous! response:	Mr. Sanjoin...
context: Wait, don't tell me you said all that,\then just came back without waiting for a response.\I can't believe you! Then, why did you even go there?\But I'm sure she understood me.\I should have gone with you after all.\I know what Usagi said,\but... Oh, he's just so gorgeous!\Mr. Sanjoin... response:	Naru, it's for you. It's from somebody called, Mr. Sanjoin!
context: then just came back without waiting for a response.\I can't believe you! Then, why did you even go there?\But I'm sure she understood me.\I should have gone with you after all.\I know what Usagi said,\but... Oh, he's just so gorgeous!\Mr. Sanjoin...\Naru, it's for you. It's from somebody called, Mr. Sanjoin! response:	Our hearts really must be linked together!
context: I can't believe you! Then, why did you even go there?\But I'm sure she understood me.\I should have gone with you after all.\I know what Usagi said,\but... Oh, he's just so gorgeous!\Mr. Sanjoin...\Naru, it's for you. It's from somebody called, Mr. Sanjoin!\Our hearts really must be linked together! response:	Yes. The Sankaku Park close by, right?
context: But I'm sure she understood me.\I should have gone with you after all.\I know what Usagi said,\but... Oh, he's just so gorgeous!\Mr. Sanjoin...\Naru, it's for you. It's from somebody called, Mr. Sanjoin!\Our hearts really must be linked together!\Yes. The Sankaku Park close by, right? response:	Yes, I'll be there right away!
context: I should have gone with you after all.\I know what Usagi said,\but... Oh, he's just so gorgeous!\Mr. Sanjoin...\Naru, it's for you. It's from somebody called, Mr. Sanjoin!\Our hearts really must be linked together!\Yes. The Sankaku Park close by, right?\Yes, I'll be there right away! response:	I'm going out for a bit!
context: I know what Usagi said,\but... Oh, he's just so gorgeous!\Mr. Sanjoin...\Naru, it's for you. It's from somebody called, Mr. Sanjoin!\Our hearts really must be linked together!\Yes. The Sankaku Park close by, right?\Yes, I'll be there right away!\I'm going out for a bit! response:	What? But it's so late.
context: but... Oh, he's just so gorgeous!\Mr. Sanjoin...\Naru, it's for you. It's from somebody called, Mr. Sanjoin!\Our hearts really must be linked together!\Yes. The Sankaku Park close by, right?\Yes, I'll be there right away!\I'm going out for a bit!\What? But it's so late. response:	Sorry for asking you to come so late at night.
context: Mr. Sanjoin...\Naru, it's for you. It's from somebody called, Mr. Sanjoin!\Our hearts really must be linked together!\Yes. The Sankaku Park close by, right?\Yes, I'll be there right away!\I'm going out for a bit!\What? But it's so late.\Sorry for asking you to come so late at night. response:	No, not at all. It made me really happy.
context: Naru, it's for you. It's from somebody called, Mr. Sanjoin!\Our hearts really must be linked together!\Yes. The Sankaku Park close by, right?\Yes, I'll be there right away!\I'm going out for a bit!\What? But it's so late.\Sorry for asking you to come so late at night.\No, not at all. It made me really happy. response:	I came to say good-bye today.
context: Our hearts really must be linked together!\Yes. The Sankaku Park close by, right?\Yes, I'll be there right away!\I'm going out for a bit!\What? But it's so late.\Sorry for asking you to come so late at night.\No, not at all. It made me really happy.\I came to say good-bye today. response:	What?
context: Yes. The Sankaku Park close by, right?\Yes, I'll be there right away!\I'm going out for a bit!\What? But it's so late.\Sorry for asking you to come so late at night.\No, not at all. It made me really happy.\I came to say good-bye today.\What? response:	Oh, I see. I guess I'm a bother to you, aren't I?
context: Yes, I'll be there right away!\I'm going out for a bit!\What? But it's so late.\Sorry for asking you to come so late at night.\No, not at all. It made me really happy.\I came to say good-bye today.\What?\Oh, I see. I guess I'm a bother to you, aren't I? response:	No, not a bother at all.
context: I'm going out for a bit!\What? But it's so late.\Sorry for asking you to come so late at night.\No, not at all. It made me really happy.\I came to say good-bye today.\What?\Oh, I see. I guess I'm a bother to you, aren't I?\No, not a bother at all. response:	It's more about not wanting to drag you into a dangerous situation.
context: What? But it's so late.\Sorry for asking you to come so late at night.\No, not at all. It made me really happy.\I came to say good-bye today.\What?\Oh, I see. I guess I'm a bother to you, aren't I?\No, not a bother at all.\It's more about not wanting to drag you into a dangerous situation. response:	What?
context: Sorry for asking you to come so late at night.\No, not at all. It made me really happy.\I came to say good-bye today.\What?\Oh, I see. I guess I'm a bother to you, aren't I?\No, not a bother at all.\It's more about not wanting to drag you into a dangerous situation.\What? response:	To be honest with you, What?
context: No, not at all. It made me really happy.\I came to say good-bye today.\What?\Oh, I see. I guess I'm a bother to you, aren't I?\No, not a bother at all.\It's more about not wanting to drag you into a dangerous situation.\What?\To be honest with you, What? response:	To be honest with you,
context: I came to say good-bye today.\What?\Oh, I see. I guess I'm a bother to you, aren't I?\No, not a bother at all.\It's more about not wanting to drag you into a dangerous situation.\What?\To be honest with you, What?\To be honest with you, response:	I'm being threatened by some bad people.
context: What?\Oh, I see. I guess I'm a bother to you, aren't I?\No, not a bother at all.\It's more about not wanting to drag you into a dangerous situation.\What?\To be honest with you, What?\To be honest with you,\I'm being threatened by some bad people. response:	It would be terrible if you got caught in the middle,
context: Oh, I see. I guess I'm a bother to you, aren't I?\No, not a bother at all.\It's more about not wanting to drag you into a dangerous situation.\What?\To be honest with you, What?\To be honest with you,\I'm being threatened by some bad people.\It would be terrible if you got caught in the middle, response:	so this is good-bye. I'm glad I got to know you.
context: No, not a bother at all.\It's more about not wanting to drag you into a dangerous situation.\What?\To be honest with you, What?\To be honest with you,\I'm being threatened by some bad people.\It would be terrible if you got caught in the middle,\so this is good-bye. I'm glad I got to know you. response:	Wait!
context: It's more about not wanting to drag you into a dangerous situation.\What?\To be honest with you, What?\To be honest with you,\I'm being threatened by some bad people.\It would be terrible if you got caught in the middle,\so this is good-bye. I'm glad I got to know you.\Wait! response:	Please let me know if there's anything I can do for you!
context: What?\To be honest with you, What?\To be honest with you,\I'm being threatened by some bad people.\It would be terrible if you got caught in the middle,\so this is good-bye. I'm glad I got to know you.\Wait!\Please let me know if there's anything I can do for you! response:	The Silver Crystal. If I only had the Silver Crystal...
context: To be honest with you, What?\To be honest with you,\I'm being threatened by some bad people.\It would be terrible if you got caught in the middle,\so this is good-bye. I'm glad I got to know you.\Wait!\Please let me know if there's anything I can do for you!\The Silver Crystal. If I only had the Silver Crystal... response:	What is this Silver Crystal?
context: To be honest with you,\I'm being threatened by some bad people.\It would be terrible if you got caught in the middle,\so this is good-bye. I'm glad I got to know you.\Wait!\Please let me know if there's anything I can do for you!\The Silver Crystal. If I only had the Silver Crystal...\What is this Silver Crystal? response:	If I just hand over the Silver Crystal to them, I'll be free.
context: I'm being threatened by some bad people.\It would be terrible if you got caught in the middle,\so this is good-bye. I'm glad I got to know you.\Wait!\Please let me know if there's anything I can do for you!\The Silver Crystal. If I only had the Silver Crystal...\What is this Silver Crystal?\If I just hand over the Silver Crystal to them, I'll be free. response:	Oh, no. I'm sorry. Please forget I said anything.
context: It would be terrible if you got caught in the middle,\so this is good-bye. I'm glad I got to know you.\Wait!\Please let me know if there's anything I can do for you!\The Silver Crystal. If I only had the Silver Crystal...\What is this Silver Crystal?\If I just hand over the Silver Crystal to them, I'll be free.\Oh, no. I'm sorry. Please forget I said anything. response:	The Silver Crystal...
context: so this is good-bye. I'm glad I got to know you.\Wait!\Please let me know if there's anything I can do for you!\The Silver Crystal. If I only had the Silver Crystal...\What is this Silver Crystal?\If I just hand over the Silver Crystal to them, I'll be free.\Oh, no. I'm sorry. Please forget I said anything.\The Silver Crystal... response:	Wow! It's beautiful!
context: Wait!\Please let me know if there's anything I can do for you!\The Silver Crystal. If I only had the Silver Crystal...\What is this Silver Crystal?\If I just hand over the Silver Crystal to them, I'll be free.\Oh, no. I'm sorry. Please forget I said anything.\The Silver Crystal...\Wow! It's beautiful! response:	This type of crystal is very rare in the world.
context: Please let me know if there's anything I can do for you!\The Silver Crystal. If I only had the Silver Crystal...\What is this Silver Crystal?\If I just hand over the Silver Crystal to them, I'll be free.\Oh, no. I'm sorry. Please forget I said anything.\The Silver Crystal...\Wow! It's beautiful!\This type of crystal is very rare in the world. response:	Wow! It has a silvery sheen!
