context: Fist of Flowing Water, Crushed Rock! response:	Those moves are the perfect offense and defense alike.
context: The others said you suddenly\went crazy when you were all just playing around.\That's not true.\Tatsu's popular, so everyone's making me out to be the bad guy.\That's not true! You did a bad thing!\Go apologize to everyone right now!\Justice, my ass. Evil, my ass.\In the end, they were just going to kill me based on popular opinion. response:	It's unfair. It's unforgivable.
context: went crazy when you were all just playing around.\That's not true.\Tatsu's popular, so everyone's making me out to be the bad guy.\That's not true! You did a bad thing!\Go apologize to everyone right now!\Justice, my ass. Evil, my ass.\In the end, they were just going to kill me based on popular opinion.\It's unfair. It's unforgivable. response:	I'm angry!
context: That's not true.\Tatsu's popular, so everyone's making me out to be the bad guy.\That's not true! You did a bad thing!\Go apologize to everyone right now!\Justice, my ass. Evil, my ass.\In the end, they were just going to kill me based on popular opinion.\It's unfair. It's unforgivable.\I'm angry! response:	I just want to teach them all a lesson!
context: Tatsu's popular, so everyone's making me out to be the bad guy.\That's not true! You did a bad thing!\Go apologize to everyone right now!\Justice, my ass. Evil, my ass.\In the end, they were just going to kill me based on popular opinion.\It's unfair. It's unforgivable.\I'm angry!\I just want to teach them all a lesson! response:	I want them to feel a blow from the weak!
context: That's not true! You did a bad thing!\Go apologize to everyone right now!\Justice, my ass. Evil, my ass.\In the end, they were just going to kill me based on popular opinion.\It's unfair. It's unforgivable.\I'm angry!\I just want to teach them all a lesson!\I want them to feel a blow from the weak! response:	Screw justice and evil!
context: Go apologize to everyone right now!\Justice, my ass. Evil, my ass.\In the end, they were just going to kill me based on popular opinion.\It's unfair. It's unforgivable.\I'm angry!\I just want to teach them all a lesson!\I want them to feel a blow from the weak!\Screw justice and evil! response:	It's over, Garo!
context: Justice, my ass. Evil, my ass.\In the end, they were just going to kill me based on popular opinion.\It's unfair. It's unforgivable.\I'm angry!\I just want to teach them all a lesson!\I want them to feel a blow from the weak!\Screw justice and evil!\It's over, Garo! response:	Like hell... it's over!
context: In the end, they were just going to kill me based on popular opinion.\It's unfair. It's unforgivable.\I'm angry!\I just want to teach them all a lesson!\I want them to feel a blow from the weak!\Screw justice and evil!\It's over, Garo!\Like hell... it's over! response:	What?
context: It's unfair. It's unforgivable.\I'm angry!\I just want to teach them all a lesson!\I want them to feel a blow from the weak!\Screw justice and evil!\It's over, Garo!\Like hell... it's over!\What? response:	Garo...
context: I'm angry!\I just want to teach them all a lesson!\I want them to feel a blow from the weak!\Screw justice and evil!\It's over, Garo!\Like hell... it's over!\What?\Garo... response:	Bang! Above you!
context: I just want to teach them all a lesson!\I want them to feel a blow from the weak!\Screw justice and evil!\It's over, Garo!\Like hell... it's over!\What?\Garo...\Bang! Above you! response:	A monster?
context: I want them to feel a blow from the weak!\Screw justice and evil!\It's over, Garo!\Like hell... it's over!\What?\Garo...\Bang! Above you!\A monster? response:	Genos!
context: Screw justice and evil!\It's over, Garo!\Like hell... it's over!\What?\Garo...\Bang! Above you!\A monster?\Genos! response:	Bang! He's a monster now!
context: It's over, Garo!\Like hell... it's over!\What?\Garo...\Bang! Above you!\A monster?\Genos!\Bang! He's a monster now! response:	I'm going to blast that thing along with Garo! Got it?
context: Like hell... it's over!\What?\Garo...\Bang! Above you!\A monster?\Genos!\Bang! He's a monster now!\I'm going to blast that thing along with Garo! Got it? response:	Hear me! I'm taking Garo!
context: What?\Garo...\Bang! Above you!\A monster?\Genos!\Bang! He's a monster now!\I'm going to blast that thing along with Garo! Got it?\Hear me! I'm taking Garo! response:	I'm leaving the rest to you!
context: Garo...\Bang! Above you!\A monster?\Genos!\Bang! He's a monster now!\I'm going to blast that thing along with Garo! Got it?\Hear me! I'm taking Garo!\I'm leaving the rest to you! response:	Spiral Incineration Cannon!
context: Bang! Above you!\A monster?\Genos!\Bang! He's a monster now!\I'm going to blast that thing along with Garo! Got it?\Hear me! I'm taking Garo!\I'm leaving the rest to you!\Spiral Incineration Cannon! response:	Centichoro!
context: A monster?\Genos!\Bang! He's a monster now!\I'm going to blast that thing along with Garo! Got it?\Hear me! I'm taking Garo!\I'm leaving the rest to you!\Spiral Incineration Cannon!\Centichoro! response:	What in the world is that?!
context: Genos!\Bang! He's a monster now!\I'm going to blast that thing along with Garo! Got it?\Hear me! I'm taking Garo!\I'm leaving the rest to you!\Spiral Incineration Cannon!\Centichoro!\What in the world is that?! response:	That thing's actually alive?!
context: Bang! He's a monster now!\I'm going to blast that thing along with Garo! Got it?\Hear me! I'm taking Garo!\I'm leaving the rest to you!\Spiral Incineration Cannon!\Centichoro!\What in the world is that?!\That thing's actually alive?! response:	Oh, no! We need to get to them!
context: I'm going to blast that thing along with Garo! Got it?\Hear me! I'm taking Garo!\I'm leaving the rest to you!\Spiral Incineration Cannon!\Centichoro!\What in the world is that?!\That thing's actually alive?!\Oh, no! We need to get to them! response:	To think it didn't even suffer a scratch
context: Hear me! I'm taking Garo!\I'm leaving the rest to you!\Spiral Incineration Cannon!\Centichoro!\What in the world is that?!\That thing's actually alive?!\Oh, no! We need to get to them!\To think it didn't even suffer a scratch response:	after being hit by Genos' attack...
context: I'm leaving the rest to you!\Spiral Incineration Cannon!\Centichoro!\What in the world is that?!\That thing's actually alive?!\Oh, no! We need to get to them!\To think it didn't even suffer a scratch\after being hit by Genos' attack... response:	That thing's going to be a pain in the ass.
context: Spiral Incineration Cannon!\Centichoro!\What in the world is that?!\That thing's actually alive?!\Oh, no! We need to get to them!\To think it didn't even suffer a scratch\after being hit by Genos' attack...\That thing's going to be a pain in the ass. response:	Threat Level: Dragon
context: Centichoro!\What in the world is that?!\That thing's actually alive?!\Oh, no! We need to get to them!\To think it didn't even suffer a scratch\after being hit by Genos' attack...\That thing's going to be a pain in the ass.\Threat Level: Dragon response:	Giant Monstrous Insect: Centichoro
context: What in the world is that?!\That thing's actually alive?!\Oh, no! We need to get to them!\To think it didn't even suffer a scratch\after being hit by Genos' attack...\That thing's going to be a pain in the ass.\Threat Level: Dragon\Giant Monstrous Insect: Centichoro response:	What the hell do you guys think you're doing, interfering like that?
context: That thing's actually alive?!\Oh, no! We need to get to them!\To think it didn't even suffer a scratch\after being hit by Genos' attack...\That thing's going to be a pain in the ass.\Threat Level: Dragon\Giant Monstrous Insect: Centichoro\What the hell do you guys think you're doing, interfering like that? response:	Just shut up and let Centichoro handle this.
context: Oh, no! We need to get to them!\To think it didn't even suffer a scratch\after being hit by Genos' attack...\That thing's going to be a pain in the ass.\Threat Level: Dragon\Giant Monstrous Insect: Centichoro\What the hell do you guys think you're doing, interfering like that?\Just shut up and let Centichoro handle this. response:	He's a catastrophe that devours all.
context: To think it didn't even suffer a scratch\after being hit by Genos' attack...\That thing's going to be a pain in the ass.\Threat Level: Dragon\Giant Monstrous Insect: Centichoro\What the hell do you guys think you're doing, interfering like that?\Just shut up and let Centichoro handle this.\He's a catastrophe that devours all. response:	I can't help but admire his desire to destroy everything.
context: after being hit by Genos' attack...\That thing's going to be a pain in the ass.\Threat Level: Dragon\Giant Monstrous Insect: Centichoro\What the hell do you guys think you're doing, interfering like that?\Just shut up and let Centichoro handle this.\He's a catastrophe that devours all.\I can't help but admire his desire to destroy everything. response:	I see that your endgame is as weak as ever, hero hunter.
context: That thing's going to be a pain in the ass.\Threat Level: Dragon\Giant Monstrous Insect: Centichoro\What the hell do you guys think you're doing, interfering like that?\Just shut up and let Centichoro handle this.\He's a catastrophe that devours all.\I can't help but admire his desire to destroy everything.\I see that your endgame is as weak as ever, hero hunter. response:	When you defeat them, you need to make sure they aren't breathing anymore.
context: Threat Level: Dragon\Giant Monstrous Insect: Centichoro\What the hell do you guys think you're doing, interfering like that?\Just shut up and let Centichoro handle this.\He's a catastrophe that devours all.\I can't help but admire his desire to destroy everything.\I see that your endgame is as weak as ever, hero hunter.\When you defeat them, you need to make sure they aren't breathing anymore. response:	All those heroes on the ground over there are still alive.
context: Giant Monstrous Insect: Centichoro\What the hell do you guys think you're doing, interfering like that?\Just shut up and let Centichoro handle this.\He's a catastrophe that devours all.\I can't help but admire his desire to destroy everything.\I see that your endgame is as weak as ever, hero hunter.\When you defeat them, you need to make sure they aren't breathing anymore.\All those heroes on the ground over there are still alive. response:	But don't worry. Centichoro will end everything.
context: What the hell do you guys think you're doing, interfering like that?\Just shut up and let Centichoro handle this.\He's a catastrophe that devours all.\I can't help but admire his desire to destroy everything.\I see that your endgame is as weak as ever, hero hunter.\When you defeat them, you need to make sure they aren't breathing anymore.\All those heroes on the ground over there are still alive.\But don't worry. Centichoro will end everything. response:	Quit interfering!
context: Just shut up and let Centichoro handle this.\He's a catastrophe that devours all.\I can't help but admire his desire to destroy everything.\I see that your endgame is as weak as ever, hero hunter.\When you defeat them, you need to make sure they aren't breathing anymore.\All those heroes on the ground over there are still alive.\But don't worry. Centichoro will end everything.\Quit interfering! response:	They're my prey!
context: He's a catastrophe that devours all.\I can't help but admire his desire to destroy everything.\I see that your endgame is as weak as ever, hero hunter.\When you defeat them, you need to make sure they aren't breathing anymore.\All those heroes on the ground over there are still alive.\But don't worry. Centichoro will end everything.\Quit interfering!\They're my prey! response:	Come on, now. Stop squirming.
context: I can't help but admire his desire to destroy everything.\I see that your endgame is as weak as ever, hero hunter.\When you defeat them, you need to make sure they aren't breathing anymore.\All those heroes on the ground over there are still alive.\But don't worry. Centichoro will end everything.\Quit interfering!\They're my prey!\Come on, now. Stop squirming. response:	Damn it! Put me down!
context: I see that your endgame is as weak as ever, hero hunter.\When you defeat them, you need to make sure they aren't breathing anymore.\All those heroes on the ground over there are still alive.\But don't worry. Centichoro will end everything.\Quit interfering!\They're my prey!\Come on, now. Stop squirming.\Damn it! Put me down! response:	You won't get away with this!
context: When you defeat them, you need to make sure they aren't breathing anymore.\All those heroes on the ground over there are still alive.\But don't worry. Centichoro will end everything.\Quit interfering!\They're my prey!\Come on, now. Stop squirming.\Damn it! Put me down!\You won't get away with this! response:	Why are you so angry?
context: All those heroes on the ground over there are still alive.\But don't worry. Centichoro will end everything.\Quit interfering!\They're my prey!\Come on, now. Stop squirming.\Damn it! Put me down!\You won't get away with this!\Why are you so angry? response:	It's your fault for not finishing them off.
context: But don't worry. Centichoro will end everything.\Quit interfering!\They're my prey!\Come on, now. Stop squirming.\Damn it! Put me down!\You won't get away with this!\Why are you so angry?\It's your fault for not finishing them off. response:	Getting rid of two Class S heroes at once works out quite well for us.
context: Quit interfering!\They're my prey!\Come on, now. Stop squirming.\Damn it! Put me down!\You won't get away with this!\Why are you so angry?\It's your fault for not finishing them off.\Getting rid of two Class S heroes at once works out quite well for us. response:	They are our greatest enemies, after all.
context: They're my prey!\Come on, now. Stop squirming.\Damn it! Put me down!\You won't get away with this!\Why are you so angry?\It's your fault for not finishing them off.\Getting rid of two Class S heroes at once works out quite well for us.\They are our greatest enemies, after all. response:	I'm sure you've seen by now that some opponents
context: Come on, now. Stop squirming.\Damn it! Put me down!\You won't get away with this!\Why are you so angry?\It's your fault for not finishing them off.\Getting rid of two Class S heroes at once works out quite well for us.\They are our greatest enemies, after all.\I'm sure you've seen by now that some opponents response:	are better suited for each other than others.
context: Damn it! Put me down!\You won't get away with this!\Why are you so angry?\It's your fault for not finishing them off.\Getting rid of two Class S heroes at once works out quite well for us.\They are our greatest enemies, after all.\I'm sure you've seen by now that some opponents\are better suited for each other than others. response:	According to our strategist, Gyoro-Gyoro,
context: You won't get away with this!\Why are you so angry?\It's your fault for not finishing them off.\Getting rid of two Class S heroes at once works out quite well for us.\They are our greatest enemies, after all.\I'm sure you've seen by now that some opponents\are better suited for each other than others.\According to our strategist, Gyoro-Gyoro, response:	there are only four heroes who stand a chance against Centichoro.
context: Why are you so angry?\It's your fault for not finishing them off.\Getting rid of two Class S heroes at once works out quite well for us.\They are our greatest enemies, after all.\I'm sure you've seen by now that some opponents\are better suited for each other than others.\According to our strategist, Gyoro-Gyoro,\there are only four heroes who stand a chance against Centichoro. response:	Terrible Tornado, who has unparalleled psychic powers.
context: It's your fault for not finishing them off.\Getting rid of two Class S heroes at once works out quite well for us.\They are our greatest enemies, after all.\I'm sure you've seen by now that some opponents\are better suited for each other than others.\According to our strategist, Gyoro-Gyoro,\there are only four heroes who stand a chance against Centichoro.\Terrible Tornado, who has unparalleled psychic powers. response:	Metal Knight, who hoards military might on an unknown scale.
context: Getting rid of two Class S heroes at once works out quite well for us.\They are our greatest enemies, after all.\I'm sure you've seen by now that some opponents\are better suited for each other than others.\According to our strategist, Gyoro-Gyoro,\there are only four heroes who stand a chance against Centichoro.\Terrible Tornado, who has unparalleled psychic powers.\Metal Knight, who hoards military might on an unknown scale. response:	King, the strongest human alive.
context: They are our greatest enemies, after all.\I'm sure you've seen by now that some opponents\are better suited for each other than others.\According to our strategist, Gyoro-Gyoro,\there are only four heroes who stand a chance against Centichoro.\Terrible Tornado, who has unparalleled psychic powers.\Metal Knight, who hoards military might on an unknown scale.\King, the strongest human alive. response:	And the top hero who nearly killed Centichoro in the past, Blast.
context: I'm sure you've seen by now that some opponents\are better suited for each other than others.\According to our strategist, Gyoro-Gyoro,\there are only four heroes who stand a chance against Centichoro.\Terrible Tornado, who has unparalleled psychic powers.\Metal Knight, who hoards military might on an unknown scale.\King, the strongest human alive.\And the top hero who nearly killed Centichoro in the past, Blast. response:	Centichoro aligned with
context: are better suited for each other than others.\According to our strategist, Gyoro-Gyoro,\there are only four heroes who stand a chance against Centichoro.\Terrible Tornado, who has unparalleled psychic powers.\Metal Knight, who hoards military might on an unknown scale.\King, the strongest human alive.\And the top hero who nearly killed Centichoro in the past, Blast.\Centichoro aligned with response:	the Monster Association in order to get revenge against Blast.
context: According to our strategist, Gyoro-Gyoro,\there are only four heroes who stand a chance against Centichoro.\Terrible Tornado, who has unparalleled psychic powers.\Metal Knight, who hoards military might on an unknown scale.\King, the strongest human alive.\And the top hero who nearly killed Centichoro in the past, Blast.\Centichoro aligned with\the Monster Association in order to get revenge against Blast. response:	It means that he's determined to drag Blast out onto the battlefield.
context: there are only four heroes who stand a chance against Centichoro.\Terrible Tornado, who has unparalleled psychic powers.\Metal Knight, who hoards military might on an unknown scale.\King, the strongest human alive.\And the top hero who nearly killed Centichoro in the past, Blast.\Centichoro aligned with\the Monster Association in order to get revenge against Blast.\It means that he's determined to drag Blast out onto the battlefield. response:	In terms of compatibility between fighters, those two Class S heroes
context: Terrible Tornado, who has unparalleled psychic powers.\Metal Knight, who hoards military might on an unknown scale.\King, the strongest human alive.\And the top hero who nearly killed Centichoro in the past, Blast.\Centichoro aligned with\the Monster Association in order to get revenge against Blast.\It means that he's determined to drag Blast out onto the battlefield.\In terms of compatibility between fighters, those two Class S heroes response:	don't have what it takes to survive this fight.
context: Metal Knight, who hoards military might on an unknown scale.\King, the strongest human alive.\And the top hero who nearly killed Centichoro in the past, Blast.\Centichoro aligned with\the Monster Association in order to get revenge against Blast.\It means that he's determined to drag Blast out onto the battlefield.\In terms of compatibility between fighters, those two Class S heroes\don't have what it takes to survive this fight. response:	Silverfang has unrivaled strength, but that only applies
context: King, the strongest human alive.\And the top hero who nearly killed Centichoro in the past, Blast.\Centichoro aligned with\the Monster Association in order to get revenge against Blast.\It means that he's determined to drag Blast out onto the battlefield.\In terms of compatibility between fighters, those two Class S heroes\don't have what it takes to survive this fight.\Silverfang has unrivaled strength, but that only applies response:	for opponents of a size that allow him to use his martial arts.
context: And the top hero who nearly killed Centichoro in the past, Blast.\Centichoro aligned with\the Monster Association in order to get revenge against Blast.\It means that he's determined to drag Blast out onto the battlefield.\In terms of compatibility between fighters, those two Class S heroes\don't have what it takes to survive this fight.\Silverfang has unrivaled strength, but that only applies\for opponents of a size that allow him to use his martial arts. response:	The Demon Cyborg's functionality is also terrifyingly proficient,
context: Centichoro aligned with\the Monster Association in order to get revenge against Blast.\It means that he's determined to drag Blast out onto the battlefield.\In terms of compatibility between fighters, those two Class S heroes\don't have what it takes to survive this fight.\Silverfang has unrivaled strength, but that only applies\for opponents of a size that allow him to use his martial arts.\The Demon Cyborg's functionality is also terrifyingly proficient, response:	but he doesn't have enough firepower to take down something that big.
context: the Monster Association in order to get revenge against Blast.\It means that he's determined to drag Blast out onto the battlefield.\In terms of compatibility between fighters, those two Class S heroes\don't have what it takes to survive this fight.\Silverfang has unrivaled strength, but that only applies\for opponents of a size that allow him to use his martial arts.\The Demon Cyborg's functionality is also terrifyingly proficient,\but he doesn't have enough firepower to take down something that big. response:	Those two don't stand a chance.
context: It means that he's determined to drag Blast out onto the battlefield.\In terms of compatibility between fighters, those two Class S heroes\don't have what it takes to survive this fight.\Silverfang has unrivaled strength, but that only applies\for opponents of a size that allow him to use his martial arts.\The Demon Cyborg's functionality is also terrifyingly proficient,\but he doesn't have enough firepower to take down something that big.\Those two don't stand a chance. response:	He's coming!
context: In terms of compatibility between fighters, those two Class S heroes\don't have what it takes to survive this fight.\Silverfang has unrivaled strength, but that only applies\for opponents of a size that allow him to use his martial arts.\The Demon Cyborg's functionality is also terrifyingly proficient,\but he doesn't have enough firepower to take down something that big.\Those two don't stand a chance.\He's coming! response:	Genos...
context: don't have what it takes to survive this fight.\Silverfang has unrivaled strength, but that only applies\for opponents of a size that allow him to use his martial arts.\The Demon Cyborg's functionality is also terrifyingly proficient,\but he doesn't have enough firepower to take down something that big.\Those two don't stand a chance.\He's coming!\Genos... response:	We're counting on you.
context: Silverfang has unrivaled strength, but that only applies\for opponents of a size that allow him to use his martial arts.\The Demon Cyborg's functionality is also terrifyingly proficient,\but he doesn't have enough firepower to take down something that big.\Those two don't stand a chance.\He's coming!\Genos...\We're counting on you. response:	Got it!
context: for opponents of a size that allow him to use his martial arts.\The Demon Cyborg's functionality is also terrifyingly proficient,\but he doesn't have enough firepower to take down something that big.\Those two don't stand a chance.\He's coming!\Genos...\We're counting on you.\Got it! response:	Whirling Wind...
context: The Demon Cyborg's functionality is also terrifyingly proficient,\but he doesn't have enough firepower to take down something that big.\Those two don't stand a chance.\He's coming!\Genos...\We're counting on you.\Got it!\Whirling Wind... response:	Flowing Water...
context: but he doesn't have enough firepower to take down something that big.\Those two don't stand a chance.\He's coming!\Genos...\We're counting on you.\Got it!\Whirling Wind...\Flowing Water... response:	Fist of Roaring Ki, Rending Air!
context: Those two don't stand a chance.\He's coming!\Genos...\We're counting on you.\Got it!\Whirling Wind...\Flowing Water...\Fist of Roaring Ki, Rending Air! response:	What an amazing attack...
context: He's coming!\Genos...\We're counting on you.\Got it!\Whirling Wind...\Flowing Water...\Fist of Roaring Ki, Rending Air!\What an amazing attack... response:	They broke through that hard exoskeleton...
context: Genos...\We're counting on you.\Got it!\Whirling Wind...\Flowing Water...\Fist of Roaring Ki, Rending Air!\What an amazing attack...\They broke through that hard exoskeleton... response:	That is truly the ultimate technique.
context: We're counting on you.\Got it!\Whirling Wind...\Flowing Water...\Fist of Roaring Ki, Rending Air!\What an amazing attack...\They broke through that hard exoskeleton...\That is truly the ultimate technique. response:	Not yet! Not yet! Not yet! Not yet! Not yet! Not yet!
context: Got it!\Whirling Wind...\Flowing Water...\Fist of Roaring Ki, Rending Air!\What an amazing attack...\They broke through that hard exoskeleton...\That is truly the ultimate technique.\Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! response:	We let our guard down.
context: Whirling Wind...\Flowing Water...\Fist of Roaring Ki, Rending Air!\What an amazing attack...\They broke through that hard exoskeleton...\That is truly the ultimate technique.\Not yet! Not yet! Not yet! Not yet! Not yet! Not yet!\We let our guard down. response:	But we were able to use the huge attack that we can only use once.
context: Flowing Water...\Fist of Roaring Ki, Rending Air!\What an amazing attack...\They broke through that hard exoskeleton...\That is truly the ultimate technique.\Not yet! Not yet! Not yet! Not yet! Not yet! Not yet!\We let our guard down.\But we were able to use the huge attack that we can only use once. response:	Thanks, Genos.
context: Fist of Roaring Ki, Rending Air!\What an amazing attack...\They broke through that hard exoskeleton...\That is truly the ultimate technique.\Not yet! Not yet! Not yet! Not yet! Not yet! Not yet!\We let our guard down.\But we were able to use the huge attack that we can only use once.\Thanks, Genos. response:	It's no big deal.
context: What an amazing attack...\They broke through that hard exoskeleton...\That is truly the ultimate technique.\Not yet! Not yet! Not yet! Not yet! Not yet! Not yet!\We let our guard down.\But we were able to use the huge attack that we can only use once.\Thanks, Genos.\It's no big deal. response:	It looks like it was effective.
context: They broke through that hard exoskeleton...\That is truly the ultimate technique.\Not yet! Not yet! Not yet! Not yet! Not yet! Not yet!\We let our guard down.\But we were able to use the huge attack that we can only use once.\Thanks, Genos.\It's no big deal.\It looks like it was effective. response:	That shock is currently coursing through its body.
context: That is truly the ultimate technique.\Not yet! Not yet! Not yet! Not yet! Not yet! Not yet!\We let our guard down.\But we were able to use the huge attack that we can only use once.\Thanks, Genos.\It's no big deal.\It looks like it was effective.\That shock is currently coursing through its body. response:	I hope you explode into bits, you stupid monster.
context: Not yet! Not yet! Not yet! Not yet! Not yet! Not yet!\We let our guard down.\But we were able to use the huge attack that we can only use once.\Thanks, Genos.\It's no big deal.\It looks like it was effective.\That shock is currently coursing through its body.\I hope you explode into bits, you stupid monster. response:	It's over.
context: We let our guard down.\But we were able to use the huge attack that we can only use once.\Thanks, Genos.\It's no big deal.\It looks like it was effective.\That shock is currently coursing through its body.\I hope you explode into bits, you stupid monster.\It's over. response:	Seriously?
context: But we were able to use the huge attack that we can only use once.\Thanks, Genos.\It's no big deal.\It looks like it was effective.\That shock is currently coursing through its body.\I hope you explode into bits, you stupid monster.\It's over.\Seriously? response:	He molted!
context: Thanks, Genos.\It's no big deal.\It looks like it was effective.\That shock is currently coursing through its body.\I hope you explode into bits, you stupid monster.\It's over.\Seriously?\He molted! response:	How is that even possible?!
context: It's no big deal.\It looks like it was effective.\That shock is currently coursing through its body.\I hope you explode into bits, you stupid monster.\It's over.\Seriously?\He molted!\How is that even possible?! response:	We can't defeat this! What are we going to do?
context: It looks like it was effective.\That shock is currently coursing through its body.\I hope you explode into bits, you stupid monster.\It's over.\Seriously?\He molted!\How is that even possible?!\We can't defeat this! What are we going to do? response:	We're just outside the city.
context: That shock is currently coursing through its body.\I hope you explode into bits, you stupid monster.\It's over.\Seriously?\He molted!\How is that even possible?!\We can't defeat this! What are we going to do?\We're just outside the city. response:	If we let it go into that area, civilians are going to get hurt.
context: I hope you explode into bits, you stupid monster.\It's over.\Seriously?\He molted!\How is that even possible?!\We can't defeat this! What are we going to do?\We're just outside the city.\If we let it go into that area, civilians are going to get hurt. response:	Bang.
context: It's over.\Seriously?\He molted!\How is that even possible?!\We can't defeat this! What are we going to do?\We're just outside the city.\If we let it go into that area, civilians are going to get hurt.\Bang. response:	I'll fight that thing.
context: Seriously?\He molted!\How is that even possible?!\We can't defeat this! What are we going to do?\We're just outside the city.\If we let it go into that area, civilians are going to get hurt.\Bang.\I'll fight that thing. response:	I'll hold off that centipede for as long as possible. You guys can run.
context: He molted!\How is that even possible?!\We can't defeat this! What are we going to do?\We're just outside the city.\If we let it go into that area, civilians are going to get hurt.\Bang.\I'll fight that thing.\I'll hold off that centipede for as long as possible. You guys can run. response:	Genos, I cannot agree to that.
context: How is that even possible?!\We can't defeat this! What are we going to do?\We're just outside the city.\If we let it go into that area, civilians are going to get hurt.\Bang.\I'll fight that thing.\I'll hold off that centipede for as long as possible. You guys can run.\Genos, I cannot agree to that. response:	You shouldn't risk your life when you know there's no way to win.
context: We can't defeat this! What are we going to do?\We're just outside the city.\If we let it go into that area, civilians are going to get hurt.\Bang.\I'll fight that thing.\I'll hold off that centipede for as long as possible. You guys can run.\Genos, I cannot agree to that.\You shouldn't risk your life when you know there's no way to win. response:	You young'uns still have a future.
context: We're just outside the city.\If we let it go into that area, civilians are going to get hurt.\Bang.\I'll fight that thing.\I'll hold off that centipede for as long as possible. You guys can run.\Genos, I cannot agree to that.\You shouldn't risk your life when you know there's no way to win.\You young'uns still have a future. response:	Genos, just make sure you don't push yourself too hard.
context: If we let it go into that area, civilians are going to get hurt.\Bang.\I'll fight that thing.\I'll hold off that centipede for as long as possible. You guys can run.\Genos, I cannot agree to that.\You shouldn't risk your life when you know there's no way to win.\You young'uns still have a future.\Genos, just make sure you don't push yourself too hard. response:	Is that really okay, though?
context: Bang.\I'll fight that thing.\I'll hold off that centipede for as long as possible. You guys can run.\Genos, I cannot agree to that.\You shouldn't risk your life when you know there's no way to win.\You young'uns still have a future.\Genos, just make sure you don't push yourself too hard.\Is that really okay, though? response:	Of course it's not!
context: I'll fight that thing.\I'll hold off that centipede for as long as possible. You guys can run.\Genos, I cannot agree to that.\You shouldn't risk your life when you know there's no way to win.\You young'uns still have a future.\Genos, just make sure you don't push yourself too hard.\Is that really okay, though?\Of course it's not! response:	This is too reckless! Cannons won't work on that thing!
context: I'll hold off that centipede for as long as possible. You guys can run.\Genos, I cannot agree to that.\You shouldn't risk your life when you know there's no way to win.\You young'uns still have a future.\Genos, just make sure you don't push yourself too hard.\Is that really okay, though?\Of course it's not!\This is too reckless! Cannons won't work on that thing! response:	This thing, the monster from yesterday, and Garo are all
context: Genos, I cannot agree to that.\You shouldn't risk your life when you know there's no way to win.\You young'uns still have a future.\Genos, just make sure you don't push yourself too hard.\Is that really okay, though?\Of course it's not!\This is too reckless! Cannons won't work on that thing!\This thing, the monster from yesterday, and Garo are all response:	part of the Monster Association.
context: You shouldn't risk your life when you know there's no way to win.\You young'uns still have a future.\Genos, just make sure you don't push yourself too hard.\Is that really okay, though?\Of course it's not!\This is too reckless! Cannons won't work on that thing!\This thing, the monster from yesterday, and Garo are all\part of the Monster Association. response:	This battle is inevitable!
context: You young'uns still have a future.\Genos, just make sure you don't push yourself too hard.\Is that really okay, though?\Of course it's not!\This is too reckless! Cannons won't work on that thing!\This thing, the monster from yesterday, and Garo are all\part of the Monster Association.\This battle is inevitable! response:	Dual Blade Rush!
context: Genos, just make sure you don't push yourself too hard.\Is that really okay, though?\Of course it's not!\This is too reckless! Cannons won't work on that thing!\This thing, the monster from yesterday, and Garo are all\part of the Monster Association.\This battle is inevitable!\Dual Blade Rush! response:	But that's what it means to fight against them!
context: Is that really okay, though?\Of course it's not!\This is too reckless! Cannons won't work on that thing!\This thing, the monster from yesterday, and Garo are all\part of the Monster Association.\This battle is inevitable!\Dual Blade Rush!\But that's what it means to fight against them! response:	I'll grind you to death!
context: Of course it's not!\This is too reckless! Cannons won't work on that thing!\This thing, the monster from yesterday, and Garo are all\part of the Monster Association.\This battle is inevitable!\Dual Blade Rush!\But that's what it means to fight against them!\I'll grind you to death! response:	If that's being reckless, then...
context: This is too reckless! Cannons won't work on that thing!\This thing, the monster from yesterday, and Garo are all\part of the Monster Association.\This battle is inevitable!\Dual Blade Rush!\But that's what it means to fight against them!\I'll grind you to death!\If that's being reckless, then... response:	Genos!
context: This thing, the monster from yesterday, and Garo are all\part of the Monster Association.\This battle is inevitable!\Dual Blade Rush!\But that's what it means to fight against them!\I'll grind you to death!\If that's being reckless, then...\Genos! response:	At this rate... I'm...
context: part of the Monster Association.\This battle is inevitable!\Dual Blade Rush!\But that's what it means to fight against them!\I'll grind you to death!\If that's being reckless, then...\Genos!\At this rate... I'm... response:	unworthy.
context: This battle is inevitable!\Dual Blade Rush!\But that's what it means to fight against them!\I'll grind you to death!\If that's being reckless, then...\Genos!\At this rate... I'm...\unworthy. response:	Jet Drive Arrow!
context: Dual Blade Rush!\But that's what it means to fight against them!\I'll grind you to death!\If that's being reckless, then...\Genos!\At this rate... I'm...\unworthy.\Jet Drive Arrow! response:	You impudent creature!
context: But that's what it means to fight against them!\I'll grind you to death!\If that's being reckless, then...\Genos!\At this rate... I'm...\unworthy.\Jet Drive Arrow!\You impudent creature! response:	What?!
context: I'll grind you to death!\If that's being reckless, then...\Genos!\At this rate... I'm...\unworthy.\Jet Drive Arrow!\You impudent creature!\What?! response:	He went into its mouth!
