context: Morning! response:	You're so noisy in the morning.
context: But what actually happened was'\That was just luck!\Now, now, you two'\If that big cat hadn't gotten in our way,\the card would be Shao-Lang's!\If Sakura hadn't sealed that card,\you might've been eaten by that cat!\What was that?! response:	You little wench!
context: That was just luck!\Now, now, you two'\If that big cat hadn't gotten in our way,\the card would be Shao-Lang's!\If Sakura hadn't sealed that card,\you might've been eaten by that cat!\What was that?!\You little wench! response:	Um'
context: Now, now, you two'\If that big cat hadn't gotten in our way,\the card would be Shao-Lang's!\If Sakura hadn't sealed that card,\you might've been eaten by that cat!\What was that?!\You little wench!\Um' response:	What's wrong, Sakura?
context: If that big cat hadn't gotten in our way,\the card would be Shao-Lang's!\If Sakura hadn't sealed that card,\you might've been eaten by that cat!\What was that?!\You little wench!\Um'\What's wrong, Sakura? response:	Gh' h' h' g'gh'
context: the card would be Shao-Lang's!\If Sakura hadn't sealed that card,\you might've been eaten by that cat!\What was that?!\You little wench!\Um'\What's wrong, Sakura?\Gh' h' h' g'gh' response:	A ghost?
context: If Sakura hadn't sealed that card,\you might've been eaten by that cat!\What was that?!\You little wench!\Um'\What's wrong, Sakura?\Gh' h' h' g'gh'\A ghost? response:	Yes.
context: you might've been eaten by that cat!\What was that?!\You little wench!\Um'\What's wrong, Sakura?\Gh' h' h' g'gh'\A ghost?\Yes. response:	Ghost?
context: What was that?!\You little wench!\Um'\What's wrong, Sakura?\Gh' h' h' g'gh'\A ghost?\Yes.\Ghost? response:	There's nothing there.
context: You little wench!\Um'\What's wrong, Sakura?\Gh' h' h' g'gh'\A ghost?\Yes.\Ghost?\There's nothing there. response:	Shuu.
context: Um'\What's wrong, Sakura?\Gh' h' h' g'gh'\A ghost?\Yes.\Ghost?\There's nothing there.\Shuu. response:	'And so, the princess didn't know where she was.'
context: What's wrong, Sakura?\Gh' h' h' g'gh'\A ghost?\Yes.\Ghost?\There's nothing there.\Shuu.\'And so, the princess didn't know where she was.' response:	What's after that'?
context: Gh' h' h' g'gh'\A ghost?\Yes.\Ghost?\There's nothing there.\Shuu.\'And so, the princess didn't know where she was.'\What's after that'? response:	That's it!
context: A ghost?\Yes.\Ghost?\There's nothing there.\Shuu.\'And so, the princess didn't know where she was.'\What's after that'?\That's it! response:	Did you see it too, Mei-ling?
context: Yes.\Ghost?\There's nothing there.\Shuu.\'And so, the princess didn't know where she was.'\What's after that'?\That's it!\Did you see it too, Mei-ling? response:	Yeah'
context: Ghost?\There's nothing there.\Shuu.\'And so, the princess didn't know where she was.'\What's after that'?\That's it!\Did you see it too, Mei-ling?\Yeah' response:	Then it's not a ghost.
context: There's nothing there.\Shuu.\'And so, the princess didn't know where she was.'\What's after that'?\That's it!\Did you see it too, Mei-ling?\Yeah'\Then it's not a ghost. response:	Why?
context: Shuu.\'And so, the princess didn't know where she was.'\What's after that'?\That's it!\Did you see it too, Mei-ling?\Yeah'\Then it's not a ghost.\Why? response:	Because you don't have that kind of perception.
context: 'And so, the princess didn't know where she was.'\What's after that'?\That's it!\Did you see it too, Mei-ling?\Yeah'\Then it's not a ghost.\Why?\Because you don't have that kind of perception. response:	Tomoyo, did you see it, too?
context: What's after that'?\That's it!\Did you see it too, Mei-ling?\Yeah'\Then it's not a ghost.\Why?\Because you don't have that kind of perception.\Tomoyo, did you see it, too? response:	Yes.
context: That's it!\Did you see it too, Mei-ling?\Yeah'\Then it's not a ghost.\Why?\Because you don't have that kind of perception.\Tomoyo, did you see it, too?\Yes. response:	Tomoyo doesn't have magic powers either.
context: Did you see it too, Mei-ling?\Yeah'\Then it's not a ghost.\Why?\Because you don't have that kind of perception.\Tomoyo, did you see it, too?\Yes.\Tomoyo doesn't have magic powers either. response:	Which means'
context: Yeah'\Then it's not a ghost.\Why?\Because you don't have that kind of perception.\Tomoyo, did you see it, too?\Yes.\Tomoyo doesn't have magic powers either.\Which means' response:	It's not a ghost?
context: Then it's not a ghost.\Why?\Because you don't have that kind of perception.\Tomoyo, did you see it, too?\Yes.\Tomoyo doesn't have magic powers either.\Which means'\It's not a ghost? response:	Exactly!
context: Why?\Because you don't have that kind of perception.\Tomoyo, did you see it, too?\Yes.\Tomoyo doesn't have magic powers either.\Which means'\It's not a ghost?\Exactly! response:	What a relief!
context: Because you don't have that kind of perception.\Tomoyo, did you see it, too?\Yes.\Tomoyo doesn't have magic powers either.\Which means'\It's not a ghost?\Exactly!\What a relief! response:	Eh?
context: Tomoyo, did you see it, too?\Yes.\Tomoyo doesn't have magic powers either.\Which means'\It's not a ghost?\Exactly!\What a relief!\Eh? response:	W' what's that?
context: Yes.\Tomoyo doesn't have magic powers either.\Which means'\It's not a ghost?\Exactly!\What a relief!\Eh?\W' what's that? response:	A panther!
context: Tomoyo doesn't have magic powers either.\Which means'\It's not a ghost?\Exactly!\What a relief!\Eh?\W' what's that?\A panther! response:	Did it escape from the zoo?
context: Which means'\It's not a ghost?\Exactly!\What a relief!\Eh?\W' what's that?\A panther!\Did it escape from the zoo? response:	What's that?
context: It's not a ghost?\Exactly!\What a relief!\Eh?\W' what's that?\A panther!\Did it escape from the zoo?\What's that? response:	It's got graffiti-like eyes!
context: Exactly!\What a relief!\Eh?\W' what's that?\A panther!\Did it escape from the zoo?\What's that?\It's got graffiti-like eyes! response:	Do Japanese panthers have wings?
context: What a relief!\Eh?\W' what's that?\A panther!\Did it escape from the zoo?\What's that?\It's got graffiti-like eyes!\Do Japanese panthers have wings? response:	I don't think you'll find that in a zoo.
context: Eh?\W' what's that?\A panther!\Did it escape from the zoo?\What's that?\It's got graffiti-like eyes!\Do Japanese panthers have wings?\I don't think you'll find that in a zoo. response:	There sure are a lot of weird things
context: W' what's that?\A panther!\Did it escape from the zoo?\What's that?\It's got graffiti-like eyes!\Do Japanese panthers have wings?\I don't think you'll find that in a zoo.\There sure are a lot of weird things response:	wandering around in Japan.
context: A panther!\Did it escape from the zoo?\What's that?\It's got graffiti-like eyes!\Do Japanese panthers have wings?\I don't think you'll find that in a zoo.\There sure are a lot of weird things\wandering around in Japan. response:	That's not really'
context: Did it escape from the zoo?\What's that?\It's got graffiti-like eyes!\Do Japanese panthers have wings?\I don't think you'll find that in a zoo.\There sure are a lot of weird things\wandering around in Japan.\That's not really' response:	This could be'
context: What's that?\It's got graffiti-like eyes!\Do Japanese panthers have wings?\I don't think you'll find that in a zoo.\There sure are a lot of weird things\wandering around in Japan.\That's not really'\This could be' response:	'The panther, hippo and the others grew wings'
context: It's got graffiti-like eyes!\Do Japanese panthers have wings?\I don't think you'll find that in a zoo.\There sure are a lot of weird things\wandering around in Japan.\That's not really'\This could be'\'The panther, hippo and the others grew wings' response:	' and they enjoyed the experience of flying.'
context: Do Japanese panthers have wings?\I don't think you'll find that in a zoo.\There sure are a lot of weird things\wandering around in Japan.\That's not really'\This could be'\'The panther, hippo and the others grew wings'\' and they enjoyed the experience of flying.' response:	'But that's not all.'
context: I don't think you'll find that in a zoo.\There sure are a lot of weird things\wandering around in Japan.\That's not really'\This could be'\'The panther, hippo and the others grew wings'\' and they enjoyed the experience of flying.'\'But that's not all.' response:	'Other animals
context: There sure are a lot of weird things\wandering around in Japan.\That's not really'\This could be'\'The panther, hippo and the others grew wings'\' and they enjoyed the experience of flying.'\'But that's not all.'\'Other animals response:	and fish grew wings, too.'
context: wandering around in Japan.\That's not really'\This could be'\'The panther, hippo and the others grew wings'\' and they enjoyed the experience of flying.'\'But that's not all.'\'Other animals\and fish grew wings, too.' response:	Are these all the work of a Clow Card?
context: That's not really'\This could be'\'The panther, hippo and the others grew wings'\' and they enjoyed the experience of flying.'\'But that's not all.'\'Other animals\and fish grew wings, too.'\Are these all the work of a Clow Card? response:	The only one that could do this is the Create card.
context: This could be'\'The panther, hippo and the others grew wings'\' and they enjoyed the experience of flying.'\'But that's not all.'\'Other animals\and fish grew wings, too.'\Are these all the work of a Clow Card?\The only one that could do this is the Create card. response:	Create is the one
context: 'The panther, hippo and the others grew wings'\' and they enjoyed the experience of flying.'\'But that's not all.'\'Other animals\and fish grew wings, too.'\Are these all the work of a Clow Card?\The only one that could do this is the Create card.\Create is the one response:	where if you write it, it will become reality?
context: ' and they enjoyed the experience of flying.'\'But that's not all.'\'Other animals\and fish grew wings, too.'\Are these all the work of a Clow Card?\The only one that could do this is the Create card.\Create is the one\where if you write it, it will become reality? response:	Right. It's gotta be nearby.
context: 'But that's not all.'\'Other animals\and fish grew wings, too.'\Are these all the work of a Clow Card?\The only one that could do this is the Create card.\Create is the one\where if you write it, it will become reality?\Right. It's gotta be nearby. response:	But we didn't feel it at all.
context: 'Other animals\and fish grew wings, too.'\Are these all the work of a Clow Card?\The only one that could do this is the Create card.\Create is the one\where if you write it, it will become reality?\Right. It's gotta be nearby.\But we didn't feel it at all. response:	Yeah, there was only the Big card's aura.
context: and fish grew wings, too.'\Are these all the work of a Clow Card?\The only one that could do this is the Create card.\Create is the one\where if you write it, it will become reality?\Right. It's gotta be nearby.\But we didn't feel it at all.\Yeah, there was only the Big card's aura. response:	Then again, with all this, someone must be using Create
context: Are these all the work of a Clow Card?\The only one that could do this is the Create card.\Create is the one\where if you write it, it will become reality?\Right. It's gotta be nearby.\But we didn't feel it at all.\Yeah, there was only the Big card's aura.\Then again, with all this, someone must be using Create response:	To make all these things appear.
context: The only one that could do this is the Create card.\Create is the one\where if you write it, it will become reality?\Right. It's gotta be nearby.\But we didn't feel it at all.\Yeah, there was only the Big card's aura.\Then again, with all this, someone must be using Create\To make all these things appear. response:	I wonder if it's okay to undo all this.
context: Create is the one\where if you write it, it will become reality?\Right. It's gotta be nearby.\But we didn't feel it at all.\Yeah, there was only the Big card's aura.\Then again, with all this, someone must be using Create\To make all these things appear.\I wonder if it's okay to undo all this. response:	Anyway, it's a pretty forgiving card,
context: where if you write it, it will become reality?\Right. It's gotta be nearby.\But we didn't feel it at all.\Yeah, there was only the Big card's aura.\Then again, with all this, someone must be using Create\To make all these things appear.\I wonder if it's okay to undo all this.\Anyway, it's a pretty forgiving card, response:	so I think it'll be'
context: Right. It's gotta be nearby.\But we didn't feel it at all.\Yeah, there was only the Big card's aura.\Then again, with all this, someone must be using Create\To make all these things appear.\I wonder if it's okay to undo all this.\Anyway, it's a pretty forgiving card,\so I think it'll be' response:	Now what?
context: But we didn't feel it at all.\Yeah, there was only the Big card's aura.\Then again, with all this, someone must be using Create\To make all these things appear.\I wonder if it's okay to undo all this.\Anyway, it's a pretty forgiving card,\so I think it'll be'\Now what? response:	'And then, finally'
context: Yeah, there was only the Big card's aura.\Then again, with all this, someone must be using Create\To make all these things appear.\I wonder if it's okay to undo all this.\Anyway, it's a pretty forgiving card,\so I think it'll be'\Now what?\'And then, finally' response:	' growing wings'
context: Then again, with all this, someone must be using Create\To make all these things appear.\I wonder if it's okay to undo all this.\Anyway, it's a pretty forgiving card,\so I think it'll be'\Now what?\'And then, finally'\' growing wings' response:	' the very, very big King appeared.'
context: To make all these things appear.\I wonder if it's okay to undo all this.\Anyway, it's a pretty forgiving card,\so I think it'll be'\Now what?\'And then, finally'\' growing wings'\' the very, very big King appeared.' response:	A' a monster!
context: I wonder if it's okay to undo all this.\Anyway, it's a pretty forgiving card,\so I think it'll be'\Now what?\'And then, finally'\' growing wings'\' the very, very big King appeared.'\A' a monster! response:	This is bad.
context: Anyway, it's a pretty forgiving card,\so I think it'll be'\Now what?\'And then, finally'\' growing wings'\' the very, very big King appeared.'\A' a monster!\This is bad. response:	What should we do?
context: so I think it'll be'\Now what?\'And then, finally'\' growing wings'\' the very, very big King appeared.'\A' a monster!\This is bad.\What should we do? response:	We can only hope the person using Create will stop soon.
context: Now what?\'And then, finally'\' growing wings'\' the very, very big King appeared.'\A' a monster!\This is bad.\What should we do?\We can only hope the person using Create will stop soon. response:	Oh, no!
context: 'And then, finally'\' growing wings'\' the very, very big King appeared.'\A' a monster!\This is bad.\What should we do?\We can only hope the person using Create will stop soon.\Oh, no! response:	It's heading towards the city.
context: ' growing wings'\' the very, very big King appeared.'\A' a monster!\This is bad.\What should we do?\We can only hope the person using Create will stop soon.\Oh, no!\It's heading towards the city. response:	At this rate, it'll crush a bunch of houses!
context: ' the very, very big King appeared.'\A' a monster!\This is bad.\What should we do?\We can only hope the person using Create will stop soon.\Oh, no!\It's heading towards the city.\At this rate, it'll crush a bunch of houses! response:	Lightning, come forth!
context: A' a monster!\This is bad.\What should we do?\We can only hope the person using Create will stop soon.\Oh, no!\It's heading towards the city.\At this rate, it'll crush a bunch of houses!\Lightning, come forth! response:	Why won't it stop?
context: This is bad.\What should we do?\We can only hope the person using Create will stop soon.\Oh, no!\It's heading towards the city.\At this rate, it'll crush a bunch of houses!\Lightning, come forth!\Why won't it stop? response:	It's too big.
context: What should we do?\We can only hope the person using Create will stop soon.\Oh, no!\It's heading towards the city.\At this rate, it'll crush a bunch of houses!\Lightning, come forth!\Why won't it stop?\It's too big. response:	What? Big? That's it! There's a way!
context: We can only hope the person using Create will stop soon.\Oh, no!\It's heading towards the city.\At this rate, it'll crush a bunch of houses!\Lightning, come forth!\Why won't it stop?\It's too big.\What? Big? That's it! There's a way! response:	What?
context: Oh, no!\It's heading towards the city.\At this rate, it'll crush a bunch of houses!\Lightning, come forth!\Why won't it stop?\It's too big.\What? Big? That's it! There's a way!\What? response:	No! Definitely no!
context: It's heading towards the city.\At this rate, it'll crush a bunch of houses!\Lightning, come forth!\Why won't it stop?\It's too big.\What? Big? That's it! There's a way!\What?\No! Definitely no! response:	There's no other way!
context: At this rate, it'll crush a bunch of houses!\Lightning, come forth!\Why won't it stop?\It's too big.\What? Big? That's it! There's a way!\What?\No! Definitely no!\There's no other way! response:	I don't wanna!
context: Lightning, come forth!\Why won't it stop?\It's too big.\What? Big? That's it! There's a way!\What?\No! Definitely no!\There's no other way!\I don't wanna! response:	At this rate it's gonna wreck the city of Tomoeda!
context: Why won't it stop?\It's too big.\What? Big? That's it! There's a way!\What?\No! Definitely no!\There's no other way!\I don't wanna!\At this rate it's gonna wreck the city of Tomoeda! response:	But'
context: It's too big.\What? Big? That's it! There's a way!\What?\No! Definitely no!\There's no other way!\I don't wanna!\At this rate it's gonna wreck the city of Tomoeda!\But' response:	You mustn't forget your responsibility as the Card Captor!
context: What? Big? That's it! There's a way!\What?\No! Definitely no!\There's no other way!\I don't wanna!\At this rate it's gonna wreck the city of Tomoeda!\But'\You mustn't forget your responsibility as the Card Captor! response:	I'm asking you, too, Sakura'
context: What?\No! Definitely no!\There's no other way!\I don't wanna!\At this rate it's gonna wreck the city of Tomoeda!\But'\You mustn't forget your responsibility as the Card Captor!\I'm asking you, too, Sakura' response:	Tomoyo'
context: No! Definitely no!\There's no other way!\I don't wanna!\At this rate it's gonna wreck the city of Tomoeda!\But'\You mustn't forget your responsibility as the Card Captor!\I'm asking you, too, Sakura'\Tomoyo' response:	Okay. I'll try it.
context: There's no other way!\I don't wanna!\At this rate it's gonna wreck the city of Tomoeda!\But'\You mustn't forget your responsibility as the Card Captor!\I'm asking you, too, Sakura'\Tomoyo'\Okay. I'll try it. response:	That's great!
context: I don't wanna!\At this rate it's gonna wreck the city of Tomoeda!\But'\You mustn't forget your responsibility as the Card Captor!\I'm asking you, too, Sakura'\Tomoyo'\Okay. I'll try it.\That's great! response:	This will make a fantastic video!
context: At this rate it's gonna wreck the city of Tomoeda!\But'\You mustn't forget your responsibility as the Card Captor!\I'm asking you, too, Sakura'\Tomoyo'\Okay. I'll try it.\That's great!\This will make a fantastic video! response:	Give me the size to meet this challenge!
context: But'\You mustn't forget your responsibility as the Card Captor!\I'm asking you, too, Sakura'\Tomoyo'\Okay. I'll try it.\That's great!\This will make a fantastic video!\Give me the size to meet this challenge! response:	Big!
context: You mustn't forget your responsibility as the Card Captor!\I'm asking you, too, Sakura'\Tomoyo'\Okay. I'll try it.\That's great!\This will make a fantastic video!\Give me the size to meet this challenge!\Big! response:	All right!
context: I'm asking you, too, Sakura'\Tomoyo'\Okay. I'll try it.\That's great!\This will make a fantastic video!\Give me the size to meet this challenge!\Big!\All right! response:	That's fantastic!
context: Tomoyo'\Okay. I'll try it.\That's great!\This will make a fantastic video!\Give me the size to meet this challenge!\Big!\All right!\That's fantastic! response:	This is so embarrassing!
context: Okay. I'll try it.\That's great!\This will make a fantastic video!\Give me the size to meet this challenge!\Big!\All right!\That's fantastic!\This is so embarrassing! response:	What're you talking about, Sakura?! Go and beat that monster!
context: That's great!\This will make a fantastic video!\Give me the size to meet this challenge!\Big!\All right!\That's fantastic!\This is so embarrassing!\What're you talking about, Sakura?! Go and beat that monster! response:	Hey, you monster!
context: This will make a fantastic video!\Give me the size to meet this challenge!\Big!\All right!\That's fantastic!\This is so embarrassing!\What're you talking about, Sakura?! Go and beat that monster!\Hey, you monster! response:	That's it, that's it!
context: Give me the size to meet this challenge!\Big!\All right!\That's fantastic!\This is so embarrassing!\What're you talking about, Sakura?! Go and beat that monster!\Hey, you monster!\That's it, that's it! response:	I saw something like this on TV!
context: Big!\All right!\That's fantastic!\This is so embarrassing!\What're you talking about, Sakura?! Go and beat that monster!\Hey, you monster!\That's it, that's it!\I saw something like this on TV! response:	The hero stopping the disaster'
context: All right!\That's fantastic!\This is so embarrassing!\What're you talking about, Sakura?! Go and beat that monster!\Hey, you monster!\That's it, that's it!\I saw something like this on TV!\The hero stopping the disaster' response:	I never thought I'd see it for real!
context: That's fantastic!\This is so embarrassing!\What're you talking about, Sakura?! Go and beat that monster!\Hey, you monster!\That's it, that's it!\I saw something like this on TV!\The hero stopping the disaster'\I never thought I'd see it for real! response:	Stay away from me!
context: This is so embarrassing!\What're you talking about, Sakura?! Go and beat that monster!\Hey, you monster!\That's it, that's it!\I saw something like this on TV!\The hero stopping the disaster'\I never thought I'd see it for real!\Stay away from me! response:	Hit it with some kind of beam!
context: What're you talking about, Sakura?! Go and beat that monster!\Hey, you monster!\That's it, that's it!\I saw something like this on TV!\The hero stopping the disaster'\I never thought I'd see it for real!\Stay away from me!\Hit it with some kind of beam! response:	Fight with it
context: Hey, you monster!\That's it, that's it!\I saw something like this on TV!\The hero stopping the disaster'\I never thought I'd see it for real!\Stay away from me!\Hit it with some kind of beam!\Fight with it response:	Can she really do it?
context: That's it, that's it!\I saw something like this on TV!\The hero stopping the disaster'\I never thought I'd see it for real!\Stay away from me!\Hit it with some kind of beam!\Fight with it\Can she really do it? response:	I don't know if Sakura has any way
context: I saw something like this on TV!\The hero stopping the disaster'\I never thought I'd see it for real!\Stay away from me!\Hit it with some kind of beam!\Fight with it\Can she really do it?\I don't know if Sakura has any way response:	to beat a monster like that.
context: The hero stopping the disaster'\I never thought I'd see it for real!\Stay away from me!\Hit it with some kind of beam!\Fight with it\Can she really do it?\I don't know if Sakura has any way\to beat a monster like that. response:	Sakura!
context: I never thought I'd see it for real!\Stay away from me!\Hit it with some kind of beam!\Fight with it\Can she really do it?\I don't know if Sakura has any way\to beat a monster like that.\Sakura! response:	Sakura!
context: Stay away from me!\Hit it with some kind of beam!\Fight with it\Can she really do it?\I don't know if Sakura has any way\to beat a monster like that.\Sakura!\Sakura! response:	Eh?
context: Hit it with some kind of beam!\Fight with it\Can she really do it?\I don't know if Sakura has any way\to beat a monster like that.\Sakura!\Sakura!\Eh? response:	Time to go to bed.
context: Fight with it\Can she really do it?\I don't know if Sakura has any way\to beat a monster like that.\Sakura!\Sakura!\Eh?\Time to go to bed. response:	All right! Whoever's using Create has stopped!
context: Can she really do it?\I don't know if Sakura has any way\to beat a monster like that.\Sakura!\Sakura!\Eh?\Time to go to bed.\All right! Whoever's using Create has stopped! response:	Eh!
context: I don't know if Sakura has any way\to beat a monster like that.\Sakura!\Sakura!\Eh?\Time to go to bed.\All right! Whoever's using Create has stopped!\Eh! response:	Sakura,
context: to beat a monster like that.\Sakura!\Sakura!\Eh?\Time to go to bed.\All right! Whoever's using Create has stopped!\Eh!\Sakura, response:	seal it before it disappears completely!
context: Sakura!\Sakura!\Eh?\Time to go to bed.\All right! Whoever's using Create has stopped!\Eh!\Sakura,\seal it before it disappears completely! response:	Yes.
context: Sakura!\Eh?\Time to go to bed.\All right! Whoever's using Create has stopped!\Eh!\Sakura,\seal it before it disappears completely!\Yes. response:	Return to thy true form' Clow Card!
context: Eh?\Time to go to bed.\All right! Whoever's using Create has stopped!\Eh!\Sakura,\seal it before it disappears completely!\Yes.\Return to thy true form' Clow Card! response:	Good job, Sakura!
context: Time to go to bed.\All right! Whoever's using Create has stopped!\Eh!\Sakura,\seal it before it disappears completely!\Yes.\Return to thy true form' Clow Card!\Good job, Sakura! response:	I didn't know what would happen!
context: All right! Whoever's using Create has stopped!\Eh!\Sakura,\seal it before it disappears completely!\Yes.\Return to thy true form' Clow Card!\Good job, Sakura!\I didn't know what would happen! response:	You're still looking kinda big.
context: Eh!\Sakura,\seal it before it disappears completely!\Yes.\Return to thy true form' Clow Card!\Good job, Sakura!\I didn't know what would happen!\You're still looking kinda big. response:	This is so embarrassing!
context: Sakura,\seal it before it disappears completely!\Yes.\Return to thy true form' Clow Card!\Good job, Sakura!\I didn't know what would happen!\You're still looking kinda big.\This is so embarrassing! response:	The book is' gone'
context: seal it before it disappears completely!\Yes.\Return to thy true form' Clow Card!\Good job, Sakura!\I didn't know what would happen!\You're still looking kinda big.\This is so embarrassing!\The book is' gone' response:	This is a big mystery!
context: Yes.\Return to thy true form' Clow Card!\Good job, Sakura!\I didn't know what would happen!\You're still looking kinda big.\This is so embarrassing!\The book is' gone'\This is a big mystery! response:	Good morning!
context: Return to thy true form' Clow Card!\Good job, Sakura!\I didn't know what would happen!\You're still looking kinda big.\This is so embarrassing!\The book is' gone'\This is a big mystery!\Good morning! response:	Your bumping around is noisy again today.
context: Good job, Sakura!\I didn't know what would happen!\You're still looking kinda big.\This is so embarrassing!\The book is' gone'\This is a big mystery!\Good morning!\Your bumping around is noisy again today. response:	I'm not noisy.
context: I didn't know what would happen!\You're still looking kinda big.\This is so embarrassing!\The book is' gone'\This is a big mystery!\Good morning!\Your bumping around is noisy again today.\I'm not noisy. response:	A monster will shake the whole house by just walking around.
context: You're still looking kinda big.\This is so embarrassing!\The book is' gone'\This is a big mystery!\Good morning!\Your bumping around is noisy again today.\I'm not noisy.\A monster will shake the whole house by just walking around. response:	What? No counterattack?
context: This is so embarrassing!\The book is' gone'\This is a big mystery!\Good morning!\Your bumping around is noisy again today.\I'm not noisy.\A monster will shake the whole house by just walking around.\What? No counterattack? response:	I can step on you anytime.
context: The book is' gone'\This is a big mystery!\Good morning!\Your bumping around is noisy again today.\I'm not noisy.\A monster will shake the whole house by just walking around.\What? No counterattack?\I can step on you anytime. response:	Eh?
context: This is a big mystery!\Good morning!\Your bumping around is noisy again today.\I'm not noisy.\A monster will shake the whole house by just walking around.\What? No counterattack?\I can step on you anytime.\Eh? response:	Big!
