context: Hey. Morning. response:	Hi.
context: Thank you for everything.\You have no reason to call me father.\You have no reason to call him father.\I'm sorry I haven't been able to show up at all.\I trust that the tutoring has been going well.\Of course, we're in the middle of it right now.\Wait up, Itsuki. I'll tell you the answer to that later.\They're all good girls. response:	I'm sure they'll be fine if they keep it up.
context: You have no reason to call me father.\You have no reason to call him father.\I'm sorry I haven't been able to show up at all.\I trust that the tutoring has been going well.\Of course, we're in the middle of it right now.\Wait up, Itsuki. I'll tell you the answer to that later.\They're all good girls.\I'm sure they'll be fine if they keep it up. response:	That's good to hear.
context: You have no reason to call him father.\I'm sorry I haven't been able to show up at all.\I trust that the tutoring has been going well.\Of course, we're in the middle of it right now.\Wait up, Itsuki. I'll tell you the answer to that later.\They're all good girls.\I'm sure they'll be fine if they keep it up.\That's good to hear. response:	I've heard the midterms are coming up.
context: I'm sorry I haven't been able to show up at all.\I trust that the tutoring has been going well.\Of course, we're in the middle of it right now.\Wait up, Itsuki. I'll tell you the answer to that later.\They're all good girls.\I'm sure they'll be fine if they keep it up.\That's good to hear.\I've heard the midterms are coming up. response:	I'm glad you're making good progress.
context: I trust that the tutoring has been going well.\Of course, we're in the middle of it right now.\Wait up, Itsuki. I'll tell you the answer to that later.\They're all good girls.\I'm sure they'll be fine if they keep it up.\That's good to hear.\I've heard the midterms are coming up.\I'm glad you're making good progress. response:	Midterm Exams
context: Of course, we're in the middle of it right now.\Wait up, Itsuki. I'll tell you the answer to that later.\They're all good girls.\I'm sure they'll be fine if they keep it up.\That's good to hear.\I've heard the midterms are coming up.\I'm glad you're making good progress.\Midterm Exams response:	This is a little harsh,
context: Wait up, Itsuki. I'll tell you the answer to that later.\They're all good girls.\I'm sure they'll be fine if they keep it up.\That's good to hear.\I've heard the midterms are coming up.\I'm glad you're making good progress.\Midterm Exams\This is a little harsh, response:	but I'd like you to show me results.
context: They're all good girls.\I'm sure they'll be fine if they keep it up.\That's good to hear.\I've heard the midterms are coming up.\I'm glad you're making good progress.\Midterm Exams\This is a little harsh,\but I'd like you to show me results. response:	If any of the five fail their upcoming midterms,
context: I'm sure they'll be fine if they keep it up.\That's good to hear.\I've heard the midterms are coming up.\I'm glad you're making good progress.\Midterm Exams\This is a little harsh,\but I'd like you to show me results.\If any of the five fail their upcoming midterms, response:	I'll have you tender your resignation as their tutor.
context: That's good to hear.\I've heard the midterms are coming up.\I'm glad you're making good progress.\Midterm Exams\This is a little harsh,\but I'd like you to show me results.\If any of the five fail their upcoming midterms,\I'll have you tender your resignation as their tutor. response:	Fired
context: I've heard the midterms are coming up.\I'm glad you're making good progress.\Midterm Exams\This is a little harsh,\but I'd like you to show me results.\If any of the five fail their upcoming midterms,\I'll have you tender your resignation as their tutor.\Fired response:	Fired?!
context: I'm glad you're making good progress.\Midterm Exams\This is a little harsh,\but I'd like you to show me results.\If any of the five fail their upcoming midterms,\I'll have you tender your resignation as their tutor.\Fired\Fired?! response:	I wish you all the best.
context: Midterm Exams\This is a little harsh,\but I'd like you to show me results.\If any of the five fail their upcoming midterms,\I'll have you tender your resignation as their tutor.\Fired\Fired?!\I wish you all the best. response:	P-Please reconsider!
context: This is a little harsh,\but I'd like you to show me results.\If any of the five fail their upcoming midterms,\I'll have you tender your resignation as their tutor.\Fired\Fired?!\I wish you all the best.\P-Please reconsider! response:	Isn't it a bit too early to decide?!
context: but I'd like you to show me results.\If any of the five fail their upcoming midterms,\I'll have you tender your resignation as their tutor.\Fired\Fired?!\I wish you all the best.\P-Please reconsider!\Isn't it a bit too early to decide?! response:	Damn it!
context: If any of the five fail their upcoming midterms,\I'll have you tender your resignation as their tutor.\Fired\Fired?!\I wish you all the best.\P-Please reconsider!\Isn't it a bit too early to decide?!\Damn it! response:	That's my phone!
context: I'll have you tender your resignation as their tutor.\Fired\Fired?!\I wish you all the best.\P-Please reconsider!\Isn't it a bit too early to decide?!\Damn it!\That's my phone! response:	I know.
context: Fired\Fired?!\I wish you all the best.\P-Please reconsider!\Isn't it a bit too early to decide?!\Damn it!\That's my phone!\I know. response:	Sorry.
context: Fired?!\I wish you all the best.\P-Please reconsider!\Isn't it a bit too early to decide?!\Damn it!\That's my phone!\I know.\Sorry. response:	What did my father say?
context: I wish you all the best.\P-Please reconsider!\Isn't it a bit too early to decide?!\Damn it!\That's my phone!\I know.\Sorry.\What did my father say? response:	J-Just idle chitchat.
context: P-Please reconsider!\Isn't it a bit too early to decide?!\Damn it!\That's my phone!\I know.\Sorry.\What did my father say?\J-Just idle chitchat. response:	And that was enough to make you sweat buckets?
context: Isn't it a bit too early to decide?!\Damn it!\That's my phone!\I know.\Sorry.\What did my father say?\J-Just idle chitchat.\And that was enough to make you sweat buckets? response:	Why don't you stop worrying about me and start worrying about yourself?
context: Damn it!\That's my phone!\I know.\Sorry.\What did my father say?\J-Just idle chitchat.\And that was enough to make you sweat buckets?\Why don't you stop worrying about me and start worrying about yourself? response:	I hope you're preparing for the midterms.
context: That's my phone!\I know.\Sorry.\What did my father say?\J-Just idle chitchat.\And that was enough to make you sweat buckets?\Why don't you stop worrying about me and start worrying about yourself?\I hope you're preparing for the midterms. response:	N-No problems there.
context: I know.\Sorry.\What did my father say?\J-Just idle chitchat.\And that was enough to make you sweat buckets?\Why don't you stop worrying about me and start worrying about yourself?\I hope you're preparing for the midterms.\N-No problems there. response:	No problems, my foot.
context: Sorry.\What did my father say?\J-Just idle chitchat.\And that was enough to make you sweat buckets?\Why don't you stop worrying about me and start worrying about yourself?\I hope you're preparing for the midterms.\N-No problems there.\No problems, my foot. response:	You did badly on that quiz today, didn't you?
context: What did my father say?\J-Just idle chitchat.\And that was enough to make you sweat buckets?\Why don't you stop worrying about me and start worrying about yourself?\I hope you're preparing for the midterms.\N-No problems there.\No problems, my foot.\You did badly on that quiz today, didn't you? response:	You looked?!
context: J-Just idle chitchat.\And that was enough to make you sweat buckets?\Why don't you stop worrying about me and start worrying about yourself?\I hope you're preparing for the midterms.\N-No problems there.\No problems, my foot.\You did badly on that quiz today, didn't you?\You looked?! response:	So she did do badly.
context: And that was enough to make you sweat buckets?\Why don't you stop worrying about me and start worrying about yourself?\I hope you're preparing for the midterms.\N-No problems there.\No problems, my foot.\You did badly on that quiz today, didn't you?\You looked?!\So she did do badly. response:	She'd be pissed off if I said that.
context: Why don't you stop worrying about me and start worrying about yourself?\I hope you're preparing for the midterms.\N-No problems there.\No problems, my foot.\You did badly on that quiz today, didn't you?\You looked?!\So she did do badly.\She'd be pissed off if I said that. response:	I'm sure she's doing her best.
context: I hope you're preparing for the midterms.\N-No problems there.\No problems, my foot.\You did badly on that quiz today, didn't you?\You looked?!\So she did do badly.\She'd be pissed off if I said that.\I'm sure she's doing her best. response:	Say, Itsuki...
context: N-No problems there.\No problems, my foot.\You did badly on that quiz today, didn't you?\You looked?!\So she did do badly.\She'd be pissed off if I said that.\I'm sure she's doing her best.\Say, Itsuki... response:	Let me know if there's anything you need help with.
context: No problems, my foot.\You did badly on that quiz today, didn't you?\You looked?!\So she did do badly.\She'd be pissed off if I said that.\I'm sure she's doing her best.\Say, Itsuki...\Let me know if there's anything you need help with. response:	What's your problem?
context: You did badly on that quiz today, didn't you?\You looked?!\So she did do badly.\She'd be pissed off if I said that.\I'm sure she's doing her best.\Say, Itsuki...\Let me know if there's anything you need help with.\What's your problem? response:	Do you not believe me?
context: You looked?!\So she did do badly.\She'd be pissed off if I said that.\I'm sure she's doing her best.\Say, Itsuki...\Let me know if there's anything you need help with.\What's your problem?\Do you not believe me? response:	Great. Now she's mad.
context: So she did do badly.\She'd be pissed off if I said that.\I'm sure she's doing her best.\Say, Itsuki...\Let me know if there's anything you need help with.\What's your problem?\Do you not believe me?\Great. Now she's mad. response:	I told you I don't need your help.
context: She'd be pissed off if I said that.\I'm sure she's doing her best.\Say, Itsuki...\Let me know if there's anything you need help with.\What's your problem?\Do you not believe me?\Great. Now she's mad.\I told you I don't need your help. response:	You work hard, but you're slow.
context: I'm sure she's doing her best.\Say, Itsuki...\Let me know if there's anything you need help with.\What's your problem?\Do you not believe me?\Great. Now she's mad.\I told you I don't need your help.\You work hard, but you're slow. response:	Let me help you,
context: Say, Itsuki...\Let me know if there's anything you need help with.\What's your problem?\Do you not believe me?\Great. Now she's mad.\I told you I don't need your help.\You work hard, but you're slow.\Let me help you, response:	and I'll teach you well.
context: Let me know if there's anything you need help with.\What's your problem?\Do you not believe me?\Great. Now she's mad.\I told you I don't need your help.\You work hard, but you're slow.\Let me help you,\and I'll teach you well. response:	Learn from Ichika and Miku a little!
context: What's your problem?\Do you not believe me?\Great. Now she's mad.\I told you I don't need your help.\You work hard, but you're slow.\Let me help you,\and I'll teach you well.\Learn from Ichika and Miku a little! response:	You may have forgotten,
context: Do you not believe me?\Great. Now she's mad.\I told you I don't need your help.\You work hard, but you're slow.\Let me help you,\and I'll teach you well.\Learn from Ichika and Miku a little!\You may have forgotten, response:	but I did ask you to help me at first.
context: Great. Now she's mad.\I told you I don't need your help.\You work hard, but you're slow.\Let me help you,\and I'll teach you well.\Learn from Ichika and Miku a little!\You may have forgotten,\but I did ask you to help me at first. response:	You were the one who turned me down.
context: I told you I don't need your help.\You work hard, but you're slow.\Let me help you,\and I'll teach you well.\Learn from Ichika and Miku a little!\You may have forgotten,\but I did ask you to help me at first.\You were the one who turned me down. response:	I don't need your half-hearted help.
context: You work hard, but you're slow.\Let me help you,\and I'll teach you well.\Learn from Ichika and Miku a little!\You may have forgotten,\but I did ask you to help me at first.\You were the one who turned me down.\I don't need your half-hearted help. response:	So you think you can pass without any help?
context: Let me help you,\and I'll teach you well.\Learn from Ichika and Miku a little!\You may have forgotten,\but I did ask you to help me at first.\You were the one who turned me down.\I don't need your half-hearted help.\So you think you can pass without any help? response:	I can, even if it's too late for these midterms.
context: and I'll teach you well.\Learn from Ichika and Miku a little!\You may have forgotten,\but I did ask you to help me at first.\You were the one who turned me down.\I don't need your half-hearted help.\So you think you can pass without any help?\I can, even if it's too late for these midterms. response:	That's not good enough!
context: Learn from Ichika and Miku a little!\You may have forgotten,\but I did ask you to help me at first.\You were the one who turned me down.\I don't need your half-hearted help.\So you think you can pass without any help?\I can, even if it's too late for these midterms.\That's not good enough! response:	If you fail these midterms, it's over!
context: You may have forgotten,\but I did ask you to help me at first.\You were the one who turned me down.\I don't need your half-hearted help.\So you think you can pass without any help?\I can, even if it's too late for these midterms.\That's not good enough!\If you fail these midterms, it's over! response:	This is my job.
context: but I did ask you to help me at first.\You were the one who turned me down.\I don't need your half-hearted help.\So you think you can pass without any help?\I can, even if it's too late for these midterms.\That's not good enough!\If you fail these midterms, it's over!\This is my job. response:	Quit fussing and accept it.
context: You were the one who turned me down.\I don't need your half-hearted help.\So you think you can pass without any help?\I can, even if it's too late for these midterms.\That's not good enough!\If you fail these midterms, it's over!\This is my job.\Quit fussing and accept it. response:	You're the one being fussy.
context: I don't need your half-hearted help.\So you think you can pass without any help?\I can, even if it's too late for these midterms.\That's not good enough!\If you fail these midterms, it's over!\This is my job.\Quit fussing and accept it.\You're the one being fussy. response:	Don't you want better grades?
context: So you think you can pass without any help?\I can, even if it's too late for these midterms.\That's not good enough!\If you fail these midterms, it's over!\This is my job.\Quit fussing and accept it.\You're the one being fussy.\Don't you want better grades? response:	So just shut up and listen to me!
context: I can, even if it's too late for these midterms.\That's not good enough!\If you fail these midterms, it's over!\This is my job.\Quit fussing and accept it.\You're the one being fussy.\Don't you want better grades?\So just shut up and listen to me! response:	N-No... That was...
context: That's not good enough!\If you fail these midterms, it's over!\This is my job.\Quit fussing and accept it.\You're the one being fussy.\Don't you want better grades?\So just shut up and listen to me!\N-No... That was... response:	I was starting to respect you a little.
context: If you fail these midterms, it's over!\This is my job.\Quit fussing and accept it.\You're the one being fussy.\Don't you want better grades?\So just shut up and listen to me!\N-No... That was...\I was starting to respect you a little. response:	It looks like I shouldn't have.
context: This is my job.\Quit fussing and accept it.\You're the one being fussy.\Don't you want better grades?\So just shut up and listen to me!\N-No... That was...\I was starting to respect you a little.\It looks like I shouldn't have. response:	So you're just doing it for the money.
context: Quit fussing and accept it.\You're the one being fussy.\Don't you want better grades?\So just shut up and listen to me!\N-No... That was...\I was starting to respect you a little.\It looks like I shouldn't have.\So you're just doing it for the money. response:	What's wrong with that?
context: You're the one being fussy.\Don't you want better grades?\So just shut up and listen to me!\N-No... That was...\I was starting to respect you a little.\It looks like I shouldn't have.\So you're just doing it for the money.\What's wrong with that? response:	Who would care about a stubborn brat like you if it wasn't for work?
context: Don't you want better grades?\So just shut up and listen to me!\N-No... That was...\I was starting to respect you a little.\It looks like I shouldn't have.\So you're just doing it for the money.\What's wrong with that?\Who would care about a stubborn brat like you if it wasn't for work? response:	You don't need to force yourself to teach me.
context: So just shut up and listen to me!\N-No... That was...\I was starting to respect you a little.\It looks like I shouldn't have.\So you're just doing it for the money.\What's wrong with that?\Who would care about a stubborn brat like you if it wasn't for work?\You don't need to force yourself to teach me. response:	I don't exist to make money for you.
context: N-No... That was...\I was starting to respect you a little.\It looks like I shouldn't have.\So you're just doing it for the money.\What's wrong with that?\Who would care about a stubborn brat like you if it wasn't for work?\You don't need to force yourself to teach me.\I don't exist to make money for you. response:	Oh, really?
context: I was starting to respect you a little.\It looks like I shouldn't have.\So you're just doing it for the money.\What's wrong with that?\Who would care about a stubborn brat like you if it wasn't for work?\You don't need to force yourself to teach me.\I don't exist to make money for you.\Oh, really? response:	Don't blame me if you regret it.
context: It looks like I shouldn't have.\So you're just doing it for the money.\What's wrong with that?\Who would care about a stubborn brat like you if it wasn't for work?\You don't need to force yourself to teach me.\I don't exist to make money for you.\Oh, really?\Don't blame me if you regret it. response:	Sure.
context: So you're just doing it for the money.\What's wrong with that?\Who would care about a stubborn brat like you if it wasn't for work?\You don't need to force yourself to teach me.\I don't exist to make money for you.\Oh, really?\Don't blame me if you regret it.\Sure. response:	Even if it means getting expelled,
context: What's wrong with that?\Who would care about a stubborn brat like you if it wasn't for work?\You don't need to force yourself to teach me.\I don't exist to make money for you.\Oh, really?\Don't blame me if you regret it.\Sure.\Even if it means getting expelled, response:	I'm never having you teach me!
context: Who would care about a stubborn brat like you if it wasn't for work?\You don't need to force yourself to teach me.\I don't exist to make money for you.\Oh, really?\Don't blame me if you regret it.\Sure.\Even if it means getting expelled,\I'm never having you teach me! response:	I'm never teaching you!
context: You don't need to force yourself to teach me.\I don't exist to make money for you.\Oh, really?\Don't blame me if you regret it.\Sure.\Even if it means getting expelled,\I'm never having you teach me!\I'm never teaching you! response:	Why did I say that?!
context: I don't exist to make money for you.\Oh, really?\Don't blame me if you regret it.\Sure.\Even if it means getting expelled,\I'm never having you teach me!\I'm never teaching you!\Why did I say that?! response:	I'm never teaching you!
context: Oh, really?\Don't blame me if you regret it.\Sure.\Even if it means getting expelled,\I'm never having you teach me!\I'm never teaching you!\Why did I say that?!\I'm never teaching you! response:	You screw up at work! You're fired, and now you're unemployed.
context: Don't blame me if you regret it.\Sure.\Even if it means getting expelled,\I'm never having you teach me!\I'm never teaching you!\Why did I say that?!\I'm never teaching you!\You screw up at work! You're fired, and now you're unemployed. response:	Fired!
context: Sure.\Even if it means getting expelled,\I'm never having you teach me!\I'm never teaching you!\Why did I say that?!\I'm never teaching you!\You screw up at work! You're fired, and now you're unemployed.\Fired! response:	Fired
context: Even if it means getting expelled,\I'm never having you teach me!\I'm never teaching you!\Why did I say that?!\I'm never teaching you!\You screw up at work! You're fired, and now you're unemployed.\Fired!\Fired response:	My neck is on the line.
context: I'm never having you teach me!\I'm never teaching you!\Why did I say that?!\I'm never teaching you!\You screw up at work! You're fired, and now you're unemployed.\Fired!\Fired\My neck is on the line. response:	This is no time to be getting in a fight.
context: I'm never teaching you!\Why did I say that?!\I'm never teaching you!\You screw up at work! You're fired, and now you're unemployed.\Fired!\Fired\My neck is on the line.\This is no time to be getting in a fight. response:	Maybe I should just be honest.
context: Why did I say that?!\I'm never teaching you!\You screw up at work! You're fired, and now you're unemployed.\Fired!\Fired\My neck is on the line.\This is no time to be getting in a fight.\Maybe I should just be honest. response:	Uesugi-san.
context: I'm never teaching you!\You screw up at work! You're fired, and now you're unemployed.\Fired!\Fired\My neck is on the line.\This is no time to be getting in a fight.\Maybe I should just be honest.\Uesugi-san. response:	I got married!
context: You screw up at work! You're fired, and now you're unemployed.\Fired!\Fired\My neck is on the line.\This is no time to be getting in a fight.\Maybe I should just be honest.\Uesugi-san.\I got married! response:	Gift money, please.
context: Fired!\Fired\My neck is on the line.\This is no time to be getting in a fight.\Maybe I should just be honest.\Uesugi-san.\I got married!\Gift money, please. response:	Oh, right.
context: Fired\My neck is on the line.\This is no time to be getting in a fight.\Maybe I should just be honest.\Uesugi-san.\I got married!\Gift money, please.\Oh, right. response:	Thank you.
context: My neck is on the line.\This is no time to be getting in a fight.\Maybe I should just be honest.\Uesugi-san.\I got married!\Gift money, please.\Oh, right.\Thank you. response:	I'm up next.
context: This is no time to be getting in a fight.\Maybe I should just be honest.\Uesugi-san.\I got married!\Gift money, please.\Oh, right.\Thank you.\I'm up next. response:	Even in a game, I'm poor...
context: Maybe I should just be honest.\Uesugi-san.\I got married!\Gift money, please.\Oh, right.\Thank you.\I'm up next.\Even in a game, I'm poor... response:	We don't have time for this!
context: Uesugi-san.\I got married!\Gift money, please.\Oh, right.\Thank you.\I'm up next.\Even in a game, I'm poor...\We don't have time for this! response:	Break's over!
context: I got married!\Gift money, please.\Oh, right.\Thank you.\I'm up next.\Even in a game, I'm poor...\We don't have time for this!\Break's over! response:	Let's get back to work.
context: Gift money, please.\Oh, right.\Thank you.\I'm up next.\Even in a game, I'm poor...\We don't have time for this!\Break's over!\Let's get back to work. response:	But we studied a lot today.
context: Oh, right.\Thank you.\I'm up next.\Even in a game, I'm poor...\We don't have time for this!\Break's over!\Let's get back to work.\But we studied a lot today. response:	My head's about to explode.
context: Thank you.\I'm up next.\Even in a game, I'm poor...\We don't have time for this!\Break's over!\Let's get back to work.\But we studied a lot today.\My head's about to explode. response:	It's not good to overdo it.
context: I'm up next.\Even in a game, I'm poor...\We don't have time for this!\Break's over!\Let's get back to work.\But we studied a lot today.\My head's about to explode.\It's not good to overdo it. response:	That's true, but...
context: Even in a game, I'm poor...\We don't have time for this!\Break's over!\Let's get back to work.\But we studied a lot today.\My head's about to explode.\It's not good to overdo it.\That's true, but... response:	Futaro...
context: We don't have time for this!\Break's over!\Let's get back to work.\But we studied a lot today.\My head's about to explode.\It's not good to overdo it.\That's true, but...\Futaro... response:	You seem more desperate than usual.
context: Break's over!\Let's get back to work.\But we studied a lot today.\My head's about to explode.\It's not good to overdo it.\That's true, but...\Futaro...\You seem more desperate than usual. response:	Are we really that far behind?
context: Let's get back to work.\But we studied a lot today.\My head's about to explode.\It's not good to overdo it.\That's true, but...\Futaro...\You seem more desperate than usual.\Are we really that far behind? response:	No, well...
context: But we studied a lot today.\My head's about to explode.\It's not good to overdo it.\That's true, but...\Futaro...\You seem more desperate than usual.\Are we really that far behind?\No, well... response:	Actually...
context: My head's about to explode.\It's not good to overdo it.\That's true, but...\Futaro...\You seem more desperate than usual.\Are we really that far behind?\No, well...\Actually... response:	Hey, you're not even studying. You're just playing games.
context: It's not good to overdo it.\That's true, but...\Futaro...\You seem more desperate than usual.\Are we really that far behind?\No, well...\Actually...\Hey, you're not even studying. You're just playing games. response:	I'm in.
context: That's true, but...\Futaro...\You seem more desperate than usual.\Are we really that far behind?\No, well...\Actually...\Hey, you're not even studying. You're just playing games.\I'm in. response:	Switch spots with me.
context: Futaro...\You seem more desperate than usual.\Are we really that far behind?\No, well...\Actually...\Hey, you're not even studying. You're just playing games.\I'm in.\Switch spots with me. response:	Futaro...
context: You seem more desperate than usual.\Are we really that far behind?\No, well...\Actually...\Hey, you're not even studying. You're just playing games.\I'm in.\Switch spots with me.\Futaro... response:	Actually, what?
context: Are we really that far behind?\No, well...\Actually...\Hey, you're not even studying. You're just playing games.\I'm in.\Switch spots with me.\Futaro...\Actually, what? response:	Oh, nothing.
context: No, well...\Actually...\Hey, you're not even studying. You're just playing games.\I'm in.\Switch spots with me.\Futaro...\Actually, what?\Oh, nothing. response:	Jeez, you have almost no money.
context: Actually...\Hey, you're not even studying. You're just playing games.\I'm in.\Switch spots with me.\Futaro...\Actually, what?\Oh, nothing.\Jeez, you have almost no money. response:	Just imagine what would happen if she found out.
context: Hey, you're not even studying. You're just playing games.\I'm in.\Switch spots with me.\Futaro...\Actually, what?\Oh, nothing.\Jeez, you have almost no money.\Just imagine what would happen if she found out. response:	It's so obvious what she would try to do.
context: I'm in.\Switch spots with me.\Futaro...\Actually, what?\Oh, nothing.\Jeez, you have almost no money.\Just imagine what would happen if she found out.\It's so obvious what she would try to do. response:	Want to join us?
context: Switch spots with me.\Futaro...\Actually, what?\Oh, nothing.\Jeez, you have almost no money.\Just imagine what would happen if she found out.\It's so obvious what she would try to do.\Want to join us? response:	Itsuki?
context: Futaro...\Actually, what?\Oh, nothing.\Jeez, you have almost no money.\Just imagine what would happen if she found out.\It's so obvious what she would try to do.\Want to join us?\Itsuki? response:	About yesterday, I...
context: Actually, what?\Oh, nothing.\Jeez, you have almost no money.\Just imagine what would happen if she found out.\It's so obvious what she would try to do.\Want to join us?\Itsuki?\About yesterday, I... response:	I have to study.
context: Oh, nothing.\Jeez, you have almost no money.\Just imagine what would happen if she found out.\It's so obvious what she would try to do.\Want to join us?\Itsuki?\About yesterday, I...\I have to study. response:	H-Hey.
context: Jeez, you have almost no money.\Just imagine what would happen if she found out.\It's so obvious what she would try to do.\Want to join us?\Itsuki?\About yesterday, I...\I have to study.\H-Hey. response:	Come on.
context: Just imagine what would happen if she found out.\It's so obvious what she would try to do.\Want to join us?\Itsuki?\About yesterday, I...\I have to study.\H-Hey.\Come on. response:	You're done tutoring for the day, aren't you?
context: It's so obvious what she would try to do.\Want to join us?\Itsuki?\About yesterday, I...\I have to study.\H-Hey.\Come on.\You're done tutoring for the day, aren't you? response:	Go home.
context: Want to join us?\Itsuki?\About yesterday, I...\I have to study.\H-Hey.\Come on.\You're done tutoring for the day, aren't you?\Go home. response:	Hey, wait!
context: Itsuki?\About yesterday, I...\I have to study.\H-Hey.\Come on.\You're done tutoring for the day, aren't you?\Go home.\Hey, wait! response:	Get going.
context: About yesterday, I...\I have to study.\H-Hey.\Come on.\You're done tutoring for the day, aren't you?\Go home.\Hey, wait!\Get going. response:	Nino.
context: I have to study.\H-Hey.\Come on.\You're done tutoring for the day, aren't you?\Go home.\Hey, wait!\Get going.\Nino. response:	Leave already!
context: H-Hey.\Come on.\You're done tutoring for the day, aren't you?\Go home.\Hey, wait!\Get going.\Nino.\Leave already! response:	Shoot.
context: Come on.\You're done tutoring for the day, aren't you?\Go home.\Hey, wait!\Get going.\Nino.\Leave already!\Shoot. response:	I told you to leave!
context: You're done tutoring for the day, aren't you?\Go home.\Hey, wait!\Get going.\Nino.\Leave already!\Shoot.\I told you to leave! response:	This is going to get us nowhere.
context: Go home.\Hey, wait!\Get going.\Nino.\Leave already!\Shoot.\I told you to leave!\This is going to get us nowhere. response:	Hold on, Futaro-kun.
context: Hey, wait!\Get going.\Nino.\Leave already!\Shoot.\I told you to leave!\This is going to get us nowhere.\Hold on, Futaro-kun. response:	That's not what you promised.
context: Get going.\Nino.\Leave already!\Shoot.\I told you to leave!\This is going to get us nowhere.\Hold on, Futaro-kun.\That's not what you promised. response:	You said you were going to stay overnight to help us study.
context: Nino.\Leave already!\Shoot.\I told you to leave!\This is going to get us nowhere.\Hold on, Futaro-kun.\That's not what you promised.\You said you were going to stay overnight to help us study. response:	What?
context: Leave already!\Shoot.\I told you to leave!\This is going to get us nowhere.\Hold on, Futaro-kun.\That's not what you promised.\You said you were going to stay overnight to help us study.\What? response:	What?!
context: Shoot.\I told you to leave!\This is going to get us nowhere.\Hold on, Futaro-kun.\That's not what you promised.\You said you were going to stay overnight to help us study.\What?\What?! response:	It's so big.
context: I told you to leave!\This is going to get us nowhere.\Hold on, Futaro-kun.\That's not what you promised.\You said you were going to stay overnight to help us study.\What?\What?!\It's so big. response:	Why did Ichika help me out like that, though?
context: This is going to get us nowhere.\Hold on, Futaro-kun.\That's not what you promised.\You said you were going to stay overnight to help us study.\What?\What?!\It's so big.\Why did Ichika help me out like that, though? response:	Anyway, I'm starting to see the light at the end of the tunnel.
context: Hold on, Futaro-kun.\That's not what you promised.\You said you were going to stay overnight to help us study.\What?\What?!\It's so big.\Why did Ichika help me out like that, though?\Anyway, I'm starting to see the light at the end of the tunnel. response:	I just need time. She'll come around.
context: That's not what you promised.\You said you were going to stay overnight to help us study.\What?\What?!\It's so big.\Why did Ichika help me out like that, though?\Anyway, I'm starting to see the light at the end of the tunnel.\I just need time. She'll come around. response:	Uesugi-kun, it's me, Itsuki.
context: You said you were going to stay overnight to help us study.\What?\What?!\It's so big.\Why did Ichika help me out like that, though?\Anyway, I'm starting to see the light at the end of the tunnel.\I just need time. She'll come around.\Uesugi-kun, it's me, Itsuki. response:	Ichika said there's something you wanted to tell me.
context: What?\What?!\It's so big.\Why did Ichika help me out like that, though?\Anyway, I'm starting to see the light at the end of the tunnel.\I just need time. She'll come around.\Uesugi-kun, it's me, Itsuki.\Ichika said there's something you wanted to tell me. response:	What is it?
context: What?!\It's so big.\Why did Ichika help me out like that, though?\Anyway, I'm starting to see the light at the end of the tunnel.\I just need time. She'll come around.\Uesugi-kun, it's me, Itsuki.\Ichika said there's something you wanted to tell me.\What is it? response:	Me?
context: It's so big.\Why did Ichika help me out like that, though?\Anyway, I'm starting to see the light at the end of the tunnel.\I just need time. She'll come around.\Uesugi-kun, it's me, Itsuki.\Ichika said there's something you wanted to tell me.\What is it?\Me? response:	I never said anything.
context: Why did Ichika help me out like that, though?\Anyway, I'm starting to see the light at the end of the tunnel.\I just need time. She'll come around.\Uesugi-kun, it's me, Itsuki.\Ichika said there's something you wanted to tell me.\What is it?\Me?\I never said anything. response:	I see.
context: Anyway, I'm starting to see the light at the end of the tunnel.\I just need time. She'll come around.\Uesugi-kun, it's me, Itsuki.\Ichika said there's something you wanted to tell me.\What is it?\Me?\I never said anything.\I see. response:	All right, then.
context: I just need time. She'll come around.\Uesugi-kun, it's me, Itsuki.\Ichika said there's something you wanted to tell me.\What is it?\Me?\I never said anything.\I see.\All right, then. response:	Wait, I'm kidding.
context: Uesugi-kun, it's me, Itsuki.\Ichika said there's something you wanted to tell me.\What is it?\Me?\I never said anything.\I see.\All right, then.\Wait, I'm kidding. response:	Thanks for coming.
context: Ichika said there's something you wanted to tell me.\What is it?\Me?\I never said anything.\I see.\All right, then.\Wait, I'm kidding.\Thanks for coming. response:	What is it that you wanted to tell me?
context: What is it?\Me?\I never said anything.\I see.\All right, then.\Wait, I'm kidding.\Thanks for coming.\What is it that you wanted to tell me? response:	I'm sorry about yesterday.
context: Me?\I never said anything.\I see.\All right, then.\Wait, I'm kidding.\Thanks for coming.\What is it that you wanted to tell me?\I'm sorry about yesterday. response:	I panicked and got emotional.
context: I never said anything.\I see.\All right, then.\Wait, I'm kidding.\Thanks for coming.\What is it that you wanted to tell me?\I'm sorry about yesterday.\I panicked and got emotional. response:	Please let me teach you.
context: I see.\All right, then.\Wait, I'm kidding.\Thanks for coming.\What is it that you wanted to tell me?\I'm sorry about yesterday.\I panicked and got emotional.\Please let me teach you. response:	What happened, exactly?
context: All right, then.\Wait, I'm kidding.\Thanks for coming.\What is it that you wanted to tell me?\I'm sorry about yesterday.\I panicked and got emotional.\Please let me teach you.\What happened, exactly? response:	If any of you get a failing grade,
context: Wait, I'm kidding.\Thanks for coming.\What is it that you wanted to tell me?\I'm sorry about yesterday.\I panicked and got emotional.\Please let me teach you.\What happened, exactly?\If any of you get a failing grade, response:	I'm going to be forced to quit tutoring you.
