context: I'm freezing! I'm definitely gonna wear a scarf tomorrow. response:	It gets pretty cold in the evenings now, huh.
context: Fooled?\Kono-san thinks Toru and I are dating, right?\Does she? I have no idea.\She sorta asked me about it yesterday,\and I told her we were dating.\Why couldn't I just tell her the truth? What's wrong with me?\Did you want to talk to me to see if I'd tell her the truth?\Yeah. response:	I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun.
context: Kono-san thinks Toru and I are dating, right?\Does she? I have no idea.\She sorta asked me about it yesterday,\and I told her we were dating.\Why couldn't I just tell her the truth? What's wrong with me?\Did you want to talk to me to see if I'd tell her the truth?\Yeah.\I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun. response:	That's not fair.
context: Does she? I have no idea.\She sorta asked me about it yesterday,\and I told her we were dating.\Why couldn't I just tell her the truth? What's wrong with me?\Did you want to talk to me to see if I'd tell her the truth?\Yeah.\I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun.\That's not fair. response:	What's not fair about it?
context: She sorta asked me about it yesterday,\and I told her we were dating.\Why couldn't I just tell her the truth? What's wrong with me?\Did you want to talk to me to see if I'd tell her the truth?\Yeah.\I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun.\That's not fair.\What's not fair about it? response:	You're the one being unfair, don't you think?
context: and I told her we were dating.\Why couldn't I just tell her the truth? What's wrong with me?\Did you want to talk to me to see if I'd tell her the truth?\Yeah.\I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun.\That's not fair.\What's not fair about it?\You're the one being unfair, don't you think? response:	She's right. This isn't fair to her.
context: Why couldn't I just tell her the truth? What's wrong with me?\Did you want to talk to me to see if I'd tell her the truth?\Yeah.\I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun.\That's not fair.\What's not fair about it?\You're the one being unfair, don't you think?\She's right. This isn't fair to her. response:	I lied to Kono-san, knowing it would hurt her.
context: Did you want to talk to me to see if I'd tell her the truth?\Yeah.\I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun.\That's not fair.\What's not fair about it?\You're the one being unfair, don't you think?\She's right. This isn't fair to her.\I lied to Kono-san, knowing it would hurt her. response:	I'm...
context: Yeah.\I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun.\That's not fair.\What's not fair about it?\You're the one being unfair, don't you think?\She's right. This isn't fair to her.\I lied to Kono-san, knowing it would hurt her.\I'm... response:	I'd never seen someone's lips tremble like that before.
context: I'll stay quiet about it if you admit that you have a crush on Ishikawa-kun.\That's not fair.\What's not fair about it?\You're the one being unfair, don't you think?\She's right. This isn't fair to her.\I lied to Kono-san, knowing it would hurt her.\I'm...\I'd never seen someone's lips tremble like that before. response:	Remi-chan, I...
context: That's not fair.\What's not fair about it?\You're the one being unfair, don't you think?\She's right. This isn't fair to her.\I lied to Kono-san, knowing it would hurt her.\I'm...\I'd never seen someone's lips tremble like that before.\Remi-chan, I... response:	The truth is...
context: What's not fair about it?\You're the one being unfair, don't you think?\She's right. This isn't fair to her.\I lied to Kono-san, knowing it would hurt her.\I'm...\I'd never seen someone's lips tremble like that before.\Remi-chan, I...\The truth is... response:	Okay. Thanks, Yuki-chan.
context: You're the one being unfair, don't you think?\She's right. This isn't fair to her.\I lied to Kono-san, knowing it would hurt her.\I'm...\I'd never seen someone's lips tremble like that before.\Remi-chan, I...\The truth is...\Okay. Thanks, Yuki-chan. response:	I know this won't last forever.
context: She's right. This isn't fair to her.\I lied to Kono-san, knowing it would hurt her.\I'm...\I'd never seen someone's lips tremble like that before.\Remi-chan, I...\The truth is...\Okay. Thanks, Yuki-chan.\I know this won't last forever. response:	I know Toru doesn't like me that way.
context: I lied to Kono-san, knowing it would hurt her.\I'm...\I'd never seen someone's lips tremble like that before.\Remi-chan, I...\The truth is...\Okay. Thanks, Yuki-chan.\I know this won't last forever.\I know Toru doesn't like me that way. response:	We should've stopped pretending that very same day.
context: I'm...\I'd never seen someone's lips tremble like that before.\Remi-chan, I...\The truth is...\Okay. Thanks, Yuki-chan.\I know this won't last forever.\I know Toru doesn't like me that way.\We should've stopped pretending that very same day. response:	But he holds my hand.
context: I'd never seen someone's lips tremble like that before.\Remi-chan, I...\The truth is...\Okay. Thanks, Yuki-chan.\I know this won't last forever.\I know Toru doesn't like me that way.\We should've stopped pretending that very same day.\But he holds my hand. response:	He's nice to me, even when I don't deserve it.
context: Remi-chan, I...\The truth is...\Okay. Thanks, Yuki-chan.\I know this won't last forever.\I know Toru doesn't like me that way.\We should've stopped pretending that very same day.\But he holds my hand.\He's nice to me, even when I don't deserve it. response:	If I asked you to keep up the act for a while, would you?
context: The truth is...\Okay. Thanks, Yuki-chan.\I know this won't last forever.\I know Toru doesn't like me that way.\We should've stopped pretending that very same day.\But he holds my hand.\He's nice to me, even when I don't deserve it.\If I asked you to keep up the act for a while, would you? response:	Keep pretending, I mean.
context: Okay. Thanks, Yuki-chan.\I know this won't last forever.\I know Toru doesn't like me that way.\We should've stopped pretending that very same day.\But he holds my hand.\He's nice to me, even when I don't deserve it.\If I asked you to keep up the act for a while, would you?\Keep pretending, I mean. response:	Yeah, sure.
context: I know this won't last forever.\I know Toru doesn't like me that way.\We should've stopped pretending that very same day.\But he holds my hand.\He's nice to me, even when I don't deserve it.\If I asked you to keep up the act for a while, would you?\Keep pretending, I mean.\Yeah, sure. response:	Maybe I just want this lie of ours to become something real.
context: I know Toru doesn't like me that way.\We should've stopped pretending that very same day.\But he holds my hand.\He's nice to me, even when I don't deserve it.\If I asked you to keep up the act for a while, would you?\Keep pretending, I mean.\Yeah, sure.\Maybe I just want this lie of ours to become something real. response:	But...
context: We should've stopped pretending that very same day.\But he holds my hand.\He's nice to me, even when I don't deserve it.\If I asked you to keep up the act for a while, would you?\Keep pretending, I mean.\Yeah, sure.\Maybe I just want this lie of ours to become something real.\But... response:	That would never be okay.
context: But he holds my hand.\He's nice to me, even when I don't deserve it.\If I asked you to keep up the act for a while, would you?\Keep pretending, I mean.\Yeah, sure.\Maybe I just want this lie of ours to become something real.\But...\That would never be okay. response:	Yuki was out today, too.
context: He's nice to me, even when I don't deserve it.\If I asked you to keep up the act for a while, would you?\Keep pretending, I mean.\Yeah, sure.\Maybe I just want this lie of ours to become something real.\But...\That would never be okay.\Yuki was out today, too. response:	How many days is that now?
context: If I asked you to keep up the act for a while, would you?\Keep pretending, I mean.\Yeah, sure.\Maybe I just want this lie of ours to become something real.\But...\That would never be okay.\Yuki was out today, too.\How many days is that now? response:	Three? Four? I think she's been out all week.
context: Keep pretending, I mean.\Yeah, sure.\Maybe I just want this lie of ours to become something real.\But...\That would never be okay.\Yuki was out today, too.\How many days is that now?\Three? Four? I think she's been out all week. response:	Maybe she's sick.
context: Yeah, sure.\Maybe I just want this lie of ours to become something real.\But...\That would never be okay.\Yuki was out today, too.\How many days is that now?\Three? Four? I think she's been out all week.\Maybe she's sick. response:	She'd text us back if she were sick.
context: Maybe I just want this lie of ours to become something real.\But...\That would never be okay.\Yuki was out today, too.\How many days is that now?\Three? Four? I think she's been out all week.\Maybe she's sick.\She'd text us back if she were sick. response:	Right, Toru?
context: But...\That would never be okay.\Yuki was out today, too.\How many days is that now?\Three? Four? I think she's been out all week.\Maybe she's sick.\She'd text us back if she were sick.\Right, Toru? response:	Toru?
context: That would never be okay.\Yuki was out today, too.\How many days is that now?\Three? Four? I think she's been out all week.\Maybe she's sick.\She'd text us back if she were sick.\Right, Toru?\Toru? response:	Oh, sorry, what's up?
context: Yuki was out today, too.\How many days is that now?\Three? Four? I think she's been out all week.\Maybe she's sick.\She'd text us back if she were sick.\Right, Toru?\Toru?\Oh, sorry, what's up? response:	Stop spacing out! We're talking about Yuki!
context: How many days is that now?\Three? Four? I think she's been out all week.\Maybe she's sick.\She'd text us back if she were sick.\Right, Toru?\Toru?\Oh, sorry, what's up?\Stop spacing out! We're talking about Yuki! response:	Have you gotten any texts back from Yoshikawa-san?
context: Three? Four? I think she's been out all week.\Maybe she's sick.\She'd text us back if she were sick.\Right, Toru?\Toru?\Oh, sorry, what's up?\Stop spacing out! We're talking about Yuki!\Have you gotten any texts back from Yoshikawa-san? response:	Nope, she's not texting me, either. Maybe she's dealing with family stuff.
context: Maybe she's sick.\She'd text us back if she were sick.\Right, Toru?\Toru?\Oh, sorry, what's up?\Stop spacing out! We're talking about Yuki!\Have you gotten any texts back from Yoshikawa-san?\Nope, she's not texting me, either. Maybe she's dealing with family stuff. response:	Huh.
context: She'd text us back if she were sick.\Right, Toru?\Toru?\Oh, sorry, what's up?\Stop spacing out! We're talking about Yuki!\Have you gotten any texts back from Yoshikawa-san?\Nope, she's not texting me, either. Maybe she's dealing with family stuff.\Huh. response:	We should probably tell her the test is gonna cover different stuff now.
context: Right, Toru?\Toru?\Oh, sorry, what's up?\Stop spacing out! We're talking about Yuki!\Have you gotten any texts back from Yoshikawa-san?\Nope, she's not texting me, either. Maybe she's dealing with family stuff.\Huh.\We should probably tell her the test is gonna cover different stuff now. response:	Oh, good idea.
context: Toru?\Oh, sorry, what's up?\Stop spacing out! We're talking about Yuki!\Have you gotten any texts back from Yoshikawa-san?\Nope, she's not texting me, either. Maybe she's dealing with family stuff.\Huh.\We should probably tell her the test is gonna cover different stuff now.\Oh, good idea. response:	How funny would it be if she threw a tantrum over the test stuff?
context: Oh, sorry, what's up?\Stop spacing out! We're talking about Yuki!\Have you gotten any texts back from Yoshikawa-san?\Nope, she's not texting me, either. Maybe she's dealing with family stuff.\Huh.\We should probably tell her the test is gonna cover different stuff now.\Oh, good idea.\How funny would it be if she threw a tantrum over the test stuff? response:	I dunno if she'd throw a whole tantrum.
context: Stop spacing out! We're talking about Yuki!\Have you gotten any texts back from Yoshikawa-san?\Nope, she's not texting me, either. Maybe she's dealing with family stuff.\Huh.\We should probably tell her the test is gonna cover different stuff now.\Oh, good idea.\How funny would it be if she threw a tantrum over the test stuff?\I dunno if she'd throw a whole tantrum. response:	I hope she comes tomorrow.
context: Have you gotten any texts back from Yoshikawa-san?\Nope, she's not texting me, either. Maybe she's dealing with family stuff.\Huh.\We should probably tell her the test is gonna cover different stuff now.\Oh, good idea.\How funny would it be if she threw a tantrum over the test stuff?\I dunno if she'd throw a whole tantrum.\I hope she comes tomorrow. response:	Yeah.
context: Nope, she's not texting me, either. Maybe she's dealing with family stuff.\Huh.\We should probably tell her the test is gonna cover different stuff now.\Oh, good idea.\How funny would it be if she threw a tantrum over the test stuff?\I dunno if she'd throw a whole tantrum.\I hope she comes tomorrow.\Yeah. response:	C'mon, you need to go to school already.
context: Huh.\We should probably tell her the test is gonna cover different stuff now.\Oh, good idea.\How funny would it be if she threw a tantrum over the test stuff?\I dunno if she'd throw a whole tantrum.\I hope she comes tomorrow.\Yeah.\C'mon, you need to go to school already. response:	Aren't you worried about your attendance record?
context: We should probably tell her the test is gonna cover different stuff now.\Oh, good idea.\How funny would it be if she threw a tantrum over the test stuff?\I dunno if she'd throw a whole tantrum.\I hope she comes tomorrow.\Yeah.\C'mon, you need to go to school already.\Aren't you worried about your attendance record? response:	Hello? I'm talking to you!
context: Oh, good idea.\How funny would it be if she threw a tantrum over the test stuff?\I dunno if she'd throw a whole tantrum.\I hope she comes tomorrow.\Yeah.\C'mon, you need to go to school already.\Aren't you worried about your attendance record?\Hello? I'm talking to you! response:	Ow!
context: How funny would it be if she threw a tantrum over the test stuff?\I dunno if she'd throw a whole tantrum.\I hope she comes tomorrow.\Yeah.\C'mon, you need to go to school already.\Aren't you worried about your attendance record?\Hello? I'm talking to you!\Ow! response:	This girl called Hori-san called.
context: I dunno if she'd throw a whole tantrum.\I hope she comes tomorrow.\Yeah.\C'mon, you need to go to school already.\Aren't you worried about your attendance record?\Hello? I'm talking to you!\Ow!\This girl called Hori-san called. response:	She said you turned off your phone.
context: I hope she comes tomorrow.\Yeah.\C'mon, you need to go to school already.\Aren't you worried about your attendance record?\Hello? I'm talking to you!\Ow!\This girl called Hori-san called.\She said you turned off your phone. response:	Lemme guess, you want something again, huh?
context: Yeah.\C'mon, you need to go to school already.\Aren't you worried about your attendance record?\Hello? I'm talking to you!\Ow!\This girl called Hori-san called.\She said you turned off your phone.\Lemme guess, you want something again, huh? response:	Any time you want something, you never say you want it.
context: C'mon, you need to go to school already.\Aren't you worried about your attendance record?\Hello? I'm talking to you!\Ow!\This girl called Hori-san called.\She said you turned off your phone.\Lemme guess, you want something again, huh?\Any time you want something, you never say you want it. response:	I have no idea why you do this.
context: Aren't you worried about your attendance record?\Hello? I'm talking to you!\Ow!\This girl called Hori-san called.\She said you turned off your phone.\Lemme guess, you want something again, huh?\Any time you want something, you never say you want it.\I have no idea why you do this. response:	There's nothing wrong or embarrassing about wanting something.
context: Hello? I'm talking to you!\Ow!\This girl called Hori-san called.\She said you turned off your phone.\Lemme guess, you want something again, huh?\Any time you want something, you never say you want it.\I have no idea why you do this.\There's nothing wrong or embarrassing about wanting something. response:	But you need decide if you're going to get it or not.
context: Ow!\This girl called Hori-san called.\She said you turned off your phone.\Lemme guess, you want something again, huh?\Any time you want something, you never say you want it.\I have no idea why you do this.\There's nothing wrong or embarrassing about wanting something.\But you need decide if you're going to get it or not. response:	You always end up complaining about it afterwards.
context: This girl called Hori-san called.\She said you turned off your phone.\Lemme guess, you want something again, huh?\Any time you want something, you never say you want it.\I have no idea why you do this.\There's nothing wrong or embarrassing about wanting something.\But you need decide if you're going to get it or not.\You always end up complaining about it afterwards. response:	I want a hair clip like hers!
context: She said you turned off your phone.\Lemme guess, you want something again, huh?\Any time you want something, you never say you want it.\I have no idea why you do this.\There's nothing wrong or embarrassing about wanting something.\But you need decide if you're going to get it or not.\You always end up complaining about it afterwards.\I want a hair clip like hers! response:	Yuki-chan, you just said you didn't want one!
context: Lemme guess, you want something again, huh?\Any time you want something, you never say you want it.\I have no idea why you do this.\There's nothing wrong or embarrassing about wanting something.\But you need decide if you're going to get it or not.\You always end up complaining about it afterwards.\I want a hair clip like hers!\Yuki-chan, you just said you didn't want one! response:	Here, take it.
context: Any time you want something, you never say you want it.\I have no idea why you do this.\There's nothing wrong or embarrassing about wanting something.\But you need decide if you're going to get it or not.\You always end up complaining about it afterwards.\I want a hair clip like hers!\Yuki-chan, you just said you didn't want one!\Here, take it. response:	If you want something, then say so.
context: I have no idea why you do this.\There's nothing wrong or embarrassing about wanting something.\But you need decide if you're going to get it or not.\You always end up complaining about it afterwards.\I want a hair clip like hers!\Yuki-chan, you just said you didn't want one!\Here, take it.\If you want something, then say so. response:	You've had this bad habit forever.
context: There's nothing wrong or embarrassing about wanting something.\But you need decide if you're going to get it or not.\You always end up complaining about it afterwards.\I want a hair clip like hers!\Yuki-chan, you just said you didn't want one!\Here, take it.\If you want something, then say so.\You've had this bad habit forever. response:	Hey, you stopped making those cookies, huh.
context: But you need decide if you're going to get it or not.\You always end up complaining about it afterwards.\I want a hair clip like hers!\Yuki-chan, you just said you didn't want one!\Here, take it.\If you want something, then say so.\You've had this bad habit forever.\Hey, you stopped making those cookies, huh. response:	That last batch you did was pretty good.
context: You always end up complaining about it afterwards.\I want a hair clip like hers!\Yuki-chan, you just said you didn't want one!\Here, take it.\If you want something, then say so.\You've had this bad habit forever.\Hey, you stopped making those cookies, huh.\That last batch you did was pretty good. response:	Those pure-white ones, like snow- like your name. Those were good.
context: I want a hair clip like hers!\Yuki-chan, you just said you didn't want one!\Here, take it.\If you want something, then say so.\You've had this bad habit forever.\Hey, you stopped making those cookies, huh.\That last batch you did was pretty good.\Those pure-white ones, like snow- like your name. Those were good. response:	Pure-white, like snow.
context: Yuki-chan, you just said you didn't want one!\Here, take it.\If you want something, then say so.\You've had this bad habit forever.\Hey, you stopped making those cookies, huh.\That last batch you did was pretty good.\Those pure-white ones, like snow- like your name. Those were good.\Pure-white, like snow. response:	Like my name.
context: Here, take it.\If you want something, then say so.\You've had this bad habit forever.\Hey, you stopped making those cookies, huh.\That last batch you did was pretty good.\Those pure-white ones, like snow- like your name. Those were good.\Pure-white, like snow.\Like my name. response:	12 New Messages
context: If you want something, then say so.\You've had this bad habit forever.\Hey, you stopped making those cookies, huh.\That last batch you did was pretty good.\Those pure-white ones, like snow- like your name. Those were good.\Pure-white, like snow.\Like my name.\12 New Messages response:	Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though.
context: You've had this bad habit forever.\Hey, you stopped making those cookies, huh.\That last batch you did was pretty good.\Those pure-white ones, like snow- like your name. Those were good.\Pure-white, like snow.\Like my name.\12 New Messages\Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though. response:	Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us!
context: Hey, you stopped making those cookies, huh.\That last batch you did was pretty good.\Those pure-white ones, like snow- like your name. Those were good.\Pure-white, like snow.\Like my name.\12 New Messages\Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though.\Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us! response:	Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad!
context: That last batch you did was pretty good.\Those pure-white ones, like snow- like your name. Those were good.\Pure-white, like snow.\Like my name.\12 New Messages\Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though.\Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us!\Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad! response:	Toru: Kono-san told me she likes me.
context: Those pure-white ones, like snow- like your name. Those were good.\Pure-white, like snow.\Like my name.\12 New Messages\Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though.\Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us!\Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad!\Toru: Kono-san told me she likes me. response:	Toru: Kono-san told me she likes me.
context: Pure-white, like snow.\Like my name.\12 New Messages\Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though.\Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us!\Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad!\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me. response:	Toru: Kono-san told me she likes me.
context: Like my name.\12 New Messages\Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though.\Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us!\Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad!\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me. response:	Huh?
context: 12 New Messages\Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though.\Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us!\Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad!\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Huh? response:	Huh?
context: Hori: You're out again today. Sick? Hope you're okay. Most classes were self-study today. Lemme know if you wanna see my notes though.\Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us!\Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad!\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Huh?\Huh? response:	Huh?
context: Toru: You getting my texts? You're not picking up your phone, either. We're getting worried. At least text us!\Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad!\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Huh?\Huh?\Huh? response:	'Sup?
context: Hori: I had Miyamura show me how to make cookies today, but my batch came out awful. He ate some anyways, but ended up in the bathroom for an hour... I feel bad!\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Huh?\Huh?\Huh?\'Sup? response:	Yuki!
context: Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Huh?\Huh?\Huh?\'Sup?\Yuki! response:	Yoshikawa's back.
context: Toru: Kono-san told me she likes me.\Toru: Kono-san told me she likes me.\Huh?\Huh?\Huh?\'Sup?\Yuki!\Yoshikawa's back. response:	Yeah. She looks good.
context: Toru: Kono-san told me she likes me.\Huh?\Huh?\Huh?\'Sup?\Yuki!\Yoshikawa's back.\Yeah. She looks good. response:	Oh, yeah, did I tell you the test's covering different stuff now?
context: Huh?\Huh?\Huh?\'Sup?\Yuki!\Yoshikawa's back.\Yeah. She looks good.\Oh, yeah, did I tell you the test's covering different stuff now? response:	Yeah, I saw your text. This really sucks.
context: Huh?\Huh?\'Sup?\Yuki!\Yoshikawa's back.\Yeah. She looks good.\Oh, yeah, did I tell you the test's covering different stuff now?\Yeah, I saw your text. This really sucks. response:	I guess it's still all stuff I'm crap at, though.
context: Huh?\'Sup?\Yuki!\Yoshikawa's back.\Yeah. She looks good.\Oh, yeah, did I tell you the test's covering different stuff now?\Yeah, I saw your text. This really sucks.\I guess it's still all stuff I'm crap at, though. response:	Yoshikawa.
context: 'Sup?\Yuki!\Yoshikawa's back.\Yeah. She looks good.\Oh, yeah, did I tell you the test's covering different stuff now?\Yeah, I saw your text. This really sucks.\I guess it's still all stuff I'm crap at, though.\Yoshikawa. response:	Can we talk?
context: Yuki!\Yoshikawa's back.\Yeah. She looks good.\Oh, yeah, did I tell you the test's covering different stuff now?\Yeah, I saw your text. This really sucks.\I guess it's still all stuff I'm crap at, though.\Yoshikawa.\Can we talk? response:	Sure.
context: Yoshikawa's back.\Yeah. She looks good.\Oh, yeah, did I tell you the test's covering different stuff now?\Yeah, I saw your text. This really sucks.\I guess it's still all stuff I'm crap at, though.\Yoshikawa.\Can we talk?\Sure. response:	This is probably the end of our little game of pretend.
context: Yeah. She looks good.\Oh, yeah, did I tell you the test's covering different stuff now?\Yeah, I saw your text. This really sucks.\I guess it's still all stuff I'm crap at, though.\Yoshikawa.\Can we talk?\Sure.\This is probably the end of our little game of pretend. response:	What do you wanna talk about?
context: Oh, yeah, did I tell you the test's covering different stuff now?\Yeah, I saw your text. This really sucks.\I guess it's still all stuff I'm crap at, though.\Yoshikawa.\Can we talk?\Sure.\This is probably the end of our little game of pretend.\What do you wanna talk about? response:	It's freezing up here; let's make it quick!
context: Yeah, I saw your text. This really sucks.\I guess it's still all stuff I'm crap at, though.\Yoshikawa.\Can we talk?\Sure.\This is probably the end of our little game of pretend.\What do you wanna talk about?\It's freezing up here; let's make it quick! response:	I gotta give Hori her notebook back, too.
context: I guess it's still all stuff I'm crap at, though.\Yoshikawa.\Can we talk?\Sure.\This is probably the end of our little game of pretend.\What do you wanna talk about?\It's freezing up here; let's make it quick!\I gotta give Hori her notebook back, too. response:	Did you see my text?
context: Yoshikawa.\Can we talk?\Sure.\This is probably the end of our little game of pretend.\What do you wanna talk about?\It's freezing up here; let's make it quick!\I gotta give Hori her notebook back, too.\Did you see my text? response:	Yeah, about Kono-san?
context: Can we talk?\Sure.\This is probably the end of our little game of pretend.\What do you wanna talk about?\It's freezing up here; let's make it quick!\I gotta give Hori her notebook back, too.\Did you see my text?\Yeah, about Kono-san? response:	Yeah. When she told me she liked me...
context: Sure.\This is probably the end of our little game of pretend.\What do you wanna talk about?\It's freezing up here; let's make it quick!\I gotta give Hori her notebook back, too.\Did you see my text?\Yeah, about Kono-san?\Yeah. When she told me she liked me... response:	She told me she didn't need an answer.
context: This is probably the end of our little game of pretend.\What do you wanna talk about?\It's freezing up here; let's make it quick!\I gotta give Hori her notebook back, too.\Did you see my text?\Yeah, about Kono-san?\Yeah. When she told me she liked me...\She told me she didn't need an answer. response:	What?
context: What do you wanna talk about?\It's freezing up here; let's make it quick!\I gotta give Hori her notebook back, too.\Did you see my text?\Yeah, about Kono-san?\Yeah. When she told me she liked me...\She told me she didn't need an answer.\What? response:	Wait, she doesn't?!
context: It's freezing up here; let's make it quick!\I gotta give Hori her notebook back, too.\Did you see my text?\Yeah, about Kono-san?\Yeah. When she told me she liked me...\She told me she didn't need an answer.\What?\Wait, she doesn't?! response:	Yeah.
context: I gotta give Hori her notebook back, too.\Did you see my text?\Yeah, about Kono-san?\Yeah. When she told me she liked me...\She told me she didn't need an answer.\What?\Wait, she doesn't?!\Yeah. response:	For some reason she thinks we're dating,
context: Did you see my text?\Yeah, about Kono-san?\Yeah. When she told me she liked me...\She told me she didn't need an answer.\What?\Wait, she doesn't?!\Yeah.\For some reason she thinks we're dating, response:	so she just wanted to get that off her chest.
context: Yeah, about Kono-san?\Yeah. When she told me she liked me...\She told me she didn't need an answer.\What?\Wait, she doesn't?!\Yeah.\For some reason she thinks we're dating,\so she just wanted to get that off her chest. response:	Why didn't you tell her, then? That we're not dating?
context: Yeah. When she told me she liked me...\She told me she didn't need an answer.\What?\Wait, she doesn't?!\Yeah.\For some reason she thinks we're dating,\so she just wanted to get that off her chest.\Why didn't you tell her, then? That we're not dating? response:	I dunno. I didn't feel like I had to clear up the misunderstanding.
context: She told me she didn't need an answer.\What?\Wait, she doesn't?!\Yeah.\For some reason she thinks we're dating,\so she just wanted to get that off her chest.\Why didn't you tell her, then? That we're not dating?\I dunno. I didn't feel like I had to clear up the misunderstanding. response:	Besides, I promised you I'd play along.
context: What?\Wait, she doesn't?!\Yeah.\For some reason she thinks we're dating,\so she just wanted to get that off her chest.\Why didn't you tell her, then? That we're not dating?\I dunno. I didn't feel like I had to clear up the misunderstanding.\Besides, I promised you I'd play along. response:	So if you didn't have to pretend, what would you have told her?
context: Wait, she doesn't?!\Yeah.\For some reason she thinks we're dating,\so she just wanted to get that off her chest.\Why didn't you tell her, then? That we're not dating?\I dunno. I didn't feel like I had to clear up the misunderstanding.\Besides, I promised you I'd play along.\So if you didn't have to pretend, what would you have told her? response:	Please, Kono-san's way out of my league. I wouldn't be good for her.
context: Yeah.\For some reason she thinks we're dating,\so she just wanted to get that off her chest.\Why didn't you tell her, then? That we're not dating?\I dunno. I didn't feel like I had to clear up the misunderstanding.\Besides, I promised you I'd play along.\So if you didn't have to pretend, what would you have told her?\Please, Kono-san's way out of my league. I wouldn't be good for her. response:	She'll find someone way better than me.
context: For some reason she thinks we're dating,\so she just wanted to get that off her chest.\Why didn't you tell her, then? That we're not dating?\I dunno. I didn't feel like I had to clear up the misunderstanding.\Besides, I promised you I'd play along.\So if you didn't have to pretend, what would you have told her?\Please, Kono-san's way out of my league. I wouldn't be good for her.\She'll find someone way better than me. response:	O-Oh. Guess that means no more sakura cookies, huh.
context: so she just wanted to get that off her chest.\Why didn't you tell her, then? That we're not dating?\I dunno. I didn't feel like I had to clear up the misunderstanding.\Besides, I promised you I'd play along.\So if you didn't have to pretend, what would you have told her?\Please, Kono-san's way out of my league. I wouldn't be good for her.\She'll find someone way better than me.\O-Oh. Guess that means no more sakura cookies, huh. response:	Yeah.
context: Why didn't you tell her, then? That we're not dating?\I dunno. I didn't feel like I had to clear up the misunderstanding.\Besides, I promised you I'd play along.\So if you didn't have to pretend, what would you have told her?\Please, Kono-san's way out of my league. I wouldn't be good for her.\She'll find someone way better than me.\O-Oh. Guess that means no more sakura cookies, huh.\Yeah. response:	I totally thought he'd go for her, what with how nice she is.
