context: I finally made it to the magic academy, Luna Nova! response:	You only told us about a hundred times last night.
context: Right, you came to Luna Nova for your collection of deadly poisons.\Why won't it move?\I originally planned to go back after getting myself a cockatrice feather...\Okay... I can do this. I know I can do it!\But then I heard there might be samples of an extinct poisonous mushroom here.\You can do it. You can do it, Akko!\There! Take that!\So I figured I might as well stay a bit longer. response:	How's that? Or this?!
context: Why won't it move?\I originally planned to go back after getting myself a cockatrice feather...\Okay... I can do this. I know I can do it!\But then I heard there might be samples of an extinct poisonous mushroom here.\You can do it. You can do it, Akko!\There! Take that!\So I figured I might as well stay a bit longer.\How's that? Or this?! response:	Here! Once more!
context: I originally planned to go back after getting myself a cockatrice feather...\Okay... I can do this. I know I can do it!\But then I heard there might be samples of an extinct poisonous mushroom here.\You can do it. You can do it, Akko!\There! Take that!\So I figured I might as well stay a bit longer.\How's that? Or this?!\Here! Once more! response:	Blow, o wind!
context: Okay... I can do this. I know I can do it!\But then I heard there might be samples of an extinct poisonous mushroom here.\You can do it. You can do it, Akko!\There! Take that!\So I figured I might as well stay a bit longer.\How's that? Or this?!\Here! Once more!\Blow, o wind! response:	Tear my cheeks up!
context: But then I heard there might be samples of an extinct poisonous mushroom here.\You can do it. You can do it, Akko!\There! Take that!\So I figured I might as well stay a bit longer.\How's that? Or this?!\Here! Once more!\Blow, o wind!\Tear my cheeks up! response:	That's strange...
context: You can do it. You can do it, Akko!\There! Take that!\So I figured I might as well stay a bit longer.\How's that? Or this?!\Here! Once more!\Blow, o wind!\Tear my cheeks up!\That's strange... response:	It was definitely working yesterday.
context: There! Take that!\So I figured I might as well stay a bit longer.\How's that? Or this?!\Here! Once more!\Blow, o wind!\Tear my cheeks up!\That's strange...\It was definitely working yesterday. response:	Put that down and get ready. We can't be late for class.
context: So I figured I might as well stay a bit longer.\How's that? Or this?!\Here! Once more!\Blow, o wind!\Tear my cheeks up!\That's strange...\It was definitely working yesterday.\Put that down and get ready. We can't be late for class. response:	Class?!
context: How's that? Or this?!\Here! Once more!\Blow, o wind!\Tear my cheeks up!\That's strange...\It was definitely working yesterday.\Put that down and get ready. We can't be late for class.\Class?! response:	Yay! Transformation complete!
context: Here! Once more!\Blow, o wind!\Tear my cheeks up!\That's strange...\It was definitely working yesterday.\Put that down and get ready. We can't be late for class.\Class?!\Yay! Transformation complete! response:	Let's move out!
context: Blow, o wind!\Tear my cheeks up!\That's strange...\It was definitely working yesterday.\Put that down and get ready. We can't be late for class.\Class?!\Yay! Transformation complete!\Let's move out! response:	We wear that one for school functions and practical lessons. This is for regular classes.
context: Tear my cheeks up!\That's strange...\It was definitely working yesterday.\Put that down and get ready. We can't be late for class.\Class?!\Yay! Transformation complete!\Let's move out!\We wear that one for school functions and practical lessons. This is for regular classes. response:	Aw, really?
context: That's strange...\It was definitely working yesterday.\Put that down and get ready. We can't be late for class.\Class?!\Yay! Transformation complete!\Let's move out!\We wear that one for school functions and practical lessons. This is for regular classes.\Aw, really? response:	First period is magic linguistics.
context: It was definitely working yesterday.\Put that down and get ready. We can't be late for class.\Class?!\Yay! Transformation complete!\Let's move out!\We wear that one for school functions and practical lessons. This is for regular classes.\Aw, really?\First period is magic linguistics. response:	Then, fundamentals of magic pharmaceutics followed by magic numerology.
context: Put that down and get ready. We can't be late for class.\Class?!\Yay! Transformation complete!\Let's move out!\We wear that one for school functions and practical lessons. This is for regular classes.\Aw, really?\First period is magic linguistics.\Then, fundamentals of magic pharmaceutics followed by magic numerology. response:	Today is the day I take my first step as a witch!
context: Class?!\Yay! Transformation complete!\Let's move out!\We wear that one for school functions and practical lessons. This is for regular classes.\Aw, really?\First period is magic linguistics.\Then, fundamentals of magic pharmaceutics followed by magic numerology.\Today is the day I take my first step as a witch! response:	Akko, hurry up!
context: Yay! Transformation complete!\Let's move out!\We wear that one for school functions and practical lessons. This is for regular classes.\Aw, really?\First period is magic linguistics.\Then, fundamentals of magic pharmaceutics followed by magic numerology.\Today is the day I take my first step as a witch!\Akko, hurry up! response:	I'm coming!
context: Let's move out!\We wear that one for school functions and practical lessons. This is for regular classes.\Aw, really?\First period is magic linguistics.\Then, fundamentals of magic pharmaceutics followed by magic numerology.\Today is the day I take my first step as a witch!\Akko, hurry up!\I'm coming! response:	Here where our long journey has finally led us
context: We wear that one for school functions and practical lessons. This is for regular classes.\Aw, really?\First period is magic linguistics.\Then, fundamentals of magic pharmaceutics followed by magic numerology.\Today is the day I take my first step as a witch!\Akko, hurry up!\I'm coming!\Here where our long journey has finally led us response:	Here where our long journey has finally led us
context: Aw, really?\First period is magic linguistics.\Then, fundamentals of magic pharmaceutics followed by magic numerology.\Today is the day I take my first step as a witch!\Akko, hurry up!\I'm coming!\Here where our long journey has finally led us\Here where our long journey has finally led us response:	kakedashita hibi ni yukitsuita kono basho
context: First period is magic linguistics.\Then, fundamentals of magic pharmaceutics followed by magic numerology.\Today is the day I take my first step as a witch!\Akko, hurry up!\I'm coming!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho response:	kakedashita hibi ni yukitsuita kono basho
context: Then, fundamentals of magic pharmaceutics followed by magic numerology.\Today is the day I take my first step as a witch!\Akko, hurry up!\I'm coming!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho response:	We can push open the door
context: Today is the day I take my first step as a witch!\Akko, hurry up!\I'm coming!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door response:	We can push open the door
context: Akko, hurry up!\I'm coming!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door response:	fureta tobira hiraite
context: I'm coming!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite response:	fureta tobira hiraite
context: Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite response:	In the footsteps of our dreams far beyond the stars
context: Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars response:	In the footsteps of our dreams far beyond the stars
context: kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars response:	hoshizora no kanata yume no ashiato
context: kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato response:	hoshizora no kanata yume no ashiato
context: We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato response:	Pick up the pieces with a song
context: We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song response:	Pick up the pieces with a song
context: fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song response:	hiroiatsume utau yo
context: fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo response:	hiroiatsume utau yo
context: In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo response:	Keep the destination of your dreams nestled in your heart
context: In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart response:	Keep the destination of your dreams nestled in your heart
context: hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart response:	yume ga kaketeku basho ima mo kokoro ni himete
context: hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete response:	yume ga kaketeku basho ima mo kokoro ni himete
context: Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete response:	And envelop the night
context: Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night response:	And envelop the night
context: hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night response:	yoru wo tsutsumikomu
context: hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu response:	yoru wo tsutsumikomu
context: Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu response:	Cast a magic spell
context: Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell response:	Cast a magic spell
context: yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell response:	mahou kakete
context: yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete response:	mahou kakete
context: And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete response:	And start to dance
context: And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance response:	And start to dance
context: yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance response:	odoridasu
context: yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu response:	odoridasu
context: Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu response:	The landscape looks like it's burning brilliantly
context: Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly response:	The landscape looks like it's burning brilliantly
context: mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly response:	yaketsuita you ni irodzuita fuukei wa
context: mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa response:	yaketsuita you ni irodzuita fuukei wa
context: And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa response:	But you can't see it fallen on the ground
context: And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground response:	But you can't see it fallen on the ground
context: odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground response:	koronda kurai ja tokenai kara
context: odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara response:	koronda kurai ja tokenai kara
context: The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara response:	The world will keep on turning
context: The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning response:	The world will keep on turning
context: yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning response:	sekai wa tsudzuku yo
context: yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo response:	sekai wa tsudzuku yo
context: But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo response:	Embrace the moment as if it'll never come again
context: But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again response:	Embrace the moment as if it'll never come again
context: koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again response:	hakanai mama no ima wo dakishimete
context: koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete response:	hakanai mama no ima wo dakishimete
context: The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete response:	Let's keep walking as we are with the light in our sights
context: The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights response:	Let's keep walking as we are with the light in our sights
context: sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights response:	kawaranai mama jikan to hikari mitsumete aruiteku
context: sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku response:	kawaranai mama jikan to hikari mitsumete aruiteku
context: Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku response:	Little Witch Academia
context: Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia response:	Little Witch Academia
context: hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia response:	Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.
context: hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term. response:	Let us honor the great Nine Olde Witches as we
context: Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Let us honor the great Nine Olde Witches as we response:	Professor Ursula...
context: Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Let us honor the great Nine Olde Witches as we\Professor Ursula... response:	M-My apologies.
context: kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Let us honor the great Nine Olde Witches as we\Professor Ursula...\M-My apologies. response:	Please straighten yourself out, Professor Ursula.
context: kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Let us honor the great Nine Olde Witches as we\Professor Ursula...\M-My apologies.\Please straighten yourself out, Professor Ursula. response:	How are you to guide your students with a demeanor such as yours?
context: Little Witch Academia\Little Witch Academia\Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Let us honor the great Nine Olde Witches as we\Professor Ursula...\M-My apologies.\Please straighten yourself out, Professor Ursula.\How are you to guide your students with a demeanor such as yours? response:	R-Right.
context: Little Witch Academia\Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Let us honor the great Nine Olde Witches as we\Professor Ursula...\M-My apologies.\Please straighten yourself out, Professor Ursula.\How are you to guide your students with a demeanor such as yours?\R-Right. response:	Oh, I'm sorry!
context: Today, we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Let us honor the great Nine Olde Witches as we\Professor Ursula...\M-My apologies.\Please straighten yourself out, Professor Ursula.\How are you to guide your students with a demeanor such as yours?\R-Right.\Oh, I'm sorry! response:	Now then, please explain yourself, Professor Ursula.
context: Let us honor the great Nine Olde Witches as we\Professor Ursula...\M-My apologies.\Please straighten yourself out, Professor Ursula.\How are you to guide your students with a demeanor such as yours?\R-Right.\Oh, I'm sorry!\Now then, please explain yourself, Professor Ursula. response:	What compelled you to mentor that new student, Atsuko Kagari?
context: Professor Ursula...\M-My apologies.\Please straighten yourself out, Professor Ursula.\How are you to guide your students with a demeanor such as yours?\R-Right.\Oh, I'm sorry!\Now then, please explain yourself, Professor Ursula.\What compelled you to mentor that new student, Atsuko Kagari? response:	I simply want to tutor her about fundamental magic during my spare time
context: M-My apologies.\Please straighten yourself out, Professor Ursula.\How are you to guide your students with a demeanor such as yours?\R-Right.\Oh, I'm sorry!\Now then, please explain yourself, Professor Ursula.\What compelled you to mentor that new student, Atsuko Kagari?\I simply want to tutor her about fundamental magic during my spare time response:	and help her make herself at home here.
context: Please straighten yourself out, Professor Ursula.\How are you to guide your students with a demeanor such as yours?\R-Right.\Oh, I'm sorry!\Now then, please explain yourself, Professor Ursula.\What compelled you to mentor that new student, Atsuko Kagari?\I simply want to tutor her about fundamental magic during my spare time\and help her make herself at home here. response:	She must feel quite lost as a Japanese student coming from a non-magic lineage.
context: How are you to guide your students with a demeanor such as yours?\R-Right.\Oh, I'm sorry!\Now then, please explain yourself, Professor Ursula.\What compelled you to mentor that new student, Atsuko Kagari?\I simply want to tutor her about fundamental magic during my spare time\and help her make herself at home here.\She must feel quite lost as a Japanese student coming from a non-magic lineage. response:	And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.
context: R-Right.\Oh, I'm sorry!\Now then, please explain yourself, Professor Ursula.\What compelled you to mentor that new student, Atsuko Kagari?\I simply want to tutor her about fundamental magic during my spare time\and help her make herself at home here.\She must feel quite lost as a Japanese student coming from a non-magic lineage.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you. response:	Oh, look!
context: Oh, I'm sorry!\Now then, please explain yourself, Professor Ursula.\What compelled you to mentor that new student, Atsuko Kagari?\I simply want to tutor her about fundamental magic during my spare time\and help her make herself at home here.\She must feel quite lost as a Japanese student coming from a non-magic lineage.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\Oh, look! response:	It's Kagari.
context: Now then, please explain yourself, Professor Ursula.\What compelled you to mentor that new student, Atsuko Kagari?\I simply want to tutor her about fundamental magic during my spare time\and help her make herself at home here.\She must feel quite lost as a Japanese student coming from a non-magic lineage.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\Oh, look!\It's Kagari. response:	Professor Finneran, excuse me to go say hello
context: What compelled you to mentor that new student, Atsuko Kagari?\I simply want to tutor her about fundamental magic during my spare time\and help her make herself at home here.\She must feel quite lost as a Japanese student coming from a non-magic lineage.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\Oh, look!\It's Kagari.\Professor Finneran, excuse me to go say hello response:	Oh my!
context: I simply want to tutor her about fundamental magic during my spare time\and help her make herself at home here.\She must feel quite lost as a Japanese student coming from a non-magic lineage.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\Oh, look!\It's Kagari.\Professor Finneran, excuse me to go say hello\Oh my! response:	Oh, oh, oh!
context: and help her make herself at home here.\She must feel quite lost as a Japanese student coming from a non-magic lineage.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\Oh, look!\It's Kagari.\Professor Finneran, excuse me to go say hello\Oh my!\Oh, oh, oh! response:	This is kinda lame.
context: She must feel quite lost as a Japanese student coming from a non-magic lineage.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\Oh, look!\It's Kagari.\Professor Finneran, excuse me to go say hello\Oh my!\Oh, oh, oh!\This is kinda lame. response:	Well, whatever.
context: And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\Oh, look!\It's Kagari.\Professor Finneran, excuse me to go say hello\Oh my!\Oh, oh, oh!\This is kinda lame.\Well, whatever. response:	I can't wait to see what magic lessons are like!
context: Oh, look!\It's Kagari.\Professor Finneran, excuse me to go say hello\Oh my!\Oh, oh, oh!\This is kinda lame.\Well, whatever.\I can't wait to see what magic lessons are like! response:	It's so thrilling and exciting!
context: It's Kagari.\Professor Finneran, excuse me to go say hello\Oh my!\Oh, oh, oh!\This is kinda lame.\Well, whatever.\I can't wait to see what magic lessons are like!\It's so thrilling and exciting! response:	In summary, the luna alphabet is a traditional writing system that was used by ancient witches.
context: Professor Finneran, excuse me to go say hello\Oh my!\Oh, oh, oh!\This is kinda lame.\Well, whatever.\I can't wait to see what magic lessons are like!\It's so thrilling and exciting!\In summary, the luna alphabet is a traditional writing system that was used by ancient witches. response:	It constitutes a form of phonemic orthography.
context: Oh my!\Oh, oh, oh!\This is kinda lame.\Well, whatever.\I can't wait to see what magic lessons are like!\It's so thrilling and exciting!\In summary, the luna alphabet is a traditional writing system that was used by ancient witches.\It constitutes a form of phonemic orthography. response:	Is anybody able to read what I have written on the board?
context: Oh, oh, oh!\This is kinda lame.\Well, whatever.\I can't wait to see what magic lessons are like!\It's so thrilling and exciting!\In summary, the luna alphabet is a traditional writing system that was used by ancient witches.\It constitutes a form of phonemic orthography.\Is anybody able to read what I have written on the board? response:	Miss Cavendish.
context: This is kinda lame.\Well, whatever.\I can't wait to see what magic lessons are like!\It's so thrilling and exciting!\In summary, the luna alphabet is a traditional writing system that was used by ancient witches.\It constitutes a form of phonemic orthography.\Is anybody able to read what I have written on the board?\Miss Cavendish. response:	Fortune to she who lets the stone rest.
context: Well, whatever.\I can't wait to see what magic lessons are like!\It's so thrilling and exciting!\In summary, the luna alphabet is a traditional writing system that was used by ancient witches.\It constitutes a form of phonemic orthography.\Is anybody able to read what I have written on the board?\Miss Cavendish.\Fortune to she who lets the stone rest. response:	A curse upon she who does not.
context: I can't wait to see what magic lessons are like!\It's so thrilling and exciting!\In summary, the luna alphabet is a traditional writing system that was used by ancient witches.\It constitutes a form of phonemic orthography.\Is anybody able to read what I have written on the board?\Miss Cavendish.\Fortune to she who lets the stone rest.\A curse upon she who does not. response:	That was splendid, Diana Cavendish.
context: It's so thrilling and exciting!\In summary, the luna alphabet is a traditional writing system that was used by ancient witches.\It constitutes a form of phonemic orthography.\Is anybody able to read what I have written on the board?\Miss Cavendish.\Fortune to she who lets the stone rest.\A curse upon she who does not.\That was splendid, Diana Cavendish. response:	For as long as I have been a teacher here, you are the first person able to read this.
context: In summary, the luna alphabet is a traditional writing system that was used by ancient witches.\It constitutes a form of phonemic orthography.\Is anybody able to read what I have written on the board?\Miss Cavendish.\Fortune to she who lets the stone rest.\A curse upon she who does not.\That was splendid, Diana Cavendish.\For as long as I have been a teacher here, you are the first person able to read this. response:	I knew Diana could do it.
context: It constitutes a form of phonemic orthography.\Is anybody able to read what I have written on the board?\Miss Cavendish.\Fortune to she who lets the stone rest.\A curse upon she who does not.\That was splendid, Diana Cavendish.\For as long as I have been a teacher here, you are the first person able to read this.\I knew Diana could do it. response:	The more you stir, the further the color changes.
