context: No! response:	Dang...
context: Why?\Bro!\Now's our chance, let's run!\But bro...\We'll all die if we stay, we gotta run!\Bro!\Hyogo!\He's not like before. Why? response:	Young Master is heir to the land of Daigo.
context: Bro!\Now's our chance, let's run!\But bro...\We'll all die if we stay, we gotta run!\Bro!\Hyogo!\He's not like before. Why?\Young Master is heir to the land of Daigo. response:	Its people, its prosperity.
context: Now's our chance, let's run!\But bro...\We'll all die if we stay, we gotta run!\Bro!\Hyogo!\He's not like before. Why?\Young Master is heir to the land of Daigo.\Its people, its prosperity. response:	He bears it all on his shoulders.
context: But bro...\We'll all die if we stay, we gotta run!\Bro!\Hyogo!\He's not like before. Why?\Young Master is heir to the land of Daigo.\Its people, its prosperity.\He bears it all on his shoulders. response:	His resolve far exceeds yours.
context: We'll all die if we stay, we gotta run!\Bro!\Hyogo!\He's not like before. Why?\Young Master is heir to the land of Daigo.\Its people, its prosperity.\He bears it all on his shoulders.\His resolve far exceeds yours. response:	Why kill me?
context: Bro!\Hyogo!\He's not like before. Why?\Young Master is heir to the land of Daigo.\Its people, its prosperity.\He bears it all on his shoulders.\His resolve far exceeds yours.\Why kill me? response:	Your existence alone
context: Hyogo!\He's not like before. Why?\Young Master is heir to the land of Daigo.\Its people, its prosperity.\He bears it all on his shoulders.\His resolve far exceeds yours.\Why kill me?\Your existence alone response:	causes calamities to befall our land.
context: He's not like before. Why?\Young Master is heir to the land of Daigo.\Its people, its prosperity.\He bears it all on his shoulders.\His resolve far exceeds yours.\Why kill me?\Your existence alone\causes calamities to befall our land. response:	You are the enemy of the people of Daigo!
context: Young Master is heir to the land of Daigo.\Its people, its prosperity.\He bears it all on his shoulders.\His resolve far exceeds yours.\Why kill me?\Your existence alone\causes calamities to befall our land.\You are the enemy of the people of Daigo! response:	Release!
context: Its people, its prosperity.\He bears it all on his shoulders.\His resolve far exceeds yours.\Why kill me?\Your existence alone\causes calamities to befall our land.\You are the enemy of the people of Daigo!\Release! response:	Dammit, we gotta hide somewhere.
context: He bears it all on his shoulders.\His resolve far exceeds yours.\Why kill me?\Your existence alone\causes calamities to befall our land.\You are the enemy of the people of Daigo!\Release!\Dammit, we gotta hide somewhere. response:	Hey, this place was on your map.
context: His resolve far exceeds yours.\Why kill me?\Your existence alone\causes calamities to befall our land.\You are the enemy of the people of Daigo!\Release!\Dammit, we gotta hide somewhere.\Hey, this place was on your map. response:	This might be another trap, but...
context: Why kill me?\Your existence alone\causes calamities to befall our land.\You are the enemy of the people of Daigo!\Release!\Dammit, we gotta hide somewhere.\Hey, this place was on your map.\This might be another trap, but... response:	the fifth stone from the left is a clue.
context: Your existence alone\causes calamities to befall our land.\You are the enemy of the people of Daigo!\Release!\Dammit, we gotta hide somewhere.\Hey, this place was on your map.\This might be another trap, but...\the fifth stone from the left is a clue. response:	Itachi, give it up already.
context: causes calamities to befall our land.\You are the enemy of the people of Daigo!\Release!\Dammit, we gotta hide somewhere.\Hey, this place was on your map.\This might be another trap, but...\the fifth stone from the left is a clue.\Itachi, give it up already. response:	We could go and live in a better place. All we need is this treasure.
context: You are the enemy of the people of Daigo!\Release!\Dammit, we gotta hide somewhere.\Hey, this place was on your map.\This might be another trap, but...\the fifth stone from the left is a clue.\Itachi, give it up already.\We could go and live in a better place. All we need is this treasure. response:	Itachi!
context: Release!\Dammit, we gotta hide somewhere.\Hey, this place was on your map.\This might be another trap, but...\the fifth stone from the left is a clue.\Itachi, give it up already.\We could go and live in a better place. All we need is this treasure.\Itachi! response:	This is the end!
context: Dammit, we gotta hide somewhere.\Hey, this place was on your map.\This might be another trap, but...\the fifth stone from the left is a clue.\Itachi, give it up already.\We could go and live in a better place. All we need is this treasure.\Itachi!\This is the end! response:	I will shoot you down. You and all that side with you!
context: Hey, this place was on your map.\This might be another trap, but...\the fifth stone from the left is a clue.\Itachi, give it up already.\We could go and live in a better place. All we need is this treasure.\Itachi!\This is the end!\I will shoot you down. You and all that side with you! response:	What am I supposed to do now, bro?
context: This might be another trap, but...\the fifth stone from the left is a clue.\Itachi, give it up already.\We could go and live in a better place. All we need is this treasure.\Itachi!\This is the end!\I will shoot you down. You and all that side with you!\What am I supposed to do now, bro? response:	Young Master, finish him!
context: the fifth stone from the left is a clue.\Itachi, give it up already.\We could go and live in a better place. All we need is this treasure.\Itachi!\This is the end!\I will shoot you down. You and all that side with you!\What am I supposed to do now, bro?\Young Master, finish him! response:	Enemies...
context: Itachi, give it up already.\We could go and live in a better place. All we need is this treasure.\Itachi!\This is the end!\I will shoot you down. You and all that side with you!\What am I supposed to do now, bro?\Young Master, finish him!\Enemies... response:	You are my enemies.
context: We could go and live in a better place. All we need is this treasure.\Itachi!\This is the end!\I will shoot you down. You and all that side with you!\What am I supposed to do now, bro?\Young Master, finish him!\Enemies...\You are my enemies. response:	I won't let you.
context: Itachi!\This is the end!\I will shoot you down. You and all that side with you!\What am I supposed to do now, bro?\Young Master, finish him!\Enemies...\You are my enemies.\I won't let you. response:	I will break that left arm of yours, too, Hyakkimaru.
context: This is the end!\I will shoot you down. You and all that side with you!\What am I supposed to do now, bro?\Young Master, finish him!\Enemies...\You are my enemies.\I won't let you.\I will break that left arm of yours, too, Hyakkimaru. response:	Itachi, hang in there.
context: I will shoot you down. You and all that side with you!\What am I supposed to do now, bro?\Young Master, finish him!\Enemies...\You are my enemies.\I won't let you.\I will break that left arm of yours, too, Hyakkimaru.\Itachi, hang in there. response:	Dororo, one last favor.
context: What am I supposed to do now, bro?\Young Master, finish him!\Enemies...\You are my enemies.\I won't let you.\I will break that left arm of yours, too, Hyakkimaru.\Itachi, hang in there.\Dororo, one last favor. response:	Let me see the treasure, just one glimpse...
context: Young Master, finish him!\Enemies...\You are my enemies.\I won't let you.\I will break that left arm of yours, too, Hyakkimaru.\Itachi, hang in there.\Dororo, one last favor.\Let me see the treasure, just one glimpse... response:	I beg you...
context: Enemies...\You are my enemies.\I won't let you.\I will break that left arm of yours, too, Hyakkimaru.\Itachi, hang in there.\Dororo, one last favor.\Let me see the treasure, just one glimpse...\I beg you... response:	You're all going to where Jiromaru and Saburomaru went.
context: You are my enemies.\I won't let you.\I will break that left arm of yours, too, Hyakkimaru.\Itachi, hang in there.\Dororo, one last favor.\Let me see the treasure, just one glimpse...\I beg you...\You're all going to where Jiromaru and Saburomaru went. response:	No, Dororo!
context: I won't let you.\I will break that left arm of yours, too, Hyakkimaru.\Itachi, hang in there.\Dororo, one last favor.\Let me see the treasure, just one glimpse...\I beg you...\You're all going to where Jiromaru and Saburomaru went.\No, Dororo! response:	-Young Master! -Mutsu, Hyogo, retreat!
context: I will break that left arm of yours, too, Hyakkimaru.\Itachi, hang in there.\Dororo, one last favor.\Let me see the treasure, just one glimpse...\I beg you...\You're all going to where Jiromaru and Saburomaru went.\No, Dororo!\-Young Master! -Mutsu, Hyogo, retreat! response:	Dororo.
context: Itachi, hang in there.\Dororo, one last favor.\Let me see the treasure, just one glimpse...\I beg you...\You're all going to where Jiromaru and Saburomaru went.\No, Dororo!\-Young Master! -Mutsu, Hyogo, retreat!\Dororo. response:	Hyogo...
context: Dororo, one last favor.\Let me see the treasure, just one glimpse...\I beg you...\You're all going to where Jiromaru and Saburomaru went.\No, Dororo!\-Young Master! -Mutsu, Hyogo, retreat!\Dororo.\Hyogo... response:	Hyogo... Hyogo!
context: Let me see the treasure, just one glimpse...\I beg you...\You're all going to where Jiromaru and Saburomaru went.\No, Dororo!\-Young Master! -Mutsu, Hyogo, retreat!\Dororo.\Hyogo...\Hyogo... Hyogo! response:	Itachi, Itachi!
context: I beg you...\You're all going to where Jiromaru and Saburomaru went.\No, Dororo!\-Young Master! -Mutsu, Hyogo, retreat!\Dororo.\Hyogo...\Hyogo... Hyogo!\Itachi, Itachi! response:	Money...
context: You're all going to where Jiromaru and Saburomaru went.\No, Dororo!\-Young Master! -Mutsu, Hyogo, retreat!\Dororo.\Hyogo...\Hyogo... Hyogo!\Itachi, Itachi!\Money... response:	There it is... It's really there...
context: No, Dororo!\-Young Master! -Mutsu, Hyogo, retreat!\Dororo.\Hyogo...\Hyogo... Hyogo!\Itachi, Itachi!\Money...\There it is... It's really there... response:	My money...
context: -Young Master! -Mutsu, Hyogo, retreat!\Dororo.\Hyogo...\Hyogo... Hyogo!\Itachi, Itachi!\Money...\There it is... It's really there...\My money... response:	When you meet Papa up there, don't quarrel with him this time.
context: Dororo.\Hyogo...\Hyogo... Hyogo!\Itachi, Itachi!\Money...\There it is... It's really there...\My money...\When you meet Papa up there, don't quarrel with him this time. response:	What you have on your back can move people and change the world.
context: Hyogo...\Hyogo... Hyogo!\Itachi, Itachi!\Money...\There it is... It's really there...\My money...\When you meet Papa up there, don't quarrel with him this time.\What you have on your back can move people and change the world. response:	It's a source of great power.
context: Hyogo... Hyogo!\Itachi, Itachi!\Money...\There it is... It's really there...\My money...\When you meet Papa up there, don't quarrel with him this time.\What you have on your back can move people and change the world.\It's a source of great power. response:	I don't know how I should use this stuff, so I don't want it yet.
context: Itachi, Itachi!\Money...\There it is... It's really there...\My money...\When you meet Papa up there, don't quarrel with him this time.\What you have on your back can move people and change the world.\It's a source of great power.\I don't know how I should use this stuff, so I don't want it yet. response:	Papa, Mama. Wait a bit more'till I figure it out.
context: Money...\There it is... It's really there...\My money...\When you meet Papa up there, don't quarrel with him this time.\What you have on your back can move people and change the world.\It's a source of great power.\I don't know how I should use this stuff, so I don't want it yet.\Papa, Mama. Wait a bit more'till I figure it out. response:	Hold on a sec.
context: There it is... It's really there...\My money...\When you meet Papa up there, don't quarrel with him this time.\What you have on your back can move people and change the world.\It's a source of great power.\I don't know how I should use this stuff, so I don't want it yet.\Papa, Mama. Wait a bit more'till I figure it out.\Hold on a sec. response:	This is different, okay?
context: My money...\When you meet Papa up there, don't quarrel with him this time.\What you have on your back can move people and change the world.\It's a source of great power.\I don't know how I should use this stuff, so I don't want it yet.\Papa, Mama. Wait a bit more'till I figure it out.\Hold on a sec.\This is different, okay? response:	Just a little something to keep us going.
context: When you meet Papa up there, don't quarrel with him this time.\What you have on your back can move people and change the world.\It's a source of great power.\I don't know how I should use this stuff, so I don't want it yet.\Papa, Mama. Wait a bit more'till I figure it out.\Hold on a sec.\This is different, okay?\Just a little something to keep us going. response:	Hey, hold up!
context: What you have on your back can move people and change the world.\It's a source of great power.\I don't know how I should use this stuff, so I don't want it yet.\Papa, Mama. Wait a bit more'till I figure it out.\Hold on a sec.\This is different, okay?\Just a little something to keep us going.\Hey, hold up! response:	Born into this world
context: It's a source of great power.\I don't know how I should use this stuff, so I don't want it yet.\Papa, Mama. Wait a bit more'till I figure it out.\Hold on a sec.\This is different, okay?\Just a little something to keep us going.\Hey, hold up!\Born into this world response:	There is no salvation
context: I don't know how I should use this stuff, so I don't want it yet.\Papa, Mama. Wait a bit more'till I figure it out.\Hold on a sec.\This is different, okay?\Just a little something to keep us going.\Hey, hold up!\Born into this world\There is no salvation response:	The distorted shape of the heart
context: Papa, Mama. Wait a bit more'till I figure it out.\Hold on a sec.\This is different, okay?\Just a little something to keep us going.\Hey, hold up!\Born into this world\There is no salvation\The distorted shape of the heart response:	Yet it beats courageously
context: Hold on a sec.\This is different, okay?\Just a little something to keep us going.\Hey, hold up!\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously response:	There is no turning back
context: This is different, okay?\Just a little something to keep us going.\Hey, hold up!\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back response:	Even from the path of evil
context: Just a little something to keep us going.\Hey, hold up!\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil response:	Witnessing the withering seasons
context: Hey, hold up!\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons response:	We search for the truth
context: Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth response:	In our ugliness
context: There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness response:	We don't even recognize the pain
context: The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain response:	As we peel back the skin
context: Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin response:	We are forever tormented by our stupidity
context: There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity response:	But if the dawn never comes
context: Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes response:	Through the painful night
context: Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night response:	You who distrusts nothing
context: We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing response:	You will be able to love this accursed world
context: In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world response:	Now that we carry the world on our shoulders
context: We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders response:	It's time to take it back
context: As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders\It's time to take it back response:	Jiromaru
