context: I have a slight concern. response:	I would like to take a small number from our forces to eliminate it.
context: It won't be easy at all!\We're gonna die!\At this rate, we're seriously gonna die.\What next?!\What is this? I feel a wind hitting me.\Honestly, even I had no idea I was capable of this\What is it? What's wrong?\The trees are so loud. response:	The birds and bugs began to make a lot of noise, and then just vanished.
context: We're gonna die!\At this rate, we're seriously gonna die.\What next?!\What is this? I feel a wind hitting me.\Honestly, even I had no idea I was capable of this\What is it? What's wrong?\The trees are so loud.\The birds and bugs began to make a lot of noise, and then just vanished. response:	Something... Something is coming!
context: At this rate, we're seriously gonna die.\What next?!\What is this? I feel a wind hitting me.\Honestly, even I had no idea I was capable of this\What is it? What's wrong?\The trees are so loud.\The birds and bugs began to make a lot of noise, and then just vanished.\Something... Something is coming! response:	Faster, Otto! Don't get caught, no matter what!
context: What next?!\What is this? I feel a wind hitting me.\Honestly, even I had no idea I was capable of this\What is it? What's wrong?\The trees are so loud.\The birds and bugs began to make a lot of noise, and then just vanished.\Something... Something is coming!\Faster, Otto! Don't get caught, no matter what! response:	Natsuki-san?
context: What is this? I feel a wind hitting me.\Honestly, even I had no idea I was capable of this\What is it? What's wrong?\The trees are so loud.\The birds and bugs began to make a lot of noise, and then just vanished.\Something... Something is coming!\Faster, Otto! Don't get caught, no matter what!\Natsuki-san? response:	Just how persistent are you, damn it?!
context: Honestly, even I had no idea I was capable of this\What is it? What's wrong?\The trees are so loud.\The birds and bugs began to make a lot of noise, and then just vanished.\Something... Something is coming!\Faster, Otto! Don't get caught, no matter what!\Natsuki-san?\Just how persistent are you, damn it?! response:	My body!
context: What is it? What's wrong?\The trees are so loud.\The birds and bugs began to make a lot of noise, and then just vanished.\Something... Something is coming!\Faster, Otto! Don't get caught, no matter what!\Natsuki-san?\Just how persistent are you, damn it?!\My body! response:	My flesh body!
context: The trees are so loud.\The birds and bugs began to make a lot of noise, and then just vanished.\Something... Something is coming!\Faster, Otto! Don't get caught, no matter what!\Natsuki-san?\Just how persistent are you, damn it?!\My body!\My flesh body! response:	It's okay. Hang on tight.
context: The birds and bugs began to make a lot of noise, and then just vanished.\Something... Something is coming!\Faster, Otto! Don't get caught, no matter what!\Natsuki-san?\Just how persistent are you, damn it?!\My body!\My flesh body!\It's okay. Hang on tight. response:	There's nothing to fear.
context: Something... Something is coming!\Faster, Otto! Don't get caught, no matter what!\Natsuki-san?\Just how persistent are you, damn it?!\My body!\My flesh body!\It's okay. Hang on tight.\There's nothing to fear. response:	That old man just ran into someone behind us.
context: Faster, Otto! Don't get caught, no matter what!\Natsuki-san?\Just how persistent are you, damn it?!\My body!\My flesh body!\It's okay. Hang on tight.\There's nothing to fear.\That old man just ran into someone behind us. response:	They're fighting.
context: Natsuki-san?\Just how persistent are you, damn it?!\My body!\My flesh body!\It's okay. Hang on tight.\There's nothing to fear.\That old man just ran into someone behind us.\They're fighting. response:	Do you know how many?
context: Just how persistent are you, damn it?!\My body!\My flesh body!\It's okay. Hang on tight.\There's nothing to fear.\That old man just ran into someone behind us.\They're fighting.\Do you know how many? response:	A lot.
context: My body!\My flesh body!\It's okay. Hang on tight.\There's nothing to fear.\That old man just ran into someone behind us.\They're fighting.\Do you know how many?\A lot. response:	But the old man's power is no joke.
context: My flesh body!\It's okay. Hang on tight.\There's nothing to fear.\That old man just ran into someone behind us.\They're fighting.\Do you know how many?\A lot.\But the old man's power is no joke. response:	Seems you and I won't be needed this time.
context: It's okay. Hang on tight.\There's nothing to fear.\That old man just ran into someone behind us.\They're fighting.\Do you know how many?\A lot.\But the old man's power is no joke.\Seems you and I won't be needed this time. response:	Taking physical form without reason drains mana,
context: There's nothing to fear.\That old man just ran into someone behind us.\They're fighting.\Do you know how many?\A lot.\But the old man's power is no joke.\Seems you and I won't be needed this time.\Taking physical form without reason drains mana, response:	and I wouldn't want these kids ending up their toys.
context: That old man just ran into someone behind us.\They're fighting.\Do you know how many?\A lot.\But the old man's power is no joke.\Seems you and I won't be needed this time.\Taking physical form without reason drains mana,\and I wouldn't want these kids ending up their toys. response:	If we could hide everyone's fear behind your cuteness,
context: They're fighting.\Do you know how many?\A lot.\But the old man's power is no joke.\Seems you and I won't be needed this time.\Taking physical form without reason drains mana,\and I wouldn't want these kids ending up their toys.\If we could hide everyone's fear behind your cuteness, response:	I think that could work, though.
context: Do you know how many?\A lot.\But the old man's power is no joke.\Seems you and I won't be needed this time.\Taking physical form without reason drains mana,\and I wouldn't want these kids ending up their toys.\If we could hide everyone's fear behind your cuteness,\I think that could work, though. response:	You say some scary things, my daughter.
context: A lot.\But the old man's power is no joke.\Seems you and I won't be needed this time.\Taking physical form without reason drains mana,\and I wouldn't want these kids ending up their toys.\If we could hide everyone's fear behind your cuteness,\I think that could work, though.\You say some scary things, my daughter. response:	Don't worry.
context: But the old man's power is no joke.\Seems you and I won't be needed this time.\Taking physical form without reason drains mana,\and I wouldn't want these kids ending up their toys.\If we could hide everyone's fear behind your cuteness,\I think that could work, though.\You say some scary things, my daughter.\Don't worry. response:	Whatever happens, I'll protect you.
context: Seems you and I won't be needed this time.\Taking physical form without reason drains mana,\and I wouldn't want these kids ending up their toys.\If we could hide everyone's fear behind your cuteness,\I think that could work, though.\You say some scary things, my daughter.\Don't worry.\Whatever happens, I'll protect you. response:	W-We're fine!
context: Taking physical form without reason drains mana,\and I wouldn't want these kids ending up their toys.\If we could hide everyone's fear behind your cuteness,\I think that could work, though.\You say some scary things, my daughter.\Don't worry.\Whatever happens, I'll protect you.\W-We're fine! response:	You don't have to worry about us!
context: and I wouldn't want these kids ending up their toys.\If we could hide everyone's fear behind your cuteness,\I think that could work, though.\You say some scary things, my daughter.\Don't worry.\Whatever happens, I'll protect you.\W-We're fine!\You don't have to worry about us! response:	W-We made a promise, so this is nothing!
context: If we could hide everyone's fear behind your cuteness,\I think that could work, though.\You say some scary things, my daughter.\Don't worry.\Whatever happens, I'll protect you.\W-We're fine!\You don't have to worry about us!\W-We made a promise, so this is nothing! response:	A promise?
context: I think that could work, though.\You say some scary things, my daughter.\Don't worry.\Whatever happens, I'll protect you.\W-We're fine!\You don't have to worry about us!\W-We made a promise, so this is nothing!\A promise? response:	That we wouldn't let you go!
context: You say some scary things, my daughter.\Don't worry.\Whatever happens, I'll protect you.\W-We're fine!\You don't have to worry about us!\W-We made a promise, so this is nothing!\A promise?\That we wouldn't let you go! response:	Because if we aren't with you, you'll do something crazy!
context: Don't worry.\Whatever happens, I'll protect you.\W-We're fine!\You don't have to worry about us!\W-We made a promise, so this is nothing!\A promise?\That we wouldn't let you go!\Because if we aren't with you, you'll do something crazy! response:	And he'll worry if someone doesn't watch you!
context: Whatever happens, I'll protect you.\W-We're fine!\You don't have to worry about us!\W-We made a promise, so this is nothing!\A promise?\That we wouldn't let you go!\Because if we aren't with you, you'll do something crazy!\And he'll worry if someone doesn't watch you! response:	Worry about me? Who told you this?
context: W-We're fine!\You don't have to worry about us!\W-We made a promise, so this is nothing!\A promise?\That we wouldn't let you go!\Because if we aren't with you, you'll do something crazy!\And he'll worry if someone doesn't watch you!\Worry about me? Who told you this? response:	Don't! We can't tell
context: You don't have to worry about us!\W-We made a promise, so this is nothing!\A promise?\That we wouldn't let you go!\Because if we aren't with you, you'll do something crazy!\And he'll worry if someone doesn't watch you!\Worry about me? Who told you this?\Don't! We can't tell response:	Subaru!
context: W-We made a promise, so this is nothing!\A promise?\That we wouldn't let you go!\Because if we aren't with you, you'll do something crazy!\And he'll worry if someone doesn't watch you!\Worry about me? Who told you this?\Don't! We can't tell\Subaru! response:	Subaru said it.
context: A promise?\That we wouldn't let you go!\Because if we aren't with you, you'll do something crazy!\And he'll worry if someone doesn't watch you!\Worry about me? Who told you this?\Don't! We can't tell\Subaru!\Subaru said it. response:	He said you get lonely easily, so he was worried!
context: That we wouldn't let you go!\Because if we aren't with you, you'll do something crazy!\And he'll worry if someone doesn't watch you!\Worry about me? Who told you this?\Don't! We can't tell\Subaru!\Subaru said it.\He said you get lonely easily, so he was worried! response:	Subaru said...
context: Because if we aren't with you, you'll do something crazy!\And he'll worry if someone doesn't watch you!\Worry about me? Who told you this?\Don't! We can't tell\Subaru!\Subaru said it.\He said you get lonely easily, so he was worried!\Subaru said... response:	Wait, we weren't supposed to tell her.
context: And he'll worry if someone doesn't watch you!\Worry about me? Who told you this?\Don't! We can't tell\Subaru!\Subaru said it.\He said you get lonely easily, so he was worried!\Subaru said...\Wait, we weren't supposed to tell her. response:	Oh, boy...
context: Worry about me? Who told you this?\Don't! We can't tell\Subaru!\Subaru said it.\He said you get lonely easily, so he was worried!\Subaru said...\Wait, we weren't supposed to tell her.\Oh, boy... response:	Natsuki-san, is something coming up behind us?
context: Don't! We can't tell\Subaru!\Subaru said it.\He said you get lonely easily, so he was worried!\Subaru said...\Wait, we weren't supposed to tell her.\Oh, boy...\Natsuki-san, is something coming up behind us? response:	Just some big, black animal.
context: Subaru!\Subaru said it.\He said you get lonely easily, so he was worried!\Subaru said...\Wait, we weren't supposed to tell her.\Oh, boy...\Natsuki-san, is something coming up behind us?\Just some big, black animal. response:	It has a wild voice and a scary face, so you're better off not looking.
context: Subaru said it.\He said you get lonely easily, so he was worried!\Subaru said...\Wait, we weren't supposed to tell her.\Oh, boy...\Natsuki-san, is something coming up behind us?\Just some big, black animal.\It has a wild voice and a scary face, so you're better off not looking. response:	Those things make me all the more curious!
context: He said you get lonely easily, so he was worried!\Subaru said...\Wait, we weren't supposed to tell her.\Oh, boy...\Natsuki-san, is something coming up behind us?\Just some big, black animal.\It has a wild voice and a scary face, so you're better off not looking.\Those things make me all the more curious! response:	Forget it! Just drive!
context: Subaru said...\Wait, we weren't supposed to tell her.\Oh, boy...\Natsuki-san, is something coming up behind us?\Just some big, black animal.\It has a wild voice and a scary face, so you're better off not looking.\Those things make me all the more curious!\Forget it! Just drive! response:	If it bites me, it'll munch on you next!
context: Wait, we weren't supposed to tell her.\Oh, boy...\Natsuki-san, is something coming up behind us?\Just some big, black animal.\It has a wild voice and a scary face, so you're better off not looking.\Those things make me all the more curious!\Forget it! Just drive!\If it bites me, it'll munch on you next! response:	Yikes!
context: Oh, boy...\Natsuki-san, is something coming up behind us?\Just some big, black animal.\It has a wild voice and a scary face, so you're better off not looking.\Those things make me all the more curious!\Forget it! Just drive!\If it bites me, it'll munch on you next!\Yikes! response:	How many times do I have to play the last level?
context: Natsuki-san, is something coming up behind us?\Just some big, black animal.\It has a wild voice and a scary face, so you're better off not looking.\Those things make me all the more curious!\Forget it! Just drive!\If it bites me, it'll munch on you next!\Yikes!\How many times do I have to play the last level? response:	What about you is slothful now, you uselessly hard worker?
context: Just some big, black animal.\It has a wild voice and a scary face, so you're better off not looking.\Those things make me all the more curious!\Forget it! Just drive!\If it bites me, it'll munch on you next!\Yikes!\How many times do I have to play the last level?\What about you is slothful now, you uselessly hard worker? response:	Witch! Satella! Give me...
context: It has a wild voice and a scary face, so you're better off not looking.\Those things make me all the more curious!\Forget it! Just drive!\If it bites me, it'll munch on you next!\Yikes!\How many times do I have to play the last level?\What about you is slothful now, you uselessly hard worker?\Witch! Satella! Give me... response:	Love! Love!
context: Those things make me all the more curious!\Forget it! Just drive!\If it bites me, it'll munch on you next!\Yikes!\How many times do I have to play the last level?\What about you is slothful now, you uselessly hard worker?\Witch! Satella! Give me...\Love! Love! response:	She doesn't love you or me...
context: Forget it! Just drive!\If it bites me, it'll munch on you next!\Yikes!\How many times do I have to play the last level?\What about you is slothful now, you uselessly hard worker?\Witch! Satella! Give me...\Love! Love!\She doesn't love you or me... response:	Love! Love! Love! Love! Love!
context: If it bites me, it'll munch on you next!\Yikes!\How many times do I have to play the last level?\What about you is slothful now, you uselessly hard worker?\Witch! Satella! Give me...\Love! Love!\She doesn't love you or me...\Love! Love! Love! Love! Love! response:	In what kind of rom-com does someone try to squash their love's heart?
context: Yikes!\How many times do I have to play the last level?\What about you is slothful now, you uselessly hard worker?\Witch! Satella! Give me...\Love! Love!\She doesn't love you or me...\Love! Love! Love! Love! Love!\In what kind of rom-com does someone try to squash their love's heart? response:	Satella! Satella! Satella!
context: How many times do I have to play the last level?\What about you is slothful now, you uselessly hard worker?\Witch! Satella! Give me...\Love! Love!\She doesn't love you or me...\Love! Love! Love! Love! Love!\In what kind of rom-com does someone try to squash their love's heart?\Satella! Satella! Satella! response:	I am your opponent.
context: What about you is slothful now, you uselessly hard worker?\Witch! Satella! Give me...\Love! Love!\She doesn't love you or me...\Love! Love! Love! Love! Love!\In what kind of rom-com does someone try to squash their love's heart?\Satella! Satella! Satella!\I am your opponent. response:	I won't let you past me.
context: Witch! Satella! Give me...\Love! Love!\She doesn't love you or me...\Love! Love! Love! Love! Love!\In what kind of rom-com does someone try to squash their love's heart?\Satella! Satella! Satella!\I am your opponent.\I won't let you past me. response:	And I absolutely won't let you get to the kid in front of me!
context: Love! Love!\She doesn't love you or me...\Love! Love! Love! Love! Love!\In what kind of rom-com does someone try to squash their love's heart?\Satella! Satella! Satella!\I am your opponent.\I won't let you past me.\And I absolutely won't let you get to the kid in front of me! response:	Natsuki-san, you care about me that much?
context: She doesn't love you or me...\Love! Love! Love! Love! Love!\In what kind of rom-com does someone try to squash their love's heart?\Satella! Satella! Satella!\I am your opponent.\I won't let you past me.\And I absolutely won't let you get to the kid in front of me!\Natsuki-san, you care about me that much? response:	Will you be quiet?
context: Love! Love! Love! Love! Love!\In what kind of rom-com does someone try to squash their love's heart?\Satella! Satella! Satella!\I am your opponent.\I won't let you past me.\And I absolutely won't let you get to the kid in front of me!\Natsuki-san, you care about me that much?\Will you be quiet? response:	I'm trying to make myself look good.
context: In what kind of rom-com does someone try to squash their love's heart?\Satella! Satella! Satella!\I am your opponent.\I won't let you past me.\And I absolutely won't let you get to the kid in front of me!\Natsuki-san, you care about me that much?\Will you be quiet?\I'm trying to make myself look good. response:	Take this!
context: Satella! Satella! Satella!\I am your opponent.\I won't let you past me.\And I absolutely won't let you get to the kid in front of me!\Natsuki-san, you care about me that much?\Will you be quiet?\I'm trying to make myself look good.\Take this! response:	Natsuki-san, we're leaving the forest!
context: I am your opponent.\I won't let you past me.\And I absolutely won't let you get to the kid in front of me!\Natsuki-san, you care about me that much?\Will you be quiet?\I'm trying to make myself look good.\Take this!\Natsuki-san, we're leaving the forest! response:	Love...
context: I won't let you past me.\And I absolutely won't let you get to the kid in front of me!\Natsuki-san, you care about me that much?\Will you be quiet?\I'm trying to make myself look good.\Take this!\Natsuki-san, we're leaving the forest!\Love... response:	Love... Love me.
context: And I absolutely won't let you get to the kid in front of me!\Natsuki-san, you care about me that much?\Will you be quiet?\I'm trying to make myself look good.\Take this!\Natsuki-san, we're leaving the forest!\Love...\Love... Love me. response:	Love alone is everything!
context: Natsuki-san, you care about me that much?\Will you be quiet?\I'm trying to make myself look good.\Take this!\Natsuki-san, we're leaving the forest!\Love...\Love... Love me.\Love alone is everything! response:	I can't take you with me to where Emilia is!
context: Will you be quiet?\I'm trying to make myself look good.\Take this!\Natsuki-san, we're leaving the forest!\Love...\Love... Love me.\Love alone is everything!\I can't take you with me to where Emilia is! response:	I'm gonna need your strength,
context: I'm trying to make myself look good.\Take this!\Natsuki-san, we're leaving the forest!\Love...\Love... Love me.\Love alone is everything!\I can't take you with me to where Emilia is!\I'm gonna need your strength, response:	Julius Euclius!
context: Take this!\Natsuki-san, we're leaving the forest!\Love...\Love... Love me.\Love alone is everything!\I can't take you with me to where Emilia is!\I'm gonna need your strength,\Julius Euclius! response:	Rental Goa!
context: Natsuki-san, we're leaving the forest!\Love...\Love... Love me.\Love alone is everything!\I can't take you with me to where Emilia is!\I'm gonna need your strength,\Julius Euclius!\Rental Goa! response:	Damn, that hurts...
context: Love...\Love... Love me.\Love alone is everything!\I can't take you with me to where Emilia is!\I'm gonna need your strength,\Julius Euclius!\Rental Goa!\Damn, that hurts... response:	Give it to me.
context: Love... Love me.\Love alone is everything!\I can't take you with me to where Emilia is!\I'm gonna need your strength,\Julius Euclius!\Rental Goa!\Damn, that hurts...\Give it to me. response:	Hand it over.
context: Love alone is everything!\I can't take you with me to where Emilia is!\I'm gonna need your strength,\Julius Euclius!\Rental Goa!\Damn, that hurts...\Give it to me.\Hand it over. response:	I told you...
context: I can't take you with me to where Emilia is!\I'm gonna need your strength,\Julius Euclius!\Rental Goa!\Damn, that hurts...\Give it to me.\Hand it over.\I told you... response:	Relinquish it!
context: I'm gonna need your strength,\Julius Euclius!\Rental Goa!\Damn, that hurts...\Give it to me.\Hand it over.\I told you...\Relinquish it! response:	If you try to enter my body, you're just gonna get hurt!
context: Julius Euclius!\Rental Goa!\Damn, that hurts...\Give it to me.\Hand it over.\I told you...\Relinquish it!\If you try to enter my body, you're just gonna get hurt! response:	The witch... Satella... Satella!
context: Rental Goa!\Damn, that hurts...\Give it to me.\Hand it over.\I told you...\Relinquish it!\If you try to enter my body, you're just gonna get hurt!\The witch... Satella... Satella! response:	I haven't forgotten a single moment of the things you did for me!
context: Damn, that hurts...\Give it to me.\Hand it over.\I told you...\Relinquish it!\If you try to enter my body, you're just gonna get hurt!\The witch... Satella... Satella!\I haven't forgotten a single moment of the things you did for me! response:	Even if you've forgotten, I'll... I'll...
context: Give it to me.\Hand it over.\I told you...\Relinquish it!\If you try to enter my body, you're just gonna get hurt!\The witch... Satella... Satella!\I haven't forgotten a single moment of the things you did for me!\Even if you've forgotten, I'll... I'll... response:	With all of my diligence,
context: Hand it over.\I told you...\Relinquish it!\If you try to enter my body, you're just gonna get hurt!\The witch... Satella... Satella!\I haven't forgotten a single moment of the things you did for me!\Even if you've forgotten, I'll... I'll...\With all of my diligence, response:	I'll part with my slothful self, to repay your love...
context: I told you...\Relinquish it!\If you try to enter my body, you're just gonna get hurt!\The witch... Satella... Satella!\I haven't forgotten a single moment of the things you did for me!\Even if you've forgotten, I'll... I'll...\With all of my diligence,\I'll part with my slothful self, to repay your love... response:	If you had stayed a monster...
context: Relinquish it!\If you try to enter my body, you're just gonna get hurt!\The witch... Satella... Satella!\I haven't forgotten a single moment of the things you did for me!\Even if you've forgotten, I'll... I'll...\With all of my diligence,\I'll part with my slothful self, to repay your love...\If you had stayed a monster... response:	You might have beaten me!
context: If you try to enter my body, you're just gonna get hurt!\The witch... Satella... Satella!\I haven't forgotten a single moment of the things you did for me!\Even if you've forgotten, I'll... I'll...\With all of my diligence,\I'll part with my slothful self, to repay your love...\If you had stayed a monster...\You might have beaten me! response:	Satella...
context: The witch... Satella... Satella!\I haven't forgotten a single moment of the things you did for me!\Even if you've forgotten, I'll... I'll...\With all of my diligence,\I'll part with my slothful self, to repay your love...\If you had stayed a monster...\You might have beaten me!\Satella... response:	This hasn't ended...
context: I haven't forgotten a single moment of the things you did for me!\Even if you've forgotten, I'll... I'll...\With all of my diligence,\I'll part with my slothful self, to repay your love...\If you had stayed a monster...\You might have beaten me!\Satella...\This hasn't ended... response:	It hasn't.
context: Even if you've forgotten, I'll... I'll...\With all of my diligence,\I'll part with my slothful self, to repay your love...\If you had stayed a monster...\You might have beaten me!\Satella...\This hasn't ended...\It hasn't. response:	No, it's over.
context: With all of my diligence,\I'll part with my slothful self, to repay your love...\If you had stayed a monster...\You might have beaten me!\Satella...\This hasn't ended...\It hasn't.\No, it's over. response:	As of now, you
context: I'll part with my slothful self, to repay your love...\If you had stayed a monster...\You might have beaten me!\Satella...\This hasn't ended...\It hasn't.\No, it's over.\As of now, you response:	are finished!
context: If you had stayed a monster...\You might have beaten me!\Satella...\This hasn't ended...\It hasn't.\No, it's over.\As of now, you\are finished! response:	Natsuki Subaru!
context: You might have beaten me!\Satella...\This hasn't ended...\It hasn't.\No, it's over.\As of now, you\are finished!\Natsuki Subaru! response:	This time, stay asleep forever, Betelgeuse.
context: Satella...\This hasn't ended...\It hasn't.\No, it's over.\As of now, you\are finished!\Natsuki Subaru!\This time, stay asleep forever, Betelgeuse. response:	Natsuki-san, look!
context: This hasn't ended...\It hasn't.\No, it's over.\As of now, you\are finished!\Natsuki Subaru!\This time, stay asleep forever, Betelgeuse.\Natsuki-san, look! response:	Wilhelm-san!
context: It hasn't.\No, it's over.\As of now, you\are finished!\Natsuki Subaru!\This time, stay asleep forever, Betelgeuse.\Natsuki-san, look!\Wilhelm-san! response:	Subaru-dono!
context: No, it's over.\As of now, you\are finished!\Natsuki Subaru!\This time, stay asleep forever, Betelgeuse.\Natsuki-san, look!\Wilhelm-san!\Subaru-dono! response:	Where's Emilia?
context: As of now, you\are finished!\Natsuki Subaru!\This time, stay asleep forever, Betelgeuse.\Natsuki-san, look!\Wilhelm-san!\Subaru-dono!\Where's Emilia? response:	Just ahead.
context: are finished!\Natsuki Subaru!\This time, stay asleep forever, Betelgeuse.\Natsuki-san, look!\Wilhelm-san!\Subaru-dono!\Where's Emilia?\Just ahead. response:	Go straight, toward the great tree.
context: Natsuki Subaru!\This time, stay asleep forever, Betelgeuse.\Natsuki-san, look!\Wilhelm-san!\Subaru-dono!\Where's Emilia?\Just ahead.\Go straight, toward the great tree. response:	This is the perfect chance to repay my debt.
context: This time, stay asleep forever, Betelgeuse.\Natsuki-san, look!\Wilhelm-san!\Subaru-dono!\Where's Emilia?\Just ahead.\Go straight, toward the great tree.\This is the perfect chance to repay my debt. response:	Who can stand in the way of a man on his way to see a woman?
context: Natsuki-san, look!\Wilhelm-san!\Subaru-dono!\Where's Emilia?\Just ahead.\Go straight, toward the great tree.\This is the perfect chance to repay my debt.\Who can stand in the way of a man on his way to see a woman? response:	Natsuki-san, I see it!
context: Wilhelm-san!\Subaru-dono!\Where's Emilia?\Just ahead.\Go straight, toward the great tree.\This is the perfect chance to repay my debt.\Who can stand in the way of a man on his way to see a woman?\Natsuki-san, I see it! response:	That's the carriage with the refugees!
context: Subaru-dono!\Where's Emilia?\Just ahead.\Go straight, toward the great tree.\This is the perfect chance to repay my debt.\Who can stand in the way of a man on his way to see a woman?\Natsuki-san, I see it!\That's the carriage with the refugees! response:	Back then, I promised.
context: Where's Emilia?\Just ahead.\Go straight, toward the great tree.\This is the perfect chance to repay my debt.\Who can stand in the way of a man on his way to see a woman?\Natsuki-san, I see it!\That's the carriage with the refugees!\Back then, I promised. response:	No matter what it takes...
context: Just ahead.\Go straight, toward the great tree.\This is the perfect chance to repay my debt.\Who can stand in the way of a man on his way to see a woman?\Natsuki-san, I see it!\That's the carriage with the refugees!\Back then, I promised.\No matter what it takes... response:	I'm going to save you.
context: Go straight, toward the great tree.\This is the perfect chance to repay my debt.\Who can stand in the way of a man on his way to see a woman?\Natsuki-san, I see it!\That's the carriage with the refugees!\Back then, I promised.\No matter what it takes...\I'm going to save you. response:	Are you thinking about Subaru?
context: This is the perfect chance to repay my debt.\Who can stand in the way of a man on his way to see a woman?\Natsuki-san, I see it!\That's the carriage with the refugees!\Back then, I promised.\No matter what it takes...\I'm going to save you.\Are you thinking about Subaru? response:	Yeah.
context: Who can stand in the way of a man on his way to see a woman?\Natsuki-san, I see it!\That's the carriage with the refugees!\Back then, I promised.\No matter what it takes...\I'm going to save you.\Are you thinking about Subaru?\Yeah. response:	But I still can't believe it.
context: Natsuki-san, I see it!\That's the carriage with the refugees!\Back then, I promised.\No matter what it takes...\I'm going to save you.\Are you thinking about Subaru?\Yeah.\But I still can't believe it. response:	If Subaru's really leading the army,
context: That's the carriage with the refugees!\Back then, I promised.\No matter what it takes...\I'm going to save you.\Are you thinking about Subaru?\Yeah.\But I still can't believe it.\If Subaru's really leading the army, response:	lots of things would make sense.
context: Back then, I promised.\No matter what it takes...\I'm going to save you.\Are you thinking about Subaru?\Yeah.\But I still can't believe it.\If Subaru's really leading the army,\lots of things would make sense. response:	Like why Ram didn't argue,
context: No matter what it takes...\I'm going to save you.\Are you thinking about Subaru?\Yeah.\But I still can't believe it.\If Subaru's really leading the army,\lots of things would make sense.\Like why Ram didn't argue, response:	and why the villagers agreed to evacuate.
context: I'm going to save you.\Are you thinking about Subaru?\Yeah.\But I still can't believe it.\If Subaru's really leading the army,\lots of things would make sense.\Like why Ram didn't argue,\and why the villagers agreed to evacuate. response:	But why?
context: Are you thinking about Subaru?\Yeah.\But I still can't believe it.\If Subaru's really leading the army,\lots of things would make sense.\Like why Ram didn't argue,\and why the villagers agreed to evacuate.\But why? response:	After all the pain and suffering he went through...
context: Yeah.\But I still can't believe it.\If Subaru's really leading the army,\lots of things would make sense.\Like why Ram didn't argue,\and why the villagers agreed to evacuate.\But why?\After all the pain and suffering he went through... response:	After I made him look so sad...
context: But I still can't believe it.\If Subaru's really leading the army,\lots of things would make sense.\Like why Ram didn't argue,\and why the villagers agreed to evacuate.\But why?\After all the pain and suffering he went through...\After I made him look so sad... response:	Why would he...
context: If Subaru's really leading the army,\lots of things would make sense.\Like why Ram didn't argue,\and why the villagers agreed to evacuate.\But why?\After all the pain and suffering he went through...\After I made him look so sad...\Why would he... response:	Lia, something is coming up behind us.
context: lots of things would make sense.\Like why Ram didn't argue,\and why the villagers agreed to evacuate.\But why?\After all the pain and suffering he went through...\After I made him look so sad...\Why would he...\Lia, something is coming up behind us. response:	Found them!
context: Like why Ram didn't argue,\and why the villagers agreed to evacuate.\But why?\After all the pain and suffering he went through...\After I made him look so sad...\Why would he...\Lia, something is coming up behind us.\Found them! response:	I thought this reunion was sudden. So that's why you're here.
context: and why the villagers agreed to evacuate.\But why?\After all the pain and suffering he went through...\After I made him look so sad...\Why would he...\Lia, something is coming up behind us.\Found them!\I thought this reunion was sudden. So that's why you're here. response:	Wait! Why?
context: But why?\After all the pain and suffering he went through...\After I made him look so sad...\Why would he...\Lia, something is coming up behind us.\Found them!\I thought this reunion was sudden. So that's why you're here.\Wait! Why? response:	Why?
context: After all the pain and suffering he went through...\After I made him look so sad...\Why would he...\Lia, something is coming up behind us.\Found them!\I thought this reunion was sudden. So that's why you're here.\Wait! Why?\Why? response:	I love you, Emilia.
context: After I made him look so sad...\Why would he...\Lia, something is coming up behind us.\Found them!\I thought this reunion was sudden. So that's why you're here.\Wait! Why?\Why?\I love you, Emilia. response:	Damn it!
context: Why would he...\Lia, something is coming up behind us.\Found them!\I thought this reunion was sudden. So that's why you're here.\Wait! Why?\Why?\I love you, Emilia.\Damn it! response:	Get there in time!
context: Lia, something is coming up behind us.\Found them!\I thought this reunion was sudden. So that's why you're here.\Wait! Why?\Why?\I love you, Emilia.\Damn it!\Get there in time! response:	Thank you, Subaru.
context: Found them!\I thought this reunion was sudden. So that's why you're here.\Wait! Why?\Why?\I love you, Emilia.\Damn it!\Get there in time!\Thank you, Subaru. response:	For saving me.
context: I thought this reunion was sudden. So that's why you're here.\Wait! Why?\Why?\I love you, Emilia.\Damn it!\Get there in time!\Thank you, Subaru.\For saving me. response:	Where am I?
context: Wait! Why?\Why?\I love you, Emilia.\Damn it!\Get there in time!\Thank you, Subaru.\For saving me.\Where am I? response:	I can't see a thing.
context: Why?\I love you, Emilia.\Damn it!\Get there in time!\Thank you, Subaru.\For saving me.\Where am I?\I can't see a thing. response:	I can't hear a thing.
context: I love you, Emilia.\Damn it!\Get there in time!\Thank you, Subaru.\For saving me.\Where am I?\I can't see a thing.\I can't hear a thing. response:	Is that witch lady coming to grab my heart again?
context: Damn it!\Get there in time!\Thank you, Subaru.\For saving me.\Where am I?\I can't see a thing.\I can't hear a thing.\Is that witch lady coming to grab my heart again? response:	I don't feel too bad, though.
context: Get there in time!\Thank you, Subaru.\For saving me.\Where am I?\I can't see a thing.\I can't hear a thing.\Is that witch lady coming to grab my heart again?\I don't feel too bad, though. response:	Subaru!
context: Thank you, Subaru.\For saving me.\Where am I?\I can't see a thing.\I can't hear a thing.\Is that witch lady coming to grab my heart again?\I don't feel too bad, though.\Subaru! response:	Subaru!
