context: Hey, what do you think of Akira? response:	She's the most levelheaded of the Three Great Water Fairies.
context: Oh, you already switched to your summer uniform?\Yes!\As always, she's a genius at making friends. It looks nice on you, Akari!\As always, she's a genius at making friends. Yes, thank you very much!\She really looks happier than usual, too.\I am, because everyone could feel the coming of summer by seeing my uniform.\It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer. response:	Enough! No sappy lines al...
context: Yes!\As always, she's a genius at making friends. It looks nice on you, Akari!\As always, she's a genius at making friends. Yes, thank you very much!\She really looks happier than usual, too.\I am, because everyone could feel the coming of summer by seeing my uniform.\It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al... response:	What's the matter? Aren't you going to scold her today?
context: As always, she's a genius at making friends. It looks nice on you, Akari!\As always, she's a genius at making friends. Yes, thank you very much!\She really looks happier than usual, too.\I am, because everyone could feel the coming of summer by seeing my uniform.\It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al...\What's the matter? Aren't you going to scold her today? response:	No sappy lines... allowed...
context: As always, she's a genius at making friends. Yes, thank you very much!\She really looks happier than usual, too.\I am, because everyone could feel the coming of summer by seeing my uniform.\It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al...\What's the matter? Aren't you going to scold her today?\No sappy lines... allowed... response:	Those two were bestowed with natural talent. They're actually geniuses, don't you think?
context: She really looks happier than usual, too.\I am, because everyone could feel the coming of summer by seeing my uniform.\It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al...\What's the matter? Aren't you going to scold her today?\No sappy lines... allowed...\Those two were bestowed with natural talent. They're actually geniuses, don't you think? response:	See you, Aika!
context: I am, because everyone could feel the coming of summer by seeing my uniform.\It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al...\What's the matter? Aren't you going to scold her today?\No sappy lines... allowed...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\See you, Aika! response:	Good work today!
context: It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al...\What's the matter? Aren't you going to scold her today?\No sappy lines... allowed...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\See you, Aika!\Good work today! response:	I see...
context: Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer.\Enough! No sappy lines al...\What's the matter? Aren't you going to scold her today?\No sappy lines... allowed...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\See you, Aika!\Good work today!\I see... response:	Those two haven't realized.
context: Enough! No sappy lines al...\What's the matter? Aren't you going to scold her today?\No sappy lines... allowed...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\See you, Aika!\Good work today!\I see...\Those two haven't realized. response:	You can be levelheaded...
context: What's the matter? Aren't you going to scold her today?\No sappy lines... allowed...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\See you, Aika!\Good work today!\I see...\Those two haven't realized.\You can be levelheaded... response:	But compared to being gifted with natural talent...
context: No sappy lines... allowed...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\See you, Aika!\Good work today!\I see...\Those two haven't realized.\You can be levelheaded...\But compared to being gifted with natural talent... response:	Are you still cleaning?! How many days has it been since you started?!
context: Those two were bestowed with natural talent. They're actually geniuses, don't you think?\See you, Aika!\Good work today!\I see...\Those two haven't realized.\You can be levelheaded...\But compared to being gifted with natural talent...\Are you still cleaning?! How many days has it been since you started?! response:	It can't be helped. I'm doing it a bit at a time, in between work.
context: See you, Aika!\Good work today!\I see...\Those two haven't realized.\You can be levelheaded...\But compared to being gifted with natural talent...\Are you still cleaning?! How many days has it been since you started?!\It can't be helped. I'm doing it a bit at a time, in between work. response:	Besides, your stuff is blocking the hallway!
context: Good work today!\I see...\Those two haven't realized.\You can be levelheaded...\But compared to being gifted with natural talent...\Are you still cleaning?! How many days has it been since you started?!\It can't be helped. I'm doing it a bit at a time, in between work.\Besides, your stuff is blocking the hallway! response:	It can't be helped. I'm cleaning, after all.
context: I see...\Those two haven't realized.\You can be levelheaded...\But compared to being gifted with natural talent...\Are you still cleaning?! How many days has it been since you started?!\It can't be helped. I'm doing it a bit at a time, in between work.\Besides, your stuff is blocking the hallway!\It can't be helped. I'm cleaning, after all. response:	You're blocking traffic!
context: Those two haven't realized.\You can be levelheaded...\But compared to being gifted with natural talent...\Are you still cleaning?! How many days has it been since you started?!\It can't be helped. I'm doing it a bit at a time, in between work.\Besides, your stuff is blocking the hallway!\It can't be helped. I'm cleaning, after all.\You're blocking traffic! response:	You're feisty today. Did something happen?
context: You can be levelheaded...\But compared to being gifted with natural talent...\Are you still cleaning?! How many days has it been since you started?!\It can't be helped. I'm doing it a bit at a time, in between work.\Besides, your stuff is blocking the hallway!\It can't be helped. I'm cleaning, after all.\You're blocking traffic!\You're feisty today. Did something happen? response:	Excuse me...
context: But compared to being gifted with natural talent...\Are you still cleaning?! How many days has it been since you started?!\It can't be helped. I'm doing it a bit at a time, in between work.\Besides, your stuff is blocking the hallway!\It can't be helped. I'm cleaning, after all.\You're blocking traffic!\You're feisty today. Did something happen?\Excuse me... response:	I cordially decline...
context: Are you still cleaning?! How many days has it been since you started?!\It can't be helped. I'm doing it a bit at a time, in between work.\Besides, your stuff is blocking the hallway!\It can't be helped. I'm cleaning, after all.\You're blocking traffic!\You're feisty today. Did something happen?\Excuse me...\I cordially decline... response:	I'm... not... going to... help...
context: It can't be helped. I'm doing it a bit at a time, in between work.\Besides, your stuff is blocking the hallway!\It can't be helped. I'm cleaning, after all.\You're blocking traffic!\You're feisty today. Did something happen?\Excuse me...\I cordially decline...\I'm... not... going to... help... response:	You understand, don't you?
context: Besides, your stuff is blocking the hallway!\It can't be helped. I'm cleaning, after all.\You're blocking traffic!\You're feisty today. Did something happen?\Excuse me...\I cordially decline...\I'm... not... going to... help...\You understand, don't you? response:	Cleaning your room is like cleaning your heart.
context: It can't be helped. I'm cleaning, after all.\You're blocking traffic!\You're feisty today. Did something happen?\Excuse me...\I cordially decline...\I'm... not... going to... help...\You understand, don't you?\Cleaning your room is like cleaning your heart. response:	It feels great when it's clean, doesn't it?
context: You're blocking traffic!\You're feisty today. Did something happen?\Excuse me...\I cordially decline...\I'm... not... going to... help...\You understand, don't you?\Cleaning your room is like cleaning your heart.\It feels great when it's clean, doesn't it? response:	We're not done yet.
context: You're feisty today. Did something happen?\Excuse me...\I cordially decline...\I'm... not... going to... help...\You understand, don't you?\Cleaning your room is like cleaning your heart.\It feels great when it's clean, doesn't it?\We're not done yet. response:	Wow, you look young!
context: Excuse me...\I cordially decline...\I'm... not... going to... help...\You understand, don't you?\Cleaning your room is like cleaning your heart.\It feels great when it's clean, doesn't it?\We're not done yet.\Wow, you look young! response:	Oh, you found some nostalgic stuff there.
context: I cordially decline...\I'm... not... going to... help...\You understand, don't you?\Cleaning your room is like cleaning your heart.\It feels great when it's clean, doesn't it?\We're not done yet.\Wow, you look young!\Oh, you found some nostalgic stuff there. response:	Akira's the only Single...
context: I'm... not... going to... help...\You understand, don't you?\Cleaning your room is like cleaning your heart.\It feels great when it's clean, doesn't it?\We're not done yet.\Wow, you look young!\Oh, you found some nostalgic stuff there.\Akira's the only Single... response:	This photo is back from when Athena was promoted to a Prima.
context: You understand, don't you?\Cleaning your room is like cleaning your heart.\It feels great when it's clean, doesn't it?\We're not done yet.\Wow, you look young!\Oh, you found some nostalgic stuff there.\Akira's the only Single...\This photo is back from when Athena was promoted to a Prima. response:	Between the three of us, I was promoted last.
context: Cleaning your room is like cleaning your heart.\It feels great when it's clean, doesn't it?\We're not done yet.\Wow, you look young!\Oh, you found some nostalgic stuff there.\Akira's the only Single...\This photo is back from when Athena was promoted to a Prima.\Between the three of us, I was promoted last. response:	Pathetic, right?
context: It feels great when it's clean, doesn't it?\We're not done yet.\Wow, you look young!\Oh, you found some nostalgic stuff there.\Akira's the only Single...\This photo is back from when Athena was promoted to a Prima.\Between the three of us, I was promoted last.\Pathetic, right? response:	How can you...
context: We're not done yet.\Wow, you look young!\Oh, you found some nostalgic stuff there.\Akira's the only Single...\This photo is back from when Athena was promoted to a Prima.\Between the three of us, I was promoted last.\Pathetic, right?\How can you... response:	It was difficult, wasn't it? It was painful, wasn't it?!
context: Wow, you look young!\Oh, you found some nostalgic stuff there.\Akira's the only Single...\This photo is back from when Athena was promoted to a Prima.\Between the three of us, I was promoted last.\Pathetic, right?\How can you...\It was difficult, wasn't it? It was painful, wasn't it?! response:	I know you hate to lose...
context: Oh, you found some nostalgic stuff there.\Akira's the only Single...\This photo is back from when Athena was promoted to a Prima.\Between the three of us, I was promoted last.\Pathetic, right?\How can you...\It was difficult, wasn't it? It was painful, wasn't it?!\I know you hate to lose... response:	So it definitely must have... hurt...
context: Akira's the only Single...\This photo is back from when Athena was promoted to a Prima.\Between the three of us, I was promoted last.\Pathetic, right?\How can you...\It was difficult, wasn't it? It was painful, wasn't it?!\I know you hate to lose...\So it definitely must have... hurt... response:	Unlike those two...
context: This photo is back from when Athena was promoted to a Prima.\Between the three of us, I was promoted last.\Pathetic, right?\How can you...\It was difficult, wasn't it? It was painful, wasn't it?!\I know you hate to lose...\So it definitely must have... hurt...\Unlike those two... response:	Working hard wasn't enough to make me a Prima.
context: Between the three of us, I was promoted last.\Pathetic, right?\How can you...\It was difficult, wasn't it? It was painful, wasn't it?!\I know you hate to lose...\So it definitely must have... hurt...\Unlike those two...\Working hard wasn't enough to make me a Prima. response:	That's why I ended up taking longer than those two.
context: Pathetic, right?\How can you...\It was difficult, wasn't it? It was painful, wasn't it?!\I know you hate to lose...\So it definitely must have... hurt...\Unlike those two...\Working hard wasn't enough to make me a Prima.\That's why I ended up taking longer than those two. response:	That's all.
context: How can you...\It was difficult, wasn't it? It was painful, wasn't it?!\I know you hate to lose...\So it definitely must have... hurt...\Unlike those two...\Working hard wasn't enough to make me a Prima.\That's why I ended up taking longer than those two.\That's all. response:	Wasn't it hard for you?
context: It was difficult, wasn't it? It was painful, wasn't it?!\I know you hate to lose...\So it definitely must have... hurt...\Unlike those two...\Working hard wasn't enough to make me a Prima.\That's why I ended up taking longer than those two.\That's all.\Wasn't it hard for you? response:	It sure was!
context: I know you hate to lose...\So it definitely must have... hurt...\Unlike those two...\Working hard wasn't enough to make me a Prima.\That's why I ended up taking longer than those two.\That's all.\Wasn't it hard for you?\It sure was! response:	After getting left behind as the only Single, I was really depressed.
context: So it definitely must have... hurt...\Unlike those two...\Working hard wasn't enough to make me a Prima.\That's why I ended up taking longer than those two.\That's all.\Wasn't it hard for you?\It sure was!\After getting left behind as the only Single, I was really depressed. response:	But you know what?
context: Unlike those two...\Working hard wasn't enough to make me a Prima.\That's why I ended up taking longer than those two.\That's all.\Wasn't it hard for you?\It sure was!\After getting left behind as the only Single, I was really depressed.\But you know what? response:	They're both great people...
context: Working hard wasn't enough to make me a Prima.\That's why I ended up taking longer than those two.\That's all.\Wasn't it hard for you?\It sure was!\After getting left behind as the only Single, I was really depressed.\But you know what?\They're both great people... response:	Their rank and mine were two separate issues.
context: That's why I ended up taking longer than those two.\That's all.\Wasn't it hard for you?\It sure was!\After getting left behind as the only Single, I was really depressed.\But you know what?\They're both great people...\Their rank and mine were two separate issues. response:	How can you be so strong?
context: That's all.\Wasn't it hard for you?\It sure was!\After getting left behind as the only Single, I was really depressed.\But you know what?\They're both great people...\Their rank and mine were two separate issues.\How can you be so strong? response:	What is it that gives you the strength...
context: Wasn't it hard for you?\It sure was!\After getting left behind as the only Single, I was really depressed.\But you know what?\They're both great people...\Their rank and mine were two separate issues.\How can you be so strong?\What is it that gives you the strength... response:	Can I tell you an old story?
context: It sure was!\After getting left behind as the only Single, I was really depressed.\But you know what?\They're both great people...\Their rank and mine were two separate issues.\How can you be so strong?\What is it that gives you the strength...\Can I tell you an old story? response:	It was when Athena got promoted to Prima after Alicia.
context: After getting left behind as the only Single, I was really depressed.\But you know what?\They're both great people...\Their rank and mine were two separate issues.\How can you be so strong?\What is it that gives you the strength...\Can I tell you an old story?\It was when Athena got promoted to Prima after Alicia. response:	Yeah, it was right after we took this photo.
context: But you know what?\They're both great people...\Their rank and mine were two separate issues.\How can you be so strong?\What is it that gives you the strength...\Can I tell you an old story?\It was when Athena got promoted to Prima after Alicia.\Yeah, it was right after we took this photo. response:	Congratulations, Athena!
context: They're both great people...\Their rank and mine were two separate issues.\How can you be so strong?\What is it that gives you the strength...\Can I tell you an old story?\It was when Athena got promoted to Prima after Alicia.\Yeah, it was right after we took this photo.\Congratulations, Athena! response:	Thank you.
context: Their rank and mine were two separate issues.\How can you be so strong?\What is it that gives you the strength...\Can I tell you an old story?\It was when Athena got promoted to Prima after Alicia.\Yeah, it was right after we took this photo.\Congratulations, Athena!\Thank you. response:	To think the day would come when Athena would become a Prima...
context: How can you be so strong?\What is it that gives you the strength...\Can I tell you an old story?\It was when Athena got promoted to Prima after Alicia.\Yeah, it was right after we took this photo.\Congratulations, Athena!\Thank you.\To think the day would come when Athena would become a Prima... response:	Ehh? My, my.
context: What is it that gives you the strength...\Can I tell you an old story?\It was when Athena got promoted to Prima after Alicia.\Yeah, it was right after we took this photo.\Congratulations, Athena!\Thank you.\To think the day would come when Athena would become a Prima...\Ehh? My, my. response:	Just kidding!
context: Can I tell you an old story?\It was when Athena got promoted to Prima after Alicia.\Yeah, it was right after we took this photo.\Congratulations, Athena!\Thank you.\To think the day would come when Athena would become a Prima...\Ehh? My, my.\Just kidding! response:	Congratulations, Athena!
context: It was when Athena got promoted to Prima after Alicia.\Yeah, it was right after we took this photo.\Congratulations, Athena!\Thank you.\To think the day would come when Athena would become a Prima...\Ehh? My, my.\Just kidding!\Congratulations, Athena! response:	Thank you.
context: Yeah, it was right after we took this photo.\Congratulations, Athena!\Thank you.\To think the day would come when Athena would become a Prima...\Ehh? My, my.\Just kidding!\Congratulations, Athena!\Thank you. response:	Now it's your turn, Akira.
context: Congratulations, Athena!\Thank you.\To think the day would come when Athena would become a Prima...\Ehh? My, my.\Just kidding!\Congratulations, Athena!\Thank you.\Now it's your turn, Akira. response:	Yup! Leave it to me!
context: Thank you.\To think the day would come when Athena would become a Prima...\Ehh? My, my.\Just kidding!\Congratulations, Athena!\Thank you.\Now it's your turn, Akira.\Yup! Leave it to me! response:	They always say, Save the best for last!
context: To think the day would come when Athena would become a Prima...\Ehh? My, my.\Just kidding!\Congratulations, Athena!\Thank you.\Now it's your turn, Akira.\Yup! Leave it to me!\They always say, Save the best for last! response:	Another beautiful day...
context: Ehh? My, my.\Just kidding!\Congratulations, Athena!\Thank you.\Now it's your turn, Akira.\Yup! Leave it to me!\They always say, Save the best for last!\Another beautiful day... response:	I wonder when it started?
context: Just kidding!\Congratulations, Athena!\Thank you.\Now it's your turn, Akira.\Yup! Leave it to me!\They always say, Save the best for last!\Another beautiful day...\I wonder when it started? response:	My heart sinks when I smile in their presence.
context: Congratulations, Athena!\Thank you.\Now it's your turn, Akira.\Yup! Leave it to me!\They always say, Save the best for last!\Another beautiful day...\I wonder when it started?\My heart sinks when I smile in their presence. response:	This anxious feeling that I might get left behind... it refuses to leave me...
context: Thank you.\Now it's your turn, Akira.\Yup! Leave it to me!\They always say, Save the best for last!\Another beautiful day...\I wonder when it started?\My heart sinks when I smile in their presence.\This anxious feeling that I might get left behind... it refuses to leave me... response:	Those two really are amazing.
context: Now it's your turn, Akira.\Yup! Leave it to me!\They always say, Save the best for last!\Another beautiful day...\I wonder when it started?\My heart sinks when I smile in their presence.\This anxious feeling that I might get left behind... it refuses to leave me...\Those two really are amazing. response:	They were born with extraordinary gifts that I don't possess.
context: Yup! Leave it to me!\They always say, Save the best for last!\Another beautiful day...\I wonder when it started?\My heart sinks when I smile in their presence.\This anxious feeling that I might get left behind... it refuses to leave me...\Those two really are amazing.\They were born with extraordinary gifts that I don't possess. response:	The sky is so blue...
context: They always say, Save the best for last!\Another beautiful day...\I wonder when it started?\My heart sinks when I smile in their presence.\This anxious feeling that I might get left behind... it refuses to leave me...\Those two really are amazing.\They were born with extraordinary gifts that I don't possess.\The sky is so blue... response:	Clover?
context: Another beautiful day...\I wonder when it started?\My heart sinks when I smile in their presence.\This anxious feeling that I might get left behind... it refuses to leave me...\Those two really are amazing.\They were born with extraordinary gifts that I don't possess.\The sky is so blue...\Clover? response:	Just ordinary, three-leaf clovers...
context: I wonder when it started?\My heart sinks when I smile in their presence.\This anxious feeling that I might get left behind... it refuses to leave me...\Those two really are amazing.\They were born with extraordinary gifts that I don't possess.\The sky is so blue...\Clover?\Just ordinary, three-leaf clovers... response:	I wonder if there's a four-leaf?
context: My heart sinks when I smile in their presence.\This anxious feeling that I might get left behind... it refuses to leave me...\Those two really are amazing.\They were born with extraordinary gifts that I don't possess.\The sky is so blue...\Clover?\Just ordinary, three-leaf clovers...\I wonder if there's a four-leaf? response:	None.
context: This anxious feeling that I might get left behind... it refuses to leave me...\Those two really are amazing.\They were born with extraordinary gifts that I don't possess.\The sky is so blue...\Clover?\Just ordinary, three-leaf clovers...\I wonder if there's a four-leaf?\None. response:	I always tried not to think about it.
context: Those two really are amazing.\They were born with extraordinary gifts that I don't possess.\The sky is so blue...\Clover?\Just ordinary, three-leaf clovers...\I wonder if there's a four-leaf?\None.\I always tried not to think about it. response:	None.
context: They were born with extraordinary gifts that I don't possess.\The sky is so blue...\Clover?\Just ordinary, three-leaf clovers...\I wonder if there's a four-leaf?\None.\I always tried not to think about it.\None. response:	Am I really one of the unblessed?
context: The sky is so blue...\Clover?\Just ordinary, three-leaf clovers...\I wonder if there's a four-leaf?\None.\I always tried not to think about it.\None.\Am I really one of the unblessed? response:	None, none!
context: Clover?\Just ordinary, three-leaf clovers...\I wonder if there's a four-leaf?\None.\I always tried not to think about it.\None.\Am I really one of the unblessed?\None, none! response:	There are blessed, special people who can become Primas...
context: Just ordinary, three-leaf clovers...\I wonder if there's a four-leaf?\None.\I always tried not to think about it.\None.\Am I really one of the unblessed?\None, none!\There are blessed, special people who can become Primas... response:	None, none, none!
context: I wonder if there's a four-leaf?\None.\I always tried not to think about it.\None.\Am I really one of the unblessed?\None, none!\There are blessed, special people who can become Primas...\None, none, none! response:	I have no heavenly gift...
context: None.\I always tried not to think about it.\None.\Am I really one of the unblessed?\None, none!\There are blessed, special people who can become Primas...\None, none, none!\I have no heavenly gift... response:	Hey lady, are you looking for a four-leaf clover?
context: I always tried not to think about it.\None.\Am I really one of the unblessed?\None, none!\There are blessed, special people who can become Primas...\None, none, none!\I have no heavenly gift...\Hey lady, are you looking for a four-leaf clover? response:	Ah, yeah...
context: None.\Am I really one of the unblessed?\None, none!\There are blessed, special people who can become Primas...\None, none, none!\I have no heavenly gift...\Hey lady, are you looking for a four-leaf clover?\Ah, yeah... response:	If I recall correctly, she's the daughter of Himeya's owner...
context: Am I really one of the unblessed?\None, none!\There are blessed, special people who can become Primas...\None, none, none!\I have no heavenly gift...\Hey lady, are you looking for a four-leaf clover?\Ah, yeah...\If I recall correctly, she's the daughter of Himeya's owner... response:	Is there something on my face?
context: None, none!\There are blessed, special people who can become Primas...\None, none, none!\I have no heavenly gift...\Hey lady, are you looking for a four-leaf clover?\Ah, yeah...\If I recall correctly, she's the daughter of Himeya's owner...\Is there something on my face? response:	Ah, no...
context: There are blessed, special people who can become Primas...\None, none, none!\I have no heavenly gift...\Hey lady, are you looking for a four-leaf clover?\Ah, yeah...\If I recall correctly, she's the daughter of Himeya's owner...\Is there something on my face?\Ah, no... response:	Of course she wouldn't know who I am.
context: None, none, none!\I have no heavenly gift...\Hey lady, are you looking for a four-leaf clover?\Ah, yeah...\If I recall correctly, she's the daughter of Himeya's owner...\Is there something on my face?\Ah, no...\Of course she wouldn't know who I am. response:	An ordinary Single Undine like me...
context: I have no heavenly gift...\Hey lady, are you looking for a four-leaf clover?\Ah, yeah...\If I recall correctly, she's the daughter of Himeya's owner...\Is there something on my face?\Ah, no...\Of course she wouldn't know who I am.\An ordinary Single Undine like me... response:	Hmm... Nope, none here.
context: Hey lady, are you looking for a four-leaf clover?\Ah, yeah...\If I recall correctly, she's the daughter of Himeya's owner...\Is there something on my face?\Ah, no...\Of course she wouldn't know who I am.\An ordinary Single Undine like me...\Hmm... Nope, none here. response:	You can tell there aren't any four-leaf clovers here because it's such a small flowerbed.
context: Ah, yeah...\If I recall correctly, she's the daughter of Himeya's owner...\Is there something on my face?\Ah, no...\Of course she wouldn't know who I am.\An ordinary Single Undine like me...\Hmm... Nope, none here.\You can tell there aren't any four-leaf clovers here because it's such a small flowerbed. response:	Why don't you give up?
context: If I recall correctly, she's the daughter of Himeya's owner...\Is there something on my face?\Ah, no...\Of course she wouldn't know who I am.\An ordinary Single Undine like me...\Hmm... Nope, none here.\You can tell there aren't any four-leaf clovers here because it's such a small flowerbed.\Why don't you give up? response:	You don't have what you don't have. It can't be helped.
context: Is there something on my face?\Ah, no...\Of course she wouldn't know who I am.\An ordinary Single Undine like me...\Hmm... Nope, none here.\You can tell there aren't any four-leaf clovers here because it's such a small flowerbed.\Why don't you give up?\You don't have what you don't have. It can't be helped. response:	Miss?
context: Ah, no...\Of course she wouldn't know who I am.\An ordinary Single Undine like me...\Hmm... Nope, none here.\You can tell there aren't any four-leaf clovers here because it's such a small flowerbed.\Why don't you give up?\You don't have what you don't have. It can't be helped.\Miss? response:	You don't have... what you don't have...
context: Of course she wouldn't know who I am.\An ordinary Single Undine like me...\Hmm... Nope, none here.\You can tell there aren't any four-leaf clovers here because it's such a small flowerbed.\Why don't you give up?\You don't have what you don't have. It can't be helped.\Miss?\You don't have... what you don't have... response:	It's all right!
context: An ordinary Single Undine like me...\Hmm... Nope, none here.\You can tell there aren't any four-leaf clovers here because it's such a small flowerbed.\Why don't you give up?\You don't have what you don't have. It can't be helped.\Miss?\You don't have... what you don't have...\It's all right! response:	If you don't have something, all you need to do is make it!
context: Hmm... Nope, none here.\You can tell there aren't any four-leaf clovers here because it's such a small flowerbed.\Why don't you give up?\You don't have what you don't have. It can't be helped.\Miss?\You don't have... what you don't have...\It's all right!\If you don't have something, all you need to do is make it! response:	See? A cute four-leaf clover, done!
context: You can tell there aren't any four-leaf clovers here because it's such a small flowerbed.\Why don't you give up?\You don't have what you don't have. It can't be helped.\Miss?\You don't have... what you don't have...\It's all right!\If you don't have something, all you need to do is make it!\See? A cute four-leaf clover, done! response:	I like this kind a lot better!
context: Why don't you give up?\You don't have what you don't have. It can't be helped.\Miss?\You don't have... what you don't have...\It's all right!\If you don't have something, all you need to do is make it!\See? A cute four-leaf clover, done!\I like this kind a lot better! response:	Look, this red rose petal is your heart.
context: You don't have what you don't have. It can't be helped.\Miss?\You don't have... what you don't have...\It's all right!\If you don't have something, all you need to do is make it!\See? A cute four-leaf clover, done!\I like this kind a lot better!\Look, this red rose petal is your heart. response:	Now you'll be okay, right, Miss?
context: Miss?\You don't have... what you don't have...\It's all right!\If you don't have something, all you need to do is make it!\See? A cute four-leaf clover, done!\I like this kind a lot better!\Look, this red rose petal is your heart.\Now you'll be okay, right, Miss? response:	At that moment, a girl much younger than I taught me something very precious.
context: You don't have... what you don't have...\It's all right!\If you don't have something, all you need to do is make it!\See? A cute four-leaf clover, done!\I like this kind a lot better!\Look, this red rose petal is your heart.\Now you'll be okay, right, Miss?\At that moment, a girl much younger than I taught me something very precious. response:	If a genius is someone who's been bestowed with a gift from the heavens...
context: It's all right!\If you don't have something, all you need to do is make it!\See? A cute four-leaf clover, done!\I like this kind a lot better!\Look, this red rose petal is your heart.\Now you'll be okay, right, Miss?\At that moment, a girl much younger than I taught me something very precious.\If a genius is someone who's been bestowed with a gift from the heavens... response:	Yes... I'll become a prodigy!
context: If you don't have something, all you need to do is make it!\See? A cute four-leaf clover, done!\I like this kind a lot better!\Look, this red rose petal is your heart.\Now you'll be okay, right, Miss?\At that moment, a girl much younger than I taught me something very precious.\If a genius is someone who's been bestowed with a gift from the heavens...\Yes... I'll become a prodigy! response:	What a great story!
context: See? A cute four-leaf clover, done!\I like this kind a lot better!\Look, this red rose petal is your heart.\Now you'll be okay, right, Miss?\At that moment, a girl much younger than I taught me something very precious.\If a genius is someone who's been bestowed with a gift from the heavens...\Yes... I'll become a prodigy!\What a great story! response:	I guess she doesn't remember. Makes sense, though.
context: I like this kind a lot better!\Look, this red rose petal is your heart.\Now you'll be okay, right, Miss?\At that moment, a girl much younger than I taught me something very precious.\If a genius is someone who's been bestowed with a gift from the heavens...\Yes... I'll become a prodigy!\What a great story!\I guess she doesn't remember. Makes sense, though. response:	Aika, you can have that bookmark if you want.
context: Look, this red rose petal is your heart.\Now you'll be okay, right, Miss?\At that moment, a girl much younger than I taught me something very precious.\If a genius is someone who's been bestowed with a gift from the heavens...\Yes... I'll become a prodigy!\What a great story!\I guess she doesn't remember. Makes sense, though.\Aika, you can have that bookmark if you want. response:	Eh? B-But isn't this your precious treasure?
context: Now you'll be okay, right, Miss?\At that moment, a girl much younger than I taught me something very precious.\If a genius is someone who's been bestowed with a gift from the heavens...\Yes... I'll become a prodigy!\What a great story!\I guess she doesn't remember. Makes sense, though.\Aika, you can have that bookmark if you want.\Eh? B-But isn't this your precious treasure? response:	Yup, and it's also an effective good luck charm for aspiring Primas.
context: At that moment, a girl much younger than I taught me something very precious.\If a genius is someone who's been bestowed with a gift from the heavens...\Yes... I'll become a prodigy!\What a great story!\I guess she doesn't remember. Makes sense, though.\Aika, you can have that bookmark if you want.\Eh? B-But isn't this your precious treasure?\Yup, and it's also an effective good luck charm for aspiring Primas. response:	I'll treasure it!
context: If a genius is someone who's been bestowed with a gift from the heavens...\Yes... I'll become a prodigy!\What a great story!\I guess she doesn't remember. Makes sense, though.\Aika, you can have that bookmark if you want.\Eh? B-But isn't this your precious treasure?\Yup, and it's also an effective good luck charm for aspiring Primas.\I'll treasure it! response:	Ah, Akira, this red petal is from a rose, right?
context: Yes... I'll become a prodigy!\What a great story!\I guess she doesn't remember. Makes sense, though.\Aika, you can have that bookmark if you want.\Eh? B-But isn't this your precious treasure?\Yup, and it's also an effective good luck charm for aspiring Primas.\I'll treasure it!\Ah, Akira, this red petal is from a rose, right? response:	Yeah.
context: What a great story!\I guess she doesn't remember. Makes sense, though.\Aika, you can have that bookmark if you want.\Eh? B-But isn't this your precious treasure?\Yup, and it's also an effective good luck charm for aspiring Primas.\I'll treasure it!\Ah, Akira, this red petal is from a rose, right?\Yeah. response:	Could this be where you got your alias Crimson Rose from?
context: I guess she doesn't remember. Makes sense, though.\Aika, you can have that bookmark if you want.\Eh? B-But isn't this your precious treasure?\Yup, and it's also an effective good luck charm for aspiring Primas.\I'll treasure it!\Ah, Akira, this red petal is from a rose, right?\Yeah.\Could this be where you got your alias Crimson Rose from? response:	Well, well, I wonder about that one!
context: Aika, you can have that bookmark if you want.\Eh? B-But isn't this your precious treasure?\Yup, and it's also an effective good luck charm for aspiring Primas.\I'll treasure it!\Ah, Akira, this red petal is from a rose, right?\Yeah.\Could this be where you got your alias Crimson Rose from?\Well, well, I wonder about that one! response:	Hey, Akari! Stop daydreaming!
