context: Anyway, she's a shy girl. response:	She makes you want to cheer her on.
context: So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\It's our problem, so piss off.\Get lost already. response:	I want to be friends with you two.
context: Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\It's our problem, so piss off.\Get lost already.\I want to be friends with you two. response:	You're an idiot.
context: You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\It's our problem, so piss off.\Get lost already.\I want to be friends with you two.\You're an idiot. response:	Don't you know? We adore you so much.
context: after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\It's our problem, so piss off.\Get lost already.\I want to be friends with you two.\You're an idiot.\Don't you know? We adore you so much. response:	Don't you know?
context: It wasn't Sadako.\She wouldn't do that.\It's our problem, so piss off.\Get lost already.\I want to be friends with you two.\You're an idiot.\Don't you know? We adore you so much.\Don't you know? response:	Becoming friends happens before you know it.
context: She wouldn't do that.\It's our problem, so piss off.\Get lost already.\I want to be friends with you two.\You're an idiot.\Don't you know? We adore you so much.\Don't you know?\Becoming friends happens before you know it. response:	We were already friends, Sadako.
context: It's our problem, so piss off.\Get lost already.\I want to be friends with you two.\You're an idiot.\Don't you know? We adore you so much.\Don't you know?\Becoming friends happens before you know it.\We were already friends, Sadako. response:	Friends?
context: Get lost already.\I want to be friends with you two.\You're an idiot.\Don't you know? We adore you so much.\Don't you know?\Becoming friends happens before you know it.\We were already friends, Sadako.\Friends? response:	We were?
context: I want to be friends with you two.\You're an idiot.\Don't you know? We adore you so much.\Don't you know?\Becoming friends happens before you know it.\We were already friends, Sadako.\Friends?\We were? response:	My first friends.
context: You're an idiot.\Don't you know? We adore you so much.\Don't you know?\Becoming friends happens before you know it.\We were already friends, Sadako.\Friends?\We were?\My first friends. response:	I'm sort of worried.
context: Don't you know? We adore you so much.\Don't you know?\Becoming friends happens before you know it.\We were already friends, Sadako.\Friends?\We were?\My first friends.\I'm sort of worried. response:	Yuka's really liked Kazehaya since middle school.
context: Don't you know?\Becoming friends happens before you know it.\We were already friends, Sadako.\Friends?\We were?\My first friends.\I'm sort of worried.\Yuka's really liked Kazehaya since middle school. response:	Wait, Yuka.
context: Becoming friends happens before you know it.\We were already friends, Sadako.\Friends?\We were?\My first friends.\I'm sort of worried.\Yuka's really liked Kazehaya since middle school.\Wait, Yuka. response:	Silly girls.
context: We were already friends, Sadako.\Friends?\We were?\My first friends.\I'm sort of worried.\Yuka's really liked Kazehaya since middle school.\Wait, Yuka.\Silly girls. response:	Making such a racket.
context: Friends?\We were?\My first friends.\I'm sort of worried.\Yuka's really liked Kazehaya since middle school.\Wait, Yuka.\Silly girls.\Making such a racket. response:	Of course he's going to hate you for that.
context: We were?\My first friends.\I'm sort of worried.\Yuka's really liked Kazehaya since middle school.\Wait, Yuka.\Silly girls.\Making such a racket.\Of course he's going to hate you for that. response:	Kurumi.
context: My first friends.\I'm sort of worried.\Yuka's really liked Kazehaya since middle school.\Wait, Yuka.\Silly girls.\Making such a racket.\Of course he's going to hate you for that.\Kurumi. response:	There've been lots of rumors about Sadako lately.
context: I'm sort of worried.\Yuka's really liked Kazehaya since middle school.\Wait, Yuka.\Silly girls.\Making such a racket.\Of course he's going to hate you for that.\Kurumi.\There've been lots of rumors about Sadako lately. response:	I remember seeing her with Kazehaya.
context: Yuka's really liked Kazehaya since middle school.\Wait, Yuka.\Silly girls.\Making such a racket.\Of course he's going to hate you for that.\Kurumi.\There've been lots of rumors about Sadako lately.\I remember seeing her with Kazehaya. response:	Oh yeah.
context: Wait, Yuka.\Silly girls.\Making such a racket.\Of course he's going to hate you for that.\Kurumi.\There've been lots of rumors about Sadako lately.\I remember seeing her with Kazehaya.\Oh yeah. response:	I wonder if they're going out? Just kidding!
context: Silly girls.\Making such a racket.\Of course he's going to hate you for that.\Kurumi.\There've been lots of rumors about Sadako lately.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding! response:	No way!
context: Making such a racket.\Of course he's going to hate you for that.\Kurumi.\There've been lots of rumors about Sadako lately.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way! response:	I wonder.
context: Of course he's going to hate you for that.\Kurumi.\There've been lots of rumors about Sadako lately.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder. response:	I can imagine him liking her.
context: Kurumi.\There've been lots of rumors about Sadako lately.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her. response:	Huh, you're in the sports day committee too?
context: There've been lots of rumors about Sadako lately.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her.\Huh, you're in the sports day committee too? response:	Hey, you're here too.
context: I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her.\Huh, you're in the sports day committee too?\Hey, you're here too. response:	Cool.
context: Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her.\Huh, you're in the sports day committee too?\Hey, you're here too.\Cool. response:	That album I lent you before the last one
context: I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her.\Huh, you're in the sports day committee too?\Hey, you're here too.\Cool.\That album I lent you before the last one response:	Are you listening, Kazehaya?
context: No way!\I wonder.\I can imagine him liking her.\Huh, you're in the sports day committee too?\Hey, you're here too.\Cool.\That album I lent you before the last one\Are you listening, Kazehaya? response:	My bad, what were you saying?
context: I wonder.\I can imagine him liking her.\Huh, you're in the sports day committee too?\Hey, you're here too.\Cool.\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying? response:	That CD before the one I lent you.
context: I can imagine him liking her.\Huh, you're in the sports day committee too?\Hey, you're here too.\Cool.\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you. response:	Okay, I'll bring it next time.
context: Huh, you're in the sports day committee too?\Hey, you're here too.\Cool.\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time. response:	Kurumi-chan this time, huh?
context: Hey, you're here too.\Cool.\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Kurumi-chan this time, huh? response:	She was after Sawako-chan.
context: Cool.\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Kurumi-chan this time, huh?\She was after Sawako-chan. response:	That's pretty serious.
context: That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Kurumi-chan this time, huh?\She was after Sawako-chan.\That's pretty serious. response:	Sawako-chan.
context: Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Kurumi-chan this time, huh?\She was after Sawako-chan.\That's pretty serious.\Sawako-chan. response:	Sawako-chan.
context: My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Kurumi-chan this time, huh?\She was after Sawako-chan.\That's pretty serious.\Sawako-chan.\Sawako-chan. response:	So then, when the pass comes this way, you go straight
context: That CD before the one I lent you.\Okay, I'll bring it next time.\Kurumi-chan this time, huh?\She was after Sawako-chan.\That's pretty serious.\Sawako-chan.\Sawako-chan.\So then, when the pass comes this way, you go straight response:	Sawako-chan.
context: Okay, I'll bring it next time.\Kurumi-chan this time, huh?\She was after Sawako-chan.\That's pretty serious.\Sawako-chan.\Sawako-chan.\So then, when the pass comes this way, you go straight\Sawako-chan. response:	Sawako-chan.
context: Kurumi-chan this time, huh?\She was after Sawako-chan.\That's pretty serious.\Sawako-chan.\Sawako-chan.\So then, when the pass comes this way, you go straight\Sawako-chan.\Sawako-chan. response:	Bye bye.
context: She was after Sawako-chan.\That's pretty serious.\Sawako-chan.\Sawako-chan.\So then, when the pass comes this way, you go straight\Sawako-chan.\Sawako-chan.\Bye bye. response:	Bye bye.
context: That's pretty serious.\Sawako-chan.\Sawako-chan.\So then, when the pass comes this way, you go straight\Sawako-chan.\Sawako-chan.\Bye bye.\Bye bye. response:	I made a new friend again.
context: Sawako-chan.\Sawako-chan.\So then, when the pass comes this way, you go straight\Sawako-chan.\Sawako-chan.\Bye bye.\Bye bye.\I made a new friend again. response:	Honestly, it's not like I put in any effort, so I don't know what to think.
context: Sawako-chan.\So then, when the pass comes this way, you go straight\Sawako-chan.\Sawako-chan.\Bye bye.\Bye bye.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think. response:	We're friends now, right?
context: So then, when the pass comes this way, you go straight\Sawako-chan.\Sawako-chan.\Bye bye.\Bye bye.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right? response:	I guess this is what it's like to make friends.
context: Sawako-chan.\Sawako-chan.\Bye bye.\Bye bye.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends. response:	It hasn't really hit me, but I still feel happy.
context: Sawako-chan.\Bye bye.\Bye bye.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy. response:	Kurumi-chan.
context: Bye bye.\Bye bye.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kurumi-chan. response:	Sheesh!
context: Bye bye.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kurumi-chan.\Sheesh! response:	You old geezers don't know how she feels.
context: I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kurumi-chan.\Sheesh!\You old geezers don't know how she feels. response:	What's up with you?
context: Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kurumi-chan.\Sheesh!\You old geezers don't know how she feels.\What's up with you? response:	She's been watching someone the whole time.
context: We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kurumi-chan.\Sheesh!\You old geezers don't know how she feels.\What's up with you?\She's been watching someone the whole time. response:	You know, there's someone I like.
context: I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kurumi-chan.\Sheesh!\You old geezers don't know how she feels.\What's up with you?\She's been watching someone the whole time.\You know, there's someone I like. response:	I want you to help me.
context: It hasn't really hit me, but I still feel happy.\Kurumi-chan.\Sheesh!\You old geezers don't know how she feels.\What's up with you?\She's been watching someone the whole time.\You know, there's someone I like.\I want you to help me. response:	Kazehaya is the one I like.
context: Kurumi-chan.\Sheesh!\You old geezers don't know how she feels.\What's up with you?\She's been watching someone the whole time.\You know, there's someone I like.\I want you to help me.\Kazehaya is the one I like. response:	Is there going to be someone special for Kazehaya-kun?
context: Sheesh!\You old geezers don't know how she feels.\What's up with you?\She's been watching someone the whole time.\You know, there's someone I like.\I want you to help me.\Kazehaya is the one I like.\Is there going to be someone special for Kazehaya-kun? response:	I have to help make that happen?
context: You old geezers don't know how she feels.\What's up with you?\She's been watching someone the whole time.\You know, there's someone I like.\I want you to help me.\Kazehaya is the one I like.\Is there going to be someone special for Kazehaya-kun?\I have to help make that happen? response:	Thanks, Sawako-chan.
context: What's up with you?\She's been watching someone the whole time.\You know, there's someone I like.\I want you to help me.\Kazehaya is the one I like.\Is there going to be someone special for Kazehaya-kun?\I have to help make that happen?\Thanks, Sawako-chan. response:	I'm so happy.
context: She's been watching someone the whole time.\You know, there's someone I like.\I want you to help me.\Kazehaya is the one I like.\Is there going to be someone special for Kazehaya-kun?\I have to help make that happen?\Thanks, Sawako-chan.\I'm so happy. response:	I can't.
context: You know, there's someone I like.\I want you to help me.\Kazehaya is the one I like.\Is there going to be someone special for Kazehaya-kun?\I have to help make that happen?\Thanks, Sawako-chan.\I'm so happy.\I can't. response:	I don't think I can.
context: I want you to help me.\Kazehaya is the one I like.\Is there going to be someone special for Kazehaya-kun?\I have to help make that happen?\Thanks, Sawako-chan.\I'm so happy.\I can't.\I don't think I can. response:	I can't cheer for you honestly, so I can't help you.
context: Kazehaya is the one I like.\Is there going to be someone special for Kazehaya-kun?\I have to help make that happen?\Thanks, Sawako-chan.\I'm so happy.\I can't.\I don't think I can.\I can't cheer for you honestly, so I can't help you. response:	I think Kazehaya-kun is special to me.
context: Is there going to be someone special for Kazehaya-kun?\I have to help make that happen?\Thanks, Sawako-chan.\I'm so happy.\I can't.\I don't think I can.\I can't cheer for you honestly, so I can't help you.\I think Kazehaya-kun is special to me. response:	What do you mean special?
context: I have to help make that happen?\Thanks, Sawako-chan.\I'm so happy.\I can't.\I don't think I can.\I can't cheer for you honestly, so I can't help you.\I think Kazehaya-kun is special to me.\What do you mean special? response:	Because he was nice to you?
context: Thanks, Sawako-chan.\I'm so happy.\I can't.\I don't think I can.\I can't cheer for you honestly, so I can't help you.\I think Kazehaya-kun is special to me.\What do you mean special?\Because he was nice to you? response:	Because he talked to you?
context: I'm so happy.\I can't.\I don't think I can.\I can't cheer for you honestly, so I can't help you.\I think Kazehaya-kun is special to me.\What do you mean special?\Because he was nice to you?\Because he talked to you? response:	Because he was kind to you?
context: I can't.\I don't think I can.\I can't cheer for you honestly, so I can't help you.\I think Kazehaya-kun is special to me.\What do you mean special?\Because he was nice to you?\Because he talked to you?\Because he was kind to you? response:	M-Maybe?
context: I don't think I can.\I can't cheer for you honestly, so I can't help you.\I think Kazehaya-kun is special to me.\What do you mean special?\Because he was nice to you?\Because he talked to you?\Because he was kind to you?\M-Maybe? response:	That's just volunteer work.
context: I can't cheer for you honestly, so I can't help you.\I think Kazehaya-kun is special to me.\What do you mean special?\Because he was nice to you?\Because he talked to you?\Because he was kind to you?\M-Maybe?\That's just volunteer work. response:	It doesn't even have to be Kazehaya, as long as they're nice to you, does it?
context: I think Kazehaya-kun is special to me.\What do you mean special?\Because he was nice to you?\Because he talked to you?\Because he was kind to you?\M-Maybe?\That's just volunteer work.\It doesn't even have to be Kazehaya, as long as they're nice to you, does it? response:	K-Kurumi-chan!
context: What do you mean special?\Because he was nice to you?\Because he talked to you?\Because he was kind to you?\M-Maybe?\That's just volunteer work.\It doesn't even have to be Kazehaya, as long as they're nice to you, does it?\K-Kurumi-chan! response:	So that's what she was trying to do.
context: Because he was nice to you?\Because he talked to you?\Because he was kind to you?\M-Maybe?\That's just volunteer work.\It doesn't even have to be Kazehaya, as long as they're nice to you, does it?\K-Kurumi-chan!\So that's what she was trying to do. response:	Sawako-chan grew up too.
context: Because he talked to you?\Because he was kind to you?\M-Maybe?\That's just volunteer work.\It doesn't even have to be Kazehaya, as long as they're nice to you, does it?\K-Kurumi-chan!\So that's what she was trying to do.\Sawako-chan grew up too. response:	She turned her down!
context: Because he was kind to you?\M-Maybe?\That's just volunteer work.\It doesn't even have to be Kazehaya, as long as they're nice to you, does it?\K-Kurumi-chan!\So that's what she was trying to do.\Sawako-chan grew up too.\She turned her down! response:	And now she's taking note of Kazehaya, because of Kurumi.
context: M-Maybe?\That's just volunteer work.\It doesn't even have to be Kazehaya, as long as they're nice to you, does it?\K-Kurumi-chan!\So that's what she was trying to do.\Sawako-chan grew up too.\She turned her down!\And now she's taking note of Kazehaya, because of Kurumi. response:	Like?
context: That's just volunteer work.\It doesn't even have to be Kazehaya, as long as they're nice to you, does it?\K-Kurumi-chan!\So that's what she was trying to do.\Sawako-chan grew up too.\She turned her down!\And now she's taking note of Kazehaya, because of Kurumi.\Like? response:	Like!
context: It doesn't even have to be Kazehaya, as long as they're nice to you, does it?\K-Kurumi-chan!\So that's what she was trying to do.\Sawako-chan grew up too.\She turned her down!\And now she's taking note of Kazehaya, because of Kurumi.\Like?\Like! response:	Isn't this what it means to like someone?
context: K-Kurumi-chan!\So that's what she was trying to do.\Sawako-chan grew up too.\She turned her down!\And now she's taking note of Kazehaya, because of Kurumi.\Like?\Like!\Isn't this what it means to like someone? response:	This feeling I have towards Kazehaya-kun.
context: So that's what she was trying to do.\Sawako-chan grew up too.\She turned her down!\And now she's taking note of Kazehaya, because of Kurumi.\Like?\Like!\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun. response:	It's all love, right?
context: Sawako-chan grew up too.\She turned her down!\And now she's taking note of Kazehaya, because of Kurumi.\Like?\Like!\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right? response:	I'll tell Kurumi-chan.
context: She turned her down!\And now she's taking note of Kazehaya, because of Kurumi.\Like?\Like!\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\I'll tell Kurumi-chan. response:	I just realized, we can talk about love together.
context: And now she's taking note of Kazehaya, because of Kurumi.\Like?\Like!\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\I'll tell Kurumi-chan.\I just realized, we can talk about love together. response:	That rumor from in the washroom,
context: Like?\Like!\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\I'll tell Kurumi-chan.\I just realized, we can talk about love together.\That rumor from in the washroom, response:	it was Kurumi.
context: Like!\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\I'll tell Kurumi-chan.\I just realized, we can talk about love together.\That rumor from in the washroom,\it was Kurumi. response:	Sawako, it was Kurumi that made you suffer so much.
context: Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\I'll tell Kurumi-chan.\I just realized, we can talk about love together.\That rumor from in the washroom,\it was Kurumi.\Sawako, it was Kurumi that made you suffer so much. response:	Friends...
context: This feeling I have towards Kazehaya-kun.\It's all love, right?\I'll tell Kurumi-chan.\I just realized, we can talk about love together.\That rumor from in the washroom,\it was Kurumi.\Sawako, it was Kurumi that made you suffer so much.\Friends... response:	I've never thought of you as a friend.
context: It's all love, right?\I'll tell Kurumi-chan.\I just realized, we can talk about love together.\That rumor from in the washroom,\it was Kurumi.\Sawako, it was Kurumi that made you suffer so much.\Friends...\I've never thought of you as a friend. response:	You have to tell Kazehaya about me, don't you?
context: I'll tell Kurumi-chan.\I just realized, we can talk about love together.\That rumor from in the washroom,\it was Kurumi.\Sawako, it was Kurumi that made you suffer so much.\Friends...\I've never thought of you as a friend.\You have to tell Kazehaya about me, don't you? response:	Get him to feel sorry for you again.
context: I just realized, we can talk about love together.\That rumor from in the washroom,\it was Kurumi.\Sawako, it was Kurumi that made you suffer so much.\Friends...\I've never thought of you as a friend.\You have to tell Kazehaya about me, don't you?\Get him to feel sorry for you again. response:	Checkmate.
context: That rumor from in the washroom,\it was Kurumi.\Sawako, it was Kurumi that made you suffer so much.\Friends...\I've never thought of you as a friend.\You have to tell Kazehaya about me, don't you?\Get him to feel sorry for you again.\Checkmate. response:	Sawako wins in the end.
context: it was Kurumi.\Sawako, it was Kurumi that made you suffer so much.\Friends...\I've never thought of you as a friend.\You have to tell Kazehaya about me, don't you?\Get him to feel sorry for you again.\Checkmate.\Sawako wins in the end. response:	Hey,
context: Sawako, it was Kurumi that made you suffer so much.\Friends...\I've never thought of you as a friend.\You have to tell Kazehaya about me, don't you?\Get him to feel sorry for you again.\Checkmate.\Sawako wins in the end.\Hey, response:	do you think Sawako felt better after that?
context: Friends...\I've never thought of you as a friend.\You have to tell Kazehaya about me, don't you?\Get him to feel sorry for you again.\Checkmate.\Sawako wins in the end.\Hey,\do you think Sawako felt better after that? response:	Well, obviously...
context: I've never thought of you as a friend.\You have to tell Kazehaya about me, don't you?\Get him to feel sorry for you again.\Checkmate.\Sawako wins in the end.\Hey,\do you think Sawako felt better after that?\Well, obviously... response:	Don't you think she wanted to say something?
context: You have to tell Kazehaya about me, don't you?\Get him to feel sorry for you again.\Checkmate.\Sawako wins in the end.\Hey,\do you think Sawako felt better after that?\Well, obviously...\Don't you think she wanted to say something? response:	I like Kazehaya-kun.
context: Get him to feel sorry for you again.\Checkmate.\Sawako wins in the end.\Hey,\do you think Sawako felt better after that?\Well, obviously...\Don't you think she wanted to say something?\I like Kazehaya-kun. response:	Actually. Romantically.
context: Checkmate.\Sawako wins in the end.\Hey,\do you think Sawako felt better after that?\Well, obviously...\Don't you think she wanted to say something?\I like Kazehaya-kun.\Actually. Romantically. response:	I love him.
context: Sawako wins in the end.\Hey,\do you think Sawako felt better after that?\Well, obviously...\Don't you think she wanted to say something?\I like Kazehaya-kun.\Actually. Romantically.\I love him. response:	That's what I came here to tell you earlier.
context: Hey,\do you think Sawako felt better after that?\Well, obviously...\Don't you think she wanted to say something?\I like Kazehaya-kun.\Actually. Romantically.\I love him.\That's what I came here to tell you earlier. response:	I wanted to tell you.
context: do you think Sawako felt better after that?\Well, obviously...\Don't you think she wanted to say something?\I like Kazehaya-kun.\Actually. Romantically.\I love him.\That's what I came here to tell you earlier.\I wanted to tell you. response:	I said you're in my way.
context: Well, obviously...\Don't you think she wanted to say something?\I like Kazehaya-kun.\Actually. Romantically.\I love him.\That's what I came here to tell you earlier.\I wanted to tell you.\I said you're in my way. response:	You're always with Kazehaya, and you don't even have to try.
context: Don't you think she wanted to say something?\I like Kazehaya-kun.\Actually. Romantically.\I love him.\That's what I came here to tell you earlier.\I wanted to tell you.\I said you're in my way.\You're always with Kazehaya, and you don't even have to try. response:	I hate you.
context: I like Kazehaya-kun.\Actually. Romantically.\I love him.\That's what I came here to tell you earlier.\I wanted to tell you.\I said you're in my way.\You're always with Kazehaya, and you don't even have to try.\I hate you. response:	I thought I could win against you.
context: Actually. Romantically.\I love him.\That's what I came here to tell you earlier.\I wanted to tell you.\I said you're in my way.\You're always with Kazehaya, and you don't even have to try.\I hate you.\I thought I could win against you. response:	Because I'm a lot more in love with him.
context: I love him.\That's what I came here to tell you earlier.\I wanted to tell you.\I said you're in my way.\You're always with Kazehaya, and you don't even have to try.\I hate you.\I thought I could win against you.\Because I'm a lot more in love with him. response:	I swear.
context: That's what I came here to tell you earlier.\I wanted to tell you.\I said you're in my way.\You're always with Kazehaya, and you don't even have to try.\I hate you.\I thought I could win against you.\Because I'm a lot more in love with him.\I swear. response:	I think you're cuter now than when I first met you.
context: I wanted to tell you.\I said you're in my way.\You're always with Kazehaya, and you don't even have to try.\I hate you.\I thought I could win against you.\Because I'm a lot more in love with him.\I swear.\I think you're cuter now than when I first met you. response:	I know I am.
context: I said you're in my way.\You're always with Kazehaya, and you don't even have to try.\I hate you.\I thought I could win against you.\Because I'm a lot more in love with him.\I swear.\I think you're cuter now than when I first met you.\I know I am. response:	But that doesn't matter.
context: You're always with Kazehaya, and you don't even have to try.\I hate you.\I thought I could win against you.\Because I'm a lot more in love with him.\I swear.\I think you're cuter now than when I first met you.\I know I am.\But that doesn't matter. response:	I know he doesn't like me.
context: I hate you.\I thought I could win against you.\Because I'm a lot more in love with him.\I swear.\I think you're cuter now than when I first met you.\I know I am.\But that doesn't matter.\I know he doesn't like me. response:	I know.
context: I thought I could win against you.\Because I'm a lot more in love with him.\I swear.\I think you're cuter now than when I first met you.\I know I am.\But that doesn't matter.\I know he doesn't like me.\I know. response:	I've always been watching him.
context: Because I'm a lot more in love with him.\I swear.\I think you're cuter now than when I first met you.\I know I am.\But that doesn't matter.\I know he doesn't like me.\I know.\I've always been watching him. response:	There's someone I like.
context: I swear.\I think you're cuter now than when I first met you.\I know I am.\But that doesn't matter.\I know he doesn't like me.\I know.\I've always been watching him.\There's someone I like. response:	I can't make myself think of anyone else more than her.
context: I think you're cuter now than when I first met you.\I know I am.\But that doesn't matter.\I know he doesn't like me.\I know.\I've always been watching him.\There's someone I like.\I can't make myself think of anyone else more than her. response:	Sorry.
context: I know I am.\But that doesn't matter.\I know he doesn't like me.\I know.\I've always been watching him.\There's someone I like.\I can't make myself think of anyone else more than her.\Sorry. response:	Are you at least a little happy that I confessed to you?
context: But that doesn't matter.\I know he doesn't like me.\I know.\I've always been watching him.\There's someone I like.\I can't make myself think of anyone else more than her.\Sorry.\Are you at least a little happy that I confessed to you? response:	Yeah.
context: I know he doesn't like me.\I know.\I've always been watching him.\There's someone I like.\I can't make myself think of anyone else more than her.\Sorry.\Are you at least a little happy that I confessed to you?\Yeah. response:	Thanks.
context: I know.\I've always been watching him.\There's someone I like.\I can't make myself think of anyone else more than her.\Sorry.\Are you at least a little happy that I confessed to you?\Yeah.\Thanks. response:	They both have the same feelings towards the same person.
context: I've always been watching him.\There's someone I like.\I can't make myself think of anyone else more than her.\Sorry.\Are you at least a little happy that I confessed to you?\Yeah.\Thanks.\They both have the same feelings towards the same person. response:	So those two...
context: There's someone I like.\I can't make myself think of anyone else more than her.\Sorry.\Are you at least a little happy that I confessed to you?\Yeah.\Thanks.\They both have the same feelings towards the same person.\So those two... response:	If by any crazy fluke things work out between you two,
context: I can't make myself think of anyone else more than her.\Sorry.\Are you at least a little happy that I confessed to you?\Yeah.\Thanks.\They both have the same feelings towards the same person.\So those two...\If by any crazy fluke things work out between you two, response:	I'm never going to congratulate you.
context: Sorry.\Are you at least a little happy that I confessed to you?\Yeah.\Thanks.\They both have the same feelings towards the same person.\So those two...\If by any crazy fluke things work out between you two,\I'm never going to congratulate you. response:	I hate any woman that Kazehaya likes.
context: Are you at least a little happy that I confessed to you?\Yeah.\Thanks.\They both have the same feelings towards the same person.\So those two...\If by any crazy fluke things work out between you two,\I'm never going to congratulate you.\I hate any woman that Kazehaya likes. response:	We can't be friends, can we?
context: Yeah.\Thanks.\They both have the same feelings towards the same person.\So those two...\If by any crazy fluke things work out between you two,\I'm never going to congratulate you.\I hate any woman that Kazehaya likes.\We can't be friends, can we? response:	Friends?
context: Thanks.\They both have the same feelings towards the same person.\So those two...\If by any crazy fluke things work out between you two,\I'm never going to congratulate you.\I hate any woman that Kazehaya likes.\We can't be friends, can we?\Friends? response:	We're rivals.
context: They both have the same feelings towards the same person.\So those two...\If by any crazy fluke things work out between you two,\I'm never going to congratulate you.\I hate any woman that Kazehaya likes.\We can't be friends, can we?\Friends?\We're rivals. response:	Good evening, yo.
context: So those two...\If by any crazy fluke things work out between you two,\I'm never going to congratulate you.\I hate any woman that Kazehaya likes.\We can't be friends, can we?\Friends?\We're rivals.\Good evening, yo. response:	Nice, sake for the cleansing.
context: If by any crazy fluke things work out between you two,\I'm never going to congratulate you.\I hate any woman that Kazehaya likes.\We can't be friends, can we?\Friends?\We're rivals.\Good evening, yo.\Nice, sake for the cleansing. response:	Good times.
context: I'm never going to congratulate you.\I hate any woman that Kazehaya likes.\We can't be friends, can we?\Friends?\We're rivals.\Good evening, yo.\Nice, sake for the cleansing.\Good times. response:	Places that I'll remember.
context: I hate any woman that Kazehaya likes.\We can't be friends, can we?\Friends?\We're rivals.\Good evening, yo.\Nice, sake for the cleansing.\Good times.\Places that I'll remember. response:	Next episode: Weekend
