context: There are those who absolutely refused to stop pushing forward. response:	On occasion, they become one with their personal convictions, transforming into karma itself.
context: If it was easy to head down and return back home,\the value of Relics and faith in the Abyss would quite possibly be shaken to the core.\The reason Aubades aren't listed in the guide...\isn't because they haven't been discovered.\It's because they simply must not exist, you see.\What's with this strength of hers?\My arm was creaking!\Hey, did I hear that you lost your memory? response:	Well, I'm truly glad.
context: the value of Relics and faith in the Abyss would quite possibly be shaken to the core.\The reason Aubades aren't listed in the guide...\isn't because they haven't been discovered.\It's because they simply must not exist, you see.\What's with this strength of hers?\My arm was creaking!\Hey, did I hear that you lost your memory?\Well, I'm truly glad. response:	I need to dispose of you before you remember anything.
context: The reason Aubades aren't listed in the guide...\isn't because they haven't been discovered.\It's because they simply must not exist, you see.\What's with this strength of hers?\My arm was creaking!\Hey, did I hear that you lost your memory?\Well, I'm truly glad.\I need to dispose of you before you remember anything. response:	I-I'll go check on the telescope...
context: isn't because they haven't been discovered.\It's because they simply must not exist, you see.\What's with this strength of hers?\My arm was creaking!\Hey, did I hear that you lost your memory?\Well, I'm truly glad.\I need to dispose of you before you remember anything.\I-I'll go check on the telescope... response:	Marulk!
context: It's because they simply must not exist, you see.\What's with this strength of hers?\My arm was creaking!\Hey, did I hear that you lost your memory?\Well, I'm truly glad.\I need to dispose of you before you remember anything.\I-I'll go check on the telescope...\Marulk! response:	Stay right there.
context: What's with this strength of hers?\My arm was creaking!\Hey, did I hear that you lost your memory?\Well, I'm truly glad.\I need to dispose of you before you remember anything.\I-I'll go check on the telescope...\Marulk!\Stay right there. response:	Y-you can't be serious!
context: My arm was creaking!\Hey, did I hear that you lost your memory?\Well, I'm truly glad.\I need to dispose of you before you remember anything.\I-I'll go check on the telescope...\Marulk!\Stay right there.\Y-you can't be serious! response:	As if I'd let things end in a place like this!
context: Hey, did I hear that you lost your memory?\Well, I'm truly glad.\I need to dispose of you before you remember anything.\I-I'll go check on the telescope...\Marulk!\Stay right there.\Y-you can't be serious!\As if I'd let things end in a place like this! response:	I'll make you let us go even if I have to use brute force!
context: Well, I'm truly glad.\I need to dispose of you before you remember anything.\I-I'll go check on the telescope...\Marulk!\Stay right there.\Y-you can't be serious!\As if I'd let things end in a place like this!\I'll make you let us go even if I have to use brute force! response:	I'll let you go...
context: I need to dispose of you before you remember anything.\I-I'll go check on the telescope...\Marulk!\Stay right there.\Y-you can't be serious!\As if I'd let things end in a place like this!\I'll make you let us go even if I have to use brute force!\I'll let you go... response:	After you've ceased moving, that is!
context: I-I'll go check on the telescope...\Marulk!\Stay right there.\Y-you can't be serious!\As if I'd let things end in a place like this!\I'll make you let us go even if I have to use brute force!\I'll let you go...\After you've ceased moving, that is! response:	This isn't stopping her at all!
context: Marulk!\Stay right there.\Y-you can't be serious!\As if I'd let things end in a place like this!\I'll make you let us go even if I have to use brute force!\I'll let you go...\After you've ceased moving, that is!\This isn't stopping her at all! response:	What the heck is she?!
context: Stay right there.\Y-you can't be serious!\As if I'd let things end in a place like this!\I'll make you let us go even if I have to use brute force!\I'll let you go...\After you've ceased moving, that is!\This isn't stopping her at all!\What the heck is she?! response:	This doesn't break or get any thinner.
context: Y-you can't be serious!\As if I'd let things end in a place like this!\I'll make you let us go even if I have to use brute force!\I'll let you go...\After you've ceased moving, that is!\This isn't stopping her at all!\What the heck is she?!\This doesn't break or get any thinner. response:	I wonder if a bunch of strands are all packed into the same area...
context: As if I'd let things end in a place like this!\I'll make you let us go even if I have to use brute force!\I'll let you go...\After you've ceased moving, that is!\This isn't stopping her at all!\What the heck is she?!\This doesn't break or get any thinner.\I wonder if a bunch of strands are all packed into the same area... response:	Well, whatever.
context: I'll make you let us go even if I have to use brute force!\I'll let you go...\After you've ceased moving, that is!\This isn't stopping her at all!\What the heck is she?!\This doesn't break or get any thinner.\I wonder if a bunch of strands are all packed into the same area...\Well, whatever. response:	Have it back.
context: I'll let you go...\After you've ceased moving, that is!\This isn't stopping her at all!\What the heck is she?!\This doesn't break or get any thinner.\I wonder if a bunch of strands are all packed into the same area...\Well, whatever.\Have it back. response:	Oh? You're lighter than I thought.
context: After you've ceased moving, that is!\This isn't stopping her at all!\What the heck is she?!\This doesn't break or get any thinner.\I wonder if a bunch of strands are all packed into the same area...\Well, whatever.\Have it back.\Oh? You're lighter than I thought. response:	So your sturdiness is your big appeal, right?
context: This isn't stopping her at all!\What the heck is she?!\This doesn't break or get any thinner.\I wonder if a bunch of strands are all packed into the same area...\Well, whatever.\Have it back.\Oh? You're lighter than I thought.\So your sturdiness is your big appeal, right? response:	Let's test it out.
context: What the heck is she?!\This doesn't break or get any thinner.\I wonder if a bunch of strands are all packed into the same area...\Well, whatever.\Have it back.\Oh? You're lighter than I thought.\So your sturdiness is your big appeal, right?\Let's test it out. response:	Oops. I busted the floor.
context: This doesn't break or get any thinner.\I wonder if a bunch of strands are all packed into the same area...\Well, whatever.\Have it back.\Oh? You're lighter than I thought.\So your sturdiness is your big appeal, right?\Let's test it out.\Oops. I busted the floor. response:	O-o-ouch...
context: I wonder if a bunch of strands are all packed into the same area...\Well, whatever.\Have it back.\Oh? You're lighter than I thought.\So your sturdiness is your big appeal, right?\Let's test it out.\Oops. I busted the floor.\O-o-ouch... response:	You've really... done it now...
context: Well, whatever.\Have it back.\Oh? You're lighter than I thought.\So your sturdiness is your big appeal, right?\Let's test it out.\Oops. I busted the floor.\O-o-ouch...\You've really... done it now... response:	You're a lot tougher than the floor, huh?
context: Have it back.\Oh? You're lighter than I thought.\So your sturdiness is your big appeal, right?\Let's test it out.\Oops. I busted the floor.\O-o-ouch...\You've really... done it now...\You're a lot tougher than the floor, huh? response:	I wonder how much more you can take...
context: Oh? You're lighter than I thought.\So your sturdiness is your big appeal, right?\Let's test it out.\Oops. I busted the floor.\O-o-ouch...\You've really... done it now...\You're a lot tougher than the floor, huh?\I wonder how much more you can take... response:	Stop!
context: So your sturdiness is your big appeal, right?\Let's test it out.\Oops. I busted the floor.\O-o-ouch...\You've really... done it now...\You're a lot tougher than the floor, huh?\I wonder how much more you can take...\Stop! response:	Reg... Reg will break!
context: Let's test it out.\Oops. I busted the floor.\O-o-ouch...\You've really... done it now...\You're a lot tougher than the floor, huh?\I wonder how much more you can take...\Stop!\Reg... Reg will break! response:	You're in the way.
context: Oops. I busted the floor.\O-o-ouch...\You've really... done it now...\You're a lot tougher than the floor, huh?\I wonder how much more you can take...\Stop!\Reg... Reg will break!\You're in the way. response:	Riko! Riko!
context: O-o-ouch...\You've really... done it now...\You're a lot tougher than the floor, huh?\I wonder how much more you can take...\Stop!\Reg... Reg will break!\You're in the way.\Riko! Riko! response:	There's so much blood...
context: You've really... done it now...\You're a lot tougher than the floor, huh?\I wonder how much more you can take...\Stop!\Reg... Reg will break!\You're in the way.\Riko! Riko!\There's so much blood... response:	Sorry, Marulk...
context: You're a lot tougher than the floor, huh?\I wonder how much more you can take...\Stop!\Reg... Reg will break!\You're in the way.\Riko! Riko!\There's so much blood...\Sorry, Marulk... response:	This isn't an opponent I can hold back on.
context: I wonder how much more you can take...\Stop!\Reg... Reg will break!\You're in the way.\Riko! Riko!\There's so much blood...\Sorry, Marulk...\This isn't an opponent I can hold back on. response:	If I don't get serious, I'm done for!
context: Stop!\Reg... Reg will break!\You're in the way.\Riko! Riko!\There's so much blood...\Sorry, Marulk...\This isn't an opponent I can hold back on.\If I don't get serious, I'm done for! response:	What is it you're going to show me?
context: Reg... Reg will break!\You're in the way.\Riko! Riko!\There's so much blood...\Sorry, Marulk...\This isn't an opponent I can hold back on.\If I don't get serious, I'm done for!\What is it you're going to show me? response:	If I just let it rip like last time, the whole Seeker Camp could burn down...
context: You're in the way.\Riko! Riko!\There's so much blood...\Sorry, Marulk...\This isn't an opponent I can hold back on.\If I don't get serious, I'm done for!\What is it you're going to show me?\If I just let it rip like last time, the whole Seeker Camp could burn down... response:	Calm down...
context: Riko! Riko!\There's so much blood...\Sorry, Marulk...\This isn't an opponent I can hold back on.\If I don't get serious, I'm done for!\What is it you're going to show me?\If I just let it rip like last time, the whole Seeker Camp could burn down...\Calm down... response:	Refine it... thinner... sharper...!
context: There's so much blood...\Sorry, Marulk...\This isn't an opponent I can hold back on.\If I don't get serious, I'm done for!\What is it you're going to show me?\If I just let it rip like last time, the whole Seeker Camp could burn down...\Calm down...\Refine it... thinner... sharper...! response:	So, I see that you breathe and blink even though you're just a mechanical doll.
context: Sorry, Marulk...\This isn't an opponent I can hold back on.\If I don't get serious, I'm done for!\What is it you're going to show me?\If I just let it rip like last time, the whole Seeker Camp could burn down...\Calm down...\Refine it... thinner... sharper...!\So, I see that you breathe and blink even though you're just a mechanical doll. response:	That means you, too, will be probably be hunted by beasts.
context: This isn't an opponent I can hold back on.\If I don't get serious, I'm done for!\What is it you're going to show me?\If I just let it rip like last time, the whole Seeker Camp could burn down...\Calm down...\Refine it... thinner... sharper...!\So, I see that you breathe and blink even though you're just a mechanical doll.\That means you, too, will be probably be hunted by beasts. response:	Hey, what happens when this thing hits something?
context: If I don't get serious, I'm done for!\What is it you're going to show me?\If I just let it rip like last time, the whole Seeker Camp could burn down...\Calm down...\Refine it... thinner... sharper...!\So, I see that you breathe and blink even though you're just a mechanical doll.\That means you, too, will be probably be hunted by beasts.\Hey, what happens when this thing hits something? response:	Let's test it out.
context: What is it you're going to show me?\If I just let it rip like last time, the whole Seeker Camp could burn down...\Calm down...\Refine it... thinner... sharper...!\So, I see that you breathe and blink even though you're just a mechanical doll.\That means you, too, will be probably be hunted by beasts.\Hey, what happens when this thing hits something?\Let's test it out. response:	Oh my, incredible, isn't it?
context: If I just let it rip like last time, the whole Seeker Camp could burn down...\Calm down...\Refine it... thinner... sharper...!\So, I see that you breathe and blink even though you're just a mechanical doll.\That means you, too, will be probably be hunted by beasts.\Hey, what happens when this thing hits something?\Let's test it out.\Oh my, incredible, isn't it? response:	It blasts straight through.
context: Calm down...\Refine it... thinner... sharper...!\So, I see that you breathe and blink even though you're just a mechanical doll.\That means you, too, will be probably be hunted by beasts.\Hey, what happens when this thing hits something?\Let's test it out.\Oh my, incredible, isn't it?\It blasts straight through. response:	I've never seen a weapon like this before.
context: Refine it... thinner... sharper...!\So, I see that you breathe and blink even though you're just a mechanical doll.\That means you, too, will be probably be hunted by beasts.\Hey, what happens when this thing hits something?\Let's test it out.\Oh my, incredible, isn't it?\It blasts straight through.\I've never seen a weapon like this before. response:	Irredeemable!
context: So, I see that you breathe and blink even though you're just a mechanical doll.\That means you, too, will be probably be hunted by beasts.\Hey, what happens when this thing hits something?\Let's test it out.\Oh my, incredible, isn't it?\It blasts straight through.\I've never seen a weapon like this before.\Irredeemable! response:	You're irredeemable, Ozen!
context: That means you, too, will be probably be hunted by beasts.\Hey, what happens when this thing hits something?\Let's test it out.\Oh my, incredible, isn't it?\It blasts straight through.\I've never seen a weapon like this before.\Irredeemable!\You're irredeemable, Ozen! response:	What's with your arm...?
context: Hey, what happens when this thing hits something?\Let's test it out.\Oh my, incredible, isn't it?\It blasts straight through.\I've never seen a weapon like this before.\Irredeemable!\You're irredeemable, Ozen!\What's with your arm...? response:	Is something embedded inside it?
context: Let's test it out.\Oh my, incredible, isn't it?\It blasts straight through.\I've never seen a weapon like this before.\Irredeemable!\You're irredeemable, Ozen!\What's with your arm...?\Is something embedded inside it? response:	This here?
context: Oh my, incredible, isn't it?\It blasts straight through.\I've never seen a weapon like this before.\Irredeemable!\You're irredeemable, Ozen!\What's with your arm...?\Is something embedded inside it?\This here? response:	They're called Thousand-Men Wedges.
context: It blasts straight through.\I've never seen a weapon like this before.\Irredeemable!\You're irredeemable, Ozen!\What's with your arm...?\Is something embedded inside it?\This here?\They're called Thousand-Men Wedges. response:	I inserted them at 120 points or so all around my body...
context: I've never seen a weapon like this before.\Irredeemable!\You're irredeemable, Ozen!\What's with your arm...?\Is something embedded inside it?\This here?\They're called Thousand-Men Wedges.\I inserted them at 120 points or so all around my body... response:	They're the secret to my vigor.
context: Irredeemable!\You're irredeemable, Ozen!\What's with your arm...?\Is something embedded inside it?\This here?\They're called Thousand-Men Wedges.\I inserted them at 120 points or so all around my body...\They're the secret to my vigor. response:	For as much as you criticize me, you're quite superhuman yourself, Ozen!
context: You're irredeemable, Ozen!\What's with your arm...?\Is something embedded inside it?\This here?\They're called Thousand-Men Wedges.\I inserted them at 120 points or so all around my body...\They're the secret to my vigor.\For as much as you criticize me, you're quite superhuman yourself, Ozen! response:	I fuss over lots of things.
context: What's with your arm...?\Is something embedded inside it?\This here?\They're called Thousand-Men Wedges.\I inserted them at 120 points or so all around my body...\They're the secret to my vigor.\For as much as you criticize me, you're quite superhuman yourself, Ozen!\I fuss over lots of things. response:	I'm old, after all.
context: Is something embedded inside it?\This here?\They're called Thousand-Men Wedges.\I inserted them at 120 points or so all around my body...\They're the secret to my vigor.\For as much as you criticize me, you're quite superhuman yourself, Ozen!\I fuss over lots of things.\I'm old, after all. response:	R-Reg!
context: This here?\They're called Thousand-Men Wedges.\I inserted them at 120 points or so all around my body...\They're the secret to my vigor.\For as much as you criticize me, you're quite superhuman yourself, Ozen!\I fuss over lots of things.\I'm old, after all.\R-Reg! response:	R-Reg!
context: They're called Thousand-Men Wedges.\I inserted them at 120 points or so all around my body...\They're the secret to my vigor.\For as much as you criticize me, you're quite superhuman yourself, Ozen!\I fuss over lots of things.\I'm old, after all.\R-Reg!\R-Reg! response:	You're so noisy.
context: I inserted them at 120 points or so all around my body...\They're the secret to my vigor.\For as much as you criticize me, you're quite superhuman yourself, Ozen!\I fuss over lots of things.\I'm old, after all.\R-Reg!\R-Reg!\You're so noisy. response:	If you think he's so precious, you should've kept him locked away.
context: They're the secret to my vigor.\For as much as you criticize me, you're quite superhuman yourself, Ozen!\I fuss over lots of things.\I'm old, after all.\R-Reg!\R-Reg!\You're so noisy.\If you think he's so precious, you should've kept him locked away. response:	For some reason he went limp all of a sudden, but that's alright, isn't it?
context: For as much as you criticize me, you're quite superhuman yourself, Ozen!\I fuss over lots of things.\I'm old, after all.\R-Reg!\R-Reg!\You're so noisy.\If you think he's so precious, you should've kept him locked away.\For some reason he went limp all of a sudden, but that's alright, isn't it? response:	Sooner or later, you'll revert back to being a piece of meat, anyway.
context: I fuss over lots of things.\I'm old, after all.\R-Reg!\R-Reg!\You're so noisy.\If you think he's so precious, you should've kept him locked away.\For some reason he went limp all of a sudden, but that's alright, isn't it?\Sooner or later, you'll revert back to being a piece of meat, anyway. response:	Even just a little longer is okay!
context: I'm old, after all.\R-Reg!\R-Reg!\You're so noisy.\If you think he's so precious, you should've kept him locked away.\For some reason he went limp all of a sudden, but that's alright, isn't it?\Sooner or later, you'll revert back to being a piece of meat, anyway.\Even just a little longer is okay! response:	But, together with Reg...
context: R-Reg!\R-Reg!\You're so noisy.\If you think he's so precious, you should've kept him locked away.\For some reason he went limp all of a sudden, but that's alright, isn't it?\Sooner or later, you'll revert back to being a piece of meat, anyway.\Even just a little longer is okay!\But, together with Reg... response:	If it's not with Reg... I can't bear it!
context: R-Reg!\You're so noisy.\If you think he's so precious, you should've kept him locked away.\For some reason he went limp all of a sudden, but that's alright, isn't it?\Sooner or later, you'll revert back to being a piece of meat, anyway.\Even just a little longer is okay!\But, together with Reg...\If it's not with Reg... I can't bear it! response:	Please, Reg! Don't lose to her!
context: You're so noisy.\If you think he's so precious, you should've kept him locked away.\For some reason he went limp all of a sudden, but that's alright, isn't it?\Sooner or later, you'll revert back to being a piece of meat, anyway.\Even just a little longer is okay!\But, together with Reg...\If it's not with Reg... I can't bear it!\Please, Reg! Don't lose to her! response:	Riko...
context: If you think he's so precious, you should've kept him locked away.\For some reason he went limp all of a sudden, but that's alright, isn't it?\Sooner or later, you'll revert back to being a piece of meat, anyway.\Even just a little longer is okay!\But, together with Reg...\If it's not with Reg... I can't bear it!\Please, Reg! Don't lose to her!\Riko... response:	That won't do.
context: For some reason he went limp all of a sudden, but that's alright, isn't it?\Sooner or later, you'll revert back to being a piece of meat, anyway.\Even just a little longer is okay!\But, together with Reg...\If it's not with Reg... I can't bear it!\Please, Reg! Don't lose to her!\Riko...\That won't do. response:	Both of you are unfit for it.
context: Sooner or later, you'll revert back to being a piece of meat, anyway.\Even just a little longer is okay!\But, together with Reg...\If it's not with Reg... I can't bear it!\Please, Reg! Don't lose to her!\Riko...\That won't do.\Both of you are unfit for it. response:	Look, it fit right in there.
context: Even just a little longer is okay!\But, together with Reg...\If it's not with Reg... I can't bear it!\Please, Reg! Don't lose to her!\Riko...\That won't do.\Both of you are unfit for it.\Look, it fit right in there. response:	He woke up!
context: But, together with Reg...\If it's not with Reg... I can't bear it!\Please, Reg! Don't lose to her!\Riko...\That won't do.\Both of you are unfit for it.\Look, it fit right in there.\He woke up! response:	He's awake.
context: If it's not with Reg... I can't bear it!\Please, Reg! Don't lose to her!\Riko...\That won't do.\Both of you are unfit for it.\Look, it fit right in there.\He woke up!\He's awake. response:	R-Riko...
context: Please, Reg! Don't lose to her!\Riko...\That won't do.\Both of you are unfit for it.\Look, it fit right in there.\He woke up!\He's awake.\R-Riko... response:	Reg! Reg!
context: Riko...\That won't do.\Both of you are unfit for it.\Look, it fit right in there.\He woke up!\He's awake.\R-Riko...\Reg! Reg! response:	Sorry, Reg!
context: That won't do.\Both of you are unfit for it.\Look, it fit right in there.\He woke up!\He's awake.\R-Riko...\Reg! Reg!\Sorry, Reg! response:	Y-you moved!
context: Both of you are unfit for it.\Look, it fit right in there.\He woke up!\He's awake.\R-Riko...\Reg! Reg!\Sorry, Reg!\Y-you moved! response:	Don't leave me like that!
context: Look, it fit right in there.\He woke up!\He's awake.\R-Riko...\Reg! Reg!\Sorry, Reg!\Y-you moved!\Don't leave me like that! response:	Did I just collapse and leave Riko all alone here...?!
context: He woke up!\He's awake.\R-Riko...\Reg! Reg!\Sorry, Reg!\Y-you moved!\Don't leave me like that!\Did I just collapse and leave Riko all alone here...?! response:	Reg!
context: He's awake.\R-Riko...\Reg! Reg!\Sorry, Reg!\Y-you moved!\Don't leave me like that!\Did I just collapse and leave Riko all alone here...?!\Reg! response:	Riko is...!
context: R-Riko...\Reg! Reg!\Sorry, Reg!\Y-you moved!\Don't leave me like that!\Did I just collapse and leave Riko all alone here...?!\Reg!\Riko is...! response:	Riko is in your hands now!
context: Reg! Reg!\Sorry, Reg!\Y-you moved!\Don't leave me like that!\Did I just collapse and leave Riko all alone here...?!\Reg!\Riko is...!\Riko is in your hands now! response:	Damn it...
context: Sorry, Reg!\Y-you moved!\Don't leave me like that!\Did I just collapse and leave Riko all alone here...?!\Reg!\Riko is...!\Riko is in your hands now!\Damn it... response:	Ah, that one's crying too now!
context: Y-you moved!\Don't leave me like that!\Did I just collapse and leave Riko all alone here...?!\Reg!\Riko is...!\Riko is in your hands now!\Damn it...\Ah, that one's crying too now! response:	Ozen has made yet another one cry.
context: Don't leave me like that!\Did I just collapse and leave Riko all alone here...?!\Reg!\Riko is...!\Riko is in your hands now!\Damn it...\Ah, that one's crying too now!\Ozen has made yet another one cry. response:	Poor things...
context: Did I just collapse and leave Riko all alone here...?!\Reg!\Riko is...!\Riko is in your hands now!\Damn it...\Ah, that one's crying too now!\Ozen has made yet another one cry.\Poor things... response:	Wh-who the heck...
context: Reg!\Riko is...!\Riko is in your hands now!\Damn it...\Ah, that one's crying too now!\Ozen has made yet another one cry.\Poor things...\Wh-who the heck... response:	a-are you guys?!
context: Riko is...!\Riko is in your hands now!\Damn it...\Ah, that one's crying too now!\Ozen has made yet another one cry.\Poor things...\Wh-who the heck...\a-are you guys?! response:	You mean us?
context: Riko is in your hands now!\Damn it...\Ah, that one's crying too now!\Ozen has made yet another one cry.\Poor things...\Wh-who the heck...\a-are you guys?!\You mean us? response:	We're Subterranean Bandits, Ozen's cave raider squad.
context: Damn it...\Ah, that one's crying too now!\Ozen has made yet another one cry.\Poor things...\Wh-who the heck...\a-are you guys?!\You mean us?\We're Subterranean Bandits, Ozen's cave raider squad. response:	They're a bunch of good-for-nothings with nowhere to call home on the surface.
context: Ah, that one's crying too now!\Ozen has made yet another one cry.\Poor things...\Wh-who the heck...\a-are you guys?!\You mean us?\We're Subterranean Bandits, Ozen's cave raider squad.\They're a bunch of good-for-nothings with nowhere to call home on the surface. response:	They were told to stay out of it, but Marulk called them here, you see.
context: Ozen has made yet another one cry.\Poor things...\Wh-who the heck...\a-are you guys?!\You mean us?\We're Subterranean Bandits, Ozen's cave raider squad.\They're a bunch of good-for-nothings with nowhere to call home on the surface.\They were told to stay out of it, but Marulk called them here, you see. response:	U-um...
context: Poor things...\Wh-who the heck...\a-are you guys?!\You mean us?\We're Subterranean Bandits, Ozen's cave raider squad.\They're a bunch of good-for-nothings with nowhere to call home on the surface.\They were told to stay out of it, but Marulk called them here, you see.\U-um... response:	Along with a brat who can't do anything but cry and make a fuss,
context: Wh-who the heck...\a-are you guys?!\You mean us?\We're Subterranean Bandits, Ozen's cave raider squad.\They're a bunch of good-for-nothings with nowhere to call home on the surface.\They were told to stay out of it, but Marulk called them here, you see.\U-um...\Along with a brat who can't do anything but cry and make a fuss, response:	we've got a mechanical doll who fires his weapon without even thinking and then faints...
context: a-are you guys?!\You mean us?\We're Subterranean Bandits, Ozen's cave raider squad.\They're a bunch of good-for-nothings with nowhere to call home on the surface.\They were told to stay out of it, but Marulk called them here, you see.\U-um...\Along with a brat who can't do anything but cry and make a fuss,\we've got a mechanical doll who fires his weapon without even thinking and then faints... response:	While those two didn't even make a single correct decision,
context: You mean us?\We're Subterranean Bandits, Ozen's cave raider squad.\They're a bunch of good-for-nothings with nowhere to call home on the surface.\They were told to stay out of it, but Marulk called them here, you see.\U-um...\Along with a brat who can't do anything but cry and make a fuss,\we've got a mechanical doll who fires his weapon without even thinking and then faints...\While those two didn't even make a single correct decision, response:	you acted in the most appropriate manner to save your friends.
context: We're Subterranean Bandits, Ozen's cave raider squad.\They're a bunch of good-for-nothings with nowhere to call home on the surface.\They were told to stay out of it, but Marulk called them here, you see.\U-um...\Along with a brat who can't do anything but cry and make a fuss,\we've got a mechanical doll who fires his weapon without even thinking and then faints...\While those two didn't even make a single correct decision,\you acted in the most appropriate manner to save your friends. response:	That's my apprentice for you.
context: They're a bunch of good-for-nothings with nowhere to call home on the surface.\They were told to stay out of it, but Marulk called them here, you see.\U-um...\Along with a brat who can't do anything but cry and make a fuss,\we've got a mechanical doll who fires his weapon without even thinking and then faints...\While those two didn't even make a single correct decision,\you acted in the most appropriate manner to save your friends.\That's my apprentice for you. response:	As punishment for disobeying my orders, I'll string you up naked later, though.
context: They were told to stay out of it, but Marulk called them here, you see.\U-um...\Along with a brat who can't do anything but cry and make a fuss,\we've got a mechanical doll who fires his weapon without even thinking and then faints...\While those two didn't even make a single correct decision,\you acted in the most appropriate manner to save your friends.\That's my apprentice for you.\As punishment for disobeying my orders, I'll string you up naked later, though. response:	Ozen told us to stay hidden while the two kiddies are here.
context: U-um...\Along with a brat who can't do anything but cry and make a fuss,\we've got a mechanical doll who fires his weapon without even thinking and then faints...\While those two didn't even make a single correct decision,\you acted in the most appropriate manner to save your friends.\That's my apprentice for you.\As punishment for disobeying my orders, I'll string you up naked later, though.\Ozen told us to stay hidden while the two kiddies are here. response:	But the ground shook countless times.
context: Along with a brat who can't do anything but cry and make a fuss,\we've got a mechanical doll who fires his weapon without even thinking and then faints...\While those two didn't even make a single correct decision,\you acted in the most appropriate manner to save your friends.\That's my apprentice for you.\As punishment for disobeying my orders, I'll string you up naked later, though.\Ozen told us to stay hidden while the two kiddies are here.\But the ground shook countless times. response:	And this kid also started sobbing and came rushing over to us.
context: we've got a mechanical doll who fires his weapon without even thinking and then faints...\While those two didn't even make a single correct decision,\you acted in the most appropriate manner to save your friends.\That's my apprentice for you.\As punishment for disobeying my orders, I'll string you up naked later, though.\Ozen told us to stay hidden while the two kiddies are here.\But the ground shook countless times.\And this kid also started sobbing and came rushing over to us. response:	I-is that right...?
context: While those two didn't even make a single correct decision,\you acted in the most appropriate manner to save your friends.\That's my apprentice for you.\As punishment for disobeying my orders, I'll string you up naked later, though.\Ozen told us to stay hidden while the two kiddies are here.\But the ground shook countless times.\And this kid also started sobbing and came rushing over to us.\I-is that right...? response:	Marulk... I'm sorry.
context: you acted in the most appropriate manner to save your friends.\That's my apprentice for you.\As punishment for disobeying my orders, I'll string you up naked later, though.\Ozen told us to stay hidden while the two kiddies are here.\But the ground shook countless times.\And this kid also started sobbing and came rushing over to us.\I-is that right...?\Marulk... I'm sorry. response:	I know you said you wanted to test Lyza's child, but you really overdid it.
context: That's my apprentice for you.\As punishment for disobeying my orders, I'll string you up naked later, though.\Ozen told us to stay hidden while the two kiddies are here.\But the ground shook countless times.\And this kid also started sobbing and came rushing over to us.\I-is that right...?\Marulk... I'm sorry.\I know you said you wanted to test Lyza's child, but you really overdid it. response:	Wh-what do you mean by that?!
context: As punishment for disobeying my orders, I'll string you up naked later, though.\Ozen told us to stay hidden while the two kiddies are here.\But the ground shook countless times.\And this kid also started sobbing and came rushing over to us.\I-is that right...?\Marulk... I'm sorry.\I know you said you wanted to test Lyza's child, but you really overdid it.\Wh-what do you mean by that?! response:	Just what it sounds like.
context: Ozen told us to stay hidden while the two kiddies are here.\But the ground shook countless times.\And this kid also started sobbing and came rushing over to us.\I-is that right...?\Marulk... I'm sorry.\I know you said you wanted to test Lyza's child, but you really overdid it.\Wh-what do you mean by that?!\Just what it sounds like. response:	Are you saying that was all... j-just some act?!
context: But the ground shook countless times.\And this kid also started sobbing and came rushing over to us.\I-is that right...?\Marulk... I'm sorry.\I know you said you wanted to test Lyza's child, but you really overdid it.\Wh-what do you mean by that?!\Just what it sounds like.\Are you saying that was all... j-just some act?! response:	I'm being serious.
context: And this kid also started sobbing and came rushing over to us.\I-is that right...?\Marulk... I'm sorry.\I know you said you wanted to test Lyza's child, but you really overdid it.\Wh-what do you mean by that?!\Just what it sounds like.\Are you saying that was all... j-just some act?!\I'm being serious. response:	If I don't go all out, I won't get the point across, will I?
context: I-is that right...?\Marulk... I'm sorry.\I know you said you wanted to test Lyza's child, but you really overdid it.\Wh-what do you mean by that?!\Just what it sounds like.\Are you saying that was all... j-just some act?!\I'm being serious.\If I don't go all out, I won't get the point across, will I? response:	I hate deceiving children, you know.
context: Marulk... I'm sorry.\I know you said you wanted to test Lyza's child, but you really overdid it.\Wh-what do you mean by that?!\Just what it sounds like.\Are you saying that was all... j-just some act?!\I'm being serious.\If I don't go all out, I won't get the point across, will I?\I hate deceiving children, you know. response:	Th-then...
context: I know you said you wanted to test Lyza's child, but you really overdid it.\Wh-what do you mean by that?!\Just what it sounds like.\Are you saying that was all... j-just some act?!\I'm being serious.\If I don't go all out, I won't get the point across, will I?\I hate deceiving children, you know.\Th-then... response:	that part about disposing of the Aubade was...?
context: Wh-what do you mean by that?!\Just what it sounds like.\Are you saying that was all... j-just some act?!\I'm being serious.\If I don't go all out, I won't get the point across, will I?\I hate deceiving children, you know.\Th-then...\that part about disposing of the Aubade was...? response:	I never had any intention of doing that, of course.
context: Just what it sounds like.\Are you saying that was all... j-just some act?!\I'm being serious.\If I don't go all out, I won't get the point across, will I?\I hate deceiving children, you know.\Th-then...\that part about disposing of the Aubade was...?\I never had any intention of doing that, of course. response:	It's just that you're too sturdy.
context: Are you saying that was all... j-just some act?!\I'm being serious.\If I don't go all out, I won't get the point across, will I?\I hate deceiving children, you know.\Th-then...\that part about disposing of the Aubade was...?\I never had any intention of doing that, of course.\It's just that you're too sturdy. response:	No matter how many times I hit you, you weren't breaking, so I got more and more into it.
