context: Ladies and gentlemen, good evening. response:	Those who forge their own destiny. Those who balk at their own destiny.
context: Those are...!\Amazing! This is amazing!\I appreciate your candor.\Now, accept my humble way of repaying you for your bullets.\P-Please, wait!\Wait, Edmond!\Rejoice. Everything that you touch turns to gold.\Hey, wait a minute! response:	Take it.
context: Amazing! This is amazing!\I appreciate your candor.\Now, accept my humble way of repaying you for your bullets.\P-Please, wait!\Wait, Edmond!\Rejoice. Everything that you touch turns to gold.\Hey, wait a minute!\Take it. response:	Hey! Wait a minute! Don't leave me here!
context: I appreciate your candor.\Now, accept my humble way of repaying you for your bullets.\P-Please, wait!\Wait, Edmond!\Rejoice. Everything that you touch turns to gold.\Hey, wait a minute!\Take it.\Hey! Wait a minute! Don't leave me here! response:	Please! Come back!
context: Now, accept my humble way of repaying you for your bullets.\P-Please, wait!\Wait, Edmond!\Rejoice. Everything that you touch turns to gold.\Hey, wait a minute!\Take it.\Hey! Wait a minute! Don't leave me here!\Please! Come back! response:	And that is one...
context: P-Please, wait!\Wait, Edmond!\Rejoice. Everything that you touch turns to gold.\Hey, wait a minute!\Take it.\Hey! Wait a minute! Don't leave me here!\Please! Come back!\And that is one... response:	Find somewhere else to sleep!
context: Wait, Edmond!\Rejoice. Everything that you touch turns to gold.\Hey, wait a minute!\Take it.\Hey! Wait a minute! Don't leave me here!\Please! Come back!\And that is one...\Find somewhere else to sleep! response:	Where's the Count?
context: Rejoice. Everything that you touch turns to gold.\Hey, wait a minute!\Take it.\Hey! Wait a minute! Don't leave me here!\Please! Come back!\And that is one...\Find somewhere else to sleep!\Where's the Count? response:	You've been waiting for him all this time? Gee, what a tenacious young man you are.
context: Hey, wait a minute!\Take it.\Hey! Wait a minute! Don't leave me here!\Please! Come back!\And that is one...\Find somewhere else to sleep!\Where's the Count?\You've been waiting for him all this time? Gee, what a tenacious young man you are. response:	Don't mock me! I'm...
context: Take it.\Hey! Wait a minute! Don't leave me here!\Please! Come back!\And that is one...\Find somewhere else to sleep!\Where's the Count?\You've been waiting for him all this time? Gee, what a tenacious young man you are.\Don't mock me! I'm... response:	I simply must speak with the Count! Is that it?
context: Hey! Wait a minute! Don't leave me here!\Please! Come back!\And that is one...\Find somewhere else to sleep!\Where's the Count?\You've been waiting for him all this time? Gee, what a tenacious young man you are.\Don't mock me! I'm...\I simply must speak with the Count! Is that it? response:	Lay off! You're just his lackey, so this is none of your business!
context: Please! Come back!\And that is one...\Find somewhere else to sleep!\Where's the Count?\You've been waiting for him all this time? Gee, what a tenacious young man you are.\Don't mock me! I'm...\I simply must speak with the Count! Is that it?\Lay off! You're just his lackey, so this is none of your business! response:	Gosh, and here I was about to tell you where the Count is...
context: And that is one...\Find somewhere else to sleep!\Where's the Count?\You've been waiting for him all this time? Gee, what a tenacious young man you are.\Don't mock me! I'm...\I simply must speak with the Count! Is that it?\Lay off! You're just his lackey, so this is none of your business!\Gosh, and here I was about to tell you where the Count is... response:	Come on, wipe that look off your face.
context: Find somewhere else to sleep!\Where's the Count?\You've been waiting for him all this time? Gee, what a tenacious young man you are.\Don't mock me! I'm...\I simply must speak with the Count! Is that it?\Lay off! You're just his lackey, so this is none of your business!\Gosh, and here I was about to tell you where the Count is...\Come on, wipe that look off your face. response:	The Count's in space. Right about now, I bet Danglars is...
context: Where's the Count?\You've been waiting for him all this time? Gee, what a tenacious young man you are.\Don't mock me! I'm...\I simply must speak with the Count! Is that it?\Lay off! You're just his lackey, so this is none of your business!\Gosh, and here I was about to tell you where the Count is...\Come on, wipe that look off your face.\The Count's in space. Right about now, I bet Danglars is... response:	You're kidding!
context: You've been waiting for him all this time? Gee, what a tenacious young man you are.\Don't mock me! I'm...\I simply must speak with the Count! Is that it?\Lay off! You're just his lackey, so this is none of your business!\Gosh, and here I was about to tell you where the Count is...\Come on, wipe that look off your face.\The Count's in space. Right about now, I bet Danglars is...\You're kidding! response:	You can try to put up a fight all you want, but it won't do you any good at this point.
context: Don't mock me! I'm...\I simply must speak with the Count! Is that it?\Lay off! You're just his lackey, so this is none of your business!\Gosh, and here I was about to tell you where the Count is...\Come on, wipe that look off your face.\The Count's in space. Right about now, I bet Danglars is...\You're kidding!\You can try to put up a fight all you want, but it won't do you any good at this point. response:	You're the Count's right-hand man, aren't you?!
context: I simply must speak with the Count! Is that it?\Lay off! You're just his lackey, so this is none of your business!\Gosh, and here I was about to tell you where the Count is...\Come on, wipe that look off your face.\The Count's in space. Right about now, I bet Danglars is...\You're kidding!\You can try to put up a fight all you want, but it won't do you any good at this point.\You're the Count's right-hand man, aren't you?! response:	Why? Why don't you stop him?!
context: Lay off! You're just his lackey, so this is none of your business!\Gosh, and here I was about to tell you where the Count is...\Come on, wipe that look off your face.\The Count's in space. Right about now, I bet Danglars is...\You're kidding!\You can try to put up a fight all you want, but it won't do you any good at this point.\You're the Count's right-hand man, aren't you?!\Why? Why don't you stop him?! response:	Why can't you understand how the Count really feels?!
context: Gosh, and here I was about to tell you where the Count is...\Come on, wipe that look off your face.\The Count's in space. Right about now, I bet Danglars is...\You're kidding!\You can try to put up a fight all you want, but it won't do you any good at this point.\You're the Count's right-hand man, aren't you?!\Why? Why don't you stop him?!\Why can't you understand how the Count really feels?! response:	Why?!
context: Come on, wipe that look off your face.\The Count's in space. Right about now, I bet Danglars is...\You're kidding!\You can try to put up a fight all you want, but it won't do you any good at this point.\You're the Count's right-hand man, aren't you?!\Why? Why don't you stop him?!\Why can't you understand how the Count really feels?!\Why?! response:	Don't talk like you know everything!
context: The Count's in space. Right about now, I bet Danglars is...\You're kidding!\You can try to put up a fight all you want, but it won't do you any good at this point.\You're the Count's right-hand man, aren't you?!\Why? Why don't you stop him?!\Why can't you understand how the Count really feels?!\Why?!\Don't talk like you know everything! response:	Why can't YOU understand?
context: You're kidding!\You can try to put up a fight all you want, but it won't do you any good at this point.\You're the Count's right-hand man, aren't you?!\Why? Why don't you stop him?!\Why can't you understand how the Count really feels?!\Why?!\Don't talk like you know everything!\Why can't YOU understand? response:	That he has to get revenge in spite of everything.
context: You can try to put up a fight all you want, but it won't do you any good at this point.\You're the Count's right-hand man, aren't you?!\Why? Why don't you stop him?!\Why can't you understand how the Count really feels?!\Why?!\Don't talk like you know everything!\Why can't YOU understand?\That he has to get revenge in spite of everything. response:	That he can't forget the past in spite of everything.
context: You're the Count's right-hand man, aren't you?!\Why? Why don't you stop him?!\Why can't you understand how the Count really feels?!\Why?!\Don't talk like you know everything!\Why can't YOU understand?\That he has to get revenge in spite of everything.\That he can't forget the past in spite of everything. response:	He has to do all that in spite of how he feels.
context: Why? Why don't you stop him?!\Why can't you understand how the Count really feels?!\Why?!\Don't talk like you know everything!\Why can't YOU understand?\That he has to get revenge in spite of everything.\That he can't forget the past in spite of everything.\He has to do all that in spite of how he feels. response:	Maybe so, but there's something that I have to tell the Count before he loses everything!
context: Why can't you understand how the Count really feels?!\Why?!\Don't talk like you know everything!\Why can't YOU understand?\That he has to get revenge in spite of everything.\That he can't forget the past in spite of everything.\He has to do all that in spite of how he feels.\Maybe so, but there's something that I have to tell the Count before he loses everything! response:	They say that Villefort's first trial hearing is gonna be tomorrow.
context: Why?!\Don't talk like you know everything!\Why can't YOU understand?\That he has to get revenge in spite of everything.\That he can't forget the past in spite of everything.\He has to do all that in spite of how he feels.\Maybe so, but there's something that I have to tell the Count before he loses everything!\They say that Villefort's first trial hearing is gonna be tomorrow. response:	Now, it's time for little boys to be in bed! Go on home!
context: Don't talk like you know everything!\Why can't YOU understand?\That he has to get revenge in spite of everything.\That he can't forget the past in spite of everything.\He has to do all that in spite of how he feels.\Maybe so, but there's something that I have to tell the Count before he loses everything!\They say that Villefort's first trial hearing is gonna be tomorrow.\Now, it's time for little boys to be in bed! Go on home! response:	Count, this kid might be tougher than you think he is.
context: Why can't YOU understand?\That he has to get revenge in spite of everything.\That he can't forget the past in spite of everything.\He has to do all that in spite of how he feels.\Maybe so, but there's something that I have to tell the Count before he loses everything!\They say that Villefort's first trial hearing is gonna be tomorrow.\Now, it's time for little boys to be in bed! Go on home!\Count, this kid might be tougher than you think he is. response:	This trial in the cases of the poisoning in the Villefort household,
context: That he has to get revenge in spite of everything.\That he can't forget the past in spite of everything.\He has to do all that in spite of how he feels.\Maybe so, but there's something that I have to tell the Count before he loses everything!\They say that Villefort's first trial hearing is gonna be tomorrow.\Now, it's time for little boys to be in bed! Go on home!\Count, this kid might be tougher than you think he is.\This trial in the cases of the poisoning in the Villefort household, response:	I would like to make a statement before we begin.
context: That he can't forget the past in spite of everything.\He has to do all that in spite of how he feels.\Maybe so, but there's something that I have to tell the Count before he loses everything!\They say that Villefort's first trial hearing is gonna be tomorrow.\Now, it's time for little boys to be in bed! Go on home!\Count, this kid might be tougher than you think he is.\This trial in the cases of the poisoning in the Villefort household,\I would like to make a statement before we begin. response:	My actions were not out of self-interest.
context: He has to do all that in spite of how he feels.\Maybe so, but there's something that I have to tell the Count before he loses everything!\They say that Villefort's first trial hearing is gonna be tomorrow.\Now, it's time for little boys to be in bed! Go on home!\Count, this kid might be tougher than you think he is.\This trial in the cases of the poisoning in the Villefort household,\I would like to make a statement before we begin.\My actions were not out of self-interest. response:	I did what I did in order to protect the peace and public order of Paris.
context: Maybe so, but there's something that I have to tell the Count before he loses everything!\They say that Villefort's first trial hearing is gonna be tomorrow.\Now, it's time for little boys to be in bed! Go on home!\Count, this kid might be tougher than you think he is.\This trial in the cases of the poisoning in the Villefort household,\I would like to make a statement before we begin.\My actions were not out of self-interest.\I did what I did in order to protect the peace and public order of Paris. response:	As such, I plead not guilty with no shame or remorse for my actions,
context: They say that Villefort's first trial hearing is gonna be tomorrow.\Now, it's time for little boys to be in bed! Go on home!\Count, this kid might be tougher than you think he is.\This trial in the cases of the poisoning in the Villefort household,\I would like to make a statement before we begin.\My actions were not out of self-interest.\I did what I did in order to protect the peace and public order of Paris.\As such, I plead not guilty with no shame or remorse for my actions, response:	You can't come in if you don't have a permit! Go away!
context: Now, it's time for little boys to be in bed! Go on home!\Count, this kid might be tougher than you think he is.\This trial in the cases of the poisoning in the Villefort household,\I would like to make a statement before we begin.\My actions were not out of self-interest.\I did what I did in order to protect the peace and public order of Paris.\As such, I plead not guilty with no shame or remorse for my actions,\You can't come in if you don't have a permit! Go away! response:	This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife,
context: Count, this kid might be tougher than you think he is.\This trial in the cases of the poisoning in the Villefort household,\I would like to make a statement before we begin.\My actions were not out of self-interest.\I did what I did in order to protect the peace and public order of Paris.\As such, I plead not guilty with no shame or remorse for my actions,\You can't come in if you don't have a permit! Go away!\This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife, response:	In addition to falsely accusing the Count of Monte Cristo for these murders,
context: This trial in the cases of the poisoning in the Villefort household,\I would like to make a statement before we begin.\My actions were not out of self-interest.\I did what I did in order to protect the peace and public order of Paris.\As such, I plead not guilty with no shame or remorse for my actions,\You can't come in if you don't have a permit! Go away!\This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife,\In addition to falsely accusing the Count of Monte Cristo for these murders, response:	Rather than being motivated by love for his wife,
context: I would like to make a statement before we begin.\My actions were not out of self-interest.\I did what I did in order to protect the peace and public order of Paris.\As such, I plead not guilty with no shame or remorse for my actions,\You can't come in if you don't have a permit! Go away!\This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife,\In addition to falsely accusing the Count of Monte Cristo for these murders,\Rather than being motivated by love for his wife, response:	How dare you?!
context: My actions were not out of self-interest.\I did what I did in order to protect the peace and public order of Paris.\As such, I plead not guilty with no shame or remorse for my actions,\You can't come in if you don't have a permit! Go away!\This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife,\In addition to falsely accusing the Count of Monte Cristo for these murders,\Rather than being motivated by love for his wife,\How dare you?! response:	Monte Cristo is a disruptive element who is throwing Paris into turmoil!
context: I did what I did in order to protect the peace and public order of Paris.\As such, I plead not guilty with no shame or remorse for my actions,\You can't come in if you don't have a permit! Go away!\This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife,\In addition to falsely accusing the Count of Monte Cristo for these murders,\Rather than being motivated by love for his wife,\How dare you?!\Monte Cristo is a disruptive element who is throwing Paris into turmoil! response:	Another possibility is that he is a spy sent here by the Empire.
context: As such, I plead not guilty with no shame or remorse for my actions,\You can't come in if you don't have a permit! Go away!\This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife,\In addition to falsely accusing the Count of Monte Cristo for these murders,\Rather than being motivated by love for his wife,\How dare you?!\Monte Cristo is a disruptive element who is throwing Paris into turmoil!\Another possibility is that he is a spy sent here by the Empire. response:	As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo!
context: You can't come in if you don't have a permit! Go away!\This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife,\In addition to falsely accusing the Count of Monte Cristo for these murders,\Rather than being motivated by love for his wife,\How dare you?!\Monte Cristo is a disruptive element who is throwing Paris into turmoil!\Another possibility is that he is a spy sent here by the Empire.\As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo! response:	Is that really the case, I wonder?
context: This poisoning was the result of the attempt by HeloIse, Monsieur Villefort's second wife,\In addition to falsely accusing the Count of Monte Cristo for these murders,\Rather than being motivated by love for his wife,\How dare you?!\Monte Cristo is a disruptive element who is throwing Paris into turmoil!\Another possibility is that he is a spy sent here by the Empire.\As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo!\Is that really the case, I wonder? response:	What are you implying?!
context: In addition to falsely accusing the Count of Monte Cristo for these murders,\Rather than being motivated by love for his wife,\How dare you?!\Monte Cristo is a disruptive element who is throwing Paris into turmoil!\Another possibility is that he is a spy sent here by the Empire.\As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo!\Is that really the case, I wonder?\What are you implying?! response:	I would like to call a witness who can shed some light on the defendant's past.
context: Rather than being motivated by love for his wife,\How dare you?!\Monte Cristo is a disruptive element who is throwing Paris into turmoil!\Another possibility is that he is a spy sent here by the Empire.\As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo!\Is that really the case, I wonder?\What are you implying?!\I would like to call a witness who can shed some light on the defendant's past. response:	Order in the courtroom! Witness, state your name.
context: How dare you?!\Monte Cristo is a disruptive element who is throwing Paris into turmoil!\Another possibility is that he is a spy sent here by the Empire.\As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo!\Is that really the case, I wonder?\What are you implying?!\I would like to call a witness who can shed some light on the defendant's past.\Order in the courtroom! Witness, state your name. response:	My name is Andrea Cavalcanti.
context: Monte Cristo is a disruptive element who is throwing Paris into turmoil!\Another possibility is that he is a spy sent here by the Empire.\As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo!\Is that really the case, I wonder?\What are you implying?!\I would like to call a witness who can shed some light on the defendant's past.\Order in the courtroom! Witness, state your name.\My name is Andrea Cavalcanti. response:	Admittedly, it is an alias.
context: Another possibility is that he is a spy sent here by the Empire.\As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo!\Is that really the case, I wonder?\What are you implying?!\I would like to call a witness who can shed some light on the defendant's past.\Order in the courtroom! Witness, state your name.\My name is Andrea Cavalcanti.\Admittedly, it is an alias. response:	The witness will answer the question truthfully.
context: As a faithful officer of the court, I call for the immediate arrest of the Count of Monte Cristo!\Is that really the case, I wonder?\What are you implying?!\I would like to call a witness who can shed some light on the defendant's past.\Order in the courtroom! Witness, state your name.\My name is Andrea Cavalcanti.\Admittedly, it is an alias.\The witness will answer the question truthfully. response:	In the orphanage, I was called Benedetto.
context: Is that really the case, I wonder?\What are you implying?!\I would like to call a witness who can shed some light on the defendant's past.\Order in the courtroom! Witness, state your name.\My name is Andrea Cavalcanti.\Admittedly, it is an alias.\The witness will answer the question truthfully.\In the orphanage, I was called Benedetto. response:	But I don't know my real name.
context: What are you implying?!\I would like to call a witness who can shed some light on the defendant's past.\Order in the courtroom! Witness, state your name.\My name is Andrea Cavalcanti.\Admittedly, it is an alias.\The witness will answer the question truthfully.\In the orphanage, I was called Benedetto.\But I don't know my real name. response:	I see here that you were known to the public as the head of a notable aristocratic family?
context: I would like to call a witness who can shed some light on the defendant's past.\Order in the courtroom! Witness, state your name.\My name is Andrea Cavalcanti.\Admittedly, it is an alias.\The witness will answer the question truthfully.\In the orphanage, I was called Benedetto.\But I don't know my real name.\I see here that you were known to the public as the head of a notable aristocratic family? response:	Please, stop that. I'm not an aristocrat. I'm nothing of the sort.
context: Order in the courtroom! Witness, state your name.\My name is Andrea Cavalcanti.\Admittedly, it is an alias.\The witness will answer the question truthfully.\In the orphanage, I was called Benedetto.\But I don't know my real name.\I see here that you were known to the public as the head of a notable aristocratic family?\Please, stop that. I'm not an aristocrat. I'm nothing of the sort. response:	I was abandoned as an infant, raised in an orphanage,
context: My name is Andrea Cavalcanti.\Admittedly, it is an alias.\The witness will answer the question truthfully.\In the orphanage, I was called Benedetto.\But I don't know my real name.\I see here that you were known to the public as the head of a notable aristocratic family?\Please, stop that. I'm not an aristocrat. I'm nothing of the sort.\I was abandoned as an infant, raised in an orphanage, response:	Larceny. Arson. And even murder.
context: Admittedly, it is an alias.\The witness will answer the question truthfully.\In the orphanage, I was called Benedetto.\But I don't know my real name.\I see here that you were known to the public as the head of a notable aristocratic family?\Please, stop that. I'm not an aristocrat. I'm nothing of the sort.\I was abandoned as an infant, raised in an orphanage,\Larceny. Arson. And even murder. response:	And what does this have to do with the case at hand?
context: The witness will answer the question truthfully.\In the orphanage, I was called Benedetto.\But I don't know my real name.\I see here that you were known to the public as the head of a notable aristocratic family?\Please, stop that. I'm not an aristocrat. I'm nothing of the sort.\I was abandoned as an infant, raised in an orphanage,\Larceny. Arson. And even murder.\And what does this have to do with the case at hand? response:	A great deal. I've come here today to tell the story of the secret behind my birth.
context: In the orphanage, I was called Benedetto.\But I don't know my real name.\I see here that you were known to the public as the head of a notable aristocratic family?\Please, stop that. I'm not an aristocrat. I'm nothing of the sort.\I was abandoned as an infant, raised in an orphanage,\Larceny. Arson. And even murder.\And what does this have to do with the case at hand?\A great deal. I've come here today to tell the story of the secret behind my birth. response:	Quit your joking!
context: But I don't know my real name.\I see here that you were known to the public as the head of a notable aristocratic family?\Please, stop that. I'm not an aristocrat. I'm nothing of the sort.\I was abandoned as an infant, raised in an orphanage,\Larceny. Arson. And even murder.\And what does this have to do with the case at hand?\A great deal. I've come here today to tell the story of the secret behind my birth.\Quit your joking! response:	Order in the courtroom! Continue with your testimony.
context: I see here that you were known to the public as the head of a notable aristocratic family?\Please, stop that. I'm not an aristocrat. I'm nothing of the sort.\I was abandoned as an infant, raised in an orphanage,\Larceny. Arson. And even murder.\And what does this have to do with the case at hand?\A great deal. I've come here today to tell the story of the secret behind my birth.\Quit your joking!\Order in the courtroom! Continue with your testimony. response:	I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa.
context: Please, stop that. I'm not an aristocrat. I'm nothing of the sort.\I was abandoned as an infant, raised in an orphanage,\Larceny. Arson. And even murder.\And what does this have to do with the case at hand?\A great deal. I've come here today to tell the story of the secret behind my birth.\Quit your joking!\Order in the courtroom! Continue with your testimony.\I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa. response:	I was buried alive immediately after I was born.
context: I was abandoned as an infant, raised in an orphanage,\Larceny. Arson. And even murder.\And what does this have to do with the case at hand?\A great deal. I've come here today to tell the story of the secret behind my birth.\Quit your joking!\Order in the courtroom! Continue with your testimony.\I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa.\I was buried alive immediately after I was born. response:	I was placed in a tiny coffin.
context: Larceny. Arson. And even murder.\And what does this have to do with the case at hand?\A great deal. I've come here today to tell the story of the secret behind my birth.\Quit your joking!\Order in the courtroom! Continue with your testimony.\I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa.\I was buried alive immediately after I was born.\I was placed in a tiny coffin. response:	My father must have been in a complete panic.
context: And what does this have to do with the case at hand?\A great deal. I've come here today to tell the story of the secret behind my birth.\Quit your joking!\Order in the courtroom! Continue with your testimony.\I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa.\I was buried alive immediately after I was born.\I was placed in a tiny coffin.\My father must have been in a complete panic. response:	A judge with a promising future having a child by his lover?
context: A great deal. I've come here today to tell the story of the secret behind my birth.\Quit your joking!\Order in the courtroom! Continue with your testimony.\I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa.\I was buried alive immediately after I was born.\I was placed in a tiny coffin.\My father must have been in a complete panic.\A judge with a promising future having a child by his lover? response:	That sort of thing is frowned upon.
context: Quit your joking!\Order in the courtroom! Continue with your testimony.\I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa.\I was buried alive immediately after I was born.\I was placed in a tiny coffin.\My father must have been in a complete panic.\A judge with a promising future having a child by his lover?\That sort of thing is frowned upon. response:	So he sheltered my mother in the mansion at Auteuil, and he then took me and...
context: Order in the courtroom! Continue with your testimony.\I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa.\I was buried alive immediately after I was born.\I was placed in a tiny coffin.\My father must have been in a complete panic.\A judge with a promising future having a child by his lover?\That sort of thing is frowned upon.\So he sheltered my mother in the mansion at Auteuil, and he then took me and... response:	Your Honor! Perhaps we should adjourn for the day.
context: I was born in Auteuil. In the estate that the Count of Monte Cristo now uses as his villa.\I was buried alive immediately after I was born.\I was placed in a tiny coffin.\My father must have been in a complete panic.\A judge with a promising future having a child by his lover?\That sort of thing is frowned upon.\So he sheltered my mother in the mansion at Auteuil, and he then took me and...\Your Honor! Perhaps we should adjourn for the day. response:	The defendant will remain silent!
context: I was buried alive immediately after I was born.\I was placed in a tiny coffin.\My father must have been in a complete panic.\A judge with a promising future having a child by his lover?\That sort of thing is frowned upon.\So he sheltered my mother in the mansion at Auteuil, and he then took me and...\Your Honor! Perhaps we should adjourn for the day.\The defendant will remain silent! response:	He's obviously nothing but a blackmailer who was hired by someone!
context: I was placed in a tiny coffin.\My father must have been in a complete panic.\A judge with a promising future having a child by his lover?\That sort of thing is frowned upon.\So he sheltered my mother in the mansion at Auteuil, and he then took me and...\Your Honor! Perhaps we should adjourn for the day.\The defendant will remain silent!\He's obviously nothing but a blackmailer who was hired by someone! response:	Who hired you?!
context: My father must have been in a complete panic.\A judge with a promising future having a child by his lover?\That sort of thing is frowned upon.\So he sheltered my mother in the mansion at Auteuil, and he then took me and...\Your Honor! Perhaps we should adjourn for the day.\The defendant will remain silent!\He's obviously nothing but a blackmailer who was hired by someone!\Who hired you?! response:	Is this any way to treat me? After all, we haven't seen one another for 17 years.
context: A judge with a promising future having a child by his lover?\That sort of thing is frowned upon.\So he sheltered my mother in the mansion at Auteuil, and he then took me and...\Your Honor! Perhaps we should adjourn for the day.\The defendant will remain silent!\He's obviously nothing but a blackmailer who was hired by someone!\Who hired you?!\Is this any way to treat me? After all, we haven't seen one another for 17 years. response:	The people enter into evidence the results of DNA testing on the defendant and the witness.
context: That sort of thing is frowned upon.\So he sheltered my mother in the mansion at Auteuil, and he then took me and...\Your Honor! Perhaps we should adjourn for the day.\The defendant will remain silent!\He's obviously nothing but a blackmailer who was hired by someone!\Who hired you?!\Is this any way to treat me? After all, we haven't seen one another for 17 years.\The people enter into evidence the results of DNA testing on the defendant and the witness. response:	What is this?
context: So he sheltered my mother in the mansion at Auteuil, and he then took me and...\Your Honor! Perhaps we should adjourn for the day.\The defendant will remain silent!\He's obviously nothing but a blackmailer who was hired by someone!\Who hired you?!\Is this any way to treat me? After all, we haven't seen one another for 17 years.\The people enter into evidence the results of DNA testing on the defendant and the witness.\What is this? response:	The coffin. The coffin that my parents gave to me instead of a crib.
context: Your Honor! Perhaps we should adjourn for the day.\The defendant will remain silent!\He's obviously nothing but a blackmailer who was hired by someone!\Who hired you?!\Is this any way to treat me? After all, we haven't seen one another for 17 years.\The people enter into evidence the results of DNA testing on the defendant and the witness.\What is this?\The coffin. The coffin that my parents gave to me instead of a crib. response:	Please, stop this!
context: The defendant will remain silent!\He's obviously nothing but a blackmailer who was hired by someone!\Who hired you?!\Is this any way to treat me? After all, we haven't seen one another for 17 years.\The people enter into evidence the results of DNA testing on the defendant and the witness.\What is this?\The coffin. The coffin that my parents gave to me instead of a crib.\Please, stop this! response:	I beg of you! Please, no more!
context: He's obviously nothing but a blackmailer who was hired by someone!\Who hired you?!\Is this any way to treat me? After all, we haven't seen one another for 17 years.\The people enter into evidence the results of DNA testing on the defendant and the witness.\What is this?\The coffin. The coffin that my parents gave to me instead of a crib.\Please, stop this!\I beg of you! Please, no more! response:	What wonderful timing. Allow me to introduce my mother.
context: Who hired you?!\Is this any way to treat me? After all, we haven't seen one another for 17 years.\The people enter into evidence the results of DNA testing on the defendant and the witness.\What is this?\The coffin. The coffin that my parents gave to me instead of a crib.\Please, stop this!\I beg of you! Please, no more!\What wonderful timing. Allow me to introduce my mother. response:	This is Baroness Victoria Danglars.
context: Is this any way to treat me? After all, we haven't seen one another for 17 years.\The people enter into evidence the results of DNA testing on the defendant and the witness.\What is this?\The coffin. The coffin that my parents gave to me instead of a crib.\Please, stop this!\I beg of you! Please, no more!\What wonderful timing. Allow me to introduce my mother.\This is Baroness Victoria Danglars. response:	Come now, Mother, isn't that true?
context: The people enter into evidence the results of DNA testing on the defendant and the witness.\What is this?\The coffin. The coffin that my parents gave to me instead of a crib.\Please, stop this!\I beg of you! Please, no more!\What wonderful timing. Allow me to introduce my mother.\This is Baroness Victoria Danglars.\Come now, Mother, isn't that true? response:	Father shoved me into this box and then buried me...
context: What is this?\The coffin. The coffin that my parents gave to me instead of a crib.\Please, stop this!\I beg of you! Please, no more!\What wonderful timing. Allow me to introduce my mother.\This is Baroness Victoria Danglars.\Come now, Mother, isn't that true?\Father shoved me into this box and then buried me... response:	My boy... My darling baby!
context: The coffin. The coffin that my parents gave to me instead of a crib.\Please, stop this!\I beg of you! Please, no more!\What wonderful timing. Allow me to introduce my mother.\This is Baroness Victoria Danglars.\Come now, Mother, isn't that true?\Father shoved me into this box and then buried me...\My boy... My darling baby! response:	Forgive me... Please, forgive your mother!
context: Please, stop this!\I beg of you! Please, no more!\What wonderful timing. Allow me to introduce my mother.\This is Baroness Victoria Danglars.\Come now, Mother, isn't that true?\Father shoved me into this box and then buried me...\My boy... My darling baby!\Forgive me... Please, forgive your mother! response:	Be quiet! Shut up this instant!
context: I beg of you! Please, no more!\What wonderful timing. Allow me to introduce my mother.\This is Baroness Victoria Danglars.\Come now, Mother, isn't that true?\Father shoved me into this box and then buried me...\My boy... My darling baby!\Forgive me... Please, forgive your mother!\Be quiet! Shut up this instant! response:	She's out of her mind!
context: What wonderful timing. Allow me to introduce my mother.\This is Baroness Victoria Danglars.\Come now, Mother, isn't that true?\Father shoved me into this box and then buried me...\My boy... My darling baby!\Forgive me... Please, forgive your mother!\Be quiet! Shut up this instant!\She's out of her mind! response:	Father! Don't say such things about Mother.
context: This is Baroness Victoria Danglars.\Come now, Mother, isn't that true?\Father shoved me into this box and then buried me...\My boy... My darling baby!\Forgive me... Please, forgive your mother!\Be quiet! Shut up this instant!\She's out of her mind!\Father! Don't say such things about Mother. response:	What a terrible thing to say.
context: Come now, Mother, isn't that true?\Father shoved me into this box and then buried me...\My boy... My darling baby!\Forgive me... Please, forgive your mother!\Be quiet! Shut up this instant!\She's out of her mind!\Father! Don't say such things about Mother.\What a terrible thing to say. response:	It's him! He must be the one who put you up to this!
context: Father shoved me into this box and then buried me...\My boy... My darling baby!\Forgive me... Please, forgive your mother!\Be quiet! Shut up this instant!\She's out of her mind!\Father! Don't say such things about Mother.\What a terrible thing to say.\It's him! He must be the one who put you up to this! response:	Your Honor, he made up this entire preposterous story!
