context: All four of you are going to hell. response:	Nii-san's the only one that stands a chance anymore!
context: That's the only plausible explanation.\Seriously, someone your age needs to quit messing around.\Wh...\What could you possibly know?!\To hell with society!\Don't try and lecture me when you've only seen its good side!\As soon as I was born, I was abandoned by my parents.\I was all alone. response:	One happy family?
context: Seriously, someone your age needs to quit messing around.\Wh...\What could you possibly know?!\To hell with society!\Don't try and lecture me when you've only seen its good side!\As soon as I was born, I was abandoned by my parents.\I was all alone.\One happy family? response:	Mother's cooking?
context: Wh...\What could you possibly know?!\To hell with society!\Don't try and lecture me when you've only seen its good side!\As soon as I was born, I was abandoned by my parents.\I was all alone.\One happy family?\Mother's cooking? response:	I got to experience none of that as a boy.
context: What could you possibly know?!\To hell with society!\Don't try and lecture me when you've only seen its good side!\As soon as I was born, I was abandoned by my parents.\I was all alone.\One happy family?\Mother's cooking?\I got to experience none of that as a boy. response:	I was terribly bullied at an orphanage, and I cursed the world!
context: To hell with society!\Don't try and lecture me when you've only seen its good side!\As soon as I was born, I was abandoned by my parents.\I was all alone.\One happy family?\Mother's cooking?\I got to experience none of that as a boy.\I was terribly bullied at an orphanage, and I cursed the world! response:	Curse
context: Don't try and lecture me when you've only seen its good side!\As soon as I was born, I was abandoned by my parents.\I was all alone.\One happy family?\Mother's cooking?\I got to experience none of that as a boy.\I was terribly bullied at an orphanage, and I cursed the world!\Curse response:	If I hadn't, I wouldn't have survived!
context: As soon as I was born, I was abandoned by my parents.\I was all alone.\One happy family?\Mother's cooking?\I got to experience none of that as a boy.\I was terribly bullied at an orphanage, and I cursed the world!\Curse\If I hadn't, I wouldn't have survived! response:	And then I awakened to my powers...
context: I was all alone.\One happy family?\Mother's cooking?\I got to experience none of that as a boy.\I was terribly bullied at an orphanage, and I cursed the world!\Curse\If I hadn't, I wouldn't have survived!\And then I awakened to my powers... response:	I was able to survive because of these powers!
context: One happy family?\Mother's cooking?\I got to experience none of that as a boy.\I was terribly bullied at an orphanage, and I cursed the world!\Curse\If I hadn't, I wouldn't have survived!\And then I awakened to my powers...\I was able to survive because of these powers! response:	Anyone who rejects my way of living can
context: Mother's cooking?\I got to experience none of that as a boy.\I was terribly bullied at an orphanage, and I cursed the world!\Curse\If I hadn't, I wouldn't have survived!\And then I awakened to my powers...\I was able to survive because of these powers!\Anyone who rejects my way of living can response:	What? What's with that look?
context: I got to experience none of that as a boy.\I was terribly bullied at an orphanage, and I cursed the world!\Curse\If I hadn't, I wouldn't have survived!\And then I awakened to my powers...\I was able to survive because of these powers!\Anyone who rejects my way of living can\What? What's with that look? response:	Don't look at me like that!
context: I was terribly bullied at an orphanage, and I cursed the world!\Curse\If I hadn't, I wouldn't have survived!\And then I awakened to my powers...\I was able to survive because of these powers!\Anyone who rejects my way of living can\What? What's with that look?\Don't look at me like that! response:	I totally understand how you feel.
context: Curse\If I hadn't, I wouldn't have survived!\And then I awakened to my powers...\I was able to survive because of these powers!\Anyone who rejects my way of living can\What? What's with that look?\Don't look at me like that!\I totally understand how you feel. response:	H-He's the same as me?
context: If I hadn't, I wouldn't have survived!\And then I awakened to my powers...\I was able to survive because of these powers!\Anyone who rejects my way of living can\What? What's with that look?\Don't look at me like that!\I totally understand how you feel.\H-He's the same as me? response:	When I was in grade school, maybe it was around fourth grade...
context: And then I awakened to my powers...\I was able to survive because of these powers!\Anyone who rejects my way of living can\What? What's with that look?\Don't look at me like that!\I totally understand how you feel.\H-He's the same as me?\When I was in grade school, maybe it was around fourth grade... response:	I forgot to tell my parents that it was sports day at school that day,
context: I was able to survive because of these powers!\Anyone who rejects my way of living can\What? What's with that look?\Don't look at me like that!\I totally understand how you feel.\H-He's the same as me?\When I was in grade school, maybe it was around fourth grade...\I forgot to tell my parents that it was sports day at school that day, response:	so I was the only one with nothing to eat.
context: Anyone who rejects my way of living can\What? What's with that look?\Don't look at me like that!\I totally understand how you feel.\H-He's the same as me?\When I was in grade school, maybe it was around fourth grade...\I forgot to tell my parents that it was sports day at school that day,\so I was the only one with nothing to eat. response:	That's actually your fault... What are you even talking about?
context: What? What's with that look?\Don't look at me like that!\I totally understand how you feel.\H-He's the same as me?\When I was in grade school, maybe it was around fourth grade...\I forgot to tell my parents that it was sports day at school that day,\so I was the only one with nothing to eat.\That's actually your fault... What are you even talking about? response:	A story about when I felt lonely as a boy.
context: Don't look at me like that!\I totally understand how you feel.\H-He's the same as me?\When I was in grade school, maybe it was around fourth grade...\I forgot to tell my parents that it was sports day at school that day,\so I was the only one with nothing to eat.\That's actually your fault... What are you even talking about?\A story about when I felt lonely as a boy. response:	Don't compare that stupid story to mine!
context: I totally understand how you feel.\H-He's the same as me?\When I was in grade school, maybe it was around fourth grade...\I forgot to tell my parents that it was sports day at school that day,\so I was the only one with nothing to eat.\That's actually your fault... What are you even talking about?\A story about when I felt lonely as a boy.\Don't compare that stupid story to mine! response:	Jugan Air Gun!
context: H-He's the same as me?\When I was in grade school, maybe it was around fourth grade...\I forgot to tell my parents that it was sports day at school that day,\so I was the only one with nothing to eat.\That's actually your fault... What are you even talking about?\A story about when I felt lonely as a boy.\Don't compare that stupid story to mine!\Jugan Air Gun! response:	It's the ultimate weapon of destruction.
context: When I was in grade school, maybe it was around fourth grade...\I forgot to tell my parents that it was sports day at school that day,\so I was the only one with nothing to eat.\That's actually your fault... What are you even talking about?\A story about when I felt lonely as a boy.\Don't compare that stupid story to mine!\Jugan Air Gun!\It's the ultimate weapon of destruction. response:	Die!
context: I forgot to tell my parents that it was sports day at school that day,\so I was the only one with nothing to eat.\That's actually your fault... What are you even talking about?\A story about when I felt lonely as a boy.\Don't compare that stupid story to mine!\Jugan Air Gun!\It's the ultimate weapon of destruction.\Die! response:	If all else fails, I'll put you to sleep with this cursed cologne!
context: so I was the only one with nothing to eat.\That's actually your fault... What are you even talking about?\A story about when I felt lonely as a boy.\Don't compare that stupid story to mine!\Jugan Air Gun!\It's the ultimate weapon of destruction.\Die!\If all else fails, I'll put you to sleep with this cursed cologne! response:	Hm? I don't really get it, but don't point that at others.
context: That's actually your fault... What are you even talking about?\A story about when I felt lonely as a boy.\Don't compare that stupid story to mine!\Jugan Air Gun!\It's the ultimate weapon of destruction.\Die!\If all else fails, I'll put you to sleep with this cursed cologne!\Hm? I don't really get it, but don't point that at others. response:	I'll take that.
context: A story about when I felt lonely as a boy.\Don't compare that stupid story to mine!\Jugan Air Gun!\It's the ultimate weapon of destruction.\Die!\If all else fails, I'll put you to sleep with this cursed cologne!\Hm? I don't really get it, but don't point that at others.\I'll take that. response:	Are you still doing that crap?
context: Don't compare that stupid story to mine!\Jugan Air Gun!\It's the ultimate weapon of destruction.\Die!\If all else fails, I'll put you to sleep with this cursed cologne!\Hm? I don't really get it, but don't point that at others.\I'll take that.\Are you still doing that crap? response:	You use the psychic powers you've been blessed with for the stupidest things.
context: Jugan Air Gun!\It's the ultimate weapon of destruction.\Die!\If all else fails, I'll put you to sleep with this cursed cologne!\Hm? I don't really get it, but don't point that at others.\I'll take that.\Are you still doing that crap?\You use the psychic powers you've been blessed with for the stupidest things. response:	What?
context: It's the ultimate weapon of destruction.\Die!\If all else fails, I'll put you to sleep with this cursed cologne!\Hm? I don't really get it, but don't point that at others.\I'll take that.\Are you still doing that crap?\You use the psychic powers you've been blessed with for the stupidest things.\What? response:	You're like a little kid with a knife.
context: Die!\If all else fails, I'll put you to sleep with this cursed cologne!\Hm? I don't really get it, but don't point that at others.\I'll take that.\Are you still doing that crap?\You use the psychic powers you've been blessed with for the stupidest things.\What?\You're like a little kid with a knife. response:	I can't bear to watch.
context: If all else fails, I'll put you to sleep with this cursed cologne!\Hm? I don't really get it, but don't point that at others.\I'll take that.\Are you still doing that crap?\You use the psychic powers you've been blessed with for the stupidest things.\What?\You're like a little kid with a knife.\I can't bear to watch. response:	Who do you think you are?!
context: Hm? I don't really get it, but don't point that at others.\I'll take that.\Are you still doing that crap?\You use the psychic powers you've been blessed with for the stupidest things.\What?\You're like a little kid with a knife.\I can't bear to watch.\Who do you think you are?! response:	What's that thing on your forehead?
context: I'll take that.\Are you still doing that crap?\You use the psychic powers you've been blessed with for the stupidest things.\What?\You're like a little kid with a knife.\I can't bear to watch.\Who do you think you are?!\What's that thing on your forehead? response:	Th-That's...
context: Are you still doing that crap?\You use the psychic powers you've been blessed with for the stupidest things.\What?\You're like a little kid with a knife.\I can't bear to watch.\Who do you think you are?!\What's that thing on your forehead?\Th-That's... response:	It has nothing to do with you.
context: You use the psychic powers you've been blessed with for the stupidest things.\What?\You're like a little kid with a knife.\I can't bear to watch.\Who do you think you are?!\What's that thing on your forehead?\Th-That's...\It has nothing to do with you. response:	Then what's with these things that look like shoulder pads?
context: What?\You're like a little kid with a knife.\I can't bear to watch.\Who do you think you are?!\What's that thing on your forehead?\Th-That's...\It has nothing to do with you.\Then what's with these things that look like shoulder pads? response:	Those are to guard my shoulders...
context: You're like a little kid with a knife.\I can't bear to watch.\Who do you think you are?!\What's that thing on your forehead?\Th-That's...\It has nothing to do with you.\Then what's with these things that look like shoulder pads?\Those are to guard my shoulders... response:	Which means they're just accessories and have no purpose, right?
context: I can't bear to watch.\Who do you think you are?!\What's that thing on your forehead?\Th-That's...\It has nothing to do with you.\Then what's with these things that look like shoulder pads?\Those are to guard my shoulders...\Which means they're just accessories and have no purpose, right? response:	Huh?
context: Who do you think you are?!\What's that thing on your forehead?\Th-That's...\It has nothing to do with you.\Then what's with these things that look like shoulder pads?\Those are to guard my shoulders...\Which means they're just accessories and have no purpose, right?\Huh? response:	Don't get the wrong idea.
context: What's that thing on your forehead?\Th-That's...\It has nothing to do with you.\Then what's with these things that look like shoulder pads?\Those are to guard my shoulders...\Which means they're just accessories and have no purpose, right?\Huh?\Don't get the wrong idea. response:	No matter what kind of special powers they may be blessed with,
context: Th-That's...\It has nothing to do with you.\Then what's with these things that look like shoulder pads?\Those are to guard my shoulders...\Which means they're just accessories and have no purpose, right?\Huh?\Don't get the wrong idea.\No matter what kind of special powers they may be blessed with, response:	people are still only human.
context: It has nothing to do with you.\Then what's with these things that look like shoulder pads?\Those are to guard my shoulders...\Which means they're just accessories and have no purpose, right?\Huh?\Don't get the wrong idea.\No matter what kind of special powers they may be blessed with,\people are still only human. response:	Nothing more, and nothing less.
context: Then what's with these things that look like shoulder pads?\Those are to guard my shoulders...\Which means they're just accessories and have no purpose, right?\Huh?\Don't get the wrong idea.\No matter what kind of special powers they may be blessed with,\people are still only human.\Nothing more, and nothing less. response:	You guys haven't realized that yet!
context: Those are to guard my shoulders...\Which means they're just accessories and have no purpose, right?\Huh?\Don't get the wrong idea.\No matter what kind of special powers they may be blessed with,\people are still only human.\Nothing more, and nothing less.\You guys haven't realized that yet! response:	You're so addicted to your special powers, you've developed tunnel vision.
context: Which means they're just accessories and have no purpose, right?\Huh?\Don't get the wrong idea.\No matter what kind of special powers they may be blessed with,\people are still only human.\Nothing more, and nothing less.\You guys haven't realized that yet!\You're so addicted to your special powers, you've developed tunnel vision. response:	You're plotting world domination when you haven't even seen the world?
context: Huh?\Don't get the wrong idea.\No matter what kind of special powers they may be blessed with,\people are still only human.\Nothing more, and nothing less.\You guys haven't realized that yet!\You're so addicted to your special powers, you've developed tunnel vision.\You're plotting world domination when you haven't even seen the world? response:	Don't make me laugh!
context: Don't get the wrong idea.\No matter what kind of special powers they may be blessed with,\people are still only human.\Nothing more, and nothing less.\You guys haven't realized that yet!\You're so addicted to your special powers, you've developed tunnel vision.\You're plotting world domination when you haven't even seen the world?\Don't make me laugh! response:	No one's going to follow you like that!
context: No matter what kind of special powers they may be blessed with,\people are still only human.\Nothing more, and nothing less.\You guys haven't realized that yet!\You're so addicted to your special powers, you've developed tunnel vision.\You're plotting world domination when you haven't even seen the world?\Don't make me laugh!\No one's going to follow you like that! response:	First, get rid of those childish shoulder pads and grow up!
context: people are still only human.\Nothing more, and nothing less.\You guys haven't realized that yet!\You're so addicted to your special powers, you've developed tunnel vision.\You're plotting world domination when you haven't even seen the world?\Don't make me laugh!\No one's going to follow you like that!\First, get rid of those childish shoulder pads and grow up! response:	You, too!
context: Nothing more, and nothing less.\You guys haven't realized that yet!\You're so addicted to your special powers, you've developed tunnel vision.\You're plotting world domination when you haven't even seen the world?\Don't make me laugh!\No one's going to follow you like that!\First, get rid of those childish shoulder pads and grow up!\You, too! response:	You just want to escape from society, right?
context: You guys haven't realized that yet!\You're so addicted to your special powers, you've developed tunnel vision.\You're plotting world domination when you haven't even seen the world?\Don't make me laugh!\No one's going to follow you like that!\First, get rid of those childish shoulder pads and grow up!\You, too!\You just want to escape from society, right? response:	If you want to make it big, you have to live in reality!
context: You're so addicted to your special powers, you've developed tunnel vision.\You're plotting world domination when you haven't even seen the world?\Don't make me laugh!\No one's going to follow you like that!\First, get rid of those childish shoulder pads and grow up!\You, too!\You just want to escape from society, right?\If you want to make it big, you have to live in reality! response:	That's where you start.
context: You're plotting world domination when you haven't even seen the world?\Don't make me laugh!\No one's going to follow you like that!\First, get rid of those childish shoulder pads and grow up!\You, too!\You just want to escape from society, right?\If you want to make it big, you have to live in reality!\That's where you start. response:	You're telling us to return to being commoners?
context: Don't make me laugh!\No one's going to follow you like that!\First, get rid of those childish shoulder pads and grow up!\You, too!\You just want to escape from society, right?\If you want to make it big, you have to live in reality!\That's where you start.\You're telling us to return to being commoners? response:	What? No way! Don't look at this lightly!
context: No one's going to follow you like that!\First, get rid of those childish shoulder pads and grow up!\You, too!\You just want to escape from society, right?\If you want to make it big, you have to live in reality!\That's where you start.\You're telling us to return to being commoners?\What? No way! Don't look at this lightly! response:	You still don't get it, do you?!
context: First, get rid of those childish shoulder pads and grow up!\You, too!\You just want to escape from society, right?\If you want to make it big, you have to live in reality!\That's where you start.\You're telling us to return to being commoners?\What? No way! Don't look at this lightly!\You still don't get it, do you?! response:	Who the hell do you think you are?!
context: You, too!\You just want to escape from society, right?\If you want to make it big, you have to live in reality!\That's where you start.\You're telling us to return to being commoners?\What? No way! Don't look at this lightly!\You still don't get it, do you?!\Who the hell do you think you are?! response:	You're nothing more than a commoner!
context: You just want to escape from society, right?\If you want to make it big, you have to live in reality!\That's where you start.\You're telling us to return to being commoners?\What? No way! Don't look at this lightly!\You still don't get it, do you?!\Who the hell do you think you are?!\You're nothing more than a commoner! response:	You're just a part of the masses!
context: If you want to make it big, you have to live in reality!\That's where you start.\You're telling us to return to being commoners?\What? No way! Don't look at this lightly!\You still don't get it, do you?!\Who the hell do you think you are?!\You're nothing more than a commoner!\You're just a part of the masses! response:	B-But Claw is a noble
context: That's where you start.\You're telling us to return to being commoners?\What? No way! Don't look at this lightly!\You still don't get it, do you?!\Who the hell do you think you are?!\You're nothing more than a commoner!\You're just a part of the masses!\B-But Claw is a noble response:	I'm a commoner!
context: You're telling us to return to being commoners?\What? No way! Don't look at this lightly!\You still don't get it, do you?!\Who the hell do you think you are?!\You're nothing more than a commoner!\You're just a part of the masses!\B-But Claw is a noble\I'm a commoner! response:	I'm much more powerful than you, and I'm still just a commoner...
context: What? No way! Don't look at this lightly!\You still don't get it, do you?!\Who the hell do you think you are?!\You're nothing more than a commoner!\You're just a part of the masses!\B-But Claw is a noble\I'm a commoner!\I'm much more powerful than you, and I'm still just a commoner... response:	So what does that make you?!
context: You still don't get it, do you?!\Who the hell do you think you are?!\You're nothing more than a commoner!\You're just a part of the masses!\B-But Claw is a noble\I'm a commoner!\I'm much more powerful than you, and I'm still just a commoner...\So what does that make you?! response:	He dragged them out of their delusions and back into reality by force...
context: Who the hell do you think you are?!\You're nothing more than a commoner!\You're just a part of the masses!\B-But Claw is a noble\I'm a commoner!\I'm much more powerful than you, and I'm still just a commoner...\So what does that make you?!\He dragged them out of their delusions and back into reality by force... response:	By shattering their dreams...
context: You're nothing more than a commoner!\You're just a part of the masses!\B-But Claw is a noble\I'm a commoner!\I'm much more powerful than you, and I'm still just a commoner...\So what does that make you?!\He dragged them out of their delusions and back into reality by force...\By shattering their dreams... response:	Your master's amazing!
context: You're just a part of the masses!\B-But Claw is a noble\I'm a commoner!\I'm much more powerful than you, and I'm still just a commoner...\So what does that make you?!\He dragged them out of their delusions and back into reality by force...\By shattering their dreams...\Your master's amazing! response:	Yeah.
context: B-But Claw is a noble\I'm a commoner!\I'm much more powerful than you, and I'm still just a commoner...\So what does that make you?!\He dragged them out of their delusions and back into reality by force...\By shattering their dreams...\Your master's amazing!\Yeah. response:	No!
context: I'm a commoner!\I'm much more powerful than you, and I'm still just a commoner...\So what does that make you?!\He dragged them out of their delusions and back into reality by force...\By shattering their dreams...\Your master's amazing!\Yeah.\No! response:	That is absolutely not true!
context: I'm much more powerful than you, and I'm still just a commoner...\So what does that make you?!\He dragged them out of their delusions and back into reality by force...\By shattering their dreams...\Your master's amazing!\Yeah.\No!\That is absolutely not true! response:	The division leader's face... He's that old?
context: So what does that make you?!\He dragged them out of their delusions and back into reality by force...\By shattering their dreams...\Your master's amazing!\Yeah.\No!\That is absolutely not true!\The division leader's face... He's that old? response:	I thought that maybe he was a girl, but...
context: He dragged them out of their delusions and back into reality by force...\By shattering their dreams...\Your master's amazing!\Yeah.\No!\That is absolutely not true!\The division leader's face... He's that old?\I thought that maybe he was a girl, but... response:	I reject your claims!
context: By shattering their dreams...\Your master's amazing!\Yeah.\No!\That is absolutely not true!\The division leader's face... He's that old?\I thought that maybe he was a girl, but...\I reject your claims! response:	People are only human. Nothing more, and nothing less.
context: Your master's amazing!\Yeah.\No!\That is absolutely not true!\The division leader's face... He's that old?\I thought that maybe he was a girl, but...\I reject your claims!\People are only human. Nothing more, and nothing less. response:	That is what you said, isn't it?
context: Yeah.\No!\That is absolutely not true!\The division leader's face... He's that old?\I thought that maybe he was a girl, but...\I reject your claims!\People are only human. Nothing more, and nothing less.\That is what you said, isn't it? response:	Yeah.
context: No!\That is absolutely not true!\The division leader's face... He's that old?\I thought that maybe he was a girl, but...\I reject your claims!\People are only human. Nothing more, and nothing less.\That is what you said, isn't it?\Yeah. response:	That is incorrect.
context: That is absolutely not true!\The division leader's face... He's that old?\I thought that maybe he was a girl, but...\I reject your claims!\People are only human. Nothing more, and nothing less.\That is what you said, isn't it?\Yeah.\That is incorrect. response:	That's far too cruel.
context: The division leader's face... He's that old?\I thought that maybe he was a girl, but...\I reject your claims!\People are only human. Nothing more, and nothing less.\That is what you said, isn't it?\Yeah.\That is incorrect.\That's far too cruel. response:	We are special!
context: I thought that maybe he was a girl, but...\I reject your claims!\People are only human. Nothing more, and nothing less.\That is what you said, isn't it?\Yeah.\That is incorrect.\That's far too cruel.\We are special! response:	We are superior lifeforms to the rest of humanity!
context: I reject your claims!\People are only human. Nothing more, and nothing less.\That is what you said, isn't it?\Yeah.\That is incorrect.\That's far too cruel.\We are special!\We are superior lifeforms to the rest of humanity! response:	I'm sure you have to believe that to even go on.
context: People are only human. Nothing more, and nothing less.\That is what you said, isn't it?\Yeah.\That is incorrect.\That's far too cruel.\We are special!\We are superior lifeforms to the rest of humanity!\I'm sure you have to believe that to even go on. response:	But sadly, society has no interest in you.
context: That is what you said, isn't it?\Yeah.\That is incorrect.\That's far too cruel.\We are special!\We are superior lifeforms to the rest of humanity!\I'm sure you have to believe that to even go on.\But sadly, society has no interest in you. response:	Society this, society that!
context: Yeah.\That is incorrect.\That's far too cruel.\We are special!\We are superior lifeforms to the rest of humanity!\I'm sure you have to believe that to even go on.\But sadly, society has no interest in you.\Society this, society that! response:	No group made according to your stupid yardstick is big enough for me!
context: That is incorrect.\That's far too cruel.\We are special!\We are superior lifeforms to the rest of humanity!\I'm sure you have to believe that to even go on.\But sadly, society has no interest in you.\Society this, society that!\No group made according to your stupid yardstick is big enough for me! response:	Quit relying on those around you, old man.
context: That's far too cruel.\We are special!\We are superior lifeforms to the rest of humanity!\I'm sure you have to believe that to even go on.\But sadly, society has no interest in you.\Society this, society that!\No group made according to your stupid yardstick is big enough for me!\Quit relying on those around you, old man. response:	You're making me sad here.
context: We are special!\We are superior lifeforms to the rest of humanity!\I'm sure you have to believe that to even go on.\But sadly, society has no interest in you.\Society this, society that!\No group made according to your stupid yardstick is big enough for me!\Quit relying on those around you, old man.\You're making me sad here. response:	I was born with these powers, so what's wrong with me showing them off?
context: We are superior lifeforms to the rest of humanity!\I'm sure you have to believe that to even go on.\But sadly, society has no interest in you.\Society this, society that!\No group made according to your stupid yardstick is big enough for me!\Quit relying on those around you, old man.\You're making me sad here.\I was born with these powers, so what's wrong with me showing them off? response:	What's wrong with changing the world?!
context: I'm sure you have to believe that to even go on.\But sadly, society has no interest in you.\Society this, society that!\No group made according to your stupid yardstick is big enough for me!\Quit relying on those around you, old man.\You're making me sad here.\I was born with these powers, so what's wrong with me showing them off?\What's wrong with changing the world?! response:	You stupid ape!
context: But sadly, society has no interest in you.\Society this, society that!\No group made according to your stupid yardstick is big enough for me!\Quit relying on those around you, old man.\You're making me sad here.\I was born with these powers, so what's wrong with me showing them off?\What's wrong with changing the world?!\You stupid ape! response:	To me, you're all no different from monkeys!
context: Society this, society that!\No group made according to your stupid yardstick is big enough for me!\Quit relying on those around you, old man.\You're making me sad here.\I was born with these powers, so what's wrong with me showing them off?\What's wrong with changing the world?!\You stupid ape!\To me, you're all no different from monkeys! response:	It's hard to live!
context: No group made according to your stupid yardstick is big enough for me!\Quit relying on those around you, old man.\You're making me sad here.\I was born with these powers, so what's wrong with me showing them off?\What's wrong with changing the world?!\You stupid ape!\To me, you're all no different from monkeys!\It's hard to live! response:	Even though I'm so special!
context: Quit relying on those around you, old man.\You're making me sad here.\I was born with these powers, so what's wrong with me showing them off?\What's wrong with changing the world?!\You stupid ape!\To me, you're all no different from monkeys!\It's hard to live!\Even though I'm so special! response:	I'm so amazing, so why won't you just acknowledge that?
context: You're making me sad here.\I was born with these powers, so what's wrong with me showing them off?\What's wrong with changing the world?!\You stupid ape!\To me, you're all no different from monkeys!\It's hard to live!\Even though I'm so special!\I'm so amazing, so why won't you just acknowledge that? response:	The world should put me on a pedestal and worship me!
context: I was born with these powers, so what's wrong with me showing them off?\What's wrong with changing the world?!\You stupid ape!\To me, you're all no different from monkeys!\It's hard to live!\Even though I'm so special!\I'm so amazing, so why won't you just acknowledge that?\The world should put me on a pedestal and worship me! response:	That is the only world that is worthy!
context: What's wrong with changing the world?!\You stupid ape!\To me, you're all no different from monkeys!\It's hard to live!\Even though I'm so special!\I'm so amazing, so why won't you just acknowledge that?\The world should put me on a pedestal and worship me!\That is the only world that is worthy! response:	No, having psychic powers doesn't make you popular at all.
context: You stupid ape!\To me, you're all no different from monkeys!\It's hard to live!\Even though I'm so special!\I'm so amazing, so why won't you just acknowledge that?\The world should put me on a pedestal and worship me!\That is the only world that is worthy!\No, having psychic powers doesn't make you popular at all. response:	And that's all there is to it.
context: To me, you're all no different from monkeys!\It's hard to live!\Even though I'm so special!\I'm so amazing, so why won't you just acknowledge that?\The world should put me on a pedestal and worship me!\That is the only world that is worthy!\No, having psychic powers doesn't make you popular at all.\And that's all there is to it. response:	You'll never be popular. Give it up.
context: It's hard to live!\Even though I'm so special!\I'm so amazing, so why won't you just acknowledge that?\The world should put me on a pedestal and worship me!\That is the only world that is worthy!\No, having psychic powers doesn't make you popular at all.\And that's all there is to it.\You'll never be popular. Give it up. response:	I'm going to erase you all...
context: Even though I'm so special!\I'm so amazing, so why won't you just acknowledge that?\The world should put me on a pedestal and worship me!\That is the only world that is worthy!\No, having psychic powers doesn't make you popular at all.\And that's all there is to it.\You'll never be popular. Give it up.\I'm going to erase you all... response:	Erase this whole building and start over!
context: I'm so amazing, so why won't you just acknowledge that?\The world should put me on a pedestal and worship me!\That is the only world that is worthy!\No, having psychic powers doesn't make you popular at all.\And that's all there is to it.\You'll never be popular. Give it up.\I'm going to erase you all...\Erase this whole building and start over! response:	Crap. Looks like I'm out of gas.
context: The world should put me on a pedestal and worship me!\That is the only world that is worthy!\No, having psychic powers doesn't make you popular at all.\And that's all there is to it.\You'll never be popular. Give it up.\I'm going to erase you all...\Erase this whole building and start over!\Crap. Looks like I'm out of gas. response:	Mob. Lend me your powers again.
context: That is the only world that is worthy!\No, having psychic powers doesn't make you popular at all.\And that's all there is to it.\You'll never be popular. Give it up.\I'm going to erase you all...\Erase this whole building and start over!\Crap. Looks like I'm out of gas.\Mob. Lend me your powers again. response:	Actually, I'm also...
context: No, having psychic powers doesn't make you popular at all.\And that's all there is to it.\You'll never be popular. Give it up.\I'm going to erase you all...\Erase this whole building and start over!\Crap. Looks like I'm out of gas.\Mob. Lend me your powers again.\Actually, I'm also... response:	Crap! We're being sucked in!
context: And that's all there is to it.\You'll never be popular. Give it up.\I'm going to erase you all...\Erase this whole building and start over!\Crap. Looks like I'm out of gas.\Mob. Lend me your powers again.\Actually, I'm also...\Crap! We're being sucked in! response:	Disappear! Disappear! Disappear!
context: You'll never be popular. Give it up.\I'm going to erase you all...\Erase this whole building and start over!\Crap. Looks like I'm out of gas.\Mob. Lend me your powers again.\Actually, I'm also...\Crap! We're being sucked in!\Disappear! Disappear! Disappear! response:	You just don't know when to give up.
context: I'm going to erase you all...\Erase this whole building and start over!\Crap. Looks like I'm out of gas.\Mob. Lend me your powers again.\Actually, I'm also...\Crap! We're being sucked in!\Disappear! Disappear! Disappear!\You just don't know when to give up. response:	That's
context: Erase this whole building and start over!\Crap. Looks like I'm out of gas.\Mob. Lend me your powers again.\Actually, I'm also...\Crap! We're being sucked in!\Disappear! Disappear! Disappear!\You just don't know when to give up.\That's response:	Damn it!
context: Crap. Looks like I'm out of gas.\Mob. Lend me your powers again.\Actually, I'm also...\Crap! We're being sucked in!\Disappear! Disappear! Disappear!\You just don't know when to give up.\That's\Damn it! response:	You can also...
context: Mob. Lend me your powers again.\Actually, I'm also...\Crap! We're being sucked in!\Disappear! Disappear! Disappear!\You just don't know when to give up.\That's\Damn it!\You can also... response:	Disappear!
context: Actually, I'm also...\Crap! We're being sucked in!\Disappear! Disappear! Disappear!\You just don't know when to give up.\That's\Damn it!\You can also...\Disappear! response:	A mass of gravity, huh? Interesting.
context: Crap! We're being sucked in!\Disappear! Disappear! Disappear!\You just don't know when to give up.\That's\Damn it!\You can also...\Disappear!\A mass of gravity, huh? Interesting. response:	Imagine the gravity going backward...
context: Disappear! Disappear! Disappear!\You just don't know when to give up.\That's\Damn it!\You can also...\Disappear!\A mass of gravity, huh? Interesting.\Imagine the gravity going backward... response:	It's not an actual black hole.
context: You just don't know when to give up.\That's\Damn it!\You can also...\Disappear!\A mass of gravity, huh? Interesting.\Imagine the gravity going backward...\It's not an actual black hole. response:	If it's made from psychic powers,
context: That's\Damn it!\You can also...\Disappear!\A mass of gravity, huh? Interesting.\Imagine the gravity going backward...\It's not an actual black hole.\If it's made from psychic powers, response:	I can always find a way to deal with it.
context: Damn it!\You can also...\Disappear!\A mass of gravity, huh? Interesting.\Imagine the gravity going backward...\It's not an actual black hole.\If it's made from psychic powers,\I can always find a way to deal with it. response:	Old man...
context: You can also...\Disappear!\A mass of gravity, huh? Interesting.\Imagine the gravity going backward...\It's not an actual black hole.\If it's made from psychic powers,\I can always find a way to deal with it.\Old man... response:	You're no longer needed.
context: Disappear!\A mass of gravity, huh? Interesting.\Imagine the gravity going backward...\It's not an actual black hole.\If it's made from psychic powers,\I can always find a way to deal with it.\Old man...\You're no longer needed. response:	And as for you...
context: A mass of gravity, huh? Interesting.\Imagine the gravity going backward...\It's not an actual black hole.\If it's made from psychic powers,\I can always find a way to deal with it.\Old man...\You're no longer needed.\And as for you... response:	I'm disappointed in you.
context: Imagine the gravity going backward...\It's not an actual black hole.\If it's made from psychic powers,\I can always find a way to deal with it.\Old man...\You're no longer needed.\And as for you...\I'm disappointed in you. response:	You coward.
