context: The enemy's strategy is simple in the extreme. response:	Use the shockwave from the Landing Castle impact to clear out the area,
context: Given the situation, I don't think they're open.\Ever since the assassination of the Vers crown princess yesterday, the U.E. has\Princess Asseylum is\She is alive. She did not take part in the parade.\The unaccustomed gravity of Earth made her feel ill,\and so a double took her place...\I know how she feels...\That's a novel hypothesis. response:	A transport will be here soon. I texted Inko earlier.
context: Ever since the assassination of the Vers crown princess yesterday, the U.E. has\Princess Asseylum is\She is alive. She did not take part in the parade.\The unaccustomed gravity of Earth made her feel ill,\and so a double took her place...\I know how she feels...\That's a novel hypothesis.\A transport will be here soon. I texted Inko earlier. response:	Slaine Troyard... To think that you will be acting as my pilot.
context: Princess Asseylum is\She is alive. She did not take part in the parade.\The unaccustomed gravity of Earth made her feel ill,\and so a double took her place...\I know how she feels...\That's a novel hypothesis.\A transport will be here soon. I texted Inko earlier.\Slaine Troyard... To think that you will be acting as my pilot. response:	I was ordered to do so by Count Cruhteo.
context: She is alive. She did not take part in the parade.\The unaccustomed gravity of Earth made her feel ill,\and so a double took her place...\I know how she feels...\That's a novel hypothesis.\A transport will be here soon. I texted Inko earlier.\Slaine Troyard... To think that you will be acting as my pilot.\I was ordered to do so by Count Cruhteo. response:	No matter. Just don't get underfoot, Terran.
context: The unaccustomed gravity of Earth made her feel ill,\and so a double took her place...\I know how she feels...\That's a novel hypothesis.\A transport will be here soon. I texted Inko earlier.\Slaine Troyard... To think that you will be acting as my pilot.\I was ordered to do so by Count Cruhteo.\No matter. Just don't get underfoot, Terran. response:	You're a lifesaver! I can't belive my car picked now to run out of gas.
context: and so a double took her place...\I know how she feels...\That's a novel hypothesis.\A transport will be here soon. I texted Inko earlier.\Slaine Troyard... To think that you will be acting as my pilot.\I was ordered to do so by Count Cruhteo.\No matter. Just don't get underfoot, Terran.\You're a lifesaver! I can't belive my car picked now to run out of gas. response:	I expect some gratitude, Doctor.
context: I know how she feels...\That's a novel hypothesis.\A transport will be here soon. I texted Inko earlier.\Slaine Troyard... To think that you will be acting as my pilot.\I was ordered to do so by Count Cruhteo.\No matter. Just don't get underfoot, Terran.\You're a lifesaver! I can't belive my car picked now to run out of gas.\I expect some gratitude, Doctor. response:	You, too, Inaho.
context: That's a novel hypothesis.\A transport will be here soon. I texted Inko earlier.\Slaine Troyard... To think that you will be acting as my pilot.\I was ordered to do so by Count Cruhteo.\No matter. Just don't get underfoot, Terran.\You're a lifesaver! I can't belive my car picked now to run out of gas.\I expect some gratitude, Doctor.\You, too, Inaho. response:	Sure.
context: A transport will be here soon. I texted Inko earlier.\Slaine Troyard... To think that you will be acting as my pilot.\I was ordered to do so by Count Cruhteo.\No matter. Just don't get underfoot, Terran.\You're a lifesaver! I can't belive my car picked now to run out of gas.\I expect some gratitude, Doctor.\You, too, Inaho.\Sure. response:	Don't casually ditch us like that.
context: Slaine Troyard... To think that you will be acting as my pilot.\I was ordered to do so by Count Cruhteo.\No matter. Just don't get underfoot, Terran.\You're a lifesaver! I can't belive my car picked now to run out of gas.\I expect some gratitude, Doctor.\You, too, Inaho.\Sure.\Don't casually ditch us like that. response:	Still...
context: I was ordered to do so by Count Cruhteo.\No matter. Just don't get underfoot, Terran.\You're a lifesaver! I can't belive my car picked now to run out of gas.\I expect some gratitude, Doctor.\You, too, Inaho.\Sure.\Don't casually ditch us like that.\Still... response:	Are they Russian? Northern European? Don't see many of those in Shinawara.
context: No matter. Just don't get underfoot, Terran.\You're a lifesaver! I can't belive my car picked now to run out of gas.\I expect some gratitude, Doctor.\You, too, Inaho.\Sure.\Don't casually ditch us like that.\Still...\Are they Russian? Northern European? Don't see many of those in Shinawara. response:	I don't mind one bit! Always happy to see a babe! She's a 10!
context: You're a lifesaver! I can't belive my car picked now to run out of gas.\I expect some gratitude, Doctor.\You, too, Inaho.\Sure.\Don't casually ditch us like that.\Still...\Are they Russian? Northern European? Don't see many of those in Shinawara.\I don't mind one bit! Always happy to see a babe! She's a 10! response:	Thanks.
context: I expect some gratitude, Doctor.\You, too, Inaho.\Sure.\Don't casually ditch us like that.\Still...\Are they Russian? Northern European? Don't see many of those in Shinawara.\I don't mind one bit! Always happy to see a babe! She's a 10!\Thanks. response:	Boys...
context: You, too, Inaho.\Sure.\Don't casually ditch us like that.\Still...\Are they Russian? Northern European? Don't see many of those in Shinawara.\I don't mind one bit! Always happy to see a babe! She's a 10!\Thanks.\Boys... response:	A KG-7 Areion!
context: Sure.\Don't casually ditch us like that.\Still...\Are they Russian? Northern European? Don't see many of those in Shinawara.\I don't mind one bit! Always happy to see a babe! She's a 10!\Thanks.\Boys...\A KG-7 Areion! response:	What are you people doing?! The evacuation here is supposed to be finished!
context: Don't casually ditch us like that.\Still...\Are they Russian? Northern European? Don't see many of those in Shinawara.\I don't mind one bit! Always happy to see a babe! She's a 10!\Thanks.\Boys...\A KG-7 Areion!\What are you people doing?! The evacuation here is supposed to be finished! response:	That voice... Is that you, Yuki?
context: Still...\Are they Russian? Northern European? Don't see many of those in Shinawara.\I don't mind one bit! Always happy to see a babe! She's a 10!\Thanks.\Boys...\A KG-7 Areion!\What are you people doing?! The evacuation here is supposed to be finished!\That voice... Is that you, Yuki? response:	Inko?! If you're here, does that mean Nao is, too?
context: Are they Russian? Northern European? Don't see many of those in Shinawara.\I don't mind one bit! Always happy to see a babe! She's a 10!\Thanks.\Boys...\A KG-7 Areion!\What are you people doing?! The evacuation here is supposed to be finished!\That voice... Is that you, Yuki?\Inko?! If you're here, does that mean Nao is, too? response:	Oh, for the love of... Why?
context: I don't mind one bit! Always happy to see a babe! She's a 10!\Thanks.\Boys...\A KG-7 Areion!\What are you people doing?! The evacuation here is supposed to be finished!\That voice... Is that you, Yuki?\Inko?! If you're here, does that mean Nao is, too?\Oh, for the love of... Why? response:	Hey, if the Kataphrakt squad has been mobilized,
context: Thanks.\Boys...\A KG-7 Areion!\What are you people doing?! The evacuation here is supposed to be finished!\That voice... Is that you, Yuki?\Inko?! If you're here, does that mean Nao is, too?\Oh, for the love of... Why?\Hey, if the Kataphrakt squad has been mobilized, response:	does that mean the enemy's on its way to Shinawara?
context: Boys...\A KG-7 Areion!\What are you people doing?! The evacuation here is supposed to be finished!\That voice... Is that you, Yuki?\Inko?! If you're here, does that mean Nao is, too?\Oh, for the love of... Why?\Hey, if the Kataphrakt squad has been mobilized,\does that mean the enemy's on its way to Shinawara? response:	That's right. High-temperature thermal signatures are headed this way from Tokyo.
context: A KG-7 Areion!\What are you people doing?! The evacuation here is supposed to be finished!\That voice... Is that you, Yuki?\Inko?! If you're here, does that mean Nao is, too?\Oh, for the love of... Why?\Hey, if the Kataphrakt squad has been mobilized,\does that mean the enemy's on its way to Shinawara?\That's right. High-temperature thermal signatures are headed this way from Tokyo. response:	This area is a projected combat zone! Turn around!
context: What are you people doing?! The evacuation here is supposed to be finished!\That voice... Is that you, Yuki?\Inko?! If you're here, does that mean Nao is, too?\Oh, for the love of... Why?\Hey, if the Kataphrakt squad has been mobilized,\does that mean the enemy's on its way to Shinawara?\That's right. High-temperature thermal signatures are headed this way from Tokyo.\This area is a projected combat zone! Turn around! response:	But we have to go through here to reach the ferry pier!
context: That voice... Is that you, Yuki?\Inko?! If you're here, does that mean Nao is, too?\Oh, for the love of... Why?\Hey, if the Kataphrakt squad has been mobilized,\does that mean the enemy's on its way to Shinawara?\That's right. High-temperature thermal signatures are headed this way from Tokyo.\This area is a projected combat zone! Turn around!\But we have to go through here to reach the ferry pier! response:	Whatever! Just find a safe place and hunker down!
context: Inko?! If you're here, does that mean Nao is, too?\Oh, for the love of... Why?\Hey, if the Kataphrakt squad has been mobilized,\does that mean the enemy's on its way to Shinawara?\That's right. High-temperature thermal signatures are headed this way from Tokyo.\This area is a projected combat zone! Turn around!\But we have to go through here to reach the ferry pier!\Whatever! Just find a safe place and hunker down! response:	We'll hold them off!
context: Oh, for the love of... Why?\Hey, if the Kataphrakt squad has been mobilized,\does that mean the enemy's on its way to Shinawara?\That's right. High-temperature thermal signatures are headed this way from Tokyo.\This area is a projected combat zone! Turn around!\But we have to go through here to reach the ferry pier!\Whatever! Just find a safe place and hunker down!\We'll hold them off! response:	Inaho...
context: Hey, if the Kataphrakt squad has been mobilized,\does that mean the enemy's on its way to Shinawara?\That's right. High-temperature thermal signatures are headed this way from Tokyo.\This area is a projected combat zone! Turn around!\But we have to go through here to reach the ferry pier!\Whatever! Just find a safe place and hunker down!\We'll hold them off!\Inaho... response:	Enemy fighter formation approaching from 1 o'clock!
context: does that mean the enemy's on its way to Shinawara?\That's right. High-temperature thermal signatures are headed this way from Tokyo.\This area is a projected combat zone! Turn around!\But we have to go through here to reach the ferry pier!\Whatever! Just find a safe place and hunker down!\We'll hold them off!\Inaho...\Enemy fighter formation approaching from 1 o'clock! response:	So, they've turned up to die for nothing.
context: That's right. High-temperature thermal signatures are headed this way from Tokyo.\This area is a projected combat zone! Turn around!\But we have to go through here to reach the ferry pier!\Whatever! Just find a safe place and hunker down!\We'll hold them off!\Inaho...\Enemy fighter formation approaching from 1 o'clock!\So, they've turned up to die for nothing. response:	As they wish. First, a warning.
context: This area is a projected combat zone! Turn around!\But we have to go through here to reach the ferry pier!\Whatever! Just find a safe place and hunker down!\We'll hold them off!\Inaho...\Enemy fighter formation approaching from 1 o'clock!\So, they've turned up to die for nothing.\As they wish. First, a warning. response:	Target merge. Now attacking.
context: But we have to go through here to reach the ferry pier!\Whatever! Just find a safe place and hunker down!\We'll hold them off!\Inaho...\Enemy fighter formation approaching from 1 o'clock!\So, they've turned up to die for nothing.\As they wish. First, a warning.\Target merge. Now attacking. response:	All missiles, direct hit!
context: Whatever! Just find a safe place and hunker down!\We'll hold them off!\Inaho...\Enemy fighter formation approaching from 1 o'clock!\So, they've turned up to die for nothing.\As they wish. First, a warning.\Target merge. Now attacking.\All missiles, direct hit! response:	E-Enemy is intact!
context: We'll hold them off!\Inaho...\Enemy fighter formation approaching from 1 o'clock!\So, they've turned up to die for nothing.\As they wish. First, a warning.\Target merge. Now attacking.\All missiles, direct hit!\E-Enemy is intact! response:	It's unscathed!
context: Inaho...\Enemy fighter formation approaching from 1 o'clock!\So, they've turned up to die for nothing.\As they wish. First, a warning.\Target merge. Now attacking.\All missiles, direct hit!\E-Enemy is intact!\It's unscathed! response:	Scum...
context: Enemy fighter formation approaching from 1 o'clock!\So, they've turned up to die for nothing.\As they wish. First, a warning.\Target merge. Now attacking.\All missiles, direct hit!\E-Enemy is intact!\It's unscathed!\Scum... response:	Slaine.
context: So, they've turned up to die for nothing.\As they wish. First, a warning.\Target merge. Now attacking.\All missiles, direct hit!\E-Enemy is intact!\It's unscathed!\Scum...\Slaine. response:	Milord?
context: As they wish. First, a warning.\Target merge. Now attacking.\All missiles, direct hit!\E-Enemy is intact!\It's unscathed!\Scum...\Slaine.\Milord? response:	Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo!
context: Target merge. Now attacking.\All missiles, direct hit!\E-Enemy is intact!\It's unscathed!\Scum...\Slaine.\Milord?\Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo! response:	No matter. I shall take it upon myself to educate you in the joys of the battlefield!
context: All missiles, direct hit!\E-Enemy is intact!\It's unscathed!\Scum...\Slaine.\Milord?\Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo!\No matter. I shall take it upon myself to educate you in the joys of the battlefield! response:	It's started...
context: E-Enemy is intact!\It's unscathed!\Scum...\Slaine.\Milord?\Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo!\No matter. I shall take it upon myself to educate you in the joys of the battlefield!\It's started... response:	Message from HQ!
context: It's unscathed!\Scum...\Slaine.\Milord?\Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo!\No matter. I shall take it upon myself to educate you in the joys of the battlefield!\It's started...\Message from HQ! response:	Fighter squadron has encountered enemy flying vehicle!
context: Scum...\Slaine.\Milord?\Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo!\No matter. I shall take it upon myself to educate you in the joys of the battlefield!\It's started...\Message from HQ!\Fighter squadron has encountered enemy flying vehicle! response:	Currently engaging!
context: Slaine.\Milord?\Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo!\No matter. I shall take it upon myself to educate you in the joys of the battlefield!\It's started...\Message from HQ!\Fighter squadron has encountered enemy flying vehicle!\Currently engaging! response:	What's wrong? Our comms reception is bad.
context: Milord?\Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo!\No matter. I shall take it upon myself to educate you in the joys of the battlefield!\It's started...\Message from HQ!\Fighter squadron has encountered enemy flying vehicle!\Currently engaging!\What's wrong? Our comms reception is bad. response:	We're being jammed.
context: Oh, dear... This boy's upbringing is sorely lacking, Count Cruhteo!\No matter. I shall take it upon myself to educate you in the joys of the battlefield!\It's started...\Message from HQ!\Fighter squadron has encountered enemy flying vehicle!\Currently engaging!\What's wrong? Our comms reception is bad.\We're being jammed. response:	They're using powerful EM waves to disrupt our chain of command.
context: No matter. I shall take it upon myself to educate you in the joys of the battlefield!\It's started...\Message from HQ!\Fighter squadron has encountered enemy flying vehicle!\Currently engaging!\What's wrong? Our comms reception is bad.\We're being jammed.\They're using powerful EM waves to disrupt our chain of command. response:	Just like 15 years ago. It's one of their tricks.
context: It's started...\Message from HQ!\Fighter squadron has encountered enemy flying vehicle!\Currently engaging!\What's wrong? Our comms reception is bad.\We're being jammed.\They're using powerful EM waves to disrupt our chain of command.\Just like 15 years ago. It's one of their tricks. response:	Like you saw anything 15 years ago, you fraud...
context: Message from HQ!\Fighter squadron has encountered enemy flying vehicle!\Currently engaging!\What's wrong? Our comms reception is bad.\We're being jammed.\They're using powerful EM waves to disrupt our chain of command.\Just like 15 years ago. It's one of their tricks.\Like you saw anything 15 years ago, you fraud... response:	Crap! He's on my 6!
context: Fighter squadron has encountered enemy flying vehicle!\Currently engaging!\What's wrong? Our comms reception is bad.\We're being jammed.\They're using powerful EM waves to disrupt our chain of command.\Just like 15 years ago. It's one of their tricks.\Like you saw anything 15 years ago, you fraud...\Crap! He's on my 6! response:	Moving to assist!
context: Currently engaging!\What's wrong? Our comms reception is bad.\We're being jammed.\They're using powerful EM waves to disrupt our chain of command.\Just like 15 years ago. It's one of their tricks.\Like you saw anything 15 years ago, you fraud...\Crap! He's on my 6!\Moving to assist! response:	What the?
context: What's wrong? Our comms reception is bad.\We're being jammed.\They're using powerful EM waves to disrupt our chain of command.\Just like 15 years ago. It's one of their tricks.\Like you saw anything 15 years ago, you fraud...\Crap! He's on my 6!\Moving to assist!\What the? response:	There is no beauty in the struggle if one is unaware that one is about to die.
context: We're being jammed.\They're using powerful EM waves to disrupt our chain of command.\Just like 15 years ago. It's one of their tricks.\Like you saw anything 15 years ago, you fraud...\Crap! He's on my 6!\Moving to assist!\What the?\There is no beauty in the struggle if one is unaware that one is about to die. response:	Well, Slaine?
context: They're using powerful EM waves to disrupt our chain of command.\Just like 15 years ago. It's one of their tricks.\Like you saw anything 15 years ago, you fraud...\Crap! He's on my 6!\Moving to assist!\What the?\There is no beauty in the struggle if one is unaware that one is about to die.\Well, Slaine? response:	How does it feel to watch from on high as your former countrymen die so pathetically?
context: Just like 15 years ago. It's one of their tricks.\Like you saw anything 15 years ago, you fraud...\Crap! He's on my 6!\Moving to assist!\What the?\There is no beauty in the struggle if one is unaware that one is about to die.\Well, Slaine?\How does it feel to watch from on high as your former countrymen die so pathetically? response:	Fighter squadron... wiped out.
context: Like you saw anything 15 years ago, you fraud...\Crap! He's on my 6!\Moving to assist!\What the?\There is no beauty in the struggle if one is unaware that one is about to die.\Well, Slaine?\How does it feel to watch from on high as your former countrymen die so pathetically?\Fighter squadron... wiped out. response:	Enemy flying vehicle is continuing its advance towards Shinawara.
context: Crap! He's on my 6!\Moving to assist!\What the?\There is no beauty in the struggle if one is unaware that one is about to die.\Well, Slaine?\How does it feel to watch from on high as your former countrymen die so pathetically?\Fighter squadron... wiped out.\Enemy flying vehicle is continuing its advance towards Shinawara. response:	Let's hurry.
context: Moving to assist!\What the?\There is no beauty in the struggle if one is unaware that one is about to die.\Well, Slaine?\How does it feel to watch from on high as your former countrymen die so pathetically?\Fighter squadron... wiped out.\Enemy flying vehicle is continuing its advance towards Shinawara.\Let's hurry. response:	That's our ride.
context: What the?\There is no beauty in the struggle if one is unaware that one is about to die.\Well, Slaine?\How does it feel to watch from on high as your former countrymen die so pathetically?\Fighter squadron... wiped out.\Enemy flying vehicle is continuing its advance towards Shinawara.\Let's hurry.\That's our ride. response:	Yeah.
context: There is no beauty in the struggle if one is unaware that one is about to die.\Well, Slaine?\How does it feel to watch from on high as your former countrymen die so pathetically?\Fighter squadron... wiped out.\Enemy flying vehicle is continuing its advance towards Shinawara.\Let's hurry.\That's our ride.\Yeah. response:	And now, as per our agreement, we'll return home to our motherland of Vers and be knighted.
context: Well, Slaine?\How does it feel to watch from on high as your former countrymen die so pathetically?\Fighter squadron... wiped out.\Enemy flying vehicle is continuing its advance towards Shinawara.\Let's hurry.\That's our ride.\Yeah.\And now, as per our agreement, we'll return home to our motherland of Vers and be knighted. response:	It's been a difficult mission, hasn't it, Rayet?
context: How does it feel to watch from on high as your former countrymen die so pathetically?\Fighter squadron... wiped out.\Enemy flying vehicle is continuing its advance towards Shinawara.\Let's hurry.\That's our ride.\Yeah.\And now, as per our agreement, we'll return home to our motherland of Vers and be knighted.\It's been a difficult mission, hasn't it, Rayet? response:	No, Father.
context: Fighter squadron... wiped out.\Enemy flying vehicle is continuing its advance towards Shinawara.\Let's hurry.\That's our ride.\Yeah.\And now, as per our agreement, we'll return home to our motherland of Vers and be knighted.\It's been a difficult mission, hasn't it, Rayet?\No, Father. response:	We are above the target area.
context: Enemy flying vehicle is continuing its advance towards Shinawara.\Let's hurry.\That's our ride.\Yeah.\And now, as per our agreement, we'll return home to our motherland of Vers and be knighted.\It's been a difficult mission, hasn't it, Rayet?\No, Father.\We are above the target area. response:	All right, set me down.
context: Let's hurry.\That's our ride.\Yeah.\And now, as per our agreement, we'll return home to our motherland of Vers and be knighted.\It's been a difficult mission, hasn't it, Rayet?\No, Father.\We are above the target area.\All right, set me down. response:	Yes, Milord. Nilokeras, disconnect.
context: That's our ride.\Yeah.\And now, as per our agreement, we'll return home to our motherland of Vers and be knighted.\It's been a difficult mission, hasn't it, Rayet?\No, Father.\We are above the target area.\All right, set me down.\Yes, Milord. Nilokeras, disconnect. response:	Here he comes.
context: Yeah.\And now, as per our agreement, we'll return home to our motherland of Vers and be knighted.\It's been a difficult mission, hasn't it, Rayet?\No, Father.\We are above the target area.\All right, set me down.\Yes, Milord. Nilokeras, disconnect.\Here he comes. response:	Sir Trillram! We have awaited your arrival!
context: And now, as per our agreement, we'll return home to our motherland of Vers and be knighted.\It's been a difficult mission, hasn't it, Rayet?\No, Father.\We are above the target area.\All right, set me down.\Yes, Milord. Nilokeras, disconnect.\Here he comes.\Sir Trillram! We have awaited your arrival! response:	Congratulations on completing this important mission.
context: It's been a difficult mission, hasn't it, Rayet?\No, Father.\We are above the target area.\All right, set me down.\Yes, Milord. Nilokeras, disconnect.\Here he comes.\Sir Trillram! We have awaited your arrival!\Congratulations on completing this important mission. response:	It's... the light of Aldnoah!
context: No, Father.\We are above the target area.\All right, set me down.\Yes, Milord. Nilokeras, disconnect.\Here he comes.\Sir Trillram! We have awaited your arrival!\Congratulations on completing this important mission.\It's... the light of Aldnoah! response:	And now, farewell, my good rats!
context: We are above the target area.\All right, set me down.\Yes, Milord. Nilokeras, disconnect.\Here he comes.\Sir Trillram! We have awaited your arrival!\Congratulations on completing this important mission.\It's... the light of Aldnoah!\And now, farewell, my good rats! response:	We mustn't have you squeaking at an inopportune time in the future, you see.
context: All right, set me down.\Yes, Milord. Nilokeras, disconnect.\Here he comes.\Sir Trillram! We have awaited your arrival!\Congratulations on completing this important mission.\It's... the light of Aldnoah!\And now, farewell, my good rats!\We mustn't have you squeaking at an inopportune time in the future, you see. response:	What have we here? If it isn't an adorable baby rat!
context: Yes, Milord. Nilokeras, disconnect.\Here he comes.\Sir Trillram! We have awaited your arrival!\Congratulations on completing this important mission.\It's... the light of Aldnoah!\And now, farewell, my good rats!\We mustn't have you squeaking at an inopportune time in the future, you see.\What have we here? If it isn't an adorable baby rat! response:	You won't escape me!
context: Here he comes.\Sir Trillram! We have awaited your arrival!\Congratulations on completing this important mission.\It's... the light of Aldnoah!\And now, farewell, my good rats!\We mustn't have you squeaking at an inopportune time in the future, you see.\What have we here? If it isn't an adorable baby rat!\You won't escape me! response:	Enemy Kataphrakt spotted!
context: Sir Trillram! We have awaited your arrival!\Congratulations on completing this important mission.\It's... the light of Aldnoah!\And now, farewell, my good rats!\We mustn't have you squeaking at an inopportune time in the future, you see.\What have we here? If it isn't an adorable baby rat!\You won't escape me!\Enemy Kataphrakt spotted! response:	Bastard... It's attacking a civilian!
context: Congratulations on completing this important mission.\It's... the light of Aldnoah!\And now, farewell, my good rats!\We mustn't have you squeaking at an inopportune time in the future, you see.\What have we here? If it isn't an adorable baby rat!\You won't escape me!\Enemy Kataphrakt spotted!\Bastard... It's attacking a civilian! response:	Commence attack. We'll make quick work of him.
context: It's... the light of Aldnoah!\And now, farewell, my good rats!\We mustn't have you squeaking at an inopportune time in the future, you see.\What have we here? If it isn't an adorable baby rat!\You won't escape me!\Enemy Kataphrakt spotted!\Bastard... It's attacking a civilian!\Commence attack. We'll make quick work of him. response:	Keep laser comms open. Maintain coordination.
context: And now, farewell, my good rats!\We mustn't have you squeaking at an inopportune time in the future, you see.\What have we here? If it isn't an adorable baby rat!\You won't escape me!\Enemy Kataphrakt spotted!\Bastard... It's attacking a civilian!\Commence attack. We'll make quick work of him.\Keep laser comms open. Maintain coordination. response:	But, sir!
context: We mustn't have you squeaking at an inopportune time in the future, you see.\What have we here? If it isn't an adorable baby rat!\You won't escape me!\Enemy Kataphrakt spotted!\Bastard... It's attacking a civilian!\Commence attack. We'll make quick work of him.\Keep laser comms open. Maintain coordination.\But, sir! response:	I said, commence attack! Fire!
context: What have we here? If it isn't an adorable baby rat!\You won't escape me!\Enemy Kataphrakt spotted!\Bastard... It's attacking a civilian!\Commence attack. We'll make quick work of him.\Keep laser comms open. Maintain coordination.\But, sir!\I said, commence attack! Fire! response:	Cease fire! Assisting the civilian has priority!
context: You won't escape me!\Enemy Kataphrakt spotted!\Bastard... It's attacking a civilian!\Commence attack. We'll make quick work of him.\Keep laser comms open. Maintain coordination.\But, sir!\I said, commence attack! Fire!\Cease fire! Assisting the civilian has priority! response:	What the hell? Our shells, they aren't
context: Enemy Kataphrakt spotted!\Bastard... It's attacking a civilian!\Commence attack. We'll make quick work of him.\Keep laser comms open. Maintain coordination.\But, sir!\I said, commence attack! Fire!\Cease fire! Assisting the civilian has priority!\What the hell? Our shells, they aren't response:	Warrant Officer Kaizuka! Secure the survivor. I'll cover you!
context: Bastard... It's attacking a civilian!\Commence attack. We'll make quick work of him.\Keep laser comms open. Maintain coordination.\But, sir!\I said, commence attack! Fire!\Cease fire! Assisting the civilian has priority!\What the hell? Our shells, they aren't\Warrant Officer Kaizuka! Secure the survivor. I'll cover you! response:	Roger!
context: Commence attack. We'll make quick work of him.\Keep laser comms open. Maintain coordination.\But, sir!\I said, commence attack! Fire!\Cease fire! Assisting the civilian has priority!\What the hell? Our shells, they aren't\Warrant Officer Kaizuka! Secure the survivor. I'll cover you!\Roger! response:	Lt. Marito! This is my platoon!
context: Keep laser comms open. Maintain coordination.\But, sir!\I said, commence attack! Fire!\Cease fire! Assisting the civilian has priority!\What the hell? Our shells, they aren't\Warrant Officer Kaizuka! Secure the survivor. I'll cover you!\Roger!\Lt. Marito! This is my platoon! response:	Don't go around issuing orders!
context: But, sir!\I said, commence attack! Fire!\Cease fire! Assisting the civilian has priority!\What the hell? Our shells, they aren't\Warrant Officer Kaizuka! Secure the survivor. I'll cover you!\Roger!\Lt. Marito! This is my platoon!\Don't go around issuing orders! response:	What are they playing at?
context: I said, commence attack! Fire!\Cease fire! Assisting the civilian has priority!\What the hell? Our shells, they aren't\Warrant Officer Kaizuka! Secure the survivor. I'll cover you!\Roger!\Lt. Marito! This is my platoon!\Don't go around issuing orders!\What are they playing at? response:	Go!
context: Cease fire! Assisting the civilian has priority!\What the hell? Our shells, they aren't\Warrant Officer Kaizuka! Secure the survivor. I'll cover you!\Roger!\Lt. Marito! This is my platoon!\Don't go around issuing orders!\What are they playing at?\Go! response:	Get in!
context: What the hell? Our shells, they aren't\Warrant Officer Kaizuka! Secure the survivor. I'll cover you!\Roger!\Lt. Marito! This is my platoon!\Don't go around issuing orders!\What are they playing at?\Go!\Get in! response:	Civilian secured!
context: Warrant Officer Kaizuka! Secure the survivor. I'll cover you!\Roger!\Lt. Marito! This is my platoon!\Don't go around issuing orders!\What are they playing at?\Go!\Get in!\Civilian secured! response:	Grenades!
context: Roger!\Lt. Marito! This is my platoon!\Don't go around issuing orders!\What are they playing at?\Go!\Get in!\Civilian secured!\Grenades! response:	I told you not to give orders!
context: Lt. Marito! This is my platoon!\Don't go around issuing orders!\What are they playing at?\Go!\Get in!\Civilian secured!\Grenades!\I told you not to give orders! response:	What the hell is the deal with that thing's body?!
context: Don't go around issuing orders!\What are they playing at?\Go!\Get in!\Civilian secured!\Grenades!\I told you not to give orders!\What the hell is the deal with that thing's body?! response:	Stay calm!
context: What are they playing at?\Go!\Get in!\Civilian secured!\Grenades!\I told you not to give orders!\What the hell is the deal with that thing's body?!\Stay calm! response:	Cut loose with everything you have!
context: Go!\Get in!\Civilian secured!\Grenades!\I told you not to give orders!\What the hell is the deal with that thing's body?!\Stay calm!\Cut loose with everything you have! response:	What in the world?
context: Get in!\Civilian secured!\Grenades!\I told you not to give orders!\What the hell is the deal with that thing's body?!\Stay calm!\Cut loose with everything you have!\What in the world? response:	The meddlers have been dealt with. Now, back to my rat problem...
context: Civilian secured!\Grenades!\I told you not to give orders!\What the hell is the deal with that thing's body?!\Stay calm!\Cut loose with everything you have!\What in the world?\The meddlers have been dealt with. Now, back to my rat problem... response:	Run, Kaizuka!
context: Grenades!\I told you not to give orders!\What the hell is the deal with that thing's body?!\Stay calm!\Cut loose with everything you have!\What in the world?\The meddlers have been dealt with. Now, back to my rat problem...\Run, Kaizuka! response:	Lt. Marito!
context: I told you not to give orders!\What the hell is the deal with that thing's body?!\Stay calm!\Cut loose with everything you have!\What in the world?\The meddlers have been dealt with. Now, back to my rat problem...\Run, Kaizuka!\Lt. Marito! response:	Die with cowardice, or die with foolhardy valor?
context: What the hell is the deal with that thing's body?!\Stay calm!\Cut loose with everything you have!\What in the world?\The meddlers have been dealt with. Now, back to my rat problem...\Run, Kaizuka!\Lt. Marito!\Die with cowardice, or die with foolhardy valor? response:	Do you think you are making a noble choice here?
context: Stay calm!\Cut loose with everything you have!\What in the world?\The meddlers have been dealt with. Now, back to my rat problem...\Run, Kaizuka!\Lt. Marito!\Die with cowardice, or die with foolhardy valor?\Do you think you are making a noble choice here? response:	A pity.
context: Cut loose with everything you have!\What in the world?\The meddlers have been dealt with. Now, back to my rat problem...\Run, Kaizuka!\Lt. Marito!\Die with cowardice, or die with foolhardy valor?\Do you think you are making a noble choice here?\A pity. response:	Lt. Marito!
context: What in the world?\The meddlers have been dealt with. Now, back to my rat problem...\Run, Kaizuka!\Lt. Marito!\Die with cowardice, or die with foolhardy valor?\Do you think you are making a noble choice here?\A pity.\Lt. Marito! response:	HQ, come in! HQ!
context: The meddlers have been dealt with. Now, back to my rat problem...\Run, Kaizuka!\Lt. Marito!\Die with cowardice, or die with foolhardy valor?\Do you think you are making a noble choice here?\A pity.\Lt. Marito!\HQ, come in! HQ! response:	Is it just me, or have we been driving around in circles?
